POS Awesome,POS Super
Limited,Omejeno
lines,vrstice
List,Seznam
Live Snapshot,Posnetek v živo
Load a POS profile and cashier first.,Najprej naložite POS profil in blagajno.
Load More Invoices,Naloži več računov
Load previously saved invoices,Naloži predhodno shranjene račune
Load Sale,Load Sale
Load Sales Invoice,Naloži prodajni račun
Loading app data...,Nalaganje podatkov aplikacije ...
Loading customer database...,Nalaganje podatkovne baze strank ...
Loading customers...,Nalaganje strank ...
Loading database stats...,Nalaganje statistike zbirke podatkov ...
Loading details...,Nalaganje podrobnosti ...
Loading invoice history...,Nalaganje zgodovine računov ...
Loading items...,Nalaganje elementov ...
Loading product catalog...,Nalaganje kataloga izdelkov ...
Loading return invoices...,Nalaganje računov za vračila ...
Loading server CPU/memory usage...,Nalaganje porabe procesorja/pomnilnika strežnika ...
Loading suppliers...,Nalaganje dobaviteljev ...
Loading unpaid invoices...,Nalaganje neplačanih računov ...
Loading view...,Nalaganje pogleda ...
Loading...,Nalaganje...
Local storage is unavailable. Switching to online-only mode.,Lokalna shramba ni na voljo. Preklop v samo spletni način.
localStorage,localStorage
Location Performance,Učinkovitost lokacije
Locations,Lokacije
Lock Screen,Zaklenjeni zaslon
Lookup Workflow,Potek dela iskanja
Loss,Izguba
Low,Nizka
Low Stock,Nizka zaloga
Low Stock Alerts,Opozorila o nizkih zalogah
Low Stock Items,Nizka zaloga
Low Stock Threshold,Nizek prag zalog
Low Stock Total,Nizka skupna zaloga
Lowest Margin,Najnižja marža
Low-frequency maintenance and system details.,Nizkofrekvenčno vzdrževanje in podrobnosti sistema.
Loyalty Redeemed,Unovčena zvestoba
Loyalty Redemption,Odkup zvestobe
Make New Payment,Izvedite novo plačilo
Manage all,Upravljajte vse
Manage and synchronize your offline transactions,Upravljajte in sinhronizirajte svoje transakcije brez povezave
Manage Cashier PIN,Upravljanje PIN blagajne
"Manage offline tools, terminal controls, and maintenance from one workspace.","Upravljajte orodja brez povezave, terminalske kontrole in vzdrževanje iz enega delovnega prostora."
manual,priročnik
"Manual codes, barcode scans, and QR scans work in the same field","Ročne kode, skeniranje črtne kode in skeniranje QR delujejo na istem področju"
Manual offline mode is enabled,Omogočen je ročni način brez povezave
Margin,Marža
Maximum available quantity is {0}. Quantity adjusted to match stock.,Največja razpoložljiva količina je {0}. Količina prilagojena zalogi.
Maximum discount amount for this offer item is {0}.,Najvišji znesek popusta za ta artikel ponudbe je {0}.
Maximum discount percentage for this offer item is {0}%.,Najvišji odstotek popusta za ta izdelek ponudbe je {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Največja ponudbena količina je {0}. Količina prilagojena dovoljeni meji.
Medium,Srednje
Method-wise Collections,Zbirke po metodi
Minimum allowed rate for this offer item is {0}.,Najnižja dovoljena cena za to ponudbo je {0}.
Minimum Qty,Najmanjša količina
Mobile No,Mobilna št
Mode,Način
Mode of Payment,Način plačila
Month,mesec
Month ?,mesec?
Monthly Profit,Mesečni dobiček
Monthly Sales,Mesečna prodaja
Monthly Sales Summary,Mesečni povzetek prodaje
Month-wise,Mesečno gledano
Most Active Cashiers,Najbolj aktivni blagajniki
Movement Type,Vrsta gibanja
Movements,Gibanja
Multi Currency,Več valute
N/A,N/A
Name,Ime
Negative Stock,Negativna zaloga
Negative Stock Items,Negativni artikli na zalogi
Negative values not allowed,Negativne vrednosti niso dovoljene
Net,Net
Net Qty,Neto količina
Net Sales,Neto prodaja
Net Value,Neto vrednost
Never,Nikoli
New changes are ready to load,Nove spremembe so pripravljene za nalaganje
New Item,Nov predmet
New Offer Available,Na voljo nova ponudba
New PIN,Nov PIN
New rate,Nova stopnja
Next unit of measure,Naslednja merska enota
No attribute data found.,Ni podatkov o atributih.
No Barcode,Brez črtne kode
No barcode found for UOM '{0}',Ni črtne kode za UOM '{0}'
No branch/location data found.,Ni podatkov o poslovalnici/lokaciji.
No brand data found.,Ni podatkov o znamki.
No cached gift card balance is available offline.,Nobeno predpomnjeno stanje na darilni kartici ni na voljo brez povezave.
No camera found on this device. Please ensure your device has a working camera.,"V tej napravi ni bilo mogoče najti nobene kamere. Prepričajte se, da ima vaša naprava delujočo kamero."
No capability warnings recorded yet.,Zabeleženih še ni nobenih opozoril glede zmogljivosti.
No cash expected for this shift.,Za to izmeno ni pričakovati denarja.
No cash mode configured,Gotovinski način ni konfiguriran
No cash movement type is allowed for this POS Profile.,Za ta profil POS ni dovoljena nobena vrsta gibanja gotovine.
No cashier PIN is set yet. Create one now.,PIN blagajne še ni nastavljen. Ustvarite ga zdaj.
No cashier profiles are available for this POS profile yet.,Za ta POS profil še ni na voljo noben profil blagajnika.
No cashier-wise discount/void/return activity.,Brez blagajniške dejavnosti popustov/ničnosti/vračil.
No category data found.,Ni podatkov o kategoriji.
No category profitability data found.,Ni podatkov o dobičkonosnosti kategorije.
No change returned recorded for this shift.,Za to izmeno ni zabeležena nobena vrnjena sprememba.
No change-allocation invoices match the current filters.,S trenutnimi filtri se ne ujemajo nobeni računi za dodelitev sprememb.
No charge head breakdown found.,Razčlenitev polnilne glave ni bila najdena.
No Company Selected,Nobeno podjetje ni izbrano
No customer sales data found.,Ni podatkov o prodaji strank.
No day-wise discount/void/return trend.,Ni dnevnega trenda popustov/ničnosti/vračil.
No day-wise payment data found.,Podatkov o dnevnem plačilu ni bilo mogoče najti.
No day-wise profitability trend found.,Najden ni bil dnevni trend dobičkonosnosti.
No day-wise purchase data found.,Podatkov o dnevnih nakupih ni bilo mogoče najti.
No day-wise sales trend found.,Najden ni bil dnevni trend prodaje.
No day-wise tax/charges trend found.,Najden ni bil dnevni trend davkov/stroškov.
No dead stock items.,Ni artiklov na zalogi.
No due date,Brez roka
No exact repair match found for this invoice,Za ta račun ni bilo mogoče najti natančnega ujemanja popravila
No hourly sales trend found for today.,Za danes ni bilo mogoče najti urnega trenda prodaje.
No invoice activity found.,Ni dejavnosti na računih.
No invoices found,Ni najdenih računov
No invoices found. Try different search criteria.,Ni najdenih računov. Poskusite z različnimi iskalnimi kriteriji.
No invoices recorded for this shift.,Za to izmeno ni zabeležen noben račun.
No item profitability data found.,Ni podatkov o dobičkonosnosti elementov.
No item sales data found for this period.,Podatkov o prodaji artiklov za to obdobje ni bilo mogoče najti.
No items found,Ni elementov
No items in cart,V vozičku ni artiklov
No items with barcodes to print,Ni predmetov s črtnimi kodami za tiskanje
No location-wise top item data found.,Podatkov o najvišjem elementu glede lokacije ni bilo mogoče najti.
No low stock alerts right now.,Trenutno ni opozoril o nizki zalogi.
No low stock items.,Ni artiklov z nizko zalogo.
No matching items in cart,V vozičku ni ustreznih artiklov
No month-wise sales trend found.,Ni najdenega mesečnega trenda prodaje.
No negative stock items.,Ni negativnih zalog.
No notifications yet,Ni še obvestil
No offline cash movement synced.,Premiki gotovine brez povezave niso sinhronizirani.
No offline invoices pending synchronization,"Ni računov brez povezave, ki čakajo na sinhronizacijo"
No offline sync issues recorded yet.,Zabeležene še niso bile težave s sinhronizacijo brez povezave.
No out-of-stock items.,"Brez izdelkov, ki niso na zalogi."
No outstanding credit invoices for this shift.,Za to izmeno ni neplačanih kreditnih računov.
No payment collection data found.,Ni podatkov o zbiranju plačil.
No payment rows available on this invoice.,Na tem računu ni vrstic za plačilo.
No payments registered for this shift.,Za to izmeno ni registriranih plačil.
No pending balances in this period.,V tem obdobju ni čakajočih stanj.
No pending offline invoices,Ni čakajočih računov brez povezave
No Print Formats Found,Ni formatov za tiskanje
No profiles found for selected scope. Falling back to current profile failed.,Za izbrani obseg ni bil najden noben profil. Vrnitev na trenutni profil ni uspela.
No recent customer activity found.,Nedavna dejavnost strank ni bila najdena.
No recent stock entries found.,Ni nedavnih vnosov na zalogo.
No records found,Ni najdenih zapisov
No reorder suggestions right now.,Trenutno ni predlogov za prerazporeditev.
No repeat customers in this period.,V tem obdobju ni ponovnih strank.
No response from server,Ni odgovora s strežnika
No return invoices found,Ni najdenih računov za vračilo
No return item trend found.,Ni trenda vračila artiklov.
No returnable items found for this invoice,Za ta račun ni bilo mogoče najti vračljivih predmetov
No returns were processed in this shift.,V tej izmeni ni bilo obdelanih nobenih vračil.
No risk activity found.,Najdena ni bila nobena tvegana dejavnost.
No sales activity found for this period.,Za to obdobje ni bilo mogoče najti prodajne dejavnosti.
No slow moving items.,Brez počasnih predmetov.
No staff sales activity found.,Ni prodajne dejavnosti osebja.
No stock movement for this period.,Za to obdobje ni gibanja delnic.
No submitted cash movements in this shift.,V tej izmeni ni oddanih prenosov gotovine.
No supplier purchases found in this month.,V tem mesecu ni bilo najdenih nobenih nakupov dobaviteljev.
No suppliers found for this period.,Za to obdobje ni bilo najdenih dobaviteljev.
No sync trigger has run yet in this session.,V tej seji se še ni zagnal noben sprožilec za sinhronizacijo.
No tax head breakdown found.,Razčlenitev davčne glave ni bila najdena.
No top items found for this location.,Za to lokacijo ni bilo najdenih najboljših elementov.
No unpaid invoices,Brez neplačanih računov
No variant data found.,Ni podatkov o različici.
No week-wise sales trend found.,Ni najdenega tedenskega trenda prodaje.
No.,št.
Nobile Number,Plemenita številka
Not available,Ni na voljo
Not checked,Ni preverjeno
Not selected,Ni izbrano
Not Set,Ni nastavljeno
Notifications,Obvestila
Offer,Ponudba
Offer Applied,Ponudba uporabljena
Offer criteria exceeded,Merila ponudbe presežena
Offer Item,Artikel ponudbe
Offer item unavailable,Artikel ponudbe ni na voljo
Offer Removed,Ponudba odstranjena
Offer UOM cannot be changed,Ponudbe UOM ni mogoče spremeniti
Offer?,Ponudba?
Offers,Ponudbe
Offline,Brez povezave
Offline & Sync,Brez povezave in sinhronizacija
Offline Capabilities,Zmogljivosti brez povezave
Offline data status refreshed,Stanje podatkov brez povezave je osveženo
Offline diagnostics,Diagnostika brez povezave
Offline Invoices,Računi brez povezave
Offline invoices status,Stanje računov brez povezave
Offline invoices synced,Računi brez povezave so sinhronizirani
Offline Queue: {0},Čakalna vrsta brez povezave: {0}
Offline rebuild guidance,Navodila za obnovo brez povezave
Offline restore is unavailable for this session.,Obnovitev brez povezave ni na voljo za to sejo.
Offline selling is available with degraded capabilities.,Prodaja brez povezave je na voljo z zmanjšanimi zmogljivostmi.
Offline snapshot does not match the current POS state.,Posnetek brez povezave se ne ujema s trenutnim stanjem POS.
Offline Status,Stanje brez povezave
"Offline, terminal, and system controls","Nadzor brez povezave, terminala in sistema"
OK,OK
Online,Na spletu
Open actions menu,Odprite meni dejanj
Open balance to collect,Odpri stanje za zbiranje
Open Customer Display,Odprite zaslon za stranke
Open drawer,Odprt predal
Open invoices,Odprti računi
Open Payments?,Odpreti Plačila?
Open POS home,Odprite POS doma
Open this screen from POS Menu -> Open Customer Display.,Odprite ta zaslon v meniju POS -> Odpri zaslon stranke.
OpenCV image processing enabled - Enhanced barcode detection,Omogočena obdelava slik OpenCV - izboljšano zaznavanje črtne kode
OpenCV image processing unavailable on this device,Obdelava slik OpenCV v tej napravi ni na voljo
OpenCV Off,OpenCV izklopljen
OpenCV On,OpenCV vklopljen
OpenCV processing disabled,Obdelava OpenCV onemogočena
Opening Amount,Začetni znesek
Opening Cash,Odpiranje gotovine
options,možnosti
Order,naročilo
Original,Original
Other,drugo
Out,ven
Out of Stock,Ni na zalogi
Out of Stock Items,"Artikli, ki niso na zalogi"
Outstanding,Izjemno
Outstanding Credit by Currency,Neplačani kredit glede na valuto
Overdue,Zamujen rok
Overpayment Change,Sprememba preplačila
Overpayment change deducted: {0},Odtegnjena sprememba preplačila: {0}
Packing List,Pakirni seznam
Page Format,Format strani
Page unavailable offline,Stran ni na voljo brez povezave
Paid,Plačano
Paid (orig):,Plačano (origin):
Paid Amount,Plačan znesek
Paid change cannot be greater than total change!,Plačani drobiž ne more biti večji od skupnega drobiža!
Paid:,Plačano:
Parent Item,Nadrejeni predmet
Partial,Delno
Partly Paid,Delno plačano
Party Account,Račun stranke
Party Type,Vrsta zabave
Pause terminal until next cashier,Začasno ustavite terminal do naslednje blagajne
PAY,PLAČAJ
Payment,Plačilo
Payment Account,Plačilni račun
Payment entries processed for Invoice {0},Obdelani plačilni vnosi za račun {0}
Payment Entry Type,Vrsta vnosa plačila
Payment History,Zgodovina plačil
Payment ID,ID plačila
Payment Method Report,Poročilo o načinu plačila
Payment Methods,Načini plačila
Payment of {0} received successfully.,Plačilo v višini {0} je bilo uspešno prejeto.
Payment Progress,Napredek plačila
Payment Reconciliation,Usklajevanje plačil
Payment request status could not be retrieved. Please try again,Stanja zahteve za plačilo ni bilo mogoče pridobiti. prosim poskusite ponovno
Payment Request took too long to respond. Please try requesting for payment again,Odgovor na zahtevo za plačilo je trajal predolgo. Poskusite znova zahtevati plačilo
Payment saved offline,Plačilo shranjeno brez povezave
Payment State,Stanje plačila
Payment Status,Stanje plačila
Payment submitted but print function could not be executed. Payment name not found.,"Plačilo je bilo poslano, vendar funkcije tiskanja ni bilo mogoče izvesti. Imena plačila ni bilo mogoče najti."
Payment submitted.,Plačilo poslano.
Payment Summary,Povzetek plačila
Payments,Plačila
Payments are not open. Do you want to open payments and submit?,Plačila niso odprta. Ali želite odpreti plačila in oddati?
Payments by Mode of Payment,Plačila po načinu plačila
PDF,PDF
Peak Hour,Peak Hour
Peak Memory:,Največji pomnilnik:
Peak Server:,Strežnik Peak:
Peak:,vrh:
Pending,V teku
Pending Amount,Znesek v teku
Pending count updated from {0} to {1},Število čakajočih je posodobljeno iz {0} v {1}
Pending Exposure,Čakanje na izpostavljenost
Pending Invoices,Čakajoči računi
Pending Ratio,Čakajoče razmerje
Pending Sales,Prodaja v teku
Pending sales: {0} | Cache usage: {1}%,Prodaja v teku: {0} | Uporaba predpomnilnika: {1} %
Pending Sync,Čakanje na sinhronizacijo
Pending: {0},V teku: {0}
Pending: {0} | Synced: {1} | Draft: {2},V teku: {0} | Sinhronizirano: {1} | Osnutek: {2}
Per Page,Na stran
Personal,Osebno
Personal preferences adjust the current cashier experience without changing the active POS route.,Osebne nastavitve prilagodijo trenutno izkušnjo blagajnika brez spreminjanja aktivne POS poti.
PIN confirmation does not match.,Potrditev kode PIN se ne ujema.
PIN must be 4 to 8 digits.,PIN mora imeti 4 do 8 mest.
Please add at least one item.,Dodajte vsaj en element.
Please allow camera access to scan codes,Dovolite dostop do kamere za skeniranje kod
Please enter payment amount,Vnesite znesek plačila
Please fill all required fields,Izpolnite vsa obvezna polja
Please make a payment or select a payment,Izvedite plačilo ali izberite plačilo
Please request phone payment or use another payment method,Zahtevajte telefonsko plačilo ali uporabite drugo plačilno sredstvo
Please select a customer first,Najprej izberite stranko
Please select a party,Izberite stranko
Please select a party before reconciling.,Pred spravo izberite stranko.
Please select a valid movement type.,Izberite veljavno vrsto gibanja.
Please select an invoice,Izberite račun
Please select company before reconciling.,Pred usklajevanjem izberite podjetje.
Please set the customer's mobile number,Nastavite mobilno številko stranke
Please try again or enter the item manually.,Poskusite znova ali vnesite element ročno.
Please verify the barcode or check the item's availability.,Preverite črtno kodo ali preverite razpoložljivost artikla.
Points,Točke
Popup blocked. Please allow popups.,Pojavno okno je blokirano. Dovolite pojavna okna.
POS,POS
POS controls and maintenance,POS nadzor in vzdrževanje
POS Expense is disabled for this POS Profile.,Stroški POS so onemogočeni za ta profil POS.
POS is running with limited offline prerequisites.,POS deluje z omejenimi predpogoji brez povezave.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Postavite kodo QR ali črtno kodo znotraj območja skeniranja
Posting,Objava
Posting and Price List,Knjiženje in cenik
Posting Date,Datum objave
Preparing background sync,Priprava sinhronizacije v ozadju
"Press OK to continue offline with a warning, or Cancel to retry.","Pritisnite V redu, da nadaljujete brez povezave z opozorilom, ali Prekliči, da poskusite znova."
Previous unit of measure,Prejšnja merska enota
Price List,Cenik
Price List Rate,Cenik Rate
Price list rate updated locally only,Cenik je posodobljen samo lokalno
Pricing & Discounts,Cene in popusti
Pricing Rule,Pravilo o cenah
Print,Tiskanje
Print Draft,Natisni osnutek
Print Format (Invoice),Oblika tiskanja (račun)
Print Format (Order),Oblika tiskanja (vrstni red)
Print invoice,Natisnite račun
Print Purchase Invoice instead of PO,Natisnite račun za nakup namesto naročilnice
Printer,Tiskalnik
Processed returns impacting the shift totals,"Obdelana vračila, ki vplivajo na vsote izmene"
Processing Payment,Obdelava plačila
Processing payment entries for Invoice {0},Obdelava plačilnih vnosov za račun {0}
Profile,Profil
Profiles,Profili
Profit,Dobiček
Profit: Invoice Item Estimate,Dobiček: ocena postavke računa
Profit: Stock Ledger (COGS),Dobiček: Stock Ledger (COGS)
Profitability Report,Poročilo o dobičkonosnosti
Prorated return discount,Sorazmerni povratni popust
Purchase Amount,Znesek nakupa
Purchase Invoices,Računi za nakupe
Purchase Order created,Naročilo je ustvarjeno
Qty,Količina
Qualified,Kvalificiran
Quantity,Količina
Quantity exceeds available stock,Količina presega razpoložljivo zalogo
Quick Actions,Hitra dejanja
Quotation {0} is Submitted,Ponudba {0} je predložena
Quotation submitted,Ponudba oddana
QZ Tray connected.,Pladenj QZ priključen.
QZ Tray is manually disconnected. Press Connect to enable it again.,"Pladenj QZ je ročno odklopljen. Pritisnite Connect, da ga znova omogočite."
QZ Tray is not connected.,Pladenj QZ ni povezan.
QZ Tray Setup,Nastavitev pladnja QZ
Rate,Ocenite
Rate adjusted to maximum allowed discount,Cena prilagojena najvišjemu dovoljenemu popustu
Ready,pripravljena
Ready to resume,Pripravljen za nadaljevanje
Ready!,pripravljena!
Real-time POS insights for retail operations.,Vpogled v POS v realnem času za maloprodajne operacije.
Rebuild Offline Data,Obnovi podatke brez povezave
Receive,Prejmi
Receive now,Prejmi zdaj
Received,Prejeto
Received:,Prejeto:
Recent Movement Entries,Nedavni vnosi gibanja
Recent updates about your invoices,Najnovejše posodobitve vaših računov
Recently Active Customers,Nedavno aktivne stranke
Rechecking connection,Ponovno preverjanje povezave
Reconcile payment methods and close shift,Uskladite načine plačila in zaprite izmeno
Reconciling Payments,Usklajevanje plačil
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Znova vzpostavite povezavo in enkrat odprite to stran, ko ste povezani, nato pa jo bo mogoče obnoviti z osvežitvami brez povezave."
Reconnect online to refresh cached offline data from the server.,"Znova se povežite s spletom, da osvežite predpomnjene podatke brez povezave s strežnika."
Recreate local offline prerequisites from scratch,Znova ustvarite lokalne predpogoje brez povezave iz nič
Recv:,Recv:
Redeem,Odkupi
Redeem / Scan,Unovči / skeniraj
Redeem Amount,Odkupi znesek
Redeem Mode,Način unovčenja
Redeemed Amount,Odkupljeni znesek
Redeemed credit cannot be greater than its total.,Unovčeno dobroimetje ne more biti večje od skupnega zneska.
Redemption and Totals,Odkup in vsote
Reference,Referenca
Refresh,Osveži
Refresh Exchange Rate,Osveži menjalni tečaj
Refresh Offline Data,Osveži podatke brez povezave
Refresh Printers,Osveži tiskalnike
Refund,Povračilo
Release Notes,Opombe ob izdaji
Reload,Ponovno naloži
Reload customers,Ponovno naložite stranke
Reload Items,Ponovno naloži predmete
Reload Now,Ponovno naloži zdaj
Reload to apply the latest changes. Your current session will be refreshed.,"Znova naložite, da uporabite najnovejše spremembe. Vaša trenutna seja bo osvežena."
Reload Workflow,Ponovno naloži potek dela
Remarks,Opombe
Remarks are required.,Opombe so obvezne.
Remove,Odstrani
Remove barcode item,Odstrani element črtne kode
Remove cached data and reload the POS app,Odstranite predpomnjene podatke in znova naložite aplikacijo POS
Remove item,Odstrani predmet
Remove Offer,Odstrani ponudbo
Reorder / Purchase Suggestions,Predlogi za ponovno naročilo/nakup
Repair Candidate,Kandidat za popravilo
Repair Change Allocation,Popravilo Spremenite dodelitev
Repair requires an online connection,Za popravilo je potrebna spletna povezava
Repaired,Popravljeno
Repairing change allocation,Popravljanje dodelitve sprememb
Repeat Customers,Ponavljajoče se stranke
Repeat Rate,Hitrost ponavljanja
Request,Zahteva
Request ID: {0},ID zahteve: {0}
Request Payment,Zahtevaj plačilo
Requested route: {0},Zahtevana pot: {0}
Required columns cannot be hidden,Zahtevanih stolpcev ni mogoče skriti
Reset,Ponastavi
Reset item name,Ponastavi ime predmeta
Reset to Default,Ponastavi na privzeto
Resource Health,Zdravje virov
Restricted,Omejeno
Restricted operational controls for supervisors only.,Omejen operativni nadzor samo za nadzornike.
Retry,Poskusite znova
Retry route,Poskusi znova
Return,Vrnitev
Return Amount,Znesek vračila
Return Count,Povratno štetje
Return items must have negative quantities,Vrnjeni artikli morajo imeti negativne količine
Return total must be negative,Skupni znesek vračila mora biti negativen
Return Valid Until,Vračilo velja do
Return window passed,Povratno okno je minilo
Return without Invoice,Vračilo brez računa
Returns,Vračila
Returns / Voids / Discounts,Vračila/praznine/popusti
Returns by Currency,Vračila po valutah
Revenue,Prihodki
Review shift totals before submitting the closing entry,"Preglejte skupne izmene, preden oddate zaključni vnos"
Round Off,Zaokroži
Rows,Vrstice
Rows:,Vrstice:
Rule,Pravilo
Sale,Prodaja
Sales,Prodaja
Sales Order {0} is Submitted,Prodajno naročilo {0} je oddano
Sales Person and Print,Prodajalec in tisk
Sales Person not found,Prodajalca ni mogoče najti
Sales processed,Prodaja obdelana
Sales Return,Vračilo prodaje
Sales Trend Report,Poročilo o trendu prodaje
Save,Shrani
Save & Clear,Shrani in počisti
Save as POS Profile Default,Shrani kot privzeto za profil POS
Save Settings,Shrani nastavitve
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Shranite izbrani tiskalnik kot privzeti profil POS, da se samodejno prikaže pri tej nastavitvi."
Saved as draft because: {0},"Shranjeno kot osnutek, ker: {0}"
Saving...,Shranjevanje ...
Scale barcode detected. Quantity here is the number of labels to print.,Zaznana črtna koda tehtnice. Količina je tukaj število nalepk za tiskanje.
Scale barcode settings are not configured. Using item barcode only.,Nastavitve črtne kode lestvice niso konfigurirane. Uporaba samo črtne kode artikla.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Za ta element/UOM manjka črtna koda predloge lestvice. Uporaba samo črtne kode artikla.
Scan an existing card and top it up without leaving the payment flow.,"Skenirajte obstoječo kartico in jo napolnite, ne da bi zapustili plačilni tok."
Scan Error,Napaka skeniranja
Scan or enter a gift card code to check balance or redeem.,"Skenirajte ali vnesite kodo darilne kartice, da preverite stanje ali unovčite."
Scan or paste the card code below.,Skenirajte ali prilepite spodnjo kodo kartice.
Scan QR Code/Barcode,Skenirajte kodo QR/črtno kodo
Scan with camera,Skeniraj s kamero
Scan-First Flow,Scan-First Flow
Scanned Code:,Skenirana koda:
Scanning for: {0},Iskanje: {0}
Scanning items,Skeniranje predmetov
Scan-Ready,Pripravljen za skeniranje
Scope,Področje uporabe
Scope: All Profiles,Obseg: Vsi profili
Scope: Current Profile,Obseg: trenutni profil
Scope: Specific Profile,Področje uporabe: Poseben profil
Search,Iskanje
Search Account,Iskanje računa
Search an invoice and continue the return flow without extra steps.,Poiščite račun in nadaljujte povratni tok brez dodatnih korakov.
Search customer,Išči stranko
Search invoices or customers,Iskanje po računih ali strankah
Search item,Išči predmet
Search item / code,Iskanje artikla/kode
Search items or barcode,Iskanje predmetov ali črtne kode
Search Mpesa Payments,Iskanje Mpesa Payments
Search return invoices or customers,Iskanje vračil računov ali strank
Search supplier,Iskanje dobavitelja
Search unpaid invoices or customers,Iskanje neplačanih računov ali strank
Secure context (HTTPS or localhost) is required for camera access.,Za dostop do kamere je potreben varen kontekst (HTTPS ali lokalni gostitelj).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Za dostop do kamere je potreben varen kontekst (HTTPS). Za dostop do kamere uporabite HTTPS.
Select,Izberite
Select a cashier first.,Najprej izberite blagajnika.
Select a customer,Izberite stranko
Select a customer to use coupon,Izberite stranko za uporabo kupona
Select a printer to use QZ silent printing.,Izberite tiskalnik za uporabo tihega tiskanja QZ.
Select Batch,Izberite Paket
Select Columns to Display,Izberite Stolpci za prikaz
Select items to sell,Izberite predmete za prodajo
Select Payment,Izberite Plačilo
Select Payment Account,Izberite Plačilni račun
Select printer,Izberite tiskalnik
Select Return Invoice,Izberite Vrni račun
Select S.O,Izberite S.O
Select Sales Orders,Izberite Prodajna naročila
Select the cashier who is taking over this terminal.,"Izberite blagajnika, ki bo prevzel ta terminal."
Selected,Izbrano
Selected movement type is not allowed by POS Profile.,Izbrane vrste gibanja POS profil ne dovoljuje.
Selected Payments,Izbrana plačila
Sensitive actions kept away from quick taps.,Občutljiva dejanja so bila oddaljena od hitrih dotikov.
Serial,Serijski
Serial Numbers,Serijske številke
Server CPU Usage:,Poraba procesorja strežnika:
Server Health,Zdravje strežnika
Server Memory Usage:,Poraba pomnilnika strežnika:
Server Metrics,Meritve strežnika
Server Uptime:,Čas delovanja strežnika:
Service Charges,Stroški storitev
Session,Seja
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Vsako PIN blagajnika nastavite v uporabniškem obrazcu in imejte člane terminala dodeljene v POS profilu uporabnika.
Settings,nastavitve
Settings in this section update the POS workspace without changing the current route.,Nastavitve v tem razdelku posodobijo delovni prostor POS brez spreminjanja trenutne poti.
Setup complete!,Nastavitev končana!
Share,Delite
Shared terminal,Skupni terminal
Shift Closed Snapshot,Shift Zaprt posnetek
Shift Overview,Pregled izmene
Show,Prikaži
Show cart on customer-facing screen,"Pokaži voziček na zaslonu, ki gleda kupca"
Show last invoice rate,Prikaži tečaj zadnjega računa
Show rate info,Prikaži informacije o ceni
Show Repair Candidates,Prikaži kandidate za popravilo
Show search tools,Pokaži orodja za iskanje
Show the active cart on a customer-facing screen,"Prikažite aktivni voziček na zaslonu, ki gleda kupca"
Showing {0}-{1} of {2},Prikaz {0}-{1} od {2}
Showing 0 of 0,Prikaz 0 od 0
Shows the distribution of invoices per currency,Prikazuje porazdelitev računov po valutah
Sign out of the current POS session,Odjavite se iz trenutne seje POS
Size:,Velikost:
Skipped Payments,Preskočena plačila
Skipping items without barcodes,Preskakovanje elementov brez črtne kode
Slow Moving,Počasno gibanje
Slow Moving Items,Počasni predmeti
Slow Queries:,Počasne poizvedbe:
Sold,prodano
Source,Vir
Source Cash Account (Optional Override),Izvorni denarni račun (izbirna preglasitev)
Source Ex. Rate:,Vir Pr. Oceni:
Source Rate:,Stopnja vira:
Specific Profile,Poseben profil
Split Invoices,Razdeljeni računi
Staff / Cashier Performance Report,Poročilo o uspešnosti osebja / blagajne
Status,Stanje
Stock,Zaloga
Stock Information,Informacije o zalogi
Stock is lower than requested,Zaloga je manjša od zahtevane
Stock is lower than requested:\n{0},Zaloga je manjša od zahtevane:\n{0}
Stock Movement Report,Poročilo o gibanju delnic
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,"Posodobitev zaloge: {0} ima na voljo {1}. Če dodate {2}, bo delnica padla pod ničlo."
Submit,Predloži
Submit & Print,Pošlji in natisni
Submit Deposit,Oddaj depozit
Submit Expense,Predloži stroške
Submitted,Oddano
Submitted Cash Movements,Predloženi premiki gotovine
Submitted entries,Oddani vnosi
Successfully scanned:,Uspešno skenirano:
Suggested,Predlagano
Suggested Qty,Predlagana količina
Supervisor Access,Dostop nadzornika
Supervisor permissions unlock issuance and reloads,Dovoljenja nadzornika odklenejo izdajo in ponovna nalaganja
Supervisor Tools,Nadzorniška orodja
Supplier,Dobavitelj
Supplier and dates are required.,Zahtevani so dobavitelj in datumi.
Supplier Invoices,Računi dobaviteljev
Supplier is required.,Potreben je dobavitelj.
Supplier name is required,Zahtevano je ime dobavitelja
Supplier Payments,Plačila dobaviteljev
Supplier Purchase Summary,Povzetek nakupa dobavitelja
Suppliers,Dobavitelji
Suppliers not found,Dobavitelji niso bili najdeni
Switch Camera,Preklopi kamero
Switch Cashier,Preklop blagajne
Switch the POS appearance theme,Preklopite temo videza POS
Switched to:,Preklopljeno na:
Sync All Invoices,Sinhroniziraj vse račune
