POS Awesome,POS অসাধারণ
Expired,মেয়াদ শেষ
Failed to auto reconcile payments.,অটোমেটিক পেমেন্ট মিটমাট করতে ব্যর্থ হয়েছে।
Failed to cancel cash movement,নগদ আন্দোলন বাতিল করতে ব্যর্থ হয়েছে
Failed to clear cache,ক্যাশে সাফ করতে ব্যর্থ হয়েছে৷
Failed to create item,আইটেম তৈরি করতে ব্যর্থ হয়েছে
Failed to create supplier,সরবরাহকারী তৈরি করতে ব্যর্থ হয়েছে৷
Failed to delete cash movement,নগদ আন্দোলন মুছে ফেলতে ব্যর্থ
Failed to generate scale barcode. Using item barcode only.,স্কেল বারকোড তৈরি করতে ব্যর্থ হয়েছে৷ শুধুমাত্র আইটেম বারকোড ব্যবহার করে.
Failed to load cash movement context.,নগদ চলাচলের প্রসঙ্গ লোড করতে ব্যর্থ হয়েছে৷
Failed to load dashboard data.,ড্যাশবোর্ড ডেটা লোড করতে ব্যর্থ হয়েছে৷
Failed to reload invoice from server,সার্ভার থেকে চালান পুনরায় লোড করতে ব্যর্থ হয়েছে৷
Failed to submit cash movement,নগদ আন্দোলন জমা দিতে ব্যর্থ
Failed to sync offline cash movements,অফলাইন নগদ মুভমেন্ট সিঙ্ক করতে ব্যর্থ হয়েছে৷
Fast cashier actions for active shifts.,সক্রিয় শিফটের জন্য দ্রুত ক্যাশিয়ার অ্যাকশন।
Fast Moving Items,দ্রুত চলমান আইটেম
Fees,ফি
Fetch the latest offline prerequisite updates,সর্বশেষ অফলাইন পূর্বশর্ত আপডেট আনুন
Find a sales order quickly and load it into the current sale.,দ্রুত একটি বিক্রয় আদেশ খুঁজুন এবং বর্তমান বিক্রয়ে এটি লোড করুন।
Fixing payment amounts for return invoice...,রিটার্ন ইনভয়েসের জন্য অর্থপ্রদানের পরিমাণ ঠিক করা হচ্ছে...
Flash Off,ফ্ল্যাশ অফ
Flash On,ফ্ল্যাশ অন
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'পণ্য বান্ডেল' আইটেমগুলির জন্য, 'প্যাকিং তালিকা' টেবিল থেকে গুদাম, সিরিয়াল নম্বর এবং ব্যাচ নম্বর বিবেচনা করা হবে। যেকোন 'প্রোডাক্ট বান্ডেল' আইটেমের জন্য সমস্ত প্যাকিং আইটেমের জন্য গুদাম এবং ব্যাচ নম্বর একই হলে, সেই মানগুলি মূল আইটেম টেবিলে প্রবেশ করা যেতে পারে; মানগুলি 'প্যাকিং তালিকা' টেবিলে অনুলিপি করা হবে।"
Free,বিনামূল্যে
Free Qty,বিনামূল্যে পরিমাণ
Frequency,ফ্রিকোয়েন্সি
from,থেকে
From Date,তারিখ থেকে
Fulfillment Details,পূর্ণতা বিবরণ
Full Name,পুরো নাম
Gain,লাভ
Generate a fresh prepaid card and start it with an opening balance.,একটি নতুন প্রিপেইড কার্ড তৈরি করুন এবং এটি একটি খোলার ব্যালেন্স দিয়ে শুরু করুন৷
Generate and install the certificate to allow fully silent printing without trust prompts.,ট্রাস্ট প্রম্পট ছাড়া সম্পূর্ণ নীরব মুদ্রণের অনুমতি দিতে শংসাপত্র তৈরি এবং ইনস্টল করুন।
Generate Certificate,সার্টিফিকেট তৈরি করুন
Generated scale barcode: {0},তৈরি স্কেল বারকোড: {0}
Get Payments,পেমেন্ট পান
Gift Card,উপহার কার্ড
Gift card amount must be greater than zero.,উপহার কার্ডের পরিমাণ অবশ্যই শূন্যের বেশি হতে হবে।
Gift Card Code,উপহার কার্ড কোড
Gift card code is required for redemption,রিডিমশনের জন্য উপহার কার্ড কোড প্রয়োজন
Gift card code is required.,উপহার কার্ড কোড প্রয়োজন.
Gift card issued successfully.,উপহার কার্ড সফলভাবে জারি করা হয়েছে।
Gift card loaded successfully.,উপহার কার্ড সফলভাবে লোড হয়েছে.
Gift Card Management,উপহার কার্ড ব্যবস্থাপনা
Gift card payment,উপহার কার্ড পেমেন্ট
Gift card redemption requires an online connection,উপহার কার্ড রিডেম্পশনের জন্য একটি অনলাইন সংযোগ প্রয়োজন৷
Gift card topped up successfully.,উপহার কার্ড সফলভাবে টপ আপ.
Gift Cards,উপহার কার্ড
Go to Frappe Desk,ফ্র্যাপ ডেস্কে যান
Grand Total,গ্র্যান্ড টোটাল
Gross Margin,গ্রস মার্জিন
Gross Profit,মোট লাভ
Gross Sales,মোট বিক্রয়
Group not found,গ্রুপ খুঁজে পাওয়া যায়নি
"Grouped controls for terminal, UI, and session settings.","টার্মিনাল, UI, এবং সেশন সেটিংসের জন্য গোষ্ঠীবদ্ধ নিয়ন্ত্রণ।"
Grouped totals for each payment method and currency,প্রতিটি অর্থপ্রদানের পদ্ধতি এবং মুদ্রার জন্য গোষ্ঠীভুক্ত মোট
Hide,লুকান
Hide Gift Card,উপহার কার্ড লুকান
Hide Non Essential Fields,অ-প্রয়োজনীয় ক্ষেত্র লুকান
Hide quantity decimals,পরিমাণ দশমিক লুকান
Hide search tools,অনুসন্ধান সরঞ্জাম লুকান
Hide zero rated items,শূন্য রেট আইটেম লুকান
High,উচ্চ
History,ইতিহাস
Hourly (Today),প্রতি ঘণ্টায় (আজ)
How this section works,কিভাবে এই বিভাগ কাজ করে
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","যদি পুরানো ডেটা থেকে যায়, সেটিংস > অফলাইন এবং সিঙ্ক খুলুন এবং অনলাইন থাকাকালীন আবার অফলাইন ডেটা পুনরায় তৈরি করুন।"
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","সতর্কতা অব্যাহত থাকলে, সেটিংস > অফলাইন এবং সিঙ্ক খুলুন, তারপর রিফ্রেশ অফলাইন ডেটা চালান বা অফলাইন ডেটা পুনর্নির্মাণ করুন।"
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,QZ ট্রেতে শংসাপত্রটি আমদানি করুন এবং প্রতিটি POS মেশিনে QZ ট্রে পুনরায় চালু করুন।
In,ইন
In stock: {0},স্টকে আছে: {0}
Include Batch / Serial,ব্যাচ / সিরিয়াল অন্তর্ভুক্ত করুন
Include Price,মূল্য অন্তর্ভুক্ত
Increase quantity,পরিমাণ বাড়ান
IndexedDB,ইনডেক্সডডিবি
Initial Amount,প্রাথমিক পরিমাণ
Initialize your shift with opening balances,ওপেনিং ব্যালেন্স দিয়ে আপনার শিফট শুরু করুন
Initializing application...,আবেদন শুরু করা হচ্ছে...
"Inspect cache, sync, and prerequisite status","ক্যাশে, সিঙ্ক এবং পূর্বশর্ত অবস্থা পরিদর্শন করুন"
Installed Applications,ইনস্টল করা অ্যাপ্লিকেশন
Insufficient stock:\n{0},অপর্যাপ্ত স্টক:\n{0}
Invalid rate,অবৈধ হার
Inventory Status Report,ইনভেন্টরি স্ট্যাটাস রিপোর্ট
Invoice,চালান
Invoice {0} is Submitted,চালান {0} জমা দেওয়া হয়েছে৷
Invoice {0} processed successfully,চালান {0} সফলভাবে প্রক্রিয়া করা হয়েছে৷
Invoice {0} submission failed,চালান {0} জমা দেওয়া ব্যর্থ হয়েছে৷
Invoice {0} was already submitted,চালান {0} ইতিমধ্যেই জমা দেওয়া হয়েছে৷
Invoice Adjustments,চালান সমন্বয়
Invoice Change,চালান পরিবর্তন
Invoice Details,চালানের বিবরণ
Invoice is still in draft after background submission.,ব্যাকগ্রাউন্ড জমা দেওয়ার পরেও চালানটি খসড়াতে রয়েছে।
Invoice Items,চালান আইটেম
Invoice Management,চালান ব্যবস্থাপনা
Invoice Mgmt,চালান Mgmt
Invoice saved offline,চালান অফলাইনে সংরক্ষিত
Invoice submission failed,চালান জমা দিতে ব্যর্থ হয়েছে
Invoice Submitted,চালান জমা দেওয়া হয়েছে
"Invoice value settled by loyalty points, not cash collection","চালান মূল্য আনুগত্য পয়েন্ট দ্বারা নিষ্পত্তি, নগদ সংগ্রহ নয়"
Invoices,চালান
Invoices already past due date,ইনভয়েস ইতিমধ্যেই শেষ তারিখ শেষ
Invoices saved as POS Invoices,চালানগুলি POS চালান হিসাবে সংরক্ষিত৷
Invoices still carrying balances,চালান এখনও ব্যালেন্স বহন
Issue Mode,ইস্যু মোড
Issue New Card,নতুন কার্ড ইস্যু করুন
Issue Workflow,ইস্যু ওয়ার্কফ্লো
"Issue, top up, and check","ইস্যু, টপ আপ, এবং চেক"
Item,আইটেম
Item / Product Sales Report,আইটেম / পণ্য বিক্রয় রিপোর্ট
Item {0} added to invoice,আইটেম {0} ইনভয়েসে যোগ করা হয়েছে
Item '{0}' has no barcode,আইটেম '{0}' এর কোনো বারকোড নেই
Item Code,আইটেম কোড
Item created successfully,আইটেম সফলভাবে তৈরি করা হয়েছে
Item is out of stock,আইটেম স্টক শেষ
Item Name,আইটেমের নাম
Item not found,আইটেম পাওয়া যায়নি
Item order updated,আইটেম অর্ডার আপডেট করা হয়েছে
Item Selector Settings,আইটেম নির্বাচক সেটিংস
Items,আইটেম
Items added in POS will appear here automatically.,POS-এ যোগ করা আইটেমগুলি এখানে স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে।
Items added to invoice,আইটেম চালান যোগ করা হয়েছে
Items per page,পৃষ্ঠা প্রতি আইটেম
Items Sold,আইটেম বিক্রি
Items/Invoice,আইটেম/চালান
Item-wise Profitability,আইটেম অনুসারে লাভজনকতা
Journal Entry,জার্নাল এন্ট্রি
json,json
Just now,এইমাত্র
Keep offline prerequisites healthy and recover stale data safely.,অফলাইন পূর্বশর্তগুলিকে সুস্থ রাখুন এবং বাসি ডেটা নিরাপদে পুনরুদ্ধার করুন।
Labels,লেবেল
"Language, theme, terminal tools, and session controls.","ভাষা, থিম, টার্মিনাল টুল এবং সেশন কন্ট্রোল।"
Last,শেষ
Last 14 Days (Paid vs Pending),শেষ 14 দিন (প্রদেয় বনাম মুলতুবি)
Last 14 Days Activity,গত 14 দিনের কার্যকলাপ
Last 14 Days Gross Profit,শেষ 14 দিনের মোট লাভ
Last 14 Days Purchases,শেষ 14 দিনের কেনাকাটা
Last 14 Days Tax/Charges,শেষ 14 দিনের ট্যাক্স/চার্জ
Last sync:,শেষ সিঙ্ক:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},শেষ সিঙ্ক: {0} | ঠিক আছে: {1} | ব্যর্থ হয়েছে: {2} | এড়িয়ে গেছে: {3}
Latest entries for current shift,বর্তমান শিফটের জন্য সর্বশেষ এন্ট্রি
Lead Time,সীসা সময়
Limited,লিমিটেড
lines,লাইন
List,তালিকা
Live Snapshot,লাইভ স্ন্যাপশট
Load a POS profile and cashier first.,প্রথমে একটি POS প্রোফাইল এবং ক্যাশিয়ার লোড করুন।
Load More Invoices,আরও চালান লোড করুন
Load previously saved invoices,পূর্বে সংরক্ষিত চালান লোড করুন
Load Sale,লোড বিক্রয়
Load Sales Invoice,লোড বিক্রয় চালান
Loading app data...,অ্যাপ ডেটা লোড হচ্ছে...
Loading customer database...,গ্রাহক ডাটাবেস লোড হচ্ছে...
Loading customers...,গ্রাহক লোড হচ্ছে...
Loading database stats...,ডাটাবেস পরিসংখ্যান লোড হচ্ছে...
Loading details...,বিশদ লোড হচ্ছে...
Loading invoice history...,চালান ইতিহাস লোড হচ্ছে...
Loading items...,আইটেম লোড হচ্ছে...
Loading product catalog...,পণ্য ক্যাটালগ লোড হচ্ছে...
Loading return invoices...,রিটার্ন ইনভয়েস লোড হচ্ছে...
Loading server CPU/memory usage...,সার্ভার CPU/মেমরি ব্যবহার লোড হচ্ছে...
Loading suppliers...,সরবরাহকারী লোড হচ্ছে...
Loading unpaid invoices...,অবৈতনিক চালান লোড হচ্ছে...
Loading view...,দৃশ্য লোড হচ্ছে...
Loading...,লোড হচ্ছে...
Local storage is unavailable. Switching to online-only mode.,স্থানীয় সঞ্চয়স্থান অনুপলব্ধ. শুধুমাত্র-অনলাইন মোডে স্যুইচ করা হচ্ছে।
localStorage,স্থানীয় স্টোরেজ
Location Performance,অবস্থান কর্মক্ষমতা
Locations,অবস্থানসমূহ
Lock Screen,লক স্ক্রীন
Lookup Workflow,ওয়ার্কফ্লো দেখুন
Loss,ক্ষতি
Low,কম
Low Stock,কম স্টক
Low Stock Alerts,কম স্টক সতর্কতা
Low Stock Items,কম স্টক আইটেম
Low Stock Threshold,নিম্ন স্টক থ্রেশহোল্ড
Low Stock Total,কম স্টক মোট
Lowest Margin,সর্বনিম্ন মার্জিন
Low-frequency maintenance and system details.,কম ফ্রিকোয়েন্সি রক্ষণাবেক্ষণ এবং সিস্টেমের বিবরণ।
Loyalty Redeemed,আনুগত্য রিডিম করা হয়েছে
Loyalty Redemption,আনুগত্য মুক্তি
Make New Payment,নতুন পেমেন্ট করুন
Manage all,সব ম্যানেজ করুন
Manage and synchronize your offline transactions,আপনার অফলাইন লেনদেন পরিচালনা এবং সিঙ্ক্রোনাইজ করুন
Manage Cashier PIN,ক্যাশিয়ার পিন পরিচালনা করুন
"Manage offline tools, terminal controls, and maintenance from one workspace.","একটি ওয়ার্কস্পেস থেকে অফলাইন টুল, টার্মিনাল কন্ট্রোল এবং রক্ষণাবেক্ষণ পরিচালনা করুন।"
manual,ম্যানুয়াল
"Manual codes, barcode scans, and QR scans work in the same field","ম্যানুয়াল কোড, বারকোড স্ক্যান এবং QR স্ক্যান একই ক্ষেত্রে কাজ করে"
Manual offline mode is enabled,ম্যানুয়াল অফলাইন মোড সক্ষম করা হয়েছে৷
Margin,মার্জিন
Maximum available quantity is {0}. Quantity adjusted to match stock.,সর্বাধিক উপলব্ধ পরিমাণ হল {0}৷ স্টক মেলে পরিমাণ সমন্বয়.
Maximum discount amount for this offer item is {0}.,এই অফার আইটেমের জন্য সর্বোচ্চ ছাড়ের পরিমাণ হল {0}।
Maximum discount percentage for this offer item is {0}%.,এই অফার আইটেমের জন্য সর্বোচ্চ ছাড় শতাংশ হল {0}%।
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,সর্বাধিক অফারের পরিমাণ হল {0}৷ পরিমাণ অনুমোদিত সীমার সাথে সামঞ্জস্য করা হয়েছে।
Medium,মাঝারি
Method-wise Collections,পদ্ধতি অনুসারে সংগ্রহ
Minimum allowed rate for this offer item is {0}.,এই অফার আইটেমের জন্য সর্বনিম্ন অনুমোদিত হার হল {0}।
Minimum Qty,ন্যূনতম পরিমাণ
Mobile No,মোবাইল নং
Mode,মোড
Mode of Payment,অর্থপ্রদানের মোড
Month,মাস
Month ?,মাস?
Monthly Profit,মাসিক লাভ
Monthly Sales,মাসিক বিক্রয়
Monthly Sales Summary,মাসিক বিক্রয় সারাংশ
Month-wise,মাসভিত্তিক
Most Active Cashiers,সর্বাধিক সক্রিয় ক্যাশিয়ার
Movement Type,আন্দোলনের ধরন
Movements,আন্দোলন
Multi Currency,বহু মুদ্রা
N/A,N/A
Name,নাম
Negative Stock,নেতিবাচক স্টক
Negative Stock Items,নেতিবাচক স্টক আইটেম
Negative values not allowed,নেতিবাচক মান অনুমোদিত নয়
Net,নেট
Net Qty,নেট পরিমাণ
Net Sales,নেট বিক্রয়
Net Value,নেট ভ্যালু
Never,কখনই না
New changes are ready to load,নতুন পরিবর্তনগুলি লোড করার জন্য প্রস্তুত৷
New Item,নতুন আইটেম
New Offer Available,নতুন অফার উপলব্ধ
New PIN,নতুন পিন
New rate,নতুন হার
Next unit of measure,পরিমাপের পরবর্তী একক
No attribute data found.,কোনো অ্যাট্রিবিউট ডেটা পাওয়া যায়নি।
No Barcode,বারকোড নেই
No barcode found for UOM '{0}',UOM '{0}'-এর জন্য কোনো বারকোড পাওয়া যায়নি
No branch/location data found.,কোন শাখা/অবস্থান তথ্য পাওয়া যায়নি.
No brand data found.,কোন ব্র্যান্ড ডেটা পাওয়া যায়নি।
No cached gift card balance is available offline.,অফলাইনে কোনো ক্যাশ করা উপহার কার্ড ব্যালেন্স পাওয়া যায় না।
No camera found on this device. Please ensure your device has a working camera.,এই ডিভাইসে কোন ক্যামেরা পাওয়া যায়নি। আপনার ডিভাইসে একটি কর্মক্ষম ক্যামেরা আছে তা নিশ্চিত করুন।
No capability warnings recorded yet.,কোন ক্ষমতা সতর্কতা এখনও রেকর্ড করা.
No cash expected for this shift.,এই শিফটের জন্য কোন নগদ প্রত্যাশিত.
No cash mode configured,কোন নগদ মোড কনফিগার করা
No cash movement type is allowed for this POS Profile.,এই POS প্রোফাইলের জন্য নগদ চলাচলের প্রকারের অনুমতি নেই।
No cashier PIN is set yet. Create one now.,এখনও কোনো ক্যাশিয়ার পিন সেট করা হয়নি৷ এখন একটি তৈরি করুন.
No cashier profiles are available for this POS profile yet.,এই POS প্রোফাইলের জন্য কোন ক্যাশিয়ার প্রোফাইল এখনও উপলব্ধ নেই৷
No cashier-wise discount/void/return activity.,কোন ক্যাশিয়ার-ভিত্তিক ডিসকাউন্ট/অকার্যকর/রিটার্ন কার্যকলাপ.
No category data found.,কোন বিভাগ তথ্য পাওয়া যায়নি.
No category profitability data found.,কোনো বিভাগ লাভজনক তথ্য পাওয়া যায়নি.
No change returned recorded for this shift.,এই শিফটের জন্য কোনো পরিবর্তন রেকর্ড করা হয়নি।
No change-allocation invoices match the current filters.,বর্তমান ফিল্টারগুলির সাথে কোনো পরিবর্তন-বরাদ্দের চালান মেলে না।
No charge head breakdown found.,কোনো চার্জ হেড ব্রেকডাউন পাওয়া যায়নি।
No Company Selected,কোন কোম্পানি নির্বাচিত
No customer sales data found.,কোন গ্রাহক বিক্রয় তথ্য পাওয়া যায়নি.
No day-wise discount/void/return trend.,কোন দিন অনুযায়ী ডিসকাউন্ট/অকার্যকর/রিটার্ন প্রবণতা.
No day-wise payment data found.,কোনো দিনভিত্তিক পেমেন্ট ডেটা পাওয়া যায়নি।
No day-wise profitability trend found.,কোনো দিনভিত্তিক লাভের প্রবণতা পাওয়া যায়নি।
No day-wise purchase data found.,কোন দিন ভিত্তিক ক্রয় তথ্য পাওয়া যায়নি.
No day-wise sales trend found.,কোন দিন ভিত্তিক বিক্রয় প্রবণতা পাওয়া যায় নি.
No day-wise tax/charges trend found.,কোনো দিন-ভিত্তিক ট্যাক্স/চার্জের প্রবণতা পাওয়া যায়নি।
No dead stock items.,কোন মৃত স্টক আইটেম.
No due date,কোনো নির্দিষ্ট তারিখ নেই
No exact repair match found for this invoice,এই চালানের জন্য কোনো সঠিক মেরামতের মিল পাওয়া যায়নি
No hourly sales trend found for today.,আজকের জন্য প্রতি ঘণ্টায় বিক্রির প্রবণতা পাওয়া যায়নি।
No invoice activity found.,কোন চালান কার্যকলাপ পাওয়া যায়নি.
No invoices found,কোন চালান পাওয়া যায়নি
No invoices found. Try different search criteria.,কোন চালান পাওয়া যায়নি. বিভিন্ন অনুসন্ধান মানদণ্ড চেষ্টা করুন.
No invoices recorded for this shift.,এই শিফটের জন্য কোনো চালান রেকর্ড করা হয়নি।
No item profitability data found.,কোনো আইটেম লাভজনক তথ্য পাওয়া যায়নি.
No item sales data found for this period.,এই সময়ের জন্য কোন আইটেম বিক্রয় তথ্য পাওয়া যায়নি.
No items found,কোন আইটেম পাওয়া যায়নি
No items in cart,কার্টে কোনো আইটেম নেই
No items with barcodes to print,প্রিন্ট করার জন্য বারকোড সহ কোনো আইটেম নেই
No location-wise top item data found.,কোন অবস্থান অনুযায়ী শীর্ষ আইটেম তথ্য পাওয়া যায়নি.
No low stock alerts right now.,এই মুহূর্তে কোন কম স্টক সতর্কতা.
No low stock items.,কোন কম স্টক আইটেম.
No matching items in cart,কার্টে কোনো মিল নেই
No month-wise sales trend found.,মাসভিত্তিক বিক্রির প্রবণতা পাওয়া যায়নি।
No negative stock items.,কোন নেতিবাচক স্টক আইটেম.
No notifications yet,এখনও কোন বিজ্ঞপ্তি নেই
No offline cash movement synced.,কোন অফলাইন নগদ আন্দোলন সিঙ্ক.
No offline invoices pending synchronization,কোনো অফলাইন ইনভয়েস মুলতুবি সিঙ্ক্রোনাইজেশন
No offline sync issues recorded yet.,কোন অফলাইন সিঙ্ক সমস্যা এখনও রেকর্ড করা হয়েছে.
No out-of-stock items.,কোন আউট অফ স্টক আইটেম.
No outstanding credit invoices for this shift.,এই শিফটের জন্য কোন বকেয়া ক্রেডিট চালান নেই।
No payment collection data found.,পেমেন্ট সংগ্রহের কোনো ডেটা পাওয়া যায়নি।
No payment rows available on this invoice.,এই চালানে কোনো পেমেন্ট সারি উপলব্ধ নেই৷
No payments registered for this shift.,এই শিফটের জন্য কোনো পেমেন্ট নিবন্ধিত নেই।
No pending balances in this period.,এই সময়ের মধ্যে কোন মুলতুবি ব্যালেন্স নেই।
No pending offline invoices,কোনো মুলতুবি অফলাইন চালান নেই
No Print Formats Found,কোনো প্রিন্ট ফরম্যাট পাওয়া যায়নি
No profiles found for selected scope. Falling back to current profile failed.,নির্বাচিত সুযোগের জন্য কোনো প্রোফাইল পাওয়া যায়নি। বর্তমান প্রোফাইলে ফিরে আসা ব্যর্থ হয়েছে৷
No recent customer activity found.,কোন সাম্প্রতিক গ্রাহক কার্যকলাপ পাওয়া যায়নি.
No recent stock entries found.,কোনো সাম্প্রতিক স্টক এন্ট্রি পাওয়া যায়নি.
No records found,কোন রেকর্ড পাওয়া যায়নি
No reorder suggestions right now.,এই মুহূর্তে কোনো পুনর্বিন্যাস পরামর্শ নেই.
No repeat customers in this period.,এই সময়ের মধ্যে কোন পুনরাবৃত্তি গ্রাহকদের.
No response from server,সার্ভার থেকে কোন প্রতিক্রিয়া
No return invoices found,কোনো রিটার্ন ইনভয়েস পাওয়া যায়নি
No return item trend found.,কোনো রিটার্ন আইটেমের প্রবণতা পাওয়া যায়নি।
No returnable items found for this invoice,এই চালানের জন্য কোনো ফেরতযোগ্য আইটেম পাওয়া যায়নি
No returns were processed in this shift.,এই শিফটে কোনো রিটার্ন প্রক্রিয়া করা হয়নি।
No risk activity found.,কোনো ঝুঁকিপূর্ণ কার্যকলাপ পাওয়া যায়নি।
No sales activity found for this period.,এই সময়ের জন্য কোন বিক্রয় কার্যকলাপ পাওয়া যায়নি.
No slow moving items.,কোন ধীর গতিশীল আইটেম.
No staff sales activity found.,কোন কর্মী বিক্রয় কার্যকলাপ পাওয়া যায়নি.
No stock movement for this period.,এই সময়ের জন্য কোন স্টক আন্দোলন.
No submitted cash movements in this shift.,এই শিফটে কোনো জমাকৃত নগদ মুভমেন্ট নেই।
No supplier purchases found in this month.,এই মাসে কোনো সরবরাহকারী কেনাকাটা পাওয়া যায়নি।
No suppliers found for this period.,এই সময়ের জন্য কোন সরবরাহকারী পাওয়া যায়নি.
No sync trigger has run yet in this session.,এই সেশনে এখনও কোনো সিঙ্ক ট্রিগার চালানো হয়নি।
No tax head breakdown found.,কোনো ট্যাক্স হেড ব্রেকডাউন পাওয়া যায়নি।
No top items found for this location.,এই অবস্থানের জন্য কোন শীর্ষ আইটেম পাওয়া যায়নি.
No unpaid invoices,কোনো অবৈতনিক চালান নেই
No variant data found.,কোন বৈকল্পিক তথ্য পাওয়া যায়নি.
No week-wise sales trend found.,সপ্তাহ ভিত্তিক বিক্রয় প্রবণতা পাওয়া যায়নি।
No.,না.
Nobile Number,নোবিল নম্বর
Not available,পাওয়া যায় না
Not checked,চেক করা হয়নি
Not selected,নির্বাচিত হয়নি
Not Set,সেট নয়
Notifications,বিজ্ঞপ্তি
Offer,অফার
Offer Applied,অফার প্রযোজ্য
Offer criteria exceeded,অফার মানদণ্ড অতিক্রম করেছে
Offer Item,অফার আইটেম
Offer item unavailable,অফার আইটেম অনুপলব্ধ
Offer Removed,অফার সরানো হয়েছে
Offer UOM cannot be changed,অফার UOM পরিবর্তন করা যাবে না
Offer?,অফার?
Offers,অফার করে
Offline,অফলাইন
Offline & Sync,অফলাইন এবং সিঙ্ক
Offline Capabilities,অফলাইন ক্ষমতা
Offline data status refreshed,অফলাইন ডেটা স্ট্যাটাস রিফ্রেশ করা হয়েছে
Offline diagnostics,অফলাইন ডায়াগনস্টিকস
Offline Invoices,অফলাইন চালান
Offline invoices status,অফলাইন চালানের স্থিতি
Offline invoices synced,অফলাইন চালানগুলি সিঙ্ক করা হয়েছে৷
Offline Queue: {0},অফলাইন সারি: {0}
Offline rebuild guidance,অফলাইন পুনর্নির্মাণের নির্দেশিকা
Offline restore is unavailable for this session.,এই সেশনের জন্য অফলাইন পুনরুদ্ধার অনুপলব্ধ৷
Offline selling is available with degraded capabilities.,অফলাইন বিক্রয় অবনমিত ক্ষমতা সঙ্গে উপলব্ধ.
Offline snapshot does not match the current POS state.,অফলাইন স্ন্যাপশট বর্তমান POS অবস্থার সাথে মেলে না।
Offline Status,অফলাইন স্থিতি
"Offline, terminal, and system controls","অফলাইন, টার্মিনাল এবং সিস্টেম নিয়ন্ত্রণ"
OK,ঠিক আছে
Online,অনলাইন
Open actions menu,অ্যাকশন মেনু খুলুন
Open balance to collect,সংগ্রহ করতে ব্যালেন্স খুলুন
Open Customer Display,গ্রাহক প্রদর্শন খুলুন
Open drawer,ড্রয়ার খুলুন
Open invoices,চালান খুলুন
Open Payments?,পেমেন্ট খুলবেন?
Open POS home,POS হোম খুলুন
Open this screen from POS Menu -> Open Customer Display.,POS মেনু থেকে এই স্ক্রীনটি খুলুন -> গ্রাহক প্রদর্শন খুলুন।
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ছবি প্রক্রিয়াকরণ সক্ষম - উন্নত বারকোড সনাক্তকরণ
OpenCV image processing unavailable on this device,এই ডিভাইসে OpenCV ইমেজ প্রসেসিং অনুপলব্ধ৷
OpenCV Off,OpenCV বন্ধ
OpenCV On,OpenCV চালু
OpenCV processing disabled,OpenCV প্রক্রিয়াকরণ অক্ষম
Opening Amount,খোলার পরিমাণ
Opening Cash,ক্যাশ খোলা
options,বিকল্প
Order,অর্ডার
Original,আসল
Other,অন্যান্য
Out,আউট
Out of Stock,স্টক আউট
Out of Stock Items,স্টক আইটেম আউট
Outstanding,অসামান্য
Outstanding Credit by Currency,মুদ্রা দ্বারা অসামান্য ক্রেডিট
Overdue,ওভারডিউ
Overpayment Change,অতিরিক্ত অর্থপ্রদান পরিবর্তন
Overpayment change deducted: {0},অতিরিক্ত অর্থপ্রদান পরিবর্তন কাটা হয়েছে: {0}
Packing List,প্যাকিং তালিকা
Page Format,পৃষ্ঠা বিন্যাস
Page unavailable offline,পৃষ্ঠা অফলাইনে অনুপলব্ধ
Paid,পেড
Paid (orig):,অর্থপ্রদান (মূল):
Paid Amount,প্রদত্ত পরিমাণ
Paid change cannot be greater than total change!,প্রদত্ত পরিবর্তন মোট পরিবর্তনের চেয়ে বেশি হতে পারে না!
Paid:,প্রদত্ত:
Parent Item,অভিভাবক আইটেম
Partial,আংশিক
Partly Paid,আংশিক অর্থপ্রদান
Party Account,পার্টি অ্যাকাউন্ট
Party Type,পার্টি টাইপ
Pause terminal until next cashier,পরবর্তী ক্যাশিয়ার পর্যন্ত টার্মিনাল বিরতি দিন
PAY,পে
Payment,পেমেন্ট
Payment Account,পেমেন্ট অ্যাকাউন্ট
Payment entries processed for Invoice {0},ইনভয়েস {0} এর জন্য পেমেন্ট এন্ট্রি প্রক্রিয়া করা হয়েছে
Payment Entry Type,পেমেন্ট এন্ট্রি টাইপ
Payment History,পেমেন্ট ইতিহাস
Payment ID,পেমেন্ট আইডি
Payment Method Report,পেমেন্ট পদ্ধতি রিপোর্ট
Payment Methods,পেমেন্ট পদ্ধতি
Payment of {0} received successfully.,{0}-এর পেমেন্ট সফলভাবে প্রাপ্ত হয়েছে।
Payment Progress,অর্থপ্রদানের অগ্রগতি
Payment Reconciliation,পেমেন্ট পুনর্মিলন
Payment request status could not be retrieved. Please try again,অর্থপ্রদানের অনুরোধের স্থিতি পুনরুদ্ধার করা যায়নি। আবার চেষ্টা করুন
