POS Awesome,POS Minunat
Local storage is unavailable. Switching to online-only mode.,Stocarea locală nu este disponibilă. Trecerea la modul numai online.
localStorage,LocalStorage
Location Performance,Performanța locației
Locations,Locații
Lock Screen,Blocare ecran
Lookup Workflow,Flux de lucru de căutare
Loss,Pierdere
Low,Scăzut
Low Stock,Stoc redus
Low Stock Alerts,Alerte de stoc scăzut
Low Stock Items,Articole cu stoc redus
Low Stock Threshold,Pragul stoc scăzut
Low Stock Total,Stoc redus total
Lowest Margin,Marja cea mai mică
Low-frequency maintenance and system details.,Întreținere de joasă frecvență și detalii despre sistem.
Loyalty Redeemed,Loialitate răscumpărată
Loyalty Redemption,Răscumpărarea prin loialitate
Make New Payment,Efectuați o nouă plată
Manage all,Gestionați totul
Manage and synchronize your offline transactions,Gestionați și sincronizați tranzacțiile dvs. offline
Manage Cashier PIN,Gestionați PIN-ul casierului
"Manage offline tools, terminal controls, and maintenance from one workspace.","Gestionați instrumentele offline, controalele terminalului și întreținerea dintr-un singur spațiu de lucru."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Codurile manuale, scanările codurilor de bare și scanările QR funcționează în același domeniu"
Manual offline mode is enabled,Modul offline manual este activat
Margin,Marja
Maximum available quantity is {0}. Quantity adjusted to match stock.,Cantitatea maximă disponibilă este {0}. Cantitatea ajustată pentru a se potrivi cu stocul.
Maximum discount amount for this offer item is {0}.,Suma maximă de reducere pentru acest articol oferit este de {0}.
Maximum discount percentage for this offer item is {0}%.,Procentul maxim de reducere pentru acest articol ofertă este de {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Cantitatea maximă de ofertă este de {0}. Cantitatea ajustată la limita permisă.
Medium,Mediu
Method-wise Collections,Colecții din punct de vedere al metodelor
Minimum allowed rate for this offer item is {0}.,Rata minimă permisă pentru acest articol ofertă este de {0}.
Minimum Qty,Cantitate minima
Mobile No,mobil nr
Mode,Modul
Mode of Payment,Modalitate de plată
Month,luna
Month ?,luna?
Monthly Profit,Profit lunar
Monthly Sales,Vânzări lunare
Monthly Sales Summary,Rezumatul vânzărilor lunare
Month-wise,În funcție de lună
Most Active Cashiers,Cei mai activi casierii
Movement Type,Tipul de mișcare
Movements,Mișcări
Multi Currency,Mai multe valute
N/A,N/A
Name,Nume
Negative Stock,Stoc negativ
Negative Stock Items,Articole negative din stoc
Negative values not allowed,Valorile negative nu sunt permise
Net,Net
Net Qty,Cantitate netă
Net Sales,Vânzări nete
Net Value,Valoarea netă
Never,Niciodată
New changes are ready to load,Noi modificări sunt gata de încărcat
New Item,Articol nou
New Offer Available,Ofertă nouă disponibilă
New PIN,PIN nou
New rate,Tarif nou
Next unit of measure,Următoarea unitate de măsură
No attribute data found.,Nu s-au găsit date despre atribute.
No Barcode,Fără cod de bare
No barcode found for UOM '{0}',Nu s-a găsit niciun cod de bare pentru UOM „{0}”
No branch/location data found.,Nu s-au găsit date despre sucursală/locație.
No brand data found.,Nu s-au găsit date de marcă.
No cached gift card balance is available offline.,Niciun sold de card cadou stocat în cache nu este disponibil offline.
No camera found on this device. Please ensure your device has a working camera.,Nu a fost găsită nicio cameră pe acest dispozitiv. Asigurați-vă că dispozitivul dvs. are o cameră funcțională.
No capability warnings recorded yet.,Nu au fost înregistrate încă avertismente de capacitate.
No cash expected for this shift.,Nu se așteaptă numerar pentru această tură.
No cash mode configured,Niciun mod de numerar configurat
No cash movement type is allowed for this POS Profile.,Nu este permis niciun tip de mișcare de numerar pentru acest profil POS.
No cashier PIN is set yet. Create one now.,Nu este setat încă niciun cod PIN pentru casierie. Creați unul acum.
No cashier profiles are available for this POS profile yet.,Încă nu sunt disponibile profiluri de casierie pentru acest profil POS.
No cashier-wise discount/void/return activity.,Nicio activitate de reducere/anulare/retur pentru casierie.
No category data found.,Nu s-au găsit date de categorie.
No category profitability data found.,Nu s-au găsit date privind profitabilitatea categoriei.
No change returned recorded for this shift.,Nu a fost înregistrată nicio modificare înregistrată pentru această tură.
No change-allocation invoices match the current filters.,Nicio factură de modificare a alocării nu corespunde filtrelor curente.
No charge head breakdown found.,Nu a fost găsită nicio defecțiune a capului de încărcare.
No Company Selected,Nu a fost selectată nicio companie
No customer sales data found.,Nu s-au găsit date despre vânzările clienților.
No day-wise discount/void/return trend.,Fără tendință de reducere/nulare/retur în funcție de zi.
No day-wise payment data found.,Nu s-au găsit date de plată pe zi.
No day-wise profitability trend found.,Nu a fost găsită nicio tendință de profitabilitate pe zi.
No day-wise purchase data found.,Nu s-au găsit date de achiziție pe zi.
No day-wise sales trend found.,Nu a fost găsită nicio tendință de vânzări pe zi.
No day-wise tax/charges trend found.,Nu a fost găsită nicio tendință de taxe/taxări pe zi.
No dead stock items.,Nu există articole de stoc mort.
No due date,Fără termen
No exact repair match found for this invoice,Nu s-a găsit nicio potrivire exactă a reparației pentru această factură
No hourly sales trend found for today.,Nu s-a găsit nicio tendință orară de vânzări pentru astăzi.
No invoice activity found.,Nu a fost găsită nicio activitate pe factură.
No invoices found,Nu au fost găsite facturi
No invoices found. Try different search criteria.,Nu au fost găsite facturi. Încercați diferite criterii de căutare.
No invoices recorded for this shift.,Nu au fost înregistrate facturi pentru această tură.
No item profitability data found.,Nu s-au găsit date despre profitabilitatea articolului.
No item sales data found for this period.,Nu s-au găsit date despre vânzări de articole pentru această perioadă.
No items found,Nu s-au găsit articole
No items in cart,Nu există articole în coș
No items with barcodes to print,Nu există articole cu coduri de bare de imprimat
No location-wise top item data found.,Nu s-au găsit date despre articolele de top în funcție de locație.
No low stock alerts right now.,Nu există alerte de stoc scăzut în acest moment.
No low stock items.,Nu există articole cu stoc redus.
No matching items in cart,Nu există articole care se potrivesc în coș
No month-wise sales trend found.,Nu a fost găsită nicio tendință de vânzări lunară.
No negative stock items.,Fără articole de stoc negative.
No notifications yet,Nicio notificare încă
No offline cash movement synced.,Nu s-a sincronizat nicio mișcare de numerar offline.
No offline invoices pending synchronization,Nu există facturi offline în așteptarea sincronizării
No offline sync issues recorded yet.,Nu au fost înregistrate încă probleme de sincronizare offline.
No out-of-stock items.,Fără articole epuizate.
No outstanding credit invoices for this shift.,Nu există facturi de credit restante pentru această tură.
No payment collection data found.,Nu s-au găsit date de colectare a plăților.
No payment rows available on this invoice.,Nu există rânduri de plată disponibile pe această factură.
No payments registered for this shift.,Nu au fost înregistrate plăți pentru această tură.
No pending balances in this period.,Nu există solduri în așteptare în această perioadă.
No pending offline invoices,Nu există facturi offline în așteptare
No Print Formats Found,Nu s-au găsit formate de imprimare
No profiles found for selected scope. Falling back to current profile failed.,Nu s-au găsit profiluri pentru domeniul selectat. Revenirea la profilul actual nu a reușit.
No recent customer activity found.,Nu a fost găsită nicio activitate recentă a clienților.
No recent stock entries found.,Nu s-au găsit intrări recente de stoc.
No records found,Nu au fost găsite înregistrări
No reorder suggestions right now.,Nicio sugestie de reordonare în acest moment.
No repeat customers in this period.,Nu există clienți repetați în această perioadă.
No response from server,Niciun răspuns de la server
No return invoices found,Nu au fost găsite facturi de retur
No return item trend found.,Nu a fost găsită nicio tendință de returnare.
No returnable items found for this invoice,Nu s-au găsit articole returnabile pentru această factură
No returns were processed in this shift.,Nu au fost procesate returnări în această tură.
No risk activity found.,Nu a fost găsită nicio activitate de risc.
No sales activity found for this period.,Nu a fost găsită activitate de vânzări pentru această perioadă.
No slow moving items.,Fără obiecte cu mișcare lentă.
No staff sales activity found.,Nu a fost găsită nicio activitate de vânzări de personal.
No stock movement for this period.,Nicio mișcare de stoc pentru această perioadă.
No submitted cash movements in this shift.,Nu au fost transmise mișcări de numerar în această tură.
No supplier purchases found in this month.,Nu s-au găsit achiziții de la furnizori în această lună.
No suppliers found for this period.,Nu s-au găsit furnizori pentru această perioadă.
No sync trigger has run yet in this session.,Nu s-a rulat încă niciun declanșator de sincronizare în această sesiune.
No tax head breakdown found.,Nu s-a găsit nicio defalcare fiscală.
No top items found for this location.,Nu s-au găsit articole de top pentru această locație.
No unpaid invoices,Fără facturi neplătite
No variant data found.,Nu s-au găsit date variante.
No week-wise sales trend found.,Nu a fost găsită nicio tendință de vânzări pe săptămână.
No.,Nu.
Nobile Number,Număr nobil
Not available,Nu este disponibil
Not checked,Neverificat
Not selected,Neselectat
Not Set,Nu setat
Notifications,Notificări
Offer,Oferta
Offer Applied,Oferta aplicată
Offer criteria exceeded,Au fost depășite criteriile ofertei
Offer Item,Ofertă articol
Offer item unavailable,Articolul ofertă nu este disponibil
Offer Removed,Oferta a fost eliminată
Offer UOM cannot be changed,Oferta UOM nu poate fi modificată
Offer?,Oferta?
Offers,Oferte
Offline,Offline
Offline & Sync,Offline și sincronizare
Offline Capabilities,Capacități offline
Offline data status refreshed,Starea datelor offline a fost reîmprospătată
Offline diagnostics,Diagnosticare offline
Offline Invoices,Facturi offline
Offline invoices status,Starea facturilor offline
Offline invoices synced,Facturi offline sincronizate
Offline Queue: {0},Coada offline: {0}
Offline rebuild guidance,Ghid de reconstrucție offline
Offline restore is unavailable for this session.,Restaurarea offline nu este disponibilă pentru această sesiune.
Offline selling is available with degraded capabilities.,Vânzarea offline este disponibilă cu capacități degradate.
Offline snapshot does not match the current POS state.,Instantaneul offline nu se potrivește cu starea POS curentă.
Offline Status,Stare offline
"Offline, terminal, and system controls","Comenzi offline, terminale și sistem"
OK,OK
Online,Online
Open actions menu,Deschideți meniul de acțiuni
Open balance to collect,Sold deschis de colectat
Open Customer Display,Deschideți Afișarea clienților
Open drawer,Deschide sertarul
Open invoices,Facturi deschise
Open Payments?,Plăți deschise?
Open POS home,Deschideți acasă POS
Open this screen from POS Menu -> Open Customer Display.,Deschideți acest ecran din Meniul POS -> Deschideți afișajul clientului.
OpenCV image processing enabled - Enhanced barcode detection,Procesarea imaginii OpenCV activată - Detectare îmbunătățită a codurilor de bare
OpenCV image processing unavailable on this device,Procesarea imaginii OpenCV nu este disponibilă pe acest dispozitiv
OpenCV Off,OpenCV dezactivat
OpenCV On,OpenCV activat
OpenCV processing disabled,Procesarea OpenCV este dezactivată
Opening Amount,Suma de deschidere
Opening Cash,Deschiderea numerarului
options,opțiuni
Order,Comanda
Original,Original
Other,Altele
Out,Afară
Out of Stock,Stoc epuizat
Out of Stock Items,Articole epuizate
Outstanding,Remarcabil
Outstanding Credit by Currency,Credit restante în funcție de monedă
Overdue,Întârziat
Overpayment Change,Schimbare de plată în exces
Overpayment change deducted: {0},Modificarea plății în exces a fost dedusă: {0}
Packing List,Lista de ambalare
Page Format,Formatul paginii
Page unavailable offline,Pagina indisponibilă offline
Paid,Plătit
Paid (orig):,Plătit (orig):
Paid Amount,Suma plătită
Paid change cannot be greater than total change!,Schimbarea plătită nu poate fi mai mare decât schimbarea totală!
Paid:,Plătit:
Parent Item,Element părinte
Partial,Parțial
Partly Paid,Plătit parțial
Party Account,Cont de petrecere
Party Type,Tip de petrecere
Pause terminal until next cashier,Întrerupeți terminalul până la următoarea casierie
PAY,PLATĂ
Payment,Plata
Payment Account,Cont de plată
Payment entries processed for Invoice {0},Intrări de plată procesate pentru Factura {0}
Payment Entry Type,Tip de intrare de plată
Payment History,Istoricul plăților
Payment ID,ID de plată
Payment Method Report,Raportul metodei de plată
Payment Methods,Metode de plată
Payment of {0} received successfully.,Plata pentru {0} a primit cu succes.
Payment Progress,Progresul plății
Payment Reconciliation,Reconcilierea plăților
Payment request status could not be retrieved. Please try again,Starea solicitării de plată nu a putut fi preluată. Vă rugăm să încercați din nou
Payment Request took too long to respond. Please try requesting for payment again,Solicitarea de plată a durat prea mult pentru a răspunde. Vă rugăm să încercați să solicitați din nou plata
Payment saved offline,Plata a fost salvată offline
Payment State,Statul de plată
Payment Status,Starea plății
Payment submitted but print function could not be executed. Payment name not found.,"Plata a fost trimisă, dar funcția de imprimare nu a putut fi executată. Numele plății nu a fost găsit."
Payment submitted.,Plata transmisă.
Payment Summary,Rezumatul plăților
Payments,Plăți
Payments are not open. Do you want to open payments and submit?,Plățile nu sunt deschise. Doriți să deschideți plăți și să trimiteți?
Payments by Mode of Payment,Plăți prin Modul de Plată
PDF,PDF
Peak Hour,Ora de vârf
Peak Memory:,Memorie maximă:
Peak Server:,Peak Server:
Peak:,Vârf:
Pending,În așteptare
Pending Amount,Sumă în așteptare
Pending count updated from {0} to {1},Numărul în așteptare a fost actualizat de la {0} la {1}
Pending Exposure,Expunere în așteptare
Pending Invoices,Facturi în așteptare
Pending Ratio,Raportul în așteptare
Pending Sales,Vânzări în așteptare
Pending sales: {0} | Cache usage: {1}%,Vânzări în așteptare: {0} | Utilizare cache: {1}%
Pending Sync,Sincronizare în așteptare
Pending: {0},În așteptare: {0}
Pending: {0} | Synced: {1} | Draft: {2},În așteptare: {0} | Sincronizat: {1} | Schiță: {2}
Per Page,Pe pagină
Personal,Personal
Personal preferences adjust the current cashier experience without changing the active POS route.,Preferințele personale ajustează experiența actuală a casieriei fără a schimba ruta POS activă.
PIN confirmation does not match.,Confirmarea PIN nu se potrivește.
PIN must be 4 to 8 digits.,PIN-ul trebuie să aibă 4 până la 8 cifre.
Please add at least one item.,Vă rugăm să adăugați cel puțin un articol.
Please allow camera access to scan codes,Vă rugăm să permiteți accesul camerei pentru a scana codurile
Please enter payment amount,Vă rugăm să introduceți suma de plată
Please fill all required fields,Vă rugăm să completați toate câmpurile obligatorii
Please make a payment or select a payment,Vă rugăm să efectuați o plată sau selectați o plată
Please request phone payment or use another payment method,Vă rugăm să solicitați plata telefonică sau să utilizați o altă metodă de plată
Please select a customer first,Vă rugăm să selectați mai întâi un client
Please select a party,Vă rugăm să selectați o petrecere
Please select a party before reconciling.,Vă rugăm să selectați o parte înainte de a reconcilia.
Please select a valid movement type.,Vă rugăm să selectați un tip de mișcare valid.
Please select an invoice,Vă rugăm să selectați o factură
Please select company before reconciling.,Vă rugăm să selectați compania înainte de a reconcilia.
Please set the customer's mobile number,Vă rugăm să setați numărul de telefon mobil al clientului
Please try again or enter the item manually.,Vă rugăm să încercați din nou sau să introduceți elementul manual.
Please verify the barcode or check the item's availability.,Vă rugăm să verificați codul de bare sau să verificați disponibilitatea articolului.
Points,Puncte
Popup blocked. Please allow popups.,Popup blocat. Vă rugăm să permiteți ferestrele pop-up.
POS,POS
POS controls and maintenance,Controale și întreținere POS
POS Expense is disabled for this POS Profile.,Cheltuieli POS este dezactivată pentru acest profil POS.
POS is running with limited offline prerequisites.,POS rulează cu cerințe prealabile offline limitate.
POS Profile,Profil POS
Position the QR code or barcode within the scanning area,Poziționați codul QR sau codul de bare în zona de scanare
Posting,Postare
Posting and Price List,Postare și Lista de prețuri
Posting Date,Data afisarii
Preparing background sync,Se pregătește sincronizarea în fundal
"Press OK to continue offline with a warning, or Cancel to retry.",Apăsați OK pentru a continua offline cu un avertisment sau Anulați pentru a reîncerca.
Previous unit of measure,Unitatea de măsură anterioară
Price List,Lista de preturi
Price List Rate,Tarif Lista de preturi
Price list rate updated locally only,Tariful listei de prețuri este actualizat doar local
Pricing & Discounts,Prețuri și reduceri
Pricing Rule,Regula de preț
Print,Imprimați
Print Draft,Imprimare ciornă
Print Format (Invoice),Format de imprimare (factură)
Print Format (Order),Format de imprimare (comanda)
Print invoice,Imprimați factura
Print Purchase Invoice instead of PO,Imprimați factura de achiziție în loc de OP
Printer,Imprimanta
Processed returns impacting the shift totals,Retururi procesate care afectează totalul schimburilor
Processing Payment,Procesarea plății
Processing payment entries for Invoice {0},Procesarea intrărilor de plată pentru Factura {0}
Profile,Profil
Profiles,Profiluri
Profit,Profit
Profit: Invoice Item Estimate,Profit: Estimarea articolului pe factură
Profit: Stock Ledger (COGS),Profit: Stock Ledger (COGS)
Profitability Report,Raport de profitabilitate
Prorated return discount,Reducere de retur proporțională
Purchase Amount,Suma de achiziție
Purchase Invoices,Facturi de achiziție
Purchase Order created,Comanda de achiziție creată
Qty,Cant
Qualified,Calificat
Quantity,Cantitatea
Quantity exceeds available stock,Cantitatea depășește stocul disponibil
Quick Actions,Acțiuni rapide
Quotation {0} is Submitted,Cotația {0} este trimisă
Quotation submitted,Cotația depusă
QZ Tray connected.,Tava QZ conectată.
QZ Tray is manually disconnected. Press Connect to enable it again.,Tava QZ este deconectată manual. Apăsați Conectare pentru a-l activa din nou.
QZ Tray is not connected.,Tava QZ nu este conectată.
QZ Tray Setup,Configurare tavă QZ
Rate,Rata
Rate adjusted to maximum allowed discount,Tarif ajustat la reducerea maximă permisă
Ready,Gata
Ready to resume,Gata de reluat
Ready!,Gata!
Real-time POS insights for retail operations.,Informații POS în timp real pentru operațiunile de vânzare cu amănuntul.
Rebuild Offline Data,Reconstruiți datele offline
Receive,Primește
Receive now,Primește acum
Received,Primit
Received:,Primit:
Recent Movement Entries,Înregistrări recente în mișcare
Recent updates about your invoices,Actualizări recente despre facturile dvs
Recently Active Customers,Clienți Activi recent
Rechecking connection,Se verifică din nou conexiunea
Reconcile payment methods and close shift,Reconciliați metodele de plată și închideți tura
Reconciling Payments,Reconcilierea plăților
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Reconectați-vă și deschideți această pagină o dată când sunteți online, apoi reîmprospătările offline o vor putea restabili."
Reconnect online to refresh cached offline data from the server.,Reconectați-vă online pentru a reîmprospăta datele offline din cache de pe server.
Recreate local offline prerequisites from scratch,Recreează de la zero cerințele locale offline
Recv:,Recv:
Redeem,Răscumpărați
Redeem / Scan,Valorificați / Scanați
Redeem Amount,Rambursați suma
Redeem Mode,Modul de valorificare
Redeemed Amount,Suma răscumpărată
Redeemed credit cannot be greater than its total.,Creditul răscumpărat nu poate fi mai mare decât totalul său.
Redemption and Totals,Răscumpărarea și totalurile
Reference,Referință
Refresh,Reîmprospătați
Refresh Exchange Rate,Actualizează cursul de schimb
Refresh Offline Data,Actualizează datele offline
Refresh Printers,Actualizează imprimantele
Refund,Rambursare
Release Notes,Note de lansare
Reload,Reîncărcați
Reload customers,Reîncărcați clienții
Reload Items,Reîncărcați articole
Reload Now,Reîncărcați acum
Reload to apply the latest changes. Your current session will be refreshed.,Reîncărcați pentru a aplica cele mai recente modificări. Sesiunea dvs. curentă va fi reîmprospătată.
Reload Workflow,Reîncărcați fluxul de lucru
Remarks,Remarci
Remarks are required.,Sunt necesare observații.
Remove,Eliminați
Remove barcode item,Eliminați elementul cod de bare
Remove cached data and reload the POS app,Eliminați datele din cache și reîncărcați aplicația POS
Remove item,Eliminați elementul
Remove Offer,Elimina oferta
Reorder / Purchase Suggestions,Recomandă / Sugestii de cumpărare
Repair Candidate,Candidat reparație
Repair Change Allocation,Reparați modificarea alocației
Repair requires an online connection,Reparația necesită o conexiune online
Repaired,Reparat
Repairing change allocation,Repararea alocării modificărilor
Repeat Customers,Clienți repetați
Repeat Rate,Rata de repetare
Request,Cerere
Request ID: {0},ID cerere: {0}
Request Payment,Solicitați Plata
Requested route: {0},Ruta solicitată: {0}
Required columns cannot be hidden,Coloanele obligatorii nu pot fi ascunse
Reset,Resetați
Reset item name,Resetați numele articolului
Reset to Default,Resetați la valoarea implicită
Resource Health,Sănătatea resurselor
Restricted,Restricţionat
Restricted operational controls for supervisors only.,Controale operaționale restricționate numai pentru supraveghetori.
Retry,Reîncercați
Retry route,Reîncercați ruta
Return,Întoarce-te
Return Amount,Suma returnată
Return Count,Număr de întoarceri
Return items must have negative quantities,Articolele returnate trebuie să aibă cantități negative
Return total must be negative,Totalul randamentului trebuie să fie negativ
Return Valid Until,Returnare valabilă până la
Return window passed,Fereastra de întoarcere a trecut
Return without Invoice,Returnare fara factura
Returns,Retururi
Returns / Voids / Discounts,Retururi / Anulări / Reduceri
Returns by Currency,Returnări în funcție de monedă
Revenue,Venituri
Review shift totals before submitting the closing entry,Examinați totalurile schimburilor înainte de a trimite înregistrarea de închidere
Round Off,Rotunjiți
Rows,Rânduri
Rows:,Rânduri:
Rule,Regula
Sale,Vânzare
Sales,Vânzări
Sales Order {0} is Submitted,Comanda de vânzare {0} este trimisă
Sales Person and Print,Persoana de vanzari si tipar
Sales Person not found,Persoana de vânzări nu a fost găsită
Sales processed,Vânzări procesate
Sales Return,Returnarea vânzărilor
Sales Trend Report,Raport privind tendințele vânzărilor
Save,Salvați
Save & Clear,Salvați și ștergeți
Save as POS Profile Default,Salvați ca profil POS implicit
Save Settings,Salvați setările
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Salvați imprimanta selectată ca profil implicit POS, astfel încât să se afișeze automat în această configurare."
Saved as draft because: {0},Salvat ca schiță deoarece: {0}
Saving...,Se salvează...
Scale barcode detected. Quantity here is the number of labels to print.,S-a detectat codul de bare. Cantitatea aici este numărul de etichete de imprimat.
Scale barcode settings are not configured. Using item barcode only.,Setările pentru codul de bare pentru scară nu sunt configurate. Folosind numai codul de bare al articolului.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Codul de bare șablon de scară lipsește pentru acest articol/UOM. Folosind numai codul de bare al articolului.
Scan an existing card and top it up without leaving the payment flow.,Scanați un card existent și încărcați-l fără a părăsi fluxul de plată.
Scan Error,Eroare de scanare
Scan or enter a gift card code to check balance or redeem.,Scanați sau introduceți un cod de card cadou pentru a verifica soldul sau pentru a valorifica.
Scan or paste the card code below.,Scanați sau inserați codul cardului de mai jos.
Scan QR Code/Barcode,Scanați codul QR/codul de bare
Scan with camera,Scanează cu camera
Scan-First Flow,Scanare-Primul flux
Scanned Code:,Cod scanat:
Scanning for: {0},Se scanează pentru: {0}
Scanning items,Scanarea articolelor
Scan-Ready,Gata de scanare
Scope,Domeniul de aplicare
Scope: All Profiles,Domeniu de aplicare: Toate profilurile
Scope: Current Profile,Domeniu de aplicare: Profil curent
Scope: Specific Profile,Domeniu de aplicare: Profil specific
Search,Caută
Search Account,Căutați în cont
Search an invoice and continue the return flow without extra steps.,Căutați o factură și continuați fluxul de returnare fără pași suplimentari.
Search customer,Cauta client
Search invoices or customers,Căutați facturi sau clienți
Search item,Căutare articol
Search item / code,Căutați articol/cod
Search items or barcode,Căutați articole sau coduri de bare
Search Mpesa Payments,Căutați Mpesa Payments
Search return invoices or customers,Căutați facturi de retur sau clienți
Search supplier,Caută furnizor
Search unpaid invoices or customers,Căutați facturi neplătite sau clienți
Secure context (HTTPS or localhost) is required for camera access.,Contextul securizat (HTTPS sau localhost) este necesar pentru accesul la cameră.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Este necesar un context securizat (HTTPS) pentru accesul la cameră. Vă rugăm să utilizați HTTPS pentru a accesa camera.
Select,Selectați
Select a cashier first.,Selectați mai întâi un casier.
Select a customer,Selectați un client
Select a customer to use coupon,Selectați un client pentru a utiliza cuponul
Select a printer to use QZ silent printing.,Selectați o imprimantă pentru a utiliza imprimarea silențioasă QZ.
Select Batch,Selectați lot
Select Columns to Display,Selectați Coloane de afișat
Select items to sell,Selectați articolele de vândut
Select Payment,Selectați Plată
Select Payment Account,Selectați Cont de plată
Select printer,Selectați imprimanta
Select Return Invoice,Selectați Retur Factură
Select S.O,Selectați S.O
Select Sales Orders,Selectați Comenzi de vânzare
Select the cashier who is taking over this terminal.,Selectați casierul care preia acest terminal.
Selected,Selectat
Selected movement type is not allowed by POS Profile.,Tipul de mișcare selectat nu este permis de Profilul POS.
Selected Payments,Plăți selectate
Sensitive actions kept away from quick taps.,Acțiunile sensibile ținute departe de atingeri rapide.
Serial,Serial
Serial Numbers,Numere de serie
Server CPU Usage:,Utilizare CPU server:
Server Health,Sănătatea serverului
Server Memory Usage:,Utilizarea memoriei serverului:
Server Metrics,Valorile serverului
Server Uptime:,Timp de funcționare a serverului:
Service Charges,Taxe de servicii
Session,Sesiune
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Setați fiecare cod PIN al casieriei în formularul de utilizator și păstrați membrii terminalului alocați în profilul utilizator POS.
Settings,Setări
Settings in this section update the POS workspace without changing the current route.,Setările din această secțiune actualizează spațiul de lucru POS fără a schimba ruta curentă.
Setup complete!,Configurare finalizată!
Share,Distribuie
Shared terminal,Terminal comun
Shift Closed Snapshot,Shift închis instantaneu
Shift Overview,Prezentare generală a schimburilor
Show,Arată
Show cart on customer-facing screen,Afișați coșul pe ecranul orientat către client
Show last invoice rate,Afișați ultima cotă pe factură
Show rate info,Afișați informații despre tarif
Show Repair Candidates,Afișează candidații la reparații
Show search tools,Afișați instrumentele de căutare
Show the active cart on a customer-facing screen,Afișați coșul activ pe un ecran orientat către client
Showing {0}-{1} of {2},Se afișează {0}-{1} din {2}
Showing 0 of 0,Se afișează 0 din 0
Shows the distribution of invoices per currency,Afișează distribuția facturilor pe monedă
Sign out of the current POS session,Deconectați-vă de la sesiunea curentă POS
Size:,Dimensiune:
Skipped Payments,Plăți omise
Skipping items without barcodes,Omiterea articolelor fără coduri de bare
Slow Moving,Mișcare lentă
Slow Moving Items,Elemente cu mișcare lentă
Slow Queries:,Interogări lente:
Sold,Vândut
Source,Sursa
Source Cash Account (Optional Override),Cont de numerar sursă (Anulare opțională)
Source Ex. Rate:,Sursa Ex. Evaluare:
Source Rate:,Rata sursă:
Specific Profile,Profil specific
Split Invoices,Facturi împărțite
Staff / Cashier Performance Report,Raport de performanță al personalului/casierului
Status,Stare
Stock,Stoc
Stock Information,Informații de stoc
Stock is lower than requested,Stocul este mai mic decât cel solicitat
Stock is lower than requested:\n{0},Stocul este mai mic decât cel solicitat:\n{0}
Stock Movement Report,Raport de mișcare a stocurilor
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Actualizare stoc: {0} are {1} disponibile. Adăugarea {2} va aduce stocul sub zero.
Submit,Trimiteți
Submit & Print,Trimiteți și imprimați
Submit Deposit,Trimiteți Depozit
Submit Expense,Trimiteți Cheltuială
Submitted,Trimis
Submitted Cash Movements,Mișcări de numerar transmise
Submitted entries,Intrări trimise
Successfully scanned:,Scanat cu succes:
Suggested,Sugerat
Suggested Qty,Cantitate sugerată
Supervisor Access,Acces supervizor
Supervisor permissions unlock issuance and reloads,Permisiunile supraveghetorului deblochează emiterea și reîncărcările
Supervisor Tools,Instrumente de supraveghere
Supplier,Furnizor
Supplier and dates are required.,Furnizorul și datele sunt necesare.
Supplier Invoices,Facturi furnizori
Supplier is required.,Este necesar furnizorul.
Supplier name is required,Numele furnizorului este obligatoriu
Supplier Payments,Plăți la furnizor
Supplier Purchase Summary,Rezumatul achiziției furnizorului
Suppliers,Furnizori
Suppliers not found,Furnizori nu au fost găsiti
Switch Camera,Comutați camera
Switch Cashier,Schimbă casieria
Switch the POS appearance theme,Schimbați tema aspectului POS
Switched to:,S-a schimbat la:
Sync All Invoices,Sincronizați toate facturile
Sync Offline Cash Movements ({0}),Sincronizați mișcările de numerar offline ({0})
Sync Offline Sales,Sincronizați vânzările offline
Synced {0} offline cash movement(s).,{0} mișcări de numerar offline sincronizate.
Syncing items in background,Se sincronizează elemente în fundal
System / Diagnostics,Sistem / Diagnosticare
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Acțiunile sistemului sunt controale de întreținere de joasă frecvență, cum ar fi informații despre aplicație, diagnostice de asistență și controale de sesiune."
System Information,Informații de sistem
System Status,Stare sistem
Tables:,tabele:
Tap the button below to redeem a gift card during checkout.,Atingeți butonul de mai jos pentru a valorifica un card cadou în timpul plății.
Target,țintă
Target Ex. Rate:,Țintă Ex. Evaluare:
Target Rate:,Rata țintă:
Tax,Taxa
Tax / Charges Report,Raport de taxe / taxe
Tax Heads,Șefii de taxe
Taxable Amount,Suma impozabilă
Tendered,Adresat
Terminal,Terminal
Terminal & Devices,Terminal și dispozitive
Terminal locked,Terminal blocat
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Instrumentele terminalului afectează această stație de casă, afișajele orientate către clienți și comenzile viitoare ale imprimantei/dispozitivelor."
Territory not found,Teritoriul nu a fost găsit
The amount paid is not complete,Suma plătită nu este completă
