POS Awesome,POS නියමයි
Error loading invoice details,ඉන්වොයිස් විස්තර පූරණය කිරීමේ දෝෂයකි
Error processing invoice,ඉන්වොයිසිය සැකසීමේ දෝෂයකි
Error processing payment,ගෙවීම සැකසීමේ දෝෂයකි
Error searching invoices,ඉන්වොයිසි සෙවීමේ දෝෂයකි
Error submitting invoice:,ඉන්වොයිසිය ඉදිරිපත් කිරීමේ දෝෂය:
Error submitting invoice: {0},ඉන්වොයිසිය ඉදිරිපත් කිරීමේ දෝෂයකි: {0}
Error submitting invoice: No response from server,ඉන්වොයිසිය ඉදිරිපත් කිරීමේ දෝෂයකි: සේවාදායකයෙන් ප්‍රතිචාරයක් නොමැත
Error updating currency,මුදල් යාවත්කාලීන කිරීමේ දෝෂයකි
Error updating item details,අයිතම විස්තර යාවත්කාලීන කිරීමේ දෝෂයකි
Est. Purchase,ඇස්තමේන්තුගත මිලදී ගැනීම
Est. Value,ඇස්තමේන්තුගත වටිනාකම
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop ප්‍රමාදය ඔබගේ බ්‍රවුසරය කෙතරම් කාර්යබහුලද යන්න මනිනු ලබයි. පහළ වඩා හොඳයි.
Every,සෑම
Exchange Rate,විනිමය අනුපාතය
Expand item details,අයිතම විස්තර පුළුල් කරන්න
Expected Amount (In Company Currency),අපේක්ෂිත මුදල (සමාගමේ මුදලින්)
Expected Cash,අපේක්ෂිත මුදල්
Expected cash on hand grouped by currency,මුදල් මගින් කාණ්ඩගත කර ඇති අපේක්ෂිත මුදල්
Expected vs Actual,අපේක්ෂිත එදිරිව සැබෑ
Expense,වියදම්
Expense Account (Optional Override),වියදම් ගිණුම (විකල්ප අභිබවා යාම)
Expense account is required.,වියදම් ගිණුමක් අවශ්‍යයි.
Expenses and deposits posted during this shift,මෙම මාරුව තුළ පළ කරන ලද වියදම් සහ තැන්පතු
Expired,කල් ඉකුත් වී ඇත
Failed to auto reconcile payments.,ගෙවීම් ස්වයංක්‍රීයව සමථයකට පත් කිරීමට අසමත් විය.
Failed to cancel cash movement,මුදල් චලනය අවලංගු කිරීමට අසමත් විය
Failed to clear cache,හැඹිලිය හිස් කිරීමට අසමත් විය
Failed to create item,අයිතමය සෑදීමට අසමත් විය
Failed to create supplier,සැපයුම්කරු නිර්මාණය කිරීමට අසමත් විය
Failed to delete cash movement,මුදල් චලනය මැකීමට අසමත් විය
Failed to generate scale barcode. Using item barcode only.,පරිමාණ තීරු කේතය උත්පාදනය කිරීමට අසමත් විය. අයිතම තීරු කේතය පමණක් භාවිතා කිරීම.
Failed to load cash movement context.,මුදල් සංචලන සන්දර්භය පූරණය කිරීමට අසමත් විය.
Failed to load dashboard data.,උපකරණ පුවරු දත්ත පූරණය කිරීමට අසමත් විය.
Failed to reload invoice from server,සේවාදායකයෙන් ඉන්වොයිසිය නැවත පූරණය කිරීමට අසමත් විය
Failed to submit cash movement,මුදල් චලනය ඉදිරිපත් කිරීමට අපොහොසත් විය
Failed to sync offline cash movements,නොබැඳි මුදල් චලනයන් සමමුහුර්ත කිරීමට අසමත් විය
Fast cashier actions for active shifts.,සක්‍රිය මාරුවීම් සඳහා වේගවත් මුදල් අයකැමි ක්‍රියා.
Fast Moving Items,වේගයෙන් චලනය වන අයිතම
Fees,ගාස්තු
Fetch the latest offline prerequisite updates,නවතම නොබැඳි පූර්ව අවශ්‍යතා යාවත්කාලීන ලබා ගන්න
Find a sales order quickly and load it into the current sale.,ඉක්මනින් විකුණුම් ඇණවුමක් සොයාගෙන එය වත්මන් අලෙවියට පටවන්න.
Fixing payment amounts for return invoice...,ආපසු ඉන්වොයිසිය සඳහා ගෙවීම් මුදල් නියම කරමින්...
Flash Off,ෆ්ලෑෂ් ඕෆ්
Flash On,ෆ්ලෑෂ් ඔන්
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'නිෂ්පාදන බණ්ඩල්' අයිතම සඳහා, ගබඩාව, අනුක්‍රමික අංකය සහ කණ්ඩායම් අංකය 'ඇසුරුම් ලැයිස්තුව' වගුවෙන් සලකා බලනු ලැබේ. ඕනෑම 'නිෂ්පාදන බණ්ඩල්' අයිතමයක් සඳහා සියලුම ඇසුරුම් අයිතම සඳහා ගබඩාව සහ කාණ්ඩ අංකය සමාන නම්, එම අගයන් ප්‍රධාන අයිතම වගුවේ ඇතුළත් කළ හැක; අගයන් 'ඇසුරුම් ලැයිස්තුව' වගුව වෙත පිටපත් කරනු ලැබේ."
Free,නොමිලේ
Free Qty,නොමිලේ Qty
Frequency,සංඛ්යාතය
from,සිට
From Date,දින සිට
Fulfillment Details,ඉටුකිරීමේ විස්තර
Full Name,සම්පූර්ණ නම
Gain,ලබාගන්න
Generate a fresh prepaid card and start it with an opening balance.,නැවුම් පෙරගෙවුම් කාඩ්පතක් ජනනය කර එය ආරම්භක ශේෂයකින් ආරම්භ කරන්න.
Generate and install the certificate to allow fully silent printing without trust prompts.,විශ්වාස ප්‍රේරකයකින් තොරව සම්පූර්ණයෙන්ම නිශ්ශබ්ද මුද්‍රණයට ඉඩ දීම සඳහා සහතිකය ජනනය කර ස්ථාපනය කරන්න.
Generate Certificate,සහතිකය ජනනය කරන්න
Generated scale barcode: {0},ජනනය කරන ලද පරිමාණ තීරු කේතය: {0}
Get Payments,ගෙවීම් ලබා ගන්න
Gift Card,තෑගි කාඩ්පත
Gift card amount must be greater than zero.,තෑගි කාඩ්පත් මුදල බිංදුවට වඩා වැඩි විය යුතුය.
Gift Card Code,තෑගි කාඩ්පත් කේතය
Gift card code is required for redemption,මිදීම සඳහා තෑගි කාඩ්පත් කේතය අවශ්‍ය වේ
Gift card code is required.,තෑගි කාඩ්පත් කේතය අවශ්ය වේ.
Gift card issued successfully.,තෑගි කාඩ්පත සාර්ථකව නිකුත් කරන ලදී.
Gift card loaded successfully.,තෑගි කාඩ්පත සාර්ථකව පූරණය විය.
Gift Card Management,තෑගි කාඩ්පත් කළමනාකරණය
Gift card payment,තෑගි කාඩ්පත් ගෙවීම
Gift card redemption requires an online connection,තෑගි කාඩ්පත් මුදාගැනීම සඳහා සබැඳි සම්බන්ධතාවයක් අවශ්‍ය වේ
Gift card topped up successfully.,තෑගි කාඩ්පත සාර්ථකව ඉහළට ගෙන ඇත.
Gift Cards,තෑගි කාඩ්පත්
Go to Frappe Desk,Frappe Desk වෙත යන්න
Grand Total,ග්රෑන්ඩ් ටෝටල්
Gross Margin,දළ ආන්තිකය
Gross Profit,දළ ලාභය
Gross Sales,දළ විකුණුම්
Group not found,කණ්ඩායම හමු නොවීය
"Grouped controls for terminal, UI, and session settings.","පර්යන්තය, UI, සහ සැසි සැකසීම් සඳහා සමූහගත පාලන."
Grouped totals for each payment method and currency,එක් එක් ගෙවීම් ක්‍රමය සහ මුදල් සඳහා සමූහගත එකතුව
Hide,සඟවන්න
Hide Gift Card,තෑගි කාඩ්පත සඟවන්න
Hide Non Essential Fields,අත්‍යවශ්‍ය නොවන ක්ෂේත්‍ර සඟවන්න
Hide quantity decimals,ප්‍රමාණ දශම සඟවන්න
Hide search tools,සෙවුම් මෙවලම් සඟවන්න
Hide zero rated items,ශුන්‍ය ශ්‍රේණිගත අයිතම සඟවන්න
High,ඉහළ
History,ඉතිහාසය
Hourly (Today),පැයකට (අද)
How this section works,මෙම කොටස ක්රියා කරන ආකාරය
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","යල් පැන ගිය දත්ත තිබේ නම්, සැකසීම් > නොබැඳි සහ සමමුහුර්ත කිරීම විවෘත කර සබැඳිව සිටින විට නැවත නොබැඳි දත්ත යළි ගොඩනැගීම ධාවනය කරන්න."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","අනතුරු ඇඟවීම දිගටම පවතින්නේ නම්, සැකසීම් > නොබැඳි සහ සමමුහුර්ත කිරීම විවෘත කරන්න, ඉන්පසු නොබැඳි දත්ත නැවුම් කරන්න හෝ නොබැඳි දත්ත නැවත සාදන්න."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,සහතිකය QZ තැටි වෙත ආයාත කර සෑම POS යන්ත්‍රයකම QZ තැටි නැවත ආරම්භ කරන්න.
In,තුළ
In stock: {0},තොගයේ: {0}
Include Batch / Serial,Batch / Serial ඇතුලත් කරන්න
Include Price,මිල ඇතුළත් කරන්න
Increase quantity,ප්‍රමාණය වැඩි කරන්න
IndexedDB,IndexedDB
Initial Amount,ආරම්භක මුදල
Initialize your shift with opening balances,විවෘත ශේෂයන් සමඟ ඔබේ මාරුව ආරම්භ කරන්න
Initializing application...,යෙදුම ආරම්භ කරමින්...
"Inspect cache, sync, and prerequisite status","හැඹිලිය, සමමුහුර්තකරණය සහ පූර්ව අවශ්‍යතා තත්ත්වය පරීක්ෂා කරන්න"
Installed Applications,ස්ථාපිත යෙදුම්
Insufficient stock:\n{0},තොග ප්‍රමාණවත් නැත:\n{0}
Invalid rate,වලංගු නොවන අනුපාතය
Inventory Status Report,ඉන්වෙන්ටරි තත්ත්ව වාර්තාව
Invoice,ඉන්වොයිසිය
Invoice {0} is Submitted,ඉන්වොයිසිය {0} ඉදිරිපත් කර ඇත
Invoice {0} processed successfully,ඉන්වොයිසිය {0} සාර්ථකව සකසන ලදී
Invoice {0} submission failed,ඉන්වොයිසිය {0} ඉදිරිපත් කිරීම අසාර්ථක විය
Invoice {0} was already submitted,ඉන්වොයිසිය {0} දැනටමත් ඉදිරිපත් කර ඇත
Invoice Adjustments,ඉන්වොයිස් ගැලපීම්
Invoice Change,ඉන්වොයිස් වෙනස් කිරීම
Invoice Details,ඉන්වොයිස් විස්තර
Invoice is still in draft after background submission.,පසුබිම් ඉදිරිපත් කිරීමෙන් පසුව ඉන්වොයිසිය තවමත් කෙටුම්පතේ ඇත.
Invoice Items,ඉන්වොයිස් අයිතම
Invoice Management,ඉන්වොයිස් කළමනාකරණය
Invoice Mgmt,ඉන්වොයිසිය Mgmt
Invoice saved offline,ඉන්වොයිසිය නොබැඳිව සුරකින ලදී
Invoice submission failed,ඉන්වොයිසිය ඉදිරිපත් කිරීම අසාර්ථක විය
Invoice Submitted,ඉන්වොයිසිය ඉදිරිපත් කරන ලදී
"Invoice value settled by loyalty points, not cash collection","ඉන්වොයිසි වටිනාකම මුදල් එකතු කිරීම නොව, පක්ෂපාති ලකුණු මගින් පියවා ඇත"
Invoices,ඉන්වොයිසි
Invoices already past due date,ඉන්වොයිසි දැනටමත් නියමිත දිනය ඉක්මවා ඇත
Invoices saved as POS Invoices,ඉන්වොයිසි POS ඉන්වොයිසි ලෙස සුරකින ලදී
Invoices still carrying balances,ඉන්වොයිසි තවමත් ශේෂයන් දරයි
Issue Mode,නිකුත් කිරීමේ මාදිලිය
Issue New Card,නව කාඩ්පතක් නිකුත් කරන්න
Issue Workflow,වැඩ ප්‍රවාහය නිකුත් කරන්න
"Issue, top up, and check","නිකුත් කරන්න, ඉහළට සහ පරීක්ෂා කරන්න"
Item,අයිතමය
Item / Product Sales Report,අයිතමය / නිෂ්පාදන විකුණුම් වාර්තාව
Item {0} added to invoice,{0} අයිතමය ඉන්වොයිසියට එක් කරන ලදී
Item '{0}' has no barcode,'{0}' අයිතමයට තීරු කේතයක් නොමැත
Item Code,අයිතම කේතය
Item created successfully,අයිතමය සාර්ථකව සාදන ලදී
Item is out of stock,අයිතමය තොග ඉවරයි
Item Name,අයිතමයේ නම
Item not found,අයිතමය හමු නොවීය
Item order updated,අයිතම අනුපිළිවෙල යාවත්කාලීන කරන ලදී
Item Selector Settings,අයිතම තේරීම් සැකසුම්
Items,අයිතම
Items added in POS will appear here automatically.,POS හි එක් කළ අයිතම ස්වයංක්‍රීයව මෙහි දිස් වනු ඇත.
Items added to invoice,ඉන්වොයිසියට එකතු කරන ලද අයිතම
Items per page,පිටුවකට අයිතම
Items Sold,විකුණන ලද භාණ්ඩ
Items/Invoice,අයිතම/ඉන්වොයිසිය
Item-wise Profitability,අයිතම අනුව ලාභය
Journal Entry,ජර්නල ප්රවේශය
json,json
Just now,දැන් තමයි
Keep offline prerequisites healthy and recover stale data safely.,නොබැඳි පූර්වාවශ්‍යතා සෞඛ්‍ය සම්පන්නව තබාගෙන පරණ දත්ත ආරක්ෂිතව ප්‍රතිසාධනය කරන්න.
Labels,ලේබල්
"Language, theme, terminal tools, and session controls.","භාෂාව, තේමාව, පර්යන්ත මෙවලම් සහ සැසි පාලන."
Last,අන්තිම
Last 14 Days (Paid vs Pending),පසුගිය දින 14 (ගෙවූ එදිරිව පොරොත්තුවෙන්)
Last 14 Days Activity,පසුගිය දින 14 ක්‍රියාකාරකම්
Last 14 Days Gross Profit,පසුගිය දින 14 දළ ලාභය
Last 14 Days Purchases,පසුගිය දින 14 මිලදී ගැනීම්
Last 14 Days Tax/Charges,පසුගිය දින 14 බදු/ගාස්තු
Last sync:,අවසන් සමමුහුර්ත කිරීම:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},අවසන් සමමුහුර්ත කිරීම: {0} | හරි: {1} | අසාර්ථකයි: {2} | මඟ හැරිය: {3}
Latest entries for current shift,වත්මන් මාරුව සඳහා නවතම ඇතුළත් කිරීම්
Lead Time,ඉදිරි කාලය
Limited,සීමා සහිතයි
lines,රේඛා
List,ලැයිස්තුව
Live Snapshot,සජීවී ස්නැප්ෂොට්
Load a POS profile and cashier first.,පළමුව POS පැතිකඩක් සහ මුදල් අයකැමියක් පූරණය කරන්න.
Load More Invoices,තවත් ඉන්වොයිසි පූරණය කරන්න
Load previously saved invoices,කලින් සුරකින ලද ඉන්වොයිසි පූරණය කරන්න
Load Sale,අලෙවිය පැටවීම
Load Sales Invoice,විකුණුම් ඉන්වොයිසිය පූරණය කරන්න
Loading app data...,යෙදුම් දත්ත පූරණය කරමින්...
Loading customer database...,පාරිභෝගික දත්ත සමුදාය පූරණය කරමින්...
Loading customers...,පාරිභෝගිකයින් පූරණය කරමින්...
Loading database stats...,දත්ත සමුදා සංඛ්‍යාලේඛන පූරණය වෙමින්...
Loading details...,විස්තර පූරණය කරමින්...
Loading invoice history...,ඉන්වොයිස් ඉතිහාසය පූරණය කරමින්...
Loading items...,අයිතම පූරණය කරමින්...
Loading product catalog...,නිෂ්පාදන නාමාවලිය පූරණය කරමින්...
Loading return invoices...,ආපසු ඉන්වොයිසි පූරණය කරමින්...
Loading server CPU/memory usage...,සේවාදායක CPU/මතක භාවිතය පූරණය කරමින්...
Loading suppliers...,සැපයුම්කරුවන් පූරණය කරමින්...
Loading unpaid invoices...,නොගෙවූ ඉන්වොයිසි පූරණය කරමින්...
Loading view...,දසුන පූරණය වෙමින්...
Loading...,පූරණය වෙමින්...
Local storage is unavailable. Switching to online-only mode.,දේශීය ගබඩාව නොමැත. සබැඳි-පමණි මාදිලියට මාරු වීම.
localStorage,දේශීය ගබඩාව
Location Performance,ස්ථාන කාර්ය සාධනය
Locations,ස්ථාන
Lock Screen,අගුළු තිරය
Lookup Workflow,කාර්ය ප්‍රවාහය බලන්න
Loss,පාඩුයි
Low,අඩුයි
Low Stock,අඩු තොග
Low Stock Alerts,අඩු තොග ඇඟවීම්
Low Stock Items,අඩු තොග අයිතම
Low Stock Threshold,අඩු කොටස් සීමාව
Low Stock Total,අඩු තොග එකතුව
Lowest Margin,අඩුම මායිම
Low-frequency maintenance and system details.,අඩු සංඛ්‍යාත නඩත්තු සහ පද්ධති විස්තර.
Loyalty Redeemed,පක්ෂපාතිත්වය මුදා හරින ලදී
Loyalty Redemption,ලෝයල්ටි මිදීම
Make New Payment,නව ගෙවීමක් කරන්න
Manage all,සියල්ල කළමනාකරණය කරන්න
Manage and synchronize your offline transactions,ඔබගේ නොබැඳි ගනුදෙනු කළමනාකරණය සහ සමමුහුර්ත කරන්න
Manage Cashier PIN,මුදල් අයකැමි PIN කළමනාකරණය කරන්න
"Manage offline tools, terminal controls, and maintenance from one workspace.","එක් වැඩ ඉඩකින් නොබැඳි මෙවලම්, පර්යන්ත පාලන සහ නඩත්තු කළමනාකරණය කරන්න."
manual,අත්පොත
"Manual codes, barcode scans, and QR scans work in the same field","හස්තීය කේත, තීරු කේත ස්කෑන් සහ QR ස්කෑන් එකම ක්ෂේත්‍රයේ ක්‍රියා කරයි"
Manual offline mode is enabled,අතින් නොබැඳි මාදිලිය සබල කර ඇත
Margin,ආන්තිකය
Maximum available quantity is {0}. Quantity adjusted to match stock.,ලබා ගත හැකි උපරිම ප්‍රමාණය {0} වේ. තොගයට ගැලපෙන පරිදි ප්‍රමාණය සකස් කර ඇත.
Maximum discount amount for this offer item is {0}.,මෙම පිරිනැමීමේ අයිතමය සඳහා උපරිම වට්ටම් මුදල {0} වේ.
Maximum discount percentage for this offer item is {0}%.,මෙම පිරිනැමීමේ අයිතමය සඳහා උපරිම වට්ටම් ප්‍රතිශතය {0}% කි.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,උපරිම පිරිනැමීම් ප්‍රමාණය {0} වේ. අවසර ලත් සීමාවට ප්‍රමාණය සකස් කරන ලදී.
Medium,මධ්යම
Method-wise Collections,ක්‍රමානුකූලව එකතු කිරීම්
Minimum allowed rate for this offer item is {0}.,මෙම පිරිනැමීමේ අයිතමය සඳහා අවසර දී ඇති අවම ගාස්තුව {0} වේ.
Minimum Qty,අවම Qty
Mobile No,ජංගම අංකය
Mode,මාදිලිය
Mode of Payment,ගෙවීම් ආකාරය
Month,මාසය
Month ?,මාසය?
Monthly Profit,මාසික ලාභය
Monthly Sales,මාසික විකුණුම්
Monthly Sales Summary,මාසික විකුණුම් සාරාංශය
Month-wise,මාසය අනුව
Most Active Cashiers,වඩාත්ම ක්රියාකාරී මුදල් අයකැමියන්
Movement Type,චලන වර්ගය
Movements,චලනයන්
Multi Currency,බහු මුදල්
N/A,N/A
Name,නම
Negative Stock,සෘණ කොටස්
Negative Stock Items,සෘණ කොටස් අයිතම
Negative values not allowed,සෘණ අගයන් ඉඩ නොදේ
Net,ශුද්ධ
Net Qty,ශුද්ධ Qty
Net Sales,ශුද්ධ විකුණුම්
Net Value,ශුද්ධ වටිනාකම
Never,කවදාවත් නැහැ
New changes are ready to load,නව වෙනස්කම් පූරණය කිරීමට සූදානම්
New Item,නව අයිතමය
New Offer Available,නව පිරිනැමීමක් තිබේ
New PIN,නව PIN
New rate,නව අනුපාතය
Next unit of measure,ඊළඟ මිනුම් ඒකකය
No attribute data found.,ගුණාංග දත්ත හමු නොවීය.
No Barcode,තීරු කේතය නැත
No barcode found for UOM '{0}',UOM '{0}' සඳහා තීරු කේතයක් හමු නොවීය
No branch/location data found.,ශාඛාව/ස්ථාන දත්ත හමු නොවීය.
No brand data found.,සන්නාම දත්ත හමු නොවීය.
No cached gift card balance is available offline.,හැඹිලිගත තෑගි කාඩ්පත් ශේෂයක් නොබැඳිව නොමැත.
No camera found on this device. Please ensure your device has a working camera.,මෙම උපාංගයේ කැමරාවක් හමු නොවීය. කරුණාකර ඔබගේ උපාංගයේ ක්‍රියාකාරී කැමරාවක් ඇති බවට සහතික වන්න.
No capability warnings recorded yet.,තවමත් හැකියාවන් අනතුරු ඇඟවීම් වාර්තා කර නොමැත.
No cash expected for this shift.,මෙම මාරුව සඳහා මුදල් බලාපොරොත්තු නොවේ.
No cash mode configured,මුදල් මාදිලියක් වින්‍යාස කර නැත
No cash movement type is allowed for this POS Profile.,මෙම POS පැතිකඩ සඳහා මුදල් සංචලන වර්ගයකට ඉඩ නොදේ.
No cashier PIN is set yet. Create one now.,මුදල් අයකැමි PIN අංකය තවම සකසා නැත. දැන් එකක් සාදන්න.
No cashier profiles are available for this POS profile yet.,මෙම POS පැතිකඩ සඳහා තවමත් මුදල් අයකැමි පැතිකඩ නොමැත.
No cashier-wise discount/void/return activity.,අයකැමි අනුව වට්ටම්/නිෂ්ප්‍රභ/ප්‍රතිලාභ ක්‍රියාකාරකම් නොමැත.
No category data found.,ප්‍රවර්ග දත්ත හමු නොවීය.
No category profitability data found.,ප්‍රවර්ග ලාභදායිතා දත්ත හමු නොවීය.
No change returned recorded for this shift.,මෙම මාරුව සඳහා කිසිදු වෙනසක් වාර්තා කර නැත.
No change-allocation invoices match the current filters.,වත්මන් ෆිල්ටරවලට වෙනස් කිරීම්-වෙන්කිරීම් ඉන්වොයිසි නොගැලපේ.
No charge head breakdown found.,ආරෝපණ හිස බිඳවැටීමක් හමු නොවීය.
No Company Selected,සමාගමක් තෝරාගෙන නැත
No customer sales data found.,පාරිභෝගික විකුණුම් දත්ත හමු නොවීය.
No day-wise discount/void/return trend.,දින අනුව වට්ටම්/නිෂ්ප්‍රභ/ප්‍රතිලාභ ප්‍රවණතාවක් නොමැත.
No day-wise payment data found.,දින අනුව ගෙවීම් දත්ත හමු නොවීය.
No day-wise profitability trend found.,දින අනුව ලාභ ප්‍රවණතාවක් හමු නොවීය.
No day-wise purchase data found.,දින අනුව මිලදී ගැනීමේ දත්ත හමු නොවීය.
No day-wise sales trend found.,දින අනුව විකුණුම් ප්‍රවණතාවක් හමු නොවීය.
No day-wise tax/charges trend found.,දින අනුව බදු/ගාස්තු ප්‍රවණතාවක් හමු නොවීය.
No dead stock items.,මළ කොටස් අයිතම නොමැත.
No due date,නියමිත දිනයක් නොමැත
No exact repair match found for this invoice,මෙම ඉන්වොයිසිය සඳහා නිවැරදි අලුත්වැඩියා ගැලපීමක් හමු නොවීය
No hourly sales trend found for today.,අද සඳහා පැයක විකුණුම් ප්‍රවණතාවක් හමු නොවීය.
No invoice activity found.,ඉන්වොයිස් ක්‍රියාකාරකම් කිසිවක් හමු නොවීය.
No invoices found,ඉන්වොයිසි හමු නොවීය
No invoices found. Try different search criteria.,ඉන්වොයිසි හමු නොවීය. විවිධ සෙවුම් නිර්ණායක උත්සාහ කරන්න.
No invoices recorded for this shift.,මෙම මාරුව සඳහා ඉන්වොයිසි වාර්තා කර නැත.
No item profitability data found.,අයිතම ලාභදායිතා දත්ත හමු නොවීය.
No item sales data found for this period.,මෙම කාල සීමාව සඳහා අයිතම විකුණුම් දත්ත හමු නොවීය.
No items found,අයිතම කිසිවක් හමු නොවීය
No items in cart,කරත්තයේ අයිතම නැත
No items with barcodes to print,මුද්‍රණය කිරීමට තීරු කේත සහිත අයිතම නැත
No location-wise top item data found.,ස්ථාන අනුව ඉහළ අයිතම දත්ත හමු නොවීය.
No low stock alerts right now.,දැනට අඩු කොටස් ඇඟවීම් නොමැත.
No low stock items.,අඩු තොග අයිතම නොමැත.
No matching items in cart,කරත්තයේ ගැළපෙන අයිතම නැත
No month-wise sales trend found.,මාසිකව විකුණුම් ප්‍රවණතාවක් හමු නොවීය.
No negative stock items.,සෘණ කොටස් අයිතම නැත.
No notifications yet,තවම දැනුම්දීම් නැත
No offline cash movement synced.,නොබැඳි මුදල් චලනය සමමුහුර්ත කර නැත.
No offline invoices pending synchronization,සමමුහුර්ත කිරීම පොරොත්තුවෙන් නොබැඳි ඉන්වොයිසි නැත
No offline sync issues recorded yet.,තවමත් නොබැඳි සමමුහුර්ත ගැටළු කිසිවක් වාර්තා කර නොමැත.
No out-of-stock items.,තොගයෙන් බැහැර අයිතම නැත.
No outstanding credit invoices for this shift.,මෙම මාරුව සඳහා කැපී පෙනෙන ණය ඉන්වොයිසි නොමැත.
No payment collection data found.,ගෙවීම් එකතු කිරීමේ දත්ත හමු නොවීය.
No payment rows available on this invoice.,මෙම ඉන්වොයිසිය මත ගෙවීම් පේළි නොමැත.
No payments registered for this shift.,මෙම මාරුව සඳහා ගෙවීම් ලියාපදිංචි කර නොමැත.
No pending balances in this period.,මෙම කාල සීමාව තුළ පොරොත්තු ශේෂයන් නොමැත.
No pending offline invoices,පොරොත්තු නොබැඳි ඉන්වොයිසි නැත
No Print Formats Found,මුද්‍රණ ආකෘති හමු නොවිණි
No profiles found for selected scope. Falling back to current profile failed.,තෝරාගත් විෂය පථය සඳහා පැතිකඩක් හමු නොවීය. වත්මන් පැතිකඩ වෙත ආපසු වැටීම අසාර්ථක විය.
No recent customer activity found.,මෑත කාලීන පාරිභෝගික ක්‍රියාකාරකම් කිසිවක් හමු නොවීය.
No recent stock entries found.,මෑත කොටස් ඇතුළත් කිරීම් හමු නොවිණි.
No records found,වාර්තා හමු නොවීය
No reorder suggestions right now.,දැන් නැවත ඇණවුම් යෝජනා නැත.
No repeat customers in this period.,මෙම කාල සීමාව තුළ නැවත පාරිභෝගිකයන් නොමැත.
No response from server,සේවාදායකයෙන් ප්‍රතිචාරයක් නොමැත
No return invoices found,ආපසු ඉන්වොයිසි හමු නොවීය
No return item trend found.,ආපසු අයිතම ප්‍රවණතාවක් හමු නොවීය.
No returnable items found for this invoice,මෙම ඉන්වොයිසිය සඳහා ආපසු ලබා දිය හැකි අයිතම කිසිවක් හමු නොවීය
No returns were processed in this shift.,මෙම මාරුව තුළ ප්‍රතිලාභ කිසිවක් සකස් කර නොමැත.
No risk activity found.,අවදානම් ක්‍රියාකාරකම් කිසිවක් හමු නොවීය.
No sales activity found for this period.,මෙම කාල සීමාව සඳහා විකුණුම් ක්‍රියාකාරකම් කිසිවක් හමු නොවීය.
No slow moving items.,සෙමින් චලනය වන අයිතම නොමැත.
No staff sales activity found.,කාර්ය මණ්ඩල විකුණුම් ක්‍රියාකාරකමක් හමු නොවීය.
No stock movement for this period.,මෙම කාල සීමාව සඳහා කොටස් චලනය නොමැත.
No submitted cash movements in this shift.,මෙම මාරුව තුළ ඉදිරිපත් කළ මුදල් චලනයන් නොමැත.
No supplier purchases found in this month.,මෙම මාසය තුළ සැපයුම්කරු මිලදී ගැනීම් හමු නොවීය.
No suppliers found for this period.,මෙම කාල සීමාව සඳහා සැපයුම්කරුවන් හමු නොවීය.
No sync trigger has run yet in this session.,මෙම සැසියේ සමමුහුර්ත ප්‍රේරකයක් තවම ක්‍රියාත්මක වී නොමැත.
No tax head breakdown found.,බදු ශීර්ෂ බිඳවැටීමක් හමු නොවීය.
No top items found for this location.,මෙම ස්ථානය සඳහා ඉහළ අයිතම කිසිවක් හමු නොවීය.
No unpaid invoices,නොගෙවූ ඉන්වොයිසි නැත
No variant data found.,ප්‍රභේද දත්ත හමු නොවිණි.
No week-wise sales trend found.,සතිපතා විකුණුම් ප්‍රවණතාවක් හමු නොවීය.
No.,නැත.
Nobile Number,නොබිල් අංකය
Not available,ලබා ගත නොහැක
Not checked,පරීක්ෂා කර නැත
Not selected,තෝරා නැත
Not Set,සකසා නැත
Notifications,දැනුම්දීම්
Offer,පිරිනැමීම
Offer Applied,පිරිනැමීම යෙදී ඇත
Offer criteria exceeded,පිරිනැමීමේ නිර්ණායක ඉක්මවා ඇත
Offer Item,පිරිනැමීමේ අයිතමය
Offer item unavailable,පිරිනැමීමේ අයිතමය නොමැත
Offer Removed,පිරිනැමීම ඉවත් කරන ලදී
Offer UOM cannot be changed,පිරිනැමීම UOM වෙනස් කළ නොහැක
Offer?,පිරිනැමීම?
Offers,පිරිනැමීම්
Offline,නොබැඳි
Offline & Sync,නොබැඳි සහ සමමුහුර්ත කරන්න
Offline Capabilities,නොබැඳි හැකියාවන්
Offline data status refreshed,නොබැඳි දත්ත තත්ත්වය නැවුම් කරන ලදී
Offline diagnostics,නොබැඳි රෝග විනිශ්චය
Offline Invoices,නොබැඳි ඉන්වොයිසි
Offline invoices status,නොබැඳි ඉන්වොයිසි තත්ත්වය
Offline invoices synced,නොබැඳි ඉන්වොයිසි සමමුහුර්ත කර ඇත
Offline Queue: {0},නොබැඳි පෝලිම: {0}
Offline rebuild guidance,නොබැඳි නැවත ගොඩනැගීමේ මාර්ගෝපදේශය
