POS Awesome,POS Harika
Item / Product Sales Report,Ürün / Ürün Satış Raporu
Item {0} added to invoice,{0} öğesi faturaya eklendi
Item '{0}' has no barcode,'{0}' öğesinin barkodu yok
Item Code,Ürün Kodu
Item created successfully,Öğe başarıyla oluşturuldu
Item is out of stock,Ürün stokta yok
Item Name,Öğe Adı
Item not found,Öğe bulunamadı
Item order updated,Öğe sırası güncellendi
Item Selector Settings,Öğe Seçici Ayarları
Items,Öğeler
Items added in POS will appear here automatically.,POS'a eklenen öğeler burada otomatik olarak görünecektir.
Items added to invoice,Faturaya eklenen öğeler
Items per page,Sayfa başına öğe sayısı
Items Sold,Satılan Ürünler
Items/Invoice,Öğeler/Fatura
Item-wise Profitability,Ürün Bazında Karlılık
Journal Entry,Günlük Girişi
json,json
Just now,Az önce
Keep offline prerequisites healthy and recover stale data safely.,Çevrimdışı önkoşulları sağlıklı tutun ve eski verileri güvenli bir şekilde kurtarın.
Labels,Etiketler
"Language, theme, terminal tools, and session controls.","Dil, tema, terminal araçları ve oturum kontrolleri."
Last,Son
Last 14 Days (Paid vs Pending),Son 14 Gün (Ücretli ve Beklemede)
Last 14 Days Activity,Son 14 Günün Etkinliği
Last 14 Days Gross Profit,Son 14 Gün Brüt Kârı
Last 14 Days Purchases,Son 14 Gündeki Alımlar
Last 14 Days Tax/Charges,Son 14 Günün Vergisi/Ücretleri
Last sync:,Son senkronizasyon:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Son senkronizasyon: {0} | tamam: {1} | başarısız oldu: {2} | atlandı: {3}
Latest entries for current shift,Mevcut vardiya için son girişler
Lead Time,Teslim Süresi
Limited,Sınırlı
lines,çizgiler
List,Liste
Live Snapshot,Canlı Anlık Görüntü
Load a POS profile and cashier first.,Önce bir POS profili ve kasiyer yükleyin.
Load More Invoices,Daha Fazla Fatura Yükle
Load previously saved invoices,Daha önce kaydedilmiş faturaları yükle
Load Sale,Yük Satışı
Load Sales Invoice,Satış Faturasını Yükle
Loading app data...,Uygulama verileri yükleniyor...
Loading customer database...,Müşteri veritabanı yükleniyor...
Loading customers...,Müşteriler yükleniyor...
Loading database stats...,Veritabanı istatistikleri yükleniyor...
Loading details...,Ayrıntılar yükleniyor...
Loading invoice history...,Fatura geçmişi yükleniyor...
Loading items...,Öğeler yükleniyor...
Loading product catalog...,Ürün kataloğu yükleniyor...
Loading return invoices...,İade faturaları yükleniyor...
Loading server CPU/memory usage...,Sunucu CPU/bellek kullanımı yükleniyor...
Loading suppliers...,Tedarikçiler yükleniyor...
Loading unpaid invoices...,Ödenmemiş faturalar yükleniyor...
Loading view...,Görünüm yükleniyor...
Loading...,Yükleniyor...
Local storage is unavailable. Switching to online-only mode.,Yerel depolama kullanılamıyor. Yalnızca çevrimiçi moduna geçiliyor.
localStorage,yerelDepolama
Location Performance,Konum Performansı
Locations,Konumlar
Lock Screen,Kilit Ekranı
Lookup Workflow,Arama İş Akışı
Loss,Kayıp
Low,Düşük
Low Stock,Düşük Stok
Low Stock Alerts,Düşük Stok Uyarıları
Low Stock Items,Düşük Stoklu Ürünler
Low Stock Threshold,Düşük Stok Eşiği
Low Stock Total,Düşük Stok Toplamı
Lowest Margin,En Düşük Marj
Low-frequency maintenance and system details.,Düşük frekanslı bakım ve sistem ayrıntıları.
Loyalty Redeemed,Sadakat Kullanıldı
Loyalty Redemption,Sadakat Kazanımı
Make New Payment,Yeni Ödeme Yap
Manage all,Tümünü yönet
Manage and synchronize your offline transactions,Çevrimdışı işlemlerinizi yönetin ve senkronize edin
Manage Cashier PIN,Kasiyer PIN'ini Yönet
"Manage offline tools, terminal controls, and maintenance from one workspace.","Çevrimdışı araçları, terminal kontrollerini ve bakımı tek bir çalışma alanından yönetin."
manual,manuel
"Manual codes, barcode scans, and QR scans work in the same field","Manuel kodlar, barkod taramaları ve QR taramaları aynı alanda çalışır"
Manual offline mode is enabled,Manuel çevrimdışı mod etkin
Margin,Marj
Maximum available quantity is {0}. Quantity adjusted to match stock.,Kullanılabilir maksimum miktar: {0}. Miktar stoğa uyacak şekilde ayarlandı.
Maximum discount amount for this offer item is {0}.,Bu teklif öğesi için maksimum indirim tutarı {0}'dır.
Maximum discount percentage for this offer item is {0}%.,Bu teklif öğesi için maksimum indirim yüzdesi %{0}'dir.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimum teklif miktarı {0}'dır. Miktar izin verilen sınıra ayarlandı.
Medium,Orta
Method-wise Collections,Yöntemsel Koleksiyonlar
Minimum allowed rate for this offer item is {0}.,Bu teklif öğesi için izin verilen minimum ücret {0}'dir.
Minimum Qty,Minimum Adet
Mobile No,Cep No
Mode,Mod
Mode of Payment,Ödeme Şekli
Month,Ay
Month ?,Ay mı?
Monthly Profit,Aylık Kâr
Monthly Sales,Aylık Satışlar
Monthly Sales Summary,Aylık Satış Özeti
Month-wise,Ay bazında
Most Active Cashiers,En Aktif Kasiyerler
Movement Type,Hareket Türü
Movements,Hareketler
Multi Currency,Çoklu Para Birimi
N/A,Yok
Name,İsim
Negative Stock,Negatif Stok
Negative Stock Items,Negatif Stok Kalemleri
Negative values not allowed,Negatif değerlere izin verilmiyor
Net,ağ
Net Qty,Net Adet
Net Sales,Net Satışlar
Net Value,Net Değer
Never,Asla
New changes are ready to load,Yeni değişiklikler yüklenmeye hazır
New Item,Yeni Ürün
New Offer Available,Yeni Teklif Mevcut
New PIN,Yeni PIN
New rate,Yeni oran
Next unit of measure,Sonraki ölçü birimi
No attribute data found.,Özellik verisi bulunamadı.
No Barcode,Barkod Yok
No barcode found for UOM '{0}',UOM '{0}' için barkod bulunamadı
No branch/location data found.,Şube/konum verisi bulunamadı.
No brand data found.,Marka verisi bulunamadı.
No cached gift card balance is available offline.,Önbelleğe alınmış hediye kartı bakiyesi çevrimdışı olarak kullanılamaz.
No camera found on this device. Please ensure your device has a working camera.,Bu cihazda kamera bulunamadı. Lütfen cihazınızın çalışan bir kamerası olduğundan emin olun.
No capability warnings recorded yet.,Henüz hiçbir yetenek uyarısı kaydedilmedi.
No cash expected for this shift.,Bu vardiya için nakit beklenmiyor.
No cash mode configured,Nakit modu yapılandırılmadı
No cash movement type is allowed for this POS Profile.,Bu POS Profili için hiçbir nakit hareketi türüne izin verilmiyor.
No cashier PIN is set yet. Create one now.,Henüz kasiyer PIN'i belirlenmedi. Şimdi bir tane oluşturun.
No cashier profiles are available for this POS profile yet.,Bu POS profili için henüz kasiyer profili mevcut değil.
No cashier-wise discount/void/return activity.,Kasiyer açısından indirim/iptal/iade faaliyeti yoktur.
No category data found.,Kategori verisi bulunamadı.
No category profitability data found.,Kategori kârlılığı verisi bulunamadı.
No change returned recorded for this shift.,Bu vardiya için herhangi bir değişiklik kaydedilmedi.
No change-allocation invoices match the current filters.,Geçerli filtrelerle eşleşen değişiklik tahsisi faturası yok.
No charge head breakdown found.,Şarj başlığı arızası bulunamadı.
No Company Selected,Firma Seçilmedi
No customer sales data found.,Müşteri satış verisi bulunamadı.
No day-wise discount/void/return trend.,Gün bazında indirim/boşluk/iade trendi yok.
No day-wise payment data found.,Gün bazında ödeme verisi bulunamadı.
No day-wise profitability trend found.,Gün bazında kârlılık eğilimi bulunamadı.
No day-wise purchase data found.,Günlük satın alma verisi bulunamadı.
No day-wise sales trend found.,Gün bazında satış eğilimi bulunamadı.
No day-wise tax/charges trend found.,Gün bazında vergi/masraf eğilimi bulunamadı.
No dead stock items.,Ölü stok öğesi yok.
No due date,Son tarih yok
No exact repair match found for this invoice,Bu fatura için tam onarım eşleşmesi bulunamadı
No hourly sales trend found for today.,Bugün için saatlik satış trendi bulunamadı.
No invoice activity found.,Fatura etkinliği bulunamadı.
No invoices found,Fatura bulunamadı
No invoices found. Try different search criteria.,Fatura bulunamadı. Farklı arama kriterlerini deneyin.
No invoices recorded for this shift.,Bu vardiya için kayıtlı fatura yok.
No item profitability data found.,Hiçbir öğe kârlılığı verisi bulunamadı.
No item sales data found for this period.,Bu döneme ait ürün satış verisi bulunamadı.
No items found,Hiçbir öğe bulunamadı
No items in cart,Sepette ürün yok
No items with barcodes to print,Yazdırılacak barkodlu öğe yok
No location-wise top item data found.,Konum bazında en iyi öğe verisi bulunamadı.
No low stock alerts right now.,Şu anda düşük stok uyarısı yok.
No low stock items.,Düşük stoklu ürün yok.
No matching items in cart,Sepette eşleşen ürün yok
No month-wise sales trend found.,Ay bazında satış eğilimi bulunamadı.
No negative stock items.,Negatif stok kalemi yok.
No notifications yet,Henüz bildirim yok
No offline cash movement synced.,Hiçbir çevrimdışı nakit hareketi senkronize edilmedi.
No offline invoices pending synchronization,Senkronizasyon bekleyen çevrimdışı fatura yok
No offline sync issues recorded yet.,Henüz çevrimdışı senkronizasyon sorunu kaydedilmedi.
No out-of-stock items.,Stokta olmayan ürün yok.
No outstanding credit invoices for this shift.,Bu vardiya için ödenmemiş kredi faturası yok.
No payment collection data found.,Ödeme tahsilatı verisi bulunamadı.
No payment rows available on this invoice.,Bu faturada ödeme satırı yok.
No payments registered for this shift.,Bu vardiya için kayıtlı ödeme yok.
No pending balances in this period.,Bu dönemde bekleyen bakiye yok.
No pending offline invoices,Bekleyen çevrimdışı fatura yok
No Print Formats Found,Yazdırma Formatı Bulunamadı
No profiles found for selected scope. Falling back to current profile failed.,Seçilen kapsam için profil bulunamadı. Mevcut profile geri dönüş başarısız oldu.
No recent customer activity found.,Yakın zamanda müşteri etkinliği bulunamadı.
No recent stock entries found.,Güncel stok girişi bulunamadı.
No records found,Hiçbir kayıt bulunamadı
No reorder suggestions right now.,Şu anda yeniden sıralama önerisi yok.
No repeat customers in this period.,Bu dönemde tekrar müşteri yok.
No response from server,Sunucudan yanıt yok
No return invoices found,İade faturası bulunamadı
No return item trend found.,İade öğesi eğilimi bulunamadı.
No returnable items found for this invoice,Bu faturada iade edilebilir ürün bulunamadı
No returns were processed in this shift.,Bu vardiyada iade işlemi yapılmadı.
No risk activity found.,Risk etkinliği bulunamadı.
No sales activity found for this period.,Bu döneme ait herhangi bir satış faaliyeti bulunamadı.
No slow moving items.,Yavaş hareket eden öğeler yok.
No staff sales activity found.,Personel satış faaliyeti bulunamadı.
No stock movement for this period.,Bu dönemde stok hareketi yok.
No submitted cash movements in this shift.,Bu vardiyada gönderilen nakit hareketi yok.
No supplier purchases found in this month.,Bu ay tedarikçi alımı bulunamadı.
No suppliers found for this period.,Bu dönem için tedarikçi bulunamadı.
No sync trigger has run yet in this session.,Bu oturumda henüz senkronizasyon tetikleyicisi çalıştırılmadı.
No tax head breakdown found.,Vergi başlığı dökümü bulunamadı.
No top items found for this location.,Bu konum için en popüler öğe bulunamadı.
No unpaid invoices,Ödenmemiş fatura yok
No variant data found.,Varyant verisi bulunamadı.
No week-wise sales trend found.,Hafta bazında satış eğilimi bulunamadı.
No.,Hayır.
Nobile Number,Asil Sayı
Not available,Mevcut değil
Not checked,İşaretlenmedi
Not selected,Seçilmedi
Not Set,Ayarlanmadı
Notifications,Bildirimler
Offer,Teklif
Offer Applied,Teklif Uygulandı
Offer criteria exceeded,Teklif kriterleri aşıldı
Offer Item,Teklif Öğesi
Offer item unavailable,Teklif öğesi kullanılamıyor
Offer Removed,Teklif Kaldırıldı
Offer UOM cannot be changed,Teklif UOM değiştirilemez
Offer?,Teklif mi?
Offers,Teklifler
Offline,Çevrimdışı
Offline & Sync,Çevrimdışı ve Senkronizasyon
Offline Capabilities,Çevrimdışı Yetenekler
Offline data status refreshed,Çevrimdışı veri durumu yenilendi
Offline diagnostics,Çevrimdışı teşhis
Offline Invoices,Çevrimdışı Faturalar
Offline invoices status,Çevrimdışı fatura durumu
Offline invoices synced,Çevrimdışı faturalar senkronize edildi
Offline Queue: {0},Çevrimdışı Sıra: {0}
Offline rebuild guidance,Çevrimdışı yeniden oluşturma kılavuzu
Offline restore is unavailable for this session.,Bu oturum için çevrimdışı geri yükleme kullanılamıyor.
Offline selling is available with degraded capabilities.,"Çevrimdışı satış, azaltılmış yeteneklerle mümkündür."
Offline snapshot does not match the current POS state.,Çevrimdışı anlık görüntü mevcut POS durumuyla eşleşmiyor.
Offline Status,Çevrimdışı Durum
"Offline, terminal, and system controls","Çevrimdışı, terminal ve sistem kontrolleri"
OK,tamam
Online,Çevrimiçi
Open actions menu,İşlemler menüsünü aç
Open balance to collect,Tahsilat için açık bakiye
Open Customer Display,Müşteri Ekranını Aç
Open drawer,Çekmeceyi aç
Open invoices,Faturaları aç
Open Payments?,Ödemeler açılsın mı?
Open POS home,POS ana sayfasını aç
Open this screen from POS Menu -> Open Customer Display.,Bu ekranı POS Menüsü -> Müşteri Ekranını Aç'tan açın.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV görüntü işleme etkin - Gelişmiş barkod algılama
OpenCV image processing unavailable on this device,OpenCV görüntü işleme bu cihazda kullanılamıyor
OpenCV Off,OpenCV Kapalı
OpenCV On,OpenCV Açık
OpenCV processing disabled,OpenCV işleme devre dışı bırakıldı
Opening Amount,Açılış Tutarı
Opening Cash,Açılış Kasası
options,seçenekler
Order,Sipariş
Original,Orijinal
Other,Diğer
Out,Dışarı
Out of Stock,Stokta Yok
Out of Stock Items,Stokta Olmayan Ürünler
Outstanding,Olağanüstü
Outstanding Credit by Currency,Para Birimi Bazında Ödenmemiş Kredi
Overdue,vadesi geçmiş
Overpayment Change,Fazla Ödeme Değişikliği
Overpayment change deducted: {0},Fazla ödeme değişikliği düşüldü: {0}
Packing List,Paketleme Listesi
Page Format,Sayfa Formatı
Page unavailable offline,Sayfa çevrimdışı kullanılamıyor
Paid,Ücretli
Paid (orig):,Ücretli (orijinal):
Paid Amount,Ödenen Tutar
Paid change cannot be greater than total change!,Ücretli değişim toplam değişimden büyük olamaz!
Paid:,Ücretli:
Parent Item,Ana Öğe
Partial,Kısmi
Partly Paid,Kısmen Ödendi
Party Account,Parti Hesabı
Party Type,Parti Türü
Pause terminal until next cashier,Terminali bir sonraki kasiyere kadar duraklat
PAY,ÖDEME
Payment,Ödeme
Payment Account,Ödeme Hesabı
Payment entries processed for Invoice {0},{0} Faturası için ödeme girişleri işlendi
Payment Entry Type,Ödeme Giriş Türü
Payment History,Ödeme Geçmişi
Payment ID,Ödeme Kimliği
Payment Method Report,Ödeme Yöntemi Raporu
Payment Methods,Ödeme Yöntemleri
Payment of {0} received successfully.,{0} tutarındaki ödeme başarıyla alındı.
Payment Progress,Ödeme İlerlemesi
Payment Reconciliation,Ödeme Mutabakatı
Payment request status could not be retrieved. Please try again,Ödeme talebi durumu alınamadı. Lütfen tekrar deneyin
Payment Request took too long to respond. Please try requesting for payment again,Ödeme İsteğinin yanıtlanması çok uzun sürdü. Lütfen tekrar ödeme talebinde bulunmayı deneyin
Payment saved offline,Ödeme çevrimdışına kaydedildi
Payment State,Ödeme Durumu
Payment Status,Ödeme Durumu
Payment submitted but print function could not be executed. Payment name not found.,Ödeme gönderildi ancak yazdırma işlevi yürütülemedi. Ödeme adı bulunamadı.
Payment submitted.,Ödeme gönderildi.
Payment Summary,Ödeme Özeti
Payments,Ödemeler
Payments are not open. Do you want to open payments and submit?,Ödemeler açık değil. Ödemeleri açıp göndermek istiyor musunuz?
Payments by Mode of Payment,Ödeme Şekline Göre Ödemeler
PDF,PDF'ler
Peak Hour,Yoğun Saat
Peak Memory:,En Yüksek Bellek:
Peak Server:,Tepe Sunucusu:
Peak:,Zirve:
Pending,Beklemede
Pending Amount,Bekleyen Tutar
Pending count updated from {0} to {1},Bekleme sayısı {0} iken {1} olarak güncellendi
Pending Exposure,Bekleyen Temas
Pending Invoices,Bekleyen Faturalar
Pending Ratio,Bekleyen Oran
Pending Sales,Bekleyen Satışlar
Pending sales: {0} | Cache usage: {1}%,Bekleyen satışlar: {0} | Önbellek kullanımı: %{1}
Pending Sync,Senkronizasyon Bekleniyor
Pending: {0},Beklemede: {0}
Pending: {0} | Synced: {1} | Draft: {2},Beklemede: {0} | Senkronize edildi: {1} | Taslak: {2}
Per Page,Sayfa Başına
Personal,Kişisel
Personal preferences adjust the current cashier experience without changing the active POS route.,"Kişisel tercihler, etkin POS rotasını değiştirmeden mevcut kasiyer deneyimini ayarlar."
PIN confirmation does not match.,PIN onayı eşleşmiyor.
PIN must be 4 to 8 digits.,PIN 4 ila 8 haneli olmalıdır.
Please add at least one item.,Lütfen en az bir öğe ekleyin.
Please allow camera access to scan codes,Lütfen kameranın tarama kodlarına erişmesine izin verin
Please enter payment amount,Lütfen ödeme tutarını girin
Please fill all required fields,Lütfen gerekli tüm alanları doldurun
Please make a payment or select a payment,Lütfen bir ödeme yapın veya bir ödeme seçin
Please request phone payment or use another payment method,Lütfen telefonla ödeme isteğinde bulunun veya başka bir ödeme yöntemi kullanın
Please select a customer first,Lütfen önce bir müşteri seçin
Please select a party,Lütfen bir parti seçin
Please select a party before reconciling.,Uzlaşmadan önce lütfen bir taraf seçin.
Please select a valid movement type.,Lütfen geçerli bir hareket türü seçin.
Please select an invoice,Lütfen bir fatura seçin
Please select company before reconciling.,Mutabakat yapmadan önce lütfen şirketi seçin.
Please set the customer's mobile number,Lütfen müşterinin cep telefonu numarasını ayarlayın
Please try again or enter the item manually.,Lütfen tekrar deneyin veya öğeyi manuel olarak girin.
Please verify the barcode or check the item's availability.,Lütfen barkodu doğrulayın veya ürünün stok durumunu kontrol edin.
Points,Puanlar
Popup blocked. Please allow popups.,Açılır pencere engellendi. Lütfen açılır pencerelere izin verin.
POS,POS
POS controls and maintenance,POS kontrolleri ve bakımı
POS Expense is disabled for this POS Profile.,Bu POS Profili için POS Gideri devre dışı bırakıldı.
POS is running with limited offline prerequisites.,POS sınırlı çevrimdışı önkoşullarla çalışıyor.
POS Profile,POS Profili
Position the QR code or barcode within the scanning area,QR kodunu veya barkodu tarama alanına yerleştirin
Posting,Gönderme
Posting and Price List,İlan ve Fiyat Listesi
Posting Date,İlan Tarihi
Preparing background sync,Arka plan senkronizasyonu hazırlanıyor
"Press OK to continue offline with a warning, or Cancel to retry.","Bir uyarıyla çevrimdışına devam etmek için Tamam'a, yeniden denemek için İptal'e basın."
Previous unit of measure,Önceki ölçü birimi
Price List,Fiyat Listesi
Price List Rate,Fiyat Listesi Oranı
Price list rate updated locally only,Fiyat listesi ücreti yalnızca yerel olarak güncellenir
Pricing & Discounts,Fiyatlandırma ve İndirimler
Pricing Rule,Fiyatlandırma Kuralı
Print,Yazdır
Print Draft,Taslağı Yazdır
Print Format (Invoice),Yazdırma Formatı (Fatura)
Print Format (Order),Yazdırma Formatı (Sipariş)
Print invoice,Faturayı yazdır
Print Purchase Invoice instead of PO,PO yerine Satın Alma Faturasını Yazdır
Printer,Yazıcı
Processed returns impacting the shift totals,Vardiya toplamlarını etkileyen işlenmiş iadeler
Processing Payment,Ödeme İşleniyor
Processing payment entries for Invoice {0},{0} Faturasına ilişkin ödeme girişleri işleniyor
Profile,Profil
Profiles,Profiller
Profit,Kâr
Profit: Invoice Item Estimate,Kâr: Fatura Kalemi Tahmini
Profit: Stock Ledger (COGS),Kâr: Stok Defteri (COGS)
Profitability Report,Kârlılık Raporu
Prorated return discount,Orantılı iade indirimi
Purchase Amount,Satın Alma Tutarı
Purchase Invoices,Satın Alma Faturaları
Purchase Order created,Satınalma Siparişi oluşturuldu
Qty,Adet
Qualified,Nitelikli
Quantity,miktar
Quantity exceeds available stock,Miktar mevcut stoğu aşıyor
Quick Actions,Hızlı Eylemler
Quotation {0} is Submitted,{0}. Fiyat Teklifi Gönderildi
Quotation submitted,Teklif gönderildi
QZ Tray connected.,QZ Tepsisi bağlı.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tepsisinin bağlantısı manuel olarak kesildi. Tekrar etkinleştirmek için Bağlan'a basın.
QZ Tray is not connected.,QZ Tepsisi bağlı değil.
QZ Tray Setup,QZ Tepsi Kurulumu
Rate,Oran
Rate adjusted to maximum allowed discount,"Oran, izin verilen maksimum indirime ayarlandı"
Ready,Hazır
Ready to resume,Devam etmeye hazır
Ready!,Hazır!
Real-time POS insights for retail operations.,Perakende operasyonları için gerçek zamanlı POS bilgileri.
Rebuild Offline Data,Çevrimdışı Verileri Yeniden Oluşturun
Receive,Al
Receive now,Şimdi al
Received,Alındı
Received:,Alınan:
Recent Movement Entries,Son Hareket Girişleri
Recent updates about your invoices,Faturalarınızla ilgili son güncellemeler
Recently Active Customers,Son Zamanlarda Aktif Olan Müşteriler
Rechecking connection,Bağlantı yeniden kontrol ediliyor
Reconcile payment methods and close shift,Ödeme yöntemlerini uzlaştırın ve vardiyayı kapatın
Reconciling Payments,Ödemelerin Uzlaştırılması
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",Çevrimiçiyken bu sayfayı bir kez yeniden bağlayıp açın; ardından çevrimdışı yenilemeler sayfayı geri yükleyebilir.
Reconnect online to refresh cached offline data from the server.,Önbelleğe alınmış çevrimdışı verileri sunucudan yenilemek için çevrimiçi olarak yeniden bağlanın.
Recreate local offline prerequisites from scratch,Yerel çevrimdışı önkoşulları sıfırdan yeniden oluşturun
Recv:,Alıntı:
Redeem,Kullan
Redeem / Scan,Kullan / Tara
Redeem Amount,Tutarı Kullan
Redeem Mode,Modu Kullan
Redeemed Amount,Kullanılan Tutar
Redeemed credit cannot be greater than its total.,Kullanılan kredi toplamından fazla olamaz.
Redemption and Totals,Geri Ödeme ve Toplamlar
Reference,Referans
Refresh,Yenile
Refresh Exchange Rate,Döviz Kurunu Yenile
Refresh Offline Data,Çevrimdışı Verileri Yenile
Refresh Printers,Yazıcıları Yenile
Refund,Geri ödeme
Release Notes,Sürüm Notları
Reload,Yeniden yükle
Reload customers,Müşterileri yeniden yükle
Reload Items,Öğeleri Yeniden Yükle
Reload Now,Şimdi Yeniden Yükle
Reload to apply the latest changes. Your current session will be refreshed.,En son değişiklikleri uygulamak için yeniden yükleyin. Mevcut oturumunuz yenilenecektir.
Reload Workflow,İş Akışını Yeniden Yükle
Remarks,Açıklamalar
Remarks are required.,Açıklamalar gerekli.
Remove,Kaldır
Remove barcode item,Barkod öğesini kaldır
Remove cached data and reload the POS app,Önbelleğe alınmış verileri kaldırın ve POS uygulamasını yeniden yükleyin
Remove item,Öğeyi kaldır
Remove Offer,Teklifi Kaldır
Reorder / Purchase Suggestions,Yeniden Sipariş Verme / Satın Alma Önerileri
Repair Candidate,Onarım Adayı
Repair Change Allocation,Onarım Tahsisini Değiştir
Repair requires an online connection,Onarım çevrimiçi bağlantı gerektirir
Repaired,Onarıldı
Repairing change allocation,Değişiklik tahsisinin onarılması
Repeat Customers,Tekrarlanan Müşteriler
Repeat Rate,Tekrar Oranı
Request,Talep
Request ID: {0},İstek Kimliği: {0}
Request Payment,Ödeme İste
Requested route: {0},İstenen rota: {0}
Required columns cannot be hidden,Gerekli sütunlar gizlenemez
Reset,Sıfırla
Reset item name,Öğe adını sıfırla
Reset to Default,Varsayılana Sıfırla
Resource Health,Kaynak Durumu
Restricted,Kısıtlı
Restricted operational controls for supervisors only.,Yalnızca denetçiler için sınırlı operasyonel kontroller.
Retry,Yeniden dene
Retry route,Rotayı yeniden dene
Return,Dönüş
Return Amount,İade Tutarı
Return Count,İade Sayısı
Return items must have negative quantities,İade öğelerinin negatif adetleri olmalıdır
Return total must be negative,İade toplamı negatif olmalıdır
Return Valid Until,Geçerlilik Tarihi:
Return window passed,İade aralığı geçildi
Return without Invoice,Faturasız İade
Returns,İade
Returns / Voids / Discounts,İadeler / İptaller / İndirimler
Returns by Currency,Para Birimi Bazında İadeler
Revenue,Gelir
Review shift totals before submitting the closing entry,Kapanış girişini göndermeden önce vardiya toplamlarını gözden geçirin
Round Off,Yuvarlama
Rows,Satırlar
Rows:,Satırlar:
Rule,Kural
Sale,Satış
Sales,Satış
Sales Order {0} is Submitted,{0} Müşteri Siparişi Gönderildi
Sales Person and Print,Satış Elemanı ve Baskı
Sales Person not found,Satış Elemanı bulunamadı
Sales processed,Satışlar işlendi
Sales Return,Satış İadesi
Sales Trend Report,Satış Trend Raporu
Save,Kaydet
Save & Clear,Kaydet ve Temizle
Save as POS Profile Default,POS Profili Varsayılanı olarak kaydet
Save Settings,Ayarları Kaydet
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Seçilen yazıcıyı varsayılan POS Profili olarak kaydedin, böylece bu kurulumda otomatik olarak gösterilir."
Saved as draft because: {0},Taslak olarak kaydedildi çünkü: {0}
Saving...,Kaydediliyor...
Scale barcode detected. Quantity here is the number of labels to print.,"Terazi barkodu algılandı. Buradaki miktar, yazdırılacak etiketlerin sayısıdır."
Scale barcode settings are not configured. Using item barcode only.,Terazi barkodu ayarları yapılandırılmamış. Yalnızca öğe barkodu kullanılıyor.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Bu öğe/UOM için ölçek şablonu barkodu eksik. Yalnızca öğe barkodu kullanılıyor.
Scan an existing card and top it up without leaving the payment flow.,Mevcut bir kartı tarayın ve ödeme akışından ayrılmadan yükleme yapın.
Scan Error,Tarama Hatası
Scan or enter a gift card code to check balance or redeem.,Bakiyeyi kontrol etmek veya kullanmak için hediye kartı kodunu tarayın veya girin.
Scan or paste the card code below.,Aşağıdaki kart kodunu tarayın veya yapıştırın.
Scan QR Code/Barcode,QR Kodunu/Barkodunu Tarayın
Scan with camera,Kamerayla tarayın
Scan-First Flow,Önce Tarama Akışı
Scanned Code:,Taranan Kod:
Scanning for: {0},Şunun için taranıyor: {0}
Scanning items,Öğeler taranıyor
Scan-Ready,Taramaya Hazır
Scope,Kapsam
Scope: All Profiles,Kapsam: Tüm Profiller
Scope: Current Profile,Kapsam: Mevcut Profil
Scope: Specific Profile,Kapsam: Spesifik Profil
Search,Ara
Search Account,Hesap Ara
Search an invoice and continue the return flow without extra steps.,Bir faturayı arayın ve ekstra adımlara gerek kalmadan iade akışına devam edin.
Search customer,Müşteri ara
Search invoices or customers,Faturaları veya müşterileri arayın
Search item,Öğeyi ara
Search item / code,Öğeyi / kodu arayın
Search items or barcode,Öğeleri veya barkodu arayın
Search Mpesa Payments,Mpesa Ödemelerini Ara
Search return invoices or customers,İade faturalarını veya müşterileri arayın
Search supplier,Tedarikçi ara
Search unpaid invoices or customers,Ödenmemiş faturaları veya müşterileri arayın
Secure context (HTTPS or localhost) is required for camera access.,Kamera erişimi için güvenli içerik (HTTPS veya localhost) gereklidir.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Kamera erişimi için güvenli içerik (HTTPS) gereklidir. Kameraya erişmek için lütfen HTTPS kullanın.
Select,Seç
Select a cashier first.,Önce bir kasiyer seçin.
Select a customer,Bir müşteri seçin
Select a customer to use coupon,Kuponu kullanacak müşteriyi seçin
Select a printer to use QZ silent printing.,QZ sessiz yazdırmayı kullanmak için bir yazıcı seçin.
Select Batch,Toplu Seç
Select Columns to Display,Görüntülenecek Sütunları Seçin
Select items to sell,Satılacak ürünleri seçin
Select Payment,Ödemeyi Seçin
Select Payment Account,Ödeme Hesabını Seçin
Select printer,Yazıcıyı seçin
Select Return Invoice,İade Faturasını Seçin
Select S.O,S.O'yu seçin
Select Sales Orders,Satış Siparişlerini Seçin
Select the cashier who is taking over this terminal.,Bu terminali devralacak kasiyeri seçin.
Selected,Seçildi
Selected movement type is not allowed by POS Profile.,Seçilen hareket türüne POS Profili izin vermiyor.
Selected Payments,Seçilen Ödemeler
Sensitive actions kept away from quick taps.,Hızlı dokunuşlardan uzak tutulan hassas eylemler.
Serial,Seri
Serial Numbers,Seri Numaraları
Server CPU Usage:,Sunucu CPU Kullanımı:
Server Health,Sunucu Sağlığı
Server Memory Usage:,Sunucu Belleği Kullanımı:
Server Metrics,Sunucu Metrikleri
Server Uptime:,Sunucu Çalışma Süresi:
Service Charges,Servis Ücretleri
Session,Oturum
