POS Awesome,POS ഗംഭീരം
Customer created successfully.,ഉപഭോക്താവിനെ സൃഷ്ടിച്ചു.
Customer creation failed.,ഉപഭോക്തൃ സൃഷ്‌ടി പരാജയപ്പെട്ടു.
Customer Details,ഉപഭോക്തൃ വിശദാംശങ്ങൾ
Customer display channel is missing,ഉപഭോക്തൃ ഡിസ്പ്ലേ ചാനൽ കാണുന്നില്ല
Customer display was blocked. Please allow pop-ups for this site.,ഉപഭോക്തൃ ഡിസ്പ്ലേ തടഞ്ഞു. ഈ സൈറ്റിനായി പോപ്പ്-അപ്പുകൾ അനുവദിക്കുക.
Customer group is required,ഉപഭോക്തൃ ഗ്രൂപ്പ് ആവശ്യമാണ്
Customer is required to add payment,ഉപഭോക്താവ് പേയ്‌മെൻ്റ് ചേർക്കേണ്ടതുണ്ട്
Customer Name is required,ഉപഭോക്താവിൻ്റെ പേര് ആവശ്യമാണ്
Customer not selected,ഉപഭോക്താവിനെ തിരഞ്ഞെടുത്തിട്ടില്ല
Customer Report,ഉപഭോക്തൃ റിപ്പോർട്ട്
Customer saved offline,കസ്റ്റമർ ഓഫ്‌ലൈനിൽ സംരക്ഷിച്ചു
Customer Screen,ഉപഭോക്തൃ സ്ക്രീൻ
Customer territory is required,ഉപഭോക്തൃ പ്രദേശം ആവശ്യമാണ്
Customer updated successfully.,ഉപഭോക്താവ് വിജയകരമായി അപ്ഡേറ്റ് ചെയ്തു.
Customer-facing tools and printer setup.,കസ്റ്റമർ-ഫേസിംഗ് ടൂളുകളും പ്രിൻ്റർ സജ്ജീകരണവും.
Customers,ഉപഭോക്താക്കൾ
Customers not found,ഉപഭോക്താക്കളെ കണ്ടെത്തിയില്ല
Daily cashier actions without scrolling.,സ്ക്രോൾ ചെയ്യാതെ പ്രതിദിന കാഷ്യർ പ്രവർത്തനങ്ങൾ.
Daily Sales,പ്രതിദിന വിൽപ്പന
Daily Sales Summary,പ്രതിദിന വിൽപ്പന സംഗ്രഹം
Data loaded in form. Review and submit.,ഫോമിൽ ഡാറ്റ ലോഡ് ചെയ്തു. അവലോകനം ചെയ്ത് സമർപ്പിക്കുക.
Database Health,ഡാറ്റാബേസ് ആരോഗ്യം
Database health affects overall system speed and reliability.,ഡാറ്റാബേസ് ആരോഗ്യം മൊത്തത്തിലുള്ള സിസ്റ്റം വേഗതയെയും വിശ്വാസ്യതയെയും ബാധിക്കുന്നു.
Database Info,ഡാറ്റാബേസ് വിവരം
Date,തീയതി
Day ?,ദിവസം?
days,ദിവസങ്ങൾ
Day-wise (MTD),ദിവസം തിരിച്ചുള്ള (MTD)
Day-wise Movement,ദിവസം തിരിച്ചുള്ള പ്രസ്ഥാനം
Dead Stock,ഡെഡ് സ്റ്റോക്ക്
Dead Stock Items,ഡെഡ് സ്റ്റോക്ക് ഇനങ്ങൾ
Decrease quantity,അളവ് കുറയ്ക്കുക
Default,സ്ഥിരസ്ഥിതി
Default:,ഡിഫോൾട്ട്:
Delete,ഇല്ലാതാക്കുക
Delete cancelled cash movement {0}?,റദ്ദാക്കിയ പണ നീക്കം ഇല്ലാതാക്കണോ {0}?
Delete Draft,ഡ്രാഫ്റ്റ് ഇല്ലാതാക്കുക
Delete draft invoice,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് ഇല്ലാതാക്കുക
Delete draft invoice {0}?,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് {0} ഇല്ലാതാക്കണോ?
Delete Invoice,ഇൻവോയ്സ് ഇല്ലാതാക്കുക
Delete offline invoice,ഓഫ്‌ലൈൻ ഇൻവോയ്സ് ഇല്ലാതാക്കുക
Delivered,എത്തിച്ചു
Delivery Charges,ഡെലിവറി നിരക്കുകൾ
Delivery Information,ഡെലിവറി വിവരങ്ങൾ
Delivery Note {0} created,ഡെലിവറി കുറിപ്പ് {0} സൃഷ്ടിച്ചു
Delivery note created,ഡെലിവറി കുറിപ്പ് സൃഷ്ടിച്ചു
Deployed Bundle:,വിന്യസിച്ചിരിക്കുന്ന ബണ്ടിൽ:
Deposit,നിക്ഷേപിക്കുക
Description,വിവരണം
Detailed Supplier Breakdown,വിശദമായ വിതരണക്കാരൻ്റെ തകർച്ച
Detecting formats:,ഫോർമാറ്റുകൾ കണ്ടെത്തുന്നു:
Device Memory:,ഉപകരണ മെമ്മറി:
Difference,വ്യത്യാസം
Difference (In Company Currency),വ്യത്യാസം (കമ്പനി കറൻസിയിൽ)
Disable offline mode first to recheck live connectivity.,തത്സമയ കണക്റ്റിവിറ്റി വീണ്ടും പരിശോധിക്കാൻ ആദ്യം ഓഫ്‌ലൈൻ മോഡ് പ്രവർത്തനരഹിതമാക്കുക.
Disconnect,വിച്ഛേദിക്കുക
discount,കിഴിവ്
Discount %,കിഴിവ് %
Discount / Void / Return Report,കിഴിവ് / അസാധുവായ / റിട്ടേൺ റിപ്പോർട്ട്
Discount Amount,കിഴിവ് തുക
Discount limited by POS Profile,POS പ്രൊഫൈൽ പ്രകാരം കിഴിവ് പരിമിതപ്പെടുത്തിയിരിക്കുന്നു
Discounted Invoices,ഡിസ്കൗണ്ട് ഇൻവോയ്സുകൾ
Discounts,ഡിസ്കൗണ്ടുകൾ
Dismiss,പിരിച്ചുവിടുക
Download Certificate,സർട്ടിഫിക്കറ്റ് ഡൗൺലോഡ് ചെയ്യുക
Draft,ഡ്രാഫ്റ്റ്
Draft invoice deleted,ഡ്രാഫ്റ്റ് ഇൻവോയ്സ് ഇല്ലാതാക്കി
Draft source,കരട് ഉറവിടം
Drafts,ഡ്രാഫ്റ്റുകൾ
Due {0},അവസാന തീയതി {0}
Due Date,അവസാന തീയതി
Duplicate,ഡ്യൂപ്ലിക്കേറ്റ്
Edit customer,ഉപഭോക്താവിനെ എഡിറ്റ് ചെയ്യുക
Edit discount amount,കിഴിവ് തുക എഡിറ്റ് ചെയ്യുക
Edit discount percentage,കിഴിവ് ശതമാനം എഡിറ്റ് ചെയ്യുക
Edit Gift Application,സമ്മാന അപേക്ഷ എഡിറ്റ് ചെയ്യുക
Edit item name,ഇനത്തിൻ്റെ പേര് എഡിറ്റ് ചെയ്യുക
Edit quantity,അളവ് എഡിറ്റ് ചെയ്യുക
Edit rate,നിരക്ക് എഡിറ്റ് ചെയ്യുക
Edit unit of measure,അളവിൻ്റെ യൂണിറ്റ് എഡിറ്റ് ചെയ്യുക
Edited,എഡിറ്റ് ചെയ്തു
Employee,ജീവനക്കാരൻ
Enable background sync,പശ്ചാത്തല സമന്വയം പ്രവർത്തനക്ഷമമാക്കുക
Enable Customer Display in POS Profile first.,ആദ്യം POS പ്രൊഫൈലിൽ കസ്റ്റമർ ഡിസ്പ്ലേ പ്രവർത്തനക്ഷമമാക്കുക.
Enter a PIN.,ഒരു പിൻ നൽകുക.
Enter a valid grams value,ഒരു സാധുവായ ഗ്രാം മൂല്യം നൽകുക
Enter new price list rate,പുതിയ വില ലിസ്റ്റ് നിരക്ക് നൽകുക
Enter Quantity,അളവ് നൽകുക
Enter the cashier PIN to continue.,തുടരാൻ കാഷ്യർ പിൻ നൽകുക.
Enter the current PIN first.,ആദ്യം നിലവിലുള്ള പിൻ നൽകുക.
"Enter the current PIN, then choose a new one.","നിലവിലെ പിൻ നൽകുക, തുടർന്ന് പുതിയൊരെണ്ണം തിരഞ്ഞെടുക്കുക."
Enter valid grams for scale barcode,സ്കെയിൽ ബാർകോഡിനായി സാധുവായ ഗ്രാം നൽകുക
Entries,എൻട്രികൾ
Error accessing camera:,ക്യാമറ ആക്‌സസ് ചെയ്യുന്നതിൽ പിശക്:
Error calculating prices,വിലകൾ കണക്കാക്കുന്നതിൽ പിശക്
Error fetching customer balance,ഉപഭോക്തൃ ബാലൻസ് ലഭ്യമാക്കുന്നതിൽ പിശക്
Error in change calculations!,കണക്ക് മാറ്റുന്നതിൽ പിഴവ്!
Error Loading Data,ഡാറ്റ ലോഡുചെയ്യുന്നതിൽ പിശക്
Error loading invoice details,ഇൻവോയ്സ് വിശദാംശങ്ങൾ ലോഡുചെയ്യുന്നതിൽ പിശക്
Error processing invoice,ഇൻവോയ്സ് പ്രോസസ്സ് ചെയ്യുന്നതിൽ പിശക്
Error processing payment,പേയ്‌മെൻ്റ് പ്രോസസ്സ് ചെയ്യുന്നതിൽ പിശക്
Error searching invoices,ഇൻവോയ്‌സുകൾ തിരയുന്നതിൽ പിശക്
Error submitting invoice:,ഇൻവോയ്സ് സമർപ്പിക്കുന്നതിൽ പിശക്:
Error submitting invoice: {0},ഇൻവോയ്സ് സമർപ്പിക്കുന്നതിൽ പിശക്: {0}
Error submitting invoice: No response from server,ഇൻവോയ്സ് സമർപ്പിക്കുന്നതിൽ പിശക്: സെർവറിൽ നിന്ന് പ്രതികരണമില്ല
Error updating currency,കറൻസി അപ്ഡേറ്റ് ചെയ്യുന്നതിൽ പിശക്
Error updating item details,ഇനത്തിൻ്റെ വിശദാംശങ്ങൾ അപ്ഡേറ്റ് ചെയ്യുന്നതിൽ പിശക്
Est. Purchase,എസ്റ്റ്. വാങ്ങുക
Est. Value,എസ്റ്റ്. മൂല്യം
Event-loop lag measures how busy your browser is. Lower is better.,നിങ്ങളുടെ ബ്രൗസർ എത്ര തിരക്കിലാണെന്ന് ഇവൻ്റ്-ലൂപ്പ് ലാഗ് അളക്കുന്നു. താഴ്ന്നതാണ് നല്ലത്.
Every,ഓരോ
Exchange Rate,വിനിമയ നിരക്ക്
Expand item details,ഇനത്തിൻ്റെ വിശദാംശങ്ങൾ വികസിപ്പിക്കുക
Expected Amount (In Company Currency),പ്രതീക്ഷിക്കുന്ന തുക (കമ്പനി കറൻസിയിൽ)
Expected Cash,പ്രതീക്ഷിക്കുന്ന പണം
Expected cash on hand grouped by currency,കറൻസി പ്രകാരം ഗ്രൂപ്പുചെയ്‌ത കൈയിൽ പ്രതീക്ഷിക്കുന്ന പണം
Expected vs Actual,പ്രതീക്ഷിക്കുന്നത് vs യഥാർത്ഥം
Expense,ചെലവ്
Expense Account (Optional Override),ചെലവ് അക്കൗണ്ട് (ഓപ്ഷണൽ ഓവർറൈഡ്)
Expense account is required.,ചെലവ് അക്കൗണ്ട് ആവശ്യമാണ്.
Expenses and deposits posted during this shift,ഈ ഷിഫ്റ്റിൽ പോസ്റ്റ് ചെയ്ത ചെലവുകളും നിക്ഷേപങ്ങളും
Expired,കാലഹരണപ്പെട്ടു
Failed to auto reconcile payments.,പേയ്‌മെൻ്റുകൾ സ്വയമേവ അനുരഞ്ജിപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടു.
Failed to cancel cash movement,പണമിടപാട് റദ്ദാക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to clear cache,കാഷെ മായ്‌ക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create item,ഇനം സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to create supplier,വിതരണക്കാരനെ സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to delete cash movement,പണമിടപാട് ഇല്ലാതാക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to generate scale barcode. Using item barcode only.,സ്കെയിൽ ബാർകോഡ് സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു. ഇനത്തിൻ്റെ ബാർകോഡ് മാത്രം ഉപയോഗിക്കുന്നു.
Failed to load cash movement context.,പണമിടപാട് സന്ദർഭം ലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു.
Failed to load dashboard data.,ഡാഷ്‌ബോർഡ് ഡാറ്റ ലോഡുചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു.
Failed to reload invoice from server,സെർവറിൽ നിന്ന് ഇൻവോയ്സ് റീലോഡ് ചെയ്യുന്നതിൽ പരാജയപ്പെട്ടു
Failed to submit cash movement,പണമിടപാട് സമർപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Failed to sync offline cash movements,ഓഫ്‌ലൈൻ പണ നീക്കങ്ങൾ സമന്വയിപ്പിക്കുന്നതിൽ പരാജയപ്പെട്ടു
Fast cashier actions for active shifts.,സജീവമായ ഷിഫ്റ്റുകൾക്കുള്ള ഫാസ്റ്റ് കാഷ്യർ പ്രവർത്തനങ്ങൾ.
Fast Moving Items,വേഗത്തിൽ ചലിക്കുന്ന ഇനങ്ങൾ
Fees,ഫീസ്
Fetch the latest offline prerequisite updates,ഏറ്റവും പുതിയ ഓഫ്‌ലൈൻ മുൻകൂർ അപ്‌ഡേറ്റുകൾ നേടുക
Find a sales order quickly and load it into the current sale.,ഒരു വിൽപ്പന ഓർഡർ വേഗത്തിൽ കണ്ടെത്തി നിലവിലെ വിൽപ്പനയിലേക്ക് ലോഡ് ചെയ്യുക.
Fixing payment amounts for return invoice...,റിട്ടേൺ ഇൻവോയ്‌സിനായി പേയ്‌മെൻ്റ് തുകകൾ നിശ്ചയിക്കുന്നു...
Flash Off,ഫ്ലാഷ് ഓഫ്
Flash On,ഫ്ലാഷ് ഓൺ
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'ഉൽപ്പന്ന ബണ്ടിൽ' ഇനങ്ങൾക്കായി, 'പാക്കിംഗ് ലിസ്റ്റ്' പട്ടികയിൽ നിന്ന് വെയർഹൗസ്, സീരിയൽ നമ്പർ, ബാച്ച് നമ്പർ എന്നിവ പരിഗണിക്കും. ഏതെങ്കിലും 'ഉൽപ്പന്ന ബണ്ടിൽ' ഇനത്തിനായുള്ള എല്ലാ പാക്കിംഗ് ഇനങ്ങൾക്കും വെയർഹൗസും ബാച്ച് നമ്പറും ഒരുപോലെയാണെങ്കിൽ, ആ മൂല്യങ്ങൾ പ്രധാന ഇന പട്ടികയിൽ നൽകാം; മൂല്യങ്ങൾ 'പാക്കിംഗ് ലിസ്റ്റ്' പട്ടികയിലേക്ക് പകർത്തും."
Free,സൗജന്യം
Free Qty,സൗജന്യ Qty
Frequency,ആവൃത്തി
from,നിന്ന്
From Date,തീയതി മുതൽ
Fulfillment Details,പൂർത്തീകരണ വിശദാംശങ്ങൾ
Full Name,മുഴുവൻ പേര്
Gain,നേട്ടം
Generate a fresh prepaid card and start it with an opening balance.,ഒരു പുതിയ പ്രീപെയ്ഡ് കാർഡ് സൃഷ്ടിച്ച് ഒരു ഓപ്പണിംഗ് ബാലൻസ് ഉപയോഗിച്ച് അത് ആരംഭിക്കുക.
Generate and install the certificate to allow fully silent printing without trust prompts.,ട്രസ്റ്റ് പ്രോംപ്‌റ്റുകളില്ലാതെ പൂർണ്ണമായും നിശബ്ദമായ പ്രിൻ്റിംഗ് അനുവദിക്കുന്നതിന് സർട്ടിഫിക്കറ്റ് സൃഷ്‌ടിക്കുകയും ഇൻസ്റ്റാൾ ചെയ്യുകയും ചെയ്യുക.
Generate Certificate,സർട്ടിഫിക്കറ്റ് സൃഷ്ടിക്കുക
Generated scale barcode: {0},സൃഷ്ടിച്ച സ്കെയിൽ ബാർകോഡ്: {0}
Get Payments,പേയ്‌മെൻ്റുകൾ നേടുക
Gift Card,സമ്മാന കാർഡ്
Gift card amount must be greater than zero.,സമ്മാന കാർഡ് തുക പൂജ്യത്തേക്കാൾ കൂടുതലായിരിക്കണം.
Gift Card Code,സമ്മാന കാർഡ് കോഡ്
Gift card code is required for redemption,റിഡീം ചെയ്യുന്നതിന് ഗിഫ്റ്റ് കാർഡ് കോഡ് ആവശ്യമാണ്
Gift card code is required.,സമ്മാന കാർഡ് കോഡ് ആവശ്യമാണ്.
Gift card issued successfully.,സമ്മാന കാർഡ് വിജയകരമായി വിതരണം ചെയ്തു.
Gift card loaded successfully.,സമ്മാന കാർഡ് വിജയകരമായി ലോഡുചെയ്‌തു.
Gift Card Management,ഗിഫ്റ്റ് കാർഡ് മാനേജ്മെൻ്റ്
Gift card payment,സമ്മാന കാർഡ് പേയ്മെൻ്റ്
Gift card redemption requires an online connection,സമ്മാന കാർഡ് റിഡീം ചെയ്യുന്നതിന് ഒരു ഓൺലൈൻ കണക്ഷൻ ആവശ്യമാണ്
Gift card topped up successfully.,സമ്മാന കാർഡ് വിജയകരമായി ടോപ്പ് അപ്പ് ചെയ്തു.
Gift Cards,സമ്മാന കാർഡുകൾ
Go to Frappe Desk,ഫ്രാപ്പ് ഡെസ്കിലേക്ക് പോകുക
Grand Total,ഗ്രാൻഡ് ടോട്ടൽ
Gross Margin,മൊത്തം മാർജിൻ
Gross Profit,മൊത്ത ലാഭം
Gross Sales,മൊത്ത വിൽപ്പന
Group not found,ഗ്രൂപ്പ് കണ്ടെത്തിയില്ല
"Grouped controls for terminal, UI, and session settings.","ടെർമിനൽ, യുഐ, സെഷൻ ക്രമീകരണങ്ങൾ എന്നിവയ്‌ക്കായുള്ള ഗ്രൂപ്പുചെയ്‌ത നിയന്ത്രണങ്ങൾ."
Grouped totals for each payment method and currency,ഓരോ പേയ്‌മെൻ്റ് രീതിക്കും കറൻസിക്കുമായി ഗ്രൂപ്പുചെയ്‌ത മൊത്തങ്ങൾ
Hide,മറയ്ക്കുക
Hide Gift Card,സമ്മാന കാർഡ് മറയ്ക്കുക
Hide Non Essential Fields,അനിവാര്യമല്ലാത്ത ഫീൽഡുകൾ മറയ്ക്കുക
Hide quantity decimals,അളവ് ദശാംശങ്ങൾ മറയ്ക്കുക
Hide search tools,തിരയൽ ഉപകരണങ്ങൾ മറയ്ക്കുക
Hide zero rated items,പൂജ്യം റേറ്റുചെയ്ത ഇനങ്ങൾ മറയ്ക്കുക
High,ഉയർന്നത്
History,ചരിത്രം
Hourly (Today),മണിക്കൂർ തോറും (ഇന്ന്)
How this section works,ഈ വിഭാഗം എങ്ങനെ പ്രവർത്തിക്കുന്നു
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","പഴകിയ ഡാറ്റ അവശേഷിക്കുന്നുണ്ടെങ്കിൽ, ക്രമീകരണങ്ങൾ > ഓഫ്‌ലൈനും സമന്വയവും തുറന്ന് ഓൺലൈനായിരിക്കുമ്പോൾ വീണ്ടും ഓഫ്‌ലൈൻ ഡാറ്റ റീബിൽഡ് റൺ ചെയ്യുക."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","മുന്നറിയിപ്പ് നിലനിൽക്കുകയാണെങ്കിൽ, ക്രമീകരണങ്ങൾ > ഓഫ്‌ലൈനും സമന്വയവും തുറക്കുക, തുടർന്ന് ഓഫ്‌ലൈൻ ഡാറ്റ പുതുക്കുക അല്ലെങ്കിൽ ഓഫ്‌ലൈൻ ഡാറ്റ പുനർനിർമ്മിക്കുക."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,QZ ട്രേയിലേക്ക് സർട്ടിഫിക്കറ്റ് ഇമ്പോർട്ടുചെയ്‌ത് ഓരോ POS മെഷീനിലും QZ ട്രേ പുനരാരംഭിക്കുക.
In,ഇൻ
In stock: {0},സ്റ്റോക്കുണ്ട്: {0}
Include Batch / Serial,ബാച്ച് / സീരിയൽ ഉൾപ്പെടുത്തുക
Include Price,വില ഉൾപ്പെടുത്തുക
Increase quantity,അളവ് കൂട്ടുക
IndexedDB,IndexedDB
Initial Amount,പ്രാരംഭ തുക
Initialize your shift with opening balances,ഓപ്പണിംഗ് ബാലൻസുകൾ ഉപയോഗിച്ച് നിങ്ങളുടെ ഷിഫ്റ്റ് ആരംഭിക്കുക
Initializing application...,ആപ്ലിക്കേഷൻ ആരംഭിക്കുന്നു...
"Inspect cache, sync, and prerequisite status","കാഷെ, സമന്വയം, ആവശ്യമായ നില എന്നിവ പരിശോധിക്കുക"
Installed Applications,ഇൻസ്റ്റാൾ ചെയ്ത ആപ്ലിക്കേഷനുകൾ
Insufficient stock:\n{0},മതിയായ സ്റ്റോക്കില്ല:\n{0}
Invalid rate,അസാധുവായ നിരക്ക്
Inventory Status Report,ഇൻവെൻ്ററി സ്റ്റാറ്റസ് റിപ്പോർട്ട്
Invoice,ഇൻവോയ്സ്
Invoice {0} is Submitted,ഇൻവോയ്സ് {0} സമർപ്പിച്ചു
Invoice {0} processed successfully,ഇൻവോയ്സ് {0} വിജയകരമായി പ്രോസസ്സ് ചെയ്തു
Invoice {0} submission failed,ഇൻവോയ്സ് {0} സമർപ്പിക്കൽ പരാജയപ്പെട്ടു
Invoice {0} was already submitted,ഇൻവോയ്സ് {0} ഇതിനകം സമർപ്പിച്ചു
Invoice Adjustments,ഇൻവോയ്സ് ക്രമീകരണങ്ങൾ
Invoice Change,ഇൻവോയ്സ് മാറ്റം
Invoice Details,ഇൻവോയ്സ് വിശദാംശങ്ങൾ
Invoice is still in draft after background submission.,പശ്ചാത്തല സമർപ്പണത്തിന് ശേഷവും ഇൻവോയ്സ് ഡ്രാഫ്റ്റിലാണ്.
Invoice Items,ഇൻവോയ്സ് ഇനങ്ങൾ
Invoice Management,ഇൻവോയ്സ് മാനേജ്മെൻ്റ്
Invoice Mgmt,ഇൻവോയ്സ് Mgmt
Invoice saved offline,ഇൻവോയ്സ് ഓഫ്‌ലൈനിൽ സംരക്ഷിച്ചു
Invoice submission failed,ഇൻവോയ്സ് സമർപ്പിക്കൽ പരാജയപ്പെട്ടു
Invoice Submitted,ഇൻവോയ്സ് സമർപ്പിച്ചു
"Invoice value settled by loyalty points, not cash collection","പണ ശേഖരണമല്ല, ലോയൽറ്റി പോയിൻ്റുകൾ വഴിയാണ് ഇൻവോയ്സ് മൂല്യം തീർപ്പാക്കിയത്"
Invoices,ഇൻവോയ്സുകൾ
Invoices already past due date,ഇൻവോയ്‌സുകൾ ഇതിനകം അവസാന തീയതി കഴിഞ്ഞു
Invoices saved as POS Invoices,ഇൻവോയ്സുകൾ POS ഇൻവോയ്സുകളായി സംരക്ഷിച്ചു
Invoices still carrying balances,ഇൻവോയ്‌സുകളിൽ ഇപ്പോഴും ബാലൻസ് ഉണ്ട്
Issue Mode,ഇഷ്യൂ മോഡ്
Issue New Card,പുതിയ കാർഡ് ഇഷ്യൂ ചെയ്യുക
Issue Workflow,ഇഷ്യൂ വർക്ക്ഫ്ലോ
"Issue, top up, and check","ഇഷ്യൂ ചെയ്യുക, ടോപ്പ് അപ്പ് ചെയ്യുക, പരിശോധിക്കുക"
Item,ഇനം
Item / Product Sales Report,ഇനം / ഉൽപ്പന്ന വിൽപ്പന റിപ്പോർട്ട്
Item {0} added to invoice,ഇൻവോയ്‌സിൽ {0} ഇനം ചേർത്തു
Item '{0}' has no barcode,'{0}' ഇനത്തിന് ബാർകോഡില്ല
Item Code,ഇനം കോഡ്
Item created successfully,ഇനം വിജയകരമായി സൃഷ്ടിച്ചു
Item is out of stock,ഇനം സ്റ്റോക്കില്ല
Item Name,ഇനത്തിൻ്റെ പേര്
Item not found,ഇനം കണ്ടെത്തിയില്ല
Item order updated,ഇനത്തിൻ്റെ ഓർഡർ അപ്ഡേറ്റ് ചെയ്തു
Item Selector Settings,ഇനം സെലക്ടർ ക്രമീകരണങ്ങൾ
Items,ഇനങ്ങൾ
Items added in POS will appear here automatically.,POS-ൽ ചേർത്ത ഇനങ്ങൾ ഇവിടെ സ്വയമേവ ദൃശ്യമാകും.
Items added to invoice,ഇൻവോയ്‌സിലേക്ക് ഇനങ്ങൾ ചേർത്തു
Items per page,ഓരോ പേജിലും ഇനങ്ങൾ
Items Sold,വിറ്റ വസ്തുക്കൾ
Items/Invoice,ഇനങ്ങൾ/ഇൻവോയ്സ്
Item-wise Profitability,ഇനം തിരിച്ചുള്ള ലാഭക്ഷമത
Journal Entry,ജേണൽ എൻട്രി
json,json
Just now,ഇപ്പോൾ തന്നെ
Keep offline prerequisites healthy and recover stale data safely.,ഓഫ്‌ലൈൻ മുൻവ്യവസ്ഥകൾ ആരോഗ്യകരമായി നിലനിർത്തുകയും പഴകിയ ഡാറ്റ സുരക്ഷിതമായി വീണ്ടെടുക്കുകയും ചെയ്യുക.
Labels,ലേബലുകൾ
"Language, theme, terminal tools, and session controls.","ഭാഷ, തീം, ടെർമിനൽ ടൂളുകൾ, സെഷൻ നിയന്ത്രണങ്ങൾ."
Last,അവസാനത്തേത്
Last 14 Days (Paid vs Pending),കഴിഞ്ഞ 14 ദിവസം (പണമടച്ചതും തീർച്ചപ്പെടുത്തിയിട്ടില്ലാത്തതും)
Last 14 Days Activity,കഴിഞ്ഞ 14 ദിവസത്തെ പ്രവർത്തനം
Last 14 Days Gross Profit,കഴിഞ്ഞ 14 ദിവസത്തെ മൊത്ത ലാഭം
Last 14 Days Purchases,കഴിഞ്ഞ 14 ദിവസത്തെ വാങ്ങലുകൾ
Last 14 Days Tax/Charges,കഴിഞ്ഞ 14 ദിവസത്തെ നികുതി/നിരക്കുകൾ
Last sync:,അവസാന സമന്വയം:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},അവസാന സമന്വയം: {0} | ശരി: {1} | പരാജയപ്പെട്ടു: {2} | ഒഴിവാക്കി: {3}
Latest entries for current shift,നിലവിലെ ഷിഫ്റ്റിനുള്ള ഏറ്റവും പുതിയ എൻട്രികൾ
Lead Time,ലീഡ് സമയം
Limited,ലിമിറ്റഡ്
lines,വരികൾ
List,ലിസ്റ്റ്
Live Snapshot,തത്സമയ സ്നാപ്പ്ഷോട്ട്
Load a POS profile and cashier first.,ആദ്യം ഒരു POS പ്രൊഫൈലും കാഷ്യറും ലോഡ് ചെയ്യുക.
Load More Invoices,കൂടുതൽ ഇൻവോയ്‌സുകൾ ലോഡുചെയ്യുക
Load previously saved invoices,മുമ്പ് സംരക്ഷിച്ച ഇൻവോയ്‌സുകൾ ലോഡുചെയ്യുക
Load Sale,ലോഡ് വിൽപ്പന
Load Sales Invoice,വിൽപ്പന ഇൻവോയ്സ് ലോഡ് ചെയ്യുക
Loading app data...,ആപ്പ് ഡാറ്റ ലോഡുചെയ്യുന്നു...
Loading customer database...,ഉപഭോക്തൃ ഡാറ്റാബേസ് ലോഡുചെയ്യുന്നു...
Loading customers...,ഉപഭോക്താക്കളെ ലോഡ് ചെയ്യുന്നു...
Loading database stats...,ഡാറ്റാബേസ് സ്ഥിതിവിവരക്കണക്കുകൾ ലോഡുചെയ്യുന്നു...
Loading details...,വിശദാംശങ്ങൾ ലോഡുചെയ്യുന്നു...
Loading invoice history...,ഇൻവോയ്സ് ചരിത്രം ലോഡ് ചെയ്യുന്നു...
Loading items...,ഇനങ്ങൾ ലോഡുചെയ്യുന്നു...
Loading product catalog...,ഉൽപ്പന്ന കാറ്റലോഗ് ലോഡ് ചെയ്യുന്നു...
Loading return invoices...,റിട്ടേൺ ഇൻവോയ്‌സുകൾ ലോഡ് ചെയ്യുന്നു...
Loading server CPU/memory usage...,സെർവർ CPU/മെമ്മറി ഉപയോഗം ലോഡുചെയ്യുന്നു...
Loading suppliers...,വിതരണക്കാരെ ലോഡ് ചെയ്യുന്നു...
Loading unpaid invoices...,പണമടയ്ക്കാത്ത ഇൻവോയ്‌സുകൾ ലോഡ് ചെയ്യുന്നു...
Loading view...,കാഴ്ച ലോഡുചെയ്യുന്നു...
Loading...,ലോഡ് ചെയ്യുന്നു...
Local storage is unavailable. Switching to online-only mode.,പ്രാദേശിക സംഭരണം ലഭ്യമല്ല. ഓൺലൈൻ-മാത്രം മോഡിലേക്ക് മാറുന്നു.
localStorage,പ്രാദേശിക സംഭരണം
Location Performance,ലൊക്കേഷൻ പ്രകടനം
Locations,സ്ഥാനങ്ങൾ
Lock Screen,ലോക്ക് സ്ക്രീൻ
Lookup Workflow,വർക്ക്ഫ്ലോ നോക്കുക
Loss,നഷ്ടം
Low,താഴ്ന്നത്
Low Stock,കുറഞ്ഞ സ്റ്റോക്ക്
