POS Awesome,POS E mrekullueshme
Invoices already past due date,Faturat tashmë kanë kaluar afatin e duhur
Invoices saved as POS Invoices,Faturat ruhen si Fatura POS
Invoices still carrying balances,Faturat ende mbajnë bilanc
Issue Mode,Modaliteti i problemit
Issue New Card,Lëshoni një kartë të re
Issue Workflow,Çështja e rrjedhës së punës
"Issue, top up, and check","Lëshoni, mbushni dhe kontrolloni"
Item,Artikulli
Item / Product Sales Report,Raporti i shitjeve të artikullit / produktit
Item {0} added to invoice,Artikulli {0} u shtua në faturë
Item '{0}' has no barcode,Artikulli '{0}' nuk ka barkod
Item Code,Kodi i artikullit
Item created successfully,Artikulli u krijua me sukses
Item is out of stock,Artikulli nuk është në gjendje
Item Name,Emri i artikullit
Item not found,Artikulli nuk u gjet
Item order updated,Renditja e artikullit u përditësua
Item Selector Settings,Cilësimet e përzgjedhësit të artikullit
Items,Artikuj
Items added in POS will appear here automatically.,Artikujt e shtuar në POS do të shfaqen këtu automatikisht.
Items added to invoice,Artikujt e shtuar në faturë
Items per page,Artikuj për faqe
Items Sold,Artikujt e shitur
Items/Invoice,Artikujt/Fatura
Item-wise Profitability,Përfitueshmëria sipas artikujve
Journal Entry,Hyrja në ditar
json,json
Just now,Vetëm tani
Keep offline prerequisites healthy and recover stale data safely.,Mbani të shëndetshme parakushtet jashtë linje dhe rikuperoni të dhënat e vjetruara në mënyrë të sigurt.
Labels,Etiketat
"Language, theme, terminal tools, and session controls.","Gjuha, tema, mjetet e terminalit dhe kontrollet e sesionit."
Last,E fundit
Last 14 Days (Paid vs Pending),14 ditët e fundit (të paguara kundrejt në pritje)
Last 14 Days Activity,Aktiviteti i 14 ditëve të fundit
Last 14 Days Gross Profit,Fitimi bruto i 14 ditëve të fundit
Last 14 Days Purchases,Blerjet e 14 ditëve të fundit
Last 14 Days Tax/Charges,Taksa/Tarifat e 14 ditëve të fundit
Last sync:,Sinkronizimi i fundit:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Sinkronizimi i fundit: {0} | në rregull: {1} | dështoi: {2} | kapërceu: {3}
Latest entries for current shift,Regjistrimet më të fundit për ndërrimin aktual
Lead Time,Koha e udhëheqjes
Limited,I kufizuar
lines,linjat
List,Lista
Live Snapshot,Foto e drejtpërdrejtë
Load a POS profile and cashier first.,Ngarko fillimisht një profil POS dhe arkëtar.
Load More Invoices,Ngarko më shumë fatura
Load previously saved invoices,Ngarko faturat e ruajtura më parë
Load Sale,Ngarkesë Shitje
Load Sales Invoice,Ngarko faturën e shitjes
Loading app data...,Po ngarkon të dhënat e aplikacionit...
Loading customer database...,Po ngarkohet baza e të dhënave të klientëve...
Loading customers...,Po ngarkohen klientët...
Loading database stats...,Po ngarkon statistikat e bazës së të dhënave...
Loading details...,Detajet po ngarkohen...
Loading invoice history...,Po ngarkohet historiku i faturave...
Loading items...,Po ngarkon artikujt...
Loading product catalog...,Po ngarkohet katalogu i produkteve...
Loading return invoices...,Po ngarkohen faturat e kthimit...
Loading server CPU/memory usage...,Përdorimi i CPU/memorjes së serverit po ngarkohet...
Loading suppliers...,Duke ngarkuar furnizuesit...
Loading unpaid invoices...,Po ngarkohen faturat e papaguara...
Loading view...,Po ngarkohet pamja...
Loading...,Po ngarkohet...
Local storage is unavailable. Switching to online-only mode.,Hapësira ruajtëse lokale nuk ofrohet. Kalimi në modalitetin vetëm në linjë.
localStorage,ruajtja lokale
Location Performance,Performanca e vendndodhjes
Locations,Vendndodhjet
Lock Screen,Kyçja e ekranit
Lookup Workflow,Kërkimi i rrjedhës së punës
Loss,Humbje
Low,E ulët
Low Stock,Stoku i ulët
Low Stock Alerts,Sinjalizime të ulëta të stokut
Low Stock Items,Artikuj me stoqe të ulëta
Low Stock Threshold,Pragu i ulët i aksioneve
Low Stock Total,Totali i ulët i stokut
Lowest Margin,Marzhi më i ulët
Low-frequency maintenance and system details.,Mirëmbajtja me frekuencë të ulët dhe detajet e sistemit.
Loyalty Redeemed,Besnikëria e shpenguar
Loyalty Redemption,Shëlbimi i besnikërisë
Make New Payment,Bëni një pagesë të re
Manage all,Menaxhoni të gjitha
Manage and synchronize your offline transactions,Menaxhoni dhe sinkronizoni transaksionet tuaja jashtë linje
Manage Cashier PIN,Menaxho PIN-in e arkëtarit
"Manage offline tools, terminal controls, and maintenance from one workspace.","Menaxho mjetet jashtë linje, kontrollet e terminalit dhe mirëmbajtjen nga një hapësirë ​​pune."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Kodet manuale, skanimet e barkodit dhe skanimet QR funksionojnë në të njëjtën fushë"
Manual offline mode is enabled,Modaliteti manual jashtë linje është aktivizuar
Margin,Marzhi
Maximum available quantity is {0}. Quantity adjusted to match stock.,Sasia maksimale e disponueshme është {0}. Sasia e rregulluar në përputhje me stokun.
Maximum discount amount for this offer item is {0}.,Shuma maksimale e zbritjes për këtë artikull oferte është {0}.
Maximum discount percentage for this offer item is {0}%.,Përqindja maksimale e zbritjes për këtë artikull oferte është {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Sasia maksimale e ofertës është {0}. Sasia e rregulluar në kufirin e lejuar.
Medium,E mesme
Method-wise Collections,Koleksione sipas metodës
Minimum allowed rate for this offer item is {0}.,Tarifa minimale e lejuar për këtë artikull oferte është {0}.
Minimum Qty,Sasia minimale
Mobile No,Nr celulari
Mode,Modaliteti
Mode of Payment,Mënyra e pagesës
Month,muaj
Month ?,muaj ?
Monthly Profit,Fitimi mujor
Monthly Sales,Shitjet mujore
Monthly Sales Summary,Përmbledhja e Shitjeve Mujore
Month-wise,Sipas muajit
Most Active Cashiers,Arkëtarët më aktivë
Movement Type,Lloji i Lëvizjes
Movements,Lëvizjet
Multi Currency,Multimonedha
N/A,N/A
Name,Emri
Negative Stock,Stoku negativ
Negative Stock Items,Artikuj negativë të aksioneve
Negative values not allowed,Vlerat negative nuk lejohen
Net,Net
Net Qty,Sasia neto
Net Sales,Shitjet neto
Net Value,Vlera neto
Never,kurrë
New changes are ready to load,Ndryshimet e reja janë gati për t'u ngarkuar
New Item,Artikull i ri
New Offer Available,Oferta e re e disponueshme
New PIN,PIN i ri
New rate,Norma e re
Next unit of measure,Njësia tjetër e masës
No attribute data found.,Nuk u gjetën të dhëna atribute.
No Barcode,Nuk ka barkod
No barcode found for UOM '{0}',Nuk u gjet asnjë barkod për UOM '{0}'
No branch/location data found.,Nuk u gjetën të dhëna për degën/vendndodhjen.
No brand data found.,Nuk u gjetën të dhëna për markën.
No cached gift card balance is available offline.,Asnjë bilanc i kartës dhuratë të ruajtur në memorie të fshehtë nuk ofrohet jashtë linje.
No camera found on this device. Please ensure your device has a working camera.,Nuk u gjet asnjë kamerë në këtë pajisje. Sigurohuni që pajisja juaj të ketë një kamerë që funksionon.
No capability warnings recorded yet.,Nuk është regjistruar ende asnjë paralajmërim për aftësinë.
No cash expected for this shift.,Nuk priten para për këtë ndërrim.
No cash mode configured,Nuk është konfiguruar modaliteti i parave
No cash movement type is allowed for this POS Profile.,Asnjë lloj lëvizjeje parash nuk lejohet për këtë profil POS.
No cashier PIN is set yet. Create one now.,Nuk është vendosur ende asnjë kod PIN i arkëtarit. Krijo një tani.
No cashier profiles are available for this POS profile yet.,Nuk ka ende profile arkëtare për këtë profil POS.
No cashier-wise discount/void/return activity.,Asnjë aktivitet zbritje/pavlefshmërie/kthimi nga arkëtari.
No category data found.,Nuk u gjetën të dhëna për kategorinë.
No category profitability data found.,Nuk u gjetën të dhëna për përfitimin e kategorisë.
No change returned recorded for this shift.,Asnjë ndryshim i kthyer nuk është regjistruar për këtë ndërrim.
No change-allocation invoices match the current filters.,Asnjë faturë ndryshimi-alokimi nuk përputhet me filtrat aktualë.
No charge head breakdown found.,Nuk u gjet asnjë avari e kokës së karikimit.
No Company Selected,Asnjë kompani e zgjedhur
No customer sales data found.,Nuk u gjetën të dhëna për shitjet e klientëve.
No day-wise discount/void/return trend.,Asnjë trend i zbritjes/zvogëlimit/kthimit gjatë ditës.
No day-wise payment data found.,Nuk u gjetën të dhëna pagesash gjatë ditës.
No day-wise profitability trend found.,Nuk u gjet asnjë trend i përfitueshmërisë gjatë ditës.
No day-wise purchase data found.,Nuk u gjetën të dhëna blerjeje gjatë ditës.
No day-wise sales trend found.,Nuk u gjet asnjë trend i shitjeve gjatë ditës.
No day-wise tax/charges trend found.,Nuk u gjet asnjë tendencë e taksave/taksave gjatë ditës.
No dead stock items.,Nuk ka artikuj të aksioneve të vdekur.
No due date,Asnjë datë afati
No exact repair match found for this invoice,Nuk u gjet asnjë përputhje e saktë riparimi për këtë faturë
No hourly sales trend found for today.,Nuk u gjet asnjë trend i shitjeve për orë për sot.
No invoice activity found.,Nuk u gjet asnjë aktivitet fature.
No invoices found,Nuk u gjetën fatura
No invoices found. Try different search criteria.,Nuk u gjetën fatura. Provoni kritere të ndryshme kërkimi.
No invoices recorded for this shift.,Nuk u regjistruan fatura për këtë ndërrim.
No item profitability data found.,Nuk u gjetën të dhëna për përfitimin e artikullit.
No item sales data found for this period.,Nuk u gjetën të dhëna për shitjet e artikujve për këtë periudhë.
No items found,Nuk u gjet asnjë artikull
No items in cart,Nuk ka artikuj në shportë
No items with barcodes to print,Nuk ka artikuj me barkode për të printuar
No location-wise top item data found.,Nuk u gjetën të dhëna për artikullin kryesor sipas vendndodhjes.
No low stock alerts right now.,Nuk ka sinjalizime për stokun e ulët për momentin.
No low stock items.,Nuk ka artikuj të ulët.
No matching items in cart,Nuk ka artikuj që përputhen në shportë
No month-wise sales trend found.,Nuk u gjet asnjë trend i shitjeve sipas muajve.
No negative stock items.,Nuk ka artikuj negativ të aksioneve.
No notifications yet,Nuk ka ende njoftime
No offline cash movement synced.,Asnjë lëvizje parash jashtë linje e sinkronizuar.
No offline invoices pending synchronization,Nuk ka fatura jashtë linje në pritje të sinkronizimit
No offline sync issues recorded yet.,Nuk është regjistruar ende asnjë problem me sinkronizimin jashtë linje.
No out-of-stock items.,Nuk ka artikuj që nuk janë në magazinë.
No outstanding credit invoices for this shift.,Nuk ka fatura krediti të papaguara për këtë zhvendosje.
No payment collection data found.,Nuk u gjetën të dhëna për mbledhjen e pagesave.
No payment rows available on this invoice.,Nuk ka rreshta pagese të disponueshme në këtë faturë.
No payments registered for this shift.,Nuk ka pagesa të regjistruara për këtë ndërrim.
No pending balances in this period.,Nuk ka bilanc në pritje në këtë periudhë.
No pending offline invoices,Nuk ka fatura në pritje jashtë linje
No Print Formats Found,Nuk u gjetën formate printimi
No profiles found for selected scope. Falling back to current profile failed.,Nuk u gjetën profile për shtrirjen e zgjedhur. Rikthimi në profilin aktual dështoi.
No recent customer activity found.,Nuk u gjet asnjë aktivitet i fundit i klientit.
No recent stock entries found.,Nuk u gjet asnjë regjistrim i fundit i aksioneve.
No records found,Nuk u gjet asnjë regjistrim
No reorder suggestions right now.,Nuk ka sugjerime për porositje për momentin.
No repeat customers in this period.,Nuk ka klientë të përsëritur në këtë periudhë.
No response from server,Asnjë përgjigje nga serveri
No return invoices found,Nuk u gjetën fatura kthimi
No return item trend found.,Nuk u gjet asnjë trend i artikullit të kthimit.
No returnable items found for this invoice,Nuk u gjet asnjë artikull i kthyeshëm për këtë faturë
No returns were processed in this shift.,Asnjë kthim nuk u përpunua në këtë turn.
No risk activity found.,Nuk u gjet asnjë aktivitet rreziku.
No sales activity found for this period.,Nuk u gjet asnjë aktivitet shitjesh për këtë periudhë.
No slow moving items.,Nuk ka sende që lëvizin ngadalë.
No staff sales activity found.,Nuk u gjet asnjë aktivitet i shitjes së stafit.
No stock movement for this period.,Nuk ka lëvizje të aksioneve për këtë periudhë.
No submitted cash movements in this shift.,Asnjë lëvizje e dorëzuar në para në këtë ndërrim.
No supplier purchases found in this month.,Nuk u gjetën blerje nga furnizuesit në këtë muaj.
No suppliers found for this period.,Nuk u gjetën furnizues për këtë periudhë.
No sync trigger has run yet in this session.,Asnjë aktivizues sinkronizimi nuk është ekzekutuar ende në këtë seancë.
No tax head breakdown found.,Nuk u gjet asnjë ndarje e kreut tatimor.
No top items found for this location.,Nuk u gjet asnjë artikull kryesor për këtë vendndodhje.
No unpaid invoices,Nuk ka fatura të papaguara
No variant data found.,Nuk u gjetën të dhëna variante.
No week-wise sales trend found.,Nuk u gjet asnjë trend i shitjeve për javë.
No.,Nr.
Nobile Number,Numri Nobile
Not available,Nuk disponohet
Not checked,Nuk është kontrolluar
Not selected,Nuk është zgjedhur
Not Set,Nuk është caktuar
Notifications,Njoftimet
Offer,Oferta
Offer Applied,Oferta u aplikua
Offer criteria exceeded,Janë tejkaluar kriteret e ofertës
Offer Item,Artikull Oferta
Offer item unavailable,Artikulli i ofertës nuk ofrohet
Offer Removed,Oferta u hoq
Offer UOM cannot be changed,Oferta UOM nuk mund të ndryshohet
Offer?,Oferta?
Offers,Ofertat
Offline,Jashtë linje
Offline & Sync,Jashtë linje dhe sinkronizoj
Offline Capabilities,Aftësitë jashtë linje
Offline data status refreshed,Statusi i të dhënave jashtë linje u rifreskua
Offline diagnostics,Diagnostifikimi jashtë linje
Offline Invoices,Faturat jashtë linje
Offline invoices status,Statusi i faturave jashtë linje
Offline invoices synced,Faturat jashtë linje u sinkronizuan
Offline Queue: {0},Radha jashtë linje: {0}
Offline rebuild guidance,Udhëzime për rindërtimin jashtë linje
Offline restore is unavailable for this session.,Rivendosja jashtë linje nuk ofrohet për këtë sesion.
Offline selling is available with degraded capabilities.,Shitja jashtë linje ofrohet me aftësi të degraduara.
Offline snapshot does not match the current POS state.,Fotoja jashtë linje nuk përputhet me gjendjen aktuale të POS-it.
Offline Status,Statusi jashtë linje
"Offline, terminal, and system controls","Kontrollet jashtë linje, terminali dhe sistemi"
OK,OK
Online,Online
Open actions menu,Hap menunë e veprimeve
Open balance to collect,Bilanci i hapur për të mbledhur
Open Customer Display,Hapni Ekranin e Klientit
Open drawer,Hap sirtarin
Open invoices,Faturat e hapura
Open Payments?,Të hapen pagesat?
Open POS home,Hapni shtëpinë POS
Open this screen from POS Menu -> Open Customer Display.,Hapeni këtë ekran nga menyja POS -> Hapni Ekranin e Klientit.
OpenCV image processing enabled - Enhanced barcode detection,Përpunimi i imazhit OpenCV është aktivizuar - Zbulimi i përmirësuar i barkodit
OpenCV image processing unavailable on this device,Përpunimi i imazhit OpenCV nuk ofrohet në këtë pajisje
OpenCV Off,OpenCV joaktive
OpenCV On,OpenCV Aktiv
OpenCV processing disabled,Përpunimi i OpenCV është çaktivizuar
Opening Amount,Shuma e hapjes
Opening Cash,Hapja e parave të gatshme
options,opsionet
Order,Rendit
Original,Origjinale
Other,Të tjera
Out,Jashtë
Out of Stock,Jashtë gjendjes
Out of Stock Items,Artikuj jashtë magazinës
Outstanding,I shquar
Outstanding Credit by Currency,Kredia e papaguar sipas monedhës
Overdue,I vonuar
Overpayment Change,Ndryshimi i mbipagesës
Overpayment change deducted: {0},Ndryshimi i mbipagesës i zbritur: {0}
Packing List,Lista e paketimit
Page Format,Formati i faqes
Page unavailable offline,Faqja e padisponueshme jashtë linje
Paid,I paguar
Paid (orig):,Me pagesë (origjina):
Paid Amount,Shuma e paguar
Paid change cannot be greater than total change!,Ndryshimi i paguar nuk mund të jetë më i madh se ndryshimi total!
Paid:,Me pagesë:
Parent Item,Artikulli prind
Partial,I pjesshëm
Partly Paid,Pjesërisht e paguar
Party Account,Llogaria e Partisë
Party Type,Lloji i Partisë
Pause terminal until next cashier,Ndalo terminalin deri në arkëtarin tjetër
PAY,PAGUANI
Payment,Pagesa
Payment Account,Llogaria e Pagesës
Payment entries processed for Invoice {0},Regjistrimet e pagesave të përpunuara për faturën {0}
Payment Entry Type,Lloji i hyrjes së pagesës
Payment History,Historia e Pagesave
Payment ID,ID-ja e pagesës
Payment Method Report,Raporti i mënyrës së pagesës
Payment Methods,Metodat e pagesës
Payment of {0} received successfully.,Pagesa prej {0} u pranua me sukses.
Payment Progress,Progresi i pagesës
Payment Reconciliation,Barazimi i pagesave
Payment request status could not be retrieved. Please try again,Statusi i kërkesës për pagesë nuk mund të merrej. Ju lutemi provoni përsëri
Payment Request took too long to respond. Please try requesting for payment again,Kërkesës për pagesë iu desh shumë kohë për t'u përgjigjur. Ju lutemi provoni të kërkoni përsëri pagesë
Payment saved offline,Pagesa u ruajt jashtë linje
Payment State,Shteti i pagesës
Payment Status,Statusi i pagesës
Payment submitted but print function could not be executed. Payment name not found.,"Pagesa u dorëzua, por funksioni i printimit nuk mund të ekzekutohej. Emri i pagesës nuk u gjet."
Payment submitted.,Pagesa e dorëzuar.
Payment Summary,Përmbledhja e pagesës
Payments,Pagesat
Payments are not open. Do you want to open payments and submit?,Pagesat nuk janë të hapura. Dëshiron të hapësh dhe të dorëzosh pagesat?
Payments by Mode of Payment,Pagesat sipas mënyrës së pagesës
PDF,PDF
Peak Hour,Ora e pikut
Peak Memory:,Kujtesa maksimale:
Peak Server:,Serveri i pikut:
Peak:,Maja:
Pending,Në pritje
Pending Amount,Shuma në pritje
Pending count updated from {0} to {1},Numri në pritje u përditësua nga {0} në {1}
Pending Exposure,Ekspozimi në pritje
Pending Invoices,Faturat në pritje
Pending Ratio,Raporti në pritje
Pending Sales,Shitjet në pritje
Pending sales: {0} | Cache usage: {1}%,Shitjet në pritje: {0} | Përdorimi i memories: {1}%
Pending Sync,Sinkronizimi në pritje
Pending: {0},Në pritje: {0}
Pending: {0} | Synced: {1} | Draft: {2},Në pritje: {0} | Sinkronizuar: {1} | Drafti: {2}
Per Page,Për faqe
Personal,Personale
Personal preferences adjust the current cashier experience without changing the active POS route.,Preferencat personale rregullojnë përvojën aktuale të arkëtarit pa ndryshuar rrugën aktive të POS-it.
PIN confirmation does not match.,Konfirmimi PIN nuk përputhet.
PIN must be 4 to 8 digits.,Kodi PIN duhet të jetë 4 deri në 8 shifra.
Please add at least one item.,Ju lutemi shtoni të paktën një artikull.
Please allow camera access to scan codes,Lejo qasjen e kamerës te kodet e skanimit
Please enter payment amount,Ju lutemi shkruani shumën e pagesës
Please fill all required fields,Ju lutemi plotësoni të gjitha fushat e kërkuara
Please make a payment or select a payment,Ju lutemi bëni një pagesë ose zgjidhni një pagesë
Please request phone payment or use another payment method,Kërkoni pagesë me telefon ose përdorni një mënyrë tjetër pagese
Please select a customer first,Ju lutemi zgjidhni një klient në fillim
Please select a party,Ju lutemi zgjidhni një parti
Please select a party before reconciling.,Ju lutemi zgjidhni një palë përpara se të pajtoheni.
Please select a valid movement type.,Ju lutemi zgjidhni një lloj lëvizjeje të vlefshme.
Please select an invoice,Ju lutemi zgjidhni një faturë
Please select company before reconciling.,Ju lutemi zgjidhni kompaninë përpara se të rakordoni.
Please set the customer's mobile number,Ju lutemi vendosni numrin celular të klientit
Please try again or enter the item manually.,Ju lutemi provoni përsëri ose futni artikullin me dorë.
Please verify the barcode or check the item's availability.,Ju lutemi verifikoni barkodin ose kontrolloni disponueshmërinë e artikullit.
Points,Pikat
Popup blocked. Please allow popups.,Dritarja kërcyese u bllokua. Ju lutemi lejoni dritaret kërcyese.
POS,POS
POS controls and maintenance,Kontrollet dhe mirëmbajtja e POS
POS Expense is disabled for this POS Profile.,Shpenzimet POS janë çaktivizuar për këtë profil POS.
POS is running with limited offline prerequisites.,POS po funksionon me parakushte të kufizuara offline.
POS Profile,Profili i POS-it
Position the QR code or barcode within the scanning area,Vendosni kodin QR ose barkodin brenda zonës së skanimit
Posting,Postimi
Posting and Price List,Postimi dhe lista e çmimeve
Posting Date,Data e Postimit
Preparing background sync,Po përgatit sinkronizimin e sfondit
"Press OK to continue offline with a warning, or Cancel to retry.",Shtypni OK për të vazhduar jashtë linje me një paralajmërim ose Anulo për të riprovuar.
Previous unit of measure,Njësia matëse e mëparshme
Price List,Lista e Çmimeve
Price List Rate,Norma e Listës së Çmimeve
Price list rate updated locally only,Tarifa e listës së çmimeve përditësohet vetëm në nivel lokal
Pricing & Discounts,Çmimet dhe zbritjet
Pricing Rule,Rregulla e çmimeve
Print,Printo
Print Draft,Printo draft
Print Format (Invoice),Formati i printimit (faturë)
Print Format (Order),Formati i printimit (porosi)
Print invoice,Shtypni faturë
Print Purchase Invoice instead of PO,Printoni faturën e blerjes në vend të PO
Printer,Printer
Processed returns impacting the shift totals,Kthimet e përpunuara që ndikojnë në totalet e ndërrimit
Processing Payment,Përpunimi i pagesës
Processing payment entries for Invoice {0},Po përpunon hyrjet e pagesave për faturën {0}
Profile,Profili
Profiles,Profilet
Profit,Fitimi
Profit: Invoice Item Estimate,Fitimi: Vlerësimi i artikullit të faturës
Profit: Stock Ledger (COGS),Fitimi: Libri i Aksioneve (COGS)
Profitability Report,Raporti i Rentabilitetit
Prorated return discount,Zbritje proporcionale e kthimit
Purchase Amount,Shuma e blerjes
Purchase Invoices,Faturat e Blerjeve
Purchase Order created,Urdhri i blerjes u krijua
Qty,Sasia
Qualified,I kualifikuar
Quantity,Sasia
Quantity exceeds available stock,Sasia tejkalon stokun e disponueshëm
Quick Actions,Veprimet e shpejta
Quotation {0} is Submitted,Kuotimi {0} është dorëzuar
Quotation submitted,Kuotimi i dorëzuar
QZ Tray connected.,Sibaka QZ e lidhur.
QZ Tray is manually disconnected. Press Connect to enable it again.,Tray QZ është shkëputur manualisht. Shtypni Connect për ta aktivizuar përsëri.
QZ Tray is not connected.,Tray QZ nuk është i lidhur.
QZ Tray Setup,Konfigurimi i tabakasë QZ
Rate,Vlerësoni
Rate adjusted to maximum allowed discount,Tarifa e rregulluar në zbritjen maksimale të lejuar
Ready,Gati
Ready to resume,Gati për të rifilluar
Ready!,Gati!
Real-time POS insights for retail operations.,Vështrime të POS në kohë reale për operacionet me pakicë.
Rebuild Offline Data,Rindërtoni të dhënat jashtë linje
Receive,Merrni
Receive now,Merre tani
Received,Marrë
Received:,Marrë:
Recent Movement Entries,Regjistrimet e Lëvizjes së fundit
Recent updates about your invoices,Përditësimet e fundit në lidhje me faturat tuaja
Recently Active Customers,Klientë aktivë së fundmi
Rechecking connection,Po kontrollohet sërish lidhja
Reconcile payment methods and close shift,Barazoni mënyrat e pagesës dhe mbyllni turnin
Reconciling Payments,Barazimi i pagesave
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Rilidheni dhe hapeni këtë faqe një herë kur jeni në linjë, më pas rifreskimet jashtë linje do të mund ta rivendosin atë."
Reconnect online to refresh cached offline data from the server.,Lidhu sërish në linjë për të rifreskuar të dhënat e ruajtura jashtë linje nga serveri.
Recreate local offline prerequisites from scratch,Rikrijoni parakushtet lokale offline nga e para
Recv:,Recv:
Redeem,Shlyeje
Redeem / Scan,Shlyej / Skano
Redeem Amount,Shlyej shumën
Redeem Mode,Redeem Mode
Redeemed Amount,Shuma e shpenguar
Redeemed credit cannot be greater than its total.,Kredia e shlyer nuk mund të jetë më e madhe se totali i saj.
Redemption and Totals,Shlyerja dhe Totalet
Reference,Referenca
Refresh,Rifresko
Refresh Exchange Rate,Rifresko kursin e këmbimit
Refresh Offline Data,Rifresko të dhënat jashtë linje
Refresh Printers,Rifresko printerët
Refund,Rimbursimi
Release Notes,Shënimet e publikimit
Reload,Ringarko
Reload customers,Rifresko klientët
Reload Items,Rifresko artikujt
Reload Now,Ringarko tani
Reload to apply the latest changes. Your current session will be refreshed.,Ringarko për të zbatuar ndryshimet më të fundit. Sesioni juaj aktual do të rifreskohet.
Reload Workflow,Ringarko rrjedhën e punës
Remarks,Vërejtje
Remarks are required.,Kërkohen vërejtje.
Remove,Hiq
Remove barcode item,Hiq artikullin e barkodit
Remove cached data and reload the POS app,Hiqni të dhënat e memories dhe ringarkoni aplikacionin POS
Remove item,Hiq artikullin
Remove Offer,Hiq ofertën
Reorder / Purchase Suggestions,Rekomandoni / Sugjerime për blerje
Repair Candidate,Kandidat për riparim
Repair Change Allocation,Shpërndarja e ndryshimit të riparimit
Repair requires an online connection,Riparimi kërkon një lidhje në internet
Repaired,Riparuar
Repairing change allocation,Riparimi i alokimit të ndryshimit
Repeat Customers,Konsumatorë të përsëritur
Repeat Rate,Shpejtësia e Përsëritjes
Request,Kërkesa
Request ID: {0},ID-ja e kërkesës: {0}
Request Payment,Kërkoni pagesë
Requested route: {0},Itinerari i kërkuar: {0}
Required columns cannot be hidden,Kolonat e kërkuara nuk mund të fshihen
Reset,Rivendos
Reset item name,Rivendos emrin e artikullit
Reset to Default,Rivendos në Parazgjedhje
Resource Health,Shëndeti i burimeve
Restricted,I kufizuar
Restricted operational controls for supervisors only.,Kontrolle operacionale të kufizuara vetëm për mbikëqyrësit.
Retry,Provo sërish
Retry route,Provo sërish itinerarin
Return,Kthimi
Return Amount,Shuma e kthimit
Return Count,Numërimi i kthimit
Return items must have negative quantities,Artikujt e kthyer duhet të kenë sasi negative
Return total must be negative,Totali i kthimit duhet të jetë negativ
Return Valid Until,Kthimi i vlefshëm deri
Return window passed,Dritarja e kthimit kaloi
Return without Invoice,Kthimi pa faturë
Returns,Kthimet
Returns / Voids / Discounts,Kthime / Boshllëqe / Zbritje
Returns by Currency,Kthimet sipas monedhës
Revenue,Të ardhurat
Review shift totals before submitting the closing entry,Rishikoni totalet e ndërrimeve përpara se të dorëzoni hyrjen përmbyllëse
Round Off,Rrumbullakoset
Rows,Rreshtat
Rows:,Rreshtat:
Rule,Rregulli
Sale,Shitje
Sales,Shitjet
Sales Order {0} is Submitted,Urdhri i shitjes {0} është dorëzuar
Sales Person and Print,Person Shitës dhe Print
Sales Person not found,Personi i shitjes nuk u gjet
Sales processed,Shitjet e përpunuara
Sales Return,Kthimi i shitjeve
Sales Trend Report,Raporti i Trendit të Shitjeve
Save,Ruaj
Save & Clear,Ruaj & Pastro
Save as POS Profile Default,Ruaj si parazgjedhje të Profilit POS
Save Settings,Ruaj Cilësimet
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Ruajeni printerin e zgjedhur si parazgjedhjen e Profilit POS në mënyrë që të shfaqet automatikisht në këtë konfigurim.
Saved as draft because: {0},Ruajtur si draft sepse: {0}
Saving...,Po ruan...
Scale barcode detected. Quantity here is the number of labels to print.,U zbulua barkodi i shkallës. Sasia këtu është numri i etiketave për të printuar.
Scale barcode settings are not configured. Using item barcode only.,Cilësimet e barkodit të shkallës nuk janë konfiguruar. Duke përdorur vetëm barkodin e artikullit.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Mungon barkodi i shabllonit të shkallës për këtë artikull/UOM. Duke përdorur vetëm barkodin e artikullit.
Scan an existing card and top it up without leaving the payment flow.,Skanoni një kartë ekzistuese dhe plotësoni atë pa u larguar nga fluksi i pagesave.
Scan Error,Gabim skanimi
Scan or enter a gift card code to check balance or redeem.,Skanoni ose futni një kod të kartës dhuratë për të kontrolluar gjendjen ose për ta përdorur.
Scan or paste the card code below.,Skanoni ose ngjisni kodin e kartës më poshtë.
Scan QR Code/Barcode,Skanoni kodin/barkodin QR
Scan with camera,Skanoni me kamera
Scan-First Flow,Skanimi-Rrjedha e parë
Scanned Code:,Kodi i skanuar:
Scanning for: {0},Po skanon për: {0}
Scanning items,Skanimi i artikujve
Scan-Ready,Gati për skanim
Scope,Fushëveprimi
Scope: All Profiles,Fushëveprimi: Të gjitha profilet
Scope: Current Profile,Fushëveprimi: Profili aktual
Scope: Specific Profile,Fushëveprimi: Profili specifik
Search,Kërko
Search Account,Kërko llogari
Search an invoice and continue the return flow without extra steps.,Kërkoni një faturë dhe vazhdoni rrjedhën e kthimit pa hapa shtesë.
Search customer,Kërko klient
Search invoices or customers,Kërkoni fatura ose klientë
Search item,Kërko artikullin
Search item / code,Kërko artikullin / kodin
Search items or barcode,Kërko artikuj ose barkod
Search Mpesa Payments,Kërkoni Pagesat Mpesa
Search return invoices or customers,Kërkoni faturat e kthimit ose klientët
Search supplier,Kërko furnizues
