POS Awesome,POS అద్భుతం
Edit Gift Application,బహుమతి దరఖాస్తును సవరించండి
Edit item name,అంశం పేరును సవరించండి
Edit quantity,పరిమాణాన్ని సవరించండి
Edit rate,రేటును సవరించండి
Edit unit of measure,కొలత యూనిట్‌ని సవరించండి
Edited,సవరించబడింది
Employee,ఉద్యోగి
Enable background sync,నేపథ్య సమకాలీకరణను ప్రారంభించండి
Enable Customer Display in POS Profile first.,ముందుగా POS ప్రొఫైల్‌లో కస్టమర్ డిస్‌ప్లేను ప్రారంభించండి.
Enter a PIN.,PINని నమోదు చేయండి.
Enter a valid grams value,చెల్లుబాటు అయ్యే గ్రాముల విలువను నమోదు చేయండి
Enter new price list rate,కొత్త ధర జాబితా రేటును నమోదు చేయండి
Enter Quantity,పరిమాణాన్ని నమోదు చేయండి
Enter the cashier PIN to continue.,కొనసాగించడానికి క్యాషియర్ పిన్‌ని నమోదు చేయండి.
Enter the current PIN first.,ముందుగా ప్రస్తుత పిన్‌ని నమోదు చేయండి.
"Enter the current PIN, then choose a new one.","ప్రస్తుత పిన్‌ని నమోదు చేసి, ఆపై కొత్తదాన్ని ఎంచుకోండి."
Enter valid grams for scale barcode,స్కేల్ బార్‌కోడ్ కోసం చెల్లుబాటు అయ్యే గ్రాములను నమోదు చేయండి
Entries,ఎంట్రీలు
Error accessing camera:,కెమెరాను యాక్సెస్ చేయడంలో లోపం:
Error calculating prices,ధరలను గణించడంలో లోపం
Error fetching customer balance,కస్టమర్ బ్యాలెన్స్ పొందడంలో లోపం ఏర్పడింది
Error in change calculations!,మార్పు లెక్కల్లో లోపం!
Error Loading Data,డేటా లోడ్ చేయడంలో లోపం
Error loading invoice details,ఇన్‌వాయిస్ వివరాలను లోడ్ చేయడంలో లోపం
Error processing invoice,ఇన్‌వాయిస్‌ను ప్రాసెస్ చేయడంలో లోపం
Error processing payment,చెల్లింపును ప్రాసెస్ చేయడంలో లోపం
Error searching invoices,ఇన్‌వాయిస్‌లను శోధించడంలో లోపం
Error submitting invoice:,ఇన్‌వాయిస్‌ని సమర్పించడంలో లోపం:
Error submitting invoice: {0},ఇన్‌వాయిస్‌ని సమర్పించడంలో లోపం: {0}
Error submitting invoice: No response from server,ఇన్‌వాయిస్‌ని సమర్పించడంలో లోపం: సర్వర్ నుండి స్పందన లేదు
Error updating currency,కరెన్సీని నవీకరించడంలో లోపం ఏర్పడింది
Error updating item details,ఐటెమ్ వివరాలను అప్‌డేట్ చేయడంలో ఎర్రర్ ఏర్పడింది
Est. Purchase,అంచనా. కొనుగోలు
Est. Value,అంచనా. విలువ
Event-loop lag measures how busy your browser is. Lower is better.,ఈవెంట్-లూప్ లాగ్ మీ బ్రౌజర్ ఎంత బిజీగా ఉందో కొలుస్తుంది. దిగువ ఉత్తమం.
Every,ప్రతి
Exchange Rate,మార్పిడి రేటు
Expand item details,అంశం వివరాలను విస్తరించండి
Expected Amount (In Company Currency),ఆశించిన మొత్తం (కంపెనీ కరెన్సీలో)
Expected Cash,ఆశించిన నగదు
Expected cash on hand grouped by currency,కరెన్సీ ద్వారా సమూహం చేయబడిన చేతిలో ఉన్న నగదు అంచనా
Expected vs Actual,ఊహించినది vs వాస్తవమైనది
Expense,ఖర్చు
Expense Account (Optional Override),ఖర్చు ఖాతా (ఐచ్ఛిక ఓవర్‌రైడ్)
Expense account is required.,ఖర్చు ఖాతా అవసరం.
Expenses and deposits posted during this shift,ఈ షిఫ్ట్ సమయంలో పోస్ట్ చేయబడిన ఖర్చులు మరియు డిపాజిట్లు
Expired,గడువు ముగిసింది
Failed to auto reconcile payments.,చెల్లింపులను స్వయంచాలకంగా సరిచేయడంలో విఫలమైంది.
Failed to cancel cash movement,నగదు తరలింపును రద్దు చేయడంలో విఫలమైంది
Failed to clear cache,కాష్‌ని క్లియర్ చేయడంలో విఫలమైంది
Failed to create item,అంశాన్ని సృష్టించడం విఫలమైంది
Failed to create supplier,సరఫరాదారుని సృష్టించడం విఫలమైంది
Failed to delete cash movement,నగదు తరలింపును తొలగించడంలో విఫలమైంది
Failed to generate scale barcode. Using item barcode only.,స్కేల్ బార్‌కోడ్‌ను రూపొందించడంలో విఫలమైంది. అంశం బార్‌కోడ్‌ను మాత్రమే ఉపయోగిస్తోంది.
Failed to load cash movement context.,నగదు తరలింపు సందర్భాన్ని లోడ్ చేయడంలో విఫలమైంది.
Failed to load dashboard data.,డాష్‌బోర్డ్ డేటాను లోడ్ చేయడంలో విఫలమైంది.
Failed to reload invoice from server,సర్వర్ నుండి ఇన్‌వాయిస్‌ని రీలోడ్ చేయడంలో విఫలమైంది
Failed to submit cash movement,నగదు తరలింపును సమర్పించడంలో విఫలమైంది
Failed to sync offline cash movements,ఆఫ్‌లైన్ నగదు కదలికలను సమకాలీకరించడంలో విఫలమైంది
Fast cashier actions for active shifts.,యాక్టివ్ షిఫ్ట్‌ల కోసం వేగవంతమైన క్యాషియర్ చర్యలు.
Fast Moving Items,ఫాస్ట్ మూవింగ్ అంశాలు
Fees,రుసుములు
Fetch the latest offline prerequisite updates,తాజా ఆఫ్‌లైన్ ముందస్తు నవీకరణలను పొందండి
Find a sales order quickly and load it into the current sale.,"సేల్స్ ఆర్డర్‌ను త్వరగా కనుగొని, దానిని ప్రస్తుత విక్రయంలోకి లోడ్ చేయండి."
Fixing payment amounts for return invoice...,రిటర్న్ ఇన్‌వాయిస్ కోసం చెల్లింపు మొత్తాలను నిర్ణయిస్తోంది...
Flash Off,ఫ్లాష్ ఆఫ్
Flash On,ఫ్లాష్ ఆన్
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'ప్రొడక్ట్ బండిల్' ఐటెమ్‌ల కోసం, వేర్‌హౌస్, సీరియల్ నంబర్ మరియు బ్యాచ్ నంబర్ 'ప్యాకింగ్ లిస్ట్' టేబుల్ నుండి పరిగణించబడతాయి. ఏదైనా 'ప్రొడక్ట్ బండిల్' ఐటెమ్‌కి అన్ని ప్యాకింగ్ ఐటెమ్‌లకు వేర్‌హౌస్ మరియు బ్యాచ్ నంబర్ ఒకేలా ఉంటే, ఆ విలువలను ప్రధాన ఐటెమ్ టేబుల్‌లో నమోదు చేయవచ్చు; విలువలు 'ప్యాకింగ్ జాబితా' పట్టికకు కాపీ చేయబడతాయి."
Free,ఉచిత
Free Qty,ఉచిత Qty
Frequency,ఫ్రీక్వెన్సీ
from,నుండి
From Date,తేదీ నుండి
Fulfillment Details,పూర్తి వివరాలు
Full Name,పూర్తి పేరు
Gain,లాభం
Generate a fresh prepaid card and start it with an opening balance.,తాజా ప్రీపెయిడ్ కార్డ్‌ని రూపొందించండి మరియు దానిని ప్రారంభ బ్యాలెన్స్‌తో ప్రారంభించండి.
Generate and install the certificate to allow fully silent printing without trust prompts.,విశ్వసనీయ ప్రాంప్ట్‌లు లేకుండా పూర్తిగా నిశ్శబ్ద ముద్రణను అనుమతించడానికి సర్టిఫికేట్‌ను రూపొందించండి మరియు ఇన్‌స్టాల్ చేయండి.
Generate Certificate,సర్టిఫికేట్ రూపొందించండి
Generated scale barcode: {0},రూపొందించిన స్కేల్ బార్‌కోడ్: {0}
Get Payments,చెల్లింపులు పొందండి
Gift Card,గిఫ్ట్ కార్డ్
Gift card amount must be greater than zero.,బహుమతి కార్డ్ మొత్తం తప్పనిసరిగా సున్నా కంటే ఎక్కువగా ఉండాలి.
Gift Card Code,బహుమతి కార్డ్ కోడ్
Gift card code is required for redemption,రిడీమ్ కోసం బహుమతి కార్డ్ కోడ్ అవసరం
Gift card code is required.,బహుమతి కార్డ్ కోడ్ అవసరం.
Gift card issued successfully.,బహుమతి కార్డ్ విజయవంతంగా జారీ చేయబడింది.
Gift card loaded successfully.,బహుమతి కార్డ్ విజయవంతంగా లోడ్ చేయబడింది.
Gift Card Management,బహుమతి కార్డ్ నిర్వహణ
Gift card payment,బహుమతి కార్డు చెల్లింపు
Gift card redemption requires an online connection,గిఫ్ట్ కార్డ్ రిడీమ్‌కి ఆన్‌లైన్ కనెక్షన్ అవసరం
Gift card topped up successfully.,బహుమతి కార్డ్ విజయవంతంగా టాప్ అప్ చేయబడింది.
Gift Cards,బహుమతి కార్డులు
Go to Frappe Desk,Frappe డెస్క్‌కి వెళ్లండి
Grand Total,గ్రాండ్ టోటల్
Gross Margin,స్థూల మార్జిన్
Gross Profit,స్థూల లాభం
Gross Sales,స్థూల అమ్మకాలు
Group not found,సమూహం కనుగొనబడలేదు
"Grouped controls for terminal, UI, and session settings.","టెర్మినల్, UI మరియు సెషన్ సెట్టింగ్‌ల కోసం సమూహ నియంత్రణలు."
Grouped totals for each payment method and currency,ప్రతి చెల్లింపు పద్ధతి మరియు కరెన్సీ కోసం సమూహ మొత్తాలు
Hide,దాచు
Hide Gift Card,బహుమతి కార్డ్‌ను దాచండి
Hide Non Essential Fields,అనవసరమైన ఫీల్డ్‌లను దాచండి
Hide quantity decimals,పరిమాణ దశాంశాలను దాచండి
Hide search tools,శోధన సాధనాలను దాచండి
Hide zero rated items,సున్నా రేట్ చేయబడిన అంశాలను దాచండి
High,అధిక
History,చరిత్ర
Hourly (Today),గంటకోసారి (ఈరోజు)
How this section works,ఈ విభాగం ఎలా పని చేస్తుంది
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","పాత డేటా మిగిలి ఉంటే, సెట్టింగ్‌లు > ఆఫ్‌లైన్ & సమకాలీకరణను తెరిచి, ఆన్‌లైన్‌లో ఉన్నప్పుడు మళ్లీ ఆఫ్‌లైన్ డేటాను రీబిల్డ్ చేయండి."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","హెచ్చరిక కొనసాగితే, సెట్టింగ్‌లు > ఆఫ్‌లైన్ & సమకాలీకరణను తెరిచి, ఆఫ్‌లైన్ డేటాను రిఫ్రెష్ చేయండి లేదా ఆఫ్‌లైన్ డేటాను రీబిల్డ్ చేయండి."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,సర్టిఫికెట్‌ను QZ ట్రేలోకి దిగుమతి చేయండి మరియు ప్రతి POS మెషీన్‌లో QZ ట్రేని పునఃప్రారంభించండి.
In,లో
In stock: {0},స్టాక్‌లో ఉంది: {0}
Include Batch / Serial,బ్యాచ్ / సీరియల్ చేర్చండి
Include Price,ధరను చేర్చండి
Increase quantity,పరిమాణాన్ని పెంచండి
IndexedDB,ఇండెక్స్డ్DB
Initial Amount,ప్రారంభ మొత్తం
Initialize your shift with opening balances,ప్రారంభ బ్యాలెన్స్‌లతో మీ షిఫ్ట్‌ని ప్రారంభించండి
Initializing application...,అప్లికేషన్‌ను ప్రారంభిస్తోంది...
"Inspect cache, sync, and prerequisite status","కాష్, సమకాలీకరణ మరియు ముందస్తు స్థితిని తనిఖీ చేయండి"
Installed Applications,ఇన్‌స్టాల్ చేసిన అప్లికేషన్‌లు
Insufficient stock:\n{0},తగినంత స్టాక్ లేదు:\n{0}
Invalid rate,చెల్లని రేటు
Inventory Status Report,ఇన్వెంటరీ స్థితి నివేదిక
Invoice,ఇన్వాయిస్
Invoice {0} is Submitted,ఇన్‌వాయిస్ {0} సమర్పించబడింది
Invoice {0} processed successfully,ఇన్‌వాయిస్ {0} విజయవంతంగా ప్రాసెస్ చేయబడింది
Invoice {0} submission failed,ఇన్‌వాయిస్ {0} సమర్పణ విఫలమైంది
Invoice {0} was already submitted,ఇన్‌వాయిస్ {0} ఇప్పటికే సమర్పించబడింది
Invoice Adjustments,ఇన్వాయిస్ సర్దుబాట్లు
Invoice Change,ఇన్వాయిస్ మార్పు
Invoice Details,ఇన్వాయిస్ వివరాలు
Invoice is still in draft after background submission.,నేపథ్య సమర్పణ తర్వాత ఇన్‌వాయిస్ ఇప్పటికీ డ్రాఫ్ట్‌లో ఉంది.
Invoice Items,ఇన్వాయిస్ అంశాలు
Invoice Management,ఇన్వాయిస్ నిర్వహణ
Invoice Mgmt,ఇన్వాయిస్ Mgmt
Invoice saved offline,ఇన్‌వాయిస్ ఆఫ్‌లైన్‌లో సేవ్ చేయబడింది
Invoice submission failed,ఇన్‌వాయిస్ సమర్పణ విఫలమైంది
Invoice Submitted,ఇన్వాయిస్ సమర్పించబడింది
"Invoice value settled by loyalty points, not cash collection","ఇన్‌వాయిస్ విలువ లాయల్టీ పాయింట్‌ల ద్వారా పరిష్కరించబడింది, నగదు సేకరణ కాదు"
Invoices,ఇన్‌వాయిస్‌లు
Invoices already past due date,ఇప్పటికే గడువు తేదీ దాటిన ఇన్‌వాయిస్‌లు
Invoices saved as POS Invoices,ఇన్‌వాయిస్‌లు POS ఇన్‌వాయిస్‌లుగా సేవ్ చేయబడ్డాయి
Invoices still carrying balances,ఇన్‌వాయిస్‌లు ఇప్పటికీ బ్యాలెన్స్‌లను కలిగి ఉన్నాయి
Issue Mode,ఇష్యూ మోడ్
Issue New Card,కొత్త కార్డును జారీ చేయండి
Issue Workflow,ఇష్యూ వర్క్‌ఫ్లో
"Issue, top up, and check","జారీ చేయండి, టాప్ అప్ చేయండి మరియు తనిఖీ చేయండి"
Item,అంశం
Item / Product Sales Report,వస్తువు / ఉత్పత్తి విక్రయాల నివేదిక
Item {0} added to invoice,అంశం {0} ఇన్‌వాయిస్‌కు జోడించబడింది
Item '{0}' has no barcode,ఐటెమ్ '{0}'కి బార్‌కోడ్ లేదు
Item Code,అంశం కోడ్
Item created successfully,అంశం విజయవంతంగా సృష్టించబడింది
Item is out of stock,వస్తువు స్టాక్ లేదు
Item Name,అంశం పేరు
Item not found,అంశం కనుగొనబడలేదు
Item order updated,ఐటెమ్ ఆర్డర్ అప్‌డేట్ చేయబడింది
Item Selector Settings,ఐటెమ్ సెలెక్టర్ సెట్టింగ్‌లు
Items,వస్తువులు
Items added in POS will appear here automatically.,POSలో జోడించిన అంశాలు స్వయంచాలకంగా ఇక్కడ కనిపిస్తాయి.
Items added to invoice,ఇన్‌వాయిస్‌కు అంశాలు జోడించబడ్డాయి
Items per page,ప్రతి పేజీకి సంబంధించిన అంశాలు
Items Sold,వస్తువులు విక్రయించబడ్డాయి
Items/Invoice,వస్తువులు/ఇన్‌వాయిస్
Item-wise Profitability,అంశాల వారీగా లాభదాయకత
Journal Entry,జర్నల్ ఎంట్రీ
json,json
Just now,ఇప్పుడే
Keep offline prerequisites healthy and recover stale data safely.,ఆఫ్‌లైన్ ముందస్తు అవసరాలను ఆరోగ్యంగా ఉంచండి మరియు పాత డేటాను సురక్షితంగా పునరుద్ధరించండి.
Labels,లేబుల్స్
"Language, theme, terminal tools, and session controls.","భాష, థీమ్, టెర్మినల్ సాధనాలు మరియు సెషన్ నియంత్రణలు."
Last,చివరిది
Last 14 Days (Paid vs Pending),గత 14 రోజులు (చెల్లింపు vs పెండింగ్)
Last 14 Days Activity,గత 14 రోజుల కార్యాచరణ
Last 14 Days Gross Profit,గత 14 రోజుల స్థూల లాభం
Last 14 Days Purchases,గత 14 రోజుల కొనుగోళ్లు
Last 14 Days Tax/Charges,గత 14 రోజుల పన్ను/ఛార్జీలు
Last sync:,చివరి సమకాలీకరణ:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},చివరి సమకాలీకరణ: {0} | సరే: {1} | విఫలమైంది: {2} | దాటవేయబడింది: {3}
Latest entries for current shift,ప్రస్తుత షిఫ్ట్ కోసం తాజా ఎంట్రీలు
Lead Time,ప్రధాన సమయం
Limited,పరిమితం చేయబడింది
lines,పంక్తులు
List,జాబితా
Live Snapshot,ప్రత్యక్ష స్నాప్‌షాట్
Load a POS profile and cashier first.,ముందుగా POS ప్రొఫైల్ మరియు క్యాషియర్‌ని లోడ్ చేయండి.
Load More Invoices,మరిన్ని ఇన్‌వాయిస్‌లను లోడ్ చేయండి
Load previously saved invoices,గతంలో సేవ్ చేసిన ఇన్‌వాయిస్‌లను లోడ్ చేయండి
Load Sale,లోడ్ సేల్
Load Sales Invoice,సేల్స్ ఇన్‌వాయిస్‌ని లోడ్ చేయండి
Loading app data...,యాప్ డేటా లోడ్ అవుతోంది...
Loading customer database...,కస్టమర్ డేటాబేస్ లోడ్ అవుతోంది...
Loading customers...,కస్టమర్‌లను లోడ్ చేస్తోంది...
Loading database stats...,డేటాబేస్ గణాంకాలను లోడ్ చేస్తోంది...
Loading details...,వివరాలను లోడ్ చేస్తోంది...
Loading invoice history...,ఇన్‌వాయిస్ చరిత్రను లోడ్ చేస్తోంది...
Loading items...,అంశాలను లోడ్ చేస్తోంది...
Loading product catalog...,ఉత్పత్తి కేటలాగ్ లోడ్ అవుతోంది...
Loading return invoices...,రిటర్న్ ఇన్‌వాయిస్‌లను లోడ్ చేస్తోంది...
Loading server CPU/memory usage...,సర్వర్ CPU/మెమొరీ వినియోగం లోడ్ అవుతోంది...
Loading suppliers...,సరఫరాదారులను లోడ్ చేస్తోంది...
Loading unpaid invoices...,చెల్లించని ఇన్‌వాయిస్‌లను లోడ్ చేస్తోంది...
Loading view...,వీక్షణ లోడ్ అవుతోంది...
Loading...,లోడ్ అవుతోంది...
Local storage is unavailable. Switching to online-only mode.,స్థానిక నిల్వ అందుబాటులో లేదు. ఆన్‌లైన్-మాత్రమే మోడ్‌కి మారుతోంది.
localStorage,స్థానిక నిల్వ
Location Performance,స్థాన పనితీరు
Locations,స్థానాలు
Lock Screen,లాక్ స్క్రీన్
Lookup Workflow,వర్క్‌ఫ్లో చూడండి
Loss,నష్టం
Low,తక్కువ
Low Stock,తక్కువ స్టాక్
Low Stock Alerts,తక్కువ స్టాక్ హెచ్చరికలు
Low Stock Items,తక్కువ స్టాక్ వస్తువులు
Low Stock Threshold,తక్కువ స్టాక్ థ్రెషోల్డ్
Low Stock Total,తక్కువ స్టాక్ మొత్తం
Lowest Margin,అత్యల్ప మార్జిన్
Low-frequency maintenance and system details.,తక్కువ-ఫ్రీక్వెన్సీ నిర్వహణ మరియు సిస్టమ్ వివరాలు.
Loyalty Redeemed,లాయల్టీ రీడీమ్ చేయబడింది
Loyalty Redemption,లాయల్టీ రిడెంప్షన్
Make New Payment,కొత్త చెల్లింపు చేయండి
Manage all,అన్నింటినీ నిర్వహించండి
Manage and synchronize your offline transactions,మీ ఆఫ్‌లైన్ లావాదేవీలను నిర్వహించండి మరియు సమకాలీకరించండి
Manage Cashier PIN,క్యాషియర్ పిన్‌ని నిర్వహించండి
"Manage offline tools, terminal controls, and maintenance from one workspace.","ఒక కార్యస్థలం నుండి ఆఫ్‌లైన్ సాధనాలు, టెర్మినల్ నియంత్రణలు మరియు నిర్వహణను నిర్వహించండి."
manual,మాన్యువల్
"Manual codes, barcode scans, and QR scans work in the same field","మాన్యువల్ కోడ్‌లు, బార్‌కోడ్ స్కాన్‌లు మరియు QR స్కాన్‌లు ఒకే ఫీల్డ్‌లో పని చేస్తాయి"
Manual offline mode is enabled,మాన్యువల్ ఆఫ్‌లైన్ మోడ్ ప్రారంభించబడింది
Margin,మార్జిన్
Maximum available quantity is {0}. Quantity adjusted to match stock.,అందుబాటులో ఉన్న గరిష్ట పరిమాణం {0}. సరిపోలే స్టాక్‌కు పరిమాణం సర్దుబాటు చేయబడింది.
Maximum discount amount for this offer item is {0}.,ఈ ఆఫర్ అంశం కోసం గరిష్ట తగ్గింపు మొత్తం {0}.
Maximum discount percentage for this offer item is {0}%.,ఈ ఆఫర్ అంశం కోసం గరిష్ట తగ్గింపు శాతం {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,గరిష్ట ఆఫర్ పరిమాణం {0}. అనుమతించబడిన పరిమితికి పరిమాణం సర్దుబాటు చేయబడింది.
Medium,మధ్యస్థం
Method-wise Collections,పద్ధతి వారీగా సేకరణలు
Minimum allowed rate for this offer item is {0}.,ఈ ఆఫర్ ఐటెమ్ కోసం అనుమతించబడిన కనీస ధర {0}.
Minimum Qty,కనిష్ట క్యూటీ
Mobile No,మొబైల్ నెం
Mode,మోడ్
Mode of Payment,చెల్లింపు విధానం
Month,నెల
Month ?,నెల ?
Monthly Profit,నెలవారీ లాభం
Monthly Sales,నెలవారీ అమ్మకాలు
Monthly Sales Summary,నెలవారీ విక్రయాల సారాంశం
Month-wise,నెలవారీగా
Most Active Cashiers,చాలా యాక్టివ్ క్యాషియర్‌లు
Movement Type,కదలిక రకం
Movements,ఉద్యమాలు
Multi Currency,బహుళ కరెన్సీ
N/A,N/A
Name,పేరు
Negative Stock,ప్రతికూల స్టాక్
Negative Stock Items,ప్రతికూల స్టాక్ అంశాలు
Negative values not allowed,ప్రతికూల విలువలు అనుమతించబడవు
Net,నికర
Net Qty,నికర క్యూటీ
Net Sales,నికర అమ్మకాలు
Net Value,నికర విలువ
Never,ఎప్పుడూ
New changes are ready to load,కొత్త మార్పులు లోడ్ చేయడానికి సిద్ధంగా ఉన్నాయి
New Item,కొత్త అంశం
New Offer Available,కొత్త ఆఫర్ అందుబాటులో ఉంది
New PIN,కొత్త పిన్
New rate,కొత్త రేటు
Next unit of measure,కొలత యొక్క తదుపరి యూనిట్
No attribute data found.,అట్రిబ్యూట్ డేటా ఏదీ కనుగొనబడలేదు.
No Barcode,బార్‌కోడ్ లేదు
No barcode found for UOM '{0}',UOM '{0}' కోసం బార్‌కోడ్ కనుగొనబడలేదు
No branch/location data found.,శాఖ/స్థాన డేటా ఏదీ కనుగొనబడలేదు.
No brand data found.,బ్రాండ్ డేటా కనుగొనబడలేదు.
No cached gift card balance is available offline.,కాష్ చేయబడిన బహుమతి కార్డ్ బ్యాలెన్స్ ఆఫ్‌లైన్‌లో అందుబాటులో లేదు.
No camera found on this device. Please ensure your device has a working camera.,ఈ పరికరంలో కెమెరా ఏదీ కనుగొనబడలేదు. దయచేసి మీ పరికరంలో పనిచేసే కెమెరా ఉందని నిర్ధారించుకోండి.
No capability warnings recorded yet.,సామర్థ్య హెచ్చరికలు ఇంకా రికార్డ్ చేయబడలేదు.
No cash expected for this shift.,ఈ షిఫ్ట్ కోసం ఎటువంటి నగదు ఆశించబడదు.
No cash mode configured,నగదు మోడ్ ఏదీ కాన్ఫిగర్ చేయబడలేదు
No cash movement type is allowed for this POS Profile.,ఈ POS ప్రొఫైల్ కోసం నగదు తరలింపు రకం అనుమతించబడదు.
No cashier PIN is set yet. Create one now.,క్యాషియర్ పిన్ ఇంకా సెట్ చేయబడలేదు. ఇప్పుడే ఒకదాన్ని సృష్టించండి.
No cashier profiles are available for this POS profile yet.,ఈ POS ప్రొఫైల్ కోసం క్యాషియర్ ప్రొఫైల్‌లు ఏవీ ఇంకా అందుబాటులో లేవు.
No cashier-wise discount/void/return activity.,క్యాషియర్ వారీగా తగ్గింపు/శూన్యత/వాపసు కార్యకలాపం లేదు.
No category data found.,వర్గం డేటా కనుగొనబడలేదు.
No category profitability data found.,వర్గం లాభదాయకత డేటా కనుగొనబడలేదు.
No change returned recorded for this shift.,ఈ షిఫ్ట్ కోసం ఎలాంటి మార్పు నమోదు కాలేదు.
No change-allocation invoices match the current filters.,ప్రస్తుత ఫిల్టర్‌లకు ఏ మార్పు-కేటాయింపు ఇన్‌వాయిస్‌లు సరిపోలలేదు.
No charge head breakdown found.,ఛార్జ్ హెడ్ బ్రేక్‌డౌన్ కనుగొనబడలేదు.
No Company Selected,ఏ కంపెనీ ఎంపిక కాలేదు
No customer sales data found.,కస్టమర్ విక్రయాల డేటా కనుగొనబడలేదు.
No day-wise discount/void/return trend.,రోజు వారీగా తగ్గింపు/శూన్యం/వాపసు ట్రెండ్ లేదు.
No day-wise payment data found.,రోజు వారీ చెల్లింపు డేటా కనుగొనబడలేదు.
No day-wise profitability trend found.,రోజు వారీ లాభదాయక ధోరణి కనుగొనబడలేదు.
No day-wise purchase data found.,రోజు వారీగా కొనుగోలు డేటా కనుగొనబడలేదు.
No day-wise sales trend found.,రోజు వారీ విక్రయాల ట్రెండ్ కనుగొనబడలేదు.
No day-wise tax/charges trend found.,రోజు వారీగా పన్ను/ఛార్జీల ట్రెండ్ కనుగొనబడలేదు.
No dead stock items.,డెడ్ స్టాక్ వస్తువులు లేవు.
No due date,గడువు తేదీ లేదు
No exact repair match found for this invoice,ఈ ఇన్‌వాయిస్‌కు ఖచ్చితమైన మరమ్మతు సరిపోలిక కనుగొనబడలేదు
No hourly sales trend found for today.,నేటికి గంటవారీ విక్రయాల ట్రెండ్ కనుగొనబడలేదు.
No invoice activity found.,ఇన్‌వాయిస్ కార్యాచరణ ఏదీ కనుగొనబడలేదు.
No invoices found,ఇన్‌వాయిస్‌లు ఏవీ కనుగొనబడలేదు
No invoices found. Try different search criteria.,ఇన్‌వాయిస్‌లు ఏవీ కనుగొనబడలేదు. విభిన్న శోధన ప్రమాణాలను ప్రయత్నించండి.
No invoices recorded for this shift.,ఈ షిఫ్ట్ కోసం ఇన్‌వాయిస్‌లు రికార్డ్ చేయబడలేదు.
No item profitability data found.,వస్తువు లాభదాయకత డేటా కనుగొనబడలేదు.
No item sales data found for this period.,ఈ కాలానికి వస్తువు విక్రయాల డేటా ఏదీ కనుగొనబడలేదు.
No items found,అంశాలు ఏవీ కనుగొనబడలేదు
No items in cart,కార్ట్‌లో వస్తువులు లేవు
No items with barcodes to print,ప్రింట్ చేయడానికి బార్‌కోడ్‌లతో ఐటెమ్‌లు లేవు
No location-wise top item data found.,లొకేషన్ వారీగా టాప్ ఐటెమ్ డేటా కనుగొనబడలేదు.
No low stock alerts right now.,ప్రస్తుతం తక్కువ స్టాక్ హెచ్చరికలు లేవు.
No low stock items.,తక్కువ స్టాక్ వస్తువులు లేవు.
No matching items in cart,కార్ట్‌లో సరిపోలే అంశాలు లేవు
No month-wise sales trend found.,నెలవారీ విక్రయాల ట్రెండ్ కనుగొనబడలేదు.
No negative stock items.,ప్రతికూల స్టాక్ అంశాలు లేవు.
No notifications yet,ఇంకా నోటిఫికేషన్‌లు లేవు
No offline cash movement synced.,ఆఫ్‌లైన్ నగదు తరలింపు ఏదీ సమకాలీకరించబడలేదు.
No offline invoices pending synchronization,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లు ఏవీ పెండింగ్‌లో లేవు సమకాలీకరణ
No offline sync issues recorded yet.,ఆఫ్‌లైన్ సమకాలీకరణ సమస్యలు ఇంకా రికార్డ్ చేయబడలేదు.
No out-of-stock items.,స్టాక్ లేని వస్తువులు లేవు.
No outstanding credit invoices for this shift.,ఈ షిఫ్ట్ కోసం అత్యుత్తమ క్రెడిట్ ఇన్‌వాయిస్‌లు లేవు.
No payment collection data found.,చెల్లింపు సేకరణ డేటా కనుగొనబడలేదు.
No payment rows available on this invoice.,ఈ ఇన్‌వాయిస్‌లో చెల్లింపు వరుసలు ఏవీ అందుబాటులో లేవు.
No payments registered for this shift.,ఈ షిఫ్ట్ కోసం చెల్లింపులు నమోదు చేయబడలేదు.
No pending balances in this period.,ఈ వ్యవధిలో పెండింగ్ బ్యాలెన్స్‌లు లేవు.
No pending offline invoices,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లు పెండింగ్‌లో లేవు
No Print Formats Found,ప్రింట్ ఫార్మాట్‌లు ఏవీ కనుగొనబడలేదు
No profiles found for selected scope. Falling back to current profile failed.,ఎంచుకున్న స్కోప్ కోసం ప్రొఫైల్‌లు ఏవీ కనుగొనబడలేదు. ప్రస్తుత ప్రొఫైల్‌కు తిరిగి రావడం విఫలమైంది.
No recent customer activity found.,ఇటీవలి కస్టమర్ కార్యాచరణ ఏదీ కనుగొనబడలేదు.
No recent stock entries found.,ఇటీవలి స్టాక్ నమోదులు ఏవీ కనుగొనబడలేదు.
No records found,రికార్డులు ఏవీ దొరకలేదు
No reorder suggestions right now.,ప్రస్తుతం రీఆర్డర్ సూచనలు లేవు.
