POS Awesome,Ajoyib POS
Include Price,Narxni o'z ichiga oladi
Increase quantity,Miqdorini oshiring
IndexedDB,IndexedDB
Initial Amount,Boshlang'ich miqdor
Initialize your shift with opening balances,Ochilish balanslari bilan smenangizni boshlang
Initializing application...,Ilova ishga tushirilmoqda...
"Inspect cache, sync, and prerequisite status","Keshni, sinxronlashni va shart holatini tekshiring"
Installed Applications,O'rnatilgan ilovalar
Insufficient stock:\n{0},Zaxira yetarli emas:\n{0}
Invalid rate,Yaroqsiz tarif
Inventory Status Report,Inventarizatsiya holati to'g'risidagi hisobot
Invoice,Hisob-faktura
Invoice {0} is Submitted,{0}-faktura topshirildi
Invoice {0} processed successfully,{0} hisob-fakturasi muvaffaqiyatli qayta ishlandi
Invoice {0} submission failed,Invoys {0} yuborilmadi
Invoice {0} was already submitted,Invoys {0} allaqachon yuborilgan
Invoice Adjustments,Hisob-fakturani tuzatish
Invoice Change,Hisob-fakturani o'zgartirish
Invoice Details,Hisob-faktura tafsilotlari
Invoice is still in draft after background submission.,Hisob-faktura fonda yuborilganidan keyin ham qoralamada.
Invoice Items,Hisob-faktura elementlari
Invoice Management,Hisob-faktura boshqaruvi
Invoice Mgmt,Invoys Mgmt
Invoice saved offline,Hisob-faktura oflayn rejimda saqlandi
Invoice submission failed,Hisob-faktura topshirilmadi
Invoice Submitted,Hisob-faktura topshirildi
"Invoice value settled by loyalty points, not cash collection","Hisob-faktura qiymati naqd pul inkassosi emas, sodiqlik punktlari orqali hisoblab chiqiladi"
Invoices,Hisob-fakturalar
Invoices already past due date,Hisob-fakturalar muddati allaqachon o‘tgan
Invoices saved as POS Invoices,Hisob-fakturalar POS hisob-fakturalari sifatida saqlanadi
Invoices still carrying balances,Hisob-fakturalarda hali ham qoldiqlar bor
Issue Mode,Muammo rejimi
Issue New Card,Yangi kartani chiqarish
Issue Workflow,Ish jarayoni muammosi
"Issue, top up, and check","Chiqarish, to'ldirish va tekshirish"
Item,Element
Item / Product Sales Report,Mahsulot / mahsulot sotish hisoboti
Item {0} added to invoice,{0}-band hisob-fakturaga qo‘shildi
Item '{0}' has no barcode,“{0}” bandida shtrix-kod yo‘q
Item Code,Element kodi
Item created successfully,Element muvaffaqiyatli yaratildi
Item is out of stock,Buyum stokda yo‘q
Item Name,Element nomi
Item not found,Element topilmadi
Item order updated,Mahsulot tartibi yangilandi
Item Selector Settings,Element tanlash sozlamalari
Items,Elementlar
Items added in POS will appear here automatically.,POS-ga qo'shilgan elementlar bu erda avtomatik ravishda paydo bo'ladi.
Items added to invoice,Hisob-fakturaga qo'shilgan narsalar
Items per page,Har bir sahifadagi elementlar
Items Sold,Sotilgan buyumlar
Items/Invoice,Elementlar / faktura
Item-wise Profitability,Moddalar bo'yicha rentabellik
Journal Entry,Jurnalga kirish
json,json
Just now,Hozir
Keep offline prerequisites healthy and recover stale data safely.,Oflayn shartlarni sog'lom saqlang va eskirgan ma'lumotlarni xavfsiz tiklang.
Labels,Yorliqlar
"Language, theme, terminal tools, and session controls.","Til, mavzu, terminal vositalari va seans boshqaruvlari."
Last,Oxirgi
Last 14 Days (Paid vs Pending),Oxirgi 14 kun (Toʻlangan va kutilayotgan)
Last 14 Days Activity,Oxirgi 14 kunlik faoliyat
Last 14 Days Gross Profit,Oxirgi 14 kunlik yalpi foyda
Last 14 Days Purchases,Oxirgi 14 kunlik xaridlar
Last 14 Days Tax/Charges,Oxirgi 14 kunlik soliq/toʻlovlar
Last sync:,Oxirgi sinxronlash:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Oxirgi sinxronlash: {0} | yaxshi: {1} | muvaffaqiyatsiz: {2} | o'tkazib yuborilgan: {3}
Latest entries for current shift,Joriy siljish uchun so'nggi yozuvlar
Lead Time,Yetkazib berish vaqti
Limited,Cheklangan
lines,chiziqlar
List,Roʻyxat
Live Snapshot,Jonli surat
Load a POS profile and cashier first.,Avval POS profili va kassirni yuklang.
Load More Invoices,Ko'proq hisob-fakturalarni yuklang
Load previously saved invoices,Oldindan saqlangan hisob-fakturalarni yuklang
Load Sale,Yuklab sotish
Load Sales Invoice,Sotish hisob-fakturasini yuklab oling
Loading app data...,Ilova maʼlumotlari yuklanmoqda...
Loading customer database...,Mijoz maʼlumotlar bazasi yuklanmoqda...
Loading customers...,Mijozlar yuklanmoqda...
Loading database stats...,Maʼlumotlar bazasi statistikasi yuklanmoqda...
Loading details...,Tafsilotlar yuklanmoqda...
Loading invoice history...,Hisob-fakturalar tarixi yuklanmoqda...
Loading items...,Elementlar yuklanmoqda...
Loading product catalog...,Mahsulot katalogi yuklanmoqda...
Loading return invoices...,Qaytarilgan fakturalar yuklanmoqda...
Loading server CPU/memory usage...,Server protsessor/xotiradan foydalanish yuklanmoqda...
Loading suppliers...,Yetkazib beruvchilar yuklanmoqda...
Loading unpaid invoices...,Toʻlanmagan invoyslar yuklanmoqda...
Loading view...,Ko‘rinish yuklanmoqda...
Loading...,Yuklanmoqda...
Local storage is unavailable. Switching to online-only mode.,Mahalliy xotira mavjud emas. Faqat onlayn rejimiga o'tish.
localStorage,localStorage
Location Performance,Joylashuv samaradorligi
Locations,Joylar
Lock Screen,Ekranni qulflash
Lookup Workflow,Ish jarayonini qidirish
Loss,Yo'qotish
Low,Past
Low Stock,Kam zaxira
Low Stock Alerts,Kam zaxiralar haqida ogohlantirishlar
Low Stock Items,Kam zaxira buyumlar
Low Stock Threshold,Past zaxira chegarasi
Low Stock Total,Jami kam zaxira
Lowest Margin,Eng past marja
Low-frequency maintenance and system details.,Past chastotali texnik xizmat ko'rsatish va tizim tafsilotlari.
Loyalty Redeemed,Sadoqat qaytarildi
Loyalty Redemption,Sadoqatni qaytarish
Make New Payment,Yangi to'lovni amalga oshirish
Manage all,Hammasini boshqaring
Manage and synchronize your offline transactions,Oflayn tranzaktsiyalaringizni boshqaring va sinxronlang
Manage Cashier PIN,Kassir PIN-kodini boshqaring
"Manage offline tools, terminal controls, and maintenance from one workspace.","Oflayn vositalarni, terminal boshqaruvlarini va texnik xizmatni bitta ish maydonidan boshqaring."
manual,qo'llanma
"Manual codes, barcode scans, and QR scans work in the same field","Qo'lda kodlar, shtrix-kod skanerlari va QR skanerlari bir xil sohada ishlaydi"
Manual offline mode is enabled,Qo'lda oflayn rejim yoqilgan
Margin,Marja
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maksimal mavjud miqdor: {0}. Miqdor zaxiraga mos kelishi uchun sozlangan.
Maximum discount amount for this offer item is {0}.,Ushbu taklif mahsuloti uchun maksimal chegirma miqdori: {0}.
Maximum discount percentage for this offer item is {0}%.,Ushbu taklif elementi uchun maksimal chegirma foizi {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimal taklif miqdori: {0}. Miqdor ruxsat etilgan chegaraga sozlangan.
Medium,O'rta
Method-wise Collections,Uslubiy to'plamlar
Minimum allowed rate for this offer item is {0}.,Ushbu taklif elementi uchun ruxsat etilgan minimal narx: {0}.
Minimum Qty,Minimal miqdor
Mobile No,Mobil raqami
Mode,Rejim
Mode of Payment,To'lov tartibi
Month,Oy
Month ?,Oy?
Monthly Profit,Oylik foyda
Monthly Sales,Oylik savdo
Monthly Sales Summary,Oylik savdo xulosasi
Month-wise,Oy bo'yicha
Most Active Cashiers,Eng faol kassirlar
Movement Type,Harakat turi
Movements,Harakatlar
Multi Currency,Ko'p valyutali
N/A,Yoʻq
Name,Ism
Negative Stock,Salbiy zaxira
Negative Stock Items,Salbiy zaxira buyumlari
Negative values not allowed,Salbiy qiymatlarga ruxsat berilmaydi
Net,Net
Net Qty,Sof miqdor
Net Sales,Sof savdo
Net Value,Sof qiymat
Never,Hech qachon
New changes are ready to load,Yangi oʻzgarishlar yuklashga tayyor
New Item,Yangi element
New Offer Available,Yangi taklif mavjud
New PIN,Yangi PIN
New rate,Yangi tarif
Next unit of measure,Keyingi o'lchov birligi
No attribute data found.,Atribut maʼlumotlari topilmadi.
No Barcode,Shtrix-kod yo'q
No barcode found for UOM '{0}',“{0}” UOM uchun shtrix-kod topilmadi
No branch/location data found.,Filial/joylashuv maʼlumotlari topilmadi.
No brand data found.,Brend maʼlumotlari topilmadi.
No cached gift card balance is available offline.,Oflayn rejimda keshlangan sovg‘a kartasi balansi mavjud emas.
No camera found on this device. Please ensure your device has a working camera.,Bu qurilmada hech qanday kamera topilmadi. Qurilmangizda ishlaydigan kamera borligiga ishonch hosil qiling.
No capability warnings recorded yet.,Hali hech qanday qobiliyat haqida ogohlantirishlar qayd etilmagan.
No cash expected for this shift.,Ushbu siljish uchun naqd pul kutilmaydi.
No cash mode configured,Naqd pul rejimi sozlanmagan
No cash movement type is allowed for this POS Profile.,Ushbu POS profili uchun naqd pul harakati turiga ruxsat berilmaydi.
No cashier PIN is set yet. Create one now.,Hozircha kassir PIN-kodi o'rnatilmagan. Hozir yarating.
No cashier profiles are available for this POS profile yet.,Ushbu POS profili uchun kassir profili hali mavjud emas.
No cashier-wise discount/void/return activity.,Kassir bo'yicha chegirma / bekor qilish / qaytarish faoliyati yo'q.
No category data found.,Turkum maʼlumotlari topilmadi.
No category profitability data found.,Turkum rentabelligi haqida maʼlumot topilmadi.
No change returned recorded for this shift.,Bu siljish uchun hech qanday o'zgarish qayd etilmagan.
No change-allocation invoices match the current filters.,Joriy filtrlarga mos keladigan oʻzgartirishlar boʻyicha hisob-fakturalar mavjud emas.
No charge head breakdown found.,Zaryadlash boshining buzilishi topilmadi.
No Company Selected,Hech qanday kompaniya tanlanmagan
No customer sales data found.,Xaridor savdosi maʼlumotlari topilmadi.
No day-wise discount/void/return trend.,Kun bo'yicha chegirma/bekorlik/qaytish tendentsiyasi yo'q.
No day-wise payment data found.,Kun boʻyicha toʻlov maʼlumotlari topilmadi.
No day-wise profitability trend found.,Kunlik rentabellik tendentsiyasi topilmadi.
No day-wise purchase data found.,Bir kunlik xarid maʼlumotlari topilmadi.
No day-wise sales trend found.,Kunlik savdo tendentsiyasi topilmadi.
No day-wise tax/charges trend found.,Kun boʻyicha soliq/toʻlovlar tendentsiyasi topilmadi.
No dead stock items.,O'lik zaxira buyumlari yo'q.
No due date,Muddati yo'q
No exact repair match found for this invoice,Bu faktura uchun aniq taʼmirlash moslamasi topilmadi
No hourly sales trend found for today.,Bugungi kun uchun soatlik savdo tendentsiyasi topilmadi.
No invoice activity found.,Hisob-faktura bo‘yicha harakat topilmadi.
No invoices found,Hech qanday hisob-faktura topilmadi
No invoices found. Try different search criteria.,Hech qanday hisob-faktura topilmadi. Turli xil qidiruv mezonlarini sinab ko'ring.
No invoices recorded for this shift.,Bu siljish uchun hisob-fakturalar qayd etilmagan.
No item profitability data found.,Hech qanday mahsulot rentabelligi haqida ma'lumot topilmadi.
No item sales data found for this period.,Bu davr uchun mahsulot sotish maʼlumotlari topilmadi.
No items found,Hech narsa topilmadi
No items in cart,Savatda hech narsa yo‘q
No items with barcodes to print,Chop etish uchun shtrix kodlari mavjud emas
No location-wise top item data found.,Joylashuvga oid asosiy maʼlumotlar topilmadi.
No low stock alerts right now.,Hozirda kam zaxiralar haqida ogohlantirishlar yo‘q.
No low stock items.,Kam miqdordagi mahsulotlar mavjud emas.
No matching items in cart,Savatda mos mahsulotlar topilmadi
No month-wise sales trend found.,Oylik savdo tendentsiyasi topilmadi.
No negative stock items.,Salbiy zaxira buyumlari yo'q.
No notifications yet,Hozircha bildirishnomalar yo‘q
No offline cash movement synced.,Hech qanday oflayn pul harakati sinxronlanmagan.
No offline invoices pending synchronization,Sinxronizatsiya kutilayotgan oflayn hisob-fakturalar yo'q
No offline sync issues recorded yet.,Hozircha oflayn sinxronlash muammosi qayd etilmagan.
No out-of-stock items.,Stokda yoʻq.
No outstanding credit invoices for this shift.,Bu siljish uchun to‘lanmagan kredit schyot-fakturalari yo‘q.
No payment collection data found.,Toʻlov yigʻish maʼlumotlari topilmadi.
No payment rows available on this invoice.,Bu invoysda toʻlov qatorlari mavjud emas.
No payments registered for this shift.,Bu siljish uchun hech qanday toʻlov qayd etilmagan.
No pending balances in this period.,Bu davrda kutilayotgan qoldiq yo'q.
No pending offline invoices,Kutilayotgan oflayn hisob-fakturalar yo‘q
No Print Formats Found,Chop etish formatlari topilmadi
No profiles found for selected scope. Falling back to current profile failed.,Tanlangan doira uchun profil topilmadi. Joriy profilga qaytish amalga oshmadi.
No recent customer activity found.,Oxirgi mijoz faoliyati topilmadi.
No recent stock entries found.,Oxirgi birja yozuvlari topilmadi.
No records found,Hech qanday yozuv topilmadi
No reorder suggestions right now.,Qayta tartiblash bo‘yicha takliflar hozir yo‘q.
No repeat customers in this period.,Bu davrda takroriy mijozlar yo'q.
No response from server,Serverdan javob yo'q
No return invoices found,Qaytarilgan fakturalar topilmadi
No return item trend found.,Qaytarilish tendentsiyasi topilmadi.
No returnable items found for this invoice,Bu invoys uchun qaytariladigan mahsulotlar topilmadi
No returns were processed in this shift.,Bu smenada hech qanday qaytarib olinmagan.
No risk activity found.,Hech qanday xavfli faoliyat topilmadi.
No sales activity found for this period.,Bu davr uchun savdo faoliyati topilmadi.
No slow moving items.,Sekin harakatlanuvchi elementlar yo'q.
No staff sales activity found.,Xodimlarning savdo faoliyati topilmadi.
No stock movement for this period.,Ushbu davr uchun aksiyalar harakati yo'q.
No submitted cash movements in this shift.,Ushbu smenada naqd pul harakati taqdim etilmagan.
No supplier purchases found in this month.,Bu oyda yetkazib beruvchi xaridlari topilmadi.
No suppliers found for this period.,Bu davr uchun yetkazib beruvchilar topilmadi.
No sync trigger has run yet in this session.,Bu seansda hali hech qanday sinxronlash ishga tushirilmagan.
No tax head breakdown found.,Hech qanday soliq bo'limi topilmadi.
No top items found for this location.,Bu joy uchun hech qanday asosiy element topilmadi.
No unpaid invoices,To'lanmagan hisob-fakturalar yo'q
No variant data found.,Variant maʼlumotlari topilmadi.
No week-wise sales trend found.,Haftalik savdo tendentsiyasi topilmadi.
No.,Yo'q.
Nobile Number,Nobil raqami
Not available,Mavjud emas
Not checked,Tekshirilmagan
Not selected,Tanlanmagan
Not Set,Belgilanmagan
Notifications,Bildirishnomalar
Offer,Taklif
Offer Applied,Taklif Qo'llaniladi
Offer criteria exceeded,Taklif mezonlaridan oshib ketdi
Offer Item,Taklif elementi
Offer item unavailable,Taklif elementi mavjud emas
Offer Removed,Taklif olib tashlandi
Offer UOM cannot be changed,Taklif UOMni o'zgartirib bo'lmaydi
Offer?,Taklif?
Offers,Takliflar
Offline,Oflayn
Offline & Sync,Oflayn va sinxronlash
Offline Capabilities,Oflayn imkoniyatlar
Offline data status refreshed,Oflayn maʼlumotlar holati yangilandi
Offline diagnostics,Oflayn diagnostika
Offline Invoices,Oflayn hisob-fakturalar
Offline invoices status,Oflayn hisob-fakturalar holati
Offline invoices synced,Oflayn hisob-fakturalar sinxronlashtirildi
Offline Queue: {0},Oflayn navbat: {0}
Offline rebuild guidance,Oflayn qayta tiklash bo'yicha ko'rsatmalar
Offline restore is unavailable for this session.,Ushbu seans uchun oflayn tiklash imkonsiz.
Offline selling is available with degraded capabilities.,Imkoniyatlari yomonlashgan holda oflayn sotish mavjud.
Offline snapshot does not match the current POS state.,Oflayn surat joriy POS holatiga mos kelmaydi.
Offline Status,Oflayn holat
"Offline, terminal, and system controls","Oflayn, terminal va tizim boshqaruvlari"
OK,OK
Online,Onlayn
Open actions menu,Amallar menyusini oching
Open balance to collect,To'plash uchun ochiq balans
Open Customer Display,Mijoz ekranini oching
Open drawer,Ochiq tortma
Open invoices,Hisob-fakturalarni ochish
Open Payments?,Toʻlovlar ochilsinmi?
Open POS home,POS uyini oching
Open this screen from POS Menu -> Open Customer Display.,Ushbu ekranni POS menyusi -> Mijoz ekranini ochish orqali oching.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV tasvirni qayta ishlash yoqilgan - Kengaytirilgan shtrix-kodni aniqlash
OpenCV image processing unavailable on this device,Ushbu qurilmada OpenCV tasvirni qayta ishlash imkonsiz
OpenCV Off,OpenCV o'chirilgan
OpenCV On,OpenCV yoqilgan
OpenCV processing disabled,OpenCV-ni qayta ishlash o'chirilgan
Opening Amount,Ochilish miqdori
Opening Cash,Naqd pul ochish
options,variantlari
Order,Buyurtma
Original,Asl
Other,Boshqa
Out,Chiqib ketdi
Out of Stock,Stokda yoʻq
Out of Stock Items,Stokda yoʻq
Outstanding,Ajoyib
Outstanding Credit by Currency,Valyuta bo'yicha to'lanmagan kredit
Overdue,Muddati o'tgan
Overpayment Change,Ortiqcha to'lovni o'zgartirish
Overpayment change deducted: {0},Ortiqcha toʻlov oʻzgarishi chegirildi: {0}
Packing List,Paket ro'yxati
Page Format,Sahifa formati
Page unavailable offline,Sahifa oflayn rejimda mavjud emas
Paid,To'langan
Paid (orig):,To'langan (original):
Paid Amount,To'langan miqdor
Paid change cannot be greater than total change!,To'langan o'zgarish umumiy o'zgarishdan kattaroq bo'lishi mumkin emas!
Paid:,Toʻlangan:
Parent Item,Asosiy element
Partial,Qisman
Partly Paid,Qisman to'langan
Party Account,Partiya hisobi
Party Type,Partiya turi
Pause terminal until next cashier,Keyingi kassirga qadar terminalni to'xtatib turing
PAY,TO'LOV
Payment,To'lov
Payment Account,To'lov hisobi
Payment entries processed for Invoice {0},Invoys {0} uchun toʻlov yozuvlari qayta ishlandi
Payment Entry Type,To'lovni kiritish turi
Payment History,To'lov tarixi
Payment ID,Toʻlov identifikatori
Payment Method Report,To'lov usuli hisoboti
Payment Methods,To'lov usullari
Payment of {0} received successfully.,{0} toʻlovi muvaffaqiyatli qabul qilindi.
Payment Progress,Toʻlov jarayoni
Payment Reconciliation,To'lovni muvofiqlashtirish
Payment request status could not be retrieved. Please try again,"Toʻlov soʻrovi holatini olib boʻlmadi. Iltimos, qayta urinib koʻring"
Payment Request took too long to respond. Please try requesting for payment again,"Toʻlov soʻroviga javob berish juda uzoq davom etdi. Iltimos, toʻlovni qayta soʻrab koʻring"
Payment saved offline,Toʻlov oflayn rejimda saqlandi
Payment State,To'lov holati
Payment Status,To'lov holati
Payment submitted but print function could not be executed. Payment name not found.,"Toʻlov topshirildi, lekin chop etish funksiyasini bajarib boʻlmadi. Toʻlov nomi topilmadi."
Payment submitted.,Toʻlov topshirildi.
Payment Summary,To'lov xulosasi
Payments,To'lovlar
Payments are not open. Do you want to open payments and submit?,To'lovlar ochiq emas. Toʻlovlarni ochib yubormoqchimisiz?
Payments by Mode of Payment,To'lov usuli bo'yicha to'lovlar
PDF,PDF
Peak Hour,Eng yuqori soat
Peak Memory:,Eng yuqori xotira:
Peak Server:,Eng yuqori server:
Peak:,Tepalik:
Pending,Kutilmoqda
Pending Amount,Kutilayotgan miqdor
Pending count updated from {0} to {1},Kutilayotgan raqam {0} dan {1} ga yangilandi
Pending Exposure,Kutilayotgan EHM
Pending Invoices,Kutilayotgan hisob-fakturalar
Pending Ratio,Kutilayotgan nisbat
Pending Sales,Kutilayotgan sotuvlar
Pending sales: {0} | Cache usage: {1}%,Kutilayotgan savdolar: {0} | Keshdan foydalanish: {1}%
Pending Sync,Sinxronlash kutilmoqda
Pending: {0},Kutilmoqda: {0}
Pending: {0} | Synced: {1} | Draft: {2},Kutilmoqda: {0} | Sinxronlangan: {1} | Qoralama: {2}
Per Page,Sahifa uchun
Personal,Shaxsiy
Personal preferences adjust the current cashier experience without changing the active POS route.,Shaxsiy imtiyozlar faol POS yo'nalishini o'zgartirmasdan joriy kassir tajribasini moslashtiradi.
PIN confirmation does not match.,PIN-kodni tasdiqlash mos emas.
PIN must be 4 to 8 digits.,PIN kod 4 dan 8 gacha bo'lishi kerak.
Please add at least one item.,"Iltimos, kamida bitta element qo'shing."
Please allow camera access to scan codes,"Iltimos, skanerlash kodlari uchun kameraga ruxsat bering"
Please enter payment amount,Toʻlov miqdorini kiriting
Please fill all required fields,Barcha kerakli maydonlarni toʻldiring
Please make a payment or select a payment,Toʻlovni amalga oshiring yoki toʻlovni tanlang
Please request phone payment or use another payment method,Telefon orqali toʻlovni soʻrang yoki boshqa toʻlov usulidan foydalaning
Please select a customer first,"Iltimos, avval mijozni tanlang"
Please select a party,"Iltimos, partiyani tanlang"
Please select a party before reconciling.,"Iltimos, yarashtirishdan oldin partiyani tanlang."
Please select a valid movement type.,Yaroqli harakat turini tanlang.
Please select an invoice,"Iltimos, hisob-fakturani tanlang"
Please select company before reconciling.,"Iltimos, yarashtirishdan oldin kompaniyani tanlang."
Please set the customer's mobile number,"Iltimos, mijozning mobil raqamini belgilang"
Please try again or enter the item manually.,Qayta urinib ko'ring yoki elementni qo'lda kiriting.
Please verify the barcode or check the item's availability.,"Iltimos, shtrix-kodni tasdiqlang yoki mahsulot mavjudligini tekshiring."
Points,Ballar
Popup blocked. Please allow popups.,"Qalqib chiquvchi oyna bloklandi. Iltimos, qalqib chiquvchi oynalarga ruxsat bering."
POS,POS
POS controls and maintenance,POS boshqaruvlari va texnik xizmat ko'rsatish
POS Expense is disabled for this POS Profile.,Ushbu POS profili uchun POS xarajatlari o‘chirib qo‘yilgan.
POS is running with limited offline prerequisites.,POS cheklangan oflayn shartlar bilan ishlaydi.
POS Profile,POS profili
Position the QR code or barcode within the scanning area,QR kod yoki shtrix kodni skanerlash maydoniga joylashtiring
Posting,E’lon qilish
Posting and Price List,E'lon qilish va narxlar ro'yxati
Posting Date,E'lon qilingan sana
Preparing background sync,Fon sinxronlash tayyorlanmoqda
"Press OK to continue offline with a warning, or Cancel to retry.",Ogohlantirish bilan oflayn rejimda davom etish uchun OK tugmasini bosing yoki qayta urinish uchun Bekor qilish tugmasini bosing.
Previous unit of measure,Oldingi o'lchov birligi
Price List,Narxlar roʻyxati
Price List Rate,Narxlar roʻyxati stavkasi
Price list rate updated locally only,Narxlar roʻyxati faqat mahalliy darajada yangilanadi
Pricing & Discounts,Narxlar va chegirmalar
Pricing Rule,Narx belgilash qoidasi
Print,Chop etish
Print Draft,Qoralamani chop etish
Print Format (Invoice),Chop etish formati (hisob-faktura)
Print Format (Order),Chop etish formati (buyurtma)
Print invoice,Hisob-fakturani chop etish
Print Purchase Invoice instead of PO,PO o'rniga sotib olish fakturasini chop eting
Printer,Printer
Processed returns impacting the shift totals,Qayta ishlangan daromadlar siljishlar summasiga ta'sir qiladi
Processing Payment,To'lovni qayta ishlash
Processing payment entries for Invoice {0},Invoys {0} uchun toʻlov yozuvlari qayta ishlanmoqda
Profile,Profil
Profiles,Profillar
Profit,Foyda
Profit: Invoice Item Estimate,Foyda: Hisob-faktura ob'ekti taxmini
Profit: Stock Ledger (COGS),Foyda: Birja kitobi (COGS)
Profitability Report,Daromadlilik hisoboti
Prorated return discount,Qaytish uchun proporsional chegirma
Purchase Amount,Sotib olish miqdori
Purchase Invoices,Xarid fakturalari
Purchase Order created,Buyurtma yaratildi
Qty,Miqdor
Qualified,Malakali
Quantity,Miqdori
Quantity exceeds available stock,Miqdor mavjud zaxiralardan oshib ketdi
Quick Actions,Tezkor harakatlar
Quotation {0} is Submitted,{0} iqtibos yuborildi
Quotation submitted,Kotirovka yuborildi
QZ Tray connected.,QZ tepsisi ulangan.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ tepsisi qo'lda uzilgan. Uni qayta yoqish uchun Ulanish tugmasini bosing.
QZ Tray is not connected.,QZ tepsisi ulanmagan.
QZ Tray Setup,QZ trayni sozlash
Rate,Baho
Rate adjusted to maximum allowed discount,Tarif maksimal ruxsat etilgan chegirmaga o'zgartirildi
Ready,Tayyor
Ready to resume,Davom etishga tayyor
Ready!,Tayyor!
Real-time POS insights for retail operations.,Chakana savdo operatsiyalari uchun real vaqtda POS tushunchalari.
Rebuild Offline Data,Oflayn ma'lumotlarni qayta tiklash
Receive,Qabul qilish
Receive now,Hozir qabul qiling
Received,Qabul qilingan
Received:,Qabul qilingan:
Recent Movement Entries,Oxirgi harakat yozuvlari
Recent updates about your invoices,Hisob-fakturalaringiz haqidagi so‘nggi yangilanishlar
Recently Active Customers,Yaqinda faol mijozlar
Rechecking connection,Ulanish qayta tekshirilmoqda
Reconcile payment methods and close shift,To'lov usullarini yarashtiring va smenani yoping
Reconciling Payments,To'lovlarni solishtirish
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Ushbu sahifani onlayn bo'lganingizda bir marta qayta ulaning va oching, keyin oflayn yangilanishlar uni qayta tiklashi mumkin bo'ladi."
Reconnect online to refresh cached offline data from the server.,Serverdan keshlangan oflayn ma'lumotlarni yangilash uchun onlaynga qayta ulaning.
Recreate local offline prerequisites from scratch,Mahalliy oflayn shartlarni noldan qayta yarating
Recv:,Recv:
Redeem,Qabul qilish
Redeem / Scan,Qabul qilish / skanerlash
Redeem Amount,Qabul qilish summasi
Redeem Mode,Foydalanish rejimi
Redeemed Amount,Qabul qilingan miqdor
Redeemed credit cannot be greater than its total.,Qabul qilingan kredit uning umumiy miqdoridan ko'p bo'lishi mumkin emas.
Redemption and Totals,To'lov va jami
Reference,Malumot
Refresh,Yangilash
Refresh Exchange Rate,Valyuta kursini yangilash
Refresh Offline Data,Oflayn ma'lumotlarni yangilash
Refresh Printers,Printerlarni yangilash
Refund,To'lovni qaytarish
Release Notes,Chiqarish eslatmalari
Reload,Qayta yuklash
Reload customers,Mijozlarni qayta yuklang
Reload Items,Elementlarni qayta yuklash
Reload Now,Hozir qayta yuklash
Reload to apply the latest changes. Your current session will be refreshed.,Oxirgi oʻzgarishlarni qoʻllash uchun qayta yuklang. Joriy seansingiz yangilanadi.
Reload Workflow,Ish jarayonini qayta yuklash
Remarks,Izohlar
Remarks are required.,Izohlar talab qilinadi.
Remove,O'chirish
Remove barcode item,Shtrix-kod elementini olib tashlang
Remove cached data and reload the POS app,Keshlangan ma'lumotlarni olib tashlang va POS ilovasini qayta yuklang
Remove item,Elementni olib tashlang
Remove Offer,Taklifni olib tashlash
Reorder / Purchase Suggestions,Qayta buyurtma qilish / sotib olish bo'yicha takliflar
Repair Candidate,Ta'mirlash nomzodi
Repair Change Allocation,Ta'mirlash o'zgarishlar ajratish
Repair requires an online connection,Ta'mirlash onlayn ulanishni talab qiladi
Repaired,Ta'mirlangan
Repairing change allocation,O'zgarishlarni taqsimlashni tuzatish
Repeat Customers,Takroriy mijozlar
Repeat Rate,Takrorlash tezligi
Request,So'rov
Request ID: {0},So‘rov identifikatori: {0}
Request Payment,To'lovni talab qilish
Requested route: {0},So‘ralgan marshrut: {0}
Required columns cannot be hidden,Kerakli ustunlarni yashirib bo'lmaydi
Reset,Qayta tiklash
Reset item name,Element nomini tiklash
Reset to Default,Standart holatga qaytarish
Resource Health,Resurs salomatligi
Restricted,Cheklangan
Restricted operational controls for supervisors only.,Faqat nazoratchilar uchun cheklangan operatsion nazorat.
Retry,Qayta urinish
Retry route,Marshrutni qaytadan urinish
Return,Qaytish
Return Amount,Qaytish miqdori
Return Count,Qaytish soni
Return items must have negative quantities,Qaytariladigan narsalar salbiy miqdorga ega bo'lishi kerak
Return total must be negative,Jami daromad salbiy bo'lishi kerak
Return Valid Until,Qaytish amal qilish muddati
Return window passed,Qaytish oynasi o'tdi
Return without Invoice,Hisob-fakturasiz qaytish
Returns,Qaytadi
Returns / Voids / Discounts,Qaytish / bekor qilish / chegirmalar
Returns by Currency,Valyuta bo'yicha qaytariladi
Revenue,Daromad
Review shift totals before submitting the closing entry,Yakunlovchi yozuvni yuborishdan oldin siljish jamlamalarini ko'rib chiqing
Round Off,Round Off
Rows,Qatorlar
Rows:,Qatorlar:
Rule,Qoida
Sale,Sotish
Sales,Sotish
Sales Order {0} is Submitted,Savdo buyurtmasi {0} topshirildi
Sales Person and Print,Sotuvchi va bosma
Sales Person not found,Sotuvchi topilmadi
Sales processed,Sotish qayta ishlangan
Sales Return,Sotish qaytish
Sales Trend Report,Sotish tendentsiyasi hisoboti
