POS Awesome,POS په زړه پوری
Hide quantity decimals,د مقدار ډیسیمالونه پټ کړئ
Hide search tools,د لټون وسیلې پټ کړئ
Hide zero rated items,د صفر درجه شوي توکي پټ کړئ
High,لوړ
History,تاریخ
Hourly (Today),په ساعت کې (نن)
How this section works,دا برخه څنګه کار کوي
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",که زاړه ډاټا پاتې وي، ترتیبات> آفلاین او همغږي خلاص کړئ او د آنلاین په وخت کې بیا بیا جوړ شوي آفلاین ډیټا چل کړئ.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",که خبرداری دوام ومومي، ترتیبات> آفلاین او همغږي خلاص کړئ، بیا د افلاین ډیټا تازه کول یا د آفلاین ډیټا بیا جوړ کړئ.
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,سند په QZ ټری کې وارد کړئ او په هر POS ماشین کې QZ ټری بیا پیل کړئ.
In,په
In stock: {0},په ذخیره کې: {0}
Include Batch / Serial,بیچ / سریال شامل کړئ
Include Price,قیمت شامل کړئ
Increase quantity,مقدار زیات کړئ
IndexedDB,IndexedDB
Initial Amount,ابتدايي مقدار
Initialize your shift with opening balances,خپل بدلون د پرانیستې بیلانس سره پیل کړئ
Initializing application...,د غوښتنلیک پیل کول...
"Inspect cache, sync, and prerequisite status",کیچ، همغږي، او د اړتیا حالت معاینه کړئ
Installed Applications,نصب شوي غوښتنلیکونه
Insufficient stock:\n{0},کافي ذخیره:\n{0}
Invalid rate,ناسم نرخ
Inventory Status Report,د موجودیت وضعیت راپور
Invoice,رسید
Invoice {0} is Submitted,رسید {0} سپارل شوی
Invoice {0} processed successfully,رسید {0} په بریالیتوب سره پروسس شوی
Invoice {0} submission failed,د رسید {0} سپارل ناکام شو
Invoice {0} was already submitted,رسید {0} لا دمخه سپارل شوی و
Invoice Adjustments,د انوائس تعدیلات
Invoice Change,د رسید بدلول
Invoice Details,د رسید توضیحات
Invoice is still in draft after background submission.,رسید د شالید سپارلو وروسته لاهم په مسوده کې دی.
Invoice Items,د رسید توکي
Invoice Management,د رسید مدیریت
Invoice Mgmt,رسید Mgmt
Invoice saved offline,انوائس آفلاین خوندي شوی
Invoice submission failed,د رسید سپارل ناکام شول
Invoice Submitted,رسید سپارل شوی
"Invoice value settled by loyalty points, not cash collection",د انوائس ارزښت د وفادارۍ ټکو لخوا تنظیم شوی ، نه د نغدو راټولولو
Invoices,رسیدونه
Invoices already past due date,رسیدونه دمخه د نیټې نیټې څخه تیر شوي
Invoices saved as POS Invoices,رسیدونه د POS رسیدونو په توګه خوندي شوي
Invoices still carrying balances,رسیدونه لاهم بیلانسونه لیږدوي
Issue Mode,د مسلې حالت
Issue New Card,نوی کارت صادر کړئ
Issue Workflow,د کاري جریان مسله
"Issue, top up, and check",مسله، پورته کول، او چک کول
Item,توکي
Item / Product Sales Report,د توکو / محصول پلور راپور
Item {0} added to invoice,توکي {0} په رسید کې اضافه شوي
Item '{0}' has no barcode,توکي '{0}' هیڅ بارکوډ نلري
Item Code,د توکي کوډ
Item created successfully,توکي په بریالیتوب سره جوړ شو
Item is out of stock,توکي بهر دي
Item Name,د توکي نوم
Item not found,توکي ونه موندل شول
Item order updated,د توکو امر تازه شو
Item Selector Settings,د توکي انتخاب کونکي تنظیمات
Items,توکي
Items added in POS will appear here automatically.,په POS کې اضافه شوي توکي به دلته په اوتومات ډول څرګند شي.
Items added to invoice,توکي په رسید کې اضافه شوي
Items per page,په هره پاڼه کې توکي
Items Sold,توکي پلورل شوي
Items/Invoice,توکي / رسید
Item-wise Profitability,د توکو له مخې ګټورتوب
Journal Entry,د ژورنال داخلول
json,json
Just now,همدا اوس
Keep offline prerequisites healthy and recover stale data safely.,آفلاین شرطونه سالم وساتئ او په خوندي ډول زاړه معلومات بیرته ترلاسه کړئ.
Labels,لیبلونه
"Language, theme, terminal tools, and session controls.",ژبه، موضوع، ترمینل اوزار، او د ناستې کنټرولونه.
Last,تېر
Last 14 Days (Paid vs Pending),وروستۍ 14 ورځې (تادیه شوي او پاتې دي)
Last 14 Days Activity,د تیرو 14 ورځو فعالیت
Last 14 Days Gross Profit,د تیرو 14 ورځو ناخالصه ګټه
Last 14 Days Purchases,د وروستي 14 ورځو پیرود
Last 14 Days Tax/Charges,د تیرو 14 ورځو مالیه / فیسونه
Last sync:,وروستی همغږي:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},وروستی ترکیب: {0} | سمه ده: {1} | ناکام شوی: {2} | پریښودل: {3}
Latest entries for current shift,د اوسني بدلون لپاره وروستي ننوتل
Lead Time,د مشر وخت
Limited,محدود
lines,کرښې
List,لیست
Live Snapshot,ژوندی عکس
Load a POS profile and cashier first.,لومړی د POS پروفایل او کیشیر پورته کړئ.
Load More Invoices,نور رسیدونه پورته کړئ
Load previously saved invoices,مخکې خوندي شوي رسیدونه پورته کړئ
Load Sale,د پلورلو بار
Load Sales Invoice,د پلور انوائس پورته کړئ
Loading app data...,د اپلیکیشن ډیټا لوډ کول...
Loading customer database...,د پیرودونکي ډیټابیس پورته کول ...
Loading customers...,پېرېدونکي بارېږي...
Loading database stats...,د ډیټابیس احصایې پورته کول...
Loading details...,توضیحات پورته کول...
Loading invoice history...,د رسید تاریخ پورته کول...
Loading items...,توکي پورته کول...
Loading product catalog...,د محصول کتلاګ پورته کول...
Loading return invoices...,د راستنیدو رسیدونه پورته کول...
Loading server CPU/memory usage...,د سرور CPU/میموري کارول پورته کول...
Loading suppliers...,عرضه کوونکي باریږي...
Loading unpaid invoices...,نه تادیه شوي رسیدونه پورته کول...
Loading view...,لید پورته کول...
Loading...,بار کول...
Local storage is unavailable. Switching to online-only mode.,ځایی ذخیره شتون نلري. یوازې آنلاین حالت ته بدلول.
localStorage,ځایی ذخیره
Location Performance,د موقعیت فعالیت
Locations,ځایونه
Lock Screen,لاک سکرین
Lookup Workflow,د کاري فلو لټون
Loss,تاوان
Low,ټیټ
Low Stock,ټیټ ذخیره
Low Stock Alerts,د ټیټ سټاک خبرتیاوې
Low Stock Items,ټیټ سټاک توکي
Low Stock Threshold,د ټیټ سټاک حد
Low Stock Total,ټیټ سټاک ټولټال
Lowest Margin,ټیټ حاشیه
Low-frequency maintenance and system details.,د ټیټ فریکونسۍ ساتنه او د سیسټم توضیحات.
Loyalty Redeemed,د وفادارۍ خلاصون
Loyalty Redemption,د وفادارۍ خلاصون
Make New Payment,نوې تادیه وکړئ
Manage all,ټول اداره کړئ
Manage and synchronize your offline transactions,خپل آفلاین لیږدونه اداره او همغږي کړئ
Manage Cashier PIN,د کیشیر PIN اداره کړئ
"Manage offline tools, terminal controls, and maintenance from one workspace.",د یو کاري ځای څخه آفلاین وسیلې، ترمینل کنټرولونه، او ساتنه اداره کړئ.
manual,لارښود
"Manual codes, barcode scans, and QR scans work in the same field",لاسي کوډونه، د بارکوډ سکینونه، او QR سکینونه په ورته ساحه کې کار کوي
Manual offline mode is enabled,لاسي آفلاین حالت فعال دی
Margin,مارجن
Maximum available quantity is {0}. Quantity adjusted to match stock.,تر ټولو زیات موجود مقدار {0} دی. مقدار د سټاک سره سمون لپاره تنظیم شوی.
Maximum discount amount for this offer item is {0}.,د دې وړاندیز توکي لپاره د تخفیف اعظمي اندازه ده {0}.
Maximum discount percentage for this offer item is {0}%.,د دې وړاندیز توکي لپاره اعظمي تخفیف سلنه {0}٪ ده.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,د وړاندیز اعظمي مقدار {0} دی. مقدار د اجازه شوي حد سره تنظیم شوی.
Medium,منځنی
Method-wise Collections,د طریقې له مخې ټولګه
Minimum allowed rate for this offer item is {0}.,د دې وړاندیز توکي لپاره لږترلږه اجازه ورکړل شوې نرخ {0} دی.
Minimum Qty,لږ تر لږه اندازه
Mobile No,موبایل نمبر
Mode,موډ
Mode of Payment,د تادیاتو طریقه
Month,میاشت
Month ?,میاشت؟
Monthly Profit,میاشتنۍ ګټه
Monthly Sales,میاشتنی خرڅلاو
Monthly Sales Summary,د میاشتني پلور لنډیز
Month-wise,د میاشتی په لحاظ
Most Active Cashiers,ډیر فعال کیشیر
Movement Type,د حرکت ډول
Movements,حرکتونه
Multi Currency,څو اسعارو
N/A,N/A
Name,نوم
Negative Stock,منفي سټاک
Negative Stock Items,منفي سټاک توکي
Negative values not allowed,منفي ارزښتونه اجازه نه لري
Net,جال
Net Qty,خالص مقدار
Net Sales,خالص پلور
Net Value,خالص ارزښت
Never,هیڅکله نه
New changes are ready to load,نوي بدلونونه د بارولو لپاره چمتو دي
New Item,نوی توکي
New Offer Available,نوی وړاندیز شتون لري
New PIN,نوی پن
New rate,نوی نرخ
Next unit of measure,د اندازه کولو بل واحد
No attribute data found.,د ځانګړتیاو ډاټا ونه موندل شوه.
No Barcode,بارکوډ نشته
No barcode found for UOM '{0}',د UOM '{0}' لپاره هیڅ بارکوډ ونه موندل شو
No branch/location data found.,هیڅ څانګه/مقام معلومات ونه موندل شول.
No brand data found.,د برانډ ډیټا ونه موندل شوه.
No cached gift card balance is available offline.,هیڅ زیرمه شوي ډالۍ کارت بیلانس آفلاین شتون نلري.
No camera found on this device. Please ensure your device has a working camera.,په دې وسیله هیڅ کیمره ونه موندل شوه. مهرباني وکړئ ډاډ ترلاسه کړئ چې ستاسو وسیله کاري کیمره لري.
No capability warnings recorded yet.,تر اوسه د وړتیا خبرداری نه دی ثبت شوی.
No cash expected for this shift.,د دې بدلون لپاره د نغدو پیسو تمه نه کیږي.
No cash mode configured,د نغدو موډ نه دی ترتیب شوی
No cash movement type is allowed for this POS Profile.,د دې POS پروفایل لپاره د نغدو حرکت ډول اجازه نشته.
No cashier PIN is set yet. Create one now.,تر اوسه هیڅ کیشیر PIN نه دی ټاکل شوی. اوس یو جوړ کړئ.
No cashier profiles are available for this POS profile yet.,د دې POS پروفایل لپاره تر اوسه د کیشیر پروفایل شتون نلري.
No cashier-wise discount/void/return activity.,د نغدو پیسو تخفیف / باطل / بیرته راستنیدونکي فعالیت نشته.
No category data found.,د کټګورۍ ډاټا ونه موندل شوه.
No category profitability data found.,د کټګورۍ د ګټو ډاټا ونه موندل شوه.
No change returned recorded for this shift.,د دې بدلون لپاره هیڅ بدلون ندی ثبت شوی.
No change-allocation invoices match the current filters.,د بدلون تخصیص رسیدونه د اوسني فلټرونو سره سمون نلري.
No charge head breakdown found.,د چارج سر ماتول ونه موندل شو.
No Company Selected,هیڅ شرکت نه دی ټاکل شوی
No customer sales data found.,د پیرودونکي د پلور معلومات ندي موندل شوي.
No day-wise discount/void/return trend.,د ورځې له مخې تخفیف / باطل / بیرته ستنیدو رجحان نشته.
No day-wise payment data found.,د ورځې له مخې د تادیې معلومات ندي موندل شوي.
No day-wise profitability trend found.,د ورځې له مخې د ګټې اخیستنې هیڅ رجحان ندی موندل شوی.
No day-wise purchase data found.,د ورځني پیرود ډاټا ونه موندل شوه.
No day-wise sales trend found.,د ورځې په اساس د پلور رجحان ندی موندل شوی.
No day-wise tax/charges trend found.,د ورځې له مخې د مالیاتو / لګښتونو رجحان ندی موندل شوی.
No dead stock items.,هیڅ مړ ذخیره توکي نشته.
No due date,هیڅ نیټه نشته
No exact repair match found for this invoice,د دې انوائس لپاره هیڅ دقیق ترمیم میچ ونه موندل شو
No hourly sales trend found for today.,د نن ورځې لپاره د ساعت پلور رجحان ونه موندل شو.
No invoice activity found.,هیڅ انوائس فعالیت ونه موندل شو.
No invoices found,هیڅ رسیدونه ونه موندل شول
No invoices found. Try different search criteria.,هیڅ رسیدونه ونه موندل شول. د لټون مختلف معیارونه هڅه وکړئ.
No invoices recorded for this shift.,د دې بدلون لپاره هیڅ رسیدونه ندي ثبت شوي.
No item profitability data found.,د توکو د ګټې اخیستنې هیڅ ډاټا ونه موندل شوه.
No item sales data found for this period.,د دې مودې لپاره د توکو د پلور ډاټا ونه موندل شوه.
No items found,هیڅ توکي ونه موندل شول
No items in cart,په کارټ کې هیڅ توکي نشته
No items with barcodes to print,د چاپ لپاره د بارکوډونو سره هیڅ توکي نشته
No location-wise top item data found.,د موقعیت له مخې د لوړ توکي ډاټا ونه موندل شوه.
No low stock alerts right now.,اوس مهال د ټیټ سټاک خبرتیا نشته.
No low stock items.,هیڅ ټیټ ذخیره توکي نشته.
No matching items in cart,په کارټ کې هیڅ ورته توکي نشته
No month-wise sales trend found.,د میاشتې په کچه د پلور رجحان ندی موندل شوی.
No negative stock items.,هیڅ منفي ذخیره توکي نشته.
No notifications yet,تراوسه هیڅ خبرتیا نشته
No offline cash movement synced.,هیڅ آفلاین نغدي حرکت همغږي شوی نه دی.
No offline invoices pending synchronization,هیڅ آفلاین رسیدونه د همغږي کولو پاتې ندي
No offline sync issues recorded yet.,تر اوسه د آف لائن همغږي کولو کومه ستونزه نه ده ثبت شوې.
No out-of-stock items.,د ذخیره کولو څخه بهر توکي نشته.
No outstanding credit invoices for this shift.,د دې بدلون لپاره هیڅ بقایا کریډیټ انوائس نشته.
No payment collection data found.,د تادیاتو راټولولو هیڅ معلومات ندي موندل شوي.
No payment rows available on this invoice.,په دې رسید کې د تادیاتو هیڅ قطار شتون نلري.
No payments registered for this shift.,د دې بدلون لپاره هیڅ تادیه نه ده ثبت شوې.
No pending balances in this period.,په دې موده کې هیڅ پاتې بیلانسونه.
No pending offline invoices,هیڅ پاتې آفلاین رسیدونه نشته
No Print Formats Found,د چاپ بڼه ونه موندل شوه
No profiles found for selected scope. Falling back to current profile failed.,د ټاکل شوي ساحې لپاره هیڅ پروفایل ونه موندل شو. اوسني پروفایل ته بیرته ستنیدل ناکام شول.
No recent customer activity found.,د پیرودونکي وروستی فعالیت ندی موندل شوی.
No recent stock entries found.,هیڅ وروستي سټاک داخلې ندي موندل شوي.
No records found,هیڅ ریکارډ ونه موندل شو
No reorder suggestions right now.,اوس مهال د بیا تنظیم کولو وړاندیزونه نشته.
No repeat customers in this period.,پدې موده کې هیڅ تکرار پیرودونکي نه دي.
No response from server,د سرور څخه هیڅ ځواب نشته
No return invoices found,د بیرته راستنیدو هیڅ رسید ونه موندل شو
No return item trend found.,د بیرته ستنیدو هیڅ رجحان ونه موندل شو.
No returnable items found for this invoice,د دې رسید لپاره د بیرته راستنیدو وړ توکي ندي موندل شوي
No returns were processed in this shift.,په دې بدلون کې هیڅ بیرته ستنیدل پروسس شوي ندي.
No risk activity found.,هیڅ خطر فعالیت ندی موندل شوی.
No sales activity found for this period.,د دې مودې لپاره د پلور فعالیت ندی موندل شوی.
No slow moving items.,هیڅ سست حرکت کونکي توکي ندي.
No staff sales activity found.,د کارمندانو د پلور فعالیت ندی موندل شوی.
No stock movement for this period.,د دې مودې لپاره هیڅ ذخیره حرکت نه کوي.
No submitted cash movements in this shift.,په دې بدلون کې د نغدو پیسو هیڅ حرکت ندی سپارل شوی.
No supplier purchases found in this month.,پدې میاشت کې هیڅ عرضه کونکي پیرود ونه موندل شو.
No suppliers found for this period.,د دې مودې لپاره هیڅ عرضه کوونکي ونه موندل شول.
No sync trigger has run yet in this session.,په دې ناسته کې تر اوسه هیڅ همغږي ټرګر نه دی چلیدلی.
No tax head breakdown found.,د مالیې سر ماتول ونه موندل شو.
No top items found for this location.,د دې ځای لپاره هیڅ غوره توکي ونه موندل شول.
No unpaid invoices,نه تادیه شوي رسیدونه
No variant data found.,هیڅ ډول ډول معلومات ندي موندل شوي.
No week-wise sales trend found.,په اونۍ کې د پلور رجحان ندی موندل شوی.
No.,نه
Nobile Number,د نوبل شمیره
Not available,شتون نلري
Not checked,نه چک شوی
Not selected,نه ټاکل شوی
Not Set,نه ټاکل شوی
Notifications,خبرتیاوې
Offer,وړاندیز
Offer Applied,وړاندیز تطبیق شوی
Offer criteria exceeded,د وړاندیز معیارونه تیر شوي
Offer Item,وړاندیز توکي
Offer item unavailable,د وړاندیز توکي شتون نلري
Offer Removed,وړاندیز لرې شو
Offer UOM cannot be changed,وړاندیز UOM نشي بدلیدلی
Offer?,وړاندیز؟
Offers,وړاندیز کوي
Offline,آفلاین
Offline & Sync,آف لائن او همغږي
Offline Capabilities,آفلاین وړتیاوې
Offline data status refreshed,د آفلاین ډیټا حالت تازه شوی
Offline diagnostics,آفلاین تشخیص
Offline Invoices,آفلاین رسیدونه
Offline invoices status,د آفلاین رسیدونو حالت
Offline invoices synced,آفلاین رسیدونه همغږي شوي
Offline Queue: {0},آف لائن کتار: {0}
Offline rebuild guidance,د آفلاین بیا رغونې لارښود
Offline restore is unavailable for this session.,د دې ناستې لپاره آف لائن بیا رغونه شتون نلري.
Offline selling is available with degraded capabilities.,آفلاین پلور د تخریب شوي ظرفیتونو سره شتون لري.
Offline snapshot does not match the current POS state.,آف لائن سنیپ شاټ د اوسني POS حالت سره سمون نه لري.
Offline Status,آف لائن حالت
"Offline, terminal, and system controls",آفلاین، ترمینل، او سیسټم کنټرولونه
OK,سمه ده
Online,آنلاین
Open actions menu,د عمل مینو خلاص کړئ
Open balance to collect,د راټولولو لپاره بیلانس خلاص کړئ
Open Customer Display,د پیرودونکي نندارتون خلاص کړئ
Open drawer,درز خلاص کړئ
Open invoices,رسیدونه خلاص کړئ
Open Payments?,تادیات خلاص کړئ؟
Open POS home,د POS کور خلاص کړئ
Open this screen from POS Menu -> Open Customer Display.,دا سکرین د POS مینو څخه خلاص کړئ -> د پیرودونکي نندارتون خلاص کړئ.
OpenCV image processing enabled - Enhanced barcode detection,د OpenCV عکس پروسس کول فعال شوي - د بارکوډ کشف کول
OpenCV image processing unavailable on this device,په دې وسیله کې د OpenCV عکس پروسس شتون نلري
OpenCV Off,OpenCV بند
OpenCV On,OpenCV آن
OpenCV processing disabled,د OpenCV پروسس غیر فعال شوی
Opening Amount,د پرانیستلو اندازه
Opening Cash,د نغدو پیسو پرانیستل
options,اختیارونه
Order,امر
Original,اصلي
Other,نور
Out,بهر
Out of Stock,له سټاک څخه بهر
Out of Stock Items,له سټاک څخه بهر توکي
Outstanding,بقایا
Outstanding Credit by Currency,د اسعارو لخوا د پام وړ کریډیټ
Overdue,ډیر وخت
Overpayment Change,د زیاتو تادیاتو بدلون
Overpayment change deducted: {0},د زیاتو تادیاتو بدلون کم شوی: {0}
Packing List,د بسته بندي لیست
Page Format,د پاڼې بڼه
Page unavailable offline,پاڼه په آفلاین کې شتون نلري
Paid,ورکړې
Paid (orig):,تادیه شوی (اصلی):
Paid Amount,تادیه شوی مقدار
Paid change cannot be greater than total change!,تادیه شوي بدلون د ټول بدلون څخه لوی نشي کیدی!
Paid:,تادیه شوي:
Parent Item,اصلي توکي
Partial,جزوی
Partly Paid,په جزوی توګه تادیه شوی
Party Account,د ګوند حساب
Party Type,د ګوند ډول
Pause terminal until next cashier,تر راتلونکي کیشیر پورې ټرمینل ودروئ
PAY,تادیه
Payment,تادیه
Payment Account,د تادیاتو حساب
Payment entries processed for Invoice {0},د انوائس {0} لپاره د تادیاتو ننوتل پروسس شوي
Payment Entry Type,د تادیاتو د ننوتلو ډول
Payment History,د تادیاتو تاریخ
Payment ID,د تادیې ID
Payment Method Report,د تادیاتو میتود راپور
Payment Methods,د تادیاتو میتودونه
Payment of {0} received successfully.,د {0} تادیه په بریالیتوب سره ترلاسه شوه.
Payment Progress,د تادیاتو پرمختګ
Payment Reconciliation,د تادیاتو پخلاینه
Payment request status could not be retrieved. Please try again,د تادیې غوښتنې حالت بیرته ترلاسه نشو. مهرباني وکړئ بیا هڅه وکړئ
Payment Request took too long to respond. Please try requesting for payment again,د تادیې غوښتنې ځواب ورکولو لپاره ډیر وخت واخیست. مهرباني وکړئ بیا د پیسو غوښتنه کولو هڅه وکړئ
Payment saved offline,تادیه په آفلاین کې خوندي شوې
Payment State,د تادیاتو ریاست
Payment Status,د تادیاتو حالت
Payment submitted but print function could not be executed. Payment name not found.,تادیه سپارل شوې مګر د چاپ فعالیت نشي ترسره کیدی. د تادیې نوم ونه موندل شو.
Payment submitted.,تادیه سپارل شوې.
Payment Summary,د تادیاتو لنډیز
Payments,تادیات
Payments are not open. Do you want to open payments and submit?,تادیات خلاص نه دي. ایا تاسو غواړئ تادیات خلاص کړئ او وسپارئ؟
Payments by Mode of Payment,د تادیاتو د طریقې له مخې تادیات
PDF,PDF
Peak Hour,د لوړ ساعت
Peak Memory:,لوړ حافظه:
Peak Server:,لوړ سرور:
Peak:,چوکۍ:
Pending,پاتې
Pending Amount,پاتې اندازه
Pending count updated from {0} to {1},پاتې شمېرنه له {0} څخه {1} ته تازه شوه
Pending Exposure,پاتې شونی
Pending Invoices,پاتې رسیدونه
Pending Ratio,پاتې تناسب
Pending Sales,پاتې خرڅلاو
Pending sales: {0} | Cache usage: {1}%,پاتې خرڅلاو: {0} | د زیرمې کارول: {1}%
Pending Sync,Pending Sync
Pending: {0},پاتې دی: {0}
Pending: {0} | Synced: {1} | Draft: {2},پاتې دی: {0} | همغږي شوی: {1} | مسوده: {2}
Per Page,هره پاڼه
Personal,شخصي
Personal preferences adjust the current cashier experience without changing the active POS route.,شخصي غوره توبونه د فعال POS لارې بدلولو پرته د اوسني کیشیر تجربه تنظیموي.
PIN confirmation does not match.,د PIN تایید سره سمون نه خوري.
PIN must be 4 to 8 digits.,PIN باید له 4 څخه تر 8 عددونو پورې وي.
Please add at least one item.,مهرباني وکړئ لږترلږه یو توکي اضافه کړئ.
Please allow camera access to scan codes,مهرباني وکړئ د سکین کوډونو ته د کیمرې لاسرسي ته اجازه ورکړئ
Please enter payment amount,مهرباني وکړئ د تادیې مقدار دننه کړئ
Please fill all required fields,مهرباني وکړئ ټول اړین ساحې ډک کړئ
Please make a payment or select a payment,مهرباني وکړئ تادیه وکړئ یا تادیه غوره کړئ
Please request phone payment or use another payment method,مهرباني وکړئ د تلیفون تادیه غوښتنه وکړئ یا د تادیې بله طریقه وکاروئ
Please select a customer first,مهرباني وکړئ لومړی یو پیرودونکی وټاکئ
Please select a party,مهرباني وکړئ یو ګوند وټاکئ
Please select a party before reconciling.,مهرباني وکړئ د پخلاینې دمخه یو ګوند وټاکئ.
Please select a valid movement type.,مهرباني وکړئ د اعتبار وړ حرکت ډول وټاکئ.
Please select an invoice,مهرباني وکړئ یو رسید وټاکئ
Please select company before reconciling.,مهرباني وکړئ د پخلاینې دمخه شرکت غوره کړئ.
Please set the customer's mobile number,مهرباني وکړئ د پیرودونکي ګرځنده شمیره تنظیم کړئ
Please try again or enter the item manually.,مهرباني وکړئ بیا هڅه وکړئ یا توکي په لاسي ډول دننه کړئ.
Please verify the barcode or check the item's availability.,مهرباني وکړئ بارکوډ تایید کړئ یا د توکو شتون چیک کړئ.
Points,ټکي
Popup blocked. Please allow popups.,پاپ اپ بلاک شوی. مهرباني وکړئ پاپ اپ ته اجازه ورکړئ.
POS,POS
POS controls and maintenance,د POS کنټرول او ساتنه
POS Expense is disabled for this POS Profile.,د دې POS پروفایل لپاره د POS لګښت غیر فعال دی.
POS is running with limited offline prerequisites.,POS د محدود آفلاین شرایطو سره پرمخ ځي.
POS Profile,د POS پروفایل
Position the QR code or barcode within the scanning area,د QR کوډ یا بارکوډ د سکین کولو ساحه کې ځای په ځای کړئ
Posting,پوسټ کول
Posting and Price List,پوسټ کول او د قیمت لیست
Posting Date,د پوسټ کولو نیټه
Preparing background sync,د شالید ترکیب چمتو کول
"Press OK to continue offline with a warning, or Cancel to retry.",د خبرتیا سره آفلاین ته دوام ورکولو لپاره OK فشار ورکړئ، یا د بیا هڅه کولو لپاره لغوه کړئ.
Previous unit of measure,د اندازه کولو پخوانی واحد
Price List,د قیمت لیست
Price List Rate,د نرخ لیست نرخ
Price list rate updated locally only,د نرخ لیست نرخ یوازې په محلي توګه تازه شوی
Pricing & Discounts,نرخونه او تخفیفونه
Pricing Rule,د نرخ مقررات
Print,چاپ
Print Draft,د چاپ مسوده
Print Format (Invoice),د چاپ بڼه (انوائس)
Print Format (Order),د چاپ بڼه (ترتیب)
Print invoice,انوائس چاپ کړئ
Print Purchase Invoice instead of PO,د PO پرځای د پیرود انوائس چاپ کړئ
Printer,چاپګر
Processed returns impacting the shift totals,پروسس شوي بیرته راستنیدنه د بدلون مجموعه اغیزه کوي
Processing Payment,د تادیاتو پروسس کول
Processing payment entries for Invoice {0},د رسید {0} لپاره د تادیاتو ننوتلو پروسس کول
Profile,پروفایل
Profiles,پروفایلونه
Profit,ګټه
Profit: Invoice Item Estimate,ګټه: د رسید توکي اټکل
Profit: Stock Ledger (COGS),ګټه: سټاک لیجر (COGS)
Profitability Report,د ګټو راپور
Prorated return discount,د بیرته راستنیدو تناسب تخفیف
Purchase Amount,د پیرود اندازه
Purchase Invoices,د پیرود رسیدونه
Purchase Order created,د پیرود امر جوړ شو
Qty,مقدار
Qualified,وړ
Quantity,مقدار
Quantity exceeds available stock,مقدار د شته زیرمو څخه ډیر دی
Quick Actions,چټک اقدامات
Quotation {0} is Submitted,اقتباس {0} سپارل شوی
Quotation submitted,اقتباس سپارل شوی
QZ Tray connected.,QZ ټری وصل شوی.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ټری په لاسي ډول منحل شوی. د دې د بیا فعالولو لپاره نښلول کېکاږئ.
QZ Tray is not connected.,QZ ټری وصل ندی.
QZ Tray Setup,د QZ ټری ترتیب
Rate,نرخ
Rate adjusted to maximum allowed discount,نرخ د اعظمي اجازه شوي تخفیف سره تنظیم شوی
Ready,چمتو
Ready to resume,د بیا پیلولو لپاره چمتو دی
Ready!,چمتو!
Real-time POS insights for retail operations.,د پرچون عملیاتو لپاره د ریښتیني وخت POS لیدونه.
Rebuild Offline Data,د آفلاین ډیټا بیا جوړ کړئ
Receive,ترلاسه کول
Receive now,اوس ترلاسه کړئ
Received,ترلاسه کړ
Received:,ترلاسه شوي:
Recent Movement Entries,د وروستي حرکت ننوتل
Recent updates about your invoices,ستاسو د رسیدونو په اړه وروستي تازه معلومات
Recently Active Customers,په دې وروستیو کې فعال پیرودونکي
Rechecking connection,د پیوستون بیاکتنه
Reconcile payment methods and close shift,د تادیې طریقې سره پخلا کړئ او نږدې بدلون
Reconciling Payments,د تادیاتو پخلی کول
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",دا پاڼه د انلاین په وخت کې یو ځل بیا وصل او پرانیزئ، نو آفلاین ریفریشونه به وکوالی شي دا بیرته راولي.
Reconnect online to refresh cached offline data from the server.,له سرور څخه د کیش شوي آفلاین ډیټا تازه کولو لپاره آنلاین بیا وصل کړئ.
Recreate local offline prerequisites from scratch,له سکریچ څخه محلي آفلاین شرایط بیا جوړ کړئ
Recv:,بیاکتنه:
Redeem,خلاصول
Redeem / Scan,خلاصول / سکین کول
Redeem Amount,د خلاصون اندازه
Redeem Mode,د خلاصون حالت
Redeemed Amount,بیرته اخیستل شوی مقدار
Redeemed credit cannot be greater than its total.,خلاص شوی کریډیټ نشي کولی د هغې له مجموعي څخه ډیر وي.
Redemption and Totals,خلاصون او مجموعه
Reference,حواله
Refresh,تازه کړئ
Refresh Exchange Rate,د تبادلې نرخ تازه کړئ
Refresh Offline Data,آف لائن ډاټا تازه کړئ
Refresh Printers,چاپګر تازه کړئ
Refund,بیرته ورکول
Release Notes,د خوشې یادښتونه
Reload,بیا پورته کول
Reload customers,پیرودونکي بیا پورته کړئ
Reload Items,توکي بیا پورته کړئ
Reload Now,اوس بیا پورته کړئ
Reload to apply the latest changes. Your current session will be refreshed.,د وروستي بدلونونو پلي کولو لپاره بیا پورته کړئ. ستاسو اوسنۍ ناسته به تازه شي.
Reload Workflow,د کاري جریان بیا پورته کول
Remarks,څرګندونې
Remarks are required.,تبصرې اړین دي.
Remove,لرې کړئ
Remove barcode item,د بارکوډ توکي لرې کړئ
Remove cached data and reload the POS app,زیرمه شوي ډاټا لرې کړئ او د POS ایپ بیا پورته کړئ
