POS Awesome,PDV incrível
"Manage offline tools, terminal controls, and maintenance from one workspace.","Gerencie ferramentas off-line, controles de terminal e manutenção em um único espaço de trabalho."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Códigos manuais, leituras de código de barras e leituras QR funcionam no mesmo campo"
Manual offline mode is enabled,O modo off-line manual está ativado
Margin,Margem
Maximum available quantity is {0}. Quantity adjusted to match stock.,A quantidade máxima disponível é {0}. Quantidade ajustada de acordo com o estoque.
Maximum discount amount for this offer item is {0}.,O valor máximo do desconto para este item da oferta é {0}.
Maximum discount percentage for this offer item is {0}%.,A porcentagem máxima de desconto para este item da oferta é de {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,A quantidade máxima de oferta é {0}. Quantidade ajustada ao limite permitido.
Medium,Médio
Method-wise Collections,Coleções metodológicas
Minimum allowed rate for this offer item is {0}.,A taxa mínima permitida para este item de oferta é {0}.
Minimum Qty,Quantidade mínima
Mobile No,Celular Não
Mode,Modo
Mode of Payment,Modo de Pagamento
Month,Mês
Month ?,Mês?
Monthly Profit,Lucro Mensal
Monthly Sales,Vendas Mensais
Monthly Sales Summary,Resumo mensal de vendas
Month-wise,Mensalmente
Most Active Cashiers,Caixas mais ativos
Movement Type,Tipo de movimento
Movements,Movimentos
Multi Currency,Multimoeda
N/A,N/D
Name,Nome
Negative Stock,Estoque Negativo
Negative Stock Items,Itens de estoque negativos
Negative values not allowed,Valores negativos não permitidos
Net,Rede
Net Qty,Quantidade líquida
Net Sales,Vendas Líquidas
Net Value,Valor Líquido
Never,Nunca
New changes are ready to load,Novas alterações estão prontas para carregar
New Item,Novo item
New Offer Available,Nova oferta disponível
New PIN,Novo PIN
New rate,Nova taxa
Next unit of measure,Próxima unidade de medida
No attribute data found.,Nenhum dado de atributo encontrado.
No Barcode,Sem código de barras
No barcode found for UOM '{0}',Nenhum código de barras encontrado para UOM '{0}'
No branch/location data found.,Nenhum dado de filial/local encontrado.
No brand data found.,Nenhum dado de marca encontrado.
No cached gift card balance is available offline.,Nenhum saldo de cartão-presente em cache está disponível off-line.
No camera found on this device. Please ensure your device has a working camera.,Nenhuma câmera encontrada neste dispositivo. Certifique-se de que seu dispositivo tenha uma câmera funcionando.
No capability warnings recorded yet.,Nenhum aviso de capacidade registrado ainda.
No cash expected for this shift.,Nenhum dinheiro esperado para esta mudança.
No cash mode configured,Nenhum modo de dinheiro configurado
No cash movement type is allowed for this POS Profile.,Nenhum tipo de movimentação de dinheiro é permitido para este perfil de PDV.
No cashier PIN is set yet. Create one now.,Nenhum PIN do caixa foi definido ainda. Crie um agora.
No cashier profiles are available for this POS profile yet.,Ainda não há perfis de caixa disponíveis para este perfil de PDV.
No cashier-wise discount/void/return activity.,Nenhuma atividade de desconto/anulação/devolução no caixa.
No category data found.,Nenhum dado de categoria encontrado.
No category profitability data found.,Nenhum dado de rentabilidade da categoria encontrado.
No change returned recorded for this shift.,Nenhuma alteração retornada registrada para este turno.
No change-allocation invoices match the current filters.,Nenhuma fatura de alocação de alteração corresponde aos filtros atuais.
No charge head breakdown found.,Nenhuma quebra do cabeçote de carga foi encontrada.
No Company Selected,Nenhuma empresa selecionada
No customer sales data found.,Nenhum dado de vendas do cliente encontrado.
No day-wise discount/void/return trend.,Nenhuma tendência diária de desconto/anulação/devolução.
No day-wise payment data found.,Nenhum dado de pagamento diário encontrado.
No day-wise profitability trend found.,Nenhuma tendência de lucratividade diária encontrada.
No day-wise purchase data found.,Nenhum dado de compra diário encontrado.
No day-wise sales trend found.,Nenhuma tendência de vendas diária encontrada.
No day-wise tax/charges trend found.,Nenhuma tendência diária de impostos/cobranças foi encontrada.
No dead stock items.,Nenhum item de estoque morto.
No due date,Sem data de vencimento
No exact repair match found for this invoice,Nenhuma correspondência exata de reparo encontrada para esta fatura
No hourly sales trend found for today.,Nenhuma tendência de vendas por hora encontrada para hoje.
No invoice activity found.,Nenhuma atividade de fatura encontrada.
No invoices found,Nenhuma fatura encontrada
No invoices found. Try different search criteria.,Nenhuma fatura encontrada. Experimente diferentes critérios de pesquisa.
No invoices recorded for this shift.,Nenhuma fatura registrada para este turno.
No item profitability data found.,Nenhum dado de rentabilidade do item encontrado.
No item sales data found for this period.,Nenhum dado de vendas de itens encontrado neste período.
No items found,Nenhum item encontrado
No items in cart,Nenhum item no carrinho
No items with barcodes to print,Nenhum item com código de barras para imprimir
No location-wise top item data found.,Nenhum dado de item principal em termos de localização foi encontrado.
No low stock alerts right now.,Nenhum alerta de estoque baixo no momento.
No low stock items.,Não há itens com estoque baixo.
No matching items in cart,Não há itens correspondentes no carrinho
No month-wise sales trend found.,Nenhuma tendência de vendas mensal encontrada.
No negative stock items.,Nenhum item de estoque negativo.
No notifications yet,Nenhuma notificação ainda
No offline cash movement synced.,Nenhum movimento de dinheiro offline sincronizado.
No offline invoices pending synchronization,Nenhuma fatura off-line com sincronização pendente
No offline sync issues recorded yet.,Nenhum problema de sincronização offline registrado ainda.
No out-of-stock items.,Não há itens fora de estoque.
No outstanding credit invoices for this shift.,Nenhuma fatura de crédito pendente para esta mudança.
No payment collection data found.,Nenhum dado de cobrança de pagamento encontrado.
No payment rows available on this invoice.,Nenhuma linha de pagamento disponível nesta fatura.
No payments registered for this shift.,Nenhum pagamento registrado para este turno.
No pending balances in this period.,Não há saldos pendentes neste período.
No pending offline invoices,Nenhuma fatura off-line pendente
No Print Formats Found,Nenhum formato de impressão encontrado
No profiles found for selected scope. Falling back to current profile failed.,Nenhum perfil encontrado para o escopo selecionado. Falha ao retornar ao perfil atual.
No recent customer activity found.,Nenhuma atividade recente do cliente encontrada.
No recent stock entries found.,Nenhuma entrada de estoque recente encontrada.
No records found,Nenhum registro encontrado
No reorder suggestions right now.,Nenhuma sugestão de novo pedido no momento.
No repeat customers in this period.,Não há clientes recorrentes neste período.
No response from server,Nenhuma resposta do servidor
No return invoices found,Nenhuma fatura de devolução encontrada
No return item trend found.,Nenhuma tendência de devolução de itens encontrada.
No returnable items found for this invoice,Nenhum item retornável encontrado para esta fatura
No returns were processed in this shift.,Nenhuma devolução foi processada neste turno.
No risk activity found.,Nenhuma atividade de risco encontrada.
No sales activity found for this period.,Nenhuma atividade de vendas encontrada para este período.
No slow moving items.,Sem itens de movimento lento.
No staff sales activity found.,Nenhuma atividade de vendas da equipe encontrada.
No stock movement for this period.,Não houve movimentação de estoque neste período.
No submitted cash movements in this shift.,Não foram apresentados movimentos de numerário neste turno.
No supplier purchases found in this month.,Nenhuma compra de fornecedor encontrada neste mês.
No suppliers found for this period.,Nenhum fornecedor encontrado para este período.
No sync trigger has run yet in this session.,Nenhum gatilho de sincronização foi executado ainda nesta sessão.
No tax head breakdown found.,Nenhuma discriminação de carga fiscal encontrada.
No top items found for this location.,Nenhum item principal encontrado para este local.
No unpaid invoices,Sem faturas não pagas
No variant data found.,Nenhum dado de variante encontrado.
No week-wise sales trend found.,Nenhuma tendência de vendas semanal encontrada.
No.,Não.
Nobile Number,Número Nobile
Not available,Não disponível
Not checked,Não verificado
Not selected,Não selecionado
Not Set,Não definido
Notifications,Notificações
Offer,Oferta
Offer Applied,Oferta aplicada
Offer criteria exceeded,Critérios de oferta excedidos
Offer Item,Item de oferta
Offer item unavailable,Item da oferta indisponível
Offer Removed,Oferta removida
Offer UOM cannot be changed,A UOM da oferta não pode ser alterada
Offer?,Oferta?
Offers,Ofertas
Offline,Off-line
Offline & Sync,Off-line e sincronização
Offline Capabilities,Capacidades off-line
Offline data status refreshed,Status dos dados off-line atualizado
Offline diagnostics,Diagnóstico off-line
Offline Invoices,Faturas off-line
Offline invoices status,Status das faturas off-line
Offline invoices synced,Faturas off-line sincronizadas
Offline Queue: {0},Fila off-line: {0}
Offline rebuild guidance,Orientação de reconstrução offline
Offline restore is unavailable for this session.,A restauração offline não está disponível para esta sessão.
Offline selling is available with degraded capabilities.,A venda offline está disponível com recursos degradados.
Offline snapshot does not match the current POS state.,O instantâneo offline não corresponde ao estado atual do PDV.
Offline Status,Status off-line
"Offline, terminal, and system controls","Controles off-line, de terminal e de sistema"
OK,OK
Online,On-line
Open actions menu,Abrir menu de ações
Open balance to collect,Saldo aberto para coletar
Open Customer Display,Abrir exibição do cliente
Open drawer,Gaveta aberta
Open invoices,Faturas abertas
Open Payments?,Pagamentos abertos?
Open POS home,Abra a página inicial do PDV
Open this screen from POS Menu -> Open Customer Display.,Abra esta tela no Menu POS -> Abrir Tela do Cliente.
OpenCV image processing enabled - Enhanced barcode detection,Processamento de imagem OpenCV ativado - Detecção aprimorada de código de barras
OpenCV image processing unavailable on this device,Processamento de imagem OpenCV indisponível neste dispositivo
OpenCV Off,OpenCV desativado
OpenCV On,OpenCV ativado
OpenCV processing disabled,Processamento OpenCV desativado
Opening Amount,Valor de abertura
Opening Cash,Abrindo dinheiro
options,opções
Order,Pedido
Original,Originais
Other,Outro
Out,Fora
Out of Stock,Fora de estoque
Out of Stock Items,Itens fora de estoque
Outstanding,Excelente
Outstanding Credit by Currency,Crédito pendente por moeda
Overdue,Atrasado
Overpayment Change,Alteração de pagamento a maior
Overpayment change deducted: {0},Alteração de pagamento a maior deduzida: {0}
Packing List,Lista de embalagem
Page Format,Formato de página
Page unavailable offline,Página indisponível off-line
Paid,Pago
Paid (orig):,Pago (orig):
Paid Amount,Valor pago
Paid change cannot be greater than total change!,O troco pago não pode ser maior que o troco total!
Paid:,Pago:
Parent Item,Item pai
Partial,Parcial
Partly Paid,Parcialmente pago
Party Account,Conta do partido
Party Type,Tipo de festa
Pause terminal until next cashier,Pausar terminal até o próximo caixa
PAY,PAGAR
Payment,Pagamento
Payment Account,Conta de pagamento
Payment entries processed for Invoice {0},Entradas de pagamento processadas para fatura {0}
Payment Entry Type,Tipo de entrada de pagamento
Payment History,Histórico de pagamentos
Payment ID,ID de pagamento
Payment Method Report,Relatório de forma de pagamento
Payment Methods,Métodos de pagamento
Payment of {0} received successfully.,Pagamento de {0} recebido com sucesso.
Payment Progress,Progresso do pagamento
Payment Reconciliation,Reconciliação de Pagamento
Payment request status could not be retrieved. Please try again,"Não foi possível recuperar o status da solicitação de pagamento. Por favor, tente novamente"
Payment Request took too long to respond. Please try requesting for payment again,A solicitação de pagamento demorou muito para ser respondida. Tente solicitar o pagamento novamente
Payment saved offline,Pagamento salvo off-line
Payment State,Estado de pagamento
Payment Status,Status de pagamento
Payment submitted but print function could not be executed. Payment name not found.,"Pagamento enviado, mas a função de impressão não pôde ser executada. Nome de pagamento não encontrado."
Payment submitted.,Pagamento enviado.
Payment Summary,Resumo de pagamento
Payments,Pagamentos
Payments are not open. Do you want to open payments and submit?,Os pagamentos não estão abertos. Deseja abrir pagamentos e enviar?
Payments by Mode of Payment,Pagamentos por forma de pagamento
PDF,PDF
Peak Hour,Horário de pico
Peak Memory:,Memória de pico:
Peak Server:,Servidor de pico:
Peak:,Pico:
Pending,Pendente
Pending Amount,Valor pendente
Pending count updated from {0} to {1},Contagem pendente atualizada de {0} para {1}
Pending Exposure,Exposição pendente
Pending Invoices,Faturas pendentes
Pending Ratio,Proporção pendente
Pending Sales,Vendas pendentes
Pending sales: {0} | Cache usage: {1}%,Vendas pendentes: {0} | Uso de cache: {1}%
Pending Sync,Sincronização pendente
Pending: {0},Pendente: {0}
Pending: {0} | Synced: {1} | Draft: {2},Pendente: {0} | Sincronizado: {1} | Rascunho: {2}
Per Page,Por página
Personal,Pessoal
Personal preferences adjust the current cashier experience without changing the active POS route.,As preferências pessoais ajustam a experiência atual do caixa sem alterar a rota ativa do PDV.
PIN confirmation does not match.,A confirmação do PIN não corresponde.
PIN must be 4 to 8 digits.,O PIN deve ter de 4 a 8 dígitos.
Please add at least one item.,Adicione pelo menos um item.
Please allow camera access to scan codes,Permita o acesso da câmera para ler códigos
Please enter payment amount,Por favor insira o valor do pagamento
Please fill all required fields,Por favor preencha todos os campos obrigatórios
Please make a payment or select a payment,"Por favor, efetue um pagamento ou selecione um pagamento"
Please request phone payment or use another payment method,Solicite pagamento por telefone ou use outro método de pagamento
Please select a customer first,Selecione um cliente primeiro
Please select a party,Selecione uma festa
Please select a party before reconciling.,Selecione uma parte antes de reconciliar.
Please select a valid movement type.,Selecione um tipo de movimento válido.
Please select an invoice,Selecione uma fatura
Please select company before reconciling.,Selecione a empresa antes de reconciliar.
Please set the customer's mobile number,"Por favor, defina o número do celular do cliente"
Please try again or enter the item manually.,Tente novamente ou insira o item manualmente.
Please verify the barcode or check the item's availability.,Por favor verifique o código de barras ou verifique a disponibilidade do item.
Points,Pontos
Popup blocked. Please allow popups.,"Pop-up bloqueado. Por favor, permita pop-ups."
POS,PDV
POS controls and maintenance,Controles e manutenção de PDV
POS Expense is disabled for this POS Profile.,Despesas de PDV estão desativadas para este perfil de PDV.
POS is running with limited offline prerequisites.,O PDV está funcionando com pré-requisitos off-line limitados.
POS Profile,Perfil PDV
Position the QR code or barcode within the scanning area,Posicione o código QR ou código de barras na área de digitalização
Posting,Postagem
Posting and Price List,Publicação e lista de preços
Posting Date,Data de postagem
Preparing background sync,Preparando sincronização em segundo plano
"Press OK to continue offline with a warning, or Cancel to retry.",Pressione OK para continuar off-line com um aviso ou Cancelar para tentar novamente.
Previous unit of measure,Unidade de medida anterior
Price List,Lista de preços
Price List Rate,Taxa de lista de preços
Price list rate updated locally only,Tarifa da lista de preços atualizada apenas localmente
Pricing & Discounts,Preços e descontos
Pricing Rule,Regra de preços
Print,Imprimir
Print Draft,Imprimir rascunho
Print Format (Invoice),Formato de impressão (fatura)
Print Format (Order),Formato de impressão (pedido)
Print invoice,Imprimir fatura
Print Purchase Invoice instead of PO,Imprimir fatura de compra em vez de PO
Printer,Impressora
Processed returns impacting the shift totals,Devoluções processadas impactando os totais de turno
Processing Payment,Processando Pagamento
Processing payment entries for Invoice {0},Processando entradas de pagamento da fatura {0}
Profile,Perfil
Profiles,Perfis
Profit,Lucro
Profit: Invoice Item Estimate,Lucro: estimativa do item da fatura
Profit: Stock Ledger (COGS),Lucro: razão de estoque (CPV)
Profitability Report,Relatório de rentabilidade
Prorated return discount,Desconto de devolução rateado
Purchase Amount,Valor da compra
Purchase Invoices,Faturas de compra
Purchase Order created,Pedido de compra criado
Qty,Quantidade
Qualified,Qualificado
Quantity,Quantidade
Quantity exceeds available stock,Quantidade excede o estoque disponível
Quick Actions,Ações rápidas
Quotation {0} is Submitted,A cotação {0} foi enviada
Quotation submitted,Cotação enviada
QZ Tray connected.,Bandeja QZ conectada.
QZ Tray is manually disconnected. Press Connect to enable it again.,A bandeja QZ está desconectada manualmente. Pressione Conectar para habilitá-lo novamente.
QZ Tray is not connected.,A bandeja QZ não está conectada.
QZ Tray Setup,Configuração da bandeja QZ
Rate,Taxa
Rate adjusted to maximum allowed discount,Tarifa ajustada ao desconto máximo permitido
Ready,Pronto
Ready to resume,Pronto para retomar
Ready!,Pronto!
Real-time POS insights for retail operations.,Insights de PDV em tempo real para operações de varejo.
Rebuild Offline Data,Reconstruir dados off-line
Receive,Receber
Receive now,Receba agora
Received,Recebido
Received:,Recebido:
Recent Movement Entries,Entradas recentes de movimento
Recent updates about your invoices,Atualizações recentes sobre suas faturas
Recently Active Customers,Clientes ativos recentemente
Rechecking connection,Verificando novamente a conexão
Reconcile payment methods and close shift,Reconciliar métodos de pagamento e fechar turno
Reconciling Payments,Reconciliando Pagamentos
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Reconecte e abra esta página uma vez enquanto estiver online, então as atualizações offline poderão restaurá-la."
Reconnect online to refresh cached offline data from the server.,Reconecte-se online para atualizar os dados offline armazenados em cache do servidor.
Recreate local offline prerequisites from scratch,Recrie os pré-requisitos off-line locais do zero
Recv:,Recebido:
Redeem,Resgatar
Redeem / Scan,Resgatar / Digitalizar
Redeem Amount,Valor de resgate
Redeem Mode,Modo de resgate
Redeemed Amount,Valor resgatado
Redeemed credit cannot be greater than its total.,O crédito resgatado não pode ser superior ao seu total.
Redemption and Totals,Resgate e Totais
Reference,Referência
Refresh,Atualizar
Refresh Exchange Rate,Atualizar taxa de câmbio
Refresh Offline Data,Atualizar dados off-line
Refresh Printers,Atualizar impressoras
Refund,Reembolso
Release Notes,Notas de versão
Reload,Recarregar
Reload customers,Recarregar clientes
Reload Items,Recarregar itens
Reload Now,Recarregar agora
Reload to apply the latest changes. Your current session will be refreshed.,Recarregue para aplicar as alterações mais recentes. Sua sessão atual será atualizada.
Reload Workflow,Recarregar fluxo de trabalho
Remarks,Observações
Remarks are required.,Observações são obrigatórias.
Remove,Remover
Remove barcode item,Remover item do código de barras
Remove cached data and reload the POS app,Remova os dados armazenados em cache e recarregue o aplicativo POS
Remove item,Remover item
Remove Offer,Remover oferta
Reorder / Purchase Suggestions,Sugestões de novo pedido/compra
Repair Candidate,Candidato a reparo
Repair Change Allocation,Alocação de alteração de reparo
Repair requires an online connection,O reparo requer uma conexão online
Repaired,Reparado
Repairing change allocation,Reparando a alocação de alterações
Repeat Customers,Clientes recorrentes
Repeat Rate,Taxa de repetição
Request,Solicitação
Request ID: {0},ID da solicitação: {0}
Request Payment,Solicitar pagamento
Requested route: {0},Rota solicitada: {0}
Required columns cannot be hidden,As colunas obrigatórias não podem ser ocultadas
Reset,Redefinir
Reset item name,Redefinir nome do item
Reset to Default,Redefinir para o padrão
Resource Health,Saúde dos recursos
Restricted,Restrito
Restricted operational controls for supervisors only.,Controles operacionais restritos apenas para supervisores.
Retry,Tentar novamente
Retry route,Tentar rota novamente
Return,Retorno
Return Amount,Valor de devolução
Return Count,Contagem de retorno
Return items must have negative quantities,Os itens devolvidos devem ter quantidades negativas
Return total must be negative,O total do retorno deve ser negativo
Return Valid Until,Devolução válida até
Return window passed,Janela de retorno passada
Return without Invoice,Devolução sem fatura
Returns,Devoluções
Returns / Voids / Discounts,Devoluções/Anulações/Descontos
Returns by Currency,Devoluções por moeda
Revenue,Receita
Review shift totals before submitting the closing entry,Revise os totais dos turnos antes de enviar a entrada de fechamento
Round Off,Arredondar
Rows,Linhas
Rows:,Linhas:
Rule,Regra
Sale,Venda
Sales,Vendas
Sales Order {0} is Submitted,O pedido de venda {0} foi enviado
Sales Person and Print,Vendedor e impressor
Sales Person not found,Vendedor não encontrado
Sales processed,Vendas processadas
Sales Return,Retorno de vendas
Sales Trend Report,Relatório de tendências de vendas
Save,Salvar
Save & Clear,Salvar e limpar
Save as POS Profile Default,Salvar como perfil de PDV padrão
Save Settings,Salvar configurações
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Salve a impressora selecionada como o perfil POS padrão para que ela seja exibida automaticamente nesta configuração.
Saved as draft because: {0},Salvo como rascunho porque: {0}
Saving...,Salvando...
Scale barcode detected. Quantity here is the number of labels to print.,Código de barras da balança detectado. Quantidade aqui é o número de etiquetas a serem impressas.
Scale barcode settings are not configured. Using item barcode only.,As configurações do código de barras da balança não estão configuradas. Usando apenas código de barras do item.
Scale template barcode is missing for this item/UOM. Using item barcode only.,O código de barras do modelo de balança está faltando para este item/UOM. Usando apenas código de barras do item.
Scan an existing card and top it up without leaving the payment flow.,Digitalize um cartão existente e recarregue-o sem sair do fluxo de pagamento.
Scan Error,Erro de digitalização
Scan or enter a gift card code to check balance or redeem.,Digitalize ou insira um código de cartão-presente para verificar o saldo ou resgatar.
Scan or paste the card code below.,Digitalize ou cole o código do cartão abaixo.
Scan QR Code/Barcode,Digitalize o código QR / código de barras
Scan with camera,Digitalize com câmera
Scan-First Flow,Fluxo de digitalização primeiro
Scanned Code:,Código digitalizado:
Scanning for: {0},Procurando por: {0}
Scanning items,Digitalizando itens
Scan-Ready,Pronto para digitalização
Scope,Escopo
Scope: All Profiles,Escopo: Todos os Perfis
Scope: Current Profile,Escopo: Perfil Atual
Scope: Specific Profile,Escopo: Perfil Específico
Search,Pesquisar
Search Account,Pesquisar conta
Search an invoice and continue the return flow without extra steps.,Pesquise uma fatura e continue o fluxo de devolução sem etapas extras.
Search customer,Pesquisar cliente
Search invoices or customers,Pesquise faturas ou clientes
Search item,Item de pesquisa
Search item / code,Pesquisar item/código
Search items or barcode,Pesquisar itens ou código de barras
Search Mpesa Payments,Pesquisar pagamentos Mpesa
Search return invoices or customers,Pesquise faturas de devolução ou clientes
Search supplier,Pesquisar fornecedor
Search unpaid invoices or customers,Pesquise faturas ou clientes não pagos
Secure context (HTTPS or localhost) is required for camera access.,Contexto seguro (HTTPS ou localhost) é necessário para acesso à câmera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Contexto seguro (HTTPS) necessário para acesso à câmera. Use HTTPS para acessar a câmera.
Select,Selecione
Select a cashier first.,Selecione um caixa primeiro.
Select a customer,Selecione um cliente
Select a customer to use coupon,Selecione um cliente para usar o cupom
Select a printer to use QZ silent printing.,Selecione uma impressora para usar a impressão silenciosa QZ.
Select Batch,Selecione lote
Select Columns to Display,Selecione colunas para exibir
Select items to sell,Selecione itens para vender
Select Payment,Selecione Pagamento
Select Payment Account,Selecione conta de pagamento
Select printer,Selecione a impressora
Select Return Invoice,Selecione fatura de devolução
Select S.O,Selecione S.O.
Select Sales Orders,Selecione pedidos de vendas
Select the cashier who is taking over this terminal.,Selecione o caixa que está assumindo este terminal.
Selected,Selecionado
Selected movement type is not allowed by POS Profile.,O tipo de movimento selecionado não é permitido pelo Perfil POS.
Selected Payments,Pagamentos selecionados
Sensitive actions kept away from quick taps.,Ações sensíveis evitam toques rápidos.
Serial,Série
Serial Numbers,Números de série
Server CPU Usage:,Uso da CPU do servidor:
Server Health,Integridade do servidor
Server Memory Usage:,Uso de memória do servidor:
Server Metrics,Métricas do Servidor
Server Uptime:,Tempo de atividade do servidor:
Service Charges,Taxas de serviço
Session,Sessão
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Defina cada PIN do caixa no formulário Usuário e mantenha os membros do terminal atribuídos no Usuário do perfil POS.
Settings,Configurações
Settings in this section update the POS workspace without changing the current route.,As configurações nesta seção atualizam o espaço de trabalho do PDV sem alterar a rota atual.
Setup complete!,Configuração concluída!
Share,Compartilhar
Shared terminal,Terminal compartilhado
Shift Closed Snapshot,Instantâneo fechado do turno
Shift Overview,Visão geral do turno
Show,Mostrar
Show cart on customer-facing screen,Mostrar carrinho na tela voltada para o cliente
Show last invoice rate,Mostrar taxa da última fatura
Show rate info,Mostrar informações de taxa
Show Repair Candidates,Mostrar candidatos a reparos
Show search tools,Mostrar ferramentas de pesquisa
Show the active cart on a customer-facing screen,Mostrar o carrinho ativo em uma tela voltada para o cliente
Showing {0}-{1} of {2},Mostrando {0}-{1} de {2}
Showing 0 of 0,Mostrando 0 de 0
Shows the distribution of invoices per currency,Mostra a distribuição das faturas por moeda
Sign out of the current POS session,Sair da sessão atual do PDV
Size:,Tamanho:
Skipped Payments,Pagamentos ignorados
Skipping items without barcodes,Ignorando itens sem códigos de barras
Slow Moving,Movimento Lento
Slow Moving Items,Itens de movimento lento
Slow Queries:,Consultas lentas:
Sold,Vendido
Source,Fonte
Source Cash Account (Optional Override),Conta de dinheiro de origem (substituição opcional)
Source Ex. Rate:,Fonte Ex. Taxa:
Source Rate:,Taxa de origem:
Specific Profile,Perfil Específico
Split Invoices,Dividir faturas
Staff / Cashier Performance Report,Relatório de desempenho da equipe/caixa
Status,Estado
Stock,Estoque
Stock Information,Informações sobre estoque
Stock is lower than requested,O estoque é inferior ao solicitado
Stock is lower than requested:\n{0},O estoque é inferior ao solicitado:\n{0}
Stock Movement Report,Relatório de movimentação de estoque
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Atualização de estoque: {0} tem {1} disponível. Adicionar {2} deixará o estoque abaixo de zero.
Submit,Enviar
Submit & Print,Enviar e imprimir
Submit Deposit,Enviar depósito
Submit Expense,Enviar despesa
Submitted,Enviado
Submitted Cash Movements,Movimentos de dinheiro enviados
Submitted entries,Inscrições enviadas
Successfully scanned:,Digitalizado com sucesso:
Suggested,Sugerido
Suggested Qty,Quantidade sugerida
Supervisor Access,Acesso de supervisor
Supervisor permissions unlock issuance and reloads,As permissões do supervisor desbloqueiam a emissão e recarregam
Supervisor Tools,Ferramentas de supervisão
Supplier,Fornecedor
Supplier and dates are required.,Fornecedor e datas são obrigatórios.
Supplier Invoices,Faturas de Fornecedores
Supplier is required.,O fornecedor é obrigatório.
Supplier name is required,O nome do fornecedor é obrigatório
Supplier Payments,Pagamentos de fornecedores
Supplier Purchase Summary,Resumo de compra do fornecedor
Suppliers,Fornecedores
Suppliers not found,Fornecedores não encontrados
Switch Camera,Trocar câmera
Switch Cashier,Trocar de caixa
Switch the POS appearance theme,Mudar o tema da aparência do PDV
Switched to:,Mudou para:
Sync All Invoices,Sincronizar todas as faturas
Sync Offline Cash Movements ({0}),Sincronizar movimentos de dinheiro off-line ({0})
Sync Offline Sales,Sincronizar vendas off-line
Synced {0} offline cash movement(s).,{0} movimentos de dinheiro off-line sincronizados.
Syncing items in background,Sincronizando itens em segundo plano
System / Diagnostics,Sistema / Diagnóstico
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","As ações do sistema são controles de manutenção de baixa frequência, como informações de aplicativos, diagnósticos de suporte e controles de sessão."
System Information,Informações do sistema
System Status,Status do sistema
Tables:,Tabelas:
Tap the button below to redeem a gift card during checkout.,Toque no botão abaixo para resgatar um vale-presente durante a finalização da compra.
Target,Alvo
Target Ex. Rate:,Alvo Ex. Taxa:
Target Rate:,Taxa alvo:
Tax,Imposto
Tax / Charges Report,Relatório de impostos/encargos
Tax Heads,Chefes Fiscais
Taxable Amount,Valor tributável
Tendered,Licitado
Terminal,Terminais
Terminal & Devices,Terminais e Dispositivos
Terminal locked,Terminal bloqueado
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","As ferramentas de terminal afetam esta estação de checkout, as telas voltadas para o cliente e os futuros controles de impressoras/dispositivos."
Territory not found,Território não encontrado
The amount paid is not complete,O valor pago não está completo
The app stores data locally for offline use. This is called cache.,O aplicativo armazena dados localmente para uso offline. Isso é chamado de cache.
The invoice stayed in draft. Please review and submit it manually.,A fatura permaneceu em rascunho. Revise e envie-o manualmente.
The maximum discount allowed is,O desconto máximo permitido é
The quantity for {0} has been adjusted to the maximum available stock.,A quantidade de {0} foi ajustada ao estoque máximo disponível.
The system could not retrieve the item details. Please try again.,"O sistema não conseguiu recuperar os detalhes do item. Por favor, tente novamente."
These invoices will be synced when connection is restored,Estas faturas serão sincronizadas quando a conexão for restaurada
This action now opens inside the settings workspace.,Esta ação agora abre dentro do espaço de trabalho de configurações.
This coupon already used !,Este cupom já foi usado!
This invoice does not need change-allocation repair,Esta fatura não precisa de reparo de alocação de alterações
This invoice is already repaired,Esta fatura já foi reparada
This is an item template. Please choose a variant.,Este é um modelo de item. Escolha uma variante.
this item,este item
This POS page could not be opened offline because its code was not cached on this terminal yet.,Esta página de PDV não pôde ser aberta offline porque seu código ainda não estava armazenado em cache neste terminal.
This Serial Number {0} has already been added!,Este número de série {0} já foi adicionado!
Threshold,Limite
Time,Hora
Tip: Clear cache regularly to free up space and keep the app fast.,Dica: limpe o cache regularmente para liberar espaço e manter o aplicativo rápido.
Tip: Close unused tabs or apps to reduce lag.,Dica: feche guias ou aplicativos não utilizados para reduzir o atraso.
Tip: Monitor slow queries and table size for optimal performance.,Dica: monitore consultas lentas e o tamanho da tabela para obter desempenho ideal.
To Be Paid,Para ser pago
To Date,Até o momento
Today,Hoje
Today Profit,Lucro de hoje
Today Sales,Vendas de hoje
Toggle navigation drawer,Alternar gaveta de navegação
Toggle Theme,Alternar tema
Tools,Ferramentas
Tools for customer-facing screens and terminal-specific actions.,Ferramentas para telas voltadas para o cliente e ações específicas do terminal.
Top Brand,Marca principal
Top Category,Categoria principal
Top Charge Head,Cabeça de carga superior
Top Customers,Principais clientes
Top Discount,Desconto superior
