POS Awesome,很棒的POS
No suppliers found for this period.,此期间未找到供应商。
No sync trigger has run yet in this session.,此会话中尚未运行同步触发器。
No tax head breakdown found.,未发现税头明细。
No top items found for this location.,没有找到该位置的热门商品。
No unpaid invoices,没有未付发票
No variant data found.,未找到变体数据。
No week-wise sales trend found.,未发现每周销售趋势。
No.,不。
Nobile Number,贵族号码
Not available,不可用
Not checked,未检查
Not selected,未选择
Not Set,未设置
Notifications,通知
Offer,优惠
Offer Applied,已申请优惠
Offer criteria exceeded,超出报价标准
Offer Item,优惠项目
Offer item unavailable,优惠商品不可用
Offer Removed,优惠已删除
Offer UOM cannot be changed,报价单位无法更改
Offer?,报价？
Offers,优惠
Offline,离线
Offline & Sync,离线和同步
Offline Capabilities,离线能力
Offline data status refreshed,离线数据状态刷新
Offline diagnostics,离线诊断
Offline Invoices,离线发票
Offline invoices status,离线发票状态
Offline invoices synced,离线发票已同步
Offline Queue: {0},离线队列：{0}
Offline rebuild guidance,离线重建指导
Offline restore is unavailable for this session.,此会话无法进行脱机恢复。
Offline selling is available with degraded capabilities.,离线销售可在功能降级的情况下使用。
Offline snapshot does not match the current POS state.,离线快照与当前 POS 状态不匹配。
Offline Status,离线状态
"Offline, terminal, and system controls",离线、终端和系统控制
OK,好的
Online,在线
Open actions menu,打开操作菜单
Open balance to collect,待收未结余额
Open Customer Display,打开客户展示
Open drawer,打开抽屉
Open invoices,开具发票
Open Payments?,开放支付？
Open POS home,打开 POS 主页
Open this screen from POS Menu -> Open Customer Display.,从 POS 菜单 -> 打开客户显示屏打开此屏幕。
OpenCV image processing enabled - Enhanced barcode detection,启用 OpenCV 图像处理 - 增强条形码检测
OpenCV image processing unavailable on this device,OpenCV 图像处理在此设备上不可用
OpenCV Off,OpenCV 关闭
OpenCV On,OpenCV 开启
OpenCV processing disabled,OpenCV 处理已禁用
Opening Amount,开仓金额
Opening Cash,开仓现金
options,选项
Order,订单
Original,原创
Other,其他
Out,出
Out of Stock,缺货
Out of Stock Items,缺货商品
Outstanding,杰出
Outstanding Credit by Currency,按币种划分的未偿信贷
Overdue,逾期
Overpayment Change,超额付款变更
Overpayment change deducted: {0},扣除多付款项变更：{0}
Packing List,装箱单
Page Format,页面格式
Page unavailable offline,页面离线不可用
Paid,付费
Paid (orig):,付费（原）：
Paid Amount,支付金额
Paid change cannot be greater than total change!,付费找零不能大于总找零！
Paid:,付费：
Parent Item,父项
Partial,部分
Partly Paid,部分付费
Party Account,当事人账户
Party Type,派对类型
Pause terminal until next cashier,暂停终端直至下一个收银员
PAY,支付
Payment,付款方式
Payment Account,支付账户
Payment entries processed for Invoice {0},已处理发票 {0} 的付款条目
Payment Entry Type,付款条目类型
Payment History,付款记录
Payment ID,付款ID
Payment Method Report,付款方式报告
Payment Methods,付款方式
Payment of {0} received successfully.,成功收到{0}的付款。
Payment Progress,付款进度
Payment Reconciliation,付款对账
Payment request status could not be retrieved. Please try again,无法检索付款请求状态。请重试
Payment Request took too long to respond. Please try requesting for payment again,付款请求响应时间过长。请尝试再次请求付款
Payment saved offline,离线保存付款
Payment State,付款状态
Payment Status,付款状态
Payment submitted but print function could not be executed. Payment name not found.,付款已提交，但无法执行打印功能。未找到付款名称。
Payment submitted.,付款已提交。
Payment Summary,付款摘要
Payments,付款方式
Payments are not open. Do you want to open payments and submit?,付款方式尚未开放。您想打开付款并提交吗？
Payments by Mode of Payment,按付款方式付款
PDF,PDF
Peak Hour,高峰时段
Peak Memory:,峰值内存：
Peak Server:,峰值服务器：
Peak:,峰值：
Pending,待定
Pending Amount,待处理金额
Pending count updated from {0} to {1},待处理计数从 {0} 更新为 {1}
Pending Exposure,待曝光
Pending Invoices,待处理的发票
Pending Ratio,待处理比率
Pending Sales,待售
Pending sales: {0} | Cache usage: {1}%,待售：{0} |缓存使用率：{1}%
Pending Sync,待同步
Pending: {0},待处理：{0}
Pending: {0} | Synced: {1} | Draft: {2},待处理：{0} |已同步：{1} |草稿：{2}
Per Page,每页
Personal,个人
Personal preferences adjust the current cashier experience without changing the active POS route.,个人喜好调整当前的收银体验，而不改变活动的 POS 路线。
PIN confirmation does not match.,PIN 确认不匹配。
PIN must be 4 to 8 digits.,PIN 码必须为 4 至 8 位数字。
Please add at least one item.,请至少添加一项。
Please allow camera access to scan codes,请允许相机访问扫码
Please enter payment amount,请输入付款金额
Please fill all required fields,请填写所有必填字段
Please make a payment or select a payment,请付款或选择付款方式
Please request phone payment or use another payment method,请申请电话付款或使用其他付款方式
Please select a customer first,请先选择客户
Please select a party,请选择派对
Please select a party before reconciling.,请在和解前选择一方。
Please select a valid movement type.,请选择有效的移动类型。
Please select an invoice,请选择发票
Please select company before reconciling.,请在对账前选择公司。
Please set the customer's mobile number,请设置客户手机号码
Please try again or enter the item manually.,请重试或手动输入该项目。
Please verify the barcode or check the item's availability.,请验证条形码或检查商品的可用性。
Points,积分
Popup blocked. Please allow popups.,弹出窗口被阻止。请允许弹出窗口。
POS,销售点
POS controls and maintenance,POS 控制和维护
POS Expense is disabled for this POS Profile.,此 POS 配置文件禁用 POS 费用。
POS is running with limited offline prerequisites.,POS 正在运行，但离线先决条件有限。
POS Profile,POS简介
Position the QR code or barcode within the scanning area,将 QR 码或条形码放置在扫描区域内
Posting,发帖
Posting and Price List,发布和价目表
Posting Date,发布日期
Preparing background sync,准备后台同步
"Press OK to continue offline with a warning, or Cancel to retry.",按“确定”继续脱机并出现警告，或按“取消”重试。
Previous unit of measure,以前的计量单位
Price List,价目表
Price List Rate,价目表费率
Price list rate updated locally only,价目表费率仅在本地更新
Pricing & Discounts,定价和折扣
Pricing Rule,定价规则
Print,打印
Print Draft,打印草稿
Print Format (Invoice),打印格式（发票）
Print Format (Order),打印格式（订单）
Print invoice,打印发票
Print Purchase Invoice instead of PO,打印采购发票而不是 PO
Printer,打印机
Processed returns impacting the shift totals,处理后的退货会影响轮班总数
Processing Payment,处理付款
Processing payment entries for Invoice {0},处理发票 {0} 的付款条目
Profile,公司简介
Profiles,型材
Profit,利润
Profit: Invoice Item Estimate,利润：发票项目估算
Profit: Stock Ledger (COGS),利润：库存分类账 (COGS)
Profitability Report,盈利报告
Prorated return discount,按比例退货折扣
Purchase Amount,购买金额
Purchase Invoices,采购发票
Purchase Order created,已创建采购订单
Qty,数量
Qualified,合格
Quantity,数量
Quantity exceeds available stock,数量超过可用库存
Quick Actions,快速行动
Quotation {0} is Submitted,报价{0}已提交
Quotation submitted,报价已提交
QZ Tray connected.,QZ 托盘已连接。
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ 托盘被手动断开。按“连接”以再次启用它。
QZ Tray is not connected.,QZ 托盘未连接。
QZ Tray Setup,QZ 托盘设置
Rate,率
Rate adjusted to maximum allowed discount,费率调整至允许的最大折扣
Ready,准备好
Ready to resume,准备恢复
Ready!,准备好了！
Real-time POS insights for retail operations.,针对零售运营的实时 POS 洞察。
Rebuild Offline Data,重建离线数据
Receive,接收
Receive now,立即接收
Received,已收到
Received:,收到：
Recent Movement Entries,最近的运动条目
Recent updates about your invoices,有关您发票的最新更新
Recently Active Customers,最近活跃客户
Rechecking connection,重新检查连接
Reconcile payment methods and close shift,协调付款方式并关闭班次
Reconciling Payments,核对付款
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",在线时重新连接并打开此页面一次，然后离线刷新即可恢复。
Reconnect online to refresh cached offline data from the server.,重新在线连接以刷新服务器缓存的离线数据。
Recreate local offline prerequisites from scratch,从头开始重新创建本地离线先决条件
Recv:,接收：
Redeem,兑换
Redeem / Scan,兑换/扫描
Redeem Amount,兑换金额
Redeem Mode,兑换模式
Redeemed Amount,兑换金额
Redeemed credit cannot be greater than its total.,兑换的积分不能大于其总额。
Redemption and Totals,赎回及总数
Reference,参考
Refresh,刷新
Refresh Exchange Rate,刷新汇率
Refresh Offline Data,刷新离线数据
Refresh Printers,刷新打印机
Refund,退款
Release Notes,发行说明
Reload,重新加载
Reload customers,重新加载客户
Reload Items,重新加载物品
Reload Now,立即重新加载
Reload to apply the latest changes. Your current session will be refreshed.,重新加载以应用最新更改。您当前的会话将被刷新。
Reload Workflow,重新加载工作流程
Remarks,备注
Remarks are required.,需要备注。
Remove,删除
Remove barcode item,删除条形码项目
Remove cached data and reload the POS app,删除缓存数据并重新加载 POS 应用程序
Remove item,删除项目
Remove Offer,删除优惠
Reorder / Purchase Suggestions,重新订购/购买建议
Repair Candidate,维修候选者
Repair Change Allocation,维修变更分配
Repair requires an online connection,修复需要在线连接
Repaired,已修复
Repairing change allocation,修复变更分配
Repeat Customers,回头客
Repeat Rate,重复率
Request,请求
Request ID: {0},请求 ID：{0}
Request Payment,请求付款
Requested route: {0},请求的路线：{0}
Required columns cannot be hidden,无法隐藏必填列
Reset,重置
Reset item name,重置项目名称
Reset to Default,重置为默认值
Resource Health,资源健康
Restricted,受限
Restricted operational controls for supervisors only.,仅对主管进行有限的操作控制。
Retry,重试
Retry route,重试路线
Return,返回
Return Amount,退货金额
Return Count,返回计数
Return items must have negative quantities,退货商品数量必须为负数
Return total must be negative,返回总计必须为负数
Return Valid Until,返回有效期至
Return window passed,退货窗口已过
Return without Invoice,无发票退货
Returns,退货
Returns / Voids / Discounts,退货/无效/折扣
Returns by Currency,按货币分类的回报
Revenue,收入
Review shift totals before submitting the closing entry,在提交结账条目之前查看班次总计
Round Off,四舍五入
Rows,行数
Rows:,行：
Rule,规则
Sale,销售
Sales,销售
Sales Order {0} is Submitted,销售订单 {0} 已提交
Sales Person and Print,销售人员和印刷品
Sales Person not found,未找到销售人员
Sales processed,销售处理
Sales Return,销售退货
Sales Trend Report,销售趋势报告
Save,保存
Save & Clear,保存并清除
Save as POS Profile Default,另存为 POS 配置文件默认值
Save Settings,保存设置
Save the selected printer as the POS Profile default so it shows automatically on this setup.,将选定的打印机保存为 POS 配置文件默认值，以便它自动显示在此设置中。
Saved as draft because: {0},保存为草稿，因为：{0}
Saving...,正在保存...
Scale barcode detected. Quantity here is the number of labels to print.,检测到秤条形码。这里的数量是要打印的标签数量。
Scale barcode settings are not configured. Using item barcode only.,未配置秤条形码设置。仅使用商品条形码。
Scale template barcode is missing for this item/UOM. Using item barcode only.,该商品/计量单位缺少秤模板条形码。仅使用商品条形码。
Scan an existing card and top it up without leaving the payment flow.,扫描现有卡并充值，无需离开支付流程。
Scan Error,扫描错误
Scan or enter a gift card code to check balance or redeem.,扫描或输入礼品卡代码以检查余额或兑换。
Scan or paste the card code below.,扫描或粘贴下面的卡代码。
Scan QR Code/Barcode,扫描二维码/条形码
Scan with camera,用相机扫描
Scan-First Flow,扫描优先流程
Scanned Code:,扫描码：
Scanning for: {0},正在扫描：{0}
Scanning items,扫描物品
Scan-Ready,扫描就绪
Scope,适用范围
Scope: All Profiles,范围：所有配置文件
Scope: Current Profile,范围：当前简介
Scope: Specific Profile,范围：具体简介
Search,搜索
Search Account,搜索帐户
Search an invoice and continue the return flow without extra steps.,搜索发票并继续退货流程，无需额外步骤。
Search customer,搜寻客户
Search invoices or customers,搜索发票或客户
Search item,搜索项目
Search item / code,搜索项目/代码
Search items or barcode,搜索商品或条形码
Search Mpesa Payments,搜索 Mpesa 支付
Search return invoices or customers,搜索退货发票或客户
Search supplier,搜寻供应商
Search unpaid invoices or customers,搜索未付发票或客户
Secure context (HTTPS or localhost) is required for camera access.,相机访问需要安全上下文（HTTPS 或本地主机）。
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,摄像头访问所需的安全上下文 (HTTPS)。请使用HTTPS访问相机。
Select,选择
Select a cashier first.,首先选择收银员。
Select a customer,选择客户
Select a customer to use coupon,选择使用优惠券的顾客
Select a printer to use QZ silent printing.,选择打印机以使用 QZ 静音打印。
Select Batch,选择批次
Select Columns to Display,选择要显示的列
Select items to sell,选择要出售的商品
Select Payment,选择付款方式
Select Payment Account,选择付款账户
Select printer,选择打印机
Select Return Invoice,选择退货发票
Select S.O,选择 S.O.
Select Sales Orders,选择销售订单
Select the cashier who is taking over this terminal.,选择接管该终端的收银员。
Selected,已选择
Selected movement type is not allowed by POS Profile.,POS 配置文件不允许选择的移动类型。
Selected Payments,选定的付款方式
Sensitive actions kept away from quick taps.,敏感动作远离快速点击。
Serial,串行
Serial Numbers,序列号
Server CPU Usage:,服务器CPU使用率：
Server Health,服务器健康状况
Server Memory Usage:,服务器内存使用情况：
Server Metrics,服务器指标
Server Uptime:,服务器正常运行时间：
Service Charges,服务费
Session,会议
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,在用户表单中设置每个收银员 PIN，并在 POS 配置文件用户中保留分配的终端成员。
Settings,设置
Settings in this section update the POS workspace without changing the current route.,此部分中的设置会更新 POS 工作区，而不更改当前路线。
Setup complete!,设置完成！
Share,分享
Shared terminal,共享终端
Shift Closed Snapshot,班次关闭快照
Shift Overview,班次概览
Show,显示
Show cart on customer-facing screen,在面向客户的屏幕上显示购物车
Show last invoice rate,显示上次发票费率
Show rate info,显示费率信息
Show Repair Candidates,显示维修候选者
Show search tools,显示搜索工具
Show the active cart on a customer-facing screen,在面向客户的屏幕上显示活动购物车
Showing {0}-{1} of {2},显示第 {0}-{1} 个（共 {2} 个）
Showing 0 of 0,显示 0 个，共 0 个
Shows the distribution of invoices per currency,显示每种货币的发票分布
Sign out of the current POS session,退出当前 POS 会话
Size:,尺寸：
Skipped Payments,跳过付款
Skipping items without barcodes,跳过没有条形码的物品
Slow Moving,缓慢移动
Slow Moving Items,缓慢移动的物品
Slow Queries:,慢查询：
Sold,已售出
Source,来源
Source Cash Account (Optional Override),来源现金账户（可选覆盖）
Source Ex. Rate:,来源Ex。率：
Source Rate:,来源率：
Specific Profile,具体简介
Split Invoices,拆分发票
Staff / Cashier Performance Report,员工/出纳绩效报告
Status,状态
Stock,库存
Stock Information,股票信息
Stock is lower than requested,库存低于要求
Stock is lower than requested:\n{0},库存低于要求：\n{0}
Stock Movement Report,库存变动报告
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,库存更新：{0} 有 {1} 可用。添加 {2} 将使库存低于零。
Submit,提交
Submit & Print,提交并打印
Submit Deposit,提交存款
Submit Expense,提交费用
Submitted,已提交
Submitted Cash Movements,提交的现金变动
Submitted entries,提交的参赛作品
Successfully scanned:,扫描成功：
Suggested,建议
Suggested Qty,建议数量
Supervisor Access,主管访问
Supervisor permissions unlock issuance and reloads,主管权限解锁发放和重装
Supervisor Tools,主管工具
Supplier,供应商
Supplier and dates are required.,供应商和日期为必填项。
Supplier Invoices,供应商发票
Supplier is required.,供应商为必填项。
Supplier name is required,供应商名称为必填项
Supplier Payments,供应商付款
Supplier Purchase Summary,供应商采购汇总
Suppliers,供应商
Suppliers not found,未找到供应商
Switch Camera,切换相机
Switch Cashier,切换收银台
Switch the POS appearance theme,切换POS外观主题
Switched to:,切换到：
Sync All Invoices,同步所有发票
Sync Offline Cash Movements ({0}),同步离线现金流动 ({0})
Sync Offline Sales,同步线下销售
Synced {0} offline cash movement(s).,已同步 {0} 笔离线现金流动。
Syncing items in background,在后台同步项目
System / Diagnostics,系统/诊断
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",系统操作是低频维护控制，例如应用程序信息、支持诊断和会话控制。
System Information,系统信息
System Status,系统状态
Tables:,表格：
Tap the button below to redeem a gift card during checkout.,结帐时点击下面的按钮即可兑换礼品卡。
Target,目标
Target Ex. Rate:,目标Ex。率：
Target Rate:,目标率：
Tax,税
Tax / Charges Report,税费报告
Tax Heads,税头
Taxable Amount,应税金额
Tendered,已招标
Terminal,终端
Terminal & Devices,终端设备
Terminal locked,终端已锁定
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",终端工具会影响结账站、面向客户的显示器以及未来的打印机/设备控制。
Territory not found,未找到领土
The amount paid is not complete,支付金额不完整
The app stores data locally for offline use. This is called cache.,该应用程序将数据存储在本地以供离线使用。这称为缓存。
The invoice stayed in draft. Please review and submit it manually.,发票仍处于草稿状态。请手动审核并提交。
The maximum discount allowed is,允许的最大折扣为
The quantity for {0} has been adjusted to the maximum available stock.,{0} 的数量已调整为最大可用库存。
The system could not retrieve the item details. Please try again.,系统无法检索该项目的详细信息。请再试一次。
These invoices will be synced when connection is restored,连接恢复后，这些发票将同步
This action now opens inside the settings workspace.,此操作现在在设置工作区中打开。
This coupon already used !,此优惠券已使用！
This invoice does not need change-allocation repair,此发票不需要变更分配修复
This invoice is already repaired,此发票已修复
This is an item template. Please choose a variant.,这是一个项目模板。请选择一个变体。
this item,这个项目
This POS page could not be opened offline because its code was not cached on this terminal yet.,该 POS 页面无法离线打开，因为该终端上尚未缓存其代码。
This Serial Number {0} has already been added!,此序列号 {0} 已添加！
Threshold,阈值
Time,时间
Tip: Clear cache regularly to free up space and keep the app fast.,提示：定期清除缓存以释放空间并保持应用程序快速运行。
Tip: Close unused tabs or apps to reduce lag.,提示：关闭未使用的选项卡或应用程序以减少延迟。
Tip: Monitor slow queries and table size for optimal performance.,提示：监视慢速查询和表大小以获得最佳性能。
To Be Paid,待付款
To Date,迄今为止
Today,今天
Today Profit,今日盈利
Today Sales,今日销售
Toggle navigation drawer,切换抽屉式导航
Toggle Theme,切换主题
Tools,工具
Tools for customer-facing screens and terminal-specific actions.,用于面向客户的屏幕和终端特定操作的工具。
Top Brand,顶级品牌
Top Category,顶级类别
Top Charge Head,顶部充电头
Top Customers,顶级客户
Top Discount,最高折扣
Top Items by Location,按地点排列的热门商品
Top Margin,上边距
Top Pending,热门待处理
Top Profit Item,利润最高的项目
Top Return Items,热门退货商品
Top Sales by Cashier,按收银员列出的最高销售额
Top Supplier,顶级供应商
Top Suppliers by Spend,按支出排名的顶级供应商
Top Tables,热门表
Top Tax Head,最高税务主管
Top Up Amount,充值金额
Top Up Card,充值卡
Top Up Mode,充值模式
Top Variant,顶级变体
Total,总计
Total Amount,总额
Total Change,总体变化
Total Charges,总费用
Total In,总投入
Total Invoices,发票总数
Total Items,总项目
Total Mpesa,总MPesa
Total Out,全面出局
Total Payments,付款总额
Total Purchase,购买总额
Total Selected :,已选总数：
Total Size,总尺寸
Total Stock Qty,库存总量
Total:,总计：
Totals by Invoice Currency,按发票币种划分的总计
Track how much cash was handed back to customers,跟踪返还给客户的现金数量
"Track recent sales, collect unpaid balances, and reopen saved work",跟踪最近的销售、收集未付余额并重新打开保存的工作
Transaction ID,交易ID
Transfer,转乘
Try a different search term or clear the cart search.,尝试不同的搜索词或清除购物车搜索。
Try adjusting your search or filters,尝试调整您的搜索或过滤器
Try another source or refresh the list.,尝试其他来源或刷新列表。
Try changing the date range or status filter.,尝试更改日期范围或状态过滤器。
Type,类型
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,即使进行基本设置也无法访问相机。请检查您的相机权限和设备兼容性。
Unable to add offer item {0}. Please refresh and try again.,无法添加优惠项目 {0}。请刷新并重试。
Unable to add offer item. Please refresh and try again.,无法添加优惠项目。请刷新并重试。
Unable to add scanned item.,无法添加扫描项目。
Unable to create purchase order,无法创建采购订单
Unable to delete draft invoice,无法删除草稿发票
Unable to fetch documents,无法获取文档
Unable to fetch draft orders,无法获取草稿订单
Unable to fetch invoice history,无法获取发票历史记录
Unable to fetch M-Pesa payments,无法获取 M-Pesa 付款
Unable to fetch sales orders,无法获取销售订单
Unable to fetch unpaid invoices,无法获取未付款发票
Unable to generate scale barcode,无法生成秤条形码
Unable to issue gift card.,无法签发礼​​品卡。
Unable to load cashier PIN status.,无法加载收银员 PIN 状态。
Unable to load document,无法加载文档
Unable to load draft invoice,无法加载草稿发票
Unable to load gift card balance.,无法加载礼品卡余额。
Unable to load invoice details,无法加载发票详细信息
Unable to load parked order,无法加载停放订单
Unable to load the selected sales order,无法加载选定的销售订单
Unable to prepare document,无法准备文件
Unable to prepare return invoice,无法准备退货发票
Unable to print draft invoice,无法打印草稿发票
Unable to print submitted invoice,无法打印提交的发票
Unable to process document action,无法处理文档操作
Unable to repair change allocation,无法修复更改分配
Unable to save cashier PIN.,无法保存收银员 PIN 码。
Unable to save the rate to the backend price list,无法将费率保存到后端价目表
Unable to submit invoice,无法提交发票
Unable to submit the selected payment,无法提交所选付款
Unable to top up gift card.,无法为礼品卡充值。
Unable to verify cashier PIN.,无法验证收银员 PIN。
Unallocated,未分配
Unallocated:,未分配：
Unavailable,不可用
Unknown,未知
Unknown Item,未知物品
Unknown Warehouse,未知仓库
Unlock POS,解锁 POS
Unpaid,未付款
"Unselected payments stay unallocated first, then auto reconcile after submit.",未选择的付款首先保持未分配状态，然后在提交后自动对账。
UOM,墨尔本大学
UOM not found,未找到计量单位
Update available,可用更新
Update Customer,更新客户
Update PIN,更新个人识别码
Update Price List Rate,更新价目表费率
Updated,已更新
Updates and app info that stay out of the cashier flow.,不影响收银流程的更新和应用程序信息。
Updates automatically,自动更新
Usage,用途
Usage Stats,使用统计
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,使用 4 至 8 位 PIN 码进行收银台切换和终端解锁。
Use Cashier,使用收银台
Use date range to search for older invoices,使用日期范围搜索较旧的发票
"Use one field for manual code entry, barcode scans, or QR scans.",使用一个字段进行手动代码输入、条形码扫描或 QR 扫描。
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",使用一个工作流程即可进行余额检查、新发行和充值，无需离开 POS。
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",当缓存的必备数据需要刷新、重建或诊断检查时，请使用此部分。
Use Western numerals,使用西方数字
Used:,使用：
Using basic camera settings due to device limitations,由于设备限制，使用基本相机设置
Using cached customer balance,使用缓存的客户余额
Valid until,有效期至
Variance %,方差%
Variants,变体
Variant-wise,变体方面
Verify closing amounts for each payment method,验证每种付款方式的结算金额
View all,查看全部
View app information and current build details,查看应用程序信息和当前构建详细信息
View Data Diagnostics,查看数据诊断
View Details,查看详情
View invoice details,查看发票详细信息
View notifications,查看通知
View offline invoices,查看离线发票
View restricted POS insights,查看受限 POS 见解
Void Amount,无效金额
Void Count,无效计数
Voids,空隙
Waiting for cart items,等待购物车商品
Waiting for payment...,等待付款...
Walk-in Customer,上门顾客
Warehouse,仓库
Warning: High cache usage may affect performance.,警告：高速缓存使用率过高可能会影响性能。
Warning: High lag may indicate heavy processing or browser slowness.,警告：高延迟可能表示处理繁重或浏览器速度缓慢。
Week ?,星期 ？
Week-wise,每周
Weight (g),重量（克）
Weight (grams),重量（克）
We'll let you know if an invoice fails to submit,如果发票未能提交，我们会通知您
Workflow,工作流程
Write off amount cannot exceed the POS profile maximum of {0},注销金额不能超过 POS 配置文件最大值 {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,注销金额超出允许的限额 ({0})。请添加剩余金额的付款。
Yes,是的
"Yes, Cancel sale",是的，取消销售
"Yes, Close",是的，关闭
You are not allowed to print draft invoices,您不得打印草稿发票
You are offline. Add Payment will work again when the connection is restored.,您已离线。连接恢复后，“添加付款”将再次起作用。
You have no notifications right now,您现在没有任何通知
Your Cart,您的购物车
