POS Awesome,POS Úžasné
Item-wise Profitability,Ziskovosť podľa položiek
Journal Entry,Zápis do denníka
json,json
Just now,Práve teraz
Keep offline prerequisites healthy and recover stale data safely.,Udržujte podmienky offline v poriadku a bezpečne obnovujte zastarané údaje.
Labels,Štítky
"Language, theme, terminal tools, and session controls.","Jazyk, téma, terminálové nástroje a ovládacie prvky relácie."
Last,Posledný
Last 14 Days (Paid vs Pending),Posledných 14 dní (zaplatené vs. čakajúce)
Last 14 Days Activity,Aktivita za posledných 14 dní
Last 14 Days Gross Profit,Hrubý zisk za posledných 14 dní
Last 14 Days Purchases,Nákupy za posledných 14 dní
Last 14 Days Tax/Charges,Daň/poplatky za posledných 14 dní
Last sync:,Posledná synchronizácia:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Posledná synchronizácia: {0} | dobre: ​​{1} | neúspešné: {2} | preskočené: {3}
Latest entries for current shift,Najnovšie záznamy pre aktuálnu zmenu
Lead Time,Dodacia lehota
Limited,Obmedzené
lines,linky
List,Zoznam
Live Snapshot,Živá snímka
Load a POS profile and cashier first.,Najprv načítajte POS profil a pokladníka.
Load More Invoices,Načítať ďalšie faktúry
Load previously saved invoices,Načítajte predtým uložené faktúry
Load Sale,Predaj nákladu
Load Sales Invoice,Načítať predajnú faktúru
Loading app data...,Načítavajú sa údaje aplikácie...
Loading customer database...,Načítava sa databáza zákazníkov...
Loading customers...,Načítavajú sa zákazníci...
Loading database stats...,Načítava sa štatistika databázy...
Loading details...,Načítavajú sa podrobnosti...
Loading invoice history...,Načítava sa história faktúr...
Loading items...,Načítavajú sa položky...
Loading product catalog...,Načítava sa katalóg produktov...
Loading return invoices...,Načítavajú sa vrátené faktúry...
Loading server CPU/memory usage...,Načítava sa využitie CPU/pamäte servera...
Loading suppliers...,Načítavajú sa dodávatelia...
Loading unpaid invoices...,Načítavajú sa nezaplatené faktúry...
Loading view...,Načítava sa zobrazenie...
Loading...,Načítava sa...
Local storage is unavailable. Switching to online-only mode.,Miestny ukladací priestor nie je k dispozícii. Prepnutie do režimu iba online.
localStorage,localStorage
Location Performance,Výkon miesta
Locations,Miesta
Lock Screen,Uzamknúť obrazovku
Lookup Workflow,Pracovný postup vyhľadávania
Loss,Strata
Low,Nízka
Low Stock,Nízke zásoby
Low Stock Alerts,Upozornenia na nízke zásoby
Low Stock Items,Málo skladové položky
Low Stock Threshold,Nízka skladová hranica
Low Stock Total,Nízke zásoby Celkom
Lowest Margin,Najnižšia marža
Low-frequency maintenance and system details.,Nízkofrekvenčná údržba a detaily systému.
Loyalty Redeemed,Vernosť vykúpená
Loyalty Redemption,Vykúpenie za vernosť
Make New Payment,Uskutočniť novú platbu
Manage all,Spravovať všetko
Manage and synchronize your offline transactions,Spravujte a synchronizujte svoje offline transakcie
Manage Cashier PIN,Správa PIN pokladníka
"Manage offline tools, terminal controls, and maintenance from one workspace.","Spravujte offline nástroje, ovládacie prvky terminálov a údržbu z jedného pracovného priestoru."
manual,manuál
"Manual codes, barcode scans, and QR scans work in the same field","Manuálne kódy, skenovanie čiarových kódov a skenovanie QR fungujú v rovnakom poli"
Manual offline mode is enabled,Je povolený manuálny režim offline
Margin,Marža
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maximálne dostupné množstvo je {0}. Množstvo upravené podľa zásob.
Maximum discount amount for this offer item is {0}.,Maximálna výška zľavy pre túto položku ponuky je {0}.
Maximum discount percentage for this offer item is {0}%.,Maximálne percento zľavy pre túto položku ponuky je {0} %.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maximálne množstvo ponuky je {0}. Množstvo upravené na povolený limit.
Medium,Stredná
Method-wise Collections,Metodické zbierky
Minimum allowed rate for this offer item is {0}.,Minimálna povolená sadzba pre túto položku ponuky je {0}.
Minimum Qty,Minimálne množstvo
Mobile No,Mobil č
Mode,Režim
Mode of Payment,Spôsob platby
Month,mesiac
Month ?,mesiac?
Monthly Profit,Mesačný zisk
Monthly Sales,Mesačný predaj
Monthly Sales Summary,Mesačný súhrn predaja
Month-wise,Mesiacovo
Most Active Cashiers,Najaktívnejší pokladníci
Movement Type,Typ pohybu
Movements,Pohyby
Multi Currency,Viacnásobná mena
N/A,N/A
Name,Meno
Negative Stock,Záporný sklad
Negative Stock Items,Negatívne skladové položky
Negative values not allowed,Záporné hodnoty nie sú povolené
Net,Net
Net Qty,Čisté množstvo
Net Sales,Čistý predaj
Net Value,Čistá hodnota
Never,Nikdy
New changes are ready to load,Nové zmeny sú pripravené na načítanie
New Item,Nová položka
New Offer Available,K dispozícii nová ponuka
New PIN,Nový PIN
New rate,Nová sadzba
Next unit of measure,Ďalšia merná jednotka
No attribute data found.,Nenašli sa žiadne údaje o atribútoch.
No Barcode,Žiadny čiarový kód
No barcode found for UOM '{0}',Pre MJ '{0}' sa nenašiel žiadny čiarový kód
No branch/location data found.,Nenašli sa žiadne údaje o pobočke/mieste.
No brand data found.,Nenašli sa žiadne údaje o značke.
No cached gift card balance is available offline.,V režime offline nie je k dispozícii žiadny zostatok na darčekovej karte uložený vo vyrovnávacej pamäti.
No camera found on this device. Please ensure your device has a working camera.,"Na tomto zariadení sa nenašla žiadna kamera. Uistite sa, že vaše zariadenie má funkčný fotoaparát."
No capability warnings recorded yet.,Zatiaľ neboli zaznamenané žiadne upozornenia týkajúce sa spôsobilosti.
No cash expected for this shift.,Za túto zmenu sa neočakáva žiadna hotovosť.
No cash mode configured,Nie je nakonfigurovaný žiadny hotovostný režim
No cash movement type is allowed for this POS Profile.,Pre tento profil POS nie je povolený žiadny typ pohybu hotovosti.
No cashier PIN is set yet. Create one now.,Zatiaľ nie je nastavený PIN pokladníka. Vytvorte si ho teraz.
No cashier profiles are available for this POS profile yet.,Pre tento POS profil zatiaľ nie sú dostupné žiadne profily pokladníkov.
No cashier-wise discount/void/return activity.,Žiadna činnosť pri zľavách/neplatnosti/vrátení pokladne.
No category data found.,Nenašli sa žiadne údaje kategórie.
No category profitability data found.,Nenašli sa žiadne údaje o ziskovosti kategórie.
No change returned recorded for this shift.,Pre túto zmenu nebola zaznamenaná žiadna vrátená zmena.
No change-allocation invoices match the current filters.,Aktuálnym filtrom nevyhovujú žiadne faktúry za zmeny.
No charge head breakdown found.,Nenašla sa žiadna porucha nabíjacej hlavy.
No Company Selected,Nie je vybratá žiadna spoločnosť
No customer sales data found.,Nenašli sa žiadne údaje o predaji zákazníkov.
No day-wise discount/void/return trend.,Žiadny denný trend zliav/neplatnosti/vrátenia.
No day-wise payment data found.,Nenašli sa žiadne denné platobné údaje.
No day-wise profitability trend found.,Nebol nájdený žiadny denný trend ziskovosti.
No day-wise purchase data found.,Nenašli sa žiadne denné údaje o nákupe.
No day-wise sales trend found.,Nebol nájdený žiadny denný trend predaja.
No day-wise tax/charges trend found.,Nebol nájdený žiadny denný trend daní/poplatkov.
No dead stock items.,Žiadne mŕtve skladové položky.
No due date,Bez dátumu splatnosti
No exact repair match found for this invoice,Pre túto faktúru sa nenašla žiadna presná zhoda opravy
No hourly sales trend found for today.,Pre dnešok sa nenašiel žiadny hodinový trend predaja.
No invoice activity found.,Nenašla sa žiadna aktivita fakturácie.
No invoices found,Nenašli sa žiadne faktúry
No invoices found. Try different search criteria.,Nenašli sa žiadne faktúry. Skúste iné kritériá vyhľadávania.
No invoices recorded for this shift.,Pre túto zmenu nie sú zaznamenané žiadne faktúry.
No item profitability data found.,Nenašli sa žiadne údaje o ziskovosti položky.
No item sales data found for this period.,Pre toto obdobie sa nenašli žiadne údaje o predaji tovaru.
No items found,Nenašli sa žiadne položky
No items in cart,Žiadne položky v košíku
No items with barcodes to print,Žiadne položky s čiarovými kódmi na tlač
No location-wise top item data found.,Nenašli sa žiadne údaje o hlavnej položke z hľadiska polohy.
No low stock alerts right now.,Momentálne žiadne upozornenia na nízke zásoby.
No low stock items.,Žiadne nízko skladové položky.
No matching items in cart,Žiadne zodpovedajúce položky v košíku
No month-wise sales trend found.,Nebol nájdený žiadny mesačný trend predaja.
No negative stock items.,Žiadne negatívne skladové položky.
No notifications yet,Zatiaľ žiadne upozornenia
No offline cash movement synced.,Nesynchronizuje sa žiadny offline pohyb hotovosti.
No offline invoices pending synchronization,Žiadne offline faktúry čakajúce na synchronizáciu
No offline sync issues recorded yet.,Zatiaľ neboli zaznamenané žiadne problémy so synchronizáciou offline.
No out-of-stock items.,Žiadne vypredané položky.
No outstanding credit invoices for this shift.,Žiadne nevyrovnané kreditné faktúry za túto zmenu.
No payment collection data found.,Nenašli sa žiadne údaje o výbere platieb.
No payment rows available on this invoice.,Na tejto faktúre nie sú k dispozícii žiadne riadky platieb.
No payments registered for this shift.,Pre túto zmenu nie sú zaregistrované žiadne platby.
No pending balances in this period.,V tomto období nie sú žiadne nevybavené zostatky.
No pending offline invoices,Žiadne čakajúce offline faktúry
No Print Formats Found,Nenašli sa žiadne tlačové formáty
No profiles found for selected scope. Falling back to current profile failed.,Pre vybraný rozsah sa nenašli žiadne profily. Návrat k aktuálnemu profilu zlyhal.
No recent customer activity found.,Nenašla sa žiadna nedávna aktivita zákazníka.
No recent stock entries found.,Nenašli sa žiadne najnovšie položky akcií.
No records found,Nenašli sa žiadne záznamy
No reorder suggestions right now.,Momentálne žiadne návrhy na zmenu poradia.
No repeat customers in this period.,Žiadni opakovaní zákazníci v tomto období.
No response from server,Žiadna odpoveď zo servera
No return invoices found,Nenašli sa žiadne spätné faktúry
No return item trend found.,Nebol nájdený žiadny trend vrátenej položky.
No returnable items found for this invoice,Pre túto faktúru sa nenašli žiadne vratné položky
No returns were processed in this shift.,V tejto zmene neboli spracované žiadne vratky.
No risk activity found.,Nenašla sa žiadna riziková aktivita.
No sales activity found for this period.,Pre toto obdobie sa nenašla žiadna predajná aktivita.
No slow moving items.,Žiadne pomaly sa pohybujúce položky.
No staff sales activity found.,Nenašla sa žiadna aktivita predaja zamestnancov.
No stock movement for this period.,V tomto období nedošlo k žiadnemu pohybu zásob.
No submitted cash movements in this shift.,V tejto zmene neboli predložené žiadne peňažné pohyby.
No supplier purchases found in this month.,V tomto mesiaci sa nenašli žiadne nákupy dodávateľov.
No suppliers found for this period.,Pre toto obdobie sa nenašli žiadni dodávatelia.
No sync trigger has run yet in this session.,V tejto relácii sa ešte nespustil žiadny spúšťač synchronizácie.
No tax head breakdown found.,Nenašiel sa žiadny rozpis daňovej hlavy.
No top items found for this location.,Pre toto miesto sa nenašli žiadne najlepšie položky.
No unpaid invoices,Žiadne nezaplatené faktúry
No variant data found.,Nenašli sa žiadne údaje o variante.
No week-wise sales trend found.,Nebol nájdený žiadny týždňový trend predaja.
No.,Nie
Nobile Number,Nobile číslo
Not available,Nie je k dispozícii
Not checked,Nekontrolované
Not selected,Nevybraté
Not Set,Nie je nastavené
Notifications,Upozornenia
Offer,Ponuka
Offer Applied,Ponuka bola uplatnená
Offer criteria exceeded,Kritériá ponuky boli prekročené
Offer Item,Ponuka položky
Offer item unavailable,Položka ponuky je nedostupná
Offer Removed,Ponuka bola odstránená
Offer UOM cannot be changed,Ponuku MJ nemožno zmeniť
Offer?,Ponuka?
Offers,Ponuky
Offline,Offline
Offline & Sync,Offline a synchronizácia
Offline Capabilities,Možnosti offline
Offline data status refreshed,Stav údajov offline bol obnovený
Offline diagnostics,Offline diagnostika
Offline Invoices,Offline faktúry
Offline invoices status,Stav offline faktúr
Offline invoices synced,Offline faktúry boli synchronizované
Offline Queue: {0},Poradie offline: {0}
Offline rebuild guidance,Offline návod na prestavbu
Offline restore is unavailable for this session.,Obnovenie offline nie je pre túto reláciu k dispozícii.
Offline selling is available with degraded capabilities.,Offline predaj je dostupný so zníženými možnosťami.
Offline snapshot does not match the current POS state.,Snímka offline nezodpovedá aktuálnemu stavu POS.
Offline Status,Stav offline
"Offline, terminal, and system controls","Offline, terminál a ovládacie prvky systému"
OK,OK
Online,Online
Open actions menu,Otvorte ponuku akcií
Open balance to collect,Otvorený zostatok na výber
Open Customer Display,Otvorte zákaznícky displej
Open drawer,Otvorte zásuvku
Open invoices,Otvorené faktúry
Open Payments?,Otvoriť platby?
Open POS home,Otvorte domovskú stránku POS
Open this screen from POS Menu -> Open Customer Display.,Otvorte túto obrazovku z ponuky POS -> Otvoriť zákaznícky displej.
OpenCV image processing enabled - Enhanced barcode detection,Povolené spracovanie obrazu OpenCV – vylepšená detekcia čiarových kódov
OpenCV image processing unavailable on this device,Spracovanie obrázkov OpenCV v tomto zariadení nie je k dispozícii
OpenCV Off,OpenCV vypnuté
OpenCV On,OpenCV zapnuté
OpenCV processing disabled,Spracovanie OpenCV je vypnuté
Opening Amount,Počiatočná suma
Opening Cash,Otvorenie hotovosti
options,možnosti
Order,Objednať
Original,Originál
Other,Iné
Out,Vonku
Out of Stock,Vypredané
Out of Stock Items,Vypredané položky
Outstanding,Vynikajúci
Outstanding Credit by Currency,Nesplatený úver podľa meny
Overdue,Po splatnosti
Overpayment Change,Zmena preplatku
Overpayment change deducted: {0},Odpočítaná zmena preplatku: {0}
Packing List,Baliaci zoznam
Page Format,Formát stránky
Page unavailable offline,Stránka nie je dostupná offline
Paid,Zaplatené
Paid (orig):,Zaplatené (orig.):
Paid Amount,Zaplatená suma
Paid change cannot be greater than total change!,Platená zmena nemôže byť väčšia ako celková zmena!
Paid:,Zaplatené:
Parent Item,Nadradená položka
Partial,Čiastočné
Partly Paid,Čiastočne zaplatené
Party Account,Účet strany
Party Type,Typ strany
Pause terminal until next cashier,Pozastaviť terminál do ďalšieho pokladníka
PAY,ZAPLATIŤ
Payment,Platba
Payment Account,Platobný účet
Payment entries processed for Invoice {0},Platobné záznamy spracované pre faktúru {0}
Payment Entry Type,Typ zadania platby
Payment History,História platieb
Payment ID,ID platby
Payment Method Report,Správa o spôsobe platby
Payment Methods,Spôsoby platby
Payment of {0} received successfully.,Platba vo výške {0} bola úspešne prijatá.
Payment Progress,Priebeh platby
Payment Reconciliation,Odsúhlasenie platieb
Payment request status could not be retrieved. Please try again,Stav žiadosti o platbu sa nepodarilo získať. Skúste to znova
Payment Request took too long to respond. Please try requesting for payment again,Odpoveď na žiadosť o platbu trvala príliš dlho. Skúste znova požiadať o platbu
Payment saved offline,Platba uložená offline
Payment State,Štát platby
Payment Status,Stav platby
Payment submitted but print function could not be executed. Payment name not found.,"Platba bola odoslaná, ale funkciu tlače nebolo možné vykonať. Názov platby sa nenašiel."
Payment submitted.,Platba odoslaná.
Payment Summary,Súhrn platieb
Payments,Platby
Payments are not open. Do you want to open payments and submit?,Platby nie sú otvorené. Chcete otvoriť platby a odoslať?
Payments by Mode of Payment,Platby podľa spôsobu platby
PDF,PDF
Peak Hour,Špičková hodina
Peak Memory:,Špičková pamäť:
Peak Server:,Špičkový server:
Peak:,Vrchol:
Pending,Čaká na spracovanie
Pending Amount,Čakajúca suma
Pending count updated from {0} to {1},Počet čakajúcich na spracovanie sa aktualizoval z {0} na {1}
Pending Exposure,Čakajúca expozícia
Pending Invoices,Nevybavené faktúry
Pending Ratio,Čakajúci pomer
Pending Sales,Čakajúci predaj
Pending sales: {0} | Cache usage: {1}%,Čakajúce predaje: {0} | Využitie vyrovnávacej pamäte: {1} %
Pending Sync,Čaká sa na synchronizáciu
Pending: {0},Čaká sa: {0}
Pending: {0} | Synced: {1} | Draft: {2},Čaká: {0} | Synchronizované: {1} | Koncept: {2}
Per Page,Na stránku
Personal,Osobné
Personal preferences adjust the current cashier experience without changing the active POS route.,Osobné preferencie upravujú aktuálnu skúsenosť s pokladníkom bez zmeny aktívnej POS trasy.
PIN confirmation does not match.,Potvrdenie PIN sa nezhoduje.
PIN must be 4 to 8 digits.,PIN musí mať 4 až 8 číslic.
Please add at least one item.,Pridajte aspoň jednu položku.
Please allow camera access to scan codes,Povoľte prístup fotoaparátu na skenovanie kódov
Please enter payment amount,Zadajte sumu platby
Please fill all required fields,Vyplňte všetky povinné polia
Please make a payment or select a payment,Vykonajte platbu alebo vyberte platbu
Please request phone payment or use another payment method,Požiadajte o platbu telefonicky alebo použite iný spôsob platby
Please select a customer first,Najprv vyberte zákazníka
Please select a party,Vyberte stranu
Please select a party before reconciling.,Pred zmierením vyberte stranu.
Please select a valid movement type.,Vyberte platný typ pohybu.
Please select an invoice,Vyberte faktúru
Please select company before reconciling.,Pred zosúladením vyberte spoločnosť.
Please set the customer's mobile number,Nastavte mobilné číslo zákazníka
Please try again or enter the item manually.,Skúste to znova alebo zadajte položku ručne.
Please verify the barcode or check the item's availability.,Overte si čiarový kód alebo skontrolujte dostupnosť položky.
Points,Body
Popup blocked. Please allow popups.,Vyskakovacie okno je zablokované. Povoľte kontextové okná.
POS,POS
POS controls and maintenance,POS kontroly a údržba
POS Expense is disabled for this POS Profile.,Výdavky na POS sú pre tento profil POS zakázané.
POS is running with limited offline prerequisites.,POS beží s obmedzenými offline predpokladmi.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Umiestnite QR kód alebo čiarový kód do oblasti skenovania
Posting,Uverejnenie
Posting and Price List,Zaúčtovanie a cenník
Posting Date,Dátum odoslania
Preparing background sync,Pripravuje sa synchronizácia na pozadí
"Press OK to continue offline with a warning, or Cancel to retry.",Stlačením tlačidla OK pokračujte v režime offline s upozornením alebo stlačením tlačidla Zrušiť to skúste znova.
Previous unit of measure,Predchádzajúca merná jednotka
Price List,Cenník
Price List Rate,Cenník Sadzba
Price list rate updated locally only,Sadzba cenníka aktualizovaná iba lokálne
Pricing & Discounts,Ceny a zľavy
Pricing Rule,Cenové pravidlo
Print,Tlačiť
Print Draft,Vytlačiť koncept
Print Format (Invoice),Formát tlače (faktúra)
Print Format (Order),Formát tlače (objednávka)
Print invoice,Vytlačiť faktúru
Print Purchase Invoice instead of PO,Vytlačte nákupnú faktúru namiesto objednávky
Printer,Tlačiareň
Processed returns impacting the shift totals,Spracované výnosy ovplyvňujúce súčty zmien
Processing Payment,Spracovanie platby
Processing payment entries for Invoice {0},Spracúvajú sa platobné záznamy pre faktúru {0}
Profile,Profil
Profiles,Profily
Profit,Zisk
Profit: Invoice Item Estimate,Zisk: Odhad položky faktúry
Profit: Stock Ledger (COGS),Zisk: Skladová kniha (COGS)
Profitability Report,Správa o ziskovosti
Prorated return discount,Pomerná zľava na vrátenie tovaru
Purchase Amount,Čiastka nákupu
Purchase Invoices,Nákupné faktúry
Purchase Order created,Objednávka bola vytvorená
Qty,Množ
Qualified,Kvalifikovaný
Quantity,Množstvo
Quantity exceeds available stock,Množstvo prevyšuje dostupné zásoby
Quick Actions,Rýchle akcie
Quotation {0} is Submitted,Cenová ponuka {0} je odoslaná
Quotation submitted,Predložená cenová ponuka
QZ Tray connected.,Zásobník QZ pripojený.
QZ Tray is manually disconnected. Press Connect to enable it again.,"Zásobník QZ je ručne odpojený. Stlačte Pripojiť, aby ste ho znova povolili."
QZ Tray is not connected.,Zásobník QZ nie je pripojený.
QZ Tray Setup,Nastavenie zásobníka QZ
Rate,ohodnotiť
Rate adjusted to maximum allowed discount,Sadzba upravená na maximálnu povolenú zľavu
Ready,Pripravený
Ready to resume,Pripravené na pokračovanie
Ready!,Pripravený!
Real-time POS insights for retail operations.,Prehľady POS v reálnom čase pre maloobchodné operácie.
Rebuild Offline Data,Obnovte údaje offline
Receive,Prijať
Receive now,Prijať teraz
Received,Prijaté
Received:,Prijaté:
Recent Movement Entries,Nedávne záznamy o pohybe
Recent updates about your invoices,Najnovšie aktualizácie o vašich faktúrach
Recently Active Customers,Nedávno aktívni zákazníci
Rechecking connection,Prebieha kontrola pripojenia
Reconcile payment methods and close shift,Zosúladiť spôsoby platby a uzavrieť zmenu
Reconciling Payments,Zosúladenie platieb
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Znova pripojte a otvorte túto stránku, keď ste online, potom ju budete môcť obnoviť offline obnovením."
Reconnect online to refresh cached offline data from the server.,"Znova sa pripojte online, aby ste obnovili offline údaje uložené vo vyrovnávacej pamäti zo servera."
Recreate local offline prerequisites from scratch,Znovu vytvorte miestne offline predpoklady od začiatku
Recv:,Recv:
Redeem,Uplatniť
Redeem / Scan,Uplatniť / skenovať
Redeem Amount,Čiastka na uplatnenie
Redeem Mode,Režim uplatnenia
Redeemed Amount,Uplatnená suma
Redeemed credit cannot be greater than its total.,Uplatnený kredit nemôže byť vyšší ako jeho celková suma.
Redemption and Totals,Odkúpenie a súčty
Reference,Odkaz
Refresh,Obnoviť
Refresh Exchange Rate,Obnoviť výmenný kurz
Refresh Offline Data,Obnoviť údaje offline
Refresh Printers,Obnoviť tlačiarne
Refund,Vrátenie peňazí
Release Notes,Poznámky k vydaniu
Reload,Znovu načítať
Reload customers,Znovu načítať zákazníkov
Reload Items,Znova načítať položky
Reload Now,Znova načítať
Reload to apply the latest changes. Your current session will be refreshed.,"Ak chcete použiť najnovšie zmeny, znova načítajte. Vaša aktuálna relácia sa obnoví."
Reload Workflow,Znova načítať pracovný postup
Remarks,Poznámky
Remarks are required.,Poznámky sú povinné.
Remove,Odstrániť
Remove barcode item,Odstráňte položku čiarového kódu
Remove cached data and reload the POS app,Odstráňte údaje z vyrovnávacej pamäte a znova načítajte aplikáciu POS
Remove item,Odstrániť položku
Remove Offer,Odstrániť ponuku
Reorder / Purchase Suggestions,Znova objednať / Návrhy na nákup
Repair Candidate,Kandidát na opravu
Repair Change Allocation,Opravte alokáciu zmien
Repair requires an online connection,Oprava vyžaduje online pripojenie
Repaired,Opravené
Repairing change allocation,Oprava alokácie zmien
Repeat Customers,Opakovaní zákazníci
Repeat Rate,Miera opakovania
Request,Žiadosť
Request ID: {0},ID žiadosti: {0}
Request Payment,Požiadať o platbu
Requested route: {0},Požadovaná trasa: {0}
Required columns cannot be hidden,Požadované stĺpce nemožno skryť
Reset,Resetovať
Reset item name,Obnoviť názov položky
Reset to Default,Obnoviť predvolené
Resource Health,Zdravie zdrojov
Restricted,Obmedzené
Restricted operational controls for supervisors only.,Obmedzené prevádzkové kontroly len pre dozorcov.
Retry,Skúste to znova
Retry route,Skúste trasu znova
Return,Návrat
Return Amount,Suma vrátenia
Return Count,Počet návratov
Return items must have negative quantities,Vrátené položky musia mať záporné množstvá
Return total must be negative,Celková návratnosť musí byť záporná
Return Valid Until,Návrat platí do
Return window passed,Návratové okno prešlo
Return without Invoice,Vrátenie bez faktúry
Returns,Návraty
Returns / Voids / Discounts,Vrátenie tovaru / neplatnosť / zľavy
Returns by Currency,Vrátenie podľa meny
Revenue,Výnosy
Review shift totals before submitting the closing entry,Pred odoslaním záverečného záznamu skontrolujte súčty zmien
Round Off,Zaokrúhliť
Rows,Riadky
Rows:,Riadky:
Rule,Pravidlo
Sale,Predaj
Sales,Predaj
Sales Order {0} is Submitted,Objednávka odberateľa {0} je odoslaná
Sales Person and Print,Predajca a tlač
Sales Person not found,Predajca sa nenašiel
Sales processed,Predaj spracovaný
Sales Return,Návratnosť predaja
Sales Trend Report,Správa o trende predaja
Save,Uložiť
Save & Clear,Uložiť a vymazať
Save as POS Profile Default,Uložiť ako predvolený profil POS
Save Settings,Uložiť nastavenia
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Uložte vybratú tlačiareň ako predvolený profil POS, aby sa automaticky zobrazila v tomto nastavení."
Saved as draft because: {0},"Uložené ako koncept, pretože: {0}"
Saving...,Ukladá sa...
Scale barcode detected. Quantity here is the number of labels to print.,Bol rozpoznaný čiarový kód stupnice. Množstvo tu predstavuje počet štítkov na tlač.
Scale barcode settings are not configured. Using item barcode only.,Nastavenia čiarového kódu stupnice nie sú nakonfigurované. Iba pomocou čiarového kódu položky.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Pre túto položku/MJ chýba čiarový kód šablóny mierky. Iba pomocou čiarového kódu položky.
Scan an existing card and top it up without leaving the payment flow.,"Naskenujte existujúcu kartu a dobite ju bez toho, aby ste opustili platobný tok."
Scan Error,Chyba skenovania
Scan or enter a gift card code to check balance or redeem.,Naskenujte alebo zadajte kód darčekovej karty na kontrolu zostatku alebo uplatnenie.
Scan or paste the card code below.,Naskenujte alebo prilepte kód karty nižšie.
Scan QR Code/Barcode,Naskenujte QR kód/čiarový kód
Scan with camera,Skenovanie pomocou fotoaparátu
Scan-First Flow,Scan-First Flow
Scanned Code:,Naskenovaný kód:
Scanning for: {0},Vyhľadáva sa: {0}
Scanning items,Skenovanie položiek
Scan-Ready,Pripravené na skenovanie
Scope,Rozsah
Scope: All Profiles,Rozsah: Všetky profily
Scope: Current Profile,Rozsah: Aktuálny profil
Scope: Specific Profile,Rozsah: Špecifický profil
Search,Hľadať
Search Account,Hľadať účet
Search an invoice and continue the return flow without extra steps.,Vyhľadajte faktúru a pokračujte v vrátení bez ďalších krokov.
Search customer,Vyhľadajte zákazníka
Search invoices or customers,Vyhľadajte faktúry alebo zákazníkov
Search item,Vyhľadať položku
Search item / code,Vyhľadajte položku / kód
Search items or barcode,Vyhľadajte položky alebo čiarový kód
Search Mpesa Payments,Vyhľadajte Mpesa Payments
Search return invoices or customers,Vyhľadajte vrátené faktúry alebo zákazníkov
Search supplier,Vyhľadajte dodávateľa
Search unpaid invoices or customers,Vyhľadajte nezaplatené faktúry alebo zákazníkov
Secure context (HTTPS or localhost) is required for camera access.,Na prístup ku kamere sa vyžaduje zabezpečený kontext (HTTPS alebo localhost).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Na prístup k fotoaparátu sa vyžaduje zabezpečený kontext (HTTPS). Na prístup ku kamere použite protokol HTTPS.
Select,Vyberte
Select a cashier first.,Najprv vyberte pokladníka.
Select a customer,Vyberte zákazníka
Select a customer to use coupon,"Vyberte zákazníka, ktorý má použiť kupón"
Select a printer to use QZ silent printing.,Vyberte tlačiareň na použitie tichej tlače QZ.
Select Batch,Vyberte položku Dávka
Select Columns to Display,Vyberte položku Stĺpce na zobrazenie
Select items to sell,Vyberte položky na predaj
Select Payment,Vyberte položku Platba
Select Payment Account,Vyberte Platobný účet
Select printer,Vyberte tlačiareň
Select Return Invoice,Vyberte možnosť Vrátiť faktúru
Select S.O,Vyberte S.O
Select Sales Orders,Vyberte Predajné objednávky
Select the cashier who is taking over this terminal.,"Vyberte pokladníka, ktorý preberá tento terminál."
Selected,Vybrané
Selected movement type is not allowed by POS Profile.,Vybraný typ pohybu nie je povolený profilom POS.
Selected Payments,Vybrané platby
Sensitive actions kept away from quick taps.,Citlivé akcie sa vyhýbajú rýchlym klepnutiam.
Serial,Serial
Serial Numbers,Sériové čísla
Server CPU Usage:,Využitie CPU servera:
Server Health,Stav servera
Server Memory Usage:,Využitie pamäte servera:
Server Metrics,Metriky servera
Server Uptime:,Doba prevádzky servera:
Service Charges,Servisné poplatky
Session,Relácia
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Nastavte každý PIN pokladníka vo formulári Používateľ a ponechajte členov terminálu priradených v Profile POS Používateľ.
Settings,Nastavenia
Settings in this section update the POS workspace without changing the current route.,Nastavenia v tejto časti aktualizujú pracovný priestor POS bez zmeny aktuálnej trasy.
Setup complete!,Nastavenie je dokončené!
Share,zdieľať
Shared terminal,Zdieľaný terminál
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Prehľad posunu
Show,Zobraziť
Show cart on customer-facing screen,Zobraziť košík na obrazovke pred zákazníkom
Show last invoice rate,Zobraziť sadzbu poslednej faktúry
Show rate info,Zobraziť informácie o sadzbe
Show Repair Candidates,Zobraziť kandidátov na opravu
Show search tools,Zobraziť vyhľadávacie nástroje
Show the active cart on a customer-facing screen,Zobrazte aktívny košík na obrazovke pred zákazníkom
Showing {0}-{1} of {2},Zobrazuje sa {0}-{1} z {2}
Showing 0 of 0,Zobrazuje sa 0 z 0
Shows the distribution of invoices per currency,Zobrazuje rozdelenie faktúr podľa meny
Sign out of the current POS session,Odhláste sa z aktuálnej relácie POS
Size:,Veľkosť:
