POS Awesome,POS Galing
Invoices already past due date,Lampas na sa takdang petsa ang mga invoice
Invoices saved as POS Invoices,Na-save ang mga invoice bilang POS Invoice
Invoices still carrying balances,May mga balanse pa rin ang mga invoice
Issue Mode,Isyu Mode
Issue New Card,Mag-isyu ng Bagong Card
Issue Workflow,Isyu sa Daloy ng Trabaho
"Issue, top up, and check","Mag-isyu, mag-top up, at suriin"
Item,item
Item / Product Sales Report,Ulat sa Pagbebenta ng Item / Produkto
Item {0} added to invoice,Idinagdag ang item na {0} sa invoice
Item '{0}' has no barcode,Ang item na '{0}' ay walang barcode
Item Code,Item Code
Item created successfully,Matagumpay na nagawa ang item
Item is out of stock,Out of stock ang item
Item Name,Pangalan ng Item
Item not found,Hindi nahanap ang item
Item order updated,Na-update ang order ng item
Item Selector Settings,Mga Setting ng Tagapili ng Item
Items,Mga bagay
Items added in POS will appear here automatically.,Ang mga item na idinagdag sa POS ay awtomatikong lalabas dito.
Items added to invoice,Mga item na idinagdag sa invoice
Items per page,Mga item bawat pahina
Items Sold,Mga Nabentang Item
Items/Invoice,Mga Item/Invoice
Item-wise Profitability,Item-wise Profitability
Journal Entry,Entry sa Journal
json,json
Just now,Ngayon lang
Keep offline prerequisites healthy and recover stale data safely.,Panatilihing malusog ang mga kinakailangan sa offline at ligtas na mabawi ang lipas na data.
Labels,Mga label
"Language, theme, terminal tools, and session controls.","Wika, tema, terminal tool, at mga kontrol sa session."
Last,Huling
Last 14 Days (Paid vs Pending),Huling 14 na Araw (Bayad vs Nakabinbin)
Last 14 Days Activity,Huling 14 na Araw na Aktibidad
Last 14 Days Gross Profit,Huling 14 na Araw na Kabuuang Kita
Last 14 Days Purchases,Huling 14 na Araw na Pagbili
Last 14 Days Tax/Charges,Huling 14 na Araw na Buwis/Mga Singil
Last sync:,Huling pag-sync:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Huling pag-sync: {0} | ok: {1} | nabigo: {2} | nilaktawan: {3}
Latest entries for current shift,Pinakabagong mga entry para sa kasalukuyang shift
Lead Time,Lead Time
Limited,Limitado
lines,mga linya
List,Listahan
Live Snapshot,Live na Snapshot
Load a POS profile and cashier first.,Mag-load muna ng POS profile at cashier.
Load More Invoices,Mag-load ng Higit pang Mga Invoice
Load previously saved invoices,I-load ang mga dating na-save na invoice
Load Sale,I-load ang Sale
Load Sales Invoice,Mag-load ng Sales Invoice
Loading app data...,Nilo-load ang data ng app...
Loading customer database...,Nilo-load ang database ng customer...
Loading customers...,Nilo-load ang mga customer...
Loading database stats...,Nilo-load ang mga istatistika ng database...
Loading details...,Nilo-load ang mga detalye...
Loading invoice history...,Nilo-load ang history ng invoice...
Loading items...,Naglo-load ng mga item...
Loading product catalog...,Nilo-load ang katalogo ng produkto...
Loading return invoices...,Nilo-load ang mga return invoice...
Loading server CPU/memory usage...,Nilo-load ang server CPU/paggamit ng memory...
Loading suppliers...,Nilo-load ang mga supplier...
Loading unpaid invoices...,Nilo-load ang mga hindi nabayarang invoice...
Loading view...,Nilo-load ang view...
Loading...,Naglo-load...
Local storage is unavailable. Switching to online-only mode.,Hindi available ang lokal na storage. Lumipat sa online-only na mode.
localStorage,localStorage
Location Performance,Pagganap ng Lokasyon
Locations,Mga lokasyon
Lock Screen,Lock Screen
Lookup Workflow,Lookup Workflow
Loss,Pagkawala
Low,Mababa
Low Stock,Mababang Stock
Low Stock Alerts,Mga Alerto sa Mababang Stock
Low Stock Items,Mababang Stock na Item
Low Stock Threshold,Mababang Stock Threshold
Low Stock Total,Mababang Kabuuan ng Stock
Lowest Margin,Pinakamababang Margin
Low-frequency maintenance and system details.,Mababang dalas ng pagpapanatili at mga detalye ng system.
Loyalty Redeemed,Natubos ang Katapatan
Loyalty Redemption,Pagtubos ng Katapatan
Make New Payment,Gumawa ng Bagong Pagbabayad
Manage all,Pamahalaan ang lahat
Manage and synchronize your offline transactions,Pamahalaan at i-synchronize ang iyong mga offline na transaksyon
Manage Cashier PIN,Pamahalaan ang Cashier PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Pamahalaan ang mga offline na tool, mga kontrol sa terminal, at pagpapanatili mula sa isang workspace."
manual,manwal
"Manual codes, barcode scans, and QR scans work in the same field","Gumagana sa parehong field ang mga manual code, barcode scan, at QR scan"
Manual offline mode is enabled,Naka-enable ang manual offline mode
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Ang maximum na available na dami ay {0}. Inayos ang dami upang tumugma sa stock.
Maximum discount amount for this offer item is {0}.,Ang maximum na halaga ng diskwento para sa item ng alok na ito ay {0}.
Maximum discount percentage for this offer item is {0}%.,Ang maximum na porsyento ng diskwento para sa item ng alok na ito ay {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Ang maximum na dami ng alok ay {0}. Inayos ang dami sa pinapayagang limitasyon.
Medium,Katamtaman
Method-wise Collections,Mga Koleksyon na matalino sa pamamaraan
Minimum allowed rate for this offer item is {0}.,Ang minimum na pinapayagang rate para sa alok na item na ito ay {0}.
Minimum Qty,Minimum Qty
Mobile No,Mobile No
Mode,Mode
Mode of Payment,Paraan ng Pagbabayad
Month,buwan
Month ?,buwan ?
Monthly Profit,Buwanang Kita
Monthly Sales,Buwanang Benta
Monthly Sales Summary,Buwanang Buod ng Benta
Month-wise,Month-wise
Most Active Cashiers,Karamihan sa mga Aktibong Cashier
Movement Type,Uri ng Paggalaw
Movements,Mga galaw
Multi Currency,Multi Currency
N/A,N/A
Name,Pangalan
Negative Stock,Negatibong Stock
Negative Stock Items,Mga Negatibong Stock Item
Negative values not allowed,Hindi pinapayagan ang mga negatibong halaga
Net,Net
Net Qty,Net Qty
Net Sales,Net Benta
Net Value,Net Value
Never,Hindi kailanman
New changes are ready to load,Handa nang i-load ang mga bagong pagbabago
New Item,Bagong Item
New Offer Available,Available ang Bagong Alok
New PIN,Bagong PIN
New rate,Bagong rate
Next unit of measure,Susunod na yunit ng sukat
No attribute data found.,Walang nakitang data ng katangian.
No Barcode,Walang Barcode
No barcode found for UOM '{0}',Walang nakitang barcode para sa UOM '{0}'
No branch/location data found.,Walang nakitang data ng sangay/lokasyon.
No brand data found.,Walang nakitang data ng brand.
No cached gift card balance is available offline.,Walang naka-cache na balanse ng gift card na available offline.
No camera found on this device. Please ensure your device has a working camera.,Walang nakitang camera sa device na ito. Pakitiyak na may gumaganang camera ang iyong device.
No capability warnings recorded yet.,Wala pang naitalang babala sa kakayahan.
No cash expected for this shift.,Walang inaasahang pera para sa shift na ito.
No cash mode configured,Walang cash mode na na-configure
No cash movement type is allowed for this POS Profile.,Walang uri ng paggalaw ng pera ang pinapayagan para sa POS Profile na ito.
No cashier PIN is set yet. Create one now.,Wala pang nakatakdang cashier PIN. Lumikha ng isa ngayon.
No cashier profiles are available for this POS profile yet.,Wala pang mga profile ng cashier na magagamit para sa profile ng POS na ito.
No cashier-wise discount/void/return activity.,Walang cashier-wise discount/void/return activity.
No category data found.,Walang nakitang data ng kategorya.
No category profitability data found.,Walang nakitang data ng kakayahang kumita ng kategorya.
No change returned recorded for this shift.,Walang naibalik na pagbabago na naitala para sa shift na ito.
No change-allocation invoices match the current filters.,Walang mga invoice ng pagbabago-allocation na tumutugma sa kasalukuyang mga filter.
No charge head breakdown found.,Walang nakitang charge head breakdown.
No Company Selected,Walang Napiling Kumpanya
No customer sales data found.,Walang nakitang data ng benta ng customer.
No day-wise discount/void/return trend.,Walang day-wise discount/void/return trend.
No day-wise payment data found.,Walang nakitang data ng pagbabayad sa araw-araw.
No day-wise profitability trend found.,Walang nakitang pang-araw-araw na trend ng kakayahang kumita.
No day-wise purchase data found.,Walang nakitang data ng pagbili sa araw-araw.
No day-wise sales trend found.,Walang nakitang pang-araw-araw na kalakaran sa pagbebenta.
No day-wise tax/charges trend found.,Walang nakitang trend ng buwis/singil sa araw.
No dead stock items.,Walang dead stock items.
No due date,Walang takdang petsa
No exact repair match found for this invoice,Walang nakitang eksaktong tugma sa pag-aayos para sa invoice na ito
No hourly sales trend found for today.,Walang nakitang oras-oras na kalakaran sa pagbebenta para sa araw na ito.
No invoice activity found.,Walang nakitang aktibidad ng invoice.
No invoices found,Walang nakitang mga invoice
No invoices found. Try different search criteria.,Walang nakitang mga invoice. Subukan ang iba't ibang pamantayan sa paghahanap.
No invoices recorded for this shift.,Walang naitala na mga invoice para sa shift na ito.
No item profitability data found.,Walang nakitang data ng kakayahang kumita ng item.
No item sales data found for this period.,Walang nakitang data ng benta ng item para sa panahong ito.
No items found,Walang nakitang mga item
No items in cart,Walang mga item sa cart
No items with barcodes to print,Walang mga item na may mga barcode na ipi-print
No location-wise top item data found.,Walang nakitang data ng nangungunang item sa lokasyon.
No low stock alerts right now.,Walang mababang stock alert sa ngayon.
No low stock items.,Walang mababang stock na mga item.
No matching items in cart,Walang tumutugmang item sa cart
No month-wise sales trend found.,Walang nakitang month-wise sales trend.
No negative stock items.,Walang negatibong stock item.
No notifications yet,Wala pang notification
No offline cash movement synced.,Walang offline na paggalaw ng pera na naka-sync.
No offline invoices pending synchronization,Walang mga offline na invoice na nakabinbing pag-synchronize
No offline sync issues recorded yet.,Wala pang naitala na mga isyu sa offline na pag-sync.
No out-of-stock items.,Walang mga out-of-stock na item.
No outstanding credit invoices for this shift.,Walang natitirang credit invoice para sa shift na ito.
No payment collection data found.,Walang nakitang data ng pangongolekta ng pagbabayad.
No payment rows available on this invoice.,Walang available na mga hilera ng pagbabayad sa invoice na ito.
No payments registered for this shift.,Walang mga pagbabayad na nakarehistro para sa shift na ito.
No pending balances in this period.,Walang nakabinbing balanse sa panahong ito.
No pending offline invoices,Walang nakabinbing mga offline na invoice
No Print Formats Found,Walang Nahanap na Mga Format ng Pag-print
No profiles found for selected scope. Falling back to current profile failed.,Walang nakitang profile para sa napiling saklaw. Nabigo ang pagbabalik sa kasalukuyang profile.
No recent customer activity found.,Walang nakitang kamakailang aktibidad ng customer.
No recent stock entries found.,Walang nakitang kamakailang mga entry sa stock.
No records found,Walang nakitang mga tala
No reorder suggestions right now.,Walang mga suhestyon sa muling pagsasaayos sa ngayon.
No repeat customers in this period.,Walang umuulit na customer sa panahong ito.
No response from server,Walang tugon mula sa server
No return invoices found,Walang nakitang mga return invoice
No return item trend found.,Walang nakitang trend ng return item.
No returnable items found for this invoice,Walang nahanap na maibabalik na mga item para sa invoice na ito
No returns were processed in this shift.,Walang mga pagbabalik na naproseso sa shift na ito.
No risk activity found.,Walang nakitang aktibidad sa peligro.
No sales activity found for this period.,Walang nakitang aktibidad sa pagbebenta para sa panahong ito.
No slow moving items.,Walang mabagal na paggalaw ng mga item.
No staff sales activity found.,Walang nakitang aktibidad sa pagbebenta ng kawani.
No stock movement for this period.,Walang paggalaw ng stock para sa panahong ito.
No submitted cash movements in this shift.,Walang isinumiteng cash movement sa shift na ito.
No supplier purchases found in this month.,Walang nakitang mga pagbili ng supplier sa buwang ito.
No suppliers found for this period.,Walang nakitang mga supplier para sa panahong ito.
No sync trigger has run yet in this session.,Wala pang sync trigger na tumatakbo sa session na ito.
No tax head breakdown found.,Walang nakitang tax head breakdown.
No top items found for this location.,Walang nahanap na nangungunang mga item para sa lokasyong ito.
No unpaid invoices,Walang hindi bayad na mga invoice
No variant data found.,Walang nakitang data ng variant.
No week-wise sales trend found.,Walang nakitang week-wise trend ng benta.
No.,Hindi.
Nobile Number,Numero ng Nobile
Not available,Hindi available
Not checked,Hindi nasuri
Not selected,Hindi pinili
Not Set,Hindi Nakatakda
Notifications,Mga abiso
Offer,Alok
Offer Applied,Inilapat ang Alok
Offer criteria exceeded,Lumampas sa pamantayan ng alok
Offer Item,Item ng Alok
Offer item unavailable,Hindi available ang item ng alok
Offer Removed,Inalis ang Alok
Offer UOM cannot be changed,Hindi mababago ang alok na UOM
Offer?,Alok?
Offers,Mga alok
Offline,Offline
Offline & Sync,Offline at Sync
Offline Capabilities,Mga Kakayahang Offline
Offline data status refreshed,Na-refresh ang katayuan ng offline na data
Offline diagnostics,Mga offline na diagnostic
Offline Invoices,Mga Offline na Invoice
Offline invoices status,Katayuan ng mga offline na invoice
Offline invoices synced,Naka-sync ang mga offline na invoice
Offline Queue: {0},Offline na Queue: {0}
Offline rebuild guidance,Offline na gabay sa muling pagbuo
Offline restore is unavailable for this session.,Hindi available ang offline na pag-restore para sa session na ito.
Offline selling is available with degraded capabilities.,Available ang offline na pagbebenta na may mga mababang kakayahan.
Offline snapshot does not match the current POS state.,Ang offline na snapshot ay hindi tumutugma sa kasalukuyang estado ng POS.
Offline Status,Offline na Katayuan
"Offline, terminal, and system controls","Offline, terminal, at mga kontrol ng system"
OK,OK
Online,Online
Open actions menu,Buksan ang menu ng mga pagkilos
Open balance to collect,Buksan ang balanse upang mangolekta
Open Customer Display,Buksan ang Display ng Customer
Open drawer,Buksan ang drawer
Open invoices,Buksan ang mga invoice
Open Payments?,Buksan ang Mga Pagbabayad?
Open POS home,Buksan ang POS sa bahay
Open this screen from POS Menu -> Open Customer Display.,Buksan ang screen na ito mula sa POS Menu -> Open Customer Display.
OpenCV image processing enabled - Enhanced barcode detection,Pinagana ang pagproseso ng imahe ng OpenCV - Pinahusay na pagtukoy ng barcode
OpenCV image processing unavailable on this device,Hindi available ang OpenCV image processing sa device na ito
OpenCV Off,Naka-off ang OpenCV
OpenCV On,Naka-on ang OpenCV
OpenCV processing disabled,Hindi pinagana ang pagproseso ng OpenCV
Opening Amount,Pagbubukas ng Halaga
Opening Cash,Pagbubukas ng Cash
options,mga pagpipilian
Order,Umorder
Original,Orihinal
Other,Iba pa
Out,Out
Out of Stock,Out of Stock
Out of Stock Items,Out of Stock Items
Outstanding,Natitirang
Outstanding Credit by Currency,Natitirang Credit ayon sa Currency
Overdue,Overdue na
Overpayment Change,Pagbabago sa Sobra sa Bayad
Overpayment change deducted: {0},Ibinawas ang pagbabago sa sobrang bayad: {0}
Packing List,Listahan ng Pag-iimpake
Page Format,Format ng Pahina
Page unavailable offline,Hindi available ang page offline
Paid,Binayaran
Paid (orig):,Binayaran (original):
Paid Amount,Bayad na Halaga
Paid change cannot be greater than total change!,Ang bayad na pagbabago ay hindi maaaring mas malaki kaysa sa kabuuang pagbabago!
Paid:,binayaran:
Parent Item,Item ng Magulang
Partial,Bahagyang
Partly Paid,Bahagyang Binabayaran
Party Account,Party Account
Party Type,Uri ng Party
Pause terminal until next cashier,I-pause ang terminal hanggang sa susunod na cashier
PAY,MAGBAYAD
Payment,Pagbabayad
Payment Account,Account sa Pagbabayad
Payment entries processed for Invoice {0},Naproseso ang mga entry sa pagbabayad para sa Invoice {0}
Payment Entry Type,Uri ng Pagpasok ng Pagbabayad
Payment History,Kasaysayan ng Pagbabayad
Payment ID,Payment ID
Payment Method Report,Ulat ng Paraan ng Pagbabayad
Payment Methods,Mga Paraan ng Pagbabayad
Payment of {0} received successfully.,Matagumpay na natanggap ang pagbabayad ng {0}.
Payment Progress,Pag-unlad ng Pagbabayad
Payment Reconciliation,Pagkakasundo sa Pagbabayad
Payment request status could not be retrieved. Please try again,Hindi mabawi ang status ng kahilingan sa pagbabayad. Pakisubukang muli
Payment Request took too long to respond. Please try requesting for payment again,Masyadong matagal bago tumugon ang Kahilingan sa Pagbabayad. Pakisubukang humiling muli ng pagbabayad
Payment saved offline,Na-save offline ang pagbabayad
Payment State,Estado ng Pagbabayad
Payment Status,Katayuan ng Pagbabayad
Payment submitted but print function could not be executed. Payment name not found.,Naisumite ang pagbabayad ngunit hindi maisagawa ang pag-print ng function. Hindi nakita ang pangalan ng pagbabayad.
Payment submitted.,Naisumite ang bayad.
Payment Summary,Buod ng Pagbabayad
Payments,Mga pagbabayad
Payments are not open. Do you want to open payments and submit?,Hindi bukas ang mga pagbabayad. Gusto mo bang buksan ang mga pagbabayad at isumite?
Payments by Mode of Payment,Mga Pagbabayad sa Pamamaraan ng Pagbabayad
PDF,PDF
Peak Hour,Peak Hour
Peak Memory:,Peak Memory:
Peak Server:,Peak Server:
Peak:,Tuktok:
Pending,Nakabinbin
Pending Amount,Nakabinbing Halaga
Pending count updated from {0} to {1},Na-update ang nakabinbing bilang mula {0} hanggang {1}
Pending Exposure,Nakabinbing Exposure
Pending Invoices,Mga Nakabinbing Invoice
Pending Ratio,Nakabinbing Ratio
Pending Sales,Nakabinbing Benta
Pending sales: {0} | Cache usage: {1}%,Nakabinbing benta: {0} | Paggamit ng cache: {1}%
Pending Sync,Nakabinbing Pag-sync
Pending: {0},Nakabinbin: {0}
Pending: {0} | Synced: {1} | Draft: {2},Nakabinbin: {0} | Naka-sync: {1} | Draft: {2}
Per Page,Bawat Pahina
Personal,Personal
Personal preferences adjust the current cashier experience without changing the active POS route.,Inaayos ng mga personal na kagustuhan ang kasalukuyang karanasan sa cashier nang hindi binabago ang aktibong ruta ng POS.
PIN confirmation does not match.,Hindi tugma ang kumpirmasyon ng PIN.
PIN must be 4 to 8 digits.,Ang PIN ay dapat na 4 hanggang 8 digit.
Please add at least one item.,Mangyaring magdagdag ng hindi bababa sa isang item.
Please allow camera access to scan codes,Mangyaring payagan ang access ng camera upang mag-scan ng mga code
Please enter payment amount,Mangyaring ipasok ang halaga ng pagbabayad
Please fill all required fields,Mangyaring punan ang lahat ng kinakailangang mga patlang
Please make a payment or select a payment,Mangyaring magbayad o pumili ng pagbabayad
Please request phone payment or use another payment method,Mangyaring humiling ng pagbabayad sa telepono o gumamit ng ibang paraan ng pagbabayad
Please select a customer first,Mangyaring pumili muna ng isang customer
Please select a party,Mangyaring pumili ng isang partido
Please select a party before reconciling.,Mangyaring pumili ng isang partido bago makipagkasundo.
Please select a valid movement type.,Mangyaring pumili ng wastong uri ng paggalaw.
Please select an invoice,Mangyaring pumili ng invoice
Please select company before reconciling.,Mangyaring pumili ng kumpanya bago makipagkasundo.
Please set the customer's mobile number,Mangyaring itakda ang numero ng mobile ng customer
Please try again or enter the item manually.,Pakisubukang muli o manu-manong ilagay ang item.
Please verify the barcode or check the item's availability.,Paki-verify ang barcode o tingnan ang availability ng item.
Points,Mga puntos
Popup blocked. Please allow popups.,Na-block ang popup. Mangyaring payagan ang mga popup.
POS,POS
POS controls and maintenance,Mga kontrol at pagpapanatili ng POS
POS Expense is disabled for this POS Profile.,Ang POS Expense ay hindi pinagana para sa POS Profile na ito.
POS is running with limited offline prerequisites.,Gumagana ang POS na may limitadong mga kinakailangan sa offline.
POS Profile,Profile ng POS
Position the QR code or barcode within the scanning area,Iposisyon ang QR code o barcode sa loob ng lugar ng pag-scan
Posting,Pagpo-post
Posting and Price List,Pag-post at Listahan ng Presyo
Posting Date,Petsa ng Pag-post
Preparing background sync,Inihahanda ang pag-sync sa background
"Press OK to continue offline with a warning, or Cancel to retry.","Pindutin ang OK upang magpatuloy offline na may babala, o Kanselahin upang subukang muli."
Previous unit of measure,Nakaraang yunit ng sukat
Price List,Listahan ng Presyo
Price List Rate,Rate ng Listahan ng Presyo
Price list rate updated locally only,Ang rate ng listahan ng presyo ay na-update sa lokal lamang
Pricing & Discounts,Pagpepresyo at Mga Diskwento
Pricing Rule,Panuntunan sa Pagpepresyo
Print,Print
Print Draft,Print Draft
Print Format (Invoice),Format ng Pag-print (Invoice)
Print Format (Order),Print Format (Order)
Print invoice,I-print ang invoice
Print Purchase Invoice instead of PO,I-print ang Invoice ng Pagbili sa halip na PO
Printer,Printer
Processed returns impacting the shift totals,Mga naprosesong pagbabalik na nakakaapekto sa mga kabuuan ng shift
Processing Payment,Pinoproseso ang Pagbabayad
Processing payment entries for Invoice {0},Pinoproseso ang mga entry sa pagbabayad para sa Invoice {0}
Profile,Profile
Profiles,Mga profile
Profit,Kita
Profit: Invoice Item Estimate,Kita: Pagtantya ng Item ng Invoice
Profit: Stock Ledger (COGS),Kita: Stock Ledger (COGS)
Profitability Report,Ulat sa kakayahang kumita
Prorated return discount,Prorated na diskwento sa pagbabalik
Purchase Amount,Halaga ng Binili
Purchase Invoices,Bumili ng Mga Invoice
Purchase Order created,Nagawa ang Purchase Order
Qty,Qty
Qualified,Kwalipikado
Quantity,Dami
Quantity exceeds available stock,Ang dami ay lumampas sa available na stock
Quick Actions,Mabilis na Aksyon
Quotation {0} is Submitted,Ang panipi {0} ay isinumite
Quotation submitted,Naisumite ang panipi
QZ Tray connected.,Nakakonekta ang QZ Tray.
QZ Tray is manually disconnected. Press Connect to enable it again.,Ang QZ Tray ay manu-manong nadiskonekta. Pindutin ang Connect para paganahin itong muli.
QZ Tray is not connected.,Hindi nakakonekta ang QZ Tray.
QZ Tray Setup,Pag-setup ng QZ Tray
Rate,Rate
Rate adjusted to maximum allowed discount,Isinasaayos ang rate sa maximum na pinapayagang diskwento
Ready,handa na
Ready to resume,Handa nang ipagpatuloy
Ready!,handa na!
Real-time POS insights for retail operations.,Mga real-time na insight sa POS para sa mga retail na operasyon.
Rebuild Offline Data,Muling Buuin ang Offline na Data
Receive,Tumanggap
Receive now,Tumanggap ngayon
Received,Natanggap
Received:,Natanggap:
Recent Movement Entries,Mga Kamakailang Movement Entry
Recent updates about your invoices,Mga kamakailang update tungkol sa iyong mga invoice
Recently Active Customers,Mga Aktibong Customer kamakailan
Rechecking connection,Sinusuri muli ang koneksyon
Reconcile payment methods and close shift,I-reconcile ang mga paraan ng pagbabayad at isara ang shift
Reconciling Payments,Pagkakasundo sa mga Pagbabayad
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Muling kumonekta at buksan ang page na ito nang isang beses habang online, pagkatapos ay maibabalik ito ng mga offline na pag-refresh."
Reconnect online to refresh cached offline data from the server.,Kumonekta muli online upang i-refresh ang naka-cache na offline na data mula sa server.
Recreate local offline prerequisites from scratch,Muling likhain ang mga lokal na offline na kinakailangan mula sa simula
Recv:,Recv:
Redeem,Tubusin
Redeem / Scan,I-redeem / I-scan
Redeem Amount,I-redeem ang Halaga
Redeem Mode,I-redeem ang Mode
Redeemed Amount,Na-redeem na Halaga
Redeemed credit cannot be greater than its total.,Ang na-redeem na credit ay hindi maaaring mas malaki kaysa sa kabuuan nito.
Redemption and Totals,Pagtubos at Kabuuan
Reference,Sanggunian
Refresh,I-refresh
Refresh Exchange Rate,I-refresh ang Exchange Rate
Refresh Offline Data,I-refresh ang Offline na Data
Refresh Printers,I-refresh ang Mga Printer
Refund,Refund
Release Notes,Mga Tala sa Paglabas
Reload,I-reload
Reload customers,I-reload ang mga customer
Reload Items,I-reload ang Mga Item
Reload Now,I-reload Ngayon
Reload to apply the latest changes. Your current session will be refreshed.,I-reload upang ilapat ang mga pinakabagong pagbabago. Ire-refresh ang iyong kasalukuyang session.
Reload Workflow,I-reload ang Daloy ng Trabaho
Remarks,Remarks
Remarks are required.,Kinakailangan ang mga puna.
Remove,Alisin
Remove barcode item,Alisin ang barcode item
Remove cached data and reload the POS app,Alisin ang naka-cache na data at i-reload ang POS app
Remove item,Alisin ang item
Remove Offer,Alisin ang Alok
Reorder / Purchase Suggestions,Muling pagkakaayos / Mga Mungkahi sa Pagbili
Repair Candidate,Kandidato sa Pag-aayos
Repair Change Allocation,Ayusin ang Paglalaan ng Pagbabago
Repair requires an online connection,Ang pag-aayos ay nangangailangan ng online na koneksyon
Repaired,Inayos
Repairing change allocation,Pag-aayos ng alokasyon ng pagbabago
Repeat Customers,Ulitin ang mga Customer
Repeat Rate,Ulitin ang Rate
Request,Kahilingan
Request ID: {0},Request ID: {0}
Request Payment,Humiling ng Pagbabayad
Requested route: {0},Hiniling na ruta: {0}
Required columns cannot be hidden,Hindi maitatago ang mga kinakailangang column
Reset,I-reset
Reset item name,I-reset ang pangalan ng item
Reset to Default,I-reset sa Default
Resource Health,Resource Health
Restricted,Pinaghihigpitan
Restricted operational controls for supervisors only.,Mga pinaghihigpitang kontrol sa pagpapatakbo para sa mga superbisor lamang.
Retry,Subukan muli
Retry route,Subukang muli ang ruta
Return,Bumalik
Return Amount,Ibalik ang Halaga
Return Count,Bilang ng Pagbabalik
Return items must have negative quantities,Ang mga ibinalik na item ay dapat na may negatibong dami
Return total must be negative,Dapat na negatibo ang kabuuang ibinalik
Return Valid Until,Ibalik ang Wasto Hanggang
Return window passed,Lumipas ang window ng pagbalik
Return without Invoice,Bumalik nang walang Invoice
Returns,Nagbabalik
Returns / Voids / Discounts,Mga Pagbabalik / Voids / Mga Diskwento
Returns by Currency,Ibinabalik ayon sa Currency
Revenue,Kita
Review shift totals before submitting the closing entry,Suriin ang mga kabuuan ng shift bago isumite ang pagsasara ng entry
Round Off,Round Off
Rows,Mga hilera
Rows:,Mga hilera:
Rule,Panuntunan
Sale,Sale
Sales,Benta
Sales Order {0} is Submitted,Ang Sales Order {0} ay Isinumite
Sales Person and Print,Sales Person at Print
Sales Person not found,Hindi nahanap ang Sales Person
Sales processed,Naproseso ang mga benta
Sales Return,Pagbabalik ng Benta
Sales Trend Report,Ulat ng Trend ng Pagbebenta
Save,I-save
Save & Clear,I-save at I-clear
Save as POS Profile Default,I-save bilang POS Profile Default
Save Settings,I-save ang Mga Setting
Save the selected printer as the POS Profile default so it shows automatically on this setup.,I-save ang napiling printer bilang default na POS Profile upang awtomatiko itong magpakita sa setup na ito.
Saved as draft because: {0},Na-save bilang draft dahil: {0}
Saving...,Nagse-save...
Scale barcode detected. Quantity here is the number of labels to print.,Natukoy ang scale ng barcode. Ang dami dito ay ang bilang ng mga label na ipi-print.
Scale barcode settings are not configured. Using item barcode only.,Hindi naka-configure ang mga setting ng scale ng barcode. Gamit lang ang item barcode.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Nawawala ang barcode ng template ng scale para sa item/UOM na ito. Gamit lang ang item barcode.
Scan an existing card and top it up without leaving the payment flow.,Mag-scan ng umiiral nang card at itaas ito nang hindi umaalis sa daloy ng pagbabayad.
Scan Error,Error sa Pag-scan
Scan or enter a gift card code to check balance or redeem.,Mag-scan o maglagay ng code ng gift card para tingnan ang balanse o i-redeem.
Scan or paste the card code below.,I-scan o i-paste ang card code sa ibaba.
Scan QR Code/Barcode,I-scan ang QR Code/Barcode
Scan with camera,I-scan gamit ang camera
Scan-First Flow,Scan-Unang Daloy
Scanned Code:,Na-scan na Code:
Scanning for: {0},Nag-scan para sa: {0}
Scanning items,Pag-scan ng mga item
Scan-Ready,I-scan-Handa
Scope,Saklaw
Scope: All Profiles,Saklaw: Lahat ng Profile
Scope: Current Profile,Saklaw: Kasalukuyang Profile
Scope: Specific Profile,Saklaw: Tukoy na Profile
Search,Maghanap
Search Account,Maghanap ng Account
Search an invoice and continue the return flow without extra steps.,Maghanap ng invoice at ipagpatuloy ang daloy ng pagbabalik nang walang karagdagang hakbang.
Search customer,Maghanap ng customer
Search invoices or customers,Maghanap ng mga invoice o customer
Search item,Maghanap ng item
Search item / code,Maghanap ng item / code
Search items or barcode,Maghanap ng mga item o barcode
Search Mpesa Payments,Maghanap ng Mga Pagbabayad sa Mpesa
Search return invoices or customers,Maghanap ng mga return invoice o mga customer
Search supplier,Maghanap ng supplier
Search unpaid invoices or customers,Maghanap ng mga hindi nabayarang invoice o mga customer
Secure context (HTTPS or localhost) is required for camera access.,Ang secure na konteksto (HTTPS o localhost) ay kinakailangan para sa pag-access sa camera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Kinakailangan ang secure na konteksto (HTTPS) para sa pag-access sa camera. Mangyaring gamitin ang HTTPS upang ma-access ang camera.
Select,Pumili
Select a cashier first.,Pumili muna ng cashier.
Select a customer,Pumili ng customer
Select a customer to use coupon,Pumili ng customer na gagamiting kupon
Select a printer to use QZ silent printing.,Pumili ng printer na gagamitin ang QZ silent printing.
Select Batch,Piliin ang Batch
Select Columns to Display,Piliin ang Mga Column na Ipapakita
Select items to sell,Pumili ng mga bagay na ibebenta
Select Payment,Piliin ang Pagbabayad
