POS Awesome,พีเอส สุดเจ๋ง
Failed to reload invoice from server,โหลดใบแจ้งหนี้จากเซิร์ฟเวอร์ไม่สำเร็จ
Failed to submit cash movement,ไม่สามารถส่งการเคลื่อนย้ายเงินสด
Failed to sync offline cash movements,ไม่สามารถซิงค์การเคลื่อนไหวของเงินสดแบบออฟไลน์ได้
Fast cashier actions for active shifts.,การดำเนินการแคชเชียร์ที่รวดเร็วสำหรับกะที่ใช้งานอยู่
Fast Moving Items,สิ่งของที่เคลื่อนไหวเร็ว
Fees,ค่าธรรมเนียม
Fetch the latest offline prerequisite updates,รับการอัปเดตข้อกำหนดเบื้องต้นออฟไลน์ล่าสุด
Find a sales order quickly and load it into the current sale.,ค้นหาใบสั่งขายอย่างรวดเร็วและโหลดลงในการขายปัจจุบัน
Fixing payment amounts for return invoice...,แก้ไขจำนวนเงินที่ชำระสำหรับใบกำกับสินค้าคืน...
Flash Off,ปิดแฟลช
Flash On,เปิดแฟลช
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",สำหรับสินค้า 'ชุดผลิตภัณฑ์' คลังสินค้า หมายเลขประจำเครื่อง และหมายเลขแบทช์จะได้รับการพิจารณาจากตาราง 'รายการบรรจุภัณฑ์' หากคลังสินค้าและหมายเลขชุดงานเหมือนกันสำหรับสินค้าบรรจุภัณฑ์ทั้งหมดสำหรับสินค้า 'ชุดผลิตภัณฑ์' ใดๆ ก็สามารถป้อนค่าเหล่านั้นในตารางสินค้าหลักได้ ค่าจะถูกคัดลอกไปยังตาราง 'รายการบรรจุภัณฑ์'
Free,ฟรี
Free Qty,จำนวนฟรี
Frequency,ความถี่
from,จาก
From Date,จากวันที่
Fulfillment Details,รายละเอียดการเติมเต็ม
Full Name,ชื่อเต็ม
Gain,ได้รับ
Generate a fresh prepaid card and start it with an opening balance.,สร้างบัตรเติมเงินใหม่และเริ่มต้นด้วยยอดคงเหลือเปิดบัญชี
Generate and install the certificate to allow fully silent printing without trust prompts.,สร้างและติดตั้งใบรับรองเพื่อให้สามารถพิมพ์โดยสมบูรณ์โดยไม่ต้องแจ้งว่าเชื่อถือ
Generate Certificate,สร้างใบรับรอง
Generated scale barcode: {0},บาร์โค้ดมาตราส่วนที่สร้างขึ้น: {0}
Get Payments,รับการชำระเงิน
Gift Card,บัตรของขวัญ
Gift card amount must be greater than zero.,จำนวนบัตรของขวัญต้องมากกว่าศูนย์
Gift Card Code,รหัสบัตรของขวัญ
Gift card code is required for redemption,ต้องใช้รหัสบัตรของขวัญในการแลก
Gift card code is required.,ต้องระบุรหัสบัตรของขวัญ
Gift card issued successfully.,ออกบัตรของขวัญเรียบร้อยแล้ว
Gift card loaded successfully.,โหลดบัตรของขวัญเรียบร้อยแล้ว
Gift Card Management,การจัดการบัตรของขวัญ
Gift card payment,การชำระเงินด้วยบัตรของขวัญ
Gift card redemption requires an online connection,การแลกบัตรของขวัญต้องมีการเชื่อมต่อออนไลน์
Gift card topped up successfully.,เติมเงินบัตรของขวัญเรียบร้อยแล้ว
Gift Cards,บัตรของขวัญ
Go to Frappe Desk,ไปที่โต๊ะ Frappe
Grand Total,ผลรวมทั้งหมด
Gross Margin,อัตรากำไรขั้นต้น
Gross Profit,กำไรขั้นต้น
Gross Sales,ยอดขายรวม
Group not found,ไม่พบกลุ่ม
"Grouped controls for terminal, UI, and session settings.",การควบคุมแบบกลุ่มสำหรับการตั้งค่าเทอร์มินัล UI และเซสชัน
Grouped totals for each payment method and currency,ยอดรวมที่จัดกลุ่มสำหรับแต่ละวิธีการชำระเงินและสกุลเงิน
Hide,ซ่อน
Hide Gift Card,ซ่อนบัตรของขวัญ
Hide Non Essential Fields,ซ่อนฟิลด์ที่ไม่สำคัญ
Hide quantity decimals,ซ่อนทศนิยมของปริมาณ
Hide search tools,ซ่อนเครื่องมือค้นหา
Hide zero rated items,ซ่อนรายการที่ได้รับการจัดอันดับเป็นศูนย์
High,สูง
History,ประวัติศาสตร์
Hourly (Today),รายชั่วโมง (วันนี้)
How this section works,ส่วนนี้ทำงานอย่างไร
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",หากข้อมูลเก่ายังคงอยู่ ให้เปิดการตั้งค่า > ออฟไลน์และซิงค์ และเรียกใช้สร้างข้อมูลออฟไลน์ใหม่อีกครั้งขณะออนไลน์
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",หากคำเตือนยังคงอยู่ ให้เปิดการตั้งค่า > ออฟไลน์และการซิงค์ จากนั้นเรียกใช้รีเฟรชข้อมูลออฟไลน์หรือสร้างข้อมูลออฟไลน์ใหม่
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,นำเข้าใบรับรองลงใน QZ Tray และรีสตาร์ท QZ Tray บนเครื่อง POS แต่ละเครื่อง
In,ใน
In stock: {0},ในสต็อก: {0}
Include Batch / Serial,รวมแบทช์/ซีเรียล
Include Price,รวมราคา
Increase quantity,เพิ่มปริมาณ
IndexedDB,IndexedDB
Initial Amount,จำนวนเงินเริ่มต้น
Initialize your shift with opening balances,เริ่มต้นกะของคุณด้วยยอดดุลยกมา
Initializing application...,กำลังเริ่มต้นแอปพลิเคชัน...
"Inspect cache, sync, and prerequisite status",ตรวจสอบแคช การซิงค์ และสถานะข้อกำหนดเบื้องต้น
Installed Applications,แอพพลิเคชั่นที่ติดตั้ง
Insufficient stock:\n{0},สต็อกไม่เพียงพอ:\n{0}
Invalid rate,อัตราไม่ถูกต้อง
Inventory Status Report,รายงานสถานะสินค้าคงคลัง
Invoice,ใบแจ้งหนี้
Invoice {0} is Submitted,ส่งใบแจ้งหนี้ {0} แล้ว
Invoice {0} processed successfully,ประมวลผลใบแจ้งหนี้ {0} สำเร็จแล้ว
Invoice {0} submission failed,การส่งใบแจ้งหนี้ {0} ล้มเหลว
Invoice {0} was already submitted,ส่งใบแจ้งหนี้ {0} แล้ว
Invoice Adjustments,การปรับใบแจ้งหนี้
Invoice Change,การเปลี่ยนแปลงใบแจ้งหนี้
Invoice Details,รายละเอียดใบแจ้งหนี้
Invoice is still in draft after background submission.,ใบแจ้งหนี้ยังคงอยู่ในแบบร่างหลังจากส่งเบื้องหลัง
Invoice Items,รายการใบแจ้งหนี้
Invoice Management,การจัดการใบแจ้งหนี้
Invoice Mgmt,การจัดการใบแจ้งหนี้
Invoice saved offline,ใบแจ้งหนี้ที่บันทึกไว้แบบออฟไลน์
Invoice submission failed,การส่งใบแจ้งหนี้ล้มเหลว
Invoice Submitted,ส่งใบแจ้งหนี้แล้ว
"Invoice value settled by loyalty points, not cash collection",มูลค่าใบแจ้งหนี้จะชำระตามคะแนนสะสม ไม่ใช่การเรียกเก็บเงินเงินสด
Invoices,ใบแจ้งหนี้
Invoices already past due date,ใบแจ้งหนี้เลยวันครบกำหนดไปแล้ว
Invoices saved as POS Invoices,ใบแจ้งหนี้ที่บันทึกเป็นใบแจ้งหนี้ POS
Invoices still carrying balances,ใบแจ้งหนี้ยังคงมียอดคงเหลืออยู่
Issue Mode,โหมดปัญหา
Issue New Card,ออกบัตรใหม่
Issue Workflow,ปัญหาเวิร์กโฟลว์
"Issue, top up, and check",ออก เติมเงิน และตรวจสอบ
Item,รายการ
Item / Product Sales Report,รายงานการขายสินค้า/สินค้า
Item {0} added to invoice,เพิ่มรายการ {0} ลงในใบแจ้งหนี้แล้ว
Item '{0}' has no barcode,รายการ '{0}' ไม่มีบาร์โค้ด
Item Code,รหัสสินค้า
Item created successfully,สร้างรายการสำเร็จแล้ว
Item is out of stock,สินค้าหมดสต็อก
Item Name,ชื่อรายการ
Item not found,ไม่พบรายการ
Item order updated,อัพเดตรายการสั่งซื้อแล้ว
Item Selector Settings,การตั้งค่าตัวเลือกรายการ
Items,รายการ
Items added in POS will appear here automatically.,รายการที่เพิ่มใน POS จะปรากฏที่นี่โดยอัตโนมัติ
Items added to invoice,รายการที่เพิ่มลงในใบแจ้งหนี้
Items per page,รายการต่อหน้า
Items Sold,สินค้าที่ขายแล้ว
Items/Invoice,รายการ/ใบแจ้งหนี้
Item-wise Profitability,การทำกำไรตามรายการ
Journal Entry,รายการวารสาร
json,json.json
Just now,แค่ตอนนี้
Keep offline prerequisites healthy and recover stale data safely.,รักษาข้อกำหนดเบื้องต้นแบบออฟไลน์ให้เหมาะสมและกู้คืนข้อมูลเก่าได้อย่างปลอดภัย
Labels,ป้ายกำกับ
"Language, theme, terminal tools, and session controls.",ภาษา ธีม เครื่องมือเทอร์มินัล และการควบคุมเซสชัน
Last,สุดท้าย
Last 14 Days (Paid vs Pending),14 วันที่ผ่านมา (ชำระเงินแล้วและรอดำเนินการ)
Last 14 Days Activity,กิจกรรม 14 วันที่ผ่านมา
Last 14 Days Gross Profit,กำไรขั้นต้น 14 วันที่ผ่านมา
Last 14 Days Purchases,การซื้อในช่วง 14 วันที่ผ่านมา
Last 14 Days Tax/Charges,ภาษี/ค่าธรรมเนียม 14 วันล่าสุด
Last sync:,การซิงค์ครั้งล่าสุด:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},ซิงค์ครั้งล่าสุด: {0} | ตกลง: {1} | ล้มเหลว: {2} | ข้าม: {3}
Latest entries for current shift,รายการล่าสุดสำหรับการเปลี่ยนแปลงปัจจุบัน
Lead Time,เวลานำ
Limited,จำกัด
lines,เส้น
List,รายการ
Live Snapshot,ภาพรวมสด
Load a POS profile and cashier first.,โหลดโปรไฟล์ POS และแคชเชียร์ก่อน
Load More Invoices,โหลดใบแจ้งหนี้เพิ่มเติม
Load previously saved invoices,โหลดใบแจ้งหนี้ที่บันทึกไว้ก่อนหน้านี้
Load Sale,โหลดขาย
Load Sales Invoice,โหลดใบแจ้งหนี้การขาย
Loading app data...,กำลังโหลดข้อมูลแอป...
Loading customer database...,กำลังโหลดฐานข้อมูลลูกค้า...
Loading customers...,กำลังโหลดลูกค้า...
Loading database stats...,กำลังโหลดสถิติฐานข้อมูล...
Loading details...,กำลังโหลดรายละเอียด...
Loading invoice history...,กำลังโหลดประวัติใบแจ้งหนี้...
Loading items...,กำลังโหลดรายการ...
Loading product catalog...,กำลังโหลดแค็ตตาล็อกผลิตภัณฑ์...
Loading return invoices...,กำลังโหลดใบแจ้งหนี้การคืนสินค้า...
Loading server CPU/memory usage...,กำลังโหลดการใช้งาน CPU/หน่วยความจำของเซิร์ฟเวอร์...
Loading suppliers...,กำลังโหลดซัพพลายเออร์...
Loading unpaid invoices...,กำลังโหลดใบแจ้งหนี้ที่ยังไม่ได้ชำระ...
Loading view...,กำลังโหลดมุมมอง...
Loading...,กำลังโหลด...
Local storage is unavailable. Switching to online-only mode.,ที่เก็บข้อมูลในเครื่องไม่พร้อมใช้งาน เปลี่ยนเป็นโหมดออนไลน์เท่านั้น
localStorage,พื้นที่เก็บข้อมูลท้องถิ่น
Location Performance,ประสิทธิภาพสถานที่ตั้ง
Locations,สถานที่
Lock Screen,ล็อคหน้าจอ
Lookup Workflow,เวิร์กโฟลว์การค้นหา
Loss,การสูญเสีย
Low,ต่ำ
Low Stock,สต๊อกต่ำ
Low Stock Alerts,การแจ้งเตือนสต็อกต่ำ
Low Stock Items,รายการสต็อกต่ำ
Low Stock Threshold,เกณฑ์สต็อกต่ำ
Low Stock Total,ยอดรวมสต็อคต่ำ
Lowest Margin,อัตรากำไรขั้นต้นต่ำสุด
Low-frequency maintenance and system details.,การบำรุงรักษาความถี่ต่ำและรายละเอียดระบบ
Loyalty Redeemed,แลกความภักดีแล้ว
Loyalty Redemption,การไถ่ถอนความภักดี
Make New Payment,ชำระเงินใหม่
Manage all,จัดการทั้งหมด
Manage and synchronize your offline transactions,จัดการและซิงโครไนซ์ธุรกรรมออฟไลน์ของคุณ
Manage Cashier PIN,จัดการ PIN แคชเชียร์
"Manage offline tools, terminal controls, and maintenance from one workspace.",จัดการเครื่องมือออฟไลน์ การควบคุมเทอร์มินัล และการบำรุงรักษาจากพื้นที่ทำงานที่เดียว
manual,คู่มือ
"Manual codes, barcode scans, and QR scans work in the same field",รหัสแบบแมนนวล การสแกนบาร์โค้ด และการสแกน QR ทำงานในฟิลด์เดียวกัน
Manual offline mode is enabled,เปิดใช้งานโหมดออฟไลน์ด้วยตนเองแล้ว
Margin,ขอบ
Maximum available quantity is {0}. Quantity adjusted to match stock.,ปริมาณสูงสุดที่มีอยู่คือ {0} ปรับจำนวนให้ตรงกับสต๊อก
Maximum discount amount for this offer item is {0}.,จำนวนส่วนลดสูงสุดสำหรับรายการข้อเสนอนี้คือ {0}
Maximum discount percentage for this offer item is {0}%.,เปอร์เซ็นต์ส่วนลดสูงสุดสำหรับรายการข้อเสนอนี้คือ {0}%
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,จำนวนข้อเสนอสูงสุดคือ {0} ปริมาณที่ปรับตามขีดจำกัดที่อนุญาต
Medium,ปานกลาง
Method-wise Collections,คอลเลกชันที่ชาญฉลาด
Minimum allowed rate for this offer item is {0}.,อัตราขั้นต่ำที่อนุญาตสำหรับรายการข้อเสนอนี้คือ {0}
Minimum Qty,จำนวนขั้นต่ำ
Mobile No,เบอร์มือถือ
Mode,โหมด
Mode of Payment,โหมดการชำระเงิน
Month,เดือน
Month ?,เดือน ?
Monthly Profit,กำไรรายเดือน
Monthly Sales,ยอดขายรายเดือน
Monthly Sales Summary,สรุปยอดขายประจำเดือน
Month-wise,ต่อเดือน
Most Active Cashiers,พนักงานเก็บเงินที่ใช้งานมากที่สุด
Movement Type,ประเภทการเคลื่อนไหว
Movements,การเคลื่อนไหว
Multi Currency,หลายสกุลเงิน
N/A,ไม่มี
Name,ชื่อ
Negative Stock,หุ้นติดลบ
Negative Stock Items,รายการสต็อคติดลบ
Negative values not allowed,ไม่อนุญาตให้ใช้ค่าลบ
Net,สุทธิ
Net Qty,ปริมาณสุทธิ
Net Sales,ยอดขายสุทธิ
Net Value,มูลค่าสุทธิ
Never,ไม่เคย
New changes are ready to load,การเปลี่ยนแปลงใหม่พร้อมที่จะโหลดแล้ว
New Item,รายการใหม่
New Offer Available,มีข้อเสนอใหม่
New PIN,รหัส PIN ใหม่
New rate,อัตราใหม่
Next unit of measure,หน่วยวัดถัดไป
No attribute data found.,ไม่พบข้อมูลแอตทริบิวต์
No Barcode,ไม่มีบาร์โค้ด
No barcode found for UOM '{0}',ไม่พบบาร์โค้ดสำหรับ UOM '{0}'
No branch/location data found.,ไม่พบข้อมูลสาขา/ที่ตั้ง
No brand data found.,ไม่พบข้อมูลแบรนด์
No cached gift card balance is available offline.,ไม่มียอดคงเหลือในบัตรของขวัญที่เก็บไว้แบบออฟไลน์
No camera found on this device. Please ensure your device has a working camera.,ไม่พบกล้องในอุปกรณ์นี้ โปรดตรวจสอบให้แน่ใจว่าอุปกรณ์ของคุณมีกล้องที่ใช้งานได้
No capability warnings recorded yet.,ยังไม่มีการบันทึกคำเตือนเกี่ยวกับความสามารถ
No cash expected for this shift.,คาดว่าจะไม่มีเงินสดสำหรับการเปลี่ยนแปลงนี้
No cash mode configured,ไม่มีการกำหนดค่าโหมดเงินสด
No cash movement type is allowed for this POS Profile.,ไม่อนุญาตให้ใช้ประเภทการเคลื่อนย้ายเงินสดสำหรับโปรไฟล์ POS นี้
No cashier PIN is set yet. Create one now.,ยังไม่ได้ตั้ง PIN แคชเชียร์ สร้างหนึ่งตอนนี้
No cashier profiles are available for this POS profile yet.,ยังไม่มีโปรไฟล์แคชเชียร์สำหรับโปรไฟล์ POS นี้
No cashier-wise discount/void/return activity.,ไม่มีกิจกรรมส่วนลด/โมฆะ/คืนสินค้าตามแคชเชียร์
No category data found.,ไม่พบข้อมูลหมวดหมู่
No category profitability data found.,ไม่พบข้อมูลความสามารถในการทำกำไรของหมวดหมู่
No change returned recorded for this shift.,ไม่มีการบันทึกการเปลี่ยนแปลงที่ส่งคืนสำหรับการเปลี่ยนแปลงนี้
No change-allocation invoices match the current filters.,ไม่มีใบแจ้งหนี้การเปลี่ยนแปลงการจัดสรรที่ตรงกับตัวกรองปัจจุบัน
No charge head breakdown found.,ไม่พบความเสียหายของหัวชาร์จ
No Company Selected,ไม่มีบริษัทที่เลือก
No customer sales data found.,ไม่พบข้อมูลการขายของลูกค้า
No day-wise discount/void/return trend.,ไม่มีแนวโน้มส่วนลด/โมฆะ/คืนสินค้าตามวัน
No day-wise payment data found.,ไม่พบข้อมูลการชำระเงินแบบรายวัน
No day-wise profitability trend found.,ไม่พบแนวโน้มการทำกำไรแบบรายวัน
No day-wise purchase data found.,ไม่พบข้อมูลการซื้อแบบรายวัน
No day-wise sales trend found.,ไม่พบแนวโน้มการขายในแต่ละวัน
No day-wise tax/charges trend found.,ไม่พบแนวโน้มภาษี/ค่าธรรมเนียมรายวัน
No dead stock items.,ไม่มีสินค้าค้างสต็อก
No due date,ไม่มีวันครบกำหนด
No exact repair match found for this invoice,ไม่พบการจับคู่การซ่อมที่ตรงกันทุกประการสำหรับใบแจ้งหนี้นี้
No hourly sales trend found for today.,ไม่พบแนวโน้มยอดขายรายชั่วโมงสำหรับวันนี้
No invoice activity found.,ไม่พบกิจกรรมใบแจ้งหนี้
No invoices found,ไม่พบใบแจ้งหนี้
No invoices found. Try different search criteria.,ไม่พบใบแจ้งหนี้ ลองใช้เกณฑ์การค้นหาอื่น
No invoices recorded for this shift.,ไม่มีการบันทึกใบแจ้งหนี้สำหรับการเปลี่ยนแปลงนี้
No item profitability data found.,ไม่พบข้อมูลความสามารถในการทำกำไรของสินค้า
No item sales data found for this period.,ไม่พบข้อมูลการขายสินค้าในช่วงเวลานี้
No items found,ไม่พบรายการ
No items in cart,ไม่มีสินค้าในรถเข็น
No items with barcodes to print,ไม่มีรายการที่มีบาร์โค้ดที่จะพิมพ์
No location-wise top item data found.,ไม่พบข้อมูลรายการยอดนิยมตามตำแหน่ง
No low stock alerts right now.,ไม่มีการแจ้งเตือนสต็อกต่ำในขณะนี้
No low stock items.,ไม่มีสินค้าในสต็อกต่ำ
No matching items in cart,ไม่มีสินค้าที่ตรงกันในรถเข็น
No month-wise sales trend found.,ไม่พบแนวโน้มยอดขายในแต่ละเดือน
No negative stock items.,ไม่มีรายการสต็อกติดลบ
No notifications yet,ยังไม่มีการแจ้งเตือน
No offline cash movement synced.,ไม่มีการซิงค์การเคลื่อนไหวของเงินสดออฟไลน์
No offline invoices pending synchronization,ไม่มีใบแจ้งหนี้ออฟไลน์ที่รอการซิงโครไนซ์
No offline sync issues recorded yet.,ยังไม่มีการบันทึกปัญหาการซิงค์ออฟไลน์
No out-of-stock items.,ไม่มีสินค้าหมดสต็อก
No outstanding credit invoices for this shift.,ไม่มีใบแจ้งหนี้เครดิตคงค้างสำหรับการเปลี่ยนแปลงนี้
No payment collection data found.,ไม่พบข้อมูลการเรียกเก็บเงิน
No payment rows available on this invoice.,ไม่มีแถวการชำระเงินในใบแจ้งหนี้นี้
No payments registered for this shift.,ไม่มีการชำระเงินที่ลงทะเบียนสำหรับการเปลี่ยนแปลงนี้
No pending balances in this period.,ไม่มียอดค้างชำระในช่วงเวลานี้
No pending offline invoices,ไม่มีใบแจ้งหนี้ออฟไลน์ที่รอดำเนินการ
No Print Formats Found,ไม่พบรูปแบบการพิมพ์
No profiles found for selected scope. Falling back to current profile failed.,ไม่พบโปรไฟล์สำหรับขอบเขตที่เลือก การถอยกลับไปยังโปรไฟล์ปัจจุบันล้มเหลว
No recent customer activity found.,ไม่พบกิจกรรมของลูกค้าล่าสุด
No recent stock entries found.,ไม่พบรายการสต็อกล่าสุด
No records found,ไม่พบบันทึก
No reorder suggestions right now.,ไม่มีข้อเสนอแนะในการสั่งซื้อใหม่ในขณะนี้
No repeat customers in this period.,ช่วงนี้ไม่มีลูกค้าประจำ
No response from server,ไม่มีการตอบกลับจากเซิร์ฟเวอร์
No return invoices found,ไม่พบใบแจ้งหนี้การคืนสินค้า
No return item trend found.,ไม่พบแนวโน้มการคืนสินค้า
No returnable items found for this invoice,ไม่พบสินค้าที่สามารถคืนได้สำหรับใบแจ้งหนี้นี้
No returns were processed in this shift.,ไม่มีการดำเนินการคืนสินค้าในการเปลี่ยนแปลงนี้
No risk activity found.,ไม่พบกิจกรรมความเสี่ยง
No sales activity found for this period.,ไม่พบกิจกรรมการขายในช่วงเวลานี้
No slow moving items.,ไม่มีสิ่งของที่เคลื่อนไหวช้า
No staff sales activity found.,ไม่พบกิจกรรมการขายพนักงาน
No stock movement for this period.,ไม่มีการเคลื่อนไหวของหุ้นในช่วงนี้
No submitted cash movements in this shift.,ไม่มีการส่งการเคลื่อนไหวของเงินสดในกะนี้
No supplier purchases found in this month.,ไม่พบการซื้อของซัพพลายเออร์ในเดือนนี้
No suppliers found for this period.,ไม่พบซัพพลายเออร์ในช่วงเวลานี้
No sync trigger has run yet in this session.,ยังไม่มีทริกเกอร์การซิงค์ทำงานในเซสชันนี้
No tax head breakdown found.,ไม่พบรายละเอียดส่วนหัวของภาษี
No top items found for this location.,ไม่พบรายการยอดนิยมสำหรับสถานที่นี้
No unpaid invoices,ไม่มีใบแจ้งหนี้ที่ค้างชำระ
No variant data found.,ไม่พบข้อมูลรูปแบบต่างๆ
No week-wise sales trend found.,ไม่พบแนวโน้มยอดขายรายสัปดาห์
No.,ไม่
Nobile Number,เบอร์โนบิเล่
Not available,ไม่สามารถใช้ได้
Not checked,ไม่ได้ตรวจสอบ
Not selected,ไม่ได้เลือก
Not Set,ไม่ได้ตั้งค่า
Notifications,การแจ้งเตือน
Offer,ข้อเสนอ
Offer Applied,ใช้ข้อเสนอแล้ว
Offer criteria exceeded,เกินเกณฑ์ข้อเสนอ
Offer Item,เสนอรายการ
Offer item unavailable,รายการข้อเสนอไม่พร้อมใช้งาน
Offer Removed,ลบข้อเสนอแล้ว
Offer UOM cannot be changed,หน่วยข้อเสนอไม่สามารถเปลี่ยนแปลงได้
Offer?,ข้อเสนอ?
Offers,ข้อเสนอ
Offline,ออฟไลน์
Offline & Sync,ออฟไลน์และซิงค์
Offline Capabilities,ความสามารถแบบออฟไลน์
Offline data status refreshed,รีเฟรชสถานะข้อมูลออฟไลน์แล้ว
Offline diagnostics,การวินิจฉัยแบบออฟไลน์
Offline Invoices,ใบแจ้งหนี้ออฟไลน์
Offline invoices status,สถานะใบแจ้งหนี้แบบออฟไลน์
Offline invoices synced,ซิงค์ใบแจ้งหนี้ออฟไลน์แล้ว
Offline Queue: {0},คิวออฟไลน์: {0}
Offline rebuild guidance,คำแนะนำการสร้างใหม่ออฟไลน์
Offline restore is unavailable for this session.,การคืนค่าแบบออฟไลน์ไม่พร้อมใช้งานสำหรับเซสชันนี้
Offline selling is available with degraded capabilities.,การขายแบบออฟไลน์สามารถใช้ได้พร้อมกับความสามารถที่ลดลง
Offline snapshot does not match the current POS state.,สแนปช็อตแบบออฟไลน์ไม่ตรงกับสถานะ POS ปัจจุบัน
Offline Status,สถานะออฟไลน์
"Offline, terminal, and system controls",การควบคุมออฟไลน์ เทอร์มินัล และระบบ
OK,ตกลง
Online,ออนไลน์
Open actions menu,เปิดเมนูการดำเนินการ
Open balance to collect,เปิดยอดเพื่อสะสม
Open Customer Display,เปิดหน้าจอลูกค้า
Open drawer,เปิดลิ้นชัก
Open invoices,เปิดใบแจ้งหนี้
Open Payments?,เปิดการชำระเงิน?
Open POS home,เปิด POS ที่บ้าน
Open this screen from POS Menu -> Open Customer Display.,เปิดหน้าจอนี้จากเมนู POS -> เปิดหน้าจอลูกค้า
OpenCV image processing enabled - Enhanced barcode detection,เปิดใช้งานการประมวลผลภาพ OpenCV - การตรวจจับบาร์โค้ดที่ได้รับการปรับปรุง
OpenCV image processing unavailable on this device,การประมวลผลภาพ OpenCV ไม่พร้อมใช้งานบนอุปกรณ์นี้
OpenCV Off,ปิด OpenCV
OpenCV On,เปิด OpenCV
OpenCV processing disabled,การประมวลผล OpenCV ถูกปิดใช้งาน
Opening Amount,จำนวนการเปิด
Opening Cash,เปิดเงินสด
options,ตัวเลือก
Order,สั่งซื้อ
Original,ต้นฉบับ
Other,อื่นๆ
Out,ออก
Out of Stock,สินค้าหมด
Out of Stock Items,สินค้าหมดสต็อก
Outstanding,โดดเด่น
Outstanding Credit by Currency,เครดิตคงค้างตามสกุลเงิน
Overdue,เกินกำหนด
Overpayment Change,การเปลี่ยนแปลงการจ่ายเงินมากเกินไป
Overpayment change deducted: {0},การเปลี่ยนแปลงการชำระเงินส่วนเกินถูกหัก: {0}
Packing List,รายการบรรจุภัณฑ์
Page Format,รูปแบบหน้า
Page unavailable offline,เพจไม่พร้อมใช้งานแบบออฟไลน์
Paid,ชำระเงินแล้ว
Paid (orig):,ชำระเงินแล้ว (เดิม):
Paid Amount,จำนวนเงินที่ชำระ
Paid change cannot be greater than total change!,การเปลี่ยนแปลงที่ชำระเงินต้องไม่มากกว่าการเปลี่ยนแปลงทั้งหมด!
Paid:,ชำระเงินแล้ว:
Parent Item,รายการหลัก
Partial,บางส่วน
Partly Paid,ชำระแล้วบางส่วน
Party Account,บัญชีพรรค
Party Type,ประเภทปาร์ตี้
Pause terminal until next cashier,หยุดเครื่องเทอร์มินัลชั่วคราวจนกว่าแคชเชียร์คนถัดไป
PAY,จ่าย
Payment,การชำระเงิน
Payment Account,บัญชีการชำระเงิน
Payment entries processed for Invoice {0},รายการการชำระเงินที่ประมวลผลสำหรับใบแจ้งหนี้ {0}
Payment Entry Type,ประเภทรายการชำระเงิน
Payment History,ประวัติการชำระเงิน
Payment ID,รหัสการชำระเงิน
Payment Method Report,รายงานวิธีการชำระเงิน
Payment Methods,วิธีการชำระเงิน
Payment of {0} received successfully.,ได้รับการชำระเงินจำนวน {0} เรียบร้อยแล้ว
Payment Progress,ความคืบหน้าการชำระเงิน
Payment Reconciliation,การกระทบยอดการชำระเงิน
Payment request status could not be retrieved. Please try again,ไม่สามารถเรียกสถานะคำขอชำระเงินได้ โปรดลองอีกครั้ง
Payment Request took too long to respond. Please try requesting for payment again,คำขอชำระเงินใช้เวลาตอบกลับนานเกินไป โปรดลองขอชำระเงินอีกครั้ง
Payment saved offline,บันทึกการชำระเงินแบบออฟไลน์
Payment State,สถานะการชำระเงิน
Payment Status,สถานะการชำระเงิน
Payment submitted but print function could not be executed. Payment name not found.,ส่งการชำระเงินแล้ว แต่ไม่สามารถดำเนินการฟังก์ชันการพิมพ์ได้ ไม่พบชื่อการชำระเงิน
Payment submitted.,ส่งการชำระเงินแล้ว
Payment Summary,สรุปการชำระเงิน
Payments,การชำระเงิน
Payments are not open. Do you want to open payments and submit?,การชำระเงินไม่เปิด คุณต้องการเปิดการชำระเงินและส่งหรือไม่?
Payments by Mode of Payment,การชำระเงินตามรูปแบบการชำระเงิน
PDF,PDF
Peak Hour,ชั่วโมงเร่งด่วน
Peak Memory:,หน่วยความจำสูงสุด:
Peak Server:,เซิร์ฟเวอร์สูงสุด:
Peak:,จุดสูงสุด:
Pending,รอดำเนินการ
Pending Amount,จำนวนเงินที่รอดำเนินการ
Pending count updated from {0} to {1},จำนวนที่รอดำเนินการอัปเดตจาก {0} เป็น {1}
Pending Exposure,รอการพิจารณารับสาร
Pending Invoices,ใบแจ้งหนี้ที่รอดำเนินการ
Pending Ratio,อัตราส่วนรอดำเนินการ
Pending Sales,รอการขาย
Pending sales: {0} | Cache usage: {1}%,รอการขาย: {0} | การใช้แคช: {1}%
Pending Sync,รอการซิงค์
Pending: {0},รอดำเนินการ: {0}
Pending: {0} | Synced: {1} | Draft: {2},รอดำเนินการ: {0} | ซิงค์แล้ว: {1} | ร่าง: {2}
Per Page,ต่อหน้า
Personal,ส่วนตัว
