POS Awesome,POS Прекрасно
Lock Screen,Заклучување на екранот
Lookup Workflow,Работен тек на пребарување
Loss,Загуба
Low,Ниско
Low Stock,Ниска залиха
Low Stock Alerts,Известувања за ниски акции
Low Stock Items,Ставки со малку залихи
Low Stock Threshold,Низок праг на акции
Low Stock Total,Ниска залиха Вкупно
Lowest Margin,Најниска маржа
Low-frequency maintenance and system details.,Нискофреквентно одржување и детали за системот.
Loyalty Redeemed,Откупена лојалноста
Loyalty Redemption,Откуп на лојалност
Make New Payment,Направете ново плаќање
Manage all,Управувајте со сите
Manage and synchronize your offline transactions,Управувајте и синхронизирајте ги вашите офлајн трансакции
Manage Cashier PIN,Управувајте со ПИН-кодот на касиерот
"Manage offline tools, terminal controls, and maintenance from one workspace.","Управувајте со офлајн алатките, контролите на терминалот и одржувањето од еден работен простор."
manual,прирачник
"Manual codes, barcode scans, and QR scans work in the same field","Рачните кодови, скенирањето на баркодовите и QR скеновите работат во истото поле"
Manual offline mode is enabled,Овозможен е рачен офлајн режим
Margin,Маржа
Maximum available quantity is {0}. Quantity adjusted to match stock.,Максималната достапна количина е {0}. Количината е прилагодена за да одговара на залихите.
Maximum discount amount for this offer item is {0}.,Максималниот износ на попуст за оваа понуда е {0}.
Maximum discount percentage for this offer item is {0}%.,Максималниот процент на попуст за оваа понуда е {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Максималната количина на понуда е {0}. Количината е прилагодена на дозволената граница.
Medium,Средно
Method-wise Collections,Збирки според методот
Minimum allowed rate for this offer item is {0}.,Минималната дозволена стапка за оваа понуда е {0}.
Minimum Qty,Минимална количина
Mobile No,Мобилен бр
Mode,Режим
Mode of Payment,Начин на плаќање
Month,Месец
Month ?,Месец?
Monthly Profit,Месечен профит
Monthly Sales,Месечна продажба
Monthly Sales Summary,Резиме на месечна продажба
Month-wise,Месечно
Most Active Cashiers,Најактивни касиери
Movement Type,Тип на движење
Movements,Движења
Multi Currency,Мулти валута
N/A,N/A
Name,Име
Negative Stock,Негативни акции
Negative Stock Items,Негативни артикли
Negative values not allowed,Негативните вредности не се дозволени
Net,Нето
Net Qty,Нето Количина
Net Sales,Нето продажба
Net Value,Нето вредност
Never,Никогаш
New changes are ready to load,Новите промени се подготвени за вчитување
New Item,Нова ставка
New Offer Available,Достапна е нова понуда
New PIN,Нов ПИН
New rate,Нова стапка
Next unit of measure,Следна единица мерка
No attribute data found.,Не се пронајдени податоци за атрибутот.
No Barcode,Нема баркод
No barcode found for UOM '{0}',Не е пронајден бар-код за UOM „{0}“
No branch/location data found.,Не се пронајдени податоци за гранка/локација.
No brand data found.,Не се пронајдени податоци за брендот.
No cached gift card balance is available offline.,Нема кеширано салдо на картичката за подарок е достапно офлајн.
No camera found on this device. Please ensure your device has a working camera.,Не е пронајдена камера на овој уред. Проверете дали вашиот уред има работна камера.
No capability warnings recorded yet.,Сè уште нема снимени предупредувања за способност.
No cash expected for this shift.,Не се очекуваат пари за оваа смена.
No cash mode configured,Не е конфигуриран режим на готовина
No cash movement type is allowed for this POS Profile.,Не е дозволен тип на движење на готовина за овој POS-профил.
No cashier PIN is set yet. Create one now.,Сè уште не е поставен ПИН-код за каса. Направете еден сега.
No cashier profiles are available for this POS profile yet.,Сè уште нема достапни благајнички профили за овој POS-профил.
No cashier-wise discount/void/return activity.,Нема активност за попуст/неважење/враќање на каса.
No category data found.,Не се пронајдени податоци за категоријата.
No category profitability data found.,Не се пронајдени податоци за профитабилноста на категоријата.
No change returned recorded for this shift.,За оваа смена не е забележана вратена промена.
No change-allocation invoices match the current filters.,Ниту една фактура за распределба на промени не одговара на тековните филтри.
No charge head breakdown found.,Не е пронајден дефект на главата за полнење.
No Company Selected,Не е избрана компанија
No customer sales data found.,Не се пронајдени податоци за продажбата на клиентите.
No day-wise discount/void/return trend.,Нема дневен тренд на попуст/неважење/враќање.
No day-wise payment data found.,Не се пронајдени дневни податоци за плаќање.
No day-wise profitability trend found.,Не е пронајден дневен тренд на профитабилност.
No day-wise purchase data found.,Не се пронајдени дневни податоци за купување.
No day-wise sales trend found.,Не е пронајден дневен тренд на продажба.
No day-wise tax/charges trend found.,Не е пронајден дневен тренд на даноци/такси.
No dead stock items.,Нема мртви залихи.
No due date,Нема датум на доспевање
No exact repair match found for this invoice,Не е пронајдено точно совпаѓање за поправка за оваа фактура
No hourly sales trend found for today.,Не е пронајден тренд на продажба по час за денес.
No invoice activity found.,Не е пронајдена активност на фактура.
No invoices found,Не се пронајдени фактури
No invoices found. Try different search criteria.,Не се пронајдени фактури. Обидете се со различни критериуми за пребарување.
No invoices recorded for this shift.,Нема евидентирани фактури за оваа смена.
No item profitability data found.,Не се пронајдени податоци за профитабилноста на ставките.
No item sales data found for this period.,Не се пронајдени податоци за продажба на артикли за овој период.
No items found,Не се пронајдени ставки
No items in cart,Нема ставки во количката
No items with barcodes to print,Нема ставки со баркодови за печатење
No location-wise top item data found.,Не се пронајдени податоци за главни ставки според локацијата.
No low stock alerts right now.,Нема предупредувања за ниски акции во моментов.
No low stock items.,Нема артикли со ниски залихи.
No matching items in cart,Нема соодветни ставки во количката
No month-wise sales trend found.,Не е пронајден месечен тренд на продажба.
No negative stock items.,Нема негативни ставки за акции.
No notifications yet,Сè уште нема известувања
No offline cash movement synced.,Нема синхронизирано офлајн движење на готовина.
No offline invoices pending synchronization,Нема офлајн фактури во очекување на синхронизација
No offline sync issues recorded yet.,Сè уште нема снимени проблеми со офлајн синхронизацијата.
No out-of-stock items.,Нема артикли кои не се во залиха.
No outstanding credit invoices for this shift.,Нема неподмирени кредитни фактури за оваа смена.
No payment collection data found.,Не се пронајдени податоци за наплата.
No payment rows available on this invoice.,Нема достапни редови за плаќање на оваа фактура.
No payments registered for this shift.,Не се регистрирани плаќања за оваа смена.
No pending balances in this period.,Нема нерешени салда во овој период.
No pending offline invoices,Нема офлајн фактури што чекаат
No Print Formats Found,Не се пронајдени формати за печатење
No profiles found for selected scope. Falling back to current profile failed.,Не се пронајдени профили за избраниот опсег. Враќањето на тековниот профил не успеа.
No recent customer activity found.,Не е пронајдена неодамнешна активност на клиентите.
No recent stock entries found.,Не се пронајдени неодамнешни записи за акции.
No records found,Не се пронајдени записи
No reorder suggestions right now.,Нема предлози за пренарачување во моментов.
No repeat customers in this period.,Нема повторени клиенти во овој период.
No response from server,Нема одговор од серверот
No return invoices found,Не се пронајдени повратни фактури
No return item trend found.,Не е пронајден тренд на артикли за враќање.
No returnable items found for this invoice,Не се пронајдени повратни артикли за оваа фактура
No returns were processed in this shift.,Во оваа смена не беа обработени враќања.
No risk activity found.,Не е пронајдена ризична активност.
No sales activity found for this period.,Не е пронајдена продажна активност за овој период.
No slow moving items.,Нема предмети што се движат бавно.
No staff sales activity found.,Не е пронајдена активност за продажба на персоналот.
No stock movement for this period.,Нема движење на акциите за овој период.
No submitted cash movements in this shift.,Нема поднесени движења на готовина во оваа смена.
No supplier purchases found in this month.,Не се најдени набавки од добавувачи во овој месец.
No suppliers found for this period.,Не се најдени добавувачи за овој период.
No sync trigger has run yet in this session.,Ниту еден активирач за синхронизација сè уште не е активиран во оваа сесија.
No tax head breakdown found.,Не е пронајден дефект на даночната глава.
No top items found for this location.,Не се најдени топ ставки за оваа локација.
No unpaid invoices,Нема неплатени фактури
No variant data found.,Не се пронајдени податоци за варијанти.
No week-wise sales trend found.,Не е пронајден неделен тренд на продажба.
No.,бр.
Nobile Number,Нобилен број
Not available,Недостапно
Not checked,Не е проверено
Not selected,Не е избрано
Not Set,Не е поставено
Notifications,Известувања
Offer,Понуда
Offer Applied,Понудата е применета
Offer criteria exceeded,Критериумите на понудата се надминати
Offer Item,Ставка на понуда
Offer item unavailable,Ставката на понудата е недостапна
Offer Removed,Понудата е отстранета
Offer UOM cannot be changed,Понудата UOM не може да се промени
Offer?,Понуда?
Offers,Понуди
Offline,Офлајн
Offline & Sync,Офлајн и синхронизирај
Offline Capabilities,Офлајн способности
Offline data status refreshed,Офлајн статусот на податоци е освежен
Offline diagnostics,Офлајн дијагностика
Offline Invoices,Офлајн фактури
Offline invoices status,Статус на офлајн фактури
Offline invoices synced,Офлајн фактурите се синхронизирани
Offline Queue: {0},Офлајн редица: {0}
Offline rebuild guidance,Офлајн насоки за обнова
Offline restore is unavailable for this session.,Офлајн обновувањето е недостапно за оваа сесија.
Offline selling is available with degraded capabilities.,Офлајн продажбата е достапна со деградирани способности.
Offline snapshot does not match the current POS state.,Офлајн снимката не се совпаѓа со моменталната состојба на POS.
Offline Status,Офлајн статус
"Offline, terminal, and system controls","Офлајн, терминал и системски контроли"
OK,Во ред
Online,Онлајн
Open actions menu,Отворете го менито за дејства
Open balance to collect,Отворете салдо за собирање
Open Customer Display,Отворете го приказот на клиентите
Open drawer,Отворете ја фиоката
Open invoices,Отворете фактури
Open Payments?,Отвори плаќања?
Open POS home,Отворете го домот на ПОС
Open this screen from POS Menu -> Open Customer Display.,Отворете го овој екран од менито POS -> Отворете го приказот на клиентите.
OpenCV image processing enabled - Enhanced barcode detection,Овозможена е обработка на слика OpenCV - Подобрено откривање баркод
OpenCV image processing unavailable on this device,Обработката на слика OpenCV не е достапна на овој уред
OpenCV Off,OpenCV исклучено
OpenCV On,Вклучено OpenCV
OpenCV processing disabled,Обработката на OpenCV е оневозможена
Opening Amount,Износ за отворање
Opening Cash,Отворање готовина
options,опции
Order,Нарачајте
Original,Оригинален
Other,Друго
Out,Надвор
Out of Stock,Нема залиха
Out of Stock Items,Ставки без залиха
Outstanding,Извонредна
Outstanding Credit by Currency,Ненамирен кредит по валута
Overdue,Задоцнета
Overpayment Change,Промена на преплатување
Overpayment change deducted: {0},Одземена промена на преплатувањето: {0}
Packing List,Список за пакување
Page Format,Формат на страница
Page unavailable offline,Страницата е недостапна офлајн
Paid,Платено
Paid (orig):,Платено (потекло):
Paid Amount,Платен износ
Paid change cannot be greater than total change!,Платената промена не може да биде поголема од вкупната промена!
Paid:,Платено:
Parent Item,Родителска ставка
Partial,Делумно
Partly Paid,Делумно платено
Party Account,Партиска сметка
Party Type,Тип на забава
Pause terminal until next cashier,Паузирајте го терминалот до следната касиерка
PAY,ПЛАТИ
Payment,Плаќање
Payment Account,Сметка за плаќање
Payment entries processed for Invoice {0},Обработени записи за плаќање за фактура {0}
Payment Entry Type,Вид на запис за плаќање
Payment History,Историја на плаќање
Payment ID,ID за плаќање
Payment Method Report,Извештај за начинот на плаќање
Payment Methods,Начини на плаќање
Payment of {0} received successfully.,Плаќањето од {0} е успешно примено.
Payment Progress,Напредок на плаќање
Payment Reconciliation,Усогласување со плаќање
Payment request status could not be retrieved. Please try again,Статусот на барањето за плаќање не може да се врати. Ве молиме обидете се повторно
Payment Request took too long to respond. Please try requesting for payment again,Барањето за плаќање траеше премногу долго за да се одговори. Обидете се повторно да побарате плаќање
Payment saved offline,Плаќањето е зачувано офлајн
Payment State,Држава за плаќање
Payment Status,Статус на плаќање
Payment submitted but print function could not be executed. Payment name not found.,"Плаќањето е поднесено, но функцијата за печатење не може да се изврши. Името на плаќањето не е пронајдено."
Payment submitted.,Исплатата е поднесена.
Payment Summary,Резиме на плаќање
Payments,Плаќања
Payments are not open. Do you want to open payments and submit?,Плаќањата не се отворени. Дали сакате да отворите плаќања и да поднесете?
Payments by Mode of Payment,Плаќања по начин на плаќање
PDF,PDF
Peak Hour,Врвен час
Peak Memory:,Врвна меморија:
Peak Server:,Врвен сервер:
Peak:,Врв:
Pending,Во очекување
Pending Amount,Износ на чекање
Pending count updated from {0} to {1},Бројот на чекање е ажуриран од {0} до {1}
Pending Exposure,Изложеност во очекување
Pending Invoices,Фактури на чекање
Pending Ratio,Сооднос на чекање
Pending Sales,Во очекување на продажба
Pending sales: {0} | Cache usage: {1}%,Во очекување на продажба: {0} | Користење кеш: {1}%
Pending Sync,Синхронизација на чекање
Pending: {0},Во очекување: {0}
Pending: {0} | Synced: {1} | Draft: {2},Во очекување: {0} | Синхронизирано: {1} | Нацрт: {2}
Per Page,По страница
Personal,Лични
Personal preferences adjust the current cashier experience without changing the active POS route.,Личните преференци го прилагодуваат тековното искуство со касиерот без да ја менувате активната маршрута на ПОС.
PIN confirmation does not match.,Потврдата за PIN не се совпаѓа.
PIN must be 4 to 8 digits.,PIN-кодот мора да биде од 4 до 8 цифри.
Please add at least one item.,Ве молиме додадете барем една ставка.
Please allow camera access to scan codes,Дозволете пристап до камерата до кодовите за скенирање
Please enter payment amount,Внесете ја сумата за плаќање
Please fill all required fields,Ве молиме пополнете ги сите потребни полиња
Please make a payment or select a payment,Направете уплата или изберете исплата
Please request phone payment or use another payment method,Побарајте плаќање преку телефон или користете друг начин на плаќање
Please select a customer first,Прво изберете клиент
Please select a party,Изберете забава
Please select a party before reconciling.,Ве молиме изберете партија пред да се помирите.
Please select a valid movement type.,Изберете важечки тип на движење.
Please select an invoice,Изберете фактура
Please select company before reconciling.,Ве молиме изберете компанија пред да се усогласите.
Please set the customer's mobile number,Поставете го мобилниот број на клиентот
Please try again or enter the item manually.,Обидете се повторно или внесете ја ставката рачно.
Please verify the barcode or check the item's availability.,Ве молиме проверете го бар-кодот или проверете ја достапноста на ставката.
Points,Поени
Popup blocked. Please allow popups.,Скокачкиот прозорец е блокиран. Дозволете скокачки прозорци.
POS,ПОС
POS controls and maintenance,POS контроли и одржување
POS Expense is disabled for this POS Profile.,POS Expense е оневозможено за овој POS-профил.
POS is running with limited offline prerequisites.,POS работи со ограничени офлајн предуслови.
POS Profile,POS профил
Position the QR code or barcode within the scanning area,Поставете го QR-кодот или бар-кодот во областа за скенирање
Posting,Објавување
Posting and Price List,Објавување и ценовник
Posting Date,Датум на објавување
Preparing background sync,Се подготвува синхронизација во заднина
"Press OK to continue offline with a warning, or Cancel to retry.",Притиснете ОК за да продолжите офлајн со предупредување или Откажи за да се обидете повторно.
Previous unit of measure,Претходна единица мерка
Price List,Ценовник
Price List Rate,Ценовник Стапка
Price list rate updated locally only,Ценовникот се ажурира само локално
Pricing & Discounts,Цени и попусти
Pricing Rule,Правило за цени
Print,Печати
Print Draft,Печати нацрт
Print Format (Invoice),Формат за печатење (фактура)
Print Format (Order),Формат за печатење (нарачка)
Print invoice,Печати фактура
Print Purchase Invoice instead of PO,Отпечати фактура за набавка наместо ПО
Printer,Печатач
Processed returns impacting the shift totals,Обработените приноси кои влијаат на вкупните смени
Processing Payment,Обработка на плаќање
Processing payment entries for Invoice {0},Се обработуваат записи за плаќање за фактура {0}
Profile,Профил
Profiles,Профили
Profit,Профит
Profit: Invoice Item Estimate,Добивка: Проценка на ставка на фактура
Profit: Stock Ledger (COGS),Добивка: Акционерска книга (COGS)
Profitability Report,Извештај за профитабилност
Prorated return discount,Пропорционален попуст за враќање
Purchase Amount,Износ за купување
Purchase Invoices,Купување фактури
Purchase Order created,Создаден е налог за купување
Qty,Количина
Qualified,Квалификуван
Quantity,Количина
Quantity exceeds available stock,Количината ги надминува достапните залихи
Quick Actions,Брзи акции
Quotation {0} is Submitted,Цитат {0} е испратен
Quotation submitted,Поднесена понуда
QZ Tray connected.,Поврзан е QZ фиоката.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ фиоката е рачно исклучена. Притиснете Поврзи за да го овозможите повторно.
QZ Tray is not connected.,QZ фиоката не е поврзана.
QZ Tray Setup,Поставување на фиоката QZ
Rate,Оцени
Rate adjusted to maximum allowed discount,Стапката е прилагодена на максимално дозволениот попуст
Ready,Подготвени
Ready to resume,Подготвени за продолжување
Ready!,Подготвени!
Real-time POS insights for retail operations.,Увид во POS во реално време за малопродажни операции.
Rebuild Offline Data,Обнова на офлајн податоци
Receive,Примање
Receive now,Добијте сега
Received,Примено
Received:,Примено:
Recent Movement Entries,Неодамнешни записи за движење
Recent updates about your invoices,Неодамнешни ажурирања за вашите фактури
Recently Active Customers,Неодамна активни клиенти
Rechecking connection,Повторно се проверува врската
Reconcile payment methods and close shift,Усогласете ги начините на плаќање и затворете ја смената
Reconciling Payments,Усогласување на плаќањата
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Поврзете се повторно и отворете ја оваа страница еднаш додека сте онлајн, а потоа офлајн освежувањата ќе можат да ја обноват."
Reconnect online to refresh cached offline data from the server.,Поврзете се повторно онлајн за да ги освежите кешираните офлајн податоци од серверот.
Recreate local offline prerequisites from scratch,Повторно креирајте локални офлајн предуслови од нула
Recv:,Recv:
Redeem,Откупи
Redeem / Scan,Откупи / скенирајте
Redeem Amount,Откупете го износот
Redeem Mode,Откупи режим
Redeemed Amount,Откупена сума
Redeemed credit cannot be greater than its total.,Откупениот кредит не може да биде поголем од вкупниот износ.
Redemption and Totals,Откуп и вкупно
Reference,Референца
Refresh,Освежи
Refresh Exchange Rate,Освежи го девизниот курс
Refresh Offline Data,Освежете ги офлајн податоците
Refresh Printers,Освежете ги печатачите
Refund,Рефундирање
Release Notes,Белешки за издавање
Reload,Вчитај повторно
Reload customers,Повторно вчитајте клиенти
Reload Items,Вчитај повторно ставки
Reload Now,Вчитај повторно сега
Reload to apply the latest changes. Your current session will be refreshed.,Вчитајте повторно за да ги примените најновите промени. Вашата тековна сесија ќе биде освежена.
Reload Workflow,Вчитај повторно работен тек
Remarks,Забелешки
Remarks are required.,Потребни се забелешки.
Remove,Отстрани
Remove barcode item,Отстранете ја ставката од баркодот
Remove cached data and reload the POS app,Отстранете ги кешираните податоци и вчитајте ја повторно апликацијата ПОС
Remove item,Отстрани ставка
Remove Offer,Отстрани ја понудата
Reorder / Purchase Suggestions,Предлози за пренарачување / купување
Repair Candidate,Кандидат за поправка
Repair Change Allocation,Поправка на распределба на промени
Repair requires an online connection,За поправка е потребна онлајн врска
Repaired,Поправен
Repairing change allocation,Поправка на распределбата на промените
Repeat Customers,Повторни клиенти
Repeat Rate,Стапка на повторување
Request,Барање
Request ID: {0},ID на барање: {0}
Request Payment,Побарајте плаќање
Requested route: {0},Барана рута: {0}
Required columns cannot be hidden,Задолжителните колони не можат да се сокријат
Reset,Ресетирај
Reset item name,Ресетирајте го името на ставката
Reset to Default,Ресетирање на стандардно
Resource Health,Здравје на ресурсите
Restricted,Ограничено
Restricted operational controls for supervisors only.,Ограничени оперативни контроли само за супервизори.
Retry,Обидете се повторно
Retry route,Обидете се повторно со рутата
Return,Врати се
Return Amount,Износ за враќање
Return Count,Враќање брои
Return items must have negative quantities,Повратните артикли мора да имаат негативни количини
Return total must be negative,Вкупниот износ на враќање мора да биде негативен
Return Valid Until,Враќање Важи до
Return window passed,Прозорецот за враќање помина
Return without Invoice,Враќање без фактура
Returns,Се враќа
Returns / Voids / Discounts,Враќање / Празни / Попусти
Returns by Currency,Се враќа по валута
Revenue,Приходи
Review shift totals before submitting the closing entry,Прегледајте ги вкупните смени пред да го поднесете записот за затворање
Round Off,Заокружи
Rows,Редови
Rows:,Редови:
Rule,Правило
Sale,Продажба
Sales,Продажба
Sales Order {0} is Submitted,Нарачката за продажба {0} е испратена
Sales Person and Print,Продавач и печатење
Sales Person not found,Продавачот не е пронајден
Sales processed,Продажбата обработена
Sales Return,Поврат на продажба
Sales Trend Report,Извештај за тренд на продажба
Save,Зачувај
Save & Clear,Зачувај и исчисти
Save as POS Profile Default,Зачувај како стандарден профил на POS
Save Settings,Зачувај ги поставките
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Зачувајте го избраниот печатач како стандарден POS Profile за да се прикажува автоматски на ова поставување.
Saved as draft because: {0},Зачувано како нацрт затоа што: {0}
Saving...,Се зачувува...
Scale barcode detected. Quantity here is the number of labels to print.,Откриен е баркод за скала. Количината овде е бројот на етикети за печатење.
Scale barcode settings are not configured. Using item barcode only.,Поставките за баркод за скала не се конфигурирани. Користење само баркод на ставка.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Недостасува баркод за шаблон за скала за оваа ставка/UOM. Користење само баркод на ставка.
Scan an existing card and top it up without leaving the payment flow.,Скенирајте постоечка картичка и дополнете ја без да го напуштите протокот на плаќање.
Scan Error,Грешка во скенирањето
Scan or enter a gift card code to check balance or redeem.,Скенирајте или внесете го кодот на картичката за подарок за да го проверите салдото или да го откупите.
Scan or paste the card code below.,Скенирајте или залепете го кодот на картичката подолу.
Scan QR Code/Barcode,Скенирајте QR код/баркод
Scan with camera,Скенирајте со камера
Scan-First Flow,Скенирање-Прв тек
Scanned Code:,Скениран код:
Scanning for: {0},Скенирање за: {0}
Scanning items,Скенирање ставки
Scan-Ready,Подготвен за скенирање
Scope,Опсег
Scope: All Profiles,Опсег: Сите профили
Scope: Current Profile,Опсег: Тековен профил
Scope: Specific Profile,Опсег: Специфичен профил
Search,Пребарување
Search Account,Пребарајте сметка
Search an invoice and continue the return flow without extra steps.,Пребарајте фактура и продолжете со враќањето без дополнителни чекори.
Search customer,Барај клиент
Search invoices or customers,Пребарајте фактури или клиенти
Search item,Пребарајте ставка
Search item / code,Пребарајте ставка / код
Search items or barcode,Пребарајте ставки или баркод
Search Mpesa Payments,Пребарувајте Mpesa Payments
Search return invoices or customers,Пребарувајте повратни фактури или клиенти
Search supplier,Пребарај добавувач
Search unpaid invoices or customers,Пребарајте неплатени фактури или клиенти
Secure context (HTTPS or localhost) is required for camera access.,Потребен е безбеден контекст (HTTPS или локален хост) за пристап до камерата.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Потребен е безбеден контекст (HTTPS) за пристап до камерата. Користете HTTPS за пристап до камерата.
Select,Изберете
Select a cashier first.,Прво изберете касиерка.
Select a customer,Изберете клиент
Select a customer to use coupon,Изберете клиент за користење купон
Select a printer to use QZ silent printing.,Изберете печатач за да користите тивко печатење QZ.
Select Batch,Изберете серија
Select Columns to Display,Изберете Колони за прикажување
Select items to sell,Изберете предмети за продажба
Select Payment,Изберете Плаќање
Select Payment Account,Изберете сметка за плаќање
Select printer,Изберете печатач
Select Return Invoice,Изберете Враќање фактура
Select S.O,Изберете S.O
Select Sales Orders,Изберете Нарачки за продажба
Select the cashier who is taking over this terminal.,Изберете ја касиерот кој го презема овој терминал.
Selected,Избрани
Selected movement type is not allowed by POS Profile.,Избраниот тип на движење не е дозволен од POS-профилот.
Selected Payments,Избрани плаќања
Sensitive actions kept away from quick taps.,Чувствителните дејства се чуваат подалеку од брзи допири.
Serial,Сериски
Serial Numbers,Сериски броеви
Server CPU Usage:,Употреба на процесорот на серверот:
Server Health,Здравје на серверот
Server Memory Usage:,Употреба на серверска меморија:
Server Metrics,Метрика на серверот
Server Uptime:,Време на работа на серверот:
Service Charges,Цените на услугата
Session,Сесија
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Поставете го секој PIN на касиерот во формуларот Корисник и чувајте ги членовите на терминалот доделени во корисникот на профилот на ПОС.
Settings,Поставки
Settings in this section update the POS workspace without changing the current route.,Поставките во овој дел го ажурираат работниот простор на ПОС без промена на тековната рута.
Setup complete!,Поставувањето е завршено!
Share,Споделете
Shared terminal,Заеднички терминал
Shift Closed Snapshot,Shift Затворена слика
Shift Overview,Преглед на Shift
Show,Прикажи
Show cart on customer-facing screen,Прикажи количка на екранот свртен кон клиентите
Show last invoice rate,Прикажи последна стапка на фактура
Show rate info,Прикажи информации за стапката
Show Repair Candidates,Прикажи кандидати за поправка
Show search tools,Прикажи алатки за пребарување
Show the active cart on a customer-facing screen,Прикажи ја активната количка на екран свртен кон клиентите
Showing {0}-{1} of {2},Се прикажуваат {0}-{1} од {2}
Showing 0 of 0,Прикажани се 0 од 0
Shows the distribution of invoices per currency,Ја прикажува распределбата на фактурите по валута
Sign out of the current POS session,Одјавете се од тековната POS сесија
Size:,Големина:
Skipped Payments,Прескокнати плаќања
Skipping items without barcodes,Прескокнување ставки без баркодови
Slow Moving,Бавно движење
Slow Moving Items,Предмети кои бавно се движат
Slow Queries:,Бавни прашања:
Sold,Продадено
Source,Извор
Source Cash Account (Optional Override),Изворна готовинска сметка (изборно отфрлање)
Source Ex. Rate:,Извор Пр. Оцена:
Source Rate:,Оценка на изворот:
Specific Profile,Специфичен профил
Split Invoices,Сплит фактури
Staff / Cashier Performance Report,Извештај за успешноста на персоналот / касиерот
Status,Статус
Stock,Акции
Stock Information,Информации за акции
Stock is lower than requested,Акциите се пониски од бараните
Stock is lower than requested:\n{0},Акциите се пониски од бараните:\n{0}
Stock Movement Report,Извештај за движењето на акциите
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Ажурирање на акции: {0} има {1} на располагање. Додавањето на {2} ќе ги доведе акциите под нулата.
Submit,Поднесете
Submit & Print,Поднесете и печатете
Submit Deposit,Поднесете депозит
Submit Expense,Поднесете трошоци
Submitted,Поднесено
Submitted Cash Movements,Поднесени готовински движења
Submitted entries,Поднесени записи
Successfully scanned:,Успешно скенирани:
Suggested,Предложено
Suggested Qty,Предложена количина
Supervisor Access,Пристап на супервизор
Supervisor permissions unlock issuance and reloads,Дозволите на супервизорот го отклучуваат издавањето и повторно вчитувањата
Supervisor Tools,Алатки за супервизор
Supplier,Добавувачот
Supplier and dates are required.,Се бара добавувач и датуми.
Supplier Invoices,Фактури на добавувачи
Supplier is required.,Потребен е добавувач.
Supplier name is required,Потребно е име на добавувачот
Supplier Payments,Плаќања на добавувачи
Supplier Purchase Summary,Резиме за набавка на добавувачот
Suppliers,Добавувачи
Suppliers not found,Не се најдени добавувачи
Switch Camera,Префрли ја камерата
Switch Cashier,Префрли благајна
Switch the POS appearance theme,Променете ја темата за изглед на ПОС
Switched to:,Префрлено на:
Sync All Invoices,Синхронизирај ги сите фактури
Sync Offline Cash Movements ({0}),Синхронизирај офлајн готовински движења ({0})
Sync Offline Sales,Синхронизирај офлајн продажба
Synced {0} offline cash movement(s).,Синхронизирани {0} офлајн движења на готовина.
Syncing items in background,Синхронизирање ставки во заднина
System / Diagnostics,Систем / Дијагностика
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Системските дејства се контроли за одржување со ниска фреквенција, како што се информации за апликациите, дијагностика за поддршка и контроли за сесии."
System Information,Системски информации
System Status,Статус на системот
Tables:,Табели:
Tap the button below to redeem a gift card during checkout.,Допрете го копчето подолу за да откупите подарок-картичка за време на наплатата.
Target,Цел
Target Ex. Rate:,Цел пр. Оцена:
Target Rate:,Целна стапка:
Tax,Данок
Tax / Charges Report,Извештај за данок / такси
Tax Heads,Даночни раководители
Taxable Amount,Износ на оданочување
Tendered,Тендерирана
Terminal,Терминал
Terminal & Devices,Терминал и уреди
Terminal locked,Терминалот е заклучен
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Алатките за терминали влијаат на оваа станица за наплата, екраните свртени кон клиентите и идните контроли на печатачот/уредот."
Territory not found,Територијата не е пронајдена
The amount paid is not complete,Платената сума не е целосна
The app stores data locally for offline use. This is called cache.,Апликацијата складира податоци локално за офлајн употреба. Ова се нарекува кеш.
The invoice stayed in draft. Please review and submit it manually.,Фактурата остана во нацрт. Прегледајте го и испратете го рачно.
The maximum discount allowed is,Максималниот дозволен попуст е
The quantity for {0} has been adjusted to the maximum available stock.,Количината за {0} е прилагодена на максималната достапна залиха.
The system could not retrieve the item details. Please try again.,Системот не можеше да ги врати деталите за ставката. Ве молиме обидете се повторно.
These invoices will be synced when connection is restored,Овие фактури ќе се синхронизираат кога ќе се обнови врската
This action now opens inside the settings workspace.,Ова дејство сега се отвора во работниот простор за поставки.
This coupon already used !,Овој купон е веќе искористен!
This invoice does not need change-allocation repair,На оваа фактура не и е потребна поправка на промена-распределба
This invoice is already repaired,Оваа фактура е веќе поправена
This is an item template. Please choose a variant.,Ова е шаблон за ставка. Ве молиме изберете варијанта.
this item,оваа ставка
This POS page could not be opened offline because its code was not cached on this terminal yet.,Оваа POS-страница не можеше да се отвори офлајн бидејќи нејзиниот код сè уште не беше кеширан на овој терминал.
