POS Awesome,ПОС Авесоме
Maximum available quantity is {0}. Quantity adjusted to match stock.,Максимална доступна количина је {0}. Количина прилагођена залихама.
Maximum discount amount for this offer item is {0}.,Максимални износ попуста за ову ставку понуде је {0}.
Maximum discount percentage for this offer item is {0}%.,Максимални проценат попуста за ову ставку понуде је {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Максимална количина понуде је {0}. Количина прилагођена дозвољеној граници.
Medium,Средње
Method-wise Collections,Методске збирке
Minimum allowed rate for this offer item is {0}.,Минимална дозвољена стопа за ову ставку понуде је {0}.
Minimum Qty,Минимална количина
Mobile No,Мобилни бр
Mode,Режим
Mode of Payment,Начин плаћања
Month,Месец
Month ?,Месец?
Monthly Profit,Месечни профит
Monthly Sales,Месечна продаја
Monthly Sales Summary,Месечни резиме продаје
Month-wise,Месечно
Most Active Cashiers,Најактивнији благајници
Movement Type,Мовемент Типе
Movements,Покрети
Multi Currency,Мулти Цурренци
N/A,Н/А
Name,Име
Negative Stock,Негативе Стоцк
Negative Stock Items,Негативне залихе
Negative values not allowed,Негативне вредности нису дозвољене
Net,Нет
Net Qty,Нето Кол
Net Sales,Нето Салес
Net Value,Нето вредност
Never,Никада
New changes are ready to load,Нове промене су спремне за учитавање
New Item,Нев Итем
New Offer Available,Доступна нова понуда
New PIN,Нови ПИН
New rate,Нова стопа
Next unit of measure,Следећа јединица мере
No attribute data found.,Подаци о атрибутима нису пронађени.
No Barcode,Нема бар кода
No barcode found for UOM '{0}',Није пронађен бар код за УОМ „{0}“
No branch/location data found.,Нису пронађени подаци о филијали/локацији.
No brand data found.,Подаци о бренду нису пронађени.
No cached gift card balance is available offline.,Ниједан кеширани салдо поклон картице није доступан ван мреже.
No camera found on this device. Please ensure your device has a working camera.,На овом уређају није пронађена камера. Уверите се да ваш уређај има исправну камеру.
No capability warnings recorded yet.,Још увек нису забележена упозорења о могућностима.
No cash expected for this shift.,Не очекује се готовина за ову смену.
No cash mode configured,Није конфигурисан режим готовине
No cash movement type is allowed for this POS Profile.,За овај ПОС профил није дозвољено кретање готовине.
No cashier PIN is set yet. Create one now.,ПИН благајне још увек није подешен. Направите га сада.
No cashier profiles are available for this POS profile yet.,Још увек нема доступних профила благајника за овај ПОС профил.
No cashier-wise discount/void/return activity.,Нема активности попуста/поништења/повраћаја у погледу благајне.
No category data found.,Нису пронађени подаци о категорији.
No category profitability data found.,Нису пронађени подаци о профитабилности категорије.
No change returned recorded for this shift.,За ову смену није забележена ниједна промена.
No change-allocation invoices match the current filters.,Ниједна фактура за доделу промена не одговара тренутним филтерима.
No charge head breakdown found.,Није пронађен квар пуњача.
No Company Selected,Није изабрана компанија
No customer sales data found.,Нису пронађени подаци о продаји купаца.
No day-wise discount/void/return trend.,Нема дневног тренда попуста/поништења/повраћаја.
No day-wise payment data found.,Нису пронађени подаци о дневном плаћању.
No day-wise profitability trend found.,Није пронађен тренд дневног профитабилности.
No day-wise purchase data found.,Нису пронађени подаци о дневним куповинама.
No day-wise sales trend found.,Није пронађен дневни тренд продаје.
No day-wise tax/charges trend found.,Није пронађен дневни тренд пореза/наплата.
No dead stock items.,Нема мртвих артикала.
No due date,Нема термина
No exact repair match found for this invoice,Није пронађено тачно подударање поправке за ову фактуру
No hourly sales trend found for today.,За данас није пронађен тренд продаје по сату.
No invoice activity found.,Није пронађена активност на фактури.
No invoices found,Нису пронађене фактуре
No invoices found. Try different search criteria.,Нису пронађене фактуре. Пробајте различите критеријуме претраге.
No invoices recorded for this shift.,За ову смену нису евидентиране фактуре.
No item profitability data found.,Нису пронађени подаци о профитабилности артикла.
No item sales data found for this period.,Нису пронађени подаци о продаји артикала за овај период.
No items found,Нема пронађених ставки
No items in cart,Нема артикала у корпи
No items with barcodes to print,Нема артикала са бар кодовима за штампање
No location-wise top item data found.,Нису пронађени никакви подаци о топ ставки у погледу локације.
No low stock alerts right now.,Тренутно нема упозорења о ниским залихама.
No low stock items.,Нема артикала са малим залихама.
No matching items in cart,Нема одговарајућих артикала у корпи
No month-wise sales trend found.,Није пронађен месечни тренд продаје.
No negative stock items.,Нема негативних артикала на залихама.
No notifications yet,Још нема обавештења
No offline cash movement synced.,Нема синхронизованог кретања готовине ван мреже.
No offline invoices pending synchronization,Нема офлајн фактура које чекају синхронизацију
No offline sync issues recorded yet.,Још увек нису забележени проблеми са синхронизацијом ван мреже.
No out-of-stock items.,Нема артикала ван залиха.
No outstanding credit invoices for this shift.,Нема неизмирених кредитних фактура за ову смену.
No payment collection data found.,Нису пронађени подаци о наплати плаћања.
No payment rows available on this invoice.,Нема доступних редова за плаћање на овој фактури.
No payments registered for this shift.,За ову смену нису регистроване уплате.
No pending balances in this period.,Нема стања на чекању у овом периоду.
No pending offline invoices,Нема офлајн фактура на чекању
No Print Formats Found,Формати за штампање нису пронађени
No profiles found for selected scope. Falling back to current profile failed.,Нису пронађени профили за изабрани опсег. Враћање на тренутни профил није успело.
No recent customer activity found.,Није пронађена недавна активност клијената.
No recent stock entries found.,Нису пронађени недавни уноси акција.
No records found,Није пронађен ниједан запис
No reorder suggestions right now.,Тренутно нема предлога за промену редоследа.
No repeat customers in this period.,Нема поновљених купаца у овом периоду.
No response from server,Нема одговора са сервера
No return invoices found,Нису пронађене повратне фактуре
No return item trend found.,Није пронађен тренд повратне ставке.
No returnable items found for this invoice,За ову фактуру нису пронађене ставке које се могу вратити
No returns were processed in this shift.,У овој смени није обрађен ниједан повратак.
No risk activity found.,Није пронађена ризична активност.
No sales activity found for this period.,За овај период није пронађена ниједна продајна активност.
No slow moving items.,Нема спорих предмета.
No staff sales activity found.,Није пронађена ниједна продајна активност особља.
No stock movement for this period.,Нема кретања залиха за овај период.
No submitted cash movements in this shift.,Нема достављених кретања готовине у овој смени.
No supplier purchases found in this month.,У овом месецу није пронађена ниједна куповина добављача.
No suppliers found for this period.,За овај период нису пронађени добављачи.
No sync trigger has run yet in this session.,У овој сесији још увек није покренут ниједан окидач синхронизације.
No tax head breakdown found.,Није пронађен слом пореске главе.
No top items found for this location.,За ову локацију нису пронађене топ ставке.
No unpaid invoices,Нема неплаћених фактура
No variant data found.,Нису пронађени подаци о варијанти.
No week-wise sales trend found.,Није пронађен недељни тренд продаје.
No.,бр.
Nobile Number,Нобиле Нумбер
Not available,Није доступно
Not checked,Није проверено
Not selected,Није изабрано
Not Set,Нот Сет
Notifications,Обавештења
Offer,Понуда
Offer Applied,Понуда је примењена
Offer criteria exceeded,Критеријуми понуде су премашени
Offer Item,Предмет понуде
Offer item unavailable,Ставка понуде није доступна
Offer Removed,Понуда је уклоњена
Offer UOM cannot be changed,УОМ понуде се не може променити
Offer?,Понуда?
Offers,Понуде
Offline,Оффлине
Offline & Sync,Офлајн и синхронизација
Offline Capabilities,Оффлине Цапабилитиес
Offline data status refreshed,Статус офлајн података је освежен
Offline diagnostics,Оффлине дијагностика
Offline Invoices,Офлајн фактуре
Offline invoices status,Статус ванмрежних фактура
Offline invoices synced,Офлајн фактуре су синхронизоване
Offline Queue: {0},Офлајн ред: {0}
Offline rebuild guidance,Смернице за поновну изградњу ван мреже
Offline restore is unavailable for this session.,Враћање ван мреже није доступно за ову сесију.
Offline selling is available with degraded capabilities.,Оффлине продаја је доступна са смањеним могућностима.
Offline snapshot does not match the current POS state.,Офлајн снимак не одговара тренутном стању ПОС-а.
Offline Status,Оффлине Статус
"Offline, terminal, and system controls","Контроле ван мреже, терминала и система"
OK,ОК
Online,Онлине
Open actions menu,Отворите мени радњи
Open balance to collect,Отворите баланс за прикупљање
Open Customer Display,Отворите Приказ корисника
Open drawer,Отвори фиоку
Open invoices,Отворене фактуре
Open Payments?,Отворите плаћања?
Open POS home,Отворите ПОС почетну страницу
Open this screen from POS Menu -> Open Customer Display.,Отворите овај екран из ПОС менија -> Отворите приказ корисника.
OpenCV image processing enabled - Enhanced barcode detection,Омогућена ОпенЦВ обрада слике - Побољшано откривање бар кода
OpenCV image processing unavailable on this device,ОпенЦВ обрада слика није доступна на овом уређају
OpenCV Off,ОпенЦВ Офф
OpenCV On,ОпенЦВ Он
OpenCV processing disabled,Обрада ОпенЦВ-а је онемогућена
Opening Amount,Износ отварања
Opening Cash,Отварање готовине
options,опције
Order,Ред
Original,Оригинал
Other,Остало
Out,Напоље
Out of Stock,Оут оф Стоцк
Out of Stock Items,Оут оф Стоцк Итемс
Outstanding,Изванредан
Outstanding Credit by Currency,Неплаћени кредит према валути
Overdue,Закаснио
Overpayment Change,Промена преплате
Overpayment change deducted: {0},Одузета промена преплате: {0}
Packing List,Листа паковања
Page Format,Формат странице
Page unavailable offline,Страница није доступна ван мреже
Paid,Плаћено
Paid (orig):,Плаћено (ориг):
Paid Amount,Плаћени износ
Paid change cannot be greater than total change!,Плаћена промена не може бити већа од укупне промене!
Paid:,Плаћено:
Parent Item,Парент Итем
Partial,Делимично
Partly Paid,Делимично плаћено
Party Account,Партијски налог
Party Type,Парти Типе
Pause terminal until next cashier,Паузирајте терминал до следећег благајника
PAY,ПЛАТИ
Payment,Плаћање
Payment Account,Рачун за плаћање
Payment entries processed for Invoice {0},Обрађени уноси плаћања за фактуру {0}
Payment Entry Type,Врста уноса плаћања
Payment History,Историја плаћања
Payment ID,ИД плаћања
Payment Method Report,Извештај о начину плаћања
Payment Methods,Начини плаћања
Payment of {0} received successfully.,Уплата од {0} је успешно примљена.
Payment Progress,Напредак плаћања
Payment Reconciliation,Усклађивање плаћања
Payment request status could not be retrieved. Please try again,Није могуће преузети статус захтева за плаћање. Покушајте поново
Payment Request took too long to respond. Please try requesting for payment again,На захтев за плаћање је требало предуго да се одговори. Покушајте поново да затражите плаћање
Payment saved offline,Плаћање је сачувано ван мреже
Payment State,Држава плаћања
Payment Status,Статус плаћања
Payment submitted but print function could not be executed. Payment name not found.,"Плаћање је послато, али функција штампања није могла да се изврши. Назив плаћања није пронађен."
Payment submitted.,Уплата је послата.
Payment Summary,Резиме плаћања
Payments,Паиментс
Payments are not open. Do you want to open payments and submit?,Уплате нису отворене. Да ли желите да отворите плаћања и пошаљете?
Payments by Mode of Payment,Плаћања по начину плаћања
PDF,ПДФ
Peak Hour,Пеак Хоур
Peak Memory:,Врхунска меморија:
Peak Server:,Врхунски сервер:
Peak:,врх:
Pending,На чекању
Pending Amount,Износ на чекању
Pending count updated from {0} to {1},Број чекања је ажуриран са {0} на {1}
Pending Exposure,Излагање на чекању
Pending Invoices,Фактуре на чекању
Pending Ratio,Однос на чекању
Pending Sales,На чекању за продају
Pending sales: {0} | Cache usage: {1}%,Продаја на чекању: {0} | Употреба кеша: {1}%
Pending Sync,Синхронизација на чекању
Pending: {0},На чекању: {0}
Pending: {0} | Synced: {1} | Draft: {2},На чекању: {0} | Синхронизовано: {1} | Нацрт: {2}
Per Page,По страници
Personal,Лично
Personal preferences adjust the current cashier experience without changing the active POS route.,Личне поставке прилагођавају тренутно искуство са благајником без промене активне руте ПОС-а.
PIN confirmation does not match.,ПИН потврда се не поклапа.
PIN must be 4 to 8 digits.,ПИН мора да има 4 до 8 цифара.
Please add at least one item.,Додајте бар једну ставку.
Please allow camera access to scan codes,Дозволите камери приступ кодовима за скенирање
Please enter payment amount,Унесите износ уплате
Please fill all required fields,Молимо попуните сва обавезна поља
Please make a payment or select a payment,Молимо извршите уплату или изаберите плаћање
Please request phone payment or use another payment method,Затражите плаћање телефоном или користите други начин плаћања
Please select a customer first,Прво изаберите купца
Please select a party,Изаберите забаву
Please select a party before reconciling.,Изаберите странку пре помирења.
Please select a valid movement type.,Изаберите важећи тип кретања.
Please select an invoice,Изаберите фактуру
Please select company before reconciling.,Молимо изаберите компанију пре усаглашавања.
Please set the customer's mobile number,Подесите број мобилног телефона клијента
Please try again or enter the item manually.,Покушајте поново или унесите ставку ручно.
Please verify the barcode or check the item's availability.,Проверите бар код или проверите доступност артикла.
Points,Поени
Popup blocked. Please allow popups.,Искачући прозор је блокиран. Дозволите искачуће прозоре.
POS,ПОС
POS controls and maintenance,ПОС контроле и одржавање
POS Expense is disabled for this POS Profile.,ПОС трошак је онемогућен за овај ПОС профил.
POS is running with limited offline prerequisites.,ПОС ради са ограниченим условима ван мреже.
POS Profile,ПОС Профил
Position the QR code or barcode within the scanning area,Поставите КР код или бар код унутар области скенирања
Posting,Постављање
Posting and Price List,Књижење и ценовник
Posting Date,Датум објављивања
Preparing background sync,Припрема позадинске синхронизације
"Press OK to continue offline with a warning, or Cancel to retry.",Притисните ОК да наставите ван мреже са упозорењем или Откажи да покушате поново.
Previous unit of measure,Претходна јединица мере
Price List,Ценовник
Price List Rate,Ценовник
Price list rate updated locally only,Ценовник је ажуриран само локално
Pricing & Discounts,Цене и попусти
Pricing Rule,Правило о ценама
Print,Принт
Print Draft,Принт Драфт
Print Format (Invoice),Формат штампања (фактура)
Print Format (Order),Формат штампања (поруџбина)
Print invoice,Штампајте фактуру
Print Purchase Invoice instead of PO,Штампајте фактуру за куповину уместо наруџбенице
Printer,Штампач
Processed returns impacting the shift totals,Обрађени приноси утичу на укупне вредности смене
Processing Payment,Обрада плаћања
Processing payment entries for Invoice {0},Обрада уноса плаћања за фактуру {0}
Profile,Профил
Profiles,Профили
Profit,Профит
Profit: Invoice Item Estimate,Профит: Процена ставке фактуре
Profit: Stock Ledger (COGS),Добит: књига акција (ЦОГС)
Profitability Report,Извештај о профитабилности
Prorated return discount,Пропорционални попуст на поврат
Purchase Amount,Износ куповине
Purchase Invoices,Куповина фактура
Purchase Order created,Наруџбеница је направљена
Qty,Кол
Qualified,Квалификовани
Quantity,Количина
Quantity exceeds available stock,Количина премашује расположиве залихе
Quick Actions,Брзе акције
Quotation {0} is Submitted,Понуда {0} је послата
Quotation submitted,Понуда је послата
QZ Tray connected.,КЗ Траи повезан.
QZ Tray is manually disconnected. Press Connect to enable it again.,КЗ Траи је ручно искључен. Притисните Повежи да бисте га поново омогућили.
QZ Tray is not connected.,КЗ лежиште није повезано.
QZ Tray Setup,КЗ Траи Сетуп
Rate,Рате
Rate adjusted to maximum allowed discount,Стопа прилагођена максимално дозвољеном попусту
Ready,Спреман
Ready to resume,Спреман за наставак
Ready!,Спремни!
Real-time POS insights for retail operations.,Увид у ПОС у реалном времену за малопродајне операције.
Rebuild Offline Data,Поново изгради ванмрежне податке
Receive,Примите
Receive now,Примите сада
Received,Примљено
Received:,Примљено:
Recent Movement Entries,Недавни уноси покрета
Recent updates about your invoices,Недавна ажурирања о вашим фактурама
Recently Active Customers,Недавно активни купци
Rechecking connection,Поново проверавам везу
Reconcile payment methods and close shift,Ускладите начине плаћања и затворите смену
Reconciling Payments,Усклађивање плаћања
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Поново се повежите и отворите ову страницу једном док сте на мрежи, а затим ће освежавања ван мреже моћи да је врате."
Reconnect online to refresh cached offline data from the server.,Поново се повежите на мрежи да бисте освежили кеширане офлајн податке са сервера.
Recreate local offline prerequisites from scratch,Поново направите локалне предуслове ван мреже од нуле
Recv:,Рецв:
Redeem,Откупити
Redeem / Scan,Искористите / скенирајте
Redeem Amount,Откупите износ
Redeem Mode,Редеем Моде
Redeemed Amount,Откупљени износ
Redeemed credit cannot be greater than its total.,Откупљени кредит не може бити већи од укупног износа.
Redemption and Totals,Откуп и укупни износи
Reference,Референце
Refresh,Освежи
Refresh Exchange Rate,Рефресх Екцханге Рате
Refresh Offline Data,Освежите ванмрежне податке
Refresh Printers,Освежите штампаче
Refund,Рефунд
Release Notes,Белешке о издању
Reload,Поново учитај
Reload customers,Поново учитајте клијенте
Reload Items,Релоад Итемс
Reload Now,Релоад Нов
Reload to apply the latest changes. Your current session will be refreshed.,Учитајте поново да бисте применили најновије промене. Ваша тренутна сесија ће бити освежена.
Reload Workflow,Релоад Воркфлов
Remarks,Примедбе
Remarks are required.,Напомене су обавезне.
Remove,Уклони
Remove barcode item,Уклоните ставку са бар кодом
Remove cached data and reload the POS app,Уклоните кеширане податке и поново учитајте ПОС апликацију
Remove item,Уклони ставку
Remove Offer,Уклони понуду
Reorder / Purchase Suggestions,Предлози за препоруку/куповину
Repair Candidate,Репаир Цандидате
Repair Change Allocation,Додела промена поправке
Repair requires an online connection,За поправку је потребна онлајн веза
Repaired,Поправљено
Repairing change allocation,Поправљање алокације промена
Repeat Customers,Поновљени купци
Repeat Rate,Репеат Рате
Request,Захтев
Request ID: {0},ИД захтева: {0}
Request Payment,Захтевај плаћање
Requested route: {0},Тражена рута: {0}
Required columns cannot be hidden,Обавезне колоне се не могу сакрити
Reset,Ресетуј
Reset item name,Ресетујте назив ставке
Reset to Default,Ресетујте на подразумевано
Resource Health,Здравље ресурса
Restricted,Ограничено
Restricted operational controls for supervisors only.,Ограничене оперативне контроле само за надзорнике.
Retry,Покушајте поново
Retry route,Поновите руту
Return,Повратак
Return Amount,Повратни износ
Return Count,Ретурн Цоунт
Return items must have negative quantities,Повратни артикли морају имати негативне количине
Return total must be negative,Укупан износ поврата мора бити негативан
Return Valid Until,Повратак Важи до
Return window passed,Повратни прозор је прошао
Return without Invoice,Вратите без фактуре
Returns,Повратак
Returns / Voids / Discounts,Поврати / Поништења / Попусти
Returns by Currency,Повраћај по валути
Revenue,Приход
Review shift totals before submitting the closing entry,Прегледајте укупне смене пре него што пошаљете завршни унос
Round Off,Роунд Офф
Rows,Редови
Rows:,редови:
Rule,Правило
Sale,Сале
Sales,Продаја
Sales Order {0} is Submitted,Продајни налог {0} је послат
Sales Person and Print,Продајно лице и штампа
Sales Person not found,Продајно лице није пронађено
Sales processed,Продаја обрађена
Sales Return,Салес Ретурн
Sales Trend Report,Извештај о тренду продаје
Save,Сачувај
Save & Clear,Сачувај & Обриши
Save as POS Profile Default,Сачувај као подразумевани ПОС профил
Save Settings,Сачувај подешавања
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Сачувајте изабрани штампач као подразумевани ПОС профил тако да се аутоматски приказује у овом подешавању.
Saved as draft because: {0},Сачувано као радна верзија јер: {0}
Saving...,Чување...
Scale barcode detected. Quantity here is the number of labels to print.,Откривен је бар код скале. Количина овде је број етикета за штампање.
Scale barcode settings are not configured. Using item barcode only.,Подешавања баркода размера нису конфигурисана. Коришћење само бар кода артикла.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Бар-код шаблона размере недостаје за ову ставку/УОМ. Коришћење само бар кода артикла.
Scan an existing card and top it up without leaving the payment flow.,Скенирајте постојећу картицу и допуните је без напуштања тока плаћања.
Scan Error,Грешка при скенирању
Scan or enter a gift card code to check balance or redeem.,Скенирајте или унесите код поклон картице да проверите стање или искористите.
Scan or paste the card code below.,Скенирајте или налепите код картице испод.
Scan QR Code/Barcode,Скенирајте КР код/баркод
Scan with camera,Скенирајте камером
Scan-First Flow,Сцан-Фирст Флов
Scanned Code:,Скенирани код:
Scanning for: {0},Скенирање за: {0}
Scanning items,Скенирање ставки
Scan-Ready,Спреман за скенирање
Scope,Обим
Scope: All Profiles,Обим: сви профили
Scope: Current Profile,Обим: Тренутни профил
Scope: Specific Profile,Обим: одређени профил
Search,Тражи
Search Account,Претражи налог
Search an invoice and continue the return flow without extra steps.,Претражите фактуру и наставите повратни ток без додатних корака.
Search customer,Претражите клијента
Search invoices or customers,Претражујте фактуре или купце
Search item,Претражите ставку
Search item / code,Претражите ставку / код
Search items or barcode,Претражите ставке или бар код
Search Mpesa Payments,Претражите Мпеса плаћања
Search return invoices or customers,Претражите повратне фактуре или купце
Search supplier,Тражи добављача
Search unpaid invoices or customers,Претражите неплаћене фактуре или купце
Secure context (HTTPS or localhost) is required for camera access.,Безбедан контекст (ХТТПС или локални хост) је неопходан за приступ камери.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Безбедан контекст (ХТТПС) је потребан за приступ камери. Користите ХТТПС за приступ камери.
Select,Изаберите
Select a cashier first.,Прво изаберите благајника.
Select a customer,Изаберите купца
Select a customer to use coupon,Изаберите купца који ће користити купон
Select a printer to use QZ silent printing.,Изаберите штампач који ће користити КЗ тихо штампање.
Select Batch,Изаберите Батцх
Select Columns to Display,Изаберите Колоне за приказ
Select items to sell,Изаберите ставке за продају
Select Payment,Изаберите Плаћање
Select Payment Account,Изаберите Рачун за плаћање
Select printer,Изаберите штампач
Select Return Invoice,Изаберите Поврат фактуре
Select S.O,Изаберите С.О
Select Sales Orders,Изаберите Налози за продају
Select the cashier who is taking over this terminal.,Изаберите благајника који преузима овај терминал.
Selected,Одабрано
Selected movement type is not allowed by POS Profile.,Одабрани тип кретања није дозвољен у ПОС профилу.
Selected Payments,Изабрана плаћања
Sensitive actions kept away from quick taps.,Осетљиве радње се држе подаље од брзих додира.
Serial,Сериал
Serial Numbers,Сериал Нумберс
Server CPU Usage:,Употреба процесора сервера:
Server Health,Здравље сервера
Server Memory Usage:,Коришћење меморије сервера:
Server Metrics,Сервер Метрицс
Server Uptime:,Време рада сервера:
Service Charges,Трошкови услуге
Session,Сессион
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Подесите сваки ПИН благајне у корисничком обрасцу и задржите чланове терминала додељене у ПОС Профиле Усер.
Settings,Подешавања
Settings in this section update the POS workspace without changing the current route.,Подешавања у овом одељку ажурирају радни простор ПОС без промене тренутне руте.
Setup complete!,Подешавање је завршено!
Share,Схаре
Shared terminal,Заједнички терминал
Shift Closed Snapshot,Схифт Цлосед Снапсхот
Shift Overview,Схифт Овервиев
Show,Схов
Show cart on customer-facing screen,Прикажите колица на екрану окренутом клијенту
Show last invoice rate,Прикажи стопу последње фактуре
Show rate info,Прикажи информације о цени
Show Repair Candidates,Прикажи кандидате за поправку
Show search tools,Прикажи алатке за претрагу
Show the active cart on a customer-facing screen,Прикажите активну колица на екрану окренутом клијенту
Showing {0}-{1} of {2},Приказује се {0}-{1} од {2}
Showing 0 of 0,Приказује се 0 од 0
Shows the distribution of invoices per currency,Приказује дистрибуцију фактура по валути
Sign out of the current POS session,Одјавите се са тренутне ПОС сесије
Size:,Величина:
Skipped Payments,Прескочена плаћања
Skipping items without barcodes,Прескакање артикала без бар кодова
Slow Moving,Слов Мовинг
Slow Moving Items,Споро покретни предмети
Slow Queries:,Спори упити:
Sold,Продато
Source,Извор
Source Cash Account (Optional Override),Изворни готовински рачун (опционо замена)
Source Ex. Rate:,Извор Ек. Рате:
Source Rate:,Стопа извора:
Specific Profile,Специфичан профил
Split Invoices,Подијељене фактуре
Staff / Cashier Performance Report,Извештај о учинку особља / благајника
Status,Статус
Stock,Стоцк
Stock Information,Информације о залихама
Stock is lower than requested,Залиха је мања од захтеване
Stock is lower than requested:\n{0},Залиха је мања од захтеване:\н{0}
Stock Movement Report,Извештај о кретању акција
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Ажурирање залиха: {0} има {1} на располагању. Додавањем {2} залихе ће бити испод нуле.
Submit,Субмит
Submit & Print,Пошаљи и штампај
Submit Deposit,Пошаљите депозит
Submit Expense,Субмит Екпенсе
Submitted,Субмиттед
Submitted Cash Movements,Пријављена готовинска кретања
Submitted entries,Субмиттед ентриес
Successfully scanned:,Успешно скенирано:
Suggested,Предложено
Suggested Qty,Суггестед Кти
Supervisor Access,Приступ супервизору
Supervisor permissions unlock issuance and reloads,Дозволе надзорника откључавају издавање и поновно учитавање
Supervisor Tools,Супервисор Тоолс
Supplier,Добављач
Supplier and dates are required.,Добављач и датуми су обавезни.
Supplier Invoices,Рачуни добављача
Supplier is required.,Потребан је добављач.
Supplier name is required,Име добављача је обавезно
Supplier Payments,Супплиер Паиментс
Supplier Purchase Summary,Сажетак набавке добављача
Suppliers,Добављачи
Suppliers not found,Добављачи нису пронађени
Switch Camera,Пребаци камеру
Switch Cashier,Свитцх Цасхиер
Switch the POS appearance theme,Промените тему изгледа ПОС-а
Switched to:,Прешао на:
Sync All Invoices,Синхронизујте све фактуре
Sync Offline Cash Movements ({0}),Синхронизација кретања готовине ван мреже ({0})
Sync Offline Sales,Синхронизујте продају ван мреже
Synced {0} offline cash movement(s).,Синхронизовано {0} кретања готовине ван мреже.
Syncing items in background,Синхронизовање ставки у позадини
System / Diagnostics,Систем / Дијагностика
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Радње система су контроле одржавања ниске фреквенције, као што су информације о апликацији, дијагностика подршке и контроле сесије."
System Information,Информације о систему
System Status,Статус система
Tables:,Табеле:
Tap the button below to redeem a gift card during checkout.,Додирните дугме испод да бисте искористили поклон картицу током плаћања.
Target,Таргет
Target Ex. Rate:,Таргет Ек. Рате:
Target Rate:,Циљна стопа:
Tax,Порез
Tax / Charges Report,Извештај о порезу/наплати
Tax Heads,Пореске главешине
Taxable Amount,Опорезиви износ
Tendered,Тендеред
Terminal,Терминал
Terminal & Devices,Терминал и уређаји
Terminal locked,Терминал закључан
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Алати терминала утичу на ову одјавну станицу, екране окренуте клијентима и будуће контроле штампача/уређаја."
Territory not found,Територија није пронађена
The amount paid is not complete,Уплаћени износ није потпун
The app stores data locally for offline use. This is called cache.,Апликација чува податке локално за употребу ван мреже. Ово се зове кеш меморија.
The invoice stayed in draft. Please review and submit it manually.,Фактура је остала на нацрту. Прегледајте и пошаљите га ручно.
The maximum discount allowed is,Максимални дозвољени попуст је
The quantity for {0} has been adjusted to the maximum available stock.,Количина за {0} је прилагођена максималној доступној залихи.
The system could not retrieve the item details. Please try again.,Систем није могао да преузме детаље ставке. Покушајте поново.
These invoices will be synced when connection is restored,Ове фактуре ће бити синхронизоване када се веза успостави
This action now opens inside the settings workspace.,Ова радња се сада отвара унутар радног простора за подешавања.
This coupon already used !,Овај купон је већ искоришћен!
This invoice does not need change-allocation repair,Ова фактура не захтева поправку алокације промена
This invoice is already repaired,Ова фактура је већ поправљена
This is an item template. Please choose a variant.,Ово је шаблон ставке. Молимо изаберите варијанту.
this item,ову ставку
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ова ПОС страница није могла да се отвори ван мреже јер њен код још није кеширан на овом терминалу.
This Serial Number {0} has already been added!,Овај серијски број {0} је већ додат!
Threshold,Праг
Time,Време
Tip: Clear cache regularly to free up space and keep the app fast.,Савет: Редовно чистите кеш меморију да бисте ослободили простор и одржали апликацију брзом.
Tip: Close unused tabs or apps to reduce lag.,Савет: Затворите некоришћене картице или апликације да бисте смањили кашњење.
Tip: Monitor slow queries and table size for optimal performance.,Савет: Пратите споре упите и величину табеле за оптималне перформансе.
To Be Paid,То Бе Паид
To Date,То Дате
Today,данас
Today Profit,Данас Профит
Today Sales,Тодаи Салес
Toggle navigation drawer,Укључите фиоку за навигацију
Toggle Theme,Пребаци тему
Tools,Алати
Tools for customer-facing screens and terminal-specific actions.,Алати за екране окренуте клијентима и акције специфичне за терминал.
Top Brand,Топ Бранд
Top Category,Топ Цатегори
Top Charge Head,Топ Цхарге Хеад
Top Customers,Најбољи купци
Top Discount,Топ Дисцоунт
Top Items by Location,Најпопуларније ставке по локацији
Top Margin,Горња маргина
Top Pending,Врх На чекању
Top Profit Item,Топ профитна ставка
Top Return Items,Врхунске ставке за враћање
Top Sales by Cashier,Најбоља продаја од стране благајника
Top Supplier,Врхунски добављач
Top Suppliers by Spend,Најбољи добављачи према потрошњи
Top Tables,Топ Таблес
Top Tax Head,Топ Пореска глава
Top Up Amount,Износ допуне
Top Up Card,Картица допуне
Top Up Mode,Режим допуне
Top Variant,Топ Вариант
Total,Укупно
Total Amount,Укупан износ
Total Change,Тотал Цханге
Total Charges,Тотал Цхаргес
Total In,Тотал Ин
Total Invoices,Укупне фактуре
Total Items,Тотал Итемс
Total Mpesa,Тотал Мпеса
Total Out,Тотал Оут
Total Payments,Тотал Паиментс
Total Purchase,Тотал Пурцхасе
Total Selected :,Укупно изабрано:
Total Size,Укупна величина
Total Stock Qty,Укупна количина залиха
Total:,Укупно:
