POS Awesome,POS अप्रतिम
Gift card issued successfully.,भेट कार्ड यशस्वीरित्या जारी केले.
Gift card loaded successfully.,भेट कार्ड यशस्वीरित्या लोड केले.
Gift Card Management,गिफ्ट कार्ड व्यवस्थापन
Gift card payment,गिफ्ट कार्ड पेमेंट
Gift card redemption requires an online connection,गिफ्ट कार्ड रिडेम्प्शनसाठी ऑनलाइन कनेक्शन आवश्यक आहे
Gift card topped up successfully.,गिफ्ट कार्ड यशस्वीरित्या टॉप अप केले.
Gift Cards,भेट कार्ड
Go to Frappe Desk,Frappe डेस्क वर जा
Grand Total,ग्रँड टोटल
Gross Margin,एकूण मार्जिन
Gross Profit,एकूण नफा
Gross Sales,एकूण विक्री
Group not found,गट सापडला नाही
"Grouped controls for terminal, UI, and session settings.","टर्मिनल, UI आणि सत्र सेटिंग्जसाठी गटबद्ध नियंत्रणे."
Grouped totals for each payment method and currency,प्रत्येक पेमेंट पद्धत आणि चलनासाठी गटबद्ध बेरीज
Hide,लपवा
Hide Gift Card,गिफ्ट कार्ड लपवा
Hide Non Essential Fields,अत्यावश्यक फील्ड लपवा
Hide quantity decimals,प्रमाण दशांश लपवा
Hide search tools,शोध साधने लपवा
Hide zero rated items,शून्य रेट केलेले आयटम लपवा
High,उच्च
History,इतिहास
Hourly (Today),प्रति तास (आज)
How this section works,हा विभाग कसा काम करतो
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","जुना डेटा राहिल्यास, सेटिंग्ज > ऑफलाइन आणि सिंक उघडा आणि ऑनलाइन असताना पुन्हा ऑफलाइन डेटा पुन्हा तयार करा."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","चेतावणी कायम राहिल्यास, सेटिंग्ज > ऑफलाइन आणि सिंक उघडा, नंतर ऑफलाइन डेटा रिफ्रेश करा किंवा ऑफलाइन डेटा पुन्हा तयार करा."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,प्रमाणपत्र QZ ट्रेमध्ये आयात करा आणि प्रत्येक POS मशीनवर QZ ट्रे रीस्टार्ट करा.
In,मध्ये
In stock: {0},स्टॉकमध्ये: {0}
Include Batch / Serial,बॅच/सिरियल समाविष्ट करा
Include Price,किंमत समाविष्ट करा
Increase quantity,प्रमाण वाढवा
IndexedDB,IndexedDB
Initial Amount,प्रारंभिक रक्कम
Initialize your shift with opening balances,ओपनिंग बॅलन्ससह तुमची शिफ्ट सुरू करा
Initializing application...,अर्ज सुरू करत आहे...
"Inspect cache, sync, and prerequisite status","कॅशे, सिंक आणि पूर्वस्थिती तपासा"
Installed Applications,स्थापित केलेले अनुप्रयोग
Insufficient stock:\n{0},अपुरा साठा:\n{0}
Invalid rate,अवैध दर
Inventory Status Report,इन्व्हेंटरी स्थिती अहवाल
Invoice,चलन
Invoice {0} is Submitted,बीजक {0} सबमिट केले आहे
Invoice {0} processed successfully,बीजक {0} यशस्वीरित्या प्रक्रिया केली
Invoice {0} submission failed,बीजक {0} सबमिशन अयशस्वी
Invoice {0} was already submitted,बीजक {0} आधीच सबमिट केले होते
Invoice Adjustments,चलन समायोजन
Invoice Change,बीजक बदल
Invoice Details,चलन तपशील
Invoice is still in draft after background submission.,पार्श्वभूमी सबमिशन केल्यानंतर बीजक अद्याप मसुद्यात आहे.
Invoice Items,चलन आयटम
Invoice Management,चलन व्यवस्थापन
Invoice Mgmt,बीजक Mgmt
Invoice saved offline,बीजक ऑफलाइन जतन केले
Invoice submission failed,बीजक सबमिशन अयशस्वी
Invoice Submitted,चलन सादर केले
"Invoice value settled by loyalty points, not cash collection","चलन मूल्य लॉयल्टी पॉइंट्सद्वारे सेटल केले जाते, रोख संकलन नाही"
Invoices,पावत्या
Invoices already past due date,चलन आधीच देय तारखेपासून निघून गेले आहेत
Invoices saved as POS Invoices,पावत्या POS इनव्हॉइस म्हणून सेव्ह केल्या
Invoices still carrying balances,इनव्हॉइस अजूनही शिल्लक आहेत
Issue Mode,समस्या मोड
Issue New Card,नवीन कार्ड जारी करा
Issue Workflow,कार्यप्रवाह जारी करा
"Issue, top up, and check","जारी करा, टॉप अप करा आणि तपासा"
Item,आयटम
Item / Product Sales Report,आयटम / उत्पादन विक्री अहवाल
Item {0} added to invoice,इन्व्हॉइसमध्ये {0} आयटम जोडला
Item '{0}' has no barcode,'{0}' आयटमला बारकोड नाही
Item Code,आयटम कोड
Item created successfully,आयटम यशस्वीरित्या तयार केला
Item is out of stock,आयटम स्टॉक संपला आहे
Item Name,आयटमचे नाव
Item not found,आयटम सापडला नाही
Item order updated,आयटम ऑर्डर अद्यतनित केली
Item Selector Settings,आयटम निवडकर्ता सेटिंग्ज
Items,वस्तू
Items added in POS will appear here automatically.,POS मध्ये जोडलेले आयटम येथे आपोआप दिसतील.
Items added to invoice,इनव्हॉइसमध्ये आयटम जोडले
Items per page,प्रति पृष्ठ आयटम
Items Sold,वस्तू विकल्या
Items/Invoice,आयटम/चालन
Item-wise Profitability,वस्तूनुसार नफा
Journal Entry,जर्नल एंट्री
json,json
Just now,आत्ताच
Keep offline prerequisites healthy and recover stale data safely.,ऑफलाइन पूर्वस्थिती निरोगी ठेवा आणि जुना डेटा सुरक्षितपणे पुनर्प्राप्त करा.
Labels,लेबल्स
"Language, theme, terminal tools, and session controls.","भाषा, थीम, टर्मिनल साधने आणि सत्र नियंत्रणे."
Last,शेवटचा
Last 14 Days (Paid vs Pending),शेवटचे १४ दिवस (सशुल्क वि प्रलंबित)
Last 14 Days Activity,मागील 14 दिवसांची क्रियाकलाप
Last 14 Days Gross Profit,मागील 14 दिवसांचा एकूण नफा
Last 14 Days Purchases,शेवटच्या 14 दिवसांच्या खरेदी
Last 14 Days Tax/Charges,शेवटचे 14 दिवसांचे कर/शुल्क
Last sync:,शेवटचे सिंक:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},शेवटचे सिंक: {0} | ठीक आहे: {1} | अयशस्वी: {2} | वगळले: {3}
Latest entries for current shift,वर्तमान शिफ्टसाठी नवीनतम नोंदी
Lead Time,आघाडी वेळ
Limited,मर्यादित
lines,ओळी
List,यादी
Live Snapshot,थेट स्नॅपशॉट
Load a POS profile and cashier first.,प्रथम एक POS प्रोफाइल आणि कॅशियर लोड करा.
Load More Invoices,अधिक पावत्या लोड करा
Load previously saved invoices,पूर्वी जतन केलेले बीजक लोड करा
Load Sale,लोड विक्री
Load Sales Invoice,विक्री बीजक लोड करा
Loading app data...,ॲप डेटा लोड करत आहे...
Loading customer database...,ग्राहक डेटाबेस लोड करत आहे...
Loading customers...,ग्राहक लोड करत आहे...
Loading database stats...,डेटाबेस आकडेवारी लोड करत आहे...
Loading details...,तपशील लोड करत आहे...
Loading invoice history...,बीजक इतिहास लोड करत आहे...
Loading items...,आयटम लोड करत आहे...
Loading product catalog...,उत्पादन कॅटलॉग लोड करत आहे...
Loading return invoices...,रिटर्न इनव्हॉइस लोड करत आहे...
Loading server CPU/memory usage...,सर्व्हर CPU/मेमरी वापर लोड करत आहे...
Loading suppliers...,पुरवठादार लोड करत आहे...
Loading unpaid invoices...,न भरलेली पावत्या लोड करत आहे...
Loading view...,दृश्य लोड करत आहे...
Loading...,लोड करत आहे...
Local storage is unavailable. Switching to online-only mode.,स्थानिक स्टोरेज अनुपलब्ध आहे. फक्त-ऑनलाइन मोडवर स्विच करत आहे.
localStorage,स्थानिक स्टोरेज
Location Performance,स्थान कार्यप्रदर्शन
Locations,स्थाने
Lock Screen,लॉक स्क्रीन
Lookup Workflow,वर्कफ्लो पहा
Loss,तोटा
Low,कमी
Low Stock,कमी स्टॉक
Low Stock Alerts,कमी स्टॉक अलर्ट
Low Stock Items,कमी स्टॉक आयटम
Low Stock Threshold,कमी स्टॉक थ्रेशोल्ड
Low Stock Total,कमी स्टॉक एकूण
Lowest Margin,सर्वात कमी मार्जिन
Low-frequency maintenance and system details.,कमी-वारंवारता देखभाल आणि सिस्टम तपशील.
Loyalty Redeemed,निष्ठा रिडीम केली
Loyalty Redemption,निष्ठा विमोचन
Make New Payment,नवीन पेमेंट करा
Manage all,सर्व व्यवस्थापित करा
Manage and synchronize your offline transactions,तुमचे ऑफलाइन व्यवहार व्यवस्थापित आणि सिंक्रोनाइझ करा
Manage Cashier PIN,रोखपाल पिन व्यवस्थापित करा
"Manage offline tools, terminal controls, and maintenance from one workspace.","ऑफलाइन साधने, टर्मिनल नियंत्रणे आणि एका कार्यक्षेत्रातून देखभाल व्यवस्थापित करा."
manual,मॅन्युअल
"Manual codes, barcode scans, and QR scans work in the same field","मॅन्युअल कोड, बारकोड स्कॅन आणि QR स्कॅन एकाच क्षेत्रात कार्य करतात"
Manual offline mode is enabled,मॅन्युअल ऑफलाइन मोड सक्षम आहे
Margin,समास
Maximum available quantity is {0}. Quantity adjusted to match stock.,कमाल उपलब्ध प्रमाण {0} आहे. स्टॉक जुळण्यासाठी प्रमाण समायोजित केले.
Maximum discount amount for this offer item is {0}.,या ऑफर आयटमसाठी कमाल सूट रक्कम {0} आहे.
Maximum discount percentage for this offer item is {0}%.,या ऑफर आयटमसाठी कमाल सूट टक्केवारी {0}% आहे.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,कमाल ऑफर प्रमाण {0} आहे. प्रमाण अनुमत मर्यादेत समायोजित केले.
Medium,मध्यम
Method-wise Collections,पद्धतीनुसार संग्रह
Minimum allowed rate for this offer item is {0}.,या ऑफर आयटमसाठी किमान अनुमत दर {0} आहे.
Minimum Qty,किमान प्रमाण
Mobile No,मोबाईल क्र
Mode,मोड
Mode of Payment,पेमेंटची पद्धत
Month,महिना
Month ?,महिना?
Monthly Profit,मासिक नफा
Monthly Sales,मासिक विक्री
Monthly Sales Summary,मासिक विक्री सारांश
Month-wise,महिनावार
Most Active Cashiers,सर्वाधिक सक्रिय कॅशियर
Movement Type,हालचाली प्रकार
Movements,हालचाली
Multi Currency,बहु चलन
N/A,N/A
Name,नाव
Negative Stock,निगेटिव्ह स्टॉक
Negative Stock Items,नकारात्मक स्टॉक आयटम
Negative values not allowed,नकारात्मक मूल्यांना परवानगी नाही
Net,नेट
Net Qty,निव्वळ प्रमाण
Net Sales,निव्वळ विक्री
Net Value,निव्वळ मूल्य
Never,कधीच नाही
New changes are ready to load,नवीन बदल लोड करण्यासाठी तयार आहेत
New Item,नवीन आयटम
New Offer Available,नवीन ऑफर उपलब्ध
New PIN,नवीन पिन
New rate,नवीन दर
Next unit of measure,मापनाचे पुढील एकक
No attribute data found.,कोणताही विशेषता डेटा आढळला नाही.
No Barcode,बारकोड नाही
No barcode found for UOM '{0}',UOM '{0}' साठी बारकोड आढळला नाही
No branch/location data found.,शाखा/स्थान डेटा आढळला नाही.
No brand data found.,कोणताही ब्रँड डेटा आढळला नाही.
No cached gift card balance is available offline.,कोणतीही कॅश्ड गिफ्ट कार्ड शिल्लक ऑफलाइन उपलब्ध नाही.
No camera found on this device. Please ensure your device has a working camera.,या डिव्हाइसवर कोणताही कॅमेरा आढळला नाही. कृपया तुमच्या डिव्हाइसमध्ये कार्यरत कॅमेरा असल्याची खात्री करा.
No capability warnings recorded yet.,अद्याप कोणतीही क्षमता चेतावणी रेकॉर्ड केलेली नाही.
No cash expected for this shift.,या शिफ्टसाठी रोख रक्कम अपेक्षित नाही.
No cash mode configured,कॅश मोड कॉन्फिगर केलेला नाही
No cash movement type is allowed for this POS Profile.,या POS प्रोफाइलसाठी कोणत्याही प्रकारच्या रोख हालचालींना परवानगी नाही.
No cashier PIN is set yet. Create one now.,अद्याप कोणताही रोखपाल पिन सेट केलेला नाही. आता एक तयार करा.
No cashier profiles are available for this POS profile yet.,या POS प्रोफाइलसाठी अद्याप कोणतेही कॅशियर प्रोफाइल उपलब्ध नाहीत.
No cashier-wise discount/void/return activity.,कॅशियरनुसार सवलत/रिकामा/रिटर्न क्रियाकलाप नाही.
No category data found.,कोणताही श्रेणी डेटा आढळला नाही.
No category profitability data found.,कोणताही वर्ग नफा डेटा आढळला नाही.
No change returned recorded for this shift.,या शिफ्टसाठी कोणताही बदल रेकॉर्ड केलेला नाही.
No change-allocation invoices match the current filters.,कोणतेही बदल-वाटप बीजक वर्तमान फिल्टरशी जुळत नाहीत.
No charge head breakdown found.,कोणतेही चार्ज हेड ब्रेकडाउन आढळले नाही.
No Company Selected,कोणतीही कंपनी निवडलेली नाही
No customer sales data found.,कोणताही ग्राहक विक्री डेटा आढळला नाही.
No day-wise discount/void/return trend.,दिवसानुसार सवलत/रिकामा/रिटर्न ट्रेंड नाही.
No day-wise payment data found.,दिवसानुसार पेमेंट डेटा आढळला नाही.
No day-wise profitability trend found.,दिवस-निहाय नफ्याचा ट्रेंड आढळला नाही.
No day-wise purchase data found.,दिवसनिहाय खरेदी डेटा आढळला नाही.
No day-wise sales trend found.,दिवसानुसार विक्रीचा ट्रेंड आढळला नाही.
No day-wise tax/charges trend found.,दिवसानुसार कर/शुल्काचा ट्रेंड आढळला नाही.
No dead stock items.,डेड स्टॉक आयटम नाहीत.
No due date,देय तारीख नाही
No exact repair match found for this invoice,या इन्व्हॉइससाठी कोणतीही अचूक दुरुस्ती जुळली नाही
No hourly sales trend found for today.,आजसाठी प्रति तास विक्रीचा ट्रेंड आढळला नाही.
No invoice activity found.,कोणतेही बीजक क्रियाकलाप आढळले नाहीत.
No invoices found,कोणतेही पावत्या आढळले नाहीत
No invoices found. Try different search criteria.,कोणतेही पावत्या आढळले नाहीत. भिन्न शोध निकष वापरून पहा.
No invoices recorded for this shift.,या शिफ्टसाठी कोणतेही इनव्हॉइस रेकॉर्ड केलेले नाहीत.
No item profitability data found.,कोणताही आयटम नफा डेटा आढळला नाही.
No item sales data found for this period.,या कालावधीसाठी कोणताही आयटम विक्री डेटा आढळला नाही.
No items found,कोणतीही वस्तू आढळली नाही
No items in cart,कार्टमध्ये कोणतेही आयटम नाहीत
No items with barcodes to print,मुद्रित करण्यासाठी बारकोडसह कोणतेही आयटम नाहीत
No location-wise top item data found.,स्थानानुसार शीर्ष आयटम डेटा आढळला नाही.
No low stock alerts right now.,सध्या कमी स्टॉक अलर्ट नाहीत.
No low stock items.,कमी स्टॉक आयटम नाहीत.
No matching items in cart,कार्टमध्ये कोणतेही जुळणारे आयटम नाहीत
No month-wise sales trend found.,महिनावार विक्रीचा ट्रेंड आढळला नाही.
No negative stock items.,कोणतेही नकारात्मक स्टॉक आयटम नाहीत.
No notifications yet,अद्याप कोणत्याही सूचना नाहीत
No offline cash movement synced.,कोणतीही ऑफलाइन रोख हालचाल समक्रमित केली नाही.
No offline invoices pending synchronization,कोणतेही ऑफलाइन इन्व्हॉइस प्रलंबित सिंक्रोनाइझेशन नाहीत
No offline sync issues recorded yet.,अद्याप कोणत्याही ऑफलाइन समक्रमण समस्या रेकॉर्ड केल्या नाहीत.
No out-of-stock items.,साठा नसलेल्या वस्तू नाहीत.
No outstanding credit invoices for this shift.,या शिफ्टसाठी कोणतीही थकबाकी क्रेडिट पावत्या नाहीत.
No payment collection data found.,कोणताही पेमेंट संकलन डेटा आढळला नाही.
No payment rows available on this invoice.,या इनव्हॉइसवर पेमेंट पंक्ती उपलब्ध नाहीत.
No payments registered for this shift.,या शिफ्टसाठी कोणतीही देयके नोंदणीकृत नाहीत.
No pending balances in this period.,या कालावधीत कोणतीही शिल्लक शिल्लक नाही.
No pending offline invoices,कोणतेही प्रलंबित ऑफलाइन चलन नाहीत
No Print Formats Found,कोणतेही मुद्रण स्वरूप आढळले नाही
No profiles found for selected scope. Falling back to current profile failed.,निवडलेल्या व्याप्तीसाठी कोणतेही प्रोफाइल आढळले नाहीत. वर्तमान प्रोफाइलवर परत येणे अयशस्वी.
No recent customer activity found.,कोणतीही अलीकडील ग्राहक क्रियाकलाप आढळली नाही.
No recent stock entries found.,अलीकडील स्टॉक नोंदी आढळल्या नाहीत.
No records found,कोणतेही रेकॉर्ड आढळले नाही
No reorder suggestions right now.,आत्ता कोणत्याही पुनर्क्रमण सूचना नाहीत.
No repeat customers in this period.,या कालावधीत कोणतेही पुनरावृत्ती ग्राहक नाहीत.
No response from server,सर्व्हरकडून प्रतिसाद नाही
No return invoices found,कोणतेही रिटर्न इनव्हॉइस आढळले नाहीत
No return item trend found.,कोणताही परतावा आयटम ट्रेंड आढळला नाही.
No returnable items found for this invoice,या इनव्हॉइससाठी कोणतेही परत करण्यायोग्य आयटम आढळले नाहीत
No returns were processed in this shift.,या शिफ्टमध्ये कोणत्याही रिटर्नची प्रक्रिया झाली नाही.
No risk activity found.,कोणतीही जोखीम क्रियाकलाप आढळला नाही.
No sales activity found for this period.,या कालावधीसाठी कोणतेही विक्री क्रियाकलाप आढळले नाहीत.
No slow moving items.,हळू हलणारे आयटम नाहीत.
No staff sales activity found.,कोणतेही कर्मचारी विक्री क्रियाकलाप आढळले नाहीत.
No stock movement for this period.,या कालावधीसाठी स्टॉकची हालचाल नाही.
No submitted cash movements in this shift.,या शिफ्टमध्ये कोणत्याही जमा केलेल्या रोख हालचाली नाहीत.
No supplier purchases found in this month.,या महिन्यात कोणतेही पुरवठादार खरेदी आढळले नाहीत.
No suppliers found for this period.,या कालावधीसाठी कोणतेही पुरवठादार आढळले नाहीत.
No sync trigger has run yet in this session.,या सत्रात अद्याप कोणतेही सिंक ट्रिगर चाललेले नाही.
No tax head breakdown found.,कोणतेही कर हेड ब्रेकडाउन आढळले नाही.
No top items found for this location.,या स्थानासाठी कोणतेही शीर्ष आयटम आढळले नाहीत.
No unpaid invoices,कोणतेही न भरलेले पावत्या नाहीत
No variant data found.,कोणताही प्रकार डेटा आढळला नाही.
No week-wise sales trend found.,आठवड्यानुसार विक्रीचा ट्रेंड आढळला नाही.
No.,नाही.
Nobile Number,नोबिल नंबर
Not available,उपलब्ध नाही
Not checked,तपासले नाही
Not selected,निवडले नाही
Not Set,सेट नाही
Notifications,सूचना
Offer,ऑफर
Offer Applied,ऑफर लागू
Offer criteria exceeded,ऑफरचे निकष ओलांडले
Offer Item,ऑफर आयटम
Offer item unavailable,ऑफर आयटम अनुपलब्ध
Offer Removed,ऑफर काढली
Offer UOM cannot be changed,ऑफर UOM बदलता येत नाही
Offer?,ऑफर?
Offers,ऑफर करतो
Offline,ऑफलाइन
Offline & Sync,ऑफलाइन आणि सिंक
Offline Capabilities,ऑफलाइन क्षमता
Offline data status refreshed,ऑफलाइन डेटा स्थिती रीफ्रेश केली
Offline diagnostics,ऑफलाइन निदान
Offline Invoices,ऑफलाइन पावत्या
Offline invoices status,ऑफलाइन चलन स्थिती
Offline invoices synced,ऑफलाइन चलन समक्रमित केले
Offline Queue: {0},ऑफलाइन रांग: {0}
Offline rebuild guidance,ऑफलाइन पुनर्बांधणी मार्गदर्शन
Offline restore is unavailable for this session.,या सत्रासाठी ऑफलाइन पुनर्संचयित करणे अनुपलब्ध आहे.
Offline selling is available with degraded capabilities.,ऑफलाइन विक्री खराब क्षमतेसह उपलब्ध आहे.
Offline snapshot does not match the current POS state.,ऑफलाइन स्नॅपशॉट सध्याच्या POS स्थितीशी जुळत नाही.
Offline Status,ऑफलाइन स्थिती
"Offline, terminal, and system controls","ऑफलाइन, टर्मिनल आणि सिस्टम नियंत्रणे"
OK,ठीक आहे
Online,ऑनलाइन
Open actions menu,क्रिया मेनू उघडा
Open balance to collect,गोळा करण्यासाठी शिल्लक उघडा
Open Customer Display,ग्राहक प्रदर्शन उघडा
Open drawer,ड्रॉवर उघडा
Open invoices,पावत्या उघडा
Open Payments?,पेमेंट उघडायचे?
Open POS home,पीओएस होम उघडा
Open this screen from POS Menu -> Open Customer Display.,ही स्क्रीन POS मेनूमधून उघडा -> ग्राहक प्रदर्शन उघडा.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV प्रतिमा प्रक्रिया सक्षम - वर्धित बारकोड शोध
OpenCV image processing unavailable on this device,या डिव्हाइसवर OpenCV प्रतिमा प्रक्रिया अनुपलब्ध आहे
OpenCV Off,OpenCV बंद
OpenCV On,OpenCV चालू
OpenCV processing disabled,OpenCV प्रक्रिया अक्षम
Opening Amount,उघडण्याची रक्कम
Opening Cash,रोख उघडणे
options,पर्याय
Order,ऑर्डर करा
Original,मूळ
Other,इतर
Out,बाहेर
Out of Stock,स्टॉक संपला
Out of Stock Items,स्टॉक संपलेल्या वस्तू
Outstanding,थकबाकी
Outstanding Credit by Currency,चलनानुसार थकबाकी क्रेडिट
Overdue,ओव्हरड्यू
Overpayment Change,जादा पेमेंट बदल
Overpayment change deducted: {0},जादा पेमेंट बदल वजा केला: {0}
Packing List,पॅकिंग यादी
Page Format,पृष्ठ स्वरूप
Page unavailable offline,पृष्ठ ऑफलाइन अनुपलब्ध
Paid,पैसे दिले
Paid (orig):,सशुल्क (मूळ):
Paid Amount,देय रक्कम
Paid change cannot be greater than total change!,सशुल्क बदल एकूण बदलापेक्षा जास्त असू शकत नाही!
Paid:,सशुल्क:
Parent Item,मूळ आयटम
Partial,अर्धवट
Partly Paid,अंशतः सशुल्क
Party Account,पक्ष खाते
Party Type,पार्टी प्रकार
Pause terminal until next cashier,पुढील कॅशियरपर्यंत टर्मिनलला विराम द्या
PAY,पे
Payment,पेमेंट
Payment Account,पेमेंट खाते
Payment entries processed for Invoice {0},चलन {0} साठी पेमेंट नोंदी प्रक्रिया केल्या
Payment Entry Type,पेमेंट एंट्री प्रकार
Payment History,पेमेंट इतिहास
Payment ID,पेमेंट आयडी
Payment Method Report,पेमेंट पद्धत अहवाल
Payment Methods,पेमेंट पद्धती
Payment of {0} received successfully.,{0} चे पेमेंट यशस्वीरित्या प्राप्त झाले.
Payment Progress,देयक प्रगती
Payment Reconciliation,पेमेंट समेट
Payment request status could not be retrieved. Please try again,पेमेंट विनंती स्थिती पुनर्प्राप्त करणे शक्य झाले नाही. कृपया पुन्हा प्रयत्न करा
Payment Request took too long to respond. Please try requesting for payment again,पेमेंट विनंतीला प्रतिसाद देण्यासाठी खूप वेळ लागला. कृपया पेमेंटसाठी पुन्हा विनंती करण्याचा प्रयत्न करा
Payment saved offline,पेमेंट ऑफलाइन सेव्ह केले
Payment State,देयक स्थिती
Payment Status,देयक स्थिती
Payment submitted but print function could not be executed. Payment name not found.,पेमेंट सबमिट केले परंतु प्रिंट फंक्शन कार्यान्वित होऊ शकले नाही. पेमेंटचे नाव सापडले नाही.
Payment submitted.,पेमेंट सबमिट केले.
Payment Summary,पेमेंट सारांश
Payments,देयके
Payments are not open. Do you want to open payments and submit?,देयके खुली नाहीत. तुम्ही पेमेंट उघडून सबमिट करू इच्छिता?
Payments by Mode of Payment,पेमेंटच्या पद्धतीनुसार देयके
PDF,PDF
Peak Hour,पीक अवर
Peak Memory:,पीक मेमरी:
Peak Server:,पीक सर्व्हर:
Peak:,शिखर:
Pending,प्रलंबित
Pending Amount,प्रलंबित रक्कम
Pending count updated from {0} to {1},प्रलंबित संख्या {0} ते {1} पर्यंत अपडेट केली
Pending Exposure,प्रलंबित एक्सपोजर
Pending Invoices,प्रलंबित पावत्या
Pending Ratio,प्रलंबित प्रमाण
Pending Sales,प्रलंबित विक्री
Pending sales: {0} | Cache usage: {1}%,प्रलंबित विक्री: {0} | कॅशे वापर: {1}%
Pending Sync,प्रलंबित सिंक
Pending: {0},प्रलंबित: {0}
Pending: {0} | Synced: {1} | Draft: {2},प्रलंबित: {0} | समक्रमित: {1} | मसुदा: {2}
Per Page,प्रति पृष्ठ
Personal,वैयक्तिक
Personal preferences adjust the current cashier experience without changing the active POS route.,वैयक्तिक प्राधान्ये सक्रिय POS मार्ग न बदलता वर्तमान कॅशियर अनुभव समायोजित करतात.
PIN confirmation does not match.,पिन पुष्टीकरण जुळत नाही.
PIN must be 4 to 8 digits.,पिन 4 ते 8 अंकी असणे आवश्यक आहे.
Please add at least one item.,कृपया किमान एक आयटम जोडा.
Please allow camera access to scan codes,कृपया कॅमेऱ्याला कोड स्कॅन करण्याची अनुमती द्या
Please enter payment amount,कृपया देयक रक्कम प्रविष्ट करा
Please fill all required fields,कृपया सर्व आवश्यक फील्ड भरा
Please make a payment or select a payment,कृपया पेमेंट करा किंवा पेमेंट निवडा
Please request phone payment or use another payment method,कृपया फोन पेमेंटची विनंती करा किंवा दुसरी पेमेंट पद्धत वापरा
Please select a customer first,कृपया प्रथम ग्राहक निवडा
Please select a party,कृपया पक्ष निवडा
Please select a party before reconciling.,कृपया समेट करण्यापूर्वी पक्ष निवडा.
Please select a valid movement type.,कृपया वैध हालचाली प्रकार निवडा.
Please select an invoice,कृपया बीजक निवडा
Please select company before reconciling.,कृपया समेट करण्यापूर्वी कंपनी निवडा.
Please set the customer's mobile number,कृपया ग्राहकाचा मोबाईल नंबर सेट करा
Please try again or enter the item manually.,कृपया पुन्हा प्रयत्न करा किंवा आयटम व्यक्तिचलितपणे प्रविष्ट करा.
Please verify the barcode or check the item's availability.,कृपया बारकोड सत्यापित करा किंवा आयटमची उपलब्धता तपासा.
Points,गुण
Popup blocked. Please allow popups.,पॉपअप अवरोधित केले. कृपया पॉपअपला अनुमती द्या.
POS,POS
POS controls and maintenance,POS नियंत्रणे आणि देखभाल
POS Expense is disabled for this POS Profile.,या POS प्रोफाइलसाठी POS खर्च अक्षम केला आहे.
POS is running with limited offline prerequisites.,POS मर्यादित ऑफलाइन पूर्वतयारीसह चालू आहे.
POS Profile,POS प्रोफाइल
Position the QR code or barcode within the scanning area,स्कॅनिंग क्षेत्रामध्ये QR कोड किंवा बारकोड ठेवा
Posting,पोस्टिंग
Posting and Price List,पोस्टिंग आणि किंमत यादी
Posting Date,पोस्टिंग तारीख
Preparing background sync,पार्श्वभूमी समक्रमण तयार करत आहे
"Press OK to continue offline with a warning, or Cancel to retry.",चेतावणीसह ऑफलाइन सुरू ठेवण्यासाठी ओके दाबा किंवा पुन्हा प्रयत्न करण्यासाठी रद्द करा.
Previous unit of measure,मापनाचे मागील एकक
Price List,किंमत यादी
Price List Rate,किंमत यादी दर
Price list rate updated locally only,किंमत सूची दर केवळ स्थानिक पातळीवर अद्यतनित केला जातो
Pricing & Discounts,किंमत आणि सवलत
Pricing Rule,किंमत नियम
Print,छापा
Print Draft,मसुदा मुद्रित करा
Print Format (Invoice),प्रिंट फॉरमॅट (चालन)
Print Format (Order),प्रिंट फॉरमॅट (ऑर्डर)
Print invoice,चलन छापा
Print Purchase Invoice instead of PO,पीओ ऐवजी खरेदी बीजक मुद्रित करा
Printer,प्रिंटर
Processed returns impacting the shift totals,शिफ्ट बेरीजवर परिणाम करणारे प्रक्रिया केलेले परतावे
Processing Payment,पेमेंट प्रक्रिया करत आहे
Processing payment entries for Invoice {0},बीजक {0} साठी पेमेंट नोंदींवर प्रक्रिया करत आहे
Profile,प्रोफाइल
Profiles,प्रोफाइल
Profit,नफा
Profit: Invoice Item Estimate,नफा: बीजक आयटम अंदाज
Profit: Stock Ledger (COGS),नफा: स्टॉक लेजर (COGS)
Profitability Report,नफा अहवाल
Prorated return discount,यथानुपात परतावा सवलत
Purchase Amount,खरेदीची रक्कम
Purchase Invoices,पावत्या खरेदी करा
Purchase Order created,खरेदी ऑर्डर तयार केली
Qty,प्रमाण
Qualified,पात्र
Quantity,प्रमाण
Quantity exceeds available stock,प्रमाण उपलब्ध स्टॉकपेक्षा जास्त आहे
Quick Actions,जलद क्रिया
Quotation {0} is Submitted,अवतरण {0} सबमिट केले आहे
Quotation submitted,कोटेशन सादर केले
QZ Tray connected.,QZ ट्रे कनेक्ट केला.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ट्रे मॅन्युअली डिस्कनेक्ट आहे. ते पुन्हा सक्षम करण्यासाठी कनेक्ट दाबा.
QZ Tray is not connected.,QZ ट्रे कनेक्ट केलेला नाही.
QZ Tray Setup,QZ ट्रे सेटअप
Rate,रेट करा
