POS Awesome,POS ya Kushangaza
Invalid rate,Kiwango kisicho sahihi
Inventory Status Report,Ripoti ya Hali ya Mali
Invoice,Ankara
Invoice {0} is Submitted,Ankara {0} Imewasilishwa
Invoice {0} processed successfully,Ankara {0} imechakatwa
Invoice {0} submission failed,Uwasilishaji wa ankara {0} haukufaulu
Invoice {0} was already submitted,Ankara {0} ilikuwa tayari imewasilishwa
Invoice Adjustments,Marekebisho ya ankara
Invoice Change,Kubadilisha ankara
Invoice Details,Maelezo ya ankara
Invoice is still in draft after background submission.,Ankara bado iko kwenye rasimu baada ya kuwasilisha chinichini.
Invoice Items,Vipengee vya ankara
Invoice Management,Usimamizi wa ankara
Invoice Mgmt,Ankara Mgmt
Invoice saved offline,Ankara imehifadhiwa nje ya mtandao
Invoice submission failed,Uwasilishaji wa ankara umeshindwa
Invoice Submitted,Ankara Imewasilishwa
"Invoice value settled by loyalty points, not cash collection","Thamani ya ankara inalipwa kwa pointi za uaminifu, si kukusanya pesa"
Invoices,ankara
Invoices already past due date,Ankara tayari zimepita tarehe ya kukamilisha
Invoices saved as POS Invoices,Ankara zimehifadhiwa kama ankara za POS
Invoices still carrying balances,Ankara bado zina salio
Issue Mode,Hali ya Kutoa
Issue New Card,Toa Kadi Mpya
Issue Workflow,Suala Mtiririko wa Kazi
"Issue, top up, and check","Suala, jaza, na uangalie"
Item,Kipengee
Item / Product Sales Report,Ripoti ya Uuzaji wa Bidhaa / Bidhaa
Item {0} added to invoice,Bidhaa {0} imeongezwa kwenye ankara
Item '{0}' has no barcode,Kipengee '{0}' hakina msimbo pau
Item Code,Msimbo wa Kipengee
Item created successfully,Kipengee kimeundwa
Item is out of stock,Bidhaa haipo
Item Name,Jina la Kipengee
Item not found,Kipengee hakijapatikana
Item order updated,Agizo la bidhaa limesasishwa
Item Selector Settings,Mipangilio ya Kiteuzi cha Kipengee
Items,Vipengee
Items added in POS will appear here automatically.,Vipengee vilivyoongezwa katika POS vitaonekana hapa kiotomatiki.
Items added to invoice,Bidhaa zimeongezwa kwenye ankara
Items per page,Vipengee kwa kila ukurasa
Items Sold,Vitu Vilivyouzwa
Items/Invoice,Bidhaa/Ankara
Item-wise Profitability,Faida ya Kipengee
Journal Entry,Kuingia kwa jarida
json,json
Just now,Sasa hivi
Keep offline prerequisites healthy and recover stale data safely.,Weka sharti za nje ya mtandao zikiwa na afya na urejeshe data ya zamani kwa usalama.
Labels,Lebo
"Language, theme, terminal tools, and session controls.","Lugha, mandhari, zana za mwisho, na vidhibiti vya kipindi."
Last,Mwisho
Last 14 Days (Paid vs Pending),Siku 14 Zilizopita (Inalipwa vs Inasubiri)
Last 14 Days Activity,Shughuli ya Siku 14 Zilizopita
Last 14 Days Gross Profit,Faida ya Jumla ya Siku 14 zilizopita
Last 14 Days Purchases,Ununuzi wa Siku 14 Zilizopita
Last 14 Days Tax/Charges,Kodi/Tozo za Siku 14 Zilizopita
Last sync:,Usawazishaji wa mwisho:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Usawazishaji wa mwisho: {0} | sawa: {1} | imeshindwa: {2} | ruka: {3}
Latest entries for current shift,Maingizo ya hivi punde kwa zamu ya sasa
Lead Time,Muda wa Kuongoza
Limited,Kikomo
lines,mistari
List,Orodha
Live Snapshot,Picha moja kwa moja
Load a POS profile and cashier first.,Pakia wasifu wa POS na keshia kwanza.
Load More Invoices,Pakia Ankara Zaidi
Load previously saved invoices,Pakia ankara zilizohifadhiwa hapo awali
Load Sale,Uuzaji wa Mizigo
Load Sales Invoice,Pakia ankara ya Mauzo
Loading app data...,Inapakia data ya programu...
Loading customer database...,Inapakia hifadhidata ya mteja...
Loading customers...,Inapakia wateja...
Loading database stats...,Inapakia takwimu za hifadhidata...
Loading details...,Inapakia maelezo...
Loading invoice history...,Inapakia historia ya ankara...
Loading items...,Inapakia vipengee...
Loading product catalog...,Inapakia katalogi ya bidhaa...
Loading return invoices...,Inapakia ankara za kurejesha...
Loading server CPU/memory usage...,Inapakia seva CPU/matumizi ya kumbukumbu...
Loading suppliers...,Inapakia wasambazaji...
Loading unpaid invoices...,Inapakia ankara ambazo hazijalipwa...
Loading view...,Inapakia mwonekano...
Loading...,Inapakia...
Local storage is unavailable. Switching to online-only mode.,Hifadhi ya ndani haipatikani. Inabadilisha hadi hali ya mtandaoni pekee.
localStorage,Hifadhi ya ndani
Location Performance,Utendaji wa Mahali
Locations,Maeneo
Lock Screen,Funga Skrini
Lookup Workflow,Tafuta mtiririko wa kazi
Loss,Hasara
Low,Chini
Low Stock,Hisa ya Chini
Low Stock Alerts,Arifa za Hisa ya Chini
Low Stock Items,Vipengee vya chini vya Hisa
Low Stock Threshold,Kiwango cha chini cha Hisa
Low Stock Total,Jumla ya Hisa ya Chini
Lowest Margin,Pambizo la chini kabisa
Low-frequency maintenance and system details.,Matengenezo ya masafa ya chini na maelezo ya mfumo.
Loyalty Redeemed,Uaminifu Umekombolewa
Loyalty Redemption,Ukombozi wa Uaminifu
Make New Payment,Fanya Malipo Mapya
Manage all,Dhibiti yote
Manage and synchronize your offline transactions,Dhibiti na usawazishe miamala yako ya nje ya mtandao
Manage Cashier PIN,Dhibiti PIN ya Keshia
"Manage offline tools, terminal controls, and maintenance from one workspace.","Dhibiti zana za nje ya mtandao, vidhibiti vya matumizi na matengenezo kutoka kwa nafasi moja ya kazi."
manual,mwongozo
"Manual codes, barcode scans, and QR scans work in the same field","Nambari za misimbo, uchanganuzi wa misimbopau na uchanganuzi wa QR hufanya kazi katika sehemu moja"
Manual offline mode is enabled,Hali ya nje ya mtandao mwenyewe imewezeshwa
Margin,Pembezoni
Maximum available quantity is {0}. Quantity adjusted to match stock.,Kiwango cha juu kinachopatikana ni {0}. Kiasi kimerekebishwa ili kuendana na hisa.
Maximum discount amount for this offer item is {0}.,Kiwango cha juu cha punguzo la bidhaa hii ya ofa ni {0}.
Maximum discount percentage for this offer item is {0}%.,Asilimia ya juu zaidi ya punguzo kwa bidhaa hii ya ofa ni {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Kiwango cha juu cha ofa ni {0}. Kiasi kimerekebishwa hadi kikomo kinachoruhusiwa.
Medium,Kati
Method-wise Collections,Mikusanyiko ya busara
Minimum allowed rate for this offer item is {0}.,Kiwango cha chini kinachoruhusiwa cha bidhaa hii ya ofa ni {0}.
Minimum Qty,Kiwango cha chini cha Qty
Mobile No,Simu No
Mode,Hali
Mode of Payment,Njia ya Malipo
Month,Mwezi
Month ?,Mwezi?
Monthly Profit,Faida ya Kila Mwezi
Monthly Sales,Mauzo ya Kila Mwezi
Monthly Sales Summary,Muhtasari wa Mauzo ya Kila Mwezi
Month-wise,Kwa mwezi
Most Active Cashiers,Washika Pesa Wanaotumika Zaidi
Movement Type,Aina ya Mwendo
Movements,Harakati
Multi Currency,Sarafu nyingi
N/A,N/A
Name,Jina
Negative Stock,Hisa Hasi
Negative Stock Items,Vipengee Hasi vya Hisa
Negative values not allowed,Thamani hasi haziruhusiwi
Net,Net
Net Qty,Ukubwa kamili
Net Sales,Uuzaji wa jumla
Net Value,Thamani halisi
Never,Kamwe
New changes are ready to load,Mabadiliko mapya yako tayari kupakiwa
New Item,Kipengee Kipya
New Offer Available,Ofa Mpya Inapatikana
New PIN,PIN mpya
New rate,Kiwango kipya
Next unit of measure,Sehemu inayofuata ya kipimo
No attribute data found.,Hakuna data ya sifa iliyopatikana.
No Barcode,Hakuna Msimbo Pau
No barcode found for UOM '{0}',Hakuna msimbo pau uliopatikana wa UOM '{0}'
No branch/location data found.,Hakuna data ya tawi/mahali iliyopatikana.
No brand data found.,Hakuna data ya chapa iliyopatikana.
No cached gift card balance is available offline.,Hakuna salio la kadi ya zawadi iliyoakibishwa linapatikana nje ya mtandao.
No camera found on this device. Please ensure your device has a working camera.,Hakuna kamera iliyopatikana kwenye kifaa hiki. Tafadhali hakikisha kuwa kifaa chako kina kamera inayofanya kazi.
No capability warnings recorded yet.,Hakuna maonyo ya uwezo yaliyorekodiwa bado.
No cash expected for this shift.,Hakuna pesa inayotarajiwa kwa zamu hii.
No cash mode configured,Hakuna hali ya pesa iliyosanidiwa
No cash movement type is allowed for this POS Profile.,Hakuna aina ya uhamishaji pesa inayoruhusiwa kwa Wasifu huu wa POS.
No cashier PIN is set yet. Create one now.,Bado hakuna PIN ya keshia iliyowekwa. Unda moja sasa.
No cashier profiles are available for this POS profile yet.,Bado hakuna wasifu wa keshia unaopatikana kwa wasifu huu wa POS.
No cashier-wise discount/void/return activity.,Hakuna punguzo la busara / shughuli batili / kurejesha pesa.
No category data found.,Hakuna data ya kategoria iliyopatikana.
No category profitability data found.,Hakuna data ya kategoria ya faida iliyopatikana.
No change returned recorded for this shift.,Hakuna mabadiliko yaliyorejeshwa yaliyorekodiwa kwa zamu hii.
No change-allocation invoices match the current filters.,Hakuna ankara za kubadilisha mgao zinazolingana na vichujio vya sasa.
No charge head breakdown found.,Hakuna uchanganuzi wa kichwa cha malipo uliopatikana.
No Company Selected,Hakuna Kampuni Iliyochaguliwa
No customer sales data found.,Hakuna data ya mauzo ya wateja iliyopatikana.
No day-wise discount/void/return trend.,Hakuna punguzo la siku/batili/kurejesha mtindo.
No day-wise payment data found.,Hakuna data ya malipo ya kila siku iliyopatikana.
No day-wise profitability trend found.,Hakuna mwelekeo wa faida wa kila siku uliopatikana.
No day-wise purchase data found.,Hakuna data ya ununuzi wa kila siku iliyopatikana.
No day-wise sales trend found.,Hakuna mwelekeo wa mauzo wa busara wa siku uliopatikana.
No day-wise tax/charges trend found.,Hakuna mwelekeo wa ushuru/tozo wa siku iliyopatikana.
No dead stock items.,Hakuna vitu vya hisa vilivyokufa.
No due date,Hakuna tarehe ya kukamilisha
No exact repair match found for this invoice,Hakuna urekebishaji kamili unaolingana na ankara hii
No hourly sales trend found for today.,Hakuna mwelekeo wa mauzo wa kila saa uliopatikana kwa leo.
No invoice activity found.,Hakuna shughuli ya ankara iliyopatikana.
No invoices found,Hakuna ankara zilizopatikana
No invoices found. Try different search criteria.,Hakuna ankara zilizopatikana. Jaribu vigezo tofauti vya utafutaji.
No invoices recorded for this shift.,Hakuna ankara zilizorekodiwa za zamu hii.
No item profitability data found.,Hakuna data ya faida ya bidhaa iliyopatikana.
No item sales data found for this period.,Hakuna data ya mauzo ya bidhaa iliyopatikana kwa kipindi hiki.
No items found,Hakuna vipengee vilivyopatikana
No items in cart,Hakuna vitu kwenye rukwama
No items with barcodes to print,Hakuna vipengee vilivyo na misimbopau vya kuchapishwa
No location-wise top item data found.,Hakuna data ya kipengee cha juu kinachozingatia eneo iliyopatikana.
No low stock alerts right now.,Hakuna arifa za hisa za chini kwa sasa.
No low stock items.,Hakuna bidhaa za hisa za chini.
No matching items in cart,Hakuna bidhaa zinazolingana kwenye rukwama
No month-wise sales trend found.,Hakuna mwelekeo wa mauzo wa mwezi uliopatikana.
No negative stock items.,Hakuna vitu hasi vya hisa.
No notifications yet,Bado hakuna arifa
No offline cash movement synced.,Hakuna harakati za pesa za nje ya mtandao zilizosawazishwa.
No offline invoices pending synchronization,Hakuna ankara za nje ya mtandao zinazosubiri kusawazishwa
No offline sync issues recorded yet.,Bado hakuna matatizo ya usawazishaji ya nje ya mtandao.
No out-of-stock items.,Hakuna bidhaa ambazo hazijauzwa.
No outstanding credit invoices for this shift.,Hakuna ankara za mkopo ambazo hazijalipwa za zamu hii.
No payment collection data found.,Hakuna data ya ukusanyaji wa malipo iliyopatikana.
No payment rows available on this invoice.,Hakuna safu mlalo za malipo zinazopatikana kwenye ankara hii.
No payments registered for this shift.,Hakuna malipo yaliyosajiliwa kwa zamu hii.
No pending balances in this period.,Hakuna salio linalosubiri katika kipindi hiki.
No pending offline invoices,Hakuna ankara zinazosubiri za nje ya mtandao
No Print Formats Found,Hakuna Miundo ya Kuchapisha Iliyopatikana
No profiles found for selected scope. Falling back to current profile failed.,Hakuna wasifu uliopatikana kwa upeo uliochaguliwa. Imeshindwa kurudi kwenye wasifu wa sasa.
No recent customer activity found.,Hakuna shughuli za hivi majuzi za mteja zilizopatikana.
No recent stock entries found.,Hakuna maingizo ya hivi majuzi ya hisa yaliyopatikana.
No records found,Hakuna rekodi zilizopatikana
No reorder suggestions right now.,Hakuna mapendekezo ya kupanga upya kwa sasa.
No repeat customers in this period.,Hakuna wateja wa kurudia katika kipindi hiki.
No response from server,Hakuna jibu kutoka kwa seva
No return invoices found,Hakuna ankara za kurejesha zilizopatikana
No return item trend found.,Hakuna mtindo wa kurejesha bidhaa.
No returnable items found for this invoice,Hakuna bidhaa zinazoweza kurejeshwa zilizopatikana kwa ankara hii
No returns were processed in this shift.,Hakuna marejesho yaliyochakatwa katika zamu hii.
No risk activity found.,Hakuna shughuli ya hatari iliyopatikana.
No sales activity found for this period.,Hakuna shughuli ya mauzo iliyopatikana kwa kipindi hiki.
No slow moving items.,Hakuna vitu vinavyosonga polepole.
No staff sales activity found.,Hakuna shughuli ya mauzo ya wafanyikazi iliyopatikana.
No stock movement for this period.,Hakuna harakati za hisa kwa kipindi hiki.
No submitted cash movements in this shift.,Hakuna harakati za pesa zilizowasilishwa katika zamu hii.
No supplier purchases found in this month.,Hakuna ununuzi wa wasambazaji uliopatikana mwezi huu.
No suppliers found for this period.,Hakuna wasambazaji waliopatikana kwa kipindi hiki.
No sync trigger has run yet in this session.,Hakuna kichochezi cha kusawazisha ambacho kimeendeshwa katika kipindi hiki.
No tax head breakdown found.,Hakuna uchanganuzi wa kichwa cha ushuru uliopatikana.
No top items found for this location.,Hakuna vipengee vya juu vilivyopatikana vya eneo hili.
No unpaid invoices,Hakuna ankara ambazo hazijalipwa
No variant data found.,Hakuna data lahaja iliyopatikana.
No week-wise sales trend found.,Hakuna mwelekeo wa mauzo wa wiki uliopatikana.
No.,Hapana.
Nobile Number,Nambari ya Nobile
Not available,Haipatikani
Not checked,Haijaangaliwa
Not selected,Haijachaguliwa
Not Set,Haijawekwa
Notifications,Arifa
Offer,Toa
Offer Applied,Ofa Imetumika
Offer criteria exceeded,Vigezo vya ofa vimepitwa
Offer Item,Bidhaa ya Ofa
Offer item unavailable,Kipengee cha ofa hakipatikani
Offer Removed,Ofa Imeondolewa
Offer UOM cannot be changed,Ofa ya UOM haiwezi kubadilishwa
Offer?,Toa?
Offers,Matoleo
Offline,Nje ya mtandao
Offline & Sync,Nje ya mtandao na Usawazishaji
Offline Capabilities,Uwezo wa Nje ya Mtandao
Offline data status refreshed,Hali ya data ya nje ya mtandao imeonyeshwa upya
Offline diagnostics,Uchunguzi wa nje ya mtandao
Offline Invoices,Ankara za nje ya mtandao
Offline invoices status,Hali ya ankara za nje ya mtandao
Offline invoices synced,Ankara za nje ya mtandao zimesawazishwa
Offline Queue: {0},Foleni ya Nje ya Mtandao: {0}
Offline rebuild guidance,Mwongozo wa uundaji upya nje ya mtandao
Offline restore is unavailable for this session.,Urejeshaji wa nje ya mtandao haupatikani kwa kipindi hiki.
Offline selling is available with degraded capabilities.,Uuzaji wa nje ya mtandao unapatikana kwa uwezo duni.
Offline snapshot does not match the current POS state.,Picha ya nje ya mtandao hailingani na hali ya sasa ya POS.
Offline Status,Hali ya Nje ya Mtandao
"Offline, terminal, and system controls","Vidhibiti vya nje ya mtandao, terminal na mfumo"
OK,SAWA
Online,Mtandaoni
Open actions menu,Fungua menyu ya vitendo
Open balance to collect,Fungua salio ili kukusanya
Open Customer Display,Fungua Onyesho la Wateja
Open drawer,Fungua droo
Open invoices,Fungua ankara
Open Payments?,Ungependa kufungua Malipo?
Open POS home,Fungua POS nyumbani
Open this screen from POS Menu -> Open Customer Display.,Fungua skrini hii kutoka kwa Menyu ya POS -> Fungua Onyesho la Mteja.
OpenCV image processing enabled - Enhanced barcode detection,Uchakataji wa picha wa OpenCV umewashwa - Utambuzi ulioboreshwa wa msimbopau
OpenCV image processing unavailable on this device,Uchakataji wa picha ya OpenCV haupatikani kwenye kifaa hiki
OpenCV Off,OpenCV Imezimwa
OpenCV On,OpenCV Imewashwa
OpenCV processing disabled,Uchakataji wa OpenCV umezimwa
Opening Amount,Kiasi cha Kufungua
Opening Cash,Kufungua Fedha
options,chaguzi
Order,Agizo
Original,Asili
Other,Nyingine
Out,Nje
Out of Stock,Imeisha
Out of Stock Items,Bidhaa Zisizouzwa
Outstanding,Bora
Outstanding Credit by Currency,Mkopo Uliolipwa kwa Sarafu
Overdue,Imepitwa na wakati
Overpayment Change,Mabadiliko ya malipo ya ziada
Overpayment change deducted: {0},Mabadiliko ya malipo ya ziada yamekatwa: {0}
Packing List,Orodha ya Ufungashaji
Page Format,Umbizo la Ukurasa
Page unavailable offline,Ukurasa haupatikani nje ya mtandao
Paid,Imelipwa
Paid (orig):,Imelipwa (asili):
Paid Amount,Kiasi Kilicholipwa
Paid change cannot be greater than total change!,Mabadiliko yanayolipwa hayawezi kuwa makubwa kuliko mabadiliko yote!
Paid:,Imelipwa:
Parent Item,Kipengee cha Mzazi
Partial,Sehemu
Partly Paid,Imelipwa kwa kiasi
Party Account,Akaunti ya Chama
Party Type,Aina ya Chama
Pause terminal until next cashier,Sitisha kituo hadi mtunza fedha mwingine
PAY,LIPA
Payment,Malipo
Payment Account,Akaunti ya Malipo
Payment entries processed for Invoice {0},Maingizo ya malipo yamechakatwa kwa Ankara {0}
Payment Entry Type,Aina ya Ingizo la Malipo
Payment History,Historia ya Malipo
Payment ID,Kitambulisho cha malipo
Payment Method Report,Ripoti ya Njia ya Malipo
Payment Methods,Mbinu za Malipo
Payment of {0} received successfully.,Malipo ya {0} yamepokelewa.
Payment Progress,Maendeleo ya Malipo
Payment Reconciliation,Upatanisho wa Malipo
Payment request status could not be retrieved. Please try again,Hali ya ombi la malipo haikuweza kurejeshwa. Tafadhali jaribu tena
Payment Request took too long to respond. Please try requesting for payment again,Ombi la Malipo lilichukua muda mrefu sana kujibu. Tafadhali jaribu kuomba malipo tena
Payment saved offline,Malipo yamehifadhiwa nje ya mtandao
Payment State,Hali ya Malipo
Payment Status,Hali ya Malipo
Payment submitted but print function could not be executed. Payment name not found.,Malipo yamewasilishwa lakini utendakazi wa kuchapisha haukuweza kutekelezwa. Jina la malipo halijapatikana.
Payment submitted.,Malipo yamewasilishwa.
Payment Summary,Muhtasari wa Malipo
Payments,Malipo
Payments are not open. Do you want to open payments and submit?,"Malipo hayajafunguliwa. Je, ungependa kufungua malipo na kuwasilisha?"
Payments by Mode of Payment,Malipo kwa Njia ya Malipo
PDF,PDF
Peak Hour,Saa ya Kilele
Peak Memory:,Kumbukumbu ya kilele:
Peak Server:,Seva ya kilele:
Peak:,Kilele:
Pending,Inasubiri
Pending Amount,Kiasi Kinachosubiri
Pending count updated from {0} to {1},Idadi inayosubiri imesasishwa kutoka {0} hadi {1}
Pending Exposure,Inasubiri Mfichuo
Pending Invoices,Ankara Zinazosubiri
Pending Ratio,Uwiano Unaosubiri
Pending Sales,Mauzo Yanayosubiri
Pending sales: {0} | Cache usage: {1}%,Mauzo ambayo hayajashughulikiwa: {0} | Matumizi ya akiba: {1}%
Pending Sync,Inasubiri Usawazishaji
Pending: {0},Inasubiri: {0}
Pending: {0} | Synced: {1} | Draft: {2},Inasubiri: {0} | Imesawazishwa: {1} | Rasimu: {2}
Per Page,Kwa Ukurasa
Personal,Binafsi
Personal preferences adjust the current cashier experience without changing the active POS route.,Mapendeleo ya kibinafsi hurekebisha matumizi ya sasa ya keshia bila kubadilisha njia inayotumika ya POS.
PIN confirmation does not match.,Uthibitishaji wa PIN haulingani.
PIN must be 4 to 8 digits.,PIN lazima iwe na tarakimu 4 hadi 8.
Please add at least one item.,Tafadhali ongeza angalau kipengee kimoja.
Please allow camera access to scan codes,Tafadhali ruhusu ufikiaji wa kamera ili kuchanganua misimbo
Please enter payment amount,Tafadhali weka kiasi cha malipo
Please fill all required fields,Tafadhali jaza sehemu zote zinazohitajika
Please make a payment or select a payment,Tafadhali fanya malipo au uchague malipo
Please request phone payment or use another payment method,Tafadhali omba malipo ya simu au utumie njia nyingine ya kulipa
Please select a customer first,Tafadhali chagua mteja kwanza
Please select a party,Tafadhali chagua sherehe
Please select a party before reconciling.,Tafadhali chagua chama kabla ya kupatanisha.
Please select a valid movement type.,Tafadhali chagua aina sahihi ya harakati.
Please select an invoice,Tafadhali chagua ankara
Please select company before reconciling.,Tafadhali chagua kampuni kabla ya kupatanisha.
Please set the customer's mobile number,Tafadhali weka nambari ya simu ya mteja
Please try again or enter the item manually.,Tafadhali jaribu tena au uweke kipengee wewe mwenyewe.
Please verify the barcode or check the item's availability.,Tafadhali thibitisha msimbo pau au uangalie upatikanaji wa bidhaa.
Points,Pointi
Popup blocked. Please allow popups.,Dirisha ibukizi limezuiwa. Tafadhali ruhusu madirisha ibukizi.
POS,POS
POS controls and maintenance,Udhibiti na matengenezo ya POS
POS Expense is disabled for this POS Profile.,Gharama ya POS imezimwa kwa Wasifu huu wa POS.
POS is running with limited offline prerequisites.,POS inaendeshwa na masharti machache ya nje ya mtandao.
POS Profile,Wasifu wa POS
Position the QR code or barcode within the scanning area,Weka msimbo wa QR au msimbopau ndani ya eneo la kuchanganua
Posting,Inachapisha
Posting and Price List,Orodha ya Machapisho na Bei
Posting Date,Tarehe ya Kuchapisha
Preparing background sync,Inatayarisha usawazishaji wa usuli
"Press OK to continue offline with a warning, or Cancel to retry.","Bonyeza SAWA ili kuendelea nje ya mtandao kwa onyo, au Ghairi ili ujaribu tena."
Previous unit of measure,Kitengo cha awali cha kipimo
Price List,Orodha ya Bei
Price List Rate,Kiwango cha Orodha ya Bei
Price list rate updated locally only,Kiwango cha orodha ya bei kimesasishwa ndani ya nchi pekee
Pricing & Discounts,Bei na Punguzo
Pricing Rule,Kanuni ya Bei
Print,Chapisha
Print Draft,Chapisha Rasimu
Print Format (Invoice),Umbizo la Chapisha (Ankara)
Print Format (Order),Umbizo la Chapisha (Agizo)
Print invoice,Chapisha ankara
Print Purchase Invoice instead of PO,Chapisha Ankara ya Ununuzi badala ya PO
Printer,Kichapishaji
Processed returns impacting the shift totals,Marejesho yaliyochakatwa yanayoathiri jumla ya zamu
Processing Payment,Inachakata Malipo
Processing payment entries for Invoice {0},Inachakata maingizo ya malipo ya Ankara {0}
Profile,Wasifu
Profiles,Wasifu
Profit,Faida
Profit: Invoice Item Estimate,Faida: Kadirio la Kipengee cha Ankara
Profit: Stock Ledger (COGS),Faida: Leja ya Hisa (COGS)
Profitability Report,Ripoti ya Faida
Prorated return discount,Punguzo la kurudi lililokadiriwa
Purchase Amount,Kiasi cha Kununua
Purchase Invoices,Nunua ankara
Purchase Order created,Agizo la Ununuzi limeundwa
Qty,Kiasi
Qualified,Imehitimu
Quantity,Kiasi
Quantity exceeds available stock,Kiasi kinazidi hisa inayopatikana
Quick Actions,Vitendo vya Haraka
Quotation {0} is Submitted,Nukuu {0} Imewasilishwa
Quotation submitted,Nukuu imewasilishwa
QZ Tray connected.,Tray ya QZ imeunganishwa.
QZ Tray is manually disconnected. Press Connect to enable it again.,Tray ya QZ imekatwa kwa mikono. Bonyeza Unganisha ili kuiwasha tena.
QZ Tray is not connected.,Tray ya QZ haijaunganishwa.
QZ Tray Setup,Usanidi wa Tray ya QZ
Rate,Kiwango
Rate adjusted to maximum allowed discount,Kiwango kimerekebishwa hadi punguzo la juu linaloruhusiwa
Ready,Tayari
Ready to resume,Tayari kuendelea
Ready!,Tayari!
Real-time POS insights for retail operations.,Maarifa ya POS ya wakati halisi ya shughuli za rejareja.
Rebuild Offline Data,Unda upya Data ya Nje ya Mtandao
Receive,Pokea
Receive now,Pokea sasa
Received,Imepokelewa
Received:,Imepokelewa:
Recent Movement Entries,Maingizo ya Hivi Punde ya Harakati
Recent updates about your invoices,Taarifa za hivi majuzi kuhusu ankara zako
Recently Active Customers,Wateja Wanaotumika Hivi Karibuni
Rechecking connection,Inakagua tena muunganisho
Reconcile payment methods and close shift,Sawazisha njia za malipo na mabadiliko ya karibu
Reconciling Payments,Kulinganisha Malipo
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Unganisha upya na ufungue ukurasa huu mara moja ukiwa mtandaoni, kisha uonyeshaji upya nje ya mtandao utaweza kuurejesha."
Reconnect online to refresh cached offline data from the server.,Unganisha upya mtandaoni ili kuonyesha upya data iliyohifadhiwa nje ya mtandao kutoka kwa seva.
Recreate local offline prerequisites from scratch,Unda upya mahitaji ya ndani ya nje ya mtandao kuanzia mwanzo
Recv:,Recv:
Redeem,Komboa
Redeem / Scan,Komboa / Changanua
Redeem Amount,Komboa Kiasi
Redeem Mode,Tumia Hali
Redeemed Amount,Kiasi Kilichokombolewa
Redeemed credit cannot be greater than its total.,Salio iliyokombolewa haiwezi kuwa kubwa kuliko jumla yake.
Redemption and Totals,Ukombozi na Jumla
Reference,Rejea
Refresh,Onyesha upya
Refresh Exchange Rate,Onyesha upya Kiwango cha ubadilishaji
Refresh Offline Data,Onyesha upya Data ya Nje ya Mtandao
Refresh Printers,Onyesha upya Vichapishaji
Refund,Rejesha pesa
Release Notes,Vidokezo vya Kutolewa
Reload,Pakia upya
Reload customers,Pakia upya wateja
Reload Items,Pakia upya Vipengee
Reload Now,Pakia Upya Sasa
Reload to apply the latest changes. Your current session will be refreshed.,Pakia upya ili kutumia mabadiliko ya hivi punde. Kipindi chako cha sasa kitaonyeshwa upya.
Reload Workflow,Pakia upya Mtiririko wa Kazi
Remarks,Maoni
Remarks are required.,Maoni yanahitajika.
Remove,Ondoa
Remove barcode item,Ondoa kipengee cha msimbopau
Remove cached data and reload the POS app,Ondoa data iliyohifadhiwa na upakie upya programu ya POS
Remove item,Ondoa kipengee
Remove Offer,Ondoa Ofa
Reorder / Purchase Suggestions,Panga Upya / Nunua Mapendekezo
Repair Candidate,Rekebisha Mgombea
Repair Change Allocation,Rekebisha Mgao wa Mabadiliko
Repair requires an online connection,Ukarabati unahitaji muunganisho wa mtandaoni
Repaired,Imetengenezwa
Repairing change allocation,Inarekebisha mgao wa mabadiliko
Repeat Customers,Rudia Wateja
Repeat Rate,Kiwango cha Rudia
Request,Ombi
Request ID: {0},Ombi la kitambulisho: {0}
Request Payment,Omba Malipo
Requested route: {0},Umeomba njia: {0}
Required columns cannot be hidden,Safu wima zinazohitajika haziwezi kufichwa
Reset,Weka upya
Reset item name,Weka upya jina la kipengee
Reset to Default,Weka upya kwa Chaguomsingi
Resource Health,Afya ya Rasilimali
Restricted,Imezuiwa
Restricted operational controls for supervisors only.,Vidhibiti vya uendeshaji vilivyowekewa vikwazo kwa wasimamizi pekee.
Retry,Jaribu tena
Retry route,Jaribu tena njia
Return,Rudi
Return Amount,Kiasi cha Kurudisha
Return Count,Hesabu ya Kurudi
Return items must have negative quantities,Vipengee vya kurejesha lazima ziwe na idadi hasi
Return total must be negative,Jumla ya urejeshaji lazima iwe hasi
Return Valid Until,Kurudi Hutumika Hadi
Return window passed,Dirisha la kurudi limepitishwa
Return without Invoice,Rudisha bila ankara
Returns,Inarudi
Returns / Voids / Discounts,Marejesho / Utupu / Punguzo
Returns by Currency,Hurejesha kwa Sarafu
Revenue,Mapato
Review shift totals before submitting the closing entry,Kagua jumla za zamu kabla ya kuwasilisha ingizo la kufunga
Round Off,Mzunguko Mbali
Rows,Safu
Rows:,Safu mlalo:
Rule,Kanuni
Sale,Uuzaji
Sales,Mauzo
Sales Order {0} is Submitted,Agizo la Mauzo {0} limewasilishwa
Sales Person and Print,Mtu wa Uuzaji na Uchapishaji
Sales Person not found,Mtu wa Uuzaji hajapatikana
Sales processed,Mauzo yamechakatwa
Sales Return,Kurudi kwa Mauzo
Sales Trend Report,Ripoti ya Mwenendo wa Mauzo
Save,Hifadhi
Save & Clear,Hifadhi & Futa
