POS Awesome,POS страхотно
Low Stock Threshold,Нисък праг на склад
Low Stock Total,Нисък общ запас
Lowest Margin,Най-нисък марж
Low-frequency maintenance and system details.,Нискочестотна поддръжка и подробности за системата.
Loyalty Redeemed,Изкупена лоялност
Loyalty Redemption,Откупуване за лоялност
Make New Payment,Направете ново плащане
Manage all,Управлявайте всички
Manage and synchronize your offline transactions,Управлявайте и синхронизирайте вашите офлайн транзакции
Manage Cashier PIN,Управление на ПИН на касата
"Manage offline tools, terminal controls, and maintenance from one workspace.","Управлявайте офлайн инструменти, терминални контроли и поддръжка от едно работно пространство."
manual,ръководство
"Manual codes, barcode scans, and QR scans work in the same field","Ръчните кодове, сканирането на баркод и QR сканирането работят в едно и също поле"
Manual offline mode is enabled,Ръчният офлайн режим е активиран
Margin,Марж
Maximum available quantity is {0}. Quantity adjusted to match stock.,"Максималното налично количество е {0}. Количеството е коригирано, за да съответства на наличността."
Maximum discount amount for this offer item is {0}.,Максималната сума на отстъпката за този артикул от офертата е {0}.
Maximum discount percentage for this offer item is {0}%.,Максималният процент на отстъпка за този артикул от офертата е {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Максималното количество на офертата е {0}. Количеството е коригирано до разрешената граница.
Medium,Среден
Method-wise Collections,Методически колекции
Minimum allowed rate for this offer item is {0}.,Минималната разрешена цена за този артикул от офертата е {0}.
Minimum Qty,Минимално кол
Mobile No,Мобилен номер
Mode,Режим
Mode of Payment,Начин на плащане
Month,месец
Month ?,месец?
Monthly Profit,Месечна печалба
Monthly Sales,Месечни продажби
Monthly Sales Summary,Обобщение на месечните продажби
Month-wise,Месечно
Most Active Cashiers,Най-активните касиери
Movement Type,Тип движение
Movements,Движения
Multi Currency,Мулти валута
N/A,N/A
Name,Име
Negative Stock,Отрицателна наличност
Negative Stock Items,Отрицателни стокови артикули
Negative values not allowed,Не се допускат отрицателни стойности
Net,Нет
Net Qty,Нетно количество
Net Sales,Нетни продажби
Net Value,Нетна стойност
Never,Никога
New changes are ready to load,Новите промени са готови за зареждане
New Item,Нов артикул
New Offer Available,Налична е нова оферта
New PIN,Нов ПИН
New rate,Нова ставка
Next unit of measure,Следваща мерна единица
No attribute data found.,Няма намерени атрибутни данни.
No Barcode,Без баркод
No barcode found for UOM '{0}',Не е намерен баркод за UOM „{0}“
No branch/location data found.,Няма намерени данни за клон/местоположение.
No brand data found.,Няма намерени данни за марката.
No cached gift card balance is available offline.,"Няма кеширан баланс на подаръчна карта, който да е наличен офлайн."
No camera found on this device. Please ensure your device has a working camera.,"Няма намерена камера на това устройство. Моля, уверете се, че вашето устройство има работеща камера."
No capability warnings recorded yet.,Все още няма записани предупреждения за възможности.
No cash expected for this shift.,Не се очакват пари в брой за тази смяна.
No cash mode configured,Няма конфигуриран режим на плащане в брой
No cash movement type is allowed for this POS Profile.,За този POS профил не е разрешен тип движение на пари в брой.
No cashier PIN is set yet. Create one now.,Все още не е зададен ПИН на касата. Създайте сега.
No cashier profiles are available for this POS profile yet.,Все още няма профили на касиери за този POS профил.
No cashier-wise discount/void/return activity.,Няма дейност по отстъпка/анулиране/връщане на касиер.
No category data found.,Няма намерени данни за категория.
No category profitability data found.,Няма намерени данни за рентабилността на категорията.
No change returned recorded for this shift.,Няма записана върната промяна за тази смяна.
No change-allocation invoices match the current filters.,"Няма фактури за разпределение на промени, които да съответстват на текущите филтри."
No charge head breakdown found.,Не е открита повреда на зарядната глава.
No Company Selected,Няма избрана компания
No customer sales data found.,Няма намерени данни за продажби на клиенти.
No day-wise discount/void/return trend.,Без тенденция за отстъпка/анулиране/връщане през деня.
No day-wise payment data found.,Не са открити данни за плащане за деня.
No day-wise profitability trend found.,Не е открита дневна тенденция на доходност.
No day-wise purchase data found.,Няма намерени данни за покупките за деня.
No day-wise sales trend found.,Не е открита дневна тенденция в продажбите.
No day-wise tax/charges trend found.,Не е открита дневна тенденция за данъци/такси.
No dead stock items.,Няма мъртви артикули.
No due date,Няма краен срок
No exact repair match found for this invoice,Не е намерено точно съвпадение на ремонта за тази фактура
No hourly sales trend found for today.,Няма открита почасова тенденция на продажби за днес.
No invoice activity found.,Няма открита дейност по фактура.
No invoices found,Няма открити фактури
No invoices found. Try different search criteria.,Няма открити фактури. Опитайте различни критерии за търсене.
No invoices recorded for this shift.,Няма записани фактури за тази смяна.
No item profitability data found.,Няма намерени данни за рентабилността на артикулите.
No item sales data found for this period.,Няма намерени данни за продажби на артикули за този период.
No items found,Няма намерени елементи
No items in cart,Няма артикули в количката
No items with barcodes to print,Няма елементи с баркод за отпечатване
No location-wise top item data found.,Не са открити данни за топ артикул по отношение на местоположението.
No low stock alerts right now.,В момента няма сигнали за ниски запаси.
No low stock items.,Няма артикули с ниска наличност.
No matching items in cart,Няма съответстващи артикули в количката
No month-wise sales trend found.,Не е открита месечна тенденция в продажбите.
No negative stock items.,Няма отрицателни стокови артикули.
No notifications yet,Все още няма известия
No offline cash movement synced.,Няма синхронизирано движение на пари в брой офлайн.
No offline invoices pending synchronization,"Няма офлайн фактури, чакащи синхронизиране"
No offline sync issues recorded yet.,Все още няма регистрирани проблеми със синхронизирането офлайн.
No out-of-stock items.,Няма изчерпани артикули.
No outstanding credit invoices for this shift.,Няма неплатени кредитни фактури за тази смяна.
No payment collection data found.,Няма намерени данни за събиране на плащания.
No payment rows available on this invoice.,В тази фактура няма налични редове за плащане.
No payments registered for this shift.,Няма регистрирани плащания за тази смяна.
No pending balances in this period.,Няма чакащи салда през този период.
No pending offline invoices,Няма чакащи офлайн фактури
No Print Formats Found,Няма намерени формати за печат
No profiles found for selected scope. Falling back to current profile failed.,Няма намерени профили за избрания обхват. Връщането към текущия профил не бе успешно.
No recent customer activity found.,Няма намерена скорошна клиентска активност.
No recent stock entries found.,Няма намерени скорошни записи на склад.
No records found,Няма намерени записи
No reorder suggestions right now.,В момента няма предложения за пренареждане.
No repeat customers in this period.,Няма повторни клиенти през този период.
No response from server,Няма отговор от сървъра
No return invoices found,Няма намерени фактури за връщане
No return item trend found.,Не е открита тенденция за връщане на артикул.
No returnable items found for this invoice,Няма намерени артикули за връщане за тази фактура
No returns were processed in this shift.,В тази смяна не са обработени връщания.
No risk activity found.,Не е открита рискова дейност.
No sales activity found for this period.,Не е открита търговска дейност за този период.
No slow moving items.,Без бавно движещи се елементи.
No staff sales activity found.,Не е намерена търговска дейност на персонала.
No stock movement for this period.,Няма движение на акциите за този период.
No submitted cash movements in this shift.,Няма подадени движения на пари в брой през тази смяна.
No supplier purchases found in this month.,Няма намерени покупки на доставчик през този месец.
No suppliers found for this period.,Няма намерени доставчици за този период.
No sync trigger has run yet in this session.,Все още не е стартиран тригер за синхронизиране в тази сесия.
No tax head breakdown found.,Не е намерена разбивка на данъчната глава.
No top items found for this location.,Няма намерени топ елементи за това местоположение.
No unpaid invoices,Без неплатени фактури
No variant data found.,Няма намерени данни за варианти.
No week-wise sales trend found.,Не е открита седмична тенденция в продажбите.
No.,не
Nobile Number,Nobile номер
Not available,Не е наличен
Not checked,Не е проверено
Not selected,Не е избрано
Not Set,Не е зададено
Notifications,Известия
Offer,Оферта
Offer Applied,Офертата е приложена
Offer criteria exceeded,Критериите за оферта са надвишени
Offer Item,Офертен артикул
Offer item unavailable,Артикулът от офертата не е наличен
Offer Removed,Офертата е премахната
Offer UOM cannot be changed,Офертата UOM не може да бъде променяна
Offer?,оферта?
Offers,Оферти
Offline,Офлайн
Offline & Sync,Офлайн и синхронизиране
Offline Capabilities,Офлайн възможности
Offline data status refreshed,Състоянието на офлайн данните е обновено
Offline diagnostics,Офлайн диагностика
Offline Invoices,Офлайн фактури
Offline invoices status,Състояние на офлайн фактурите
Offline invoices synced,Синхронизирани офлайн фактури
Offline Queue: {0},Офлайн опашка: {0}
Offline rebuild guidance,Офлайн ръководство за възстановяване
Offline restore is unavailable for this session.,Офлайн възстановяването не е налично за тази сесия.
Offline selling is available with degraded capabilities.,Офлайн продажбата е достъпна с влошени възможности.
Offline snapshot does not match the current POS state.,Офлайн моментната снимка не съответства на текущото състояние на POS.
Offline Status,Офлайн състояние
"Offline, terminal, and system controls","Офлайн, терминални и системни контроли"
OK,добре
Online,Онлайн
Open actions menu,Отворете менюто с действия
Open balance to collect,Отворен баланс за събиране
Open Customer Display,Отворете Customer Display
Open drawer,Отворено чекмедже
Open invoices,Отворени фактури
Open Payments?,Отваряне на плащанията?
Open POS home,Отворете POS началната страница
Open this screen from POS Menu -> Open Customer Display.,Отворете този екран от POS Menu -> Open Customer Display.
OpenCV image processing enabled - Enhanced barcode detection,Активирана OpenCV обработка на изображения - Подобрено откриване на баркод
OpenCV image processing unavailable on this device,Обработката на OpenCV изображения не е налична на това устройство
OpenCV Off,OpenCV изключен
OpenCV On,OpenCV включен
OpenCV processing disabled,Обработката на OpenCV е деактивирана
Opening Amount,Начална сума
Opening Cash,Отваряне на пари в брой
options,опции
Order,ред
Original,Оригинален
Other,други
Out,Навън
Out of Stock,Няма наличност
Out of Stock Items,Изчерпани артикули
Outstanding,Изключителен
Outstanding Credit by Currency,Неизплатен кредит по валута
Overdue,Просрочени
Overpayment Change,Промяна на надплащане
Overpayment change deducted: {0},Приспадната промяна на надплащането: {0}
Packing List,Опаковъчен лист
Page Format,Формат на страницата
Page unavailable offline,Страницата не е достъпна офлайн
Paid,Платено
Paid (orig):,Платено (оригинално):
Paid Amount,Платена сума
Paid change cannot be greater than total change!,Платената ресто не може да бъде по-голяма от общата ресто!
Paid:,Платено:
Parent Item,Родителски елемент
Partial,Частичен
Partly Paid,Частично платено
Party Account,Партиен акаунт
Party Type,Тип парти
Pause terminal until next cashier,Пауза на терминала до следващия касиер
PAY,ПЛАЩАНЕ
Payment,Плащане
Payment Account,Разплащателна сметка
Payment entries processed for Invoice {0},Обработени записи за плащане за фактура {0}
Payment Entry Type,Тип въвеждане на плащане
Payment History,История на плащанията
Payment ID,ID на плащане
Payment Method Report,Доклад за метода на плащане
Payment Methods,Начини на плащане
Payment of {0} received successfully.,Плащането на {0} е получено успешно.
Payment Progress,Напредък на плащането
Payment Reconciliation,Съгласуване на плащанията
Payment request status could not be retrieved. Please try again,"Състоянието на заявката за плащане не можа да бъде извлечено. Моля, опитайте отново"
Payment Request took too long to respond. Please try requesting for payment again,"Отговорът на искането за плащане отне твърде много време. Моля, опитайте отново да поискате плащане"
Payment saved offline,Плащането е запазено офлайн
Payment State,Състояние на плащането
Payment Status,Състояние на плащането
Payment submitted but print function could not be executed. Payment name not found.,"Плащането е изпратено, но функцията за печат не може да бъде изпълнена. Името на плащането не е намерено."
Payment submitted.,Плащането е изпратено.
Payment Summary,Резюме на плащането
Payments,Плащания
Payments are not open. Do you want to open payments and submit?,Плащанията не са отворени. Искате ли да отворите плащанията и да изпратите?
Payments by Mode of Payment,Плащания по начин на плащане
PDF,PDF
Peak Hour,Пиков час
Peak Memory:,Пикова памет:
Peak Server:,Пиков сървър:
Peak:,Пик:
Pending,В очакване
Pending Amount,Чакаща сума
Pending count updated from {0} to {1},Чакащият брой е актуализиран от {0} на {1}
Pending Exposure,Предстоящо излагане
Pending Invoices,Чакащи фактури
Pending Ratio,Чакащо съотношение
Pending Sales,Предстоящи продажби
Pending sales: {0} | Cache usage: {1}%,Предстоящи продажби: {0} | Използване на кеша: {1}%
Pending Sync,Чакащо синхронизиране
Pending: {0},В очакване: {0}
Pending: {0} | Synced: {1} | Draft: {2},В очакване: {0} | Синхронизирано: {1} | Чернова: {2}
Per Page,На страница
Personal,Лична
Personal preferences adjust the current cashier experience without changing the active POS route.,"Личните предпочитания коригират текущото изживяване на касата, без да променят активния POS маршрут."
PIN confirmation does not match.,ПИН потвърждението не съвпада.
PIN must be 4 to 8 digits.,ПИН трябва да е от 4 до 8 цифри.
Please add at least one item.,"Моля, добавете поне един артикул."
Please allow camera access to scan codes,"Моля, разрешете достъп до камерата за сканиране на кодове"
Please enter payment amount,"Моля, въведете сумата на плащането"
Please fill all required fields,"Моля, попълнете всички задължителни полета"
Please make a payment or select a payment,"Моля, направете плащане или изберете плащане"
Please request phone payment or use another payment method,"Моля, поискайте плащане по телефона или използвайте друг метод на плащане"
Please select a customer first,"Моля, първо изберете клиент"
Please select a party,"Моля, изберете партия"
Please select a party before reconciling.,"Моля, изберете страна преди помирението."
Please select a valid movement type.,"Моля, изберете валиден тип движение."
Please select an invoice,"Моля, изберете фактура"
Please select company before reconciling.,"Моля, изберете компания преди съгласуване."
Please set the customer's mobile number,"Моля, задайте мобилния номер на клиента"
Please try again or enter the item manually.,"Моля, опитайте отново или въведете елемента ръчно."
Please verify the barcode or check the item's availability.,"Моля, проверете баркода или проверете наличността на артикула."
Points,Точки
Popup blocked. Please allow popups.,"Изскачащият прозорец е блокиран. Моля, разрешете изскачащи прозорци."
POS,ПОЗ
POS controls and maintenance,POS контрол и поддръжка
POS Expense is disabled for this POS Profile.,POS Expense е деактивиран за този POS профил.
POS is running with limited offline prerequisites.,POS работи с ограничени офлайн предпоставки.
POS Profile,POS профил
Position the QR code or barcode within the scanning area,Позиционирайте QR кода или баркода в зоната за сканиране
Posting,Публикуване
Posting and Price List,Публикуване и ценова листа
Posting Date,Дата на публикуване
Preparing background sync,Подготвя се фоново синхронизиране
"Press OK to continue offline with a warning, or Cancel to retry.","Натиснете OK, за да продължите офлайн с предупреждение, или Отказ, за ​​да опитате отново."
Previous unit of measure,Предишна мерна единица
Price List,Ценова листа
Price List Rate,Ценова листа Тарифа
Price list rate updated locally only,Ценовата листа се актуализира само локално
Pricing & Discounts,Цени и отстъпки
Pricing Rule,Правило за ценообразуване
Print,Печат
Print Draft,Печат на чернова
Print Format (Invoice),Формат за печат (фактура)
Print Format (Order),Формат за печат (поръчка)
Print invoice,Печат на фактура
Print Purchase Invoice instead of PO,Отпечатайте фактура за покупка вместо PO
Printer,Принтер
Processed returns impacting the shift totals,"Обработени връщания, оказващи влияние върху общите смени"
Processing Payment,Плащането се обработва
Processing payment entries for Invoice {0},Обработване на записи за плащане за фактура {0}
Profile,Профил
Profiles,Профили
Profit,печалба
Profit: Invoice Item Estimate,Печалба: Оценка на позицията на фактурата
Profit: Stock Ledger (COGS),Печалба: Фондова книга (COGS)
Profitability Report,Доклад за рентабилността
Prorated return discount,Пропорционална отстъпка при връщане
Purchase Amount,Сума на покупката
Purchase Invoices,Фактури за покупка
Purchase Order created,Поръчката за покупка е създадена
Qty,Кол
Qualified,Квалифицирани
Quantity,Количество
Quantity exceeds available stock,Количеството надвишава наличната наличност
Quick Actions,Бързи действия
Quotation {0} is Submitted,Офертата {0} е изпратена
Quotation submitted,Изпратена оферта
QZ Tray connected.,QZ тавата е свързана.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ тавата е изключена ръчно. Натиснете Свързване, за да го активирате отново."
QZ Tray is not connected.,QZ тавата не е свързана.
QZ Tray Setup,Настройка на QZ тава
Rate,Оценете
Rate adjusted to maximum allowed discount,Курсът е коригиран до максимално разрешената отстъпка
Ready,Готови
Ready to resume,Готов за възобновяване
Ready!,Готови!
Real-time POS insights for retail operations.,Прозрения за POS в реално време за операции на дребно.
Rebuild Offline Data,Възстановяване на офлайн данни
Receive,Получете
Receive now,Получете сега
Received,получено
Received:,получено:
Recent Movement Entries,Скорошни записи за движение
Recent updates about your invoices,Последни актуализации за вашите фактури
Recently Active Customers,Наскоро активни клиенти
Rechecking connection,Повторна проверка на връзката
Reconcile payment methods and close shift,Съгласувайте методите на плащане и затворете смяната
Reconciling Payments,Съгласуване на плащанията
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Свържете се отново и отворете тази страница веднъж, докато сте онлайн, след което офлайн опресняванията ще могат да я възстановят."
Reconnect online to refresh cached offline data from the server.,"Свържете се отново онлайн, за да обновите кешираните офлайн данни от сървъра."
Recreate local offline prerequisites from scratch,Пресъздайте локални офлайн предпоставки от нулата
Recv:,Recv:
Redeem,Откупете
Redeem / Scan,Осребряване / сканиране
Redeem Amount,Сума за осребряване
Redeem Mode,Режим на осребряване
Redeemed Amount,Изкупена сума
Redeemed credit cannot be greater than its total.,Изкупеният кредит не може да бъде по-голям от общия му размер.
Redemption and Totals,Обратно изкупуване и общи суми
Reference,справка
Refresh,Опресняване
Refresh Exchange Rate,Обновяване на обменния курс
Refresh Offline Data,Опресняване на офлайн данни
Refresh Printers,Обновяване на принтери
Refund,Възстановяване на средства
Release Notes,Бележки по изданието
Reload,Презареди
Reload customers,Презаредете клиенти
Reload Items,Презареждане на елементи
Reload Now,Презареди сега
Reload to apply the latest changes. Your current session will be refreshed.,"Презаредете, за да приложите последните промени. Вашата текуща сесия ще бъде обновена."
Reload Workflow,Презареждане на работния процес
Remarks,Забележки
Remarks are required.,Забележките са задължителни.
Remove,Премахнете
Remove barcode item,Премахване на баркод елемент
Remove cached data and reload the POS app,Премахнете кешираните данни и презаредете POS приложението
Remove item,Премахване на елемент
Remove Offer,Премахване на оферта
Reorder / Purchase Suggestions,Предложения за повторна поръчка/закупуване
Repair Candidate,Кандидат за ремонт
Repair Change Allocation,Ремонт Промяна на разпределението
Repair requires an online connection,Ремонтът изисква онлайн връзка
Repaired,Ремонтиран
Repairing change allocation,Поправяне на промяна на разпределението
Repeat Customers,Повтарящи се клиенти
Repeat Rate,Честота на повторение
Request,Заявка
Request ID: {0},ID на заявката: {0}
Request Payment,Поискайте плащане
Requested route: {0},Искан маршрут: {0}
Required columns cannot be hidden,Задължителните колони не могат да бъдат скрити
Reset,Нулиране
Reset item name,Нулирайте името на елемента
Reset to Default,Възстановяване на настройките по подразбиране
Resource Health,Здраве на ресурсите
Restricted,Ограничен
Restricted operational controls for supervisors only.,Ограничен оперативен контрол само за надзорни органи.
Retry,Опитайте отново
Retry route,Повторен опит за маршрут
Return,Връщане
Return Amount,Сума за връщане
Return Count,Брой връщания
Return items must have negative quantities,Върнатите артикули трябва да имат отрицателни количества
Return total must be negative,Общата сума за връщане трябва да е отрицателна
Return Valid Until,Връщане Валидно до
Return window passed,Прозорецът за връщане премина
Return without Invoice,Връщане без фактура
Returns,Връща се
Returns / Voids / Discounts,Връщане/Анулиране/Отстъпки
Returns by Currency,Връщания по валута
Revenue,приходи
Review shift totals before submitting the closing entry,"Прегледайте общите смени, преди да изпратите заключителния запис"
Round Off,Закръглете
Rows,Редове
Rows:,Редове:
Rule,правило
Sale,Разпродажба
Sales,Продажби
Sales Order {0} is Submitted,Поръчката за продажба {0} е изпратена
Sales Person and Print,Лице по продажбите и печат
Sales Person not found,Продавач не е намерен
Sales processed,Обработени продажби
Sales Return,Връщане на продажбите
Sales Trend Report,Доклад за тенденциите в продажбите
Save,Запазване
Save & Clear,Запазване и изчистване
Save as POS Profile Default,Запазване като POS профил по подразбиране
Save Settings,Запазване на настройките
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Запазете избрания принтер като POS профил по подразбиране, така че да се показва автоматично при тази настройка."
Saved as draft because: {0},"Запазено като чернова, защото: {0}"
Saving...,Запазва се...
Scale barcode detected. Quantity here is the number of labels to print.,Открит е баркод на везната. Количеството тук е броят етикети за печат.
Scale barcode settings are not configured. Using item barcode only.,Настройките за баркод на скалата не са конфигурирани. Използва се само баркод на артикул.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Липсва баркод на шаблон за мащаб за този артикул/UOM. Използва се само баркод на артикул.
Scan an existing card and top it up without leaving the payment flow.,"Сканирайте съществуваща карта и я попълнете, без да напускате платежния поток."
Scan Error,Грешка при сканиране
Scan or enter a gift card code to check balance or redeem.,"Сканирайте или въведете код на подаръчна карта, за да проверите баланса или да осребрите."
Scan or paste the card code below.,Сканирайте или поставете кода на картата по-долу.
Scan QR Code/Barcode,Сканирайте QR код/баркод
Scan with camera,Сканиране с камера
Scan-First Flow,Scan-First Flow
Scanned Code:,Сканиран код:
Scanning for: {0},Сканиране за: {0}
Scanning items,Сканиране на елементи
Scan-Ready,Готов за сканиране
Scope,Обхват
Scope: All Profiles,Обхват: Всички профили
Scope: Current Profile,Обхват: Текущ профил
Scope: Specific Profile,Обхват: Специфичен профил
Search,Търсене
Search Account,Търсене на акаунт
Search an invoice and continue the return flow without extra steps.,Потърсете фактура и продължете връщането без допълнителни стъпки.
Search customer,Търсете клиент
Search invoices or customers,Търсете фактури или клиенти
Search item,Търсене на елемент
Search item / code,Търсене на елемент/код
Search items or barcode,Търсете елементи или баркод
Search Mpesa Payments,Търсете Mpesa Payments
Search return invoices or customers,Търсете върнати фактури или клиенти
Search supplier,Търсене на доставчик
Search unpaid invoices or customers,Търсете неплатени фактури или клиенти
Secure context (HTTPS or localhost) is required for camera access.,За достъп до камерата е необходим защитен контекст (HTTPS или локален хост).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"За достъп до камерата е необходим защитен контекст (HTTPS). Моля, използвайте HTTPS за достъп до камерата."
Select,Изберете
Select a cashier first.,Първо изберете касиер.
Select a customer,Изберете клиент
Select a customer to use coupon,Изберете клиент за използване на купон
Select a printer to use QZ silent printing.,"Изберете принтер, за да използвате безшумен печат QZ."
Select Batch,Изберете Пакет
Select Columns to Display,Изберете Колони за показване
Select items to sell,Изберете артикули за продажба
Select Payment,Изберете Плащане
Select Payment Account,Изберете Разплащателна сметка
Select printer,Изберете принтер
Select Return Invoice,Изберете Връщане на фактура
Select S.O,Изберете S.O
Select Sales Orders,Изберете Поръчки за продажба
Select the cashier who is taking over this terminal.,"Изберете касиера, който ще поеме този терминал."
Selected,Избрано
Selected movement type is not allowed by POS Profile.,Избраният тип движение не е разрешен от POS профил.
Selected Payments,Избрани плащания
Sensitive actions kept away from quick taps.,Чувствителните действия се пазят от бързи докосвания.
Serial,Сериен
Serial Numbers,Серийни номера
Server CPU Usage:,Използване на процесора на сървъра:
Server Health,Здраве на сървъра
Server Memory Usage:,Използване на паметта на сървъра:
Server Metrics,Сървърни показатели
Server Uptime:,Време на работа на сървъра:
Service Charges,Такси за обслужване
Session,Сесия
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Задайте ПИН на всеки касиер във формуляра за потребител и запазете членовете на терминала, зададени в потребител на POS профил."
Settings,Настройки
Settings in this section update the POS workspace without changing the current route.,"Настройките в този раздел актуализират работното пространство на POS, без да променят текущия маршрут."
Setup complete!,Настройката е завършена!
Share,Споделете
Shared terminal,Споделен терминал
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Преглед на смяната
Show,Покажи
Show cart on customer-facing screen,"Показване на количката на екрана, обърнат към клиента"
Show last invoice rate,Показване на курса на последната фактура
Show rate info,Показване на информация за тарифата
Show Repair Candidates,Показване на кандидати за ремонт
Show search tools,Показване на инструменти за търсене
Show the active cart on a customer-facing screen,"Покажете активната количка на екран, обърнат към клиента"
Showing {0}-{1} of {2},Показани са {0}-{1} от {2}
Showing 0 of 0,Показани са 0 от 0
Shows the distribution of invoices per currency,Показва разпределението на фактурите по валута
Sign out of the current POS session,Излезте от текущата POS сесия
Size:,размер:
Skipped Payments,Пропуснати плащания
Skipping items without barcodes,Пропускане на елементи без баркод
Slow Moving,Бавно движение
Slow Moving Items,Бавно движещи се предмети
Slow Queries:,Бавни заявки:
Sold,Продаден
Source,Източник
Source Cash Account (Optional Override),Изходна парична сметка (замяна по избор)
Source Ex. Rate:,Източник Пр. Оценете:
Source Rate:,Изходна скорост:
Specific Profile,Специфичен профил
Split Invoices,Разделени фактури
Staff / Cashier Performance Report,Доклад за работата на персонала/касиера
Status,Статус
Stock,Наличност
Stock Information,Информация за запасите
Stock is lower than requested,Наличността е по-ниска от заявената
Stock is lower than requested:\n{0},Наличността е по-ниска от заявената:\n{0}
Stock Movement Report,Отчет за движението на акциите
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Актуализация на борсата: {0} има налични {1}. Добавянето на {2} ще доведе до нула под нулата.
Submit,Изпратете
Submit & Print,Изпращане и печат
Submit Deposit,Изпратете депозит
Submit Expense,Подаване на разходи
Submitted,Изпратено
Submitted Cash Movements,Подадени парични движения
Submitted entries,Изпратени записи
Successfully scanned:,Успешно сканирани:
Suggested,Предложено
Suggested Qty,Предложено кол
Supervisor Access,Достъп на надзорник
Supervisor permissions unlock issuance and reloads,Разрешенията на надзорника отключват издаване и презареждания
Supervisor Tools,Инструменти за надзорник
Supplier,Доставчик
Supplier and dates are required.,Изискват се доставчик и дати.
Supplier Invoices,Фактури на доставчици
Supplier is required.,Изисква се доставчик.
Supplier name is required,Изисква се име на доставчик
Supplier Payments,Плащания на доставчика
Supplier Purchase Summary,Резюме на покупките на доставчика
Suppliers,Доставчици
Suppliers not found,Доставчици не са намерени
Switch Camera,Превключване на камерата
Switch Cashier,Превключване на касиер
Switch the POS appearance theme,Превключете темата за външен вид на POS
Switched to:,Превключен на:
Sync All Invoices,Синхронизиране на всички фактури
Sync Offline Cash Movements ({0}),Синхронизиране на офлайн парични движения ({0})
Sync Offline Sales,Синхронизиране на офлайн продажби
Synced {0} offline cash movement(s).,Синхронизирани са {0} офлайн парични движения.
Syncing items in background,Синхронизиране на елементи във фонов режим
System / Diagnostics,Система / Диагностика
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Системните действия са нискочестотни контроли за поддръжка, като например информация за приложението, диагностика на поддръжката и контроли на сесии."
System Information,Системна информация
System Status,Състояние на системата
Tables:,Маси:
Tap the button below to redeem a gift card during checkout.,"Докоснете бутона по-долу, за да осребрите карта за подарък по време на плащане."
Target,Цел
Target Ex. Rate:,Целеви Пр. Оценете:
Target Rate:,Целева ставка:
Tax,Данък
Tax / Charges Report,Отчет за данъци/такси
Tax Heads,Данъчни ръководители
Taxable Amount,Данъчна основа
Tendered,Търг
Terminal,Терминал
Terminal & Devices,Терминал и устройства
Terminal locked,Терминалът е заключен
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Терминалните инструменти засягат тази касова станция, дисплеите, обърнати към клиента, и бъдещите контроли на принтер/устройство."
Territory not found,Територията не е намерена
The amount paid is not complete,Платената сума не е пълна
The app stores data locally for offline use. This is called cache.,Приложението съхранява данни локално за използване офлайн. Това се нарича кеш.
The invoice stayed in draft. Please review and submit it manually.,"Фактурата остана чернова. Моля, прегледайте и го изпратете ръчно."
The maximum discount allowed is,Максималната разрешена отстъпка е
The quantity for {0} has been adjusted to the maximum available stock.,Количеството за {0} е коригирано до максималния наличен склад.
The system could not retrieve the item details. Please try again.,"Системата не можа да извлече подробностите за артикула. Моля, опитайте отново."
These invoices will be synced when connection is restored,"Тези фактури ще бъдат синхронизирани, когато връзката бъде възстановена"
This action now opens inside the settings workspace.,Това действие сега се отваря в работното пространство за настройки.
This coupon already used !,Този купон вече е използван!
This invoice does not need change-allocation repair,Тази фактура не се нуждае от поправка при промяна на разпределението
This invoice is already repaired,Тази фактура вече е поправена
This is an item template. Please choose a variant.,"Това е шаблон за артикул. Моля, изберете вариант."
this item,този артикул
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Тази POS страница не можа да бъде отворена офлайн, тъй като нейният код все още не е кеширан на този терминал."
This Serial Number {0} has already been added!,Този сериен номер {0} вече е добавен!
Threshold,Праг
Time,време
Tip: Clear cache regularly to free up space and keep the app fast.,"Съвет: Изчиствайте редовно кеша, за да освободите място и да поддържате приложението бързо."
Tip: Close unused tabs or apps to reduce lag.,"Съвет: Затворете неизползваните раздели или приложения, за да намалите забавянето."
Tip: Monitor slow queries and table size for optimal performance.,Съвет: Наблюдавайте бавните заявки и размера на таблицата за оптимална производителност.
To Be Paid,За да бъде платено
To Date,Към днешна дата
Today,Днес
Today Profit,Печалба днес
Today Sales,Днес Продажби
Toggle navigation drawer,Превключване на навигационното чекмедже
Toggle Theme,Превключване на темата
Tools,Инструменти
Tools for customer-facing screens and terminal-specific actions.,"Инструменти за екрани, обърнати към клиента, и специфични за терминала действия."
