POS Awesome,POS Super
Invoice Management,Rechnungsverwaltung
Invoice Mgmt,Rechnungsverwaltung
Invoice saved offline,Rechnung offline gespeichert
Invoice submission failed,Die Übermittlung der Rechnung ist fehlgeschlagen
Invoice Submitted,Rechnung eingereicht
"Invoice value settled by loyalty points, not cash collection","Der Rechnungswert wird durch Treuepunkte beglichen, nicht durch Bargeldeinzug"
Invoices,Rechnungen
Invoices already past due date,Rechnungen sind bereits überfällig
Invoices saved as POS Invoices,Als POS-Rechnungen gespeicherte Rechnungen
Invoices still carrying balances,Rechnungen weisen noch Restbeträge auf
Issue Mode,Ausgabemodus
Issue New Card,Neue Karte ausstellen
Issue Workflow,Issue-Workflow
"Issue, top up, and check","Ausstellen, auffüllen und prüfen"
Item,Artikel
Item / Product Sales Report,Artikel-/Produktverkaufsbericht
Item {0} added to invoice,Artikel {0} zur Rechnung hinzugefügt
Item '{0}' has no barcode,Artikel „{0}“ hat keinen Barcode
Item Code,Artikelcode
Item created successfully,Artikel erfolgreich erstellt
Item is out of stock,Der Artikel ist nicht vorrätig
Item Name,Artikelname
Item not found,Artikel nicht gefunden
Item order updated,Artikelreihenfolge aktualisiert
Item Selector Settings,Einstellungen für die Elementauswahl
Items,Artikel
Items added in POS will appear here automatically.,In POS hinzugefügte Artikel werden hier automatisch angezeigt.
Items added to invoice,Zur Rechnung hinzugefügte Artikel
Items per page,Artikel pro Seite
Items Sold,Verkaufte Artikel
Items/Invoice,Artikel/Rechnung
Item-wise Profitability,Artikelbezogene Rentabilität
Journal Entry,Tagebucheintrag
json,json
Just now,Gerade eben
Keep offline prerequisites healthy and recover stale data safely.,Halten Sie die Offline-Voraussetzungen aufrecht und stellen Sie veraltete Daten sicher wieder her.
Labels,Etiketten
"Language, theme, terminal tools, and session controls.","Sprache, Thema, Terminal-Tools und Sitzungssteuerung."
Last,Zuletzt
Last 14 Days (Paid vs Pending),Letzte 14 Tage (bezahlt vs. ausstehend)
Last 14 Days Activity,Aktivität der letzten 14 Tage
Last 14 Days Gross Profit,Bruttogewinn der letzten 14 Tage
Last 14 Days Purchases,Einkäufe der letzten 14 Tage
Last 14 Days Tax/Charges,Steuern/Gebühren der letzten 14 Tage
Last sync:,Letzte Synchronisierung:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Letzte Synchronisierung: {0} | ok: {1} | fehlgeschlagen: {2} | übersprungen: {3}
Latest entries for current shift,Neueste Einträge für die aktuelle Schicht
Lead Time,Vorlaufzeit
Limited,Begrenzt
lines,Linien
List,Liste
Live Snapshot,Live-Schnappschuss
Load a POS profile and cashier first.,Laden Sie zunächst ein POS-Profil und einen Kassierer.
Load More Invoices,Weitere Rechnungen laden
Load previously saved invoices,Laden Sie zuvor gespeicherte Rechnungen
Load Sale,Verkauf laden
Load Sales Invoice,Verkaufsrechnung laden
Loading app data...,App-Daten werden geladen...
Loading customer database...,Kundendatenbank wird geladen...
Loading customers...,Kunden werden geladen...
Loading database stats...,Datenbankstatistiken werden geladen...
Loading details...,Details werden geladen...
Loading invoice history...,Rechnungsverlauf wird geladen...
Loading items...,Artikel werden geladen...
Loading product catalog...,Produktkatalog wird geladen...
Loading return invoices...,Rücksenderechnungen werden geladen...
Loading server CPU/memory usage...,CPU-/Speicherauslastung des Servers wird geladen...
Loading suppliers...,Lieferanten werden geladen...
Loading unpaid invoices...,Unbezahlte Rechnungen werden geladen...
Loading view...,Ansicht wird geladen...
Loading...,Laden...
Local storage is unavailable. Switching to online-only mode.,Der lokale Speicher ist nicht verfügbar. Wechsel in den reinen Online-Modus.
localStorage,lokaler Speicher
Location Performance,Standortleistung
Locations,Standorte
Lock Screen,Bildschirm sperren
Lookup Workflow,Suchworkflow
Loss,Verlust
Low,Niedrig
Low Stock,Geringer Lagerbestand
Low Stock Alerts,Warnungen bei niedrigem Lagerbestand
Low Stock Items,Artikel mit geringem Lagerbestand
Low Stock Threshold,Schwelle für niedrigen Lagerbestand
Low Stock Total,Niedriger Gesamtbestand
Lowest Margin,Niedrigste Marge
Low-frequency maintenance and system details.,Niederfrequenzwartung und Systemdetails.
Loyalty Redeemed,Treue eingelöst
Loyalty Redemption,Treueeinlösung
Make New Payment,Führen Sie eine neue Zahlung durch
Manage all,Alles verwalten
Manage and synchronize your offline transactions,Verwalten und synchronisieren Sie Ihre Offline-Transaktionen
Manage Cashier PIN,Kassierer-PIN verwalten
"Manage offline tools, terminal controls, and maintenance from one workspace.","Verwalten Sie Offline-Tools, Terminalsteuerungen und Wartung von einem Arbeitsbereich aus."
manual,Handbuch
"Manual codes, barcode scans, and QR scans work in the same field","Manuelle Codes, Barcode-Scans und QR-Scans funktionieren im gleichen Bereich"
Manual offline mode is enabled,Der manuelle Offline-Modus ist aktiviert
Margin,Marge
Maximum available quantity is {0}. Quantity adjusted to match stock.,Die maximal verfügbare Menge beträgt {0}. Menge angepasst an den Lagerbestand.
Maximum discount amount for this offer item is {0}.,Der maximale Rabattbetrag für diesen Angebotsartikel beträgt {0}.
Maximum discount percentage for this offer item is {0}%.,Der maximale Rabattprozentsatz für diesen Angebotsartikel beträgt {0} %.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Die maximale Angebotsmenge beträgt {0}. Menge an erlaubtes Limit angepasst.
Medium,Mittel
Method-wise Collections,Methodenbezogene Sammlungen
Minimum allowed rate for this offer item is {0}.,Der zulässige Mindestpreis für diesen Angebotsartikel beträgt {0}.
Minimum Qty,Mindestmenge
Mobile No,Mobil-Nr
Mode,Modus
Mode of Payment,Zahlungsart
Month,Monat
Month ?,Monat?
Monthly Profit,Monatlicher Gewinn
Monthly Sales,Monatliche Verkäufe
Monthly Sales Summary,Monatliche Verkaufsübersicht
Month-wise,Monatlich
Most Active Cashiers,Die aktivsten Kassierer
Movement Type,Bewegungstyp
Movements,Bewegungen
Multi Currency,Mehrere Währungen
N/A,N/A
Name,Name
Negative Stock,Negativer Bestand
Negative Stock Items,Negative Lagerbestände
Negative values not allowed,Negative Werte sind nicht zulässig
Net,Netz
Net Qty,Nettomenge
Net Sales,Nettoumsatz
Net Value,Nettowert
Never,Niemals
New changes are ready to load,Neue Änderungen können geladen werden
New Item,Neuer Artikel
New Offer Available,Neues Angebot verfügbar
New PIN,Neue PIN
New rate,Neuer Tarif
Next unit of measure,Nächste Maßeinheit
No attribute data found.,Keine Attributdaten gefunden.
No Barcode,Kein Barcode
No barcode found for UOM '{0}',Für Maßeinheit „{0}“ wurde kein Barcode gefunden
No branch/location data found.,Keine Filial-/Standortdaten gefunden.
No brand data found.,Keine Markendaten gefunden.
No cached gift card balance is available offline.,Offline ist kein zwischengespeichertes Guthaben der Geschenkkarte verfügbar.
No camera found on this device. Please ensure your device has a working camera.,"Auf diesem Gerät wurde keine Kamera gefunden. Bitte stellen Sie sicher, dass Ihr Gerät über eine funktionierende Kamera verfügt."
No capability warnings recorded yet.,Es wurden noch keine Funktionswarnungen erfasst.
No cash expected for this shift.,Für diese Schicht wird kein Bargeld erwartet.
No cash mode configured,Kein Bargeldmodus konfiguriert
No cash movement type is allowed for this POS Profile.,Für dieses POS-Profil ist keine Bargeldbewegungsart zulässig.
No cashier PIN is set yet. Create one now.,Es ist noch keine Kassierer-PIN festgelegt. Erstellen Sie jetzt eines.
No cashier profiles are available for this POS profile yet.,Für dieses Kassenprofil sind noch keine Kassiererprofile verfügbar.
No cashier-wise discount/void/return activity.,Keine Rabatt-/Stornierungs-/Rückgabeaktivität an der Kasse.
No category data found.,Keine Kategoriedaten gefunden.
No category profitability data found.,Es wurden keine Rentabilitätsdaten für die Kategorie gefunden.
No change returned recorded for this shift.,Für diese Schicht wurde keine Änderung zurückgegeben.
No change-allocation invoices match the current filters.,Keine Rechnungen mit Änderungszuordnung entsprechen den aktuellen Filtern.
No charge head breakdown found.,Es wurde kein Ausfall des Ladekopfes gefunden.
No Company Selected,Kein Unternehmen ausgewählt
No customer sales data found.,Keine Kundenverkaufsdaten gefunden.
No day-wise discount/void/return trend.,Kein tagesweiser Rabatt-/Stornierungs-/Rückgabetrend.
No day-wise payment data found.,Es wurden keine tagesbezogenen Zahlungsdaten gefunden.
No day-wise profitability trend found.,Es wurde kein tagesbezogener Rentabilitätstrend gefunden.
No day-wise purchase data found.,Es wurden keine tagesbezogenen Kaufdaten gefunden.
No day-wise sales trend found.,Es wurde kein tagesbezogener Verkaufstrend gefunden.
No day-wise tax/charges trend found.,Es wurde kein tagesbezogener Steuer-/Gebührentrend gefunden.
No dead stock items.,Keine toten Lagerbestände.
No due date,Kein Fälligkeitsdatum
No exact repair match found for this invoice,Für diese Rechnung wurde keine genaue Reparaturübereinstimmung gefunden
No hourly sales trend found for today.,Für heute wurde kein stündlicher Verkaufstrend gefunden.
No invoice activity found.,Keine Rechnungsaktivität gefunden.
No invoices found,Keine Rechnungen gefunden
No invoices found. Try different search criteria.,Keine Rechnungen gefunden. Probieren Sie verschiedene Suchkriterien aus.
No invoices recorded for this shift.,Für diese Schicht wurden keine Rechnungen erfasst.
No item profitability data found.,Es wurden keine Artikelrentabilitätsdaten gefunden.
No item sales data found for this period.,Für diesen Zeitraum wurden keine Artikelverkaufsdaten gefunden.
No items found,Keine Artikel gefunden
No items in cart,Keine Artikel im Warenkorb
No items with barcodes to print,Keine Artikel mit Barcodes zum Drucken
No location-wise top item data found.,Es wurden keine standortbezogenen Top-Artikeldaten gefunden.
No low stock alerts right now.,Im Moment gibt es keine Benachrichtigungen über niedrige Lagerbestände.
No low stock items.,Keine Artikel mit geringem Lagerbestand.
No matching items in cart,Keine passenden Artikel im Warenkorb
No month-wise sales trend found.,Es wurde kein monatlicher Verkaufstrend gefunden.
No negative stock items.,Keine negativen Lagerbestände.
No notifications yet,Noch keine Benachrichtigungen
No offline cash movement synced.,Keine Offline-Bargeldbewegung synchronisiert.
No offline invoices pending synchronization,Keine Offline-Rechnungen warten auf die Synchronisierung
No offline sync issues recorded yet.,Es wurden noch keine Offline-Synchronisierungsprobleme registriert.
No out-of-stock items.,Keine vergriffenen Artikel.
No outstanding credit invoices for this shift.,Für diese Schicht sind keine Kreditrechnungen ausstehend.
No payment collection data found.,Es wurden keine Daten zum Zahlungseinzug gefunden.
No payment rows available on this invoice.,Auf dieser Rechnung sind keine Zahlungszeilen verfügbar.
No payments registered for this shift.,Für diese Schicht wurden keine Zahlungen registriert.
No pending balances in this period.,In diesem Zeitraum liegen keine ausstehenden Salden vor.
No pending offline invoices,Keine ausstehenden Offline-Rechnungen
No Print Formats Found,Keine Druckformate gefunden
No profiles found for selected scope. Falling back to current profile failed.,Für den ausgewählten Bereich wurden keine Profile gefunden. Das Zurückgreifen auf das aktuelle Profil ist fehlgeschlagen.
No recent customer activity found.,Keine aktuellen Kundenaktivitäten gefunden.
No recent stock entries found.,Keine aktuellen Aktieneinträge gefunden.
No records found,Keine Datensätze gefunden
No reorder suggestions right now.,Im Moment gibt es keine Nachbestellungsvorschläge.
No repeat customers in this period.,Keine Stammkunden in diesem Zeitraum.
No response from server,Keine Antwort vom Server
No return invoices found,Keine Rücksenderechnungen gefunden
No return item trend found.,Es wurde kein Trend zur Rückgabe von Artikeln gefunden.
No returnable items found for this invoice,Für diese Rechnung wurden keine rückzahlbaren Artikel gefunden
No returns were processed in this shift.,In dieser Schicht wurden keine Retouren bearbeitet.
No risk activity found.,Keine Risikoaktivität gefunden.
No sales activity found for this period.,Für diesen Zeitraum wurden keine Verkaufsaktivitäten gefunden.
No slow moving items.,Keine sich langsam bewegenden Gegenstände.
No staff sales activity found.,Keine Mitarbeiterverkaufsaktivität gefunden.
No stock movement for this period.,Keine Lagerbewegung für diesen Zeitraum.
No submitted cash movements in this shift.,In dieser Schicht wurden keine Bargeldbewegungen übermittelt.
No supplier purchases found in this month.,In diesem Monat wurden keine Lieferantenkäufe gefunden.
No suppliers found for this period.,Für diesen Zeitraum wurden keine Lieferanten gefunden.
No sync trigger has run yet in this session.,In dieser Sitzung wurde noch kein Synchronisierungstrigger ausgeführt.
No tax head breakdown found.,Es wurde keine Aufschlüsselung der Steuersätze gefunden.
No top items found for this location.,Für diesen Standort wurden keine Top-Artikel gefunden.
No unpaid invoices,Keine unbezahlten Rechnungen
No variant data found.,Keine Variantendaten gefunden.
No week-wise sales trend found.,Es wurde kein wöchentlicher Verkaufstrend gefunden.
No.,Nein.
Nobile Number,Nobile Nummer
Not available,Nicht verfügbar
Not checked,Nicht geprüft
Not selected,Nicht ausgewählt
Not Set,Nicht festgelegt
Notifications,Benachrichtigungen
Offer,Angebot
Offer Applied,Angebot angewendet
Offer criteria exceeded,Angebotskriterien überschritten
Offer Item,Angebotsartikel
Offer item unavailable,Angebotsartikel nicht verfügbar
Offer Removed,Angebot entfernt
Offer UOM cannot be changed,Die Maßeinheit des Angebots kann nicht geändert werden
Offer?,Angebot?
Offers,Angebote
Offline,Offline
Offline & Sync,Offline und synchronisieren
Offline Capabilities,Offline-Funktionen
Offline data status refreshed,Offline-Datenstatus aktualisiert
Offline diagnostics,Offline-Diagnose
Offline Invoices,Offline-Rechnungen
Offline invoices status,Status der Offline-Rechnungen
Offline invoices synced,Offline-Rechnungen synchronisiert
Offline Queue: {0},Offline-Warteschlange: {0}
Offline rebuild guidance,Anleitung zum Offline-Wiederaufbau
Offline restore is unavailable for this session.,Die Offline-Wiederherstellung ist für diese Sitzung nicht verfügbar.
Offline selling is available with degraded capabilities.,Der Offline-Verkauf ist mit eingeschränkten Funktionen verfügbar.
Offline snapshot does not match the current POS state.,Der Offline-Snapshot stimmt nicht mit dem aktuellen POS-Status überein.
Offline Status,Offline-Status
"Offline, terminal, and system controls","Offline-, Terminal- und Systemsteuerung"
OK,Okay
Online,Online
Open actions menu,Aktionsmenü öffnen
Open balance to collect,Offenes Guthaben zum Einsammeln
Open Customer Display,Öffnen Sie die Kundenanzeige
Open drawer,Schublade öffnen
Open invoices,Offene Rechnungen
Open Payments?,Offene Zahlungen?
Open POS home,Öffnen Sie die POS-Startseite
Open this screen from POS Menu -> Open Customer Display.,Öffnen Sie diesen Bildschirm über das POS-Menü -> Kundenanzeige öffnen.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-Bildverarbeitung aktiviert – Verbesserte Barcode-Erkennung
OpenCV image processing unavailable on this device,OpenCV-Bildverarbeitung ist auf diesem Gerät nicht verfügbar
OpenCV Off,OpenCV Aus
OpenCV On,OpenCV Ein
OpenCV processing disabled,OpenCV-Verarbeitung deaktiviert
Opening Amount,Eröffnungsbetrag
Opening Cash,Eröffnungsgeld
options,Optionen
Order,Bestellen
Original,Original
Other,Andere
Out,Raus
Out of Stock,Ausverkauft
Out of Stock Items,Nicht vorrätige Artikel
Outstanding,Hervorragend
Outstanding Credit by Currency,Ausstehendes Guthaben nach Währung
Overdue,Überfällig
Overpayment Change,Überzahlungsänderung
Overpayment change deducted: {0},Überzahlungsänderung abgezogen: {0}
Packing List,Packliste
Page Format,Seitenformat
Page unavailable offline,Seite offline nicht verfügbar
Paid,Bezahlt
Paid (orig):,Bezahlt (original):
Paid Amount,Bezahlter Betrag
Paid change cannot be greater than total change!,Das bezahlte Wechselgeld darf nicht größer sein als das Gesamtwechselgeld!
Paid:,Bezahlt:
Parent Item,Übergeordnetes Element
Partial,Teilweise
Partly Paid,Teilweise bezahlt
Party Account,Partykonto
Party Type,Partytyp
Pause terminal until next cashier,Terminal bis zum nächsten Kassierer pausieren
PAY,ZAHLEN
Payment,Zahlung
Payment Account,Zahlungskonto
Payment entries processed for Invoice {0},Zahlungseinträge für Rechnung {0} verarbeitet
Payment Entry Type,Zahlungseintragstyp
Payment History,Zahlungshistorie
Payment ID,Zahlungs-ID
Payment Method Report,Bericht zur Zahlungsmethode
Payment Methods,Zahlungsmethoden
Payment of {0} received successfully.,Die Zahlung von {0} wurde erfolgreich empfangen.
Payment Progress,Zahlungsfortschritt
Payment Reconciliation,Zahlungsabgleich
Payment request status could not be retrieved. Please try again,Der Status der Zahlungsanforderung konnte nicht abgerufen werden. Bitte versuchen Sie es erneut
Payment Request took too long to respond. Please try requesting for payment again,"Die Antwort auf die Zahlungsanfrage hat zu lange gedauert. Bitte versuchen Sie erneut, die Zahlung anzufordern"
Payment saved offline,Zahlung offline gespeichert
Payment State,Zahlungsstatus
Payment Status,Zahlungsstatus
Payment submitted but print function could not be executed. Payment name not found.,"Zahlung übermittelt, aber Druckfunktion konnte nicht ausgeführt werden. Zahlungsname nicht gefunden."
Payment submitted.,Zahlung eingereicht.
Payment Summary,Zahlungsübersicht
Payments,Zahlungen
Payments are not open. Do you want to open payments and submit?,Zahlungen sind nicht möglich. Möchten Sie Zahlungen eröffnen und einreichen?
Payments by Mode of Payment,Zahlungen nach Zahlungsart
PDF,PDF
Peak Hour,Hauptverkehrszeit
Peak Memory:,Spitzenspeicher:
Peak Server:,Spitzenserver:
Peak:,Höhepunkt:
Pending,Ausstehend
Pending Amount,Ausstehender Betrag
Pending count updated from {0} to {1},Ausstehende Anzahl aktualisiert von {0} auf {1}
Pending Exposure,Ausstehende Belichtung
Pending Invoices,Ausstehende Rechnungen
Pending Ratio,Ausstehendes Verhältnis
Pending Sales,Ausstehende Verkäufe
Pending sales: {0} | Cache usage: {1}%,Ausstehende Verkäufe: {0} | Cache-Nutzung: {1} %
Pending Sync,Ausstehende Synchronisierung
Pending: {0},Ausstehend: {0}
Pending: {0} | Synced: {1} | Draft: {2},Ausstehend: {0} | Synchronisiert: {1} | Entwurf: {2}
Per Page,Pro Seite
Personal,Persönlich
Personal preferences adjust the current cashier experience without changing the active POS route.,"Persönliche Vorlieben passen das aktuelle Kassierererlebnis an, ohne die aktive POS-Route zu ändern."
PIN confirmation does not match.,PIN-Bestätigung stimmt nicht überein.
PIN must be 4 to 8 digits.,Die PIN muss 4 bis 8 Ziffern lang sein.
Please add at least one item.,Bitte fügen Sie mindestens einen Artikel hinzu.
Please allow camera access to scan codes,Bitte erlauben Sie der Kamera Zugriff zum Scannen von Codes
Please enter payment amount,Bitte geben Sie den Zahlungsbetrag ein
Please fill all required fields,Bitte füllen Sie alle erforderlichen Felder aus
Please make a payment or select a payment,Bitte führen Sie eine Zahlung durch oder wählen Sie eine Zahlung aus
Please request phone payment or use another payment method,Bitte fordern Sie eine telefonische Zahlung an oder nutzen Sie eine andere Zahlungsmethode
Please select a customer first,Bitte wählen Sie zunächst einen Kunden aus
Please select a party,Bitte wählen Sie eine Party aus
Please select a party before reconciling.,Bitte wählen Sie vor dem Abgleich eine Partei aus.
Please select a valid movement type.,Bitte wählen Sie eine gültige Bewegungsart aus.
Please select an invoice,Bitte wählen Sie eine Rechnung aus
Please select company before reconciling.,Bitte wählen Sie vor dem Abgleich das Unternehmen aus.
Please set the customer's mobile number,Bitte legen Sie die Mobilfunknummer des Kunden fest
Please try again or enter the item manually.,Bitte versuchen Sie es erneut oder geben Sie den Artikel manuell ein.
Please verify the barcode or check the item's availability.,Bitte überprüfen Sie den Barcode oder prüfen Sie die Verfügbarkeit des Artikels.
Points,Punkte
Popup blocked. Please allow popups.,Popup blockiert. Bitte erlauben Sie Popups.
POS,POS
POS controls and maintenance,POS-Kontrollen und Wartung
POS Expense is disabled for this POS Profile.,Die POS-Ausgabe ist für dieses POS-Profil deaktiviert.
POS is running with limited offline prerequisites.,POS läuft mit eingeschränkten Offline-Voraussetzungen.
POS Profile,POS-Profil
Position the QR code or barcode within the scanning area,Positionieren Sie den QR-Code oder Barcode innerhalb des Scanbereichs
Posting,Veröffentlichung
Posting and Price List,Ausschreibung und Preisliste
Posting Date,Buchungsdatum
Preparing background sync,Hintergrundsynchronisierung wird vorbereitet
"Press OK to continue offline with a warning, or Cancel to retry.","Drücken Sie OK, um mit einer Warnung offline fortzufahren, oder Abbrechen, um es erneut zu versuchen."
Previous unit of measure,Vorherige Maßeinheit
Price List,Preisliste
Price List Rate,Preislistenpreis
Price list rate updated locally only,Preislistentarif wird nur lokal aktualisiert
Pricing & Discounts,Preise und Rabatte
Pricing Rule,Preisregel
Print,Drucken
Print Draft,Entwurf drucken
Print Format (Invoice),Druckformat (Rechnung)
Print Format (Order),Druckformat (Bestellung)
Print invoice,Rechnung drucken
Print Purchase Invoice instead of PO,Einkaufsrechnung statt Bestellung drucken
Printer,Drucker
Processed returns impacting the shift totals,Verarbeitete Retouren wirken sich auf die Schichtsummen aus
Processing Payment,Zahlungsabwicklung
Processing payment entries for Invoice {0},Zahlungseinträge für Rechnung {0} verarbeiten
Profile,Profil
Profiles,Profile
Profit,Gewinn
Profit: Invoice Item Estimate,Gewinn: Schätzung des Rechnungspostens
Profit: Stock Ledger (COGS),Gewinn: Lagerbuch (COGS)
Profitability Report,Rentabilitätsbericht
Prorated return discount,Anteiliger Retourenrabatt
Purchase Amount,Kaufbetrag
Purchase Invoices,Kaufrechnungen
Purchase Order created,Bestellung erstellt
Qty,Menge
Qualified,Qualifiziert
Quantity,Menge
Quantity exceeds available stock,Die Menge übersteigt den verfügbaren Bestand
Quick Actions,Schnelle Aktionen
Quotation {0} is Submitted,Angebot {0} wurde übermittelt
Quotation submitted,Angebot eingereicht
QZ Tray connected.,QZ-Fach angeschlossen.
QZ Tray is manually disconnected. Press Connect to enable it again.,"Das QZ-Fach wurde manuell getrennt. Drücken Sie auf „Verbinden“, um es erneut zu aktivieren."
QZ Tray is not connected.,Das QZ-Fach ist nicht angeschlossen.
QZ Tray Setup,QZ-Fach-Setup
Rate,Bewerten
Rate adjusted to maximum allowed discount,Der Preis wurde an den maximal zulässigen Rabatt angepasst
Ready,Bereit
Ready to resume,Bereit zur Fortsetzung
Ready!,Fertig!
Real-time POS insights for retail operations.,Echtzeit-POS-Einblicke für Einzelhandelsbetriebe.
Rebuild Offline Data,Offline-Daten neu erstellen
Receive,Empfangen
Receive now,Jetzt erhalten
Received,Erhalten
Received:,Erhalten:
Recent Movement Entries,Aktuelle Bewegungseinträge
Recent updates about your invoices,Aktuelle Updates zu Ihren Rechnungen
Recently Active Customers,Kürzlich aktive Kunden
Rechecking connection,Verbindung erneut prüfen
Reconcile payment methods and close shift,Zahlungsarten abgleichen und Schicht abschließen
Reconciling Payments,Zahlungen abgleichen
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Stellen Sie eine erneute Verbindung her und öffnen Sie diese Seite einmal, während Sie online sind. Anschließend kann sie durch Offline-Aktualisierungen wiederhergestellt werden."
Reconnect online to refresh cached offline data from the server.,"Stellen Sie die Online-Verbindung wieder her, um zwischengespeicherte Offline-Daten vom Server zu aktualisieren."
Recreate local offline prerequisites from scratch,Erstellen Sie die lokalen Offline-Voraussetzungen von Grund auf neu
Recv:,Empfang:
Redeem,Einlösen
Redeem / Scan,Einlösen / Scannen
Redeem Amount,Betrag einlösen
Redeem Mode,Einlösemodus
Redeemed Amount,Eingelöster Betrag
Redeemed credit cannot be greater than its total.,Das eingelöste Guthaben darf den Gesamtbetrag nicht überschreiten.
Redemption and Totals,Einlösung und Gesamtbeträge
Reference,Referenz
Refresh,Aktualisieren
Refresh Exchange Rate,Wechselkurs aktualisieren
Refresh Offline Data,Offlinedaten aktualisieren
Refresh Printers,Drucker aktualisieren
Refund,Rückerstattung
Release Notes,Versionshinweise
Reload,Neu laden
Reload customers,Kunden neu laden
Reload Items,Elemente neu laden
Reload Now,Jetzt neu laden
Reload to apply the latest changes. Your current session will be refreshed.,"Neu laden, um die neuesten Änderungen zu übernehmen. Ihre aktuelle Sitzung wird aktualisiert."
Reload Workflow,Workflow neu laden
Remarks,Bemerkungen
Remarks are required.,Anmerkungen sind erforderlich.
Remove,Entfernen
Remove barcode item,Barcode-Artikel entfernen
Remove cached data and reload the POS app,Entfernen Sie zwischengespeicherte Daten und laden Sie die POS-App neu
Remove item,Artikel entfernen
Remove Offer,Angebot entfernen
Reorder / Purchase Suggestions,Nachbestellungs-/Kaufvorschläge
Repair Candidate,Reparaturkandidat
Repair Change Allocation,Änderungszuordnung reparieren
Repair requires an online connection,Für die Reparatur ist eine Online-Verbindung erforderlich
Repaired,Repariert
Repairing change allocation,Änderungszuordnung reparieren
Repeat Customers,Stammkunden
Repeat Rate,Wiederholungsrate
Request,Anfrage
Request ID: {0},Anfrage-ID: {0}
Request Payment,Zahlung anfordern
Requested route: {0},Angeforderte Route: {0}
Required columns cannot be hidden,Erforderliche Spalten können nicht ausgeblendet werden
Reset,Zurücksetzen
Reset item name,Artikelnamen zurücksetzen
Reset to Default,Auf Standard zurücksetzen
Resource Health,Ressourcengesundheit
Restricted,Eingeschränkt
Restricted operational controls for supervisors only.,Eingeschränkte Betriebskontrollen nur für Vorgesetzte.
Retry,Versuchen Sie es noch einmal
Retry route,Route erneut versuchen
Return,Rückkehr
Return Amount,Rückgabebetrag
Return Count,Rückgabeanzahl
Return items must have negative quantities,Retourenartikel müssen negative Mengen haben
Return total must be negative,Die Gesamtrendite muss negativ sein
Return Valid Until,Rückgabe gültig bis
Return window passed,Rückgabefenster bestanden
Return without Invoice,Rücksendung ohne Rechnung
Returns,Rückgaben
Returns / Voids / Discounts,Rückgaben/Stornierungen/Rabatte
Returns by Currency,Renditen nach Währung
Revenue,Einnahmen
Review shift totals before submitting the closing entry,"Überprüfen Sie die Schichtsummen, bevor Sie den Abschlusseintrag absenden"
Round Off,Abrunden
Rows,Reihen
Rows:,Zeilen:
Rule,Regel
Sale,Verkauf
Sales,Verkäufe
Sales Order {0} is Submitted,Kundenauftrag {0} wurde übermittelt
Sales Person and Print,Verkäufer und Druck
Sales Person not found,Verkäufer nicht gefunden
Sales processed,Verkäufe abgewickelt
Sales Return,Verkaufsrendite
Sales Trend Report,Verkaufstrendbericht
Save,Speichern
Save & Clear,Speichern und löschen
Save as POS Profile Default,Als POS-Profil-Standard speichern
Save Settings,Einstellungen speichern
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Speichern Sie den ausgewählten Drucker als Standard-POS-Profil, damit er bei diesem Setup automatisch angezeigt wird."
Saved as draft because: {0},"Als Entwurf gespeichert, weil: {0}"
Saving...,Sparen...
Scale barcode detected. Quantity here is the number of labels to print.,Waagen-Barcode erkannt. Unter „Menge“ wird die Anzahl der zu druckenden Etiketten angegeben.
Scale barcode settings are not configured. Using item barcode only.,Die Barcode-Einstellungen der Waage sind nicht konfiguriert. Nur Artikel-Barcode verwenden.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Für diesen Artikel/diese Maßeinheit fehlt der Barcode der Waagenvorlage. Nur Artikel-Barcode verwenden.
Scan an existing card and top it up without leaving the payment flow.,"Scannen Sie eine vorhandene Karte und laden Sie sie auf, ohne den Zahlungsvorgang zu verlassen."
Scan Error,Scanfehler
Scan or enter a gift card code to check balance or redeem.,"Scannen Sie einen Geschenkkartencode oder geben Sie ihn ein, um den Kontostand zu überprüfen oder ihn einzulösen."
Scan or paste the card code below.,Scannen oder fügen Sie den Kartencode unten ein.
Scan QR Code/Barcode,QR-Code/Barcode scannen
Scan with camera,Mit der Kamera scannen
Scan-First Flow,Scan-First-Flow
Scanned Code:,Gescannter Code:
Scanning for: {0},Suche nach: {0}
Scanning items,Artikel scannen
Scan-Ready,Scanbereit
Scope,Umfang
Scope: All Profiles,Geltungsbereich: Alle Profile
Scope: Current Profile,Geltungsbereich: Aktuelles Profil
Scope: Specific Profile,Geltungsbereich: Spezifisches Profil
Search,Suchen
Search Account,Suchkonto
Search an invoice and continue the return flow without extra steps.,Suchen Sie eine Rechnung und setzen Sie den Rückfluss ohne zusätzliche Schritte fort.
Search customer,Kunden suchen
Search invoices or customers,Suchen Sie nach Rechnungen oder Kunden
Search item,Suchelement
Search item / code,Artikel/Code suchen
Search items or barcode,Suchen Sie nach Artikeln oder Barcode
Search Mpesa Payments,Suchen Sie nach Mpesa Payments
Search return invoices or customers,Suchen Sie nach Retourenrechnungen oder Kunden
