POS Awesome,POS Impresionante
Low-frequency maintenance and system details.,Mantenimiento de baja frecuencia y detalles del sistema.
Loyalty Redeemed,Lealtad canjeada
Loyalty Redemption,Redención de lealtad
Make New Payment,Realizar nuevo pago
Manage all,Administrar todo
Manage and synchronize your offline transactions,Administre y sincronice sus transacciones fuera de línea
Manage Cashier PIN,Administrar PIN de cajero
"Manage offline tools, terminal controls, and maintenance from one workspace.","Administre herramientas fuera de línea, controles de terminales y mantenimiento desde un solo espacio de trabajo."
manual,manuales
"Manual codes, barcode scans, and QR scans work in the same field","Los códigos manuales, los escaneos de códigos de barras y los escaneos QR funcionan en el mismo campo"
Manual offline mode is enabled,El modo sin conexión manual está habilitado
Margin,Margen
Maximum available quantity is {0}. Quantity adjusted to match stock.,La cantidad máxima disponible es {0}. Cantidad ajustada para igualar el stock.
Maximum discount amount for this offer item is {0}.,El importe máximo de descuento para este artículo de oferta es {0}.
Maximum discount percentage for this offer item is {0}%.,El porcentaje de descuento máximo para este artículo de oferta es del {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,La cantidad máxima de oferta es {0}. Cantidad ajustada al límite permitido.
Medium,Medio
Method-wise Collections,Colecciones basadas en métodos
Minimum allowed rate for this offer item is {0}.,La tarifa mínima permitida para este artículo de oferta es {0}.
Minimum Qty,Cantidad mínima
Mobile No,Número de móvil
Mode,Modo
Mode of Payment,Modo de pago
Month,Mes
Month ?,¿Mes?
Monthly Profit,Beneficio Mensual
Monthly Sales,Ventas Mensuales
Monthly Sales Summary,Resumen de ventas mensuales
Month-wise,Mensualmente
Most Active Cashiers,Cajeros más activos
Movement Type,Tipo de movimiento
Movements,Movimientos
Multi Currency,Moneda múltiple
N/A,N/A
Name,Nombre
Negative Stock,Stock negativo
Negative Stock Items,Artículos en stock negativos
Negative values not allowed,Valores negativos no permitidos
Net,neto
Net Qty,Cantidad neta
Net Sales,Ventas Netas
Net Value,Valor neto
Never,nunca
New changes are ready to load,Los nuevos cambios están listos para cargarse.
New Item,Nuevo artículo
New Offer Available,Nueva oferta disponible
New PIN,Nuevo PIN
New rate,Nueva tarifa
Next unit of measure,Siguiente unidad de medida
No attribute data found.,No se encontraron datos de atributos.
No Barcode,Sin código de barras
No barcode found for UOM '{0}',No se encontró ningún código de barras para la UOM '{0}'
No branch/location data found.,No se encontraron datos de sucursal/ubicación.
No brand data found.,No se encontraron datos de marca.
No cached gift card balance is available offline.,No hay ningún saldo de tarjeta de regalo almacenado en caché disponible sin conexión.
No camera found on this device. Please ensure your device has a working camera.,No se encontró ninguna cámara en este dispositivo. Asegúrese de que su dispositivo tenga una cámara que funcione.
No capability warnings recorded yet.,Aún no se han registrado advertencias de capacidad.
No cash expected for this shift.,No se espera efectivo para este turno.
No cash mode configured,No hay modo de efectivo configurado
No cash movement type is allowed for this POS Profile.,No se permite ningún tipo de movimiento de efectivo para este Perfil POS.
No cashier PIN is set yet. Create one now.,Aún no se ha establecido ningún PIN de cajero. Crea uno ahora.
No cashier profiles are available for this POS profile yet.,Aún no hay perfiles de cajero disponibles para este perfil de POS.
No cashier-wise discount/void/return activity.,No hay actividad de descuento/anulación/devolución en caja.
No category data found.,No se encontraron datos de categoría.
No category profitability data found.,No se encontraron datos de rentabilidad de la categoría.
No change returned recorded for this shift.,No se registraron cambios para este turno.
No change-allocation invoices match the current filters.,Ninguna factura de asignación de cambios coincide con los filtros actuales.
No charge head breakdown found.,No se encontró ninguna avería en el cabezal de carga.
No Company Selected,Ninguna empresa seleccionada
No customer sales data found.,No se encontraron datos de ventas de clientes.
No day-wise discount/void/return trend.,Sin tendencia de descuento/anulación/devolución diaria.
No day-wise payment data found.,No se encontraron datos de pago por día.
No day-wise profitability trend found.,No se encontró ninguna tendencia de rentabilidad diaria.
No day-wise purchase data found.,No se encontraron datos de compras diarias.
No day-wise sales trend found.,No se encontró ninguna tendencia de ventas diaria.
No day-wise tax/charges trend found.,No se encontró ninguna tendencia de impuestos/cargos diarios.
No dead stock items.,No hay artículos muertos.
No due date,Sin fecha de vencimiento
No exact repair match found for this invoice,No se encontró ninguna coincidencia de reparación exacta para esta factura
No hourly sales trend found for today.,No se encontró ninguna tendencia de ventas por hora para hoy.
No invoice activity found.,No se encontró actividad de factura.
No invoices found,No se encontraron facturas
No invoices found. Try different search criteria.,No se encontraron facturas. Pruebe diferentes criterios de búsqueda.
No invoices recorded for this shift.,No se registraron facturas para este turno.
No item profitability data found.,No se encontraron datos de rentabilidad del artículo.
No item sales data found for this period.,No se encontraron datos de ventas de artículos para este período.
No items found,No se encontraron artículos
No items in cart,No hay artículos en el carrito
No items with barcodes to print,No hay artículos con códigos de barras para imprimir
No location-wise top item data found.,No se encontraron datos de elementos principales según la ubicación.
No low stock alerts right now.,No hay alertas de stock bajo en este momento.
No low stock items.,No hay artículos con stock bajo.
No matching items in cart,No hay artículos coincidentes en el carrito
No month-wise sales trend found.,No se encontró ninguna tendencia de ventas mensual.
No negative stock items.,No hay artículos de stock negativos.
No notifications yet,Aún no hay notificaciones
No offline cash movement synced.,No se sincroniza ningún movimiento de efectivo fuera de línea.
No offline invoices pending synchronization,No hay facturas fuera de línea pendientes de sincronización
No offline sync issues recorded yet.,Aún no se han registrado problemas de sincronización sin conexión.
No out-of-stock items.,No hay artículos agotados.
No outstanding credit invoices for this shift.,No hay facturas de crédito pendientes para este turno.
No payment collection data found.,No se encontraron datos de cobro de pagos.
No payment rows available on this invoice.,No hay filas de pago disponibles en esta factura.
No payments registered for this shift.,No se registraron pagos para este turno.
No pending balances in this period.,No hay saldos pendientes en este periodo.
No pending offline invoices,No hay facturas pendientes fuera de línea
No Print Formats Found,No se encontraron formatos de impresión
No profiles found for selected scope. Falling back to current profile failed.,No se encontraron perfiles para el alcance seleccionado. Error al volver al perfil actual.
No recent customer activity found.,No se encontró actividad reciente de clientes.
No recent stock entries found.,No se encontraron entradas de acciones recientes.
No records found,No se encontraron registros
No reorder suggestions right now.,No hay sugerencias de reorden en este momento.
No repeat customers in this period.,No hay clientes habituales en este período.
No response from server,No hay respuesta del servidor
No return invoices found,No se encontraron facturas de devolución
No return item trend found.,No se encontró ninguna tendencia de devolución de artículos.
No returnable items found for this invoice,No se encontraron artículos retornables para esta factura
No returns were processed in this shift.,No se procesaron devoluciones en este turno.
No risk activity found.,No se encontró actividad de riesgo.
No sales activity found for this period.,No se encontró actividad de ventas para este período.
No slow moving items.,No hay elementos que se muevan lentamente.
No staff sales activity found.,No se encontró actividad de ventas del personal.
No stock movement for this period.,No hay movimiento de stock para este período.
No submitted cash movements in this shift.,No se presentaron movimientos de efectivo en este turno.
No supplier purchases found in this month.,No se encontraron compras de proveedores en este mes.
No suppliers found for this period.,No se encontraron proveedores para este período.
No sync trigger has run yet in this session.,Aún no se ha ejecutado ningún activador de sincronización en esta sesión.
No tax head breakdown found.,No se encontró ningún desglose de cabeza de impuestos.
No top items found for this location.,No se encontraron artículos destacados para esta ubicación.
No unpaid invoices,Sin facturas impagas
No variant data found.,No se encontraron datos de variantes.
No week-wise sales trend found.,No se encontró ninguna tendencia de ventas semanal.
No.,No.
Nobile Number,Número noble
Not available,No disponible
Not checked,No comprobado
Not selected,No seleccionado
Not Set,No establecido
Notifications,Notificaciones
Offer,oferta
Offer Applied,Oferta aplicada
Offer criteria exceeded,Se superaron los criterios de oferta
Offer Item,Artículo de oferta
Offer item unavailable,Artículo de oferta no disponible
Offer Removed,Oferta eliminada
Offer UOM cannot be changed,La unidad de medida de la oferta no se puede cambiar
Offer?,¿Oferta?
Offers,Ofertas
Offline,Sin conexión
Offline & Sync,Sin conexión y sincronización
Offline Capabilities,Capacidades sin conexión
Offline data status refreshed,Estado de datos sin conexión actualizado
Offline diagnostics,Diagnóstico fuera de línea
Offline Invoices,Facturas sin conexión
Offline invoices status,Estado de facturas sin conexión
Offline invoices synced,Facturas sin conexión sincronizadas
Offline Queue: {0},Cola sin conexión: {0}
Offline rebuild guidance,Guía de reconstrucción sin conexión
Offline restore is unavailable for this session.,La restauración sin conexión no está disponible para esta sesión.
Offline selling is available with degraded capabilities.,La venta fuera de línea está disponible con capacidades degradadas.
Offline snapshot does not match the current POS state.,La instantánea sin conexión no coincide con el estado actual del POS.
Offline Status,Estado sin conexión
"Offline, terminal, and system controls","Controles fuera de línea, de terminal y del sistema"
OK,bien
Online,En línea
Open actions menu,Abrir menú de acciones
Open balance to collect,Abrir saldo para cobrar
Open Customer Display,Abrir pantalla de cliente
Open drawer,cajón abierto
Open invoices,Facturas abiertas
Open Payments?,¿Pagos abiertos?
Open POS home,Abrir inicio de POS
Open this screen from POS Menu -> Open Customer Display.,Abra esta pantalla desde Menú POS -> Abrir Pantalla de Cliente.
OpenCV image processing enabled - Enhanced barcode detection,Procesamiento de imágenes OpenCV habilitado: detección de códigos de barras mejorada
OpenCV image processing unavailable on this device,El procesamiento de imágenes OpenCV no está disponible en este dispositivo
OpenCV Off,OpenCV desactivado
OpenCV On,OpenCV activado
OpenCV processing disabled,Procesamiento OpenCV deshabilitado
Opening Amount,Monto de apertura
Opening Cash,Caja de apertura
options,opciones
Order,Orden
Original,Originales
Other,Otro
Out,Fuera
Out of Stock,Agotado
Out of Stock Items,Artículos agotados
Outstanding,Sobresaliente
Outstanding Credit by Currency,Crédito pendiente por moneda
Overdue,Vencido
Overpayment Change,Cambio de sobrepago
Overpayment change deducted: {0},Cambio de sobrepago deducido: {0}
Packing List,Lista de embalaje
Page Format,Formato de página
Page unavailable offline,Página no disponible sin conexión
Paid,Pagado
Paid (orig):,Pagado (origen):
Paid Amount,Monto pagado
Paid change cannot be greater than total change!,¡El cambio pagado no puede ser mayor que el cambio total!
Paid:,Pagado:
Parent Item,Artículo principal
Partial,Parcial
Partly Paid,Parcialmente pagado
Party Account,Cuenta del partido
Party Type,Tipo de fiesta
Pause terminal until next cashier,Pausar terminal hasta el próximo cajero
PAY,PAGAR
Payment,Pago
Payment Account,Cuenta de pago
Payment entries processed for Invoice {0},Entradas de pago procesadas para la factura {0}
Payment Entry Type,Tipo de entrada de pago
Payment History,Historial de pagos
Payment ID,ID de pago
Payment Method Report,Informe de método de pago
Payment Methods,Métodos de pago
Payment of {0} received successfully.,Pago de {0} recibido exitosamente.
Payment Progress,Progreso del pago
Payment Reconciliation,Conciliación de pagos
Payment request status could not be retrieved. Please try again,No se pudo recuperar el estado de la solicitud de pago. Por favor inténtalo de nuevo
Payment Request took too long to respond. Please try requesting for payment again,La solicitud de pago tardó demasiado en responder. Por favor intenta solicitar el pago nuevamente.
Payment saved offline,Pago guardado sin conexión
Payment State,Estado de pago
Payment Status,Estado de pago
Payment submitted but print function could not be executed. Payment name not found.,Pago enviado pero no se pudo ejecutar la función de impresión. Nombre de pago no encontrado.
Payment submitted.,Pago enviado.
Payment Summary,Resumen de pago
Payments,Pagos
Payments are not open. Do you want to open payments and submit?,Los pagos no están abiertos. ¿Quieres abrir pagos y enviarlos?
Payments by Mode of Payment,Pagos por Modo de Pago
PDF,PDF
Peak Hour,Hora pico
Peak Memory:,Memoria máxima:
Peak Server:,Servidor pico:
Peak:,Pico:
Pending,Pendiente
Pending Amount,Monto pendiente
Pending count updated from {0} to {1},Recuento pendiente actualizado de {0} a {1}
Pending Exposure,Exposición pendiente
Pending Invoices,Facturas Pendientes
Pending Ratio,Ratio pendiente
Pending Sales,Ventas pendientes
Pending sales: {0} | Cache usage: {1}%,Ventas pendientes: {0} | Uso de caché: {1}%
Pending Sync,Sincronización pendiente
Pending: {0},Pendiente: {0}
Pending: {0} | Synced: {1} | Draft: {2},Pendiente: {0} | Sincronizado: {1} | Borrador: {2}
Per Page,Por página
Personal,personales
Personal preferences adjust the current cashier experience without changing the active POS route.,Las preferencias personales ajustan la experiencia actual del cajero sin cambiar la ruta activa del POS.
PIN confirmation does not match.,La confirmación del PIN no coincide.
PIN must be 4 to 8 digits.,El PIN debe tener de 4 a 8 dígitos.
Please add at least one item.,Por favor agregue al menos un elemento.
Please allow camera access to scan codes,Permita el acceso de la cámara para escanear códigos
Please enter payment amount,Por favor ingrese el monto del pago
Please fill all required fields,Por favor complete todos los campos requeridos
Please make a payment or select a payment,Por favor realice un pago o seleccione un pago
Please request phone payment or use another payment method,Solicite el pago por teléfono o utilice otro método de pago
Please select a customer first,Por favor seleccione un cliente primero
Please select a party,Por favor seleccione una fiesta
Please select a party before reconciling.,Seleccione una parte antes de reconciliarse.
Please select a valid movement type.,Seleccione un tipo de movimiento válido.
Please select an invoice,Por favor seleccione una factura
Please select company before reconciling.,Seleccione la empresa antes de realizar la conciliación.
Please set the customer's mobile number,Por favor configure el número de móvil del cliente
Please try again or enter the item manually.,Inténtelo de nuevo o ingrese el elemento manualmente.
Please verify the barcode or check the item's availability.,Verifique el código de barras o verifique la disponibilidad del artículo.
Points,Puntos
Popup blocked. Please allow popups.,Ventana emergente bloqueada. Por favor permita ventanas emergentes.
POS,punto de venta
POS controls and maintenance,Controles y mantenimiento de TPV
POS Expense is disabled for this POS Profile.,Los gastos de POS están deshabilitados para este perfil de POS.
POS is running with limited offline prerequisites.,POS se ejecuta con requisitos previos sin conexión limitados.
POS Profile,Perfil de punto de venta
Position the QR code or barcode within the scanning area,Coloque el código QR o el código de barras dentro del área de escaneo
Posting,Publicación
Posting and Price List,Publicación y lista de precios
Posting Date,Fecha de publicación
Preparing background sync,Preparando sincronización en segundo plano
"Press OK to continue offline with a warning, or Cancel to retry.",Presione Aceptar para continuar sin conexión con una advertencia o Cancelar para volver a intentarlo.
Previous unit of measure,Unidad de medida anterior
Price List,Lista de precios
Price List Rate,Tarifa de lista de precios
Price list rate updated locally only,Tarifa de lista de precios actualizada solo localmente
Pricing & Discounts,Precios y descuentos
Pricing Rule,Regla de precios
Print,Imprimir
Print Draft,Imprimir borrador
Print Format (Invoice),Formato de impresión (factura)
Print Format (Order),Formato de impresión (pedido)
Print invoice,imprimir factura
Print Purchase Invoice instead of PO,Imprimir factura de compra en lugar de orden de compra
Printer,Impresora
Processed returns impacting the shift totals,Devoluciones procesadas que impactan los totales de turno
Processing Payment,Procesando pago
Processing payment entries for Invoice {0},Procesando entradas de pago para la factura {0}
Profile,Perfil
Profiles,Perfiles
Profit,beneficio
Profit: Invoice Item Estimate,Beneficio: Estimación de artículo de factura
Profit: Stock Ledger (COGS),Beneficio: Libro mayor de existencias (COGS)
Profitability Report,Informe de Rentabilidad
Prorated return discount,Descuento de devolución prorrateado
Purchase Amount,Monto de la compra
Purchase Invoices,Facturas de compra
Purchase Order created,Orden de compra creada
Qty,Cantidad
Qualified,Calificado
Quantity,Cantidad
Quantity exceeds available stock,La cantidad excede el stock disponible
Quick Actions,Acciones rápidas
Quotation {0} is Submitted,Se ha enviado la cotización {0}
Quotation submitted,Cotización enviada
QZ Tray connected.,Bandeja QZ conectada.
QZ Tray is manually disconnected. Press Connect to enable it again.,La bandeja QZ se desconecta manualmente. Presione Conectar para habilitarlo nuevamente.
QZ Tray is not connected.,La bandeja QZ no está conectada.
QZ Tray Setup,Configuración de la bandeja QZ
Rate,Tarifa
Rate adjusted to maximum allowed discount,Tarifa ajustada al descuento máximo permitido
Ready,Listo
Ready to resume,Listo para reanudar
Ready!,¡Listo!
Real-time POS insights for retail operations.,Información de POS en tiempo real para operaciones minoristas.
Rebuild Offline Data,Reconstruir datos sin conexión
Receive,Recibir
Receive now,Recibe ahora
Received,Recibido
Received:,Recibido:
Recent Movement Entries,Entradas de movimiento recientes
Recent updates about your invoices,Actualizaciones recientes sobre sus facturas
Recently Active Customers,Clientes activos recientemente
Rechecking connection,Volviendo a comprobar la conexión
Reconcile payment methods and close shift,Conciliar métodos de pago y cerrar turno.
Reconciling Payments,Conciliación de pagos
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Vuelva a conectarse y abra esta página una vez mientras esté en línea; luego, las actualizaciones sin conexión podrán restaurarla."
Reconnect online to refresh cached offline data from the server.,Vuelva a conectarse en línea para actualizar los datos almacenados en caché fuera de línea desde el servidor.
Recreate local offline prerequisites from scratch,Recrear los requisitos previos locales sin conexión desde cero
Recv:,Recepción:
Redeem,Canjear
Redeem / Scan,Canjear / Escanear
Redeem Amount,Canjear monto
Redeem Mode,Modo canjear
Redeemed Amount,Monto canjeado
Redeemed credit cannot be greater than its total.,El crédito canjeado no puede ser mayor que su total.
Redemption and Totals,Redención y totales
Reference,Referencia
Refresh,Actualizar
Refresh Exchange Rate,Actualizar tipo de cambio
Refresh Offline Data,Actualizar datos sin conexión
Refresh Printers,Actualizar impresoras
Refund,Reembolso
Release Notes,Notas de la versión
Reload,recargar
Reload customers,Recargar clientes
Reload Items,Recargar artículos
Reload Now,Recargar ahora
Reload to apply the latest changes. Your current session will be refreshed.,Vuelva a cargar para aplicar los últimos cambios. Su sesión actual se actualizará.
Reload Workflow,Recargar flujo de trabajo
Remarks,Observaciones
Remarks are required.,Se requieren comentarios.
Remove,Quitar
Remove barcode item,Eliminar elemento de código de barras
Remove cached data and reload the POS app,Elimine los datos almacenados en caché y vuelva a cargar la aplicación POS
Remove item,Quitar elemento
Remove Offer,Eliminar oferta
Reorder / Purchase Suggestions,Reordenar / Sugerencias de compra
Repair Candidate,Candidato de reparación
Repair Change Allocation,Asignación de cambios de reparación
Repair requires an online connection,La reparación requiere una conexión en línea
Repaired,reparado
Repairing change allocation,Reparar la asignación de cambios
Repeat Customers,Clientes repetidos
Repeat Rate,Tasa de repetición
Request,Solicitar
Request ID: {0},ID de solicitud: {0}
Request Payment,Solicitar pago
Requested route: {0},Ruta solicitada: {0}
Required columns cannot be hidden,Las columnas obligatorias no se pueden ocultar
Reset,Reiniciar
Reset item name,Restablecer nombre del elemento
Reset to Default,Restablecer los valores predeterminados
Resource Health,Estado de los recursos
Restricted,Restringido
Restricted operational controls for supervisors only.,Controles operativos restringidos sólo para supervisores.
Retry,Reintentar
Retry route,Reintentar ruta
Return,Regresar
Return Amount,Monto de devolución
Return Count,Recuento de devoluciones
Return items must have negative quantities,Los artículos devueltos deben tener cantidades negativas.
Return total must be negative,El total de retorno debe ser negativo.
Return Valid Until,Devolución válida hasta
Return window passed,La ventana de devolución pasó
Return without Invoice,Devolución sin factura
Returns,Devoluciones
Returns / Voids / Discounts,Devoluciones / Anulaciones / Descuentos
Returns by Currency,Devoluciones por moneda
Revenue,Ingresos
Review shift totals before submitting the closing entry,Revise los totales de turno antes de enviar la entrada de cierre
Round Off,Redondear
Rows,Filas
Rows:,Filas:
Rule,regla
Sale,Venta
Sales,Ventas
Sales Order {0} is Submitted,Se envía el pedido de ventas {0}
Sales Person and Print,Vendedor e imprenta
Sales Person not found,Vendedor no encontrado
Sales processed,Ventas procesadas
Sales Return,Devolución de ventas
Sales Trend Report,Informe de tendencias de ventas
Save,Guardar
Save & Clear,Guardar y borrar
Save as POS Profile Default,Guardar como perfil de POS predeterminado
Save Settings,Guardar configuración
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Guarde la impresora seleccionada como perfil POS predeterminado para que se muestre automáticamente en esta configuración.
Saved as draft because: {0},Guardado como borrador porque: {0}
Saving...,Guardando...
Scale barcode detected. Quantity here is the number of labels to print.,Código de barras de báscula detectado. La cantidad aquí es la cantidad de etiquetas a imprimir.
Scale barcode settings are not configured. Using item barcode only.,Los ajustes del código de barras de la báscula no están configurados. Utilizando únicamente el código de barras del artículo.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Falta el código de barras de la plantilla de báscula para este artículo/UOM. Utilizando únicamente el código de barras del artículo.
Scan an existing card and top it up without leaving the payment flow.,Escanee una tarjeta existente y rellénela sin salir del flujo de pago.
Scan Error,Error de escaneo
Scan or enter a gift card code to check balance or redeem.,Escanee o ingrese el código de una tarjeta de regalo para verificar el saldo o canjearlo.
Scan or paste the card code below.,Escanee o pegue el código de la tarjeta a continuación.
Scan QR Code/Barcode,Escanear código QR/código de barras
Scan with camera,Escanear con cámara
Scan-First Flow,Flujo de escaneo primero
Scanned Code:,Código escaneado:
Scanning for: {0},Buscando: {0}
Scanning items,Escaneando elementos
Scan-Ready,Listo para escanear
Scope,Alcance
Scope: All Profiles,Alcance: Todos los perfiles
Scope: Current Profile,Alcance: Perfil actual
Scope: Specific Profile,Alcance: Perfil Específico
Search,Buscar
Search Account,Buscar cuenta
Search an invoice and continue the return flow without extra steps.,Busque una factura y continúe el flujo de devolución sin pasos adicionales.
Search customer,Buscar cliente
Search invoices or customers,Buscar facturas o clientes
Search item,Elemento de búsqueda
Search item / code,Buscar artículo/código
Search items or barcode,Buscar artículos o código de barras
Search Mpesa Payments,Buscar pagos Mpesa
Search return invoices or customers,Buscar devoluciones de facturas o clientes
Search supplier,Buscar proveedor
Search unpaid invoices or customers,Buscar facturas o clientes impagos
Secure context (HTTPS or localhost) is required for camera access.,Se requiere un contexto seguro (HTTPS o localhost) para acceder a la cámara.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Se requiere contexto seguro (HTTPS) para acceder a la cámara. Utilice HTTPS para acceder a la cámara.
Select,Seleccionar
Select a cashier first.,Seleccione un cajero primero.
Select a customer,Seleccione un cliente
Select a customer to use coupon,Seleccione un cliente para usar el cupón
Select a printer to use QZ silent printing.,Seleccione una impresora para utilizar la impresión silenciosa QZ.
Select Batch,Seleccionar lote
Select Columns to Display,Seleccionar columnas para mostrar
Select items to sell,Seleccionar artículos para vender
Select Payment,Seleccione Pago
Select Payment Account,Seleccionar cuenta de pago
Select printer,Seleccionar impresora
Select Return Invoice,Seleccione Factura de Devolución
Select S.O,Seleccione S.O.
Select Sales Orders,Seleccionar pedidos de venta
Select the cashier who is taking over this terminal.,Seleccione el cajero que se hará cargo de esta terminal.
Selected,Seleccionado
Selected movement type is not allowed by POS Profile.,El tipo de movimiento seleccionado no está permitido por el perfil POS.
Selected Payments,Pagos seleccionados
Sensitive actions kept away from quick taps.,Las acciones sensibles se mantienen alejadas de toques rápidos.
Serial,Serie
Serial Numbers,Números de serie
Server CPU Usage:,Uso de CPU del servidor:
Server Health,Estado del servidor
Server Memory Usage:,Uso de la memoria del servidor:
Server Metrics,Métricas del servidor
Server Uptime:,Tiempo de actividad del servidor:
Service Charges,Cargos por servicio
Session,Sesión
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Establezca cada PIN de cajero en el formulario de Usuario y mantenga los miembros del terminal asignados en el Perfil de Usuario del POS.
Settings,Configuración
Settings in this section update the POS workspace without changing the current route.,Las configuraciones en esta sección actualizan el espacio de trabajo de POS sin cambiar la ruta actual.
Setup complete!,¡Configuración completa!
Share,Compartir
Shared terminal,Terminal compartida
Shift Closed Snapshot,Instantánea de turno cerrado
Shift Overview,Descripción general del turno
Show,Mostrar
Show cart on customer-facing screen,Mostrar carrito en la pantalla orientada al cliente
Show last invoice rate,Mostrar tarifa de la última factura
Show rate info,Mostrar información de tarifas
Show Repair Candidates,Mostrar candidatos a reparación
Show search tools,Mostrar herramientas de búsqueda
Show the active cart on a customer-facing screen,Mostrar el carrito activo en una pantalla orientada al cliente
Showing {0}-{1} of {2},Mostrando {0}-{1} de {2}
Showing 0 of 0,Mostrando 0 de 0
Shows the distribution of invoices per currency,Muestra la distribución de facturas por moneda.
Sign out of the current POS session,Cerrar sesión en la sesión actual de POS
Size:,Tamaño:
Skipped Payments,Pagos omitidos
Skipping items without barcodes,Saltar artículos sin códigos de barras
Slow Moving,movimiento lento
Slow Moving Items,Artículos de movimiento lento
Slow Queries:,Consultas lentas:
Sold,Vendido
Source,Fuente
Source Cash Account (Optional Override),Cuenta de efectivo de origen (anulación opcional)
Source Ex. Rate:,Fuente Ej. Tarifa:
Source Rate:,Tarifa fuente:
Specific Profile,Perfil específico
Split Invoices,Facturas divididas
Staff / Cashier Performance Report,Informe de desempeño del personal/cajero
Status,Estado
Stock,Valores
Stock Information,Información bursátil
Stock is lower than requested,El stock es inferior al solicitado.
Stock is lower than requested:\n{0},El stock es inferior al solicitado:\n{0}
Stock Movement Report,Informe de movimiento de acciones
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Actualización de stock: {0} tiene {1} disponible. Agregar {2} hará que las acciones estén por debajo de cero.
Submit,Entregar
Submit & Print,Enviar e imprimir
Submit Deposit,Enviar depósito
Submit Expense,Enviar Gasto
Submitted,Enviado
Submitted Cash Movements,Movimientos de efectivo enviados
Submitted entries,Entradas enviadas
Successfully scanned:,Escaneado exitosamente:
Suggested,sugerido
Suggested Qty,Cantidad sugerida
Supervisor Access,Acceso de supervisor
Supervisor permissions unlock issuance and reloads,Permisos de supervisor desbloquean emisión y recargas
Supervisor Tools,Herramientas de supervisor
Supplier,Proveedor
Supplier and dates are required.,Se requieren proveedor y fechas.
Supplier Invoices,Facturas de proveedores
Supplier is required.,Se requiere proveedor.
Supplier name is required,El nombre del proveedor es obligatorio.
Supplier Payments,Pagos a proveedores
Supplier Purchase Summary,Resumen de compras de proveedores
Suppliers,Proveedores
Suppliers not found,Proveedores no encontrados
Switch Camera,Cambiar cámara
Switch Cashier,Cambiar de cajero
Switch the POS appearance theme,Cambiar el tema de apariencia del POS
Switched to:,Cambiado a:
Sync All Invoices,Sincronizar todas las facturas
Sync Offline Cash Movements ({0}),Sincronizar movimientos de efectivo fuera de línea ({0})
Sync Offline Sales,Sincronizar ventas sin conexión
Synced {0} offline cash movement(s).,{0} movimientos de efectivo fuera de línea sincronizados.
Syncing items in background,Sincronizar elementos en segundo plano
System / Diagnostics,Sistema / Diagnóstico
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Las acciones del sistema son controles de mantenimiento de baja frecuencia, como información de aplicaciones, diagnósticos de soporte y controles de sesión."
System Information,Información del sistema
System Status,Estado del sistema
Tables:,Tablas:
Tap the button below to redeem a gift card during checkout.,Toque el botón a continuación para canjear una tarjeta de regalo durante el proceso de pago.
Target,Objetivo
Target Ex. Rate:,Objetivo Ej. Tarifa:
Target Rate:,Tasa objetivo:
Tax,Impuesto
Tax / Charges Report,Informe de impuestos/cargos
Tax Heads,Jefes de impuestos
Taxable Amount,Monto imponible
Tendered,Licitado
Terminal,terminales
Terminal & Devices,Terminales y dispositivos
Terminal locked,Terminal bloqueado
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Las herramientas de terminal afectan esta estación de pago, las pantallas orientadas al cliente y los controles futuros de impresoras/dispositivos."
Territory not found,Territorio no encontrado
The amount paid is not complete,El importe pagado no está completo.
The app stores data locally for offline use. This is called cache.,La aplicación almacena datos localmente para su uso sin conexión. Esto se llama caché.
The invoice stayed in draft. Please review and submit it manually.,La factura quedó en borrador. Revíselo y envíelo manualmente.
The maximum discount allowed is,El descuento máximo permitido es
The quantity for {0} has been adjusted to the maximum available stock.,La cantidad de {0} se ha ajustado al stock máximo disponible.
The system could not retrieve the item details. Please try again.,El sistema no pudo recuperar los detalles del artículo. Por favor inténtalo de nuevo.
These invoices will be synced when connection is restored,Estas facturas se sincronizarán cuando se restablezca la conexión.
This action now opens inside the settings workspace.,Esta acción ahora se abre dentro del espacio de trabajo de configuración.
This coupon already used !,¡Este cupón ya se usó!
This invoice does not need change-allocation repair,Esta factura no necesita reparación de asignación de cambio.
This invoice is already repaired,Esta factura ya está reparada.
This is an item template. Please choose a variant.,Esta es una plantilla de elemento. Por favor elige una variante.
this item,este artículo
This POS page could not be opened offline because its code was not cached on this terminal yet.,Esta página de POS no se pudo abrir sin conexión porque su código aún no estaba almacenado en caché en este terminal.
This Serial Number {0} has already been added!,¡Este número de serie {0} ya se ha agregado!
Threshold,umbral
Time,tiempo
Tip: Clear cache regularly to free up space and keep the app fast.,Consejo: borre el caché con regularidad para liberar espacio y mantener la aplicación rápida.
Tip: Close unused tabs or apps to reduce lag.,Consejo: cierre las pestañas o aplicaciones que no utilice para reducir el retraso.
