POS Awesome,POS 최고
Low Stock,재고 부족
Low Stock Alerts,재고 부족 경고
Low Stock Items,재고가 적은 품목
Low Stock Threshold,낮은 재고 임계값
Low Stock Total,낮은 재고 총계
Lowest Margin,최저 마진
Low-frequency maintenance and system details.,저주파 유지보수 및 시스템 세부사항.
Loyalty Redeemed,충성심을 되찾았습니다
Loyalty Redemption,로열티 상환
Make New Payment,새로 결제하기
Manage all,모두 관리
Manage and synchronize your offline transactions,오프라인 거래 관리 및 동기화
Manage Cashier PIN,계산원 PIN 관리
"Manage offline tools, terminal controls, and maintenance from one workspace.","하나의 작업 공간에서 오프라인 도구, 터미널 제어 및 유지 관리를 관리하세요."
manual,매뉴얼
"Manual codes, barcode scans, and QR scans work in the same field","수동 코드, 바코드 스캔, QR 스캔이 동일한 분야에서 작동합니다."
Manual offline mode is enabled,수동 오프라인 모드가 활성화되었습니다.
Margin,여백
Maximum available quantity is {0}. Quantity adjusted to match stock.,최대 사용 가능 수량은 {0}입니다. 재고에 맞게 수량을 조정했습니다.
Maximum discount amount for this offer item is {0}.,이 제안 항목의 최대 할인 금액은 {0}입니다.
Maximum discount percentage for this offer item is {0}%.,이 제안 항목의 최대 할인율은 {0}%입니다.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,최대 제안 수량은 {0}입니다. 허용된 한도로 수량을 조정했습니다.
Medium,중간
Method-wise Collections,방법별 컬렉션
Minimum allowed rate for this offer item is {0}.,이 제안 항목에 허용되는 최소 요율은 {0}입니다.
Minimum Qty,최소 수량
Mobile No,모바일 번호
Mode,모드
Mode of Payment,결제 방식
Month,월
Month ?,월?
Monthly Profit,월간 이익
Monthly Sales,월간 매출
Monthly Sales Summary,월별 매출 요약
Month-wise,월별
Most Active Cashiers,가장 활동적인 계산원
Movement Type,이동 유형
Movements,움직임
Multi Currency,다중 통화
N/A,해당 없음
Name,이름
Negative Stock,마이너스 주식
Negative Stock Items,마이너스 재고 품목
Negative values not allowed,음수 값은 허용되지 않습니다.
Net,순
Net Qty,순 수량
Net Sales,순매출
Net Value,순 가치
Never,절대로
New changes are ready to load,새로운 변경사항을 로드할 준비가 되었습니다.
New Item,새 항목
New Offer Available,새로운 제안 이용 가능
New PIN,새 PIN
New rate,새로운 요율
Next unit of measure,다음 측정 단위
No attribute data found.,속성 데이터가 없습니다.
No Barcode,바코드 없음
No barcode found for UOM '{0}',UOM '{0}'에 대한 바코드가 없습니다.
No branch/location data found.,지점/위치 정보를 찾을 수 없습니다.
No brand data found.,브랜드 데이터를 찾을 수 없습니다.
No cached gift card balance is available offline.,캐시된 기프트 카드 잔액은 오프라인에서 사용할 수 없습니다.
No camera found on this device. Please ensure your device has a working camera.,이 기기에서 카메라를 찾을 수 없습니다. 장치에 작동하는 카메라가 있는지 확인하세요.
No capability warnings recorded yet.,아직 기록된 기능 경고가 없습니다.
No cash expected for this shift.,이번 근무에는 현금이 필요하지 않습니다.
No cash mode configured,현금 모드가 구성되지 않았습니다.
No cash movement type is allowed for this POS Profile.,이 POS 프로필에는 현금 이동 유형이 허용되지 않습니다.
No cashier PIN is set yet. Create one now.,계산원 PIN이 아직 설정되지 않았습니다. 지금 하나 만들어 보세요.
No cashier profiles are available for this POS profile yet.,아직 이 POS 프로필에 사용할 수 있는 계산원 프로필이 없습니다.
No cashier-wise discount/void/return activity.,계산원별 할인/무효/반품 활동이 없습니다.
No category data found.,카테고리 데이터를 찾을 수 없습니다.
No category profitability data found.,카테고리 수익성 데이터가 없습니다.
No change returned recorded for this shift.,이 교대 근무에 대해 반환된 변경 사항이 기록되지 않았습니다.
No change-allocation invoices match the current filters.,현재 필터와 일치하는 변경 할당 송장이 없습니다.
No charge head breakdown found.,충전 헤드 고장이 발견되지 않았습니다.
No Company Selected,선택한 회사가 없습니다.
No customer sales data found.,고객 판매 데이터를 찾을 수 없습니다.
No day-wise discount/void/return trend.,일별 할인/무효/반품 추세가 없습니다.
No day-wise payment data found.,일별 결제 데이터가 없습니다.
No day-wise profitability trend found.,일별 수익성 추세를 찾을 수 없습니다.
No day-wise purchase data found.,일별 구매 데이터가 없습니다.
No day-wise sales trend found.,일별 판매 동향을 찾을 수 없습니다.
No day-wise tax/charges trend found.,일별 세금/요금 추세가 없습니다.
No dead stock items.,재고품이 없습니다.
No due date,마감일 없음
No exact repair match found for this invoice,이 청구서에 대해 정확한 수리 일치 항목을 찾을 수 없습니다.
No hourly sales trend found for today.,오늘의 시간별 판매 추세를 찾을 수 없습니다.
No invoice activity found.,송장 활동이 없습니다.
No invoices found,인보이스를 찾을 수 없습니다.
No invoices found. Try different search criteria.,청구서를 찾을 수 없습니다. 다른 검색 기준을 사용해 보세요.
No invoices recorded for this shift.,이번 교대조에 대해 기록된 청구서가 없습니다.
No item profitability data found.,품목 수익성 데이터를 찾을 수 없습니다.
No item sales data found for this period.,해당 기간 동안의 상품 판매 데이터가 없습니다.
No items found,항목을 찾을 수 없습니다
No items in cart,장바구니에 상품이 없습니다
No items with barcodes to print,인쇄할 바코드가 있는 항목이 없습니다.
No location-wise top item data found.,위치별 상위 항목 데이터가 없습니다.
No low stock alerts right now.,현재 재고 부족 알림은 없습니다.
No low stock items.,재고가 적은 품목은 없습니다.
No matching items in cart,장바구니에 일치하는 항목이 없습니다.
No month-wise sales trend found.,월별 매출 추이를 찾을 수 없습니다.
No negative stock items.,부정적인 재고 항목이 없습니다.
No notifications yet,아직 알림이 없습니다
No offline cash movement synced.,오프라인 현금 이동이 동기화되지 않았습니다.
No offline invoices pending synchronization,동기화 보류 중인 오프라인 송장이 없습니다.
No offline sync issues recorded yet.,아직 오프라인 동기화 문제가 기록되지 않았습니다.
No out-of-stock items.,품절된 상품이 없습니다.
No outstanding credit invoices for this shift.,이번 교대근무에 대한 미결제 신용 송장이 없습니다.
No payment collection data found.,결제 수집 데이터가 없습니다.
No payment rows available on this invoice.,이 송장에는 결제 행이 없습니다.
No payments registered for this shift.,이 교대근무에 대해 등록된 지불이 없습니다.
No pending balances in this period.,이 기간에는 보류 잔액이 없습니다.
No pending offline invoices,보류 중인 오프라인 송장 없음
No Print Formats Found,인쇄 형식을 찾을 수 없습니다.
No profiles found for selected scope. Falling back to current profile failed.,선택한 범위에 대한 프로필을 찾을 수 없습니다. 현재 프로필로 폴백하지 못했습니다.
No recent customer activity found.,최근 고객 활동이 없습니다.
No recent stock entries found.,최근 주식 항목을 찾을 수 없습니다.
No records found,기록을 찾을 수 없습니다
No reorder suggestions right now.,지금은 재주문 제안이 없습니다.
No repeat customers in this period.,이 기간에는 반복 고객이 없습니다.
No response from server,서버에서 응답이 없습니다
No return invoices found,반품 청구서를 찾을 수 없습니다.
No return item trend found.,반품 항목 추세를 찾을 수 없습니다.
No returnable items found for this invoice,이 송장에는 반품 가능한 품목이 없습니다.
No returns were processed in this shift.,이번 교대조에서는 반품이 처리되지 않았습니다.
No risk activity found.,위험 활동이 발견되지 않았습니다.
No sales activity found for this period.,해당 기간 동안 판매 활동이 없습니다.
No slow moving items.,느리게 움직이는 항목이 없습니다.
No staff sales activity found.,직원 판매 활동을 찾을 수 없습니다.
No stock movement for this period.,해당 기간 동안 재고 이동은 없습니다.
No submitted cash movements in this shift.,이번 교대조에는 제출된 현금 이동이 없습니다.
No supplier purchases found in this month.,이번달에는 공급업체 구매가 없습니다.
No suppliers found for this period.,해당 기간 동안 공급업체를 찾을 수 없습니다.
No sync trigger has run yet in this session.,이 세션에서는 아직 동기화 트리거가 실행되지 않았습니다.
No tax head breakdown found.,세무 분류를 찾을 수 없습니다.
No top items found for this location.,이 위치에는 인기 항목이 없습니다.
No unpaid invoices,미지급 송장 없음
No variant data found.,변형 데이터가 없습니다.
No week-wise sales trend found.,주간 판매 동향을 찾을 수 없습니다.
No.,아니요.
Nobile Number,귀족 번호
Not available,사용할 수 없음
Not checked,체크하지 않음
Not selected,선택되지 않음
Not Set,설정되지 않음
Notifications,알림
Offer,제안
Offer Applied,제안이 적용되었습니다
Offer criteria exceeded,제안 기준을 초과했습니다.
Offer Item,제공 품목
Offer item unavailable,쿠폰 항목을 사용할 수 없습니다.
Offer Removed,제안이 제거되었습니다.
Offer UOM cannot be changed,제안 UOM을 변경할 수 없습니다.
Offer?,제안?
Offers,제안
Offline,오프라인
Offline & Sync,오프라인 및 동기화
Offline Capabilities,오프라인 기능
Offline data status refreshed,오프라인 데이터 상태가 새로 고쳐졌습니다.
Offline diagnostics,오프라인 진단
Offline Invoices,오프라인 송장
Offline invoices status,오프라인 송장 상태
Offline invoices synced,오프라인 송장이 동기화되었습니다.
Offline Queue: {0},오프라인 대기열: {0}
Offline rebuild guidance,오프라인 재구축 지침
Offline restore is unavailable for this session.,이 세션에서는 오프라인 복원을 사용할 수 없습니다.
Offline selling is available with degraded capabilities.,오프라인 판매는 저하된 기능으로 가능합니다.
Offline snapshot does not match the current POS state.,오프라인 스냅샷이 현재 POS 상태와 일치하지 않습니다.
Offline Status,오프라인 상태
"Offline, terminal, and system controls","오프라인, 터미널 및 시스템 제어"
OK,알았어
Online,온라인
Open actions menu,작업 메뉴 열기
Open balance to collect,수집할 잔액 공개
Open Customer Display,고객 디스플레이 열기
Open drawer,서랍 열기
Open invoices,미결제 송장
Open Payments?,결제를 개시하시겠습니까?
Open POS home,POS 홈 열기
Open this screen from POS Menu -> Open Customer Display.,POS 메뉴 -> 고객 디스플레이 열기에서 이 화면을 엽니다.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV 이미지 처리 활성화 - 향상된 바코드 감지
OpenCV image processing unavailable on this device,이 장치에서는 OpenCV 이미지 처리를 사용할 수 없습니다.
OpenCV Off,OpenCV 끄기
OpenCV On,OpenCV 켜기
OpenCV processing disabled,OpenCV 처리가 비활성화되었습니다.
Opening Amount,개시 금액
Opening Cash,개시현금
options,옵션
Order,주문
Original,원본
Other,기타
Out,아웃
Out of Stock,품절
Out of Stock Items,품절 상품
Outstanding,뛰어난
Outstanding Credit by Currency,통화별 뛰어난 신용도
Overdue,연체
Overpayment Change,초과지불 변경
Overpayment change deducted: {0},초과지불 변경사항 공제: {0}
Packing List,포장 목록
Page Format,페이지 형식
Page unavailable offline,오프라인에서 페이지를 사용할 수 없음
Paid,유료
Paid (orig):,유료(원본):
Paid Amount,결제금액
Paid change cannot be greater than total change!,지불된 잔돈은 총 잔액보다 클 수 없습니다!
Paid:,유료:
Parent Item,상위 품목
Partial,부분
Partly Paid,부분 유료
Party Account,파티 계정
Party Type,파티 유형
Pause terminal until next cashier,다음 계산원이 나올 때까지 단말기를 일시중지합니다.
PAY,지불
Payment,결제
Payment Account,지불 계정
Payment entries processed for Invoice {0},송장 {0}에 대한 지불 항목이 처리되었습니다.
Payment Entry Type,지불 입력 유형
Payment History,결제 내역
Payment ID,결제 ID
Payment Method Report,결제 방법 보고서
Payment Methods,결제 방법
Payment of {0} received successfully.,{0}의 결제가 성공적으로 접수되었습니다.
Payment Progress,결제 진행
Payment Reconciliation,결제 조정
Payment request status could not be retrieved. Please try again,결제 요청 상태를 검색할 수 없습니다. 다시 시도해 주세요
Payment Request took too long to respond. Please try requesting for payment again,결제 요청에 응답하는 데 시간이 너무 오래 걸렸습니다. 다시 결제 요청을 시도해 주세요.
Payment saved offline,결제가 오프라인으로 저장됨
Payment State,결제 상태
Payment Status,결제 상태
Payment submitted but print function could not be executed. Payment name not found.,결제가 완료되었으나 인쇄 기능을 실행할 수 없습니다. 결제 이름을 찾을 수 없습니다.
Payment submitted.,결제가 제출되었습니다.
Payment Summary,결제 요약
Payments,결제
Payments are not open. Do you want to open payments and submit?,결제가 열리지 않습니다. 결제를 개시하고 제출하시겠습니까?
Payments by Mode of Payment,결제 방식별 결제
PDF,PDF
Peak Hour,피크시간
Peak Memory:,최대 메모리:
Peak Server:,피크 서버:
Peak:,피크:
Pending,보류 중
Pending Amount,보류 금액
Pending count updated from {0} to {1},보류 중인 개수가 {0}에서 {1}(으)로 업데이트되었습니다.
Pending Exposure,노출 대기 중
Pending Invoices,보류 중인 송장
Pending Ratio,보류 비율
Pending Sales,판매 대기 중
Pending sales: {0} | Cache usage: {1}%,판매 대기 중: {0} | 캐시 사용량: {1}%
Pending Sync,보류 중인 동기화
Pending: {0},보류 중: {0}
Pending: {0} | Synced: {1} | Draft: {2},보류 중: {0} | 동기화됨: {1} | 초안: {2}
Per Page,페이지당
Personal,개인
Personal preferences adjust the current cashier experience without changing the active POS route.,활성 POS 경로를 변경하지 않고 개인 기본 설정에 따라 현재 계산원 환경이 조정됩니다.
PIN confirmation does not match.,PIN 확인이 일치하지 않습니다.
PIN must be 4 to 8 digits.,PIN은 4~8자리여야 합니다.
Please add at least one item.,항목을 하나 이상 추가하세요.
Please allow camera access to scan codes,코드를 스캔하려면 카메라 액세스를 허용하세요.
Please enter payment amount,결제금액을 입력해주세요
Please fill all required fields,필수 입력란을 모두 작성해 주세요.
Please make a payment or select a payment,결제를 하시거나 결제수단을 선택해주세요
Please request phone payment or use another payment method,전화결제를 요청하시거나 다른 결제수단을 이용해주세요
Please select a customer first,먼저 고객을 선택하세요.
Please select a party,정당을 선택해주세요
Please select a party before reconciling.,조정하기 전에 정당을 선택하세요.
Please select a valid movement type.,유효한 이동 유형을 선택하십시오.
Please select an invoice,송장을 선택해 주세요
Please select company before reconciling.,조정하기 전에 회사를 선택하세요.
Please set the customer's mobile number,고객의 휴대폰 번호를 설정해주세요
Please try again or enter the item manually.,다시 시도하거나 항목을 수동으로 입력하십시오.
Please verify the barcode or check the item's availability.,바코드를 확인하거나 상품의 재고 여부를 확인하세요.
Points,포인트
Popup blocked. Please allow popups.,팝업이 차단되었습니다. 팝업을 허용해주세요.
POS,POS
POS controls and maintenance,POS 제어 및 유지 관리
POS Expense is disabled for this POS Profile.,이 POS 프로필에 대해 POS 비용이 비활성화되었습니다.
POS is running with limited offline prerequisites.,POS는 제한된 오프라인 전제 조건으로 실행되고 있습니다.
POS Profile,POS 프로필
Position the QR code or barcode within the scanning area,스캔 영역 내에 QR 코드 또는 바코드를 배치하세요.
Posting,게시
Posting and Price List,게시 및 가격표
Posting Date,게시 날짜
Preparing background sync,백그라운드 동기화 준비 중
"Press OK to continue offline with a warning, or Cancel to retry.","경고와 함께 오프라인을 계속하려면 확인을 누르고, 다시 시도하려면 취소를 누르세요."
Previous unit of measure,이전 측정 단위
Price List,가격표
Price List Rate,가격표 요율
Price list rate updated locally only,가격표 요율은 로컬에서만 업데이트됩니다.
Pricing & Discounts,가격 및 할인
Pricing Rule,가격 책정 규칙
Print,인쇄
Print Draft,초안 인쇄
Print Format (Invoice),인쇄 형식(송장)
Print Format (Order),인쇄형식(주문)
Print invoice,송장 인쇄
Print Purchase Invoice instead of PO,PO 대신 구매 송장 인쇄
Printer,프린터
Processed returns impacting the shift totals,교대 근무 합계에 영향을 미치는 처리된 반품
Processing Payment,결제 처리 중
Processing payment entries for Invoice {0},송장 {0}에 대한 지불 항목 처리 중
Profile,프로필
Profiles,프로필
Profit,이익
Profit: Invoice Item Estimate,이익: 송장 품목 견적
Profit: Stock Ledger (COGS),이익: 재고 원장(COGS)
Profitability Report,수익성 보고서
Prorated return discount,일할 계산된 반품 할인
Purchase Amount,구매 금액
Purchase Invoices,구매 송장
Purchase Order created,구매 주문이 생성되었습니다.
Qty,수량
Qualified,자격을 갖춘
Quantity,수량
Quantity exceeds available stock,수량이 사용 가능한 재고를 초과합니다.
Quick Actions,빠른 작업
Quotation {0} is Submitted,견적서 {0}이(가) 제출되었습니다
Quotation submitted,제출된 견적
QZ Tray connected.,QZ 트레이가 연결되었습니다.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ 트레이가 수동으로 연결 해제되었습니다. 다시 활성화하려면 연결을 누르세요.
QZ Tray is not connected.,QZ 트레이가 연결되지 않았습니다.
QZ Tray Setup,QZ 트레이 설정
Rate,요금
Rate adjusted to maximum allowed discount,허용된 최대 할인으로 요금이 조정되었습니다.
Ready,준비
Ready to resume,재개 준비 완료
Ready!,준비됐어요!
Real-time POS insights for retail operations.,소매 운영을 위한 실시간 POS 통찰력.
Rebuild Offline Data,오프라인 데이터 재구축
Receive,수신
Receive now,지금 받기
Received,접수됨
Received:,수신:
Recent Movement Entries,최근 운동 항목
Recent updates about your invoices,인보이스에 대한 최근 업데이트
Recently Active Customers,최근 활성 고객
Rechecking connection,연결 재확인 중
Reconcile payment methods and close shift,결제 수단 조정 및 교대 마감
Reconciling Payments,지급 조정
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",온라인 상태에서 이 페이지를 다시 연결하고 한 번 열면 오프라인으로 새로고침하여 복원할 수 있습니다.
Reconnect online to refresh cached offline data from the server.,서버에서 캐시된 오프라인 데이터를 새로 고치려면 온라인으로 다시 연결하세요.
Recreate local offline prerequisites from scratch,로컬 오프라인 필수 구성 요소를 처음부터 다시 생성
Recv:,수신:
Redeem,사용
Redeem / Scan,사용/스캔
Redeem Amount,상환 금액
Redeem Mode,상환 모드
Redeemed Amount,상환 금액
Redeemed credit cannot be greater than its total.,상환된 크레딧은 총액보다 클 수 없습니다.
Redemption and Totals,상환 및 총액
Reference,참고자료
Refresh,새로고침
Refresh Exchange Rate,환율 새로 고침
Refresh Offline Data,오프라인 데이터 새로 고침
Refresh Printers,프린터 새로 고침
Refund,환불
Release Notes,릴리스 노트
Reload,새로고침
Reload customers,고객 새로고침
Reload Items,항목 새로고침
Reload Now,지금 새로고침
Reload to apply the latest changes. Your current session will be refreshed.,최신 변경사항을 적용하려면 새로고침하세요. 현재 세션이 새로 고쳐집니다.
Reload Workflow,워크플로 다시 로드
Remarks,비고
Remarks are required.,비고가 필요합니다.
Remove,제거
Remove barcode item,바코드 항목 제거
Remove cached data and reload the POS app,캐시된 데이터를 제거하고 POS 앱을 다시 로드하세요.
Remove item,항목 삭제
Remove Offer,제안 제거
Reorder / Purchase Suggestions,재주문 / 구매 제안
Repair Candidate,수리 후보자
Repair Change Allocation,수리 변경 할당
Repair requires an online connection,수리하려면 온라인 연결이 필요합니다.
Repaired,수리됨
Repairing change allocation,변경 할당 복구 중
Repeat Customers,반복 고객
Repeat Rate,반복률
Request,요청
Request ID: {0},요청 ID: {0}
Request Payment,결제 요청
Requested route: {0},요청된 경로: {0}
Required columns cannot be hidden,필수 열은 숨길 수 없습니다.
Reset,재설정
Reset item name,항목 이름 재설정
Reset to Default,기본값으로 재설정
Resource Health,리소스 상태
Restricted,제한됨
Restricted operational controls for supervisors only.,감독자에게만 제한된 운영 통제가 제공됩니다.
Retry,재시도
Retry route,경로 재시도
Return,반환
Return Amount,반품 금액
Return Count,반품 횟수
Return items must have negative quantities,반품 품목 수량이 음수여야 합니다.
Return total must be negative,반품 총액은 음수여야 합니다.
Return Valid Until,반품 유효기간
Return window passed,반품 기간이 지났습니다.
Return without Invoice,송장 없이 반품
Returns,반품
Returns / Voids / Discounts,반품 / 무효 / 할인
Returns by Currency,통화별 반품
Revenue,수익
Review shift totals before submitting the closing entry,마감 항목을 제출하기 전에 교대근무 합계를 검토하세요.
Round Off,반올림
Rows,행
Rows:,행:
Rule,규칙
Sale,세일
Sales,매출
Sales Order {0} is Submitted,판매 주문 {0}이(가) 제출되었습니다
Sales Person and Print,영업사원 및 인쇄물
Sales Person not found,영업사원을 찾을 수 없습니다
Sales processed,판매 처리됨
Sales Return,판매 수익
Sales Trend Report,판매 동향 보고서
Save,저장
Save & Clear,저장 및 지우기
Save as POS Profile Default,POS 프로필 기본값으로 저장
Save Settings,설정 저장
Save the selected printer as the POS Profile default so it shows automatically on this setup.,선택한 프린터를 POS 프로필 기본값으로 저장하면 이 설정에서 자동으로 표시됩니다.
Saved as draft because: {0},다음과 같은 이유로 초안으로 저장되었습니다: {0}
Saving...,저장 중...
Scale barcode detected. Quantity here is the number of labels to print.,스케일 바코드가 감지되었습니다. 여기서 수량은 인쇄할 라벨의 수입니다.
Scale barcode settings are not configured. Using item barcode only.,스케일 바코드 설정이 구성되지 않았습니다. 품목 바코드만 사용합니다.
Scale template barcode is missing for this item/UOM. Using item barcode only.,이 품목/UOM에 대한 스케일 템플릿 바코드가 누락되었습니다. 품목 바코드만 사용합니다.
Scan an existing card and top it up without leaving the payment flow.,기존 카드를 스캔하고 결제 흐름을 종료하지 않고 충전하세요.
Scan Error,스캔 오류
Scan or enter a gift card code to check balance or redeem.,잔액을 확인하거나 사용하려면 기프트 카드 코드를 스캔하거나 입력하세요.
Scan or paste the card code below.,아래 카드 코드를 스캔하거나 붙여넣으세요.
Scan QR Code/Barcode,QR 코드/바코드 스캔
Scan with camera,카메라로 스캔
Scan-First Flow,스캔 우선 흐름
Scanned Code:,스캔된 코드:
Scanning for: {0},검색 중: {0}
Scanning items,항목 스캔 중
Scan-Ready,스캔 준비
Scope,범위
Scope: All Profiles,범위: 모든 프로필
Scope: Current Profile,범위: 현재 프로필
Scope: Specific Profile,범위: 특정 프로필
Search,검색
Search Account,계정 검색
Search an invoice and continue the return flow without extra steps.,송장을 검색하고 추가 단계 없이 반품 절차를 계속 진행하세요.
Search customer,고객 검색
Search invoices or customers,송장 또는 고객 검색
Search item,검색항목
Search item / code,항목/코드 검색
Search items or barcode,항목 또는 바코드 검색
Search Mpesa Payments,Mpesa 결제 검색
Search return invoices or customers,반품 송장 또는 고객 검색
Search supplier,공급자 검색
Search unpaid invoices or customers,미지급 송장 또는 고객 검색
Secure context (HTTPS or localhost) is required for camera access.,카메라 액세스에는 보안 컨텍스트(HTTPS 또는 localhost)가 필요합니다.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,카메라 액세스에는 보안 컨텍스트(HTTPS)가 필요합니다. 카메라에 액세스하려면 HTTPS를 사용하세요.
Select,선택
Select a cashier first.,먼저 계산원을 선택하세요.
Select a customer,고객을 선택하세요
Select a customer to use coupon,쿠폰을 사용할 고객을 선택하세요.
Select a printer to use QZ silent printing.,QZ 자동 인쇄를 사용할 프린터를 선택하세요.
Select Batch,배치 선택
Select Columns to Display,표시할 열 선택
Select items to sell,판매할 품목을 선택하세요
Select Payment,결제 선택
Select Payment Account,결제 계좌 선택
Select printer,프린터 선택
Select Return Invoice,반품 송장 선택
Select S.O,S.O를 선택하세요
Select Sales Orders,판매 주문 선택
Select the cashier who is taking over this terminal.,이 단말기를 점유할 계산원을 선택하세요.
Selected,선택됨
Selected movement type is not allowed by POS Profile.,선택한 이동 유형은 POS 프로필에서 허용되지 않습니다.
Selected Payments,선택한 결제
Sensitive actions kept away from quick taps.,민감한 작업은 빠른 탭에서 제외됩니다.
Serial,시리얼
Serial Numbers,일련번호
Server CPU Usage:,서버 CPU 사용량:
Server Health,서버 상태
Server Memory Usage:,서버 메모리 사용량:
Server Metrics,서버 측정항목
Server Uptime:,서버 가동 시간:
Service Charges,서비스 요금
Session,세션
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,사용자 양식에 각 계산원 PIN을 설정하고 POS 프로필 사용자에 단말기 구성원을 할당해 둡니다.
Settings,설정
Settings in this section update the POS workspace without changing the current route.,이 섹션의 설정은 현재 경로를 변경하지 않고 POS 작업 공간을 업데이트합니다.
Setup complete!,설정이 완료되었습니다.
Share,공유
Shared terminal,공유단말기
Shift Closed Snapshot,교대근무 마감 스냅샷
Shift Overview,교대근무 개요
Show,쇼
Show cart on customer-facing screen,고객이 보는 화면에 장바구니 표시
Show last invoice rate,마지막 인보이스 요율 표시
Show rate info,요금 정보 표시
Show Repair Candidates,수리 후보자 표시
Show search tools,검색 도구 표시
Show the active cart on a customer-facing screen,고객이 보는 화면에 활성 장바구니 표시
Showing {0}-{1} of {2},{2}개 중 {0}-{1}개 표시 중
Showing 0 of 0,0개 중 0개 표시 중
Shows the distribution of invoices per currency,통화별 송장 분포를 표시합니다.
Sign out of the current POS session,현재 POS 세션에서 로그아웃
Size:,크기:
Skipped Payments,건너뛴 결제
Skipping items without barcodes,바코드가 없는 항목 건너뛰기
Slow Moving,천천히 움직이는
Slow Moving Items,느리게 움직이는 아이템
Slow Queries:,느린 쿼리:
Sold,판매됨
Source,소스
Source Cash Account (Optional Override),출처 현금 계정(선택적 대체)
Source Ex. Rate:,소스 예. 요금:
Source Rate:,소스 속도:
Specific Profile,특정 프로필
Split Invoices,송장 분할
Staff / Cashier Performance Report,직원/계산원 성과 보고서
Status,상태
Stock,주식
Stock Information,주식정보
Stock is lower than requested,재고가 요청한 것보다 적습니다.
Stock is lower than requested:\n{0},재고가 요청한 것보다 적습니다.\n{0}
Stock Movement Report,재고 이동 보고서
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,재고 업데이트: {0}에는 {1}의 재고가 있습니다. {2}를 추가하면 재고가 0 아래로 내려갑니다.
Submit,제출하다
Submit & Print,제출 및 인쇄
Submit Deposit,보증금 제출
Submit Expense,비용 제출
Submitted,제출됨
Submitted Cash Movements,제출된 현금 이동
Submitted entries,제출된 항목
Successfully scanned:,성공적으로 스캔됨:
Suggested,제안
Suggested Qty,권장 수량
Supervisor Access,감독자 액세스
Supervisor permissions unlock issuance and reloads,감독자 권한으로 발급 및 재로드 잠금 해제
Supervisor Tools,감독자 도구
Supplier,공급자
Supplier and dates are required.,공급업체 및 날짜가 필요합니다.
Supplier Invoices,공급업체 송장
Supplier is required.,공급업체가 필요합니다.
Supplier name is required,공급업체 이름은 필수 항목입니다.
Supplier Payments,공급자 지불
Supplier Purchase Summary,공급업체 구매 요약
Suppliers,공급자
Suppliers not found,공급업체를 찾을 수 없습니다.
Switch Camera,카메라 전환
Switch Cashier,계산원 전환
Switch the POS appearance theme,POS 모양 테마 전환
Switched to:,다음으로 전환됨:
Sync All Invoices,모든 청구서 동기화
Sync Offline Cash Movements ({0}),오프라인 현금 이동 동기화({0})
Sync Offline Sales,오프라인 판매 동기화
Synced {0} offline cash movement(s).,{0}개의 오프라인 현금 이동을 동기화했습니다.
Syncing items in background,백그라운드에서 항목 동기화 중
System / Diagnostics,시스템/진단
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","시스템 작업은 앱 정보, 지원 진단, 세션 제어 등 빈도가 낮은 유지 관리 제어입니다."
System Information,시스템 정보
System Status,시스템 상태
Tables:,테이블:
Tap the button below to redeem a gift card during checkout.,결제 중에 기프트 카드를 사용하려면 아래 버튼을 탭하세요.
Target,대상
Target Ex. Rate:,타겟 엑. 요금:
Target Rate:,목표 비율:
Tax,세금
Tax / Charges Report,세금/요금 보고서
Tax Heads,세금 책임자
Taxable Amount,과세금액
Tendered,입찰됨
Terminal,터미널
Terminal & Devices,단말기 및 장치
Terminal locked,터미널이 잠겼습니다.
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","터미널 도구는 이 계산대, 고객 대면 디스플레이 및 향후 프린터/장치 제어에 영향을 미칩니다."
Territory not found,지역을 찾을 수 없습니다.
The amount paid is not complete,결제 금액이 완료되지 않았습니다.
The app stores data locally for offline use. This is called cache.,앱은 오프라인 사용을 위해 데이터를 로컬에 저장합니다. 이것을 캐시라고 합니다.
The invoice stayed in draft. Please review and submit it manually.,송장은 초안 상태로 유지되었습니다. 검토한 후 수동으로 제출해 주세요.
The maximum discount allowed is,허용되는 최대 할인 금액은 다음과 같습니다.
The quantity for {0} has been adjusted to the maximum available stock.,{0}의 수량은 최대 사용 가능한 재고로 조정되었습니다.
The system could not retrieve the item details. Please try again.,시스템에서 품목 세부정보를 검색할 수 없습니다. 다시 시도해 주세요.
These invoices will be synced when connection is restored,연결이 복원되면 이 청구서가 동기화됩니다.
This action now opens inside the settings workspace.,이제 이 작업은 설정 작업 공간 내에서 열립니다.
This coupon already used !,이미 사용된 쿠폰입니다!
This invoice does not need change-allocation repair,이 송장은 변경 할당 수리가 필요하지 않습니다.
This invoice is already repaired,이 송장은 이미 수리되었습니다.
