POS Awesome,POSnya Luar Biasa
"Language, theme, terminal tools, and session controls.","Bahasa, tema, alat terminal, dan kontrol sesi."
Last,Terakhir
Last 14 Days (Paid vs Pending),14 Hari Terakhir (Berbayar vs Tertunda)
Last 14 Days Activity,Aktivitas 14 Hari Terakhir
Last 14 Days Gross Profit,Laba Kotor 14 Hari Terakhir
Last 14 Days Purchases,Pembelian 14 Hari Terakhir
Last 14 Days Tax/Charges,Pajak/Biaya 14 Hari Terakhir
Last sync:,Sinkronisasi terakhir:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Sinkronisasi terakhir: {0} | oke: {1} | gagal: {2} | dilewati: {3}
Latest entries for current shift,Entri terbaru untuk shift saat ini
Lead Time,Waktu Pimpin
Limited,Terbatas
lines,garis
List,Daftar
Live Snapshot,Cuplikan Langsung
Load a POS profile and cashier first.,Muat profil POS dan kasir terlebih dahulu.
Load More Invoices,Muat Lebih Banyak Faktur
Load previously saved invoices,Muat faktur yang disimpan sebelumnya
Load Sale,Muat Penjualan
Load Sales Invoice,Muat Faktur Penjualan
Loading app data...,Memuat data aplikasi...
Loading customer database...,Memuat basis data pelanggan...
Loading customers...,Memuat pelanggan...
Loading database stats...,Memuat statistik basis data...
Loading details...,Memuat detail...
Loading invoice history...,Memuat riwayat faktur...
Loading items...,Memuat item...
Loading product catalog...,Memuat katalog produk...
Loading return invoices...,Memuat faktur pengembalian...
Loading server CPU/memory usage...,Memuat penggunaan CPU/memori server...
Loading suppliers...,Memuat pemasok...
Loading unpaid invoices...,Memuat faktur yang belum dibayar...
Loading view...,Memuat tampilan...
Loading...,Memuat...
Local storage is unavailable. Switching to online-only mode.,Penyimpanan lokal tidak tersedia. Beralih ke mode online saja.
localStorage,Penyimpanan lokal
Location Performance,Kinerja Lokasi
Locations,Lokasi
Lock Screen,Layar Kunci
Lookup Workflow,Alur Kerja Pencarian
Loss,Kerugian
Low,Rendah
Low Stock,Stok Rendah
Low Stock Alerts,Peringatan Stok Rendah
Low Stock Items,Stok Barang Rendah
Low Stock Threshold,Ambang Stok Rendah
Low Stock Total,Jumlah Stok Rendah
Lowest Margin,Margin Terendah
Low-frequency maintenance and system details.,Pemeliharaan frekuensi rendah dan detail sistem.
Loyalty Redeemed,Kesetiaan Ditebus
Loyalty Redemption,Penebusan Loyalitas
Make New Payment,Lakukan Pembayaran Baru
Manage all,Kelola semuanya
Manage and synchronize your offline transactions,Kelola dan sinkronkan transaksi offline Anda
Manage Cashier PIN,Kelola PIN Kasir
"Manage offline tools, terminal controls, and maintenance from one workspace.","Kelola alat offline, kontrol terminal, dan pemeliharaan dari satu ruang kerja."
manual,panduan
"Manual codes, barcode scans, and QR scans work in the same field","Kode manual, pemindaian kode batang, dan pemindaian QR berfungsi di bidang yang sama"
Manual offline mode is enabled,Mode offline manual diaktifkan
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Kuantitas maksimum yang tersedia adalah {0}. Kuantitas disesuaikan dengan stok.
Maximum discount amount for this offer item is {0}.,Jumlah diskon maksimum untuk item penawaran ini adalah {0}.
Maximum discount percentage for this offer item is {0}%.,Persentase diskon maksimum untuk item penawaran ini adalah {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Kuantitas penawaran maksimum adalah {0}. Jumlah disesuaikan dengan batas yang diperbolehkan.
Medium,Sedang
Method-wise Collections,Koleksi berdasarkan metode
Minimum allowed rate for this offer item is {0}.,Tarif minimum yang diperbolehkan untuk item penawaran ini adalah {0}.
Minimum Qty,Jumlah Minimum
Mobile No,Nomor Ponsel
Mode,Modus
Mode of Payment,Cara Pembayaran
Month,Bulan
Month ?,Bulan?
Monthly Profit,Keuntungan Bulanan
Monthly Sales,Penjualan Bulanan
Monthly Sales Summary,Ringkasan Penjualan Bulanan
Month-wise,Dari segi bulan
Most Active Cashiers,Kasir Paling Aktif
Movement Type,Tipe Gerakan
Movements,Gerakan
Multi Currency,Multi Mata Uang
N/A,T/A
Name,Nama
Negative Stock,Stok Negatif
Negative Stock Items,Stok Barang Negatif
Negative values not allowed,Nilai negatif tidak diperbolehkan
Net,Bersih
Net Qty,Jumlah Bersih
Net Sales,Penjualan Bersih
Net Value,Nilai Bersih
Never,Tidak pernah
New changes are ready to load,Perubahan baru siap dimuat
New Item,Barang Baru
New Offer Available,Penawaran Baru Tersedia
New PIN,PIN baru
New rate,Tarif baru
Next unit of measure,Satuan ukuran berikutnya
No attribute data found.,Tidak ada data atribut yang ditemukan.
No Barcode,Tanpa Kode Batang
No barcode found for UOM '{0}',Tidak ditemukan kode batang untuk UOM '{0}'
No branch/location data found.,Tidak ditemukan data cabang/lokasi.
No brand data found.,Tidak ada data merek yang ditemukan.
No cached gift card balance is available offline.,Tidak ada saldo kartu hadiah dalam cache yang tersedia secara offline.
No camera found on this device. Please ensure your device has a working camera.,Tidak ada kamera yang ditemukan di perangkat ini. Harap pastikan perangkat Anda memiliki kamera yang berfungsi.
No capability warnings recorded yet.,Belum ada peringatan kemampuan yang tercatat.
No cash expected for this shift.,Tidak ada uang tunai yang diharapkan untuk peralihan ini.
No cash mode configured,Tidak ada mode tunai yang dikonfigurasi
No cash movement type is allowed for this POS Profile.,Jenis pergerakan uang tunai tidak diperbolehkan untuk Profil POS ini.
No cashier PIN is set yet. Create one now.,Belum ada PIN kasir yang disetel. Buat satu sekarang.
No cashier profiles are available for this POS profile yet.,Belum ada profil kasir yang tersedia untuk profil POS ini.
No cashier-wise discount/void/return activity.,Tidak ada aktivitas diskon/batal/pengembalian dari segi kasir.
No category data found.,Tidak ada data kategori yang ditemukan.
No category profitability data found.,Tidak ditemukan data profitabilitas kategori.
No change returned recorded for this shift.,Tidak ada perubahan yang dicatat untuk shift ini.
No change-allocation invoices match the current filters.,Tidak ada faktur perubahan alokasi yang cocok dengan filter saat ini.
No charge head breakdown found.,Tidak ditemukan kerusakan kepala muatan.
No Company Selected,Tidak Ada Perusahaan yang Dipilih
No customer sales data found.,Tidak ada data penjualan pelanggan yang ditemukan.
No day-wise discount/void/return trend.,Tidak ada tren diskon/batal/pengembalian harian.
No day-wise payment data found.,Tidak ada data pembayaran harian yang ditemukan.
No day-wise profitability trend found.,Tidak ditemukan tren profitabilitas harian.
No day-wise purchase data found.,Tidak ada data pembelian harian yang ditemukan.
No day-wise sales trend found.,Tidak ditemukan tren penjualan harian.
No day-wise tax/charges trend found.,Tidak ditemukan tren pajak/biaya harian.
No dead stock items.,Tidak ada barang stok mati.
No due date,Tidak ada tanggal jatuh tempo
No exact repair match found for this invoice,Tidak ditemukan perbaikan yang sama persis untuk faktur ini
No hourly sales trend found for today.,Tidak ada tren penjualan per jam yang ditemukan untuk hari ini.
No invoice activity found.,Tidak ditemukan aktivitas faktur.
No invoices found,Tidak ada faktur yang ditemukan
No invoices found. Try different search criteria.,Tidak ada faktur yang ditemukan. Coba kriteria pencarian yang berbeda.
No invoices recorded for this shift.,Tidak ada faktur yang dicatat untuk shift ini.
No item profitability data found.,Tidak ada data profitabilitas item yang ditemukan.
No item sales data found for this period.,Tidak ditemukan data penjualan barang untuk periode ini.
No items found,Tidak ada item yang ditemukan
No items in cart,Tidak ada item di keranjang
No items with barcodes to print,Tidak ada item dengan kode batang untuk dicetak
No location-wise top item data found.,Tidak ditemukan data item teratas berdasarkan lokasi.
No low stock alerts right now.,Tidak ada peringatan stok rendah saat ini.
No low stock items.,Tidak ada barang dengan stok rendah.
No matching items in cart,Tidak ada item yang cocok di keranjang
No month-wise sales trend found.,Tidak ditemukan tren penjualan bulanan.
No negative stock items.,Tidak ada item stok negatif.
No notifications yet,Belum ada pemberitahuan
No offline cash movement synced.,Tidak ada pergerakan uang tunai offline yang disinkronkan.
No offline invoices pending synchronization,Tidak ada faktur offline yang menunggu sinkronisasi
No offline sync issues recorded yet.,Belum ada masalah sinkronisasi offline yang tercatat.
No out-of-stock items.,Tidak ada item yang kehabisan stok.
No outstanding credit invoices for this shift.,Tidak ada faktur kredit terutang untuk peralihan ini.
No payment collection data found.,Tidak ditemukan data pengumpulan pembayaran.
No payment rows available on this invoice.,Tidak ada baris pembayaran yang tersedia pada invoice ini.
No payments registered for this shift.,Tidak ada pembayaran yang terdaftar untuk shift ini.
No pending balances in this period.,Tidak ada saldo tertunda pada periode ini.
No pending offline invoices,Tidak ada faktur offline yang tertunda
No Print Formats Found,Tidak Ditemukan Format Cetak
No profiles found for selected scope. Falling back to current profile failed.,Tidak ada profil yang ditemukan untuk cakupan yang dipilih. Gagal mengembalikan ke profil saat ini.
No recent customer activity found.,Tidak ditemukan aktivitas pelanggan terkini.
No recent stock entries found.,Tidak ada entri stok terbaru yang ditemukan.
No records found,Tidak ada catatan yang ditemukan
No reorder suggestions right now.,Tidak ada saran pemesanan ulang saat ini.
No repeat customers in this period.,Tidak ada pelanggan tetap pada periode ini.
No response from server,Tidak ada tanggapan dari server
No return invoices found,Tidak ditemukan faktur pengembalian
No return item trend found.,Tidak ditemukan tren pengembalian barang.
No returnable items found for this invoice,Tidak ditemukan item yang dapat dikembalikan untuk faktur ini
No returns were processed in this shift.,Tidak ada pengembalian yang diproses dalam shift ini.
No risk activity found.,Tidak ditemukan aktivitas berisiko.
No sales activity found for this period.,Tidak ditemukan aktivitas penjualan untuk periode ini.
No slow moving items.,Tidak ada item yang bergerak lambat.
No staff sales activity found.,Tidak ditemukan aktivitas penjualan staf.
No stock movement for this period.,Tidak ada pergerakan stok untuk periode ini.
No submitted cash movements in this shift.,Tidak ada pergerakan uang tunai yang diserahkan pada shift ini.
No supplier purchases found in this month.,Tidak ada pembelian pemasok yang ditemukan pada bulan ini.
No suppliers found for this period.,Tidak ada pemasok yang ditemukan untuk periode ini.
No sync trigger has run yet in this session.,Belum ada pemicu sinkronisasi yang dijalankan pada sesi ini.
No tax head breakdown found.,Tidak ditemukan rincian kepala pajak.
No top items found for this location.,Tidak ada item teratas yang ditemukan untuk lokasi ini.
No unpaid invoices,Tidak ada faktur yang belum dibayar
No variant data found.,Tidak ada data varian yang ditemukan.
No week-wise sales trend found.,Tidak ditemukan tren penjualan mingguan.
No.,Tidak.
Nobile Number,Nomor Bangsawan
Not available,Tidak tersedia
Not checked,Tidak diperiksa
Not selected,Tidak dipilih
Not Set,Tidak Ditetapkan
Notifications,Pemberitahuan
Offer,Penawaran
Offer Applied,Penawaran Diterapkan
Offer criteria exceeded,Kriteria penawaran terlampaui
Offer Item,Barang Penawaran
Offer item unavailable,Item penawaran tidak tersedia
Offer Removed,Penawaran Dihapus
Offer UOM cannot be changed,Penawaran UOM tidak dapat diubah
Offer?,Penawaran?
Offers,Penawaran
Offline,Luring
Offline & Sync,Offline & Sinkronisasi
Offline Capabilities,Kemampuan Offline
Offline data status refreshed,Status data offline disegarkan
Offline diagnostics,Diagnostik offline
Offline Invoices,Faktur Offline
Offline invoices status,Status faktur offline
Offline invoices synced,Faktur offline disinkronkan
Offline Queue: {0},Antrian Offline: {0}
Offline rebuild guidance,Panduan pembangunan kembali offline
Offline restore is unavailable for this session.,Pemulihan offline tidak tersedia untuk sesi ini.
Offline selling is available with degraded capabilities.,Penjualan offline tersedia dengan kemampuan yang menurun.
Offline snapshot does not match the current POS state.,Snapshot offline tidak cocok dengan status POS saat ini.
Offline Status,Status Luar Talian
"Offline, terminal, and system controls","Kontrol offline, terminal, dan sistem"
OK,Oke
Online,Daring
Open actions menu,Buka menu tindakan
Open balance to collect,Saldo terbuka untuk dikumpulkan
Open Customer Display,Buka Tampilan Pelanggan
Open drawer,Buka laci
Open invoices,Buka faktur
Open Payments?,Buka Pembayaran?
Open POS home,Buka POS rumah
Open this screen from POS Menu -> Open Customer Display.,Buka layar ini dari Menu POS -> Buka Tampilan Pelanggan.
OpenCV image processing enabled - Enhanced barcode detection,Pemrosesan gambar OpenCV diaktifkan - Deteksi kode batang yang ditingkatkan
OpenCV image processing unavailable on this device,Pemrosesan gambar OpenCV tidak tersedia di perangkat ini
OpenCV Off,OpenCV Mati
OpenCV On,OpenCV Aktif
OpenCV processing disabled,Pemrosesan OpenCV dinonaktifkan
Opening Amount,Jumlah Pembukaan
Opening Cash,Membuka Uang Tunai
options,pilihan
Order,Memesan
Original,Asli
Other,Lainnya
Out,Keluar
Out of Stock,Kehabisan Stok
Out of Stock Items,Barang Kehabisan Stok
Outstanding,Luar biasa
Outstanding Credit by Currency,Kredit yang Belum Dibayar Berdasarkan Mata Uang
Overdue,Terlambat
Overpayment Change,Perubahan Kelebihan Pembayaran
Overpayment change deducted: {0},Perubahan kelebihan pembayaran dipotong: {0}
Packing List,Daftar Pengepakan
Page Format,Format Halaman
Page unavailable offline,Halaman tidak tersedia secara offline
Paid,Dibayar
Paid (orig):,Berbayar (asal):
Paid Amount,Jumlah yang Dibayar
Paid change cannot be greater than total change!,Perubahan yang dibayar tidak boleh lebih besar dari perubahan total!
Paid:,Dibayar:
Parent Item,Barang Induk
Partial,Sebagian
Partly Paid,Dibayar Sebagian
Party Account,Akun Partai
Party Type,Tipe Pesta
Pause terminal until next cashier,Jeda terminal hingga kasir berikutnya
PAY,MEMBAYAR
Payment,Pembayaran
Payment Account,Akun Pembayaran
Payment entries processed for Invoice {0},Entri pembayaran diproses untuk Faktur {0}
Payment Entry Type,Jenis Entri Pembayaran
Payment History,Riwayat Pembayaran
Payment ID,ID Pembayaran
Payment Method Report,Laporan Metode Pembayaran
Payment Methods,Metode Pembayaran
Payment of {0} received successfully.,Pembayaran sebesar {0} berhasil diterima.
Payment Progress,Kemajuan Pembayaran
Payment Reconciliation,Rekonsiliasi Pembayaran
Payment request status could not be retrieved. Please try again,Status permintaan pembayaran tidak dapat diambil. Silakan coba lagi
Payment Request took too long to respond. Please try requesting for payment again,Permintaan Pembayaran memerlukan waktu terlalu lama untuk ditanggapi. Silakan coba meminta pembayaran lagi
Payment saved offline,Pembayaran disimpan offline
Payment State,Negara Pembayaran
Payment Status,Status Pembayaran
Payment submitted but print function could not be executed. Payment name not found.,Pembayaran telah terkirim tetapi fungsi cetak tidak dapat dijalankan. Nama pembayaran tidak ditemukan.
Payment submitted.,Pembayaran dikirimkan.
Payment Summary,Ringkasan Pembayaran
Payments,Pembayaran
Payments are not open. Do you want to open payments and submit?,Pembayaran tidak terbuka. Apakah Anda ingin membuka pembayaran dan mengirimkan?
Payments by Mode of Payment,Pembayaran berdasarkan Cara Pembayaran
PDF,PDF
Peak Hour,Jam Puncak
Peak Memory:,Memori Puncak:
Peak Server:,Server Puncak:
Peak:,Puncak:
Pending,Tertunda
Pending Amount,Jumlah yang Tertunda
Pending count updated from {0} to {1},Jumlah yang tertunda diperbarui dari {0} menjadi {1}
Pending Exposure,Eksposur Tertunda
Pending Invoices,Faktur yang Tertunda
Pending Ratio,Rasio Tertunda
Pending Sales,Penjualan Tertunda
Pending sales: {0} | Cache usage: {1}%,Penjualan tertunda: {0} | Penggunaan cache: {1}%
Pending Sync,Sinkronisasi Tertunda
Pending: {0},Tertunda: {0}
Pending: {0} | Synced: {1} | Draft: {2},Tertunda: {0} | Disinkronkan: {1} | Draf: {2}
Per Page,Per Halaman
Personal,Pribadi
Personal preferences adjust the current cashier experience without changing the active POS route.,Preferensi pribadi menyesuaikan pengalaman kasir saat ini tanpa mengubah rute POS yang aktif.
PIN confirmation does not match.,Konfirmasi PIN tidak cocok.
PIN must be 4 to 8 digits.,PIN harus terdiri dari 4 hingga 8 digit.
Please add at least one item.,Harap tambahkan setidaknya satu item.
Please allow camera access to scan codes,Harap izinkan akses kamera untuk memindai kode
Please enter payment amount,Silakan masukkan jumlah pembayaran
Please fill all required fields,Silakan isi semua bidang yang wajib diisi
Please make a payment or select a payment,Silakan lakukan pembayaran atau pilih pembayaran
Please request phone payment or use another payment method,Silakan minta pembayaran melalui telepon atau gunakan metode pembayaran lain
Please select a customer first,Silakan pilih pelanggan terlebih dahulu
Please select a party,Silakan pilih pesta
Please select a party before reconciling.,Silakan pilih salah satu pihak sebelum melakukan rekonsiliasi.
Please select a valid movement type.,Silakan pilih jenis pergerakan yang valid.
Please select an invoice,Silakan pilih faktur
Please select company before reconciling.,Silakan pilih perusahaan sebelum melakukan rekonsiliasi.
Please set the customer's mobile number,Silakan atur nomor ponsel pelanggan
Please try again or enter the item manually.,Silakan coba lagi atau masukkan item secara manual.
Please verify the barcode or check the item's availability.,Harap verifikasi kode batang atau periksa ketersediaan barang.
Points,Poin
Popup blocked. Please allow popups.,Munculan diblokir. Harap izinkan popup.
POS,POS
POS controls and maintenance,Kontrol dan pemeliharaan POS
POS Expense is disabled for this POS Profile.,Pengeluaran POS dinonaktifkan untuk Profil POS ini.
POS is running with limited offline prerequisites.,POS berjalan dengan prasyarat offline terbatas.
POS Profile,Profil POS
Position the QR code or barcode within the scanning area,Posisikan kode QR atau kode batang di dalam area pemindaian
Posting,Posting
Posting and Price List,Posting dan Daftar Harga
Posting Date,Tanggal Posting
Preparing background sync,Mempersiapkan sinkronisasi latar belakang
"Press OK to continue offline with a warning, or Cancel to retry.","Tekan OK untuk melanjutkan offline dengan peringatan, atau Batal untuk mencoba lagi."
Previous unit of measure,Satuan ukuran sebelumnya
Price List,Daftar Harga
Price List Rate,Tarif Daftar Harga
Price list rate updated locally only,Tarif daftar harga diperbarui secara lokal saja
Pricing & Discounts,Harga & Diskon
Pricing Rule,Aturan Penetapan Harga
Print,Cetak
Print Draft,Draf Cetak
Print Format (Invoice),Format Cetak (Faktur)
Print Format (Order),Format Cetak (Pesanan)
Print invoice,Cetak faktur
Print Purchase Invoice instead of PO,Cetak Faktur Pembelian sebagai pengganti PO
Printer,pencetak
Processed returns impacting the shift totals,Pengembalian yang diproses berdampak pada total shift
Processing Payment,Memproses Pembayaran
Processing payment entries for Invoice {0},Memproses entri pembayaran untuk Faktur {0}
Profile,Profil
Profiles,Profil
Profit,Keuntungan
Profit: Invoice Item Estimate,Keuntungan: Estimasi Item Faktur
Profit: Stock Ledger (COGS),Keuntungan: Buku Besar Saham (COGS)
Profitability Report,Laporan Profitabilitas
Prorated return discount,Diskon pengembalian yang diprorata
Purchase Amount,Jumlah Pembelian
Purchase Invoices,Faktur Pembelian
Purchase Order created,Pesanan Pembelian dibuat
Qty,Jumlah
Qualified,Berkualitas
Quantity,Kuantitas
Quantity exceeds available stock,Kuantitas melebihi stok yang tersedia
Quick Actions,Tindakan Cepat
Quotation {0} is Submitted,Kutipan {0} Dikirim
Quotation submitted,Kutipan dikirimkan
QZ Tray connected.,Baki QZ terhubung.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray terputus secara manual. Tekan Hubungkan untuk mengaktifkannya lagi.
QZ Tray is not connected.,Baki QZ tidak terhubung.
QZ Tray Setup,Pengaturan Baki QZ
Rate,Nilai
Rate adjusted to maximum allowed discount,Tarif disesuaikan dengan diskon maksimum yang diperbolehkan
Ready,Siap
Ready to resume,Siap untuk melanjutkan
Ready!,Siap!
Real-time POS insights for retail operations.,Wawasan POS waktu nyata untuk operasi ritel.
Rebuild Offline Data,Membangun Kembali Data Offline
Receive,Terima
Receive now,Terima sekarang
Received,Diterima
Received:,Diterima:
Recent Movement Entries,Entri Pergerakan Terkini
Recent updates about your invoices,Pembaruan terkini tentang faktur Anda
Recently Active Customers,Pelanggan Aktif Baru-baru ini
Rechecking connection,Memeriksa ulang koneksi
Reconcile payment methods and close shift,Rekonsiliasi metode pembayaran dan tutup shift
Reconciling Payments,Rekonsiliasi Pembayaran
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Hubungkan kembali dan buka halaman ini satu kali saat online, maka penyegaran offline akan dapat memulihkannya."
Reconnect online to refresh cached offline data from the server.,Sambungkan kembali secara online untuk menyegarkan data offline yang di-cache dari server.
Recreate local offline prerequisites from scratch,Buat ulang prasyarat offline lokal dari awal
Recv:,Penerimaan:
Redeem,Tebus
Redeem / Scan,Tebus / Pindai
Redeem Amount,Jumlah Penukaran
Redeem Mode,Mode Penukaran
Redeemed Amount,Jumlah yang Ditebus
Redeemed credit cannot be greater than its total.,Kredit yang ditebus tidak boleh lebih besar dari totalnya.
Redemption and Totals,Penebusan dan Total
Reference,Referensi
Refresh,Segarkan
Refresh Exchange Rate,Segarkan Nilai Tukar
Refresh Offline Data,Segarkan Data Offline
Refresh Printers,Segarkan Printer
Refund,Pengembalian dana
Release Notes,Catatan Rilis
Reload,Muat ulang
Reload customers,Muat ulang pelanggan
Reload Items,Muat Ulang Item
Reload Now,Muat Ulang Sekarang
Reload to apply the latest changes. Your current session will be refreshed.,Muat ulang untuk menerapkan perubahan terbaru. Sesi Anda saat ini akan disegarkan.
Reload Workflow,Muat Ulang Alur Kerja
Remarks,Keterangan
Remarks are required.,Catatan diperlukan.
Remove,Hapus
Remove barcode item,Hapus item kode batang
Remove cached data and reload the POS app,Hapus data cache dan muat ulang aplikasi POS
Remove item,Hapus barang
Remove Offer,Hapus Penawaran
Reorder / Purchase Suggestions,Saran Pemesanan Ulang / Pembelian
Repair Candidate,Kandidat Perbaikan
Repair Change Allocation,Perbaiki Alokasi Perubahan
Repair requires an online connection,Perbaikan memerlukan koneksi online
Repaired,Diperbaiki
Repairing change allocation,Memperbaiki alokasi perubahan
Repeat Customers,Pelanggan Berulang
Repeat Rate,Tingkat Pengulangan
Request,Permintaan
Request ID: {0},Nomor Permintaan: {0}
Request Payment,Minta Pembayaran
Requested route: {0},Rute yang diminta: {0}
Required columns cannot be hidden,Kolom yang wajib diisi tidak dapat disembunyikan
Reset,Setel ulang
Reset item name,Setel ulang nama item
Reset to Default,Atur Ulang ke Default
Resource Health,Kesehatan Sumber Daya
Restricted,Terbatas
Restricted operational controls for supervisors only.,Kontrol operasional terbatas hanya untuk supervisor.
Retry,Coba lagi
Retry route,Coba lagi rute
Return,Kembali
Return Amount,Jumlah Pengembalian
Return Count,Jumlah Pengembalian
Return items must have negative quantities,Barang yang dikembalikan harus memiliki jumlah negatif
Return total must be negative,Total pengembalian harus negatif
Return Valid Until,Pengembalian Berlaku Sampai
Return window passed,Jendela kembali berlalu
Return without Invoice,Kembali tanpa Faktur
Returns,Kembali
Returns / Voids / Discounts,Pengembalian / Batal / Diskon
Returns by Currency,Pengembalian berdasarkan Mata Uang
Revenue,Pendapatan
Review shift totals before submitting the closing entry,Tinjau total shift sebelum mengirimkan entri penutup
Round Off,Pembulatan
Rows,Baris
Rows:,Baris:
Rule,Aturan
Sale,Penjualan
Sales,Penjualan
Sales Order {0} is Submitted,Pesanan Penjualan {0} Telah Dikirim
Sales Person and Print,Staf Penjualan dan Cetak
Sales Person not found,Staf Penjualan tidak ditemukan
Sales processed,Penjualan diproses
Sales Return,Retur Penjualan
Sales Trend Report,Laporan Tren Penjualan
Save,Simpan
Save & Clear,Simpan & Hapus
Save as POS Profile Default,Simpan sebagai Default Profil POS
Save Settings,Simpan Pengaturan
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Simpan printer yang dipilih sebagai default Profil POS sehingga ditampilkan secara otomatis pada pengaturan ini.
Saved as draft because: {0},Disimpan sebagai draf karena: {0}
Saving...,Menyimpan...
Scale barcode detected. Quantity here is the number of labels to print.,Kode batang skala terdeteksi. Quantity disini adalah jumlah label yang akan dicetak.
Scale barcode settings are not configured. Using item barcode only.,Pengaturan kode batang skala tidak dikonfigurasi. Hanya menggunakan barcode item.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Kode batang templat skala tidak ada untuk item/UOM ini. Hanya menggunakan barcode item.
Scan an existing card and top it up without leaving the payment flow.,Pindai kartu yang ada dan isi ulang tanpa meninggalkan alur pembayaran.
Scan Error,Kesalahan Pemindaian
Scan or enter a gift card code to check balance or redeem.,Pindai atau masukkan kode kartu hadiah untuk memeriksa saldo atau menukarkannya.
Scan or paste the card code below.,Pindai atau tempel kode kartu di bawah ini.
Scan QR Code/Barcode,Pindai Kode QR/Kode Batang
Scan with camera,Pindai dengan kamera
Scan-First Flow,Aliran Pindai-Pertama
Scanned Code:,Kode yang Dipindai:
Scanning for: {0},Memindai: {0}
Scanning items,Memindai item
Scan-Ready,Siap Pindai
Scope,Ruang lingkup
Scope: All Profiles,Cakupan: Semua Profil
Scope: Current Profile,Cakupan: Profil Saat Ini
Scope: Specific Profile,Cakupan: Profil Tertentu
Search,Cari
Search Account,Cari Akun
Search an invoice and continue the return flow without extra steps.,Cari faktur dan lanjutkan alur pengembalian tanpa langkah tambahan.
Search customer,Cari pelanggan
Search invoices or customers,Cari faktur atau pelanggan
Search item,Barang pencarian
Search item / code,Cari item/kode
Search items or barcode,Cari item atau kode batang
Search Mpesa Payments,Cari Pembayaran Mpesa
Search return invoices or customers,Cari faktur pengembalian atau pelanggan
Search supplier,Cari pemasok
Search unpaid invoices or customers,Cari faktur atau pelanggan yang belum dibayar
Secure context (HTTPS or localhost) is required for camera access.,Konteks aman (HTTPS atau localhost) diperlukan untuk akses kamera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Konteks aman (HTTPS) diperlukan untuk akses kamera. Silakan gunakan HTTPS untuk mengakses kamera.
Select,Pilih
Select a cashier first.,Pilih kasir terlebih dahulu.
Select a customer,Pilih pelanggan
Select a customer to use coupon,Pilih pelanggan untuk menggunakan kupon
Select a printer to use QZ silent printing.,Pilih printer untuk menggunakan pencetakan senyap QZ.
Select Batch,Pilih Kelompok
Select Columns to Display,Pilih Kolom untuk Ditampilkan
Select items to sell,Pilih item untuk dijual
Select Payment,Pilih Pembayaran
Select Payment Account,Pilih Akun Pembayaran
Select printer,Pilih pencetak
Select Return Invoice,Pilih Pengembalian Faktur
Select S.O,Pilih S.O
Select Sales Orders,Pilih Pesanan Penjualan
Select the cashier who is taking over this terminal.,Pilih kasir yang mengambil alih terminal ini.
Selected,Dipilih
Selected movement type is not allowed by POS Profile.,Jenis pergerakan yang dipilih tidak diperbolehkan oleh Profil POS.
Selected Payments,Pembayaran yang Dipilih
Sensitive actions kept away from quick taps.,Tindakan sensitif dijauhkan dari ketukan cepat.
Serial,Serial
Serial Numbers,Nomor Seri
Server CPU Usage:,Penggunaan CPU Server:
Server Health,Kesehatan Server
Server Memory Usage:,Penggunaan Memori Server:
Server Metrics,Metrik Server
Server Uptime:,Waktu Aktif Server:
Service Charges,Biaya Layanan
Session,Sesi
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Tetapkan setiap PIN kasir di formulir Pengguna dan pertahankan anggota terminal ditetapkan di Pengguna Profil POS.
Settings,Pengaturan
Settings in this section update the POS workspace without changing the current route.,Pengaturan pada bagian ini memperbarui ruang kerja POS tanpa mengubah rute saat ini.
Setup complete!,Penyiapan selesai!
Share,Bagikan
Shared terminal,Terminal bersama
Shift Closed Snapshot,Geser Cuplikan Tertutup
Shift Overview,Ikhtisar Pergeseran
Show,Tunjukkan
Show cart on customer-facing screen,Tampilkan keranjang di layar yang menghadap pelanggan
Show last invoice rate,Tampilkan tarif faktur terakhir
Show rate info,Tampilkan info tarif
Show Repair Candidates,Tunjukkan Kandidat Perbaikan
Show search tools,Tampilkan alat pencarian
Show the active cart on a customer-facing screen,Tampilkan keranjang aktif di layar yang menghadap pelanggan
Showing {0}-{1} of {2},Menampilkan {0}-{1} dari {2}
Showing 0 of 0,Menampilkan 0 dari 0
Shows the distribution of invoices per currency,Menunjukkan distribusi faktur per mata uang
Sign out of the current POS session,Keluar dari sesi POS saat ini
Size:,Ukuran:
Skipped Payments,Pembayaran yang Dilewatkan
Skipping items without barcodes,Melewatkan item tanpa barcode
Slow Moving,Bergerak Lambat
Slow Moving Items,Barang Bergerak Lambat
Slow Queries:,Pertanyaan Lambat:
Sold,Terjual
Source,Sumber
Source Cash Account (Optional Override),Rekening Kas Sumber (Pengabaian Opsional)
Source Ex. Rate:,Sumber Mantan. Nilai:
Source Rate:,Tingkat Sumber:
Specific Profile,Profil Khusus
