POS Awesome,POS અદ્ભુત
Error updating currency,ચલણ અપડેટ કરવામાં ભૂલ
Error updating item details,આઇટમની વિગતો અપડેટ કરવામાં ભૂલ
Est. Purchase,અનુ. ખરીદી
Est. Value,અનુ. મૂલ્ય
Event-loop lag measures how busy your browser is. Lower is better.,ઇવેન્ટ-લૂપ લેગ માપે છે કે તમારું બ્રાઉઝર કેટલું વ્યસ્ત છે. નીચું વધુ સારું છે.
Every,દરેક
Exchange Rate,વિનિમય દર
Expand item details,આઇટમની વિગતો વિસ્તૃત કરો
Expected Amount (In Company Currency),અપેક્ષિત રકમ (કંપનીના ચલણમાં)
Expected Cash,અપેક્ષિત રોકડ
Expected cash on hand grouped by currency,ચલણ દ્વારા જૂથબદ્ધ હાથ પર અપેક્ષિત રોકડ
Expected vs Actual,અપેક્ષિત વિ વાસ્તવિક
Expense,ખર્ચ
Expense Account (Optional Override),ખર્ચ એકાઉન્ટ (વૈકલ્પિક ઓવરરાઇડ)
Expense account is required.,ખર્ચ એકાઉન્ટ જરૂરી છે.
Expenses and deposits posted during this shift,આ શિફ્ટ દરમિયાન પોસ્ટ કરવામાં આવેલ ખર્ચ અને થાપણો
Expired,સમાપ્ત
Failed to auto reconcile payments.,ચુકવણીઓનું સ્વતઃ સમાધાન કરવામાં નિષ્ફળ.
Failed to cancel cash movement,રોકડ હિલચાલ રદ કરવામાં નિષ્ફળ
Failed to clear cache,કેશ સાફ કરવામાં નિષ્ફળ
Failed to create item,આઇટમ બનાવવામાં નિષ્ફળ
Failed to create supplier,સપ્લાયર બનાવવામાં નિષ્ફળ
Failed to delete cash movement,રોકડ હિલચાલ કાઢી નાખવામાં નિષ્ફળ
Failed to generate scale barcode. Using item barcode only.,સ્કેલ બારકોડ જનરેટ કરવામાં નિષ્ફળ. ફક્ત આઇટમ બારકોડનો ઉપયોગ કરવો.
Failed to load cash movement context.,રોકડ હિલચાલ સંદર્ભ લોડ કરવામાં નિષ્ફળ.
Failed to load dashboard data.,ડેશબોર્ડ ડેટા લોડ કરવામાં નિષ્ફળ.
Failed to reload invoice from server,સર્વરમાંથી ઇન્વૉઇસ ફરીથી લોડ કરવામાં નિષ્ફળ
Failed to submit cash movement,રોકડ હિલચાલ સબમિટ કરવામાં નિષ્ફળ
Failed to sync offline cash movements,ઑફલાઇન રોકડ હિલચાલને સમન્વયિત કરવામાં નિષ્ફળ
Fast cashier actions for active shifts.,સક્રિય શિફ્ટ માટે ઝડપી કેશિયર ક્રિયાઓ.
Fast Moving Items,ફાસ્ટ મૂવિંગ વસ્તુઓ
Fees,ફી
Fetch the latest offline prerequisite updates,નવીનતમ ઑફલાઇન પૂર્વશરત અપડેટ્સ મેળવો
Find a sales order quickly and load it into the current sale.,ઝડપથી વેચાણ ઓર્ડર શોધો અને તેને વર્તમાન વેચાણમાં લોડ કરો.
Fixing payment amounts for return invoice...,રિટર્ન ઇન્વૉઇસ માટે ચુકવણીની રકમ ફિક્સ કરી રહ્યાં છીએ...
Flash Off,ફ્લેશ બંધ
Flash On,ફ્લેશ ચાલુ
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'પ્રોડક્ટ બંડલ' વસ્તુઓ માટે, વેરહાઉસ, સીરીયલ નંબર અને બેચ નંબરને 'પેકિંગ લિસ્ટ' ટેબલમાંથી ધ્યાનમાં લેવામાં આવશે. જો વેરહાઉસ અને બેચ નંબર કોઈપણ 'પ્રોડક્ટ બંડલ' આઇટમ માટે તમામ પેકિંગ વસ્તુઓ માટે સમાન હોય, તો તે મૂલ્યો મુખ્ય આઇટમ કોષ્ટકમાં દાખલ કરી શકાય છે; મૂલ્યોની નકલ 'પેકિંગ સૂચિ' કોષ્ટકમાં કરવામાં આવશે."
Free,મફત
Free Qty,મફત જથ્થો
Frequency,આવર્તન
from,થી
From Date,તારીખ થી
Fulfillment Details,પરિપૂર્ણતા વિગતો
Full Name,પૂરું નામ
Gain,ગેઇન
Generate a fresh prepaid card and start it with an opening balance.,નવું પ્રીપેડ કાર્ડ જનરેટ કરો અને તેને ઓપનિંગ બેલેન્સથી શરૂ કરો.
Generate and install the certificate to allow fully silent printing without trust prompts.,ટ્રસ્ટ પ્રોમ્પ્ટ્સ વિના સંપૂર્ણ સાયલન્ટ પ્રિન્ટિંગને મંજૂરી આપવા માટે પ્રમાણપત્ર જનરેટ કરો અને ઇન્સ્ટોલ કરો.
Generate Certificate,પ્રમાણપત્ર જનરેટ કરો
Generated scale barcode: {0},જનરેટેડ સ્કેલ બારકોડ: {0}
Get Payments,ચુકવણીઓ મેળવો
Gift Card,ભેટ કાર્ડ
Gift card amount must be greater than zero.,ગિફ્ટ કાર્ડની રકમ શૂન્ય કરતા વધારે હોવી જોઈએ.
Gift Card Code,ગિફ્ટ કાર્ડ કોડ
Gift card code is required for redemption,રિડેમ્પશન માટે ગિફ્ટ કાર્ડ કોડ આવશ્યક છે
Gift card code is required.,ગિફ્ટ કાર્ડ કોડ આવશ્યક છે.
Gift card issued successfully.,ભેટ કાર્ડ સફળતાપૂર્વક જારી કરવામાં આવ્યું.
Gift card loaded successfully.,ભેટ કાર્ડ સફળતાપૂર્વક લોડ થયું.
Gift Card Management,ગિફ્ટ કાર્ડ મેનેજમેન્ટ
Gift card payment,ભેટ કાર્ડ ચુકવણી
Gift card redemption requires an online connection,ગિફ્ટ કાર્ડ રિડેમ્પશન માટે ઑનલાઇન કનેક્શનની જરૂર છે
Gift card topped up successfully.,ભેટ કાર્ડ સફળતાપૂર્વક ટોપ અપ થયું.
Gift Cards,ભેટ કાર્ડ્સ
Go to Frappe Desk,Frappe ડેસ્ક પર જાઓ
Grand Total,ગ્રાન્ડ ટોટલ
Gross Margin,ગ્રોસ માર્જિન
Gross Profit,કુલ નફો
Gross Sales,કુલ વેચાણ
Group not found,જૂથ મળ્યું નથી
"Grouped controls for terminal, UI, and session settings.","ટર્મિનલ, UI અને સત્ર સેટિંગ્સ માટે જૂથબદ્ધ નિયંત્રણો."
Grouped totals for each payment method and currency,દરેક ચુકવણી પદ્ધતિ અને ચલણ માટે જૂથબદ્ધ કુલ
Hide,છુપાવો
Hide Gift Card,ગિફ્ટ કાર્ડ છુપાવો
Hide Non Essential Fields,બિન-આવશ્યક ક્ષેત્રો છુપાવો
Hide quantity decimals,જથ્થો દશાંશ છુપાવો
Hide search tools,શોધ સાધનો છુપાવો
Hide zero rated items,શૂન્ય રેટેડ વસ્તુઓ છુપાવો
High,ઉચ્ચ
History,ઈતિહાસ
Hourly (Today),કલાકદીઠ (આજે)
How this section works,આ વિભાગ કેવી રીતે કાર્ય કરે છે
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","જો જૂનો ડેટા રહે છે, તો સેટિંગ્સ > ઑફલાઇન અને સિંક ખોલો અને ઑનલાઈન હોવા પર ફરીથી ઑફલાઇન ડેટા ફરીથી બનાવો."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","જો ચેતવણી ચાલુ રહે છે, તો સેટિંગ્સ > ઑફલાઇન અને સિંક ખોલો, પછી ઑફલાઇન ડેટા રિફ્રેશ કરો અથવા ઑફલાઇન ડેટા ફરીથી બનાવો."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,પ્રમાણપત્રને QZ ટ્રેમાં આયાત કરો અને દરેક POS મશીન પર QZ ટ્રેને ફરીથી શરૂ કરો.
In,માં
In stock: {0},સ્ટોકમાં: {0}
Include Batch / Serial,બેચ / સીરીયલ શામેલ કરો
Include Price,કિંમત શામેલ કરો
Increase quantity,જથ્થો વધારો
IndexedDB,અનુક્રમિત ડીબી
Initial Amount,પ્રારંભિક રકમ
Initialize your shift with opening balances,ઓપનિંગ બેલેન્સ સાથે તમારી શિફ્ટની શરૂઆત કરો
Initializing application...,એપ્લિકેશન શરૂ કરી રહ્યાં છીએ...
"Inspect cache, sync, and prerequisite status","કેશ, સમન્વયન અને પૂર્વશરત સ્થિતિનું નિરીક્ષણ કરો"
Installed Applications,ઇન્સ્ટોલ કરેલ એપ્લિકેશન્સ
Insufficient stock:\n{0},અપૂરતો સ્ટોક:\n{0}
Invalid rate,અમાન્ય દર
Inventory Status Report,ઈન્વેન્ટરી સ્ટેટસ રિપોર્ટ
Invoice,ભરતિયું
Invoice {0} is Submitted,ઇન્વૉઇસ {0} સબમિટ કરવામાં આવ્યું છે
Invoice {0} processed successfully,ઇન્વૉઇસ {0} પર સફળતાપૂર્વક પ્રક્રિયા થઈ
Invoice {0} submission failed,ઇન્વૉઇસ {0} સબમિશન નિષ્ફળ થયું
Invoice {0} was already submitted,ઇન્વૉઇસ {0} પહેલેથી સબમિટ કરવામાં આવ્યું હતું
Invoice Adjustments,ઇન્વૉઇસ ગોઠવણો
Invoice Change,ઇન્વોઇસ ફેરફાર
Invoice Details,ઇન્વોઇસ વિગતો
Invoice is still in draft after background submission.,પૃષ્ઠભૂમિ સબમિશન પછી ઇન્વોઇસ હજુ પણ ડ્રાફ્ટમાં છે.
Invoice Items,ભરતિયું આઇટમ્સ
Invoice Management,ઇન્વોઇસ મેનેજમેન્ટ
Invoice Mgmt,ઇન્વોઇસ Mgmt
Invoice saved offline,ઇનવોઇસ ઑફલાઇન સાચવ્યું
Invoice submission failed,ઇન્વૉઇસ સબમિશન નિષ્ફળ થયું
Invoice Submitted,ઇન્વૉઇસ સબમિટ કર્યું
"Invoice value settled by loyalty points, not cash collection","ઇન્વૉઇસ મૂલ્ય વફાદારી પૉઇન્ટ દ્વારા સેટલ થાય છે, રોકડ સંગ્રહ દ્વારા નહીં"
Invoices,ઇન્વૉઇસેસ
Invoices already past due date,ઇન્વૉઇસેસ પહેલાથી જ નિયત તારીખથી આગળ છે
Invoices saved as POS Invoices,ઇન્વૉઇસ POS ઇન્વૉઇસ તરીકે સાચવવામાં આવે છે
Invoices still carrying balances,ઇન્વોઇસ હજુ પણ બેલેન્સ વહન કરે છે
Issue Mode,મુદ્દો મોડ
Issue New Card,નવું કાર્ડ ઇસ્યુ કરો
Issue Workflow,સમસ્યા વર્કફ્લો
"Issue, top up, and check","ઇશ્યૂ કરો, ટોપ અપ કરો અને તપાસો"
Item,વસ્તુ
Item / Product Sales Report,આઇટમ / ઉત્પાદન વેચાણ અહેવાલ
Item {0} added to invoice,આઇટમ {0} ઇન્વૉઇસમાં ઉમેરવામાં આવી
Item '{0}' has no barcode,આઇટમ '{0}' પાસે કોઈ બારકોડ નથી
Item Code,આઇટમ કોડ
Item created successfully,આઇટમ સફળતાપૂર્વક બનાવી
Item is out of stock,આઇટમ સ્ટોકની બહાર છે
Item Name,વસ્તુનું નામ
Item not found,આઇટમ મળી નથી
Item order updated,આઇટમ ઓર્ડર અપડેટ કર્યો
Item Selector Settings,આઇટમ સિલેક્ટર સેટિંગ્સ
Items,વસ્તુઓ
Items added in POS will appear here automatically.,POS માં ઉમેરવામાં આવેલી વસ્તુઓ અહીં આપમેળે દેખાશે.
Items added to invoice,ઇન્વૉઇસમાં આઇટમ્સ ઉમેરવામાં આવી
Items per page,પૃષ્ઠ દીઠ વસ્તુઓ
Items Sold,વસ્તુઓ વેચાઈ
Items/Invoice,આઇટમ્સ/ઇનવોઇસ
Item-wise Profitability,વસ્તુ મુજબ નફાકારકતા
Journal Entry,જર્નલ એન્ટ્રી
json,જેસન
Just now,હમણાં જ
Keep offline prerequisites healthy and recover stale data safely.,ઑફલાઇન પૂર્વજરૂરીયાતોને સ્વસ્થ રાખો અને જૂનો ડેટા સુરક્ષિત રીતે પુનઃપ્રાપ્ત કરો.
Labels,લેબલ્સ
"Language, theme, terminal tools, and session controls.","ભાષા, થીમ, ટર્મિનલ ટૂલ્સ અને સત્ર નિયંત્રણો."
Last,છેલ્લું
Last 14 Days (Paid vs Pending),છેલ્લા 14 દિવસ (ચૂકવેલ વિ બાકી)
Last 14 Days Activity,છેલ્લા 14 દિવસની પ્રવૃત્તિ
Last 14 Days Gross Profit,છેલ્લા 14 દિવસનો કુલ નફો
Last 14 Days Purchases,છેલ્લા 14 દિવસની ખરીદીઓ
Last 14 Days Tax/Charges,છેલ્લા 14 દિવસના કર/ચાર્જીસ
Last sync:,છેલ્લું સમન્વયન:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},છેલ્લું સમન્વયન: {0} | બરાબર: {1} | નિષ્ફળ: {2} | છોડ્યું: {3}
Latest entries for current shift,વર્તમાન શિફ્ટ માટે નવીનતમ એન્ટ્રીઓ
Lead Time,લીડ સમય
Limited,લિમિટેડ
lines,રેખાઓ
List,યાદી
Live Snapshot,લાઇવ સ્નેપશોટ
Load a POS profile and cashier first.,પહેલા POS પ્રોફાઇલ અને કેશિયર લોડ કરો.
Load More Invoices,વધુ ઇન્વૉઇસેસ લોડ કરો
Load previously saved invoices,અગાઉ સાચવેલા ઇન્વૉઇસેસ લોડ કરો
Load Sale,લોડ વેચાણ
Load Sales Invoice,વેચાણ ભરતિયું લોડ કરો
Loading app data...,એપ્લિકેશન ડેટા લોડ કરી રહ્યું છે...
Loading customer database...,ગ્રાહક ડેટાબેઝ લોડ કરી રહ્યું છે...
Loading customers...,ગ્રાહકો લોડ કરી રહ્યાં છે...
Loading database stats...,ડેટાબેઝ આંકડા લોડ કરી રહ્યું છે...
Loading details...,વિગતો લોડ કરી રહ્યું છે...
Loading invoice history...,ઇન્વૉઇસ ઇતિહાસ લોડ કરી રહ્યું છે...
Loading items...,આઇટમ લોડ કરી રહ્યું છે...
Loading product catalog...,ઉત્પાદન કેટલોગ લોડ કરી રહ્યું છે...
Loading return invoices...,રિટર્ન ઇન્વૉઇસ લોડ કરી રહ્યાં છીએ...
Loading server CPU/memory usage...,સર્વર CPU/મેમરી વપરાશ લોડ કરી રહ્યું છે...
Loading suppliers...,સપ્લાયર્સ લોડ કરી રહ્યું છે...
Loading unpaid invoices...,અવેતન ઇન્વૉઇસેસ લોડ કરી રહ્યાં છીએ...
Loading view...,દૃશ્ય લોડ કરી રહ્યું છે...
Loading...,લોડ કરી રહ્યું છે...
Local storage is unavailable. Switching to online-only mode.,સ્થાનિક સ્ટોરેજ અનુપલબ્ધ છે. માત્ર-ઓનલાઈન મોડ પર સ્વિચ કરી રહ્યાં છીએ.
localStorage,સ્થાનિક સંગ્રહ
Location Performance,સ્થાન પ્રદર્શન
Locations,સ્થાનો
Lock Screen,લોક સ્ક્રીન
Lookup Workflow,લુકઅપ વર્કફ્લો
Loss,નુકશાન
Low,નીચું
Low Stock,લો સ્ટોક
Low Stock Alerts,લો સ્ટોક ચેતવણીઓ
Low Stock Items,ઓછી સ્ટોક વસ્તુઓ
Low Stock Threshold,લો સ્ટોક થ્રેશોલ્ડ
Low Stock Total,નીચા સ્ટોક કુલ
Lowest Margin,ન્યૂનતમ માર્જિન
Low-frequency maintenance and system details.,ઓછી-આવર્તન જાળવણી અને સિસ્ટમ વિગતો.
Loyalty Redeemed,લોયલ્ટી રિડીમ કરી
Loyalty Redemption,લોયલ્ટી રિડેમ્પશન
Make New Payment,નવી ચુકવણી કરો
Manage all,બધા મેનેજ કરો
Manage and synchronize your offline transactions,તમારા ઑફલાઇન વ્યવહારોને મેનેજ કરો અને સિંક્રનાઇઝ કરો
Manage Cashier PIN,કેશિયર પિન મેનેજ કરો
"Manage offline tools, terminal controls, and maintenance from one workspace.","ઑફલાઇન ટૂલ્સ, ટર્મિનલ નિયંત્રણો અને એક કાર્યસ્થળમાંથી જાળવણીનું સંચાલન કરો."
manual,મેન્યુઅલ
"Manual codes, barcode scans, and QR scans work in the same field","મેન્યુઅલ કોડ, બારકોડ સ્કેન અને QR સ્કેન એક જ ક્ષેત્રમાં કામ કરે છે"
Manual offline mode is enabled,મેન્યુઅલ ઑફલાઇન મોડ સક્ષમ છે
Margin,માર્જિન
Maximum available quantity is {0}. Quantity adjusted to match stock.,મહત્તમ ઉપલબ્ધ જથ્થો {0} છે. સ્ટોક મેચ કરવા માટે જથ્થો ગોઠવ્યો
Maximum discount amount for this offer item is {0}.,આ ઑફર આઇટમ માટે મહત્તમ ડિસ્કાઉન્ટ રકમ {0} છે.
Maximum discount percentage for this offer item is {0}%.,આ ઑફર આઇટમ માટે મહત્તમ ડિસ્કાઉન્ટ ટકાવારી {0}% છે.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,મહત્તમ ઓફર જથ્થો {0} છે. મંજૂર મર્યાદામાં જથ્થો ગોઠવ્યો.
Medium,મધ્યમ
Method-wise Collections,પદ્ધતિ મુજબના સંગ્રહો
Minimum allowed rate for this offer item is {0}.,આ ઑફર આઇટમ માટે ન્યૂનતમ મંજૂર દર {0} છે.
Minimum Qty,ન્યૂનતમ જથ્થો
Mobile No,મોબાઈલ નં
Mode,મોડ
Mode of Payment,ચુકવણી પદ્ધતિ
Month,મહિનો
Month ?,મહિનો?
Monthly Profit,માસિક નફો
Monthly Sales,માસિક વેચાણ
Monthly Sales Summary,માસિક વેચાણ સારાંશ
Month-wise,મહિના પ્રમાણે
Most Active Cashiers,સૌથી વધુ સક્રિય કેશિયર્સ
Movement Type,ચળવળનો પ્રકાર
Movements,હલનચલન
Multi Currency,મલ્ટી કરન્સી
N/A,N/A
Name,નામ
Negative Stock,નેગેટિવ સ્ટોક
Negative Stock Items,નકારાત્મક સ્ટોક વસ્તુઓ
Negative values not allowed,નકારાત્મક મૂલ્યોને મંજૂરી નથી
Net,નેટ
Net Qty,ચોખ્ખી માત્રા
Net Sales,નેટ સેલ્સ
Net Value,નેટ વેલ્યુ
Never,ક્યારેય નહીં
New changes are ready to load,નવા ફેરફારો લોડ કરવા માટે તૈયાર છે
New Item,નવી આઇટમ
New Offer Available,નવી ઓફર ઉપલબ્ધ
New PIN,નવો PIN
New rate,નવો દર
Next unit of measure,માપનું આગલું એકમ
No attribute data found.,કોઈ વિશેષતા ડેટા મળ્યો નથી.
No Barcode,કોઈ બારકોડ નથી
No barcode found for UOM '{0}',UOM '{0}' માટે કોઈ બારકોડ મળ્યો નથી
No branch/location data found.,કોઈ શાખા/સ્થાન ડેટા મળ્યો નથી.
No brand data found.,કોઈ બ્રાન્ડ ડેટા મળ્યો નથી.
No cached gift card balance is available offline.,કોઈ કેશ્ડ ગિફ્ટ કાર્ડ બેલેન્સ ઑફલાઇન ઉપલબ્ધ નથી.
No camera found on this device. Please ensure your device has a working camera.,આ ઉપકરણ પર કોઈ કૅમેરો મળ્યો નથી. કૃપા કરીને ખાતરી કરો કે તમારા ઉપકરણમાં કાર્યરત કેમેરા છે.
No capability warnings recorded yet.,હજુ સુધી કોઈ ક્ષમતા ચેતવણીઓ રેકોર્ડ કરવામાં આવી નથી.
No cash expected for this shift.,આ શિફ્ટ માટે કોઈ રોકડની અપેક્ષા નથી.
No cash mode configured,કોઈ રોકડ મોડ ગોઠવેલ નથી
No cash movement type is allowed for this POS Profile.,આ POS પ્રોફાઇલ માટે કોઈ રોકડ હિલચાલની મંજૂરી નથી.
No cashier PIN is set yet. Create one now.,હજુ સુધી કોઈ કેશિયર પિન સેટ કરેલ નથી. હવે એક બનાવો.
No cashier profiles are available for this POS profile yet.,આ POS પ્રોફાઇલ માટે હજુ સુધી કોઈ કેશિયર પ્રોફાઇલ ઉપલબ્ધ નથી.
No cashier-wise discount/void/return activity.,કોઈ કેશિયર મુજબ ડિસ્કાઉન્ટ/રદ/રીટર્ન પ્રવૃત્તિ નથી.
No category data found.,કોઈ શ્રેણી ડેટા મળ્યો નથી.
No category profitability data found.,કોઈ કેટેગરી નફાકારકતા ડેટા મળ્યો નથી.
No change returned recorded for this shift.,આ શિફ્ટ માટે કોઈ ફેરફાર નોંધાયો નથી.
No change-allocation invoices match the current filters.,વર્તમાન ફિલ્ટર્સ સાથે કોઈ ફેરફાર-એલોકેશન ઇન્વૉઇસ મેળ ખાતા નથી.
No charge head breakdown found.,કોઈ ચાર્જ હેડ બ્રેકડાઉન મળ્યું નથી.
No Company Selected,કોઈ કંપની પસંદ નથી
No customer sales data found.,કોઈ ગ્રાહક વેચાણ ડેટા મળ્યો નથી.
No day-wise discount/void/return trend.,કોઈ દિવસ મુજબ ડિસ્કાઉન્ટ/રદ/વળતર વલણ નથી.
No day-wise payment data found.,દિવસ મુજબનો કોઈ ચુકવણી ડેટા મળ્યો નથી.
No day-wise profitability trend found.,દિવસ પ્રમાણે નફાકારકતાનું વલણ જોવા મળ્યું નથી.
No day-wise purchase data found.,દિવસ મુજબની ખરીદીનો કોઈ ડેટા મળ્યો નથી.
No day-wise sales trend found.,દિવસ પ્રમાણે વેચાણનું વલણ જોવા મળ્યું નથી.
No day-wise tax/charges trend found.,કોઈ દિવસ મુજબ કર/ચાર્જનો ટ્રેન્ડ જોવા મળ્યો નથી.
No dead stock items.,કોઈ મૃત સ્ટોક વસ્તુઓ નથી.
No due date,કોઈ નિયત તારીખ નથી
No exact repair match found for this invoice,આ ઇન્વૉઇસ માટે કોઈ ચોક્કસ રિપેર મેચ મળ્યું નથી
No hourly sales trend found for today.,આજ માટે કોઈ કલાકદીઠ વેચાણ વલણ મળ્યું નથી.
No invoice activity found.,કોઈ ઇન્વૉઇસ પ્રવૃત્તિ મળી નથી.
No invoices found,કોઈ ઇન્વૉઇસ મળ્યાં નથી
No invoices found. Try different search criteria.,કોઈ ઇન્વૉઇસ મળ્યાં નથી. વિવિધ શોધ માપદંડો અજમાવી જુઓ.
No invoices recorded for this shift.,આ શિફ્ટ માટે કોઈ ઇન્વૉઇસેસ રેકોર્ડ કરેલ નથી.
No item profitability data found.,કોઈ આઇટમ નફાકારકતા ડેટા મળ્યો નથી.
No item sales data found for this period.,આ સમયગાળા માટે કોઈ આઇટમ વેચાણ ડેટા મળ્યો નથી.
No items found,કોઈ વસ્તુઓ મળી નથી
No items in cart,કાર્ટમાં કોઈ આઇટમ નથી
No items with barcodes to print,છાપવા માટે બારકોડ ધરાવતી કોઈ આઇટમ નથી
No location-wise top item data found.,કોઈ સ્થાન મુજબ ટોચની આઇટમ ડેટા મળ્યો નથી.
No low stock alerts right now.,અત્યારે કોઈ ઓછા સ્ટોકની ચેતવણીઓ નથી.
No low stock items.,ઓછી સ્ટોક વસ્તુઓ નથી.
No matching items in cart,કાર્ટમાં કોઈ મેળ ખાતી વસ્તુઓ નથી
No month-wise sales trend found.,મહિના પ્રમાણે વેચાણનું વલણ જોવા મળ્યું નથી.
No negative stock items.,કોઈ નકારાત્મક સ્ટોક વસ્તુઓ નથી.
No notifications yet,હજુ સુધી કોઈ સૂચનાઓ નથી
No offline cash movement synced.,કોઈ ઑફલાઇન રોકડ હિલચાલ સમન્વયિત નથી.
No offline invoices pending synchronization,કોઈ ઑફલાઇન ઇન્વૉઇસ બાકી સિંક્રનાઇઝેશન નથી
No offline sync issues recorded yet.,હજી સુધી કોઈ ઑફલાઇન સમન્વયન સમસ્યાઓ રેકોર્ડ કરવામાં આવી નથી.
No out-of-stock items.,આઉટ ઓફ સ્ટોક વસ્તુઓ નથી.
No outstanding credit invoices for this shift.,આ શિફ્ટ માટે કોઈ બાકી ક્રેડિટ ઇન્વૉઇસેસ નથી.
No payment collection data found.,કોઈ ચુકવણી સંગ્રહ ડેટા મળ્યો નથી.
No payment rows available on this invoice.,આ ઇન્વૉઇસ પર કોઈ ચુકવણી પંક્તિઓ ઉપલબ્ધ નથી.
No payments registered for this shift.,આ શિફ્ટ માટે કોઈ ચૂકવણી નોંધાયેલ નથી.
No pending balances in this period.,આ સમયગાળામાં કોઈ બાકી બેલેન્સ નથી.
No pending offline invoices,કોઈ બાકી ઑફલાઇન ઇન્વૉઇસેસ નથી
No Print Formats Found,કોઈ પ્રિન્ટ ફોર્મેટ્સ મળ્યાં નથી
No profiles found for selected scope. Falling back to current profile failed.,પસંદ કરેલ અવકાશ માટે કોઈ પ્રોફાઇલ્સ મળી નથી. વર્તમાન પ્રોફાઇલ પર પાછા આવવું નિષ્ફળ થયું.
No recent customer activity found.,કોઈ તાજેતરની ગ્રાહક પ્રવૃત્તિ મળી નથી.
No recent stock entries found.,કોઈ તાજેતરની સ્ટોક એન્ટ્રીઓ મળી નથી.
No records found,કોઈ રેકોર્ડ મળ્યા નથી
No reorder suggestions right now.,અત્યારે કોઈ પુનઃક્રમાંકિત સૂચનો નથી.
No repeat customers in this period.,આ સમયગાળામાં કોઈ પુનરાવર્તિત ગ્રાહકો નહીં.
No response from server,સર્વર તરફથી કોઈ જવાબ નથી
No return invoices found,કોઈ રિટર્ન ઇન્વૉઇસ મળ્યા નથી
No return item trend found.,કોઈ રીટર્ન આઈટમનો ટ્રેન્ડ મળ્યો નથી.
No returnable items found for this invoice,આ ઇન્વૉઇસ માટે પરત કરી શકાય તેવી કોઈ આઇટમ મળી નથી
No returns were processed in this shift.,આ શિફ્ટમાં કોઈ રિટર્નની પ્રક્રિયા કરવામાં આવી ન હતી.
No risk activity found.,કોઈ જોખમી પ્રવૃત્તિ મળી નથી.
No sales activity found for this period.,આ સમયગાળા માટે કોઈ વેચાણ પ્રવૃત્તિ મળી નથી.
No slow moving items.,કોઈ ધીમી ગતિશીલ વસ્તુઓ નથી.
No staff sales activity found.,કોઈ સ્ટાફ વેચાણ પ્રવૃત્તિ મળી નથી.
No stock movement for this period.,આ સમયગાળા માટે કોઈ સ્ટોક મૂવમેન્ટ નથી.
No submitted cash movements in this shift.,આ શિફ્ટમાં કોઈ સબમિટ રોકડ હિલચાલ નથી.
No supplier purchases found in this month.,આ મહિનામાં કોઈ સપ્લાયરની ખરીદી મળી નથી.
No suppliers found for this period.,આ સમયગાળા માટે કોઈ સપ્લાયર્સ મળ્યા નથી.
No sync trigger has run yet in this session.,આ સત્રમાં હજુ સુધી કોઈ સિંક ટ્રિગર ચાલ્યું નથી.
No tax head breakdown found.,કોઈ ટેક્સ હેડ બ્રેકડાઉન મળ્યું નથી.
No top items found for this location.,આ સ્થાન માટે કોઈ ટોચની આઇટમ્સ મળી નથી.
No unpaid invoices,કોઈ અવેતન ઇન્વૉઇસેસ
No variant data found.,કોઈ પ્રકારનો ડેટા મળ્યો નથી.
No week-wise sales trend found.,સપ્તાહવાર વેચાણનું વલણ જોવા મળ્યું નથી.
No.,ના.
Nobile Number,નોબિલ નંબર
Not available,ઉપલબ્ધ નથી
Not checked,ચકાસાયેલ નથી
Not selected,પસંદ કરેલ નથી
Not Set,સેટ નથી
Notifications,સૂચનાઓ
Offer,ઓફર
Offer Applied,ઓફર લાગુ
Offer criteria exceeded,ઓફર માપદંડ ઓળંગી
Offer Item,ઓફર આઇટમ
Offer item unavailable,ઑફર આઇટમ ઉપલબ્ધ નથી
Offer Removed,ઑફર કાઢી નાખી
Offer UOM cannot be changed,ઓફર UOM બદલી શકાતી નથી
Offer?,ઓફર?
Offers,ઓફર કરે છે
Offline,ઑફલાઇન
Offline & Sync,ઑફલાઇન અને સિંક
Offline Capabilities,ઑફલાઇન ક્ષમતાઓ
Offline data status refreshed,ઑફલાઇન ડેટા સ્ટેટસ રિફ્રેશ કર્યું
Offline diagnostics,ઑફલાઇન ડાયગ્નોસ્ટિક્સ
Offline Invoices,ઑફલાઇન ઇન્વૉઇસેસ
Offline invoices status,ઑફલાઇન ઇન્વૉઇસ સ્ટેટસ
Offline invoices synced,ઑફલાઇન ઇન્વૉઇસ સમન્વયિત
Offline Queue: {0},ઑફલાઇન કતાર: {0}
Offline rebuild guidance,ઑફલાઇન પુનઃનિર્માણ માર્ગદર્શન
Offline restore is unavailable for this session.,આ સત્ર માટે ઑફલાઇન પુનઃસ્થાપન અનુપલબ્ધ છે.
Offline selling is available with degraded capabilities.,ડિગ્રેડેડ ક્ષમતાઓ સાથે ઑફલાઇન વેચાણ ઉપલબ્ધ છે.
