POS Awesome,POS Félelmetes
Items added in POS will appear here automatically.,A POS-hoz hozzáadott elemek automatikusan megjelennek itt.
Items added to invoice,Tételek hozzáadva a számlához
Items per page,Elemek oldalanként
Items Sold,Eladott tételek
Items/Invoice,Tételek/Számla
Item-wise Profitability,Tételenkénti jövedelmezőség
Journal Entry,Naplóbejegyzés
json,json
Just now,Csak most
Keep offline prerequisites healthy and recover stale data safely.,"Tartsa egészségesen az offline előfeltételeket, és állítsa vissza biztonságosan az elavult adatokat."
Labels,Címkék
"Language, theme, terminal tools, and session controls.","Nyelv, téma, termináleszközök és munkamenet-vezérlők."
Last,Utolsó
Last 14 Days (Paid vs Pending),Az elmúlt 14 nap (fizetett vs függőben lévő)
Last 14 Days Activity,Az elmúlt 14 nap tevékenysége
Last 14 Days Gross Profit,Az elmúlt 14 nap bruttó nyeresége
Last 14 Days Purchases,Az elmúlt 14 nap vásárlásai
Last 14 Days Tax/Charges,Utolsó 14 nap adója/költségei
Last sync:,Utolsó szinkronizálás:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Utolsó szinkronizálás: {0} | rendben: {1} | sikertelen: {2} | kihagyva: {3}
Latest entries for current shift,Az aktuális műszak legújabb bejegyzései
Lead Time,Átfutási idő
Limited,Korlátozott
lines,vonalak
List,Lista
Live Snapshot,Élő pillanatfelvétel
Load a POS profile and cashier first.,Először töltsön be egy POS-profilt és a pénztárost.
Load More Invoices,További számlák betöltése
Load previously saved invoices,A korábban mentett számlák betöltése
Load Sale,Load Eladó
Load Sales Invoice,Értékesítési számla betöltése
Loading app data...,Alkalmazásadatok betöltése...
Loading customer database...,Ügyfél adatbázis betöltése...
Loading customers...,Ügyfelek betöltése...
Loading database stats...,Adatbázis-statisztikák betöltése...
Loading details...,Részletek betöltése...
Loading invoice history...,Számlaelőzmények betöltése...
Loading items...,Elemek betöltése...
Loading product catalog...,Termékkatalógus betöltése...
Loading return invoices...,Visszaküldési számlák betöltése...
Loading server CPU/memory usage...,Szerver CPU/memóriahasználatának betöltése...
Loading suppliers...,Szállítók betöltése...
Loading unpaid invoices...,Kifizetetlen számlák betöltése...
Loading view...,Nézet betöltése...
Loading...,Betöltés...
Local storage is unavailable. Switching to online-only mode.,A helyi tárhely nem érhető el. Váltás csak online módra.
localStorage,localStorage
Location Performance,Helyszín teljesítmény
Locations,Helyszínek
Lock Screen,Képernyőzár
Lookup Workflow,Keresési munkafolyamat
Loss,Veszteség
Low,Alacsony
Low Stock,Alacsony készlet
Low Stock Alerts,Alacsony készlet figyelmeztetések
Low Stock Items,Alacsony készletű cikkek
Low Stock Threshold,Alacsony készletküszöb
Low Stock Total,Alacsony készlet Összesen
Lowest Margin,Legalacsonyabb árrés
Low-frequency maintenance and system details.,Alacsony frekvenciájú karbantartás és a rendszer részletei.
Loyalty Redeemed,A hűség megváltva
Loyalty Redemption,Hűségmegváltás
Make New Payment,Új befizetés
Manage all,Az összes kezelése
Manage and synchronize your offline transactions,Kezelje és szinkronizálja offline tranzakcióit
Manage Cashier PIN,Pénztári PIN-kód kezelése
"Manage offline tools, terminal controls, and maintenance from one workspace.","Egy munkaterületről kezelheti az offline eszközöket, terminálvezérlőket és karbantartást."
manual,kézikönyvet
"Manual codes, barcode scans, and QR scans work in the same field","A kézi kódok, a vonalkód-leolvasások és a QR-beolvasások ugyanazon a területen működnek"
Manual offline mode is enabled,A kézi offline mód engedélyezve van
Margin,Margó
Maximum available quantity is {0}. Quantity adjusted to match stock.,A maximálisan elérhető mennyiség {0}. A mennyiség a készlethez igazítva.
Maximum discount amount for this offer item is {0}.,A kedvezmény maximális összege ennél az ajánlattételnél {0}.
Maximum discount percentage for this offer item is {0}%.,A maximális kedvezmény százaléka ennél az ajánlattételnél {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Az ajánlat maximális mennyisége {0}. A mennyiség a megengedett határértékhez igazítva.
Medium,Közepes
Method-wise Collections,Módszertani gyűjtések
Minimum allowed rate for this offer item is {0}.,Ennek az ajánlattételnek a minimális megengedett ára {0}.
Minimum Qty,Minimális mennyiség
Mobile No,Mobil sz
Mode,mód
Mode of Payment,Fizetési mód
Month,hónap
Month ?,hónap ?
Monthly Profit,Havi Profit
Monthly Sales,Havi értékesítés
Monthly Sales Summary,Havi értékesítési összefoglaló
Month-wise,Havi szinten
Most Active Cashiers,A legaktívabb pénztárosok
Movement Type,Mozgás típusa
Movements,Mozdulatok
Multi Currency,Több valuta
N/A,N/A
Name,Név
Negative Stock,Negatív részvény
Negative Stock Items,Negatív készletek
Negative values not allowed,Negatív értékek nem megengedettek
Net,Net
Net Qty,Nettó menny
Net Sales,Nettó árbevétel
Net Value,Nettó érték
Never,Soha
New changes are ready to load,Az új módosítások készen állnak a betöltésre
New Item,Új elem
New Offer Available,Új ajánlat elérhető
New PIN,Új PIN kód
New rate,Új árfolyam
Next unit of measure,Következő mértékegység
No attribute data found.,Nem található attribútumadat.
No Barcode,Nincs vonalkód
No barcode found for UOM '{0}',Nem található vonalkód a következőhöz: „{0}”
No branch/location data found.,Nem található fiók/helyadat.
No brand data found.,Nem található márkaadat.
No cached gift card balance is available offline.,Az ajándékkártya tárolt egyenlege nem érhető el offline módban.
No camera found on this device. Please ensure your device has a working camera.,"Nem található kamera ezen az eszközön. Győződjön meg arról, hogy a készülék rendelkezik működő kamerával."
No capability warnings recorded yet.,Még nem rögzítettek képességfigyelmeztetést.
No cash expected for this shift.,Nem várható készpénz erre a műszakra.
No cash mode configured,Nincs konfigurálva készpénzes mód
No cash movement type is allowed for this POS Profile.,Ehhez a POS-profilhoz nem engedélyezett a készpénzmozgás típusa.
No cashier PIN is set yet. Create one now.,Még nincs beállítva a pénztáros PIN-kód. Hozzon létre egyet most.
No cashier profiles are available for this POS profile yet.,Ehhez a POS-profilhoz még nem érhetők el pénztáros profilok.
No cashier-wise discount/void/return activity.,Nincs pénztáros engedmény/érvénytelen/visszaküldési tevékenység.
No category data found.,Nem található kategóriaadat.
No category profitability data found.,Nem található kategória jövedelmezőségi adat.
No change returned recorded for this shift.,Ehhez a műszakhoz nem érkezett vissza változás.
No change-allocation invoices match the current filters.,A jelenlegi szűrőknek egyetlen változás-felosztási számlá sem felel meg.
No charge head breakdown found.,Nem található töltőfej bontás.
No Company Selected,Nincs kiválasztva vállalat
No customer sales data found.,Nem találhatók vásárlói értékesítési adatok.
No day-wise discount/void/return trend.,Nincs napi engedmény/érvénytelen/visszatérési trend.
No day-wise payment data found.,Nem találhatók napi fizetési adatok.
No day-wise profitability trend found.,Nem találtunk napi szintű jövedelmezőségi trendet.
No day-wise purchase data found.,Nem találhatók napi vásárlási adatok.
No day-wise sales trend found.,Nem található napi szintű értékesítési trend.
No day-wise tax/charges trend found.,Nem található napi szintű adó/terhek trendje.
No dead stock items.,Nincsenek halott raktári tételek.
No due date,Nincs határidő
No exact repair match found for this invoice,Nem található pontos javítási egyezés ehhez a számlához
No hourly sales trend found for today.,Ma nem található óránkénti értékesítési trend.
No invoice activity found.,Nem található számlázási tevékenység.
No invoices found,Nem található számla
No invoices found. Try different search criteria.,Nem található számla. Próbáljon ki különböző keresési feltételeket.
No invoices recorded for this shift.,Ehhez a műszakhoz nem rögzítettek számlát.
No item profitability data found.,Nem található cikk jövedelmezőségi adata.
No item sales data found for this period.,Nem található cikkeladási adat erre az időszakra.
No items found,Nem található elemek
No items in cart,Nincsenek tételek a kosárban
No items with barcodes to print,Nincsenek nyomtatható tételek vonalkóddal
No location-wise top item data found.,Nem találhatók hely szerinti legfelső elemre vonatkozó adatok.
No low stock alerts right now.,Jelenleg nincs alacsony készletszintű riasztás.
No low stock items.,Nincsenek alacsony készletű termékek.
No matching items in cart,Nincsenek megfelelő termékek a kosárban
No month-wise sales trend found.,Nem található havi értékesítési trend.
No negative stock items.,Nincsenek negatív raktári tételek.
No notifications yet,Még nincsenek értesítések
No offline cash movement synced.,Nincs offline készpénzmozgás szinkronizálva.
No offline invoices pending synchronization,Nincsenek szinkronizálásra váró offline számlák
No offline sync issues recorded yet.,Még nem rögzítettek offline szinkronizálási problémákat.
No out-of-stock items.,Nincsenek elfogyott termékek.
No outstanding credit invoices for this shift.,Ehhez a műszakhoz nincs fennálló jóváírás.
No payment collection data found.,Nem található fizetési beszedési adat.
No payment rows available on this invoice.,Ezen a számlán nem állnak rendelkezésre fizetési sorok.
No payments registered for this shift.,Ehhez a műszakhoz nem regisztráltak kifizetéseket.
No pending balances in this period.,Ebben az időszakban nincsenek függőben lévő egyenlegek.
No pending offline invoices,Nincsenek függőben lévő offline számlák
No Print Formats Found,Nem található nyomtatási formátum
No profiles found for selected scope. Falling back to current profile failed.,Nem találhatók profilok a kiválasztott hatókörhöz. A jelenlegi profilhoz való visszatérés nem sikerült.
No recent customer activity found.,Nem található legutóbbi ügyféltevékenység.
No recent stock entries found.,Nem található friss készletbejegyzés.
No records found,Nem található rekord
No reorder suggestions right now.,Jelenleg nincsenek átrendezési javaslatok.
No repeat customers in this period.,Ebben az időszakban nincs visszatérő vásárló.
No response from server,Nincs válasz a szervertől
No return invoices found,Nem találhatók visszáru számlák
No return item trend found.,Nem található visszatérési tételtrend.
No returnable items found for this invoice,Ehhez a számlához nem található visszaküldhető tétel
No returns were processed in this shift.,Ebben a műszakban nem került sor visszaküldésre.
No risk activity found.,Nem található kockázati tevékenység.
No sales activity found for this period.,Ebben az időszakban nem található értékesítési tevékenység.
No slow moving items.,Nincsenek lassan mozgó elemek.
No staff sales activity found.,Nem található alkalmazotti értékesítési tevékenység.
No stock movement for this period.,Ebben az időszakban nincs készletmozgás.
No submitted cash movements in this shift.,Ebben a műszakban nincs benyújtott készpénzmozgás.
No supplier purchases found in this month.,Ebben a hónapban nem található beszállítói vásárlás.
No suppliers found for this period.,Nem található beszállító erre az időszakra.
No sync trigger has run yet in this session.,Ebben a munkamenetben még nem futott szinkronizálási trigger.
No tax head breakdown found.,Nem található adószám szerinti bontás.
No top items found for this location.,Nem találhatók legnépszerűbb tételek ehhez a helyhez.
No unpaid invoices,Nincsenek kifizetetlen számlák
No variant data found.,Nem található változat adat.
No week-wise sales trend found.,Nem található heti szintű értékesítési trend.
No.,Nem.
Nobile Number,Nobile szám
Not available,Nem elérhető
Not checked,Nincs bejelölve
Not selected,Nincs kiválasztva
Not Set,Nincs beállítva
Notifications,Értesítések
Offer,Ajánlat
Offer Applied,Az ajánlat érvényes
Offer criteria exceeded,Az ajánlat feltételei túllépve
Offer Item,Ajánlattétel
Offer item unavailable,Az ajánlattétel nem elérhető
Offer Removed,Ajánlat eltávolítva
Offer UOM cannot be changed,Az ajánlat UOM nem módosítható
Offer?,Ajánlat?
Offers,Ajánlatok
Offline,Offline
Offline & Sync,Offline és szinkronizálás
Offline Capabilities,Offline képességek
Offline data status refreshed,Az offline adatok állapota frissítve
Offline diagnostics,Offline diagnosztika
Offline Invoices,Offline számlák
Offline invoices status,Offline számlák állapota
Offline invoices synced,Offline számlák szinkronizálva
Offline Queue: {0},Offline várólista: {0}
Offline rebuild guidance,Offline újraépítési útmutató
Offline restore is unavailable for this session.,Az offline visszaállítás nem érhető el ehhez a munkamenethez.
Offline selling is available with degraded capabilities.,Az offline értékesítés csökkent képességekkel is elérhető.
Offline snapshot does not match the current POS state.,Az offline pillanatkép nem egyezik az aktuális POS állapottal.
Offline Status,Offline állapot
"Offline, terminal, and system controls","Offline, terminál és rendszervezérlők"
OK,OK
Online,Online
Open actions menu,A műveletek menü megnyitása
Open balance to collect,Nyitott egyenleg gyűjteni
Open Customer Display,Nyissa meg az Ügyfélkijelzőt
Open drawer,Nyissa ki a fiókot
Open invoices,Nyitott számlák
Open Payments?,Megnyitja a kifizetéseket?
Open POS home,Nyissa meg a POS kezdőlapját
Open this screen from POS Menu -> Open Customer Display.,Nyissa meg ezt a képernyőt a POS Menu -> Open Customer Display menüpontból.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV képfeldolgozás engedélyezve - Továbbfejlesztett vonalkód észlelés
OpenCV image processing unavailable on this device,Az OpenCV képfeldolgozás nem érhető el ezen az eszközön
OpenCV Off,OpenCV kikapcsolva
OpenCV On,OpenCV bekapcsolva
OpenCV processing disabled,Az OpenCV feldolgozás letiltva
Opening Amount,Nyitó összeg
Opening Cash,Pénztár megnyitása
options,opciók
Order,Rendeljen
Original,Eredeti
Other,Egyéb
Out,Ki
Out of Stock,Elfogyott
Out of Stock Items,Elfogyott tételek
Outstanding,Kiemelkedő
Outstanding Credit by Currency,Kiemelkedő hitel devizanemenként
Overdue,Lejárt
Overpayment Change,Túlfizetés változása
Overpayment change deducted: {0},Túlfizetés levonása: {0}
Packing List,Csomagolási lista
Page Format,Oldalformátum
Page unavailable offline,Az oldal offline állapotban nem érhető el
Paid,Fizetett
Paid (orig):,Fizetett (eredeti):
Paid Amount,Fizetett összeg
Paid change cannot be greater than total change!,"A fizetett változás nem lehet nagyobb, mint a teljes változás!"
Paid:,Fizetett:
Parent Item,Szülőelem
Partial,Részleges
Partly Paid,Részben Fizetett
Party Account,Pártszámla
Party Type,Párt típusa
Pause terminal until next cashier,A terminál szüneteltetése a következő pénztárosig
PAY,FIZET
Payment,Fizetés
Payment Account,Fizetési számla
Payment entries processed for Invoice {0},Fizetési bejegyzések feldolgozva a(z) {0} számlához
Payment Entry Type,Fizetési bejegyzés típusa
Payment History,Fizetési előzmények
Payment ID,Fizetési azonosító
Payment Method Report,Fizetési mód jelentés
Payment Methods,Fizetési módok
Payment of {0} received successfully.,{0} összegű befizetés sikeresen megérkezett.
Payment Progress,Fizetés folyamata
Payment Reconciliation,Fizetési egyeztetés
Payment request status could not be retrieved. Please try again,"A fizetési kérelem állapotát nem sikerült lekérni. Kérjük, próbálja újra"
Payment Request took too long to respond. Please try requesting for payment again,"A fizetési kérelem túl sokáig tartott a válaszadáshoz. Kérjük, próbáljon újra fizetést kérni"
Payment saved offline,A fizetés offline módban mentve
Payment State,Fizetési állapot
Payment Status,Fizetési állapot
Payment submitted but print function could not be executed. Payment name not found.,"A fizetés elküldve, de a nyomtatási funkció nem hajtható végre. A fizetés neve nem található."
Payment submitted.,Fizetés benyújtva.
Payment Summary,Fizetési összefoglaló
Payments,Kifizetések
Payments are not open. Do you want to open payments and submit?,A fizetések nem nyitottak. Meg akarja nyitni és elküldeni a kifizetéseket?
Payments by Mode of Payment,Fizetés fizetési mód szerint
PDF,PDF
Peak Hour,Csúcsóra
Peak Memory:,Csúcs memória:
Peak Server:,Peak szerver:
Peak:,Csúcs:
Pending,Függőben
Pending Amount,Függőben lévő összeg
Pending count updated from {0} to {1},"A függőben lévő szám frissítve. Régi érték: {0}, új érték: {1}"
Pending Exposure,Függőben lévő megvilágítás
Pending Invoices,Függőben lévő számlák
Pending Ratio,Függő arány
Pending Sales,Függőben lévő értékesítések
Pending sales: {0} | Cache usage: {1}%,Függőben lévő értékesítések: {0} | Gyorsítótár használat: {1}%
Pending Sync,Függőben lévő szinkronizálás
Pending: {0},Függőben: {0}
Pending: {0} | Synced: {1} | Draft: {2},Függőben: {0} | Szinkronizálva: {1} | Piszkozat: {2}
Per Page,Oldalanként
Personal,Személyes
Personal preferences adjust the current cashier experience without changing the active POS route.,A személyes beállítások az aktív POS útvonal módosítása nélkül módosítják az aktuális pénztári élményt.
PIN confirmation does not match.,A PIN-kód megerősítése nem egyezik.
PIN must be 4 to 8 digits.,A PIN-kódnak 4-8 ​​számjegyből kell állnia.
Please add at least one item.,"Kérjük, adjon hozzá legalább egy elemet."
Please allow camera access to scan codes,"Kérjük, engedélyezze a kamera hozzáférését a kódok beolvasásához"
Please enter payment amount,"Kérjük, adja meg a fizetés összegét"
Please fill all required fields,"Kérjük, töltse ki az összes kötelező mezőt"
Please make a payment or select a payment,"Kérjük, fizessen be, vagy válasszon fizetést"
Please request phone payment or use another payment method,"Kérjen telefonos fizetést, vagy használjon másik fizetési módot"
Please select a customer first,"Kérjük, először válasszon egy ügyfelet"
Please select a party,"Kérjük, válasszon párt"
Please select a party before reconciling.,"Kérjük, válasszon egy párt az egyeztetés előtt."
Please select a valid movement type.,"Kérjük, válasszon érvényes mozgástípust."
Please select an invoice,"Kérjük, válasszon számlát"
Please select company before reconciling.,"Kérjük, az egyeztetés előtt válassza ki a céget."
Please set the customer's mobile number,"Kérjük, állítsa be az ügyfél mobilszámát"
Please try again or enter the item manually.,"Kérjük, próbálja újra, vagy írja be kézzel az elemet."
Please verify the barcode or check the item's availability.,"Kérjük, ellenőrizze a vonalkódot, vagy ellenőrizze a tétel elérhetőségét."
Points,Pontok
Popup blocked. Please allow popups.,"Felugró ablak blokkolva. Kérjük, engedélyezze az előugró ablakokat."
POS,POS
POS controls and maintenance,POS ellenőrzések és karbantartás
POS Expense is disabled for this POS Profile.,A POS költség le van tiltva ennél a POS-profilnál.
POS is running with limited offline prerequisites.,A POS korlátozott offline előfeltételekkel fut.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Helyezze el a QR-kódot vagy vonalkódot a szkennelési területen
Posting,Feladás
Posting and Price List,Feladás és árlista
Posting Date,Feladás dátuma
Preparing background sync,Háttérszinkronizálás előkészítése
"Press OK to continue offline with a warning, or Cancel to retry.","Nyomja meg az OK gombot az offline folytatáshoz figyelmeztetéssel, vagy a Mégse gombot az újrapróbálkozáshoz."
Previous unit of measure,Előző mértékegység
Price List,Árlista
Price List Rate,Árlista árfolyam
Price list rate updated locally only,Az árlista csak helyben frissítve
Pricing & Discounts,Árak és kedvezmények
Pricing Rule,Árképzési szabály
Print,Nyomtatás
Print Draft,Piszkozat nyomtatása
Print Format (Invoice),Nyomtatási formátum (számla)
Print Format (Order),Nyomtatási formátum (megrendelés)
Print invoice,Számla nyomtatása
Print Purchase Invoice instead of PO,Nyomtasson beszerzési számlát a megrendelés helyett
Printer,Nyomtató
Processed returns impacting the shift totals,A műszak végösszegét befolyásoló feldolgozott bevallások
Processing Payment,Fizetés feldolgozása
Processing payment entries for Invoice {0},Fizetési bejegyzések feldolgozása a(z) {0} számlához
Profile,Profil
Profiles,Profilok
Profit,Profit
Profit: Invoice Item Estimate,Nyereség: Számla tételbecslés
Profit: Stock Ledger (COGS),Profit: Tőzsdekönyv (COGS)
Profitability Report,Jövedelmezőségi jelentés
Prorated return discount,Arányos visszaküldési kedvezmény
Purchase Amount,Vásárlási összeg
Purchase Invoices,Vásárlási számlák
Purchase Order created,Megrendelés létrehozva
Qty,Menny
Qualified,Képzett
Quantity,Mennyiség
Quantity exceeds available stock,A mennyiség meghaladja a rendelkezésre álló készletet
Quick Actions,Gyors műveletek
Quotation {0} is Submitted,A(z) {0} árajánlat elküldve
Quotation submitted,Árajánlat benyújtva
QZ Tray connected.,QZ Tálca csatlakoztatva.
QZ Tray is manually disconnected. Press Connect to enable it again.,A QZ tálca manuálisan le van választva. Nyomja meg a Csatlakozás gombot az újbóli engedélyezéséhez.
QZ Tray is not connected.,A QZ tálca nincs csatlakoztatva.
QZ Tray Setup,QZ tálca beállítása
Rate,Rate
Rate adjusted to maximum allowed discount,Az ár a megengedett maximális engedményhez igazítva
Ready,Kész
Ready to resume,Folytatásra készen
Ready!,Kész!
Real-time POS insights for retail operations.,Valós idejű POS betekintés a kiskereskedelmi műveletekhez.
Rebuild Offline Data,Az offline adatok újraépítése
Receive,Fogadás
Receive now,Fogadja most
Received,Megérkezett
Received:,Megérkezett:
Recent Movement Entries,Legutóbbi mozgalmi bejegyzések
Recent updates about your invoices,Legutóbbi frissítések a számlákkal kapcsolatban
Recently Active Customers,Nemrég aktív ügyfelek
Rechecking connection,Csatlakozás újraellenőrzése
Reconcile payment methods and close shift,A fizetési módok egyeztetése és a műszak bezárása
Reconciling Payments,Kifizetések egyeztetése
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Csatlakozzon újra, és nyissa meg ezt az oldalt egyszer online állapotban, majd az offline frissítések visszaállíthatják."
Reconnect online to refresh cached offline data from the server.,Csatlakozzon újra online a gyorsítótárazott offline adatok frissítéséhez a szerverről.
Recreate local offline prerequisites from scratch,Helyi offline előfeltételek létrehozása a semmiből
Recv:,Felvétel:
Redeem,Beváltani
Redeem / Scan,Beváltás / beolvasás
Redeem Amount,Beváltási összeg
Redeem Mode,Beváltási mód
Redeemed Amount,Beváltott összeg
Redeemed credit cannot be greater than its total.,"A beváltott jóváírás nem lehet nagyobb, mint a teljes összeg."
Redemption and Totals,Megváltás és végösszeg
Reference,Hivatkozás
Refresh,Frissítés
Refresh Exchange Rate,Árfolyam frissítése
Refresh Offline Data,Offline adatok frissítése
Refresh Printers,Nyomtatók frissítése
Refund,Visszatérítés
Release Notes,Kiadási megjegyzések
Reload,Újratöltés
Reload customers,Újratölteni az ügyfeleket
Reload Items,Tételek újratöltése
Reload Now,Újratöltés most
Reload to apply the latest changes. Your current session will be refreshed.,Töltse be újra a legújabb módosítások alkalmazásához. Az aktuális munkamenet frissül.
Reload Workflow,Munkafolyamat újratöltése
Remarks,Megjegyzések
Remarks are required.,Megjegyzések szükségesek.
Remove,Távolítsa el
Remove barcode item,Távolítsa el a vonalkód elemet
Remove cached data and reload the POS app,"Távolítsa el a gyorsítótárazott adatokat, és töltse be újra a POS alkalmazást"
Remove item,Elem eltávolítása
Remove Offer,Ajánlat eltávolítása
Reorder / Purchase Suggestions,Újrarendelési / vásárlási javaslatok
Repair Candidate,Javítási jelölt
Repair Change Allocation,Javítási változtatások kiosztása
Repair requires an online connection,A javításhoz online kapcsolat szükséges
Repaired,Javítva
Repairing change allocation,Változáskiosztás javítása
Repeat Customers,Ismételt ügyfelek
Repeat Rate,Ismétlési arány
Request,Kérelem
Request ID: {0},Kérelemazonosító: {0}
Request Payment,Fizetés kérése
Requested route: {0},Kért útvonal: {0}
Required columns cannot be hidden,A kötelező oszlopok nem rejthetők el
Reset,Reset
Reset item name,Állítsa vissza az elem nevét
Reset to Default,Visszaállítás alapértelmezettre
Resource Health,Erőforrás egészsége
Restricted,Korlátozott
Restricted operational controls for supervisors only.,Korlátozott működési ellenőrzések csak a felügyelők számára.
Retry,Próbálja újra
Retry route,Próbálja újra az útvonalat
Return,Vissza
Return Amount,Visszatérő összeg
Return Count,Visszatérési szám
Return items must have negative quantities,A visszaküldendő tételeknek negatív mennyiségekkel kell rendelkezniük
Return total must be negative,A teljes megtérülésnek negatívnak kell lennie
Return Valid Until,Visszaküldés ig érvényes
Return window passed,A visszatérési ablak elmúlt
Return without Invoice,Visszaküldés számla nélkül
Returns,Visszatér
Returns / Voids / Discounts,Visszaküldés / Érvényesség / Kedvezmények
Returns by Currency,Visszaküldés pénznem szerint
Revenue,Bevétel
Review shift totals before submitting the closing entry,"Tekintse át a műszakösszegeket, mielőtt elküldi a záró bejegyzést"
Round Off,Lekerekítés
Rows,Sorok
Rows:,Sorok:
Rule,szabály
Sale,Kiárusítás
Sales,Értékesítés
Sales Order {0} is Submitted,A(z) {0} értékesítési rendelés elküldve
Sales Person and Print,Értékesítési személy és nyomtatás
Sales Person not found,Az értékesítő nem található
Sales processed,Értékesítés feldolgozva
Sales Return,Értékesítési vissza
Sales Trend Report,Értékesítési trend jelentés
Save,Mentés
Save & Clear,Mentés és törlés
Save as POS Profile Default,Mentés POS-profil alapértelmezettként
Save Settings,Beállítások mentése
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Mentse a kiválasztott nyomtatót alapértelmezett POS-profilként, hogy az automatikusan megjelenjen ennél a beállításnál."
Saved as draft because: {0},"Piszkozatként mentve, mert: {0}"
Saving...,Mentés...
Scale barcode detected. Quantity here is the number of labels to print.,Skála vonalkód észlelve. A mennyiség itt a nyomtatandó címkék számát jelenti.
Scale barcode settings are not configured. Using item barcode only.,A skála vonalkód beállításai nincsenek konfigurálva. Csak tétel vonalkód használata.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Hiányzik a léptéksablon vonalkódja ehhez az elemhez/uom-hoz. Csak tétel vonalkód használata.
Scan an existing card and top it up without leaving the payment flow.,"Szkenneljen be egy meglévő kártyát, és töltse fel anélkül, hogy kilépne a fizetési folyamatból."
Scan Error,Szkennelési hiba
Scan or enter a gift card code to check balance or redeem.,Olvassa be vagy írja be az ajándékkártya kódját az egyenleg ellenőrzéséhez vagy a beváltáshoz.
Scan or paste the card code below.,Szkennelje be vagy illessze be a kártyakódot alább.
Scan QR Code/Barcode,QR-kód/vonalkód beolvasása
Scan with camera,Szkennelés kamerával
Scan-First Flow,Scan-First Flow
Scanned Code:,Szkennelt kód:
Scanning for: {0},Keresés: {0}
Scanning items,Elemek szkennelése
Scan-Ready,Beolvasásra kész
Scope,Hatály
Scope: All Profiles,Hatáskör: Minden profil
Scope: Current Profile,Hatáskör: Jelenlegi profil
Scope: Specific Profile,Alkalmazási terület: Egyedi profil
Search,Keresés
Search Account,Fiók keresése
Search an invoice and continue the return flow without extra steps.,"Keressen egy számlát, és további lépések nélkül folytassa a visszatérési folyamatot."
Search customer,Ügyfél keresése
Search invoices or customers,Keressen számlákat vagy ügyfeleket
Search item,Elem keresése
Search item / code,Tétel/kód keresése
Search items or barcode,Keressen elemeket vagy vonalkódot
Search Mpesa Payments,Keresés Mpesa Payments
Search return invoices or customers,Keressen visszáru számlákat vagy ügyfeleket
Search supplier,Keressen beszállítót
Search unpaid invoices or customers,Kifizetetlen számlák vagy ügyfelek keresése
Secure context (HTTPS or localhost) is required for camera access.,A kamera eléréséhez biztonságos környezet (HTTPS vagy localhost) szükséges.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Biztonságos környezet (HTTPS) szükséges a kamera eléréséhez. A kamera eléréséhez használja a HTTPS-t.
Select,Válassza ki
Select a cashier first.,Először válasszon pénztárost.
Select a customer,Válasszon egy ügyfelet
Select a customer to use coupon,Válasszon egy vásárlót a kupon használatához
Select a printer to use QZ silent printing.,Válasszon ki egy nyomtatót a QZ csendes nyomtatás használatához.
Select Batch,Válassza a Batch lehetőséget
Select Columns to Display,Válassza a Megjelenítendő oszlopok lehetőséget
Select items to sell,Válassza ki az eladni kívánt termékeket
Select Payment,Válassza a Fizetés lehetőséget
Select Payment Account,Válassza a Fizetési számla lehetőséget
Select printer,Válassza ki a nyomtatót
Select Return Invoice,Válassza a Számla visszáru lehetőséget
Select S.O,Válassza az S.O
Select Sales Orders,Válassza az Értékesítési rendelések lehetőséget
Select the cashier who is taking over this terminal.,"Válassza ki a pénztárost, aki átveszi ezt a terminált."
Selected,Kiválasztva
Selected movement type is not allowed by POS Profile.,A kiválasztott mozgástípust a POS Profile nem engedélyezi.
Selected Payments,Kiválasztott fizetések
Sensitive actions kept away from quick taps.,Az érzékeny műveletek távol maradtak a gyors koppintásoktól.
Serial,Sorozatos
Serial Numbers,Sorozatszámok
Server CPU Usage:,Szerver CPU használat:
Server Health,Szerver állapota
Server Memory Usage:,Szerver memóriahasználat:
Server Metrics,Szerver metrikák
Server Uptime:,Szerver üzemidő:
Service Charges,Szolgáltatási díjak
Session,Munkamenet
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Állítsa be az egyes pénztáros PIN-kódokat a Felhasználó képernyőn, és tartsa meg a termináltagokat a POS Profile User-ben."
Settings,Beállítások elemre
Settings in this section update the POS workspace without changing the current route.,Az ebben a szakaszban található beállítások frissítik a POS munkaterületet az aktuális útvonal módosítása nélkül.
Setup complete!,A beállítás kész!
Share,Megosztás
Shared terminal,Megosztott terminál
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Műszak áttekintése
Show,Megjelenítés
Show cart on customer-facing screen,A kosár megjelenítése az ügyfél felé néző képernyőn
Show last invoice rate,Utolsó számla díjának megjelenítése
Show rate info,Áradatok megjelenítése
Show Repair Candidates,Mutasd a javításra jelölteket
Show search tools,Keresési eszközök megjelenítése
