POS Awesome,POS Lieliski
Invoice Management,Rēķinu pārvaldība
Invoice Mgmt,Rēķins Mgmt
Invoice saved offline,Rēķins saglabāts bezsaistē
Invoice submission failed,Rēķina iesniegšana neizdevās
Invoice Submitted,Rēķins ir iesniegts
"Invoice value settled by loyalty points, not cash collection","Rēķina vērtība tiek apmaksāta ar lojalitātes punktiem, nevis skaidras naudas iekasēšanu"
Invoices,Rēķini
Invoices already past due date,Rēķini jau ir nokavēti
Invoices saved as POS Invoices,Rēķini saglabāti kā POS rēķini
Invoices still carrying balances,Rēķinos joprojām ir atlikumi
Issue Mode,Problēmu režīms
Issue New Card,Izdot jaunu karti
Issue Workflow,Problēma Darbplūsma
"Issue, top up, and check","Izsniedziet, papildiniet un pārbaudiet"
Item,Vienums
Item / Product Sales Report,Preču/produktu pārdošanas pārskats
Item {0} added to invoice,Prece {0} pievienota rēķinam
Item '{0}' has no barcode,Vienumam “{0}” nav svītrkoda
Item Code,Preces kods
Item created successfully,Vienums veiksmīgi izveidots
Item is out of stock,Prece nav noliktavā
Item Name,Vienuma nosaukums
Item not found,Vienums nav atrasts
Item order updated,Preču pasūtījums atjaunināts
Item Selector Settings,Vienumu atlasītāja iestatījumi
Items,Preces
Items added in POS will appear here automatically.,POS pievienotie vienumi šeit parādīsies automātiski.
Items added to invoice,Preces pievienotas rēķinam
Items per page,Vienumi vienā lapā
Items Sold,Pārdotās preces
Items/Invoice,Preces/rēķins
Item-wise Profitability,Preču rentabilitāte
Journal Entry,Žurnāla ieraksts
json,json
Just now,Tikai tagad
Keep offline prerequisites healthy and recover stale data safely.,Saglabājiet bezsaistes priekšnoteikumus veselīgus un droši atkopiet novecojušus datus.
Labels,Etiķetes
"Language, theme, terminal tools, and session controls.","Valoda, motīvs, termināļa rīki un sesijas vadīklas."
Last,Pēdējais
Last 14 Days (Paid vs Pending),Pēdējās 14 dienas (apmaksātās un neapstiprinātās)
Last 14 Days Activity,Pēdējo 14 dienu darbība
Last 14 Days Gross Profit,Pēdējo 14 dienu bruto peļņa
Last 14 Days Purchases,Pēdējo 14 dienu pirkumi
Last 14 Days Tax/Charges,Pēdējo 14 dienu nodoklis/izmaksas
Last sync:,Pēdējā sinhronizācija:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Pēdējā sinhronizācija: {0} | labi: {1} | neizdevās: {2} | izlaists: {3}
Latest entries for current shift,Jaunākie ieraksti par pašreizējo maiņu
Lead Time,Izpildes laiks
Limited,Ierobežots
lines,līnijas
List,Saraksts
Live Snapshot,Tiešraides momentuzņēmums
Load a POS profile and cashier first.,Vispirms ielādējiet POS profilu un kasieri.
Load More Invoices,Ielādējiet vairāk rēķinu
Load previously saved invoices,Ielādēt iepriekš saglabātos rēķinus
Load Sale,Kravas izpārdošana
Load Sales Invoice,Ielādēt pārdošanas rēķinu
Loading app data...,Notiek lietotnes datu ielāde...
Loading customer database...,Notiek klientu datu bāzes ielāde...
Loading customers...,Notiek klientu ielāde...
Loading database stats...,Notiek datu bāzes statistikas ielāde...
Loading details...,Notiek informācijas ielāde...
Loading invoice history...,Notiek rēķinu vēstures ielāde...
Loading items...,Notiek vienumu ielāde...
Loading product catalog...,Notiek preču kataloga ielāde...
Loading return invoices...,Notiek atgriešanas rēķinu ielāde...
Loading server CPU/memory usage...,Notiek servera CPU/atmiņas lietojuma ielāde...
Loading suppliers...,Notiek piegādātāju ielāde...
Loading unpaid invoices...,Notiek neapmaksāto rēķinu ielāde...
Loading view...,Notiek skata ielāde...
Loading...,Notiek ielāde...
Local storage is unavailable. Switching to online-only mode.,Vietējā krātuve nav pieejama. Pārslēgšanās uz tikai tiešsaistes režīmu.
localStorage,vietējāStorage
Location Performance,Atrašanās vietas veiktspēja
Locations,Atrašanās vietas
Lock Screen,Bloķēšanas ekrāns
Lookup Workflow,Uzmeklēšanas darbplūsma
Loss,Zaudējums
Low,Zems
Low Stock,Mazs krājums
Low Stock Alerts,Brīdinājumi par krājumu samazināšanos
Low Stock Items,Trūkuma preces
Low Stock Threshold,Zems krājumu slieksnis
Low Stock Total,Mazs krājums Kopā
Lowest Margin,Zemākā peļņa
Low-frequency maintenance and system details.,Zemfrekvences apkope un sistēmas detaļas.
Loyalty Redeemed,Lojalitāte ir izpirkta
Loyalty Redemption,Lojalitātes izpirkšana
Make New Payment,Veikt jaunu maksājumu
Manage all,Pārvaldīt visu
Manage and synchronize your offline transactions,Pārvaldiet un sinhronizējiet bezsaistes darījumus
Manage Cashier PIN,Pārvaldīt kases PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Pārvaldiet bezsaistes rīkus, termināļa vadīklas un apkopi vienā darbvietā."
manual,rokasgrāmata
"Manual codes, barcode scans, and QR scans work in the same field","Manuālie kodi, svītrkodu skenēšana un QR skenēšana darbojas tajā pašā laukā"
Manual offline mode is enabled,Manuālais bezsaistes režīms ir iespējots
Margin,Marža
Maximum available quantity is {0}. Quantity adjusted to match stock.,"Maksimālais pieejamais daudzums ir {0}. Daudzums pielāgots, lai tas atbilstu krājumam."
Maximum discount amount for this offer item is {0}.,Maksimālā atlaides summa šim piedāvājuma vienumam ir {0}.
Maximum discount percentage for this offer item is {0}%.,Maksimālā atlaides procentuālā daļa šim piedāvājuma vienumam ir {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimālais piedāvājuma daudzums ir {0}. Daudzums pielāgots atļautajam ierobežojumam.
Medium,Vidēja
Method-wise Collections,Metodiski kolekcijas
Minimum allowed rate for this offer item is {0}.,Minimālā atļautā cena šim piedāvājuma vienumam ir {0}.
Minimum Qty,Minimālais daudzums
Mobile No,Mobilais Nr
Mode,Režīms
Mode of Payment,Maksājuma veids
Month,Mēnesis
Month ?,Mēnesi?
Monthly Profit,Mēneša peļņa
Monthly Sales,Ikmēneša izpārdošana
Monthly Sales Summary,Mēneša pārdošanas kopsavilkums
Month-wise,Mēneša ziņā
Most Active Cashiers,Aktīvākie kasieri
Movement Type,Kustības veids
Movements,Kustības
Multi Currency,Vairāku valūtu
N/A,N/A
Name,Vārds
Negative Stock,Negatīvs krājums
Negative Stock Items,Negatīvie krājumi
Negative values not allowed,Negatīvās vērtības nav atļautas
Net,Net
Net Qty,Neto daudzums
Net Sales,Neto pārdošanas apjoms
Net Value,Neto vērtība
Never,Nekad
New changes are ready to load,Jaunas izmaiņas ir gatavas ielādei
New Item,Jauns vienums
New Offer Available,Ir pieejams jauns piedāvājums
New PIN,Jauns PIN
New rate,Jauna likme
Next unit of measure,Nākamā mērvienība
No attribute data found.,Nav atrasti atribūtu dati.
No Barcode,Nav svītrkoda
No barcode found for UOM '{0}',UOM '{0}' nav atrasts svītrkods
No branch/location data found.,Filiāles/atrašanās vietas dati nav atrasti.
No brand data found.,Zīmola dati nav atrasti.
No cached gift card balance is available offline.,Kešatmiņā saglabātais dāvanu kartes atlikums nav pieejams bezsaistē.
No camera found on this device. Please ensure your device has a working camera.,"Šajā ierīcē nav atrasta neviena kamera. Lūdzu, pārliecinieties, ka jūsu ierīcei ir funkcionējoša kamera."
No capability warnings recorded yet.,Vēl nav reģistrēts neviens brīdinājums par iespējām.
No cash expected for this shift.,Šai maiņai nauda nav paredzēta.
No cash mode configured,Nav konfigurēts skaidras naudas režīms
No cash movement type is allowed for this POS Profile.,Šim POS profilam nav atļauts neviens skaidras naudas kustības veids.
No cashier PIN is set yet. Create one now.,Kases PIN vēl nav iestatīts. Izveidojiet to tūlīt.
No cashier profiles are available for this POS profile yet.,Šim POS profilam vēl nav pieejams neviens kases profils.
No cashier-wise discount/void/return activity.,Nekādas kasieres atlaižu/anulēšanas/atgriešanas darbības.
No category data found.,Kategorijas dati nav atrasti.
No category profitability data found.,Kategoriju rentabilitātes dati nav atrasti.
No change returned recorded for this shift.,Šai maiņai netika reģistrētas nekādas izmaiņas.
No change-allocation invoices match the current filters.,Neviens izmaiņu piešķiršanas rēķins neatbilst pašreizējiem filtriem.
No charge head breakdown found.,Nav atrasts uzlādes galvas sadalījums.
No Company Selected,Nav atlasīts neviens uzņēmums
No customer sales data found.,Klientu pārdošanas dati nav atrasti.
No day-wise discount/void/return trend.,Nav dienas atlaižu/anulēšanas/atgriešanas tendences.
No day-wise payment data found.,Dienas maksājumu dati nav atrasti.
No day-wise profitability trend found.,Dienas rentabilitātes tendence netika atrasta.
No day-wise purchase data found.,Nav atrasti pirkuma dati par katru dienu.
No day-wise sales trend found.,Dienas pārdošanas tendence netika atrasta.
No day-wise tax/charges trend found.,Dienas nodokļu/maksas tendence netika atrasta.
No dead stock items.,Nav mirušu krājumu preču.
No due date,Nav izpildes datuma
No exact repair match found for this invoice,Šim rēķinam netika atrasta precīza remonta atbilstība
No hourly sales trend found for today.,Šodien nav atrasta neviena stundas pārdošanas tendence.
No invoice activity found.,Netika atrasta neviena rēķina darbība.
No invoices found,Netika atrasts neviens rēķins
No invoices found. Try different search criteria.,Netika atrasts neviens rēķins. Izmēģiniet dažādus meklēšanas kritērijus.
No invoices recorded for this shift.,Par šo maiņu nav reģistrēts neviens rēķins.
No item profitability data found.,Preču rentabilitātes dati nav atrasti.
No item sales data found for this period.,Par šo periodu netika atrasti preču pārdošanas dati.
No items found,Nav atrasts neviens vienums
No items in cart,Grozā nav preču
No items with barcodes to print,"Nav vienumu ar svītrkodiem, ko drukāt"
No location-wise top item data found.,Nav atrasti dati par populārāko vienumu atrašanās vietu.
No low stock alerts right now.,Pašlaik nav brīdinājumu par zemu krājumu daudzumu.
No low stock items.,Nav preču ar zemu noliktavu.
No matching items in cart,Grozā nav atbilstošu preču
No month-wise sales trend found.,Netika atrasta neviena mēneša pārdošanas tendence.
No negative stock items.,Nav negatīvu krājumu preču.
No notifications yet,Pagaidām nav paziņojumu
No offline cash movement synced.,Nav sinhronizēta bezsaistes skaidras naudas kustība.
No offline invoices pending synchronization,"Nav bezsaistes rēķinu, kas gaida sinhronizāciju"
No offline sync issues recorded yet.,Vēl nav reģistrēta neviena bezsaistes sinhronizācijas problēma.
No out-of-stock items.,"Nav preču, kuras nav noliktavā."
No outstanding credit invoices for this shift.,Šai maiņai nav neapmaksātu kredītrēķinu.
No payment collection data found.,Maksājumu iekasēšanas dati nav atrasti.
No payment rows available on this invoice.,Šajā rēķinā nav pieejama neviena maksājumu rinda.
No payments registered for this shift.,Par šo maiņu nav reģistrēts neviens maksājums.
No pending balances in this period.,Šajā periodā nav neapstiprinātu atlikumu.
No pending offline invoices,Nav neapstiprinātu bezsaistes rēķinu
No Print Formats Found,Drukas formāti nav atrasti
No profiles found for selected scope. Falling back to current profile failed.,Atlasītajai jomai nav atrasts neviens profils. Atgriezties uz pašreizējo profilu neizdevās.
No recent customer activity found.,Netika atrasta neviena pēdējā klienta darbība.
No recent stock entries found.,Nav atrasti neseni krājuma ieraksti.
No records found,Nav atrasts neviens ieraksts
No reorder suggestions right now.,Pašlaik nav ieteikumu par pārkārtošanu.
No repeat customers in this period.,Šajā periodā nav atkārtotu klientu.
No response from server,Nav atbildes no servera
No return invoices found,Atgriešanas rēķini netika atrasti
No return item trend found.,Atgriešanas preču tendence nav atrasta.
No returnable items found for this invoice,Šim rēķinam nav atrasta neviena atgriežama prece
No returns were processed in this shift.,Šajā maiņā neviena atgriešana netika apstrādāta.
No risk activity found.,Nav atrasta riska darbība.
No sales activity found for this period.,Šajā periodā netika atrasta neviena pārdošanas darbība.
No slow moving items.,Nav lēni kustīgu priekšmetu.
No staff sales activity found.,Netika atrasta personāla pārdošanas darbība.
No stock movement for this period.,Šajā periodā krājumu kustības nav.
No submitted cash movements in this shift.,Šajā maiņā nav iesniegta neviena skaidras naudas kustība.
No supplier purchases found in this month.,Šajā mēnesī nav atrasts neviens piegādātāja pirkums.
No suppliers found for this period.,Šajā periodā nav atrasts neviens piegādātājs.
No sync trigger has run yet in this session.,Šajā sesijā vēl nav palaists neviens sinhronizācijas aktivizētājs.
No tax head breakdown found.,Netika atrasts nodokļu kategorijas sadalījums.
No top items found for this location.,Šai atrašanās vietai nav atrasta neviena populārākā prece.
No unpaid invoices,Nav neapmaksātu rēķinu
No variant data found.,Nav atrasti dati par variantiem.
No week-wise sales trend found.,Netika atrasta neviena nedēļas pārdošanas tendence.
No.,Nē.
Nobile Number,Nobiles numurs
Not available,Nav pieejams
Not checked,Nav pārbaudīts
Not selected,Nav atlasīts
Not Set,Nav iestatīts
Notifications,Paziņojumi
Offer,Piedāvājums
Offer Applied,Piedāvājums ir piemērots
Offer criteria exceeded,Piedāvājuma kritēriji ir pārsniegti
Offer Item,Piedāvājuma vienība
Offer item unavailable,Piedāvājuma prece nav pieejama
Offer Removed,Piedāvājums noņemts
Offer UOM cannot be changed,Piedāvājuma UOM nevar mainīt
Offer?,Piedāvāt?
Offers,Piedāvājumi
Offline,Bezsaistē
Offline & Sync,Bezsaistē un sinhronizēšana
Offline Capabilities,Bezsaistes iespējas
Offline data status refreshed,Bezsaistes datu statuss ir atsvaidzināts
Offline diagnostics,Bezsaistes diagnostika
Offline Invoices,Bezsaistes rēķini
Offline invoices status,Bezsaistes rēķinu statuss
Offline invoices synced,Bezsaistes rēķini ir sinhronizēti
Offline Queue: {0},Bezsaistes rinda: {0}
Offline rebuild guidance,Bezsaistes pārbūves norādījumi
Offline restore is unavailable for this session.,Atjaunošana bezsaistē šai sesijai nav pieejama.
Offline selling is available with degraded capabilities.,Pārdošana bezsaistē ir pieejama ar samazinātām iespējām.
Offline snapshot does not match the current POS state.,Bezsaistes momentuzņēmums neatbilst pašreizējam POS stāvoklim.
Offline Status,Bezsaistes statuss
"Offline, terminal, and system controls","Bezsaistes, termināļa un sistēmas vadīklas"
OK,Labi
Online,Tiešsaistē
Open actions menu,Atveriet darbību izvēlni
Open balance to collect,"Atvērt atlikumu, lai savāktu"
Open Customer Display,Atveriet klientu displeju
Open drawer,Atveriet atvilktni
Open invoices,Atvērtie rēķini
Open Payments?,Vai atvērt maksājumus?
Open POS home,Atveriet POS sākumlapu
Open this screen from POS Menu -> Open Customer Display.,Atveriet šo ekrānu no POS Menu -> Open Customer Display.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV attēlu apstrāde ir iespējota — uzlabota svītrkoda noteikšana
OpenCV image processing unavailable on this device,OpenCV attēlu apstrāde šajā ierīcē nav pieejama
OpenCV Off,OpenCV izslēgts
OpenCV On,OpenCV ieslēgts
OpenCV processing disabled,OpenCV apstrāde ir atspējota
Opening Amount,Atvēršanas summa
Opening Cash,Kases atvēršana
options,iespējas
Order,Pasūtiet
Original,Oriģināls
Other,Cits
Out,Ārā
Out of Stock,Nav noliktavā
Out of Stock Items,Preces nav noliktavā
Outstanding,Izcili
Outstanding Credit by Currency,Nenomaksāts kredīts pēc valūtas
Overdue,Nokavēts
Overpayment Change,Pārmaksas maiņa
Overpayment change deducted: {0},Atskaitītas pārmaksas izmaiņas: {0}
Packing List,Iepakojuma saraksts
Page Format,Lapas formāts
Page unavailable offline,Lapa nav pieejama bezsaistē
Paid,Apmaksāts
Paid (orig):,Apmaksāts (oriģināls):
Paid Amount,Samaksātā summa
Paid change cannot be greater than total change!,Apmaksātās izmaiņas nevar būt lielākas par kopējām izmaiņām!
Paid:,Apmaksāts:
Parent Item,Mātes vienums
Partial,Daļēja
Partly Paid,Daļēji apmaksāts
Party Account,Partijas konts
Party Type,Ballītes veids
Pause terminal until next cashier,Pauzējiet termināli līdz nākamajam kasierim
PAY,MAKSĀT
Payment,Maksājums
Payment Account,Maksājumu konts
Payment entries processed for Invoice {0},Maksājumu ieraksti apstrādāti rēķinam {0}
Payment Entry Type,Maksājuma ieraksta veids
Payment History,Maksājumu vēsture
Payment ID,Maksājuma ID
Payment Method Report,Maksājuma metodes pārskats
Payment Methods,Maksājumu veidi
Payment of {0} received successfully.,Maksājums {0} ir veiksmīgi saņemts.
Payment Progress,Maksājuma norise
Payment Reconciliation,Maksājumu saskaņošana
Payment request status could not be retrieved. Please try again,"Maksājuma pieprasījuma statusu nevarēja izgūt. Lūdzu, mēģiniet vēlreiz"
Payment Request took too long to respond. Please try requesting for payment again,"Atbildēšana uz maksājuma pieprasījumu aizņēma pārāk ilgu laiku. Lūdzu, mēģiniet vēlreiz pieprasīt maksājumu"
Payment saved offline,Maksājums saglabāts bezsaistē
Payment State,Maksājuma valsts
Payment Status,Maksājuma statuss
Payment submitted but print function could not be executed. Payment name not found.,"Maksājums ir iesniegts, bet drukāšanas funkciju nevarēja izpildīt. Maksājuma nosaukums nav atrasts."
Payment submitted.,Maksājums iesniegts.
Payment Summary,Maksājumu kopsavilkums
Payments,Maksājumi
Payments are not open. Do you want to open payments and submit?,Maksājumi nav atvērti. Vai vēlaties atvērt un iesniegt maksājumus?
Payments by Mode of Payment,Maksājumi pēc maksājuma veida
PDF,PDF
Peak Hour,Pīķa stunda
Peak Memory:,Maksimālā atmiņa:
Peak Server:,Maksimālais serveris:
Peak:,Virsotne:
Pending,Gaida
Pending Amount,Neapstiprinātā summa
Pending count updated from {0} to {1},Gaidīšanas skaits atjaunināts no {0} uz {1}
Pending Exposure,Gaida ekspozīciju
Pending Invoices,Neapstiprinātie rēķini
Pending Ratio,Gaidīšanas attiecība
Pending Sales,Gaidāmās pārdošanas
Pending sales: {0} | Cache usage: {1}%,Gaidāmās pārdošanas: {0} | Kešatmiņas lietojums: {1}%
Pending Sync,Gaida sinhronizāciju
Pending: {0},Gaida: {0}
Pending: {0} | Synced: {1} | Draft: {2},Gaida: {0} | Sinhronizēts: {1} | Melnraksts: {2}
Per Page,Lapā
Personal,Personīga
Personal preferences adjust the current cashier experience without changing the active POS route.,"Personiskās preferences pielāgo pašreizējo kases pieredzi, nemainot aktīvo POS maršrutu."
PIN confirmation does not match.,PIN apstiprinājums neatbilst.
PIN must be 4 to 8 digits.,PIN kodā ir jābūt 4–8 cipariem.
Please add at least one item.,"Lūdzu, pievienojiet vismaz vienu vienumu."
Please allow camera access to scan codes,"Lūdzu, atļaujiet kamerai piekļuvi, lai skenētu kodus"
Please enter payment amount,"Lūdzu, ievadiet maksājuma summu"
Please fill all required fields,"Lūdzu, aizpildiet visus nepieciešamos laukus"
Please make a payment or select a payment,"Lūdzu, veiciet maksājumu vai atlasiet maksājumu"
Please request phone payment or use another payment method,"Lūdzu, pieprasiet maksājumu pa tālruni vai izmantojiet citu maksājuma veidu"
Please select a customer first,"Lūdzu, vispirms atlasiet klientu"
Please select a party,"Lūdzu, atlasiet ballīti"
Please select a party before reconciling.,"Pirms saskaņošanas, lūdzu, izvēlieties pusi."
Please select a valid movement type.,"Lūdzu, atlasiet derīgu kustības veidu."
Please select an invoice,"Lūdzu, atlasiet rēķinu"
Please select company before reconciling.,"Pirms saskaņošanas, lūdzu, atlasiet uzņēmumu."
Please set the customer's mobile number,"Lūdzu, iestatiet klienta mobilā tālruņa numuru"
Please try again or enter the item manually.,"Lūdzu, mēģiniet vēlreiz vai ievadiet vienumu manuāli."
Please verify the barcode or check the item's availability.,"Lūdzu, pārbaudiet svītrkodu vai preces pieejamību."
Points,Punkti
Popup blocked. Please allow popups.,"Uznirstošais logs ir bloķēts. Lūdzu, atļaujiet uznirstošos logus."
POS,POS
POS controls and maintenance,POS kontrole un apkope
POS Expense is disabled for this POS Profile.,POS izdevumi šim POS profilam ir atspējoti.
POS is running with limited offline prerequisites.,POS darbojas ar ierobežotiem bezsaistes priekšnosacījumiem.
POS Profile,POS profils
Position the QR code or barcode within the scanning area,Novietojiet QR kodu vai svītrkodu skenēšanas zonā
Posting,Publicēšana
Posting and Price List,Izsūtīšana un cenrādis
Posting Date,Publicēšanas datums
Preparing background sync,Notiek fona sinhronizācijas sagatavošana
"Press OK to continue offline with a warning, or Cancel to retry.","Nospiediet OK, lai turpinātu bezsaistē ar brīdinājumu, vai Atcelt, lai mēģinātu vēlreiz."
Previous unit of measure,Iepriekšējā mērvienība
Price List,Cenu saraksts
Price List Rate,Cenrādis likme
Price list rate updated locally only,Cenrādis tiek atjaunināts tikai lokāli
Pricing & Discounts,Cenas un atlaides
Pricing Rule,Cenu noteikšanas noteikums
Print,Drukāt
Print Draft,Drukāt melnrakstu
Print Format (Invoice),Drukas formāts (rēķins)
Print Format (Order),Drukas formāts (pasūtījums)
Print invoice,Drukāt rēķinu
Print Purchase Invoice instead of PO,"Drukāt pirkuma rēķinu, nevis PO"
Printer,Printeris
Processed returns impacting the shift totals,"Apstrādātas atgriešanas, kas ietekmē maiņu kopsummas"
Processing Payment,Maksājuma apstrāde
Processing payment entries for Invoice {0},Notiek maksājuma ierakstu apstrāde rēķinam {0}
Profile,Profils
Profiles,Profili
Profit,Peļņa
Profit: Invoice Item Estimate,Peļņa: rēķina preces tāme
Profit: Stock Ledger (COGS),Peļņa: akciju virsgrāmata (COGS)
Profitability Report,Rentabilitātes ziņojums
Prorated return discount,Proporcionāla atgriešanas atlaide
Purchase Amount,Pirkuma summa
Purchase Invoices,Pirkuma rēķini
Purchase Order created,Pirkšanas pasūtījums izveidots
Qty,Daudzums
Qualified,Kvalificēts
Quantity,Daudzums
Quantity exceeds available stock,Daudzums pārsniedz pieejamos krājumus
Quick Actions,Ātrās darbības
Quotation {0} is Submitted,Piedāvājums {0} ir iesniegts
Quotation submitted,Citāts iesniegts
QZ Tray connected.,QZ paplāte ir pievienota.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ paplāte ir manuāli atvienota. Nospiediet Savienot, lai to vēlreiz iespējotu."
QZ Tray is not connected.,QZ Tray nav pievienots.
QZ Tray Setup,QZ paplātes iestatīšana
Rate,Likme
Rate adjusted to maximum allowed discount,Likme pielāgota maksimāli pieļaujamajai atlaidei
Ready,Gatavs
Ready to resume,Gatavs atsākt
Ready!,Gatavs!
Real-time POS insights for retail operations.,Reāllaika POS ieskati mazumtirdzniecības operācijām.
Rebuild Offline Data,Atjaunot bezsaistes datus
Receive,Saņemt
Receive now,Saņemiet tūlīt
Received,Saņemts
Received:,Saņemts:
Recent Movement Entries,Jaunākie kustību ieraksti
Recent updates about your invoices,Jaunākie atjauninājumi par jūsu rēķiniem
Recently Active Customers,Nesen aktīvi klienti
Rechecking connection,Atkārtoti pārbauda savienojumu
Reconcile payment methods and close shift,Saskaņojiet maksājumu metodes un aizveriet maiņu
Reconciling Payments,Maksājumu saskaņošana
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Atkārtoti izveidojiet savienojumu un atveriet šo lapu vienreiz, kad esat tiešsaistē, pēc tam bezsaistes atsvaidzināšana varēs to atjaunot."
Reconnect online to refresh cached offline data from the server.,"Atkārtoti izveidojiet savienojumu tiešsaistē, lai atsvaidzinātu kešatmiņā saglabātos bezsaistes datus no servera."
Recreate local offline prerequisites from scratch,No jauna izveidojiet vietējos bezsaistes priekšnoteikumus
Recv:,Rev.:
Redeem,Izpirkt
Redeem / Scan,Izpirkt/skenēt
Redeem Amount,Izpirkuma summa
Redeem Mode,Izpirkšanas režīms
Redeemed Amount,Izpirktā summa
Redeemed credit cannot be greater than its total.,Izpirktais kredīts nevar būt lielāks par tā kopējo summu.
Redemption and Totals,Izpirkšana un kopsummas
Reference,Atsauce
Refresh,Atsvaidzināt
Refresh Exchange Rate,Valūtas kursa atsvaidzināšana
Refresh Offline Data,Atsvaidziniet bezsaistes datus
Refresh Printers,Atsvaidziniet printerus
Refund,Atmaksa
Release Notes,Izlaiduma piezīmes
Reload,Pārlādēt
Reload customers,Pārlādējiet klientus
Reload Items,Pārlādēt vienumus
Reload Now,Pārlādēt tūlīt
Reload to apply the latest changes. Your current session will be refreshed.,"Atkārtoti ielādējiet, lai lietotu jaunākās izmaiņas. Jūsu pašreizējā sesija tiks atsvaidzināta."
Reload Workflow,Pārlādēt darbplūsmu
Remarks,Piezīmes
Remarks are required.,Nepieciešamas piezīmes.
Remove,Noņemt
Remove barcode item,Noņemiet svītrkoda vienumu
Remove cached data and reload the POS app,Noņemiet kešatmiņā saglabātos datus un atkārtoti ielādējiet POS lietotni
Remove item,Noņemt vienumu
Remove Offer,Noņemt piedāvājumu
Reorder / Purchase Suggestions,Pārkārtošanas / pirkuma ieteikumi
Repair Candidate,Remonta kandidāts
Repair Change Allocation,Remonta maiņas piešķiršana
Repair requires an online connection,"Lai veiktu remontu, ir nepieciešams tiešsaistes savienojums"
Repaired,Remontēts
Repairing change allocation,Izmaiņu piešķiršanas labošana
Repeat Customers,Atkārtoti klienti
Repeat Rate,Atkārtošanas ātrums
Request,Pieprasīt
Request ID: {0},Pieprasījuma ID: {0}
Request Payment,Pieprasīt maksājumu
Requested route: {0},Pieprasītais maršruts: {0}
Required columns cannot be hidden,Nepieciešamās kolonnas nevar paslēpt
Reset,Atiestatīt
Reset item name,Atiestatīt vienuma nosaukumu
Reset to Default,Atiestatīt uz noklusējuma vērtību
Resource Health,Resursu veselība
Restricted,Ierobežots
Restricted operational controls for supervisors only.,Ierobežotas darbības kontroles tikai uzraugiem.
Retry,Mēģiniet vēlreiz
Retry route,Mēģiniet vēlreiz maršrutu
Return,Atgriezties
Return Amount,Atgriešanas summa
Return Count,Atgriešanās skaits
Return items must have negative quantities,Atgriežamajām precēm jābūt negatīviem daudzumiem
Return total must be negative,Kopējai atdevei jābūt negatīvai
Return Valid Until,Atgriešana derīga līdz
Return window passed,Atgriešanas logs pagājis
Return without Invoice,Atgriešana bez rēķina
Returns,Atgriežas
Returns / Voids / Discounts,Atgriešana / Tukšumi / Atlaides
Returns by Currency,Atgriešana pēc valūtas
Revenue,Ieņēmumi
Review shift totals before submitting the closing entry,Pirms noslēguma ieraksta iesniegšanas pārskatiet maiņu kopsummas
Round Off,Noapaļot
Rows,Rindas
Rows:,Rindas:
Rule,Noteikums
Sale,Izpārdošana
Sales,Pārdošana
Sales Order {0} is Submitted,Pārdošanas pasūtījums {0} ir iesniegts
Sales Person and Print,Pārdevēja persona un druka
Sales Person not found,Pārdevēja persona nav atrasta
Sales processed,Pārdošana apstrādāta
Sales Return,Pārdošanas atgriešana
Sales Trend Report,Pārdošanas tendenču pārskats
Save,Saglabāt
Save & Clear,Saglabāt un notīrīt
Save as POS Profile Default,Saglabāt kā POS profila noklusējumu
Save Settings,Saglabāt iestatījumus
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Saglabājiet atlasīto printeri kā noklusēto POS profilu, lai tas tiktu parādīts automātiski šajā iestatījumā."
Saved as draft because: {0},"Saglabāts kā melnraksts, jo: {0}"
Saving...,Notiek saglabāšana...
Scale barcode detected. Quantity here is the number of labels to print.,Atklāts mēroga svītrkods. Daudzums šeit ir drukājamo uzlīmju skaits.
Scale barcode settings are not configured. Using item barcode only.,Mēroga svītrkoda iestatījumi nav konfigurēti. Izmantojot tikai preces svītrkodu.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Šim vienumam/UOM trūkst mēroga veidnes svītrkoda. Izmantojot tikai preces svītrkodu.
Scan an existing card and top it up without leaving the payment flow.,"Skenējiet esošu karti un papildiniet to, neizejot no maksājumu plūsmas."
Scan Error,Skenēšanas kļūda
Scan or enter a gift card code to check balance or redeem.,"Skenējiet vai ievadiet dāvanu kartes kodu, lai pārbaudītu atlikumu vai izpirktu."
Scan or paste the card code below.,Skenējiet vai ielīmējiet tālāk norādīto kartes kodu.
Scan QR Code/Barcode,Skenējiet QR kodu / svītrkodu
Scan with camera,Skenēt ar kameru
Scan-First Flow,Scan-First Flow
Scanned Code:,Skenēts kods:
Scanning for: {0},Tiek meklēts: {0}
Scanning items,Vienumu skenēšana
Scan-Ready,Gatavs skenēšanai
Scope,Darbības joma
Scope: All Profiles,Darbības joma: visi profili
Scope: Current Profile,Darbības joma: pašreizējais profils
Scope: Specific Profile,Darbības joma: īpašs profils
Search,Meklēt
Search Account,Meklēt kontu
