POS Awesome,POS æðislegt
Items added in POS will appear here automatically.,Hlutir sem bætt er við í POS birtast hér sjálfkrafa.
Items added to invoice,Hlutum bætt við reikning
Items per page,Atriði á síðu
Items Sold,Hlutir seldir
Items/Invoice,Hlutir/Reikningur
Item-wise Profitability,Arðsemi hlutar
Journal Entry,Dagbókarfærsla
json,json
Just now,Bara núna
Keep offline prerequisites healthy and recover stale data safely.,Haltu forsendum án nettengingar heilbrigðum og endurheimtu gömul gögn á öruggan hátt.
Labels,Merki
"Language, theme, terminal tools, and session controls.","Tungumál, þema, flugstöðvarverkfæri og lotustýringar."
Last,Síðast
Last 14 Days (Paid vs Pending),Síðustu 14 dagar (greitt vs bið)
Last 14 Days Activity,Síðustu 14 daga starfsemi
Last 14 Days Gross Profit,Framlegð síðustu 14 daga
Last 14 Days Purchases,Síðustu 14 daga kaup
Last 14 Days Tax/Charges,Skattur/gjöld síðustu 14 daga
Last sync:,Síðasta samstilling:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Síðasta samstilling: {0} | allt í lagi: {1} | mistókst: {2} | sleppt: {3}
Latest entries for current shift,Nýjustu færslur fyrir núverandi vakt
Lead Time,Leiðslutími
Limited,Takmarkað
lines,línur
List,Listi
Live Snapshot,Skyndimynd í beinni
Load a POS profile and cashier first.,Hladdu POS prófíl og gjaldkera fyrst.
Load More Invoices,Hlaða fleiri reikningum
Load previously saved invoices,Hlaða áður vistuðum reikningum
Load Sale,Hlaða Sala
Load Sales Invoice,Hlaða sölureikning
Loading app data...,Hleður forritsgögnum...
Loading customer database...,Hleður viðskiptavinagagnagrunni...
Loading customers...,Hleður viðskiptavinum...
Loading database stats...,Hleður gagnagrunnstölfræði...
Loading details...,Hleður upplýsingum...
Loading invoice history...,Hleður reikningsferil...
Loading items...,Hleður hlutum...
Loading product catalog...,Hleður vörulista...
Loading return invoices...,Hleður skilareikningum...
Loading server CPU/memory usage...,Hleður CPU/minni notkun miðlara...
Loading suppliers...,Hleður birgja...
Loading unpaid invoices...,Hleður ógreiddum reikningum...
Loading view...,Hleður útsýni...
Loading...,Hleður...
Local storage is unavailable. Switching to online-only mode.,Staðbundin geymsla er ekki tiltæk. Skiptir yfir í netstillingu eingöngu.
localStorage,staðbundin Geymsla
Location Performance,Staðsetning árangur
Locations,Staðsetningar
Lock Screen,Læsa skjá
Lookup Workflow,Verkflæði leit
Loss,Tap
Low,Lágt
Low Stock,Lágt lager
Low Stock Alerts,Viðvaranir um lágar birgðir
Low Stock Items,Lítið lager
Low Stock Threshold,Lágur hlutabréfaþröskuldur
Low Stock Total,Lágt lager samtals
Lowest Margin,Lægsta framlegð
Low-frequency maintenance and system details.,Lágtíðni viðhald og kerfisupplýsingar.
Loyalty Redeemed,Hollusta innleyst
Loyalty Redemption,Hollusta innlausn
Make New Payment,Gerðu nýja greiðslu
Manage all,Stjórna öllum
Manage and synchronize your offline transactions,Stjórnaðu og samstilltu viðskipti þín án nettengingar
Manage Cashier PIN,Stjórna PIN gjaldkera
"Manage offline tools, terminal controls, and maintenance from one workspace.","Hafa umsjón með verkfærum án nettengingar, flugstöðvarstýringum og viðhaldi frá einu vinnusvæði."
manual,handbók
"Manual codes, barcode scans, and QR scans work in the same field","Handvirkir kóðar, strikamerkjaskannanir og QR skannar virka á sama sviði"
Manual offline mode is enabled,Handvirk ótengd stilling er virkjuð
Margin,Framlegð
Maximum available quantity is {0}. Quantity adjusted to match stock.,Hámarksmagn tiltækt er {0}. Magn stillt til að passa við lager.
Maximum discount amount for this offer item is {0}.,Hámarksafsláttarupphæð fyrir þessa tilboðsvöru er {0}.
Maximum discount percentage for this offer item is {0}%.,Hámarks afsláttarprósenta fyrir þessa tilboðsvöru er {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Hámarkstilboðsmagn er {0}. Magn leiðrétt að leyfilegum mörkum.
Medium,Miðlungs
Method-wise Collections,Aðferðarlega séð Söfn
Minimum allowed rate for this offer item is {0}.,Leyfilegt lágmarksgjald fyrir þessa tilboðsvöru er {0}.
Minimum Qty,Lágmarksmagn
Mobile No,Farsíma nr
Mode,Mode
Mode of Payment,Greiðslumáti
Month,Mánuður
Month ?,Mánuður?
Monthly Profit,Mánaðarlegur hagnaður
Monthly Sales,Mánaðarleg sala
Monthly Sales Summary,Mánaðarlegt söluyfirlit
Month-wise,Mánaðarlega séð
Most Active Cashiers,Virkustu gjaldkerar
Movement Type,Tegund hreyfingar
Movements,Hreyfingar
Multi Currency,Margur gjaldmiðill
N/A,N/A
Name,Nafn
Negative Stock,Neikvætt hlutabréf
Negative Stock Items,Neikvæðar hlutabréfavörur
Negative values not allowed,Neikvæð gildi ekki leyfð
Net,Nettó
Net Qty,Nettó Magn
Net Sales,Nettó sala
Net Value,Nettóvirði
Never,Aldrei
New changes are ready to load,Nýjar breytingar eru tilbúnar til að hlaðast inn
New Item,Nýr hlutur
New Offer Available,Nýtt tilboð í boði
New PIN,Nýtt PIN
New rate,Nýtt gengi
Next unit of measure,Næsta mælieining
No attribute data found.,Engin eigindagögn fundust.
No Barcode,Ekkert strikamerki
No barcode found for UOM '{0}',Ekkert strikamerki fannst fyrir UOM '{0}'
No branch/location data found.,Engin útibús-/staðsetningargögn fundust.
No brand data found.,Engin vörumerkisgögn fundust.
No cached gift card balance is available offline.,Engin inneign gjafakorta í skyndiminni er tiltæk án nettengingar.
No camera found on this device. Please ensure your device has a working camera.,Engin myndavél fannst á þessu tæki. Gakktu úr skugga um að tækið þitt sé með virka myndavél.
No capability warnings recorded yet.,Engar getuviðvaranir skráðar ennþá.
No cash expected for this shift.,Ekki er búist við reiðufé fyrir þessa vakt.
No cash mode configured,Engin reiðufjárstilling stillt
No cash movement type is allowed for this POS Profile.,Engin tegund reiðufjárhreyfinga er leyfð fyrir þennan POS prófíl.
No cashier PIN is set yet. Create one now.,Ekkert PIN-númer gjaldkera er enn stillt. Búðu til einn núna.
No cashier profiles are available for this POS profile yet.,Engir gjaldkeraprófílar eru enn tiltækir fyrir þennan POS prófíl.
No cashier-wise discount/void/return activity.,Enginn gjaldkeraafsláttur/ógildur/skilastarfsemi.
No category data found.,Engin flokkagögn fundust.
No category profitability data found.,Engin arðsemisgögn fyrir flokk fundust.
No change returned recorded for this shift.,Engin breyting skilaði skráð fyrir þessa vakt.
No change-allocation invoices match the current filters.,Engir úthlutunarreikningar passa við núverandi síur.
No charge head breakdown found.,Engin sundurliðun á hleðsluhaus fannst.
No Company Selected,Ekkert fyrirtæki valið
No customer sales data found.,Engin sölugögn viðskiptavina fundust.
No day-wise discount/void/return trend.,Enginn daglegur afsláttur/ógildur/ávöxtunarþróun.
No day-wise payment data found.,Engin dagleg greiðslugögn fundust.
No day-wise profitability trend found.,Engin arðsemisþróun dagsins fannst.
No day-wise purchase data found.,Engin dagleg kaupgögn fundust.
No day-wise sales trend found.,Engin dagleg söluþróun fannst.
No day-wise tax/charges trend found.,Engin þróun skatta/gjalda daglega fannst.
No dead stock items.,Engir dauðir lagervörur.
No due date,Enginn gjalddagi
No exact repair match found for this invoice,Engin nákvæm viðgerðarsamsvörun fannst fyrir þennan reikning
No hourly sales trend found for today.,Engin tímabundin söluþróun fannst í dag.
No invoice activity found.,Engin reikningsvirkni fannst.
No invoices found,Engir reikningar fundust
No invoices found. Try different search criteria.,Engir reikningar fundust. Prófaðu mismunandi leitarskilyrði.
No invoices recorded for this shift.,Engir reikningar skráðir fyrir þessa vakt.
No item profitability data found.,Engin arðsemisgögn vöru fundust.
No item sales data found for this period.,Engin vörusölugögn fundust fyrir þetta tímabil.
No items found,Engir hlutir fundust
No items in cart,Engir hlutir í körfu
No items with barcodes to print,Engir hlutir með strikamerki til að prenta
No location-wise top item data found.,Engin gögn um efstu atriði fundust.
No low stock alerts right now.,Engar tilkynningar um lága birgðir eins og er.
No low stock items.,Engar vörur á lager.
No matching items in cart,Engir samsvarandi hlutir í körfu
No month-wise sales trend found.,Engin mánaðarleg söluþróun fannst.
No negative stock items.,Engir neikvæðir lagervörur.
No notifications yet,Engar tilkynningar ennþá
No offline cash movement synced.,Engin ónettengd peningahreyfing samstillt.
No offline invoices pending synchronization,Engir ónettengdir reikningar bíða samstillingar
No offline sync issues recorded yet.,Engin ónettengd samstillingarvandamál skráð ennþá.
No out-of-stock items.,Engar uppseldar vörur.
No outstanding credit invoices for this shift.,Engir útistandandi kreditreikningar fyrir þessa vakt.
No payment collection data found.,Engin greiðslusöfnunargögn fundust.
No payment rows available on this invoice.,Engar greiðslulínur tiltækar á þessum reikningi.
No payments registered for this shift.,Engar greiðslur skráðar fyrir þessa vakt.
No pending balances in this period.,Engar biðstöður á þessu tímabili.
No pending offline invoices,Engir ótengdir reikningar í bið
No Print Formats Found,Ekkert prentsnið fannst
No profiles found for selected scope. Falling back to current profile failed.,Engir snið fundust fyrir valið umfang. Mistókst að falla aftur í núverandi prófíl.
No recent customer activity found.,Engin nýleg virkni viðskiptavina fannst.
No recent stock entries found.,Engar nýlegar hlutabréfafærslur fundust.
No records found,Engar skrár fundust
No reorder suggestions right now.,Engar endurröðunartillögur eins og er.
No repeat customers in this period.,Engir endurteknir viðskiptavinir á þessu tímabili.
No response from server,Ekkert svar frá þjóni
No return invoices found,Engir skilareikningar fundust
No return item trend found.,Engin þróun vöruskila fannst.
No returnable items found for this invoice,Engar skilavörur fundust fyrir þennan reikning
No returns were processed in this shift.,Engin skil voru afgreidd á þessari vakt.
No risk activity found.,Engin áhættuvirkni fannst.
No sales activity found for this period.,Engin söluvirkni fannst fyrir þetta tímabil.
No slow moving items.,Engir hlutir sem ganga hægt.
No staff sales activity found.,Engin söluvirkni starfsmanna fannst.
No stock movement for this period.,Engin hlutabréfahreyfing á þessu tímabili.
No submitted cash movements in this shift.,Engar innsendar peningahreyfingar á þessari vakt.
No supplier purchases found in this month.,Engin birgjakaup fundust í þessum mánuði.
No suppliers found for this period.,Engir birgjar fundust fyrir þetta tímabil.
No sync trigger has run yet in this session.,Engin samstillingarkveikja hefur keyrt enn í þessari lotu.
No tax head breakdown found.,Engin skatthlutfall fannst.
No top items found for this location.,Engir toppvörur fundust fyrir þessa staðsetningu.
No unpaid invoices,Engir ógreiddir reikningar
No variant data found.,Engin afbrigðisgögn fundust.
No week-wise sales trend found.,Engin vikuleg söluþróun fannst.
No.,Nei.
Nobile Number,Nobil númer
Not available,Ekki í boði
Not checked,Ekki athugað
Not selected,Ekki valið
Not Set,Ekki stillt
Notifications,Tilkynningar
Offer,Tilboð
Offer Applied,Tilboð sótt
Offer criteria exceeded,Farið var yfir tilboðsskilyrði
Offer Item,Tilboðsvara
Offer item unavailable,Tilboðsvara ekki tiltæk
Offer Removed,Tilboð fjarlægt
Offer UOM cannot be changed,Ekki er hægt að breyta tilboði UOM
Offer?,Tilboð?
Offers,Tilboð
Offline,Ótengdur
Offline & Sync,Ótengdur og samstilltur
Offline Capabilities,Ótengdur möguleikar
Offline data status refreshed,Gagnastaða án nettengingar endurnýjuð
Offline diagnostics,Ótengd greining
Offline Invoices,Ótengdir reikningar
Offline invoices status,Staða reikninga án nettengingar
Offline invoices synced,Ónettengdir reikningar samstilltir
Offline Queue: {0},Ótengdur biðröð: {0}
Offline rebuild guidance,Leiðbeiningar um endurbyggingu án nettengingar
Offline restore is unavailable for this session.,Endurheimt án nettengingar er ekki tiltæk fyrir þessa lotu.
Offline selling is available with degraded capabilities.,Sala án nettengingar er fáanleg með skertri getu.
Offline snapshot does not match the current POS state.,Skyndimynd án nettengingar passar ekki við núverandi stöðu POS.
Offline Status,Ótengdur staða
"Offline, terminal, and system controls","Ótengdur, flugstöðvar- og kerfisstýringar"
OK,Allt í lagi
Online,Á netinu
Open actions menu,Opnaðu aðgerðarvalmynd
Open balance to collect,Opið jafnvægi til að safna
Open Customer Display,Opnaðu viðskiptavinaskjá
Open drawer,Opna skúffu
Open invoices,Opnir reikningar
Open Payments?,Opna greiðslur?
Open POS home,Opið POS heimili
Open this screen from POS Menu -> Open Customer Display.,Opnaðu þennan skjá frá POS valmynd -> Opnaðu viðskiptavinaskjá.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV myndvinnsla virkjuð - Aukin strikamerkjagreining
OpenCV image processing unavailable on this device,OpenCV myndvinnsla er ekki tiltæk á þessu tæki
OpenCV Off,OpenCV slökkt
OpenCV On,OpenCV Kveikt
OpenCV processing disabled,OpenCV vinnsla óvirk
Opening Amount,Opnunarupphæð
Opening Cash,Opnun reiðufé
options,valkosti
Order,Panta
Original,Upprunalegt
Other,Annað
Out,Út
Out of Stock,Uppselt
Out of Stock Items,Uppseldir vörur
Outstanding,Framúrskarandi
Outstanding Credit by Currency,Útistandandi inneign eftir gjaldmiðli
Overdue,Tímabært
Overpayment Change,Ofgreiðslubreyting
Overpayment change deducted: {0},Ofgreiðslubreyting dregnar frá: {0}
Packing List,Pökkunarlisti
Page Format,Blaðsíðusnið
Page unavailable offline,Síða ekki tiltæk án nettengingar
Paid,Greitt
Paid (orig):,Greitt (upprunalega):
Paid Amount,Greidd upphæð
Paid change cannot be greater than total change!,Greidd breyting getur ekki verið meiri en heildarbreyting!
Paid:,Greitt:
Parent Item,Foreldri hlutur
Partial,Hluti
Partly Paid,Greitt að hluta
Party Account,Reikningur aðila
Party Type,Tegund veislu
Pause terminal until next cashier,Gerðu hlé á útstöðinni þar til næsti gjaldkeri
PAY,BORGA
Payment,Greiðsla
Payment Account,Greiðslureikningur
Payment entries processed for Invoice {0},Greiðslufærslur unnar fyrir reikning {0}
Payment Entry Type,Tegund greiðslufærslu
Payment History,Greiðslusaga
Payment ID,Greiðsluauðkenni
Payment Method Report,Greiðslumátaskýrsla
Payment Methods,Greiðslumáti
Payment of {0} received successfully.,Greiðsla upp á {0} móttekin.
Payment Progress,Framfarir í greiðslum
Payment Reconciliation,Greiðsluafstemming
Payment request status could not be retrieved. Please try again,Ekki var hægt að sækja stöðu greiðslubeiðni. Vinsamlegast reyndu aftur
Payment Request took too long to respond. Please try requesting for payment again,Greiðslubeiðni tók of langan tíma að svara. Vinsamlegast reyndu að biðja um greiðslu aftur
Payment saved offline,Greiðsla vistuð án nettengingar
Payment State,Greiðsluríki
Payment Status,Greiðslustaða
Payment submitted but print function could not be executed. Payment name not found.,Greiðsla lögð fram en ekki var hægt að framkvæma prentaðgerð. Greiðsluheiti fannst ekki.
Payment submitted.,Greiðsla lögð fram.
Payment Summary,Greiðsluyfirlit
Payments,Greiðslur
Payments are not open. Do you want to open payments and submit?,Greiðslur eru ekki opnar. Viltu opna greiðslur og leggja fram?
Payments by Mode of Payment,Greiðslur eftir greiðslumáta
PDF,PDF
Peak Hour,Hámarksstund
Peak Memory:,Hámarksminni:
Peak Server:,Hámarksþjónn:
Peak:,Hámark:
Pending,Í bið
Pending Amount,Upphæð í bið
Pending count updated from {0} to {1},Talning í bið uppfærð úr {0} í {1}
Pending Exposure,Bíður útsetning
Pending Invoices,Reikningar í bið
Pending Ratio,Biðhlutfall
Pending Sales,Sala í bið
Pending sales: {0} | Cache usage: {1}%,Sala í bið: {0} | Skyndiminninotkun: {1}%
Pending Sync,Bíður samstillingar
Pending: {0},Í bið: {0}
Pending: {0} | Synced: {1} | Draft: {2},Í bið: {0} | Samstillt: {1} | Drög: {2}
Per Page,Á síðu
Personal,Persónulegt
Personal preferences adjust the current cashier experience without changing the active POS route.,Persónulegar óskir breyta núverandi upplifun gjaldkera án þess að breyta virku POS-leiðinni.
PIN confirmation does not match.,PIN-staðfesting passar ekki.
PIN must be 4 to 8 digits.,PIN-númer verður að vera 4 til 8 tölustafir.
Please add at least one item.,Vinsamlegast bættu við að minnsta kosti einu atriði.
Please allow camera access to scan codes,Vinsamlegast leyfðu myndavélaraðgangi til að skanna kóða
Please enter payment amount,Vinsamlega sláðu inn greiðsluupphæð
Please fill all required fields,Vinsamlegast fylltu út alla nauðsynlega reiti
Please make a payment or select a payment,Vinsamlegast greiddu eða veldu greiðslu
Please request phone payment or use another payment method,Vinsamlegast biðjið um símagreiðslu eða notaðu annan greiðslumáta
Please select a customer first,Vinsamlegast veldu viðskiptavin fyrst
Please select a party,Vinsamlegast veldu aðila
Please select a party before reconciling.,Vinsamlega veldu aðila áður en þú gerir afstemmingu.
Please select a valid movement type.,Vinsamlegast veldu gilda hreyfingartegund.
Please select an invoice,Vinsamlegast veldu reikning
Please select company before reconciling.,Vinsamlegast veldu fyrirtæki áður en þú gerir afstemmingu.
Please set the customer's mobile number,Vinsamlegast stilltu farsímanúmer viðskiptavinarins
Please try again or enter the item manually.,Vinsamlegast reyndu aftur eða sláðu inn hlutinn handvirkt.
Please verify the barcode or check the item's availability.,Vinsamlegast staðfestu strikamerkið eða athugaðu hvort hluturinn sé tiltækur.
Points,Stig
Popup blocked. Please allow popups.,Lokað á sprettiglugga. Vinsamlegast leyfðu sprettiglugga.
POS,POS
POS controls and maintenance,POS stýringar og viðhald
POS Expense is disabled for this POS Profile.,POS kostnaður er óvirkur fyrir þennan POS prófíl.
POS is running with limited offline prerequisites.,POS er í gangi með takmarkaðar forsendur án nettengingar.
POS Profile,POS prófíll
Position the QR code or barcode within the scanning area,Settu QR kóða eða strikamerki innan skönnunarsvæðisins
Posting,Birting
Posting and Price List,Birting og verðskrá
Posting Date,Birtingardagur
Preparing background sync,Undirbýr samstillingu í bakgrunni
"Press OK to continue offline with a warning, or Cancel to retry.","Ýttu á OK til að halda áfram án nettengingar með viðvörun, eða Hætta við til að reyna aftur."
Previous unit of measure,Fyrri mælieining
Price List,Verðskrá
Price List Rate,Verðskrá Verð
Price list rate updated locally only,Verðlistaverð uppfært eingöngu á staðnum
Pricing & Discounts,Verð og afslættir
Pricing Rule,Verðlagsregla
Print,Prenta
Print Draft,Prenta uppkast
Print Format (Invoice),Prentsnið (reikningur)
Print Format (Order),Prentsnið (pöntun)
Print invoice,Prentaðu reikning
Print Purchase Invoice instead of PO,Prentaðu innkaupareikning í stað innkaupapöntunar
Printer,Prentari
Processed returns impacting the shift totals,Unnin skil sem hafa áhrif á vaktsamtölur
Processing Payment,Afgreiðsla greiðslu
Processing payment entries for Invoice {0},Vinnur greiðslufærslur fyrir reikning {0}
Profile,Prófíll
Profiles,Snið
Profit,Hagnaður
Profit: Invoice Item Estimate,Hagnaður: Áætlun reikningsvöru
Profit: Stock Ledger (COGS),Hagnaður: Hlutabréfabók (COGS)
Profitability Report,Arðsemisskýrsla
Prorated return discount,Hlutfallslegur skilaafsláttur
Purchase Amount,Kaupupphæð
Purchase Invoices,Innkaupareikningar
Purchase Order created,Innkaupapöntun búin til
Qty,Magn
Qualified,Hæfur
Quantity,Magn
Quantity exceeds available stock,Magn er umfram tiltækt magn
Quick Actions,Fljótar aðgerðir
Quotation {0} is Submitted,Tilvitnun {0} er lögð fram
Quotation submitted,Tilboð lögð fram
QZ Tray connected.,QZ bakki tengdur.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ bakki er aftengt handvirkt. Ýttu á Tengja til að virkja það aftur.
QZ Tray is not connected.,QZ bakki er ekki tengdur.
QZ Tray Setup,Uppsetning QZ bakka
Rate,Gefa
Rate adjusted to maximum allowed discount,Verð leiðrétt að hámarks leyfilegum afslætti
Ready,Tilbúið
Ready to resume,Tilbúinn til að halda áfram
Ready!,Tilbúið!
Real-time POS insights for retail operations.,Rauntíma POS innsýn fyrir smásölurekstur.
Rebuild Offline Data,Endurbyggja gögn án nettengingar
Receive,Taka á móti
Receive now,Fáðu núna
Received,Tekið á móti
Received:,Móttekið:
Recent Movement Entries,Nýlegar hreyfifærslur
Recent updates about your invoices,Nýlegar uppfærslur um reikninga þína
Recently Active Customers,Nýlega virkir viðskiptavinir
Rechecking connection,Athugar tengingu aftur
Reconcile payment methods and close shift,Samræma greiðslumáta og loka vakt
Reconciling Payments,Samræma greiðslur
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Tengdu aftur og opnaðu þessa síðu einu sinni á netinu, þá munu endurnýjunar án nettengingar geta endurheimt hana."
Reconnect online to refresh cached offline data from the server.,Tengstu aftur á netinu til að endurnýja skyndiminni ónettengd gögn frá þjóninum.
Recreate local offline prerequisites from scratch,Endurskapaðu staðbundnar forsendur án nettengingar frá grunni
Recv:,Rev:
Redeem,Innleysa
Redeem / Scan,Innleysa / skanna
Redeem Amount,Innlausnarupphæð
Redeem Mode,Innlausnarhamur
Redeemed Amount,Innleyst upphæð
Redeemed credit cannot be greater than its total.,Innleyst inneign getur ekki verið hærri en heildarfjöldi þess.
Redemption and Totals,Innlausn og samtals
Reference,Tilvísun
Refresh,Endurnýja
Refresh Exchange Rate,Endurnýja gengi
Refresh Offline Data,Endurnýjaðu gögn án nettengingar
Refresh Printers,Endurnýjaðu prentara
Refund,Endurgreiðsla
Release Notes,Útgáfuskýringar
Reload,Endurhlaða
Reload customers,Endurhlaða viðskiptavini
Reload Items,Endurhlaða hluti
Reload Now,Endurhlaða núna
Reload to apply the latest changes. Your current session will be refreshed.,Endurhlaða til að nota nýjustu breytingarnar. Núverandi lota þín verður endurnýjuð.
Reload Workflow,Endurhlaða verkflæði
Remarks,Athugasemdir
Remarks are required.,Athugasemdir eru nauðsynlegar.
Remove,Fjarlægja
Remove barcode item,Fjarlægðu strikamerki
Remove cached data and reload the POS app,Fjarlægðu skyndiminni gögn og endurhlaðið POS appið
Remove item,Fjarlægðu hlut
Remove Offer,Fjarlægja tilboð
Reorder / Purchase Suggestions,Endurpöntun / innkaupatillögur
Repair Candidate,Viðgerðarframbjóðandi
Repair Change Allocation,Viðgerð Breyta úthlutun
Repair requires an online connection,Viðgerð krefst nettengingar
Repaired,Viðgerð
Repairing change allocation,Gerir við breytingu á úthlutun
Repeat Customers,Endurtaktu viðskiptavinir
Repeat Rate,Endurtekið hlutfall
Request,Beiðni
Request ID: {0},Auðkenni beiðni: {0}
Request Payment,Óska eftir greiðslu
Requested route: {0},Umbeðin leið: {0}
Required columns cannot be hidden,Ekki er hægt að fela nauðsynlega dálka
Reset,Endurstilla
Reset item name,Endurstilla heiti vöru
Reset to Default,Endurstilla í sjálfgefið
Resource Health,Auðlindaheilbrigði
Restricted,Takmörkuð
Restricted operational controls for supervisors only.,Takmarkað rekstrareftirlit eingöngu fyrir yfirmenn.
Retry,Reyndu aftur
Retry route,Reyndu leiðina aftur
Return,Til baka
Return Amount,Skilaupphæð
Return Count,Talning til baka
Return items must have negative quantities,Skilavörur verða að hafa neikvætt magn
Return total must be negative,Heildarávöxtun verður að vera neikvæð
Return Valid Until,Skil gildir til
Return window passed,Skilagluggi liðinn
Return without Invoice,Skila án reiknings
Returns,Skilar
Returns / Voids / Discounts,Skil / Ógildir / Afslættir
Returns by Currency,Skil eftir gjaldmiðli
Revenue,Tekjur
Review shift totals before submitting the closing entry,Skoðaðu samtölur vakta áður en þú sendir inn lokafærsluna
Round Off,Round Off
Rows,Raðir
Rows:,Raðir:
Rule,Regla
Sale,Útsala
Sales,Sala
Sales Order {0} is Submitted,Sölupöntun {0} er send
Sales Person and Print,Sölumaður og prentun
Sales Person not found,Söluaðili fannst ekki
Sales processed,Sala afgreidd
Sales Return,Söluskil
Sales Trend Report,Söluþróunarskýrsla
Save,Vista
Save & Clear,Vista og hreinsa
Save as POS Profile Default,Vista sem sjálfgefið POS prófíl
Save Settings,Vista stillingar
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Vistaðu valinn prentara sem sjálfgefið POS prófíl svo hann birtist sjálfkrafa í þessari uppsetningu.
Saved as draft because: {0},Vistað sem drög vegna þess að: {0}
Saving...,Vistar...
Scale barcode detected. Quantity here is the number of labels to print.,Skala strikamerki fannst. Magn hér er fjöldi merkimiða sem á að prenta.
Scale barcode settings are not configured. Using item barcode only.,Stillingar strikamerkiskvarða eru ekki stilltar. Notar eingöngu strikamerki vöru.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Strikamerki mælikvarðasniðmáts vantar fyrir þessa vöru/UOM. Notar eingöngu strikamerki vöru.
Scan an existing card and top it up without leaving the payment flow.,Skannaðu kort sem fyrir er og fylltu á það án þess að fara út úr greiðsluflæðinu.
Scan Error,Skanna villa
Scan or enter a gift card code to check balance or redeem.,Skannaðu eða sláðu inn gjafakortskóða til að athuga stöðuna eða innleysa.
Scan or paste the card code below.,Skannaðu eða límdu kortakóðann hér að neðan.
Scan QR Code/Barcode,Skannaðu QR kóða / strikamerki
Scan with camera,Skannaðu með myndavél
Scan-First Flow,Scan-First Flow
Scanned Code:,Skannaður kóði:
Scanning for: {0},Leitar að: {0}
Scanning items,Skanna atriði
Scan-Ready,Skanna-tilbúið
Scope,Gildissvið
Scope: All Profiles,Gildissvið: Öll snið
Scope: Current Profile,Gildissvið: Núverandi snið
Scope: Specific Profile,Gildissvið: Sérsniðið snið
Search,Leita
Search Account,Leita að reikningi
Search an invoice and continue the return flow without extra steps.,Leitaðu að reikningi og haltu áfram skilaflæðinu án aukaþrepa.
Search customer,Leitaðu að viðskiptavini
Search invoices or customers,Leitaðu að reikningum eða viðskiptavinum
Search item,Leitaratriði
Search item / code,Leita að hlut / kóða
Search items or barcode,Leitaðu að hlutum eða strikamerki
Search Mpesa Payments,Leitaðu í Mpesa Payments
Search return invoices or customers,Leitaðu að skilareikningum eða viðskiptavinum
Search supplier,Leita að birgi
Search unpaid invoices or customers,Leitaðu að ógreiddum reikningum eða viðskiptavinum
Secure context (HTTPS or localhost) is required for camera access.,Öruggt samhengi (HTTPS eða localhost) er nauðsynlegt fyrir aðgang að myndavél.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Öruggt samhengi (HTTPS) er krafist fyrir aðgang að myndavél. Vinsamlegast notaðu HTTPS til að fá aðgang að myndavélinni.
Select,Veldu
Select a cashier first.,Veldu gjaldkera fyrst.
Select a customer,Veldu viðskiptavin
Select a customer to use coupon,Veldu viðskiptavin til að nota afsláttarmiða
Select a printer to use QZ silent printing.,Veldu prentara til að nota QZ hljóðlausa prentun.
Select Batch,Veldu Lotu
Select Columns to Display,Veldu Dálka til að sýna
Select items to sell,Veldu hluti til að selja
Select Payment,Veldu Greiðsla
Select Payment Account,Veldu Greiðslureikningur
Select printer,Veldu prentara
Select Return Invoice,Veldu Skilareikning
Select S.O,Veldu S.O
Select Sales Orders,Veldu Sölupantanir
Select the cashier who is taking over this terminal.,Veldu gjaldkerann sem tekur við þessari flugstöð.
Selected,Valið
Selected movement type is not allowed by POS Profile.,Valin hreyfing er ekki leyfð af POS prófíl.
Selected Payments,Valdar greiðslur
Sensitive actions kept away from quick taps.,Viðkvæmar aðgerðir héldu í burtu frá skjótum krönum.
Serial,Serial
Serial Numbers,Raðnúmer
Server CPU Usage:,Notkun örgjörva miðlara:
Server Health,Server Health
Server Memory Usage:,Minninotkun miðlara:
Server Metrics,Miðlaramælingar
Server Uptime:,Spenntur netþjóns:
Service Charges,Þjónustugjöld
Session,Þing
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Stilltu hvert PIN-númer gjaldkera á eyðublaðinu Notanda og haltu meðlimum útstöðvar úthlutað í POS Profile User.
Settings,Stillingar
Settings in this section update the POS workspace without changing the current route.,Stillingar í þessum hluta uppfæra POS vinnusvæðið án þess að breyta núverandi leið.
Setup complete!,Uppsetningu lokið!
Share,Deila
Shared terminal,Sameiginleg flugstöð
Shift Closed Snapshot,Shift Lokað Snapshot
Shift Overview,Vaktayfirlit
Show,Sýna
Show cart on customer-facing screen,Sýna körfu á skjá sem snýr að viðskiptavinum
Show last invoice rate,Sýna síðasta reikningshlutfall
Show rate info,Sýna upplýsingar um verð
Show Repair Candidates,Sýna viðgerðarframbjóðendur
Show search tools,Sýna leitartæki
Show the active cart on a customer-facing screen,Sýndu virku körfuna á skjá sem snýr að viðskiptavinum
Showing {0}-{1} of {2},Sýnir {0}-{1} af {2}
