POS Awesome,POS Чудово
Low Stock Alerts,Сповіщення про низькі запаси
Low Stock Items,Малий склад
Low Stock Threshold,Низький поріг запасів
Low Stock Total,Низький загальний запас
Lowest Margin,Найнижча маржа
Low-frequency maintenance and system details.,Низькочастотне обслуговування та деталі системи.
Loyalty Redeemed,Лояльність викуплена
Loyalty Redemption,Викуп лояльності
Make New Payment,Здійснити новий платіж
Manage all,Керувати всім
Manage and synchronize your offline transactions,Керуйте та синхронізуйте свої офлайн-транзакції
Manage Cashier PIN,Керуйте PIN-кодом касира
"Manage offline tools, terminal controls, and maintenance from one workspace.","Керуйте офлайн-інструментами, елементами керування терміналом і обслуговуванням з одного робочого простору."
manual,посібник
"Manual codes, barcode scans, and QR scans work in the same field","Ручні коди, сканування штрих-кодів і сканування QR працюють в одному полі"
Manual offline mode is enabled,Ручний офлайн-режим увімкнено
Margin,Маржа
Maximum available quantity is {0}. Quantity adjusted to match stock.,Максимальна доступна кількість становить {0}. Кількість скоригована відповідно до наявності.
Maximum discount amount for this offer item is {0}.,Максимальна сума знижки для цієї пропозиції становить {0}.
Maximum discount percentage for this offer item is {0}%.,Максимальний відсоток знижки на цей товар пропозиції становить {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Максимальна кількість пропозиції становить {0}. Кількість приведена до дозволеного ліміту.
Medium,Середній
Method-wise Collections,Методичні колекції
Minimum allowed rate for this offer item is {0}.,Мінімальна дозволена ставка для цієї пропозиції становить {0}.
Minimum Qty,Мінімальна кількість
Mobile No,Номер мобільного телефону
Mode,Режим
Mode of Payment,Спосіб оплати
Month,місяць
Month ?,місяць ?
Monthly Profit,Щомісячний прибуток
Monthly Sales,Щомісячні продажі
Monthly Sales Summary,Місячний підсумок продажів
Month-wise,Щомісячно
Most Active Cashiers,Найактивніші касири
Movement Type,Тип руху
Movements,Рухи
Multi Currency,Мультивалютний
N/A,N/A
Name,Ім'я
Negative Stock,Негативний запас
Negative Stock Items,Негативні товарні товари
Negative values not allowed,Від'ємні значення не допускаються
Net,Чистий
Net Qty,Чиста кількість
Net Sales,Чистий продаж
Net Value,Чиста вартість
Never,Ніколи
New changes are ready to load,Нові зміни готові до завантаження
New Item,Новий товар
New Offer Available,Доступна нова пропозиція
New PIN,Новий PIN-код
New rate,Нова ставка
Next unit of measure,Наступна одиниця вимірювання
No attribute data found.,Дані атрибутів не знайдено.
No Barcode,Без штрих-коду
No barcode found for UOM '{0}',"Не знайдено штрих-код для UOM ""{0}"""
No branch/location data found.,Немає даних про відділення/місцезнаходження.
No brand data found.,Немає даних про бренд.
No cached gift card balance is available offline.,"Немає кешованого балансу подарункової картки, доступного офлайн."
No camera found on this device. Please ensure your device has a working camera.,"На цьому пристрої не знайдено камери. Будь ласка, переконайтеся, що ваш пристрій має робочу камеру."
No capability warnings recorded yet.,Попереджень про можливості ще не зареєстровано.
No cash expected for this shift.,На цю зміну готівка не очікується.
No cash mode configured,Режим готівки не налаштовано
No cash movement type is allowed for this POS Profile.,Для цього профілю POS не дозволений тип руху готівки.
No cashier PIN is set yet. Create one now.,PIN-код касира ще не встановлено. Створіть зараз.
No cashier profiles are available for this POS profile yet.,Для цього профілю POS ще немає профілів касира.
No cashier-wise discount/void/return activity.,Жодних касових знижок/скасування/повернення.
No category data found.,Дані категорії не знайдено.
No category profitability data found.,Немає даних про прибутковість категорії.
No change returned recorded for this shift.,Для цієї зміни не зареєстровано жодної зміни.
No change-allocation invoices match the current filters.,Жодні рахунки-фактури розподілу змін не відповідають поточним фільтрам.
No charge head breakdown found.,Пробою зарядної головки не виявлено.
No Company Selected,Компанію не вибрано
No customer sales data found.,Немає даних про продажі клієнтів.
No day-wise discount/void/return trend.,Немає денної тенденції знижок/недійсності/повернення.
No day-wise payment data found.,Даних про оплату за день не знайдено.
No day-wise profitability trend found.,Денна тенденція прибутковості не знайдена.
No day-wise purchase data found.,Даних про покупки за день не знайдено.
No day-wise sales trend found.,Тенденції продажів за день не знайдено.
No day-wise tax/charges trend found.,Денна тенденція податків/зборів не знайдена.
No dead stock items.,Немає мертвих товарів.
No due date,Немає терміну виконання
No exact repair match found for this invoice,Для цього рахунку-фактури не знайдено точної відповідності ремонту
No hourly sales trend found for today.,На сьогодні не знайдено погодинної тенденції продажів.
No invoice activity found.,Рахунок-фактура не знайдена.
No invoices found,Рахунки-фактури не знайдено
No invoices found. Try different search criteria.,Рахунки-фактури не знайдено. Спробуйте інші критерії пошуку.
No invoices recorded for this shift.,Немає рахунків-фактур для цієї зміни.
No item profitability data found.,Немає даних про прибутковість товару.
No item sales data found for this period.,Немає даних про продаж товарів за цей період.
No items found,Елементів не знайдено
No items in cart,Немає товарів у кошику
No items with barcodes to print,Немає елементів зі штрих-кодами для друку
No location-wise top item data found.,Не знайдено даних про найпопулярніші елементи щодо розташування.
No low stock alerts right now.,Зараз немає сповіщень про низькі запаси.
No low stock items.,Немає товарів із низьким запасом.
No matching items in cart,Немає відповідних товарів у кошику
No month-wise sales trend found.,Тенденції продажів за місяць не знайдено.
No negative stock items.,Немає негативних товарів на складі.
No notifications yet,Ще немає сповіщень
No offline cash movement synced.,Переміщення готівки в автономному режимі не синхронізовано.
No offline invoices pending synchronization,"Немає офлайн-рахунків, які очікують на синхронізацію"
No offline sync issues recorded yet.,Проблем із офлайн-синхронізацією ще не зафіксовано.
No out-of-stock items.,"Немає товарів, яких немає в наявності."
No outstanding credit invoices for this shift.,Немає неоплачених кредитних рахунків для цієї зміни.
No payment collection data found.,Немає даних про збір платежів.
No payment rows available on this invoice.,У цьому рахунку-фактурі немає платіжних рядків.
No payments registered for this shift.,Для цієї зміни не зареєстровано платежів.
No pending balances in this period.,У цей період немає незавершених залишків.
No pending offline invoices,Немає незавершених офлайн-рахунків
No Print Formats Found,Форматів друку не знайдено
No profiles found for selected scope. Falling back to current profile failed.,Не знайдено профілів для вибраного обсягу. Не вдалося повернутися до поточного профілю.
No recent customer activity found.,Останні дії клієнтів не знайдено.
No recent stock entries found.,Останні записи про акції не знайдено.
No records found,Записів не знайдено
No reorder suggestions right now.,Наразі немає пропозицій змінити замовлення.
No repeat customers in this period.,У цей період немає постійних клієнтів.
No response from server,Немає відповіді від сервера
No return invoices found,Рахунки-фактури на повернення не знайдено
No return item trend found.,Тенденції повернення товару не знайдено.
No returnable items found for this invoice,"Для цього рахунку-фактури не знайдено предметів, які підлягають поверненню"
No returns were processed in this shift.,У цю зміну повернення не оброблялося.
No risk activity found.,Ризикова діяльність не знайдена.
No sales activity found for this period.,За цей період продажів не знайдено.
No slow moving items.,"Ніяких предметів, що повільно рухаються."
No staff sales activity found.,Жодної діяльності з продажу персоналу не знайдено.
No stock movement for this period.,За цей період акції не рухаються.
No submitted cash movements in this shift.,У цю зміну не подано рух готівки.
No supplier purchases found in this month.,У цьому місяці не знайдено покупок постачальників.
No suppliers found for this period.,За цей період постачальників не знайдено.
No sync trigger has run yet in this session.,У цьому сеансі ще не запущено тригер синхронізації.
No tax head breakdown found.,Не знайдено розбивку податкової глави.
No top items found for this location.,Для цього місця не знайдено найкращих елементів.
No unpaid invoices,Немає неоплачених рахунків
No variant data found.,Немає даних про варіанти.
No week-wise sales trend found.,Тенденції продажів за тиждень не знайдено.
No.,немає
Nobile Number,Nobile Number
Not available,Не доступний
Not checked,Не перевірено
Not selected,Не вибрано
Not Set,Не встановлено
Notifications,Сповіщення
Offer,Пропозиція
Offer Applied,Пропозицію застосовано
Offer criteria exceeded,Перевищено критерії пропозиції
Offer Item,Предмет пропозиції
Offer item unavailable,Товар пропозиції недоступний
Offer Removed,Пропозицію видалено
Offer UOM cannot be changed,Пропозиція UOM не може бути змінена
Offer?,Пропозиція?
Offers,Пропозиції
Offline,Офлайн
Offline & Sync,Офлайн і синхронізація
Offline Capabilities,Офлайн-можливості
Offline data status refreshed,Статус офлайн-даних оновлено
Offline diagnostics,Офлайн діагностика
Offline Invoices,Офлайн-фактури
Offline invoices status,Статус офлайн-рахунків
Offline invoices synced,Офлайн-фактури синхронізовано
Offline Queue: {0},Офлайн-черга: {0}
Offline rebuild guidance,Інструкції з перебудови в автономному режимі
Offline restore is unavailable for this session.,Відновлення в автономному режимі недоступне для цього сеансу.
Offline selling is available with degraded capabilities.,Офлайн-продаж доступний із зниженими можливостями.
Offline snapshot does not match the current POS state.,Офлайн-знімок не відповідає поточному стану POS.
Offline Status,Статус офлайн
"Offline, terminal, and system controls","Офлайн, термінал і системні елементи керування"
OK,добре
Online,Онлайн
Open actions menu,Відкрити меню дій
Open balance to collect,Відкритий баланс для збору
Open Customer Display,Відкрийте дисплей клієнта
Open drawer,Відкритий ящик
Open invoices,Відкриті рахунки
Open Payments?,Відкрити Платежі?
Open POS home,Відкритий POS home
Open this screen from POS Menu -> Open Customer Display.,Відкрийте цей екран за допомогою POS Menu -> Open Customer Display.
OpenCV image processing enabled - Enhanced barcode detection,Увімкнено обробку зображень OpenCV - покращене виявлення штрих-кодів
OpenCV image processing unavailable on this device,Обробка зображень OpenCV недоступна на цьому пристрої
OpenCV Off,OpenCV вимкнено
OpenCV On,OpenCV увімкнено
OpenCV processing disabled,Обробку OpenCV вимкнено
Opening Amount,Сума відкриття
Opening Cash,Відкриття готівки
options,параметри
Order,порядок
Original,Оригінал
Other,інше
Out,Вийти
Out of Stock,Немає в наявності
Out of Stock Items,Товарів немає в наявності
Outstanding,Видатний
Outstanding Credit by Currency,Непогашений кредит за валютою
Overdue,Прострочена
Overpayment Change,Зміна переплати
Overpayment change deducted: {0},Вираховано зміну переплати: {0}
Packing List,Пакувальний лист
Page Format,Формат сторінки
Page unavailable offline,Сторінка недоступна офлайн
Paid,Платний
Paid (orig):,Платно (оригінал):
Paid Amount,Сплачена сума
Paid change cannot be greater than total change!,Оплачена здача не може бути більшою за загальну здачу!
Paid:,Оплачено:
Parent Item,Батьківський елемент
Partial,Частковий
Partly Paid,Частково оплачено
Party Account,Партійний рахунок
Party Type,Тип партії
Pause terminal until next cashier,Призупинити термінал до наступного касира
PAY,ЗАПЛАТИТИ
Payment,Оплата
Payment Account,Платіжний рахунок
Payment entries processed for Invoice {0},Платіжні записи оброблено для рахунку-фактури {0}
Payment Entry Type,Тип введення платежу
Payment History,Історія платежів
Payment ID,Ідентифікатор платежу
Payment Method Report,Звіт про спосіб оплати
Payment Methods,Способи оплати
Payment of {0} received successfully.,Платіж на суму {0} успішно отримано.
Payment Progress,Хід платежу
Payment Reconciliation,Звірка платежів
Payment request status could not be retrieved. Please try again,Не вдалося отримати статус платіжного запиту. Спробуйте ще раз
Payment Request took too long to respond. Please try requesting for payment again,Відповідь на платіжний запит надто довго надходила. Спробуйте ще раз подати запит на оплату
Payment saved offline,Платіж збережено офлайн
Payment State,Стан оплати
Payment Status,Статус платежу
Payment submitted but print function could not be executed. Payment name not found.,"Платіж надіслано, але функцію друку не вдалося виконати. Ім'я платежу не знайдено."
Payment submitted.,Платіж подано.
Payment Summary,Підсумок платежу
Payments,Платежі
Payments are not open. Do you want to open payments and submit?,Платежі не відкриті. Бажаєте відкрити платежі та подати?
Payments by Mode of Payment,Оплата за способом оплати
PDF,PDF
Peak Hour,Година пік
Peak Memory:,Пікова пам'ять:
Peak Server:,Піковий сервер:
Peak:,пік:
Pending,В очікуванні
Pending Amount,Сума в очікуванні
Pending count updated from {0} to {1},Кількість незавершених змінено з {0} на {1}
Pending Exposure,Очікує викриття
Pending Invoices,Рахунки в очікуванні
Pending Ratio,Коефіцієнт очікування
Pending Sales,Продажі в очікуванні
Pending sales: {0} | Cache usage: {1}%,Незавершені продажі: {0} | Використання кешу: {1}%
Pending Sync,Очікує на синхронізацію
Pending: {0},Очікує: {0}
Pending: {0} | Synced: {1} | Draft: {2},Очікує: {0} | Синхронізовано: {1} | Чернетка: {2}
Per Page,На сторінку
Personal,Особисті
Personal preferences adjust the current cashier experience without changing the active POS route.,Особисті налаштування регулюють поточну роботу касира без зміни активного маршруту POS.
PIN confirmation does not match.,Підтвердження PIN-коду не збігається.
PIN must be 4 to 8 digits.,PIN-код має містити від 4 до 8 цифр.
Please add at least one item.,"Будь ласка, додайте хоча б один елемент."
Please allow camera access to scan codes,"Будь ласка, надайте доступ до камери для сканування кодів"
Please enter payment amount,"Будь ласка, введіть суму платежу"
Please fill all required fields,"Будь ласка, заповніть усі необхідні поля"
Please make a payment or select a payment,Здійсніть платіж або виберіть платіж
Please request phone payment or use another payment method,"Будь ласка, подайте запит на оплату телефоном або скористайтеся іншим способом оплати"
Please select a customer first,Спочатку виберіть клієнта
Please select a party,Виберіть партію
Please select a party before reconciling.,"Будь ласка, виберіть сторону перед примиренням."
Please select a valid movement type.,Виберіть дійсний тип руху.
Please select an invoice,Виберіть рахунок-фактуру
Please select company before reconciling.,"Будь ласка, виберіть компанію перед звіркою."
Please set the customer's mobile number,Введіть номер мобільного телефону клієнта
Please try again or enter the item manually.,Спробуйте ще раз або введіть елемент вручну.
Please verify the barcode or check the item's availability.,Перевірте штрих-код або перевірте наявність товару.
Points,Очки
Popup blocked. Please allow popups.,"Спливаюче вікно заблоковано. Будь ласка, дозвольте спливаючі вікна."
POS,POS
POS controls and maintenance,Контроль і обслуговування POS
POS Expense is disabled for this POS Profile.,POS Expense вимкнено для цього профілю POS.
POS is running with limited offline prerequisites.,POS працює з обмеженими передумовами в автономному режимі.
POS Profile,Профіль POS
Position the QR code or barcode within the scanning area,Розмістіть QR-код або штрих-код в області сканування
Posting,Розміщення
Posting and Price List,Розміщення та прайс-лист
Posting Date,Дата розміщення
Preparing background sync,Підготовка фонової синхронізації
"Press OK to continue offline with a warning, or Cancel to retry.","Натисніть OK, щоб продовжити офлайн із попередженням, або «Скасувати», щоб повторити спробу."
Previous unit of measure,Попередня одиниця вимірювання
Price List,Прайс лист
Price List Rate,Прайс-лист Тариф
Price list rate updated locally only,Прайс-лист оновлюється лише локально
Pricing & Discounts,Ціни та знижки
Pricing Rule,Правило ціноутворення
Print,Роздрукувати
Print Draft,Роздрукувати чернетку
Print Format (Invoice),Формат друку (рахунок-фактура)
Print Format (Order),Формат друку (замовлення)
Print invoice,Роздрукувати рахунок-фактуру
Print Purchase Invoice instead of PO,Друкуйте рахунок-фактуру замість замовлення на замовлення
Printer,Принтер
Processed returns impacting the shift totals,"Оброблені повернення, що впливають на підсумки зміни"
Processing Payment,Обробка платежу
Processing payment entries for Invoice {0},Обробка платіжних записів для рахунку-фактури {0}
Profile,Профіль
Profiles,Профілі
Profit,Прибуток
Profit: Invoice Item Estimate,Прибуток: оцінка позиції рахунку-фактури
Profit: Stock Ledger (COGS),Прибуток: бухгалтерська книга (COGS)
Profitability Report,Звіт про прибутковість
Prorated return discount,Пропорційна знижка на повернення
Purchase Amount,Сума покупки
Purchase Invoices,Рахунки-фактури
Purchase Order created,Замовлення на купівлю створено
Qty,кількість
Qualified,Кваліфікований
Quantity,Кількість
Quantity exceeds available stock,Кількість перевищує наявні запаси
Quick Actions,Швидкі дії
Quotation {0} is Submitted,Цінова пропозиція {0} подана
Quotation submitted,Цінова пропозиція подана
QZ Tray connected.,Лоток QZ підключено.
QZ Tray is manually disconnected. Press Connect to enable it again.,"Лоток QZ від’єднано вручну. Натисніть Connect, щоб увімкнути його знову."
QZ Tray is not connected.,Лоток QZ не підключений.
QZ Tray Setup,Налаштування лотка QZ
Rate,Оцінка
Rate adjusted to maximum allowed discount,Ставка скоригована до максимально дозволеної знижки
Ready,Готовий
Ready to resume,Готовий до відновлення
Ready!,Готовий!
Real-time POS insights for retail operations.,Статистика POS у режимі реального часу для роздрібних операцій.
Rebuild Offline Data,Відновити автономні дані
Receive,Отримати
Receive now,Отримайте зараз
Received,Отримано
Received:,Отримано:
Recent Movement Entries,Останні записи про рух
Recent updates about your invoices,Останні оновлення щодо ваших рахунків-фактур
Recently Active Customers,Нещодавно активні клієнти
Rechecking connection,Повторна перевірка підключення
Reconcile payment methods and close shift,Узгодити способи оплати та закрити зміну
Reconciling Payments,Звірка платежів
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Повторно підключіться та відкрийте цю сторінку один раз, перебуваючи в режимі онлайн, а потім оновлення в автономному режимі зможуть відновити її."
Reconnect online to refresh cached offline data from the server.,"Повторно підключіться онлайн, щоб оновити кешовані офлайн-дані з сервера."
Recreate local offline prerequisites from scratch,Відтворіть передумови локального автономного режиму з нуля
Recv:,Recv:
Redeem,Викупити
Redeem / Scan,Викупити / сканувати
Redeem Amount,Викупити суму
Redeem Mode,Режим викупу
Redeemed Amount,Викуплена сума
Redeemed credit cannot be greater than its total.,Погашений кредит не може перевищувати його загальну суму.
Redemption and Totals,Викуп і підсумки
Reference,довідка
Refresh,Оновити
Refresh Exchange Rate,Оновити обмінний курс
Refresh Offline Data,Оновити автономні дані
Refresh Printers,Оновити принтери
Refund,Повернення коштів
Release Notes,Примітки до випуску
Reload,Перезавантажити
Reload customers,Перезавантажте клієнтів
Reload Items,Перезавантажити елементи
Reload Now,Перезавантажити зараз
Reload to apply the latest changes. Your current session will be refreshed.,"Перезавантажте, щоб застосувати останні зміни. Ваш поточний сеанс буде оновлено."
Reload Workflow,Перезавантажити робочий процес
Remarks,Зауваження
Remarks are required.,Зауваження обов'язкові.
Remove,видалити
Remove barcode item,Видалити елемент штрих-коду
Remove cached data and reload the POS app,Видаліть кешовані дані та перезавантажте програму POS
Remove item,Видалити товар
Remove Offer,Видалити пропозицію
Reorder / Purchase Suggestions,Пропозиції щодо повторного замовлення/купівлі
Repair Candidate,Кандидат в ремонт
Repair Change Allocation,Ремонт Зміна розподілу
Repair requires an online connection,Для ремонту потрібне підключення до Інтернету
Repaired,Відремонтований
Repairing change allocation,Виправлення розподілу змін
Repeat Customers,Повторні клієнти
Repeat Rate,Швидкість повторення
Request,запит
Request ID: {0},Ідентифікатор запиту: {0}
Request Payment,Запит на оплату
Requested route: {0},Запитаний маршрут: {0}
Required columns cannot be hidden,Неможливо приховати необхідні стовпці
Reset,Скинути
Reset item name,Скинути назву елемента
Reset to Default,Скинути до замовчування
Resource Health,Ресурс здоров'я
Restricted,Обмежений
Restricted operational controls for supervisors only.,Обмежений операційний контроль лише для керівників.
Retry,Повторіть спробу
Retry route,Повторити маршрут
Return,Повернення
Return Amount,Сума повернення
Return Count,Повернути лічильник
Return items must have negative quantities,Товари для повернення повинні мати від’ємну кількість
Return total must be negative,Сума повернення має бути від’ємною
Return Valid Until,Повернення діє до
Return window passed,Вікно повернення пройдено
Return without Invoice,Повернення без накладної
Returns,Повернення
Returns / Voids / Discounts,Повернення / анулювання / знижки
Returns by Currency,Повернення за валютою
Revenue,Дохід
Review shift totals before submitting the closing entry,"Перегляньте загальні показники зміни перед тим, як подавати заключний запис"
Round Off,Округлити
Rows,рядки
Rows:,рядки:
Rule,правило
Sale,Розпродаж
Sales,Продажі
Sales Order {0} is Submitted,Замовлення на продаж {0} подано
Sales Person and Print,Продавець і друк
Sales Person not found,Продавець не знайдений
Sales processed,Продажі оброблено
Sales Return,Повернення від продажу
Sales Trend Report,Звіт про тенденції продажів
Save,зберегти
Save & Clear,Зберегти та очистити
Save as POS Profile Default,Зберегти як профіль POS за замовчуванням
Save Settings,Зберегти налаштування
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Збережіть вибраний принтер як профіль POS за замовчуванням, щоб він автоматично відображався під час цього налаштування."
Saved as draft because: {0},"Збережено як чернетку, оскільки: {0}"
Saving...,Збереження...
Scale barcode detected. Quantity here is the number of labels to print.,Штрих-код ваги виявлено. Кількість тут означає кількість етикеток для друку.
Scale barcode settings are not configured. Using item barcode only.,Параметри штрих-коду ваги не налаштовані. Використовуючи лише штрих-код товару.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Для цього елемента/UOM відсутній штрих-код шаблону ваги. Використовуючи лише штрих-код товару.
Scan an existing card and top it up without leaving the payment flow.,"Відскануйте наявну картку та поповніть її, не виходячи з платіжного потоку."
Scan Error,Помилка сканування
Scan or enter a gift card code to check balance or redeem.,"Відскануйте або введіть код подарункової картки, щоб перевірити баланс або активувати її."
Scan or paste the card code below.,Відскануйте або вставте код картки нижче.
Scan QR Code/Barcode,Відскануйте QR-код/штрих-код
Scan with camera,Сканування камерою
Scan-First Flow,Scan-First Flow
Scanned Code:,Відсканований код:
Scanning for: {0},Сканування: {0}
Scanning items,Сканування елементів
Scan-Ready,Готовий до сканування
Scope,Область застосування
Scope: All Profiles,Область застосування: усі профілі
Scope: Current Profile,Область: Поточний профіль
Scope: Specific Profile,Сфера застосування: спеціальний профіль
Search,Пошук
Search Account,Пошук облікового запису
Search an invoice and continue the return flow without extra steps.,Знайдіть рахунок-фактуру та продовжте повернення без додаткових кроків.
Search customer,Пошук клієнта
Search invoices or customers,Пошук рахунків-фактур або клієнтів
Search item,Шукати предмет
Search item / code,Шукати товар / код
Search items or barcode,Пошук елементів або штрих-коду
Search Mpesa Payments,Пошук платежів Mpesa
Search return invoices or customers,Шукайте рахунки-фактури або клієнтів
Search supplier,Пошук постачальника
Search unpaid invoices or customers,Пошук неоплачених рахунків або клієнтів
Secure context (HTTPS or localhost) is required for camera access.,Для доступу до камери потрібен захищений контекст (HTTPS або локальний хост).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Для доступу до камери потрібен безпечний контекст (HTTPS). Для доступу до камери використовуйте HTTPS.
Select,Виберіть
Select a cashier first.,Спочатку виберіть касира.
Select a customer,Виберіть клієнта
Select a customer to use coupon,Виберіть клієнта для використання купону
Select a printer to use QZ silent printing.,Виберіть принтер для використання тихого друку QZ.
Select Batch,Виберіть Пакет
Select Columns to Display,Виберіть Стовпці для відображення
Select items to sell,Виберіть предмети для продажу
Select Payment,Виберіть Оплата
Select Payment Account,Виберіть Платіжний рахунок
Select printer,Виберіть принтер
Select Return Invoice,Виберіть Повернути рахунок-фактуру
Select S.O,Виберіть S.O
Select Sales Orders,Виберіть Замовлення на продаж
Select the cashier who is taking over this terminal.,"Виберіть касира, який займе цей термінал."
Selected,Вибране
Selected movement type is not allowed by POS Profile.,Вибраний тип руху не дозволяється профілем POS.
Selected Payments,Вибрані платежі
Sensitive actions kept away from quick taps.,Делікатні дії уникають швидких натискань.
Serial,Серійний
Serial Numbers,Серійні номери
Server CPU Usage:,Використання ЦП сервера:
Server Health,Справність сервера
Server Memory Usage:,Використання пам'яті сервера:
Server Metrics,Метрики сервера
Server Uptime:,Час роботи сервера:
Service Charges,Плата за обслуговування
Session,Сесія
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Встановіть кожен PIN-код касира у формі користувача та зберігайте членів терміналу, призначених у профілі користувача POS."
Settings,Налаштування
Settings in this section update the POS workspace without changing the current route.,Параметри в цьому розділі оновлюють робочу область POS без зміни поточного маршруту.
Setup complete!,Налаштування завершено!
Share,Поділіться
Shared terminal,Спільний термінал
Shift Closed Snapshot,Shift закритий знімок
Shift Overview,Огляд зміни
Show,Показати
Show cart on customer-facing screen,Показати кошик на екрані клієнта
Show last invoice rate,Показати ставку останнього рахунку-фактури
Show rate info,Показати інформацію про курс
Show Repair Candidates,Показати кандидатів на ремонт
Show search tools,Показати інструменти пошуку
Show the active cart on a customer-facing screen,Показати активний кошик на екрані клієнта
Showing {0}-{1} of {2},Показано {0}-{1} з {2}
Showing 0 of 0,Показано 0 з 0
Shows the distribution of invoices per currency,Показує розподіл рахунків-фактур за валютою
Sign out of the current POS session,Вийти з поточного сеансу POS
Size:,розмір:
Skipped Payments,Пропущені платежі
Skipping items without barcodes,Пропуск товарів без штрих-кодів
Slow Moving,Повільний рух
Slow Moving Items,Повільно рухаються предмети
Slow Queries:,Повільні запити:
Sold,Продано
Source,Джерело
Source Cash Account (Optional Override),Вихідний грошовий рахунок (необов’язкова заміна)
Source Ex. Rate:,Джерело Пр. Оцінка:
Source Rate:,Швидкість джерела:
Specific Profile,Спеціальний профіль
Split Invoices,Розділені рахунки-фактури
Staff / Cashier Performance Report,Звіт про роботу персоналу / касира
Status,Статус
Stock,Запас
Stock Information,Інформація про акції
Stock is lower than requested,"На складі менше, ніж запитувано"
Stock is lower than requested:\n{0},"На складі менше, ніж запитано:\n{0}"
Stock Movement Report,Звіт про рух акцій
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Оновлення запасів: {0} має в наявності {1}. Додавання {2} знизить акції нижче нуля.
Submit,Надіслати
Submit & Print,Надіслати та роздрукувати
Submit Deposit,Надіслати депозит
Submit Expense,Надіслати витрати
Submitted,Надіслано
Submitted Cash Movements,Подані рух готівки
Submitted entries,Надіслані записи
Successfully scanned:,Успішно проскановано:
Suggested,Запропоновано
Suggested Qty,Рекомендована кількість
Supervisor Access,Доступ супервізора
Supervisor permissions unlock issuance and reloads,Дозволи супервізора розблокують видачу та перезавантаження
Supervisor Tools,Інструменти супервізора
Supplier,Постачальник
Supplier and dates are required.,Необхідно вказати постачальника та дати.
Supplier Invoices,Рахунки постачальника
Supplier is required.,Потрібен постачальник.
Supplier name is required,Потрібно вказати назву постачальника
Supplier Payments,Платежі постачальника
Supplier Purchase Summary,Підсумок закупівлі постачальника
Suppliers,Постачальники
Suppliers not found,Постачальники не знайдені
Switch Camera,Переключити камеру
Switch Cashier,Перемикач касира
Switch the POS appearance theme,Змініть тему зовнішнього вигляду POS
Switched to:,Переключено на:
Sync All Invoices,Синхронізувати всі рахунки-фактури
Sync Offline Cash Movements ({0}),Синхронізувати офлайн-переміщення готівки ({0})
Sync Offline Sales,Синхронізація офлайн-продажів
Synced {0} offline cash movement(s).,Синхронізовано переміщення готівки в автономному режимі: {0}.
Syncing items in background,Синхронізація елементів у фоновому режимі
System / Diagnostics,Система / Діагностика
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Системні дії – це низькочастотні елементи керування обслуговуванням, такі як інформація про програму, діагностика підтримки та керування сеансом."
System Information,Інформація про систему
System Status,Статус системи
Tables:,Столи:
Tap the button below to redeem a gift card during checkout.,"Торкніться кнопки нижче, щоб активувати подарункову картку під час оплати."
Target,Цільова
Target Ex. Rate:,Target Ex. Оцінка:
Target Rate:,Цільова ставка:
Tax,податок
Tax / Charges Report,Звіт про податки та збори
Tax Heads,Голови податкової
Taxable Amount,Сума оподаткування
Tendered,Тендер
Terminal,Термінал
Terminal & Devices,Термінали та пристрої
Terminal locked,Термінал заблоковано
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Інструменти терміналу впливають на цю касову станцію, дисплеї, що відображаються клієнтам, і майбутні елементи керування принтером/пристроєм."
Territory not found,Територія не знайдена
The amount paid is not complete,Сплачена сума не повна
The app stores data locally for offline use. This is called cache.,Програма зберігає дані локально для використання в автономному режимі. Це називається кеш.
The invoice stayed in draft. Please review and submit it manually.,Рахунок-фактура залишився чернеткою. Перегляньте та надішліть його вручну.
The maximum discount allowed is,Максимальна дозволена знижка становить
The quantity for {0} has been adjusted to the maximum available stock.,Кількість для {0} було скориговано до максимально доступного запасу.
The system could not retrieve the item details. Please try again.,Системі не вдалося отримати деталі товару. Спробуйте ще раз.
These invoices will be synced when connection is restored,"Ці рахунки-фактури буде синхронізовано, коли з’єднання буде відновлено"
This action now opens inside the settings workspace.,Тепер ця дія відкривається в робочій області налаштувань.
This coupon already used !,Цей купон уже використано!
This invoice does not need change-allocation repair,Цей рахунок-фактура не потребує ремонту змін і розподілу
This invoice is already repaired,Цей рахунок-фактуру вже виправлено
This is an item template. Please choose a variant.,"Це шаблон предмета. Будь ласка, виберіть варіант."
this item,цей предмет
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Цю POS-сторінку неможливо відкрити офлайн, оскільки її код ще не кешовано на цьому терміналі."
This Serial Number {0} has already been added!,Цей серійний номер {0} уже додано!
Threshold,Поріг
Time,час
