POS Awesome,POS Igitangaje
Invoices already past due date,Inyemezabuguzi zimaze igihe ntarengwa
Invoices saved as POS Invoices,Inyemezabuguzi zabitswe nka Fagitire ya POS
Invoices still carrying balances,Inyemezabuguzi ziracyafite impirimbanyi
Issue Mode,Uburyo bw'ikibazo
Issue New Card,Tanga Ikarita Nshya
Issue Workflow,Tanga akazi
"Issue, top up, and check","Ikibazo, hejuru, no kugenzura"
Item,Ingingo
Item / Product Sales Report,Ikintu / Raporo yo kugurisha ibicuruzwa
Item {0} added to invoice,Ingingo {0} yongeyeho kuri fagitire
Item '{0}' has no barcode,Ingingo '{0}' nta barcode ifite
Item Code,Kode y'Ikintu
Item created successfully,Ikintu cyakozwe neza
Item is out of stock,Ikintu ntikibitswe
Item Name,Izina ryikintu
Item not found,Ikintu nticyabonetse
Item order updated,Itondekanya ryibintu rivugururwa
Item Selector Settings,Igenamiterere ry'ikintu
Items,Ibintu
Items added in POS will appear here automatically.,Ibintu byongewe muri POS bizagaragara hano byikora.
Items added to invoice,Ibintu byongewe kuri fagitire
Items per page,Ibintu kurupapuro
Items Sold,Ibintu byagurishijwe
Items/Invoice,Ibintu / Inyemezabuguzi
Item-wise Profitability,Ikintu-cyunguka
Journal Entry,Kwinjira mu Kinyamakuru
json,json
Just now,Ubu
Keep offline prerequisites healthy and recover stale data safely.,Komeza kumurongo wa ngombwa kugirango ugire ubuzima bwiza kandi ugarure amakuru ashaje neza.
Labels,Ibirango
"Language, theme, terminal tools, and session controls.","Ururimi, insanganyamatsiko, ibikoresho byanyuma, hamwe nigenzura."
Last,Icya nyuma
Last 14 Days (Paid vs Pending),Iminsi 14 Yanyuma (Yishyuwe vs Biteganijwe)
Last 14 Days Activity,Iminsi 14 Yanyuma Igikorwa
Last 14 Days Gross Profit,Iminsi 14 Yanyuma Yunguka
Last 14 Days Purchases,Kugura Iminsi 14 Yanyuma
Last 14 Days Tax/Charges,Iminsi 14 Yanyuma Umusoro / Amafaranga
Last sync:,Sync ya nyuma:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Guhuza kwa nyuma: {0} | ok: {1} | byananiye: {2} | gusimbuka: {3}
Latest entries for current shift,Ibyanditswe byanyuma kugirango uhindurwe
Lead Time,Kuyobora Igihe
Limited,Ntarengwa
lines,imirongo
List,Urutonde
Live Snapshot,Igicapo kizima
Load a POS profile and cashier first.,Ongeramo umwirondoro wa POS na kashi mbere.
Load More Invoices,Fungura Inyemezabuguzi
Load previously saved invoices,Fungura inyemezabuguzi zabitswe mbere
Load Sale,Igurisha ry'imizigo
Load Sales Invoice,Inyemezabuguzi yo kugurisha imizigo
Loading app data...,Gupakira amakuru ya porogaramu ...
Loading customer database...,Gupakira ububiko bwabakiriya ...
Loading customers...,Gutwara abakiriya ...
Loading database stats...,Gupakira imibare yububiko ...
Loading details...,Gupakira ibisobanuro ...
Loading invoice history...,Gupakira inyemezabuguzi amateka ...
Loading items...,Gupakira ibintu ...
Loading product catalog...,Gupakira ibicuruzwa ...
Loading return invoices...,Gupakira inyemezabuguzi zo kugaruka ...
Loading server CPU/memory usage...,Gupakira seriveri CPU / gukoresha imikoreshereze ...
Loading suppliers...,Gutwara abaguzi ...
Loading unpaid invoices...,Gupakira inyemezabuguzi zitishyuwe ...
Loading view...,Kuremera ibintu ...
Loading...,Kuremera ...
Local storage is unavailable. Switching to online-only mode.,Ububiko bwaho ntibushobora kuboneka. Guhindukira kumurongo-gusa.
localStorage,Ububiko
Location Performance,Imikorere yaho
Locations,Ahantu
Lock Screen,Funga Mugaragaza
Lookup Workflow,Reba Akazi
Loss,Igihombo
Low,Hasi
Low Stock,Ububiko buke
Low Stock Alerts,Imenyekanisha Rito
Low Stock Items,Ibintu Bike
Low Stock Threshold,Umubare muto
Low Stock Total,Umubare muto
Lowest Margin,Urwego rwo hasi
Low-frequency maintenance and system details.,Kubungabunga inshuro nke hamwe na sisitemu irambuye.
Loyalty Redeemed,Ubudahemuka bwacunguwe
Loyalty Redemption,Gucungurwa
Make New Payment,Kora Ubwishyu bushya
Manage all,Gucunga byose
Manage and synchronize your offline transactions,Gucunga no guhuza ibikorwa byawe kumurongo
Manage Cashier PIN,Gucunga Cashier PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Gucunga ibikoresho bya interineti, kugenzura kugenzura, no kubungabunga uhereye kumurimo umwe."
manual,imfashanyigisho
"Manual codes, barcode scans, and QR scans work in the same field","Kode y'intoki, scan ya barcode, na QR scan ikora murwego rumwe"
Manual offline mode is enabled,Uburyo bwa interineti butemewe burashoboka
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Umubare ntarengwa waboneka ni {0}. Umubare wahinduwe kugirango uhuze ububiko.
Maximum discount amount for this offer item is {0}.,Umubare ntarengwa wo kugabanyirizwa iki kintu ni {0}.
Maximum discount percentage for this offer item is {0}%.,Umubare ntarengwa wo kugabanyirizwa iki kintu ni {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Umubare ntarengwa watanzwe ni {0}. Umubare wahinduwe ntarengwa.
Medium,Hagati
Method-wise Collections,Uburyo bukusanyirijwe hamwe
Minimum allowed rate for this offer item is {0}.,Igipimo ntarengwa cyemewe kuri iki kintu gitangwa ni {0}.
Minimum Qty,Ntarengwa Qty
Mobile No,Terefone Oya
Mode,Uburyo
Mode of Payment,Uburyo bwo Kwishura
Month,Ukwezi
Month ?,Ukwezi?
Monthly Profit,Inyungu ya buri kwezi
Monthly Sales,Kugurisha buri kwezi
Monthly Sales Summary,Incamake yo kugurisha buri kwezi
Month-wise,Ukwezi
Most Active Cashiers,Amafaranga menshi akora
Movement Type,Ubwoko bwimuka
Movements,Ingendo
Multi Currency,Amafaranga menshi
N/A,N / A.
Name,Izina
Negative Stock,Ububiko bubi
Negative Stock Items,Ibintu bibi
Negative values not allowed,Indangagaciro mbi ntizemewe
Net,Net
Net Qty,Net Qty
Net Sales,Igurishwa ryiza
Net Value,Agaciro keza
Never,Nta na rimwe
New changes are ready to load,Impinduka nshya ziteguye kwikorera
New Item,Ikintu gishya
New Offer Available,Igitekerezo gishya kiraboneka
New PIN,PIN Nshya
New rate,Igipimo gishya
Next unit of measure,Igice gikurikiraho
No attribute data found.,Nta kiranga amakuru yabonetse.
No Barcode,Nta Barcode
No barcode found for UOM '{0}',Nta barcode yabonetse kuri UOM '{0}'
No branch/location data found.,Nta shami / amakuru yamakuru yabonetse.
No brand data found.,Nta makuru yikimenyetso yabonetse.
No cached gift card balance is available offline.,Nta mpano yikarita yimpano isigaye iboneka kumurongo.
No camera found on this device. Please ensure your device has a working camera.,Nta kamera iboneka kuri iki gikoresho. Nyamuneka wemeze ko igikoresho cyawe gifite kamera ikora.
No capability warnings recorded yet.,Nta mbuzi zubushobozi zanditswe.
No cash expected for this shift.,Ntamafaranga ateganijwe kuriyi nteruro.
No cash mode configured,Nta buryo bw'amafaranga bwashyizweho
No cash movement type is allowed for this POS Profile.,Nta bwoko bwimodoka yemerewe kuri uyu mwirondoro wa POS.
No cashier PIN is set yet. Create one now.,Nta mucungamutungo PIN washyizweho. Kurema ubu.
No cashier profiles are available for this POS profile yet.,Nta mwirondoro wa kashi uraboneka kuriyi profil ya POS kugeza ubu.
No cashier-wise discount/void/return activity.,Nta cashier-yagabanutse / ubusa / igikorwa cyo kugaruka.
No category data found.,Nta cyiciro cyamakuru cyabonetse.
No category profitability data found.,Nta cyiciro cyunguka cyabonetse.
No change returned recorded for this shift.,Nta mpinduka yagarutse yanditswe kuriyi nteruro.
No change-allocation invoices match the current filters.,Nta fagitire yo guhindura-kugabana ihuye niyungurura.
No charge head breakdown found.,Nta kwishyuza umutwe wabonetse.
No Company Selected,Nta Isosiyete Yatoranijwe
No customer sales data found.,Nta makuru yo kugurisha abakiriya yabonetse.
No day-wise discount/void/return trend.,Nta munsi-wo kugabanya / ubusa / kugaruka.
No day-wise payment data found.,Nta makuru yumunsi yishyurwa yabonetse.
No day-wise profitability trend found.,Nta munsi-wunguka wunguka wabonetse.
No day-wise purchase data found.,Nta makuru yo kugura umunsi yabonetse.
No day-wise sales trend found.,Ntamunsi wo kugurisha wabonetse.
No day-wise tax/charges trend found.,Ntamunsi-wumusoro / ibiciro byabonetse.
No dead stock items.,Nta bintu byapfuye.
No due date,Nta tariki yagenwe
No exact repair match found for this invoice,Nta mukino wo gusana wabonetse kuriyi fagitire
No hourly sales trend found for today.,Nta cyerekezo cyo kugurisha cyisaha cyabonetse uyumunsi.
No invoice activity found.,Nta gikorwa cya fagitire cyabonetse.
No invoices found,Nta fagitire zabonetse
No invoices found. Try different search criteria.,Nta fagitire zabonetse. Gerageza ibipimo bitandukanye byo gushakisha.
No invoices recorded for this shift.,Nta fagitire zanditswe kuriyi nteruro.
No item profitability data found.,Nta kintu cyunguka cyabonetse.
No item sales data found for this period.,Nta makuru yo kugurisha ibintu yabonetse muri iki gihe.
No items found,Nta kintu cyabonetse
No items in cart,Nta kintu kiri mu igare
No items with barcodes to print,Ntakintu gifite kode yo gucapa
No location-wise top item data found.,Nta kibanza-cyiza cyo hejuru cyibintu byabonetse.
No low stock alerts right now.,Nta bubiko buke bwo kumenyesha nonaha.
No low stock items.,Nta bintu biri hasi.
No matching items in cart,Ntakintu gihuye mumagare
No month-wise sales trend found.,Nta kwezi-kugurisha kugurisha kuboneka.
No negative stock items.,Nta bintu bibi.
No notifications yet,Nta menyesha
No offline cash movement synced.,Ntamafaranga yo kumurongo wa interineti yahujwe.
No offline invoices pending synchronization,Nta fagitire zo kuri interineti zitegereje guhuza
No offline sync issues recorded yet.,Ntakibazo cyo guhuza kumurongo cyanditse kugeza ubu.
No out-of-stock items.,Nta bintu biri hanze yububiko.
No outstanding credit invoices for this shift.,Nta fagitire zinguzanyo zidasanzwe kuriyi nteruro.
No payment collection data found.,Nta makuru yo gukusanya yishyurwa yabonetse.
No payment rows available on this invoice.,Nta murongo wo kwishyura uboneka kuriyi fagitire.
No payments registered for this shift.,Nta bwishyu bwanditse kuriyi nteruro.
No pending balances in this period.,Nta buringanire butegereje muri iki gihe.
No pending offline invoices,Nta fagitire zitegereje
No Print Formats Found,Nta bicapiro byabonetse
No profiles found for selected scope. Falling back to current profile failed.,Nta mwirondoro wabonetse kurwego rwatoranijwe. Kugaruka kumurongo wubu byarananiranye.
No recent customer activity found.,Nta gikorwa cyabakiriya giherutse cyabonetse.
No recent stock entries found.,Nta byanditswe vuba aha byabonetse.
No records found,Nta nyandiko zabonetse
No reorder suggestions right now.,Nta byifuzo bya reorder ubungubu.
No repeat customers in this period.,Nta gusubiramo abakiriya muri iki gihe.
No response from server,Nta gisubizo kiva kuri seriveri
No return invoices found,Nta fagitire yo kugaruka yabonetse
No return item trend found.,Nta kintu cyo kugaruka cyabonetse.
No returnable items found for this invoice,Nta bintu bisubizwa byabonetse kuriyi fagitire
No returns were processed in this shift.,Nta garuka yatunganijwe muri iri hinduka.
No risk activity found.,Nta gikorwa cy'ingaruka cyabonetse.
No sales activity found for this period.,Nta gikorwa cyo kugurisha cyabonetse muri iki gihe.
No slow moving items.,Nta bintu bigenda buhoro.
No staff sales activity found.,Nta gikorwa cyo kugurisha abakozi cyabonetse.
No stock movement for this period.,Nta kugenda kwimigabane muri iki gihe.
No submitted cash movements in this shift.,Ntabwo amafaranga yatanzwe yatanzwe muriyi nteruro.
No supplier purchases found in this month.,Nta kugura ibicuruzwa byabonetse muri uku kwezi.
No suppliers found for this period.,Nta mutanga wabonetse muri iki gihe.
No sync trigger has run yet in this session.,Nta guhuza sync gukora kugeza ubu muriki cyiciro.
No tax head breakdown found.,Nta kugabanuka k'umusoro wabonetse.
No top items found for this location.,Nta bintu byo hejuru byabonetse aha hantu.
No unpaid invoices,Nta fagitire zitishyuwe
No variant data found.,Nta makuru atandukanye yabonetse.
No week-wise sales trend found.,Ntacyumweru cyo kugurisha cyabonetse.
No.,Oya.
Nobile Number,Numero ya nimero
Not available,Ntiboneka
Not checked,Ntabwo yagenzuwe
Not selected,Ntabwo byatoranijwe
Not Set,Ntabwo washyizweho
Notifications,Kumenyesha
Offer,Tanga
Offer Applied,Tanga Byakoreshejwe
Offer criteria exceeded,Ibipimo byatanzwe birenze
Offer Item,Tanga Ikintu
Offer item unavailable,Tanga ikintu kitaboneka
Offer Removed,Gutanga Byakuweho
Offer UOM cannot be changed,Tanga UOM ntishobora guhinduka
Offer?,Gutanga?
Offers,Amaturo
Offline,Kurubuga
Offline & Sync,Offline & Sync
Offline Capabilities,Ubushobozi bwa Offline
Offline data status refreshed,Offline data status yongeye kugarurwa
Offline diagnostics,Kwisuzumisha kumurongo
Offline Invoices,Inyemezabuguzi
Offline invoices status,Impapuro zerekana inyemezabuguzi
Offline invoices synced,Inyemezabuguzi zitangirwa kumurongo
Offline Queue: {0},Umurongo wa interineti: {0}
Offline rebuild guidance,Offline yubake ubuyobozi
Offline restore is unavailable for this session.,Kugarura kumurongo ntibishoboka muriki cyiciro.
Offline selling is available with degraded capabilities.,Kugurisha kumurongo birahari hamwe nubushobozi bwangiritse.
Offline snapshot does not match the current POS state.,Offline snapshot ntabwo ihuye na leta ya POS.
Offline Status,Imiterere ya Offline
"Offline, terminal, and system controls","Offline, terminal, na sisitemu igenzura"
OK,Nibyo
Online,Kumurongo
Open actions menu,Fungura ibikorwa
Open balance to collect,Fungura impirimbanyi zo gukusanya
Open Customer Display,Fungura abakiriya
Open drawer,Fungura igikurura
Open invoices,Fungura inyemezabuguzi
Open Payments?,Gufungura ubwishyu?
Open POS home,Fungura POS murugo
Open this screen from POS Menu -> Open Customer Display.,Fungura iyi ecran muri POS menu -> Fungura abakiriya berekana.
OpenCV image processing enabled - Enhanced barcode detection,Gufungura amashusho ya OpenCV birashoboka - Kumenyekanisha barcode yongerewe
OpenCV image processing unavailable on this device,Gufungura amashusho ya OpenCV ntibishoboka kuri iki gikoresho
OpenCV Off,Gufungura
OpenCV On,Gufungura
OpenCV processing disabled,Gufungura OpenCV byahagaritswe
Opening Amount,Amafaranga yo gufungura
Opening Cash,Gufungura amafaranga
options,amahitamo
Order,Tegeka
Original,Umwimerere
Other,Ibindi
Out,Hanze
Out of Stock,Ntibisanzwe
Out of Stock Items,Hanze y'ibintu
Outstanding,Indashyikirwa
Outstanding Credit by Currency,Inguzanyo zidasanzwe ku Ifaranga
Overdue,Igihe kirenze
Overpayment Change,Guhindura umushahara
Overpayment change deducted: {0},Impinduka zishyuwe zaciwe: {0}
Packing List,Urutonde
Page Format,Urupapuro
Page unavailable offline,Urupapuro rutaboneka kumurongo
Paid,Yishyuwe
Paid (orig):,Yishyuwe (inkomoko):
Paid Amount,Amafaranga yishyuwe
Paid change cannot be greater than total change!,Impinduka zishyuwe ntizishobora kurenza impinduka zose!
Paid:,Yishyuwe:
Parent Item,Ikintu cyababyeyi
Partial,Igice
Partly Paid,Amafaranga yishyuwe
Party Account,Konti y'Ishyaka
Party Type,Ubwoko bw'Ishyaka
Pause terminal until next cashier,Hagarika itumanaho kugeza kashi itaha
PAY,SHAKA
Payment,Kwishura
Payment Account,Konti yo Kwishura
Payment entries processed for Invoice {0},Inyandiko zo kwishyura zitunganijwe kuri fagitire {0}
Payment Entry Type,Ubwoko bwo Kwishura
Payment History,Amateka yo Kwishura
Payment ID,Indangamuntu yo kwishyura
Payment Method Report,Raporo yuburyo bwo kwishyura
Payment Methods,Uburyo bwo Kwishura
Payment of {0} received successfully.,Kwishura {0} byakiriwe neza.
Payment Progress,Amajyambere yo Kwishura
Payment Reconciliation,Ubwiyunge bwo Kwishura
Payment request status could not be retrieved. Please try again,Imiterere yo gusaba kwishyurwa ntishobora kuboneka. Nyamuneka gerageza
Payment Request took too long to respond. Please try requesting for payment again,Gusaba kwishyura byatwaye igihe kinini kugirango usubize. Nyamuneka gerageza usabe kwishyura
Payment saved offline,Ubwishyu bwabitswe kumurongo
Payment State,Leta yo Kwishura
Payment Status,Imiterere yo Kwishura
Payment submitted but print function could not be executed. Payment name not found.,Ubwishyu bwatanzwe ariko imirimo yo gucapa ntishobora gukorwa. Izina ryo kwishyura ntiriboneka.
Payment submitted.,Amafaranga yatanzwe.
Payment Summary,Incamake yo Kwishura
Payments,Kwishura
Payments are not open. Do you want to open payments and submit?,Kwishura ntabwo bifunguye. Urashaka gufungura ubwishyu no gutanga?
Payments by Mode of Payment,Kwishura muburyo bwo kwishyura
PDF,PDF
Peak Hour,Isaha yo hejuru
Peak Memory:,Kwibuka impinga:
Peak Server:,Seriveri:
Peak:,Impinga:
Pending,Bitegereje
Pending Amount,Amafaranga ategereje
Pending count updated from {0} to {1},Gutegereza kubara byavuguruwe kuva {0} kugeza kuri {1}
Pending Exposure,Gutegereza Kumurika
Pending Invoices,Inyemezabuguzi zitegereje
Pending Ratio,Igipimo gitegereje
Pending Sales,Gutegereza kugurisha
Pending sales: {0} | Cache usage: {1}%,Gutegereza kugurisha: {0} | Gukoresha ubwihisho: {1}%
Pending Sync,Gutegereza Sync
Pending: {0},Bitegereje: {0}
Pending: {0} | Synced: {1} | Draft: {2},Bitegereje: {0} | Byahujwe: {1} | Inyandiko: {2}
Per Page,Kurupapuro
Personal,Umuntu ku giti cye
Personal preferences adjust the current cashier experience without changing the active POS route.,Ibyifuzo byawe bwite bihindura uburambe bwa cashier udahinduye inzira ikora ya POS.
PIN confirmation does not match.,Kwemeza PIN ntabwo bihuye.
PIN must be 4 to 8 digits.,PIN igomba kuba imibare 4 kugeza 8.
Please add at least one item.,Nyamuneka ongeraho byibuze ikintu kimwe.
Please allow camera access to scan codes,Nyamuneka wemerere kamera kubona kode ya scan
Please enter payment amount,Nyamuneka andika amafaranga yo kwishyura
Please fill all required fields,Nyamuneka wuzuze imirima yose isabwa
Please make a payment or select a payment,Nyamuneka kora ubwishyu cyangwa uhitemo ubwishyu
Please request phone payment or use another payment method,Nyamuneka saba kwishyura terefone cyangwa ukoreshe ubundi buryo bwo kwishyura
Please select a customer first,Nyamuneka hitamo umukiriya
Please select a party,Nyamuneka hitamo ibirori
Please select a party before reconciling.,Nyamuneka hitamo ibirori mbere yo kwiyunga.
Please select a valid movement type.,Nyamuneka hitamo ubwoko bwimikorere yemewe.
Please select an invoice,Nyamuneka hitamo inyemezabuguzi
Please select company before reconciling.,Nyamuneka hitamo sosiyete mbere yo kwiyunga.
Please set the customer's mobile number,Nyamuneka shyira numero ya terefone igendanwa
Please try again or enter the item manually.,Nyamuneka ongera ugerageze cyangwa wandike ikintu nintoki.
Please verify the barcode or check the item's availability.,Nyamuneka reba barcode cyangwa urebe ikintu kiboneka.
Points,Ingingo
Popup blocked. Please allow popups.,Popup yahagaritswe. Nyamuneka wemerere popups.
POS,POS
POS controls and maintenance,POS igenzura no kuyitaho
POS Expense is disabled for this POS Profile.,Amafaranga ya POS arahagarikwa kuriyi myirondoro ya POS.
POS is running with limited offline prerequisites.,POS ikora hamwe na interineti ntarengwa.
POS Profile,Umwirondoro wa POS
Position the QR code or barcode within the scanning area,Shyira QR code cyangwa barcode mumwanya wo gusikana
Posting,Kohereza
Posting and Price List,Kohereza no kurutonde rwibiciro
Posting Date,Itariki yoherejwe
Preparing background sync,Gutegura guhuza ibice
"Press OK to continue offline with a warning, or Cancel to retry.","Kanda OK kugirango ukomeze kumurongo hamwe no kuburira, cyangwa Kureka kugerageza."
Previous unit of measure,Igice cyambere cyo gupima
Price List,Urutonde rwibiciro
Price List Rate,Igipimo cyibiciro
Price list rate updated locally only,Igipimo cyibiciro byavuguruwe mugace gusa
Pricing & Discounts,Igiciro & Kugabanuka
Pricing Rule,Amategeko agenga ibiciro
Print,Icapa
Print Draft,Shushanya Inyandiko
Print Format (Invoice),Icapa Imiterere (Inyemezabuguzi)
Print Format (Order),Shira Imiterere (Iteka)
Print invoice,Shira inyemezabuguzi
Print Purchase Invoice instead of PO,Shira inyemezabuguzi yo kugura aho kuba PO
Printer,Mucapyi
Processed returns impacting the shift totals,Inyungu zitunganijwe zigira ingaruka kuri shift zose
Processing Payment,Gutunganya ubwishyu
Processing payment entries for Invoice {0},Gutunganya ibyinjira byishyurwa kuri fagitire {0}
Profile,Umwirondoro
Profiles,Umwirondoro
Profit,Inyungu
Profit: Invoice Item Estimate,Inyungu: Ikigereranyo cya Fagitire
Profit: Stock Ledger (COGS),Inyungu: Igitabo cyimigabane (COGS)
Profitability Report,Raporo y'inyungu
Prorated return discount,Kugabanuka kugaruka
Purchase Amount,Kugura Amafaranga
Purchase Invoices,Kugura inyemezabuguzi
Purchase Order created,Kugura byashyizweho
Qty,Qty
Qualified,Yujuje ibyangombwa
Quantity,Umubare
Quantity exceeds available stock,Umubare urenze ububiko bwaboneka
Quick Actions,Ibikorwa Byihuse
Quotation {0} is Submitted,Amagambo {0} Yatanzwe
Quotation submitted,Amajambo yatanzwe
QZ Tray connected.,QZ Tray irahujwe.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray yaciwe n'intoki. Kanda Kwihuza kugirango ubisubiremo.
QZ Tray is not connected.,QZ Tray ntabwo ihujwe.
QZ Tray Setup,QZ Gushiraho
Rate,Igipimo
Rate adjusted to maximum allowed discount,Igipimo cyahinduwe kugiciro ntarengwa cyemewe
Ready,Witegure
Ready to resume,Witegure gusubukura
Ready!,Witegure!
Real-time POS insights for retail operations.,Igihe nyacyo POS ishishoza kubikorwa byo gucuruza.
Rebuild Offline Data,Ongera wubake amakuru ya Offline
Receive,Akira
Receive now,Akira nonaha
Received,Yakiriwe
Received:,Yakiriwe:
Recent Movement Entries,Ibyinjira byimuka vuba
Recent updates about your invoices,Amakuru agezweho kubyerekeye inyemezabuguzi
Recently Active Customers,Vuba aha
Rechecking connection,Kugenzura ihuza
Reconcile payment methods and close shift,Guhuza uburyo bwo kwishyura no gufunga shift
Reconciling Payments,Kwiyunga Kwishura
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Ongera uhuze kandi ufungure iyi page rimwe mugihe uri kumurongo, hanyuma kuvugurura kumurongo bizashobora kugarura."
Reconnect online to refresh cached offline data from the server.,Ongera uhuze kumurongo kugirango uhindure amakuru yatanzwe kuri seriveri.
Recreate local offline prerequisites from scratch,Kora ibyibanze bya interineti byateganijwe kuva kera
Recv:,Recv:
Redeem,Gucungura
Redeem / Scan,Gucungura / Gusikana
Redeem Amount,Gucungura amafaranga
Redeem Mode,Uburyo bwo gucungura
Redeemed Amount,Amafaranga yacunguwe
Redeemed credit cannot be greater than its total.,Inguzanyo yacunguwe ntishobora kurenza igiteranyo cyayo.
Redemption and Totals,Gucungurwa hamwe
Reference,Reba
Refresh,Ongera
Refresh Exchange Rate,Kuvugurura igipimo cyo kuvunja
Refresh Offline Data,Kuvugurura amakuru ya interineti
Refresh Printers,Kuvugurura Mucapyi
Refund,Gusubizwa
Release Notes,Kurekura Inyandiko
Reload,Ongera usubiremo
Reload customers,Ongera usubiremo abakiriya
Reload Items,Ongera usubiremo ibintu
Reload Now,Ongera usubiremo
Reload to apply the latest changes. Your current session will be refreshed.,Ongera ushyire mubikorwa impinduka zanyuma. Isomo ryanyu ryubu rizavugururwa.
Reload Workflow,Ongera usubiremo akazi
Remarks,Ijambo
Remarks are required.,Ijambo rirakenewe.
Remove,Kuraho
Remove barcode item,Kuraho ikintu cya barcode
Remove cached data and reload the POS app,Kuraho amakuru yabitswe hanyuma usubiremo porogaramu ya POS
Remove item,Kuraho ikintu
Remove Offer,Kuraho ituro
Reorder / Purchase Suggestions,Kwiyandikisha / Kugura Ibyifuzo
Repair Candidate,Gusana Umukandida
Repair Change Allocation,Gusana Impinduka
Repair requires an online connection,Gusana bisaba guhuza kumurongo
Repaired,Yasanwe
Repairing change allocation,Gusana ibyagabanijwe
Repeat Customers,Subiramo abakiriya
Repeat Rate,Subiramo igipimo
Request,Gusaba
Request ID: {0},Gusaba ID: {0}
Request Payment,Saba ubwishyu
Requested route: {0},Inzira isabwa: {0}
Required columns cannot be hidden,Inkingi zisabwa ntizishobora guhishwa
Reset,Gusubiramo
Reset item name,Ongera usubize izina
Reset to Default,Ongera usubiremo
Resource Health,Ubuzima bwiza
Restricted,Birabujijwe
Restricted operational controls for supervisors only.,Igenzurwa ryimikorere kubagenzuzi gusa.
Retry,Ongera ugerageze
Retry route,Ongera usubire inzira
Return,Garuka
Return Amount,Garuka Amafaranga
Return Count,Garuka Kubara
Return items must have negative quantities,Garuka ibintu bigomba kugira umubare mubi
Return total must be negative,Garuka byose bigomba kuba bibi
Return Valid Until,Garuka Byemewe Kugeza
Return window passed,Garuka idirishya ryarenze
Return without Invoice,Garuka nta fagitire
Returns,Garuka
Returns / Voids / Discounts,Garuka / Ubusa / Kugabanuka
Returns by Currency,Garuka ukoresheje Ifaranga
Revenue,Amafaranga yinjira
Review shift totals before submitting the closing entry,Ongera uhindure ibintu byose mbere yo gutanga ibyinjira
Round Off,Round Off
Rows,Imirongo
Rows:,Imirongo:
Rule,Amategeko
Sale,Igurisha
Sales,Kugurisha
Sales Order {0} is Submitted,Icyemezo cyo kugurisha {0} cyatanzwe
Sales Person and Print,Umuntu ugurisha no gucapa
Sales Person not found,Umuntu ugurisha ntabwo yabonetse
Sales processed,Igurisha ryatunganijwe
Sales Return,Kugaruka kugurisha
Sales Trend Report,Raporo yerekana ibicuruzwa
Save,Bika
Save & Clear,Bika & Clear
Save as POS Profile Default,Bika nka POS Umwirondoro Mburabuzi
Save Settings,Bika Igenamiterere
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Bika icapiro ryatoranijwe nka POS Umwirondoro usanzwe bityo irerekana mu buryo bwikora kuriyi mikorere.
Saved as draft because: {0},Yakijijwe nkumushinga kuko: {0}
Saving...,Kuzigama ...
Scale barcode detected. Quantity here is the number of labels to print.,Kode ya barcode yamenyekanye. Umubare hano ni umubare wibirango byo gucapa.
Scale barcode settings are not configured. Using item barcode only.,Igenamiterere rya barcode igenamiterere ntabwo ryashyizweho. Gukoresha ikintu kode gusa.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Ibipimo byerekana urugero barcode yabuze kuriyi ngingo / UOM. Gukoresha ikintu kode gusa.
Scan an existing card and top it up without leaving the payment flow.,Sikana ikarita ihari hanyuma uyishyire hejuru utaretse kwishyura.
Scan Error,Gusikana Ikosa
Scan or enter a gift card code to check balance or redeem.,Sikana cyangwa wandike ikarita yimpano kugirango ugenzure neza cyangwa ucungure.
Scan or paste the card code below.,Sikana cyangwa wandike ikarita yamakarita hepfo.
Scan QR Code/Barcode,Sikana QR Code / Barcode
Scan with camera,Sikana ukoresheje kamera
Scan-First Flow,Gusikana-Itemba rya mbere
Scanned Code:,Kode ya Scan:
Scanning for: {0},Gusikana kuri: {0}
Scanning items,Gusikana ibintu
Scan-Ready,Gusikana
Scope,Umwanya
Scope: All Profiles,Igipimo: Imyirondoro yose
Scope: Current Profile,Igipimo: Umwirondoro wa none
Scope: Specific Profile,Igipimo: Umwirondoro wihariye
Search,Shakisha
Search Account,Shakisha Konti
Search an invoice and continue the return flow without extra steps.,Shakisha inyemezabuguzi hanyuma ukomeze kugaruka nta ntambwe yinyongera.
Search customer,Shakisha umukiriya
Search invoices or customers,Shakisha inyemezabuguzi cyangwa abakiriya
Search item,Shakisha ikintu
Search item / code,Shakisha ikintu / kode
Search items or barcode,Shakisha ibintu cyangwa barcode
Search Mpesa Payments,Shakisha Mpesa Kwishura
Search return invoices or customers,Shakisha inyemezabuguzi cyangwa abakiriya
Search supplier,Shakisha utanga isoko
Search unpaid invoices or customers,Shakisha inyemezabuguzi zitishyuwe cyangwa abakiriya
Secure context (HTTPS or localhost) is required for camera access.,Imiterere itekanye (HTTPS cyangwa localhost) irakenewe kugirango kamera igerweho.
