POS Awesome,POS Świetne
Items added in POS will appear here automatically.,Artykuły dodane w POS pojawią się tutaj automatycznie.
Items added to invoice,Pozycje dodane do faktury
Items per page,Pozycje na stronę
Items Sold,Przedmioty sprzedane
Items/Invoice,Przedmioty/faktura
Item-wise Profitability,Rentowność pod względem przedmiotu
Journal Entry,Wpis do dziennika
json,json
Just now,Właśnie teraz
Keep offline prerequisites healthy and recover stale data safely.,Dbaj o prawidłowe wymagania wstępne trybu offline i bezpiecznie odzyskuj nieaktualne dane.
Labels,Etykiety
"Language, theme, terminal tools, and session controls.","Język, motyw, narzędzia terminalowe i elementy sterujące sesją."
Last,Ostatni
Last 14 Days (Paid vs Pending),Ostatnie 14 dni (wypłacone vs oczekujące)
Last 14 Days Activity,Aktywność z ostatnich 14 dni
Last 14 Days Gross Profit,Zysk brutto z ostatnich 14 dni
Last 14 Days Purchases,Zakupy z ostatnich 14 dni
Last 14 Days Tax/Charges,Podatki/opłaty z ostatnich 14 dni
Last sync:,Ostatnia synchronizacja:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Ostatnia synchronizacja: {0} | dobrze: {1} | nie powiodło się: {2} | pominięte: {3}
Latest entries for current shift,Najnowsze wpisy dla bieżącej zmiany
Lead Time,Czas realizacji
Limited,Ograniczona
lines,linie
List,Lista
Live Snapshot,Zrzut na żywo
Load a POS profile and cashier first.,Najpierw załaduj profil POS i kasjera.
Load More Invoices,Załaduj więcej faktur
Load previously saved invoices,Załaduj wcześniej zapisane faktury
Load Sale,Załaduj wyprzedaż
Load Sales Invoice,Załaduj fakturę sprzedaży
Loading app data...,Ładowanie danych aplikacji...
Loading customer database...,Ładowanie bazy danych klientów...
Loading customers...,Ładowanie klientów...
Loading database stats...,Ładowanie statystyk bazy danych...
Loading details...,Ładowanie szczegółów...
Loading invoice history...,Ładowanie historii faktur...
Loading items...,Ładowanie elementów...
Loading product catalog...,Ładowanie katalogu produktów...
Loading return invoices...,Ładowanie faktur zwrotnych...
Loading server CPU/memory usage...,Ładowanie użycia procesora/pamięci serwera...
Loading suppliers...,Ładowanie dostawców...
Loading unpaid invoices...,Ładowanie niezapłaconych faktur...
Loading view...,Ładowanie widoku...
Loading...,Ładowanie...
Local storage is unavailable. Switching to online-only mode.,Pamięć lokalna jest niedostępna. Przełączam na tryb wyłącznie online.
localStorage,lokalny magazyn
Location Performance,Wydajność lokalizacji
Locations,Lokalizacje
Lock Screen,Zablokuj ekran
Lookup Workflow,Przepływ pracy wyszukiwania
Loss,Strata
Low,Niski
Low Stock,Niski poziom zapasów
Low Stock Alerts,Powiadomienia o niskim stanie zapasów
Low Stock Items,Artykuły o niskim stanie magazynowym
Low Stock Threshold,Niski próg zapasów
Low Stock Total,Niska suma zapasów
Lowest Margin,Najniższa marża
Low-frequency maintenance and system details.,Konserwacja niskiej częstotliwości i szczegóły systemu.
Loyalty Redeemed,Lojalność wykupiona
Loyalty Redemption,Odkupienie lojalnościowe
Make New Payment,Dokonaj nowej płatności
Manage all,Zarządzaj wszystkimi
Manage and synchronize your offline transactions,Zarządzaj i synchronizuj swoje transakcje offline
Manage Cashier PIN,Zarządzaj kodem PIN kasjera
"Manage offline tools, terminal controls, and maintenance from one workspace.","Zarządzaj narzędziami offline, sterowaniem terminalem i konserwacją z jednego obszaru roboczego."
manual,instrukcja
"Manual codes, barcode scans, and QR scans work in the same field","Kody ręczne, skany kodów kreskowych i skany QR działają na tym samym polu"
Manual offline mode is enabled,Ręczny tryb offline jest włączony
Margin,Margines
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maksymalna dostępna ilość to {0}. Ilość dostosowana do stanu magazynowego.
Maximum discount amount for this offer item is {0}.,Maksymalna kwota rabatu dla tego elementu oferty wynosi {0}.
Maximum discount percentage for this offer item is {0}%.,Maksymalny procent rabatu dla tego elementu oferty wynosi {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksymalna ilość oferty to {0}. Ilość dostosowana do dozwolonego limitu.
Medium,Średni
Method-wise Collections,Kolekcje metodyczne
Minimum allowed rate for this offer item is {0}.,Minimalna dozwolona stawka dla tej pozycji oferty wynosi {0}.
Minimum Qty,Minimalna ilość
Mobile No,Numer telefonu komórkowego
Mode,Tryb
Mode of Payment,Sposób płatności
Month,Miesiąc
Month ?,Miesiąc?
Monthly Profit,Miesięczny zysk
Monthly Sales,Miesięczna sprzedaż
Monthly Sales Summary,Miesięczne podsumowanie sprzedaży
Month-wise,Miesięcznie
Most Active Cashiers,Najbardziej aktywni kasjerzy
Movement Type,Typ ruchu
Movements,Ruchy
Multi Currency,Wiele walut
N/A,Nie dotyczy
Name,Imię
Negative Stock,Zapas ujemny
Negative Stock Items,Negatywne pozycje magazynowe
Negative values not allowed,Wartości ujemne są niedozwolone
Net,Netto
Net Qty,Ilość netto
Net Sales,Sprzedaż netto
Net Value,Wartość netto
Never,Nigdy
New changes are ready to load,Nowe zmiany są gotowe do załadowania
New Item,Nowy przedmiot
New Offer Available,Dostępna nowa oferta
New PIN,Nowy PIN
New rate,Nowa stawka
Next unit of measure,Następna jednostka miary
No attribute data found.,Nie znaleziono danych atrybutów.
No Barcode,Brak kodu kreskowego
No barcode found for UOM '{0}',Nie znaleziono kodu kreskowego dla UOM „{0}”
No branch/location data found.,Nie znaleziono danych oddziału/lokalizacji.
No brand data found.,Nie znaleziono danych marki.
No cached gift card balance is available offline.,Saldo kart podarunkowych w pamięci podręcznej nie jest dostępne w trybie offline.
No camera found on this device. Please ensure your device has a working camera.,"Na tym urządzeniu nie znaleziono aparatu. Upewnij się, że Twoje urządzenie ma działającą kamerę."
No capability warnings recorded yet.,Nie zarejestrowano jeszcze żadnych ostrzeżeń o możliwościach.
No cash expected for this shift.,Za tę zmianę nie oczekuje się środków pieniężnych.
No cash mode configured,Nie skonfigurowano trybu gotówkowego
No cash movement type is allowed for this POS Profile.,Dla tego profilu punktu sprzedaży nie jest dozwolony żaden rodzaj przepływu gotówki.
No cashier PIN is set yet. Create one now.,Nie ustawiono jeszcze kodu PIN kasjera. Utwórz go teraz.
No cashier profiles are available for this POS profile yet.,Dla tego profilu punktu sprzedaży nie są jeszcze dostępne żadne profile kasjera.
No cashier-wise discount/void/return activity.,Brak działań związanych ze zniżkami/unieważnieniami/zwrotami ze strony kasjera.
No category data found.,Nie znaleziono danych kategorii.
No category profitability data found.,Nie znaleziono danych dotyczących rentowności kategorii.
No change returned recorded for this shift.,Dla tej zmiany nie zarejestrowano żadnej zmiany.
No change-allocation invoices match the current filters.,Żadne faktury z alokacją zmian nie odpowiadają bieżącym filtrom.
No charge head breakdown found.,Nie znaleziono awarii głowicy ładującej.
No Company Selected,Nie wybrano firmy
No customer sales data found.,Nie znaleziono danych o sprzedaży klientów.
No day-wise discount/void/return trend.,Brak dziennego trendu rabatów/unieważnień/zwrotów.
No day-wise payment data found.,Nie znaleziono danych dotyczących płatności dziennych.
No day-wise profitability trend found.,Nie znaleziono dziennego trendu rentowności.
No day-wise purchase data found.,Nie znaleziono danych o zakupach dziennych.
No day-wise sales trend found.,Nie znaleziono dziennego trendu sprzedaży.
No day-wise tax/charges trend found.,Nie znaleziono dziennego trendu dotyczącego podatków/opłat.
No dead stock items.,Brak martwych pozycji magazynowych.
No due date,Brak terminu
No exact repair match found for this invoice,Nie znaleziono dokładnego dopasowania naprawy dla tej faktury
No hourly sales trend found for today.,Nie znaleziono godzinowego trendu sprzedaży na dzisiaj.
No invoice activity found.,Nie znaleziono żadnych działań związanych z fakturami.
No invoices found,Nie znaleziono faktur
No invoices found. Try different search criteria.,Nie znaleziono faktur. Wypróbuj inne kryteria wyszukiwania.
No invoices recorded for this shift.,Dla tej zmiany nie zarejestrowano żadnych faktur.
No item profitability data found.,Nie znaleziono danych dotyczących rentowności pozycji.
No item sales data found for this period.,Nie znaleziono danych o sprzedaży artykułów w tym okresie.
No items found,Nie znaleziono żadnych elementów
No items in cart,Brak produktów w koszyku
No items with barcodes to print,Brak elementów z kodami kreskowymi do wydrukowania
No location-wise top item data found.,Nie znaleziono danych o najważniejszych pozycjach według lokalizacji.
No low stock alerts right now.,W tej chwili nie ma żadnych powiadomień o niskim stanie zapasów.
No low stock items.,Brak artykułów o niskim stanie magazynowym.
No matching items in cart,Brak pasujących produktów w koszyku
No month-wise sales trend found.,Nie znaleziono miesięcznego trendu sprzedaży.
No negative stock items.,Brak ujemnych pozycji magazynowych.
No notifications yet,Nie ma jeszcze żadnych powiadomień
No offline cash movement synced.,Brak zsynchronizowanego przepływu gotówki w trybie offline.
No offline invoices pending synchronization,Brak faktur offline oczekujących na synchronizację
No offline sync issues recorded yet.,Nie zarejestrowano jeszcze żadnych problemów z synchronizacją offline.
No out-of-stock items.,Brak artykułów niedostępnych w magazynie.
No outstanding credit invoices for this shift.,Brak zaległych faktur kredytowych dla tej zmiany.
No payment collection data found.,Nie znaleziono danych dotyczących pobierania płatności.
No payment rows available on this invoice.,Na tej fakturze nie ma dostępnych wierszy płatności.
No payments registered for this shift.,Dla tej zmiany nie zarejestrowano żadnych płatności.
No pending balances in this period.,Brak oczekujących sald w tym okresie.
No pending offline invoices,Brak oczekujących faktur offline
No Print Formats Found,Nie znaleziono formatów wydruku
No profiles found for selected scope. Falling back to current profile failed.,Nie znaleziono profili dla wybranego zakresu. Powrót do bieżącego profilu nie powiódł się.
No recent customer activity found.,Nie znaleziono ostatniej aktywności klienta.
No recent stock entries found.,Nie znaleziono ostatnich wpisów giełdowych.
No records found,Nie znaleziono żadnych rekordów
No reorder suggestions right now.,W tej chwili nie ma żadnych sugestii zmiany kolejności.
No repeat customers in this period.,Brak stałych klientów w tym okresie.
No response from server,Brak odpowiedzi z serwera
No return invoices found,Nie znaleziono faktur zwrotnych
No return item trend found.,Nie znaleziono trendu dotyczącego zwrotów.
No returnable items found for this invoice,Nie znaleziono artykułów podlegających zwrotowi dla tej faktury
No returns were processed in this shift.,Na tej zmianie nie przetworzono żadnych zwrotów.
No risk activity found.,Nie znaleziono ryzykownej aktywności.
No sales activity found for this period.,Nie znaleziono żadnych działań sprzedażowych w tym okresie.
No slow moving items.,Żadnych wolno poruszających się przedmiotów.
No staff sales activity found.,Nie znaleziono żadnych działań związanych ze sprzedażą personelu.
No stock movement for this period.,Brak ruchu zapasów w tym okresie.
No submitted cash movements in this shift.,Na tej zmianie nie przesłano żadnych przepływów pieniężnych.
No supplier purchases found in this month.,W tym miesiącu nie znaleziono zakupów od dostawcy.
No suppliers found for this period.,Nie znaleziono dostawców w tym okresie.
No sync trigger has run yet in this session.,W tej sesji nie uruchomiono jeszcze żadnego wyzwalacza synchronizacji.
No tax head breakdown found.,Nie znaleziono podziału na główne podatki.
No top items found for this location.,Nie znaleziono najlepszych pozycji dla tej lokalizacji.
No unpaid invoices,Żadnych niezapłaconych faktur
No variant data found.,Nie znaleziono danych wariantu.
No week-wise sales trend found.,Nie znaleziono tygodniowego trendu sprzedaży.
No.,Nie.
Nobile Number,Szlachetny Numer
Not available,Niedostępne
Not checked,Niesprawdzone
Not selected,Nie wybrano
Not Set,Nieustawione
Notifications,Powiadomienia
Offer,Oferta
Offer Applied,Oferta zastosowana
Offer criteria exceeded,Przekroczono kryteria oferty
Offer Item,Przedmiot oferty
Offer item unavailable,Pozycja oferty niedostępna
Offer Removed,Oferta usunięta
Offer UOM cannot be changed,JM oferty nie podlega zmianie
Offer?,Oferta?
Offers,Oferty
Offline,Nieaktywny
Offline & Sync,Offline i synchronizacja
Offline Capabilities,Możliwości offline
Offline data status refreshed,Odświeżono stan danych offline
Offline diagnostics,Diagnostyka offline
Offline Invoices,Faktury offline
Offline invoices status,Stan faktur offline
Offline invoices synced,Zsynchronizowane faktury offline
Offline Queue: {0},Kolejka offline: {0}
Offline rebuild guidance,Wskazówki dotyczące odbudowy offline
Offline restore is unavailable for this session.,Przywracanie w trybie offline jest niedostępne w tej sesji.
Offline selling is available with degraded capabilities.,Sprzedaż offline jest dostępna z ograniczonymi możliwościami.
Offline snapshot does not match the current POS state.,Migawka offline nie jest zgodna z bieżącym stanem punktu sprzedaży.
Offline Status,Stan offline
"Offline, terminal, and system controls","Sterowanie offline, terminalowe i systemowe"
OK,OK
Online,W Internecie
Open actions menu,Otwórz menu akcji
Open balance to collect,Otwórz saldo do zebrania
Open Customer Display,Otwórz wyświetlacz klienta
Open drawer,Otwórz szufladę
Open invoices,Otwarte faktury
Open Payments?,Otwarte płatności?
Open POS home,Otwórz stronę POS
Open this screen from POS Menu -> Open Customer Display.,Otwórz ten ekran z menu POS -> Otwórz wyświetlacz klienta.
OpenCV image processing enabled - Enhanced barcode detection,Włączono przetwarzanie obrazu OpenCV — ulepszone wykrywanie kodów kreskowych
OpenCV image processing unavailable on this device,Przetwarzanie obrazu OpenCV jest niedostępne na tym urządzeniu
OpenCV Off,OpenCV wyłączone
OpenCV On,OpenCV włączone
OpenCV processing disabled,Przetwarzanie OpenCV wyłączone
Opening Amount,Kwota otwarcia
Opening Cash,Otwarcie gotówki
options,opcje
Order,Zamów
Original,Oryginał
Other,Inne
Out,Wyjście
Out of Stock,Brak w magazynie
Out of Stock Items,Brakujące pozycje w magazynie
Outstanding,Znakomity
Outstanding Credit by Currency,Niespłacony kredyt według waluty
Overdue,Zaległe
Overpayment Change,Zmiana nadpłaty
Overpayment change deducted: {0},Odliczona zmiana nadpłaty: {0}
Packing List,Lista pakowania
Page Format,Format strony
Page unavailable offline,Strona niedostępna w trybie offline
Paid,Płatny
Paid (orig):,Płatne (oryg.):
Paid Amount,Zapłacona kwota
Paid change cannot be greater than total change!,Płatna zmiana nie może być większa niż całkowita zmiana!
Paid:,Płatne:
Parent Item,Element nadrzędny
Partial,Częściowe
Partly Paid,Częściowo płatne
Party Account,Konto Party
Party Type,Typ imprezy
Pause terminal until next cashier,Wstrzymaj terminal do następnego kasjera
PAY,ZAPŁAĆ
Payment,Płatność
Payment Account,Konto płatnicze
Payment entries processed for Invoice {0},Wpisy płatności przetworzone dla faktury {0}
Payment Entry Type,Typ wpisu płatności
Payment History,Historia płatności
Payment ID,Identyfikator płatności
Payment Method Report,Raport dotyczący metody płatności
Payment Methods,Metody płatności
Payment of {0} received successfully.,Płatność w wysokości {0} została pomyślnie odebrana.
Payment Progress,Postęp płatności
Payment Reconciliation,Uzgodnienie płatności
Payment request status could not be retrieved. Please try again,Nie można pobrać statusu żądania płatności. Spróbuj ponownie
Payment Request took too long to respond. Please try requesting for payment again,Odpowiedź na żądanie płatności trwała zbyt długo. Spróbuj ponownie poprosić o płatność
Payment saved offline,Płatność zapisana w trybie offline
Payment State,Stan płatności
Payment Status,Stan płatności
Payment submitted but print function could not be executed. Payment name not found.,"Płatność przesłana, ale nie można wykonać funkcji drukowania. Nie znaleziono nazwy płatności."
Payment submitted.,Płatność przesłana.
Payment Summary,Podsumowanie płatności
Payments,Płatności
Payments are not open. Do you want to open payments and submit?,Płatności nie są otwarte. Czy chcesz otworzyć płatności i przesłać je?
Payments by Mode of Payment,Płatności według sposobu płatności
PDF,PDF
Peak Hour,Godzina szczytu
Peak Memory:,Szczytowa pamięć:
Peak Server:,Serwer szczytowy:
Peak:,Szczyt:
Pending,Oczekujące
Pending Amount,Oczekująca kwota
Pending count updated from {0} to {1},Liczba oczekujących zaktualizowana z {0} do {1}
Pending Exposure,Oczekujące ujawnienie
Pending Invoices,Oczekujące faktury
Pending Ratio,Oczekujący współczynnik
Pending Sales,Oczekująca sprzedaż
Pending sales: {0} | Cache usage: {1}%,Oczekująca sprzedaż: {0} | Użycie pamięci podręcznej: {1}%
Pending Sync,Oczekująca synchronizacja
Pending: {0},Oczekujące: {0}
Pending: {0} | Synced: {1} | Draft: {2},Oczekujące: {0} | Zsynchronizowane: {1} | Wersja robocza: {2}
Per Page,Na stronę
Personal,Osobiste
Personal preferences adjust the current cashier experience without changing the active POS route.,Osobiste preferencje dostosowują bieżące doświadczenie kasjera bez zmiany aktywnej trasy POS.
PIN confirmation does not match.,Potwierdzenie PIN nie pasuje.
PIN must be 4 to 8 digits.,PIN musi mieć od 4 do 8 cyfr.
Please add at least one item.,Dodaj przynajmniej jedną pozycję.
Please allow camera access to scan codes,Zezwól na dostęp aparatu do skanowania kodów
Please enter payment amount,Proszę wpisać kwotę płatności
Please fill all required fields,Proszę wypełnić wszystkie wymagane pola
Please make a payment or select a payment,Proszę dokonać płatności lub wybrać płatność
Please request phone payment or use another payment method,Poproś o płatność telefonem lub skorzystaj z innej formy płatności
Please select a customer first,Najpierw wybierz klienta
Please select a party,Proszę wybrać imprezę
Please select a party before reconciling.,Przed uzgodnieniem wybierz stronę.
Please select a valid movement type.,Wybierz prawidłowy typ ruchu.
Please select an invoice,Proszę wybrać fakturę
Please select company before reconciling.,Przed uzgodnieniem wybierz firmę.
Please set the customer's mobile number,Proszę ustawić numer telefonu komórkowego klienta
Please try again or enter the item manually.,Spróbuj ponownie lub wprowadź element ręcznie.
Please verify the barcode or check the item's availability.,Sprawdź kod kreskowy lub sprawdź dostępność artykułu.
Points,Punkty
Popup blocked. Please allow popups.,Wyskakujące okienko zablokowane. Zezwól na wyskakujące okienka.
POS,punkt sprzedaży
POS controls and maintenance,Kontrola i konserwacja punktów sprzedaży
POS Expense is disabled for this POS Profile.,Wydatki POS są wyłączone dla tego profilu POS.
POS is running with limited offline prerequisites.,Punkt sprzedaży działa z ograniczonymi wymaganiami wstępnymi w trybie offline.
POS Profile,Profil punktu sprzedaży
Position the QR code or barcode within the scanning area,Umieść kod QR lub kod kreskowy w obszarze skanowania
Posting,Publikowanie
Posting and Price List,Publikowanie i cennik
Posting Date,Data opublikowania
Preparing background sync,Przygotowuję synchronizację w tle
"Press OK to continue offline with a warning, or Cancel to retry.","Naciśnij OK, aby kontynuować w trybie offline z ostrzeżeniem, lub Anuluj, aby spróbować ponownie."
Previous unit of measure,Poprzednia jednostka miary
Price List,Cennik
Price List Rate,Cennik Stawka
Price list rate updated locally only,Stawka cennika aktualizowana wyłącznie lokalnie
Pricing & Discounts,Ceny i rabaty
Pricing Rule,Zasada cenowa
Print,Wydrukuj
Print Draft,Wydrukuj wersję roboczą
Print Format (Invoice),Format wydruku (faktura)
Print Format (Order),Format wydruku (zamówienie)
Print invoice,Wydrukuj fakturę
Print Purchase Invoice instead of PO,Wydrukuj fakturę zakupu zamiast zamówienia zakupu
Printer,Drukarka
Processed returns impacting the shift totals,Przetworzone zwroty wpływające na sumę zmian
Processing Payment,Przetwarzanie płatności
Processing payment entries for Invoice {0},Przetwarzanie zapisów płatności dla faktury {0}
Profile,Profil
Profiles,Profile
Profit,Zysk
Profit: Invoice Item Estimate,Zysk: Oszacowanie pozycji na fakturze
Profit: Stock Ledger (COGS),Zysk: Księga akcyjna (COGS)
Profitability Report,Raport rentowności
Prorated return discount,Proporcjonalna zniżka za zwrot
Purchase Amount,Kwota zakupu
Purchase Invoices,Faktury zakupu
Purchase Order created,Utworzono zamówienie zakupu
Qty,Ilość
Qualified,Wykwalifikowany
Quantity,Ilość
Quantity exceeds available stock,Ilość przekracza dostępne zapasy
Quick Actions,Szybkie działania
Quotation {0} is Submitted,Oferta {0} została przesłana
Quotation submitted,Oferta złożona
QZ Tray connected.,Podłączona taca QZ.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ Tray jest odłączany ręcznie. Naciśnij Połącz, aby włączyć tę funkcję ponownie."
QZ Tray is not connected.,Podajnik QZ nie jest podłączony.
QZ Tray Setup,Konfiguracja tacy QZ
Rate,Oceń
Rate adjusted to maximum allowed discount,Stawka dostosowana do maksymalnego dozwolonego rabatu
Ready,Gotowy
Ready to resume,Gotowy do wznowienia
Ready!,Gotowy!
Real-time POS insights for retail operations.,Wgląd w punkty POS w czasie rzeczywistym dla operacji detalicznych.
Rebuild Offline Data,Odbuduj dane offline
Receive,Otrzymaj
Receive now,Otrzymaj teraz
Received,Otrzymano
Received:,Otrzymano:
Recent Movement Entries,Najnowsze wpisy dotyczące ruchu
Recent updates about your invoices,Najnowsze aktualizacje dotyczące Twoich faktur
Recently Active Customers,Ostatnio aktywni klienci
Rechecking connection,Ponowne sprawdzanie połączenia
Reconcile payment methods and close shift,Uzgodnij metody płatności i zamknij zmianę
Reconciling Payments,Uzgadnianie płatności
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Połącz się ponownie i otwórz tę stronę raz w trybie online, a odświeżenie w trybie offline umożliwi jej przywrócenie."
Reconnect online to refresh cached offline data from the server.,"Połącz się ponownie online, aby odświeżyć buforowane dane offline z serwera."
Recreate local offline prerequisites from scratch,Odtwórz od podstaw lokalne wymagania wstępne trybu offline
Recv:,Odbiór:
Redeem,Wykorzystaj
Redeem / Scan,Zrealizuj / zeskanuj
Redeem Amount,Wykorzystaj kwotę
Redeem Mode,Tryb realizacji
Redeemed Amount,Odkupiona kwota
Redeemed credit cannot be greater than its total.,Wykorzystany kredyt nie może być większy niż jego suma.
Redemption and Totals,Odkupienie i sumy
Reference,Odniesienie
Refresh,Odśwież
Refresh Exchange Rate,Odśwież kurs wymiany
Refresh Offline Data,Odśwież dane offline
Refresh Printers,Odśwież drukarki
Refund,Zwrot pieniędzy
Release Notes,Informacje o wydaniu
Reload,Załaduj ponownie
Reload customers,Załaduj ponownie klientów
Reload Items,Załaduj ponownie elementy
Reload Now,Załaduj ponownie teraz
Reload to apply the latest changes. Your current session will be refreshed.,"Załaduj ponownie, aby zastosować najnowsze zmiany. Twoja bieżąca sesja zostanie odświeżona."
Reload Workflow,Załaduj ponownie przepływ pracy
Remarks,Uwagi
Remarks are required.,Uwagi są wymagane.
Remove,Usuń
Remove barcode item,Usuń element z kodem kreskowym
Remove cached data and reload the POS app,Usuń dane z pamięci podręcznej i ponownie załaduj aplikację POS
Remove item,Usuń element
Remove Offer,Usuń ofertę
Reorder / Purchase Suggestions,Sugestie dotyczące ponownego zamówienia/zakupu
Repair Candidate,Kandydat do naprawy
Repair Change Allocation,Napraw Zmień alokację
Repair requires an online connection,Naprawa wymaga połączenia online
Repaired,Naprawiony
Repairing change allocation,Naprawa alokacji zmian
Repeat Customers,Powtarzający się klienci
Repeat Rate,Powtórz stawkę
Request,Żądanie
Request ID: {0},Identyfikator żądania: {0}
Request Payment,Poproś o płatność
Requested route: {0},Żądana trasa: {0}
Required columns cannot be hidden,Nie można ukryć wymaganych kolumn
Reset,Zresetuj
Reset item name,Zresetuj nazwę elementu
Reset to Default,Przywróć ustawienia domyślne
Resource Health,Zdrowie zasobów
Restricted,Ograniczone
Restricted operational controls for supervisors only.,Ograniczone kontrole operacyjne przeznaczone wyłącznie dla przełożonych.
Retry,Spróbuj ponownie
Retry route,Spróbuj ponownie trasy
Return,Wróć
Return Amount,Kwota zwrotu
Return Count,Liczba zwrotów
Return items must have negative quantities,Zwracane produkty muszą mieć ilości ujemne
Return total must be negative,Suma zwrotu musi być ujemna
Return Valid Until,Zwrot ważny do
Return window passed,Minęło okno zwrotu
Return without Invoice,Zwrot bez faktury
Returns,Powroty
Returns / Voids / Discounts,Zwroty / Anulowanie / Rabaty
Returns by Currency,Zwroty według waluty
Revenue,Przychody
Review shift totals before submitting the closing entry,Przed przesłaniem wpisu końcowego przejrzyj sumę zmian
Round Off,Zaokrąglić
Rows,Rzędy
Rows:,Wiersze:
Rule,Reguła
Sale,Sprzedaż
Sales,Sprzedaż
Sales Order {0} is Submitted,Zamówienie sprzedaży {0} zostało przesłane
Sales Person and Print,Sprzedawca i drukarz
Sales Person not found,Nie znaleziono sprzedawcy
Sales processed,Sprzedaż przetworzona
Sales Return,Zwrot sprzedaży
Sales Trend Report,Raport trendów sprzedaży
Save,Zapisz
Save & Clear,Zapisz i wyczyść
Save as POS Profile Default,Zapisz jako domyślny profil POS
Save Settings,Zapisz ustawienia
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Zapisz wybraną drukarkę jako domyślny profil POS, aby wyświetlała się automatycznie w tej konfiguracji."
Saved as draft because: {0},"Zapisano jako wersję roboczą, ponieważ: {0}"
Saving...,Zapisywanie...
Scale barcode detected. Quantity here is the number of labels to print.,Wykryto kod kreskowy wagi. Ilość oznacza liczbę etykiet do wydrukowania.
Scale barcode settings are not configured. Using item barcode only.,Ustawienia kodu kreskowego wagi nie są skonfigurowane. Używanie wyłącznie kodu kreskowego przedmiotu.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Brak kodu kreskowego szablonu skali dla tego artykułu/jednostki miary. Używanie wyłącznie kodu kreskowego przedmiotu.
Scan an existing card and top it up without leaving the payment flow.,Zeskanuj istniejącą kartę i doładuj ją bez opuszczania procesu płatności.
Scan Error,Błąd skanowania
Scan or enter a gift card code to check balance or redeem.,"Zeskanuj lub wprowadź kod karty podarunkowej, aby sprawdzić saldo lub zrealizować."
Scan or paste the card code below.,Zeskanuj lub wklej poniższy kod karty.
Scan QR Code/Barcode,Zeskanuj kod QR/kod kreskowy
Scan with camera,Skanuj aparatem
Scan-First Flow,Przepływ pierwszego skanowania
Scanned Code:,Zeskanowany kod:
Scanning for: {0},Skanowanie w poszukiwaniu: {0}
Scanning items,Skanowanie elementów
Scan-Ready,Gotowy do skanowania
Scope,Zakres
Scope: All Profiles,Zakres: wszystkie profile
Scope: Current Profile,Zakres: aktualny profil
Scope: Specific Profile,Zakres: Specjalny profil
Search,Szukaj
Search Account,Wyszukaj konto
Search an invoice and continue the return flow without extra steps.,Wyszukaj fakturę i kontynuuj przepływ zwrotny bez dodatkowych kroków.
Search customer,Wyszukaj klienta
Search invoices or customers,Wyszukaj faktury lub klientów
Search item,Wyszukaj element
Search item / code,Wyszukaj przedmiot/kod
Search items or barcode,Wyszukaj elementy lub kod kreskowy
Search Mpesa Payments,Wyszukaj płatności Mpesa
Search return invoices or customers,Wyszukaj faktury zwrotne lub klientów
Search supplier,Wyszukaj dostawcę
Search unpaid invoices or customers,Wyszukaj niezapłacone faktury lub klientów
Secure context (HTTPS or localhost) is required for camera access.,Dostęp do kamery wymaga bezpiecznego kontekstu (HTTPS lub localhost).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"Bezpieczny kontekst (HTTPS) wymagany do uzyskania dostępu do kamery. Aby uzyskać dostęp do kamery, użyj protokołu HTTPS."
Select,Wybierz
Select a cashier first.,Najpierw wybierz kasjera.
Select a customer,Wybierz klienta
Select a customer to use coupon,"Wybierz klienta, który ma skorzystać z kuponu"
Select a printer to use QZ silent printing.,"Wybierz drukarkę, aby korzystać z cichego drukowania QZ."
Select Batch,Wybierz opcję Partia
Select Columns to Display,Wybierz kolumny do wyświetlenia
Select items to sell,Wybierz przedmioty do sprzedania
Select Payment,Wybierz opcję Płatność
Select Payment Account,Wybierz Konto płatnicze
Select printer,Wybierz drukarkę
Select Return Invoice,Wybierz opcję Zwrot faktury
Select S.O,Wybierz S.O
Select Sales Orders,Wybierz Zamówienia sprzedaży
Select the cashier who is taking over this terminal.,"Wybierz kasjera, który przejmuje ten terminal."
Selected,Wybrane
Selected movement type is not allowed by POS Profile.,Wybrany typ ruchu nie jest dozwolony w profilu POS.
Selected Payments,Wybrane płatności
Sensitive actions kept away from quick taps.,Wrażliwe działania trzymane z dala od szybkich dotknięć.
Serial,seryjny
Serial Numbers,Numery seryjne
Server CPU Usage:,Użycie procesora serwera:
Server Health,Kondycja serwera
Server Memory Usage:,Użycie pamięci serwera:
Server Metrics,Metryki serwera
Server Uptime:,Czas pracy serwera:
Service Charges,Opłaty za usługi
Session,Sesja
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Ustaw każdy kod PIN kasjera w formularzu Użytkownik i zachowaj członków terminala przypisanych do użytkownika profilu POS.
Settings,Ustawienia
Settings in this section update the POS workspace without changing the current route.,Ustawienia w tej sekcji aktualizują obszar roboczy punktu sprzedaży bez zmiany bieżącej trasy.
