POS Awesome,POS Hebat
Latest entries for current shift,Penyertaan terkini untuk syif semasa
Lead Time,Masa Utama
Limited,Terhad
lines,garisan
List,Senaraikan
Live Snapshot,Gambar Langsung
Load a POS profile and cashier first.,Muatkan profil POS dan juruwang dahulu.
Load More Invoices,Muatkan Lagi Invois
Load previously saved invoices,Muatkan invois yang disimpan sebelum ini
Load Sale,Jualan Muatkan
Load Sales Invoice,Muatkan Invois Jualan
Loading app data...,Memuatkan data apl...
Loading customer database...,Memuatkan pangkalan data pelanggan...
Loading customers...,Memuatkan pelanggan...
Loading database stats...,Memuatkan statistik pangkalan data...
Loading details...,Memuatkan butiran...
Loading invoice history...,Memuatkan sejarah invois...
Loading items...,Memuatkan item...
Loading product catalog...,Memuatkan katalog produk...
Loading return invoices...,Memuatkan invois pemulangan...
Loading server CPU/memory usage...,Memuatkan penggunaan CPU/memori pelayan...
Loading suppliers...,Memuatkan pembekal...
Loading unpaid invoices...,Memuatkan invois yang belum dibayar...
Loading view...,Memuatkan paparan...
Loading...,Memuatkan...
Local storage is unavailable. Switching to online-only mode.,Storan tempatan tidak tersedia. Bertukar kepada mod dalam talian sahaja.
localStorage,localStorage
Location Performance,Prestasi Lokasi
Locations,Lokasi
Lock Screen,Kunci Skrin
Lookup Workflow,Aliran Kerja Carian
Loss,rugi
Low,rendah
Low Stock,Stok Rendah
Low Stock Alerts,Makluman Stok Rendah
Low Stock Items,Barang Stok Rendah
Low Stock Threshold,Ambang Stok Rendah
Low Stock Total,Jumlah Stok Rendah
Lowest Margin,Margin Terendah
Low-frequency maintenance and system details.,Penyelenggaraan frekuensi rendah dan butiran sistem.
Loyalty Redeemed,Kesetiaan Ditebus
Loyalty Redemption,Penebusan Kesetiaan
Make New Payment,Buat Pembayaran Baru
Manage all,Urus semua
Manage and synchronize your offline transactions,Urus dan segerakkan transaksi luar talian anda
Manage Cashier PIN,Urus PIN Juruwang
"Manage offline tools, terminal controls, and maintenance from one workspace.","Urus alatan luar talian, kawalan terminal dan penyelenggaraan dari satu ruang kerja."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Kod manual, imbasan kod bar dan imbasan QR berfungsi dalam medan yang sama"
Manual offline mode is enabled,Mod luar talian manual didayakan
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Kuantiti maksimum yang tersedia ialah {0}. Kuantiti diselaraskan mengikut stok.
Maximum discount amount for this offer item is {0}.,Amaun diskaun maksimum untuk item tawaran ini ialah {0}.
Maximum discount percentage for this offer item is {0}%.,Peratusan diskaun maksimum untuk item tawaran ini ialah {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Kuantiti tawaran maksimum ialah {0}. Kuantiti diselaraskan kepada had yang dibenarkan.
Medium,Sederhana
Method-wise Collections,Koleksi mengikut kaedah
Minimum allowed rate for this offer item is {0}.,Kadar minimum yang dibenarkan untuk item tawaran ini ialah {0}.
Minimum Qty,Kuantiti Minimum
Mobile No,Mudah Alih No
Mode,Mod
Mode of Payment,Cara Pembayaran
Month,bulan
Month ?,bulan ?
Monthly Profit,Keuntungan Bulanan
Monthly Sales,Jualan Bulanan
Monthly Sales Summary,Ringkasan Jualan Bulanan
Month-wise,Dari segi bulan
Most Active Cashiers,Juruwang Paling Aktif
Movement Type,Jenis Pergerakan
Movements,Pergerakan
Multi Currency,Pelbagai Mata Wang
N/A,T/A
Name,Nama
Negative Stock,Saham Negatif
Negative Stock Items,Item Stok Negatif
Negative values not allowed,Nilai negatif tidak dibenarkan
Net,bersih
Net Qty,Kuantiti Bersih
Net Sales,Jualan Bersih
Net Value,Nilai Bersih
Never,tidak pernah
New changes are ready to load,Perubahan baharu sedia untuk dimuatkan
New Item,Item Baru
New Offer Available,Tawaran Baharu Tersedia
New PIN,PIN baharu
New rate,Kadar baru
Next unit of measure,Unit ukuran seterusnya
No attribute data found.,Tiada data atribut ditemui.
No Barcode,Tiada Kod Bar
No barcode found for UOM '{0}',Tiada kod bar ditemui untuk UOM '{0}'
No branch/location data found.,Tiada data cawangan/lokasi ditemui.
No brand data found.,Tiada data jenama ditemui.
No cached gift card balance is available offline.,Tiada baki kad hadiah cache tersedia di luar talian.
No camera found on this device. Please ensure your device has a working camera.,Tiada kamera ditemui pada peranti ini. Sila pastikan peranti anda mempunyai kamera yang berfungsi.
No capability warnings recorded yet.,Tiada amaran keupayaan direkodkan lagi.
No cash expected for this shift.,Tiada wang tunai dijangka untuk syif ini.
No cash mode configured,Tiada mod tunai dikonfigurasikan
No cash movement type is allowed for this POS Profile.,Tiada jenis pergerakan tunai dibenarkan untuk Profil POS ini.
No cashier PIN is set yet. Create one now.,Tiada PIN juruwang ditetapkan lagi. Buat satu sekarang.
No cashier profiles are available for this POS profile yet.,Tiada profil juruwang tersedia untuk profil POS ini lagi.
No cashier-wise discount/void/return activity.,Tiada aktiviti diskaun/kosong/pemulangan dari segi juruwang.
No category data found.,Tiada data kategori ditemui.
No category profitability data found.,Tiada data keberuntungan kategori ditemui.
No change returned recorded for this shift.,Tiada perubahan yang dikembalikan direkodkan untuk syif ini.
No change-allocation invoices match the current filters.,Tiada invois peruntukan perubahan sepadan dengan penapis semasa.
No charge head breakdown found.,Tiada pecahan kepala caj ditemui.
No Company Selected,Tiada Syarikat Dipilih
No customer sales data found.,Tiada data jualan pelanggan ditemui.
No day-wise discount/void/return trend.,Tiada trend diskaun/kekosongan/pemulangan mengikut hari.
No day-wise payment data found.,Tiada data pembayaran harian ditemui.
No day-wise profitability trend found.,Tiada aliran keuntungan mengikut hari ditemui.
No day-wise purchase data found.,Tiada data pembelian mengikut hari ditemui.
No day-wise sales trend found.,Tiada trend jualan mengikut hari ditemui.
No day-wise tax/charges trend found.,Tiada aliran cukai/caj mengikut hari ditemui.
No dead stock items.,Tiada barang stok mati.
No due date,Tiada tarikh akhir
No exact repair match found for this invoice,Tiada padanan pembaikan tepat ditemui untuk invois ini
No hourly sales trend found for today.,Tiada aliran jualan setiap jam ditemui untuk hari ini.
No invoice activity found.,Tiada aktiviti invois ditemui.
No invoices found,Tiada invois ditemui
No invoices found. Try different search criteria.,Tiada invois ditemui. Cuba kriteria carian yang berbeza.
No invoices recorded for this shift.,Tiada invois direkodkan untuk syif ini.
No item profitability data found.,Tiada data keuntungan item ditemui.
No item sales data found for this period.,Tiada data jualan item ditemui untuk tempoh ini.
No items found,Tiada item ditemui
No items in cart,Tiada item dalam troli
No items with barcodes to print,Tiada item dengan kod bar untuk dicetak
No location-wise top item data found.,Tiada data item teratas mengikut lokasi ditemui.
No low stock alerts right now.,Tiada makluman stok rendah sekarang.
No low stock items.,Tiada barang stok rendah.
No matching items in cart,Tiada item yang sepadan dalam troli
No month-wise sales trend found.,Tiada trend jualan bulanan ditemui.
No negative stock items.,Tiada barang stok negatif.
No notifications yet,Tiada pemberitahuan lagi
No offline cash movement synced.,Tiada pergerakan tunai luar talian disegerakkan.
No offline invoices pending synchronization,Tiada invois luar talian menunggu penyegerakan
No offline sync issues recorded yet.,Tiada isu penyegerakan luar talian lagi direkodkan.
No out-of-stock items.,Tiada barang kehabisan stok.
No outstanding credit invoices for this shift.,Tiada invois kredit tertunggak untuk peralihan ini.
No payment collection data found.,Tiada data kutipan pembayaran ditemui.
No payment rows available on this invoice.,Tiada baris pembayaran tersedia pada invois ini.
No payments registered for this shift.,Tiada bayaran didaftarkan untuk syif ini.
No pending balances in this period.,Tiada baki belum selesai dalam tempoh ini.
No pending offline invoices,Tiada invois luar talian belum selesai
No Print Formats Found,Tiada Format Cetakan Ditemui
No profiles found for selected scope. Falling back to current profile failed.,Tiada profil ditemui untuk skop yang dipilih. Gagal kembali ke profil semasa.
No recent customer activity found.,Tiada aktiviti pelanggan baru-baru ini ditemui.
No recent stock entries found.,Tiada entri stok terkini ditemui.
No records found,Tiada rekod ditemui
No reorder suggestions right now.,Tiada cadangan susunan semula sekarang.
No repeat customers in this period.,Tiada pelanggan berulang dalam tempoh ini.
No response from server,Tiada respons daripada pelayan
No return invoices found,Tiada invois pemulangan ditemui
No return item trend found.,Tiada aliran item pemulangan ditemui.
No returnable items found for this invoice,Tiada item yang boleh dikembalikan ditemui untuk invois ini
No returns were processed in this shift.,Tiada pemulangan diproses dalam syif ini.
No risk activity found.,Tiada aktiviti risiko ditemui.
No sales activity found for this period.,Tiada aktiviti jualan ditemui untuk tempoh ini.
No slow moving items.,Tiada barang yang bergerak perlahan.
No staff sales activity found.,Tiada aktiviti jualan kakitangan ditemui.
No stock movement for this period.,Tiada pergerakan saham untuk tempoh ini.
No submitted cash movements in this shift.,Tiada pergerakan tunai yang diserahkan dalam syif ini.
No supplier purchases found in this month.,Tiada pembelian pembekal ditemui pada bulan ini.
No suppliers found for this period.,Tiada pembekal ditemui untuk tempoh ini.
No sync trigger has run yet in this session.,Tiada pencetus penyegerakan telah dijalankan dalam sesi ini.
No tax head breakdown found.,Tiada pecahan kepala cukai ditemui.
No top items found for this location.,Tiada item teratas ditemui untuk lokasi ini.
No unpaid invoices,Tiada invois yang belum dibayar
No variant data found.,Tiada data varian ditemui.
No week-wise sales trend found.,Tiada trend jualan mingguan ditemui.
No.,Tidak.
Nobile Number,Nobil Bangsawan
Not available,Tidak tersedia
Not checked,Tidak diperiksa
Not selected,Tidak dipilih
Not Set,Tidak Ditetapkan
Notifications,Pemberitahuan
Offer,Tawaran
Offer Applied,Tawaran Digunakan
Offer criteria exceeded,Kriteria tawaran melebihi
Offer Item,Item Tawaran
Offer item unavailable,Item tawaran tidak tersedia
Offer Removed,Tawaran Dialih Keluar
Offer UOM cannot be changed,Tawaran UOM tidak boleh diubah
Offer?,Tawaran?
Offers,Tawaran
Offline,Luar talian
Offline & Sync,Luar Talian & Segerak
Offline Capabilities,Keupayaan Luar Talian
Offline data status refreshed,Status data luar talian dimuat semula
Offline diagnostics,Diagnostik luar talian
Offline Invoices,Invois Luar Talian
Offline invoices status,Status invois luar talian
Offline invoices synced,Invois luar talian disegerakkan
Offline Queue: {0},Baris Gilir Luar Talian: {0}
Offline rebuild guidance,Panduan membina semula luar talian
Offline restore is unavailable for this session.,Pemulihan luar talian tidak tersedia untuk sesi ini.
Offline selling is available with degraded capabilities.,Jualan luar talian tersedia dengan keupayaan yang terdegradasi.
Offline snapshot does not match the current POS state.,Gambar luar talian tidak sepadan dengan keadaan POS semasa.
Offline Status,Status Luar Talian
"Offline, terminal, and system controls","Kawalan luar talian, terminal dan sistem"
OK,OK
Online,dalam talian
Open actions menu,Buka menu tindakan
Open balance to collect,Buka baki untuk mengumpul
Open Customer Display,Buka Paparan Pelanggan
Open drawer,Buka laci
Open invoices,Buka invois
Open Payments?,Buka Pembayaran?
Open POS home,Buka rumah POS
Open this screen from POS Menu -> Open Customer Display.,Buka skrin ini dari Menu POS -> Buka Paparan Pelanggan.
OpenCV image processing enabled - Enhanced barcode detection,Pemprosesan imej OpenCV didayakan - Pengesanan kod bar dipertingkat
OpenCV image processing unavailable on this device,Pemprosesan imej OpenCV tidak tersedia pada peranti ini
OpenCV Off,OpenCV Mati
OpenCV On,OpenCV Hidup
OpenCV processing disabled,Pemprosesan OpenCV dilumpuhkan
Opening Amount,Jumlah Pembukaan
Opening Cash,Tunai Pembukaan
options,pilihan
Order,Pesanan
Original,Asal
Other,Lain-lain
Out,keluar
Out of Stock,Kehabisan Stok
Out of Stock Items,Barang Kehabisan Stok
Outstanding,Cemerlang
Outstanding Credit by Currency,Kredit Tertunggak mengikut Mata Wang
Overdue,Tertunggak
Overpayment Change,Perubahan Lebihan Bayaran
Overpayment change deducted: {0},Perubahan lebihan bayaran ditolak: {0}
Packing List,Senarai Pembungkusan
Page Format,Format Halaman
Page unavailable offline,Halaman tidak tersedia di luar talian
Paid,Dibayar
Paid (orig):,Dibayar (asal):
Paid Amount,Jumlah Dibayar
Paid change cannot be greater than total change!,Perubahan berbayar tidak boleh lebih besar daripada jumlah perubahan!
Paid:,Dibayar:
Parent Item,Item Induk
Partial,separa
Partly Paid,Sebahagian Dibayar
Party Account,Akaun Parti
Party Type,Jenis Parti
Pause terminal until next cashier,Jeda terminal sehingga juruwang seterusnya
PAY,BAYAR
Payment,Bayaran
Payment Account,Akaun Pembayaran
Payment entries processed for Invoice {0},Entri pembayaran diproses untuk Invois {0}
Payment Entry Type,Jenis Kemasukan Pembayaran
Payment History,Sejarah Pembayaran
Payment ID,ID Pembayaran
Payment Method Report,Laporan Kaedah Pembayaran
Payment Methods,Kaedah Pembayaran
Payment of {0} received successfully.,Pembayaran sebanyak {0} berjaya diterima.
Payment Progress,Kemajuan Pembayaran
Payment Reconciliation,Penyesuaian Pembayaran
Payment request status could not be retrieved. Please try again,Status permintaan pembayaran tidak dapat diambil. Sila cuba lagi
Payment Request took too long to respond. Please try requesting for payment again,Permintaan Pembayaran mengambil masa terlalu lama untuk membalas. Sila cuba minta pembayaran sekali lagi
Payment saved offline,Pembayaran disimpan di luar talian
Payment State,Negeri Pembayaran
Payment Status,Status Pembayaran
Payment submitted but print function could not be executed. Payment name not found.,Pembayaran diserahkan tetapi fungsi cetakan tidak dapat dilaksanakan. Nama pembayaran tidak ditemui.
Payment submitted.,Bayaran diserahkan.
Payment Summary,Ringkasan Pembayaran
Payments,Pembayaran
Payments are not open. Do you want to open payments and submit?,Pembayaran tidak dibuka. Adakah anda ingin membuka pembayaran dan menyerahkan?
Payments by Mode of Payment,Pembayaran mengikut Cara Pembayaran
PDF,PDF
Peak Hour,Waktu Puncak
Peak Memory:,Memori Puncak:
Peak Server:,Pelayan Puncak:
Peak:,puncak:
Pending,Belum selesai
Pending Amount,Jumlah belum selesai
Pending count updated from {0} to {1},Kiraan belum selesai dikemas kini dari {0} hingga {1}
Pending Exposure,Menunggu Pendedahan
Pending Invoices,Invois belum selesai
Pending Ratio,Nisbah belum selesai
Pending Sales,Jualan belum selesai
Pending sales: {0} | Cache usage: {1}%,Jualan belum selesai: {0} | Penggunaan cache: {1}%
Pending Sync,Menunggu Penyegerakan
Pending: {0},Belum selesai: {0}
Pending: {0} | Synced: {1} | Draft: {2},Belum selesai: {0} | Disegerakkan: {1} | Draf: {2}
Per Page,Setiap Halaman
Personal,Peribadi
Personal preferences adjust the current cashier experience without changing the active POS route.,Pilihan peribadi melaraskan pengalaman juruwang semasa tanpa menukar laluan POS aktif.
PIN confirmation does not match.,Pengesahan PIN tidak sepadan.
PIN must be 4 to 8 digits.,PIN mestilah 4 hingga 8 digit.
Please add at least one item.,Sila tambah sekurang-kurangnya satu item.
Please allow camera access to scan codes,Sila benarkan akses kamera untuk mengimbas kod
Please enter payment amount,Sila masukkan jumlah pembayaran
Please fill all required fields,Sila isi semua medan yang diperlukan
Please make a payment or select a payment,Sila buat pembayaran atau pilih pembayaran
Please request phone payment or use another payment method,Sila minta pembayaran melalui telefon atau gunakan kaedah pembayaran lain
Please select a customer first,Sila pilih pelanggan dahulu
Please select a party,Sila pilih parti
Please select a party before reconciling.,Sila pilih parti sebelum berdamai.
Please select a valid movement type.,Sila pilih jenis pergerakan yang sah.
Please select an invoice,Sila pilih invois
Please select company before reconciling.,Sila pilih syarikat sebelum mendamaikan.
Please set the customer's mobile number,Sila tetapkan nombor telefon bimbit pelanggan
Please try again or enter the item manually.,Sila cuba lagi atau masukkan item secara manual.
Please verify the barcode or check the item's availability.,Sila sahkan kod bar atau semak ketersediaan item.
Points,mata
Popup blocked. Please allow popups.,Pop timbul disekat. Sila benarkan pop timbul.
POS,POS
POS controls and maintenance,Kawalan dan penyelenggaraan POS
POS Expense is disabled for this POS Profile.,Perbelanjaan POS dilumpuhkan untuk Profil POS ini.
POS is running with limited offline prerequisites.,POS berjalan dengan prasyarat luar talian yang terhad.
POS Profile,Profil POS
Position the QR code or barcode within the scanning area,Letakkan kod QR atau kod bar dalam kawasan pengimbasan
Posting,Penyiaran
Posting and Price List,Penyiaran dan Senarai Harga
Posting Date,Tarikh Pengeposan
Preparing background sync,Menyediakan penyegerakan latar belakang
"Press OK to continue offline with a warning, or Cancel to retry.","Tekan OK untuk meneruskan luar talian dengan amaran, atau Batal untuk mencuba semula."
Previous unit of measure,Unit ukuran sebelumnya
Price List,Senarai Harga
Price List Rate,Kadar Senarai Harga
Price list rate updated locally only,Kadar senarai harga dikemas kini secara tempatan sahaja
Pricing & Discounts,Harga & Diskaun
Pricing Rule,Peraturan Harga
Print,Cetak
Print Draft,Cetak Draf
Print Format (Invoice),Format Cetak (Invois)
Print Format (Order),Format Cetak (Pesanan)
Print invoice,Cetak invois
Print Purchase Invoice instead of PO,Cetak Invois Pembelian dan bukannya PO
Printer,Pencetak
Processed returns impacting the shift totals,Pulangan yang diproses memberi kesan kepada jumlah syif
Processing Payment,Memproses Pembayaran
Processing payment entries for Invoice {0},Memproses entri pembayaran untuk Invois {0}
Profile,Profil
Profiles,Profil
Profit,Untung
Profit: Invoice Item Estimate,Keuntungan: Anggaran Item Invois
Profit: Stock Ledger (COGS),Keuntungan: Lejar Stok (COGS)
Profitability Report,Laporan Keberuntungan
Prorated return discount,Diskaun pulangan prorata
Purchase Amount,Jumlah Belian
Purchase Invoices,Invois Belian
Purchase Order created,Pesanan Belian dibuat
Qty,Kuantiti
Qualified,Berkelayakan
Quantity,Kuantiti
Quantity exceeds available stock,Kuantiti melebihi stok yang ada
Quick Actions,Tindakan Pantas
Quotation {0} is Submitted,Sebutharga {0} telah Diserahkan
Quotation submitted,Sebutharga diserahkan
QZ Tray connected.,Dulang QZ disambungkan.
QZ Tray is manually disconnected. Press Connect to enable it again.,Dulang QZ diputuskan sambungan secara manual. Tekan Sambung untuk mendayakannya semula.
QZ Tray is not connected.,QZ Tray tidak disambungkan.
QZ Tray Setup,Persediaan Dulang QZ
Rate,Kadar
Rate adjusted to maximum allowed discount,Kadar diselaraskan kepada diskaun maksimum yang dibenarkan
Ready,sedia
Ready to resume,Bersedia untuk menyambung semula
Ready!,sedia!
Real-time POS insights for retail operations.,Cerapan POS masa nyata untuk operasi runcit.
Rebuild Offline Data,Bina Semula Data Luar Talian
Receive,terima
Receive now,Terima sekarang
Received,Diterima
Received:,Diterima:
Recent Movement Entries,Entri Pergerakan Terkini
Recent updates about your invoices,Kemas kini terkini tentang invois anda
Recently Active Customers,Pelanggan Aktif Baru-baru ini
Rechecking connection,Menyemak semula sambungan
Reconcile payment methods and close shift,Selaraskan kaedah pembayaran dan tutup syif
Reconciling Payments,Menyelaraskan Pembayaran
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Sambung semula dan buka halaman ini sekali semasa dalam talian, kemudian muat semula luar talian akan dapat memulihkannya."
Reconnect online to refresh cached offline data from the server.,Sambung semula dalam talian untuk memuat semula data luar talian yang dicache daripada pelayan.
Recreate local offline prerequisites from scratch,Cipta semula prasyarat luar talian setempat dari awal
Recv:,Recv:
Redeem,Tebus
Redeem / Scan,Tebus / Imbas
Redeem Amount,Tebus Amaun
Redeem Mode,Tebus Mod
Redeemed Amount,Jumlah yang Ditebus
Redeemed credit cannot be greater than its total.,Kredit yang ditebus tidak boleh lebih besar daripada jumlahnya.
Redemption and Totals,Penebusan dan Jumlah
Reference,Rujukan
Refresh,Segarkan semula
Refresh Exchange Rate,Muat semula Kadar Pertukaran
Refresh Offline Data,Muat semula Data Luar Talian
Refresh Printers,Muat semula Pencetak
Refund,Bayaran balik
Release Notes,Nota Keluaran
Reload,Muat semula
Reload customers,Muat semula pelanggan
Reload Items,Muat Semula Item
Reload Now,Muat semula Sekarang
Reload to apply the latest changes. Your current session will be refreshed.,Muat semula untuk menggunakan perubahan terkini. Sesi semasa anda akan dimuat semula.
Reload Workflow,Muat semula Aliran Kerja
Remarks,Teguran
Remarks are required.,Teguran diperlukan.
Remove,Alih keluar
Remove barcode item,Alih keluar item kod bar
Remove cached data and reload the POS app,Alih keluar data cache dan muat semula apl POS
Remove item,Alih keluar item
Remove Offer,Alih keluar Tawaran
Reorder / Purchase Suggestions,Susun Semula / Cadangan Pembelian
Repair Candidate,Calon Pembaikan
Repair Change Allocation,Membaiki Peruntukan Perubahan
Repair requires an online connection,Pembaikan memerlukan sambungan dalam talian
Repaired,dibaiki
Repairing change allocation,Membaiki peruntukan perubahan
Repeat Customers,Pelanggan Berulang
Repeat Rate,Kadar Ulangan
Request,Permintaan
Request ID: {0},ID Permintaan: {0}
Request Payment,Minta Bayaran
Requested route: {0},Laluan yang diminta: {0}
Required columns cannot be hidden,Lajur yang diperlukan tidak boleh disembunyikan
Reset,Tetapkan semula
Reset item name,Tetapkan semula nama item
Reset to Default,Tetapkan semula kepada Lalai
Resource Health,Kesihatan Sumber
Restricted,Terhad
Restricted operational controls for supervisors only.,Kawalan operasi terhad untuk penyelia sahaja.
Retry,Cuba semula
Retry route,Cuba semula laluan
Return,Kembali
Return Amount,Jumlah Pulangan
Return Count,Kiraan Pulangan
Return items must have negative quantities,Item pemulangan mesti mempunyai kuantiti negatif
Return total must be negative,Jumlah pulangan mestilah negatif
Return Valid Until,Pulangan Sah Sehingga
Return window passed,Tetingkap kembali berlalu
Return without Invoice,Pulangan tanpa Invois
Returns,Pulangan
Returns / Voids / Discounts,Pemulangan / Kekosongan / Diskaun
Returns by Currency,Pulangan mengikut Mata Wang
Revenue,Hasil
Review shift totals before submitting the closing entry,Semak jumlah syif sebelum menyerahkan penyertaan penutup
Round Off,Pusingan
Rows,baris
Rows:,baris:
Rule,peraturan
Sale,Jualan
Sales,Jualan
Sales Order {0} is Submitted,Pesanan Jualan {0} telah Diserahkan
Sales Person and Print,Orang Jualan dan Cetakan
Sales Person not found,Orang Jualan tidak ditemui
Sales processed,Jualan diproses
Sales Return,Pulangan Jualan
Sales Trend Report,Laporan Trend Jualan
Save,Jimat
Save & Clear,Simpan & Kosongkan
Save as POS Profile Default,Simpan sebagai Lalai Profil POS
Save Settings,Simpan Tetapan
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Simpan pencetak yang dipilih sebagai lalai Profil POS supaya ia dipaparkan secara automatik pada persediaan ini.
Saved as draft because: {0},Disimpan sebagai draf kerana: {0}
Saving...,Menyimpan...
Scale barcode detected. Quantity here is the number of labels to print.,Skala kod bar dikesan. Kuantiti di sini ialah bilangan label untuk dicetak.
Scale barcode settings are not configured. Using item barcode only.,Tetapan kod bar skala tidak dikonfigurasikan. Menggunakan kod bar item sahaja.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Kod bar templat skala tiada untuk item/UOM ini. Menggunakan kod bar item sahaja.
Scan an existing card and top it up without leaving the payment flow.,Imbas kad sedia ada dan tambah nilai tanpa meninggalkan aliran pembayaran.
Scan Error,Ralat Imbasan
Scan or enter a gift card code to check balance or redeem.,Imbas atau masukkan kod kad hadiah untuk menyemak baki atau menebus.
Scan or paste the card code below.,Imbas atau tampal kod kad di bawah.
Scan QR Code/Barcode,Imbas Kod QR/Kod Bar
Scan with camera,Imbas dengan kamera
Scan-First Flow,Aliran Imbas-Pertama
Scanned Code:,Kod Diimbas:
Scanning for: {0},Mengimbas untuk: {0}
Scanning items,Mengimbas item
Scan-Ready,Sedia Imbas
Scope,Skop
Scope: All Profiles,Skop: Semua Profil
Scope: Current Profile,Skop: Profil Semasa
Scope: Specific Profile,Skop: Profil Khusus
Search,Cari
Search Account,Cari Akaun
Search an invoice and continue the return flow without extra steps.,Cari invois dan teruskan aliran pulangan tanpa langkah tambahan.
Search customer,Cari pelanggan
Search invoices or customers,Cari invois atau pelanggan
Search item,Cari item
Search item / code,Cari item / kod
Search items or barcode,Cari item atau kod bar
Search Mpesa Payments,Cari Pembayaran Mpesa
Search return invoices or customers,Cari invois pemulangan atau pelanggan
Search supplier,Cari pembekal
Search unpaid invoices or customers,Cari invois atau pelanggan yang belum dibayar
Secure context (HTTPS or localhost) is required for camera access.,Konteks selamat (HTTPS atau localhost) diperlukan untuk akses kamera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Konteks selamat (HTTPS) diperlukan untuk akses kamera. Sila gunakan HTTPS untuk mengakses kamera.
Select,Pilih
Select a cashier first.,Pilih juruwang dahulu.
Select a customer,Pilih pelanggan
Select a customer to use coupon,Pilih pelanggan untuk menggunakan kupon
Select a printer to use QZ silent printing.,Pilih pencetak untuk menggunakan pencetakan senyap QZ.
Select Batch,Pilih Kelompok
Select Columns to Display,Pilih Lajur untuk Dipaparkan
Select items to sell,Pilih barang untuk dijual
Select Payment,Pilih Pembayaran
Select Payment Account,Pilih Akaun Pembayaran
Select printer,Pilih pencetak
Select Return Invoice,Pilih Invois Pulangan
Select S.O,Pilih S.O
Select Sales Orders,Pilih Pesanan Jualan
Select the cashier who is taking over this terminal.,Pilih juruwang yang mengambil alih terminal ini.
Selected,Dipilih
Selected movement type is not allowed by POS Profile.,Jenis pergerakan yang dipilih tidak dibenarkan oleh Profil POS.
Selected Payments,Pembayaran Terpilih
Sensitive actions kept away from quick taps.,Tindakan sensitif dijauhkan daripada ketik pantas.
Serial,bersiri
Serial Numbers,Nombor Siri
Server CPU Usage:,Penggunaan CPU Pelayan:
Server Health,Kesihatan Pelayan
Server Memory Usage:,Penggunaan Memori Pelayan:
Server Metrics,Metrik Pelayan
Server Uptime:,Masa Operasi Pelayan:
Service Charges,Caj Perkhidmatan
Session,Sesi
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Tetapkan setiap PIN juruwang dalam borang Pengguna dan pastikan ahli terminal ditetapkan dalam Pengguna Profil POS.
Settings,tetapan
Settings in this section update the POS workspace without changing the current route.,Tetapan dalam bahagian ini mengemas kini ruang kerja POS tanpa mengubah laluan semasa.
Setup complete!,Persediaan selesai!
Share,Kongsi
Shared terminal,Terminal kongsi
Shift Closed Snapshot,Shift Gambar Tertutup
Shift Overview,Gambaran Keseluruhan Shift
Show,Tunjukkan
Show cart on customer-facing screen,Tunjukkan troli pada skrin menghadap pelanggan
Show last invoice rate,Tunjukkan kadar invois terakhir
Show rate info,Tunjukkan maklumat kadar
Show Repair Candidates,Tunjukkan Calon Pembaikan
Show search tools,Tunjukkan alat carian
Show the active cart on a customer-facing screen,Tunjukkan troli aktif pada skrin yang menghadap pelanggan
Showing {0}-{1} of {2},Menunjukkan {0}-{1} daripada {2}
Showing 0 of 0,Menunjukkan 0 daripada 0
Shows the distribution of invoices per currency,Menunjukkan pengagihan invois setiap mata wang
Sign out of the current POS session,Log keluar daripada sesi POS semasa
Size:,Saiz:
Skipped Payments,Bayaran Dilangkau
Skipping items without barcodes,Melangkau item tanpa kod bar
Slow Moving,Perlahan Bergerak
Slow Moving Items,Item Bergerak Lambat
Slow Queries:,Pertanyaan Lambat:
Sold,terjual
Source,Sumber
Source Cash Account (Optional Override),Akaun Tunai Sumber (Timpa Pilihan)
Source Ex. Rate:,Sumber Cth. Kadar:
Source Rate:,Kadar Sumber:
Specific Profile,Profil Tertentu
Split Invoices,Invois Pisah
Staff / Cashier Performance Report,Laporan Prestasi Kakitangan / Juruwang
Status,Status
Stock,Stok
Stock Information,Maklumat Stok
Stock is lower than requested,Stok lebih rendah daripada yang diminta
Stock is lower than requested:\n{0},Stok lebih rendah daripada yang diminta:\n{0}
Stock Movement Report,Laporan Pergerakan Saham
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Kemas kini stok: {0} mempunyai {1} tersedia. Menambah {2} akan menjadikan stok di bawah sifar.
Submit,Hantar
Submit & Print,Hantar & Cetak
Submit Deposit,Hantar Deposit
Submit Expense,Hantar Perbelanjaan
Submitted,diserahkan
Submitted Cash Movements,Pergerakan Tunai yang Diserahkan
Submitted entries,Penyertaan yang dihantar
Successfully scanned:,Berjaya diimbas:
Suggested,Dicadangkan
Suggested Qty,Kuantiti yang dicadangkan
Supervisor Access,Akses Penyelia
Supervisor permissions unlock issuance and reloads,Kebenaran penyelia membuka kunci pengeluaran dan muat semula
