POS Awesome,POS Гайхалтай
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","""Бүтээгдэхүүний багц""-ын хувьд ""Баглаа боодлын жагсаалт""-ын хүснэгтээс агуулах, серийн дугаар, багцын дугаарыг авч үзнэ. Хэрэв ""Бүтээгдэхүүний багц""-ын бүх сав баглаа боодлын хувьд агуулах болон багцын дугаар ижил байвал эдгээр утгыг үндсэн зүйлийн хүснэгтэд оруулж болно; утгуудыг 'Баглаа боодлын жагсаалт' хүснэгтэд хуулах болно."
Free,Үнэгүй
Free Qty,Үнэгүй тоо
Frequency,Давтамж
from,-аас
From Date,Огнооноос
Fulfillment Details,Биелэлтийн дэлгэрэнгүй мэдээлэл
Full Name,Бүтэн нэр
Gain,Олз
Generate a fresh prepaid card and start it with an opening balance.,"Урьдчилсан төлбөрт шинэ карт үүсгэж, эхний үлдэгдлээр эхлүүлээрэй."
Generate and install the certificate to allow fully silent printing without trust prompts.,Итгэмжлэлийн сануулгагүйгээр бүрэн чимээгүй хэвлэхийг зөвшөөрөхийн тулд гэрчилгээг үүсгэж суулгана уу.
Generate Certificate,Сертификат үүсгэх
Generated scale barcode: {0},Үүсгэсэн масштабын бар код: {0}
Get Payments,Төлбөр авах
Gift Card,Бэлгийн карт
Gift card amount must be greater than zero.,Бэлгийн картын хэмжээ тэгээс их байх ёстой.
Gift Card Code,Бэлгийн картын код
Gift card code is required for redemption,Төлбөр авахын тулд бэлгийн картын код шаардлагатай
Gift card code is required.,Бэлгийн картын код шаардлагатай.
Gift card issued successfully.,Бэлгийн карт амжилттай гарлаа.
Gift card loaded successfully.,Бэлгийн картыг амжилттай ачааллаа.
Gift Card Management,Бэлгийн картын менежмент
Gift card payment,Бэлгийн картын төлбөр
Gift card redemption requires an online connection,Бэлгийн картыг авахын тулд онлайн холболт шаардлагатай
Gift card topped up successfully.,Бэлгийн картыг амжилттай цэнэглэв.
Gift Cards,Бэлэг дурсгалын картууд
Go to Frappe Desk,Frappe Desk руу оч
Grand Total,Их нийт
Gross Margin,Нийт ашиг
Gross Profit,Нийт ашиг
Gross Sales,Нийт борлуулалт
Group not found,Бүлэг олдсонгүй
"Grouped controls for terminal, UI, and session settings.","Терминал, UI болон сессийн тохиргоонд зориулсан бүлэглэсэн удирдлага."
Grouped totals for each payment method and currency,Төлбөрийн хэрэгсэл болон валют тус бүрийн нийт дүнг бүлэглэсэн
Hide,Нуух
Hide Gift Card,Бэлгийн картыг нуух
Hide Non Essential Fields,Чухал бус талбаруудыг нуух
Hide quantity decimals,Аравтын бутархай тоог нуух
Hide search tools,Хайлтын хэрэгслүүдийг нуух
Hide zero rated items,Үнэлгээгүй зүйлсийг нуух
High,Өндөр
History,Түүх
Hourly (Today),Цаг тутамд (Өнөөдөр)
How this section works,Энэ хэсэг хэрхэн ажилладаг
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Хэрэв хуучирсан өгөгдөл хэвээр байвал Тохиргоо > Офлайн ба синхрончлолыг нээж, онлайн байх үедээ Офлайн өгөгдлийг дахин бүтээхийг ажиллуул."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",Хэрэв анхааруулга хэвээр байвал Тохиргоо > Офлайн ба синхрончлолыг нээгээд Офлайн өгөгдлийг сэргээх эсвэл Офлайн өгөгдлийг дахин бүтээхийг ажиллуул.
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,"Сертификатыг QZ Tray руу оруулж, POS машин бүр дээр QZ Tray-г дахин эхлүүлнэ үү."
In,онд
In stock: {0},Нөөцөд байгаа: {0}
Include Batch / Serial,Багц / Цуврал оруулах
Include Price,Үнэ багтсан
Increase quantity,Тоо хэмжээг нэмэгдүүлэх
IndexedDB,IndexedDB
Initial Amount,Анхны дүн
Initialize your shift with opening balances,Нээлтийн балансаар ээлжээ эхлүүлээрэй
Initializing application...,Аппликешныг эхлүүлж байна...
"Inspect cache, sync, and prerequisite status","Кэш, синхрончлол болон урьдчилсан нөхцөл байдлыг шалгана уу"
Installed Applications,Суулгасан програмууд
Insufficient stock:\n{0},Хангалтгүй нөөц:\n{0}
Invalid rate,Буруу үнэ
Inventory Status Report,Бараа материалын төлөв байдлын тайлан
Invoice,Нэхэмжлэх
Invoice {0} is Submitted,{0} нэхэмжлэхийг илгээсэн
Invoice {0} processed successfully,{0} нэхэмжлэхийг амжилттай боловсрууллаа
Invoice {0} submission failed,{0} нэхэмжлэхийг илгээж чадсангүй
Invoice {0} was already submitted,{0} нэхэмжлэхийг аль хэдийн илгээсэн байна
Invoice Adjustments,Нэхэмжлэлийн тохируулга
Invoice Change,Нэхэмжлэлийн өөрчлөлт
Invoice Details,Нэхэмжлэхийн дэлгэрэнгүй мэдээлэл
Invoice is still in draft after background submission.,Нэхэмжлэх нь суурь илгээсний дараа ноорог хэвээр байна.
Invoice Items,Нэхэмжлэхийн зүйлс
Invoice Management,Нэхэмжлэхийн менежмент
Invoice Mgmt,Нэхэмжлэх Mgmt
Invoice saved offline,Нэхэмжлэхийг офлайнаар хадгалсан
Invoice submission failed,Нэхэмжлэл илгээж чадсангүй
Invoice Submitted,Нэхэмжлэх илгээсэн
"Invoice value settled by loyalty points, not cash collection",Нэхэмжлэхийн үнийг бэлэн мөнгө цуглуулах бус үнэнч цэгээр тооцдог
Invoices,Нэхэмжлэх
Invoices already past due date,Нэхэмжлэх хугацаа аль хэдийн дууссан
Invoices saved as POS Invoices,Нэхэмжлэхийг ПОС-ын нэхэмжлэх хэлбэрээр хадгалсан
Invoices still carrying balances,Нэхэмжлэлийн үлдэгдэлтэй хэвээр байна
Issue Mode,Асуудлын горим
Issue New Card,Шинэ карт гаргах
Issue Workflow,Ажлын урсгалын асуудал
"Issue, top up, and check","Асуудал, цэнэглэх, шалгах"
Item,Зүйл
Item / Product Sales Report,Бүтээгдэхүүний борлуулалтын тайлан
Item {0} added to invoice,{0} зүйлийг нэхэмжлэх дээр нэмсэн
Item '{0}' has no barcode,'{0}' зүйлд бар код байхгүй
Item Code,Барааны код
Item created successfully,Зүйлийг амжилттай үүсгэсэн
Item is out of stock,Барааны нөөц дууссан
Item Name,Зүйлийн нэр
Item not found,Зүйл олдсонгүй
Item order updated,Барааны захиалга шинэчлэгдсэн
Item Selector Settings,Зүйл сонгогчийн тохиргоо
Items,Эд зүйлс
Items added in POS will appear here automatically.,ПОС-д нэмсэн зүйлс энд автоматаар гарч ирнэ.
Items added to invoice,Нэхэмжлэлд нэмсэн зүйлс
Items per page,Нэг хуудсанд байгаа зүйлс
Items Sold,Худалдсан зүйлс
Items/Invoice,Эд зүйлс/Нэхэмжлэх
Item-wise Profitability,Зүйлийн хувьд ашигт ажиллагаа
Journal Entry,Өдрийн тэмдэглэл
json,json
Just now,Яг одоо
Keep offline prerequisites healthy and recover stale data safely.,"Офлайн урьдчилсан нөхцөлийг эрүүл байлгаж, хуучирсан өгөгдлийг аюулгүйгээр сэргээ."
Labels,Шошго
"Language, theme, terminal tools, and session controls.","Хэл, сэдэв, терминалын хэрэгсэл, сессийн удирдлага."
Last,Сүүлийн
Last 14 Days (Paid vs Pending),Сүүлийн 14 хоног (Төлбөртэй болон хүлээгдэж буй)
Last 14 Days Activity,Сүүлийн 14 хоногийн үйл ажиллагаа
Last 14 Days Gross Profit,Сүүлийн 14 хоногийн нийт ашиг
Last 14 Days Purchases,Сүүлийн 14 хоногийн худалдан авалт
Last 14 Days Tax/Charges,Сүүлийн 14 хоногийн татвар/төлбөр
Last sync:,Сүүлийн синк:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Сүүлийн синк: {0} | зүгээр: {1} | амжилтгүй болсон: {2} | алгассан: {3}
Latest entries for current shift,Одоогийн ээлжийн хамгийн сүүлийн оруулгууд
Lead Time,Хүргэлтийн хугацаа
Limited,Хязгаарлагдмал
lines,шугамууд
List,Жагсаалт
Live Snapshot,Шууд агшин зуурын зураг
Load a POS profile and cashier first.,Эхлээд ПОС-ын профайл болон кассыг ачаална уу.
Load More Invoices,Нэмэлт нэхэмжлэх ачаалах
Load previously saved invoices,Өмнө нь хадгалсан нэхэмжлэхийг ачаалах
Load Sale,Ачаалах худалдаа
Load Sales Invoice,Борлуулалтын нэхэмжлэхийг ачаалах
Loading app data...,Аппын өгөгдлийг ачаалж байна...
Loading customer database...,Хэрэглэгчийн мэдээллийн санг ачаалж байна...
Loading customers...,Харилцагчдыг ачаалж байна...
Loading database stats...,Өгөгдлийн сангийн статистикийг ачаалж байна...
Loading details...,Дэлгэрэнгүйг ачаалж байна...
Loading invoice history...,Нэхэмжлэлийн түүхийг ачаалж байна...
Loading items...,Зүйлс ачаалж байна...
Loading product catalog...,Бүтээгдэхүүний каталогийг ачаалж байна...
Loading return invoices...,Буцаах нэхэмжлэхийг ачаалж байна...
Loading server CPU/memory usage...,Серверийн CPU/санах ойн ашиглалтыг ачаалж байна...
Loading suppliers...,Нийлүүлэгчдийг ачаалж байна...
Loading unpaid invoices...,Төлөгдөөгүй нэхэмжлэхийг ачаалж байна...
Loading view...,Харагдацыг ачаалж байна...
Loading...,Ачааж байна...
Local storage is unavailable. Switching to online-only mode.,Дотоод хадгалах сан боломжгүй байна. Зөвхөн онлайн горимд шилжиж байна.
localStorage,орон нутгийн хадгалах сан
Location Performance,Байршлын гүйцэтгэл
Locations,Байршлууд
Lock Screen,Дэлгэцийг түгжих
Lookup Workflow,Ажлын урсгалыг хайх
Loss,Алдагдал
Low,Бага
Low Stock,Бага хувьцаа
Low Stock Alerts,Бага хувьцааны сэрэмжлүүлэг
Low Stock Items,Бага нөөцтэй зүйлс
Low Stock Threshold,Хувьцааны босго бага
Low Stock Total,Бага хувьцааны нийт
Lowest Margin,Хамгийн бага маржин
Low-frequency maintenance and system details.,"Бага давтамжийн засвар үйлчилгээ, системийн дэлгэрэнгүй мэдээлэл."
Loyalty Redeemed,Үнэнч байдлыг эргүүлэн авсан
Loyalty Redemption,Үнэнч байдлын гэтэлгэл
Make New Payment,Шинэ төлбөр хийх
Manage all,Бүгдийг удирдах
Manage and synchronize your offline transactions,"Офлайн гүйлгээгээ удирдах, синхрончлох"
Manage Cashier PIN,Кассын PIN кодыг удирдах
"Manage offline tools, terminal controls, and maintenance from one workspace.","Офлайн хэрэгсэл, терминалын удирдлага, засвар үйлчилгээг нэг ажлын талбараас удирдаарай."
manual,гарын авлага
"Manual codes, barcode scans, and QR scans work in the same field","Гарын авлагын код, зураасан код, QR сканнер нь нэг талбарт ажилладаг"
Manual offline mode is enabled,Гараар офлайн горим идэвхжсэн
Margin,Маржин
Maximum available quantity is {0}. Quantity adjusted to match stock.,Боломжтой дээд хэмжээ нь {0}. Тоо хэмжээг нөөцөд тохируулан тохируулсан.
Maximum discount amount for this offer item is {0}.,Энэ саналын үнийн хөнгөлөлтийн дээд хэмжээ {0} байна.
Maximum discount percentage for this offer item is {0}%.,Энэ саналын үнийн хөнгөлөлтийн дээд хэмжээ {0}% байна.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Санал болох дээд хэмжээ {0} байна. Тоо хэмжээг зөвшөөрөгдсөн хязгаарт тохируулсан.
Medium,Дунд зэрэг
Method-wise Collections,Арга зүйн цуглуулгууд
Minimum allowed rate for this offer item is {0}.,Энэ саналын зүйлийн зөвшөөрөгдсөн доод хэмжээ нь {0} байна.
Minimum Qty,Хамгийн бага тоо хэмжээ
Mobile No,Гар утасны дугаар
Mode,Горим
Mode of Payment,Төлбөрийн хэлбэр
Month,Сар
Month ?,Сар?
Monthly Profit,Сарын ашиг
Monthly Sales,Сарын борлуулалт
Monthly Sales Summary,Сарын борлуулалтын хураангуй
Month-wise,Сарын хувьд
Most Active Cashiers,Хамгийн идэвхтэй кассчид
Movement Type,Хөдөлгөөний төрөл
Movements,Хөдөлгөөн
Multi Currency,Олон валют
N/A,Үгүй
Name,Нэр
Negative Stock,Сөрөг хувьцаа
Negative Stock Items,Сөрөг хувьцааны зүйлүүд
Negative values not allowed,Сөрөг утгыг зөвшөөрөхгүй
Net,цэвэр
Net Qty,Цэвэр тоо хэмжээ
Net Sales,Цэвэр борлуулалт
Net Value,Цэвэр үнэ цэнэ
Never,Хэзээ ч үгүй
New changes are ready to load,Шинэ өөрчлөлтүүдийг ачаалахад бэлэн байна
New Item,Шинэ зүйл
New Offer Available,Шинэ санал авах боломжтой
New PIN,Шинэ ПИН
New rate,Шинэ ханш
Next unit of measure,Дараагийн хэмжих нэгж
No attribute data found.,Атрибутын өгөгдөл олдсонгүй.
No Barcode,Бар кодгүй
No barcode found for UOM '{0}',UOM '{0}'-ын бар код олдсонгүй
No branch/location data found.,Салбар/байршлын өгөгдөл олдсонгүй.
No brand data found.,Брэндийн мэдээлэл олдсонгүй.
No cached gift card balance is available offline.,Бэлгийн картын хадгалсан үлдэгдлийг офлайнаар ашиглах боломжгүй.
No camera found on this device. Please ensure your device has a working camera.,Энэ төхөөрөмж дээр камер олдсонгүй. Таны төхөөрөмж ажиллаж байгаа камертай эсэхийг шалгана уу.
No capability warnings recorded yet.,Одоогоор ямар ч чадварын анхааруулга бүртгэгдээгүй байна.
No cash expected for this shift.,Энэ ээлжинд бэлэн мөнгө байхгүй.
No cash mode configured,Бэлэн мөнгөний горимыг тохируулаагүй байна
No cash movement type is allowed for this POS Profile.,Энэ ПОС профайлд бэлэн мөнгөний шилжүүлгийн төрлийг зөвшөөрөхгүй.
No cashier PIN is set yet. Create one now.,Кассын ПИН кодоо хараахан тохируулаагүй байна. Одоо нэгийг үүсгэ.
No cashier profiles are available for this POS profile yet.,Энэ ПОС профайлд кассын профайл хараахан байхгүй байна.
No cashier-wise discount/void/return activity.,Кассчинд зориулсан хөнгөлөлт/хүчингүй/буцаах үйл ажиллагаа байхгүй.
No category data found.,Ангиллын өгөгдөл олдсонгүй.
No category profitability data found.,Ангиллын ашигт ажиллагааны мэдээлэл олдсонгүй.
No change returned recorded for this shift.,Энэ ээлжинд ямар ч өөрчлөлт бүртгэгдээгүй.
No change-allocation invoices match the current filters.,Одоогийн шүүлтүүртэй тохирох өөрчлөлтийн хуваарилалтын нэхэмжлэх байхгүй байна.
No charge head breakdown found.,Цэнэгийн толгойн гэмтэл олдсонгүй.
No Company Selected,Сонгосон компани байхгүй
No customer sales data found.,Хэрэглэгчийн борлуулалтын мэдээлэл олдсонгүй.
No day-wise discount/void/return trend.,Өдөр тутмын хямдрал/хүчингүй/буцах хандлага байхгүй.
No day-wise payment data found.,Өдрийн төлбөрийн мэдээлэл олдсонгүй.
No day-wise profitability trend found.,Өдрийн ашигт ажиллагааны хандлага илэрсэнгүй.
No day-wise purchase data found.,Өдөр тутмын худалдан авалтын мэдээлэл олдсонгүй.
No day-wise sales trend found.,Өдөр тутмын борлуулалтын хандлага олдсонгүй.
No day-wise tax/charges trend found.,Өдөр тутмын татвар/төлбөрийн хандлага илрээгүй.
No dead stock items.,Үхсэн хувьцаа байхгүй.
No due date,Эцсийн хугацаа байхгүй
No exact repair match found for this invoice,Энэ нэхэмжлэхтэй яг таарсан засвар олдсонгүй
No hourly sales trend found for today.,Өнөөдрийн хувьд цагийн борлуулалтын хандлага олдсонгүй.
No invoice activity found.,Нэхэмжлэлийн үйл ажиллагаа олдсонгүй.
No invoices found,Нэхэмжлэх олдсонгүй
No invoices found. Try different search criteria.,Нэхэмжлэх олдсонгүй. Хайлтын өөр шалгуурыг туршиж үзээрэй.
No invoices recorded for this shift.,Энэ ээлжинд ямар ч нэхэмжлэх бүртгэгдээгүй.
No item profitability data found.,Барааны ашигт ажиллагааны мэдээлэл олдсонгүй.
No item sales data found for this period.,Энэ хугацааны борлуулалтын мэдээлэл олдсонгүй.
No items found,Ямар ч зүйл олдсонгүй
No items in cart,Сагсанд зүйл алга
No items with barcodes to print,Хэвлэх бар кодтой зүйл байхгүй
No location-wise top item data found.,Байршлын хувьд шилдэг зүйлийн өгөгдөл олдсонгүй.
No low stock alerts right now.,Одоохондоо хувьцаа багатай байгаа тухай анхааруулга байхгүй байна.
No low stock items.,Бага нөөцтэй бараа байхгүй.
No matching items in cart,Сагсанд тохирох зүйл алга
No month-wise sales trend found.,Сарын борлуулалтын чиг хандлага олдсонгүй.
No negative stock items.,Сөрөг хувьцаа байхгүй.
No notifications yet,Одоогоор мэдэгдэл алга
No offline cash movement synced.,Офлайн бэлэн мөнгөний хөдөлгөөн синк хийгдээгүй.
No offline invoices pending synchronization,Синк хийх хүлээгдэж буй офлайн нэхэмжлэх байхгүй
No offline sync issues recorded yet.,Офлайн синк хийх асуудал хараахан бүртгэгдээгүй байна.
No out-of-stock items.,Нөөцөөгүй бараа байхгүй.
No outstanding credit invoices for this shift.,Энэ ээлжийн зээлийн төлбөрийн үлдэгдэл байхгүй.
No payment collection data found.,Төлбөрийн цуглуулгын мэдээлэл олдсонгүй.
No payment rows available on this invoice.,Энэ нэхэмжлэх дээр төлбөрийн мөр байхгүй.
No payments registered for this shift.,Энэ ээлжинд ямар ч төлбөр бүртгэгдээгүй.
No pending balances in this period.,Энэ хугацаанд хүлээгдэж буй үлдэгдэл байхгүй.
No pending offline invoices,Хүлээгдэж буй офлайн нэхэмжлэх байхгүй
No Print Formats Found,Хэвлэх формат олдсонгүй
No profiles found for selected scope. Falling back to current profile failed.,Сонгосон хамрах хүрээний профайл олдсонгүй. Одоогийн профайл руу буцаж орж чадсангүй.
No recent customer activity found.,Сүүлийн үеийн хэрэглэгчийн үйл ажиллагаа олдсонгүй.
No recent stock entries found.,Сүүлийн үеийн хувьцаа олдсонгүй.
No records found,Ямар ч бичлэг олдсонгүй
No reorder suggestions right now.,Одоогоор дахин захиалах санал алга.
No repeat customers in this period.,Энэ хугацаанд дахин үйлчлүүлэгч байхгүй.
No response from server,Серверээс хариу алга
No return invoices found,Буцаах нэхэмжлэх олдсонгүй
No return item trend found.,Буцаах барааны тренд олдсонгүй.
No returnable items found for this invoice,Энэ нэхэмжлэхийн буцаах зүйл олдсонгүй
No returns were processed in this shift.,Энэ ээлжинд ямар ч өгөөж боловсруулаагүй.
No risk activity found.,Эрсдлийн үйл ажиллагаа олдсонгүй.
No sales activity found for this period.,Энэ хугацаанд борлуулалтын үйл ажиллагаа олдсонгүй.
No slow moving items.,Удаан хөдөлдөг зүйл байхгүй.
No staff sales activity found.,Ажилтны борлуулалтын үйл ажиллагаа олдсонгүй.
No stock movement for this period.,Энэ хугацаанд хувьцааны хөдөлгөөн байхгүй.
No submitted cash movements in this shift.,Энэ ээлжинд бэлэн мөнгөний шилжүүлэг ирүүлээгүй.
No supplier purchases found in this month.,Энэ сард ханган нийлүүлэгчийн худалдан авалт олдсонгүй.
No suppliers found for this period.,Энэ хугацаанд ханган нийлүүлэгч олдсонгүй.
No sync trigger has run yet in this session.,Энэ сессэд синхрончлолын гох хараахан ажиллаагүй байна.
No tax head breakdown found.,Татварын хэлтсийн задаргаа олдсонгүй.
No top items found for this location.,Энэ байршлын шилдэг зүйл олдсонгүй.
No unpaid invoices,Төлбөргүй нэхэмжлэх байхгүй
No variant data found.,Хувилбарын өгөгдөл олдсонгүй.
No week-wise sales trend found.,Долоо хоногийн борлуулалтын чиг хандлага олдсонгүй.
No.,Үгүй
Nobile Number,Нобилийн дугаар
Not available,Боломжгүй
Not checked,Шалгаагүй
Not selected,Сонгоогүй
Not Set,Тохируулаагүй
Notifications,Мэдэгдэл
Offer,Санал
Offer Applied,Санал хэрэгжсэн
Offer criteria exceeded,Саналын шалгуур давсан
Offer Item,Санал болгох зүйл
Offer item unavailable,Санал болгох зүйл боломжгүй
Offer Removed,Саналыг хассан
Offer UOM cannot be changed,Санал UOM-г өөрчлөх боломжгүй
Offer?,Санал болгох уу?
Offers,Санал болгож байна
Offline,Офлайн
Offline & Sync,Офлайн & Синк
Offline Capabilities,Офлайн боломжууд
Offline data status refreshed,Офлайн өгөгдлийн статусыг шинэчилсэн
Offline diagnostics,Офлайн оношлогоо
Offline Invoices,Офлайн нэхэмжлэх
Offline invoices status,Офлайн нэхэмжлэхийн төлөв
Offline invoices synced,Офлайн нэхэмжлэхийг синк хийсэн
Offline Queue: {0},Офлайн дараалал: {0}
Offline rebuild guidance,Офлайн дахин бүтээх заавар
Offline restore is unavailable for this session.,Энэ сессийн хувьд офлайн сэргээх боломжгүй.
Offline selling is available with degraded capabilities.,Чадвар муудсан тохиолдолд офлайн борлуулалт хийх боломжтой.
Offline snapshot does not match the current POS state.,Офлайн агшин агшин нь одоогийн ПОС-ын төлөвтэй таарахгүй байна.
Offline Status,Офлайн статус
"Offline, terminal, and system controls","Офлайн, терминал болон системийн удирдлага"
OK,OK
Online,Онлайн
Open actions menu,Үйлдлийн цэсийг нээнэ үү
Open balance to collect,Цуглуулах үлдэгдлийг нээнэ үү
Open Customer Display,Хэрэглэгчийн дэлгэцийг нээнэ үү
Open drawer,Нээлттэй шүүгээ
Open invoices,Нээлттэй нэхэмжлэх
Open Payments?,Төлбөрийг нээх үү?
Open POS home,POS гэрийг нээх
Open this screen from POS Menu -> Open Customer Display.,Энэ дэлгэцийг POS цэс -> Нээлттэй хэрэглэгчийн дэлгэцээс нээнэ үү.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV дүрс боловсруулалтыг идэвхжүүлсэн - Баркод илрүүлэлтийг сайжруулсан
OpenCV image processing unavailable on this device,Энэ төхөөрөмж дээр OpenCV зураг боловсруулах боломжгүй
OpenCV Off,OpenCV унтраалттай
OpenCV On,OpenCV асаалттай
OpenCV processing disabled,OpenCV боловсруулалтыг идэвхгүй болгосон
Opening Amount,Нээлтийн дүн
Opening Cash,Нээлтийн бэлэн мөнгө
options,сонголтууд
Order,Захиалга
Original,Жинхэнэ
Other,Бусад
Out,Гадагшаа
Out of Stock,нөөц дууссан
Out of Stock Items,нөөцгүй зүйлс
Outstanding,Гайхалтай
Outstanding Credit by Currency,Зээлийн үлдэгдэл мөнгөн тэмдэгт
Overdue,Хугацаа хэтэрсэн
Overpayment Change,Илүүдэл төлбөрийн өөрчлөлт
Overpayment change deducted: {0},Илүү төлбөрийн өөрчлөлтийг хассан: {0}
Packing List,Сав баглаа боодлын жагсаалт
Page Format,Хуудасны формат
Page unavailable offline,Хуудсыг офлайнаар ашиглах боломжгүй
Paid,Төлбөртэй
Paid (orig):,Төлбөртэй (ориг):
Paid Amount,Төлбөрийн дүн
Paid change cannot be greater than total change!,Төлбөртэй өөрчлөлт нь нийт өөрчлөлтөөс их байж болохгүй!
Paid:,Төлбөртэй:
Parent Item,Эцэг эхийн зүйл
Partial,Хэсэгчилсэн
Partly Paid,Хэсэгчилсэн төлбөртэй
Party Account,Намын данс
Party Type,Намын төрөл
Pause terminal until next cashier,Дараагийн кассчин хүртэл терминалыг түр зогсоо
PAY,ТӨЛБӨР
Payment,Төлбөр
Payment Account,Төлбөрийн данс
Payment entries processed for Invoice {0},{0} нэхэмжлэхийн төлбөрийн бичилтийг боловсруулсан
Payment Entry Type,Төлбөрийн оролтын төрөл
Payment History,Төлбөрийн түүх
Payment ID,Төлбөрийн ID
Payment Method Report,Төлбөрийн аргын тайлан
Payment Methods,Төлбөрийн аргууд
Payment of {0} received successfully.,{0}-н төлбөрийг амжилттай хүлээн авлаа.
Payment Progress,Төлбөрийн явц
Payment Reconciliation,Төлбөрийн тохирол
Payment request status could not be retrieved. Please try again,Төлбөрийн хүсэлтийн статусыг сэргээж чадсангүй. Дахин оролдоно уу
Payment Request took too long to respond. Please try requesting for payment again,Төлбөрийн хүсэлтэд хариу өгөхөд хэтэрхий удсан. Төлбөрийн хүсэлтийг дахин тавьж үзнэ үү
Payment saved offline,Төлбөрийг офлайнаар хадгалсан
Payment State,Төлбөрийн төлөв
Payment Status,Төлбөрийн төлөв
Payment submitted but print function could not be executed. Payment name not found.,Төлбөрийг илгээсэн боловч хэвлэх функцийг гүйцэтгэж чадсангүй. Төлбөрийн нэр олдсонгүй.
Payment submitted.,Төлбөрийг илгээсэн.
Payment Summary,Төлбөрийн хураангуй
Payments,Төлбөр
Payments are not open. Do you want to open payments and submit?,"Төлбөр нээлттэй биш байна. Та төлбөрөө нээж, илгээхийг хүсч байна уу?"
Payments by Mode of Payment,Төлбөрийн хэлбэрээр төлбөр хийх
PDF,PDF
Peak Hour,Оргил цаг
Peak Memory:,Хамгийн их санах ой:
Peak Server:,Оргил сервер:
Peak:,Оргил:
Pending,Хүлээгдэж байна
Pending Amount,Хүлээгдэж буй дүн
Pending count updated from {0} to {1},Хүлээгдэж буй тоо {0}-с {1} болж шинэчлэгдсэн
Pending Exposure,Хүлээгдэж буй өртөлт
Pending Invoices,Хүлээгдэж буй нэхэмжлэхүүд
Pending Ratio,Хүлээгдэж буй харьцаа
Pending Sales,Хүлээгдэж буй борлуулалт
Pending sales: {0} | Cache usage: {1}%,Хүлээгдэж буй борлуулалт: {0} | Кэш ашиглалт: {1}%
Pending Sync,Хүлээгдэж буй синк
Pending: {0},Хүлээгдэж буй: {0}
Pending: {0} | Synced: {1} | Draft: {2},Хүлээгдэж буй: {0} | Синк хийсэн: {1} | Ноорог: {2}
Per Page,Хуудас бүрт
Personal,Хувийн
Personal preferences adjust the current cashier experience without changing the active POS route.,Хувийн сонголтууд нь идэвхтэй ПОС-ын маршрутыг өөрчлөхгүйгээр одоогийн кассын туршлагыг тохируулдаг.
PIN confirmation does not match.,ПИН баталгаажуулалт таарахгүй байна.
PIN must be 4 to 8 digits.,ПИН код 4-8 оронтой байх ёстой.
Please add at least one item.,Дор хаяж нэг зүйл нэмнэ үү.
Please allow camera access to scan codes,Скан код руу камерт хандахыг зөвшөөрнө үү
Please enter payment amount,Төлбөрийн хэмжээг оруулна уу
Please fill all required fields,Шаардлагатай бүх талбарыг бөглөнө үү
Please make a payment or select a payment,Төлбөр хийх эсвэл төлбөрөө сонгоно уу
Please request phone payment or use another payment method,Утасны төлбөрийг хүсэх эсвэл өөр төлбөрийн хэрэгсэл ашиглана уу
Please select a customer first,Эхлээд үйлчлүүлэгчээ сонгоно уу
Please select a party,Үдэшлэг сонгоно уу
Please select a party before reconciling.,Эвлэрэхээсээ өмнө намаа сонгоно уу.
Please select a valid movement type.,Хүчинтэй хөдөлгөөний төрлийг сонгоно уу.
Please select an invoice,Нэхэмжлэхийг сонгоно уу
Please select company before reconciling.,Эвлэрэхээсээ өмнө компанийг сонгоно уу.
Please set the customer's mobile number,Харилцагчийн гар утасны дугаарыг тохируулна уу
Please try again or enter the item manually.,Дахин оролдох эсвэл зүйлийг гараар оруулна уу.
Please verify the barcode or check the item's availability.,Бар кодыг баталгаажуулах эсвэл бараа байгаа эсэхийг шалгана уу.
Points,Оноо
Popup blocked. Please allow popups.,Попапыг блоклосон. Попап цонхыг зөвшөөрнө үү.
POS,ПОС
POS controls and maintenance,"ПОС-ын хяналт, засвар үйлчилгээ"
POS Expense is disabled for this POS Profile.,Энэ ПОС профайлд POS зардлыг идэвхгүй болгосон.
POS is running with limited offline prerequisites.,ПОС нь хязгаарлагдмал офлайн урьдчилсан нөхцөлтэйгээр ажиллаж байна.
POS Profile,POS профайл
Position the QR code or barcode within the scanning area,QR код эсвэл бар кодыг сканнердах хэсэгт байрлуул
Posting,Нийтлэх
Posting and Price List,Нийтлэл ба үнийн жагсаалт
Posting Date,Нийтэлсэн огноо
Preparing background sync,Арын синкийг бэлтгэж байна
"Press OK to continue offline with a warning, or Cancel to retry.","Анхааруулгатайгаар офлайнаар үргэлжлүүлэхийн тулд OK, эсвэл дахин оролдох бол Цуцлах товчийг дарна уу."
Previous unit of measure,Өмнөх хэмжих нэгж
Price List,Үнийн жагсаалт
Price List Rate,Үнийн жагсаалтын ханш
