POS Awesome,POS အရမ်းကောင်းတယ်။
Daily cashier actions without scrolling.,လှိမ့်ခြင်းမရှိဘဲ နေ့စဉ် ငွေကိုင်လုပ်ဆောင်မှုများ။
Daily Sales,နေ့စဉ်အရောင်း
Daily Sales Summary,နေ့စဉ်အရောင်းအကျဉ်းချုပ်
Data loaded in form. Review and submit.,ဒေတာကို ပုံစံတွင် တင်ထားသည်။ သုံးသပ်ပြီး တင်ပြပါ။
Database Health,ဒေတာဘေ့စ်ကျန်းမာရေး
Database health affects overall system speed and reliability.,ဒေတာဘေ့စ်ကျန်းမာရေးသည် စနစ်တစ်ခုလုံး၏ မြန်နှုန်းနှင့် ယုံကြည်စိတ်ချရမှုကို သက်ရောက်မှုရှိသည်။
Database Info,ဒေတာဘေ့စ်အချက်အလက်
Date,ရက်စွဲ
Day ?,နေ့ ?
days,နေ့ရက်များ
Day-wise (MTD),နေ့အလိုက် (MTD)
Day-wise Movement,နေ့စဥ်လှုပ်ရှားမှု
Dead Stock,Dead Stock
Dead Stock Items,Dead Stock ပစ္စည်းများ
Decrease quantity,ပမာဏကို လျှော့ချပါ။
Default,ပုံသေ
Default:,မူရင်း-
Delete,ဖျက်ပါ။
Delete cancelled cash movement {0}?,ပယ်ဖျက်ထားသော ငွေသားလှုပ်ရှားမှု {0} ကို ဖျက်မလား။
Delete Draft,Draft ကို ဖျက်ပါ။
Delete draft invoice,ပြေစာမူကြမ်းကို ဖျက်ပါ။
Delete draft invoice {0}?,ပြေစာမူကြမ်း {0} ကို ဖျက်မလား။
Delete Invoice,ငွေတောင်းခံလွှာကို ဖျက်ပါ။
Delete offline invoice,အော့ဖ်လိုင်းပြေစာ ဖျက်ပါ။
Delivered,ပေးပို့ခဲ့သည်။
Delivery Charges,ပို့ဆောင်ခ
Delivery Information,ပေးပို့မှုအချက်အလက်
Delivery Note {0} created,ပေးပို့မှုမှတ်စု {0} ကို ဖန်တီးထားသည်။
Delivery note created,ပေးပို့မှုမှတ်စုကို ဖန်တီးထားသည်။
Deployed Bundle:,အသုံးပြုထားသောအတွဲ-
Deposit,အပ်ငွေ
Description,ဖော်ပြချက်
Detailed Supplier Breakdown,အသေးစိတ်ပေးသွင်းသူခွဲခြမ်းစိတ်ဖြာ
Detecting formats:,ဖော်မတ်များကို ရှာဖွေခြင်း-
Device Memory:,စက်ပစ္စည်းမှတ်ဉာဏ်-
Difference,ကွာခြားမှု
Difference (In Company Currency),ကွာခြားမှု (ကုမ္ပဏီငွေကြေးဖြင့်)
Disable offline mode first to recheck live connectivity.,တိုက်ရိုက်ချိတ်ဆက်မှုကို ပြန်လည်စစ်ဆေးရန် အော့ဖ်လိုင်းမုဒ်ကို ဦးစွာပိတ်ပါ။
Disconnect,အဆက်ဖြတ်ပါ။
discount,လျှော့စျေး
Discount %,လျှော့စျေး %
Discount / Void / Return Report,လျှော့စျေး / ပျက်ပြယ် / ပြန်အစီရင်ခံ
Discount Amount,လျှော့စျေးပမာဏ
Discount limited by POS Profile,POS Profile မှ ကန့်သတ်ထားသော လျှော့စျေး
Discounted Invoices,လျှော့စျေးငွေတောင်းခံလွှာများ
Discounts,လျှော့စျေးများ
Dismiss,ပယ်ရန်
Download Certificate,လက်မှတ်ကို ဒေါင်းလုဒ်လုပ်ပါ။
Draft,အကြမ်း
Draft invoice deleted,ပြေစာမူကြမ်းကို ဖျက်လိုက်ပါပြီ။
Draft source,မူကြမ်းအရင်းအမြစ်
Drafts,ကြမ်းတယ်။
Due {0},ပေးရမည့်ရက် {0}
Due Date,သတ်မှတ်ရက်
Duplicate,ပွား
Edit customer,ဖောက်သည်ကို တည်းဖြတ်ပါ။
Edit discount amount,လျှော့စျေးပမာဏကို တည်းဖြတ်ပါ။
Edit discount percentage,လျှော့စျေး ရာခိုင်နှုန်းကို တည်းဖြတ်ပါ။
Edit Gift Application,လက်ဆောင်လျှောက်လွှာကို တည်းဖြတ်ပါ။
Edit item name,အကြောင်းအရာအမည်ကို တည်းဖြတ်ပါ။
Edit quantity,ပမာဏကို တည်းဖြတ်ပါ။
Edit rate,တည်းဖြတ်မှုနှုန်း
Edit unit of measure,အတိုင်းအတာယူနစ်ကို တည်းဖြတ်ပါ။
Edited,တည်းဖြတ်သည်။
Employee,ဝန်ထမ်း
Enable background sync,နောက်ခံစင့်ခ်လုပ်ခြင်းကို ဖွင့်ပါ။
Enable Customer Display in POS Profile first.,POS Profile တွင် Customer Display ကို ဦးစွာဖွင့်ပါ။
Enter a PIN.,ပင်နံပါတ်ထည့်ပါ။
Enter a valid grams value,မှန်ကန်သောဂရမ်တန်ဖိုးကို ထည့်ပါ။
Enter new price list rate,စျေးနှုန်းစာရင်း နှုန်းထားအသစ်ကို ထည့်သွင်းပါ။
Enter Quantity,Quantity ထည့်ပါ။
Enter the cashier PIN to continue.,ရှေ့ဆက်ရန် ငွေကိုင် PIN ကိုထည့်ပါ။
Enter the current PIN first.,လက်ရှိ PIN ကို အရင်ထည့်ပါ။
"Enter the current PIN, then choose a new one.",လက်ရှိ ပင်နံပါတ်ကို ထည့်ပါ၊ ထို့နောက် အသစ်တစ်ခုကို ရွေးချယ်ပါ။
Enter valid grams for scale barcode,စကေးဘားကုဒ်အတွက် မှန်ကန်သောဂရမ်ကို ထည့်ပါ။
Entries,ထည့်သွင်းမှုများ
Error accessing camera:,ကင်မရာကို အသုံးပြုရာတွင် အမှားအယွင်းရှိနေသည်-
Error calculating prices,စျေးနှုန်းတွက်ချက်ရာတွင် အမှားအယွင်းရှိသည်။
Error fetching customer balance,ဖောက်သည်လက်ကျန်ကို ရယူရာတွင် အမှားအယွင်းရှိသည်။
Error in change calculations!,အပြောင်းအလဲ တွက်ချက်မှုတွင် အမှားအယွင်းရှိသည်။
Error Loading Data,ဒေတာကို တင်ရာတွင် အမှားအယွင်းရှိသည်။
Error loading invoice details,ပြေစာအသေးစိတ်အချက်အလက်များကို ဖွင့်ရာတွင် အမှားအယွင်းရှိနေသည်။
Error processing invoice,ငွေတောင်းခံလွှာကို လုပ်ဆောင်ရာတွင် အမှားအယွင်းရှိနေသည်။
Error processing payment,ငွေပေးချေမှု လုပ်ဆောင်ရာတွင် အမှားအယွင်းရှိနေသည်။
Error searching invoices,ငွေတောင်းခံလွှာများကို ရှာဖွေရာတွင် အမှားအယွင်းရှိသည်။
Error submitting invoice:,ပြေစာပေးပို့ရာတွင် အမှားအယွင်းရှိနေသည်-
Error submitting invoice: {0},ပြေစာပေးပို့ရာတွင် အမှားအယွင်းရှိနေသည်- {0}
Error submitting invoice: No response from server,ပြေစာပေးပို့ရာတွင် အမှားအယွင်းရှိသည်- ဆာဗာမှ တုံ့ပြန်မှုမရှိပါ။
Error updating currency,ငွေကြေးကို အပ်ဒိတ်လုပ်ရာတွင် အမှားအယွင်းရှိနေသည်။
Error updating item details,အကြောင်းအရာအသေးစိတ်ကို အပ်ဒိတ်လုပ်ရာတွင် အမှားအယွင်းရှိနေသည်။
Est. Purchase,ခန့်မှန်း ဝယ်ယူပါ။
Est. Value,ခန့်မှန်း တန်ဖိုး
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag သည် သင့်ဘရောက်ဆာမည်မျှအလုပ်ရှုပ်သည်ကို တိုင်းတာသည်။ အောက်ခြေက ပိုကောင်းပါတယ်။
Every,တိုင်း၊
Exchange Rate,ငွေလဲနှုန်း
Expand item details,အကြောင်းအရာအသေးစိတ်ကို ချဲ့ပါ။
Expected Amount (In Company Currency),မျှော်လင့်ထားသည့်ပမာဏ (ကုမ္ပဏီငွေကြေးဖြင့်)
Expected Cash,မျှော်လင့်ထားသောငွေ
Expected cash on hand grouped by currency,လက်ပေါ်ရှိ မျှော်လင့်ထားသော ငွေသားကို ငွေကြေးဖြင့် အုပ်စုဖွဲ့သည်။
Expected vs Actual,မျှော်မှန်းထားသည်နှင့် အစစ်အမှန်
Expense,ကုန်ကျစရိတ်
Expense Account (Optional Override),ကုန်ကျစရိတ်အကောင့် (ချန်လှပ်ထားနိုင်သည်)
Expense account is required.,ကုန်ကျစရိတ်အကောင့် လိုအပ်ပါသည်။
Expenses and deposits posted during this shift,ဤအပြောင်းအရွှေ့ကာလတွင် ကုန်ကျစရိတ်များနှင့် အပ်ငွေများကို ကြော်ငြာထားသည်။
Expired,သက်တမ်းကုန်သွားပြီ
Failed to auto reconcile payments.,ငွေပေးချေမှုများကို အလိုအလျောက် ပြန်လည်ညှိနှိုင်းရန် မအောင်မြင်ပါ။
Failed to cancel cash movement,ငွေသားလှုပ်ရှားမှုကို ပယ်ဖျက်၍မရပါ။
Failed to clear cache,ကက်ရှ်ကို ရှင်းလင်းရန် မအောင်မြင်ပါ။
Failed to create item,အကြောင်းအရာကို ဖန်တီး၍မရပါ။
Failed to create supplier,ပေးသွင်းသူကို ဖန်တီး၍မရပါ။
Failed to delete cash movement,ငွေသားလှုပ်ရှားမှုကို ဖျက်၍မရပါ။
Failed to generate scale barcode. Using item barcode only.,စကေးဘားကုဒ်ကို ထုတ်လုပ်၍မရပါ။ ပစ္စည်းဘားကုဒ်ကိုသာ အသုံးပြုခြင်း။
Failed to load cash movement context.,ငွေသားလှုပ်ရှားမှု အကြောင်းအရာကို တင်၍မရပါ။
Failed to load dashboard data.,ဒက်ရှ်ဘုတ်ဒေတာကို တင်ရန် မအောင်မြင်ပါ။
Failed to reload invoice from server,ဆာဗာမှ ပြေစာအား ပြန်လည်စတင်ရန် မအောင်မြင်ပါ။
Failed to submit cash movement,ငွေသားလှုပ်ရှားမှုကို တင်ပြရန် မအောင်မြင်ပါ။
Failed to sync offline cash movements,အော့ဖ်လိုင်းငွေသားလှုပ်ရှားမှုများကို စင့်ခ်လုပ်၍မရပါ။
Fast cashier actions for active shifts.,တက်ကြွသောအပြောင်းအရွှေ့များအတွက် မြန်ဆန်သော ငွေကိုင်လုပ်ဆောင်ချက်များ။
Fast Moving Items,လျင်မြန်သောရွေ့လျားပစ္စည်းများ
Fees,အဖိုးအခ
Fetch the latest offline prerequisite updates,နောက်ဆုံးအော့ဖ်လိုင်းအတွက် လိုအပ်သောအပ်ဒိတ်များကို ရယူပါ။
Find a sales order quickly and load it into the current sale.,အရောင်းအမှာစာတစ်ခုကို အမြန်ရှာပြီး လက်ရှိရောင်းချမှုတွင် ထည့်သွင်းပါ။
Fixing payment amounts for return invoice...,ပြန်ပြေစာအတွက် ငွေပေးချေမှုပမာဏကို ပြင်ဆင်နေသည်...
Flash Off,Flash Off
Flash On,Flash On ပါ။
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",'ကုန်ပစ္စည်းအစုအဝေး' ပစ္စည်းများအတွက်၊ ဂိုဒေါင်၊ အမှတ်စဉ်နံပါတ်နှင့် အတွဲလိုက်အမှတ်တို့ကို 'ထုပ်ပိုးမှုစာရင်း' ဇယားမှ ထည့်သွင်းစဉ်းစားမည်ဖြစ်သည်။ Warehouse နှင့် Batch No သည် မည်သည့် 'Product Bundle' item အတွက် ထုပ်ပိုးထားသော ပစ္စည်းအားလုံးအတွက် တူညီပါက၊ ထိုတန်ဖိုးများကို ပင်မပစ္စည်းဇယားတွင် ထည့်သွင်းနိုင်သည်။ တန်ဖိုးများကို 'ထုပ်ပိုးမှုစာရင်း' ဇယားသို့ ကူးယူမည်ဖြစ်သည်။
Free,အခမဲ့
Free Qty,အခမဲ့အရေအတွက်
Frequency,အကြိမ်ရေ
from,ထံမှ
From Date,Date မှ
Fulfillment Details,ပြည့်စုံမှုအသေးစိတ်
Full Name,နာမည်အပြည့်အစုံ
Gain,အမြတ်
Generate a fresh prepaid card and start it with an opening balance.,လတ်ဆတ်သော ကြိုတင်ငွေပေးကတ်ကို ဖန်တီးပြီး အဖွင့်လက်ကျန်ငွေဖြင့် စတင်ပါ။
Generate and install the certificate to allow fully silent printing without trust prompts.,ယုံကြည်စိတ်ချရသောသတိပေးချက်များမပါဘဲ အပြည့်အ၀ အသံတိတ်ပုံနှိပ်ခြင်းကို ခွင့်ပြုရန် လက်မှတ်ကို ဖန်တီးပြီး ထည့်သွင်းပါ။
Generate Certificate,လက်မှတ်ထုတ်ပေးပါ။
Generated scale barcode: {0},ထုတ်လုပ်ထားသော စကေးဘားကုဒ်- {0}
Get Payments,ငွေပေးချေမှုများကို ရယူပါ။
Gift Card,လက်ဆောင်ကတ်
Gift card amount must be greater than zero.,လက်ဆောင်ကတ် ပမာဏသည် သုညထက် ပိုနေရပါမည်။
Gift Card Code,လက်ဆောင်ကတ်ကုဒ်
Gift card code is required for redemption,လက်ဆောင်ကတ်ကုဒ်ကို ရွေးယူရန်အတွက် လိုအပ်ပါသည်။
Gift card code is required.,လက်ဆောင်ကတ်ကုဒ် လိုအပ်ပါသည်။
Gift card issued successfully.,လက်ဆောင်ကတ်ကို အောင်မြင်စွာ ထုတ်ပေးခဲ့သည်။
Gift card loaded successfully.,လက်ဆောင်ကတ်ကို အောင်မြင်စွာ တင်နိုင်ပါပြီ။
Gift Card Management,လက်ဆောင်ကတ်စီမံခန့်ခွဲမှု
Gift card payment,လက်ဆောင်ကတ်ငွေပေးချေမှု
Gift card redemption requires an online connection,လက်ဆောင်ကတ်ကို ရွေးနှုတ်ခြင်းသည် အွန်လိုင်းချိတ်ဆက်မှုတစ်ခု လိုအပ်သည်။
Gift card topped up successfully.,လက်ဆောင်ကတ်ကို ငွေဖြည့်သွင်းပြီးပါပြီ။
Gift Cards,လက်ဆောင်ကတ်များ
Go to Frappe Desk,Frappe Desk သို့သွားပါ။
Grand Total,Grand Total
Gross Margin,စုစုပေါင်း Margin
Gross Profit,စုစုပေါင်းအမြတ်
Gross Sales,စုစုပေါင်းရောင်းအား
Group not found,အဖွဲ့ကို ရှာမတွေ့ပါ။
"Grouped controls for terminal, UI, and session settings.",terminal၊ UI နှင့် စက်ရှင်ဆက်တင်များအတွက် အုပ်စုဖွဲ့ထိန်းချုပ်မှုများ။
Grouped totals for each payment method and currency,ငွေပေးချေမှုနည်းလမ်းနှင့် ငွေကြေးတစ်ခုစီအတွက် စုစုပေါင်း စုစုပေါင်းများကို အုပ်စုဖွဲ့ထားသည်။
Hide,ဖျောက်ပါ။
Hide Gift Card,လက်ဆောင်ကတ်ကို ဝှက်ထားပါ။
Hide Non Essential Fields,မရှိမဖြစ် အကွက်များကို ဖျောက်ပါ။
Hide quantity decimals,အရေအတွက် ဒဿမများကို ဝှက်ပါ။
Hide search tools,ရှာဖွေရေးကိရိယာများကို ဝှက်ထားပါ။
Hide zero rated items,သုည အဆင့်သတ်မှတ်ထားသော အရာများကို ဝှက်ထားပါ။
High,မြင့်သည်။
History,သမိုင်း
Hourly (Today),နာရီအလိုက် (ယနေ့)
How this section works,ဒီပုဒ်မ ဘယ်လိုအလုပ်လုပ်လဲ။
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",ဒေတာပျက်သွားပါက၊ ဆက်တင်များ > အော့ဖ်လိုင်းနှင့် စင့်ခ်လုပ်ခြင်းကိုဖွင့်ပြီး အွန်လိုင်းတွင် အော့ဖ်လိုင်းဒေတာကို ပြန်လည်တည်ဆောက်ရန် ထပ်မံလုပ်ဆောင်ပါ။
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",သတိပေးချက် ဆက်လက်ရှိနေပါက ဆက်တင်များ > အော့ဖ်လိုင်းနှင့် စင့်ခ်လုပ်ခြင်းကို ဖွင့်ပါ၊ ထို့နောက် အော့ဖ်လိုင်းဒေတာကို ပြန်လည်စတင်ပါ သို့မဟုတ် အော့ဖ်လိုင်းဒေတာကို ပြန်လည်တည်ဆောက်ပါ။
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,လက်မှတ်ကို QZ Tray ထဲသို့ ထည့်သွင်းပြီး POS စက်တစ်ခုစီတွင် QZ Tray ကို ပြန်လည်စတင်ပါ။
In,၌
In stock: {0},လက်ကျန်- {0}
Include Batch / Serial,Batch / Serial ပါဝင်ပါသည်။
Include Price,စျေးနှုန်းပါဝင်ပါသည်။
Increase quantity,ပမာဏတိုးပါ။
IndexedDB,IndexedDB
Initial Amount,ကနဦးပမာဏ
Initialize your shift with opening balances,အဖွင့်လက်ကျန်များဖြင့် သင်၏အပြောင်းအရွှေ့ကို စတင်ပါ။
Initializing application...,လျှောက်လွှာကို စတင်နေသည်...
"Inspect cache, sync, and prerequisite status",ကက်ရှ်၊ စင့်ခ်လုပ်ခြင်း နှင့် ကြိုတင်လိုအပ်ချက် အခြေအနေကို စစ်ဆေးပါ။
Installed Applications,ထည့်သွင်းထားသော အပလီကေးရှင်းများ
Insufficient stock:\n{0},စတော့ မလုံလောက်ပါ-\n{0}
Invalid rate,မမှန်ကန်သောနှုန်း
Inventory Status Report,စာရင်းဇယားအခြေအနေအစီရင်ခံစာ
Invoice,ပြေ
Invoice {0} is Submitted,ပြေစာ {0} ကို တင်သွင်းထားပါသည်။
Invoice {0} processed successfully,ပြေစာ {0} ကို အောင်မြင်စွာ လုပ်ဆောင်ပြီးပါပြီ။
Invoice {0} submission failed,ပြေစာ {0} တင်သွင်းမှု မအောင်မြင်ပါ။
Invoice {0} was already submitted,ပြေစာ {0} ကို တင်သွင်းပြီးဖြစ်သည်။
Invoice Adjustments,ပြေစာ ပြုပြင်ပြောင်းလဲမှုများ
Invoice Change,ပြေစာပြောင်းခြင်း။
Invoice Details,ပြေစာအသေးစိတ်
Invoice is still in draft after background submission.,နောက်ခံတင်ပြပြီးနောက် ပြေစာသည် မူကြမ်းတွင် ရှိနေဆဲဖြစ်သည်။
Invoice Items,ပြေစာများ
Invoice Management,ငွေတောင်းခံလွှာစီမံခန့်ခွဲမှု
Invoice Mgmt,ပြေ Mgmt
Invoice saved offline,ပြေစာအား အော့ဖ်လိုင်းတွင် သိမ်းဆည်းထားသည်။
Invoice submission failed,ပြေစာပေးပို့မှု မအောင်မြင်ပါ။
Invoice Submitted,ပြေစာတင်ပြီးပါပြီ။
"Invoice value settled by loyalty points, not cash collection",ငွေသားစုဆောင်းခြင်းမဟုတ်ဘဲ သစ္စာရှိအမှတ်များဖြင့် ဖြေရှင်းသည့် ပြေစာတန်ဖိုး
Invoices,ပြေစာများ
Invoices already past due date,ပြေစာများသည် သတ်မှတ်ရက်ကျော်လွန်ပြီးဖြစ်သည်။
Invoices saved as POS Invoices,ငွေတောင်းခံလွှာများကို POS ငွေတောင်းခံလွှာများအဖြစ် သိမ်းဆည်းထားသည်။
Invoices still carrying balances,ပြေစာများသည် လက်ကျန်များကို သယ်ဆောင်နေဆဲဖြစ်သည်။
Issue Mode,ထုတ်ပေးပါခင်ဗျာ။
Issue New Card,ကတ်အသစ်ထုတ်ပေးသည်။
Issue Workflow,အလုပ်အသွားအလာကိစ္စ
"Issue, top up, and check",ပြဿနာ၊ ငွေဖြည့်သွင်းပြီး စစ်ဆေးပါ။
Item,ကုသိုလ်ကံ
Item / Product Sales Report,ပစ္စည်း/ထုတ်ကုန် အရောင်းအစီရင်ခံစာ
Item {0} added to invoice,ပစ္စည်း {0} ကို ငွေတောင်းခံလွှာသို့ ထည့်ခဲ့သည်။
Item '{0}' has no barcode,ပစ္စည်း '{0}' တွင် ဘားကုဒ်မရှိပါ။
Item Code,ပစ္စည်းကုဒ်
Item created successfully,ပစ္စည်းကို အောင်မြင်စွာ ဖန်တီးပြီးပါပြီ။
Item is out of stock,ပစ္စည်းပြတ်သွားပါပြီ။
Item Name,ပစ္စည်းအမည်
Item not found,ပစ္စည်းမတွေ့ပါ။
Item order updated,ပစ္စည်းမှာယူမှုကို အပ်ဒိတ်လုပ်ထားသည်။
Item Selector Settings,အကြောင်းအရာ ရွေးချယ်မှု ဆက်တင်များ
Items,ပစ္စည်းများ
Items added in POS will appear here automatically.,POS တွင် ထည့်ထားသော အရာများသည် ဤနေရာတွင် အလိုအလျောက် ပေါ်လာပါမည်။
Items added to invoice,ပြေစာသို့ ပစ္စည်းများ ထည့်ထားသည်။
Items per page,စာမျက်နှာအလိုက် ပစ္စည်းများ
Items Sold,ရောင်းချပြီးသောပစ္စည်းများ
Items/Invoice,ပစ္စည်း/ပြေစာ
Item-wise Profitability,ပစ္စည်းအလိုက် အမြတ်အစွန်း
Journal Entry,ဂျာနယ်ဝင်ခွင့်
json,json
Just now,အခုပဲ
Keep offline prerequisites healthy and recover stale data safely.,အော့ဖ်လိုင်းတွင် လိုအပ်ချက်များကို ကျန်းမာစွာ ထားရှိကာ ပျက်ယွင်းနေသော ဒေတာများကို ဘေးကင်းစွာ ပြန်လည်ရယူပါ။
Labels,တံဆိပ်များ
"Language, theme, terminal tools, and session controls.",ဘာသာစကား၊ အပြင်အဆင်၊ terminal ကိရိယာများနှင့် စက်ရှင်ထိန်းချုပ်မှုများ။
Last,နောက်ဆုံး
Last 14 Days (Paid vs Pending),နောက်ဆုံး 14 ရက် (အခကြေးငွေနှင့် ဆိုင်းငံ့ထားသည်)
Last 14 Days Activity,နောက်ဆုံး ၁၄ ရက် လုပ်ဆောင်ချက်
Last 14 Days Gross Profit,နောက်ဆုံး 14 ရက် စုစုပေါင်းအမြတ်
Last 14 Days Purchases,နောက်ဆုံး 14 ရက်ဝယ်ယူမှုများ
Last 14 Days Tax/Charges,လွန်ခဲ့သည့် 14 ရက်အတွင်း အခွန်/ကောက်ခံမှုများ
Last sync:,နောက်ဆုံး စင့်ခ်လုပ်သည်-
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},နောက်ဆုံး စင့်ခ်လုပ်ခြင်း- {0} | ok- {1} | မအောင်မြင်ပါ- {2} | ကျော်သွားသည်- {3}
Latest entries for current shift,လက်ရှိအပြောင်းအရွှေ့အတွက် နောက်ဆုံးထွက်စာရင်းများ
Lead Time,ပို့ဆောင်ချိန်
Limited,ကန့်သတ်ချက်
lines,လိုင်းများ
List,စာရင်း
Live Snapshot,တိုက်ရိုက်လျှပ်တစ်ပြက်
Load a POS profile and cashier first.,POS ပရိုဖိုင်နှင့် ငွေကိုင်ကို ဦးစွာ တင်ပါ။
Load More Invoices,နောက်ထပ် ငွေတောင်းခံလွှာများကို တင်ပါ။
Load previously saved invoices,ယခင်သိမ်းဆည်းထားသည့် ငွေတောင်းခံလွှာများကို တင်ပါ။
Load Sale,ရောင်းရန်
Load Sales Invoice,အရောင်းပြေစာတင်ပါ။
Loading app data...,အက်ပ်ဒေတာကို ဖွင့်နေသည်...
Loading customer database...,ဖောက်သည်ဒေတာဘေ့စ်ကို ဖွင့်နေသည်...
Loading customers...,ဖောက်သည်များကို ဖွင့်နေသည်...
Loading database stats...,ဒေတာဘေ့စ်စာရင်းများကို ဖွင့်နေသည်...
Loading details...,အသေးစိတ်အချက်အလက်များကို ဖွင့်နေသည်...
Loading invoice history...,ပြေစာမှတ်တမ်းကို ဖွင့်နေသည်...
Loading items...,ပစ္စည်းများ တင်နေသည်...
Loading product catalog...,ထုတ်ကုန်ကတ်တလောက်ကို ဖွင့်နေသည်...
Loading return invoices...,ပြန်ပို့ငွေတောင်းခံလွှာများကို ဖွင့်နေသည်...
Loading server CPU/memory usage...,ဆာဗာ CPU/မမ်မိုရီအသုံးပြုမှုကို ဖွင့်နေသည်...
Loading suppliers...,ပေးသွင်းသူများကို ဖွင့်နေသည်...
Loading unpaid invoices...,အခပေးမရသေးသော ငွေတောင်းခံလွှာများကို ဖွင့်နေသည်...
Loading view...,မြင်ကွင်းကို ဖွင့်နေသည်...
Loading...,ဖွင့်နေသည်...
Local storage is unavailable. Switching to online-only mode.,စက်တွင်းသိုလှောင်မှု မရနိုင်ပါ။ အွန်လိုင်းသီးသန့်မုဒ်သို့ ပြောင်းနေသည်။
localStorage,localStorage
Location Performance,တည်နေရာစွမ်းဆောင်ရည်
Locations,နေရာများ
Lock Screen,သော့ခတ်မျက်နှာပြင်
Lookup Workflow,အလုပ်အသွားအလာကို ရှာဖွေပါ။
Loss,ဆုံးရှုံးမှု
Low,နိမ့်သည်။
Low Stock,Low Stock
Low Stock Alerts,စတော့နည်းသော သတိပေးချက်များ
Low Stock Items,စတော့နည်းသောပစ္စည်းများ
Low Stock Threshold,Low Stock Threshold
Low Stock Total,Low Stock Total
Lowest Margin,အနိမ့်ဆုံး Margin
Low-frequency maintenance and system details.,ကြိမ်နှုန်းနည်းသော ပြုပြင်ထိန်းသိမ်းမှုနှင့် စနစ်အသေးစိတ်။
Loyalty Redeemed,သစ္စာစောင့်သိမှု ရွေးနှုတ်ခဲ့သည်။
Loyalty Redemption,သစ္စာစောင့်သိမှု ရွေးနှုတ်ခြင်း။
Make New Payment,ငွေပေးချေမှုအသစ်လုပ်ပါ။
Manage all,အားလုံးကို စီမံပါ။
Manage and synchronize your offline transactions,သင်၏အော့ဖ်လိုင်းငွေပေးငွေယူများကို စီမံခန့်ခွဲပြီး တစ်ပြိုင်တည်းလုပ်ဆောင်ပါ။
Manage Cashier PIN,Cashier PIN ကို စီမံပါ။
"Manage offline tools, terminal controls, and maintenance from one workspace.",အော့ဖ်လိုင်းတူးလ်များ၊ ဂိတ်ထိန်းချုပ်မှုများနှင့် ပြုပြင်ထိန်းသိမ်းမှုများကို အလုပ်နေရာတစ်ခုမှ စီမံခန့်ခွဲပါ။
manual,လက်စွဲ
"Manual codes, barcode scans, and QR scans work in the same field",လူကိုယ်တိုင်ကုဒ်များ၊ ဘားကုဒ်စကင်န်ဖတ်ခြင်းနှင့် QR စကင်န်ဖတ်ခြင်းများသည် တူညီသောအကွက်တွင် အလုပ်လုပ်ပါသည်။
Manual offline mode is enabled,လူကိုယ်တိုင် အော့ဖ်လိုင်းမုဒ်ကို ဖွင့်ထားသည်။
Margin,အနားသတ်
Maximum available quantity is {0}. Quantity adjusted to match stock.,အများဆုံးရရှိနိုင်သည့်ပမာဏမှာ {0} ဖြစ်သည်။ အရေအတွက်ကို စတော့နှင့် ကိုက်ညီအောင် ချိန်ညှိထားသည်။
Maximum discount amount for this offer item is {0}.,ဤကမ်းလှမ်းချက်အကြောင်းအရာအတွက် အများဆုံးလျှော့စျေးမှာ {0} ဖြစ်သည်။
Maximum discount percentage for this offer item is {0}%.,ဤကမ်းလှမ်းချက်အကြောင်းအရာအတွက် အများဆုံးလျှော့စျေးရာခိုင်နှုန်းမှာ {0}% ဖြစ်သည်။
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,အများဆုံးကမ်းလှမ်းမှုပမာဏမှာ {0} ဖြစ်သည်။ ခွင့်ပြုကန့်သတ်ချက်ဖြင့် ပမာဏကို ချိန်ညှိထားသည်။
Medium,လတ်
Method-wise Collections,နည်းလမ်းအလိုက် စုစည်းမှု
Minimum allowed rate for this offer item is {0}.,ဤကမ်းလှမ်းချက်အကြောင်းအရာအတွက် အနည်းဆုံးခွင့်ပြုနှုန်းမှာ {0} ဖြစ်သည်။
Minimum Qty,အနည်းဆုံး အရေအတွက်
Mobile No,မိုဘိုင်းနံပါတ်
Mode,မုဒ်
Mode of Payment,ငွေပေးချေမှုပုံစံ
Month,လ
Month ?,လ ?
Monthly Profit,လစဉ်အမြတ်
Monthly Sales,လစဉ်အရောင်း
Monthly Sales Summary,လစဉ်အရောင်းအကျဉ်းချုပ်
Month-wise,လအလိုက်
Most Active Cashiers,အတက်ကြွဆုံး ငွေကိုင်များ
Movement Type,လှုပ်ရှားမှုအမျိုးအစား
Movements,လှုပ်ရှားမှုများ
Multi Currency,ငွေကြေးမျိုးစုံ
N/A,မရှိ
Name,နာမည်
Negative Stock,အနုတ်လက္ခဏာစတော့
Negative Stock Items,အနုတ်လက္ခဏာစတော့ခ်ပစ္စည်းများ
Negative values not allowed,အနုတ်လက္ခဏာတန်ဖိုးများကို ခွင့်မပြုပါ။
