POS Awesome,POS Fantastiskt
Manage Cashier PIN,Hantera Cashier PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Hantera offlineverktyg, terminalkontroller och underhåll från en arbetsyta."
manual,handbok
"Manual codes, barcode scans, and QR scans work in the same field","Manuella koder, streckkodsskanningar och QR-skanningar fungerar i samma fält"
Manual offline mode is enabled,Manuellt offlineläge är aktiverat
Margin,Marginal
Maximum available quantity is {0}. Quantity adjusted to match stock.,Högsta tillgängliga kvantitet är {0}. Kvantitet anpassad för att matcha lager.
Maximum discount amount for this offer item is {0}.,Maximalt rabattbelopp för denna erbjudandeartikel är {0}.
Maximum discount percentage for this offer item is {0}%.,Den maximala rabattprocenten för denna erbjudandevara är {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Högsta erbjudandekvantitet är {0}. Kvantitet justerad till tillåten gräns.
Medium,Medium
Method-wise Collections,Metodmässiga samlingar
Minimum allowed rate for this offer item is {0}.,Lägsta tillåtna pris för denna erbjudandeartikel är {0}.
Minimum Qty,Minsta kvantitet
Mobile No,Mobilnr
Mode,Läge
Mode of Payment,Betalningssätt
Month,Månad
Month ?,Månad?
Monthly Profit,Månadsvinst
Monthly Sales,Månadsförsäljning
Monthly Sales Summary,Månatlig försäljningsöversikt
Month-wise,Månadsmässigt
Most Active Cashiers,Mest aktiva kassörer
Movement Type,Rörelsetyp
Movements,Rörelser
Multi Currency,Flera valutor
N/A,N/A
Name,Namn
Negative Stock,Negativ aktie
Negative Stock Items,Negativa lagerartiklar
Negative values not allowed,Negativa värden är inte tillåtna
Net,Netto
Net Qty,Netto kvantitet
Net Sales,Nettoomsättning
Net Value,Nettovärde
Never,Aldrig
New changes are ready to load,Nya ändringar är redo att laddas
New Item,Nytt föremål
New Offer Available,Nytt erbjudande tillgängligt
New PIN,Ny PIN-kod
New rate,Ny kurs
Next unit of measure,Nästa måttenhet
No attribute data found.,Inga attributdata hittades.
No Barcode,Ingen streckkod
No barcode found for UOM '{0}',Ingen streckkod hittades för UOM '{0}'
No branch/location data found.,Ingen filial/platsdata hittades.
No brand data found.,Ingen varumärkesdata hittades.
No cached gift card balance is available offline.,Inget cachelagrat presentkortssaldo är tillgängligt offline.
No camera found on this device. Please ensure your device has a working camera.,Ingen kamera hittades på den här enheten. Se till att din enhet har en fungerande kamera.
No capability warnings recorded yet.,Inga kapacitetsvarningar har registrerats ännu.
No cash expected for this shift.,Inga pengar förväntas för detta skift.
No cash mode configured,Inget kontantläge konfigurerat
No cash movement type is allowed for this POS Profile.,Ingen typ av kontantrörelse är tillåten för denna POS-profil.
No cashier PIN is set yet. Create one now.,Ingen kassa-PIN är inställd ännu. Skapa en nu.
No cashier profiles are available for this POS profile yet.,Inga kassaprofiler är tillgängliga för denna POS-profil ännu.
No cashier-wise discount/void/return activity.,Ingen kassamässig rabatt/ogiltig/returaktivitet.
No category data found.,Inga kategoridata hittades.
No category profitability data found.,Ingen kategoris lönsamhetsdata hittades.
No change returned recorded for this shift.,Ingen returnerad förändring registrerad för detta skift.
No change-allocation invoices match the current filters.,Inga förändringsfakturor matchar de aktuella filtren.
No charge head breakdown found.,Ingen laddningshuvuduppdelning hittades.
No Company Selected,Inget företag valt
No customer sales data found.,Inga kundförsäljningsdata hittades.
No day-wise discount/void/return trend.,Ingen dagsvis rabatt/void/retur trend.
No day-wise payment data found.,Inga betalningsdata per dag hittades.
No day-wise profitability trend found.,Ingen dagsvis lönsamhetstrend hittades.
No day-wise purchase data found.,Inga dagsvisa köpdata hittades.
No day-wise sales trend found.,Ingen daglig försäljningstrend hittades.
No day-wise tax/charges trend found.,Ingen trend för skatt/avgifter per dag hittades.
No dead stock items.,Inga döda lagervaror.
No due date,Inget förfallodatum
No exact repair match found for this invoice,Ingen exakt reparationsmatchning hittades för denna faktura
No hourly sales trend found for today.,Ingen timförsäljningstrend hittades för idag.
No invoice activity found.,Ingen fakturaaktivitet hittades.
No invoices found,Inga fakturor hittades
No invoices found. Try different search criteria.,Inga fakturor hittades. Prova olika sökkriterier.
No invoices recorded for this shift.,Inga fakturor registrerade för detta skift.
No item profitability data found.,Inga uppgifter om varans lönsamhet hittades.
No item sales data found for this period.,Ingen varuförsäljningsdata hittades för denna period.
No items found,Inga föremål hittades
No items in cart,Inga varor i varukorgen
No items with barcodes to print,Inga objekt med streckkoder att skriva ut
No location-wise top item data found.,Ingen platsmässigt toppobjektsdata hittades.
No low stock alerts right now.,Inga låga lagervarningar just nu.
No low stock items.,Inga varor med lågt lager.
No matching items in cart,Inga matchande varor i varukorgen
No month-wise sales trend found.,Ingen månadsvis försäljningstrend hittades.
No negative stock items.,Inga negativa lagerartiklar.
No notifications yet,Inga aviseringar än
No offline cash movement synced.,Ingen offline kontantrörelse synkroniserad.
No offline invoices pending synchronization,Inga offlinefakturor som väntar på synkronisering
No offline sync issues recorded yet.,Inga offlinesynkroniseringsproblem har registrerats än.
No out-of-stock items.,Inga slutsålda varor.
No outstanding credit invoices for this shift.,Inga utestående kreditfakturor för detta skift.
No payment collection data found.,Inga betalningsuppbördsdata hittades.
No payment rows available on this invoice.,Inga betalningsrader tillgängliga på denna faktura.
No payments registered for this shift.,Inga betalningar registrerade för detta skift.
No pending balances in this period.,Inga utestående saldon under denna period.
No pending offline invoices,Inga väntande offlinefakturor
No Print Formats Found,Inga utskriftsformat hittades
No profiles found for selected scope. Falling back to current profile failed.,Inga profiler hittades för valt omfattning. Det gick inte att falla tillbaka till nuvarande profil.
No recent customer activity found.,Ingen senaste kundaktivitet hittades.
No recent stock entries found.,Inga senaste aktieposter hittades.
No records found,Inga poster hittades
No reorder suggestions right now.,Inga omordningsförslag just nu.
No repeat customers in this period.,Inga återkommande kunder under denna period.
No response from server,Inget svar från servern
No return invoices found,Inga returfakturor hittades
No return item trend found.,Ingen trend för returvaror hittades.
No returnable items found for this invoice,Inga returartiklar hittades för denna faktura
No returns were processed in this shift.,Inga returer behandlades i detta skift.
No risk activity found.,Ingen riskaktivitet hittades.
No sales activity found for this period.,Ingen försäljningsaktivitet hittades för denna period.
No slow moving items.,Inga föremål som rör sig långsamt.
No staff sales activity found.,Ingen personalförsäljningsaktivitet hittades.
No stock movement for this period.,Ingen aktierörelse för denna period.
No submitted cash movements in this shift.,Inga inlämnade kontantrörelser i detta skift.
No supplier purchases found in this month.,Inga leverantörsköp hittades den här månaden.
No suppliers found for this period.,Inga leverantörer hittades för denna period.
No sync trigger has run yet in this session.,Ingen synkroniseringsutlösare har körts ännu i den här sessionen.
No tax head breakdown found.,Ingen skatteuppgift hittades.
No top items found for this location.,Inga toppartiklar hittades för den här platsen.
No unpaid invoices,Inga obetalda fakturor
No variant data found.,Inga variantdata hittades.
No week-wise sales trend found.,Ingen veckovis försäljningstrend hittades.
No.,Nej.
Nobile Number,Adelsnummer
Not available,Ej tillgängligt
Not checked,Ej kontrollerat
Not selected,Ej vald
Not Set,Ej inställd
Notifications,Aviseringar
Offer,Erbjudande
Offer Applied,Erbjudandet gäller
Offer criteria exceeded,Erbjudandekriterierna överskrids
Offer Item,Erbjudande objekt
Offer item unavailable,Erbjudandet är inte tillgängligt
Offer Removed,Erbjudandet har tagits bort
Offer UOM cannot be changed,Erbjudandet UOM kan inte ändras
Offer?,Erbjudande?
Offers,Erbjudanden
Offline,Offline
Offline & Sync,Offline & synkronisera
Offline Capabilities,Offlinefunktioner
Offline data status refreshed,Offlinedatastatus har uppdaterats
Offline diagnostics,Offlinediagnostik
Offline Invoices,Offlinefakturor
Offline invoices status,Status för offlinefakturor
Offline invoices synced,Offlinefakturor synkroniserade
Offline Queue: {0},Offlinekö: {0}
Offline rebuild guidance,Offline ombyggnadsvägledning
Offline restore is unavailable for this session.,Offlineåterställning är inte tillgänglig för den här sessionen.
Offline selling is available with degraded capabilities.,Offlineförsäljning är tillgänglig med försämrade möjligheter.
Offline snapshot does not match the current POS state.,Offline ögonblicksbild matchar inte det aktuella POS-läget.
Offline Status,Offlinestatus
"Offline, terminal, and system controls","Offline-, terminal- och systemkontroller"
OK,OK
Online,Online
Open actions menu,Öppna åtgärdsmenyn
Open balance to collect,Öppen balans att samla in
Open Customer Display,Öppna Kunddisplay
Open drawer,Öppna lådan
Open invoices,Öppna fakturor
Open Payments?,Öppna betalningar?
Open POS home,Öppna POS-hemmet
Open this screen from POS Menu -> Open Customer Display.,Öppna den här skärmen från POS-menyn -> Öppna kundvisning.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-bildbehandling aktiverad - Förbättrad streckkodsdetektering
OpenCV image processing unavailable on this device,OpenCV-bildbehandling är inte tillgänglig på den här enheten
OpenCV Off,OpenCV Av
OpenCV On,OpenCV På
OpenCV processing disabled,OpenCV-bearbetning inaktiverad
Opening Amount,Öppningsbelopp
Opening Cash,Öppna kontanter
options,alternativ
Order,Beställ
Original,Original
Other,Annat
Out,Ut
Out of Stock,Slut i lager
Out of Stock Items,Slut i lager
Outstanding,Enastående
Outstanding Credit by Currency,Utestående kredit per valuta
Overdue,Försenad
Overpayment Change,Ändring av överbetalning
Overpayment change deducted: {0},Ändring av överbetalning dras av: {0}
Packing List,Packlista
Page Format,Sidformat
Page unavailable offline,Sidan är inte tillgänglig offline
Paid,Betalt
Paid (orig):,Betald (original):
Paid Amount,Betalt belopp
Paid change cannot be greater than total change!,Betald förändring kan inte vara större än total förändring!
Paid:,Betalt:
Parent Item,Föräldraobjekt
Partial,Partiell
Partly Paid,Delvis betald
Party Account,Partykonto
Party Type,Typ av fest
Pause terminal until next cashier,Pausa terminalen till nästa kassa
PAY,BETALA
Payment,Betalning
Payment Account,Betalkonto
Payment entries processed for Invoice {0},Betalningsposter behandlade för faktura {0}
Payment Entry Type,Typ av betalningsinmatning
Payment History,Betalningshistorik
Payment ID,Betalnings-ID
Payment Method Report,Betalningsmetodrapport
Payment Methods,Betalningsmetoder
Payment of {0} received successfully.,Betalningen på {0} har tagits emot.
Payment Progress,Betalningsförlopp
Payment Reconciliation,Betalningsavstämning
Payment request status could not be retrieved. Please try again,Status för betalningsbegäran kunde inte hämtas. Försök igen
Payment Request took too long to respond. Please try requesting for payment again,Betalningsförfrågan tog för lång tid att svara. Försök att begära betalning igen
Payment saved offline,Betalning sparad offline
Payment State,Betalningsstat
Payment Status,Betalningsstatus
Payment submitted but print function could not be executed. Payment name not found.,Betalning skickad men utskriftsfunktionen kunde inte utföras. Betalningsnamn hittades inte.
Payment submitted.,Betalning inlämnad.
Payment Summary,Betalningssammanfattning
Payments,Betalningar
Payments are not open. Do you want to open payments and submit?,Betalningar är inte öppna. Vill du öppna betalningar och skicka in?
Payments by Mode of Payment,Betalningar per betalningssätt
PDF,PDF
Peak Hour,Peak Hour
Peak Memory:,Toppminne:
Peak Server:,Toppserver:
Peak:,Topp:
Pending,Väntar
Pending Amount,Väntande belopp
Pending count updated from {0} to {1},Antalet väntande har uppdaterats från {0} till {1}
Pending Exposure,Väntar på exponering
Pending Invoices,Väntande fakturor
Pending Ratio,Väntande förhållande
Pending Sales,Väntande försäljning
Pending sales: {0} | Cache usage: {1}%,Väntande försäljning: {0} | Cacheanvändning: {1}%
Pending Sync,Väntar på synkronisering
Pending: {0},Väntar: {0}
Pending: {0} | Synced: {1} | Draft: {2},Väntande: {0} | Synkroniserad: {1} | Utkast: {2}
Per Page,Per sida
Personal,Personligt
Personal preferences adjust the current cashier experience without changing the active POS route.,Personliga preferenser justerar den nuvarande kassaupplevelsen utan att ändra den aktiva POS-rutten.
PIN confirmation does not match.,PIN-bekräftelsen stämmer inte.
PIN must be 4 to 8 digits.,PIN-koden måste vara 4 till 8 siffror.
Please add at least one item.,Lägg till minst ett objekt.
Please allow camera access to scan codes,Tillåt kameraåtkomst för att skanna koder
Please enter payment amount,Ange betalningsbelopp
Please fill all required fields,Fyll i alla obligatoriska fält
Please make a payment or select a payment,Vänligen gör en betalning eller välj en betalning
Please request phone payment or use another payment method,Vänligen begär telefonbetalning eller använd en annan betalningsmetod
Please select a customer first,Välj en kund först
Please select a party,Välj ett parti
Please select a party before reconciling.,Välj en part innan du stämmer av.
Please select a valid movement type.,Välj en giltig rörelsetyp.
Please select an invoice,Välj en faktura
Please select company before reconciling.,Vänligen välj företag innan avstämning.
Please set the customer's mobile number,Vänligen ställ in kundens mobilnummer
Please try again or enter the item manually.,Försök igen eller ange objektet manuellt.
Please verify the barcode or check the item's availability.,Vänligen verifiera streckkoden eller kontrollera varans tillgänglighet.
Points,Poäng
Popup blocked. Please allow popups.,Popup blockerad. Tillåt popup-fönster.
POS,POS
POS controls and maintenance,POS-kontroller och underhåll
POS Expense is disabled for this POS Profile.,POS-utgifter är inaktiverat för denna POS-profil.
POS is running with limited offline prerequisites.,POS körs med begränsade offlineförutsättningar.
POS Profile,POS-profil
Position the QR code or barcode within the scanning area,Placera QR-koden eller streckkoden inom skanningsområdet
Posting,Inlägg
Posting and Price List,Bokföring och prislista
Posting Date,Posteringsdatum
Preparing background sync,Förbereder bakgrundssynkronisering
"Press OK to continue offline with a warning, or Cancel to retry.","Tryck på OK för att fortsätta offline med en varning, eller Avbryt för att försöka igen."
Previous unit of measure,Tidigare måttenhet
Price List,Prislista
Price List Rate,Prislista Pris
Price list rate updated locally only,Prislistans pris uppdateras endast lokalt
Pricing & Discounts,Priser & rabatter
Pricing Rule,Prissättningsregel
Print,Skriv ut
Print Draft,Skriv ut utkast
Print Format (Invoice),Utskriftsformat (faktura)
Print Format (Order),Utskriftsformat (beställning)
Print invoice,Skriv ut faktura
Print Purchase Invoice instead of PO,Skriv ut inköpsfaktura istället för PO
Printer,Skrivare
Processed returns impacting the shift totals,Bearbetade returer som påverkar skiftsummorna
Processing Payment,Bearbetar betalning
Processing payment entries for Invoice {0},Bearbetar betalningsposter för faktura {0}
Profile,Profil
Profiles,Profiler
Profit,Vinst
Profit: Invoice Item Estimate,Vinst: Uppskattning av fakturaobjekt
Profit: Stock Ledger (COGS),Vinst: Lagerreskontra (COGS)
Profitability Report,Lönsamhetsrapport
Prorated return discount,Proportionell returrabatt
Purchase Amount,Inköpsbelopp
Purchase Invoices,Inköpsfakturor
Purchase Order created,Inköpsorder skapad
Qty,Antal
Qualified,Kvalificerad
Quantity,Kvantitet
Quantity exceeds available stock,Antalet överstiger tillgängligt lager
Quick Actions,Snabba åtgärder
Quotation {0} is Submitted,Offert {0} har skickats
Quotation submitted,Offert inlämnad
QZ Tray connected.,QZ-fack ansluten.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray kopplas bort manuellt. Tryck på Anslut för att aktivera det igen.
QZ Tray is not connected.,QZ-fack är inte anslutet.
QZ Tray Setup,QZ-fackinställningar
Rate,Betygsätt
Rate adjusted to maximum allowed discount,Pris justerad till maximalt tillåten rabatt
Ready,Klar
Ready to resume,Redo att återuppta
Ready!,Klart!
Real-time POS insights for retail operations.,POS-insikter i realtid för detaljhandeln.
Rebuild Offline Data,Bygg om offlinedata
Receive,Ta emot
Receive now,Ta emot nu
Received,Mottaget
Received:,Mottaget:
Recent Movement Entries,Senaste rörelseinlägg
Recent updates about your invoices,Senaste uppdateringar om dina fakturor
Recently Active Customers,Nyligen aktiva kunder
Rechecking connection,Kontrollerar anslutningen igen
Reconcile payment methods and close shift,Stäng av betalningsmetoder och stäng skiftet
Reconciling Payments,Avstämning av betalningar
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Återanslut och öppna den här sidan en gång när du är online, sedan kommer offlineuppdateringar att kunna återställa den."
Reconnect online to refresh cached offline data from the server.,Återanslut online för att uppdatera cachad offlinedata från servern.
Recreate local offline prerequisites from scratch,Återskapa lokala offlineförutsättningar från grunden
Recv:,Recv:
Redeem,Lös in
Redeem / Scan,Lös in / Skanna
Redeem Amount,Lös in belopp
Redeem Mode,Lös in läge
Redeemed Amount,Inlöst belopp
Redeemed credit cannot be greater than its total.,Inlöst kredit kan inte vara större än totalsumman.
Redemption and Totals,Inlösen och Summor
Reference,Referens
Refresh,Uppdatera
Refresh Exchange Rate,Uppdatera växelkurs
Refresh Offline Data,Uppdatera offlinedata
Refresh Printers,Uppdatera skrivare
Refund,Återbetalning
Release Notes,Release Notes
Reload,Ladda om
Reload customers,Ladda om kunder
Reload Items,Ladda om objekt
Reload Now,Ladda om nu
Reload to apply the latest changes. Your current session will be refreshed.,Ladda om för att tillämpa de senaste ändringarna. Din nuvarande session kommer att uppdateras.
Reload Workflow,Ladda om arbetsflöde
Remarks,Anmärkningar
Remarks are required.,Anmärkningar krävs.
Remove,Ta bort
Remove barcode item,Ta bort streckkodsobjektet
Remove cached data and reload the POS app,Ta bort cachad data och ladda om POS-appen
Remove item,Ta bort objekt
Remove Offer,Ta bort erbjudandet
Reorder / Purchase Suggestions,Ombeställning/köpförslag
Repair Candidate,Reparationskandidat
Repair Change Allocation,Reparation Ändringstilldelning
Repair requires an online connection,Reparation kräver en onlineanslutning
Repaired,Reparerad
Repairing change allocation,Reparera ändringstilldelning
Repeat Customers,Återkommande kunder
Repeat Rate,Upprepa hastighet
Request,Begäran
Request ID: {0},Begärans ID: {0}
Request Payment,Begär betalning
Requested route: {0},Begärd rutt: {0}
Required columns cannot be hidden,Obligatoriska kolumner kan inte döljas
Reset,Återställ
Reset item name,Återställ objektnamn
Reset to Default,Återställ till standard
Resource Health,Resurshälsa
Restricted,Begränsad
Restricted operational controls for supervisors only.,Begränsade operativa kontroller endast för arbetsledare.
Retry,Försök igen
Retry route,Försök med rutten igen
Return,Återgå
Return Amount,Returbelopp
Return Count,Returräkning
Return items must have negative quantities,Returvaror måste ha negativa kvantiteter
Return total must be negative,Retursumman måste vara negativ
Return Valid Until,Retur gäller t.o.m
Return window passed,Returfönstret passerat
Return without Invoice,Retur utan faktura
Returns,Returnerar
Returns / Voids / Discounts,Returer / Tomter / Rabatter
Returns by Currency,Returer per valuta
Revenue,Intäkter
Review shift totals before submitting the closing entry,Granska skiftsummor innan du skickar in den avslutande posten
Round Off,Avrunda
Rows,Rader
Rows:,Rader:
Rule,Regel
Sale,Försäljning
Sales,Försäljning
Sales Order {0} is Submitted,Försäljningsorder {0} har skickats
Sales Person and Print,Säljare och tryck
Sales Person not found,Säljare hittades inte
Sales processed,Försäljning bearbetad
Sales Return,Försäljningsretur
Sales Trend Report,Försäljningstrendrapport
Save,Spara
Save & Clear,Spara & Rensa
Save as POS Profile Default,Spara som standard för POS-profil
Save Settings,Spara inställningar
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Spara den valda skrivaren som standard för POS-profil så att den visas automatiskt i den här inställningen.
Saved as draft because: {0},Sparad som utkast eftersom: {0}
Saving...,Sparar...
Scale barcode detected. Quantity here is the number of labels to print.,Skala streckkod upptäckt. Kvantitet här är antalet etiketter som ska skrivas ut.
Scale barcode settings are not configured. Using item barcode only.,Skala streckkodsinställningar är inte konfigurerade. Använder endast artikelstreckkod.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Skalmallens streckkod saknas för denna artikel/UOM. Använder endast artikelstreckkod.
Scan an existing card and top it up without leaving the payment flow.,Skanna ett befintligt kort och fyll på utan att lämna betalningsflödet.
Scan Error,Skanningsfel
Scan or enter a gift card code to check balance or redeem.,Skanna eller ange en presentkortskod för att kontrollera saldo eller lösa in.
Scan or paste the card code below.,Skanna eller klistra in kortkoden nedan.
Scan QR Code/Barcode,Skanna QR-kod/streckkod
Scan with camera,Skanna med kamera
Scan-First Flow,Scan-First Flow
Scanned Code:,Skannad kod:
Scanning for: {0},Söker efter: {0}
Scanning items,Skanna objekt
Scan-Ready,Skanna-Redo
Scope,Omfattning
Scope: All Profiles,Omfattning: Alla profiler
Scope: Current Profile,Omfattning: Nuvarande profil
Scope: Specific Profile,Omfattning: Specifik profil
Search,Sök
Search Account,Sök konto
Search an invoice and continue the return flow without extra steps.,Sök på en faktura och fortsätt returflödet utan extra steg.
Search customer,Sök kund
Search invoices or customers,Sök efter fakturor eller kunder
Search item,Sök objekt
Search item / code,Sök objekt/kod
Search items or barcode,Sök efter föremål eller streckkod
Search Mpesa Payments,Sök i Mpesa Payments
Search return invoices or customers,Sök returfakturor eller kunder
Search supplier,Sök efter leverantör
Search unpaid invoices or customers,Sök efter obetalda fakturor eller kunder
Secure context (HTTPS or localhost) is required for camera access.,Säker kontext (HTTPS eller localhost) krävs för kameraåtkomst.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Säker kontext (HTTPS) krävs för kameraåtkomst. Använd HTTPS för att komma åt kameran.
Select,Välj
Select a cashier first.,Välj en kassörska först.
Select a customer,Välj en kund
Select a customer to use coupon,Välj en kund att använda kupongen
Select a printer to use QZ silent printing.,Välj en skrivare för att använda tyst QZ-utskrift.
Select Batch,Välj Batch
Select Columns to Display,Välj kolumner att visa
Select items to sell,Välj artiklar att sälja
Select Payment,Välj Betalning
Select Payment Account,Välj Betalkonto
Select printer,Välj skrivare
Select Return Invoice,Välj Returfaktura
Select S.O,Välj S.O
Select Sales Orders,Välj Försäljningsorder
Select the cashier who is taking over this terminal.,Välj den kassörska som tar över denna terminal.
Selected,Vald
Selected movement type is not allowed by POS Profile.,Vald rörelsetyp är inte tillåten av POS-profilen.
Selected Payments,Valda betalningar
Sensitive actions kept away from quick taps.,Känsliga handlingar hölls borta från snabba tryckningar.
Serial,Seriell
Serial Numbers,Serienummer
Server CPU Usage:,Server CPU-användning:
Server Health,Serverhälsa
Server Memory Usage:,Serverminnesanvändning:
Server Metrics,Serverstatistik
Server Uptime:,Serverdriftstid:
Service Charges,Serviceavgifter
Session,Session
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Ställ in varje kassa-PIN i användarformuläret och behåll terminalmedlemmar tilldelade i POS-profilanvändare.
Settings,Inställningar
Settings in this section update the POS workspace without changing the current route.,Inställningarna i det här avsnittet uppdaterar POS-arbetsytan utan att ändra den aktuella rutten.
Setup complete!,Installationen är klar!
Share,Dela
Shared terminal,Delad terminal
Shift Closed Snapshot,Skift stängd ögonblicksbild
Shift Overview,Skiftöversikt
Show,Visa
Show cart on customer-facing screen,Visa varukorgen på kundvänd skärm
Show last invoice rate,Visa senaste fakturakurs
Show rate info,Visa prisinformation
Show Repair Candidates,Visa reparationskandidater
Show search tools,Visa sökverktyg
Show the active cart on a customer-facing screen,Visa den aktiva varukorgen på en kundvänd skärm
Showing {0}-{1} of {2},Visar {0}-{1} av {2}
Showing 0 of 0,Visar 0 av 0
Shows the distribution of invoices per currency,Visar fördelningen av fakturor per valuta
Sign out of the current POS session,Logga ut från den aktuella POS-sessionen
Size:,Storlek:
Skipped Payments,Överhoppade betalningar
Skipping items without barcodes,Hoppa över objekt utan streckkoder
Slow Moving,Slow Moving
Slow Moving Items,Saker som rör sig långsamt
Slow Queries:,Långsamma frågor:
Sold,Såld
Source,Källa
Source Cash Account (Optional Override),Källkontantkonto (valfritt åsidosättande)
Source Ex. Rate:,Källa Ex. Pris:
Source Rate:,Källfrekvens:
Specific Profile,Specifik profil
Split Invoices,Dela upp fakturor
Staff / Cashier Performance Report,Personal / Kassörens resultatrapport
Status,Status
Stock,Lager
Stock Information,Aktieinformation
Stock is lower than requested,Lager är lägre än begärt
Stock is lower than requested:\n{0},Lagret är lägre än begärt:\n{0}
Stock Movement Report,Aktierörelserapport
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Lageruppdatering: {0} har {1} tillgänglig. Om du lägger till {2} kommer aktien under noll.
Submit,Överlämna
Submit & Print,Skicka & skriv ut
Submit Deposit,Skicka insättning
Submit Expense,Skicka in kostnad
Submitted,Inlämnad
Submitted Cash Movements,Inlämnade kontantrörelser
Submitted entries,Inskickade bidrag
Successfully scanned:,Skannade:
Suggested,Föreslog
Suggested Qty,Föreslaget antal
Supervisor Access,Tillgång till handledare
Supervisor permissions unlock issuance and reloads,Arbetsledarbehörigheter låser upp utfärdande och laddar om
Supervisor Tools,Verktyg för handledare
Supplier,Leverantör
Supplier and dates are required.,Leverantör och datum krävs.
Supplier Invoices,Leverantörsfakturor
Supplier is required.,Leverantör krävs.
Supplier name is required,Leverantörens namn krävs
Supplier Payments,Leverantörsbetalningar
Supplier Purchase Summary,Sammanfattning av leverantörsköp
Suppliers,Leverantörer
Suppliers not found,Leverantörer hittades inte
Switch Camera,Byt kamera
Switch Cashier,Byt kassa
Switch the POS appearance theme,Byt tema för POS-utseende
Switched to:,Bytte till:
Sync All Invoices,Synkronisera alla fakturor
Sync Offline Cash Movements ({0}),Synkronisera kontantrörelser offline ({0})
Sync Offline Sales,Synkronisera offlineförsäljning
Synced {0} offline cash movement(s).,Synkroniserade {0} kontantrörelser offline.
Syncing items in background,Synkroniserar objekt i bakgrunden
System / Diagnostics,System / Diagnostik
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Systemåtgärder är lågfrekventa underhållskontroller som appinformation, supportdiagnostik och sessionskontroller."
System Information,Systeminformation
System Status,Systemstatus
Tables:,Tabeller:
Tap the button below to redeem a gift card during checkout.,Tryck på knappen nedan för att lösa in ett presentkort i kassan.
Target,Mål
Target Ex. Rate:,Mål Ex. Pris:
Target Rate:,Målfrekvens:
Tax,Skatt
Tax / Charges Report,Skatt / Avgifter Rapport
Tax Heads,Skattehuvuden
Taxable Amount,Skattepliktigt belopp
Tendered,Anbud
Terminal,Terminal
Terminal & Devices,Terminal och enheter
Terminal locked,Terminal låst
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminalverktyg påverkar denna kassastation, kundvända skärmar och framtida skrivar-/enhetskontroller."
Territory not found,Området hittades inte
The amount paid is not complete,Beloppet som betalats är inte fullständigt
The app stores data locally for offline use. This is called cache.,Appen lagrar data lokalt för offlineanvändning. Detta kallas cache.
The invoice stayed in draft. Please review and submit it manually.,Fakturan stannade i utkastet. Vänligen granska och skicka in den manuellt.
The maximum discount allowed is,Den högsta tillåtna rabatten är
The quantity for {0} has been adjusted to the maximum available stock.,Kvantiteten för {0} har justerats till maximalt tillgängligt lager.
The system could not retrieve the item details. Please try again.,Systemet kunde inte hämta artikelinformationen. Försök igen.
These invoices will be synced when connection is restored,Dessa fakturor synkroniseras när anslutningen återställs
This action now opens inside the settings workspace.,Den här åtgärden öppnas nu i arbetsytan för inställningar.
This coupon already used !,Denna kupong är redan använd!
This invoice does not need change-allocation repair,Den här fakturan behöver inte repareras med ändringsfördelning
This invoice is already repaired,Denna faktura är redan reparerad
This is an item template. Please choose a variant.,Detta är en artikelmall. Välj en variant.
this item,denna artikel
This POS page could not be opened offline because its code was not cached on this terminal yet.,Den här POS-sidan kunde inte öppnas offline eftersom dess kod inte var cachad på den här terminalen ännu.
This Serial Number {0} has already been added!,Detta serienummer {0} har redan lagts till!
Threshold,Tröskel
Time,Tid
Tip: Clear cache regularly to free up space and keep the app fast.,Tips: Rensa cacheminnet regelbundet för att frigöra utrymme och hålla appen snabb.
Tip: Close unused tabs or apps to reduce lag.,Tips: Stäng oanvända flikar eller appar för att minska fördröjningen.
Tip: Monitor slow queries and table size for optimal performance.,Tips: Övervaka långsamma frågor och tabellstorlek för optimal prestanda.
To Be Paid,Att få betalt
To Date,Till datum
Today,Idag
Today Profit,Idag vinst
Today Sales,Idag försäljning
Toggle navigation drawer,Växla navigeringslådan
Toggle Theme,Växla tema
Tools,Verktyg
Tools for customer-facing screens and terminal-specific actions.,Verktyg för kundvända skärmar och terminalspecifika åtgärder.
Top Brand,Toppmärke
Top Category,Toppkategori
Top Charge Head,Top Charge Head
Top Customers,Toppkunder
Top Discount,Topprabatt
Top Items by Location,Toppartiklar efter plats
Top Margin,Toppmarginal
Top Pending,Topp Väntar
Top Profit Item,Toppvinstobjekt
Top Return Items,Topp Returartiklar
Top Sales by Cashier,Toppförsäljning av kassan
Top Supplier,Toppleverantör
Top Suppliers by Spend,Toppleverantörer efter Spend
