POS Awesome,PDV génial
Lock Screen,Écran de verrouillage
Lookup Workflow,Flux de travail de recherche
Loss,Perte
Low,Faible
Low Stock,Stock faible
Low Stock Alerts,Alertes de stock faible
Low Stock Items,Articles en faible stock
Low Stock Threshold,Seuil de stock bas
Low Stock Total,Faible stock total
Lowest Margin,Marge la plus basse
Low-frequency maintenance and system details.,Maintenance à basse fréquence et détails du système.
Loyalty Redeemed,Fidélité rachetée
Loyalty Redemption,Rédemption de fidélité
Make New Payment,Effectuer un nouveau paiement
Manage all,Gérer tout
Manage and synchronize your offline transactions,Gérez et synchronisez vos transactions hors ligne
Manage Cashier PIN,Gérer le code PIN du caissier
"Manage offline tools, terminal controls, and maintenance from one workspace.","Gérez les outils hors ligne, les contrôles des terminaux et la maintenance à partir d'un seul espace de travail."
manual,manuel
"Manual codes, barcode scans, and QR scans work in the same field","Les codes manuels, les analyses de codes-barres et les analyses QR fonctionnent dans le même domaine"
Manual offline mode is enabled,Le mode hors ligne manuel est activé
Margin,Marge
Maximum available quantity is {0}. Quantity adjusted to match stock.,La quantité maximale disponible est de {0}. Quantité ajustée en fonction du stock.
Maximum discount amount for this offer item is {0}.,Le montant maximum de la remise pour cet article offert est de {0}.
Maximum discount percentage for this offer item is {0}%.,Le pourcentage de remise maximum pour cet article offert est de {0} %.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,La quantité maximale de l'offre est de {0}. Quantité ajustée à la limite autorisée.
Medium,Moyen
Method-wise Collections,Collections méthodologiques
Minimum allowed rate for this offer item is {0}.,Le tarif minimum autorisé pour cet article offert est de {0}.
Minimum Qty,Quantité minimale
Mobile No,Non de portable
Mode,Mode
Mode of Payment,Mode de paiement
Month,Mois
Month ?,Mois ?
Monthly Profit,Bénéfice mensuel
Monthly Sales,Ventes mensuelles
Monthly Sales Summary,Résumé des ventes mensuelles
Month-wise,Par mois
Most Active Cashiers,Les caissiers les plus actifs
Movement Type,Type de mouvement
Movements,Mouvements
Multi Currency,Multi-devises
N/A,N/D
Name,Nom
Negative Stock,Stock négatif
Negative Stock Items,Articles en stock négatif
Negative values not allowed,Valeurs négatives non autorisées
Net,Filet
Net Qty,Quantité nette
Net Sales,Ventes nettes
Net Value,Valeur nette
Never,Jamais
New changes are ready to load,Les nouvelles modifications sont prêtes à être chargées
New Item,Nouvel article
New Offer Available,Nouvelle offre disponible
New PIN,Nouveau code PIN
New rate,Nouveau tarif
Next unit of measure,Unité de mesure suivante
No attribute data found.,Aucune donnée d'attribut trouvée.
No Barcode,Pas de code-barres
No barcode found for UOM '{0}',Aucun code-barres trouvé pour l'UdM « {0} »
No branch/location data found.,Aucune donnée de succursale/emplacement trouvée.
No brand data found.,Aucune donnée de marque trouvée.
No cached gift card balance is available offline.,Aucun solde de carte-cadeau mis en cache n'est disponible hors ligne.
No camera found on this device. Please ensure your device has a working camera.,Aucune caméra trouvée sur cet appareil. Veuillez vous assurer que votre appareil dispose d'une caméra fonctionnelle.
No capability warnings recorded yet.,Aucun avertissement de capacité enregistré pour le moment.
No cash expected for this shift.,Aucun cash attendu pour ce changement.
No cash mode configured,Aucun mode cash configuré
No cash movement type is allowed for this POS Profile.,Aucun type de mouvement d'espèces n'est autorisé pour ce profil POS.
No cashier PIN is set yet. Create one now.,Aucun code PIN de caissier n'est encore défini. Créez-en un maintenant.
No cashier profiles are available for this POS profile yet.,Aucun profil de caissier n'est encore disponible pour ce profil POS.
No cashier-wise discount/void/return activity.,Aucune activité de remise/annulation/retour au niveau du caissier.
No category data found.,Aucune donnée de catégorie trouvée.
No category profitability data found.,Aucune donnée de rentabilité de catégorie trouvée.
No change returned recorded for this shift.,Aucun changement n'a été enregistré pour ce quart de travail.
No change-allocation invoices match the current filters.,Aucune facture de modification-allocation ne correspond aux filtres actuels.
No charge head breakdown found.,Aucune panne de tête de charge trouvée.
No Company Selected,Aucune entreprise sélectionnée
No customer sales data found.,Aucune donnée de vente client trouvée.
No day-wise discount/void/return trend.,Aucune tendance quotidienne en matière de remise/annulation/retour.
No day-wise payment data found.,Aucune donnée de paiement journalière trouvée.
No day-wise profitability trend found.,Aucune tendance de rentabilité journalière trouvée.
No day-wise purchase data found.,Aucune donnée d'achat journalière trouvée.
No day-wise sales trend found.,Aucune tendance des ventes journalière trouvée.
No day-wise tax/charges trend found.,Aucune tendance journalière en matière de taxes/frais n'a été trouvée.
No dead stock items.,Aucun article en stock mort.
No due date,Pas de date d'échéance
No exact repair match found for this invoice,Aucune correspondance exacte de réparation trouvée pour cette facture
No hourly sales trend found for today.,Aucune tendance horaire des ventes trouvée pour aujourd'hui.
No invoice activity found.,Aucune activité de facturation trouvée.
No invoices found,Aucune facture trouvée
No invoices found. Try different search criteria.,Aucune facture trouvée. Essayez différents critères de recherche.
No invoices recorded for this shift.,Aucune facture enregistrée pour ce quart de travail.
No item profitability data found.,Aucune donnée sur la rentabilité des articles trouvée.
No item sales data found for this period.,Aucune donnée de vente d'articles trouvée pour cette période.
No items found,Aucun article trouvé
No items in cart,Aucun article dans le panier
No items with barcodes to print,Aucun article avec code-barres à imprimer
No location-wise top item data found.,Aucune donnée d'élément principal par emplacement n'a été trouvée.
No low stock alerts right now.,Aucune alerte de stock faible pour le moment.
No low stock items.,Aucun article en faible stock.
No matching items in cart,Aucun article correspondant dans le panier
No month-wise sales trend found.,Aucune tendance des ventes mensuelles trouvée.
No negative stock items.,Aucun article en stock négatif.
No notifications yet,Aucune notification pour l'instant
No offline cash movement synced.,Aucun mouvement de trésorerie hors ligne synchronisé.
No offline invoices pending synchronization,Aucune facture hors ligne en attente de synchronisation
No offline sync issues recorded yet.,Aucun problème de synchronisation hors ligne enregistré pour le moment.
No out-of-stock items.,Aucun article en rupture de stock.
No outstanding credit invoices for this shift.,Aucune facture de crédit impayée pour ce quart de travail.
No payment collection data found.,Aucune donnée de collecte de paiement trouvée.
No payment rows available on this invoice.,Aucune ligne de paiement disponible sur cette facture.
No payments registered for this shift.,Aucun paiement enregistré pour ce quart de travail.
No pending balances in this period.,Aucun solde en attente au cours de cette période.
No pending offline invoices,Aucune facture hors ligne en attente
No Print Formats Found,Aucun format d'impression trouvé
No profiles found for selected scope. Falling back to current profile failed.,Aucun profil trouvé pour la portée sélectionnée. Le retour au profil actuel a échoué.
No recent customer activity found.,Aucune activité client récente trouvée.
No recent stock entries found.,Aucune entrée de stock récente trouvée.
No records found,Aucun enregistrement trouvé
No reorder suggestions right now.,Aucune suggestion de réapprovisionnement pour le moment.
No repeat customers in this period.,Aucun client régulier pendant cette période.
No response from server,Aucune réponse du serveur
No return invoices found,Aucune facture de retour trouvée
No return item trend found.,Aucune tendance d'article retourné trouvée.
No returnable items found for this invoice,Aucun article retournable trouvé pour cette facture
No returns were processed in this shift.,Aucun retour n'a été traité au cours de ce quart de travail.
No risk activity found.,Aucune activité à risque trouvée.
No sales activity found for this period.,Aucune activité commerciale trouvée pour cette période.
No slow moving items.,Aucun objet à déplacement lent.
No staff sales activity found.,Aucune activité de vente du personnel trouvée.
No stock movement for this period.,Aucun mouvement de stock pour cette période.
No submitted cash movements in this shift.,Aucun mouvement de trésorerie soumis pour cette équipe.
No supplier purchases found in this month.,Aucun achat fournisseur trouvé ce mois-ci.
No suppliers found for this period.,Aucun fournisseur trouvé pour cette période.
No sync trigger has run yet in this session.,Aucun déclencheur de synchronisation n'a encore été exécuté dans cette session.
No tax head breakdown found.,Aucune répartition par tête d'impôt n'a été trouvée.
No top items found for this location.,Aucun article phare trouvé pour cet emplacement.
No unpaid invoices,Aucune facture impayée
No variant data found.,Aucune donnée de variante trouvée.
No week-wise sales trend found.,Aucune tendance des ventes hebdomadaire trouvée.
No.,Non.
Nobile Number,Numéro noble
Not available,Non disponible
Not checked,Non vérifié
Not selected,Non sélectionné
Not Set,Non défini
Notifications,Notifications
Offer,Offre
Offer Applied,Offre appliquée
Offer criteria exceeded,Critères d'offre dépassés
Offer Item,Article offert
Offer item unavailable,Article proposé indisponible
Offer Removed,Offre supprimée
Offer UOM cannot be changed,L'UdM de l'offre ne peut pas être modifiée
Offer?,Offre ?
Offers,Offres
Offline,Hors ligne
Offline & Sync,Hors ligne et synchronisation
Offline Capabilities,Capacités hors ligne
Offline data status refreshed,Statut des données hors ligne actualisé
Offline diagnostics,Diagnostic hors ligne
Offline Invoices,Factures hors ligne
Offline invoices status,Statut des factures hors ligne
Offline invoices synced,Factures hors ligne synchronisées
Offline Queue: {0},File d'attente hors ligne : {0}
Offline rebuild guidance,Conseils de reconstruction hors ligne
Offline restore is unavailable for this session.,La restauration hors ligne n'est pas disponible pour cette session.
Offline selling is available with degraded capabilities.,La vente hors ligne est disponible avec des fonctionnalités dégradées.
Offline snapshot does not match the current POS state.,L'instantané hors ligne ne correspond pas à l'état actuel du point de vente.
Offline Status,Statut hors ligne
"Offline, terminal, and system controls","Contrôles hors ligne, du terminal et du système"
OK,D'accord
Online,En ligne
Open actions menu,Ouvrir le menu des actions
Open balance to collect,Solde ouvert à collecter
Open Customer Display,Ouvrir l'affichage client
Open drawer,Tiroir ouvert
Open invoices,Factures ouvertes
Open Payments?,Paiements ouverts ?
Open POS home,Ouvrir la maison du point de vente
Open this screen from POS Menu -> Open Customer Display.,Ouvrez cet écran à partir du menu POS -> Ouvrir l'affichage client.
OpenCV image processing enabled - Enhanced barcode detection,Traitement d'image OpenCV activé - Détection améliorée des codes-barres
OpenCV image processing unavailable on this device,Traitement d'image OpenCV indisponible sur cet appareil
OpenCV Off,OpenCV désactivé
OpenCV On,OpenCV activé
OpenCV processing disabled,Traitement OpenCV désactivé
Opening Amount,Montant d'ouverture
Opening Cash,Trésorerie d'ouverture
options,choix
Order,Commande
Original,Originale
Other,Autre
Out,Sortie
Out of Stock,En rupture de stock
Out of Stock Items,Articles en rupture de stock
Outstanding,Exceptionnel
Outstanding Credit by Currency,Encours de crédit par devise
Overdue,En retard
Overpayment Change,Modification du trop-payé
Overpayment change deducted: {0},Modification du trop-payé déduite : {0}
Packing List,Liste de colisage
Page Format,Format des pages
Page unavailable offline,Page indisponible hors connexion
Paid,Payé
Paid (orig):,Payé (origine) :
Paid Amount,Montant payé
Paid change cannot be greater than total change!,La monnaie payante ne peut pas être supérieure à la monnaie totale !
Paid:,Payé :
Parent Item,Élément parent
Partial,Partielle
Partly Paid,Partiellement payé
Party Account,Compte de fête
Party Type,Type de fête
Pause terminal until next cashier,Mettre le terminal en pause jusqu'au prochain caissier
PAY,PAYER
Payment,Paiement
Payment Account,Compte de paiement
Payment entries processed for Invoice {0},Entrées de paiement traitées pour la facture {0}
Payment Entry Type,Type de saisie de paiement
Payment History,Historique des paiements
Payment ID,Identifiant de paiement
Payment Method Report,Rapport sur les méthodes de paiement
Payment Methods,Méthodes de paiement
Payment of {0} received successfully.,Paiement de {0} reçu avec succès.
Payment Progress,Progression du paiement
Payment Reconciliation,Rapprochement des paiements
Payment request status could not be retrieved. Please try again,Le statut de la demande de paiement n'a pas pu être récupéré. Veuillez réessayer
Payment Request took too long to respond. Please try requesting for payment again,La demande de paiement a mis trop de temps à répondre. Veuillez réessayer de demander le paiement
Payment saved offline,Paiement enregistré hors ligne
Payment State,État du paiement
Payment Status,Statut du paiement
Payment submitted but print function could not be executed. Payment name not found.,Paiement soumis mais la fonction d'impression n'a pas pu être exécutée. Nom du paiement introuvable.
Payment submitted.,Paiement soumis.
Payment Summary,Récapitulatif des paiements
Payments,Paiements
Payments are not open. Do you want to open payments and submit?,Les paiements ne sont pas ouverts. Voulez-vous ouvrir des paiements et les soumettre ?
Payments by Mode of Payment,Paiements par mode de paiement
PDF,PDF
Peak Hour,Heure de pointe
Peak Memory:,Mémoire maximale :
Peak Server:,Serveur de pointe :
Peak:,Pic :
Pending,En attente
Pending Amount,Montant en attente
Pending count updated from {0} to {1},Nombre en attente mis à jour de {0} à {1}
Pending Exposure,Exposition en attente
Pending Invoices,Factures en attente
Pending Ratio,Ratio en attente
Pending Sales,Ventes en attente
Pending sales: {0} | Cache usage: {1}%,Ventes en attente : {0} | Utilisation du cache : {1} %
Pending Sync,En attente de synchronisation
Pending: {0},En attente : {0}
Pending: {0} | Synced: {1} | Draft: {2},En attente : {0} | Synchronisé : {1} | Brouillon : {2}
Per Page,Par page
Personal,Personnel
Personal preferences adjust the current cashier experience without changing the active POS route.,Les préférences personnelles ajustent l’expérience actuelle du caissier sans modifier l’itinéraire actif du point de vente.
PIN confirmation does not match.,La confirmation du code PIN ne correspond pas.
PIN must be 4 to 8 digits.,Le code PIN doit comporter de 4 à 8 chiffres.
Please add at least one item.,Veuillez ajouter au moins un élément.
Please allow camera access to scan codes,Veuillez autoriser l'accès à la caméra pour scanner les codes
Please enter payment amount,Veuillez saisir le montant du paiement
Please fill all required fields,Veuillez remplir tous les champs obligatoires
Please make a payment or select a payment,Veuillez effectuer un paiement ou sélectionner un paiement
Please request phone payment or use another payment method,Veuillez demander un paiement par téléphone ou utiliser un autre mode de paiement
Please select a customer first,Veuillez d'abord sélectionner un client
Please select a party,Veuillez sélectionner une fête
Please select a party before reconciling.,Veuillez sélectionner une partie avant de procéder à la réconciliation.
Please select a valid movement type.,Veuillez sélectionner un type de mouvement valide.
Please select an invoice,Veuillez sélectionner une facture
Please select company before reconciling.,Veuillez sélectionner une entreprise avant de procéder au rapprochement.
Please set the customer's mobile number,Veuillez définir le numéro de portable du client
Please try again or enter the item manually.,Veuillez réessayer ou saisir l'élément manuellement.
Please verify the barcode or check the item's availability.,Veuillez vérifier le code-barres ou vérifier la disponibilité de l'article.
Points,Points
Popup blocked. Please allow popups.,Popup bloqué. Veuillez autoriser les popups.
POS,PDV
POS controls and maintenance,Contrôles et maintenance des points de vente
POS Expense is disabled for this POS Profile.,Les dépenses POS sont désactivées pour ce profil POS.
POS is running with limited offline prerequisites.,POS fonctionne avec des conditions préalables hors ligne limitées.
POS Profile,Profil PDV
Position the QR code or barcode within the scanning area,Positionnez le code QR ou le code-barres dans la zone de numérisation
Posting,Publication
Posting and Price List,Affichage et liste de prix
Posting Date,Date de publication
Preparing background sync,Préparation de la synchronisation en arrière-plan
"Press OK to continue offline with a warning, or Cancel to retry.","Appuyez sur OK pour continuer hors ligne avec un avertissement, ou sur Annuler pour réessayer."
Previous unit of measure,Unité de mesure précédente
Price List,Liste de prix
Price List Rate,Tarif liste de prix
Price list rate updated locally only,Tarif liste de prix mis à jour localement uniquement
Pricing & Discounts,Tarifs et réductions
Pricing Rule,Règle de tarification
Print,Imprimer
Print Draft,Imprimer le brouillon
Print Format (Invoice),Format d'impression (facture)
Print Format (Order),Format d'impression (commande)
Print invoice,Imprimer la facture
Print Purchase Invoice instead of PO,Imprimer la facture d'achat au lieu du bon de commande
Printer,Imprimante
Processed returns impacting the shift totals,Retours traités ayant un impact sur les totaux des équipes
Processing Payment,Traitement du paiement
Processing payment entries for Invoice {0},Traitement des entrées de paiement pour la facture {0}
Profile,Profil
Profiles,Profils
Profit,Bénéfice
Profit: Invoice Item Estimate,Bénéfice : estimation du poste de facture
Profit: Stock Ledger (COGS),Bénéfice : grand livre des stocks (COGS)
Profitability Report,Rapport de rentabilité
Prorated return discount,Remise de retour au prorata
Purchase Amount,Montant de l'achat
Purchase Invoices,Factures d'achat
Purchase Order created,Bon de commande créé
Qty,Quantité
Qualified,Qualifié
Quantity,Quantité
Quantity exceeds available stock,La quantité dépasse le stock disponible
Quick Actions,Actions rapides
Quotation {0} is Submitted,Le devis {0} est soumis
Quotation submitted,Devis soumis
QZ Tray connected.,Plateau QZ connecté.
QZ Tray is manually disconnected. Press Connect to enable it again.,Le plateau QZ est déconnecté manuellement. Appuyez sur Connecter pour l'activer à nouveau.
QZ Tray is not connected.,Le plateau QZ n'est pas connecté.
QZ Tray Setup,Configuration du bac QZ
Rate,Tarif
Rate adjusted to maximum allowed discount,Tarif ajusté à la remise maximale autorisée
Ready,Prêt
Ready to resume,Prêt à reprendre
Ready!,Prêt !
Real-time POS insights for retail operations.,Informations sur les points de vente en temps réel pour les opérations de vente au détail.
Rebuild Offline Data,Reconstruire les données hors ligne
Receive,Recevoir
Receive now,Recevez maintenant
Received,Reçu
Received:,Reçu :
Recent Movement Entries,Entrées de mouvements récentes
Recent updates about your invoices,Mises à jour récentes sur vos factures
Recently Active Customers,Clients récemment actifs
Rechecking connection,Revérification de la connexion
Reconcile payment methods and close shift,Réconcilier les modes de paiement et clôturer le quart de travail
Reconciling Payments,Rapprochement des paiements
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Reconnectez-vous et ouvrez cette page une fois en ligne, puis les actualisations hors ligne pourront la restaurer."
Reconnect online to refresh cached offline data from the server.,Reconnectez-vous en ligne pour actualiser les données hors ligne mises en cache à partir du serveur.
Recreate local offline prerequisites from scratch,Recréer les prérequis locaux hors ligne à partir de zéro
Recv:,Réception :
Redeem,Échanger
Redeem / Scan,Utiliser/Scanner
Redeem Amount,Montant d'échange
Redeem Mode,Mode d'échange
Redeemed Amount,Montant échangé
Redeemed credit cannot be greater than its total.,Le crédit échangé ne peut pas être supérieur à son total.
Redemption and Totals,Rachat et totaux
Reference,Référence
Refresh,Actualiser
Refresh Exchange Rate,Actualiser le taux de change
Refresh Offline Data,Actualiser les données hors ligne
Refresh Printers,Actualiser les imprimantes
Refund,Remboursement
Release Notes,Notes de version
Reload,Recharger
Reload customers,Recharger les clients
Reload Items,Recharger les éléments
Reload Now,Recharger maintenant
Reload to apply the latest changes. Your current session will be refreshed.,Rechargez pour appliquer les dernières modifications. Votre session en cours sera actualisée.
Reload Workflow,Recharger le flux de travail
Remarks,Remarques
Remarks are required.,Des remarques sont requises.
Remove,Supprimer
Remove barcode item,Supprimer l'élément de code-barres
Remove cached data and reload the POS app,Supprimez les données mises en cache et rechargez l'application POS
Remove item,Supprimer l'élément
Remove Offer,Supprimer l'offre
Reorder / Purchase Suggestions,Récommander / Suggestions d'achat
Repair Candidate,Candidat à la réparation
Repair Change Allocation,Allocation de modification de réparation
Repair requires an online connection,La réparation nécessite une connexion en ligne
Repaired,Réparé
Repairing change allocation,Réparation de l'allocation des modifications
Repeat Customers,Clients réguliers
Repeat Rate,Taux de répétition
Request,Demande
Request ID: {0},ID de demande : {0}
Request Payment,Demander un paiement
Requested route: {0},Itinéraire demandé : {0}
Required columns cannot be hidden,Les colonnes obligatoires ne peuvent pas être masquées
Reset,Réinitialiser
Reset item name,Réinitialiser le nom de l'élément
Reset to Default,Réinitialiser aux valeurs par défaut
Resource Health,Santé des ressources
Restricted,Restreint
Restricted operational controls for supervisors only.,Contrôles opérationnels restreints pour les superviseurs uniquement.
Retry,Réessayer
Retry route,Réessayer l'itinéraire
Return,Retour
Return Amount,Montant du retour
Return Count,Nombre de retours
Return items must have negative quantities,Les articles retournés doivent avoir des quantités négatives
Return total must be negative,Le total du retour doit être négatif
Return Valid Until,Retour valable jusqu'au
Return window passed,Fenêtre de retour passée
Return without Invoice,Retour sans facture
Returns,Retours
Returns / Voids / Discounts,Retours / Annulations / Remises
Returns by Currency,Retours par devise
Revenue,Revenus
Review shift totals before submitting the closing entry,Examiner les totaux de quart de travail avant de soumettre l'entrée de clôture
Round Off,Arrondir
Rows,Lignes
Rows:,Lignes :
Rule,Règle
Sale,Vente
Sales,Ventes
Sales Order {0} is Submitted,La commande client {0} est soumise
Sales Person and Print,Vendeuse et imprimerie
Sales Person not found,Vendeur introuvable
Sales processed,Ventes traitées
Sales Return,Retour sur ventes
Sales Trend Report,Rapport sur les tendances des ventes
Save,Enregistrer
Save & Clear,Enregistrer et effacer
Save as POS Profile Default,Enregistrer comme profil POS par défaut
Save Settings,Enregistrer les paramètres
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Enregistrez l'imprimante sélectionnée comme profil POS par défaut afin qu'elle s'affiche automatiquement dans cette configuration.
Saved as draft because: {0},Enregistré en tant que brouillon car : {0}
Saving...,Sauvegarde...
Scale barcode detected. Quantity here is the number of labels to print.,Code-barres de balance détecté. Quantité ici est le nombre d'étiquettes à imprimer.
Scale barcode settings are not configured. Using item barcode only.,Les paramètres du code-barres de la balance ne sont pas configurés. Utilisation du code-barres de l'article uniquement.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Le code-barres du modèle de balance est manquant pour cet article/UdM. Utilisation du code-barres de l'article uniquement.
Scan an existing card and top it up without leaving the payment flow.,Scannez une carte existante et rechargez-la sans quitter le flux de paiement.
Scan Error,Erreur de numérisation
Scan or enter a gift card code to check balance or redeem.,Scannez ou saisissez le code d'une carte-cadeau pour vérifier le solde ou l'échanger.
Scan or paste the card code below.,Scannez ou collez le code de la carte ci-dessous.
Scan QR Code/Barcode,Scanner le code QR/code-barres
Scan with camera,Numériser avec l'appareil photo
Scan-First Flow,Flux de numérisation en premier
Scanned Code:,Code scanné :
Scanning for: {0},Recherche : {0}
Scanning items,Numérisation des éléments
Scan-Ready,Prêt pour la numérisation
Scope,Portée
Scope: All Profiles,Portée : Tous les profils
Scope: Current Profile,Portée : Profil actuel
Scope: Specific Profile,Portée : Profil spécifique
Search,Rechercher
Search Account,Rechercher un compte
Search an invoice and continue the return flow without extra steps.,Recherchez une facture et poursuivez le flux de retour sans étapes supplémentaires.
Search customer,Rechercher un client
Search invoices or customers,Rechercher des factures ou des clients
Search item,Rechercher un élément
Search item / code,Rechercher un article/un code
Search items or barcode,Rechercher des articles ou un code-barres
Search Mpesa Payments,Rechercher des paiements Mpesa
Search return invoices or customers,Rechercher des factures de retour ou des clients
Search supplier,Rechercher un fournisseur
Search unpaid invoices or customers,Rechercher des factures ou des clients impayés
Secure context (HTTPS or localhost) is required for camera access.,Un contexte sécurisé (HTTPS ou localhost) est requis pour accéder à la caméra.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Contexte sécurisé (HTTPS) requis pour l'accès à la caméra. Veuillez utiliser HTTPS pour accéder à la caméra.
Select,Sélectionnez
Select a cashier first.,Sélectionnez d’abord un caissier.
Select a customer,Sélectionnez un client
Select a customer to use coupon,Sélectionnez un client pour utiliser le coupon
Select a printer to use QZ silent printing.,Sélectionnez une imprimante pour utiliser l'impression silencieuse QZ.
Select Batch,Sélectionnez un lot
Select Columns to Display,Sélectionnez les colonnes à afficher
Select items to sell,Sélectionnez les articles à vendre
Select Payment,Sélectionnez Paiement
Select Payment Account,Sélectionnez un compte de paiement
Select printer,Sélectionnez une imprimante
Select Return Invoice,Sélectionnez Retourner la facture
Select S.O,Sélectionnez SO
Select Sales Orders,Sélectionnez les commandes clients
Select the cashier who is taking over this terminal.,Sélectionnez le caissier qui reprend ce terminal.
Selected,Sélectionné
Selected movement type is not allowed by POS Profile.,Le type de mouvement sélectionné n'est pas autorisé par le profil POS.
Selected Payments,Paiements sélectionnés
Sensitive actions kept away from quick taps.,Actions sensibles tenues à l’écart des clics rapides.
Serial,Série
Serial Numbers,Numéros de série
Server CPU Usage:,Utilisation du processeur du serveur :
Server Health,Santé du serveur
Server Memory Usage:,Utilisation de la mémoire du serveur :
Server Metrics,Métriques du serveur
Server Uptime:,Disponibilité du serveur :
Service Charges,Frais de service
Session,Séance
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Définissez chaque code PIN de caissier dans le formulaire Utilisateur et conservez les membres du terminal attribués dans le profil utilisateur POS.
Settings,Paramètres
Settings in this section update the POS workspace without changing the current route.,Les paramètres de cette section mettent à jour l'espace de travail POS sans modifier l'itinéraire actuel.
Setup complete!,Configuration terminée !
Share,Partager
Shared terminal,Borne partagée
Shift Closed Snapshot,Décaler l'instantané fermé
Shift Overview,Aperçu du quart de travail
Show,Afficher
Show cart on customer-facing screen,Afficher le panier sur l'écran destiné au client
Show last invoice rate,Afficher le taux de la dernière facture
Show rate info,Afficher les informations sur les tarifs
Show Repair Candidates,Afficher les candidats à la réparation
Show search tools,Afficher les outils de recherche
Show the active cart on a customer-facing screen,Afficher le panier actif sur un écran destiné au client
Showing {0}-{1} of {2},Affichage de {0}-{1} sur {2}
Showing 0 of 0,Afficher 0 sur 0
Shows the distribution of invoices per currency,Affiche la répartition des factures par devise
Sign out of the current POS session,Se déconnecter de la session PDV en cours
Size:,Taille :
Skipped Payments,Paiements ignorés
Skipping items without barcodes,Sauter des articles sans codes-barres
Slow Moving,Mouvement lent
Slow Moving Items,Objets à déplacement lent
Slow Queries:,Requêtes lentes :
Sold,Vendu
Source,Source
Source Cash Account (Optional Override),Compte de trésorerie source (remplacement facultatif)
Source Ex. Rate:,Source Ex. Tarif :
Source Rate:,Tarif source :
Specific Profile,Profil spécifique
Split Invoices,Fractionner les factures
Staff / Cashier Performance Report,Rapport de performance du personnel/caissier
Status,Statut
Stock,Actions
Stock Information,Informations boursières
Stock is lower than requested,Le stock est inférieur à celui demandé
Stock is lower than requested:\n{0},Le stock est inférieur à celui demandé :\n{0}
Stock Movement Report,Rapport sur les mouvements de stock
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Mise à jour du stock : {0} a {1} disponibles. L'ajout de {2} ramènera le stock en dessous de zéro.
Submit,Soumettre
Submit & Print,Soumettre et imprimer
Submit Deposit,Soumettre le dépôt
Submit Expense,Soumettre une dépense
Submitted,Soumis
Submitted Cash Movements,Mouvements de trésorerie soumis
Submitted entries,Entrées soumises
Successfully scanned:,Numérisé avec succès :
Suggested,Suggéré
Suggested Qty,Quantité suggérée
Supervisor Access,Accès superviseur
Supervisor permissions unlock issuance and reloads,Les autorisations du superviseur déverrouillent l'émission et les rechargements
Supervisor Tools,Outils de superviseur
Supplier,Fournisseur
Supplier and dates are required.,Le fournisseur et les dates sont requis.
Supplier Invoices,Factures fournisseurs
Supplier is required.,Le fournisseur est requis.
Supplier name is required,Le nom du fournisseur est requis
Supplier Payments,Paiements des fournisseurs
Supplier Purchase Summary,Récapitulatif des achats fournisseur
Suppliers,Fournisseurs
Suppliers not found,Fournisseurs introuvables
Switch Camera,Changer de caméra
Switch Cashier,Changer de caissier
Switch the POS appearance theme,Changer le thème d'apparence du point de vente
Switched to:,Passé à :
Sync All Invoices,Synchroniser toutes les factures
Sync Offline Cash Movements ({0}),Synchroniser les mouvements de trésorerie hors ligne ({0})
Sync Offline Sales,Synchroniser les ventes hors ligne
Synced {0} offline cash movement(s).,{0} mouvements de trésorerie hors ligne synchronisés.
Syncing items in background,Synchronisation des éléments en arrière-plan
System / Diagnostics,Système / Diagnostic
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Les actions système sont des contrôles de maintenance à basse fréquence tels que les informations sur les applications, les diagnostics de support et les contrôles de session."
System Information,Informations système
System Status,État du système
Tables:,Tableaux :
Tap the button below to redeem a gift card during checkout.,Appuyez sur le bouton ci-dessous pour utiliser une carte-cadeau lors du paiement.
Target,Cible
Target Ex. Rate:,Cible Ex. Tarif :
Target Rate:,Taux cible :
Tax,Taxe
Tax / Charges Report,Rapport sur les taxes/frais
Tax Heads,Têtes fiscales
Taxable Amount,Montant imposable
Tendered,Soumis
Terminal,Borne
Terminal & Devices,Terminaux et appareils
Terminal locked,Borne verrouillée
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Les outils de terminal affectent cette station de paiement, les écrans destinés aux clients et les futurs contrôles des imprimantes/périphériques."
Territory not found,Territoire introuvable
The amount paid is not complete,Le montant payé n'est pas complet
The app stores data locally for offline use. This is called cache.,L'application stocke les données localement pour une utilisation hors ligne. C'est ce qu'on appelle le cache.
The invoice stayed in draft. Please review and submit it manually.,La facture est restée à l'état de brouillon. Veuillez le vérifier et le soumettre manuellement.
The maximum discount allowed is,La remise maximale autorisée est
The quantity for {0} has been adjusted to the maximum available stock.,La quantité pour {0} a été ajustée au stock maximum disponible.
The system could not retrieve the item details. Please try again.,Le système n'a pas pu récupérer les détails de l'article. Veuillez réessayer.
