POS Awesome,POS Geweldig
Loading customer database...,Klantendatabase laden...
Loading customers...,Klanten laden...
Loading database stats...,Databasestatistieken laden...
Loading details...,Gegevens laden...
Loading invoice history...,Factuurgeschiedenis laden...
Loading items...,Artikelen laden...
Loading product catalog...,Productcatalogus laden...
Loading return invoices...,Retourfacturen laden...
Loading server CPU/memory usage...,CPU-/geheugengebruik van server laden...
Loading suppliers...,Leveranciers laden...
Loading unpaid invoices...,Onbetaalde facturen laden...
Loading view...,Weergave laden...
Loading...,Laden...
Local storage is unavailable. Switching to online-only mode.,Lokale opslag is niet beschikbaar. Overschakelen naar alleen online-modus.
localStorage,lokale opslag
Location Performance,Locatieprestaties
Locations,Locaties
Lock Screen,Vergrendelscherm
Lookup Workflow,Werkstroom opzoeken
Loss,Verlies
Low,Laag
Low Stock,Lage voorraad
Low Stock Alerts,Waarschuwingen voor lage voorraad
Low Stock Items,Artikelen met weinig voorraad
Low Stock Threshold,Lage voorraaddrempel
Low Stock Total,Laag voorraadtotaal
Lowest Margin,Laagste marge
Low-frequency maintenance and system details.,Laagfrequent onderhoud en systeemdetails.
Loyalty Redeemed,Loyaliteit verlost
Loyalty Redemption,Loyaliteit verlossing
Make New Payment,Voer een nieuwe betaling uit
Manage all,Beheer alles
Manage and synchronize your offline transactions,Beheer en synchroniseer uw offline transacties
Manage Cashier PIN,Beheer de pincode van de kassier
"Manage offline tools, terminal controls, and maintenance from one workspace.","Beheer offline tools, terminalcontroles en onderhoud vanuit één werkruimte."
manual,handleiding
"Manual codes, barcode scans, and QR scans work in the same field","Handmatige codes, barcodescans en QR-scans werken in hetzelfde veld"
Manual offline mode is enabled,Handmatige offlinemodus is ingeschakeld
Margin,Marge
Maximum available quantity is {0}. Quantity adjusted to match stock.,Het maximaal beschikbare aantal is {0}. Aantal aangepast aan de voorraad.
Maximum discount amount for this offer item is {0}.,Het maximale kortingsbedrag voor dit aanbiedingsartikel is {0}.
Maximum discount percentage for this offer item is {0}%.,Het maximale kortingspercentage voor dit aanbiedingsartikel is {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Het maximale aanbiedingsaantal is {0}. Hoeveelheid aangepast aan toegestane limiet.
Medium,Middelmatig
Method-wise Collections,Methodische collecties
Minimum allowed rate for this offer item is {0}.,Het minimaal toegestane tarief voor dit aanbiedingsitem is {0}.
Minimum Qty,Minimum aantal
Mobile No,Mobiel nummer
Mode,Modus
Mode of Payment,Wijze van betaling
Month,Maand
Month ?,Maand?
Monthly Profit,Maandelijkse winst
Monthly Sales,Maandelijkse omzet
Monthly Sales Summary,Maandelijks verkoopoverzicht
Month-wise,Maandelijks
Most Active Cashiers,Meest actieve kassiers
Movement Type,Bewegingstype
Movements,Bewegingen
Multi Currency,Meerdere valuta
N/A,N.v.t
Name,Naam
Negative Stock,Negatieve voorraad
Negative Stock Items,Negatieve voorraadartikelen
Negative values not allowed,Negatieve waarden zijn niet toegestaan
Net,Netto
Net Qty,Netto aantal
Net Sales,Netto omzet
Net Value,Netto waarde
Never,Nooit
New changes are ready to load,Nieuwe wijzigingen zijn klaar om te laden
New Item,Nieuw artikel
New Offer Available,Nieuwe aanbieding beschikbaar
New PIN,Nieuwe pincode
New rate,Nieuw tarief
Next unit of measure,Volgende maateenheid
No attribute data found.,Geen attribuutgegevens gevonden.
No Barcode,Geen streepjescode
No barcode found for UOM '{0}',Geen streepjescode gevonden voor eenheid '{0}'
No branch/location data found.,Geen vestigings-/locatiegegevens gevonden.
No brand data found.,Geen merkgegevens gevonden.
No cached gift card balance is available offline.,Er is geen in de cache opgeslagen cadeaubonsaldo offline beschikbaar.
No camera found on this device. Please ensure your device has a working camera.,Er is geen camera gevonden op dit apparaat. Zorg ervoor dat uw apparaat een werkende camera heeft.
No capability warnings recorded yet.,Er zijn nog geen capaciteitswaarschuwingen geregistreerd.
No cash expected for this shift.,Er wordt geen contant geld verwacht voor deze verschuiving.
No cash mode configured,Geen contant geldmodus geconfigureerd
No cash movement type is allowed for this POS Profile.,Voor dit POS-profiel is geen type contante verplaatsing toegestaan.
No cashier PIN is set yet. Create one now.,Er is nog geen pincode voor de kassier ingesteld. Maak er nu een aan.
No cashier profiles are available for this POS profile yet.,Er zijn nog geen kassierprofielen beschikbaar voor dit POS-profiel.
No cashier-wise discount/void/return activity.,Geen kassierachtige korting/nietigverklaring/retouractiviteit.
No category data found.,Geen categoriegegevens gevonden.
No category profitability data found.,Er zijn geen gegevens over de winstgevendheid van de categorie gevonden.
No change returned recorded for this shift.,Er is geen teruggestuurd wisselgeld geregistreerd voor deze dienst.
No change-allocation invoices match the current filters.,Er zijn geen wijzigingstoewijzingsfacturen die overeenkomen met de huidige filters.
No charge head breakdown found.,Er is geen uitsplitsing van de laadkop gevonden.
No Company Selected,Geen bedrijf geselecteerd
No customer sales data found.,Geen klantverkoopgegevens gevonden.
No day-wise discount/void/return trend.,Geen dagelijkse korting/nietig/retourtrend.
No day-wise payment data found.,Er zijn geen dagelijkse betalingsgegevens gevonden.
No day-wise profitability trend found.,Er is geen dagelijkse winstgevendheidstrend gevonden.
No day-wise purchase data found.,Er zijn geen dagelijkse aankoopgegevens gevonden.
No day-wise sales trend found.,Geen verkooptrend per dag gevonden.
No day-wise tax/charges trend found.,Er is geen dagelijkse belasting-/heffingstrend gevonden.
No dead stock items.,Geen dode voorraadartikelen.
No due date,Geen vervaldatum
No exact repair match found for this invoice,Er is geen exacte reparatieovereenkomst gevonden voor deze factuur
No hourly sales trend found for today.,Er is geen verkooptrend per uur gevonden voor vandaag.
No invoice activity found.,Geen factuuractiviteit gevonden.
No invoices found,Geen facturen gevonden
No invoices found. Try different search criteria.,Geen facturen gevonden. Probeer verschillende zoekcriteria.
No invoices recorded for this shift.,Voor deze dienst zijn geen facturen geregistreerd.
No item profitability data found.,Er zijn geen gegevens over de winstgevendheid van artikelen gevonden.
No item sales data found for this period.,Er zijn geen artikelverkoopgegevens gevonden voor deze periode.
No items found,Geen artikelen gevonden
No items in cart,Geen artikelen in winkelwagen
No items with barcodes to print,Er zijn geen artikelen met streepjescodes om af te drukken
No location-wise top item data found.,Geen locatiegewijze topitemgegevens gevonden.
No low stock alerts right now.,Er zijn momenteel geen waarschuwingen voor lage voorraad.
No low stock items.,Geen artikelen met een lage voorraad.
No matching items in cart,Geen overeenkomende items in winkelwagen
No month-wise sales trend found.,Geen maandelijkse verkooptrend gevonden.
No negative stock items.,Geen negatieve voorraadartikelen.
No notifications yet,Nog geen meldingen
No offline cash movement synced.,Geen offline geldbeweging gesynchroniseerd.
No offline invoices pending synchronization,Geen offline facturen in afwachting van synchronisatie
No offline sync issues recorded yet.,Er zijn nog geen offline synchronisatieproblemen geregistreerd.
No out-of-stock items.,Geen artikelen die niet op voorraad zijn.
No outstanding credit invoices for this shift.,Geen openstaande creditfacturen voor deze dienst.
No payment collection data found.,Geen betalingsincassogegevens gevonden.
No payment rows available on this invoice.,Er zijn geen betalingsregels beschikbaar op deze factuur.
No payments registered for this shift.,Er zijn geen betalingen geregistreerd voor deze dienst.
No pending balances in this period.,Geen openstaande saldi in deze periode.
No pending offline invoices,Geen openstaande offline facturen
No Print Formats Found,Geen afdrukformaten gevonden
No profiles found for selected scope. Falling back to current profile failed.,Er zijn geen profielen gevonden voor het geselecteerde bereik. Terugkeren naar het huidige profiel is mislukt.
No recent customer activity found.,Geen recente klantactiviteit gevonden.
No recent stock entries found.,Geen recente voorraadgegevens gevonden.
No records found,Geen gegevens gevonden
No reorder suggestions right now.,Er zijn momenteel geen suggesties voor opnieuw bestellen.
No repeat customers in this period.,Geen terugkerende klanten in deze periode.
No response from server,Geen reactie van de server
No return invoices found,Geen retourfacturen gevonden
No return item trend found.,Geen retourartikeltrend gevonden.
No returnable items found for this invoice,Er zijn geen retourneerbare artikelen gevonden voor deze factuur
No returns were processed in this shift.,In deze dienst zijn geen retouren verwerkt.
No risk activity found.,Geen risicoactiviteit gevonden.
No sales activity found for this period.,Er zijn geen verkoopactiviteiten gevonden voor deze periode.
No slow moving items.,Geen langzaam bewegende items.
No staff sales activity found.,Geen personeelsverkoopactiviteit gevonden.
No stock movement for this period.,Geen voorraadbewegingen voor deze periode.
No submitted cash movements in this shift.,Geen ingediende contante bewegingen in deze dienst.
No supplier purchases found in this month.,Geen leveranciersaankopen gevonden in deze maand.
No suppliers found for this period.,Er zijn geen leveranciers gevonden voor deze periode.
No sync trigger has run yet in this session.,Er is nog geen synchronisatietrigger uitgevoerd in deze sessie.
No tax head breakdown found.,Er is geen uitsplitsing van het belastinghoofd gevonden.
No top items found for this location.,Er zijn geen topitems gevonden voor deze locatie.
No unpaid invoices,Geen onbetaalde facturen
No variant data found.,Geen variantgegevens gevonden.
No week-wise sales trend found.,Geen wekelijkse verkooptrend gevonden.
No.,Nee.
Nobile Number,Edel nummer
Not available,Niet beschikbaar
Not checked,Niet gecontroleerd
Not selected,Niet geselecteerd
Not Set,Niet ingesteld
Notifications,Meldingen
Offer,Aanbieding
Offer Applied,Aanbieding toegepast
Offer criteria exceeded,Aanbiedingscriteria overschreden
Offer Item,Aanbiedingsartikel
Offer item unavailable,Aanbiedingsartikel niet beschikbaar
Offer Removed,Aanbieding verwijderd
Offer UOM cannot be changed,De eenheid van de aanbieding kan niet worden gewijzigd
Offer?,Aanbieding?
Offers,Aanbiedingen
Offline,Offline
Offline & Sync,Offline en synchronisatie
Offline Capabilities,Offlinemogelijkheden
Offline data status refreshed,Offline gegevensstatus vernieuwd
Offline diagnostics,Offline diagnostiek
Offline Invoices,Offline facturen
Offline invoices status,Offline facturenstatus
Offline invoices synced,Offline facturen gesynchroniseerd
Offline Queue: {0},Offline wachtrij: {0}
Offline rebuild guidance,Begeleiding voor offline opnieuw opbouwen
Offline restore is unavailable for this session.,Offline herstel is niet beschikbaar voor deze sessie.
Offline selling is available with degraded capabilities.,Offline verkopen is beschikbaar met verminderde mogelijkheden.
Offline snapshot does not match the current POS state.,Offline momentopname komt niet overeen met de huidige POS-status.
Offline Status,Offlinestatus
"Offline, terminal, and system controls","Offline-, terminal- en systeembedieningen"
OK,Oké
Online,Online
Open actions menu,Actiemenu openen
Open balance to collect,Openstaand saldo om te verzamelen
Open Customer Display,Open het klantendisplay
Open drawer,Open lade
Open invoices,Facturen openen
Open Payments?,Betalingen openen?
Open POS home,Open POS-thuis
Open this screen from POS Menu -> Open Customer Display.,Open dit scherm vanuit POS-menu -> Open klantendisplay.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-beeldverwerking ingeschakeld - Verbeterde barcodedetectie
OpenCV image processing unavailable on this device,OpenCV-beeldverwerking is niet beschikbaar op dit apparaat
OpenCV Off,Open CV Uit
OpenCV On,Open CV Aan
OpenCV processing disabled,OpenCV-verwerking uitgeschakeld
Opening Amount,Openingsbedrag
Opening Cash,Contant geld openen
options,opties
Order,Bestel
Original,Origineel
Other,Anders
Out,Uit
Out of Stock,Niet op voorraad
Out of Stock Items,Artikelen die niet op voorraad zijn
Outstanding,Uitstekend
Outstanding Credit by Currency,Uitstaand krediet per valuta
Overdue,Te laat
Overpayment Change,Wijziging te veel betaald bedrag
Overpayment change deducted: {0},Wijziging te veel betaald bedrag in mindering gebracht: {0}
Packing List,Paklijst
Page Format,Paginaformaat
Page unavailable offline,Pagina offline niet beschikbaar
Paid,Betaald
Paid (orig):,Betaald (oorspronkelijk):
Paid Amount,Betaald bedrag
Paid change cannot be greater than total change!,Het betaalde wisselgeld kan niet groter zijn dan het totale wisselgeld!
Paid:,Betaald:
Parent Item,Bovenliggend item
Partial,Gedeeltelijk
Partly Paid,Gedeeltelijk betaald
Party Account,Partijrekening
Party Type,Partijtype
Pause terminal until next cashier,Pauzeer de terminal tot de volgende kassamedewerker
PAY,BETALEN
Payment,Betaling
Payment Account,Betaalrekening
Payment entries processed for Invoice {0},Betalingsinvoer verwerkt voor factuur {0}
Payment Entry Type,Betalingsinvoertype
Payment History,Betalingsgeschiedenis
Payment ID,Betalings-ID
Payment Method Report,Betaalmethoderapport
Payment Methods,Betaalmethoden
Payment of {0} received successfully.,Betaling van {0} succesvol ontvangen.
Payment Progress,Betalingsvoortgang
Payment Reconciliation,Betalingsafstemming
Payment request status could not be retrieved. Please try again,De status van het betalingsverzoek kan niet worden opgehaald. Probeer het opnieuw
Payment Request took too long to respond. Please try requesting for payment again,Het duurde te lang om op het betalingsverzoek te reageren. Probeer opnieuw een betalingsverzoek in te dienen
Payment saved offline,Betaling offline opgeslagen
Payment State,Betalingsstaat
Payment Status,Betalingsstatus
Payment submitted but print function could not be executed. Payment name not found.,"Betaling verzonden, maar printfunctie kon niet worden uitgevoerd. Betalingsnaam niet gevonden."
Payment submitted.,Betaling ingediend.
Payment Summary,Betalingsoverzicht
Payments,Betalingen
Payments are not open. Do you want to open payments and submit?,Betalingen zijn niet geopend. Wilt u betalingen openen en verzenden?
Payments by Mode of Payment,Betalingen per betalingswijze
PDF,Pdf
Peak Hour,Piekuur
Peak Memory:,Piekgeheugen:
Peak Server:,Piekserver:
Peak:,Piek:
Pending,In behandeling
Pending Amount,Bedrag in behandeling
Pending count updated from {0} to {1},Aantal in behandeling bijgewerkt van {0} naar {1}
Pending Exposure,In afwachting van blootstelling
Pending Invoices,Facturen in behandeling
Pending Ratio,In afwachting van verhouding
Pending Sales,In afwachting van verkopen
Pending sales: {0} | Cache usage: {1}%,Verkoop in behandeling: {0} | Cachegebruik: {1}%
Pending Sync,Synchronisatie in behandeling
Pending: {0},In behandeling: {0}
Pending: {0} | Synced: {1} | Draft: {2},In behandeling: {0} | Gesynchroniseerd: {1} | Concept: {2}
Per Page,Per pagina
Personal,Persoonlijk
Personal preferences adjust the current cashier experience without changing the active POS route.,Persoonlijke voorkeuren passen de huidige kassa-ervaring aan zonder de actieve POS-route te wijzigen.
PIN confirmation does not match.,PIN-bevestiging komt niet overeen.
PIN must be 4 to 8 digits.,De pincode moet uit 4 tot 8 cijfers bestaan.
Please add at least one item.,Voeg ten minste één item toe.
Please allow camera access to scan codes,Geef cameratoegang om codes te scannen
Please enter payment amount,Voer het betalingsbedrag in
Please fill all required fields,Vul alle verplichte velden in
Please make a payment or select a payment,Voer een betaling uit of selecteer een betaling
Please request phone payment or use another payment method,Vraag telefonische betaling aan of gebruik een andere betaalmethode
Please select a customer first,Selecteer eerst een klant
Please select a party,Selecteer een partij
Please select a party before reconciling.,Selecteer een partij voordat u zich verzoent.
Please select a valid movement type.,Selecteer een geldig bewegingstype.
Please select an invoice,Selecteer een factuur
Please select company before reconciling.,Selecteer een bedrijf voordat u afstemt.
Please set the customer's mobile number,Stel het mobiele nummer van de klant in
Please try again or enter the item manually.,Probeer het opnieuw of voer het artikel handmatig in.
Please verify the barcode or check the item's availability.,Controleer de streepjescode of controleer de beschikbaarheid van het artikel.
Points,Punten
Popup blocked. Please allow popups.,Pop-up geblokkeerd. Sta pop-ups toe.
POS,POS
POS controls and maintenance,POS-controles en onderhoud
POS Expense is disabled for this POS Profile.,POS-kosten zijn uitgeschakeld voor dit POS-profiel.
POS is running with limited offline prerequisites.,POS draait met beperkte offline vereisten.
POS Profile,POS-profiel
Position the QR code or barcode within the scanning area,Plaats de QR-code of barcode binnen het scangebied
Posting,Posten
Posting and Price List,Plaatsing en prijslijst
Posting Date,Datum van publicatie
Preparing background sync,Achtergrondsynchronisatie voorbereiden
"Press OK to continue offline with a warning, or Cancel to retry.","Druk op OK om offline door te gaan met een waarschuwing, of op Annuleren om het opnieuw te proberen."
Previous unit of measure,Vorige maateenheid
Price List,Prijslijst
Price List Rate,Prijslijst Tarief
Price list rate updated locally only,Prijslijsttarief alleen lokaal bijgewerkt
Pricing & Discounts,Prijzen en kortingen
Pricing Rule,Prijsregel
Print,Afdrukken
Print Draft,Concept afdrukken
Print Format (Invoice),Afdrukformaat (factuur)
Print Format (Order),Afdrukformaat (bestelling)
Print invoice,Factuur afdrukken
Print Purchase Invoice instead of PO,Aankoopfactuur afdrukken in plaats van inkooporder
Printer,Printer
Processed returns impacting the shift totals,Verwerkte retourzendingen die van invloed zijn op de ploegtotalen
Processing Payment,Betaling verwerken
Processing payment entries for Invoice {0},Betalingsinvoer verwerken voor factuur {0}
Profile,Profiel
Profiles,Profielen
Profit,Winst
Profit: Invoice Item Estimate,Winst: schatting factuuritem
Profit: Stock Ledger (COGS),Winst: Stock Ledger (COGS)
Profitability Report,Winstgevendheidsrapport
Prorated return discount,Pro rata retourkorting
Purchase Amount,Aankoopbedrag
Purchase Invoices,Aankoopfacturen
Purchase Order created,Inkooporder aangemaakt
Qty,Aantal
Qualified,Gekwalificeerd
Quantity,Hoeveelheid
Quantity exceeds available stock,Het aantal is groter dan de beschikbare voorraad
Quick Actions,Snelle acties
Quotation {0} is Submitted,Offerte {0} is ingediend
Quotation submitted,Offerte ingediend
QZ Tray connected.,QZ-lade aangesloten.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray is handmatig losgekoppeld. Druk op Verbinden om het opnieuw in te schakelen.
QZ Tray is not connected.,QZ-lade is niet aangesloten.
QZ Tray Setup,QZ-lade instellen
Rate,Beoordeel
Rate adjusted to maximum allowed discount,Tarief aangepast aan maximaal toegestane korting
Ready,Klaar
Ready to resume,Klaar om te hervatten
Ready!,Klaar!
Real-time POS insights for retail operations.,Realtime POS-inzichten voor retailactiviteiten.
Rebuild Offline Data,Offline gegevens opnieuw opbouwen
Receive,Ontvang
Receive now,Ontvang nu
Received,Ontvangen
Received:,Ontvangen:
Recent Movement Entries,Recente bewegingsinzendingen
Recent updates about your invoices,Recente updates over uw facturen
Recently Active Customers,Recent actieve klanten
Rechecking connection,Verbinding opnieuw controleren
Reconcile payment methods and close shift,Stem betalingsmethoden af en sluit de dienst
Reconciling Payments,Betalingen afstemmen
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",Maak opnieuw verbinding en open deze pagina één keer terwijl u online bent. Offline vernieuwingen kunnen deze vervolgens herstellen.
Reconnect online to refresh cached offline data from the server.,Maak opnieuw online verbinding om offline gegevens in de cache van de server te vernieuwen.
Recreate local offline prerequisites from scratch,Maak de lokale offlinevereisten helemaal opnieuw
Recv:,Recv:
Redeem,Inwisselen
Redeem / Scan,Inwisselen / scannen
Redeem Amount,Bedrag inwisselen
Redeem Mode,Inwisselmodus
Redeemed Amount,Afgelost bedrag
Redeemed credit cannot be greater than its total.,Het ingewisselde tegoed kan niet groter zijn dan het totaal ervan.
Redemption and Totals,Inwisseling en totalen
Reference,Referentie
Refresh,Vernieuwen
Refresh Exchange Rate,Wisselkoers vernieuwen
Refresh Offline Data,Vernieuw offline gegevens
Refresh Printers,Vernieuw printers
Refund,Terugbetaling
Release Notes,Release-opmerkingen
Reload,Herladen
Reload customers,Klanten opnieuw laden
Reload Items,Artikelen opnieuw laden
Reload Now,Nu opnieuw laden
Reload to apply the latest changes. Your current session will be refreshed.,Herlaad om de laatste wijzigingen toe te passen. Uw huidige sessie wordt vernieuwd.
Reload Workflow,Werkstroom opnieuw laden
Remarks,Opmerkingen
Remarks are required.,Opmerkingen zijn vereist.
Remove,Verwijderen
Remove barcode item,Barcode-item verwijderen
Remove cached data and reload the POS app,Verwijder gegevens in de cache en laad de POS-app opnieuw
Remove item,Artikel verwijderen
Remove Offer,Aanbieding verwijderen
Reorder / Purchase Suggestions,Opnieuw bestellen / Aankoopsuggesties
Repair Candidate,Kandidaat voor reparatie
Repair Change Allocation,Reparatie Wijzig toewijzing
Repair requires an online connection,Voor reparatie is een online verbinding vereist
Repaired,Gerepareerd
Repairing change allocation,Wijzigingstoewijzing herstellen
Repeat Customers,Herhaalde klanten
Repeat Rate,Herhaalsnelheid
Request,Verzoek
Request ID: {0},Verzoek-ID: {0}
Request Payment,Betaling aanvragen
Requested route: {0},Aangevraagde route: {0}
Required columns cannot be hidden,Vereiste kolommen kunnen niet worden verborgen
Reset,Opnieuw instellen
Reset item name,Itemnaam opnieuw instellen
Reset to Default,Terugzetten naar standaard
Resource Health,Gezondheid van hulpbronnen
Restricted,Beperkt
Restricted operational controls for supervisors only.,Beperkte operationele controles alleen voor supervisors.
Retry,Opnieuw proberen
Retry route,Route opnieuw proberen
Return,Terugkeer
Return Amount,Retourbedrag
Return Count,Retourtelling
Return items must have negative quantities,Retourartikelen moeten een negatief aantal hebben
Return total must be negative,Het retourtotaal moet negatief zijn
Return Valid Until,Retour geldig tot
Return window passed,Retourperiode voorbij
Return without Invoice,Retourneren zonder factuur
Returns,Retouren
Returns / Voids / Discounts,Retouren / Nietigverklaringen / Kortingen
Returns by Currency,Retouren per valuta
Revenue,Inkomsten
Review shift totals before submitting the closing entry,Controleer de ploegentotalen voordat u de sluitingsinvoer indient
Round Off,Rond af
Rows,Rijen
Rows:,Rijen:
Rule,Regel
Sale,Verkoop
Sales,Verkoop
Sales Order {0} is Submitted,Verkooporder {0} is verzonden
Sales Person and Print,Verkoopmedewerker en print
Sales Person not found,Verkoper niet gevonden
Sales processed,Verkoop verwerkt
Sales Return,Verkoopretour
Sales Trend Report,Verkooptrendrapport
Save,Opslaan
Save & Clear,Opslaan en wissen
Save as POS Profile Default,Opslaan als standaard POS-profiel
Save Settings,Instellingen opslaan
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Sla de geselecteerde printer op als het standaard POS-profiel, zodat deze automatisch wordt weergegeven bij deze configuratie."
Saved as draft because: {0},Opgeslagen als concept omdat: {0}
Saving...,Opslaan...
Scale barcode detected. Quantity here is the number of labels to print.,Barcode van schaal gedetecteerd. Aantal is hier het aantal labels dat moet worden afgedrukt.
Scale barcode settings are not configured. Using item barcode only.,Instellingen voor streepjescodes voor schaal zijn niet geconfigureerd. Alleen gebruik van de artikelbarcode.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Barcode van schaalsjabloon ontbreekt voor dit artikel/eenheid. Alleen gebruik van de artikelbarcode.
Scan an existing card and top it up without leaving the payment flow.,Scan een bestaande kaart en waardeer deze op zonder de betaalstroom te verlaten.
Scan Error,Scanfout
Scan or enter a gift card code to check balance or redeem.,Scan of voer een cadeaukaartcode in om het saldo te controleren of in te wisselen.
Scan or paste the card code below.,Scan of plak de onderstaande kaartcode.
Scan QR Code/Barcode,Scan QR-code/streepjescode
Scan with camera,Scannen met camera
Scan-First Flow,Scan-eerste stroom
Scanned Code:,Gescande code:
Scanning for: {0},Scannen naar: {0}
Scanning items,Artikelen scannen
Scan-Ready,Scanklaar
Scope,Reikwijdte
Scope: All Profiles,Toepassingsgebied: alle profielen
Scope: Current Profile,Reikwijdte: Huidig profiel
Scope: Specific Profile,Reikwijdte: specifiek profiel
Search,Zoeken
Search Account,Zoek account
Search an invoice and continue the return flow without extra steps.,Zoek een factuur en vervolg de retourstroom zonder extra stappen.
Search customer,Zoek klant
Search invoices or customers,Zoek facturen of klanten
Search item,Zoek item
Search item / code,Zoek artikel/code
Search items or barcode,Zoek items of streepjescode
Search Mpesa Payments,Zoek naar Mpesa-betalingen
Search return invoices or customers,Zoek retourfacturen of klanten
Search supplier,Zoek leverancier
Search unpaid invoices or customers,Zoek onbetaalde facturen of klanten
Secure context (HTTPS or localhost) is required for camera access.,Voor cameratoegang is een beveiligde context (HTTPS of localhost) vereist.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Beveiligde context (HTTPS) vereist voor cameratoegang. Gebruik HTTPS om toegang te krijgen tot de camera.
Select,Selecteer
Select a cashier first.,Selecteer eerst een kassier.
Select a customer,Selecteer een klant
Select a customer to use coupon,Selecteer een klant om de coupon te gebruiken
Select a printer to use QZ silent printing.,Selecteer een printer om QZ stil afdrukken te gebruiken.
Select Batch,Selecteer Batch
Select Columns to Display,Selecteer Kolommen om weer te geven
Select items to sell,Selecteer items om te verkopen
Select Payment,Selecteer Betaling
Select Payment Account,Selecteer Betaalrekening
Select printer,Selecteer printer
Select Return Invoice,Selecteer Retourfactuur
Select S.O,Selecteer S.O
Select Sales Orders,Selecteer Verkooporders
Select the cashier who is taking over this terminal.,Selecteer de kassier die deze terminal overneemt.
Selected,Geselecteerd
Selected movement type is not allowed by POS Profile.,Het geselecteerde bewegingstype is niet toegestaan door POS-profiel.
Selected Payments,Geselecteerde betalingen
Sensitive actions kept away from quick taps.,Gevoelige acties worden uit de buurt van snelle tikken gehouden.
Serial,Serieel
Serial Numbers,Serienummers
Server CPU Usage:,Server-CPU-gebruik:
Server Health,Serverstatus
Server Memory Usage:,Servergeheugengebruik:
Server Metrics,Serverstatistieken
Server Uptime:,Server-uptime:
Service Charges,Servicekosten
Session,Sessie
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Stel de pincode van elke kassier in het formulier Gebruiker in en houd de terminalleden toegewezen in POS-profielgebruiker.
Settings,Instellingen
Settings in this section update the POS workspace without changing the current route.,Instellingen in deze sectie werken de POS-werkruimte bij zonder de huidige route te wijzigen.
Setup complete!,Installatie voltooid!
Share,Deel
Shared terminal,Gedeelde terminal
Shift Closed Snapshot,Shift gesloten momentopname
Shift Overview,Overzicht ploegendienst
Show,Toon
Show cart on customer-facing screen,Toon winkelwagen op klantgericht scherm
Show last invoice rate,Toon laatste factuurtarief
Show rate info,Toon tariefinformatie
Show Repair Candidates,Toon reparatiekandidaten
Show search tools,Toon zoekhulpmiddelen
Show the active cart on a customer-facing screen,Toon de actieve winkelwagen op een klantgericht scherm
Showing {0}-{1} of {2},Toont {0}-{1} van {2}
Showing 0 of 0,Toont 0 van 0
Shows the distribution of invoices per currency,Toont de verdeling van facturen per valuta
Sign out of the current POS session,Meld u af bij de huidige POS-sessie
Size:,Maat:
Skipped Payments,Overgeslagen betalingen
Skipping items without barcodes,Artikelen overslaan zonder streepjescodes
Slow Moving,Langzaam bewegend
Slow Moving Items,Langzaam bewegende voorwerpen
Slow Queries:,Langzame zoekopdrachten:
Sold,Verkocht
Source,Bron
Source Cash Account (Optional Override),Brongeldrekening (optionele overschrijving)
Source Ex. Rate:,Bron Bijv. Tarief:
Source Rate:,Brontarief:
Specific Profile,Specifiek profiel
Split Invoices,Facturen splitsen
Staff / Cashier Performance Report,Prestatierapport personeel/kassier
Status,Status
Stock,Voorraad
Stock Information,Voorraadinformatie
Stock is lower than requested,De voorraad is lager dan gevraagd
Stock is lower than requested:\n{0},Voorraad is lager dan gevraagd:\n{0}
Stock Movement Report,Rapport over aandelenbewegingen
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,"Voorraadupdate: {0} heeft {1} beschikbaar. Door {2} toe te voegen, zal de voorraad onder nul komen."
Submit,Indienen
Submit & Print,Verzenden en afdrukken
Submit Deposit,Storting indienen
Submit Expense,Kosten indienen
Submitted,Ingezonden
Submitted Cash Movements,Ingediende contante bewegingen
Submitted entries,Ingezonden inzendingen
Successfully scanned:,Succesvol gescand:
Suggested,Voorgesteld
Suggested Qty,Aanbevolen aantal
Supervisor Access,Toegang voor supervisors
Supervisor permissions unlock issuance and reloads,Supervisormachtigingen ontgrendelen uitgifte en herladen
Supervisor Tools,Hulpmiddelen voor toezichthouders
Supplier,Leverancier
Supplier and dates are required.,Leverancier en data zijn vereist.
Supplier Invoices,Facturen van leveranciers
Supplier is required.,Leverancier is vereist.
Supplier name is required,Leveranciersnaam is vereist
Supplier Payments,Leveranciersbetalingen
Supplier Purchase Summary,Aankoopoverzicht leverancier
Suppliers,Leveranciers
Suppliers not found,Leveranciers niet gevonden
Switch Camera,Camera wisselen
Switch Cashier,Wissel van kassier
Switch the POS appearance theme,Wijzig het POS-uiterlijkthema
Switched to:,Overgeschakeld naar:
Sync All Invoices,Synchroniseer alle facturen
Sync Offline Cash Movements ({0}),Offline geldbewegingen synchroniseren ({0})
Sync Offline Sales,Synchroniseer offline verkopen
Synced {0} offline cash movement(s).,Gesynchroniseerde {0} offline geldbeweging(en).
