POS Awesome,POS Skvělé
Loading database stats...,Načítání statistik databáze...
Loading details...,Načítání podrobností...
Loading invoice history...,Načítání historie faktur...
Loading items...,Načítání položek...
Loading product catalog...,Načítání katalogu produktů...
Loading return invoices...,Načítání vrácených faktur...
Loading server CPU/memory usage...,Načítání využití CPU/paměti serveru...
Loading suppliers...,Načítání dodavatelů...
Loading unpaid invoices...,Načítání nezaplacených faktur...
Loading view...,Načítání zobrazení...
Loading...,Načítání...
Local storage is unavailable. Switching to online-only mode.,Místní úložiště není k dispozici. Přepnutí do režimu pouze online.
localStorage,localStorage
Location Performance,Výkon umístění
Locations,Místa
Lock Screen,Uzamknout obrazovku
Lookup Workflow,Pracovní postup vyhledávání
Loss,Ztráta
Low,Nízká
Low Stock,Nízké zásoby
Low Stock Alerts,Upozornění na nízké zásoby
Low Stock Items,Nízko skladové položky
Low Stock Threshold,Nízký skladový práh
Low Stock Total,Nízké zásoby celkem
Lowest Margin,Nejnižší marže
Low-frequency maintenance and system details.,Nízkofrekvenční údržba a detaily systému.
Loyalty Redeemed,Věrnost vykoupena
Loyalty Redemption,Vykoupení za věrnost
Make New Payment,Proveďte novou platbu
Manage all,Spravovat vše
Manage and synchronize your offline transactions,Spravujte a synchronizujte své offline transakce
Manage Cashier PIN,Správa PIN pokladny
"Manage offline tools, terminal controls, and maintenance from one workspace.","Spravujte offline nástroje, ovládací prvky terminálu a údržbu z jednoho pracovního prostoru."
manual,manuál
"Manual codes, barcode scans, and QR scans work in the same field","Ruční kódy, skenování čárových kódů a skenování QR pracují ve stejném poli"
Manual offline mode is enabled,Je povolen manuální režim offline
Margin,Marže
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maximální dostupné množství je {0}. Množství přizpůsobeno skladovým zásobám.
Maximum discount amount for this offer item is {0}.,Maximální výše slevy pro tuto položku nabídky je {0}.
Maximum discount percentage for this offer item is {0}%.,Maximální procento slevy pro tuto položku nabídky je {0} %.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maximální nabízené množství je {0}. Množství upraveno na povolený limit.
Medium,Střední
Method-wise Collections,Metodické sbírky
Minimum allowed rate for this offer item is {0}.,Minimální povolená sazba pro tuto položku nabídky je {0}.
Minimum Qty,Minimální množství
Mobile No,Mobil č
Mode,Režim
Mode of Payment,Způsob platby
Month,měsíc
Month ?,měsíc?
Monthly Profit,Měsíční zisk
Monthly Sales,Měsíční prodeje
Monthly Sales Summary,Měsíční přehled prodeje
Month-wise,Měsíčně
Most Active Cashiers,Nejaktivnější pokladníci
Movement Type,Typ pohybu
Movements,Pohyby
Multi Currency,Více měn
N/A,N/A
Name,Jméno
Negative Stock,Negativní akcie
Negative Stock Items,Negativní skladové položky
Negative values not allowed,Záporné hodnoty nejsou povoleny
Net,Net
Net Qty,Čisté množství
Net Sales,Čistý prodej
Net Value,Čistá hodnota
Never,Nikdy
New changes are ready to load,Nové změny jsou připraveny k načtení
New Item,Nová položka
New Offer Available,K dispozici nová nabídka
New PIN,Nový PIN
New rate,Nová sazba
Next unit of measure,Další měrná jednotka
No attribute data found.,Nebyla nalezena žádná atributová data.
No Barcode,Žádný čárový kód
No barcode found for UOM '{0}',Pro MJ '{0}' nebyl nalezen žádný čárový kód
No branch/location data found.,Nebyly nalezeny žádné údaje o pobočce/poloze.
No brand data found.,Nebyla nalezena žádná data o značce.
No cached gift card balance is available offline.,Žádný zůstatek dárkové karty v mezipaměti není k dispozici offline.
No camera found on this device. Please ensure your device has a working camera.,"Na tomto zařízení nebyla nalezena žádná kamera. Ujistěte se, že vaše zařízení má funkční fotoaparát."
No capability warnings recorded yet.,Dosud nebyla zaznamenána žádná varování týkající se schopností.
No cash expected for this shift.,Za tuto směnu se neočekávají žádné peníze.
No cash mode configured,Není nakonfigurován žádný hotovostní režim
No cash movement type is allowed for this POS Profile.,Pro tento profil POS není povolen žádný typ pohybu hotovosti.
No cashier PIN is set yet. Create one now.,Zatím není nastaven žádný PIN pokladníka. Vytvořte si jej nyní.
No cashier profiles are available for this POS profile yet.,Pro tento profil POS zatím nejsou k dispozici žádné profily pokladníků.
No cashier-wise discount/void/return activity.,Žádná pokladní činnost se slevou/neplatností/vracením.
No category data found.,Nebyla nalezena žádná data kategorie.
No category profitability data found.,Nebyla nalezena žádná data o ziskovosti kategorie.
No change returned recorded for this shift.,Pro tuto směnu nebyla zaznamenána žádná vrácená změna.
No change-allocation invoices match the current filters.,Aktuálním filtrům neodpovídají žádné faktury s alokací.
No charge head breakdown found.,Nebyla nalezena žádná porucha nabíjecí hlavy.
No Company Selected,Není vybrána žádná společnost
No customer sales data found.,Nebyly nalezeny žádné údaje o prodeji zákazníků.
No day-wise discount/void/return trend.,Žádný denní trend slev/neplatnosti/vrácení.
No day-wise payment data found.,Nebyly nalezeny žádné denní platební údaje.
No day-wise profitability trend found.,Nebyl nalezen žádný denní trend ziskovosti.
No day-wise purchase data found.,Nebyly nalezeny žádné údaje o nákupech za den.
No day-wise sales trend found.,Nebyl nalezen žádný denní trend prodeje.
No day-wise tax/charges trend found.,Nebyl nalezen žádný denní trend daní/poplatků.
No dead stock items.,Žádné mrtvé skladové položky.
No due date,Žádné datum splatnosti
No exact repair match found for this invoice,Pro tuto fakturu nebyla nalezena přesná shoda opravy
No hourly sales trend found for today.,Pro dnešek nebyl nalezen žádný hodinový trend prodeje.
No invoice activity found.,Nebyla nalezena žádná fakturační aktivita.
No invoices found,Nebyly nalezeny žádné faktury
No invoices found. Try different search criteria.,Nebyly nalezeny žádné faktury. Zkuste jiná kritéria vyhledávání.
No invoices recorded for this shift.,Za tuto směnu nejsou evidovány žádné faktury.
No item profitability data found.,Nebyla nalezena žádná data ziskovosti položky.
No item sales data found for this period.,Pro toto období nebyly nalezeny žádné údaje o prodeji zboží.
No items found,Nebyly nalezeny žádné položky
No items in cart,Žádné položky v košíku
No items with barcodes to print,Žádné položky s čárovými kódy k tisku
No location-wise top item data found.,Nebyla nalezena žádná data o top položce z hlediska polohy.
No low stock alerts right now.,Momentálně žádná upozornění na nízké zásoby.
No low stock items.,Žádné skladové položky.
No matching items in cart,Žádné odpovídající položky v košíku
No month-wise sales trend found.,Nebyl nalezen žádný měsíční trend prodeje.
No negative stock items.,Žádné záporné skladové položky.
No notifications yet,Zatím žádná upozornění
No offline cash movement synced.,Není synchronizován žádný offline pohyb hotovosti.
No offline invoices pending synchronization,Žádné offline faktury čekající na synchronizaci
No offline sync issues recorded yet.,Dosud nebyly zaznamenány žádné problémy se synchronizací offline.
No out-of-stock items.,"Žádné zboží, které není skladem."
No outstanding credit invoices for this shift.,Žádné neuhrazené kreditní faktury za tuto směnu.
No payment collection data found.,Nebyla nalezena žádná data o inkasu plateb.
No payment rows available on this invoice.,Na této faktuře nejsou k dispozici žádné řádky plateb.
No payments registered for this shift.,Pro tuto směnu nejsou zaregistrovány žádné platby.
No pending balances in this period.,V tomto období nejsou žádné nevyřízené zůstatky.
No pending offline invoices,Žádné nevyřízené offline faktury
No Print Formats Found,Nebyly nalezeny žádné tiskové formáty
No profiles found for selected scope. Falling back to current profile failed.,Pro vybraný rozsah nebyly nalezeny žádné profily. Návrat k aktuálnímu profilu se nezdařil.
No recent customer activity found.,Nebyla nalezena žádná nedávná aktivita zákazníka.
No recent stock entries found.,Nebyly nalezeny žádné nedávné položky akcií.
No records found,Nebyly nalezeny žádné záznamy
No reorder suggestions right now.,Momentálně žádné návrhy na změnu pořadí.
No repeat customers in this period.,V tomto období žádní opakovaní zákazníci.
No response from server,Žádná odpověď ze serveru
No return invoices found,Nebyly nalezeny žádné vratné faktury
No return item trend found.,Nebyl nalezen žádný trend vrácení položky.
No returnable items found for this invoice,Pro tuto fakturu nebyly nalezeny žádné vratné položky
No returns were processed in this shift.,V této směně nebyly zpracovány žádné vratky.
No risk activity found.,Nebyla nalezena žádná riziková aktivita.
No sales activity found for this period.,Pro toto období nebyla nalezena žádná prodejní aktivita.
No slow moving items.,Žádné pomalu se pohybující položky.
No staff sales activity found.,Nebyla nalezena žádná prodejní aktivita zaměstnanců.
No stock movement for this period.,V tomto období nedošlo k žádnému pohybu zásob.
No submitted cash movements in this shift.,V této směně nebyly odeslány žádné peněžní pohyby.
No supplier purchases found in this month.,V tomto měsíci nebyly nalezeny žádné nákupy dodavatele.
No suppliers found for this period.,Pro toto období nebyli nalezeni žádní dodavatelé.
No sync trigger has run yet in this session.,V této relaci ještě nebylo spuštěno žádné spouštěč synchronizace.
No tax head breakdown found.,Nebyl nalezen žádný rozpis daňové hlavy.
No top items found for this location.,Pro toto místo nebyly nalezeny žádné nejlepší položky.
No unpaid invoices,Žádné nezaplacené faktury
No variant data found.,Nebyla nalezena žádná data variant.
No week-wise sales trend found.,Nebyl nalezen žádný týdenní trend prodeje.
No.,Ne.
Nobile Number,Nobile číslo
Not available,Není k dispozici
Not checked,Nekontrolováno
Not selected,Nevybráno
Not Set,Nenastaveno
Notifications,Oznámení
Offer,Nabídka
Offer Applied,Nabídka použita
Offer criteria exceeded,Kritéria nabídky překročena
Offer Item,Nabídka položky
Offer item unavailable,Položka nabídky není k dispozici
Offer Removed,Nabídka odstraněna
Offer UOM cannot be changed,Nabídku MJ nelze změnit
Offer?,Nabídka?
Offers,Nabídky
Offline,Offline
Offline & Sync,Offline a synchronizace
Offline Capabilities,Možnosti offline
Offline data status refreshed,Stav offline dat byl obnoven
Offline diagnostics,Offline diagnostika
Offline Invoices,Offline faktury
Offline invoices status,Stav offline faktur
Offline invoices synced,Offline faktury byly synchronizovány
Offline Queue: {0},Fronta offline: {0}
Offline rebuild guidance,Návod na přestavbu offline
Offline restore is unavailable for this session.,Obnovení offline není pro tuto relaci dostupné.
Offline selling is available with degraded capabilities.,Offline prodej je dostupný s omezenými možnostmi.
Offline snapshot does not match the current POS state.,Offline snímek neodpovídá aktuálnímu stavu POS.
Offline Status,Stav offline
"Offline, terminal, and system controls","Offline, terminál a ovládání systému"
OK,OK
Online,Online
Open actions menu,Otevřete nabídku akcí
Open balance to collect,Otevřený zůstatek pro výběr
Open Customer Display,Otevřete zákaznický displej
Open drawer,Otevřete zásuvku
Open invoices,Otevřené faktury
Open Payments?,Otevřít platby?
Open POS home,Otevřete domovskou stránku POS
Open this screen from POS Menu -> Open Customer Display.,Otevřete tuto obrazovku z nabídky POS -> Otevřít zákaznický displej.
OpenCV image processing enabled - Enhanced barcode detection,Zpracování obrazu OpenCV povoleno – Vylepšená detekce čárových kódů
OpenCV image processing unavailable on this device,Zpracování obrázků OpenCV na tomto zařízení není k dispozici
OpenCV Off,OpenCV vypnuto
OpenCV On,Zapnuto OpenCV
OpenCV processing disabled,Zpracování OpenCV zakázáno
Opening Amount,Počáteční částka
Opening Cash,Otevření hotovosti
options,možnosti
Order,Objednat
Original,Původní
Other,Jiné
Out,Ven
Out of Stock,Není skladem
Out of Stock Items,Vyprodané položky
Outstanding,Vynikající
Outstanding Credit by Currency,Nesplacený úvěr podle měn
Overdue,Po splatnosti
Overpayment Change,Změna přeplatku
Overpayment change deducted: {0},Odečtena změna přeplatku: {0}
Packing List,Seznam balení
Page Format,Formát stránky
Page unavailable offline,Stránka není dostupná offline
Paid,Zaplaceno
Paid (orig):,Zaplaceno (orig.):
Paid Amount,Zaplacená částka
Paid change cannot be greater than total change!,Placená změna nemůže být větší než celková změna!
Paid:,Zaplaceno:
Parent Item,Nadřazená položka
Partial,Částečná
Partly Paid,Částečně zaplaceno
Party Account,Účet strany
Party Type,Typ strany
Pause terminal until next cashier,Pozastavit terminál do příštího pokladníka
PAY,ZAPLATIT
Payment,Platba
Payment Account,Platební účet
Payment entries processed for Invoice {0},Platební záznamy zpracované pro fakturu {0}
Payment Entry Type,Typ zadání platby
Payment History,Historie plateb
Payment ID,ID platby
Payment Method Report,Zpráva o způsobu platby
Payment Methods,Platební metody
Payment of {0} received successfully.,Platba ve výši {0} byla úspěšně přijata.
Payment Progress,Průběh platby
Payment Reconciliation,Odsouhlasení plateb
Payment request status could not be retrieved. Please try again,Stav žádosti o platbu se nepodařilo načíst. Zkuste to prosím znovu
Payment Request took too long to respond. Please try requesting for payment again,Odpověď na žádost o platbu trvala příliš dlouho. Zkuste prosím požádat o platbu znovu
Payment saved offline,Platba uložena offline
Payment State,Stát platby
Payment Status,Stav platby
Payment submitted but print function could not be executed. Payment name not found.,"Platba byla odeslána, ale funkci tisku nelze provést. Název platby nebyl nalezen."
Payment submitted.,Platba odeslána.
Payment Summary,Přehled plateb
Payments,Platby
Payments are not open. Do you want to open payments and submit?,Platby nejsou otevřené. Chcete otevřít platby a odeslat?
Payments by Mode of Payment,Platby podle způsobu platby
PDF,PDF
Peak Hour,Špičková hodina
Peak Memory:,Špičková paměť:
Peak Server:,Špičkový server:
Peak:,Vrchol:
Pending,Čeká na vyřízení
Pending Amount,Čekající částka
Pending count updated from {0} to {1},Počet nevyřízených položek byl aktualizován z {0} na {1}
Pending Exposure,Čeká na expozici
Pending Invoices,Nevyřízené faktury
Pending Ratio,Poměr čekajících na vyřízení
Pending Sales,Čekající prodej
Pending sales: {0} | Cache usage: {1}%,Nevyřízené prodeje: {0} | Využití mezipaměti: {1} %
Pending Sync,Čeká na synchronizaci
Pending: {0},Nevyřízeno: {0}
Pending: {0} | Synced: {1} | Draft: {2},Nevyřízeno: {0} | Synchronizováno: {1} | Koncept: {2}
Per Page,Na stránku
Personal,Osobní
Personal preferences adjust the current cashier experience without changing the active POS route.,Osobní preference upraví aktuální prostředí pokladního beze změny aktivní POS trasy.
PIN confirmation does not match.,Potvrzení PIN se neshoduje.
PIN must be 4 to 8 digits.,PIN musí mít 4 až 8 číslic.
Please add at least one item.,Přidejte alespoň jednu položku.
Please allow camera access to scan codes,Povolte přístup fotoaparátu ke skenování kódů
Please enter payment amount,Zadejte částku platby
Please fill all required fields,Vyplňte prosím všechna povinná pole
Please make a payment or select a payment,Proveďte prosím platbu nebo vyberte platbu
Please request phone payment or use another payment method,Požádejte o platbu telefonicky nebo použijte jinou platební metodu
Please select a customer first,Nejprve prosím vyberte zákazníka
Please select a party,Vyberte stranu
Please select a party before reconciling.,Před odsouhlasením prosím vyberte stranu.
Please select a valid movement type.,Vyberte prosím platný typ pohybu.
Please select an invoice,Vyberte prosím fakturu
Please select company before reconciling.,Před odsouhlasením prosím vyberte společnost.
Please set the customer's mobile number,Nastavte prosím mobilní číslo zákazníka
Please try again or enter the item manually.,Zkuste to znovu nebo zadejte položku ručně.
Please verify the barcode or check the item's availability.,Prosím ověřte čárový kód nebo ověřte dostupnost položky.
Points,Body
Popup blocked. Please allow popups.,Vyskakovací okno zablokováno. Povolte prosím vyskakovací okna.
POS,POS
POS controls and maintenance,POS kontroly a údržba
POS Expense is disabled for this POS Profile.,Náklady na POS jsou pro tento profil POS zakázány.
POS is running with limited offline prerequisites.,POS běží s omezenými offline předpoklady.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Umístěte QR kód nebo čárový kód do oblasti skenování
Posting,Odesílání
Posting and Price List,Zaúčtování a ceník
Posting Date,Datum zveřejnění
Preparing background sync,Příprava synchronizace na pozadí
"Press OK to continue offline with a warning, or Cancel to retry.",Stisknutím tlačítka OK pokračujte v režimu offline s varováním nebo stisknutím tlačítka Zrušit akci opakujte.
Previous unit of measure,Předchozí měrná jednotka
Price List,Ceník
Price List Rate,Ceník Sazba
Price list rate updated locally only,Sazba ceníku aktualizována pouze lokálně
Pricing & Discounts,Ceny a slevy
Pricing Rule,Cenové pravidlo
Print,Tisk
Print Draft,Vytisknout koncept
Print Format (Invoice),Formát tisku (faktura)
Print Format (Order),Formát tisku (objednávka)
Print invoice,Vytisknout fakturu
Print Purchase Invoice instead of PO,Vytiskněte nákupní fakturu místo objednávky
Printer,Tiskárna
Processed returns impacting the shift totals,Zpracované výnosy ovlivňující celkové směny
Processing Payment,Zpracování platby
Processing payment entries for Invoice {0},Zpracování záznamů plateb pro fakturu {0}
Profile,Profil
Profiles,Profily
Profit,zisk
Profit: Invoice Item Estimate,Zisk: Odhad položky faktury
Profit: Stock Ledger (COGS),Zisk: Skladová kniha (COGS)
Profitability Report,Zpráva o ziskovosti
Prorated return discount,Poměrná sleva na vrácení
Purchase Amount,Částka nákupu
Purchase Invoices,Nákupní faktury
Purchase Order created,Objednávka vytvořena
Qty,množství
Qualified,Kvalifikovaný
Quantity,množství
Quantity exceeds available stock,Množství převyšuje dostupné zásoby
Quick Actions,Rychlé akce
Quotation {0} is Submitted,Nabídka {0} je odeslána
Quotation submitted,Nabídka předložena
QZ Tray connected.,Zásobník QZ připojen.
QZ Tray is manually disconnected. Press Connect to enable it again.,"Zásobník QZ je ručně odpojen. Chcete-li jej znovu aktivovat, stiskněte tlačítko Připojit."
QZ Tray is not connected.,Zásobník QZ není připojen.
QZ Tray Setup,Nastavení zásobníku QZ
Rate,sazba
Rate adjusted to maximum allowed discount,Sazba upravena na maximální povolenou slevu
Ready,Připraveno
Ready to resume,Připraveno k obnovení
Ready!,Připraveno!
Real-time POS insights for retail operations.,Statistiky POS v reálném čase pro maloobchodní operace.
Rebuild Offline Data,Znovu sestavit offline data
Receive,Příjem
Receive now,Přijmout nyní
Received,Přijato
Received:,Přijato:
Recent Movement Entries,Nedávné záznamy o pohybu
Recent updates about your invoices,Nedávné aktualizace vašich faktur
Recently Active Customers,Nedávno aktivní zákazníci
Rechecking connection,Opětovná kontrola připojení
Reconcile payment methods and close shift,Sladit platební metody a uzavřít směnu
Reconciling Payments,Odsouhlasení plateb
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Znovu se připojte a otevřete tuto stránku, když jste online, a poté ji budete moci obnovit offline aktualizacemi."
Reconnect online to refresh cached offline data from the server.,Znovu se připojte online a obnovte offline data uložená v mezipaměti ze serveru.
Recreate local offline prerequisites from scratch,Znovu vytvořte místní offline předpoklady od začátku
Recv:,Recv:
Redeem,Uplatnit
Redeem / Scan,Uplatnit / Skenovat
Redeem Amount,Částka pro uplatnění
Redeem Mode,Režim uplatnění
Redeemed Amount,Uplatněná částka
Redeemed credit cannot be greater than its total.,Uplatněný kredit nemůže být vyšší než jeho celková částka.
Redemption and Totals,Odkup a součty
Reference,Reference
Refresh,Obnovit
Refresh Exchange Rate,Obnovit směnný kurz
Refresh Offline Data,Obnovit data offline
Refresh Printers,Obnovit tiskárny
Refund,Vrácení peněz
Release Notes,Poznámky k vydání
Reload,Znovu načíst
Reload customers,Znovu načíst zákazníky
Reload Items,Znovu načíst položky
Reload Now,Znovu načíst
Reload to apply the latest changes. Your current session will be refreshed.,"Chcete-li použít nejnovější změny, znovu načtěte. Vaše aktuální relace bude obnovena."
Reload Workflow,Znovu načíst pracovní postup
Remarks,Poznámky
Remarks are required.,Poznámky jsou povinné.
Remove,Odebrat
Remove barcode item,Odstraňte položku čárového kódu
Remove cached data and reload the POS app,Odstraňte data z mezipaměti a znovu načtěte aplikaci POS
Remove item,Odebrat položku
Remove Offer,Odebrat nabídku
Reorder / Purchase Suggestions,Změna objednávky / návrhy na nákup
Repair Candidate,Kandidát na opravu
Repair Change Allocation,Opravit alokaci změn
Repair requires an online connection,Oprava vyžaduje online připojení
Repaired,Opraveno
Repairing change allocation,Oprava alokace změn
Repeat Customers,Opakovaní zákazníci
Repeat Rate,Rychlost opakování
Request,Žádost
Request ID: {0},ID požadavku: {0}
Request Payment,Žádost o platbu
Requested route: {0},Požadovaná trasa: {0}
Required columns cannot be hidden,Požadované sloupce nelze skrýt
Reset,Resetovat
Reset item name,Resetovat název položky
Reset to Default,Obnovit výchozí
Resource Health,Zdroj Zdraví
Restricted,Omezeno
Restricted operational controls for supervisors only.,Omezené provozní kontroly pouze pro dozorce.
Retry,Zkuste to znovu
Retry route,Zkuste trasu znovu
Return,Návrat
Return Amount,Vrácená částka
Return Count,Počet návratů
Return items must have negative quantities,Vrácené položky musí mít záporná množství
Return total must be negative,Celková návratnost musí být záporná
Return Valid Until,Návrat platí do
Return window passed,Návratové okno prošlo
Return without Invoice,Vrácení bez faktury
Returns,Návraty
Returns / Voids / Discounts,Vrácení / neplatnost / slevy
Returns by Currency,Vrácení podle měny
Revenue,Příjmy
Review shift totals before submitting the closing entry,Před odesláním závěrečného záznamu zkontrolujte součty směn
Round Off,Zaokrouhlit
Rows,Řádky
Rows:,Řádky:
Rule,Pravidlo
Sale,Prodej
Sales,Prodej
Sales Order {0} is Submitted,Prodejní objednávka {0} je odeslána
Sales Person and Print,Prodejce a tisk
Sales Person not found,Prodejce nenalezen
Sales processed,Prodej zpracován
Sales Return,Návratnost prodeje
Sales Trend Report,Zpráva o trendu prodeje
Save,Uložit
Save & Clear,Uložit a vymazat
Save as POS Profile Default,Uložit jako výchozí profil POS
Save Settings,Uložit nastavení
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Uložte vybranou tiskárnu jako výchozí profil POS, aby se v tomto nastavení automaticky zobrazila."
Saved as draft because: {0},"Uloženo jako koncept, protože: {0}"
Saving...,Ukládání...
Scale barcode detected. Quantity here is the number of labels to print.,Byl zjištěn čárový kód stupnice. Množství zde udává počet štítků k tisku.
Scale barcode settings are not configured. Using item barcode only.,Nastavení čárového kódu stupnice není nakonfigurováno. Pouze pomocí čárového kódu položky.
Scale template barcode is missing for this item/UOM. Using item barcode only.,U této položky/MJ chybí čárový kód šablony měřítka. Pouze pomocí čárového kódu položky.
Scan an existing card and top it up without leaving the payment flow.,"Naskenujte stávající kartu a dobijte ji, aniž byste opustili platební tok."
Scan Error,Chyba skenování
Scan or enter a gift card code to check balance or redeem.,Naskenujte nebo zadejte kód dárkové karty pro kontrolu zůstatku nebo uplatnění.
Scan or paste the card code below.,Naskenujte nebo vložte níže uvedený kód karty.
Scan QR Code/Barcode,Naskenujte QR kód/čárový kód
Scan with camera,Skenujte fotoaparátem
Scan-First Flow,Scan-First Flow
Scanned Code:,Naskenovaný kód:
Scanning for: {0},Vyhledávání: {0}
Scanning items,Skenování položek
Scan-Ready,Připraveno pro skenování
Scope,Rozsah
Scope: All Profiles,Rozsah: Všechny profily
Scope: Current Profile,Rozsah: Aktuální profil
Scope: Specific Profile,Rozsah: Specifický profil
Search,Hledat
Search Account,Vyhledat účet
Search an invoice and continue the return flow without extra steps.,Vyhledejte fakturu a pokračujte ve zpětném toku bez dalších kroků.
Search customer,Vyhledejte zákazníka
Search invoices or customers,Vyhledávejte faktury nebo zákazníky
Search item,Vyhledat položku
Search item / code,Vyhledat položku / kód
Search items or barcode,Vyhledejte položky nebo čárový kód
Search Mpesa Payments,Hledat Mpesa Payments
Search return invoices or customers,Vyhledávejte vrácené faktury nebo zákazníky
Search supplier,Hledat dodavatele
Search unpaid invoices or customers,Hledejte nezaplacené faktury nebo zákazníky
Secure context (HTTPS or localhost) is required for camera access.,Pro přístup ke kameře je vyžadován zabezpečený kontext (HTTPS nebo localhost).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Pro přístup k fotoaparátu je vyžadován zabezpečený kontext (HTTPS). Pro přístup ke kameře použijte HTTPS.
Select,Vyberte
Select a cashier first.,Nejprve vyberte pokladníka.
Select a customer,Vyberte zákazníka
Select a customer to use coupon,"Vyberte zákazníka, který má kupón použít"
Select a printer to use QZ silent printing.,Vyberte tiskárnu pro použití tichého tisku QZ.
Select Batch,Vyberte možnost Dávka
Select Columns to Display,Vyberte Sloupce k zobrazení
Select items to sell,Vyberte položky k prodeji
Select Payment,Vyberte Platba
Select Payment Account,Vyberte Platební účet
Select printer,Vyberte tiskárnu
Select Return Invoice,Vyberte možnost Vrátit fakturu
Select S.O,Vyberte S.O
Select Sales Orders,Vyberte Prodejní objednávky
Select the cashier who is taking over this terminal.,"Vyberte pokladníka, který přebírá tento terminál."
Selected,Vybráno
Selected movement type is not allowed by POS Profile.,Profil POS nepovoluje vybraný typ pohybu.
Selected Payments,Vybrané platby
Sensitive actions kept away from quick taps.,Citlivé akce se vyhýbají rychlým klepnutím.
Serial,sériový
Serial Numbers,Sériová čísla
Server CPU Usage:,Využití CPU serveru:
Server Health,Stav serveru
Server Memory Usage:,Využití paměti serveru:
Server Metrics,Metriky serveru
Server Uptime:,Doba provozu serveru:
Service Charges,Servisní poplatky
Session,Relace
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Nastavte každý PIN pokladníka ve formuláři Uživatel a ponechte členy terminálu přiřazené v Profilu POS Uživatel.
Settings,Nastavení
Settings in this section update the POS workspace without changing the current route.,Nastavení v této části aktualizuje pracovní prostor POS bez změny aktuální trasy.
Setup complete!,Nastavení dokončeno!
Share,Sdílejte
Shared terminal,Sdílený terminál
Shift Closed Snapshot,Snímek zavřeno Shift
Shift Overview,Přehled směn
Show,Zobrazit
Show cart on customer-facing screen,Ukažte košík na obrazovce před zákazníkem
Show last invoice rate,Zobrazit kurz poslední faktury
Show rate info,Zobrazit informace o sazbě
Show Repair Candidates,Zobrazit kandidáty na opravu
Show search tools,Zobrazit vyhledávací nástroje
Show the active cart on a customer-facing screen,Ukažte aktivní košík na obrazovce pro zákazníky
Showing {0}-{1} of {2},Zobrazeno {0}–{1} z {2}
Showing 0 of 0,Zobrazuje se 0 z 0
Shows the distribution of invoices per currency,Zobrazuje rozložení faktur podle měny
Sign out of the current POS session,Odhlaste se z aktuální relace POS
Size:,Velikost:
Skipped Payments,Přeskočené platby
Skipping items without barcodes,Přeskakování položek bez čárových kódů
Slow Moving,Pomalý pohyb
Slow Moving Items,Pomalu se pohybující položky
Slow Queries:,Pomalé dotazy:
Sold,Prodáno
Source,Zdroj
Source Cash Account (Optional Override),Zdrojový peněžní účet (volitelné přepsání)
Source Ex. Rate:,Zdroj Př. sazba:
Source Rate:,Zdrojová sazba:
Specific Profile,Specifický profil
Split Invoices,Rozdělit faktury
Staff / Cashier Performance Report,Zpráva o výkonu zaměstnanců / pokladny
Status,Stav
Stock,skladem
Stock Information,Informace o akciích
Stock is lower than requested,Zásoby jsou nižší než požadované
Stock is lower than requested:\n{0},"Zásoby jsou nižší, než je požadováno:\n{0}"
Stock Movement Report,Zpráva o pohybu zásob
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Aktualizace zásob: {0} má k dispozici {1}. Přidání {2} sníží zásoby pod nulu.
Submit,Předložit
Submit & Print,Odeslat a vytisknout
Submit Deposit,Odeslat zálohu
Submit Expense,Odeslat výdaj
Submitted,Odesláno
Submitted Cash Movements,Odeslané peněžní pohyby
Submitted entries,Odeslané příspěvky
Successfully scanned:,Úspěšně naskenováno:
Suggested,Doporučeno
Suggested Qty,Doporučené množství
Supervisor Access,Přístup správce
Supervisor permissions unlock issuance and reloads,Oprávnění nadřízeného odemknou vydání a znovu načte
Supervisor Tools,Nástroje supervizora
Supplier,Dodavatel
Supplier and dates are required.,Dodavatel a termíny jsou povinné.
Supplier Invoices,Dodavatelské faktury
Supplier is required.,Dodavatel je povinný.
Supplier name is required,Jméno dodavatele je povinné
Supplier Payments,Dodavatelské platby
Supplier Purchase Summary,Souhrn nákupu dodavatele
Suppliers,Dodavatelé
Suppliers not found,Dodavatelé nenalezeni
Switch Camera,Přepnout fotoaparát
Switch Cashier,Přepnout pokladnu
Switch the POS appearance theme,Přepněte téma vzhledu POS
Switched to:,Přepnuto na:
Sync All Invoices,Synchronizovat všechny faktury
Sync Offline Cash Movements ({0}),Synchronizovat peněžní pohyby offline ({0})
Sync Offline Sales,Synchronizace offline prodeje
Synced {0} offline cash movement(s).,Synchronizováno {0} offline peněžních pohybů.
Syncing items in background,Synchronizace položek na pozadí
System / Diagnostics,Systém / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Systémové akce jsou nízkofrekvenční ovládací prvky údržby, jako jsou informace o aplikacích, diagnostika podpory a ovládací prvky relací."
System Information,Systémové informace
System Status,Stav systému
Tables:,Tabulky:
