POS Awesome,POS-терминал
"Manual codes, barcode scans, and QR scans work in the same field","Ручные коды, сканирование штрих-кодов и QR-сканирование работают в одном поле."
Manual offline mode is enabled,Ручной автономный режим включен.
Margin,Маржа
Maximum available quantity is {0}. Quantity adjusted to match stock.,Максимальное доступное количество — {0}. Количество скорректировано в соответствии с наличием на складе.
Maximum discount amount for this offer item is {0}.,Максимальная сумма скидки для этого предложения составляет {0}.
Maximum discount percentage for this offer item is {0}%.,Максимальный процент скидки для этого предложения составляет {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Максимальное количество предложения — {0}. Количество скорректировано до допустимого предела.
Medium,Средний
Method-wise Collections,Коллекции по методу
Minimum allowed rate for this offer item is {0}.,Минимально допустимая цена для этого пункта предложения — {0}.
Minimum Qty,Минимальное количество
Mobile No,Мобильный Нет
Mode,Режим
Mode of Payment,Способ оплаты
Month,Месяц
Month ?,Месяц?
Monthly Profit,Ежемесячная прибыль
Monthly Sales,Ежемесячные продажи
Monthly Sales Summary,Ежемесячная сводка продаж
Month-wise,По месяцам
Most Active Cashiers,Самые активные кассиры
Movement Type,Тип движения
Movements,Движения
Multi Currency,Мультивалютность
N/A,Н/Д
Name,Имя
Negative Stock,Отрицательный запас
Negative Stock Items,Отрицательные запасы
Negative values not allowed,Отрицательные значения не допускаются.
Net,Чистая
Net Qty,Чистое количество
Net Sales,Чистые продажи
Net Value,Чистая стоимость
Never,Никогда
New changes are ready to load,Новые изменения готовы к загрузке
New Item,Новый товар
New Offer Available,Доступно новое предложение
New PIN,Новый ПИН-код
New rate,Новый тариф
Next unit of measure,Следующая единица измерения
No attribute data found.,Данные атрибутов не найдены.
No Barcode,Нет штрих-кода
No barcode found for UOM '{0}',Не найден штрих-код для единицы измерения '{0}'.
No branch/location data found.,Данные о филиалах/местоположении не найдены.
No brand data found.,Данные о бренде не найдены.
No cached gift card balance is available offline.,Кэшированный баланс подарочной карты недоступен в автономном режиме.
No camera found on this device. Please ensure your device has a working camera.,"На этом устройстве не найдена камера. Убедитесь, что на вашем устройстве работает камера."
No capability warnings recorded yet.,Предупреждений о возможностях пока не зарегистрировано.
No cash expected for this shift.,Денег за эту смену не ожидается.
No cash mode configured,Режим наличных не настроен
No cash movement type is allowed for this POS Profile.,Для этого профиля POS не разрешен тип движения денежных средств.
No cashier PIN is set yet. Create one now.,PIN-код кассира еще не установлен. Создайте его сейчас.
No cashier profiles are available for this POS profile yet.,Для этого профиля POS пока нет доступных профилей кассира.
No cashier-wise discount/void/return activity.,Никаких действий по скидкам/аннулированию/возврату со стороны кассира.
No category data found.,Данные о категории не найдены.
No category profitability data found.,Данные о рентабельности категории не найдены.
No change returned recorded for this shift.,Для этой смены изменений не зарегистрировано.
No change-allocation invoices match the current filters.,Ни один счет-фактура с распределением изменений не соответствует текущим фильтрам.
No charge head breakdown found.,Поломки зарядной головки не обнаружено.
No Company Selected,Компания не выбрана
No customer sales data found.,Данные о продажах клиентов не найдены.
No day-wise discount/void/return trend.,Нет дневной тенденции скидок/аннулирования/возврата.
No day-wise payment data found.,Данных о ежедневных платежах не найдено.
No day-wise profitability trend found.,Дневной тренд прибыльности не обнаружен.
No day-wise purchase data found.,Данных о покупках за день не найдено.
No day-wise sales trend found.,Дневной тренд продаж не обнаружен.
No day-wise tax/charges trend found.,Дневной тренд налогов/сборов не обнаружен.
No dead stock items.,Нет мертвых товаров на складе.
No due date,Нет срока сдачи
No exact repair match found for this invoice,Для этого счета-фактуры не найдено точного совпадения по ремонту.
No hourly sales trend found for today.,На сегодня не обнаружено почасовой тенденции продаж.
No invoice activity found.,Активность по счетам не обнаружена.
No invoices found,Счета-фактуры не найдены
No invoices found. Try different search criteria.,Счета-фактуры не найдены. Попробуйте другие критерии поиска.
No invoices recorded for this shift.,За эту смену не зарегистрировано ни одного счета.
No item profitability data found.,Данные о рентабельности позиции не найдены.
No item sales data found for this period.,Данных о продажах товаров за этот период не найдено.
No items found,Элементы не найдены
No items in cart,В корзине нет товаров
No items with barcodes to print,Нет товаров со штрих-кодами для печати
No location-wise top item data found.,Данные о главных позициях с точки зрения местоположения не найдены.
No low stock alerts right now.,На данный момент оповещений о низком уровне запасов нет.
No low stock items.,Нет товаров с низкими запасами.
No matching items in cart,В корзине нет подходящих товаров
No month-wise sales trend found.,Ежемесячной тенденции продаж не обнаружено.
No negative stock items.,Нет отрицательных позиций на складе.
No notifications yet,Уведомлений пока нет
No offline cash movement synced.,Движение денежных средств в автономном режиме не синхронизируется.
No offline invoices pending synchronization,"Нет офлайн-счетов, ожидающих синхронизации."
No offline sync issues recorded yet.,Проблем с автономной синхронизацией пока не зарегистрировано.
No out-of-stock items.,"Нет товаров, отсутствующих в наличии."
No outstanding credit invoices for this shift.,Нет непогашенных счетов-фактур за эту смену.
No payment collection data found.,Данные о сборе платежей не найдены.
No payment rows available on this invoice.,В этом счете нет доступных строк оплаты.
No payments registered for this shift.,Платежей за эту смену не зарегистрировано.
No pending balances in this period.,Никаких ожидающих остатков в этот период нет.
No pending offline invoices,Нет ожидающих офлайн-счетов
No Print Formats Found,Форматы печати не найдены
No profiles found for selected scope. Falling back to current profile failed.,Для выбранной области профили не найдены. Не удалось вернуться к текущему профилю.
No recent customer activity found.,Недавней активности клиентов не обнаружено.
No recent stock entries found.,Недавних записей на бирже не найдено.
No records found,Записи не найдены
No reorder suggestions right now.,На данный момент предложений по повторному заказу нет.
No repeat customers in this period.,Постоянных клиентов за этот период не было.
No response from server,Нет ответа от сервера
No return invoices found,Счета-фактуры на возврат не найдены
No return item trend found.,Тенденция возврата товаров не обнаружена.
No returnable items found for this invoice,Для этого счета не найдено возвратных товаров.
No returns were processed in this shift.,В эту смену возвраты не обрабатывались.
No risk activity found.,Рискованной деятельности не обнаружено.
No sales activity found for this period.,За этот период продаж не обнаружено.
No slow moving items.,Никаких медленно движущихся предметов.
No staff sales activity found.,Никакой активности по продажам персонала не обнаружено.
No stock movement for this period.,Никакого движения запасов за этот период.
No submitted cash movements in this shift.,В этой смене не зарегистрировано движение денежных средств.
No supplier purchases found in this month.,В этом месяце закупок у поставщиков не обнаружено.
No suppliers found for this period.,За этот период поставщиков не найдено.
No sync trigger has run yet in this session.,В этом сеансе еще не запускался ни один триггер синхронизации.
No tax head breakdown found.,Никакой разбивки налоговой главы не обнаружено.
No top items found for this location.,Для этого места не найдено лучших товаров.
No unpaid invoices,Никаких неоплаченных счетов
No variant data found.,Данные о вариантах не найдены.
No week-wise sales trend found.,Недельной тенденции продаж не обнаружено.
No.,Нет.
Nobile Number,Нобиле номер
Not available,Недоступно
Not checked,Не проверено
Not selected,Не выбрано
Not Set,Не установлено
Notifications,Уведомления
Offer,Предложение
Offer Applied,Предложение применено
Offer criteria exceeded,Критерии предложения превышены
Offer Item,Предложить товар
Offer item unavailable,Товар предложения недоступен
Offer Removed,Предложение удалено
Offer UOM cannot be changed,Единицу предложения нельзя изменить
Offer?,Предложение?
Offers,Предложения
Offline,Оффлайн
Offline & Sync,Офлайн и синхронизация
Offline Capabilities,Автономные возможности
Offline data status refreshed,Статус офлайн-данных обновлен.
Offline diagnostics,Оффлайн диагностика
Offline Invoices,Офлайн-счета
Offline invoices status,Статус офлайн-счетов
Offline invoices synced,Офлайн-счета синхронизированы
Offline Queue: {0},Офлайн-очередь: {0}
Offline rebuild guidance,Руководство по автономному восстановлению
Offline restore is unavailable for this session.,Автономное восстановление недоступно для этого сеанса.
Offline selling is available with degraded capabilities.,Офлайн-продажа доступна с ухудшенными возможностями.
Offline snapshot does not match the current POS state.,Автономный снимок не соответствует текущему состоянию POS.
Offline Status,Офлайн-статус
"Offline, terminal, and system controls","Автономное управление, управление терминалом и системой"
OK,ОК
Online,Онлайн
Open actions menu,Открыть меню действий
Open balance to collect,Открытый баланс для получения
Open Customer Display,Открыть дисплей покупателя
Open drawer,Открыть ящик
Open invoices,Открытые счета
Open Payments?,Открытые платежи?
Open POS home,Открыть главную страницу POS
Open this screen from POS Menu -> Open Customer Display.,Откройте этот экран из меню POS -> Открыть дисплей покупателя.
OpenCV image processing enabled - Enhanced barcode detection,Включена обработка изображений OpenCV — улучшенное обнаружение штрих-кода.
OpenCV image processing unavailable on this device,Обработка изображений OpenCV недоступна на этом устройстве
OpenCV Off,OpenCV выкл.
OpenCV On,OpenCV включен
OpenCV processing disabled,Обработка OpenCV отключена
Opening Amount,Начальная сумма
Opening Cash,Открытие денежных средств
options,варианты
Order,Заказать
Original,Оригинал
Other,Другое
Out,Выход
Out of Stock,Нет в наличии
Out of Stock Items,Товаров нет в наличии
Outstanding,Выдающийся
Outstanding Credit by Currency,Непогашенный кредит по валютам
Overdue,Просрочено
Overpayment Change,Изменение переплаты
Overpayment change deducted: {0},Изменение переплаты вычтено: {0}
Packing List,Упаковочный лист
Page Format,Формат страницы
Page unavailable offline,Страница недоступна офлайн
Paid,Платный
Paid (orig):,Платный (оригинал):
Paid Amount,Оплаченная сумма
Paid change cannot be greater than total change!,Платная сдача не может превышать общую сдачу!
Paid:,Оплачено:
Parent Item,Родительский элемент
Partial,Частичный
Partly Paid,Частично оплачено
Party Account,Партийный аккаунт
Party Type,Тип вечеринки
Pause terminal until next cashier,Приостановить терминал до следующего кассира
PAY,ПЛАТИТЬ
Payment,Оплата
Payment Account,Платежный счет
Payment entries processed for Invoice {0},Платежные записи для счета {0} обработаны.
Payment Entry Type,Тип записи платежа
Payment History,История платежей
Payment ID,Идентификатор платежа
Payment Method Report,Отчет о способах оплаты
Payment Methods,Способы оплаты
Payment of {0} received successfully.,Платеж на сумму {0} успешно получен.
Payment Progress,Прогресс платежа
Payment Reconciliation,Сверка платежей
Payment request status could not be retrieved. Please try again,"Не удалось получить статус запроса платежа. Пожалуйста, попробуйте еще раз"
Payment Request took too long to respond. Please try requesting for payment again,"Ответ на запрос платежа занял слишком много времени. Пожалуйста, попробуйте запросить платеж еще раз."
Payment saved offline,Платеж сохранен офлайн.
Payment State,Состояние платежа
Payment Status,Статус платежа
Payment submitted but print function could not be executed. Payment name not found.,"Платеж отправлен, но функция печати не может быть выполнена. Название платежа не найдено."
Payment submitted.,Платеж отправлен.
Payment Summary,Сводка платежей
Payments,Платежи
Payments are not open. Do you want to open payments and submit?,Платежи не открыты. Вы хотите открыть платежи и отправить?
Payments by Mode of Payment,Платежи по способам оплаты
PDF,PDF
Peak Hour,Час пик
Peak Memory:,Пиковая память:
Peak Server:,Пиковый сервер:
Peak:,Пик:
Pending,Ожидается
Pending Amount,Ожидаемая сумма
Pending count updated from {0} to {1},Количество ожидающих обновлений изменено с {0} на {1}
Pending Exposure,Ожидается раскрытие
Pending Invoices,Ожидающие счета
Pending Ratio,Ожидаемый коэффициент
Pending Sales,Ожидающие продажи
Pending sales: {0} | Cache usage: {1}%,Ожидаемые продажи: {0} | Использование кэша: {1}%
Pending Sync,Ожидает синхронизации
Pending: {0},В ожидании: {0}
Pending: {0} | Synced: {1} | Draft: {2},В ожидании: {0} | Синхронизировано: {1} | Черновик: {2}
Per Page,За страницу
Personal,Персональный
Personal preferences adjust the current cashier experience without changing the active POS route.,Личные настройки настраивают текущий опыт кассира без изменения активного маршрута POS.
PIN confirmation does not match.,Подтверждение PIN-кода не совпадает.
PIN must be 4 to 8 digits.,PIN-код должен состоять из 4–8 цифр.
Please add at least one item.,"Пожалуйста, добавьте хотя бы один товар."
Please allow camera access to scan codes,Разрешите камере доступ к скан-кодам
Please enter payment amount,"Пожалуйста, введите сумму платежа"
Please fill all required fields,"Пожалуйста, заполните все обязательные поля"
Please make a payment or select a payment,"Пожалуйста, произведите платеж или выберите платеж"
Please request phone payment or use another payment method,"Пожалуйста, запросите оплату по телефону или используйте другой способ оплаты."
Please select a customer first,"Пожалуйста, сначала выберите клиента"
Please select a party,"Пожалуйста, выберите вечеринку"
Please select a party before reconciling.,"Пожалуйста, выберите сторону перед примирением."
Please select a valid movement type.,"Пожалуйста, выберите действительный тип движения."
Please select an invoice,"Пожалуйста, выберите счет"
Please select company before reconciling.,"Пожалуйста, выберите компанию перед согласованием."
Please set the customer's mobile number,"Пожалуйста, укажите номер мобильного телефона клиента"
Please try again or enter the item manually.,"Пожалуйста, попробуйте еще раз или введите элемент вручную."
Please verify the barcode or check the item's availability.,"Пожалуйста, проверьте штрих-код или наличие товара."
Points,Очки
Popup blocked. Please allow popups.,"Всплывающее окно заблокировано. Пожалуйста, разрешите всплывающие окна."
POS,POS-терминал
POS controls and maintenance,POS-контроль и обслуживание
POS Expense is disabled for this POS Profile.,Расходы POS отключены для этого профиля POS.
POS is running with limited offline prerequisites.,POS работает с ограниченными предварительными условиями для работы в автономном режиме.
POS Profile,POS-профиль
Position the QR code or barcode within the scanning area,Разместите QR-код или штрих-код в области сканирования.
Posting,Публикация
Posting and Price List,Публикация и прайс-лист
Posting Date,Дата публикации
Preparing background sync,Подготовка фоновой синхронизации
"Press OK to continue offline with a warning, or Cancel to retry.","Нажмите «ОК», чтобы продолжить работу в автономном режиме с предупреждением, или «Отмена», чтобы повторить попытку."
Previous unit of measure,Предыдущая единица измерения
Price List,Прайс-лист
Price List Rate,Прайс-лист
Price list rate updated locally only,Стоимость прайс-листа обновляется только локально
Pricing & Discounts,Цены и скидки
Pricing Rule,Правило ценообразования
Print,Распечатать
Print Draft,Распечатать черновик
Print Format (Invoice),Формат печати (счет-фактура)
Print Format (Order),Формат печати (заказ)
Print invoice,Распечатать счет
Print Purchase Invoice instead of PO,Распечатать счет на покупку вместо заказа на поставку
Printer,Принтер
Processed returns impacting the shift totals,"Обработанные возвраты, влияющие на общее количество смен"
Processing Payment,Обработка платежа
Processing payment entries for Invoice {0},Обработка платежных записей для счета {0}
Profile,Профиль
Profiles,Профили
Profit,Прибыль
Profit: Invoice Item Estimate,Прибыль: оценка позиции счета-фактуры
Profit: Stock Ledger (COGS),Прибыль: Книга запасов (COGS)
Profitability Report,Отчет о рентабельности
Prorated return discount,Пропорциональная скидка на возврат
Purchase Amount,Сумма покупки
Purchase Invoices,Счета за покупку
Purchase Order created,Заказ на поставку создан
Qty,Кол-во
Qualified,Квалифицированный
Quantity,Количество
Quantity exceeds available stock,Количество превышает доступный запас
Quick Actions,Быстрые действия
Quotation {0} is Submitted,Предложение {0} отправлено
Quotation submitted,Предложение отправлено
QZ Tray connected.,Лоток QZ подключен.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ Tray отключен вручную. Нажмите «Подключиться», чтобы снова включить его."
QZ Tray is not connected.,Лоток QZ не подключен.
QZ Tray Setup,Настройка лотка QZ
Rate,Оценить
Rate adjusted to maximum allowed discount,Ставка скорректирована с учетом максимально допустимой скидки
Ready,Готово
Ready to resume,Готов возобновить
Ready!,Готово!
Real-time POS insights for retail operations.,POS-информация в режиме реального времени для розничных операций.
Rebuild Offline Data,Восстановить автономные данные
Receive,Получить
Receive now,Получите сейчас
Received,Получено
Received:,Получено:
Recent Movement Entries,Недавние записи движения
Recent updates about your invoices,Последние обновления о ваших счетах
Recently Active Customers,Недавно активные клиенты
Rechecking connection,Перепроверка соединения
Reconcile payment methods and close shift,Согласовать способы оплаты и закрыть смену
Reconciling Payments,Сверка платежей
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Подключитесь повторно и откройте эту страницу один раз, находясь в сети, после чего автономные обновления смогут ее восстановить."
Reconnect online to refresh cached offline data from the server.,"Повторно подключитесь к сети, чтобы обновить кэшированные автономные данные с сервера."
Recreate local offline prerequisites from scratch,Воссоздайте локальные обязательные условия для автономной работы с нуля.
Recv:,Получение:
Redeem,выкупить
Redeem / Scan,Погасить / Сканировать
Redeem Amount,Сумма погашения
Redeem Mode,Режим активации
Redeemed Amount,Погашенная сумма
Redeemed credit cannot be greater than its total.,Погашенный кредит не может быть больше его общей суммы.
Redemption and Totals,Погашение и итоги
Reference,Ссылка
Refresh,Обновить
Refresh Exchange Rate,Обновить курс обмена
Refresh Offline Data,Обновить автономные данные
Refresh Printers,Обновить принтеры
Refund,Возврат
Release Notes,Примечания к выпуску
Reload,Перезагрузить
Reload customers,Перезагрузить клиентов
Reload Items,Перезагрузить предметы
Reload Now,Перезагрузить сейчас
Reload to apply the latest changes. Your current session will be refreshed.,"Перезагрузите, чтобы применить последние изменения. Ваш текущий сеанс будет обновлен."
Reload Workflow,Перезагрузить рабочий процесс
Remarks,Примечания
Remarks are required.,Замечания обязательны.
Remove,Удалить
Remove barcode item,Удалить элемент со штрих-кодом
Remove cached data and reload the POS app,Удалите кэшированные данные и перезагрузите приложение POS.
Remove item,Удалить элемент
Remove Offer,Удалить предложение
Reorder / Purchase Suggestions,Предложения по повторному заказу/покупке
Repair Candidate,Кандидат на ремонт
Repair Change Allocation,Распределение ремонтных изменений
Repair requires an online connection,Для ремонта требуется подключение к Интернету
Repaired,Отремонтировано
Repairing change allocation,Исправление распределения изменений
Repeat Customers,Постоянные клиенты
Repeat Rate,Частота повторения
Request,Запрос
Request ID: {0},Идентификатор запроса: {0}
Request Payment,Запросить оплату
Requested route: {0},Запрошенный маршрут: {0}
Required columns cannot be hidden,Обязательные столбцы не могут быть скрыты
Reset,Сброс
Reset item name,Сбросить имя элемента
Reset to Default,Сбросить настройки по умолчанию
Resource Health,Здоровье ресурсов
Restricted,Ограниченный
Restricted operational controls for supervisors only.,Ограниченный оперативный контроль только для руководителей.
Retry,Повторить попытку
Retry route,Повторить маршрут
Return,Возврат
Return Amount,Сумма возврата
Return Count,Количество возвратов
Return items must have negative quantities,Возвращаемые товары должны иметь отрицательное количество.
Return total must be negative,Сумма возврата должна быть отрицательной.
Return Valid Until,Возврат действителен до
Return window passed,Окно возврата пройдено
Return without Invoice,Возврат без счета
Returns,Возврат
Returns / Voids / Discounts,Возврат / Аннулирование / Скидки
Returns by Currency,Возврат по валюте
Revenue,Доход
Review shift totals before submitting the closing entry,Просмотрите итоговые данные смены перед отправкой заключительной записи.
Round Off,Округление
Rows,Строки
Rows:,Строки:
Rule,Правило
Sale,Продажа
Sales,Продажи
Sales Order {0} is Submitted,Заказ на продажу {0} отправлен
Sales Person and Print,Продавец и печать
Sales Person not found,Продавец не найден
Sales processed,Продажи обработаны
Sales Return,Возврат продаж
Sales Trend Report,Отчет о тенденциях продаж
Save,Сохранить
Save & Clear,Сохранить и очистить
Save as POS Profile Default,Сохранить как профиль POS по умолчанию
Save Settings,Сохранить настройки
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Сохраните выбранный принтер в качестве профиля POS по умолчанию, чтобы он автоматически отображался при этой настройке."
Saved as draft because: {0},"Сохранено как черновик, потому что: {0}"
Saving...,Сохранение...
Scale barcode detected. Quantity here is the number of labels to print.,"Обнаружен штрих-код весов. Количество – это количество этикеток, которые нужно напечатать."
Scale barcode settings are not configured. Using item barcode only.,Настройки штрих-кода весов не настроены. Использование только штрих-кода товара.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Для этого элемента/единицы измерения отсутствует штрих-код шаблона масштаба. Использование только штрих-кода товара.
Scan an existing card and top it up without leaving the payment flow.,"Отсканируйте существующую карту и пополните ее, не выходя из потока платежей."
Scan Error,Ошибка сканирования
Scan or enter a gift card code to check balance or redeem.,"Отсканируйте или введите код подарочной карты, чтобы проверить баланс или активировать ее."
Scan or paste the card code below.,Отсканируйте или вставьте код карты ниже.
Scan QR Code/Barcode,Сканировать QR-код/штрих-код
Scan with camera,Сканировать с помощью камеры
Scan-First Flow,Первый поток сканирования
Scanned Code:,Сканированный код:
Scanning for: {0},Сканирование: {0}
Scanning items,Сканирование предметов
Scan-Ready,Готов к сканированию
Scope,Область применения
Scope: All Profiles,Область применения: Все профили
Scope: Current Profile,Область действия: текущий профиль
Scope: Specific Profile,Область применения: конкретный профиль
Search,Поиск
Search Account,Поиск аккаунта
Search an invoice and continue the return flow without extra steps.,Найдите счет-фактуру и продолжите возврат без дополнительных действий.
Search customer,Поиск клиента
Search invoices or customers,Поиск счетов или клиентов
Search item,Поиск элемента
Search item / code,Искать предмет/код
Search items or barcode,Поиск товаров или штрих-кода
Search Mpesa Payments,Поиск платежей Mpesa
Search return invoices or customers,Поиск счетов-фактур или клиентов
Search supplier,Поиск поставщика
Search unpaid invoices or customers,Поиск неоплаченных счетов или клиентов
Secure context (HTTPS or localhost) is required for camera access.,Для доступа к камере требуется безопасный контекст (HTTPS или локальный хост).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"Для доступа к камере требуется безопасный контекст (HTTPS). Пожалуйста, используйте HTTPS для доступа к камере."
Select,Выбрать
Select a cashier first.,Сначала выберите кассу.
Select a customer,Выберите клиента
Select a customer to use coupon,"Выберите клиента, который будет использовать купон"
Select a printer to use QZ silent printing.,Выберите принтер для использования бесшумной печати QZ.
Select Batch,Выберите пакет
Select Columns to Display,Выберите столбцы для отображения
Select items to sell,Выберите предметы для продажи
Select Payment,Выберите оплату
Select Payment Account,Выберите платежный счет
Select printer,Выберите принтер
Select Return Invoice,Выберите счет на возврат
Select S.O,Выберите С.О.
Select Sales Orders,Выберите заказы на продажу
Select the cashier who is taking over this terminal.,"Выберите кассира, который принимает на себя управление этим терминалом."
Selected,Выбрано
Selected movement type is not allowed by POS Profile.,Выбранный тип движения не разрешен профилем POS.
Selected Payments,Выбранные платежи
Sensitive actions kept away from quick taps.,Чувствительные действия держатся подальше от быстрых нажатий.
Serial,Серийный
Serial Numbers,Серийные номера
Server CPU Usage:,Использование ЦП сервера:
Server Health,Состояние сервера
Server Memory Usage:,Использование памяти сервера:
Server Metrics,Метрики сервера
Server Uptime:,Время работы сервера:
Service Charges,Плата за обслуживание
Session,Сессия
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Установите каждый PIN-код кассира в форме пользователя и сохраните назначение участников терминала в профиле пользователя POS.
Settings,Настройки
Settings in this section update the POS workspace without changing the current route.,Настройки в этом разделе обновляют рабочую область POS без изменения текущего маршрута.
Setup complete!,Настройка завершена!
Share,Поделиться
Shared terminal,Общий терминал
Shift Closed Snapshot,Сдвиг закрытого снимка
Shift Overview,Обзор смены
Show,Показать
Show cart on customer-facing screen,"Показывать корзину на экране, ориентированном на клиента."
Show last invoice rate,Показать ставку последнего счета
Show rate info,Показать информацию о тарифе
Show Repair Candidates,Показать кандидатов на ремонт
Show search tools,Показать инструменты поиска
Show the active cart on a customer-facing screen,"Покажите активную корзину на экране, ориентированном на клиента."
Showing {0}-{1} of {2},Показаны {0}-{1} из {2}
Showing 0 of 0,Показаны 0 из 0
Shows the distribution of invoices per currency,Показывает распределение счетов по валютам
Sign out of the current POS session,Выйти из текущего сеанса POS
Size:,Размер:
Skipped Payments,Пропущенные платежи
Skipping items without barcodes,Пропуск товаров без штрих-кодов
Slow Moving,Медленное движение
Slow Moving Items,Медленно движущиеся предметы
Slow Queries:,Медленные запросы:
Sold,Продано
Source,Источник
Source Cash Account (Optional Override),Исходный денежный счет (необязательное переопределение)
Source Ex. Rate:,Источник Пр. Цена:
Source Rate:,Исходная ставка:
Specific Profile,Конкретный профиль
Split Invoices,Разделить счета
Staff / Cashier Performance Report,Отчет о работе персонала/кассира
Status,Статус
Stock,Акции
Stock Information,Информация о запасах
Stock is lower than requested,Запас ниже запрошенного
Stock is lower than requested:\n{0},Запас меньше запрошенного:\n{0}
Stock Movement Report,Отчет о движении запасов
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,"Обновление запасов: у {0} есть в наличии {1}. Добавление {2} приведет к тому, что запас опустится ниже нуля."
Submit,Представлять на рассмотрение
Submit & Print,Отправить и распечатать
Submit Deposit,Отправить депозит
Submit Expense,Отправить расходы
Submitted,Отправлено
Submitted Cash Movements,Представленные движения денежных средств
Submitted entries,Отправленные записи
Successfully scanned:,Успешно отсканировано:
Suggested,Предлагается
Suggested Qty,Рекомендуемое количество
Supervisor Access,Доступ супервизора
Supervisor permissions unlock issuance and reloads,Разрешения супервизора разблокируют выдачу и перезагрузку
Supervisor Tools,Инструменты супервизора
Supplier,Поставщик
Supplier and dates are required.,Требуется поставщик и даты.
Supplier Invoices,Счета-фактуры поставщиков
Supplier is required.,Требуется поставщик.
Supplier name is required,Требуется имя поставщика
Supplier Payments,Платежи поставщикам
Supplier Purchase Summary,Сводная информация о закупках поставщика
Suppliers,Поставщики
Suppliers not found,Поставщики не найдены
Switch Camera,Переключить камеру
Switch Cashier,Сменить кассу
Switch the POS appearance theme,Переключить тему оформления POS
Switched to:,Переключился на:
Sync All Invoices,Синхронизировать все счета
Sync Offline Cash Movements ({0}),Синхронизация движения денежных средств в автономном режиме ({0})
Sync Offline Sales,Синхронизировать офлайн-продажи
Synced {0} offline cash movement(s).,Синхронизировано движение денежных средств в автономном режиме ({0}).
Syncing items in background,Синхронизация элементов в фоновом режиме
System / Diagnostics,Система/Диагностика
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Системные действия — это низкочастотные элементы управления обслуживанием, такие как информация о приложении, диагностика поддержки и элементы управления сеансом."
System Information,Информация о системе
System Status,Статус системы
Tables:,Таблицы:
Tap the button below to redeem a gift card during checkout.,"Нажмите кнопку ниже, чтобы активировать подарочную карту во время оформления заказа."
Target,Цель
Target Ex. Rate:,Целевой экс. Цена:
Target Rate:,Целевая ставка:
Tax,Налог
Tax / Charges Report,Отчет о налогах/сборах
Tax Heads,Налоговые руководители
Taxable Amount,Налогооблагаемая сумма
Tendered,Тендер
Terminal,Терминал
Terminal & Devices,Терминал и устройства
Terminal locked,Терминал заблокирован
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Инструменты терминала влияют на эту кассовую станцию, дисплеи, ориентированные на клиентов, и будущие средства управления принтером/устройством."
Territory not found,Территория не найдена
The amount paid is not complete,Выплаченная сумма не полная
The app stores data locally for offline use. This is called cache.,Приложение хранит данные локально для использования в автономном режиме. Это называется кэшем.
The invoice stayed in draft. Please review and submit it manually.,"Счет-фактура остался в черновике. Пожалуйста, просмотрите и отправьте его вручную."
The maximum discount allowed is,Максимально допустимая скидка составляет
The quantity for {0} has been adjusted to the maximum available stock.,Количество для {0} было скорректировано до максимально доступного запаса.
The system could not retrieve the item details. Please try again.,"Системе не удалось получить подробную информацию об элементе. Пожалуйста, попробуйте еще раз."
These invoices will be synced when connection is restored,Эти счета будут синхронизированы после восстановления соединения.
This action now opens inside the settings workspace.,Теперь это действие открывается в рабочей области настроек.
This coupon already used !,Этот купон уже использован!
This invoice does not need change-allocation repair,Этот счет не требует исправления распределения сдачи.
This invoice is already repaired,Этот счет уже исправлен
This is an item template. Please choose a variant.,"Это шаблон элемента. Пожалуйста, выберите вариант."
this item,этот предмет
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Эту страницу POS невозможно открыть в автономном режиме, поскольку ее код еще не был кэширован на этом терминале."
This Serial Number {0} has already been added!,Этот серийный номер {0} уже добавлен!
Threshold,Порог
Time,Время
Tip: Clear cache regularly to free up space and keep the app fast.,"Совет: регулярно очищайте кеш, чтобы освободить место и обеспечить быстроту работы приложения."
Tip: Close unused tabs or apps to reduce lag.,"Совет. Закройте неиспользуемые вкладки и приложения, чтобы уменьшить задержку."
Tip: Monitor slow queries and table size for optimal performance.,Совет: Следите за медленными запросами и размером таблицы для достижения оптимальной производительности.
To Be Paid,Платить
To Date,На сегодняшний день
Today,Сегодня
Today Profit,Сегодняшняя прибыль
Today Sales,Сегодня продажи
Toggle navigation drawer,Переключить панель навигации
Toggle Theme,Переключить тему
Tools,Инструменты
Tools for customer-facing screens and terminal-specific actions.,"Инструменты для экранов, ориентированных на клиента, и действий, специфичных для терминала."
Top Brand,Лучший бренд
Top Category,Высшая категория
Top Charge Head,Верхняя зарядная головка
Top Customers,Лучшие клиенты
Top Discount,Лучшие скидки
Top Items by Location,Топ товаров по местоположению
Top Margin,Верхняя маржа
Top Pending,Топ в ожидании
