POS Awesome,POS Nuostabus
Invoice {0} is Submitted,Sąskaita faktūra {0} pateikta
Invoice {0} processed successfully,Sąskaita faktūra {0} sėkmingai apdorota
Invoice {0} submission failed,Nepavyko pateikti sąskaitos faktūros {0}
Invoice {0} was already submitted,Sąskaita faktūra {0} jau pateikta
Invoice Adjustments,Sąskaitų faktūrų koregavimai
Invoice Change,Sąskaitos faktūros keitimas
Invoice Details,Išsami informacija apie sąskaitą faktūrą
Invoice is still in draft after background submission.,Po foninio pateikimo sąskaita faktūra vis dar yra juodraštyje.
Invoice Items,Sąskaitos faktūros elementai
Invoice Management,Sąskaitų faktūrų valdymas
Invoice Mgmt,Sąskaita Mgmt
Invoice saved offline,Sąskaita faktūra išsaugota neprisijungus
Invoice submission failed,Nepavyko pateikti sąskaitos faktūros
Invoice Submitted,Sąskaita pateikta
"Invoice value settled by loyalty points, not cash collection","Sąskaitos faktūros vertė apmokama lojalumo taškais, o ne grynųjų pinigų inkasacija"
Invoices,Sąskaitos faktūros
Invoices already past due date,Sąskaitos faktūros jau pavėluotos
Invoices saved as POS Invoices,Sąskaitos faktūros išsaugotos kaip POS sąskaitos faktūros
Invoices still carrying balances,Sąskaitose faktūrose vis dar yra likučiai
Issue Mode,Problemos režimas
Issue New Card,Išduoti naują kortelę
Issue Workflow,Problemos darbo eiga
"Issue, top up, and check","Išduokite, papildykite ir patikrinkite"
Item,Prekė
Item / Product Sales Report,Prekės / Produkto pardavimo ataskaita
Item {0} added to invoice,Prekė {0} pridėta prie sąskaitos faktūros
Item '{0}' has no barcode,Prekė „{0}“ neturi brūkšninio kodo
Item Code,Prekės kodas
Item created successfully,Elementas sėkmingai sukurtas
Item is out of stock,Prekės nėra sandėlyje
Item Name,Prekės pavadinimas
Item not found,Prekė nerasta
Item order updated,Prekių užsakymas atnaujintas
Item Selector Settings,Elemento parinkiklio nustatymai
Items,Daiktai
Items added in POS will appear here automatically.,"Elementai, pridėti prie POS, čia bus rodomi automatiškai."
Items added to invoice,Prekės įtrauktos į sąskaitą faktūrą
Items per page,Prekės puslapyje
Items Sold,Parduotos prekės
Items/Invoice,Prekės / sąskaita faktūra
Item-wise Profitability,Prekės pelningumas
Journal Entry,Žurnalo įrašas
json,json
Just now,Tik dabar
Keep offline prerequisites healthy and recover stale data safely.,Palaikykite neprisijungus būtinas sąlygas ir saugiai atkurkite pasenusius duomenis.
Labels,Etiketės
"Language, theme, terminal tools, and session controls.","Kalba, tema, terminalo įrankiai ir seanso valdikliai."
Last,Paskutinis
Last 14 Days (Paid vs Pending),Paskutinės 14 dienų (sumokėta ir laukianti)
Last 14 Days Activity,Pastarųjų 14 dienų veikla
Last 14 Days Gross Profit,Pastarųjų 14 dienų bendrasis pelnas
Last 14 Days Purchases,Pastarųjų 14 dienų pirkiniai
Last 14 Days Tax/Charges,Pastarųjų 14 dienų mokesčiai / rinkliavos
Last sync:,Paskutinis sinchronizavimas:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Paskutinis sinchronizavimas: {0} | gerai: {1} | nepavyko: {2} | praleista: {3}
Latest entries for current shift,Naujausi dabartinės pamainos įrašai
Lead Time,Pristatymo laikas
Limited,Ribotas
lines,linijos
List,Sąrašas
Live Snapshot,Tiesioginė momentinė nuotrauka
Load a POS profile and cashier first.,Pirmiausia įkelkite POS profilį ir kasą.
Load More Invoices,Įkelti daugiau sąskaitų faktūrų
Load previously saved invoices,Įkelti anksčiau išsaugotas sąskaitas faktūras
Load Sale,Krovinių išpardavimas
Load Sales Invoice,Įkelti pardavimo sąskaitą faktūrą
Loading app data...,Įkeliami programos duomenys...
Loading customer database...,Įkeliama klientų duomenų bazė...
Loading customers...,Įkeliami klientai...
Loading database stats...,Įkeliama duomenų bazės statistika...
Loading details...,Įkeliama informacija...
Loading invoice history...,Įkeliama sąskaitų faktūrų istorija...
Loading items...,Įkeliami elementai...
Loading product catalog...,Įkeliamas prekių katalogas...
Loading return invoices...,Įkeliamos grąžinimo sąskaitos...
Loading server CPU/memory usage...,Įkeliamas serverio procesoriaus / atminties naudojimas...
Loading suppliers...,Įkeliami tiekėjai...
Loading unpaid invoices...,Įkeliamos neapmokėtos sąskaitos...
Loading view...,Įkeliamas vaizdas...
Loading...,Įkeliama...
Local storage is unavailable. Switching to online-only mode.,Vietinė saugykla nepasiekiama. Perjungimas į tik prisijungimo režimą.
localStorage,vietinė saugykla
Location Performance,Vietos našumas
Locations,Vietos
Lock Screen,Užrakinimo ekranas
Lookup Workflow,Paieškos darbo eiga
Loss,Pralaimėjimas
Low,Žemas
Low Stock,Mažos atsargos
Low Stock Alerts,Įspėjimai dėl mažų atsargų
Low Stock Items,Mažos atsargos prekės
Low Stock Threshold,Žemas atsargų slenkstis
Low Stock Total,Mažos atsargos Iš viso
Lowest Margin,Mažiausia marža
Low-frequency maintenance and system details.,Žemo dažnio priežiūra ir sistemos detalės.
Loyalty Redeemed,Išpirkta lojalumas
Loyalty Redemption,Lojalumo išpirkimas
Make New Payment,Atlikite naują mokėjimą
Manage all,Tvarkyti viską
Manage and synchronize your offline transactions,Tvarkykite ir sinchronizuokite savo operacijas neprisijungus
Manage Cashier PIN,Tvarkyti kasos PIN kodą
"Manage offline tools, terminal controls, and maintenance from one workspace.","Tvarkykite neprisijungus pasiekiamus įrankius, terminalo valdiklius ir priežiūrą vienoje darbo vietoje."
manual,vadovas
"Manual codes, barcode scans, and QR scans work in the same field","Rankiniai kodai, brūkšninių kodų nuskaitymai ir QR nuskaitymai veikia tame pačiame lauke"
Manual offline mode is enabled,Įjungtas rankinis neprisijungus režimas
Margin,Marža
Maximum available quantity is {0}. Quantity adjusted to match stock.,"Didžiausias galimas kiekis yra {0}. Kiekis pakoreguotas, kad atitiktų atsargas."
Maximum discount amount for this offer item is {0}.,Didžiausia šios pasiūlymo prekės nuolaidos suma yra {0}.
Maximum discount percentage for this offer item is {0}%.,Didžiausia šios pasiūlymo prekės nuolaidos procentinė dalis yra {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Didžiausias pasiūlymo kiekis yra {0}. Kiekis pakoreguotas iki leidžiamo limito.
Medium,Vidutinis
Method-wise Collections,Metodinės kolekcijos
Minimum allowed rate for this offer item is {0}.,Mažiausia leistina šios pasiūlymo prekės kaina yra {0}.
Minimum Qty,Minimalus kiekis
Mobile No,Mobiliojo Nr
Mode,Režimas
Mode of Payment,Mokėjimo būdas
Month,Mėnuo
Month ?,mėnuo?
Monthly Profit,Mėnesio pelnas
Monthly Sales,Mėnesio pardavimai
Monthly Sales Summary,Mėnesio pardavimų suvestinė
Month-wise,Mėnesio atžvilgiu
Most Active Cashiers,Aktyviausi kasininkai
Movement Type,Judėjimo tipas
Movements,Judesiai
Multi Currency,Daugia valiuta
N/A,N/A
Name,Vardas
Negative Stock,Neigiamos atsargos
Negative Stock Items,Neigiamos atsargos
Negative values not allowed,Neigiamos reikšmės neleidžiamos
Net,Grynasis
Net Qty,Grynasis kiekis
Net Sales,Grynieji pardavimai
Net Value,Grynoji vertė
Never,Niekada
New changes are ready to load,Nauji pakeitimai paruošti įkelti
New Item,Nauja prekė
New Offer Available,Galimas naujas pasiūlymas
New PIN,Naujas PIN kodas
New rate,Nauja norma
Next unit of measure,Kitas matavimo vienetas
No attribute data found.,Nerasta jokių atributų duomenų.
No Barcode,Nėra brūkšninio kodo
No barcode found for UOM '{0}',UOM „{0}“ brūkšninio kodo nerasta
No branch/location data found.,Filialo / vietos duomenų nerasta.
No brand data found.,Prekės ženklo duomenų nerasta.
No cached gift card balance is available offline.,Talpykloje išsaugotas dovanų kortelės balansas nepasiekiamas neprisijungus.
No camera found on this device. Please ensure your device has a working camera.,"Šiame įrenginyje fotoaparato nerasta. Įsitikinkite, kad jūsų įrenginyje yra veikianti kamera."
No capability warnings recorded yet.,Kol kas neįrašyta jokių įspėjimų apie galimybes.
No cash expected for this shift.,Pinigų už šią pamainą nesitikima.
No cash mode configured,Grynųjų pinigų režimas nesukonfigūruotas
No cash movement type is allowed for this POS Profile.,Šiam POS profiliui neleidžiamas joks grynųjų pinigų judėjimo tipas.
No cashier PIN is set yet. Create one now.,Dar nenustatytas kasininko PIN kodas. Sukurkite vieną dabar.
No cashier profiles are available for this POS profile yet.,Šiam POS profiliui dar nėra kasininko profilių.
No cashier-wise discount/void/return activity.,Jokių nuolaidų/negaliojimų/grąžinimo veiklos kasoje nėra.
No category data found.,Kategorijos duomenų nerasta.
No category profitability data found.,Kategorijos pelningumo duomenų nerasta.
No change returned recorded for this shift.,Šioje pamainoje neužregistruota jokių pakeitimų.
No change-allocation invoices match the current filters.,Nė viena pakeitimų paskirstymo sąskaita faktūra neatitinka dabartinių filtrų.
No charge head breakdown found.,Įkrovimo galvutės gedimas nerastas.
No Company Selected,Įmonė nepasirinkta
No customer sales data found.,Klientų pardavimo duomenų nerasta.
No day-wise discount/void/return trend.,Nėra dienos nuolaidos / negaliojimo / grąžinimo tendencijos.
No day-wise payment data found.,Dienos mokėjimo duomenų nerasta.
No day-wise profitability trend found.,Dienos pelningumo tendencijos nerasta.
No day-wise purchase data found.,Dienos pirkimo duomenų nerasta.
No day-wise sales trend found.,Dienos pardavimo tendencijos nerasta.
No day-wise tax/charges trend found.,Dienos mokesčių / rinkliavų tendencijos nerasta.
No dead stock items.,Nėra mirusių atsargų prekių.
No due date,Nėra termino
No exact repair match found for this invoice,Nerasta tikslios šios sąskaitos taisymo atitikties
No hourly sales trend found for today.,Šiandien valandinių pardavimų tendencijų nerasta.
No invoice activity found.,Sąskaitų faktūrų veiklos nerasta.
No invoices found,Sąskaitų faktūrų nerasta
No invoices found. Try different search criteria.,Sąskaitų faktūrų nerasta. Išbandykite skirtingus paieškos kriterijus.
No invoices recorded for this shift.,Už šią pamainą neįrašyta jokių sąskaitų faktūrų.
No item profitability data found.,Prekės pelningumo duomenų nerasta.
No item sales data found for this period.,Šio laikotarpio prekių pardavimo duomenų nerasta.
No items found,Elementų nerasta
No items in cart,Prekių krepšelyje nėra
No items with barcodes to print,"Nėra elementų su brūkšniniais kodais, kuriuos būtų galima spausdinti"
No location-wise top item data found.,Nerasta jokių populiariausių elementų duomenų pagal vietą.
No low stock alerts right now.,Šiuo metu įspėjimų apie mažą atsargų kiekį nėra.
No low stock items.,Nėra mažos atsargos prekių.
No matching items in cart,Krepšelyje nėra atitinkamų prekių
No month-wise sales trend found.,Nerasta mėnesinių pardavimo tendencijų.
No negative stock items.,Nėra neigiamų atsargų prekių.
No notifications yet,Pranešimų dar nėra
No offline cash movement synced.,Nesinchronizuotas joks grynųjų pinigų judėjimas neprisijungus.
No offline invoices pending synchronization,Neprisijungus laukiančių sąskaitų faktūrų nėra sinchronizavimo
No offline sync issues recorded yet.,Dar neužfiksuota jokių sinchronizavimo neprisijungus problemų.
No out-of-stock items.,Nėra sandėlyje pasibaigusių prekių.
No outstanding credit invoices for this shift.,Šiai pamainai neapmokėtų kredito sąskaitų faktūrų nėra.
No payment collection data found.,Nerasta jokių mokėjimų surinkimo duomenų.
No payment rows available on this invoice.,Šioje sąskaitoje faktūroje nėra jokių mokėjimo eilučių.
No payments registered for this shift.,Už šią pamainą mokėjimų neregistruota.
No pending balances in this period.,Šiuo laikotarpiu laukiančių likučių nėra.
No pending offline invoices,Nėra laukiančių sąskaitų faktūrų neprisijungus
No Print Formats Found,Nerasta jokių spausdinimo formatų
No profiles found for selected scope. Falling back to current profile failed.,Nerasta jokių pasirinktų sričių profilių. Grįžti į dabartinį profilį nepavyko.
No recent customer activity found.,Nerasta jokios naujausios klientų veiklos.
No recent stock entries found.,Nerasta jokių naujausių akcijų įrašų.
No records found,Įrašų nerasta
No reorder suggestions right now.,Šiuo metu nėra pasiūlymų dėl pertvarkymo.
No repeat customers in this period.,Šiuo laikotarpiu pakartotinių klientų nėra.
No response from server,Nėra atsakymo iš serverio
No return invoices found,Grąžinimo sąskaitų faktūrų nerasta
No return item trend found.,Grąžinimo prekių tendencijos nerasta.
No returnable items found for this invoice,Pagal šią sąskaitą faktūrą grąžinamų prekių nerasta
No returns were processed in this shift.,Šioje pamainoje grąžinimai nebuvo apdoroti.
No risk activity found.,Rizikingos veiklos nerasta.
No sales activity found for this period.,Šiuo laikotarpiu pardavimo veiklos nerasta.
No slow moving items.,Nėra lėtai judančių daiktų.
No staff sales activity found.,Darbuotojų pardavimo veiklos nerasta.
No stock movement for this period.,Šiuo laikotarpiu akcijų judėjimas nėra.
No submitted cash movements in this shift.,Šioje pamainoje nepateikta jokių grynųjų pinigų judėjimų.
No supplier purchases found in this month.,Šį mėnesį tiekėjų pirkimų nerasta.
No suppliers found for this period.,Šiuo laikotarpiu tiekėjų nerasta.
No sync trigger has run yet in this session.,Šioje sesijoje dar nebuvo paleistas joks sinchronizavimo aktyviklis.
No tax head breakdown found.,Nerasta mokesčių antraštės suskirstymo.
No top items found for this location.,Šioje vietoje geriausių prekių nerasta.
No unpaid invoices,Jokių neapmokėtų sąskaitų faktūrų
No variant data found.,Variantų duomenų nerasta.
No week-wise sales trend found.,Nerasta savaitės pardavimo tendencijų.
No.,Nr.
Nobile Number,Nobilo numeris
Not available,Nėra
Not checked,Nepatikrintas
Not selected,Nepasirinkta
Not Set,Nenustatyta
Notifications,Pranešimai
Offer,Pasiūlyti
Offer Applied,Pasiūlymas pritaikytas
Offer criteria exceeded,Viršyti pasiūlymo kriterijai
Offer Item,Pasiūlyti prekę
Offer item unavailable,Pasiūlymo elementas nepasiekiamas
Offer Removed,Pasiūlymas pašalintas
Offer UOM cannot be changed,Pasiūlymo UOM pakeisti negalima
Offer?,Pasiūlyti?
Offers,Pasiūlymai
Offline,Neprisijungus
Offline & Sync,Neprisijungus ir sinchronizuoti
Offline Capabilities,Galimybės neprisijungus
Offline data status refreshed,Duomenų neprisijungus būsena atnaujinta
Offline diagnostics,Diagnostika neprisijungus
Offline Invoices,Sąskaitos faktūros neprisijungus
Offline invoices status,Sąskaitų faktūrų neprisijungus būsena
Offline invoices synced,Sąskaitos faktūros neprisijungus sinchronizuotos
Offline Queue: {0},Eilė neprisijungus: {0}
Offline rebuild guidance,Atkūrimo neprisijungus gairės
Offline restore is unavailable for this session.,Šios sesijos atkūrimas neprisijungus negalimas.
Offline selling is available with degraded capabilities.,Pardavimas neprisijungus galimas su pablogintomis galimybėmis.
Offline snapshot does not match the current POS state.,Momentinė nuotrauka neprisijungus neatitinka dabartinės POS būsenos.
Offline Status,Būsena neprisijungus
"Offline, terminal, and system controls","Neprisijungus, terminalo ir sistemos valdikliai"
OK,Gerai
Online,Prisijungę
Open actions menu,Atidarykite veiksmų meniu
Open balance to collect,Atviras likutis rinkti
Open Customer Display,Atidarykite Kliento ekraną
Open drawer,Atidarykite stalčių
Open invoices,Neapmokėtos sąskaitos faktūros
Open Payments?,Atidaryti mokėjimus?
Open POS home,Atidarykite POS pagrindinį puslapį
Open this screen from POS Menu -> Open Customer Display.,Atidarykite šį ekraną iš POS meniu -> Open Customer Display.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV vaizdo apdorojimas įjungtas – patobulintas brūkšninio kodo aptikimas
OpenCV image processing unavailable on this device,OpenCV vaizdo apdorojimas šiame įrenginyje nepasiekiamas
OpenCV Off,OpenCV išjungtas
OpenCV On,OpenCV įjungtas
OpenCV processing disabled,OpenCV apdorojimas išjungtas
Opening Amount,Atidarymo suma
Opening Cash,Kasos atidarymas
options,parinktys
Order,Užsakyti
Original,Originalus
Other,Kita
Out,Išeina
Out of Stock,Išparduota
Out of Stock Items,Išparduotos prekės
Outstanding,Išskirtinis
Outstanding Credit by Currency,Nemokėtas kreditas pagal valiutą
Overdue,Pavėluota
Overpayment Change,Permokos keitimas
Overpayment change deducted: {0},Išskaitytas permokos pakeitimas: {0}
Packing List,Pakavimo sąrašas
Page Format,Puslapio formatas
Page unavailable offline,Puslapis nepasiekiamas neprisijungus
Paid,Mokama
Paid (orig):,Mokama (orig):
Paid Amount,Sumokėta suma
Paid change cannot be greater than total change!,Mokamas pakeitimas negali būti didesnis už bendrą pakeitimą!
Paid:,Mokama:
Parent Item,Pirminis elementas
Partial,Dalinis
Partly Paid,Iš dalies apmokėta
Party Account,Vakarėlio sąskaita
Party Type,Vakarėlio tipas
Pause terminal until next cashier,Pristabdykite terminalą iki kito kasininko
PAY,MOKĖTI
Payment,Mokėjimas
Payment Account,Mokėjimo sąskaita
Payment entries processed for Invoice {0},Apdoroti sąskaitos faktūros {0} mokėjimo įrašai
Payment Entry Type,Mokėjimo įrašo tipas
Payment History,Mokėjimų istorija
Payment ID,Mokėjimo ID
Payment Method Report,Mokėjimo būdo ataskaita
Payment Methods,Mokėjimo būdai
Payment of {0} received successfully.,Mokėjimas {0} sėkmingai gautas.
Payment Progress,Mokėjimo eiga
Payment Reconciliation,Mokėjimų suderinimas
Payment request status could not be retrieved. Please try again,Nepavyko gauti mokėjimo užklausos būsenos. Bandykite dar kartą
Payment Request took too long to respond. Please try requesting for payment again,Per ilgai buvo atsakyta į mokėjimo užklausą. Pabandykite dar kartą pateikti mokėjimo užklausą
Payment saved offline,Mokėjimas išsaugotas neprisijungus
Payment State,Mokėjimo būsena
Payment Status,Mokėjimo būsena
Payment submitted but print function could not be executed. Payment name not found.,"Mokėjimas pateiktas, bet spausdinimo funkcijos atlikti nepavyko. Mokėjimo pavadinimas nerastas."
Payment submitted.,Mokėjimas pateiktas.
Payment Summary,Mokėjimo suvestinė
Payments,Mokėjimai
Payments are not open. Do you want to open payments and submit?,Mokėjimai neatidaromi. Ar norite atidaryti mokėjimus ir pateikti?
Payments by Mode of Payment,Mokėjimai pagal mokėjimo būdą
PDF,PDF
Peak Hour,Piko valanda
Peak Memory:,Didžiausia atmintis:
Peak Server:,Peak serveris:
Peak:,Didžiausias:
Pending,Laukiama
Pending Amount,Laukiama suma
Pending count updated from {0} to {1},Laukiantis skaičius atnaujintas iš {0} į {1}
Pending Exposure,Laukiama parodymo
Pending Invoices,Laukiančios sąskaitos faktūros
Pending Ratio,Laukiamas santykis
Pending Sales,Laukiantys pardavimai
Pending sales: {0} | Cache usage: {1}%,Laukiama pardavimo: {0} | Talpyklos naudojimas: {1} %
Pending Sync,Laukiama sinchronizavimo
Pending: {0},Laukiama: {0}
Pending: {0} | Synced: {1} | Draft: {2},Laukiama: {0} | Sinchronizuota: {1} | Juodraštis: {2}
Per Page,Puslapyje
Personal,Asmeninis
Personal preferences adjust the current cashier experience without changing the active POS route.,Asmeninės nuostatos koreguoja dabartinę kasos patirtį nekeičiant aktyvaus POS maršruto.
PIN confirmation does not match.,PIN kodo patvirtinimas nesutampa.
PIN must be 4 to 8 digits.,PIN kodas turi būti 4–8 skaitmenų.
Please add at least one item.,Pridėkite bent vieną elementą.
Please allow camera access to scan codes,Leiskite kamerai pasiekti nuskaityti kodus
Please enter payment amount,Įveskite mokėjimo sumą
Please fill all required fields,Užpildykite visus privalomus laukus
Please make a payment or select a payment,Atlikite mokėjimą arba pasirinkite mokėjimą
Please request phone payment or use another payment method,Prašykite mokėjimo telefonu arba naudokite kitą mokėjimo būdą
Please select a customer first,Pirmiausia pasirinkite klientą
Please select a party,Pasirinkite vakarėlį
Please select a party before reconciling.,Prieš susitaikydami pasirinkite šalį.
Please select a valid movement type.,Pasirinkite tinkamą judėjimo tipą.
Please select an invoice,Pasirinkite sąskaitą faktūrą
Please select company before reconciling.,Prieš derindami pasirinkite įmonę.
Please set the customer's mobile number,Prašome nustatyti kliento mobiliojo telefono numerį
Please try again or enter the item manually.,Bandykite dar kartą arba įveskite elementą rankiniu būdu.
Please verify the barcode or check the item's availability.,Patikrinkite brūkšninį kodą arba prekės prieinamumą.
Points,Taškai
Popup blocked. Please allow popups.,Iššokantis langas užblokuotas. Leiskite iššokančiuosius langus.
POS,POS
POS controls and maintenance,POS valdymas ir priežiūra
POS Expense is disabled for this POS Profile.,POS išlaidos išjungtos šiame POS profilyje.
POS is running with limited offline prerequisites.,POS veikia su ribotomis būtinomis sąlygomis neprisijungus.
POS Profile,POS profilis
Position the QR code or barcode within the scanning area,Įdėkite QR kodą arba brūkšninį kodą nuskaitymo srityje
Posting,Skelbimas
Posting and Price List,Skelbimas ir kainoraštis
Posting Date,Paskelbimo data
Preparing background sync,Ruošiamas sinchronizavimas fone
"Press OK to continue offline with a warning, or Cancel to retry.","Paspauskite Gerai, jei norite tęsti neprisijungę su įspėjimu, arba Atšaukti, jei norite bandyti dar kartą."
Previous unit of measure,Ankstesnis matavimo vienetas
Price List,Kainoraštis
Price List Rate,Kainoraštis Kaina
Price list rate updated locally only,Kainoraštis atnaujintas tik vietoje
Pricing & Discounts,Kainos ir nuolaidos
Pricing Rule,Kainodaros taisyklė
Print,Spausdinti
Print Draft,Spausdinti juodraštį
Print Format (Invoice),Spausdinimo formatas (sąskaita faktūra)
Print Format (Order),Spausdinimo formatas (užsakymas)
Print invoice,Spausdinti sąskaitą faktūrą
Print Purchase Invoice instead of PO,Spausdinti pirkimo sąskaitą faktūrą vietoj PO
Printer,Spausdintuvas
Processed returns impacting the shift totals,"Apdorotos grąžos, turinčios įtakos pamainų sumoms"
Processing Payment,Mokėjimo apdorojimas
Processing payment entries for Invoice {0},Apdorojami sąskaitos faktūros {0} mokėjimo įrašai
Profile,Profilis
Profiles,Profiliai
Profit,Pelnas
Profit: Invoice Item Estimate,Pelnas: sąskaitos faktūros prekės sąmata
Profit: Stock Ledger (COGS),Pelnas: atsargų knyga (COGS)
Profitability Report,Pelningumo ataskaita
Prorated return discount,Proporcinga grąžinimo nuolaida
Purchase Amount,Pirkimo suma
Purchase Invoices,Pirkimo sąskaitos faktūros
Purchase Order created,Pirkimo užsakymas sukurtas
Qty,Kiekis
Qualified,Kvalifikuotas
Quantity,Kiekis
Quantity exceeds available stock,Kiekis viršija turimas atsargas
Quick Actions,Greiti veiksmai
Quotation {0} is Submitted,Citata {0} pateikta
Quotation submitted,Citata pateikta
QZ Tray connected.,QZ dėklas prijungtas.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ dėklas atjungtas rankiniu būdu. Paspauskite Prisijungti, kad vėl įjungtumėte."
QZ Tray is not connected.,QZ dėklas neprijungtas.
QZ Tray Setup,QZ dėklo sąranka
Rate,Įvertink
Rate adjusted to maximum allowed discount,Kaina pakoreguota iki didžiausios leidžiamos nuolaidos
Ready,Paruošta
Ready to resume,Paruošta tęsti
Ready!,Pasiruošę!
Real-time POS insights for retail operations.,Realaus laiko POS įžvalgos mažmeninės prekybos operacijoms.
Rebuild Offline Data,Atkurkite duomenis neprisijungus
Receive,Gauti
Receive now,Gaukite dabar
Received,Gauta
Received:,Gauta:
Recent Movement Entries,Naujausi judėjimo įrašai
Recent updates about your invoices,Naujausi naujiniai apie jūsų sąskaitas faktūras
Recently Active Customers,Pastaruoju metu aktyvūs klientai
Rechecking connection,Pakartotinis ryšio tikrinimas
Reconcile payment methods and close shift,Derinkite mokėjimo būdus ir uždarykite pamainą
Reconciling Payments,Mokėjimų derinimas
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Prisijunkite ir atidarykite šį puslapį vieną kartą, kai esate prisijungę, tada atnaujinimai neprisijungus galės jį atkurti."
Reconnect online to refresh cached offline data from the server.,"Prisijunkite iš naujo, kad atnaujintumėte talpykloje saugomus neprisijungus duomenis iš serverio."
Recreate local offline prerequisites from scratch,Atkurkite vietines būtinas sąlygas neprisijungus nuo nulio
Recv:,Atv.:
Redeem,Išpirkti
Redeem / Scan,Išpirkti / nuskaityti
Redeem Amount,Išpirkimo suma
Redeem Mode,Išpirkimo režimas
Redeemed Amount,Išpirkta suma
Redeemed credit cannot be greater than its total.,Išpirktas kreditas negali būti didesnis nei jo bendra suma.
Redemption and Totals,Išpirkimas ir sumos
Reference,Nuoroda
Refresh,Atnaujinti
Refresh Exchange Rate,Atnaujinti valiutos kursą
Refresh Offline Data,Atnaujinkite duomenis neprisijungus
Refresh Printers,Atnaujinkite spausdintuvus
Refund,Grąžinti pinigus
Release Notes,Išleidimo pastabos
Reload,Įkelti iš naujo
Reload customers,Iš naujo įkelkite klientus
Reload Items,Iš naujo įkelti elementus
Reload Now,Įkelti iš naujo dabar
Reload to apply the latest changes. Your current session will be refreshed.,"Įkelkite iš naujo, kad pritaikytumėte naujausius pakeitimus. Jūsų dabartinė sesija bus atnaujinta."
Reload Workflow,Iš naujo įkelti darbo eigą
Remarks,Pastabos
Remarks are required.,Reikalingos pastabos.
Remove,Pašalinti
Remove barcode item,Pašalinti brūkšninio kodo elementą
Remove cached data and reload the POS app,Pašalinkite talpykloje saugomus duomenis ir iš naujo įkelkite POS programą
Remove item,Pašalinti elementą
Remove Offer,Pašalinti pasiūlymą
Reorder / Purchase Suggestions,Pertvarkymo / pirkimo pasiūlymai
Repair Candidate,Kandidatas į remontą
Repair Change Allocation,Remonto keitimo paskirstymas
Repair requires an online connection,Remontui reikalingas internetinis ryšys
Repaired,Suremontuota
Repairing change allocation,Pakeitimų paskirstymo taisymas
Repeat Customers,Pakartotiniai klientai
Repeat Rate,Pakartojimo dažnis
Request,Prašymas
Request ID: {0},Užklausos ID: {0}
Request Payment,Prašyti mokėjimo
Requested route: {0},Užklaustas maršrutas: {0}
Required columns cannot be hidden,Reikalingų stulpelių paslėpti negalima
Reset,Nustatyti iš naujo
Reset item name,Iš naujo nustatyti elemento pavadinimą
Reset to Default,Atstatyti į numatytuosius
Resource Health,Išteklių sveikata
Restricted,Apribota
Restricted operational controls for supervisors only.,Ribotos veikimo kontrolės priemonės taikomos tik prižiūrėtojams.
Retry,Bandykite dar kartą
Retry route,Bandyti dar kartą maršrutą
Return,Grįžti
Return Amount,Grąžinimo suma
Return Count,Grąžinimo skaičius
Return items must have negative quantities,Grąžinamų prekių kiekis turi būti neigiamas
Return total must be negative,Bendra grąžos suma turi būti neigiama
Return Valid Until,Grąžinimas galioja iki
Return window passed,Grįžimo langas praėjo
Return without Invoice,Grąžinti be sąskaitos faktūros
Returns,Grąžina
Returns / Voids / Discounts,Grąžinimai / Tuštumai / Nuolaidos
Returns by Currency,Grąžinimai pagal valiutą
Revenue,Pajamos
Review shift totals before submitting the closing entry,"Prieš pateikdami baigiamąjį įrašą, peržiūrėkite pamainų sumas"
Round Off,Suapvalinti
Rows,Eilutės
Rows:,Eilutės:
Rule,Taisyklė
Sale,Išpardavimas
Sales,Pardavimai
Sales Order {0} is Submitted,Pardavimo užsakymas {0} pateiktas
Sales Person and Print,Pardavėjas ir spauda
Sales Person not found,Pardavėjas nerastas
Sales processed,Pardavimas apdorotas
Sales Return,Pardavimų grąžinimas
Sales Trend Report,Pardavimų tendencijų ataskaita
Save,Išsaugoti
Save & Clear,Išsaugoti ir išvalyti
Save as POS Profile Default,Išsaugoti kaip numatytąjį POS profilį
Save Settings,Išsaugoti nustatymus
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Išsaugokite pasirinktą spausdintuvą kaip numatytąjį POS profilį, kad jis būtų automatiškai rodomas atliekant šią sąranką."
Saved as draft because: {0},"Išsaugota kaip juodraštis, nes: {0}"
Saving...,Išsaugoma...
Scale barcode detected. Quantity here is the number of labels to print.,Aptiktas mastelio brūkšninis kodas. Kiekis čia yra spausdintinų etikečių skaičius.
Scale barcode settings are not configured. Using item barcode only.,Mastelio brūkšninio kodo nustatymai nesukonfigūruoti. Naudojant tik prekės brūkšninį kodą.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Trūksta šio elemento / UOM mastelio šablono brūkšninio kodo. Naudojant tik prekės brūkšninį kodą.
Scan an existing card and top it up without leaving the payment flow.,Nuskaitykite esamą kortelę ir papildykite ją neišeidami iš mokėjimo srauto.
Scan Error,Nuskaitymo klaida
