POS Awesome,POS tuyệt vời
IndexedDB,IndexedDB
Initial Amount,Số tiền ban đầu
Initialize your shift with opening balances,Bắt đầu ca làm việc của bạn với số dư đầu kỳ
Initializing application...,Đang khởi tạo ứng dụng...
"Inspect cache, sync, and prerequisite status","Kiểm tra bộ đệm, đồng bộ hóa và trạng thái điều kiện tiên quyết"
Installed Applications,Ứng dụng đã cài đặt
Insufficient stock:\n{0},Không đủ hàng:\n{0}
Invalid rate,Tỷ lệ không hợp lệ
Inventory Status Report,Báo cáo tình trạng hàng tồn kho
Invoice,hóa đơn
Invoice {0} is Submitted,Hóa đơn {0} đã được gửi
Invoice {0} processed successfully,Hóa đơn {0} được xử lý thành công
Invoice {0} submission failed,Gửi hóa đơn {0} không thành công
Invoice {0} was already submitted,Hóa đơn {0} đã được gửi
Invoice Adjustments,Điều chỉnh hóa đơn
Invoice Change,Thay đổi hóa đơn
Invoice Details,Chi tiết hóa đơn
Invoice is still in draft after background submission.,Hóa đơn vẫn còn ở dạng bản nháp sau khi nộp lý lịch.
Invoice Items,Mục hóa đơn
Invoice Management,Quản lý hóa đơn
Invoice Mgmt,Quản lý hóa đơn
Invoice saved offline,Hóa đơn được lưu ngoại tuyến
Invoice submission failed,Gửi hóa đơn không thành công
Invoice Submitted,Hóa đơn đã gửi
"Invoice value settled by loyalty points, not cash collection","Giá trị hóa đơn được thanh toán bằng điểm khách hàng thân thiết, không phải thu tiền mặt"
Invoices,Hóa đơn
Invoices already past due date,Hóa đơn đã quá hạn
Invoices saved as POS Invoices,Hóa đơn được lưu dưới dạng Hóa đơn POS
Invoices still carrying balances,Hóa đơn vẫn còn số dư
Issue Mode,Chế độ phát hành
Issue New Card,Phát hành thẻ mới
Issue Workflow,Quy trình phát hành
"Issue, top up, and check","Phát hành, nạp tiền và kiểm tra"
Item,Mục
Item / Product Sales Report,Báo cáo doanh số mặt hàng/sản phẩm
Item {0} added to invoice,Mặt hàng {0} đã được thêm vào hóa đơn
Item '{0}' has no barcode,Mặt hàng '{0}' không có mã vạch
Item Code,Mã mặt hàng
Item created successfully,Mục được tạo thành công
Item is out of stock,Mặt hàng đã hết hàng
Item Name,Tên mặt hàng
Item not found,Không tìm thấy mục
Item order updated,Đã cập nhật đơn hàng
Item Selector Settings,Cài đặt bộ chọn mục
Items,Mặt hàng
Items added in POS will appear here automatically.,Các mặt hàng được thêm vào POS sẽ tự động xuất hiện ở đây.
Items added to invoice,Các mặt hàng được thêm vào hóa đơn
Items per page,Các mục trên mỗi trang
Items Sold,Mặt hàng đã bán
Items/Invoice,Mặt hàng/Hóa đơn
Item-wise Profitability,Khả năng sinh lời theo mặt hàng
Journal Entry,Nhật ký
json,json
Just now,Vừa rồi
Keep offline prerequisites healthy and recover stale data safely.,Giữ các điều kiện tiên quyết ngoại tuyến ổn định và khôi phục dữ liệu cũ một cách an toàn.
Labels,Nhãn
"Language, theme, terminal tools, and session controls.","Ngôn ngữ, chủ đề, công cụ đầu cuối và điều khiển phiên."
Last,Cuối cùng
Last 14 Days (Paid vs Pending),14 ngày qua (Trả tiền và Đang chờ xử lý)
Last 14 Days Activity,Hoạt động 14 ngày qua
Last 14 Days Gross Profit,Lợi nhuận gộp trong 14 ngày qua
Last 14 Days Purchases,Số lần mua hàng trong 14 ngày qua
Last 14 Days Tax/Charges,Thuế/Phí 14 ngày qua
Last sync:,Đồng bộ hóa lần cuối:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Đồng bộ hóa lần cuối: {0} | được: {1} | thất bại: {2} | đã bỏ qua: {3}
Latest entries for current shift,Các mục mới nhất cho ca hiện tại
Lead Time,Thời gian dẫn
Limited,Bị giới hạn
lines,dòng
List,Danh sách
Live Snapshot,Ảnh chụp trực tiếp
Load a POS profile and cashier first.,Tải hồ sơ POS và nhân viên thu ngân trước.
Load More Invoices,Tải thêm hóa đơn
Load previously saved invoices,Tải hóa đơn đã lưu trước đó
Load Sale,Tải bán
Load Sales Invoice,Tải hóa đơn bán hàng
Loading app data...,Đang tải dữ liệu ứng dụng...
Loading customer database...,Đang tải cơ sở dữ liệu khách hàng...
Loading customers...,Đang tải khách hàng...
Loading database stats...,Đang tải số liệu thống kê cơ sở dữ liệu...
Loading details...,Đang tải chi tiết...
Loading invoice history...,Đang tải lịch sử hóa đơn...
Loading items...,Đang tải các mục...
Loading product catalog...,Đang tải danh mục sản phẩm...
Loading return invoices...,Đang tải hóa đơn trả lại...
Loading server CPU/memory usage...,Đang tải mức sử dụng CPU/bộ nhớ của máy chủ...
Loading suppliers...,Đang tải nhà cung cấp...
Loading unpaid invoices...,Đang tải hóa đơn chưa thanh toán...
Loading view...,Đang tải chế độ xem...
Loading...,Đang tải...
Local storage is unavailable. Switching to online-only mode.,Bộ nhớ cục bộ không có sẵn. Đang chuyển sang chế độ chỉ trực tuyến.
localStorage,lưu trữ cục bộ
Location Performance,Hiệu suất vị trí
Locations,Địa điểm
Lock Screen,Màn hình khóa
Lookup Workflow,Tra cứu quy trình làm việc
Loss,Mất mát
Low,Thấp
Low Stock,Ít hàng
Low Stock Alerts,Cảnh báo sắp hết hàng
Low Stock Items,Mặt hàng có ít hàng
Low Stock Threshold,Ngưỡng tồn kho thấp
Low Stock Total,Tổng số hàng thấp
Lowest Margin,Ký quỹ thấp nhất
Low-frequency maintenance and system details.,Bảo trì tần số thấp và chi tiết hệ thống.
Loyalty Redeemed,Lòng trung thành được chuộc
Loyalty Redemption,Đổi thưởng trung thành
Make New Payment,Thực hiện thanh toán mới
Manage all,Quản lý tất cả
Manage and synchronize your offline transactions,Quản lý và đồng bộ hóa các giao dịch ngoại tuyến của bạn
Manage Cashier PIN,Quản lý mã PIN thu ngân
"Manage offline tools, terminal controls, and maintenance from one workspace.","Quản lý các công cụ ngoại tuyến, điều khiển thiết bị đầu cuối và bảo trì từ một không gian làm việc."
manual,hướng dẫn sử dụng
"Manual codes, barcode scans, and QR scans work in the same field","Mã thủ công, quét mã vạch và quét QR hoạt động trong cùng một trường"
Manual offline mode is enabled,Đã bật chế độ ngoại tuyến thủ công
Margin,Ký quỹ
Maximum available quantity is {0}. Quantity adjusted to match stock.,Số lượng hiện có tối đa là {0}. Số lượng được điều chỉnh để phù hợp với lượng hàng tồn kho.
Maximum discount amount for this offer item is {0}.,Số tiền chiết khấu tối đa cho mặt hàng ưu đãi này là {0}.
Maximum discount percentage for this offer item is {0}%.,Tỷ lệ phần trăm giảm giá tối đa cho mặt hàng ưu đãi này là {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Số lượng ưu đãi tối đa là {0}. Số lượng được điều chỉnh đến giới hạn cho phép.
Medium,Trung bình
Method-wise Collections,Bộ sưu tập theo phương pháp
Minimum allowed rate for this offer item is {0}.,Tỷ lệ tối thiểu được phép cho mặt hàng ưu đãi này là {0}.
Minimum Qty,Số lượng tối thiểu
Mobile No,Số di động
Mode,Chế độ
Mode of Payment,Phương thức thanh toán
Month,Tháng
Month ?,Tháng?
Monthly Profit,Lợi nhuận hàng tháng
Monthly Sales,Doanh thu hàng tháng
Monthly Sales Summary,Tóm tắt doanh số hàng tháng
Month-wise,Hàng tháng
Most Active Cashiers,Nhân viên thu ngân tích cực nhất
Movement Type,Loại chuyển động
Movements,Phong trào
Multi Currency,Đa tiền tệ
N/A,không áp dụng
Name,Tên
Negative Stock,Cổ phiếu âm
Negative Stock Items,Mặt hàng tồn kho âm
Negative values not allowed,Giá trị âm không được phép
Net,mạng lưới
Net Qty,Số lượng ròng
Net Sales,Doanh thu thuần
Net Value,Giá trị ròng
Never,không bao giờ
New changes are ready to load,Những thay đổi mới đã sẵn sàng để tải
New Item,Mục mới
New Offer Available,Ưu đãi mới có sẵn
New PIN,Mã PIN mới
New rate,Tỷ lệ mới
Next unit of measure,Đơn vị đo tiếp theo
No attribute data found.,Không tìm thấy dữ liệu thuộc tính.
No Barcode,Không có mã vạch
No barcode found for UOM '{0}',Không tìm thấy mã vạch cho UOM '{0}'
No branch/location data found.,Không tìm thấy dữ liệu chi nhánh/địa điểm.
No brand data found.,Không tìm thấy dữ liệu thương hiệu.
No cached gift card balance is available offline.,Không có số dư thẻ quà tặng được lưu trong bộ nhớ cache khả dụng ngoại tuyến.
No camera found on this device. Please ensure your device has a working camera.,Không tìm thấy máy ảnh trên thiết bị này. Hãy đảm bảo thiết bị của bạn có camera hoạt động.
No capability warnings recorded yet.,Chưa có cảnh báo khả năng nào được ghi lại.
No cash expected for this shift.,Không có tiền mặt dự kiến ​​cho sự thay đổi này.
No cash mode configured,Không có chế độ tiền mặt nào được định cấu hình
No cash movement type is allowed for this POS Profile.,Không cho phép loại chuyển tiền mặt nào đối với Hồ sơ POS này.
No cashier PIN is set yet. Create one now.,Chưa có mã PIN thu ngân nào được đặt. Tạo một cái ngay bây giờ.
No cashier profiles are available for this POS profile yet.,Chưa có hồ sơ thu ngân nào cho hồ sơ POS này.
No cashier-wise discount/void/return activity.,Không có hoạt động giảm giá/vô hiệu/trả lại về mặt thu ngân.
No category data found.,Không tìm thấy dữ liệu danh mục.
No category profitability data found.,Không tìm thấy dữ liệu lợi nhuận danh mục.
No change returned recorded for this shift.,Không có thay đổi nào được trả lại được ghi lại cho ca này.
No change-allocation invoices match the current filters.,Không có hóa đơn phân bổ thay đổi nào khớp với các bộ lọc hiện tại.
No charge head breakdown found.,Không tìm thấy sự cố đầu sạc.
No Company Selected,Không có công ty nào được chọn
No customer sales data found.,Không tìm thấy dữ liệu bán hàng của khách hàng.
No day-wise discount/void/return trend.,Không có xu hướng giảm giá/vô hiệu/hoàn trả theo ngày.
No day-wise payment data found.,Không tìm thấy dữ liệu thanh toán theo ngày.
No day-wise profitability trend found.,Không tìm thấy xu hướng lợi nhuận hàng ngày.
No day-wise purchase data found.,Không tìm thấy dữ liệu mua hàng theo ngày.
No day-wise sales trend found.,Không tìm thấy xu hướng bán hàng hàng ngày.
No day-wise tax/charges trend found.,Không tìm thấy xu hướng thuế/phí theo ngày.
No dead stock items.,Không có mặt hàng tồn kho chết.
No due date,Không có ngày đáo hạn
No exact repair match found for this invoice,Không tìm thấy kết quả sửa chữa chính xác cho hóa đơn này
No hourly sales trend found for today.,Không tìm thấy xu hướng bán hàng theo giờ nào cho ngày hôm nay.
No invoice activity found.,Không tìm thấy hoạt động hóa đơn.
No invoices found,Không tìm thấy hóa đơn
No invoices found. Try different search criteria.,Không tìm thấy hóa đơn nào. Hãy thử các tiêu chí tìm kiếm khác nhau.
No invoices recorded for this shift.,Không có hóa đơn nào được ghi cho ca này.
No item profitability data found.,Không tìm thấy dữ liệu lợi nhuận của mặt hàng.
No item sales data found for this period.,Không tìm thấy dữ liệu bán hàng trong khoảng thời gian này.
No items found,Không tìm thấy mục nào
No items in cart,Không có mặt hàng nào trong giỏ hàng
No items with barcodes to print,Không có mặt hàng nào có mã vạch để in
No location-wise top item data found.,Không tìm thấy dữ liệu mục hàng đầu theo vị trí.
No low stock alerts right now.,Hiện tại không có cảnh báo sắp hết hàng.
No low stock items.,Không có mặt hàng tồn kho thấp.
No matching items in cart,Không có mặt hàng phù hợp trong giỏ hàng
No month-wise sales trend found.,Không tìm thấy xu hướng bán hàng theo tháng.
No negative stock items.,Không có mặt hàng tồn kho tiêu cực.
No notifications yet,Chưa có thông báo nào
No offline cash movement synced.,Không có chuyển động tiền mặt ngoại tuyến nào được đồng bộ hóa.
No offline invoices pending synchronization,Không có hóa đơn ngoại tuyến nào đang chờ đồng bộ hóa
No offline sync issues recorded yet.,Chưa có sự cố đồng bộ hóa ngoại tuyến nào được ghi lại.
No out-of-stock items.,Không có mặt hàng nào hết hàng.
No outstanding credit invoices for this shift.,Không có hóa đơn ghi có chưa thanh toán cho ca làm việc này.
No payment collection data found.,Không tìm thấy dữ liệu thu thanh toán.
No payment rows available on this invoice.,Không có hàng thanh toán nào trên hóa đơn này.
No payments registered for this shift.,Không có khoản thanh toán nào được đăng ký cho ca làm việc này.
No pending balances in this period.,Không có số dư đang chờ xử lý trong giai đoạn này.
No pending offline invoices,Không có hóa đơn ngoại tuyến đang chờ xử lý
No Print Formats Found,Không tìm thấy định dạng in
No profiles found for selected scope. Falling back to current profile failed.,Không tìm thấy hồ sơ nào cho phạm vi đã chọn. Không thể quay lại hồ sơ hiện tại.
No recent customer activity found.,Không tìm thấy hoạt động gần đây của khách hàng.
No recent stock entries found.,Không tìm thấy mục chứng khoán gần đây.
No records found,Không tìm thấy bản ghi nào
No reorder suggestions right now.,Không có đề xuất sắp xếp lại ngay bây giờ.
No repeat customers in this period.,Không có khách hàng lặp lại trong giai đoạn này.
No response from server,Không có phản hồi từ máy chủ
No return invoices found,Không tìm thấy hóa đơn trả lại
No return item trend found.,Không tìm thấy xu hướng trả lại hàng.
No returnable items found for this invoice,Không tìm thấy mặt hàng có thể trả lại cho hóa đơn này
No returns were processed in this shift.,Không có khoản hoàn trả nào được xử lý trong ca này.
No risk activity found.,Không tìm thấy hoạt động rủi ro nào.
No sales activity found for this period.,Không tìm thấy hoạt động bán hàng nào trong khoảng thời gian này.
No slow moving items.,Không có vật phẩm di chuyển chậm.
No staff sales activity found.,Không tìm thấy hoạt động bán hàng của nhân viên.
No stock movement for this period.,Không có chuyển động cổ phiếu trong giai đoạn này.
No submitted cash movements in this shift.,Không có chuyển động tiền mặt nào được gửi trong ca này.
No supplier purchases found in this month.,Không tìm thấy giao dịch mua nhà cung cấp nào trong tháng này.
No suppliers found for this period.,Không tìm thấy nhà cung cấp nào trong thời gian này
No sync trigger has run yet in this session.,Chưa có trình kích hoạt đồng bộ hóa nào chạy trong phiên này.
No tax head breakdown found.,Không tìm thấy thông tin chi tiết về đầu thuế.
No top items found for this location.,Không tìm thấy mục hàng đầu nào cho vị trí này.
No unpaid invoices,Không có hóa đơn chưa thanh toán
No variant data found.,Không tìm thấy dữ liệu biến thể.
No week-wise sales trend found.,Không tìm thấy xu hướng bán hàng theo tuần.
No.,Không.
Nobile Number,Số Nobile
Not available,Không có sẵn
Not checked,Chưa được kiểm tra
Not selected,Không được chọn
Not Set,Chưa đặt
Notifications,Thông báo
Offer,ưu đãi
Offer Applied,Ưu đãi đã áp dụng
Offer criteria exceeded,Đã vượt quá tiêu chí ưu đãi
Offer Item,Mặt hàng ưu đãi
Offer item unavailable,Mặt hàng ưu đãi không có sẵn
Offer Removed,Đã xóa ưu đãi
Offer UOM cannot be changed,Ưu đãi UOM không thể thay đổi
Offer?,Đề nghị?
Offers,Ưu đãi
Offline,Ngoại tuyến
Offline & Sync,Ngoại tuyến & Đồng bộ hóa
Offline Capabilities,Khả năng ngoại tuyến
Offline data status refreshed,Đã làm mới trạng thái dữ liệu ngoại tuyến
Offline diagnostics,Chẩn đoán ngoại tuyến
Offline Invoices,Hóa đơn ngoại tuyến
Offline invoices status,Trạng thái hóa đơn ngoại tuyến
Offline invoices synced,Hóa đơn ngoại tuyến đã được đồng bộ hóa
Offline Queue: {0},Hàng đợi ngoại tuyến: {0}
Offline rebuild guidance,Hướng dẫn xây dựng lại ngoại tuyến
Offline restore is unavailable for this session.,Khôi phục ngoại tuyến không khả dụng cho phiên này.
Offline selling is available with degraded capabilities.,Bán hàng ngoại tuyến có sẵn với khả năng xuống cấp.
Offline snapshot does not match the current POS state.,Ảnh chụp nhanh ngoại tuyến không khớp với trạng thái POS hiện tại.
Offline Status,Trạng thái ngoại tuyến
"Offline, terminal, and system controls","Điều khiển ngoại tuyến, thiết bị đầu cuối và hệ thống"
OK,được rồi
Online,trực tuyến
Open actions menu,Mở menu hành động
Open balance to collect,Mở số dư để thu thập
Open Customer Display,Mở màn hình khách hàng
Open drawer,Mở ngăn kéo
Open invoices,Mở hóa đơn
Open Payments?,Mở thanh toán?
Open POS home,Mở POS tại nhà
Open this screen from POS Menu -> Open Customer Display.,Mở màn hình này từ Menu POS -> Mở Màn hình khách hàng.
OpenCV image processing enabled - Enhanced barcode detection,Đã bật xử lý hình ảnh OpenCV - Phát hiện mã vạch nâng cao
OpenCV image processing unavailable on this device,Xử lý hình ảnh OpenCV không khả dụng trên thiết bị này
OpenCV Off,Tắt OpenCV
OpenCV On,OpenCV Bật
OpenCV processing disabled,Xử lý OpenCV bị vô hiệu hóa
Opening Amount,Số tiền mở
Opening Cash,Mở tiền mặt
options,tùy chọn
Order,Đặt hàng
Original,Bản gốc
Other,Khác
Out,Ra ngoài
Out of Stock,Hết hàng
Out of Stock Items,Các mặt hàng hết hàng
Outstanding,Nổi bật
Outstanding Credit by Currency,Dư nợ tín dụng theo loại tiền
Overdue,Quá hạn
Overpayment Change,Thay đổi thanh toán vượt mức
Overpayment change deducted: {0},Khoản thay đổi thanh toán vượt mức được khấu trừ: {0}
Packing List,Danh sách đóng gói
Page Format,Định dạng trang
Page unavailable offline,Trang không có sẵn ngoại tuyến
Paid,Đã trả tiền
Paid (orig):,Đã trả tiền (gốc):
Paid Amount,Số tiền đã thanh toán
Paid change cannot be greater than total change!,Thay đổi được trả tiền không thể lớn hơn tổng thay đổi!
Paid:,Đã trả tiền:
Parent Item,Mục gốc
Partial,một phần
Partly Paid,được trả một phần
Party Account,Tài khoản bên
Party Type,Loại Đảng
Pause terminal until next cashier,Tạm dừng thiết bị đầu cuối cho đến khi thu ngân tiếp theo
PAY,TRẢ TIỀN
Payment,Thanh toán
Payment Account,Tài khoản thanh toán
Payment entries processed for Invoice {0},Các mục thanh toán được xử lý cho Hóa đơn {0}
Payment Entry Type,Loại mục thanh toán
Payment History,Lịch sử thanh toán
Payment ID,ID thanh toán
Payment Method Report,Báo cáo phương thức thanh toán
Payment Methods,Phương thức thanh toán
Payment of {0} received successfully.,Đã nhận được khoản thanh toán {0} thành công.
Payment Progress,Tiến độ thanh toán
Payment Reconciliation,Đối chiếu thanh toán
Payment request status could not be retrieved. Please try again,Không thể truy xuất trạng thái yêu cầu thanh toán. Vui lòng thử lại
Payment Request took too long to respond. Please try requesting for payment again,Yêu cầu thanh toán mất quá nhiều thời gian để phản hồi. Vui lòng thử yêu cầu thanh toán lại
Payment saved offline,Đã lưu thanh toán ngoại tuyến
Payment State,Trạng thái thanh toán
Payment Status,Trạng thái thanh toán
Payment submitted but print function could not be executed. Payment name not found.,Đã gửi thanh toán nhưng chức năng in không thể thực hiện được. Không tìm thấy tên thanh toán.
Payment submitted.,Đã gửi thanh toán.
Payment Summary,Tóm tắt thanh toán
Payments,Thanh toán
Payments are not open. Do you want to open payments and submit?,Thanh toán không được mở. Bạn có muốn mở thanh toán và gửi không?
Payments by Mode of Payment,Thanh toán theo phương thức thanh toán
PDF,PDF
Peak Hour,Giờ cao điểm
Peak Memory:,Bộ nhớ cao điểm:
Peak Server:,Máy chủ đỉnh cao:
Peak:,Đỉnh:
Pending,Đang chờ xử lý
Pending Amount,Số tiền chờ xử lý
Pending count updated from {0} to {1},Số lượng đang chờ cập nhật từ {0} lên {1}
Pending Exposure,Đang chờ hiển thị
Pending Invoices,Hóa đơn đang chờ xử lý
Pending Ratio,Tỷ lệ chờ xử lý
Pending Sales,Đang chờ bán hàng
Pending sales: {0} | Cache usage: {1}%,Doanh số đang chờ xử lý: {0} | Mức sử dụng bộ nhớ đệm: {1}%
Pending Sync,Đang chờ đồng bộ hóa
Pending: {0},Đang chờ xử lý: {0}
Pending: {0} | Synced: {1} | Draft: {2},Đang chờ xử lý: {0} | Đã đồng bộ hóa: {1} | Bản nháp: {2}
Per Page,mỗi trang
Personal,cá nhân
Personal preferences adjust the current cashier experience without changing the active POS route.,Tùy chọn cá nhân điều chỉnh trải nghiệm thu ngân hiện tại mà không thay đổi lộ trình POS đang hoạt động.
PIN confirmation does not match.,Xác nhận mã PIN không khớp.
PIN must be 4 to 8 digits.,Mã PIN phải có từ 4 đến 8 chữ số.
Please add at least one item.,Vui lòng thêm ít nhất một mục.
Please allow camera access to scan codes,Vui lòng cho phép máy ảnh truy cập để quét mã
Please enter payment amount,Vui lòng nhập số tiền thanh toán
Please fill all required fields,Vui lòng điền vào tất cả các trường bắt buộc
Please make a payment or select a payment,Vui lòng thanh toán hoặc chọn thanh toán
Please request phone payment or use another payment method,Vui lòng yêu cầu thanh toán qua điện thoại hoặc sử dụng phương thức thanh toán khác
Please select a customer first,Vui lòng chọn khách hàng trước
Please select a party,Vui lòng chọn một bữa tiệc
Please select a party before reconciling.,Vui lòng chọn một bên trước khi hòa giải.
Please select a valid movement type.,Vui lòng chọn loại chuyển động hợp lệ.
Please select an invoice,Vui lòng chọn hóa đơn
Please select company before reconciling.,Vui lòng chọn công ty trước khi đối chiếu.
Please set the customer's mobile number,Vui lòng đặt số điện thoại di động của khách hàng
Please try again or enter the item manually.,Vui lòng thử lại hoặc nhập mục này theo cách thủ công.
Please verify the barcode or check the item's availability.,Vui lòng xác minh mã vạch hoặc kiểm tra tính sẵn có của mặt hàng.
Points,Điểm
Popup blocked. Please allow popups.,Cửa sổ bật lên bị chặn. Vui lòng cho phép cửa sổ bật lên.
POS,POS
POS controls and maintenance,Kiểm soát và bảo trì POS
POS Expense is disabled for this POS Profile.,Chi phí POS bị vô hiệu hóa đối với Hồ sơ POS này.
POS is running with limited offline prerequisites.,POS đang chạy với điều kiện tiên quyết ngoại tuyến hạn chế.
POS Profile,Hồ sơ POS
Position the QR code or barcode within the scanning area,Định vị mã QR hoặc mã vạch trong khu vực quét
Posting,Đăng bài
Posting and Price List,Đăng và bảng giá
Posting Date,Ngày đăng
Preparing background sync,Đang chuẩn bị đồng bộ hóa nền
"Press OK to continue offline with a warning, or Cancel to retry.",Nhấn OK để tiếp tục ngoại tuyến kèm theo cảnh báo hoặc Hủy để thử lại.
Previous unit of measure,Đơn vị đo lường trước đó
Price List,Bảng giá
Price List Rate,Tỷ lệ bảng giá
Price list rate updated locally only,Bảng giá chỉ cập nhật tại địa phương
Pricing & Discounts,Giá cả & Giảm giá
Pricing Rule,Quy tắc định giá
Print,In
Print Draft,In bản nháp
Print Format (Invoice),Định dạng in (Hóa đơn)
Print Format (Order),Định dạng in (Thứ tự)
Print invoice,In hóa đơn
Print Purchase Invoice instead of PO,In hóa đơn mua hàng thay vì PO
Printer,Máy in
Processed returns impacting the shift totals,Lợi nhuận đã xử lý ảnh hưởng đến tổng ca
Processing Payment,Đang xử lý thanh toán
Processing payment entries for Invoice {0},Đang xử lý các mục thanh toán cho Hóa đơn {0}
Profile,Hồ sơ
Profiles,Hồ sơ
Profit,Lợi nhuận
Profit: Invoice Item Estimate,Lợi nhuận: Ước tính khoản mục hóa đơn
Profit: Stock Ledger (COGS),Lợi nhuận: Sổ cái chứng khoán (COGS)
Profitability Report,Báo cáo lợi nhuận
Prorated return discount,Giảm giá hoàn trả theo tỷ lệ
Purchase Amount,Số tiền mua
Purchase Invoices,Hóa đơn mua hàng
Purchase Order created,Đơn đặt hàng đã được tạo
Qty,Số lượng
Qualified,đủ điều kiện
Quantity,số lượng
Quantity exceeds available stock,Số lượng vượt quá số lượng có sẵn
Quick Actions,Thao tác nhanh
Quotation {0} is Submitted,Báo giá {0} đã được gửi
Quotation submitted,Đã gửi báo giá
QZ Tray connected.,Đã kết nối khay QZ.
QZ Tray is manually disconnected. Press Connect to enable it again.,Khay QZ được ngắt kết nối thủ công. Nhấn Connect để kích hoạt lại.
QZ Tray is not connected.,Khay QZ chưa được kết nối.
QZ Tray Setup,Thiết lập khay QZ
Rate,tỷ lệ
Rate adjusted to maximum allowed discount,Tỷ lệ được điều chỉnh theo mức chiết khấu tối đa được phép
Ready,Sẵn sàng
Ready to resume,Sẵn sàng tiếp tục
Ready!,Sẵn sàng!
Real-time POS insights for retail operations.,Thông tin chi tiết về POS theo thời gian thực cho hoạt động bán lẻ.
Rebuild Offline Data,Xây dựng lại dữ liệu ngoại tuyến
Receive,Nhận
Receive now,Nhận ngay
Received,Đã nhận
Received:,Đã nhận:
Recent Movement Entries,Các mục chuyển động gần đây
Recent updates about your invoices,Thông tin cập nhật gần đây về hóa đơn của bạn
Recently Active Customers,Khách hàng hoạt động gần đây
Rechecking connection,Kiểm tra lại kết nối
Reconcile payment methods and close shift,Đối chiếu phương thức thanh toán và đóng ca
Reconciling Payments,Đối chiếu các khoản thanh toán
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Kết nối lại và mở trang này một lần khi trực tuyến, sau đó các lần làm mới ngoại tuyến sẽ có thể khôi phục trang đó."
Reconnect online to refresh cached offline data from the server.,Kết nối lại trực tuyến để làm mới dữ liệu ngoại tuyến được lưu trong bộ nhớ đệm từ máy chủ.
Recreate local offline prerequisites from scratch,Tạo lại các điều kiện tiên quyết ngoại tuyến cục bộ từ đầu
Recv:,Nhận:
Redeem,Đổi quà
Redeem / Scan,Đổi/Quét
Redeem Amount,Số tiền đổi
Redeem Mode,Chế độ đổi quà
Redeemed Amount,Số tiền đã đổi
Redeemed credit cannot be greater than its total.,Tín dụng được quy đổi không thể lớn hơn tổng số tín dụng của nó.
Redemption and Totals,Quy đổi và Tổng số
Reference,Tài liệu tham khảo
Refresh,Làm mới
Refresh Exchange Rate,Làm mới tỷ giá hối đoái
Refresh Offline Data,Làm mới dữ liệu ngoại tuyến
Refresh Printers,Làm mới máy in
Refund,Hoàn tiền
Release Notes,Ghi chú phát hành
Reload,Tải lại
Reload customers,Tải lại khách hàng
Reload Items,Tải lại các mục
Reload Now,Tải lại ngay
Reload to apply the latest changes. Your current session will be refreshed.,Tải lại để áp dụng những thay đổi mới nhất. Phiên hiện tại của bạn sẽ được làm mới.
Reload Workflow,Tải lại quy trình công việc
Remarks,Bình luận
Remarks are required.,Cần có chú thích.
Remove,Xóa
Remove barcode item,Xóa mục mã vạch
Remove cached data and reload the POS app,Xóa dữ liệu đã lưu trong bộ nhớ đệm và tải lại ứng dụng POS
Remove item,Xóa mục
Remove Offer,Xóa ưu đãi
Reorder / Purchase Suggestions,Đề xuất đặt hàng lại/mua hàng
Repair Candidate,Ứng viên sửa chữa
Repair Change Allocation,Sửa chữa Thay đổi Phân bổ
Repair requires an online connection,Sửa chữa yêu cầu kết nối trực tuyến
Repaired,Đã sửa chữa
Repairing change allocation,Sửa chữa phân bổ thay đổi
Repeat Customers,Khách hàng lặp lại
Repeat Rate,Tỷ lệ lặp lại
Request,Yêu cầu
Request ID: {0},ID yêu cầu: {0}
Request Payment,Yêu cầu thanh toán
Requested route: {0},Tuyến đường được yêu cầu: {0}
Required columns cannot be hidden,Không thể ẩn các cột bắt buộc
Reset,Đặt lại
Reset item name,Đặt lại tên mục
Reset to Default,Đặt lại về mặc định
Resource Health,Tình trạng tài nguyên
Restricted,Bị hạn chế
Restricted operational controls for supervisors only.,Kiểm soát hoạt động hạn chế chỉ dành cho người giám sát.
Retry,Thử lại
Retry route,Thử lại lộ trình
Return,Trở lại
Return Amount,Số tiền hoàn trả
Return Count,Số lần trả lại
Return items must have negative quantities,Các mặt hàng trả lại phải có số lượng âm
Return total must be negative,Tổng số tiền trả về phải âm
Return Valid Until,Trả về có hiệu lực cho đến khi
Return window passed,Đã qua thời hạn trả lại
Return without Invoice,Trả lại không có hóa đơn
Returns,Trả lại
Returns / Voids / Discounts,Trả lại / Vô hiệu / Giảm giá
Returns by Currency,Trả về theo loại tiền tệ
Revenue,Doanh thu
Review shift totals before submitting the closing entry,Xem lại tổng ca làm việc trước khi gửi mục kết thúc
Round Off,Làm tròn
Rows,Hàng
Rows:,Hàng:
Rule,quy tắc
Sale,bán hàng
Sales,bán hàng
Sales Order {0} is Submitted,Đơn đặt hàng {0} đã được gửi
Sales Person and Print,Nhân viên bán hàng và in ấn
Sales Person not found,Không tìm thấy nhân viên bán hàng
Sales processed,Bán hàng được xử lý
Sales Return,Lợi nhuận bán hàng
Sales Trend Report,Báo cáo xu hướng bán hàng
Save,Lưu
Save & Clear,Lưu & Xóa
