POS Awesome,POS Genial
Local storage is unavailable. Switching to online-only mode.,L'emmagatzematge local no està disponible. Canvi al mode només en línia.
localStorage,emmagatzematge local
Location Performance,Rendiment de la ubicació
Locations,Ubicacions
Lock Screen,Pantalla de bloqueig
Lookup Workflow,Flux de treball de cerca
Loss,Pèrdua
Low,Baixa
Low Stock,Estoc baix
Low Stock Alerts,Alertes d'existències baixes
Low Stock Items,Articles amb estoc baix
Low Stock Threshold,Llindar d'existències baixes
Low Stock Total,Total d'existències baixes
Lowest Margin,Marge més baix
Low-frequency maintenance and system details.,Manteniment de baixa freqüència i detalls del sistema.
Loyalty Redeemed,Lleialtat bescanviada
Loyalty Redemption,Redempció de lleialtat
Make New Payment,Feu un nou pagament
Manage all,Gestionar-ho tot
Manage and synchronize your offline transactions,Gestioneu i sincronitzeu les vostres transaccions fora de línia
Manage Cashier PIN,Gestioneu el PIN del caixer
"Manage offline tools, terminal controls, and maintenance from one workspace.","Gestioneu les eines fora de línia, els controls de terminal i el manteniment des d'un sol espai de treball."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Els codis manuals, els escanejos de codis de barres i els escanejos QR funcionen en el mateix camp"
Manual offline mode is enabled,El mode manual fora de línia està activat
Margin,Marge
Maximum available quantity is {0}. Quantity adjusted to match stock.,La quantitat màxima disponible és {0}. Quantitat ajustada per coincidir amb l'estoc.
Maximum discount amount for this offer item is {0}.,L'import màxim de descompte per a aquest article de l'oferta és de {0}.
Maximum discount percentage for this offer item is {0}%.,El percentatge de descompte màxim per a aquest article de l'oferta és del {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,La quantitat màxima d'oferta és {0}. Quantitat ajustada al límit permès.
Medium,Mitjana
Method-wise Collections,Col·leccions metodològiques
Minimum allowed rate for this offer item is {0}.,La tarifa mínima permesa per a aquest article de l'oferta és {0}.
Minimum Qty,Quantitat mínima
Mobile No,Mòbil núm
Mode,Mode
Mode of Payment,Modalitat de pagament
Month,Mes
Month ?,Mes?
Monthly Profit,Benefici mensual
Monthly Sales,Vendes mensuals
Monthly Sales Summary,Resum de vendes mensuals
Month-wise,Mesualment
Most Active Cashiers,Els caixers més actius
Movement Type,Tipus de moviment
Movements,Moviments
Multi Currency,Multimoneda
N/A,N/A
Name,Nom
Negative Stock,Estoc negatiu
Negative Stock Items,Articles en estoc negatius
Negative values not allowed,No es permeten valors negatius
Net,Net
Net Qty,Quantitat neta
Net Sales,Vendes netes
Net Value,Valor net
Never,Mai
New changes are ready to load,Els nous canvis estan preparats per carregar
New Item,Article nou
New Offer Available,Nova oferta disponible
New PIN,PIN nou
New rate,Nova tarifa
Next unit of measure,Següent unitat de mesura
No attribute data found.,No s'han trobat dades d'atributs.
No Barcode,Sense codi de barres
No barcode found for UOM '{0}',"No s'ha trobat cap codi de barres per a la UOM ""{0}"""
No branch/location data found.,No s'han trobat dades de sucursal/ubicació.
No brand data found.,No s'han trobat dades de marca.
No cached gift card balance is available offline.,No hi ha cap saldo de targeta regal emmagatzemat a la memòria cau sense connexió.
No camera found on this device. Please ensure your device has a working camera.,No s'ha trobat cap càmera en aquest dispositiu. Assegureu-vos que el vostre dispositiu tingui una càmera que funcioni.
No capability warnings recorded yet.,Encara no s'han registrat cap advertiment de capacitat.
No cash expected for this shift.,No s'esperen diners en efectiu per aquest torn.
No cash mode configured,No s'ha configurat cap mode d'efectiu
No cash movement type is allowed for this POS Profile.,No es permet cap tipus de moviment d'efectiu per a aquest perfil de TPV.
No cashier PIN is set yet. Create one now.,Encara no s'ha establert cap PIN de caixer. Creeu-ne un ara.
No cashier profiles are available for this POS profile yet.,Encara no hi ha cap perfil de caixer disponible per a aquest perfil de TPV.
No cashier-wise discount/void/return activity.,No hi ha cap activitat de descompte/nul·lació/devolució per al caixer.
No category data found.,No s'han trobat dades de categoria.
No category profitability data found.,No s'han trobat dades de rendibilitat de categoria.
No change returned recorded for this shift.,No s'ha registrat cap canvi per a aquest torn.
No change-allocation invoices match the current filters.,No hi ha cap factura d'assignació de canvis que coincideixi amb els filtres actuals.
No charge head breakdown found.,No s'ha trobat cap desglossament del cap de càrrega.
No Company Selected,No s'ha seleccionat cap empresa
No customer sales data found.,No s'han trobat dades de vendes de clients.
No day-wise discount/void/return trend.,No hi ha tendència diària de descompte/nul·lació/devolució.
No day-wise payment data found.,No s'han trobat dades de pagament diaris.
No day-wise profitability trend found.,No s'ha trobat cap tendència de rendibilitat diària.
No day-wise purchase data found.,No s'han trobat dades de compra diària.
No day-wise sales trend found.,No s'ha trobat cap tendència de vendes diària.
No day-wise tax/charges trend found.,No s'ha trobat cap tendència diària d'impostos/càrrecs.
No dead stock items.,No hi ha articles en estoc mort.
No due date,Sense data de venciment
No exact repair match found for this invoice,No s'ha trobat cap coincidència exacta de reparació per a aquesta factura
No hourly sales trend found for today.,No s'ha trobat cap tendència de vendes per hora per avui.
No invoice activity found.,No s'ha trobat cap activitat de factura.
No invoices found,No s'han trobat factures
No invoices found. Try different search criteria.,No s'han trobat factures. Proveu diferents criteris de cerca.
No invoices recorded for this shift.,No s'han registrat factures per a aquest torn.
No item profitability data found.,No s'han trobat dades de rendibilitat de l'article.
No item sales data found for this period.,No s'han trobat dades de vendes d'articles per a aquest període.
No items found,No s'han trobat elements
No items in cart,No hi ha articles al carretó
No items with barcodes to print,No hi ha articles amb codis de barres per imprimir
No location-wise top item data found.,No s'han trobat dades de l'element superior segons la ubicació.
No low stock alerts right now.,No hi ha alertes d'existències baixes ara mateix.
No low stock items.,No hi ha articles amb estoc baix.
No matching items in cart,No hi ha articles coincidents al carretó
No month-wise sales trend found.,No s'ha trobat cap tendència mensual de vendes.
No negative stock items.,No hi ha articles d'estoc negatiu.
No notifications yet,Encara no hi ha notificacions
No offline cash movement synced.,No s'ha sincronitzat cap moviment d'efectiu fora de línia.
No offline invoices pending synchronization,No hi ha factures fora de línia pendents de sincronització
No offline sync issues recorded yet.,Encara no s'ha registrat cap problema de sincronització fora de línia.
No out-of-stock items.,No hi ha articles exhaurits.
No outstanding credit invoices for this shift.,No hi ha factures de crèdit pendents d'aquest torn.
No payment collection data found.,No s'han trobat dades de cobrament de pagaments.
No payment rows available on this invoice.,No hi ha cap fila de pagament disponible en aquesta factura.
No payments registered for this shift.,No s'han registrat pagaments per a aquest torn.
No pending balances in this period.,No hi ha saldos pendents en aquest període.
No pending offline invoices,No hi ha factures fora de línia pendents
No Print Formats Found,No s'han trobat formats d'impressió
No profiles found for selected scope. Falling back to current profile failed.,No s'han trobat perfils per a l'àmbit seleccionat. No s'ha pogut tornar al perfil actual.
No recent customer activity found.,No s'ha trobat cap activitat recent del client.
No recent stock entries found.,No s'han trobat entrades d'estoc recents.
No records found,No s'han trobat registres
No reorder suggestions right now.,No hi ha cap suggeriment de reordenar ara mateix.
No repeat customers in this period.,No hi ha clients repetits en aquest període.
No response from server,Cap resposta del servidor
No return invoices found,No s'han trobat factures de devolució
No return item trend found.,No s'ha trobat cap tendència d'article de retorn.
No returnable items found for this invoice,No s'han trobat articles retornables per a aquesta factura
No returns were processed in this shift.,En aquest torn no s'ha processat cap devolució.
No risk activity found.,No s'ha trobat cap activitat de risc.
No sales activity found for this period.,No s'ha trobat cap activitat de vendes per a aquest període.
No slow moving items.,No hi ha elements de moviment lent.
No staff sales activity found.,No s'ha trobat cap activitat de vendes de personal.
No stock movement for this period.,No hi ha moviment d'accions per a aquest període.
No submitted cash movements in this shift.,No s'han presentat moviments d'efectiu en aquest torn.
No supplier purchases found in this month.,No s'han trobat compres a proveïdors durant aquest mes.
No suppliers found for this period.,No s'han trobat proveïdors per a aquest període.
No sync trigger has run yet in this session.,Encara no s'ha executat cap activador de sincronització en aquesta sessió.
No tax head breakdown found.,No s'ha trobat cap desglossament fiscal.
No top items found for this location.,No s'han trobat articles principals per a aquesta ubicació.
No unpaid invoices,No hi ha factures impagades
No variant data found.,No s'han trobat dades de variants.
No week-wise sales trend found.,No s'ha trobat cap tendència de vendes setmanal.
No.,No.
Nobile Number,Número noble
Not available,No disponible
Not checked,No comprovat
Not selected,No seleccionat
Not Set,No establert
Notifications,Notificacions
Offer,Oferta
Offer Applied,Oferta aplicada
Offer criteria exceeded,S'han superat els criteris de l'oferta
Offer Item,Element d'oferta
Offer item unavailable,L'article de l'oferta no està disponible
Offer Removed,Oferta eliminada
Offer UOM cannot be changed,La UOM de l'oferta no es pot canviar
Offer?,Oferta?
Offers,Ofertes
Offline,Fora de línia
Offline & Sync,Sense connexió i sincronització
Offline Capabilities,Capacitats fora de línia
Offline data status refreshed,S'ha actualitzat l'estat de les dades fora de línia
Offline diagnostics,Diagnòstic fora de línia
Offline Invoices,Factures fora de línia
Offline invoices status,Estat de les factures fora de línia
Offline invoices synced,Les factures fora de línia s'han sincronitzat
Offline Queue: {0},Cua fora de línia: {0}
Offline rebuild guidance,Guia de reconstrucció fora de línia
Offline restore is unavailable for this session.,La restauració fora de línia no està disponible per a aquesta sessió.
Offline selling is available with degraded capabilities.,La venda fora de línia està disponible amb capacitats degradades.
Offline snapshot does not match the current POS state.,La instantània fora de línia no coincideix amb l'estat actual del TPV.
Offline Status,Estat fora de línia
"Offline, terminal, and system controls","Controls fora de línia, de terminal i del sistema"
OK,D'acord
Online,En línia
Open actions menu,Obre el menú d'accions
Open balance to collect,Saldo obert per cobrar
Open Customer Display,Obriu la pantalla del client
Open drawer,Obriu el calaix
Open invoices,Factures obertes
Open Payments?,Pagaments oberts?
Open POS home,Obre POS home
Open this screen from POS Menu -> Open Customer Display.,Obriu aquesta pantalla des del menú POS -> Obre la pantalla del client.
OpenCV image processing enabled - Enhanced barcode detection,Processament d'imatges OpenCV habilitat - Detecció de codi de barres millorada
OpenCV image processing unavailable on this device,El processament d'imatges OpenCV no està disponible en aquest dispositiu
OpenCV Off,OpenCV desactivat
OpenCV On,OpenCV activat
OpenCV processing disabled,Processament d'OpenCV desactivat
Opening Amount,Import d'obertura
Opening Cash,Obertura en efectiu
options,opcions
Order,Ordre
Original,Original
Other,Altres
Out,Fora
Out of Stock,Esgotat
Out of Stock Items,Articles sense estoc
Outstanding,Destacat
Outstanding Credit by Currency,Crèdit pendent per moneda
Overdue,Endarrerit
Overpayment Change,Canvi de sobrepagament
Overpayment change deducted: {0},Canvi de sobrepagament deduït: {0}
Packing List,Llista d'embalatge
Page Format,Format de pàgina
Page unavailable offline,Pàgina no disponible fora de línia
Paid,Pagat
Paid (orig):,Pagat (orig):
Paid Amount,Import pagat
Paid change cannot be greater than total change!,El canvi pagat no pot ser superior al canvi total!
Paid:,Pagat:
Parent Item,Element pare
Partial,Parcial
Partly Paid,Parcialment pagat
Party Account,Compte del partit
Party Type,Tipus de festa
Pause terminal until next cashier,Pausa el terminal fins al següent caixer
PAY,PAGAR
Payment,Pagament
Payment Account,Compte de pagament
Payment entries processed for Invoice {0},Entrades de pagament processades per a la factura {0}
Payment Entry Type,Tipus d'entrada de pagament
Payment History,Historial de pagaments
Payment ID,ID de pagament
Payment Method Report,Informe de forma de pagament
Payment Methods,Mètodes de pagament
Payment of {0} received successfully.,El pagament de {0} s'ha rebut correctament.
Payment Progress,Progrés de pagament
Payment Reconciliation,Conciliació de pagaments
Payment request status could not be retrieved. Please try again,"No s'ha pogut recuperar l'estat de la sol·licitud de pagament. Si us plau, torna-ho a provar"
Payment Request took too long to respond. Please try requesting for payment again,"La sol·licitud de pagament ha trigat massa a respondre. Si us plau, prova de tornar a sol·licitar el pagament"
Payment saved offline,Pagament desat fora de línia
Payment State,Estat de pagament
Payment Status,Estat de pagament
Payment submitted but print function could not be executed. Payment name not found.,S'ha enviat el pagament però no s'ha pogut executar la funció d'impressió. No s'ha trobat el nom del pagament.
Payment submitted.,Pagament enviat.
Payment Summary,Resum de pagament
Payments,Pagaments
Payments are not open. Do you want to open payments and submit?,Els pagaments no estan oberts. Vols obrir pagaments i enviar-los?
Payments by Mode of Payment,Pagaments per Mode de Pagament
PDF,PDF
Peak Hour,Hora punta
Peak Memory:,Memòria màxima:
Peak Server:,Servidor màxim:
Peak:,Pic:
Pending,Pendent
Pending Amount,Import pendent
Pending count updated from {0} to {1},Recompte pendent actualitzat de {0} a {1}
Pending Exposure,Exposició pendent
Pending Invoices,Factures pendents
Pending Ratio,Relació pendent
Pending Sales,Vendes pendents
Pending sales: {0} | Cache usage: {1}%,Vendes pendents: {0} | Ús de la memòria cau: {1}%
Pending Sync,Sincronització pendent
Pending: {0},Pendent: {0}
Pending: {0} | Synced: {1} | Draft: {2},Pendent: {0} | Sincronitzat: {1} | Esborrany: {2}
Per Page,Per pàgina
Personal,Personal
Personal preferences adjust the current cashier experience without changing the active POS route.,Les preferències personals ajusten l'experiència actual del caixer sense canviar la ruta activa del TPV.
PIN confirmation does not match.,La confirmació del PIN no coincideix.
PIN must be 4 to 8 digits.,El PIN ha de tenir entre 4 i 8 dígits.
Please add at least one item.,"Si us plau, afegiu almenys un element."
Please allow camera access to scan codes,Permet l'accés de la càmera per escanejar codis
Please enter payment amount,Introduïu l'import del pagament
Please fill all required fields,"Si us plau, ompliu tots els camps obligatoris"
Please make a payment or select a payment,Feu un pagament o seleccioneu un pagament
Please request phone payment or use another payment method,Sol·liciteu el pagament per telèfon o utilitzeu un altre mètode de pagament
Please select a customer first,Seleccioneu primer un client
Please select a party,Seleccioneu una festa
Please select a party before reconciling.,"Si us plau, seleccioneu un partit abans de reconciliar."
Please select a valid movement type.,Seleccioneu un tipus de moviment vàlid.
Please select an invoice,Seleccioneu una factura
Please select company before reconciling.,Seleccioneu l'empresa abans de conciliar.
Please set the customer's mobile number,Definiu el número de mòbil del client
Please try again or enter the item manually.,Torneu-ho a provar o introduïu l'element manualment.
Please verify the barcode or check the item's availability.,Verifiqueu el codi de barres o comproveu la disponibilitat de l'article.
Points,Punts
Popup blocked. Please allow popups.,S'ha bloquejat la finestra emergent. Permet les finestres emergents.
POS,TPV
POS controls and maintenance,Controls i manteniment de TPV
POS Expense is disabled for this POS Profile.,La despesa de TPV està desactivada per a aquest perfil de TPV.
POS is running with limited offline prerequisites.,El TPV s'està executant amb requisits previs fora de línia limitats.
POS Profile,Perfil TPV
Position the QR code or barcode within the scanning area,Col·loqueu el codi QR o el codi de barres dins de l'àrea d'escaneig
Posting,Publicació
Posting and Price List,Publicació i llista de preus
Posting Date,Data de publicació
Preparing background sync,S'està preparant la sincronització en segon pla
"Press OK to continue offline with a warning, or Cancel to retry.",Premeu D'acord per continuar sense connexió amb un avís o Cancel·la per tornar-ho a provar.
Previous unit of measure,Unitat de mesura anterior
Price List,Llista de preus
Price List Rate,Tarifa llista de preus
Price list rate updated locally only,Tarifa de la llista de preus actualitzada només localment
Pricing & Discounts,Preus i descomptes
Pricing Rule,Regla de preus
Print,Imprimeix
Print Draft,Imprimeix esborrany
Print Format (Invoice),Format d'impressió (factura)
Print Format (Order),Format d'impressió (comanda)
Print invoice,Imprimeix la factura
Print Purchase Invoice instead of PO,Imprimiu la factura de compra en lloc de la comanda
Printer,Impressora
Processed returns impacting the shift totals,Devolucions processades que afecten els totals del torn
Processing Payment,Processament de pagament
Processing payment entries for Invoice {0},Processament d'entrades de pagament per a la factura {0}
Profile,Perfil
Profiles,Perfils
Profit,Benefici
Profit: Invoice Item Estimate,Benefici: Estimació de l'article de la factura
Profit: Stock Ledger (COGS),Beneficis: llibre de valors (COGS)
Profitability Report,Informe de rendibilitat
Prorated return discount,Descompte de devolució prorratejada
Purchase Amount,Import de la compra
Purchase Invoices,Factures de compra
Purchase Order created,S'ha creat la comanda de compra
Qty,Quantitat
Qualified,Qualificada
Quantity,Quantitat
Quantity exceeds available stock,La quantitat supera l'estoc disponible
Quick Actions,Accions ràpides
Quotation {0} is Submitted,S'ha enviat la cotització {0}
Quotation submitted,S'ha enviat el pressupost
QZ Tray connected.,Safata QZ connectada.
QZ Tray is manually disconnected. Press Connect to enable it again.,La safata QZ es desconnecta manualment. Premeu Connecta per tornar-lo a activar.
QZ Tray is not connected.,La safata QZ no està connectada.
QZ Tray Setup,Configuració de la safata QZ
Rate,Taxa
Rate adjusted to maximum allowed discount,Tarifa ajustada al descompte màxim permès
Ready,A punt
Ready to resume,A punt per reprendre
Ready!,A punt!
Real-time POS insights for retail operations.,Estadístiques de TPV en temps real per a operacions minoristes.
Rebuild Offline Data,Reconstrueix les dades fora de línia
Receive,Rebre
Receive now,Rebeu ara
Received,Rebut
Received:,Rebut:
Recent Movement Entries,Entrades recents de moviment
Recent updates about your invoices,Actualitzacions recents sobre les vostres factures
Recently Active Customers,Clients actius recentment
Rechecking connection,Tornant a comprovar la connexió
Reconcile payment methods and close shift,Conciliar les formes de pagament i tancar el torn
Reconciling Payments,Conciliació de pagaments
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Torneu a connectar i obriu aquesta pàgina una vegada mentre estigui en línia, després les actualitzacions fora de línia la podran restaurar."
Reconnect online to refresh cached offline data from the server.,Torneu a connectar-vos en línia per actualitzar les dades fora de línia emmagatzemades a la memòria cau del servidor.
Recreate local offline prerequisites from scratch,Recrea els requisits previs locals fora de línia des de zero
Recv:,Recv:
Redeem,Bescanviar
Redeem / Scan,Bescanviar / escanejar
Redeem Amount,Canvia l'import
Redeem Mode,Mode de bescanvi
Redeemed Amount,Import bescanviat
Redeemed credit cannot be greater than its total.,El crèdit bescanviat no pot ser superior al seu total.
Redemption and Totals,Redempció i totals
Reference,Referència
Refresh,Actualitza
Refresh Exchange Rate,Actualitzar el tipus de canvi
Refresh Offline Data,Actualitza les dades fora de línia
Refresh Printers,Actualitzar impressores
Refund,Devolució
Release Notes,Notes de la versió
Reload,Torna a carregar
Reload customers,Torna a carregar clients
Reload Items,Torna a carregar elements
Reload Now,Torna a carregar ara
Reload to apply the latest changes. Your current session will be refreshed.,Torneu a carregar per aplicar els darrers canvis. La vostra sessió actual s'actualitzarà.
Reload Workflow,Recarrega el flux de treball
Remarks,Observacions
Remarks are required.,Cal fer comentaris.
Remove,Eliminar
Remove barcode item,Elimina l'element del codi de barres
Remove cached data and reload the POS app,Elimina les dades emmagatzemades a la memòria cau i torna a carregar l'aplicació TPV
Remove item,Elimina l'element
Remove Offer,Elimina l'oferta
Reorder / Purchase Suggestions,Reordenar / Suggeriments de compra
Repair Candidate,Candidat a la reparació
Repair Change Allocation,Reparació de l'assignació de canvis
Repair requires an online connection,La reparació requereix una connexió en línia
Repaired,Reparat
Repairing change allocation,Reparació de l'assignació de canvis
Repeat Customers,Clients repetits
Repeat Rate,Velocitat de repetició
Request,Sol·licitud
Request ID: {0},Identificador de sol·licitud: {0}
Request Payment,Sol·licitar el pagament
Requested route: {0},Ruta sol·licitada: {0}
Required columns cannot be hidden,Les columnes necessàries no es poden amagar
Reset,Restableix
Reset item name,Restableix el nom de l'element
Reset to Default,Restableix al valor predeterminat
Resource Health,Salut dels recursos
Restricted,Restringit
Restricted operational controls for supervisors only.,Controls operatius restringits només per a supervisors.
Retry,Torna-ho a provar
Retry route,Torna a provar la ruta
Return,Tornar
Return Amount,Import de retorn
Return Count,Recompte de retorns
Return items must have negative quantities,Els articles de retorn han de tenir quantitats negatives
Return total must be negative,El total de retorn ha de ser negatiu
Return Valid Until,Devolució vàlida fins a
Return window passed,La finestra de retorn ha passat
Return without Invoice,Devolució sense factura
Returns,Devolucions
Returns / Voids / Discounts,Devolucions / Anul·lació / Descomptes
Returns by Currency,Devolucions per moneda
Revenue,Ingressos
Review shift totals before submitting the closing entry,Reviseu els totals del torn abans d'enviar l'entrada de tancament
Round Off,Arrodonit
Rows,Files
Rows:,Files:
Rule,Regla
Sale,Venda
Sales,Vendes
Sales Order {0} is Submitted,S'ha enviat la comanda de venda {0}
Sales Person and Print,Vendedor i impremta
Sales Person not found,No s'ha trobat el venedor
Sales processed,Vendes processades
Sales Return,Devolució de vendes
Sales Trend Report,Informe de tendències de vendes
Save,Desa
Save & Clear,Desa i esborra
Save as POS Profile Default,Desa com a perfil POS per defecte
Save Settings,Desa la configuració
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Deseu la impressora seleccionada com a perfil POS predeterminat perquè es mostri automàticament en aquesta configuració.
Saved as draft because: {0},S'ha desat com a esborrany perquè: {0}
Saving...,S'està desant...
Scale barcode detected. Quantity here is the number of labels to print.,S'ha detectat el codi de barres de l'escala. La quantitat aquí és el nombre d'etiquetes a imprimir.
Scale barcode settings are not configured. Using item barcode only.,La configuració del codi de barres de l'escala no està configurada. Utilitza només el codi de barres de l'article.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Falta el codi de barres de la plantilla d'escala per a aquest article/UOM. Utilitza només el codi de barres de l'article.
Scan an existing card and top it up without leaving the payment flow.,Escaneja una targeta existent i recarrega-la sense sortir del flux de pagament.
Scan Error,Error d'escaneig
Scan or enter a gift card code to check balance or redeem.,Escaneja o introdueix un codi de targeta regal per comprovar el saldo o bescanviar.
Scan or paste the card code below.,Escaneja o enganxa el codi de la targeta a continuació.
Scan QR Code/Barcode,Escaneja el codi QR/codi de barres
Scan with camera,Escaneja amb càmera
Scan-First Flow,Escaneig-Primer flux
Scanned Code:,Codi escanejat:
Scanning for: {0},Buscant: {0}
Scanning items,Escaneig d'elements
Scan-Ready,A punt per a l'escaneig
Scope,Àmbit
Scope: All Profiles,Àmbit: Tots els perfils
Scope: Current Profile,Àmbit: Perfil actual
Scope: Specific Profile,Àmbit: Perfil específic
Search,Cerca
Search Account,Compte de cerca
Search an invoice and continue the return flow without extra steps.,Cerqueu una factura i continueu el flux de devolució sense passos addicionals.
Search customer,Cerca client
Search invoices or customers,Cerca factures o clients
Search item,Cerca element
Search item / code,Cerca element/codi
Search items or barcode,Cerca articles o codi de barres
Search Mpesa Payments,Cerca Mpesa Payments
Search return invoices or customers,Cerca factures de devolució o clients
Search supplier,Cerca proveïdor
Search unpaid invoices or customers,Cerca factures o clients impagats
Secure context (HTTPS or localhost) is required for camera access.,Cal un context segur (HTTPS o localhost) per accedir a la càmera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Es requereix un context segur (HTTPS) per accedir a la càmera. Utilitzeu HTTPS per accedir a la càmera.
Select,Seleccioneu
Select a cashier first.,Seleccioneu primer un caixer.
Select a customer,Seleccioneu un client
Select a customer to use coupon,Seleccioneu un client per utilitzar el cupó
Select a printer to use QZ silent printing.,Seleccioneu una impressora per utilitzar la impressió silenciosa QZ.
Select Batch,Seleccioneu Lot
Select Columns to Display,Seleccioneu Columnes per mostrar
Select items to sell,Seleccioneu articles per vendre
Select Payment,Seleccioneu Pagament
Select Payment Account,Seleccioneu Compte de pagament
Select printer,Seleccioneu la impressora
Select Return Invoice,Seleccioneu Devolució de la factura
Select S.O,Seleccioneu S.O
Select Sales Orders,Seleccioneu Comandes de venda
Select the cashier who is taking over this terminal.,Seleccioneu el caixer que es fa càrrec d'aquest terminal.
Selected,Seleccionat
Selected movement type is not allowed by POS Profile.,El perfil de TPV no permet el tipus de moviment seleccionat.
Selected Payments,Pagaments seleccionats
Sensitive actions kept away from quick taps.,Accions sensibles allunyades dels tocs ràpids.
Serial,Serial
Serial Numbers,Números de sèrie
Server CPU Usage:,Ús de la CPU del servidor:
Server Health,Salut del servidor
Server Memory Usage:,Ús de memòria del servidor:
Server Metrics,Mètriques del servidor
Server Uptime:,Temps de funcionament del servidor:
Service Charges,Costos de servei
Session,Sessió
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Establiu el PIN de cada caixer al formulari d'usuari i mantingueu assignats els membres del terminal al perfil d'usuari del TPV.
Settings,Configuració
Settings in this section update the POS workspace without changing the current route.,La configuració d'aquesta secció actualitza l'espai de treball del TPV sense canviar la ruta actual.
Setup complete!,Configuració completa!
Share,Comparteix
Shared terminal,Terminal compartit
Shift Closed Snapshot,Instantània tancada amb Maj
Shift Overview,Visió general del torn
Show,Mostra
Show cart on customer-facing screen,Mostra el carretó a la pantalla orientada al client
Show last invoice rate,Mostra la tarifa de l'última factura
Show rate info,Mostra la informació de la tarifa
Show Repair Candidates,Mostra els candidats a la reparació
Show search tools,Mostra les eines de cerca
Show the active cart on a customer-facing screen,Mostra el carretó actiu en una pantalla orientada al client
Showing {0}-{1} of {2},Es mostren {0}-{1} de {2}
Showing 0 of 0,Mostrant 0 de 0
Shows the distribution of invoices per currency,Mostra la distribució de les factures per moneda
Sign out of the current POS session,Tanqueu la sessió de la sessió de TPV actual
Size:,Mida:
Skipped Payments,Pagaments saltats
Skipping items without barcodes,Saltant articles sense codis de barres
Slow Moving,Moviment lent
Slow Moving Items,Elements de moviment lent
Slow Queries:,Consultes lentes:
Sold,Vengut
Source,Font
Source Cash Account (Optional Override),Compte d'efectiu d'origen (substitució opcional)
Source Ex. Rate:,Font Ex. Valoració:
Source Rate:,Tarifa font:
Specific Profile,Perfil específic
Split Invoices,Dividir les factures
Staff / Cashier Performance Report,Informe de rendiment del personal / caixer
Status,Estat
Stock,Estoc
Stock Information,Informació d'estoc
Stock is lower than requested,L'estoc és inferior al sol·licitat
Stock is lower than requested:\n{0},L'estoc és inferior al sol·licitat:\n{0}
Stock Movement Report,Informe de moviment d'accions
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,"Actualització d'estoc: {0} té {1} disponible. Si afegiu {2}, l'estoc baixarà de zero."
Submit,Envia
Submit & Print,Envia i imprimeix
Submit Deposit,Presentar Dipòsit
Submit Expense,Presentar la despesa
Submitted,Presentat
Submitted Cash Movements,Moviments d'efectiu presentats
Submitted entries,Entrades enviades
Successfully scanned:,Escanejat correctament:
Suggested,Suggerit
Suggested Qty,Quantitat suggerida
Supervisor Access,Accés del supervisor
Supervisor permissions unlock issuance and reloads,Els permisos del supervisor desbloquegen l'emissió i les recàrregues
Supervisor Tools,Eines del supervisor
Supplier,Proveïdor
Supplier and dates are required.,Es requereix proveïdor i dates.
Supplier Invoices,Factures de proveïdors
Supplier is required.,Es requereix proveïdor.
Supplier name is required,El nom del proveïdor és obligatori
Supplier Payments,Pagaments a proveïdors
Supplier Purchase Summary,Resum de la compra del proveïdor
Suppliers,Proveïdors
Suppliers not found,No s'han trobat proveïdors
Switch Camera,Canvia càmera
Switch Cashier,Canvi de caixer
Switch the POS appearance theme,Canvia el tema d'aparença del TPV
Switched to:,S'ha canviat a:
Sync All Invoices,Sincronitza totes les factures
Sync Offline Cash Movements ({0}),Sincronitza els moviments d'efectiu fora de línia ({0})
Sync Offline Sales,Sincronitza les vendes fora de línia
Synced {0} offline cash movement(s).,S'han sincronitzat {0} moviments d'efectiu fora de línia.
Syncing items in background,Sincronització d'elements en segon pla
System / Diagnostics,Sistema / Diagnòstic
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Les accions del sistema són controls de manteniment de baixa freqüència, com ara informació de l'aplicació, diagnòstics de suport i controls de sessió."
System Information,Informació del sistema
System Status,Estat del sistema
Tables:,Taules:
Tap the button below to redeem a gift card during checkout.,Toqueu el botó següent per bescanviar una targeta regal durant la compra.
Target,Objectiu
Target Ex. Rate:,Objectiu Ex. Valoració:
Target Rate:,Tarifa objectiu:
Tax,Impost
Tax / Charges Report,Informe d'Impostos / Càrrecs
Tax Heads,Caps fiscals
Taxable Amount,Import imposable
Tendered,Licitat
Terminal,Terminal
Terminal & Devices,Terminal i dispositius
Terminal locked,Terminal bloquejat
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Les eines del terminal afecten aquesta estació de pagament, les pantalles orientades al client i els futurs controls d'impressores/dispositius."
Territory not found,No s'ha trobat el territori
The amount paid is not complete,L'import pagat no està complet
The app stores data locally for offline use. This is called cache.,L'aplicació emmagatzema dades localment per utilitzar-les fora de línia. Això s'anomena memòria cau.
The invoice stayed in draft. Please review and submit it manually.,La factura va quedar en esborrany. Reviseu-lo i envieu-lo manualment.
