POS Awesome,POS Sjajno
Latest entries for current shift,Najnoviji unosi za trenutnu smjenu
Lead Time,Vrijeme isporuke
Limited,ograničeno
lines,linije
List,Popis
Live Snapshot,Snimka uživo
Load a POS profile and cashier first.,Prvo učitajte POS profil i blagajnu.
Load More Invoices,Učitaj više faktura
Load previously saved invoices,Učitavanje prethodno spremljenih faktura
Load Sale,Load Sale
Load Sales Invoice,Učitaj prodajnu fakturu
Loading app data...,Učitavanje podataka aplikacije...
Loading customer database...,Učitavanje baze podataka kupaca...
Loading customers...,Učitavanje kupaca...
Loading database stats...,Učitavanje statistike baze podataka...
Loading details...,Učitavanje detalja...
Loading invoice history...,Učitavanje povijesti faktura...
Loading items...,Učitavanje stavki...
Loading product catalog...,Učitavanje kataloga proizvoda...
Loading return invoices...,Učitavanje faktura za povrat...
Loading server CPU/memory usage...,Učitavanje upotrebe procesora/memorije poslužitelja...
Loading suppliers...,Učitavanje dobavljača...
Loading unpaid invoices...,Učitavanje neplaćenih faktura...
Loading view...,Učitavanje prikaza...
Loading...,Učitavanje...
Local storage is unavailable. Switching to online-only mode.,Lokalna pohrana nije dostupna. Prebacivanje na način rada samo na mreži.
localStorage,lokalna pohrana
Location Performance,Izvedba lokacije
Locations,Lokacije
Lock Screen,Zaključavanje zaslona
Lookup Workflow,Tijek rada pretraživanja
Loss,gubitak
Low,Niska
Low Stock,Niska zaliha
Low Stock Alerts,Upozorenja o niskim zalihama
Low Stock Items,Niska zaliha
Low Stock Threshold,Nizak prag zaliha
Low Stock Total,Niska ukupna zaliha
Lowest Margin,Najniža marža
Low-frequency maintenance and system details.,Niskofrekventno održavanje i detalji sustava.
Loyalty Redeemed,Otkupljena vjernost
Loyalty Redemption,Otkup vjernosti
Make New Payment,Izvršite novu uplatu
Manage all,Upravljajte svime
Manage and synchronize your offline transactions,Upravljajte i sinkronizirajte svoje izvanmrežne transakcije
Manage Cashier PIN,Upravljanje PIN-om blagajne
"Manage offline tools, terminal controls, and maintenance from one workspace.","Upravljajte izvanmrežnim alatima, kontrolama terminala i održavanjem iz jednog radnog prostora."
manual,priručnik
"Manual codes, barcode scans, and QR scans work in the same field","Ručni kodovi, skeniranje crtičnog koda i QR skeniranje rade u istom polju"
Manual offline mode is enabled,Omogućen je ručni izvanmrežni način rada
Margin,Margina
Maximum available quantity is {0}. Quantity adjusted to match stock.,Najveća dostupna količina je {0}. Količina prilagođena zalihama.
Maximum discount amount for this offer item is {0}.,Maksimalni iznos popusta za ovu stavku ponude je {0}.
Maximum discount percentage for this offer item is {0}%.,Maksimalni postotak popusta za ovu stavku ponude je {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimalna količina ponude je {0}. Količina prilagođena dopuštenom limitu.
Medium,srednje
Method-wise Collections,Zbirke po metodi
Minimum allowed rate for this offer item is {0}.,Minimalna dopuštena cijena za ovu stavku ponude je {0}.
Minimum Qty,Minimalna količina
Mobile No,Broj mobitela
Mode,Način rada
Mode of Payment,Način plaćanja
Month,mjesec
Month ?,mjesec ?
Monthly Profit,Mjesečni profit
Monthly Sales,Mjesečna prodaja
Monthly Sales Summary,Mjesečni sažetak prodaje
Month-wise,Mjesečno
Most Active Cashiers,Najaktivniji blagajnici
Movement Type,Vrsta kretanja
Movements,Pokreti
Multi Currency,Više valuta
N/A,N/A
Name,Ime
Negative Stock,Negativna dionica
Negative Stock Items,Negativne zalihe
Negative values not allowed,Negativne vrijednosti nisu dopuštene
Net,Neto
Net Qty,Neto količina
Net Sales,Neto prodaja
Net Value,Neto vrijednost
Never,nikada
New changes are ready to load,Nove promjene su spremne za učitavanje
New Item,Nova stavka
New Offer Available,Nova ponuda dostupna
New PIN,Novi PIN
New rate,Nova stopa
Next unit of measure,Sljedeća jedinica mjere
No attribute data found.,Nisu pronađeni podaci o atributima.
No Barcode,Nema crtičnog koda
No barcode found for UOM '{0}',Nije pronađen crtični kod za UOM '{0}'
No branch/location data found.,Nisu pronađeni podaci o poslovnici/lokaciji.
No brand data found.,Nisu pronađeni podaci o marki.
No cached gift card balance is available offline.,Nijedan predmemorirani saldo darovne kartice nije dostupan izvan mreže.
No camera found on this device. Please ensure your device has a working camera.,Na ovom uređaju nije pronađena kamera. Provjerite ima li vaš uređaj ispravnu kameru.
No capability warnings recorded yet.,Još nisu zabilježena upozorenja o mogućnostima.
No cash expected for this shift.,Ne očekuje se gotovina za ovu smjenu.
No cash mode configured,Nije konfiguriran gotovinski način
No cash movement type is allowed for this POS Profile.,Za ovaj POS profil nije dopuštena vrsta kretanja gotovine.
No cashier PIN is set yet. Create one now.,PIN blagajnika još nije postavljen. Stvorite ga sada.
No cashier profiles are available for this POS profile yet.,Još nema dostupnih profila blagajnika za ovaj POS profil.
No cashier-wise discount/void/return activity.,Nema aktivnosti popusta/poništavanja/povrata blagajnika.
No category data found.,Nisu pronađeni podaci o kategoriji.
No category profitability data found.,Nisu pronađeni podaci o profitabilnosti kategorije.
No change returned recorded for this shift.,Za ovu smjenu nije zabilježena nikakva vraćena promjena.
No change-allocation invoices match the current filters.,Nijedna faktura za dodjelu promjena ne odgovara trenutnim filtrima.
No charge head breakdown found.,Nije pronađen kvar na glavi punjenja.
No Company Selected,Tvrtka nije odabrana
No customer sales data found.,Nisu pronađeni podaci o prodaji kupaca.
No day-wise discount/void/return trend.,Nema dnevnog trenda popusta/poništavanja/povrata.
No day-wise payment data found.,Nisu pronađeni podaci o plaćanju po danu.
No day-wise profitability trend found.,Nije pronađen dnevni trend profitabilnosti.
No day-wise purchase data found.,Nisu pronađeni podaci o kupnji po danu.
No day-wise sales trend found.,Nije pronađen dnevni trend prodaje.
No day-wise tax/charges trend found.,Nije pronađen dnevni trend poreza/naplata.
No dead stock items.,Nema mrtvih artikala.
No due date,Nema roka
No exact repair match found for this invoice,Za ovu fakturu nije pronađeno točno podudaranje popravka
No hourly sales trend found for today.,Nije pronađen trend prodaje po satu za danas.
No invoice activity found.,Nije pronađena aktivnost fakture.
No invoices found,Nisu pronađene fakture
No invoices found. Try different search criteria.,Nisu pronađene fakture. Isprobajte različite kriterije pretraživanja.
No invoices recorded for this shift.,Nema evidentiranih računa za ovu smjenu.
No item profitability data found.,Nisu pronađeni podaci o profitabilnosti artikla.
No item sales data found for this period.,Nema podataka o prodaji artikala za ovo razdoblje.
No items found,Nema pronađenih stavki
No items in cart,Nema artikala u košarici
No items with barcodes to print,Nema stavki s crtičnim kodovima za ispis
No location-wise top item data found.,Nisu pronađeni podaci o glavnim stavkama o lokaciji.
No low stock alerts right now.,Trenutno nema upozorenja o niskim zalihama.
No low stock items.,Nema artikala s malo zaliha.
No matching items in cart,Nema odgovarajućih stavki u košarici
No month-wise sales trend found.,Nije pronađen trend prodaje mjesečno.
No negative stock items.,Nema negativnih zaliha.
No notifications yet,Još nema obavijesti
No offline cash movement synced.,Nije sinkronizirano izvanmrežno kretanje gotovine.
No offline invoices pending synchronization,Nema izvanmrežnih faktura koje čekaju sinkronizaciju
No offline sync issues recorded yet.,Još nisu zabilježeni problemi izvanmrežne sinkronizacije.
No out-of-stock items.,Nema artikala rasprodanih.
No outstanding credit invoices for this shift.,Nema nepodmirenih kreditnih faktura za ovu smjenu.
No payment collection data found.,Nisu pronađeni podaci o prikupljanju plaćanja.
No payment rows available on this invoice.,Na ovoj fakturi nema dostupnih redova plaćanja.
No payments registered for this shift.,Nema registriranih uplata za ovu smjenu.
No pending balances in this period.,U ovom razdoblju nema dugovanja na čekanju.
No pending offline invoices,Nema izvanmrežnih faktura na čekanju
No Print Formats Found,Nema pronađenih formata za ispis
No profiles found for selected scope. Falling back to current profile failed.,Nije pronađen nijedan profil za odabrani opseg. Povratak na trenutni profil nije uspio.
No recent customer activity found.,Nije pronađena nedavna aktivnost korisnika.
No recent stock entries found.,Nema nedavnih unosa zaliha.
No records found,Nema pronađenih zapisa
No reorder suggestions right now.,Trenutno nema prijedloga za promjenu redoslijeda.
No repeat customers in this period.,Nema stalnih kupaca u ovom razdoblju.
No response from server,Nema odgovora s poslužitelja
No return invoices found,Nema povratnih računa
No return item trend found.,Nije pronađen trend vraćanja artikla.
No returnable items found for this invoice,Nema povratnih artikala za ovu fakturu
No returns were processed in this shift.,U ovoj smjeni nisu obrađeni povrati.
No risk activity found.,Nije pronađena rizična aktivnost.
No sales activity found for this period.,Za ovo razdoblje nije pronađena prodajna aktivnost.
No slow moving items.,Nema predmeta koji se sporo kreću.
No staff sales activity found.,Nije pronađena nijedna prodajna aktivnost osoblja.
No stock movement for this period.,Nema kretanja dionica za ovo razdoblje.
No submitted cash movements in this shift.,U ovoj smjeni nema prijavljenih kretanja gotovine.
No supplier purchases found in this month.,Nisu pronađene kupnje dobavljača u ovom mjesecu.
No suppliers found for this period.,Nema pronađenih dobavljača za ovo razdoblje.
No sync trigger has run yet in this session.,U ovoj sesiji još nije pokrenut nijedan okidač sinkronizacije.
No tax head breakdown found.,Nije pronađena raščlamba porezne glave.
No top items found for this location.,Za ovu lokaciju nisu pronađene najbolje stavke.
No unpaid invoices,Nema neplaćenih računa
No variant data found.,Nisu pronađeni podaci o varijantama.
No week-wise sales trend found.,Nije pronađen trend prodaje po tjednu.
No.,br.
Nobile Number,Nobile broj
Not available,Nije dostupno
Not checked,Nije provjereno
Not selected,Nije odabrano
Not Set,Nije postavljeno
Notifications,Obavijesti
Offer,ponuda
Offer Applied,Ponuda primijenjena
Offer criteria exceeded,Kriteriji ponude premašeni
Offer Item,Stavka ponude
Offer item unavailable,Stavka ponude nije dostupna
Offer Removed,Ponuda uklonjena
Offer UOM cannot be changed,UOM ponude nije moguće mijenjati
Offer?,ponuda?
Offers,Ponude
Offline,Offline
Offline & Sync,Izvan mreže i sinkronizacija
Offline Capabilities,Izvanmrežne mogućnosti
Offline data status refreshed,Status izvanmrežnih podataka osvježen
Offline diagnostics,Offline dijagnostika
Offline Invoices,Izvanmrežne fakture
Offline invoices status,Status izvanmrežnih faktura
Offline invoices synced,Izvanmrežne fakture sinkronizirane
Offline Queue: {0},Izvanmrežni red čekanja: {0}
Offline rebuild guidance,Izvanmrežne smjernice za obnovu
Offline restore is unavailable for this session.,Izvanmrežno vraćanje nije dostupno za ovu sesiju.
Offline selling is available with degraded capabilities.,Izvanmrežna prodaja dostupna je s smanjenim mogućnostima.
Offline snapshot does not match the current POS state.,Izvanmrežna snimka ne odgovara trenutnom POS stanju.
Offline Status,Izvanmrežni status
"Offline, terminal, and system controls","Kontrole izvan mreže, terminala i sustava"
OK,OK
Online,Online
Open actions menu,Otvorite izbornik radnji
Open balance to collect,Otvoreni saldo za naplatu
Open Customer Display,Otvorite korisnički zaslon
Open drawer,Otvorena ladica
Open invoices,Otvorene fakture
Open Payments?,Otvoriti Plaćanja?
Open POS home,Otvorite POS početnu stranicu
Open this screen from POS Menu -> Open Customer Display.,Otvorite ovaj zaslon iz POS izbornika -> Otvori korisnički zaslon.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV obrada slike omogućena - Poboljšano otkrivanje crtičnog koda
OpenCV image processing unavailable on this device,OpenCV obrada slike nije dostupna na ovom uređaju
OpenCV Off,OpenCV isključen
OpenCV On,OpenCV uključen
OpenCV processing disabled,Obrada OpenCV-a onemogućena
Opening Amount,Početni iznos
Opening Cash,Otvaranje gotovine
options,opcije
Order,Red
Original,Izvornik
Other,ostalo
Out,Van
Out of Stock,Nema na skladištu
Out of Stock Items,Nema na zalihama
Outstanding,Izvanredan
Outstanding Credit by Currency,Nepodmireni kredit po valuti
Overdue,Zakašnjelo
Overpayment Change,Promjena preplate
Overpayment change deducted: {0},Odbijena promjena preplaćene: {0}
Packing List,Popis pakiranja
Page Format,Format stranice
Page unavailable offline,Stranica nije dostupna izvan mreže
Paid,Plaćeno
Paid (orig):,Plaćeno (orig):
Paid Amount,Plaćeni iznos
Paid change cannot be greater than total change!,Plaćeni kusur ne može biti veći od ukupnog kusur!
Paid:,Plaćeno:
Parent Item,Nadređena stavka
Partial,Djelomično
Partly Paid,Djelomično plaćeno
Party Account,Račun stranke
Party Type,Vrsta zabave
Pause terminal until next cashier,Pauziraj terminal do sljedećeg blagajnika
PAY,PLATI
Payment,Plaćanje
Payment Account,Račun za plaćanje
Payment entries processed for Invoice {0},Obrađeni unosi plaćanja za fakturu {0}
Payment Entry Type,Vrsta unosa plaćanja
Payment History,Povijest plaćanja
Payment ID,ID plaćanja
Payment Method Report,Izvješće o načinu plaćanja
Payment Methods,Načini plaćanja
Payment of {0} received successfully.,Uplata od {0} uspješno je primljena.
Payment Progress,Napredak plaćanja
Payment Reconciliation,Usklađivanje plaćanja
Payment request status could not be retrieved. Please try again,Status zahtjeva za plaćanje nije moguće dohvatiti. Molimo pokušajte ponovo
Payment Request took too long to respond. Please try requesting for payment again,Odgovor na zahtjev za plaćanje trajao je predugo. Pokušajte ponovo zatražiti plaćanje
Payment saved offline,Plaćanje je spremljeno izvan mreže
Payment State,Država plaćanja
Payment Status,Status plaćanja
Payment submitted but print function could not be executed. Payment name not found.,"Plaćanje je poslano, ali funkcija ispisa nije mogla biti izvršena. Naziv plaćanja nije pronađen."
Payment submitted.,Plaćanje poslano.
Payment Summary,Sažetak plaćanja
Payments,Plaćanja
Payments are not open. Do you want to open payments and submit?,Uplate nisu otvorene. Želite li otvoriti plaćanja i poslati?
Payments by Mode of Payment,Plaćanja po načinu plaćanja
PDF,PDF
Peak Hour,Špica
Peak Memory:,Maksimalna memorija:
Peak Server:,Peak poslužitelj:
Peak:,vrhunac:
Pending,Na čekanju
Pending Amount,Iznos na čekanju
Pending count updated from {0} to {1},Broj na čekanju ažuriran je s {0} na {1}
Pending Exposure,Izlaganje na čekanju
Pending Invoices,Fakture na čekanju
Pending Ratio,Omjer na čekanju
Pending Sales,Prodaja na čekanju
Pending sales: {0} | Cache usage: {1}%,Prodaja na čekanju: {0} | Upotreba predmemorije: {1}%
Pending Sync,Sinkronizacija na čekanju
Pending: {0},Na čekanju: {0}
Pending: {0} | Synced: {1} | Draft: {2},Na čekanju: {0} | Sinkronizirano: {1} | Skica: {2}
Per Page,Po stranici
Personal,Osobno
Personal preferences adjust the current cashier experience without changing the active POS route.,Osobne preferencije prilagođavaju trenutno iskustvo blagajnika bez promjene aktivne POS rute.
PIN confirmation does not match.,PIN potvrda ne odgovara.
PIN must be 4 to 8 digits.,PIN mora imati 4 do 8 znamenki.
Please add at least one item.,Dodajte barem jednu stavku.
Please allow camera access to scan codes,Dopustite pristup kameri za skeniranje kodova
Please enter payment amount,Unesite iznos plaćanja
Please fill all required fields,Molimo ispunite sva potrebna polja
Please make a payment or select a payment,Molimo izvršite uplatu ili odaberite uplatu
Please request phone payment or use another payment method,Zatražite telefonsko plaćanje ili upotrijebite drugi način plaćanja
Please select a customer first,Prvo odaberite kupca
Please select a party,Odaberite stranku
Please select a party before reconciling.,Odaberite stranku prije mirenja.
Please select a valid movement type.,Odaberite valjanu vrstu kretanja.
Please select an invoice,Odaberite fakturu
Please select company before reconciling.,Odaberite tvrtku prije usklađivanja.
Please set the customer's mobile number,Molimo postavite broj mobilnog telefona kupca
Please try again or enter the item manually.,Pokušajte ponovno ili ručno unesite stavku.
Please verify the barcode or check the item's availability.,Provjerite barkod ili provjerite dostupnost artikla.
Points,Bodovi
Popup blocked. Please allow popups.,Skočni prozor blokiran. Dopustite skočne prozore.
POS,POS
POS controls and maintenance,POS kontrola i održavanje
POS Expense is disabled for this POS Profile.,POS troškovi su onemogućeni za ovaj POS profil.
POS is running with limited offline prerequisites.,POS radi s ograničenim offline preduvjetima.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Postavite QR kod ili crtični kod unutar područja skeniranja
Posting,Knjiženje
Posting and Price List,Knjiženje i Cjenik
Posting Date,Datum knjiženja
Preparing background sync,Priprema pozadinske sinkronizacije
"Press OK to continue offline with a warning, or Cancel to retry.",Pritisnite U redu za nastavak offline uz upozorenje ili Odustani za ponovni pokušaj.
Previous unit of measure,Prethodna jedinica mjere
Price List,Cjenik
Price List Rate,Cijena cjenika
Price list rate updated locally only,Cjenik se ažurira samo lokalno
Pricing & Discounts,Cijene i popusti
Pricing Rule,Pravilo određivanja cijena
Print,Ispis
Print Draft,Ispis nacrta
Print Format (Invoice),Format ispisa (račun)
Print Format (Order),Format ispisa (narudžba)
Print invoice,Ispis fakture
Print Purchase Invoice instead of PO,Ispis fakture kupnje umjesto narudžbenice
Printer,Printer
Processed returns impacting the shift totals,Obrađeni povrati koji utječu na ukupne smjene
Processing Payment,Obrada plaćanja
Processing payment entries for Invoice {0},Obrada unosa plaćanja za fakturu {0}
Profile,Profil
Profiles,Profili
Profit,Dobitak
Profit: Invoice Item Estimate,Dobit: Procjena stavke fakture
Profit: Stock Ledger (COGS),Profit: Stock Ledger (COGS)
Profitability Report,Izvješće o profitabilnosti
Prorated return discount,Proporcionalni povratni popust
Purchase Amount,Iznos kupnje
Purchase Invoices,Računi za kupnju
Purchase Order created,Narudžbenica je kreirana
Qty,Kol
Qualified,Kvalificirani
Quantity,Količina
Quantity exceeds available stock,Količina premašuje dostupne zalihe
Quick Actions,Brze radnje
Quotation {0} is Submitted,Ponuda {0} je predana
Quotation submitted,Ponuda predana
QZ Tray connected.,QZ ladica spojena.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ladica je ručno odvojena. Pritisnite Connect da biste ga ponovno omogućili.
QZ Tray is not connected.,QZ ladica nije spojena.
QZ Tray Setup,Postavljanje QZ ladice
Rate,Ocijenite
Rate adjusted to maximum allowed discount,Cijena prilagođena maksimalnom dopuštenom popustu
Ready,spreman
Ready to resume,Spreman za nastavak
Ready!,spreman!
Real-time POS insights for retail operations.,Uvidi u POS u stvarnom vremenu za maloprodajne operacije.
Rebuild Offline Data,Ponovno izgradite izvanmrežne podatke
Receive,primiti
Receive now,Primi sada
Received,Primljeno
Received:,Primljeno:
Recent Movement Entries,Nedavni unosi kretanja
Recent updates about your invoices,Najnovija ažuriranja o vašim fakturama
Recently Active Customers,Nedavno aktivni kupci
Rechecking connection,Ponovno provjeravanje veze
Reconcile payment methods and close shift,Uskladite načine plaćanja i zatvorite smjenu
Reconciling Payments,Usklađivanje plaćanja
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Ponovno se povežite i otvorite ovu stranicu jednom dok ste na mreži, a zatim će je offline osvježavanja moći vratiti."
Reconnect online to refresh cached offline data from the server.,Ponovno se povežite s mrežom za osvježavanje predmemoriranih izvanmrežnih podataka s poslužitelja.
Recreate local offline prerequisites from scratch,Ponovno stvorite lokalne izvanmrežne preduvjete od nule
Recv:,Recv:
Redeem,otkupiti
Redeem / Scan,Iskoristi / skeniraj
Redeem Amount,Iznos otkupa
Redeem Mode,Iskoristi način
Redeemed Amount,Otkupljeni iznos
Redeemed credit cannot be greater than its total.,Otkupljeni kredit ne može biti veći od ukupnog iznosa.
Redemption and Totals,Otkup i ukupni iznosi
Reference,Referenca
Refresh,Osvježi
Refresh Exchange Rate,Osvježi tečaj
Refresh Offline Data,Osvježi izvanmrežne podatke
Refresh Printers,Osvježi pisače
Refund,Povrat novca
Release Notes,Bilješke o izdanju
Reload,Ponovno učitaj
Reload customers,Ponovno učitavanje kupaca
Reload Items,Ponovno učitaj stavke
Reload Now,Ponovno učitaj sada
Reload to apply the latest changes. Your current session will be refreshed.,Ponovno učitavanje za primjenu najnovijih promjena. Vaša trenutna sesija bit će osvježena.
Reload Workflow,Ponovno učitaj tijek rada
Remarks,Primjedbe
Remarks are required.,Primjedbe su obavezne.
Remove,Ukloniti
Remove barcode item,Ukloni stavku crtičnog koda
Remove cached data and reload the POS app,Uklonite predmemorirane podatke i ponovno učitajte POS aplikaciju
Remove item,Ukloni stavku
Remove Offer,Ukloni ponudu
Reorder / Purchase Suggestions,Prijedlozi za ponovno naručivanje/kupnju
Repair Candidate,Kandidat za popravak
Repair Change Allocation,Popravak Promjena dodjele
Repair requires an online connection,Za popravak je potrebna mrežna veza
Repaired,Popravljeno
Repairing change allocation,Popravak dodjele promjena
Repeat Customers,Kupci koji se ponavljaju
Repeat Rate,Stopa ponavljanja
Request,zahtjev
Request ID: {0},ID zahtjeva: {0}
Request Payment,Zatražite plaćanje
Requested route: {0},Tražena ruta: {0}
Required columns cannot be hidden,Obavezni stupci ne mogu se sakriti
Reset,Resetiraj
Reset item name,Ponovno postavite naziv stavke
Reset to Default,Vrati na zadano
Resource Health,Zdravlje resursa
Restricted,Ograničeno
Restricted operational controls for supervisors only.,Ograničene operativne kontrole samo za nadzornike.
Retry,Pokušaj ponovo
Retry route,Ponovi rutu
Return,Povratak
Return Amount,Iznos povrata
Return Count,Broj povrata
Return items must have negative quantities,Artikli za povrat moraju imati negativne količine
Return total must be negative,Ukupni povrat mora biti negativan
Return Valid Until,Povrat vrijedi do
Return window passed,Prozor za povrat je prošao
Return without Invoice,Povrat bez fakture
Returns,Povratak
Returns / Voids / Discounts,Povrati / poništenja / popusti
Returns by Currency,Povrat po valuti
Revenue,Prihod
Review shift totals before submitting the closing entry,Pregledajte ukupne smjene prije podnošenja završnog unosa
Round Off,Zaokružiti
Rows,Redovi
Rows:,Redovi:
Rule,pravilo
Sale,Rasprodaja
Sales,Prodaja
Sales Order {0} is Submitted,Prodajna narudžba {0} je predana
Sales Person and Print,Prodavač i tisak
Sales Person not found,Prodavač nije pronađen
Sales processed,Prodaja obrađena
Sales Return,Povrat prodaje
Sales Trend Report,Izvješće o trendu prodaje
Save,spremiti
Save & Clear,Spremi & Očisti
Save as POS Profile Default,Spremi kao zadani POS profil
Save Settings,Spremi postavke
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Spremite odabrani pisač kao zadani POS profil tako da se automatski prikazuje pri ovoj postavci.
Saved as draft because: {0},Spremljeno kao skica jer: {0}
Saving...,Spremanje...
Scale barcode detected. Quantity here is the number of labels to print.,Otkriven je crtični kod vage. Količina je ovdje broj naljepnica za ispis.
Scale barcode settings are not configured. Using item barcode only.,Postavke crtičnog koda vage nisu konfigurirane. Korištenje samo crtičnog koda artikla.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Crtični kod predloška vage nedostaje za ovu stavku/UOM. Korištenje samo crtičnog koda artikla.
Scan an existing card and top it up without leaving the payment flow.,Skenirajte postojeću karticu i nadopunite je bez napuštanja tijeka plaćanja.
Scan Error,Pogreška skeniranja
Scan or enter a gift card code to check balance or redeem.,Skenirajte ili unesite kod darovne kartice da provjerite stanje ili iskoristite.
Scan or paste the card code below.,Skenirajte ili zalijepite kod kartice ispod.
Scan QR Code/Barcode,Skenirajte QR kod/crtični kod
Scan with camera,Skeniraj kamerom
Scan-First Flow,Scan-First Flow
Scanned Code:,Skenirani kod:
Scanning for: {0},Skeniranje za: {0}
Scanning items,Skeniranje predmeta
Scan-Ready,Spremno za skeniranje
Scope,Opseg
Scope: All Profiles,Opseg: Svi profili
Scope: Current Profile,Opseg: trenutni profil
Scope: Specific Profile,Opseg: Specifični profil
Search,Traži
Search Account,Pretraži račun
Search an invoice and continue the return flow without extra steps.,Pretražite fakturu i nastavite povrat bez dodatnih koraka.
Search customer,Pretraži kupca
Search invoices or customers,Pretražite fakture ili klijente
Search item,Traži stavku
Search item / code,Pretraživanje artikla / koda
Search items or barcode,Pretražite stavke ili crtični kod
Search Mpesa Payments,Pretražite Mpesa plaćanja
Search return invoices or customers,Pretražite povratne fakture ili kupce
Search supplier,Traži dobavljača
Search unpaid invoices or customers,Pretražite neplaćene fakture ili klijente
Secure context (HTTPS or localhost) is required for camera access.,Za pristup kameri potreban je siguran kontekst (HTTPS ili lokalni host).
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Za pristup kameri potreban je sigurni kontekst (HTTPS). Za pristup kameri koristite HTTPS.
Select,Odaberite
Select a cashier first.,Prvo odaberite blagajnika.
Select a customer,Odaberite kupca
Select a customer to use coupon,Odaberite kupca za korištenje kupona
Select a printer to use QZ silent printing.,Odaberite pisač za korištenje QZ tihog ispisa.
Select Batch,Odaberite Batch
Select Columns to Display,Odaberite stupce za prikaz
Select items to sell,Odaberite artikle za prodaju
Select Payment,Odaberite Plaćanje
Select Payment Account,Odaberite Račun za plaćanje
Select printer,Odaberite pisač
Select Return Invoice,Odaberite Povrat fakture
Select S.O,Odaberite S.O
Select Sales Orders,Odaberite Prodajni nalozi
Select the cashier who is taking over this terminal.,Odaberite blagajnika koji će preuzeti ovaj terminal.
Selected,Odabrano
Selected movement type is not allowed by POS Profile.,Odabrani tip kretanja nije dopušten od strane POS profila.
Selected Payments,Odabrana plaćanja
Sensitive actions kept away from quick taps.,Osjetljive radnje držane podalje od brzih dodira.
Serial,Serijski
Serial Numbers,Serijski brojevi
Server CPU Usage:,Upotreba procesora poslužitelja:
Server Health,Zdravlje poslužitelja
Server Memory Usage:,Upotreba memorije poslužitelja:
Server Metrics,Mjerni podaci poslužitelja
Server Uptime:,Vrijeme rada poslužitelja:
Service Charges,Naknade usluge
Session,Sjednica
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Postavite svaki PIN blagajnika u korisničkom obrascu i zadržite članove terminala dodijeljene u POS profilu korisnika.
Settings,postavke
Settings in this section update the POS workspace without changing the current route.,Postavke u ovom odjeljku ažuriraju POS radni prostor bez promjene trenutne rute.
Setup complete!,Postavljanje dovršeno!
Share,Podijelite
Shared terminal,Zajednički terminal
Shift Closed Snapshot,Shift Zatvorena snimka
Shift Overview,Pregled smjene
Show,pokazati
Show cart on customer-facing screen,Prikaži košaricu na zaslonu okrenutom prema kupcu
Show last invoice rate,Prikaži zadnji tečaj fakture
Show rate info,Prikaži informacije o cijeni
Show Repair Candidates,Pokažite kandidate za popravak
Show search tools,Prikaži alate za pretraživanje
Show the active cart on a customer-facing screen,Prikažite aktivnu košaricu na zaslonu okrenutom prema kupcu
Showing {0}-{1} of {2},Prikazuje se {0}-{1} od {2}
Showing 0 of 0,Prikazujem 0 od 0
Shows the distribution of invoices per currency,Prikazuje distribuciju faktura po valuti
Sign out of the current POS session,Odjavite se iz trenutne POS sesije
Size:,Veličina:
Skipped Payments,Preskočena plaćanja
Skipping items without barcodes,Preskakanje stavki bez crtičnog koda
Slow Moving,Sporo kretanje
Slow Moving Items,Sporo pokretni predmeti
Slow Queries:,Spori upiti:
Sold,prodano
Source,Izvor
Source Cash Account (Optional Override),Izvorni gotovinski račun (izborno nadjačavanje)
Source Ex. Rate:,Izvor Npr. Ocijenite:
Source Rate:,Izvorna stopa:
Specific Profile,Specifični profil
Split Invoices,Podijeljene fakture
Staff / Cashier Performance Report,Izvješće o učinku osoblja/blagajnika
Status,Status
Stock,Zaliha
Stock Information,Informacije o zalihama
Stock is lower than requested,Zaliha je niža od tražene
Stock is lower than requested:\n{0},Zaliha je niža od tražene:\n{0}
Stock Movement Report,Izvješće o kretanju dionica
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Ažuriranje zaliha: {0} ima dostupno {1}. Dodavanje {2} će dionicu spustiti ispod nule.
Submit,Pošalji
Submit & Print,Pošalji i ispis
Submit Deposit,Predajte polog
Submit Expense,Pošalji trošak
Submitted,Poslano
Submitted Cash Movements,Podnesena novčana kretanja
Submitted entries,Predani unosi
Successfully scanned:,Uspješno skenirano:
Suggested,Predloženo
Suggested Qty,Preporučena količina
Supervisor Access,Pristup nadzornika
Supervisor permissions unlock issuance and reloads,Dopuštenja nadzornika otključavaju izdavanje i ponovno učitavanje
Supervisor Tools,Alati nadzornika
Supplier,Dobavljač
Supplier and dates are required.,Potrebni su dobavljač i datumi.
Supplier Invoices,Fakture dobavljača
Supplier is required.,Potreban je dobavljač.
Supplier name is required,Naziv dobavljača je obavezan
Supplier Payments,Plaćanja dobavljača
Supplier Purchase Summary,Sažetak nabave dobavljača
Suppliers,Dobavljači
