POS Awesome,POS すごい
Negative Stock,マイナス在庫
Negative Stock Items,マイナス在庫品目
Negative values not allowed,負の値は許可されません
Net,ネット
Net Qty,正味数量
Net Sales,売上高
Net Value,正味価値
Never,決してしない
New changes are ready to load,新しい変更をロードする準備ができました
New Item,新しいアイテム
New Offer Available,新しい特典が利用可能
New PIN,新しいPIN
New rate,新しい料金
Next unit of measure,次の測定単位
No attribute data found.,属性データが見つかりません。
No Barcode,バーコードなし
No barcode found for UOM '{0}',単位「{0}」のバーコードが見つかりませんでした
No branch/location data found.,支店/所在地データが見つかりません。
No brand data found.,ブランドデータが見つかりませんでした。
No cached gift card balance is available offline.,キャッシュされたギフトカード残高はオフラインでは使用できません。
No camera found on this device. Please ensure your device has a working camera.,このデバイスにはカメラが見つかりません。デバイスにカメラが動作していることを確認してください。
No capability warnings recorded yet.,機能に関する警告はまだ記録されていません。
No cash expected for this shift.,このシフトでは現金は見込まれません。
No cash mode configured,キャッシュモードが設定されていません
No cash movement type is allowed for this POS Profile.,この POS プロファイルでは現金移動タイプは許可されません。
No cashier PIN is set yet. Create one now.,レジ暗証番号はまだ設定されていません。今すぐ作成してください。
No cashier profiles are available for this POS profile yet.,この POS プロファイルにはまだレジ係プロファイルがありません。
No cashier-wise discount/void/return activity.,レジ係による割引/無効化/返品のアクティビティはありません。
No category data found.,カテゴリ データが見つかりません。
No category profitability data found.,カテゴリの収益性データが見つかりません。
No change returned recorded for this shift.,このシフトに関して記録された変更は返されませんでした。
No change-allocation invoices match the current filters.,現在のフィルタに一致する変更割り当て請求書はありません。
No charge head breakdown found.,チャージヘッドの故障は見つかりませんでした。
No Company Selected,会社が選択されていません
No customer sales data found.,顧客の販売データが見つかりません。
No day-wise discount/void/return trend.,日ごとの割引/無効/返品の傾向はありません。
No day-wise payment data found.,日単位の支払いデータが見つかりません。
No day-wise profitability trend found.,日ごとの収益性の傾向は見つかりませんでした。
No day-wise purchase data found.,日ごとの購入データは見つかりませんでした。
No day-wise sales trend found.,日別の販売傾向は見つかりませんでした。
No day-wise tax/charges trend found.,日ごとの税金/料金の傾向は見つかりませんでした。
No dead stock items.,デッドストック品はございません。
No due date,期限なし
No exact repair match found for this invoice,この請求書に正確に一致する修理は見つかりませんでした
No hourly sales trend found for today.,今日の時間当たりの売上トレンドは見つかりませんでした。
No invoice activity found.,請求書アクティビティが見つかりません。
No invoices found,請求書が見つかりません
No invoices found. Try different search criteria.,請求書が見つかりませんでした。別の検索条件を試してください。
No invoices recorded for this shift.,このシフトに対して記録された請求書はありません。
No item profitability data found.,品目の収益性データが見つかりません。
No item sales data found for this period.,この期間の商品販売データは見つかりませんでした。
No items found,項目が見つかりませんでした
No items in cart,カートに商品がありません
No items with barcodes to print,印刷するバーコードのある商品はありません
No location-wise top item data found.,場所別の上位アイテム データが見つかりません。
No low stock alerts right now.,現在、在庫不足のアラートはありません。
No low stock items.,在庫の少ない商品はございません。
No matching items in cart,カート内に一致する商品がありません
No month-wise sales trend found.,月ごとの売上推移は見つかりませんでした。
No negative stock items.,マイナス在庫品目はありません。
No notifications yet,まだ通知はありません
No offline cash movement synced.,オフラインの現金移動は同期されません。
No offline invoices pending synchronization,同期保留中のオフライン請求書はありません
No offline sync issues recorded yet.,オフライン同期の問題はまだ記録されていません。
No out-of-stock items.,在庫切れの商品はございません。
No outstanding credit invoices for this shift.,このシフトに対する未処理のクレジット請求書はありません。
No payment collection data found.,支払い回収データが見つかりません。
No payment rows available on this invoice.,この請求書には支払い行がありません。
No payments registered for this shift.,このシフトには支払いが登録されていません。
No pending balances in this period.,この期間に保留中の残高はありません。
No pending offline invoices,保留中のオフライン請求書はありません
No Print Formats Found,印刷フォーマットが見つかりません
No profiles found for selected scope. Falling back to current profile failed.,選択したスコープにプロファイルが見つかりません。現在のプロファイルへのフォールバックに失敗しました。
No recent customer activity found.,最近の顧客アクティビティは見つかりませんでした。
No recent stock entries found.,最近の株式エントリは見つかりませんでした。
No records found,記録が見つかりませんでした
No reorder suggestions right now.,現在、再注文の提案はありません。
No repeat customers in this period.,この期間中、リピーターはいません。
No response from server,サーバーからの応答がありません
No return invoices found,返品請求書が見つかりません
No return item trend found.,返品アイテムの傾向が見つかりませんでした。
No returnable items found for this invoice,この請求書には返品可能な商品が見つかりませんでした
No returns were processed in this shift.,このシフトでは返品は処理されませんでした。
No risk activity found.,リスクのあるアクティビティは見つかりませんでした。
No sales activity found for this period.,この期間の販売活動は見つかりませんでした。
No slow moving items.,動きの遅いアイテムはありません。
No staff sales activity found.,スタッフの営業活動は見つかりませんでした。
No stock movement for this period.,この期間の在庫の動きはありません。
No submitted cash movements in this shift.,このシフトでは提出された現金の移動はありません。
No supplier purchases found in this month.,今月はサプライヤーによる購入が見つかりませんでした。
No suppliers found for this period.,この期間のサプライヤーは見つかりませんでした。
No sync trigger has run yet in this session.,このセッションではまだ同期トリガーが実行されていません。
No tax head breakdown found.,納税頭数の内訳は見つかりませんでした。
No top items found for this location.,この場所のトップアイテムは見つかりませんでした。
No unpaid invoices,未払いの請求書はありません
No variant data found.,バリアント データが見つかりません。
No week-wise sales trend found.,週ごとの売上傾向は見つかりませんでした。
No.,いいえ。
Nobile Number,貴族の数
Not available,利用できません
Not checked,未チェック
Not selected,未選択
Not Set,未設定
Notifications,通知
Offer,オファー
Offer Applied,オファーが適用されました
Offer criteria exceeded,オファー基準を超えています
Offer Item,オファーアイテム
Offer item unavailable,オファーアイテムは利用できません
Offer Removed,オファーが削除されました
Offer UOM cannot be changed,オファー単位は変更できません
Offer?,オファーしますか？
Offers,オファー
Offline,オフライン
Offline & Sync,オフラインと同期
Offline Capabilities,オフライン機能
Offline data status refreshed,オフラインデータステータスが更新されました
Offline diagnostics,オフライン診断
Offline Invoices,オフライン請求書
Offline invoices status,オフライン請求書のステータス
Offline invoices synced,オフラインの請求書が同期されました
Offline Queue: {0},オフラインキュー: {0}
Offline rebuild guidance,オフライン再構築のガイダンス
Offline restore is unavailable for this session.,このセッションではオフライン復元は利用できません。
Offline selling is available with degraded capabilities.,オフライン販売は、機能が低下しても利用できます。
Offline snapshot does not match the current POS state.,オフライン スナップショットは現在の POS 状態と一致しません。
Offline Status,オフラインステータス
"Offline, terminal, and system controls",オフライン、端末、およびシステム制御
OK,OK
Online,オンライン
Open actions menu,アクションメニューを開く
Open balance to collect,オープン残高を集めてください
Open Customer Display,カスタマーディスプレイを開く
Open drawer,引き出しを開ける
Open invoices,オープン請求書
Open Payments?,支払いをオープンしますか?
Open POS home,POSホームを開く
Open this screen from POS Menu -> Open Customer Display.,この画面は、POSメニュー→カスタマーディスプレイを開くから開きます。
OpenCV image processing enabled - Enhanced barcode detection,OpenCV 画像処理が有効 - 強化されたバーコード検出
OpenCV image processing unavailable on this device,このデバイスでは OpenCV 画像処理を利用できません
OpenCV Off,OpenCV オフ
OpenCV On,OpenCV オン
OpenCV processing disabled,OpenCV 処理が無効になっています
Opening Amount,開口量
Opening Cash,オープニングキャッシュ
options,オプション
Order,注文
Original,オリジナル
Other,その他
Out,アウト
Out of Stock,在庫切れ
Out of Stock Items,在庫切れ商品
Outstanding,優れた
Outstanding Credit by Currency,通貨別の信用残高
Overdue,期限を過ぎました
Overpayment Change,過払い金の変更
Overpayment change deducted: {0},過払いの変更が差し引かれました: {0}
Packing List,パッキングリスト
Page Format,ページ形式
Page unavailable offline,ページはオフラインでは利用できません
Paid,有料
Paid (orig):,有料（オリジナル）：
Paid Amount,支払額
Paid change cannot be greater than total change!,支払われるお釣りは、お釣りの総額を超えることはできません。
Paid:,有料:
Parent Item,親アイテム
Partial,部分的
Partly Paid,一部有料
Party Account,パーティーアカウント
Party Type,パーティータイプ
Pause terminal until next cashier,次のレジ係までターミナルを一時停止する
PAY,支払う
Payment,お支払い
Payment Account,支払いアカウント
Payment entries processed for Invoice {0},請求書 {0} の支払いエントリが処理されました
Payment Entry Type,支払い入力タイプ
Payment History,支払い履歴
Payment ID,支払いID
Payment Method Report,支払方法レポート
Payment Methods,支払い方法
Payment of {0} received successfully.,{0} の支払いが正常に受領されました。
Payment Progress,支払いの進捗状況
Payment Reconciliation,支払いの調整
Payment request status could not be retrieved. Please try again,支払いリクエストのステータスを取得できませんでした。もう一度試してください
Payment Request took too long to respond. Please try requesting for payment again,支払いリクエストの応答に時間がかかりすぎました。もう一度支払いリクエストをお試しください
Payment saved offline,支払いはオフラインで保存されました
Payment State,支払い状態
Payment Status,支払い状況
Payment submitted but print function could not be executed. Payment name not found.,支払いは送信されましたが、印刷機能を実行できませんでした。支払い名が見つかりません。
Payment submitted.,支払いが送信されました。
Payment Summary,お支払い概要
Payments,支払い
Payments are not open. Do you want to open payments and submit?,支払いはオープンされていません。支払いを開始して送信しますか?
Payments by Mode of Payment,支払い方法別の支払い
PDF,PDF
Peak Hour,ピーク時間帯
Peak Memory:,ピークメモリ:
Peak Server:,ピークサーバー:
Peak:,ピーク:
Pending,保留中
Pending Amount,保留中の金額
Pending count updated from {0} to {1},保留中の数が {0} から {1} に更新されました
Pending Exposure,公開保留中
Pending Invoices,保留中の請求書
Pending Ratio,保留中の比率
Pending Sales,保留中の販売
Pending sales: {0} | Cache usage: {1}%,保留中の販売: {0} |キャッシュ使用率: {1}%
Pending Sync,保留中の同期
Pending: {0},保留中: {0}
Pending: {0} | Synced: {1} | Draft: {2},保留中: {0} |同期済み: {1} |ドラフト: {2}
Per Page,ページごと
Personal,個人的な
Personal preferences adjust the current cashier experience without changing the active POS route.,個人の好みにより、アクティブな POS ルートを変更することなく、現在のレジのエクスペリエンスが調整されます。
PIN confirmation does not match.,PIN の確認が一致しません。
PIN must be 4 to 8 digits.,PIN は 4 ～ 8 桁である必要があります。
Please add at least one item.,少なくとも 1 つの項目を追加してください。
Please allow camera access to scan codes,カメラによるコードのスキャンへのアクセスを許可してください
Please enter payment amount,お支払い金額を入力してください
Please fill all required fields,必須フィールドをすべて入力してください
Please make a payment or select a payment,支払いを行うか、支払いを選択してください
Please request phone payment or use another payment method,電話による支払いをリクエストするか、別の支払い方法を使用してください
Please select a customer first,最初に顧客を選択してください
Please select a party,パーティーを選択してください
Please select a party before reconciling.,和解する前にパーティーを選択してください。
Please select a valid movement type.,有効な移動タイプを選択してください。
Please select an invoice,請求書を選択してください
Please select company before reconciling.,調整する前に会社を選択してください。
Please set the customer's mobile number,お客様の携帯電話番号を設定してください
Please try again or enter the item manually.,もう一度お試しいただくか、手動で項目を入力してください。
Please verify the barcode or check the item's availability.,バーコードを確認するか、商品の在庫状況をご確認ください。
Points,ポイント
Popup blocked. Please allow popups.,ポップアップがブロックされました。ポップアップを許可してください。
POS,POS
POS controls and maintenance,POSの管理とメンテナンス
POS Expense is disabled for this POS Profile.,この POS プロファイルでは POS Expense が無効になっています。
POS is running with limited offline prerequisites.,POS は、限られたオフライン前提条件で実行されています。
POS Profile,POSプロファイル
Position the QR code or barcode within the scanning area,QRコードまたはバーコードをスキャン領域内に配置します
Posting,投稿する
Posting and Price List,投稿と価格表
Posting Date,投稿日
Preparing background sync,バックグラウンド同期の準備中
"Press OK to continue offline with a warning, or Cancel to retry.",警告を表示してオフラインを続行するには [OK] を、再試行するには [キャンセル] を押してください。
Previous unit of measure,以前の測定単位
Price List,価格表
Price List Rate,料金表料金
Price list rate updated locally only,価格表レートはローカルでのみ更新されます
Pricing & Discounts,価格と割引
Pricing Rule,価格設定ルール
Print,印刷する
Print Draft,ドラフトを印刷する
Print Format (Invoice),印刷フォーマット（請求書）
Print Format (Order),印刷フォーマット（オーダー）
Print invoice,請求書の印刷
Print Purchase Invoice instead of PO,POの代わりに購入請求書を印刷
Printer,プリンター
Processed returns impacting the shift totals,シフト合計に影響を与える処理済み返品
Processing Payment,支払いの処理中
Processing payment entries for Invoice {0},請求書 {0} の支払いエントリを処理しています
Profile,プロフィール
Profiles,プロフィール
Profit,利益
Profit: Invoice Item Estimate,利益: 請求書項目の見積り
Profit: Stock Ledger (COGS),利益: 株式元帳 (COGS)
Profitability Report,収益性レポート
Prorated return discount,日割り返品割引
Purchase Amount,購入金額
Purchase Invoices,購入請求書
Purchase Order created,注文書が作成されました
Qty,数量
Qualified,資格のある
Quantity,数量
Quantity exceeds available stock,数量が利用可能な在庫を超えています
Quick Actions,クイックアクション
Quotation {0} is Submitted,見積書 {0} が送信されました
Quotation submitted,見積書の提出
QZ Tray connected.,QZトレイが接続されました。
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ トレイが手動で切断されました。再度有効にするには、[接続] を押します。
QZ Tray is not connected.,QZトレイが接続されていません。
QZ Tray Setup,QZトレイのセットアップ
Rate,料金
Rate adjusted to maximum allowed discount,許可される最大割引率に調整されたレート
Ready,準備完了
Ready to resume,再開の準備完了
Ready!,準備完了！
Real-time POS insights for retail operations.,小売業向けのリアルタイム POS 洞察。
Rebuild Offline Data,オフラインデータの再構築
Receive,受信
Receive now,今すぐ受け取る
Received,受け取りました
Received:,受信:
Recent Movement Entries,最近の動きのエントリ
Recent updates about your invoices,請求書に関する最近の更新情報
Recently Active Customers,最近アクティブな顧客
Rechecking connection,接続を再確認しています
Reconcile payment methods and close shift,支払い方法を調整し、シフトを締める
Reconciling Payments,支払いの調整
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",オンライン中に再接続してこのページを一度開くと、オフラインで更新すると復元できます。
Reconnect online to refresh cached offline data from the server.,オンラインで再接続して、サーバーからキャッシュされたオフライン データを更新します。
Recreate local offline prerequisites from scratch,ローカルのオフライン前提条件を最初から再作成する
Recv:,受信:
Redeem,引き換える
Redeem / Scan,引き換え/スキャン
Redeem Amount,引き換え額
Redeem Mode,引き換えモード
Redeemed Amount,償還額
Redeemed credit cannot be greater than its total.,引き換えられるクレジットはその合計を超えることはできません。
Redemption and Totals,償還と合計
Reference,参考資料
Refresh,リフレッシュ
Refresh Exchange Rate,為替レートを更新する
Refresh Offline Data,オフラインデータを更新する
Refresh Printers,プリンターを更新する
Refund,払い戻し
Release Notes,リリースノート
Reload,リロード
Reload customers,顧客をリロードする
Reload Items,アイテムをリロードする
Reload Now,今すぐリロード
Reload to apply the latest changes. Your current session will be refreshed.,最新の変更を適用するには、リロードします。現在のセッションが更新されます。
Reload Workflow,リロードワークフロー
Remarks,備考
Remarks are required.,備考は必須です。
Remove,削除
Remove barcode item,バーコード項目を削除する
Remove cached data and reload the POS app,キャッシュされたデータを削除し、POS アプリをリロードします
Remove item,アイテムを削除する
Remove Offer,オファーを削除する
Reorder / Purchase Suggestions,再注文/購入の提案
Repair Candidate,修理候補
Repair Change Allocation,修理変更の割り当て
Repair requires an online connection,修復にはオンライン接続が必要です
Repaired,修理済み
Repairing change allocation,変更割り当ての修復
Repeat Customers,リピートのお客様
Repeat Rate,リピート率
Request,リクエスト
Request ID: {0},リクエストID: {0}
Request Payment,支払いのリクエスト
Requested route: {0},リクエストされたルート: {0}
Required columns cannot be hidden,必須列は非表示にできません
Reset,リセット
Reset item name,項目名をリセット
Reset to Default,デフォルトにリセット
Resource Health,リソースの健全性
Restricted,制限付き
Restricted operational controls for supervisors only.,操作制御はスーパーバイザーのみに限定されます。
Retry,再試行
Retry route,リトライルート
Return,戻る
Return Amount,返金額
Return Count,返品数
Return items must have negative quantities,返品商品にはマイナスの数量が必要です
Return total must be negative,戻り値の合計は負でなければなりません
Return Valid Until,返却期限まで
Return window passed,返品期間を過ぎました
Return without Invoice,請求書なしで返品する
Returns,返品
Returns / Voids / Discounts,返品/無効/割引
Returns by Currency,通貨別の返品
Revenue,収益
Review shift totals before submitting the closing entry,締めエントリーを提出する前にシフト合計を確認してください
Round Off,四捨五入
Rows,行
Rows:,行:
Rule,ルール
Sale,セール
Sales,販売
Sales Order {0} is Submitted,販売注文 {0} が送信されました
Sales Person and Print,営業担当者と印刷物
Sales Person not found,営業担当者が見つかりません
Sales processed,売上処理済み
Sales Return,売上収益
Sales Trend Report,売上動向レポート
Save,保存
Save & Clear,保存してクリア
Save as POS Profile Default,POS プロファイルのデフォルトとして保存
Save Settings,設定の保存
Save the selected printer as the POS Profile default so it shows automatically on this setup.,選択したプリンターをデフォルトの POS プロファイルとして保存すると、この設定で自動的に表示されます。
Saved as draft because: {0},下書きとして保存された理由: {0}
Saving...,保存中...
Scale barcode detected. Quantity here is the number of labels to print.,スケールバーコードが検出されました。ここでの数量は、印刷するラベルの数です。
Scale barcode settings are not configured. Using item barcode only.,スケールバーコード設定が構成されていません。商品バーコードのみを使用します。
Scale template barcode is missing for this item/UOM. Using item barcode only.,この品目/単位にはスケール テンプレート バーコードがありません。商品バーコードのみを使用します。
Scan an existing card and top it up without leaving the payment flow.,既存のカードをスキャンして、支払いフローを離れることなくチャージします。
Scan Error,スキャンエラー
Scan or enter a gift card code to check balance or redeem.,ギフト カード コードをスキャンまたは入力して、残高を確認するか引き換えます。
Scan or paste the card code below.,以下のカードコードをスキャンまたは貼り付けてください。
Scan QR Code/Barcode,QRコード/バーコードをスキャンします
Scan with camera,カメラでスキャン
Scan-First Flow,スキャンファーストフロー
Scanned Code:,スキャンされたコード:
Scanning for: {0},スキャン中: {0}
Scanning items,アイテムのスキャン
Scan-Ready,スキャン準備完了
Scope,範囲
Scope: All Profiles,範囲: すべてのプロファイル
Scope: Current Profile,範囲: 現在のプロファイル
Scope: Specific Profile,範囲: 特定のプロファイル
Search,検索
Search Account,アカウントの検索
Search an invoice and continue the return flow without extra steps.,請求書を検索し、追加の手順を行わずに返品フローを続行します。
Search customer,顧客を検索
Search invoices or customers,請求書や顧客を検索する
Search item,検索項目
Search item / code,検索項目・コード
Search items or barcode,商品またはバーコードを検索する
Search Mpesa Payments,Mpesa の支払いを検索
Search return invoices or customers,返品請求書または顧客を検索する
Search supplier,サプライヤーを検索
Search unpaid invoices or customers,未払いの請求書または顧客を検索する
Secure context (HTTPS or localhost) is required for camera access.,カメラへのアクセスには安全なコンテキスト (HTTPS または localhost) が必要です。
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,カメラへのアクセスにはセキュア コンテキスト (HTTPS) が必要です。カメラにアクセスするにはHTTPSを使用してください。
Select,選択
Select a cashier first.,まずレジを選択します。
Select a customer,顧客を選択してください
Select a customer to use coupon,クーポンを使用する顧客を選択してください
Select a printer to use QZ silent printing.,QZサイレント印刷を使用するプリンターを選択します。
Select Batch,バッチの選択
Select Columns to Display,表示する列の選択
Select items to sell,販売する商品を選択してください
Select Payment,お支払いを選択してください
Select Payment Account,支払いアカウントを選択してください
Select printer,プリンターの選択
Select Return Invoice,請求書の返送を選択してください
Select S.O,S.Oを選択してください
Select Sales Orders,販売注文の選択
Select the cashier who is taking over this terminal.,この端末を引き継ぐレジ担当者を選択します。
Selected,選択済み
Selected movement type is not allowed by POS Profile.,選択した移動タイプは POS プロファイルで許可されていません。
Selected Payments,選択した支払い
Sensitive actions kept away from quick taps.,敏感なアクションは素早いタップから遠ざけてください。
Serial,シリアル
Serial Numbers,シリアル番号
Server CPU Usage:,サーバーの CPU 使用率:
Server Health,サーバーの状態
Server Memory Usage:,サーバーのメモリ使用量:
Server Metrics,サーバーメトリクス
Server Uptime:,サーバー稼働時間:
Service Charges,サービス料
Session,セッション
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ユーザー フォームで各レジの PIN を設定し、POS プロファイル ユーザーで端末メンバーを割り当てたままにします。
Settings,設定
Settings in this section update the POS workspace without changing the current route.,このセクションの設定により、現在のルートを変更せずに POS ワークスペースが更新されます。
Setup complete!,セットアップ完了！
Share,シェアする
Shared terminal,共用端末
Shift Closed Snapshot,シフトクローズドスナップショット
Shift Overview,シフト概要
Show,表示する
Show cart on customer-facing screen,顧客向け画面にカートを表示する
Show last invoice rate,最後の請求書レートを表示
Show rate info,料金情報を表示する
Show Repair Candidates,修理候補を表示
Show search tools,検索ツールを表示する
Show the active cart on a customer-facing screen,顧客向け画面にアクティブなカートを表示する
Showing {0}-{1} of {2},{2}中{0}～{1}を表示中
Showing 0 of 0,0 件中 0 件を表示
Shows the distribution of invoices per currency,通貨ごとの請求書の分布を示します
Sign out of the current POS session,現在の POS セッションからサインアウトします
Size:,サイズ:
Skipped Payments,スキップされた支払い
Skipping items without barcodes,バーコードのない商品をスキップする
Slow Moving,ゆっくりとした動き
Slow Moving Items,動きの遅いアイテム
Slow Queries:,遅いクエリ:
Sold,販売済み
Source,ソース
Source Cash Account (Optional Override),ソース現金口座 (オプションの上書き)
Source Ex. Rate:,ソース例Rate:
Source Rate:,ソースレート:
Specific Profile,特定のプロファイル
Split Invoices,分割請求書
Staff / Cashier Performance Report,スタッフ/レジ係のパフォーマンスレポート
Status,ステータス
Stock,在庫
Stock Information,株式情報
Stock is lower than requested,在庫が要求よりも少ない
Stock is lower than requested:\n{0},在庫が要求よりも少ないです:\n{0}
Stock Movement Report,在庫変動レポート
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,在庫更新: {0} には {1} が在庫あります。 {2} を追加すると、在庫はゼロ以下になります。
Submit,提出する
Submit & Print,送信して印刷
Submit Deposit,デポジットを送信する
Submit Expense,経費の提出
Submitted,提出済み
Submitted Cash Movements,提出された現金の移動
Submitted entries,提出されたエントリー
Successfully scanned:,正常にスキャンされました:
Suggested,提案された
Suggested Qty,推奨数量
Supervisor Access,スーパーバイザーのアクセス
Supervisor permissions unlock issuance and reloads,スーパーバイザー権限による発行とリロードのロック解除
Supervisor Tools,スーパーバイザーツール
Supplier,サプライヤー
Supplier and dates are required.,サプライヤーと日付は必須です。
Supplier Invoices,サプライヤーの請求書
Supplier is required.,サプライヤーは必須です。
Supplier name is required,サプライヤー名は必須です
Supplier Payments,サプライヤーの支払い
Supplier Purchase Summary,サプライヤーの購入概要
Suppliers,サプライヤー
Suppliers not found,サプライヤーが見つかりません
Switch Camera,カメラを切り替える
Switch Cashier,スイッチレジ
Switch the POS appearance theme,POS 外観テーマを切り替える
Switched to:,に切り替えました:
Sync All Invoices,すべての請求書を同期する
Sync Offline Cash Movements ({0}),オフラインの現金移動を同期 ({0})
Sync Offline Sales,オフライン販売を同期する
Synced {0} offline cash movement(s).,{0} 個のオフライン現金移動を同期しました。
Syncing items in background,バックグラウンドでのアイテムの同期
System / Diagnostics,システム/診断
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",システム アクションは、アプリ情報、サポート診断、セッション制御などの低頻度のメンテナンス制御です。
System Information,システム情報
System Status,システムステータス
Tables:,テーブル:
Tap the button below to redeem a gift card during checkout.,チェックアウト時に下のボタンをタップしてギフトカードを引き換えてください。
Target,ターゲット
Target Ex. Rate:,対象例料金:
Target Rate:,目標レート:
Tax,税金
Tax / Charges Report,税金/料金レポート
Tax Heads,税務署長
Taxable Amount,課税対象額
Tendered,入札されました
Terminal,ターミナル
Terminal & Devices,端末とデバイス
Terminal locked,端末ロック中
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",ターミナル ツールは、このチェックアウト ステーション、顧客向けディスプレイ、および将来のプリンター/デバイスの制御に影響を与えます。
Territory not found,テリトリーが見つかりません
The amount paid is not complete,支払額が完了していません
The app stores data locally for offline use. This is called cache.,アプリはオフラインで使用できるようにデータをローカルに保存します。これをキャッシュと呼びます。
The invoice stayed in draft. Please review and submit it manually.,請求書は下書きのままでした。手動で確認して送信してください。
The maximum discount allowed is,許可される最大割引は
The quantity for {0} has been adjusted to the maximum available stock.,{0} の数量は、利用可能な最大在庫に合わせて調整されました。
The system could not retrieve the item details. Please try again.,システムはアイテムの詳細を取得できませんでした。もう一度試してください。
These invoices will be synced when connection is restored,これらの請求書は、接続が復元されると同期されます
This action now opens inside the settings workspace.,このアクションは設定ワークスペース内で開きます。
This coupon already used !,このクーポンはすでに使用されています!
This invoice does not need change-allocation repair,この請求書には変更配分の修正は必要ありません
This invoice is already repaired,この請求書はすでに修復されています
This is an item template. Please choose a variant.,アイテムのテンプレートです。バリエーションを選択してください。
this item,このアイテム
This POS page could not be opened offline because its code was not cached on this terminal yet.,コードがこの端末にまだキャッシュされていないため、この POS ページをオフラインで開くことができませんでした。
This Serial Number {0} has already been added!,このシリアル番号 {0} はすでに追加されています。
Threshold,しきい値
Time,時間
Tip: Clear cache regularly to free up space and keep the app fast.,ヒント: キャッシュを定期的にクリアしてスペースを解放し、アプリの高速性を維持します。
Tip: Close unused tabs or apps to reduce lag.,ヒント: 遅延を軽減するには、使用していないタブまたはアプリを閉じてください。
Tip: Monitor slow queries and table size for optimal performance.,ヒント: 最適なパフォーマンスを得るために、遅いクエリとテーブル サイズを監視します。
To Be Paid,支払い予定
To Date,現在まで
Today,今日
Today Profit,今日の利益
Today Sales,今日の売上
Toggle navigation drawer,ナビゲーションドロワーを切り替えます
Toggle Theme,テーマの切り替え
Tools,ツール
Tools for customer-facing screens and terminal-specific actions.,顧客向けの画面と端末固有のアクションのためのツール。
Top Brand,トップブランド
Top Category,トップカテゴリー
Top Charge Head,トップチャージヘッド
Top Customers,上位顧客
Top Discount,トップディスカウント
Top Items by Location,場所別の上位アイテム
Top Margin,上マージン
Top Pending,上位保留中
Top Profit Item,最高利益品目
Top Return Items,上位の返品商品
Top Sales by Cashier,レジ係別のトップセールス
Top Supplier,トップサプライヤー
Top Suppliers by Spend,支出額別上位サプライヤー
Top Tables,トップテーブル
Top Tax Head,最高税務責任者
Top Up Amount,チャージ金額
Top Up Card,トップアップカード
Top Up Mode,補充モード
Top Variant,トップバリアント
Total,合計
Total Amount,合計金額
Total Change,合計の変化
Total Charges,合計料金
Total In,合計入力
Total Invoices,合計請求額
Total Items,総アイテム数
Total Mpesa,トータル・ムペサ
Total Out,トータルアウト
Total Payments,支払総額
Total Purchase,購入総額
Total Selected :,選択された合計:
Total Size,合計サイズ
Total Stock Qty,総在庫数
Total:,合計:
Totals by Invoice Currency,請求書通貨別の合計
Track how much cash was handed back to customers,顧客に返された現金の額を追跡する
"Track recent sales, collect unpaid balances, and reopen saved work",最近の売上を追跡し、未払い残高を回収し、保存した作業を再度開きます
Transaction ID,トランザクションID
Transfer,転送
Try a different search term or clear the cart search.,別の検索語を試すか、カートの検索をクリアしてください。
Try adjusting your search or filters,検索またはフィルターを調整してみてください
Try another source or refresh the list.,別のソースを試すか、リストを更新してください。
Try changing the date range or status filter.,日付範囲またはステータス フィルターを変更してみてください。
Type,タイプ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,基本設定でもカメラにアクセスできません。カメラの許可とデバイスの互換性を確認してください。
Unable to add offer item {0}. Please refresh and try again.,オファーアイテム {0} を追加できません。更新してもう一度お試しください。
Unable to add offer item. Please refresh and try again.,オファーアイテムを追加できません。更新してもう一度お試しください。
Unable to add scanned item.,スキャンしたアイテムを追加できません。
Unable to create purchase order,注文書を作成できません
Unable to delete draft invoice,下書き請求書を削除できません
Unable to fetch documents,ドキュメントを取得できません
Unable to fetch draft orders,下書き注文を取得できません
Unable to fetch invoice history,請求書履歴を取得できません
Unable to fetch M-Pesa payments,M-Pesa の支払いを取得できません
Unable to fetch sales orders,販売注文を取得できません
Unable to fetch unpaid invoices,未払いの請求書を取得できません
Unable to generate scale barcode,スケールバーコードを生成できません
Unable to issue gift card.,ギフトカードを発行できません。
Unable to load cashier PIN status.,レジの PIN ステータスをロードできません。
Unable to load document,ドキュメントをロードできません
Unable to load draft invoice,請求書草案を読み込めません
Unable to load gift card balance.,ギフトカードの残高を読み込むことができません。
Unable to load invoice details,請求書の詳細をロードできません
Unable to load parked order,保留中の注文をロードできません
Unable to load the selected sales order,選択した販売注文をロードできません
Unable to prepare document,書類を準備できません
Unable to prepare return invoice,返品請求書を準備できません
Unable to print draft invoice,請求書草案を印刷できません
Unable to print submitted invoice,送信された請求書を印刷できません
Unable to process document action,ドキュメントアクションを処理できません
Unable to repair change allocation,変更割り当てを修復できません
