POS Awesome,POS Φοβερό
Failed to load cash movement context.,Απέτυχε η φόρτωση του περιβάλλοντος κίνησης μετρητών.
Failed to load dashboard data.,Αποτυχία φόρτωσης δεδομένων πίνακα ελέγχου.
Failed to reload invoice from server,Αποτυχία επαναφόρτωσης τιμολογίου από τον διακομιστή
Failed to submit cash movement,Αποτυχία υποβολής κίνησης μετρητών
Failed to sync offline cash movements,Αποτυχία συγχρονισμού κινήσεων μετρητών εκτός σύνδεσης
Fast cashier actions for active shifts.,Γρήγορες ενέργειες ταμείου για ενεργές βάρδιες.
Fast Moving Items,Αντικείμενα γρήγορης κίνησης
Fees,Τέλη
Fetch the latest offline prerequisite updates,Λάβετε τις πιο πρόσφατες προαπαιτούμενες ενημερώσεις εκτός σύνδεσης
Find a sales order quickly and load it into the current sale.,Βρείτε γρήγορα μια παραγγελία πώλησης και φορτώστε την στην τρέχουσα πώληση.
Fixing payment amounts for return invoice...,Καθορισμός ποσών πληρωμής για τιμολόγιο επιστροφής...
Flash Off,Απενεργοποίηση φλας
Flash On,Αναβοσβήνει
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Για τα είδη «Δέσμη προϊόντος», η αποθήκη, ο σειριακός αριθμός και ο αριθμός παρτίδας θα ληφθούν υπόψη από τον πίνακα «Λίστα συσκευασίας». Εάν η αποθήκη και ο αριθμός παρτίδας είναι ίδιοι για όλα τα είδη συσκευασίας για οποιοδήποτε είδος «Δέσμη προϊόντος», αυτές οι τιμές μπορούν να εισαχθούν στον κύριο πίνακα αντικειμένων. Οι τιμές θα αντιγραφούν στον πίνακα ""Λίστα συσκευασίας""."
Free,Δωρεάν
Free Qty,Δωρεάν Ποσ
Frequency,Συχνότητα
from,από
From Date,Από Ημερομηνία
Fulfillment Details,Λεπτομέρειες Εκπλήρωσης
Full Name,Πλήρες Όνομα
Gain,Κέρδος
Generate a fresh prepaid card and start it with an opening balance.,Δημιουργήστε μια νέα προπληρωμένη κάρτα και ξεκινήστε την με ένα αρχικό υπόλοιπο.
Generate and install the certificate to allow fully silent printing without trust prompts.,Δημιουργήστε και εγκαταστήστε το πιστοποιητικό για να επιτρέψετε την πλήρως αθόρυβη εκτύπωση χωρίς προτροπές εμπιστοσύνης.
Generate Certificate,Δημιουργία Πιστοποιητικού
Generated scale barcode: {0},Γραμμωτός κώδικας κλίμακας που δημιουργήθηκε: {0}
Get Payments,Λάβετε πληρωμές
Gift Card,Δωροκάρτα
Gift card amount must be greater than zero.,Το ποσό της δωροκάρτας πρέπει να είναι μεγαλύτερο από μηδέν.
Gift Card Code,Κωδικός δωροκάρτας
Gift card code is required for redemption,Για την εξαργύρωση απαιτείται κωδικός δωροκάρτας
Gift card code is required.,Απαιτείται κωδικός δωροκάρτας.
Gift card issued successfully.,Η δωροκάρτα εκδόθηκε με επιτυχία.
Gift card loaded successfully.,Η δωροκάρτα φορτώθηκε με επιτυχία.
Gift Card Management,Διαχείριση δωροκάρτας
Gift card payment,Πληρωμή με κάρτα δώρου
Gift card redemption requires an online connection,Η εξαργύρωση δωροκάρτας απαιτεί σύνδεση στο διαδίκτυο
Gift card topped up successfully.,Η δωροκάρτα συμπληρώθηκε με επιτυχία.
Gift Cards,Δωροκάρτες
Go to Frappe Desk,Μεταβείτε στο Frappe Desk
Grand Total,Μεγάλο Σύνολο
Gross Margin,Μικτό Περιθώριο
Gross Profit,Μικτό Κέρδος
Gross Sales,Ακαθάριστες Πωλήσεις
Group not found,Η ομάδα δεν βρέθηκε
"Grouped controls for terminal, UI, and session settings.","Ομαδοποιημένα στοιχεία ελέγχου για ρυθμίσεις τερματικού, διεπαφής χρήστη και περιόδου σύνδεσης."
Grouped totals for each payment method and currency,Ομαδοποιημένα σύνολα για κάθε τρόπο πληρωμής και νόμισμα
Hide,Απόκρυψη
Hide Gift Card,Απόκρυψη δωροκάρτας
Hide Non Essential Fields,Απόκρυψη μη βασικών πεδίων
Hide quantity decimals,Απόκρυψη δεκαδικών ποσοτήτων
Hide search tools,Απόκρυψη εργαλείων αναζήτησης
Hide zero rated items,Απόκρυψη στοιχείων μηδενικής βαθμολογίας
High,Ψηλά
History,Ιστορία
Hourly (Today),Ωριαία (σήμερα)
How this section works,Πώς λειτουργεί αυτή η ενότητα
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Εάν παραμείνουν μπαγιάτικα δεδομένα, ανοίξτε τις Ρυθμίσεις > Εκτός σύνδεσης και συγχρονισμός και εκτελέστε ξανά την Ανοικοδόμηση δεδομένων εκτός σύνδεσης ενώ είστε συνδεδεμένοι."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Εάν η προειδοποίηση επιμένει, ανοίξτε τις Ρυθμίσεις > Εκτός σύνδεσης και συγχρονισμός και, στη συνέχεια, εκτελέστε Ανανέωση δεδομένων εκτός σύνδεσης ή Ανοικοδόμηση δεδομένων εκτός σύνδεσης."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,Εισαγάγετε το πιστοποιητικό στο QZ Tray και επανεκκινήστε το QZ Tray σε κάθε μηχάνημα POS.
In,Σε
In stock: {0},Σε απόθεμα: {0}
Include Batch / Serial,Συμπεριλάβετε Μαζική / Σειριακή
Include Price,Συμπεριλάβετε την τιμή
Increase quantity,Αυξήστε την ποσότητα
IndexedDB,IndexedDB
Initial Amount,Αρχικό Ποσό
Initialize your shift with opening balances,Αρχικοποιήστε τη βάρδιά σας με ανοιχτά υπόλοιπα
Initializing application...,Αρχικοποίηση εφαρμογής...
"Inspect cache, sync, and prerequisite status","Επιθεωρήστε την προσωρινή μνήμη, τον συγχρονισμό και την κατάσταση προαπαιτούμενων"
Installed Applications,Εγκατεστημένες Εφαρμογές
Insufficient stock:\n{0},Ανεπαρκές απόθεμα:\n{0}
Invalid rate,Μη έγκυρη τιμή
Inventory Status Report,Αναφορά κατάστασης αποθέματος
Invoice,Τιμολόγιο
Invoice {0} is Submitted,Το τιμολόγιο {0} υποβλήθηκε
Invoice {0} processed successfully,Η επεξεργασία του τιμολογίου {0} ολοκληρώθηκε με επιτυχία
Invoice {0} submission failed,Η υποβολή τιμολογίου {0} απέτυχε
Invoice {0} was already submitted,Το τιμολόγιο {0} υποβλήθηκε ήδη
Invoice Adjustments,Προσαρμογές τιμολογίων
Invoice Change,Αλλαγή Τιμολογίου
Invoice Details,Στοιχεία Τιμολογίου
Invoice is still in draft after background submission.,Το τιμολόγιο είναι ακόμα σε προσχέδιο μετά την υποβολή του ιστορικού.
Invoice Items,Είδη τιμολογίου
Invoice Management,Διαχείριση Τιμολογίων
Invoice Mgmt,Τιμολόγιο Mgmt
Invoice saved offline,Το τιμολόγιο αποθηκεύτηκε εκτός σύνδεσης
Invoice submission failed,Η υποβολή τιμολογίου απέτυχε
Invoice Submitted,Το τιμολόγιο υποβλήθηκε
"Invoice value settled by loyalty points, not cash collection","Η αξία τιμολογίου διακανονίζεται με πόντους επιβράβευσης, όχι με είσπραξη μετρητών"
Invoices,τιμολόγια
Invoices already past due date,Τιμολόγια έχουν ήδη λήξει
Invoices saved as POS Invoices,Τα τιμολόγια αποθηκεύτηκαν ως τιμολόγια POS
Invoices still carrying balances,Τα τιμολόγια εξακολουθούν να φέρουν υπόλοιπα
Issue Mode,Λειτουργία θέματος
Issue New Card,Έκδοση νέας κάρτας
Issue Workflow,Ροή εργασιών θέματος
"Issue, top up, and check","Έκδοση, συμπλήρωση και έλεγχος"
Item,Στοιχείο
Item / Product Sales Report,Αναφορά πωλήσεων αντικειμένου / προϊόντος
Item {0} added to invoice,Το στοιχείο {0} προστέθηκε στο τιμολόγιο
Item '{0}' has no barcode,"Το στοιχείο ""{0}"" δεν έχει γραμμωτό κώδικα"
Item Code,Κωδικός είδους
Item created successfully,Το στοιχείο δημιουργήθηκε με επιτυχία
Item is out of stock,Το προϊόν έχει εξαντληθεί
Item Name,Όνομα αντικειμένου
Item not found,Το στοιχείο δεν βρέθηκε
Item order updated,Η παραγγελία προϊόντος ενημερώθηκε
Item Selector Settings,Ρυθμίσεις επιλογέα αντικειμένου
Items,Είδη
Items added in POS will appear here automatically.,Τα στοιχεία που προστέθηκαν στο POS θα εμφανιστούν εδώ αυτόματα.
Items added to invoice,Αντικείμενα που προστέθηκαν στο τιμολόγιο
Items per page,Στοιχεία ανά σελίδα
Items Sold,Είδη Πουλήθηκαν
Items/Invoice,Είδη/Τιμολόγιο
Item-wise Profitability,Κερδοφορία σε σχέση με τα είδη
Journal Entry,Καταχώριση Ημερολογίου
json,json
Just now,Μόλις τώρα
Keep offline prerequisites healthy and recover stale data safely.,Διατηρήστε τα προαπαιτούμενα εκτός σύνδεσης υγιή και ανακτήστε μπαγιάτικα δεδομένα με ασφάλεια.
Labels,Ετικέτες
"Language, theme, terminal tools, and session controls.","Γλώσσα, θέμα, εργαλεία τερματικού και στοιχεία ελέγχου περιόδου σύνδεσης."
Last,Τελευταίο
Last 14 Days (Paid vs Pending),Τελευταίες 14 ημέρες (με πληρωμή έναντι εκκρεμότητας)
Last 14 Days Activity,Δραστηριότητα των τελευταίων 14 ημερών
Last 14 Days Gross Profit,Μικτό κέρδος τελευταίων 14 ημερών
Last 14 Days Purchases,Αγορές των τελευταίων 14 ημερών
Last 14 Days Tax/Charges,Φόρος/Χρεώσεις των τελευταίων 14 ημερών
Last sync:,Τελευταίος συγχρονισμός:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Τελευταίος συγχρονισμός: {0} | εντάξει: {1} | απέτυχε: {2} | παράβλεψη: {3}
Latest entries for current shift,Τελευταίες καταχωρήσεις για την τρέχουσα βάρδια
Lead Time,Χρόνος ανοχής
Limited,Περιορισμένη
lines,γραμμές
List,Λίστα
Live Snapshot,Ζωντανό στιγμιότυπο
Load a POS profile and cashier first.,Φορτώστε πρώτα ένα προφίλ POS και ένα ταμείο.
Load More Invoices,Φόρτωση περισσότερων τιμολογίων
Load previously saved invoices,Φορτώστε προηγουμένως αποθηκευμένα τιμολόγια
Load Sale,Πώληση φορτίου
Load Sales Invoice,Φόρτωση τιμολογίου πωλήσεων
Loading app data...,Φόρτωση δεδομένων εφαρμογής...
Loading customer database...,Φόρτωση βάσης δεδομένων πελατών...
Loading customers...,Φόρτωση πελατών...
Loading database stats...,Φόρτωση στατιστικών βάσης δεδομένων...
Loading details...,Φόρτωση λεπτομερειών...
Loading invoice history...,Φόρτωση ιστορικού τιμολογίων...
Loading items...,Φόρτωση στοιχείων...
Loading product catalog...,Φόρτωση καταλόγου προϊόντων...
Loading return invoices...,Φόρτωση τιμολογίων επιστροφής...
Loading server CPU/memory usage...,Φόρτωση CPU διακομιστή/χρήση μνήμης...
Loading suppliers...,Φόρτωση προμηθευτών...
Loading unpaid invoices...,Φόρτωση απλήρωτων τιμολογίων...
Loading view...,Φόρτωση προβολής...
Loading...,Φόρτωση...
Local storage is unavailable. Switching to online-only mode.,Ο τοπικός χώρος αποθήκευσης δεν είναι διαθέσιμος. Μετάβαση σε λειτουργία μόνο online.
localStorage,τοπική αποθήκευση
Location Performance,Απόδοση τοποθεσίας
Locations,Τοποθεσίες
Lock Screen,Κλείδωμα οθόνης
Lookup Workflow,Ροή εργασιών αναζήτησης
Loss,Απώλεια
Low,Χαμηλό
Low Stock,Χαμηλό απόθεμα
Low Stock Alerts,Ειδοποιήσεις χαμηλών αποθεμάτων
Low Stock Items,Είδη με χαμηλό απόθεμα
Low Stock Threshold,Χαμηλό όριο αποθεμάτων
Low Stock Total,Σύνολο χαμηλού αποθέματος
Lowest Margin,Χαμηλότερο Περιθώριο
Low-frequency maintenance and system details.,Συντήρηση χαμηλής συχνότητας και λεπτομέρειες συστήματος.
Loyalty Redeemed,Η πίστη εξαργυρώθηκε
Loyalty Redemption,Εξαγορά πίστης
Make New Payment,Κάντε νέα πληρωμή
Manage all,Διαχειριστείτε όλα
Manage and synchronize your offline transactions,Διαχειριστείτε και συγχρονίστε τις συναλλαγές σας εκτός σύνδεσης
Manage Cashier PIN,Διαχείριση PIN Ταμείου
"Manage offline tools, terminal controls, and maintenance from one workspace.","Διαχειριστείτε εργαλεία εκτός σύνδεσης, χειριστήρια τερματικού και συντήρηση από έναν χώρο εργασίας."
manual,εγχειρίδιο
"Manual codes, barcode scans, and QR scans work in the same field","Οι χειροκίνητοι κωδικοί, οι σαρώσεις γραμμωτού κώδικα και οι σαρώσεις QR λειτουργούν στο ίδιο πεδίο"
Manual offline mode is enabled,Η μη αυτόματη λειτουργία εκτός σύνδεσης είναι ενεργοποιημένη
Margin,Περιθώριο
Maximum available quantity is {0}. Quantity adjusted to match stock.,Η μέγιστη διαθέσιμη ποσότητα είναι {0}. Ποσότητα προσαρμοσμένη για να ταιριάζει με το απόθεμα.
Maximum discount amount for this offer item is {0}.,Το μέγιστο ποσό έκπτωσης για αυτό το στοιχείο προσφοράς είναι {0}.
Maximum discount percentage for this offer item is {0}%.,Το μέγιστο ποσοστό έκπτωσης για αυτό το στοιχείο προσφοράς είναι {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Η μέγιστη ποσότητα προσφοράς είναι {0}. Ποσότητα προσαρμοσμένη στο επιτρεπόμενο όριο.
Medium,Μεσαίο
Method-wise Collections,Συλλογές με γνώμονα τη μέθοδο
Minimum allowed rate for this offer item is {0}.,Η ελάχιστη επιτρεπόμενη τιμή για αυτό το στοιχείο προσφοράς είναι {0}.
Minimum Qty,Ελάχιστη Ποσότητα
Mobile No,Κινητό Αρ
Mode,Λειτουργία
Mode of Payment,Τρόπος πληρωμής
Month,Μήνας
Month ?,Μήνας;
Monthly Profit,Μηνιαίο κέρδος
Monthly Sales,Μηνιαίες εκπτώσεις
Monthly Sales Summary,Περίληψη μηνιαίων πωλήσεων
Month-wise,Μηνιαίως
Most Active Cashiers,Οι πιο ενεργοί ταμίες
Movement Type,Τύπος κίνησης
Movements,κινήσεις
Multi Currency,Πολλαπλό νόμισμα
N/A,N/A
Name,Όνομα
Negative Stock,Αρνητικό απόθεμα
Negative Stock Items,Αρνητικά στοιχεία μετοχών
Negative values not allowed,Δεν επιτρέπονται αρνητικές τιμές
Net,Καθαρό
Net Qty,Καθαρό Ποσ
Net Sales,Καθαρές πωλήσεις
Net Value,Καθαρή Αξία
Never,Ποτέ
New changes are ready to load,Οι νέες αλλαγές είναι έτοιμες για φόρτωση
New Item,Νέο στοιχείο
New Offer Available,Νέα προσφορά διαθέσιμη
New PIN,Νέο PIN
New rate,Νέο ποσοστό
Next unit of measure,Επόμενη μονάδα μέτρησης
No attribute data found.,Δεν βρέθηκαν δεδομένα χαρακτηριστικών.
No Barcode,Χωρίς Barcode
No barcode found for UOM '{0}',Δεν βρέθηκε γραμμικός κώδικας για το UOM '{0}'
No branch/location data found.,Δεν βρέθηκαν δεδομένα υποκαταστήματος/τοποθεσίας.
No brand data found.,Δεν βρέθηκαν δεδομένα επωνυμίας.
No cached gift card balance is available offline.,Δεν υπάρχει αποθηκευμένο υπόλοιπο δωροκάρτας διαθέσιμο εκτός σύνδεσης.
No camera found on this device. Please ensure your device has a working camera.,Δεν βρέθηκε κάμερα σε αυτήν τη συσκευή. Βεβαιωθείτε ότι η συσκευή σας διαθέτει κάμερα που λειτουργεί.
No capability warnings recorded yet.,Δεν έχουν καταγραφεί ακόμη προειδοποιήσεις ικανότητας.
No cash expected for this shift.,Δεν αναμένονται μετρητά για αυτή τη μετατόπιση.
No cash mode configured,Δεν έχει ρυθμιστεί η λειτουργία μετρητών
No cash movement type is allowed for this POS Profile.,Κανένας τύπος κίνησης μετρητών δεν επιτρέπεται για αυτό το προφίλ POS.
No cashier PIN is set yet. Create one now.,Δεν έχει οριστεί ακόμη PIN ταμείου. Δημιουργήστε ένα τώρα.
No cashier profiles are available for this POS profile yet.,Δεν υπάρχουν ακόμη διαθέσιμα προφίλ ταμείου για αυτό το προφίλ POS.
No cashier-wise discount/void/return activity.,Καμία δραστηριότητα έκπτωσης/άκυρης/επιστροφής κατά ταμείο.
No category data found.,Δεν βρέθηκαν δεδομένα κατηγορίας.
No category profitability data found.,Δεν βρέθηκαν δεδομένα κερδοφορίας κατηγορίας.
No change returned recorded for this shift.,Δεν καταγράφηκε καμία αλλαγή που επιστράφηκε για αυτήν τη βάρδια.
No change-allocation invoices match the current filters.,Κανένα τιμολόγιο αλλαγής-κατανομής δεν ταιριάζει με τα τρέχοντα φίλτρα.
No charge head breakdown found.,Δεν βρέθηκε ανάλυση κεφαλής φόρτισης.
No Company Selected,Δεν έχει επιλεγεί εταιρεία
No customer sales data found.,Δεν βρέθηκαν δεδομένα πωλήσεων πελατών.
No day-wise discount/void/return trend.,Καμία ημερήσια τάση έκπτωσης/άκυρης/επιστροφής.
No day-wise payment data found.,Δεν βρέθηκαν δεδομένα ημερήσιας πληρωμής.
No day-wise profitability trend found.,Δεν βρέθηκε ημερήσια τάση κερδοφορίας.
No day-wise purchase data found.,Δεν βρέθηκαν δεδομένα ημερήσιας αγοράς.
No day-wise sales trend found.,Δεν βρέθηκε καθημερινή τάση πωλήσεων.
No day-wise tax/charges trend found.,Δεν βρέθηκε ημερήσια τάση φόρου/χρεώσεων.
No dead stock items.,Δεν υπάρχουν νεκρά αποθέματα.
No due date,Χωρίς ημερομηνία λήξης
No exact repair match found for this invoice,Δεν βρέθηκε ακριβής αντιστοίχιση επισκευής για αυτό το τιμολόγιο
No hourly sales trend found for today.,Δεν βρέθηκε τάση ωριαίων πωλήσεων για σήμερα.
No invoice activity found.,Δεν βρέθηκε δραστηριότητα τιμολογίου.
No invoices found,Δεν βρέθηκαν τιμολόγια
No invoices found. Try different search criteria.,Δεν βρέθηκαν τιμολόγια. Δοκιμάστε διαφορετικά κριτήρια αναζήτησης.
No invoices recorded for this shift.,Δεν καταγράφηκαν τιμολόγια για αυτήν τη βάρδια.
No item profitability data found.,Δεν βρέθηκαν δεδομένα κερδοφορίας προϊόντος.
No item sales data found for this period.,Δεν βρέθηκαν στοιχεία πωλήσεων ειδών για αυτήν την περίοδο.
No items found,Δεν βρέθηκαν στοιχεία
No items in cart,Δεν υπάρχουν αντικείμενα στο καλάθι
No items with barcodes to print,Δεν υπάρχουν αντικείμενα με γραμμωτούς κώδικες για εκτύπωση
No location-wise top item data found.,Δεν βρέθηκαν δεδομένα κορυφαίων στοιχείων ως προς την τοποθεσία.
No low stock alerts right now.,Δεν υπάρχουν ειδοποιήσεις χαμηλών αποθεμάτων αυτήν τη στιγμή.
No low stock items.,Δεν υπάρχουν είδη με χαμηλό απόθεμα.
No matching items in cart,Δεν υπάρχουν αντικείμενα που να ταιριάζουν στο καλάθι
No month-wise sales trend found.,Δεν βρέθηκε τάση πωλήσεων σε μηνιαία βάση.
No negative stock items.,Δεν υπάρχουν αρνητικά στοιχεία στο απόθεμα.
No notifications yet,Δεν υπάρχουν ακόμη ειδοποιήσεις
No offline cash movement synced.,Δεν συγχρονίστηκε η κίνηση μετρητών εκτός σύνδεσης.
No offline invoices pending synchronization,Δεν υπάρχουν τιμολόγια εκτός σύνδεσης σε εκκρεμότητα συγχρονισμού
No offline sync issues recorded yet.,Δεν έχουν καταγραφεί ακόμα προβλήματα συγχρονισμού εκτός σύνδεσης.
No out-of-stock items.,Δεν υπάρχουν αντικείμενα που δεν είναι διαθέσιμα.
No outstanding credit invoices for this shift.,Δεν υπάρχουν εκκρεμή πιστωτικά τιμολόγια για αυτήν τη μετατόπιση.
No payment collection data found.,Δεν βρέθηκαν δεδομένα είσπραξης πληρωμών.
No payment rows available on this invoice.,Δεν υπάρχουν διαθέσιμες σειρές πληρωμής σε αυτό το τιμολόγιο.
No payments registered for this shift.,Δεν έχουν καταχωρηθεί πληρωμές για αυτήν τη μετατόπιση.
No pending balances in this period.,Δεν υπάρχουν υπόλοιπα σε εκκρεμότητα σε αυτήν την περίοδο.
No pending offline invoices,Δεν υπάρχουν εκκρεμή τιμολόγια εκτός σύνδεσης
No Print Formats Found,Δεν βρέθηκαν μορφές εκτύπωσης
No profiles found for selected scope. Falling back to current profile failed.,Δεν βρέθηκαν προφίλ για επιλεγμένο εύρος. Η επιστροφή στο τρέχον προφίλ απέτυχε.
No recent customer activity found.,Δεν βρέθηκε πρόσφατη δραστηριότητα πελατών.
No recent stock entries found.,Δεν βρέθηκαν πρόσφατες εγγραφές μετοχών.
No records found,Δεν βρέθηκαν εγγραφές
No reorder suggestions right now.,Δεν υπάρχουν προτάσεις αναδιάταξης αυτήν τη στιγμή.
No repeat customers in this period.,Δεν υπάρχουν επαναλαμβανόμενοι πελάτες σε αυτήν την περίοδο.
No response from server,Καμία απάντηση από τον διακομιστή
No return invoices found,Δεν βρέθηκαν τιμολόγια επιστροφής
No return item trend found.,Δεν βρέθηκε τάση επιστροφής προϊόντος.
No returnable items found for this invoice,Δεν βρέθηκαν επιστρεφόμενα στοιχεία για αυτό το τιμολόγιο
No returns were processed in this shift.,Δεν έγινε επεξεργασία επιστροφών σε αυτήν τη βάρδια.
No risk activity found.,Δεν βρέθηκε δραστηριότητα κινδύνου.
No sales activity found for this period.,Δεν βρέθηκε δραστηριότητα πωλήσεων για αυτήν την περίοδο.
No slow moving items.,Δεν υπάρχουν αντικείμενα που κινούνται αργά.
No staff sales activity found.,Δεν βρέθηκε δραστηριότητα πωλήσεων προσωπικού.
No stock movement for this period.,Καμία κίνηση μετοχών για αυτήν την περίοδο.
No submitted cash movements in this shift.,Δεν υποβλήθηκαν κινήσεις μετρητών σε αυτήν τη βάρδια.
No supplier purchases found in this month.,Δεν βρέθηκαν αγορές προμηθευτών αυτόν τον μήνα.
No suppliers found for this period.,Δεν βρέθηκαν προμηθευτές για αυτήν την περίοδο.
No sync trigger has run yet in this session.,Δεν έχει εκτελεστεί ακόμη κανένας κανόνας συγχρονισμού σε αυτήν την περίοδο λειτουργίας.
No tax head breakdown found.,Δεν βρέθηκε ανάλυση της φορολογικής αρχής.
No top items found for this location.,Δεν βρέθηκαν κορυφαία αντικείμενα για αυτήν την τοποθεσία.
No unpaid invoices,Χωρίς απλήρωτα τιμολόγια
No variant data found.,Δεν βρέθηκαν δεδομένα παραλλαγής.
No week-wise sales trend found.,Δεν βρέθηκε εβδομαδιαία τάση πωλήσεων.
No.,Όχι.
Nobile Number,Nobile Number
Not available,Μη διαθέσιμο
Not checked,Δεν έχει ελεγχθεί
Not selected,Δεν έχει επιλεγεί
Not Set,Δεν έχει οριστεί
Notifications,Ειδοποιήσεις
Offer,Προσφορά
Offer Applied,Εφαρμόστηκε η προσφορά
Offer criteria exceeded,Υπέρβαση των κριτηρίων προσφοράς
Offer Item,Στοιχείο προσφοράς
Offer item unavailable,Το προϊόν προσφοράς δεν είναι διαθέσιμο
Offer Removed,Η προσφορά καταργήθηκε
Offer UOM cannot be changed,Το UOM προσφοράς δεν μπορεί να αλλάξει
Offer?,Προσφορά;
Offers,Προσφορές
Offline,Εκτός σύνδεσης
Offline & Sync,Εκτός σύνδεσης και συγχρονισμός
Offline Capabilities,Δυνατότητες εκτός σύνδεσης
Offline data status refreshed,Η κατάσταση δεδομένων εκτός σύνδεσης ανανεώθηκε
Offline diagnostics,Διαγνωστικά εκτός σύνδεσης
Offline Invoices,Τιμολόγια εκτός σύνδεσης
Offline invoices status,Κατάσταση τιμολογίων εκτός σύνδεσης
Offline invoices synced,Τα τιμολόγια εκτός σύνδεσης συγχρονίστηκαν
Offline Queue: {0},Ουρά εκτός σύνδεσης: {0}
Offline rebuild guidance,Οδηγίες ανακατασκευής εκτός σύνδεσης
Offline restore is unavailable for this session.,Η επαναφορά εκτός σύνδεσης δεν είναι διαθέσιμη για αυτήν την περίοδο λειτουργίας.
Offline selling is available with degraded capabilities.,Η πώληση εκτός σύνδεσης είναι διαθέσιμη με υποβαθμισμένες δυνατότητες.
Offline snapshot does not match the current POS state.,Το στιγμιότυπο εκτός σύνδεσης δεν ταιριάζει με την τρέχουσα κατάσταση POS.
Offline Status,Κατάσταση εκτός σύνδεσης
"Offline, terminal, and system controls","Στοιχεία ελέγχου εκτός σύνδεσης, τερματικού και συστήματος"
OK,ΟΚ
Online,Διαδικτυακά
Open actions menu,Ανοίξτε το μενού ενεργειών
Open balance to collect,Ανοιχτό υπόλοιπο προς συλλογή
Open Customer Display,Ανοίξτε την προβολή πελατών
Open drawer,Ανοιχτό συρτάρι
Open invoices,Ανοιχτά τιμολόγια
Open Payments?,Άνοιγμα πληρωμών;
Open POS home,Ανοίξτε το σπίτι POS
Open this screen from POS Menu -> Open Customer Display.,Ανοίξτε αυτήν την οθόνη από το μενού POS -> Άνοιγμα εμφάνισης πελατών.
OpenCV image processing enabled - Enhanced barcode detection,Ενεργοποιήθηκε η επεξεργασία εικόνας OpenCV - Βελτιωμένη ανίχνευση γραμμικού κώδικα
OpenCV image processing unavailable on this device,Η επεξεργασία εικόνας OpenCV δεν είναι διαθέσιμη σε αυτήν τη συσκευή
OpenCV Off,OpenCV Off
OpenCV On,OpenCV On
OpenCV processing disabled,Η επεξεργασία OpenCV απενεργοποιήθηκε
Opening Amount,Ποσό ανοίγματος
Opening Cash,Άνοιγμα μετρητών
options,επιλογές
Order,Παραγγελία
Original,Πρωτότυπο
Other,Άλλο
Out,Έξω
Out of Stock,Εκτός αποθέματος
Out of Stock Items,Εξαντλημένα είδη
Outstanding,Εξαιρετικό
Outstanding Credit by Currency,Ανεξόφλητη πίστωση ανά νόμισμα
Overdue,Εκπρόθεσμα
Overpayment Change,Αλλαγή υπερπληρωμής
Overpayment change deducted: {0},Παρακρατήθηκε η αλλαγή υπερπληρωμής: {0}
Packing List,Λίστα συσκευασίας
Page Format,Μορφή σελίδας
Page unavailable offline,Η σελίδα δεν είναι διαθέσιμη εκτός σύνδεσης
Paid,Πληρωμένη
Paid (orig):,Επί πληρωμή (προέλευση):
Paid Amount,Ποσό που καταβλήθηκε
Paid change cannot be greater than total change!,Η πληρωμένη αλλαγή δεν μπορεί να είναι μεγαλύτερη από τη συνολική αλλαγή!
Paid:,Πληρωμή:
Parent Item,Γονικό αντικείμενο
Partial,Μερική
Partly Paid,Μερικώς πληρωμένο
Party Account,Λογαριασμός κόμματος
Party Type,Τύπος πάρτι
Pause terminal until next cashier,Παύση τερματικού μέχρι το επόμενο ταμείο
PAY,ΠΛΗΡΩΣΤΕ
Payment,Πληρωμή
Payment Account,Λογαριασμός πληρωμών
Payment entries processed for Invoice {0},Έγινε επεξεργασία των εγγραφών πληρωμής για το τιμολόγιο {0}
Payment Entry Type,Τύπος καταχώρισης πληρωμής
Payment History,Ιστορικό πληρωμών
Payment ID,Ταυτότητα πληρωμής
Payment Method Report,Αναφορά τρόπου πληρωμής
Payment Methods,Τρόποι Πληρωμής
Payment of {0} received successfully.,Η πληρωμή του {0} ελήφθη με επιτυχία.
Payment Progress,Πρόοδος πληρωμής
Payment Reconciliation,Συμφωνία πληρωμών
Payment request status could not be retrieved. Please try again,Δεν ήταν δυνατή η ανάκτηση της κατάστασης του αιτήματος πληρωμής. Δοκιμάστε ξανά
Payment Request took too long to respond. Please try requesting for payment again,Το αίτημα πληρωμής άργησε να ανταποκριθεί. Δοκιμάστε να ζητήσετε ξανά πληρωμή
Payment saved offline,Η πληρωμή αποθηκεύτηκε εκτός σύνδεσης
Payment State,Κράτος πληρωμής
Payment Status,Κατάσταση πληρωμής
Payment submitted but print function could not be executed. Payment name not found.,"Η πληρωμή υποβλήθηκε, αλλά δεν ήταν δυνατή η εκτέλεση της λειτουργίας εκτύπωσης. Το όνομα πληρωμής δεν βρέθηκε."
Payment submitted.,Η πληρωμή υποβλήθηκε.
Payment Summary,Περίληψη πληρωμών
Payments,Πληρωμές
