POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Check Balance,ಬ್ಯಾಲೆನ್ಸ್ ಪರಿಶೀಲಿಸಿ
Check balance for any card. Supervisors can issue and top up cards here.,ಯಾವುದೇ ಕಾರ್ಡ್‌ಗಾಗಿ ಬ್ಯಾಲೆನ್ಸ್ ಪರಿಶೀಲಿಸಿ. ಮೇಲ್ವಿಚಾರಕರು ಇಲ್ಲಿ ಕಾರ್ಡ್‌ಗಳನ್ನು ವಿತರಿಸಬಹುದು ಮತ್ತು ಟಾಪ್ ಅಪ್ ಮಾಡಬಹುದು.
Check balance only,ಬ್ಯಾಲೆನ್ಸ್ ಅನ್ನು ಮಾತ್ರ ಪರಿಶೀಲಿಸಿ
Check for new commits,ಹೊಸ ಕಮಿಟ್‌ಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ
Check for Updates,ನವೀಕರಣಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ
Check live balance before applying redemption,ರಿಡೆಂಪ್ಶನ್ ಅನ್ನು ಅನ್ವಯಿಸುವ ಮೊದಲು ಲೈವ್ ಬ್ಯಾಲೆನ್ಸ್ ಪರಿಶೀಲಿಸಿ
Check live balance before redemption,ರಿಡೆಂಪ್ಶನ್ ಮೊದಲು ಲೈವ್ ಬ್ಯಾಲೆನ್ಸ್ ಪರಿಶೀಲಿಸಿ
Checking...,ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ...
Cheque/Reference Date,ಚೆಕ್/ಉಲ್ಲೇಖ ದಿನಾಂಕ
Cheque/Reference No,ಚೆಕ್/ಉಲ್ಲೇಖ ಸಂಖ್ಯೆ
Choose the cashier currently operating this terminal.,ಪ್ರಸ್ತುತ ಈ ಟರ್ಮಿನಲ್ ಅನ್ನು ನಿರ್ವಹಿಸುತ್ತಿರುವ ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಆಯ್ಕೆಮಾಡಿ.
City,ನಗರ
Clear,ತೆರವುಗೊಳಿಸಿ
Clear All,ಎಲ್ಲವನ್ನೂ ತೆರವುಗೊಳಿಸಿ
Clear all barcode items,ಎಲ್ಲಾ ಬಾರ್‌ಕೋಡ್ ಐಟಂಗಳನ್ನು ತೆರವುಗೊಳಿಸಿ
Clear all purchase order items,ಎಲ್ಲಾ ಖರೀದಿ ಆರ್ಡರ್ ಐಟಂಗಳನ್ನು ತೆರವುಗೊಳಿಸಿ
Clear Search,ಹುಡುಕಾಟವನ್ನು ತೆರವುಗೊಳಿಸಿ
Clearing local cache...,ಸ್ಥಳೀಯ ಸಂಗ್ರಹವನ್ನು ತೆರವುಗೊಳಿಸಲಾಗುತ್ತಿದೆ...
Click to refresh,ರಿಫ್ರೆಶ್ ಮಾಡಲು ಕ್ಲಿಕ್ ಮಾಡಿ
Client CPU Lag:,ಕ್ಲೈಂಟ್ CPU ಲ್ಯಾಗ್:
Client Memory Usage:,ಕ್ಲೈಂಟ್ ಮೆಮೊರಿ ಬಳಕೆ:
Client Metrics,ಕ್ಲೈಂಟ್ ಮೆಟ್ರಿಕ್ಸ್
Close about dialog,ಸಂವಾದದ ಬಗ್ಗೆ ಮುಚ್ಚಿ
Close cashier switcher,ಕ್ಯಾಷಿಯರ್ ಸ್ವಿಚರ್ ಅನ್ನು ಮುಚ್ಚಿ
Close closing shift dialog,ಮುಚ್ಚುವ ಶಿಫ್ಟ್ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close column selector,ಕಾಲಮ್ ಸೆಲೆಕ್ಟರ್ ಅನ್ನು ಮುಚ್ಚಿ
Close Dialog,ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close drafts dialog,ಡ್ರಾಫ್ಟ್‌ಗಳ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close invoice details dialog,ಸರಕುಪಟ್ಟಿ ವಿವರಗಳ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close invoice management,ಸರಕುಪಟ್ಟಿ ನಿರ್ವಹಣೆಯನ್ನು ಮುಚ್ಚಿ
Close offline invoices dialog,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close packing list dialog,ಪ್ಯಾಕಿಂಗ್ ಪಟ್ಟಿ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close returns dialog,ಹಿಂತಿರುಗಿಸುವ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close sales orders dialog,ಮಾರಾಟ ಆದೇಶಗಳ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close Scanner,ಸ್ಕ್ಯಾನರ್ ಅನ್ನು ಮುಚ್ಚಿ
Close scanner dialog,ಸ್ಕ್ಯಾನರ್ ಸಂವಾದವನ್ನು ಮುಚ್ಚಿ
Close Settings,ಸೆಟ್ಟಿಂಗ್‌ಗಳನ್ನು ಮುಚ್ಚಿ
Closing Amount,ಮುಕ್ತಾಯದ ಮೊತ್ತ
Closing POS Shift,POS ಶಿಫ್ಟ್ ಅನ್ನು ಮುಚ್ಚಲಾಗುತ್ತಿದೆ
Closing Snapshot Available,ಕ್ಲೋಸಿಂಗ್ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್ ಲಭ್ಯವಿದೆ
Code,ಕೋಡ್
Code scanned successfully,ಕೋಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗಿದೆ
COGS,COGS
Collapse item details,ಐಟಂ ವಿವರಗಳನ್ನು ಕುಗ್ಗಿಸಿ
Collected,ಸಂಗ್ರಹಿಸಲಾಗಿದೆ
Cols,ಕಲಂ
Columns,ಕಾಲಮ್ಗಳು
commits,ಒಪ್ಪಿಸುತ್ತಾನೆ
Completed and active sales in this range,ಈ ಶ್ರೇಣಿಯಲ್ಲಿ ಪೂರ್ಣಗೊಂಡ ಮತ್ತು ಸಕ್ರಿಯ ಮಾರಾಟ
Completed returns will appear here.,ಪೂರ್ಣಗೊಂಡ ರಿಟರ್ನ್ಸ್ ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತದೆ.
Confirm,ದೃಢೀಕರಿಸಿ
Confirm Close,ಮುಚ್ಚುವುದನ್ನು ದೃಢೀಕರಿಸಿ
Confirm Mobile Number,ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ದೃಢೀಕರಿಸಿ
Confirm PIN,ಪಿನ್ ಅನ್ನು ದೃಢೀಕರಿಸಿ
Connect,ಸಂಪರ್ಕಿಸಿ
Connect printer and manage certificate,ಪ್ರಿಂಟರ್ ಅನ್ನು ಸಂಪರ್ಕಿಸಿ ಮತ್ತು ಪ್ರಮಾಣಪತ್ರವನ್ನು ನಿರ್ವಹಿಸಿ
Connecting to QZ Tray...,QZ ಟ್ರೇಗೆ ಸಂಪರ್ಕಿಸಲಾಗುತ್ತಿದೆ...
Connection problem while submitting invoice,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸುವಾಗ ಸಂಪರ್ಕ ಸಮಸ್ಯೆ
Connections:,ಸಂಪರ್ಕಗಳು:
Connectivity and cached prerequisite status were rechecked.,ಸಂಪರ್ಕ ಮತ್ತು ಕ್ಯಾಶ್ ಮಾಡಲಾದ ಪೂರ್ವಾಪೇಕ್ಷಿತ ಸ್ಥಿತಿಯನ್ನು ಮರುಪರಿಶೀಲಿಸಲಾಗಿದೆ.
Continue Editing,ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರಿಸಿ
Could not fetch latest balance from server,ಸರ್ವರ್‌ನಿಂದ ಇತ್ತೀಚಿನ ಬ್ಯಾಲೆನ್ಸ್ ಅನ್ನು ಪಡೆಯಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ
Count,ಎಣಿಸಿ
Country,ದೇಶ
Coupon,ಕೂಪನ್
Coupons,ಕೂಪನ್ಗಳು
Cover,ಕವರ್
CPU Cores:,CPU ಕೋರ್ಗಳು:
Create,ರಚಿಸಿ
Create and load a new prepaid card,ಹೊಸ ಪ್ರಿಪೇಯ್ಡ್ ಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಿ ಮತ್ತು ಲೋಡ್ ಮಾಡಿ
Create and preload a new gift card,ಹೊಸ ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಿ ಮತ್ತು ಪೂರ್ವ ಲೋಡ್ ಮಾಡಿ
Create Bill,ಬಿಲ್ ರಚಿಸಿ
Create Customer,ಗ್ರಾಹಕರನ್ನು ರಚಿಸಿ
Create New Item,ಹೊಸ ಐಟಂ ರಚಿಸಿ
Create or change your PIN,ನಿಮ್ಮ ಪಿನ್ ಅನ್ನು ರಚಿಸಿ ಅಥವಾ ಬದಲಾಯಿಸಿ
Create PIN,ಪಿನ್ ರಚಿಸಿ
Create POS Opening Shift,POS ತೆರೆಯುವ ಶಿಫ್ಟ್ ಅನ್ನು ರಚಿಸಿ
Create Purchase Order,ಖರೀದಿ ಆದೇಶವನ್ನು ರಚಿಸಿ
Create Return,ರಿಟರ್ನ್ ರಚಿಸಿ
Create return from invoice,ಸರಕುಪಟ್ಟಿಯಿಂದ ರಿಟರ್ನ್ ರಚಿಸಿ
Create Supplier,ಪೂರೈಕೆದಾರರನ್ನು ರಚಿಸಿ
Credit and Output,ಕ್ರೆಡಿಟ್ ಮತ್ತು ಔಟ್ಪುಟ್
Credit Note,ಕ್ರೆಡಿಟ್ ನೋಟ್
Credit Outstanding,ಕ್ರೆಡಿಟ್ ಬಾಕಿಯಿದೆ
Credit sales remaining to be collected,ಸಂಗ್ರಹಿಸಲು ಉಳಿದಿರುವ ಕ್ರೆಡಿಟ್ ಮಾರಾಟಗಳು
Critical,ವಿಮರ್ಶಾತ್ಮಕ
Currency,ಕರೆನ್ಸಿ
Current,ಪ್ರಸ್ತುತ
Current Event Loop Lag:,ಪ್ರಸ್ತುತ ಈವೆಂಟ್ ಲೂಪ್ ಲ್ಯಾಗ್:
Current Month,ಪ್ರಸ್ತುತ ತಿಂಗಳು
Current PIN,ಪ್ರಸ್ತುತ ಪಿನ್
Current Profile,ಪ್ರಸ್ತುತ ಪ್ರೊಫೈಲ್
Current redeemable value on the gift card,ಉಡುಗೊರೆ ಕಾರ್ಡ್‌ನಲ್ಲಿ ಪ್ರಸ್ತುತ ರಿಡೀಮ್ ಮಾಡಬಹುದಾದ ಮೌಲ್ಯ
Current User,ಪ್ರಸ್ತುತ ಬಳಕೆದಾರ
Custom,ಕಸ್ಟಮ್
Custom Due Days,ಕಸ್ಟಮ್ ಬಾಕಿ ದಿನಗಳು
Custom items per page,ಪ್ರತಿ ಪುಟಕ್ಕೆ ಕಸ್ಟಮ್ ಐಟಂಗಳು
Customer,ಗ್ರಾಹಕ
Customer already selected,ಗ್ರಾಹಕರನ್ನು ಈಗಾಗಲೇ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
Customer Balance,ಗ್ರಾಹಕ ಬ್ಯಾಲೆನ್ಸ್
Customer balance unavailable offline,ಗ್ರಾಹಕರ ಬಾಕಿ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿಲ್ಲ
Customer created successfully.,ಗ್ರಾಹಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ.
Customer creation failed.,ಗ್ರಾಹಕರ ರಚನೆ ವಿಫಲವಾಗಿದೆ.
Customer Details,ಗ್ರಾಹಕರ ವಿವರಗಳು
Customer display channel is missing,ಗ್ರಾಹಕ ಪ್ರದರ್ಶನ ಚಾನಲ್ ಕಾಣೆಯಾಗಿದೆ
Customer display was blocked. Please allow pop-ups for this site.,ಗ್ರಾಹಕರ ಪ್ರದರ್ಶನವನ್ನು ನಿರ್ಬಂಧಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಈ ಸೈಟ್‌ಗಾಗಿ ಪಾಪ್-ಅಪ್‌ಗಳನ್ನು ಅನುಮತಿಸಿ.
Customer group is required,ಗ್ರಾಹಕರ ಗುಂಪು ಅಗತ್ಯವಿದೆ
Customer is required to add payment,ಗ್ರಾಹಕರು ಪಾವತಿಯನ್ನು ಸೇರಿಸುವ ಅಗತ್ಯವಿದೆ
Customer Name is required,ಗ್ರಾಹಕರ ಹೆಸರು ಅಗತ್ಯವಿದೆ
Customer not selected,ಗ್ರಾಹಕರನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗಿಲ್ಲ
Customer Report,ಗ್ರಾಹಕ ವರದಿ
Customer saved offline,ಗ್ರಾಹಕರು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಉಳಿಸಿದ್ದಾರೆ
Customer Screen,ಗ್ರಾಹಕ ಪರದೆ
Customer territory is required,ಗ್ರಾಹಕ ಪ್ರದೇಶದ ಅಗತ್ಯವಿದೆ
Customer updated successfully.,ಗ್ರಾಹಕರನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನವೀಕರಿಸಲಾಗಿದೆ.
Customer-facing tools and printer setup.,ಗ್ರಾಹಕರು ಎದುರಿಸುತ್ತಿರುವ ಉಪಕರಣಗಳು ಮತ್ತು ಪ್ರಿಂಟರ್ ಸೆಟಪ್.
Customers,ಗ್ರಾಹಕರು
Customers not found,ಗ್ರಾಹಕರು ಕಂಡುಬಂದಿಲ್ಲ
Daily cashier actions without scrolling.,ಸ್ಕ್ರೋಲಿಂಗ್ ಇಲ್ಲದೆ ದೈನಂದಿನ ಕ್ಯಾಷಿಯರ್ ಕ್ರಮಗಳು.
Daily Sales,ದೈನಂದಿನ ಮಾರಾಟ
Daily Sales Summary,ದೈನಂದಿನ ಮಾರಾಟದ ಸಾರಾಂಶ
Data loaded in form. Review and submit.,ರೂಪದಲ್ಲಿ ಡೇಟಾವನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಿದೆ. ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಸಲ್ಲಿಸಿ.
Database Health,ಡೇಟಾಬೇಸ್ ಆರೋಗ್ಯ
Database health affects overall system speed and reliability.,ಡೇಟಾಬೇಸ್ ಆರೋಗ್ಯವು ಒಟ್ಟಾರೆ ಸಿಸ್ಟಮ್ ವೇಗ ಮತ್ತು ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
Database Info,ಡೇಟಾಬೇಸ್ ಮಾಹಿತಿ
Date,ದಿನಾಂಕ
Day ?,ದಿನ ?
days,ದಿನಗಳು
Day-wise (MTD),ದಿನವಾರು (MTD)
Day-wise Movement,ದಿನವಾರು ಚಳುವಳಿ
Dead Stock,ಡೆಡ್ ಸ್ಟಾಕ್
Dead Stock Items,ಡೆಡ್ ಸ್ಟಾಕ್ ವಸ್ತುಗಳು
Decrease quantity,ಪ್ರಮಾಣವನ್ನು ಕಡಿಮೆ ಮಾಡಿ
Default,ಡೀಫಾಲ್ಟ್
Default:,ಡೀಫಾಲ್ಟ್:
Delete,ಅಳಿಸಿ
Delete cancelled cash movement {0}?,ರದ್ದುಗೊಳಿಸಲಾದ ನಗದು ಚಲನೆಯನ್ನು ಅಳಿಸುವುದೇ {0}?
Delete Draft,ಡ್ರಾಫ್ಟ್ ಅಳಿಸಿ
Delete draft invoice,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ ಅಳಿಸಿ
Delete draft invoice {0}?,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ {0} ಅನ್ನು ಅಳಿಸುವುದೇ?
Delete Invoice,ಸರಕುಪಟ್ಟಿ ಅಳಿಸಿ
Delete offline invoice,ಆಫ್‌ಲೈನ್ ಇನ್‌ವಾಯ್ಸ್ ಅಳಿಸಿ
Delivered,ವಿತರಿಸಲಾಗಿದೆ
Delivery Charges,ವಿತರಣಾ ಶುಲ್ಕಗಳು
Delivery Information,ವಿತರಣಾ ಮಾಹಿತಿ
Delivery Note {0} created,ವಿತರಣಾ ಟಿಪ್ಪಣಿ {0} ರಚಿಸಲಾಗಿದೆ
Delivery note created,ವಿತರಣಾ ಟಿಪ್ಪಣಿ ರಚಿಸಲಾಗಿದೆ
Deployed Bundle:,ನಿಯೋಜಿಸಲಾದ ಬಂಡಲ್:
Deposit,ಠೇವಣಿ
Description,ವಿವರಣೆ
Detailed Supplier Breakdown,ವಿವರವಾದ ಪೂರೈಕೆದಾರ ವಿಭಜನೆ
Detecting formats:,ಪತ್ತೆ ಸ್ವರೂಪಗಳು:
Device Memory:,ಸಾಧನದ ಮೆಮೊರಿ:
Difference,ವ್ಯತ್ಯಾಸ
Difference (In Company Currency),ವ್ಯತ್ಯಾಸ (ಕಂಪೆನಿ ಕರೆನ್ಸಿಯಲ್ಲಿ)
Disable offline mode first to recheck live connectivity.,ಲೈವ್ ಸಂಪರ್ಕವನ್ನು ಮರುಪರಿಶೀಲಿಸಲು ಮೊದಲು ಆಫ್‌ಲೈನ್ ಮೋಡ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ.
Disconnect,ಸಂಪರ್ಕ ಕಡಿತಗೊಳಿಸಿ
discount,ರಿಯಾಯಿತಿ
Discount %,ರಿಯಾಯಿತಿ %
Discount / Void / Return Report,ರಿಯಾಯಿತಿ / ಅನೂರ್ಜಿತ / ರಿಟರ್ನ್ ವರದಿ
Discount Amount,ರಿಯಾಯಿತಿ ಮೊತ್ತ
Discount limited by POS Profile,ಪಿಒಎಸ್ ಪ್ರೊಫೈಲ್‌ನಿಂದ ರಿಯಾಯಿತಿ ಸೀಮಿತವಾಗಿದೆ
Discounted Invoices,ರಿಯಾಯಿತಿಯ ಇನ್‌ವಾಯ್ಸ್‌ಗಳು
Discounts,ರಿಯಾಯಿತಿಗಳು
Dismiss,ವಜಾಗೊಳಿಸಿ
Download Certificate,ಪ್ರಮಾಣಪತ್ರವನ್ನು ಡೌನ್‌ಲೋಡ್ ಮಾಡಿ
Draft,ಕರಡು
Draft invoice deleted,ಡ್ರಾಫ್ಟ್ ಇನ್‌ವಾಯ್ಸ್ ಅಳಿಸಲಾಗಿದೆ
Draft source,ಕರಡು ಮೂಲ
Drafts,ಕರಡುಗಳು
Due {0},ಬಾಕಿ {0}
Due Date,ಅಂತಿಮ ದಿನಾಂಕ
Duplicate,ನಕಲು
Edit customer,ಗ್ರಾಹಕರನ್ನು ಸಂಪಾದಿಸಿ
Edit discount amount,ರಿಯಾಯಿತಿ ಮೊತ್ತವನ್ನು ಸಂಪಾದಿಸಿ
Edit discount percentage,ರಿಯಾಯಿತಿ ಶೇಕಡಾವಾರು ಸಂಪಾದಿಸಿ
Edit Gift Application,ಉಡುಗೊರೆ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಸಂಪಾದಿಸಿ
Edit item name,ಐಟಂ ಹೆಸರನ್ನು ಸಂಪಾದಿಸಿ
Edit quantity,ಪ್ರಮಾಣವನ್ನು ಸಂಪಾದಿಸಿ
Edit rate,ದರವನ್ನು ಸಂಪಾದಿಸಿ
Edit unit of measure,ಅಳತೆಯ ಘಟಕವನ್ನು ಸಂಪಾದಿಸಿ
Edited,ಸಂಪಾದಿಸಲಾಗಿದೆ
Employee,ಉದ್ಯೋಗಿ
Enable background sync,ಹಿನ್ನೆಲೆ ಸಿಂಕ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
Enable Customer Display in POS Profile first.,ಮೊದಲು POS ಪ್ರೊಫೈಲ್‌ನಲ್ಲಿ ಗ್ರಾಹಕರ ಪ್ರದರ್ಶನವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ.
Enter a PIN.,ಪಿನ್ ನಮೂದಿಸಿ.
Enter a valid grams value,ಮಾನ್ಯವಾದ ಗ್ರಾಂ ಮೌಲ್ಯವನ್ನು ನಮೂದಿಸಿ
Enter new price list rate,ಹೊಸ ಬೆಲೆ ಪಟ್ಟಿ ದರವನ್ನು ನಮೂದಿಸಿ
Enter Quantity,ಪ್ರಮಾಣವನ್ನು ನಮೂದಿಸಿ
Enter the cashier PIN to continue.,ಮುಂದುವರಿಸಲು ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ನಮೂದಿಸಿ.
Enter the current PIN first.,ಮೊದಲು ಪ್ರಸ್ತುತ ಪಿನ್ ನಮೂದಿಸಿ.
"Enter the current PIN, then choose a new one.","ಪ್ರಸ್ತುತ ಪಿನ್ ನಮೂದಿಸಿ, ನಂತರ ಹೊಸದನ್ನು ಆಯ್ಕೆಮಾಡಿ."
Enter valid grams for scale barcode,ಸ್ಕೇಲ್ ಬಾರ್‌ಕೋಡ್‌ಗಾಗಿ ಮಾನ್ಯವಾದ ಗ್ರಾಂಗಳನ್ನು ನಮೂದಿಸಿ
Entries,ನಮೂದುಗಳು
Error accessing camera:,ಕ್ಯಾಮರಾ ಪ್ರವೇಶಿಸುವಲ್ಲಿ ದೋಷ:
Error calculating prices,ಬೆಲೆಗಳನ್ನು ಲೆಕ್ಕಾಚಾರ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error fetching customer balance,ಗ್ರಾಹಕ ಬ್ಯಾಲೆನ್ಸ್ ಪಡೆಯುವಲ್ಲಿ ದೋಷ
Error in change calculations!,ಬದಲಾವಣೆ ಲೆಕ್ಕಾಚಾರದಲ್ಲಿ ದೋಷ!
Error Loading Data,ಡೇಟಾವನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error loading invoice details,ಸರಕುಪಟ್ಟಿ ವಿವರಗಳನ್ನು ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ
Error processing invoice,ಸರಕುಪಟ್ಟಿ ಪ್ರಕ್ರಿಯೆಗೊಳಿಸುವಲ್ಲಿ ದೋಷ
Error processing payment,ಪಾವತಿ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ ದೋಷ
Error searching invoices,ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಹುಡುಕುವಲ್ಲಿ ದೋಷ
Error submitting invoice:,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸುವಲ್ಲಿ ದೋಷ:
Error submitting invoice: {0},ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸುವಲ್ಲಿ ದೋಷ: {0}
Error submitting invoice: No response from server,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸುವಲ್ಲಿ ದೋಷ: ಸರ್ವರ್‌ನಿಂದ ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆ ಇಲ್ಲ
Error updating currency,ಕರೆನ್ಸಿಯನ್ನು ನವೀಕರಿಸುವಲ್ಲಿ ದೋಷ
Error updating item details,ಐಟಂ ವಿವರಗಳನ್ನು ನವೀಕರಿಸುವಲ್ಲಿ ದೋಷ
Est. Purchase,ಅಂದಾಜು. ಖರೀದಿ
Est. Value,ಅಂದಾಜು. ಮೌಲ್ಯ
Event-loop lag measures how busy your browser is. Lower is better.,ಈವೆಂಟ್-ಲೂಪ್ ಲ್ಯಾಗ್ ನಿಮ್ಮ ಬ್ರೌಸರ್ ಎಷ್ಟು ಕಾರ್ಯನಿರತವಾಗಿದೆ ಎಂಬುದನ್ನು ಅಳೆಯುತ್ತದೆ. ಕಡಿಮೆ ಇದ್ದರೆ ಉತ್ತಮ.
Every,ಪ್ರತಿ
Exchange Rate,ವಿನಿಮಯ ದರ
Expand item details,ಐಟಂ ವಿವರಗಳನ್ನು ವಿಸ್ತರಿಸಿ
Expected Amount (In Company Currency),ನಿರೀಕ್ಷಿತ ಮೊತ್ತ (ಕಂಪೆನಿ ಕರೆನ್ಸಿಯಲ್ಲಿ)
Expected Cash,ನಿರೀಕ್ಷಿತ ನಗದು
Expected cash on hand grouped by currency,ಕರೆನ್ಸಿಯಿಂದ ಗುಂಪು ಮಾಡಲಾದ ಕೈಯಲ್ಲಿ ನಿರೀಕ್ಷಿತ ನಗದು
Expected vs Actual,ನಿರೀಕ್ಷಿತ ವಿರುದ್ಧ ವಾಸ್ತವ
Expense,ಖರ್ಚು
Expense Account (Optional Override),ವೆಚ್ಚ ಖಾತೆ (ಐಚ್ಛಿಕ ಅತಿಕ್ರಮಣ)
Expense account is required.,ವೆಚ್ಚ ಖಾತೆ ಅಗತ್ಯವಿದೆ.
Expenses and deposits posted during this shift,ಈ ಶಿಫ್ಟ್ ಸಮಯದಲ್ಲಿ ಪೋಸ್ಟ್ ಮಾಡಿದ ವೆಚ್ಚಗಳು ಮತ್ತು ಠೇವಣಿಗಳು
Expired,ಅವಧಿ ಮೀರಿದೆ
Failed to auto reconcile payments.,ಪಾವತಿಗಳನ್ನು ಸ್ವಯಂ ಹೊಂದಾಣಿಕೆ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ.
Failed to cancel cash movement,ನಗದು ಚಲನೆಯನ್ನು ರದ್ದುಗೊಳಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to clear cache,ಸಂಗ್ರಹವನ್ನು ತೆರವುಗೊಳಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to create item,ಐಟಂ ರಚಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to create supplier,ಪೂರೈಕೆದಾರರನ್ನು ರಚಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to delete cash movement,ನಗದು ಚಲನೆಯನ್ನು ಅಳಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to generate scale barcode. Using item barcode only.,ಪ್ರಮಾಣದ ಬಾರ್‌ಕೋಡ್ ರಚಿಸಲು ವಿಫಲವಾಗಿದೆ. ಐಟಂ ಬಾರ್‌ಕೋಡ್ ಅನ್ನು ಮಾತ್ರ ಬಳಸುವುದು.
Failed to load cash movement context.,ನಗದು ಚಲನೆಯ ಸಂದರ್ಭವನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ.
Failed to load dashboard data.,ಡ್ಯಾಶ್‌ಬೋರ್ಡ್ ಡೇಟಾವನ್ನು ಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ.
Failed to reload invoice from server,ಸರ್ವರ್‌ನಿಂದ ಇನ್‌ವಾಯ್ಸ್ ಅನ್ನು ಮರುಲೋಡ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ
Failed to submit cash movement,ನಗದು ಚಲನೆಯನ್ನು ಸಲ್ಲಿಸಲು ವಿಫಲವಾಗಿದೆ
Failed to sync offline cash movements,ಆಫ್‌ಲೈನ್ ನಗದು ಚಲನೆಯನ್ನು ಸಿಂಕ್ ಮಾಡಲು ವಿಫಲವಾಗಿದೆ
Fast cashier actions for active shifts.,ಸಕ್ರಿಯ ಶಿಫ್ಟ್‌ಗಳಿಗಾಗಿ ತ್ವರಿತ ಕ್ಯಾಷಿಯರ್ ಕ್ರಮಗಳು.
Fast Moving Items,ವೇಗವಾಗಿ ಚಲಿಸುವ ವಸ್ತುಗಳು
Fees,ಶುಲ್ಕಗಳು
Fetch the latest offline prerequisite updates,ಇತ್ತೀಚಿನ ಆಫ್‌ಲೈನ್ ಪೂರ್ವಾಪೇಕ್ಷಿತ ನವೀಕರಣಗಳನ್ನು ಪಡೆದುಕೊಳ್ಳಿ
Find a sales order quickly and load it into the current sale.,ಮಾರಾಟದ ಆದೇಶವನ್ನು ತ್ವರಿತವಾಗಿ ಹುಡುಕಿ ಮತ್ತು ಅದನ್ನು ಪ್ರಸ್ತುತ ಮಾರಾಟಕ್ಕೆ ಲೋಡ್ ಮಾಡಿ.
