POS Awesome,POS Fantastisk
Low-frequency maintenance and system details.,Lavfrekvent vedlikehold og systemdetaljer.
Loyalty Redeemed,Lojalitet innløst
Loyalty Redemption,Lojalitetsinnløsning
Make New Payment,Foreta ny betaling
Manage all,Administrer alle
Manage and synchronize your offline transactions,Administrer og synkroniser dine offline-transaksjoner
Manage Cashier PIN,Administrer Cashier PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Administrer offline verktøy, terminalkontroller og vedlikehold fra ett arbeidsområde."
manual,manuell
"Manual codes, barcode scans, and QR scans work in the same field","Manuelle koder, strekkodeskanninger og QR-skanninger fungerer i samme felt"
Manual offline mode is enabled,Manuell frakoblet modus er aktivert
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maksimalt tilgjengelig antall er {0}. Mengde tilpasset lagerbeholdning.
Maximum discount amount for this offer item is {0}.,Maksimalt rabattbeløp for denne tilbudsvaren er {0}.
Maximum discount percentage for this offer item is {0}%.,Maksimal rabattprosent for denne tilbudsvaren er {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimalt tilbudsantall er {0}. Mengde justert til tillatt grense.
Medium,Middels
Method-wise Collections,Metodemessige Samlinger
Minimum allowed rate for this offer item is {0}.,Minste tillatte pris for dette tilbudselementet er {0}.
Minimum Qty,Minimum antall
Mobile No,Mobilnr
Mode,Modus
Mode of Payment,Betalingsmåte
Month,Måned
Month ?,Måned?
Monthly Profit,Månedlig fortjeneste
Monthly Sales,Månedlig salg
Monthly Sales Summary,Månedlig salgssammendrag
Month-wise,Månedsmessig
Most Active Cashiers,Mest aktive kasserere
Movement Type,Bevegelsestype
Movements,Bevegelser
Multi Currency,Multivaluta
N/A,N/A
Name,Navn
Negative Stock,Negativ aksje
Negative Stock Items,Negative lagervarer
Negative values not allowed,Negative verdier er ikke tillatt
Net,Netto
Net Qty,Netto kvantum
Net Sales,Netto salg
Net Value,Nettoverdi
Never,Aldri
New changes are ready to load,Nye endringer er klare til å lastes inn
New Item,Nytt element
New Offer Available,Nytt tilbud tilgjengelig
New PIN,Ny PIN-kode
New rate,Ny takst
Next unit of measure,Neste måleenhet
No attribute data found.,Fant ingen attributtdata.
No Barcode,Ingen strekkode
No barcode found for UOM '{0}',Ingen strekkode funnet for UOM '{0}'
No branch/location data found.,Fant ingen filial-/steddata.
No brand data found.,Fant ingen merkevaredata.
No cached gift card balance is available offline.,Ingen bufret gavekortsaldo er tilgjengelig offline.
No camera found on this device. Please ensure your device has a working camera.,Finner ikke noe kamera på denne enheten. Sørg for at enheten din har et fungerende kamera.
No capability warnings recorded yet.,Ingen kapasitetsadvarsler registrert ennå.
No cash expected for this shift.,Ingen penger forventet for dette skiftet.
No cash mode configured,Ingen kontantmodus er konfigurert
No cash movement type is allowed for this POS Profile.,Ingen kontantbevegelsestype er tillatt for denne POS-profilen.
No cashier PIN is set yet. Create one now.,Ingen kasserer-PIN er angitt ennå. Lag en nå.
No cashier profiles are available for this POS profile yet.,Ingen kasseprofiler er tilgjengelige for denne POS-profilen ennå.
No cashier-wise discount/void/return activity.,Ingen kassemessig rabatt/ugyldig/returaktivitet.
No category data found.,Fant ingen kategoridata.
No category profitability data found.,Ingen kategorilønnsomhetsdata funnet.
No change returned recorded for this shift.,Ingen endringer returnert registrert for dette skiftet.
No change-allocation invoices match the current filters.,Ingen endrings-allokeringsfakturaer samsvarer med gjeldende filtre.
No charge head breakdown found.,Fant ingen sammenbrudd i ladehodet.
No Company Selected,Ingen selskap valgt
No customer sales data found.,Fant ingen kundesalgsdata.
No day-wise discount/void/return trend.,Ingen dagsvis rabatt/void/retur trend.
No day-wise payment data found.,Fant ingen betalingsdata per dag.
No day-wise profitability trend found.,Ingen dagmessig lønnsomhetstrend funnet.
No day-wise purchase data found.,Ingen dagvise kjøpsdata funnet.
No day-wise sales trend found.,Fant ingen dagsvis salgstrend.
No day-wise tax/charges trend found.,Fant ingen trend for skatt/avgifter per dag.
No dead stock items.,Ingen døde lagervarer.
No due date,Ingen forfallsdato
No exact repair match found for this invoice,Fant ingen eksakt reparasjonsmatch for denne fakturaen
No hourly sales trend found for today.,Fant ingen salgstrend per time for i dag.
No invoice activity found.,Fant ingen fakturaaktivitet.
No invoices found,Fant ingen fakturaer
No invoices found. Try different search criteria.,Fant ingen fakturaer. Prøv forskjellige søkekriterier.
No invoices recorded for this shift.,Ingen fakturaer registrert for dette skiftet.
No item profitability data found.,Ingen varelønnsomhetsdata ble funnet.
No item sales data found for this period.,Fant ingen varesalgsdata for denne perioden.
No items found,Ingen varer funnet
No items in cart,Ingen varer i handlekurven
No items with barcodes to print,Ingen varer med strekkoder å skrive ut
No location-wise top item data found.,Fant ingen stedsmessig toppvaredata.
No low stock alerts right now.,Ingen varsler om lavt lager akkurat nå.
No low stock items.,Ingen varer med lite lager.
No matching items in cart,Ingen samsvarende varer i handlekurven
No month-wise sales trend found.,Ingen månedlig salgstrend funnet.
No negative stock items.,Ingen negative lagervarer.
No notifications yet,Ingen varsler ennå
No offline cash movement synced.,Ingen offline kontantbevegelse synkronisert.
No offline invoices pending synchronization,Ingen frakoblede fakturaer som venter på synkronisering
No offline sync issues recorded yet.,Ingen offline synkroniseringsproblemer registrert ennå.
No out-of-stock items.,Ingen utsolgte varer.
No outstanding credit invoices for this shift.,Ingen utestående kredittfakturaer for dette skiftet.
No payment collection data found.,Fant ingen betalingsinnkrevingsdata.
No payment rows available on this invoice.,Ingen betalingsrader tilgjengelig på denne fakturaen.
No payments registered for this shift.,Ingen betalinger registrert for dette skiftet.
No pending balances in this period.,Ingen utestående saldoer i denne perioden.
No pending offline invoices,Ingen ventende frakoblede fakturaer
No Print Formats Found,Ingen utskriftsformater funnet
No profiles found for selected scope. Falling back to current profile failed.,Finner ingen profiler for det valgte omfanget. Fall tilbake til gjeldende profil mislyktes.
No recent customer activity found.,Fant ingen nylig kundeaktivitet.
No recent stock entries found.,Ingen nyere aksjeoppføringer funnet.
No records found,Ingen poster funnet
No reorder suggestions right now.,Ingen forslag til ombestilling akkurat nå.
No repeat customers in this period.,Ingen gjentakende kunder i denne perioden.
No response from server,Ingen respons fra server
No return invoices found,Finner ingen returfakturaer
No return item trend found.,Ingen trend for returvarer funnet.
No returnable items found for this invoice,Fant ingen returvarer for denne fakturaen
No returns were processed in this shift.,Ingen returer ble behandlet i dette skiftet.
No risk activity found.,Ingen risikoaktivitet funnet.
No sales activity found for this period.,Fant ingen salgsaktivitet for denne perioden.
No slow moving items.,Ingen sakte bevegelige gjenstander.
No staff sales activity found.,Fant ingen salgsaktivitet for ansatte.
No stock movement for this period.,Ingen aksjebevegelse for denne perioden.
No submitted cash movements in this shift.,Ingen innsendte kontantbevegelser i dette skiftet.
No supplier purchases found in this month.,Ingen leverandørkjøp funnet denne måneden.
No suppliers found for this period.,Ingen leverandører funnet for denne perioden.
No sync trigger has run yet in this session.,Ingen synkroniseringsutløser har kjørt ennå i denne økten.
No tax head breakdown found.,Fant ingen skatteoppdeling.
No top items found for this location.,Ingen toppvarer funnet for denne plasseringen.
No unpaid invoices,Ingen ubetalte fakturaer
No variant data found.,Fant ingen variantdata.
No week-wise sales trend found.,Fant ingen ukesmessig salgstrend.
No.,Nei.
Nobile Number,Adelsnummer
Not available,Ikke tilgjengelig
Not checked,Ikke sjekket
Not selected,Ikke valgt
Not Set,Ikke satt
Notifications,Varsler
Offer,Tilbud
Offer Applied,Tilbudet gjelder
Offer criteria exceeded,Tilbudskriteriene er overskredet
Offer Item,Tilbudsartikkel
Offer item unavailable,Tilbudselementet er ikke tilgjengelig
Offer Removed,Tilbudet er fjernet
Offer UOM cannot be changed,Tilbuds-UOM kan ikke endres
Offer?,Tilbud?
Offers,Tilbud
Offline,Frakoblet
Offline & Sync,Frakoblet og synkroniser
Offline Capabilities,Offline-funksjoner
Offline data status refreshed,Frakoblet datastatus er oppdatert
Offline diagnostics,Frakoblet diagnostikk
Offline Invoices,Offline fakturaer
Offline invoices status,Frakoblet fakturastatus
Offline invoices synced,Frakoblede fakturaer synkronisert
Offline Queue: {0},Frakoblet kø: {0}
Offline rebuild guidance,Offline veiledning for gjenoppbygging
Offline restore is unavailable for this session.,Frakoblet gjenoppretting er utilgjengelig for denne økten.
Offline selling is available with degraded capabilities.,Offlinesalg er tilgjengelig med degraderte funksjoner.
Offline snapshot does not match the current POS state.,Frakoblet øyeblikksbilde samsvarer ikke med gjeldende POS-status.
Offline Status,Frakoblet status
"Offline, terminal, and system controls","Offline-, terminal- og systemkontroller"
OK,OK
Online,Online
Open actions menu,Åpne handlingsmenyen
Open balance to collect,Åpen saldo å samle inn
Open Customer Display,Åpne kundevisning
Open drawer,Åpne skuff
Open invoices,Åpne fakturaer
Open Payments?,Åpne betalinger?
Open POS home,Åpne POS-hjemmet
Open this screen from POS Menu -> Open Customer Display.,Åpne denne skjermen fra POS-menyen -> Åpne kundevisning.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-bildebehandling aktivert - Forbedret strekkodegjenkjenning
OpenCV image processing unavailable on this device,OpenCV-bildebehandling er utilgjengelig på denne enheten
OpenCV Off,OpenCV av
OpenCV On,OpenCV på
OpenCV processing disabled,OpenCV-behandling er deaktivert
Opening Amount,Åpningsbeløp
Opening Cash,Åpningskontanter
options,alternativer
Order,Bestill
Original,Original
Other,Annet
Out,Ut
Out of Stock,Ikke på lager
Out of Stock Items,Utsolgte varer
Outstanding,Enestående
Outstanding Credit by Currency,Utestående kreditt etter valuta
Overdue,Forfalt
Overpayment Change,Endring av overbetaling
Overpayment change deducted: {0},For mye betaling er trukket fra: {0}
Packing List,Pakkeliste
Page Format,Sideformat
Page unavailable offline,Siden er ikke tilgjengelig uten nett
Paid,Betalt
Paid (orig):,Betalt (opprinnelig):
Paid Amount,Betalt beløp
Paid change cannot be greater than total change!,Betalt endring kan ikke være større enn total endring!
Paid:,Betalt:
Parent Item,Overordnet element
Partial,Delvis
Partly Paid,Delvis betalt
Party Account,Partikonto
Party Type,Party Type
Pause terminal until next cashier,Pause terminal til neste kasserer
PAY,BETAL
Payment,Betaling
Payment Account,Betalingskonto
Payment entries processed for Invoice {0},Betalingsoppføringer behandlet for faktura {0}
Payment Entry Type,Betalingsoppføringstype
Payment History,Betalingshistorikk
Payment ID,Betalings-ID
Payment Method Report,Rapport om betalingsmåte
Payment Methods,Betalingsmetoder
Payment of {0} received successfully.,Betaling på {0} mottatt.
Payment Progress,Betalingsfremgang
Payment Reconciliation,Betalingsavstemming
Payment request status could not be retrieved. Please try again,Status for betalingsforespørsel kunne ikke hentes. Vennligst prøv igjen
Payment Request took too long to respond. Please try requesting for payment again,Det tok for lang tid å svare på betalingsforespørselen. Prøv å be om betaling på nytt
Payment saved offline,Betaling lagret offline
Payment State,Betalingsstat
Payment Status,Betalingsstatus
Payment submitted but print function could not be executed. Payment name not found.,"Betaling sendt, men utskriftsfunksjonen kunne ikke utføres. Finner ikke betalingsnavn."
Payment submitted.,Betaling sendt inn.
Payment Summary,Betalingssammendrag
Payments,Betalinger
Payments are not open. Do you want to open payments and submit?,Betalinger er ikke åpne. Vil du åpne betalinger og sende inn?
Payments by Mode of Payment,Betalinger etter betalingsmåte
PDF,PDF
Peak Hour,Peak Hour
Peak Memory:,Topp minne:
Peak Server:,Toppserver:
Peak:,Topp:
Pending,Venter
Pending Amount,Ventende beløp
Pending count updated from {0} to {1},Ventende antall oppdatert fra {0} til {1}
Pending Exposure,Venter på eksponering
Pending Invoices,Ventende fakturaer
Pending Ratio,Ventende forhold
Pending Sales,Ventende salg
Pending sales: {0} | Cache usage: {1}%,Ventende salg: {0} | Bufferbruk: {1}%
Pending Sync,Venter på synkronisering
Pending: {0},Venter: {0}
Pending: {0} | Synced: {1} | Draft: {2},Venter: {0} | Synkronisert: {1} | Utkast: {2}
Per Page,Per side
Personal,Personlig
Personal preferences adjust the current cashier experience without changing the active POS route.,Personlige preferanser justerer gjeldende kassereropplevelse uten å endre den aktive POS-ruten.
PIN confirmation does not match.,PIN-bekreftelsen stemmer ikke overens.
PIN must be 4 to 8 digits.,PIN-koden må bestå av 4 til 8 sifre.
Please add at least one item.,Vennligst legg til minst ett element.
Please allow camera access to scan codes,Gi kameratilgang for å skanne koder
Please enter payment amount,Vennligst skriv inn betalingsbeløp
Please fill all required fields,Fyll ut alle obligatoriske felt
Please make a payment or select a payment,Vennligst foreta en betaling eller velg en betaling
Please request phone payment or use another payment method,Vennligst be om telefonbetaling eller bruk en annen betalingsmetode
Please select a customer first,Velg en kunde først
Please select a party,Velg et parti
Please select a party before reconciling.,Velg en part før avstemming.
Please select a valid movement type.,Velg en gyldig bevegelsestype.
Please select an invoice,Velg en faktura
Please select company before reconciling.,Velg selskap før avstemming.
Please set the customer's mobile number,Vennligst angi kundens mobilnummer
Please try again or enter the item manually.,Vennligst prøv igjen eller skriv inn elementet manuelt.
Please verify the barcode or check the item's availability.,Vennligst bekreft strekkoden eller sjekk varens tilgjengelighet.
Points,Poeng
Popup blocked. Please allow popups.,Popup blokkert. Vennligst tillat popup-vinduer.
POS,POS
POS controls and maintenance,POS kontroller og vedlikehold
POS Expense is disabled for this POS Profile.,POS-utgifter er deaktivert for denne POS-profilen.
POS is running with limited offline prerequisites.,POS kjører med begrensede frakoblede forutsetninger.
POS Profile,POS-profil
Position the QR code or barcode within the scanning area,Plasser QR-koden eller strekkoden innenfor skanneområdet
Posting,Innlegg
Posting and Price List,Oppslag og prisliste
Posting Date,Innleggsdato
Preparing background sync,Forbereder bakgrunnssynkronisering
"Press OK to continue offline with a warning, or Cancel to retry.","Trykk OK for å fortsette offline med en advarsel, eller Avbryt for å prøve på nytt."
Previous unit of measure,Tidligere måleenhet
Price List,Prisliste
Price List Rate,Prisliste Pris
Price list rate updated locally only,Prislistepris oppdatert kun lokalt
Pricing & Discounts,Priser og rabatter
Pricing Rule,Prisregel
Print,Skriv ut
Print Draft,Skriv ut utkast
Print Format (Invoice),Utskriftsformat (faktura)
Print Format (Order),Utskriftsformat (bestilling)
Print invoice,Skriv ut faktura
Print Purchase Invoice instead of PO,Skriv ut kjøpsfaktura i stedet for PO
Printer,Skriver
Processed returns impacting the shift totals,Behandlede returer som påvirker skifttotalene
Processing Payment,Behandler betaling
Processing payment entries for Invoice {0},Behandler betalingsoppføringer for faktura {0}
Profile,Profil
Profiles,Profiler
Profit,Fortjeneste
Profit: Invoice Item Estimate,Fortjeneste: Fakturavareanslag
Profit: Stock Ledger (COGS),Fortjeneste: Stock Ledger (COGS)
Profitability Report,Lønnsomhetsrapport
Prorated return discount,Forholdsmessig returrabatt
Purchase Amount,Kjøpsbeløp
Purchase Invoices,Kjøpsfakturaer
Purchase Order created,Innkjøpsordre opprettet
Qty,Antall
Qualified,Kvalifisert
Quantity,Mengde
Quantity exceeds available stock,Mengden overstiger tilgjengelig lager
Quick Actions,Raske handlinger
Quotation {0} is Submitted,Tilbud {0} er sendt inn
Quotation submitted,Tilbud innsendt
QZ Tray connected.,QZ-skuff tilkoblet.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ-skuffen kobles fra manuelt. Trykk på Koble til for å aktivere den igjen.
QZ Tray is not connected.,QZ-skuffen er ikke tilkoblet.
QZ Tray Setup,QZ-skuffoppsett
Rate,Vurder
Rate adjusted to maximum allowed discount,Pris justert til maksimal tillatt rabatt
Ready,Klar
Ready to resume,Klar til å fortsette
Ready!,Klar!
Real-time POS insights for retail operations.,Sanntids POS-innsikt for detaljhandel.
Rebuild Offline Data,Gjenoppbygg frakoblede data
Receive,Motta
Receive now,Motta nå
Received,Mottatt
Received:,Mottatt:
Recent Movement Entries,Nylige bevegelsesoppføringer
Recent updates about your invoices,Nylige oppdateringer om fakturaene dine
Recently Active Customers,Nylig aktive kunder
Rechecking connection,Kontrollerer tilkoblingen på nytt
Reconcile payment methods and close shift,Avstem betalingsmåter og lukk skiftet
Reconciling Payments,Avstemming av betalinger
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Koble til på nytt og åpne denne siden én gang mens du er tilkoblet, så vil frakoblede oppdateringer kunne gjenopprette den."
Reconnect online to refresh cached offline data from the server.,Koble til på nytt for å oppdatere bufrede frakoblede data fra serveren.
Recreate local offline prerequisites from scratch,Gjenskap lokale frakoblede forutsetninger fra bunnen av
Recv:,Recv:
Redeem,Løs inn
Redeem / Scan,Løs inn / skann
Redeem Amount,Løs inn beløp
Redeem Mode,Løs inn-modus
Redeemed Amount,Innløst beløp
Redeemed credit cannot be greater than its total.,Innløst kreditt kan ikke være større enn totalen.
Redemption and Totals,Innløsning og totaler
Reference,Referanse
Refresh,Oppdater
Refresh Exchange Rate,Oppdater valutakurs
Refresh Offline Data,Oppdater frakoblet data
Refresh Printers,Oppdater skrivere
Refund,Refusjon
Release Notes,Utgivelsesnotater
Reload,Last inn på nytt
Reload customers,Last inn kunder på nytt
Reload Items,Last inn elementer på nytt
Reload Now,Last inn på nytt nå
Reload to apply the latest changes. Your current session will be refreshed.,Last inn på nytt for å bruke de siste endringene. Din nåværende økt vil bli oppdatert.
Reload Workflow,Last inn arbeidsflyt på nytt
Remarks,Merknader
Remarks are required.,Merknader kreves.
Remove,Fjern
Remove barcode item,Fjern strekkodeelementet
Remove cached data and reload the POS app,Fjern bufrede data og last inn POS-appen på nytt
Remove item,Fjern elementet
Remove Offer,Fjern tilbudet
Reorder / Purchase Suggestions,Ombestilling / kjøpsforslag
Repair Candidate,Reparasjonskandidat
Repair Change Allocation,Reparasjon Endre tildeling
Repair requires an online connection,Reparasjon krever en nettforbindelse
Repaired,Reparert
Repairing change allocation,Reparasjon av endringstildeling
Repeat Customers,Gjenta kunder
Repeat Rate,Gjenta rate
Request,Forespørsel
Request ID: {0},Forespørsels-ID: {0}
Request Payment,Be om betaling
Requested route: {0},Forespurt rute: {0}
Required columns cannot be hidden,Nødvendige kolonner kan ikke skjules
Reset,Tilbakestill
Reset item name,Tilbakestill elementnavnet
Reset to Default,Tilbakestill til standard
Resource Health,Ressurshelse
Restricted,Begrenset
Restricted operational controls for supervisors only.,Begrensede operasjonelle kontroller for veiledere.
Retry,Prøv på nytt
Retry route,Prøv ruten på nytt
Return,Retur
Return Amount,Returbeløp
Return Count,Tilbaketelling
Return items must have negative quantities,Returvarer må ha negativt antall
Return total must be negative,Retursummen må være negativ
Return Valid Until,Retur Gyldig til
Return window passed,Returvinduet passert
Return without Invoice,Retur uten faktura
Returns,Returnerer
Returns / Voids / Discounts,Returer / ugyldigheter / rabatter
Returns by Currency,Returer etter valuta
Revenue,Inntekter
Review shift totals before submitting the closing entry,Gjennomgå skifttotaler før du sender inn den avsluttende oppføringen
Round Off,Rund av
Rows,Rader
Rows:,Rader:
Rule,Regel
Sale,Salg
Sales,Salg
Sales Order {0} is Submitted,Salgsordre {0} er sendt
Sales Person and Print,Selger og trykk
Sales Person not found,Selger ikke funnet
Sales processed,Salg behandlet
Sales Return,Salgsretur
Sales Trend Report,Salgstrendrapport
Save,Lagre
Save & Clear,Lagre og slett
Save as POS Profile Default,Lagre som standard for POS-profil
Save Settings,Lagre innstillinger
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Lagre den valgte skriveren som standard POS-profil, slik at den vises automatisk på dette oppsettet."
Saved as draft because: {0},Lagret som utkast fordi: {0}
Saving...,Lagrer...
Scale barcode detected. Quantity here is the number of labels to print.,Skala strekkode oppdaget. Antall her er antall etiketter som skal skrives ut.
Scale barcode settings are not configured. Using item barcode only.,Skaleringsstrekkodeinnstillinger er ikke konfigurert. Bruker kun varestrekkode.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Strekkode for skalamal mangler for denne varen/UOM. Bruker kun varestrekkode.
Scan an existing card and top it up without leaving the payment flow.,Skann et eksisterende kort og fyll det på uten å forlate betalingsflyten.
Scan Error,Skannefeil
Scan or enter a gift card code to check balance or redeem.,Skann eller skriv inn en gavekortkode for å sjekke saldo eller løse inn.
Scan or paste the card code below.,Skann eller lim inn kortkoden nedenfor.
Scan QR Code/Barcode,Skann QR-kode/strekkode
Scan with camera,Skann med kamera
Scan-First Flow,Scan-First Flow
Scanned Code:,Skannet kode:
Scanning for: {0},Skanner etter: {0}
Scanning items,Skanner elementer
Scan-Ready,Skanne-klar
Scope,Omfang
Scope: All Profiles,Omfang: Alle profiler
Scope: Current Profile,Omfang: Gjeldende profil
Scope: Specific Profile,Omfang: Spesifikk profil
Search,Søk
Search Account,Søk i konto
Search an invoice and continue the return flow without extra steps.,Søk etter en faktura og fortsett returflyten uten ekstra trinn.
Search customer,Søk kunde
Search invoices or customers,Søk etter fakturaer eller kunder
Search item,Søk element
Search item / code,Søk element / kode
Search items or barcode,Søk etter varer eller strekkode
Search Mpesa Payments,Søk i Mpesa Payments
Search return invoices or customers,Søk etter returfakturaer eller kunder
Search supplier,Søk etter leverandør
Search unpaid invoices or customers,Søk etter ubetalte fakturaer eller kunder
Secure context (HTTPS or localhost) is required for camera access.,Sikker kontekst (HTTPS eller localhost) kreves for kameratilgang.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Sikker kontekst (HTTPS) kreves for kameratilgang. Bruk HTTPS for å få tilgang til kameraet.
Select,Velg
Select a cashier first.,Velg en kasserer først.
Select a customer,Velg en kunde
Select a customer to use coupon,Velg en kunde for å bruke kupong
Select a printer to use QZ silent printing.,Velg en skriver for å bruke stillegående QZ-utskrift.
Select Batch,Velg Batch
Select Columns to Display,Velg kolonner som skal vises
Select items to sell,Velg varer som skal selges
Select Payment,Velg Betaling
Select Payment Account,Velg Betalingskonto
Select printer,Velg skriver
Select Return Invoice,Velg Returfaktura
Select S.O,Velg S.O
Select Sales Orders,Velg Salgsordrer
Select the cashier who is taking over this terminal.,Velg kassereren som tar over denne terminalen.
Selected,Valgt
Selected movement type is not allowed by POS Profile.,Valgt bevegelsestype er ikke tillatt av POS-profilen.
Selected Payments,Valgte betalinger
Sensitive actions kept away from quick taps.,Sensitive handlinger holdt unna raske trykk.
Serial,Seriell
Serial Numbers,Serienumre
Server CPU Usage:,Server CPU-bruk:
Server Health,Serverhelse
Server Memory Usage:,Serverminnebruk:
Server Metrics,Serverberegninger
Server Uptime:,Serveroppetid:
Service Charges,Servicegebyrer
Session,Sesjon
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Angi hver kasserer-PIN i brukerskjemaet og behold terminalmedlemmer tildelt i POS-profilbruker.
Settings,Innstillinger
Settings in this section update the POS workspace without changing the current route.,Innstillinger i denne delen oppdaterer POS-arbeidsområdet uten å endre gjeldende rute.
Setup complete!,Oppsettet er fullført!
Share,Del
Shared terminal,Delt terminal
Shift Closed Snapshot,Skift lukket øyeblikksbilde
Shift Overview,Skiftoversikt
Show,Vis
Show cart on customer-facing screen,Vis handlekurven på kundevendt skjerm
Show last invoice rate,Vis siste fakturasats
Show rate info,Vis prisinformasjon
Show Repair Candidates,Vis reparasjonskandidater
Show search tools,Vis søkeverktøy
Show the active cart on a customer-facing screen,Vis den aktive handlekurven på en kundevendt skjerm
Showing {0}-{1} of {2},Viser {0}-{1} av {2}
Showing 0 of 0,Viser 0 av 0
Shows the distribution of invoices per currency,Viser fordelingen av fakturaer per valuta
Sign out of the current POS session,Logg av gjeldende POS-økt
Size:,Størrelse:
Skipped Payments,Hoppet over betalinger
Skipping items without barcodes,Hopp over varer uten strekkoder
Slow Moving,Slow Moving
Slow Moving Items,Sakte bevegelige elementer
Slow Queries:,Langsomme søk:
Sold,Solgt
Source,Kilde
Source Cash Account (Optional Override),Kildekontantkonto (valgfri overstyring)
Source Ex. Rate:,Kilde Eks. Pris:
Source Rate:,Kildefrekvens:
Specific Profile,Spesifikk profil
Split Invoices,Del fakturaer
Staff / Cashier Performance Report,Personal / kasserer resultatrapport
Status,Status
Stock,Lager
Stock Information,Lagerinformasjon
Stock is lower than requested,Lagerbeholdningen er lavere enn forespurt
Stock is lower than requested:\n{0},Lagerbeholdningen er lavere enn forespurt:\n{0}
Stock Movement Report,Aksjebevegelsesrapport
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Lageroppdatering: {0} har {1} tilgjengelig. Å legge til {2} vil bringe aksjen under null.
Submit,Send inn
Submit & Print,Send inn og skriv ut
Submit Deposit,Send inn innskudd
Submit Expense,Send inn utgift
Submitted,Sendt inn
Submitted Cash Movements,Innsendte kontantbevegelser
Submitted entries,Innsendte bidrag
Successfully scanned:,Vellykket skannet:
Suggested,Foreslått
Suggested Qty,Foreslått antall
Supervisor Access,Veiledertilgang
Supervisor permissions unlock issuance and reloads,Supervisor-tillatelser låser opp utstedelse og laster inn på nytt
Supervisor Tools,Veilederverktøy
Supplier,Leverandør
Supplier and dates are required.,Leverandør og datoer er påkrevd.
Supplier Invoices,Leverandørfakturaer
Supplier is required.,Leverandør er påkrevd.
Supplier name is required,Leverandørnavn er påkrevd
Supplier Payments,Leverandørbetalinger
Supplier Purchase Summary,Sammendrag av leverandørkjøp
Suppliers,Leverandører
Suppliers not found,Finner ikke leverandører
Switch Camera,Bytt kamera
Switch Cashier,Bytt kasserer
Switch the POS appearance theme,Bytt POS-utseendetema
Switched to:,Byttet til:
Sync All Invoices,Synkroniser alle fakturaer
Sync Offline Cash Movements ({0}),Synkroniser kontantbevegelser uten nett ({0})
Sync Offline Sales,Synkroniser salg uten nett
Synced {0} offline cash movement(s).,Synkroniserte {0} kontantbevegelse(r) uten nett.
Syncing items in background,Synkroniserer elementer i bakgrunnen
System / Diagnostics,System / Diagnostikk
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Systemhandlinger er lavfrekvente vedlikeholdskontroller som appinformasjon, støttediagnostikk og øktkontroller."
System Information,Systeminformasjon
System Status,Systemstatus
Tables:,Tabeller:
Tap the button below to redeem a gift card during checkout.,Trykk på knappen nedenfor for å løse inn et gavekort under kassen.
Target,Mål
Target Ex. Rate:,Mål Eks. Pris:
Target Rate:,Målfrekvens:
Tax,Skatt
Tax / Charges Report,Skatt / avgiftsrapport
Tax Heads,Skattehoder
Taxable Amount,Skattepliktig beløp
Tendered,Tilbudt
Terminal,Terminal
Terminal & Devices,Terminal og enheter
Terminal locked,Terminal låst
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminalverktøy påvirker denne utsjekkingsstasjonen, kundevendte skjermer og fremtidige skriver-/enhetskontroller."
Territory not found,Område ikke funnet
The amount paid is not complete,Beløpet som er betalt er ikke fullstendig
The app stores data locally for offline use. This is called cache.,Appen lagrer data lokalt for offline bruk. Dette kalles cache.
The invoice stayed in draft. Please review and submit it manually.,Fakturaen ble stående i utkast. Se gjennom og send den inn manuelt.
The maximum discount allowed is,Maksimal rabatt tillatt er
The quantity for {0} has been adjusted to the maximum available stock.,Antallet for {0} er justert til maksimalt tilgjengelig lager.
The system could not retrieve the item details. Please try again.,Systemet kunne ikke hente varedetaljene. Vennligst prøv igjen.
These invoices will be synced when connection is restored,Disse fakturaene vil bli synkronisert når tilkoblingen gjenopprettes
This action now opens inside the settings workspace.,Denne handlingen åpnes nå i arbeidsområdet for innstillinger.
This coupon already used !,Denne kupongen er allerede brukt!
This invoice does not need change-allocation repair,Denne fakturaen trenger ikke reparasjon av endringsallokering
This invoice is already repaired,Denne fakturaen er allerede reparert
This is an item template. Please choose a variant.,Dette er en varemal. Velg en variant.
this item,denne varen
This POS page could not be opened offline because its code was not cached on this terminal yet.,Denne POS-siden kunne ikke åpnes frakoblet fordi koden ikke var bufret på denne terminalen ennå.
This Serial Number {0} has already been added!,Dette serienummeret {0} er allerede lagt til!
Threshold,Terskel
Time,Tid
Tip: Clear cache regularly to free up space and keep the app fast.,Tips: Tøm hurtigbufferen regelmessig for å frigjøre plass og holde appen rask.
