POS Awesome,POS អស្ចារ្យ
Disable offline mode first to recheck live connectivity.,បិទមុខងារក្រៅបណ្តាញជាមុនសិន ដើម្បីពិនិត្យមើលការតភ្ជាប់បន្តផ្ទាល់។
Disconnect,ផ្តាច់
discount,ការបញ្ចុះតម្លៃ
Discount %,បញ្ចុះតម្លៃ%
Discount / Void / Return Report,ការបញ្ចុះតម្លៃ / មោឃៈ / របាយការណ៍ត្រឡប់មកវិញ
Discount Amount,ចំនួនទឹកប្រាក់បញ្ចុះតម្លៃ
Discount limited by POS Profile,ការបញ្ចុះតម្លៃកំណត់ដោយ POS Profile
Discounted Invoices,វិក្កយបត្របញ្ចុះតម្លៃ
Discounts,ការបញ្ចុះតម្លៃ
Dismiss,ច្រានចោល
Download Certificate,ទាញយកវិញ្ញាបនប័ត្រ
Draft,សេចក្តីព្រាង
Draft invoice deleted,វិក្កយបត្រព្រាងត្រូវបានលុប
Draft source,ប្រភពសេចក្តីព្រាង
Drafts,សេចក្តីព្រាង
Due {0},ដល់កំណត់ {0}
Due Date,កាលបរិច្ឆេទផុតកំណត់
Duplicate,ស្ទួន
Edit customer,កែសម្រួលអតិថិជន
Edit discount amount,កែសម្រួលចំនួនបញ្ចុះតម្លៃ
Edit discount percentage,កែសម្រួលភាគរយបញ្ចុះតម្លៃ
Edit Gift Application,កែសម្រួលកម្មវិធីអំណោយ
Edit item name,កែសម្រួលឈ្មោះធាតុ
Edit quantity,កែសម្រួលបរិមាណ
Edit rate,កែសម្រួលអត្រា
Edit unit of measure,កែសម្រួលឯកតារង្វាស់
Edited,បានកែសម្រួល
Employee,និយោជិត
Enable background sync,បើកដំណើរការសមកាលកម្មផ្ទៃខាងក្រោយ
Enable Customer Display in POS Profile first.,បើកការបង្ហាញអតិថិជននៅក្នុង POS Profile ជាមុនសិន។
Enter a PIN.,បញ្ចូលកូដ PIN ។
Enter a valid grams value,បញ្ចូលតម្លៃក្រាមត្រឹមត្រូវ។
Enter new price list rate,បញ្ចូលអត្រាបញ្ជីតម្លៃថ្មី។
Enter Quantity,បញ្ចូលបរិមាណ
Enter the cashier PIN to continue.,បញ្ចូលកូដ PIN អ្នកគិតលុយ ដើម្បីបន្ត។
Enter the current PIN first.,បញ្ចូលលេខសម្ងាត់បច្ចុប្បន្នជាមុនសិន។
"Enter the current PIN, then choose a new one.",បញ្ចូលកូដ PIN បច្ចុប្បន្ន បន្ទាប់មកជ្រើសរើសលេខកូដថ្មី។
Enter valid grams for scale barcode,បញ្ចូលក្រាមត្រឹមត្រូវសម្រាប់បាកូដខ្នាត
Entries,ធាតុ
Error accessing camera:,កំហុសក្នុងការចូលប្រើកាមេរ៉ា៖
Error calculating prices,កំហុសក្នុងការគណនាតម្លៃ
Error fetching customer balance,កំហុសក្នុងការទាញយកសមតុល្យអតិថិជន
Error in change calculations!,កំហុសក្នុងការផ្លាស់ប្តូរការគណនា!
Error Loading Data,កំហុសក្នុងការផ្ទុកទិន្នន័យ
Error loading invoice details,កំហុសក្នុងការផ្ទុកព័ត៌មានលម្អិតវិក្កយបត្រ
Error processing invoice,មានកំហុសក្នុងដំណើរការវិក្កយបត្រ
Error processing payment,កំហុសក្នុងដំណើរការការទូទាត់
Error searching invoices,កំហុសក្នុងការស្វែងរកវិក្កយបត្រ
Error submitting invoice:,កំហុសក្នុងការដាក់វិក្កយបត្រ៖
Error submitting invoice: {0},កំហុសក្នុងការដាក់វិក្កយបត្រ៖ {0}
Error submitting invoice: No response from server,កំហុសក្នុងការដាក់វិក្កយបត្រ៖ មិនមានការឆ្លើយតបពីម៉ាស៊ីនមេទេ។
Error updating currency,កំហុសក្នុងការធ្វើបច្ចុប្បន្នភាពរូបិយប័ណ្ណ
Error updating item details,កំហុសក្នុងការធ្វើបច្ចុប្បន្នភាពព័ត៌មានលម្អិតរបស់ធាតុ
Est. Purchase,ប៉ាន់ស្មាន ទិញ
Est. Value,ប៉ាន់ស្មាន តម្លៃ
Event-loop lag measures how busy your browser is. Lower is better.,Event-loop lag វាស់វែងថាតើកម្មវិធីរុករករបស់អ្នករវល់ប៉ុណ្ណា។ ទាបជាងគឺល្អជាង។
Every,រាល់
Exchange Rate,អត្រាប្តូរប្រាក់
Expand item details,ពង្រីកព័ត៌មានលម្អិតអំពីធាតុ
Expected Amount (In Company Currency),ចំនួនទឹកប្រាក់រំពឹងទុក (ជារូបិយប័ណ្ណរបស់ក្រុមហ៊ុន)
Expected Cash,សាច់ប្រាក់ដែលរំពឹងទុក
Expected cash on hand grouped by currency,សាច់ប្រាក់ដែលរំពឹងទុកនៅលើដៃដាក់ជាក្រុមតាមរូបិយប័ណ្ណ
Expected vs Actual,ការរំពឹងទុកទល់នឹងការពិត
Expense,ចំណាយ
Expense Account (Optional Override),គណនីចំណាយ (បដិសេធជាជម្រើស)
Expense account is required.,គណនីចំណាយត្រូវបានទាមទារ។
Expenses and deposits posted during this shift,ការចំណាយ និងប្រាក់បញ្ញើដែលបានបង្ហោះក្នុងអំឡុងពេលផ្លាស់ប្តូរនេះ។
Expired,ផុតកំណត់
Failed to auto reconcile payments.,បរាជ័យក្នុងការផ្សះផ្សាការបង់ប្រាក់ដោយស្វ័យប្រវត្តិ។
Failed to cancel cash movement,បរាជ័យក្នុងការលុបចោលចលនាសាច់ប្រាក់
Failed to clear cache,បរាជ័យក្នុងការសម្អាតឃ្លាំងសម្ងាត់
Failed to create item,បរាជ័យក្នុងការបង្កើតធាតុ
Failed to create supplier,បរាជ័យក្នុងការបង្កើតអ្នកផ្គត់ផ្គង់
Failed to delete cash movement,បរាជ័យក្នុងការលុបចលនាសាច់ប្រាក់
Failed to generate scale barcode. Using item barcode only.,បរាជ័យក្នុងការបង្កើតរបារកូដខ្នាត។ ប្រើតែបាកូដធាតុ។
Failed to load cash movement context.,បរាជ័យក្នុងការផ្ទុកបរិបទនៃចលនាសាច់ប្រាក់។
Failed to load dashboard data.,បានបរាជ័យក្នុងការផ្ទុកទិន្នន័យផ្ទាំងគ្រប់គ្រង។
Failed to reload invoice from server,បរាជ័យក្នុងការផ្ទុកវិក្កយបត្រពីម៉ាស៊ីនមេឡើងវិញ
Failed to submit cash movement,បរាជ័យក្នុងការបញ្ជូនចលនាសាច់ប្រាក់
Failed to sync offline cash movements,បរាជ័យក្នុងការធ្វើសមកាលកម្មចលនាសាច់ប្រាក់ក្រៅបណ្តាញ
Fast cashier actions for active shifts.,សកម្មភាពអ្នកគិតលុយរហ័សសម្រាប់ការផ្លាស់ប្តូរសកម្ម។
Fast Moving Items,ធាតុផ្លាស់ទីលឿន
Fees,ថ្លៃសេវា
Fetch the latest offline prerequisite updates,ទាញយកការអាប់ដេតតាមតម្រូវការជាមុនក្រៅបណ្តាញចុងក្រោយបង្អស់
Find a sales order quickly and load it into the current sale.,ស្វែងរកការបញ្ជាទិញលក់យ៉ាងឆាប់រហ័ស ហើយផ្ទុកវាទៅក្នុងការលក់បច្ចុប្បន្ន។
Fixing payment amounts for return invoice...,កំពុង​ជួសជុល​ចំនួន​ទូទាត់​សម្រាប់​វិក្កយបត្រ​ត្រឡប់...
Flash Off,បិទពន្លឺ
Flash On,បើកពន្លឺ
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",សម្រាប់ធាតុ 'កញ្ចប់ផលិតផល' ឃ្លាំង លេខស៊េរី និងលេខបាច់នឹងត្រូវបានពិចារណាពីតារាង 'បញ្ជីវេចខ្ចប់' ។ ប្រសិនបើ Warehouse និង Batch No គឺដូចគ្នាសម្រាប់ធាតុវេចខ្ចប់ទាំងអស់សម្រាប់ធាតុ 'Product Bundle' ណាមួយ តម្លៃទាំងនោះអាចត្រូវបានបញ្ចូលក្នុងតារាងធាតុសំខាន់។ តម្លៃនឹងត្រូវបានចម្លងទៅតារាង 'បញ្ជីវេចខ្ចប់' ។
Free,ឥតគិតថ្លៃ
Free Qty,Qty ឥតគិតថ្លៃ
Frequency,ប្រេកង់
from,ពី
From Date,ពីកាលបរិច្ឆេទ
Fulfillment Details,ព័ត៌មានលម្អិតនៃការបំពេញ
Full Name,ឈ្មោះពេញ
Gain,ទទួលបាន
Generate a fresh prepaid card and start it with an opening balance.,បង្កើតកាតបង់ប្រាក់ជាមុនថ្មី ហើយចាប់ផ្តើមវាជាមួយនឹងសមតុល្យបើក។
Generate and install the certificate to allow fully silent printing without trust prompts.,បង្កើត និងដំឡើងវិញ្ញាបនបត្រ ដើម្បីអនុញ្ញាតឱ្យការបោះពុម្ពដោយស្ងៀមស្ងាត់ទាំងស្រុង ដោយមិនមានការណែនាំអំពីទំនុកចិត្ត។
Generate Certificate,បង្កើតវិញ្ញាបនប័ត្រ
Generated scale barcode: {0},បាកូដខ្នាតដែលបានបង្កើត៖ {0}
Get Payments,ទទួលបានការទូទាត់
Gift Card,កាតអំណោយ
Gift card amount must be greater than zero.,ចំនួនកាតអំណោយត្រូវតែធំជាងសូន្យ។
Gift Card Code,លេខកូដប័ណ្ណអំណោយ
Gift card code is required for redemption,លេខកូដប័ណ្ណអំណោយត្រូវបានទាមទារសម្រាប់ការប្រោសលោះ
Gift card code is required.,លេខកូដប័ណ្ណអំណោយត្រូវបានទាមទារ។
Gift card issued successfully.,កាតអំណោយត្រូវបានចេញដោយជោគជ័យ។
Gift card loaded successfully.,កាតអំណោយត្រូវបានផ្ទុកដោយជោគជ័យ។
Gift Card Management,ការគ្រប់គ្រងកាតអំណោយ
Gift card payment,ការទូទាត់កាតអំណោយ
Gift card redemption requires an online connection,ការប្រោសលោះកាតអំណោយតម្រូវឱ្យមានការតភ្ជាប់អ៊ីនធឺណិត
Gift card topped up successfully.,កាតអំណោយត្រូវបានបញ្ចូលដោយជោគជ័យ។
Gift Cards,កាតអំណោយ
Go to Frappe Desk,ទៅកាន់ Frappe Desk
Grand Total,សរុបធំ
Gross Margin,រឹមសរុប
Gross Profit,ប្រាក់ចំណេញដុល
Gross Sales,ការលក់សរុប
Group not found,រកមិនឃើញក្រុមទេ។
"Grouped controls for terminal, UI, and session settings.",ការគ្រប់គ្រងជាក្រុមសម្រាប់ស្ថានីយ UI និងការកំណត់សម័យ។
Grouped totals for each payment method and currency,សរុបជាក្រុមសម្រាប់វិធីបង់ប្រាក់ និងរូបិយប័ណ្ណនីមួយៗ
Hide,លាក់
Hide Gift Card,លាក់កាតអំណោយ
Hide Non Essential Fields,លាក់វាលមិនសំខាន់
Hide quantity decimals,លាក់ទសភាគបរិមាណ
Hide search tools,លាក់ឧបករណ៍ស្វែងរក
Hide zero rated items,លាក់ធាតុដែលបានវាយតម្លៃសូន្យ
High,ខ្ពស់។
History,ប្រវត្តិសាស្ត្រ
Hourly (Today),រៀងរាល់ម៉ោង (ថ្ងៃនេះ)
How this section works,របៀបដែលផ្នែកនេះដំណើរការ
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",ប្រសិនបើទិន្នន័យជាប់គាំង សូមបើក ការកំណត់ > ក្រៅបណ្តាញ និងសមកាលកម្ម ហើយដំណើរការបង្កើតទិន្នន័យក្រៅបណ្តាញឡើងវិញម្តងទៀត ខណៈពេលដែលមានអ៊ីនធឺណិត។
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",ប្រសិនបើការព្រមាននៅតែបន្ត បើកការកំណត់ > ក្រៅបណ្តាញ និងសមកាលកម្ម បន្ទាប់មកដំណើរការផ្ទុកទិន្នន័យក្រៅបណ្តាញឡើងវិញ ឬបង្កើតទិន្នន័យក្រៅបណ្តាញឡើងវិញ។
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,នាំចូលវិញ្ញាបនបត្រទៅក្នុង QZ Tray ហើយចាប់ផ្តើម QZ Tray ឡើងវិញនៅលើម៉ាស៊ីន POS នីមួយៗ។
In,ក្នុង
In stock: {0},មានក្នុងស្តុក៖ {0}
Include Batch / Serial,រួមបញ្ចូលបាច់ / សៀរៀល
Include Price,រួមបញ្ចូលតម្លៃ
Increase quantity,បង្កើនបរិមាណ
IndexedDB,IndexedDB
Initial Amount,ចំនួនទឹកប្រាក់ដំបូង
Initialize your shift with opening balances,ចាប់ផ្តើមការផ្លាស់ប្តូររបស់អ្នកជាមួយនឹងសមតុល្យបើក
Initializing application...,កំពុងចាប់ផ្តើមកម្មវិធី...
"Inspect cache, sync, and prerequisite status",ពិនិត្យឃ្លាំងសម្ងាត់ ធ្វើសមកាលកម្ម និងស្ថានភាពតម្រូវការជាមុន
Installed Applications,កម្មវិធីដែលបានដំឡើង
Insufficient stock:\n{0},ស្តុកមិនគ្រប់គ្រាន់៖\n{0}
Invalid rate,អត្រា​មិន​ត្រឹមត្រូវ
Inventory Status Report,របាយការណ៍ស្ថានភាពសារពើភ័ណ្ឌ
Invoice,វិក្កយបត្រ
Invoice {0} is Submitted,វិក្កយបត្រ {0} ត្រូវបានបញ្ជូន
Invoice {0} processed successfully,វិក្កយបត្រ {0} បានដំណើរការដោយជោគជ័យ
Invoice {0} submission failed,ការបញ្ជូនវិក័យប័ត្រ {0} បានបរាជ័យ
Invoice {0} was already submitted,វិក្កយបត្រ {0} ត្រូវបានបញ្ជូនរួចហើយ
Invoice Adjustments,ការកែតម្រូវវិក្កយបត្រ
Invoice Change,ការផ្លាស់ប្តូរវិក្កយបត្រ
Invoice Details,ព័ត៌មានលម្អិតអំពីវិក្កយបត្រ
Invoice is still in draft after background submission.,វិក្កយបត្រនៅតែស្ថិតក្នុងសេចក្តីព្រាងបន្ទាប់ពីការបញ្ជូនផ្ទៃខាងក្រោយ។
Invoice Items,ធាតុវិក្កយបត្រ
Invoice Management,ការគ្រប់គ្រងវិក្កយបត្រ
Invoice Mgmt,វិក្កយបត្រ Mgmt
Invoice saved offline,វិក្កយបត្រត្រូវបានរក្សាទុកក្រៅបណ្តាញ
Invoice submission failed,ការបញ្ជូនវិក្កយបត្របានបរាជ័យ
Invoice Submitted,បានបញ្ជូនវិក្កយបត្រ
"Invoice value settled by loyalty points, not cash collection",តម្លៃវិក័យប័ត្រទូទាត់ដោយពិន្ទុភក្ដីភាព មិនមែនការប្រមូលសាច់ប្រាក់ទេ។
Invoices,វិក្កយបត្រ
Invoices already past due date,វិក្កយបត្រហួសកាលបរិច្ឆេទកំណត់រួចហើយ
Invoices saved as POS Invoices,វិក្កយបត្រត្រូវបានរក្សាទុកជាវិក្កយបត្រ POS
Invoices still carrying balances,វិក្កយបត្រនៅតែមានសមតុល្យ
Issue Mode,របៀបបញ្ហា
Issue New Card,ចេញប័ណ្ណថ្មី។
Issue Workflow,បញ្ហាលំហូរការងារ
"Issue, top up, and check",ចេញ បញ្ចូលទឹកប្រាក់ និងពិនិត្យ
Item,ធាតុ
Item / Product Sales Report,របាយការណ៍លក់ទំនិញ/ផលិតផល
Item {0} added to invoice,ធាតុ {0} ត្រូវបានបញ្ចូលទៅក្នុងវិក្កយបត្រ
Item '{0}' has no barcode,ធាតុ '{0}' មិនមានបាកូដទេ។
Item Code,លេខកូដធាតុ
Item created successfully,ធាតុត្រូវបានបង្កើតដោយជោគជ័យ
Item is out of stock,ទំនិញអស់ពីស្តុក
Item Name,ឈ្មោះធាតុ
Item not found,រកមិនឃើញធាតុទេ។
Item order updated,បានធ្វើបច្ចុប្បន្នភាពការបញ្ជាទិញទំនិញ
Item Selector Settings,ការកំណត់កម្មវិធីជ្រើសរើសធាតុ
Items,ធាតុ
Items added in POS will appear here automatically.,ធាតុដែលបានបន្ថែមនៅក្នុងម៉ាស៊ីនឆូតកាតនឹងបង្ហាញនៅទីនេះដោយស្វ័យប្រវត្តិ។
Items added to invoice,ធាតុត្រូវបានបញ្ចូលទៅក្នុងវិក្កយបត្រ
Items per page,ធាតុក្នុងមួយទំព័រ
Items Sold,ទំនិញបានលក់
Items/Invoice,ទំនិញ/វិក្កយបត្រ
Item-wise Profitability,ប្រាក់ចំណេញតាមវត្ថុ
Journal Entry,ធាតុទិនានុប្បវត្តិ
json,ជេសុន
Just now,ឥឡូវនេះ
Keep offline prerequisites healthy and recover stale data safely.,រក្សាតម្រូវការជាមុនក្រៅបណ្តាញឱ្យមានសុខភាពល្អ និងសង្គ្រោះទិន្នន័យដែលជាប់គាំងដោយសុវត្ថិភាព។
Labels,ស្លាក
"Language, theme, terminal tools, and session controls.",ភាសា ស្បែក ឧបករណ៍ស្ថានីយ និងការគ្រប់គ្រងសម័យ។
Last,ចុងក្រោយ
Last 14 Days (Paid vs Pending),14 ថ្ងៃចុងក្រោយ (បង់ប្រាក់ធៀបនឹងការរង់ចាំ)
Last 14 Days Activity,សកម្មភាព 14 ថ្ងៃចុងក្រោយ
Last 14 Days Gross Profit,ប្រាក់ចំណេញសរុប 14 ថ្ងៃចុងក្រោយ
Last 14 Days Purchases,ការទិញ 14 ថ្ងៃចុងក្រោយ
Last 14 Days Tax/Charges,ពន្ធ/ការគិតថ្លៃរយៈពេល 14 ថ្ងៃចុងក្រោយ
Last sync:,សមកាលកម្មចុងក្រោយ៖
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},សមកាលកម្មចុងក្រោយ៖ {0} | យល់ព្រម៖ {1} | បរាជ័យ៖ {2} | បានរំលង៖ {3}
Latest entries for current shift,ធាតុចុងក្រោយសម្រាប់ការផ្លាស់ប្តូរបច្ចុប្បន្ន
Lead Time,ពេលវេលានាំមុខ
Limited,មានកំណត់
lines,បន្ទាត់
List,បញ្ជី
Live Snapshot,រូបថតផ្ទាល់
Load a POS profile and cashier first.,ផ្ទុកទម្រង់ POS និងអ្នកគិតលុយជាមុនសិន។
Load More Invoices,ផ្ទុកវិក្កយបត្របន្ថែមទៀត
Load previously saved invoices,ផ្ទុកវិក្កយបត្រដែលបានរក្សាទុកពីមុន
Load Sale,ផ្ទុកការលក់
Load Sales Invoice,ផ្ទុកវិក្កយបត្រលក់
Loading app data...,កំពុងផ្ទុកទិន្នន័យកម្មវិធី...
Loading customer database...,កំពុងផ្ទុកទិន្នន័យអតិថិជន...
Loading customers...,កំពុងផ្ទុកអតិថិជន...
Loading database stats...,កំពុង​ផ្ទុក​ទិន្នន័យ​ស្ថិតិ...
Loading details...,កំពុងផ្ទុកព័ត៌មានលម្អិត...
Loading invoice history...,កំពុងផ្ទុកប្រវត្តិវិក្កយបត្រ...
Loading items...,កំពុង​ផ្ទុក​ធាតុ...
Loading product catalog...,កំពុងផ្ទុកកាតាឡុកផលិតផល...
Loading return invoices...,កំពុង​ផ្ទុក​វិក្កយបត្រ​ត្រឡប់...
Loading server CPU/memory usage...,កំពុងផ្ទុកស៊ីភីយូ/ការប្រើប្រាស់អង្គចងចាំរបស់ម៉ាស៊ីនមេ...
Loading suppliers...,កំពុងផ្ទុកអ្នកផ្គត់ផ្គង់...
Loading unpaid invoices...,កំពុងផ្ទុកវិក្កយបត្រដែលមិនទាន់បង់ប្រាក់...
Loading view...,កំពុងផ្ទុកទិដ្ឋភាព...
Loading...,កំពុង​ផ្ទុក...
Local storage is unavailable. Switching to online-only mode.,កន្លែងផ្ទុកក្នុងតំបន់មិនអាចប្រើបានទេ។ ប្តូរទៅរបៀបសម្រាប់តែអ៊ីនធឺណិត។
localStorage,ការផ្ទុកក្នុងស្រុក
Location Performance,ការអនុវត្តទីតាំង
Locations,ទីតាំង
Lock Screen,ចាក់សោអេក្រង់
Lookup Workflow,រកមើលលំហូរការងារ
Loss,ការបាត់បង់
Low,ទាប
Low Stock,ភាគហ៊ុនទាប
Low Stock Alerts,ការជូនដំណឹងអំពីស្តុកទាប
Low Stock Items,ធាតុស្តុកទាប
Low Stock Threshold,កម្រិតស្តុកទាប
Low Stock Total,ភាគហ៊ុនទាបសរុប
Lowest Margin,រឹមទាបបំផុត។
Low-frequency maintenance and system details.,ការថែទាំប្រេកង់ទាប និងព័ត៌មានលម្អិតអំពីប្រព័ន្ធ។
Loyalty Redeemed,ភក្ដីភាពត្រូវបានប្រោសលោះ
Loyalty Redemption,ការប្រោសលោះភាពស្មោះត្រង់
Make New Payment,ធ្វើការទូទាត់ថ្មី។
Manage all,គ្រប់គ្រងទាំងអស់។
Manage and synchronize your offline transactions,គ្រប់គ្រង និងធ្វើសមកាលកម្មប្រតិបត្តិការក្រៅបណ្តាញរបស់អ្នក។
Manage Cashier PIN,គ្រប់គ្រងលេខ PIN អ្នកគិតលុយ
"Manage offline tools, terminal controls, and maintenance from one workspace.",គ្រប់គ្រងឧបករណ៍ក្រៅបណ្តាញ ការគ្រប់គ្រងស្ថានីយ និងការថែទាំពីកន្លែងធ្វើការមួយ។
manual,សៀវភៅដៃ
"Manual codes, barcode scans, and QR scans work in the same field",លេខកូដដោយដៃ ការស្កេនបាកូដ និងការស្កេន QR ដំណើរការក្នុងវាលតែមួយ
Manual offline mode is enabled,របៀបក្រៅបណ្តាញដោយដៃត្រូវបានបើក
Margin,រឹម
Maximum available quantity is {0}. Quantity adjusted to match stock.,បរិមាណអតិបរមាដែលមានគឺ {0}។ បរិមាណ​ត្រូវ​គ្នា​នឹង​ស្តុក។
Maximum discount amount for this offer item is {0}.,ចំនួនបញ្ចុះតម្លៃអតិបរមាសម្រាប់ធាតុផ្តល់ជូននេះគឺ {0}។
Maximum discount percentage for this offer item is {0}%.,ភាគរយបញ្ចុះតម្លៃអតិបរមាសម្រាប់ធាតុផ្តល់ជូននេះគឺ {0}%។
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,បរិមាណផ្តល់ជូនអតិបរមាគឺ {0}។ បរិមាណត្រូវបានកែតម្រូវតាមដែនកំណត់ដែលអនុញ្ញាត។
Medium,មធ្យម
Method-wise Collections,ការប្រមូលតាមវិធីសាស្រ្ត
Minimum allowed rate for this offer item is {0}.,អត្រាអនុញ្ញាតអប្បបរមាសម្រាប់ធាតុផ្តល់ជូននេះគឺ {0}។
Minimum Qty,ចំនួនអប្បបរមា
Mobile No,លេខទូរសព្ទ
Mode,របៀប
Mode of Payment,របៀបបង់ប្រាក់
Month,ខែ
Month ?,ខែ?
Monthly Profit,ប្រាក់ចំណេញប្រចាំខែ
Monthly Sales,ការលក់ប្រចាំខែ
Monthly Sales Summary,សង្ខេបការលក់ប្រចាំខែ
Month-wise,ប្រចាំខែ
Most Active Cashiers,អ្នកគិតលុយសកម្មបំផុត។
Movement Type,ប្រភេទចលនា
Movements,ចលនា
Multi Currency,រូបិយប័ណ្ណច្រើន។
N/A,គ្មាន
Name,ឈ្មោះ
Negative Stock,ភាគហ៊ុនអវិជ្ជមាន
Negative Stock Items,ធាតុភាគហ៊ុនអវិជ្ជមាន
Negative values not allowed,តម្លៃអវិជ្ជមានមិនត្រូវបានអនុញ្ញាតទេ។
Net,សុទ្ធ
Net Qty,Qty សុទ្ធ
Net Sales,ការលក់សុទ្ធ
Net Value,តម្លៃសុទ្ធ
Never,មិនដែល
New changes are ready to load,ការផ្លាស់ប្តូរថ្មីរួចរាល់ក្នុងការផ្ទុក
New Item,ធាតុថ្មី។
New Offer Available,ការផ្តល់ជូនថ្មីអាចរកបាន
New PIN,កូដ PIN ថ្មី។
New rate,អត្រាថ្មី។
Next unit of measure,ឯកតារង្វាស់បន្ទាប់
No attribute data found.,រកមិនឃើញទិន្នន័យគុណលក្ខណៈទេ។
No Barcode,គ្មាន Barcode
No barcode found for UOM '{0}',រកមិនឃើញបាកូដសម្រាប់ UOM '{0}'
No branch/location data found.,រកមិនឃើញទិន្នន័យសាខា/ទីតាំងទេ។
No brand data found.,រកមិនឃើញទិន្នន័យម៉ាកទេ។
No cached gift card balance is available offline.,មិនមានសមតុល្យកាតអំណោយក្នុងឃ្លាំងសម្ងាត់អាចប្រើប្រាស់បានដោយមិនមានអ៊ីនធឺណិតទេ។
No camera found on this device. Please ensure your device has a working camera.,រកមិនឃើញកាមេរ៉ានៅលើឧបករណ៍នេះទេ។ សូមប្រាកដថាឧបករណ៍របស់អ្នកមានកាមេរ៉ាដែលកំពុងដំណើរការ។
No capability warnings recorded yet.,មិនទាន់បានកត់ត្រាការព្រមានអំពីសមត្ថភាពនៅឡើយទេ។
No cash expected for this shift.,មិនមានសាច់ប្រាក់រំពឹងសម្រាប់ការផ្លាស់ប្តូរនេះទេ។
No cash mode configured,មិន​បាន​កំណត់​ទម្រង់​សាច់ប្រាក់​ទេ។
No cash movement type is allowed for this POS Profile.,គ្មានប្រភេទចលនាសាច់ប្រាក់ត្រូវបានអនុញ្ញាតសម្រាប់ប្រវត្តិរូប POS នេះទេ។
No cashier PIN is set yet. Create one now.,មិន​ទាន់​មាន​លេខ PIN អ្នក​គិតលុយ​ត្រូវ​បាន​កំណត់​នៅ​ឡើយ​ទេ។ បង្កើតមួយឥឡូវនេះ។
No cashier profiles are available for this POS profile yet.,មិនទាន់មានប្រវត្តិរូបអ្នកគិតលុយសម្រាប់ទម្រង់ POS នេះនៅឡើយទេ។
No cashier-wise discount/void/return activity.,មិនមានសកម្មភាពបញ្ចុះតម្លៃ/ចាត់ទុកជាមោឃៈ/ការប្រគល់ប្រាក់តាមអ្នកគិតលុយទេ។
No category data found.,រកមិនឃើញទិន្នន័យប្រភេទទេ។
No category profitability data found.,រកមិនឃើញទិន្នន័យប្រាក់ចំណេញប្រភេទទេ។
No change returned recorded for this shift.,គ្មានការផ្លាស់ប្តូរដែលបានត្រឡប់មកវិញដែលបានកត់ត្រាសម្រាប់ការផ្លាស់ប្តូរនេះទេ។
No change-allocation invoices match the current filters.,គ្មាន​វិក្កយបត្រ​ការ​ផ្លាស់ប្តូរ​ការ​បែងចែក​ត្រូវ​នឹង​តម្រង​បច្ចុប្បន្ន​ទេ។
No charge head breakdown found.,រកមិនឃើញការវិភាគក្បាលគិតថ្លៃទេ។
No Company Selected,គ្មានក្រុមហ៊ុនត្រូវបានជ្រើសរើសទេ។
No customer sales data found.,រកមិនឃើញទិន្នន័យលក់របស់អតិថិជនទេ។
No day-wise discount/void/return trend.,គ្មានការបញ្ចុះតម្លៃ/ចាត់ទុកជាមោឃៈ/និន្នាការត្រឡប់មកវិញ។
No day-wise payment data found.,រកមិនឃើញទិន្នន័យការទូទាត់ប្រចាំថ្ងៃទេ។
No day-wise profitability trend found.,រកមិនឃើញនិន្នាការរកប្រាក់ចំណេញប្រចាំថ្ងៃទេ។
No day-wise purchase data found.,រកមិនឃើញទិន្នន័យការទិញប្រចាំថ្ងៃទេ។
No day-wise sales trend found.,រកមិនឃើញនិន្នាការលក់ប្រចាំថ្ងៃទេ។
No day-wise tax/charges trend found.,រកមិនឃើញនិន្នាការពន្ធ/ការគិតថ្លៃប្រចាំថ្ងៃទេ។
No dead stock items.,គ្មាន​ទំនិញ​ស្តុក​ទុក​ទេ។
No due date,គ្មានកាលបរិច្ឆេទកំណត់
No exact repair match found for this invoice,រកមិនឃើញការប្រកួតជួសជុលពិតប្រាកដសម្រាប់វិក្កយបត្រនេះទេ។
No hourly sales trend found for today.,រកមិនឃើញនិន្នាការលក់រៀងរាល់ម៉ោងសម្រាប់ថ្ងៃនេះទេ។
No invoice activity found.,រកមិនឃើញសកម្មភាពវិក្កយបត្រទេ។
No invoices found,រកមិនឃើញវិក្កយបត្រទេ។
No invoices found. Try different search criteria.,រកមិនឃើញវិក្កយបត្រទេ។ សាកល្បងលក្ខណៈវិនិច្ឆ័យស្វែងរកផ្សេងៗគ្នា។
No invoices recorded for this shift.,មិនមានវិក្កយបត្រដែលបានកត់ត្រាសម្រាប់ការផ្លាស់ប្តូរនេះទេ។
No item profitability data found.,រកមិនឃើញទិន្នន័យប្រាក់ចំណេញរបស់ធាតុទេ។
No item sales data found for this period.,រកមិនឃើញទិន្នន័យលក់ទំនិញសម្រាប់រយៈពេលនេះទេ។
No items found,រកមិនឃើញធាតុទេ។
