POS Awesome,很棒的POS
No payments registered for this shift.,沒有登記此班次的付款。
No pending balances in this period.,此期間無待結餘額。
No pending offline invoices,沒有待處理的離線發票
No Print Formats Found,未找到列印格式
No profiles found for selected scope. Falling back to current profile failed.,未找到所選範圍的設定檔。回退到目前設定檔失敗。
No recent customer activity found.,未找到最近的客戶活動。
No recent stock entries found.,沒有找到最近的股票條目。
No records found,沒有找到記錄
No reorder suggestions right now.,目前沒有重新訂購建議。
No repeat customers in this period.,期間沒有回頭客。
No response from server,伺服器沒有回應
No return invoices found,未找到退貨發票
No return item trend found.,未發現退貨趨勢。
No returnable items found for this invoice,未找到此發票的可退貨商品
No returns were processed in this shift.,本班次未處理任何退貨。
No risk activity found.,未發現風險活動。
No sales activity found for this period.,在此期間未發現任何銷售活動。
No slow moving items.,沒有緩慢移動的物品。
No staff sales activity found.,未發現員工銷售活動。
No stock movement for this period.,此期間沒有庫存變動。
No submitted cash movements in this shift.,本班次沒有提交現金變動。
No supplier purchases found in this month.,本月未發現供應商採購。
No suppliers found for this period.,此期間未找到供應商。
No sync trigger has run yet in this session.,此會話中尚未執行同步觸發器。
No tax head breakdown found.,未發現稅頭明細。
No top items found for this location.,沒有找到該地點的熱門商品。
No unpaid invoices,沒有未付發票
No variant data found.,未找到變體數據。
No week-wise sales trend found.,未發現每週銷售趨勢。
No.,不。
Nobile Number,貴族號碼
Not available,不可用
Not checked,未檢查
Not selected,未選擇
Not Set,未設定
Notifications,通知
Offer,優惠
Offer Applied,已申請優惠
Offer criteria exceeded,超出報價標準
Offer Item,優惠項目
Offer item unavailable,優惠商品不可用
Offer Removed,優惠已刪除
Offer UOM cannot be changed,報價單位無法更改
Offer?,報價？
Offers,優惠
Offline,離線
Offline & Sync,離線和同步
Offline Capabilities,離線能力
Offline data status refreshed,離線資料狀態刷新
Offline diagnostics,離線診斷
Offline Invoices,離線發票
Offline invoices status,離線發票狀態
Offline invoices synced,離線發票已同步
Offline Queue: {0},離線佇列：{0}
Offline rebuild guidance,離線重建指導
Offline restore is unavailable for this session.,此會話無法進行離線恢復。
Offline selling is available with degraded capabilities.,離線銷售可在功能降級的情況下使用。
Offline snapshot does not match the current POS state.,離線快照與目前 POS 狀態不符。
Offline Status,離線狀態
"Offline, terminal, and system controls",離線、終端和系統控制
OK,好的
Online,網路
Open actions menu,開啟操作選單
Open balance to collect,待收未結餘額
Open Customer Display,打開客戶展示
Open drawer,打開抽屜
Open invoices,開立發票
Open Payments?,開放支付？
Open POS home,開啟 POS 首頁
Open this screen from POS Menu -> Open Customer Display.,從 POS 選單 -> 開啟客戶顯示器開啟此畫面。
OpenCV image processing enabled - Enhanced barcode detection,啟用 OpenCV 影像處理 - 增強條碼偵測
OpenCV image processing unavailable on this device,OpenCV 影像處理在此裝置上不可用
OpenCV Off,OpenCV 關閉
OpenCV On,OpenCV 開啟
OpenCV processing disabled,OpenCV 處理已停用
Opening Amount,開倉金額
Opening Cash,開倉現金
options,選項
Order,訂單
Original,原創
Other,其他
Out,出
Out of Stock,缺貨
Out of Stock Items,缺貨商品
Outstanding,傑出
Outstanding Credit by Currency,按幣種劃分的未償信貸
Overdue,逾期
Overpayment Change,超額付款變更
Overpayment change deducted: {0},扣除多付款項變更：{0}
Packing List,裝箱單
Page Format,頁面格式
Page unavailable offline,頁面離線不可用
Paid,付費
Paid (orig):,付費（原）：
Paid Amount,支付金額
Paid change cannot be greater than total change!,付費找零不能大於總找零！
Paid:,付費：
Parent Item,父項
Partial,部分
Partly Paid,部分付費
Party Account,當事人帳戶
Party Type,派對類型
Pause terminal until next cashier,暫停終端直至下一位收銀員
PAY,支付
Payment,付款方式
Payment Account,支付帳戶
Payment entries processed for Invoice {0},已處理發票 {0} 的付款條目
Payment Entry Type,付款條目類型
Payment History,付款記錄
Payment ID,付款ID
Payment Method Report,付款方式報告
Payment Methods,付款方式
Payment of {0} received successfully.,成功收到{0}的付款。
Payment Progress,付款進度
Payment Reconciliation,付款對帳
Payment request status could not be retrieved. Please try again,無法檢索付款請求狀態。請重試
Payment Request took too long to respond. Please try requesting for payment again,付款請求回應時間過長。請嘗試再次請求付款
Payment saved offline,離線保存付款
Payment State,付款狀態
Payment Status,付款狀態
Payment submitted but print function could not be executed. Payment name not found.,付款已提交，但無法執行列印功能。未找到付款名稱。
Payment submitted.,付款已提交。
Payment Summary,付款摘要
Payments,付款方式
Payments are not open. Do you want to open payments and submit?,付款方式尚未開放。您想打開付款並提交嗎？
Payments by Mode of Payment,按付款方式付款
PDF,PDF
Peak Hour,尖峰時段
Peak Memory:,峰值記憶體：
Peak Server:,峰值伺服器：
Peak:,峰值：
Pending,待定
Pending Amount,待處理金額
Pending count updated from {0} to {1},待處理計數從 {0} 更新為 {1}
Pending Exposure,待曝光
Pending Invoices,待處理的發票
Pending Ratio,待處理比率
Pending Sales,待售
Pending sales: {0} | Cache usage: {1}%,出售：{0} |快取使用率：{1}%
Pending Sync,待同步
Pending: {0},待處理：{0}
Pending: {0} | Synced: {1} | Draft: {2},待處理：{0} |已同步：{1} |草稿：{2}
Per Page,每頁
Personal,個人
Personal preferences adjust the current cashier experience without changing the active POS route.,個人喜好調整目前的收銀體驗，而不改變活動的 POS 路線。
PIN confirmation does not match.,PIN 確認不符。
PIN must be 4 to 8 digits.,PIN 碼必須為 4 至 8 位數。
Please add at least one item.,請至少添加一項。
Please allow camera access to scan codes,請允許相機存取掃碼
Please enter payment amount,請輸入付款金額
Please fill all required fields,請填寫所有必填字段
Please make a payment or select a payment,請付款或選擇付款方式
Please request phone payment or use another payment method,請申請電話付款或使用其他付款方式
Please select a customer first,請先選擇客戶
Please select a party,請選擇派對
Please select a party before reconciling.,請在和解前選擇一方。
Please select a valid movement type.,請選擇有效的移動類型。
Please select an invoice,請選擇發票
Please select company before reconciling.,請在對帳前選擇公司。
Please set the customer's mobile number,請設定客戶手機號碼
Please try again or enter the item manually.,請重試或手動輸入該項目。
Please verify the barcode or check the item's availability.,請驗證條碼或檢查商品的可用性。
Points,積分
Popup blocked. Please allow popups.,彈出視窗被阻止。請允許彈出視窗。
POS,銷售點
POS controls and maintenance,POS 控制與維護
POS Expense is disabled for this POS Profile.,此 POS 設定檔停用 POS 費用。
POS is running with limited offline prerequisites.,POS 正在運行，但離線先決條件有限。
POS Profile,POS簡介
Position the QR code or barcode within the scanning area,將 QR 碼或條碼放置在掃描區域內
Posting,發文
Posting and Price List,發布和價目表
Posting Date,發布日期
Preparing background sync,準備後台同步
"Press OK to continue offline with a warning, or Cancel to retry.",按「確定」繼續脫機並出現警告，或按「取消」重試。
Previous unit of measure,以前的計量單位
Price List,價目表
Price List Rate,價目表費率
Price list rate updated locally only,價目表費率僅在本地更新
Pricing & Discounts,定價和折扣
Pricing Rule,定價規則
Print,列印
Print Draft,列印草稿
Print Format (Invoice),列印格式（發票）
Print Format (Order),列印格式（訂單）
Print invoice,列印發票
Print Purchase Invoice instead of PO,列印採購發票而不是 PO
Printer,印表機
Processed returns impacting the shift totals,處理後的退貨會影響輪班總數
Processing Payment,處理付款
Processing payment entries for Invoice {0},處理發票 {0} 的付款條目
Profile,公司簡介
Profiles,型材
Profit,利潤
Profit: Invoice Item Estimate,利潤：發票項目估算
Profit: Stock Ledger (COGS),利潤：庫存分類帳 (COGS)
Profitability Report,獲利報告
Prorated return discount,按比例退貨折扣
Purchase Amount,購買金額
Purchase Invoices,採購發票
Purchase Order created,已建立採購訂單
Qty,數量
Qualified,合格
Quantity,數量
Quantity exceeds available stock,數量超過可用庫存
Quick Actions,快速行動
Quotation {0} is Submitted,報價{0}已提交
Quotation submitted,報價已提交
QZ Tray connected.,QZ 托盤已連接。
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ 托盤被手動斷開。按“連接”以再次啟用它。
QZ Tray is not connected.,QZ 托盤未連接。
QZ Tray Setup,QZ 托盤設置
Rate,率
Rate adjusted to maximum allowed discount,費率調整至允許的最大折扣
Ready,準備好
Ready to resume,準備恢復
Ready!,準備好了！
Real-time POS insights for retail operations.,針對零售營運的即時 POS 洞察。
Rebuild Offline Data,重建離線數據
Receive,接收
Receive now,立即接收
Received,已收到
Received:,收到：
Recent Movement Entries,最近的運動條目
Recent updates about your invoices,有關您發票的最新更新
Recently Active Customers,最近活躍客戶
Rechecking connection,重新檢查連接
Reconcile payment methods and close shift,協調付款方式並關閉班次
Reconciling Payments,核對付款
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",在線時重新連接並打開此頁面一次，然後離線刷新即可恢復。
Reconnect online to refresh cached offline data from the server.,重新線上連線以刷新伺服器快取的離線資料。
Recreate local offline prerequisites from scratch,從頭開始重新建立本機離線先決條件
Recv:,接收：
Redeem,兌換
Redeem / Scan,兌換/掃描
Redeem Amount,兌換金額
Redeem Mode,兌換模式
Redeemed Amount,兌換金額
Redeemed credit cannot be greater than its total.,兌換的積分不能大於其總額。
Redemption and Totals,贖回及總數
Reference,參考
Refresh,重新整理
Refresh Exchange Rate,重新整理匯率
Refresh Offline Data,刷新離線數據
Refresh Printers,重新整理印表機
Refund,退款
Release Notes,發行說明
Reload,重新載入
Reload customers,重新加載客戶
Reload Items,重新加載物品
Reload Now,立即重新載入
Reload to apply the latest changes. Your current session will be refreshed.,重新加載以應用最新更改。您目前的會話將會被刷新。
Reload Workflow,重新載入工作流程
Remarks,備註
Remarks are required.,需要備註。
Remove,刪除
Remove barcode item,刪除條碼項目
Remove cached data and reload the POS app,刪除快取資料並重新載入 POS 應用程式
Remove item,刪除項目
Remove Offer,刪除優惠
Reorder / Purchase Suggestions,重新訂購/購買建議
Repair Candidate,維修候選者
Repair Change Allocation,維修變更分配
Repair requires an online connection,修復需要在線連接
Repaired,已修復
Repairing change allocation,修復變更分配
Repeat Customers,回頭客
Repeat Rate,重複率
Request,請求
Request ID: {0},請求 ID：{0}
Request Payment,請求付款
Requested route: {0},請求的路線：{0}
Required columns cannot be hidden,無法隱藏必填列
Reset,重置
Reset item name,重置項目名稱
Reset to Default,重設為預設值
Resource Health,資源健康
Restricted,受限
Restricted operational controls for supervisors only.,僅對主管進行有限的操作控制。
Retry,重試
Retry route,重試路線
Return,返回
Return Amount,退貨金額
Return Count,返回計數
Return items must have negative quantities,退貨商品數量必須為負數
Return total must be negative,傳回總計必須為負數
Return Valid Until,返回有效期限至
Return window passed,退貨窗口已過
Return without Invoice,無發票退貨
Returns,退貨
Returns / Voids / Discounts,退貨/無效/折扣
Returns by Currency,按貨幣分類的回報
Revenue,收入
Review shift totals before submitting the closing entry,在提交結帳條目之前查看班次總計
Round Off,四捨五入
Rows,行數
Rows:,行：
Rule,規則
Sale,銷售
Sales,銷售
Sales Order {0} is Submitted,銷售訂單 {0} 已提交
Sales Person and Print,銷售人員和印刷品
Sales Person not found,未找到銷售人員
Sales processed,銷售處理
Sales Return,銷售退貨
Sales Trend Report,銷售趨勢報告
Save,儲存
Save & Clear,儲存並清除
Save as POS Profile Default,另存為 POS 設定檔預設值
Save Settings,儲存設定
Save the selected printer as the POS Profile default so it shows automatically on this setup.,將選定的印表機儲存為 POS 設定檔預設值，以便它自動顯示在此設定中。
Saved as draft because: {0},儲存為草稿，因為：{0}
Saving...,正在儲存...
Scale barcode detected. Quantity here is the number of labels to print.,偵測到秤條碼。這裡的數量是要列印的標籤數量。
Scale barcode settings are not configured. Using item barcode only.,未配置秤條碼設定。僅使用商品條碼。
Scale template barcode is missing for this item/UOM. Using item barcode only.,此商品/計量單位缺少秤模板條碼。僅使用商品條碼。
Scan an existing card and top it up without leaving the payment flow.,掃描現有卡片並充值，無需離開支付流程。
Scan Error,掃描錯誤
Scan or enter a gift card code to check balance or redeem.,掃描或輸入禮品卡代碼以檢查餘額或兌換。
Scan or paste the card code below.,掃描或貼上下面的卡片代碼。
Scan QR Code/Barcode,掃描二維碼/條碼
Scan with camera,用相機掃描
Scan-First Flow,掃描優先流程
Scanned Code:,掃描碼：
Scanning for: {0},正在掃描：{0}
Scanning items,掃描物品
Scan-Ready,掃描就緒
Scope,適用範圍
Scope: All Profiles,範圍：所有設定檔
Scope: Current Profile,範圍：目前簡介
Scope: Specific Profile,範圍：具體簡介
Search,搜尋
Search Account,搜尋帳戶
Search an invoice and continue the return flow without extra steps.,搜尋發票並繼續退貨流程，無需額外步驟。
Search customer,搜尋客戶
Search invoices or customers,搜尋發票或客戶
Search item,搜尋項目
Search item / code,搜尋項目/代碼
Search items or barcode,搜尋商品或條碼
Search Mpesa Payments,搜尋 Mpesa 支付
Search return invoices or customers,搜尋退貨發票或客戶
Search supplier,搜尋供應商
Search unpaid invoices or customers,搜尋未付發票或客戶
Secure context (HTTPS or localhost) is required for camera access.,相機存取需要安全上下文（HTTPS 或本機）。
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,攝影機存取所需的安全上下文 (HTTPS)。請使用HTTPS訪問相機。
Select,選擇
Select a cashier first.,首先選擇收銀員。
Select a customer,選擇客戶
Select a customer to use coupon,選擇使用優惠券的顧客
Select a printer to use QZ silent printing.,選擇印表機以使用 QZ 靜音列印。
Select Batch,選擇批次
Select Columns to Display,選擇要顯示的列
Select items to sell,選擇要出售的商品
Select Payment,選擇付款方式
Select Payment Account,選擇付款帳戶
Select printer,選擇印表機
Select Return Invoice,選擇退貨發票
Select S.O,選擇 S.O.
Select Sales Orders,選擇銷售訂單
Select the cashier who is taking over this terminal.,選擇接管該終端的收銀員。
Selected,已選擇
Selected movement type is not allowed by POS Profile.,POS 設定檔不允許選擇的移動類型。
Selected Payments,選定的付款方式
Sensitive actions kept away from quick taps.,敏感動作遠離快速點擊。
Serial,序列
Serial Numbers,序號
Server CPU Usage:,伺服器CPU使用率：
Server Health,伺服器健康狀況
Server Memory Usage:,伺服器記憶體使用情況：
Server Metrics,伺服器指標
Server Uptime:,伺服器正常運作時間：
Service Charges,服務費
Session,會議
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,在使用者表單中設定每位收銀員 PIN，並在 POS 設定檔使用者中保留已指派的終端成員。
Settings,設定
Settings in this section update the POS workspace without changing the current route.,此部分中的設定會更新 POS 工作區，而不會變更目前路線。
Setup complete!,設定完成！
Share,分享
Shared terminal,共享終端
Shift Closed Snapshot,班次關閉快照
Shift Overview,班次概覽
Show,顯示
Show cart on customer-facing screen,在面對客戶的螢幕上顯示購物車
Show last invoice rate,顯示上次發票費率
Show rate info,顯示費率資訊
Show Repair Candidates,顯示維修候選者
Show search tools,顯示搜尋工具
Show the active cart on a customer-facing screen,在面對客戶的螢幕上顯示活動購物車
Showing {0}-{1} of {2},顯示第 {0}-{1} 個（共 {2} 個）
Showing 0 of 0,顯示 0 個，共 0 個
Shows the distribution of invoices per currency,顯示每種貨幣的發票分佈
Sign out of the current POS session,退出目前 POS 會話
Size:,尺寸：
Skipped Payments,跳過付款
Skipping items without barcodes,跳過沒有條碼的物品
Slow Moving,緩慢移動
Slow Moving Items,緩慢移動的物品
Slow Queries:,慢查詢：
Sold,已售出
Source,來源
Source Cash Account (Optional Override),來源現金帳戶（可選保障）
Source Ex. Rate:,來源Ex。率：
Source Rate:,來源率：
Specific Profile,具體簡介
Split Invoices,拆分發票
Staff / Cashier Performance Report,員工/出納績效報告
Status,狀態
Stock,庫存
Stock Information,股票資訊
Stock is lower than requested,庫存低於要求
Stock is lower than requested:\n{0},庫存低於要求：\n{0}
Stock Movement Report,庫存變動報告
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,庫存更新：{0} 有 {1} 可用。添加 {2} 將使庫存低於零。
Submit,提交
Submit & Print,提交並列印
Submit Deposit,提交存款
Submit Expense,提交費用
Submitted,已提交
Submitted Cash Movements,提交的現金變動
Submitted entries,提交的參賽作品
Successfully scanned:,掃描成功：
Suggested,建議
Suggested Qty,建議數量
Supervisor Access,主管訪問
Supervisor permissions unlock issuance and reloads,主管權限解鎖發放和重裝
Supervisor Tools,主管工具
Supplier,供應商
Supplier and dates are required.,供應商和日期為必填項。
Supplier Invoices,供應商發票
Supplier is required.,供應商為必填項。
Supplier name is required,供應商名稱為必填項
Supplier Payments,供應商付款
Supplier Purchase Summary,供應商採購匯總
Suppliers,供應商
Suppliers not found,未找到供應商
Switch Camera,切換相機
Switch Cashier,切換收銀台
Switch the POS appearance theme,切換POS外觀主題
Switched to:,切換到：
Sync All Invoices,同步所有發票
Sync Offline Cash Movements ({0}),同步離線現金流 ({0})
Sync Offline Sales,同步線下銷售
Synced {0} offline cash movement(s).,已同步 {0} 筆離線現金流動。
Syncing items in background,在背景同步項目
System / Diagnostics,系統/診斷
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",系統操作是低頻維護控制，例如應用程式資訊、支援診斷和會話控制。
System Information,系統資訊
System Status,系統狀態
Tables:,表格：
Tap the button below to redeem a gift card during checkout.,結帳時點擊下面的按鈕即可兌換禮品卡。
Target,目標
Target Ex. Rate:,目標Ex。率：
Target Rate:,目標率：
Tax,稅
Tax / Charges Report,稅費報告
Tax Heads,稅頭
Taxable Amount,應稅金額
Tendered,已招標
Terminal,終端
Terminal & Devices,終端設備
Terminal locked,終端已鎖定
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",終端工具會影響結帳站、面向客戶的顯示器以及未來的印表機/設備控制。
Territory not found,未找到領土
The amount paid is not complete,支付金額不完整
The app stores data locally for offline use. This is called cache.,該應用程式將資料儲存在本地以供離線使用。這稱為緩存。
The invoice stayed in draft. Please review and submit it manually.,發票仍處於草稿狀態。請手動審核並提交。
The maximum discount allowed is,允許的最大折扣為
The quantity for {0} has been adjusted to the maximum available stock.,{0} 的數量已調整為最大可用庫存。
The system could not retrieve the item details. Please try again.,系統無法檢索該項目的詳細資訊。請再試一次。
These invoices will be synced when connection is restored,連線恢復後，這些發票將同步
This action now opens inside the settings workspace.,此操作現在在設定工作區中開啟。
This coupon already used !,此優惠券已使用！
This invoice does not need change-allocation repair,此發票不需要變更分配修復
This invoice is already repaired,此發票已修復
This is an item template. Please choose a variant.,這是一個專案模板。請選擇一個變體。
this item,這個項目
This POS page could not be opened offline because its code was not cached on this terminal yet.,該 POS 頁面無法離線打開，因為該終端上尚未快取其代碼。
This Serial Number {0} has already been added!,此序號 {0} 已新增！
Threshold,閾值
Time,時間
Tip: Clear cache regularly to free up space and keep the app fast.,提示：定期清除快取以釋放空間並保持應用程式快速運行。
Tip: Close unused tabs or apps to reduce lag.,提示：關閉未使用的選項卡或應用程式以減少延遲。
Tip: Monitor slow queries and table size for optimal performance.,提示：監視慢速查詢和表格大小以獲得最佳效能。
To Be Paid,待付款
To Date,迄今
Today,今天
Today Profit,今日獲利
Today Sales,今日銷售
Toggle navigation drawer,切換抽屜式導航
Toggle Theme,切換主題
Tools,工具
Tools for customer-facing screens and terminal-specific actions.,用於面向客戶的螢幕和終端特定操作的工具。
Top Brand,頂級品牌
Top Category,頂級類別
Top Charge Head,頂部充電頭
Top Customers,頂級客戶
Top Discount,最高折扣
Top Items by Location,按地點排列的熱門商品
Top Margin,上邊距
Top Pending,熱門待處理
Top Profit Item,利潤最高的項目
Top Return Items,熱門退貨商品
Top Sales by Cashier,按收銀員列出的最高銷售額
Top Supplier,頂級供應商
Top Suppliers by Spend,按支出排名的頂級供應商
Top Tables,熱門錶
Top Tax Head,最高稅務主管
Top Up Amount,儲值金額
Top Up Card,儲值卡
Top Up Mode,儲值模式
Top Variant,頂級變體
Total,總計
Total Amount,總額
Total Change,整體變化
Total Charges,總費用
Total In,總投入
Total Invoices,發票總數
Total Items,總項目
Total Mpesa,總MPesa
Total Out,全面出局
Total Payments,付款總額
Total Purchase,購買總額
Total Selected :,已選總數：
Total Size,總尺寸
Total Stock Qty,庫存總量
Total:,總計：
Totals by Invoice Currency,按發票幣種劃分的總計
Track how much cash was handed back to customers,追蹤返還給客戶的現金數量
"Track recent sales, collect unpaid balances, and reopen saved work",追蹤最近的銷售、收集未付餘額並重新打開已儲存的工作
Transaction ID,交易ID
Transfer,轉乘
Try a different search term or clear the cart search.,嘗試不同的搜尋字詞或清除購物車搜尋。
Try adjusting your search or filters,嘗試調整您的搜尋或篩選器
Try another source or refresh the list.,嘗試其他來源或刷新清單。
Try changing the date range or status filter.,嘗試變更日期範圍或狀態篩選器。
Type,類型
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,即使進行基本設定也無法存取相機。請檢查您的相機權限和設備相容性。
Unable to add offer item {0}. Please refresh and try again.,無法新增優惠項目 {0}。請刷新並重試。
Unable to add offer item. Please refresh and try again.,無法新增優惠項目。請刷新並重試。
Unable to add scanned item.,無法新增掃描項目。
Unable to create purchase order,無法建立採購訂單
Unable to delete draft invoice,無法刪除草稿發票
Unable to fetch documents,無法取得文檔
Unable to fetch draft orders,無法取得草稿訂單
Unable to fetch invoice history,無法取得發票記錄
Unable to fetch M-Pesa payments,無法取得 M-Pesa 付款
Unable to fetch sales orders,無法取得銷售訂單
Unable to fetch unpaid invoices,無法取得未付款發票
Unable to generate scale barcode,無法產生秤條碼
Unable to issue gift card.,無法簽發禮品卡。
Unable to load cashier PIN status.,無法載入收銀員 PIN 狀態。
Unable to load document,無法載入文檔
Unable to load draft invoice,無法載入草稿發票
Unable to load gift card balance.,無法加載禮品卡餘額。
Unable to load invoice details,無法加載發票詳細信息
Unable to load parked order,無法載入停放訂單
Unable to load the selected sales order,無法載入選定的銷售訂單
Unable to prepare document,無法準備文件
Unable to prepare return invoice,無法準備退貨發票
Unable to print draft invoice,無法列印草稿發票
Unable to print submitted invoice,無法列印提交的發票
Unable to process document action,無法處理文件操作
Unable to repair change allocation,無法修復更改分配
Unable to save cashier PIN.,無法儲存收銀員 PIN 碼。
Unable to save the rate to the backend price list,無法將費率儲存到後端價目表
Unable to submit invoice,無法提交發票
Unable to submit the selected payment,無法提交所選付款
Unable to top up gift card.,無法為禮品卡充值。
Unable to verify cashier PIN.,無法驗證收銀員 PIN。
Unallocated,未分配
Unallocated:,未分配：
Unavailable,不可用
Unknown,未知
Unknown Item,未知物品
Unknown Warehouse,未知倉庫
Unlock POS,解鎖 POS
Unpaid,未付款
"Unselected payments stay unallocated first, then auto reconcile after submit.",未選擇的付款首先保持未分配狀態，然後在提交後自動對帳。
UOM,墨爾本大學
UOM not found,未找到計量單位
Update available,可用更新
Update Customer,更新客戶
Update PIN,更新個人識別碼
Update Price List Rate,更新價目表費率
Updated,已更新
Updates and app info that stay out of the cashier flow.,不影響收銀流程的更新和應用程式資訊。
Updates automatically,自動更新
Usage,用途
Usage Stats,使用統計
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,使用 4 至 8 位元 PIN 碼進行收銀台切換和終端解鎖。
Use Cashier,使用收銀台
Use date range to search for older invoices,使用日期範圍搜尋較舊的發票
"Use one field for manual code entry, barcode scans, or QR scans.",使用一個欄位進行手動代碼輸入、條碼掃描或 QR 掃描。
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",使用一個工作流程即可進行餘額檢查、新發行和充值，無需離開 POS。
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",當快取的必備資料需要刷新、重建或診斷檢查時，請使用此部分。
Use Western numerals,使用西方數字
Used:,使用：
Using basic camera settings due to device limitations,由於設備限制，使用基本相機設置
Using cached customer balance,使用快取的客戶餘額
Valid until,有效期限至
Variance %,變異數%
Variants,變體
Variant-wise,變體方面
Verify closing amounts for each payment method,驗證每種付款方式的結算金額
View all,看全部
View app information and current build details,查看應用程式資訊和當前構建詳細信息
View Data Diagnostics,查看數據診斷
View Details,看詳情
View invoice details,查看發票詳細信息
View notifications,查看通知
View offline invoices,查看離線發票
View restricted POS insights,查看受限 POS 見解
Void Amount,無效金額
Void Count,無效計數
Voids,空隙
Waiting for cart items,等待購物車商品
Waiting for payment...,等待付款...
Walk-in Customer,上門顧客
Warehouse,倉庫
Warning: High cache usage may affect performance.,警告：高速緩存使用率過高可能會影響效能。
Warning: High lag may indicate heavy processing or browser slowness.,警告：高延遲可能表示處理繁重或瀏覽器速度緩慢。
Week ?,星期 ？
Week-wise,每週
Weight (g),重量（克）
Weight (grams),重量（克）
We'll let you know if an invoice fails to submit,如果發票未能提交，我們會通知您
Workflow,工作流程
Write off amount cannot exceed the POS profile maximum of {0},註銷金額不能超過 POS 設定檔最大值 {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,註銷金額超出允許的限額 ({0})。請新增剩餘金額的付款。
Yes,是的
"Yes, Cancel sale",是的，取消銷售
"Yes, Close",是的，關閉
You are not allowed to print draft invoices,您不得列印草稿發票
You are offline. Add Payment will work again when the connection is restored.,您已離線。連線恢復後，「新增付款」將再次起作用。
You have no notifications right now,您現在沒有任何通知
Your Cart,您的購物車
