POS Awesome,POS מדהים
Last 14 Days (Paid vs Pending),14 הימים האחרונים (בתשלום לעומת בהמתנה)
Last 14 Days Activity,פעילות 14 הימים האחרונים
Last 14 Days Gross Profit,רווח גולמי של 14 הימים האחרונים
Last 14 Days Purchases,רכישות של 14 ימים אחרונים
Last 14 Days Tax/Charges,מס/היטלים של 14 הימים האחרונים
Last sync:,סנכרון אחרון:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},סנכרון אחרון: {0} | בסדר: {1} | נכשל: {2} | דילג: {3}
Latest entries for current shift,ערכים אחרונים למשמרת הנוכחית
Lead Time,זמן אספקה
Limited,מוגבל
lines,קווים
List,רשימה
Live Snapshot,תמונת מצב חיה
Load a POS profile and cashier first.,טען תחילה פרופיל קופה וקופאית.
Load More Invoices,טען עוד חשבוניות
Load previously saved invoices,טען חשבוניות שנשמרו בעבר
Load Sale,טען מכירה
Load Sales Invoice,טען חשבונית מכירה
Loading app data...,טוען נתוני אפליקציה...
Loading customer database...,טוען מאגר לקוחות...
Loading customers...,טוען לקוחות...
Loading database stats...,טוען נתונים סטטיסטיים...
Loading details...,טוען פרטים...
Loading invoice history...,טוען היסטוריית חשבוניות...
Loading items...,טוען פריטים...
Loading product catalog...,טוען קטלוג מוצרים...
Loading return invoices...,טוען חשבוניות החזרה...
Loading server CPU/memory usage...,טוען שימוש במעבד/זיכרון בשרת...
Loading suppliers...,טוען ספקים...
Loading unpaid invoices...,טוען חשבוניות שלא שולמו...
Loading view...,טוען תצוגה...
Loading...,טוען...
Local storage is unavailable. Switching to online-only mode.,אחסון מקומי אינו זמין. מעבר למצב מקוון בלבד.
localStorage,localStorage
Location Performance,ביצועי מיקום
Locations,מיקומים
Lock Screen,מסך נעילה
Lookup Workflow,זרימת עבודה של חיפוש
Loss,הפסד
Low,נמוך
Low Stock,מלאי נמוך
Low Stock Alerts,התראות מלאי נמוך
Low Stock Items,פריטים במלאי נמוך
Low Stock Threshold,סף מלאי נמוך
Low Stock Total,סך מלאי נמוך
Lowest Margin,השוליים הנמוכים ביותר
Low-frequency maintenance and system details.,תחזוקה בתדירות נמוכה ופרטי מערכת.
Loyalty Redeemed,נאמנות נגאל
Loyalty Redemption,גאולת נאמנות
Make New Payment,בצע תשלום חדש
Manage all,נהל הכל
Manage and synchronize your offline transactions,נהל וסנכרן את העסקאות הלא מקוונות שלך
Manage Cashier PIN,ניהול PIN של קופאית
"Manage offline tools, terminal controls, and maintenance from one workspace.","נהל כלים לא מקוונים, בקרות מסוף ותחזוקה מסביבת עבודה אחת."
manual,ידני
"Manual codes, barcode scans, and QR scans work in the same field","קודים ידניים, סריקות ברקוד וסריקות QR פועלות באותו שדה"
Manual offline mode is enabled,מצב לא מקוון ידני מופעל
Margin,שוליים
Maximum available quantity is {0}. Quantity adjusted to match stock.,הכמות המרבית הזמינה היא {0}. כמות מותאמת בהתאם למלאי.
Maximum discount amount for this offer item is {0}.,סכום ההנחה המקסימלי עבור פריט מבצע זה הוא {0}.
Maximum discount percentage for this offer item is {0}%.,אחוז ההנחה המקסימלי עבור פריט מבצע זה הוא {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,כמות ההצעה המקסימלית היא {0}. הכמות מותאמת למגבלה המותרת.
Medium,בינוני
Method-wise Collections,אוספים מבחינה שיטה
Minimum allowed rate for this offer item is {0}.,התעריף המינימלי המותר עבור פריט הצעה זה הוא {0}.
Minimum Qty,כמות מינימלית
Mobile No,מספר נייד
Mode,מצב
Mode of Payment,אופן תשלום
Month,חודש
Month ?,חודש?
Monthly Profit,רווח חודשי
Monthly Sales,מכירות חודשיות
Monthly Sales Summary,סיכום מכירות חודשי
Month-wise,מבחינת חודש
Most Active Cashiers,הקופאיות הפעילות ביותר
Movement Type,סוג תנועה
Movements,תנועות
Multi Currency,ריבוי מטבעות
N/A,לא
Name,שם
Negative Stock,מלאי שלילי
Negative Stock Items,פריטי מלאי שליליים
Negative values not allowed,ערכים שליליים אינם מותרים
Net,נטו
Net Qty,כמות נטו
Net Sales,מכירות נטו
Net Value,ערך נקי
Never,לעולם לא
New changes are ready to load,שינויים חדשים מוכנים לטעינה
New Item,פריט חדש
New Offer Available,הצעה חדשה זמינה
New PIN,PIN חדש
New rate,תעריף חדש
Next unit of measure,יחידת המידה הבאה
No attribute data found.,לא נמצאו נתוני מאפיינים.
No Barcode,אין ברקוד
No barcode found for UOM '{0}',לא נמצא ברקוד עבור UOM '{0}'
No branch/location data found.,לא נמצאו נתוני סניף/מיקום.
No brand data found.,לא נמצאו נתוני מותג.
No cached gift card balance is available offline.,אין יתרת כרטיס מתנה במטמון זמינה במצב לא מקוון.
No camera found on this device. Please ensure your device has a working camera.,לא נמצאה מצלמה במכשיר זה. אנא ודא שלמכשיר שלך יש מצלמה תקינה.
No capability warnings recorded yet.,עדיין לא נרשמו אזהרות לגבי יכולת.
No cash expected for this shift.,לא צפויים מזומנים למשמרת זו.
No cash mode configured,לא הוגדר מצב מזומן
No cash movement type is allowed for this POS Profile.,לא מותר סוג תנועת מזומנים עבור פרופיל קופה זה.
No cashier PIN is set yet. Create one now.,עדיין לא הוגדר PIN של הקופאי. צור אחד עכשיו.
No cashier profiles are available for this POS profile yet.,אין עדיין פרופילי קופאי זמינים עבור פרופיל קופה זה.
No cashier-wise discount/void/return activity.,אין פעילות הנחה/בטלה/החזרה בקופאית.
No category data found.,לא נמצאו נתוני קטגוריה.
No category profitability data found.,לא נמצאו נתוני רווחיות בקטגוריה.
No change returned recorded for this shift.,לא נרשם שינוי שהוחזר עבור משמרת זו.
No change-allocation invoices match the current filters.,אין חשבוניות הקצאת שינוי תואמות למסננים הנוכחיים.
No charge head breakdown found.,לא נמצא פירוט ראש טעינה.
No Company Selected,לא נבחרה חברה
No customer sales data found.,לא נמצאו נתוני מכירות של לקוחות.
No day-wise discount/void/return trend.,אין מגמת הנחה/בטל/החזרה יומית.
No day-wise payment data found.,לא נמצאו נתוני תשלום יומית.
No day-wise profitability trend found.,לא נמצאה מגמת רווחיות יומית.
No day-wise purchase data found.,לא נמצאו נתוני רכישה יומית.
No day-wise sales trend found.,לא נמצאה מגמת מכירות יומית.
No day-wise tax/charges trend found.,לא נמצאה מגמת מס/חיובים יומית.
No dead stock items.,אין פריטי מלאי מתים.
No due date,אין תאריך יעד
No exact repair match found for this invoice,לא נמצאה התאמת תיקון מדויקת לחשבונית זו
No hourly sales trend found for today.,לא נמצאה מגמת מכירות לפי שעה להיום.
No invoice activity found.,לא נמצאה פעילות חשבונית.
No invoices found,לא נמצאו חשבוניות
No invoices found. Try different search criteria.,לא נמצאו חשבוניות. נסה קריטריוני חיפוש שונים.
No invoices recorded for this shift.,לא נרשמו חשבוניות עבור משמרת זו.
No item profitability data found.,לא נמצאו נתוני רווחיות של פריט.
No item sales data found for this period.,לא נמצאו נתוני מכירת פריטים לתקופה זו.
No items found,לא נמצאו פריטים
No items in cart,אין פריטים בעגלה
No items with barcodes to print,אין פריטים עם ברקודים להדפסה
No location-wise top item data found.,לא נמצאו נתוני פריט עליון מבחינת מיקום.
No low stock alerts right now.,אין התראות מלאי נמוך כרגע.
No low stock items.,אין פריטים במלאי נמוך.
No matching items in cart,אין פריטים תואמים בעגלה
No month-wise sales trend found.,לא נמצאה מגמת מכירות חודשית.
No negative stock items.,אין פריטי מלאי שליליים.
No notifications yet,עדיין אין התראות
No offline cash movement synced.,לא מסונכרנת תנועת מזומנים לא מקוונת.
No offline invoices pending synchronization,אין חשבוניות לא מקוונות הממתינות לסנכרון
No offline sync issues recorded yet.,עדיין לא נרשמו בעיות בסנכרון לא מקוון.
No out-of-stock items.,אין פריטים שאזלו מהמלאי.
No outstanding credit invoices for this shift.,אין חשבוניות זיכוי מתקיימות עבור משמרת זו.
No payment collection data found.,לא נמצאו נתוני גביית תשלומים.
No payment rows available on this invoice.,אין שורות תשלום זמינות בחשבונית זו.
No payments registered for this shift.,לא נרשמו תשלומים למשמרת זו.
No pending balances in this period.,אין יתרות תלויות בתקופה זו.
No pending offline invoices,אין חשבוניות לא מקוונות ממתינות
No Print Formats Found,לא נמצאו פורמטי הדפסה
No profiles found for selected scope. Falling back to current profile failed.,לא נמצאו פרופילים עבור ההיקף שנבחר. החזרה לפרופיל הנוכחי נכשלה.
No recent customer activity found.,לא נמצאה פעילות אחרונה של לקוחות.
No recent stock entries found.,לא נמצאו רישומים אחרונים במלאי.
No records found,לא נמצאו רשומות
No reorder suggestions right now.,אין הצעות לסדר מחדש כרגע.
No repeat customers in this period.,אין לקוחות חוזרים בתקופה זו.
No response from server,אין תגובה מהשרת
No return invoices found,לא נמצאו חשבוניות החזרה
No return item trend found.,לא נמצאה מגמת פריט החזרה.
No returnable items found for this invoice,לא נמצאו פריטים להחזרה עבור חשבונית זו
No returns were processed in this shift.,לא טופלו החזרות במשמרת זו.
No risk activity found.,לא נמצאה פעילות סיכון.
No sales activity found for this period.,לא נמצאה פעילות מכירות לתקופה זו.
No slow moving items.,אין פריטים נעים לאט.
No staff sales activity found.,לא נמצאה פעילות מכירות של צוות.
No stock movement for this period.,אין תנועת מניות לתקופה זו.
No submitted cash movements in this shift.,לא הוגשו תנועות מזומנים במשמרת זו.
No supplier purchases found in this month.,לא נמצאו רכישות של ספקים בחודש זה.
No suppliers found for this period.,לא נמצאו ספקים לתקופה זו.
No sync trigger has run yet in this session.,לא פעל עדיין טריגר סנכרון בהפעלה זו.
No tax head breakdown found.,לא נמצא פירוט ראשי מס.
No top items found for this location.,לא נמצאו פריטים מובילים עבור מיקום זה.
No unpaid invoices,אין חשבוניות שלא שולמו
No variant data found.,לא נמצאו נתוני וריאציות.
No week-wise sales trend found.,לא נמצאה מגמת מכירות שבועית.
No.,לא.
Nobile Number,מספר נובל
Not available,לא זמין
Not checked,לא נבדק
Not selected,לא נבחר
Not Set,לא מוגדר
Notifications,התראות
Offer,הצעה
Offer Applied,ההצעה הושמה
Offer criteria exceeded,חריגה מהקריטריונים של ההצעה
Offer Item,הצעה פריט
Offer item unavailable,פריט המבצע אינו זמין
Offer Removed,ההצעה הוסרה
Offer UOM cannot be changed,לא ניתן לשנות את UOM ההצעה
Offer?,להציע?
Offers,הצעות
Offline,לא מקוון
Offline & Sync,לא מקוון וסנכרון
Offline Capabilities,יכולות לא מקוונות
Offline data status refreshed,רענון סטטוס הנתונים הלא מקוונים
Offline diagnostics,אבחון לא מקוון
Offline Invoices,חשבוניות לא מקוונות
Offline invoices status,מצב חשבוניות לא מקוונות
Offline invoices synced,חשבוניות לא מקוונות מסונכרנות
Offline Queue: {0},תור לא מקוון: {0}
Offline rebuild guidance,הדרכה לבנייה מחדש במצב לא מקוון
Offline restore is unavailable for this session.,שחזור לא מקוון אינו זמין עבור הפעלה זו.
Offline selling is available with degraded capabilities.,מכירה לא מקוונת זמינה עם יכולות מושפלות.
Offline snapshot does not match the current POS state.,תמונת מצב לא מקוונת אינה תואמת את מצב הקופה הנוכחי.
Offline Status,מצב לא מקוון
"Offline, terminal, and system controls","בקרות לא מקוונות, מסוף ומערכת"
OK,בסדר
Online,באינטרנט
Open actions menu,פתח את תפריט הפעולות
Open balance to collect,יתרה פתוחה לאיסוף
Open Customer Display,פתח את תצוגת הלקוח
Open drawer,פתח את המגירה
Open invoices,חשבוניות פתוחות
Open Payments?,לפתוח תשלומים?
Open POS home,פתח את בית הקופה
Open this screen from POS Menu -> Open Customer Display.,פתח מסך זה מתפריט POS -> פתח תצוגת לקוחות.
OpenCV image processing enabled - Enhanced barcode detection,עיבוד תמונה OpenCV מופעל - זיהוי ברקוד משופר
OpenCV image processing unavailable on this device,עיבוד תמונה OpenCV אינו זמין במכשיר זה
OpenCV Off,OpenCV כבוי
OpenCV On,OpenCV פועל
OpenCV processing disabled,עיבוד OpenCV מושבת
Opening Amount,כמות פתיחה
Opening Cash,פתיחת מזומן
options,אפשרויות
Order,סדר
Original,מקורי
Other,אחר
Out,החוצה
Out of Stock,אזל מהמלאי
Out of Stock Items,פריטים אזלו במלאי
Outstanding,יוצא מן הכלל
Outstanding Credit by Currency,אשראי יוצא דופן לפי מטבע
Overdue,באיחור
Overpayment Change,שינוי בתשלום יתר
Overpayment change deducted: {0},שינוי בתשלום יתר נוכה: {0}
Packing List,רשימת אריזה
Page Format,פורמט עמוד
Page unavailable offline,הדף לא זמין במצב לא מקוון
Paid,בתשלום
Paid (orig):,בתשלום (מקור):
Paid Amount,סכום שולם
Paid change cannot be greater than total change!,שינוי בתשלום לא יכול להיות גדול מהשינוי הכולל!
Paid:,בתשלום:
Parent Item,פריט אב
Partial,חלקי
Partly Paid,בתשלום חלקית
Party Account,חשבון צד
Party Type,סוג מסיבה
Pause terminal until next cashier,השהה את המסוף עד לקופאי הבא
PAY,שלם
Payment,תשלום
Payment Account,חשבון תשלום
Payment entries processed for Invoice {0},כניסות תשלום שעובדו עבור חשבונית {0}
Payment Entry Type,סוג הזנת תשלום
Payment History,היסטוריית תשלומים
Payment ID,מזהה תשלום
Payment Method Report,דוח אמצעי תשלום
Payment Methods,דרכי תשלום
Payment of {0} received successfully.,תשלום בסך {0} התקבל בהצלחה.
Payment Progress,התקדמות התשלום
Payment Reconciliation,תיאום תשלום
Payment request status could not be retrieved. Please try again,לא ניתן היה לאחזר את סטטוס בקשת התשלום. אנא נסה שוב
Payment Request took too long to respond. Please try requesting for payment again,לבקשת התשלום לקח זמן רב מדי להגיב. אנא נסה לבקש תשלום שוב
Payment saved offline,התשלום נשמר במצב לא מקוון
Payment State,מצב תשלום
Payment Status,מצב תשלום
Payment submitted but print function could not be executed. Payment name not found.,התשלום נשלח אך לא ניתן היה לבצע את פונקציית ההדפסה. שם התשלום לא נמצא.
Payment submitted.,התשלום הוגש.
Payment Summary,סיכום תשלום
Payments,תשלומים
Payments are not open. Do you want to open payments and submit?,התשלומים אינם פתוחים. האם אתה רוצה לפתוח תשלומים ולהגיש?
Payments by Mode of Payment,תשלומים לפי אמצעי תשלום
PDF,PDF
Peak Hour,שעת שיא
Peak Memory:,שיא זיכרון:
Peak Server:,שרת שיא:
Peak:,שיא:
Pending,בהמתנה
Pending Amount,כמות בהמתנה
Pending count updated from {0} to {1},ספירה בהמתנה עודכנה מ-{0} ל-{1}
Pending Exposure,בהמתנה לחשיפה
Pending Invoices,חשבוניות ממתינות
Pending Ratio,יחס בהמתנה
Pending Sales,מכירות בהמתנה
Pending sales: {0} | Cache usage: {1}%,מכירות בהמתנה: {0} | שימוש במטמון: {1}%
Pending Sync,ממתין לסנכרון
Pending: {0},בהמתנה: {0}
Pending: {0} | Synced: {1} | Draft: {2},בהמתנה: {0} | מסונכרן: {1} | טיוטה: {2}
Per Page,לכל עמוד
Personal,אישי
Personal preferences adjust the current cashier experience without changing the active POS route.,העדפות אישיות מתאימות את חוויית הקופאית הנוכחית מבלי לשנות את מסלול הקופה הפעיל.
PIN confirmation does not match.,אישור ה-PIN אינו תואם.
PIN must be 4 to 8 digits.,PIN חייב להיות בן 4 עד 8 ספרות.
Please add at least one item.,הוסף לפחות פריט אחד.
Please allow camera access to scan codes,אנא אפשר גישה למצלמה כדי לסרוק קודים
Please enter payment amount,נא להזין את סכום התשלום
Please fill all required fields,אנא מלא את כל השדות הנדרשים
Please make a payment or select a payment,אנא בצע תשלום או בחר תשלום
Please request phone payment or use another payment method,אנא בקש תשלום טלפוני או השתמש באמצעי תשלום אחר
Please select a customer first,אנא בחר תחילה לקוח
Please select a party,אנא בחר מסיבה
Please select a party before reconciling.,אנא בחר צד לפני הפיוס.
Please select a valid movement type.,אנא בחר סוג תנועה חוקי.
Please select an invoice,אנא בחר חשבונית
Please select company before reconciling.,אנא בחר חברה לפני ההתאמה.
Please set the customer's mobile number,נא להגדיר את מספר הטלפון הנייד של הלקוח
Please try again or enter the item manually.,אנא נסה שוב או הזן את הפריט באופן ידני.
Please verify the barcode or check the item's availability.,נא לאמת את הברקוד או לבדוק את זמינות הפריט.
Points,נקודות
Popup blocked. Please allow popups.,חלון קופץ נחסם. אנא אפשר חלונות קופצים.
POS,קופה
POS controls and maintenance,בקרות ותחזוקה של קופה
POS Expense is disabled for this POS Profile.,הוצאות קופה מושבתות עבור פרופיל קופה זה.
POS is running with limited offline prerequisites.,POS פועל עם דרישות קדם לא מקוונות מוגבלות.
POS Profile,פרופיל POS
Position the QR code or barcode within the scanning area,מקם את קוד ה-QR או הברקוד בתוך אזור הסריקה
Posting,פרסום
Posting and Price List,פרסום ומחירון
Posting Date,תאריך פרסום
Preparing background sync,מכין סנכרון ברקע
"Press OK to continue offline with a warning, or Cancel to retry.","לחץ על אישור כדי להמשיך במצב לא מקוון עם אזהרה, או על ביטול כדי לנסות שוב."
Previous unit of measure,יחידת מידה קודמת
Price List,מחירון
Price List Rate,תעריף מחירון
Price list rate updated locally only,תעריף המחירון מעודכן מקומית בלבד
Pricing & Discounts,תמחור והנחות
Pricing Rule,כלל תמחור
Print,הדפס
Print Draft,הדפס טיוטה
Print Format (Invoice),פורמט הדפסה (חשבונית)
Print Format (Order),פורמט הדפסה (הזמנה)
Print invoice,הדפס חשבונית
Print Purchase Invoice instead of PO,הדפס חשבונית רכישה במקום הזמנה
Printer,מדפסת
Processed returns impacting the shift totals,החזרות מעובדות המשפיעות על סכומי המשמרות
Processing Payment,עיבוד תשלום
Processing payment entries for Invoice {0},עיבוד כניסות תשלום עבור חשבונית {0}
Profile,פרופיל
Profiles,פרופילים
Profit,רווח
Profit: Invoice Item Estimate,רווח: אומדן פריט חשבונית
Profit: Stock Ledger (COGS),רווח: פנקס מניות (COGS)
Profitability Report,דוח רווחיות
Prorated return discount,הנחה יחסית להחזרה
Purchase Amount,סכום רכישה
Purchase Invoices,חשבוניות רכישה
Purchase Order created,הזמנת רכש נוצרה
Qty,כמות
Qualified,מוסמך
Quantity,כמות
Quantity exceeds available stock,הכמות עולה על המלאי הזמין
Quick Actions,פעולות מהירות
Quotation {0} is Submitted,הצעת המחיר {0} הוגשה
Quotation submitted,הוגשה הצעת מחיר
QZ Tray connected.,מגש QZ מחובר.
QZ Tray is manually disconnected. Press Connect to enable it again.,מגש QZ מנותק באופן ידני. לחץ על התחבר כדי להפעיל אותו שוב.
QZ Tray is not connected.,מגש QZ אינו מחובר.
QZ Tray Setup,הגדרת מגש QZ
Rate,דרג
Rate adjusted to maximum allowed discount,התעריף מותאם להנחה המקסימלית המותרת
Ready,מוכן
Ready to resume,מוכן לחדש
Ready!,מוכן!
Real-time POS insights for retail operations.,תובנות קופה בזמן אמת לפעילות קמעונאית.
Rebuild Offline Data,בנה מחדש נתונים לא מקוונים
Receive,קבלו
Receive now,קבלו עכשיו
Received,התקבל
Received:,התקבל:
Recent Movement Entries,ערכים אחרונים בתנועה
Recent updates about your invoices,עדכונים אחרונים לגבי החשבוניות שלך
Recently Active Customers,לקוחות פעילים לאחרונה
Rechecking connection,בודק מחדש את החיבור
Reconcile payment methods and close shift,התאם אמצעי תשלום וסגור משמרת
Reconciling Payments,תיאום תשלומים
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","התחבר מחדש ופתח את הדף הזה פעם אחת במצב מקוון, ואז רענון לא מקוון יוכל לשחזר אותו."
Reconnect online to refresh cached offline data from the server.,התחבר מחדש באופן מקוון כדי לרענן נתונים לא מקוונים במטמון מהשרת.
Recreate local offline prerequisites from scratch,צור מחדש דרישות מוקדמות לא מקוונות מקומיות מאפס
Recv:,Recv:
Redeem,פדה
Redeem / Scan,מימוש / סריקה
Redeem Amount,סכום פדיון
Redeem Mode,מצב מימוש
Redeemed Amount,סכום פדיון
Redeemed credit cannot be greater than its total.,אשראי שנפדה לא יכול להיות גדול מהסך הכולל שלו.
Redemption and Totals,פדיון וסיכומים
Reference,הפניה
Refresh,רענן
Refresh Exchange Rate,רענון שער החליפין
Refresh Offline Data,רענן נתונים לא מקוונים
Refresh Printers,רענון מדפסות
Refund,החזר
Release Notes,הערות פרסום
Reload,טען מחדש
Reload customers,טען מחדש לקוחות
Reload Items,טען מחדש פריטים
Reload Now,טען מחדש עכשיו
Reload to apply the latest changes. Your current session will be refreshed.,טען מחדש כדי להחיל את השינויים האחרונים. ההפעלה הנוכחית שלך תתרענן.
Reload Workflow,טען מחדש את זרימת העבודה
Remarks,הערות
Remarks are required.,נדרשות הערות.
Remove,הסר
Remove barcode item,הסר פריט ברקוד
Remove cached data and reload the POS app,הסר את הנתונים המאוחסנים במטמון וטען מחדש את אפליקציית הקופה
Remove item,הסר פריט
Remove Offer,הסר את ההצעה
Reorder / Purchase Suggestions,הזמנות מחדש / הצעות רכישה
Repair Candidate,מועמד לתיקון
Repair Change Allocation,תיקון הקצאת שינוי
Repair requires an online connection,התיקון דורש חיבור מקוון
Repaired,תוקן
Repairing change allocation,תיקון הקצאת שינויים
Repeat Customers,לקוחות חוזרים
Repeat Rate,קצב חוזר
Request,בקשה
Request ID: {0},מזהה בקשה: {0}
Request Payment,בקש תשלום
Requested route: {0},מסלול מבוקש: {0}
Required columns cannot be hidden,לא ניתן להסתיר את העמודות הנדרשות
Reset,אפס
Reset item name,אפס את שם הפריט
Reset to Default,אפס לברירת מחדל
Resource Health,בריאות משאבים
Restricted,מוגבל
Restricted operational controls for supervisors only.,בקרות תפעוליות מוגבלות למפקחים בלבד.
Retry,נסה שוב
Retry route,נסה שוב את המסלול
Return,חזרה
Return Amount,סכום החזרה
Return Count,ספירת החזרות
Return items must have negative quantities,פריטים להחזרה חייבים להיות בכמויות שליליות
Return total must be negative,סך ההחזר חייב להיות שלילי
Return Valid Until,החזרה בתוקף עד
Return window passed,חלף חלון החזרה
Return without Invoice,החזר ללא חשבונית
Returns,מחזיר
Returns / Voids / Discounts,החזרות / חללים / הנחות
Returns by Currency,החזרות לפי מטבע
Revenue,הכנסה
Review shift totals before submitting the closing entry,בדוק את סכומי המשמרות לפני הגשת ערך הסגירה
Round Off,סיבוב
Rows,שורות
Rows:,שורות:
Rule,כלל
Sale,מכירה
Sales,מכירות
Sales Order {0} is Submitted,הזמנת מכירות {0} הוגשה
Sales Person and Print,איש מכירות ודפוס
Sales Person not found,איש מכירות לא נמצא
Sales processed,עיבוד המכירות
Sales Return,החזרת מכירות
Sales Trend Report,דוח מגמת מכירות
Save,שמור
Save & Clear,שמור ונקה
Save as POS Profile Default,שמור כברירת מחדל של פרופיל POS
Save Settings,שמור הגדרות
Save the selected printer as the POS Profile default so it shows automatically on this setup.,שמור את המדפסת שנבחרה כברירת המחדל של פרופיל POS כך שהיא תוצג אוטומטית בהגדרה זו.
Saved as draft because: {0},נשמר כטיוטה בגלל: {0}
Saving...,שומר...
Scale barcode detected. Quantity here is the number of labels to print.,זוהה ברקוד בקנה מידה. הכמות כאן היא מספר התוויות להדפסה.
Scale barcode settings are not configured. Using item barcode only.,הגדרות ברקוד קנה מידה אינן מוגדרות. שימוש בברקוד פריט בלבד.
Scale template barcode is missing for this item/UOM. Using item barcode only.,חסר ברקוד תבנית קנה מידה עבור פריט/UOM זה. שימוש בברקוד פריט בלבד.
Scan an existing card and top it up without leaving the payment flow.,סרוק כרטיס קיים והטען אותו מבלי לצאת מתזרים התשלום.
Scan Error,שגיאת סריקה
Scan or enter a gift card code to check balance or redeem.,סרוק או הזן קוד כרטיס מתנה כדי לבדוק יתרה או לממש.
Scan or paste the card code below.,סרוק או הדבק את קוד הכרטיס למטה.
Scan QR Code/Barcode,סרוק קוד QR/ברקוד
Scan with camera,סרוק עם מצלמה
Scan-First Flow,סריקה-תחילה זרימה
Scanned Code:,קוד סרוק:
Scanning for: {0},סורק אחר: {0}
Scanning items,סריקת פריטים
Scan-Ready,מוכן לסריקה
Scope,היקף
Scope: All Profiles,היקף: כל הפרופילים
Scope: Current Profile,היקף: פרופיל נוכחי
Scope: Specific Profile,היקף: פרופיל ספציפי
Search,חפש
Search Account,חפש חשבון
Search an invoice and continue the return flow without extra steps.,חפש חשבונית והמשך את זרימת ההחזרה ללא שלבים נוספים.
Search customer,חפש לקוח
Search invoices or customers,חפש חשבוניות או לקוחות
Search item,חיפוש פריט
Search item / code,חפש פריט/קוד
Search items or barcode,חפש פריטים או ברקוד
Search Mpesa Payments,חפש ב-Mpesa Payments
Search return invoices or customers,חפש חשבוניות חוזרות או לקוחות
Search supplier,חפש ספק
Search unpaid invoices or customers,חפש חשבוניות או לקוחות שלא שולמו
Secure context (HTTPS or localhost) is required for camera access.,נדרש הקשר מאובטח (HTTPS או localhost) לגישה למצלמה.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,הקשר מאובטח (HTTPS) נדרש לגישה למצלמה. אנא השתמש ב-HTTPS כדי לגשת למצלמה.
Select,בחר
Select a cashier first.,תחילה בחר קופאית.
Select a customer,בחר לקוח
Select a customer to use coupon,בחר לקוח שישתמש בקופון
Select a printer to use QZ silent printing.,בחר מדפסת לשימוש בהדפסה שקטה QZ.
Select Batch,בחר אצווה
Select Columns to Display,בחר עמודות לתצוגה
Select items to sell,בחר פריטים למכירה
Select Payment,בחר תשלום
Select Payment Account,בחר חשבון תשלום
Select printer,בחר מדפסת
Select Return Invoice,בחר החזרת חשבונית
Select S.O,בחר S.O
Select Sales Orders,בחר הזמנות מכירה
Select the cashier who is taking over this terminal.,בחר את הקופאית שמשתלטת על המסוף הזה.
Selected,נבחר
Selected movement type is not allowed by POS Profile.,סוג התנועה שנבחר אינו מותר על ידי פרופיל POS.
Selected Payments,תשלומים נבחרים
Sensitive actions kept away from quick taps.,פעולות רגישות התרחקו מהקשות מהירות.
Serial,סדרתי
Serial Numbers,מספרים סידוריים
Server CPU Usage:,שימוש במעבד שרת:
Server Health,בריאות השרת
Server Memory Usage:,שימוש בזיכרון שרת:
Server Metrics,מדדי שרת
Server Uptime:,זמן פעילות שרת:
Service Charges,דמי שירות
Session,מושב
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,הגדר כל PIN של קופאי בטופס משתמש ושמור על חברי מסוף שהוקצו ב-POS User Profile.
Settings,הגדרות
Settings in this section update the POS workspace without changing the current route.,ההגדרות בסעיף זה מעדכנות את סביבת העבודה של הקופה מבלי לשנות את המסלול הנוכחי.
Setup complete!,ההגדרה הושלמה!
Share,שתף
Shared terminal,מסוף משותף
Shift Closed Snapshot,Shift Snapshot סגור
Shift Overview,סקירה כללית של Shift
Show,הצג
Show cart on customer-facing screen,הצג את העגלה על מסך הפונה ללקוח
Show last invoice rate,הצג את שיעור החשבונית האחרונה
Show rate info,הצג מידע על תעריפים
Show Repair Candidates,הצג מועמדים לתיקון
Show search tools,הצג כלי חיפוש
Show the active cart on a customer-facing screen,הצג את העגלה הפעילה על מסך הפונה ללקוח
Showing {0}-{1} of {2},מציג {0}-{1} מתוך {2}
Showing 0 of 0,מציג 0 מתוך 0
Shows the distribution of invoices per currency,מציג את התפלגות החשבוניות לפי מטבע
Sign out of the current POS session,צא מההפעלה הנוכחית של POS
Size:,גודל:
Skipped Payments,דילג על תשלומים
Skipping items without barcodes,דילוג על פריטים ללא ברקודים
Slow Moving,תנועה איטית
Slow Moving Items,פריטים בתנועה איטית
Slow Queries:,שאילתות איטיות:
Sold,נמכר
Source,מקור
Source Cash Account (Optional Override),חשבון מקור מזומן (עקיפה אופציונלית)
Source Ex. Rate:,מקור דוגמה תעריף:
Source Rate:,שיעור מקור:
Specific Profile,פרופיל ספציפי
Split Invoices,פיצול חשבוניות
Staff / Cashier Performance Report,דוח ביצועי צוות/קופאית
Status,סטטוס
Stock,מלאי
Stock Information,מידע על מלאי
Stock is lower than requested,המלאי נמוך מהמבוקש
Stock is lower than requested:\n{0},המלאי נמוך מהמבוקש:\n{0}
Stock Movement Report,דוח תנועת מניות
