POS Awesome,பிஓஎஸ் அருமை
Enter new price list rate,புதிய விலைப்பட்டியல் விகிதத்தை உள்ளிடவும்
Enter Quantity,அளவை உள்ளிடவும்
Enter the cashier PIN to continue.,தொடர காசாளர் பின்னை உள்ளிடவும்.
Enter the current PIN first.,முதலில் தற்போதைய பின்னை உள்ளிடவும்.
"Enter the current PIN, then choose a new one.","தற்போதைய பின்னை உள்ளிட்டு, புதிய ஒன்றைத் தேர்ந்தெடுக்கவும்."
Enter valid grams for scale barcode,ஸ்கேல் பார்கோடுக்கு சரியான கிராம்களை உள்ளிடவும்
Entries,உள்ளீடுகள்
Error accessing camera:,கேமராவை அணுகுவதில் பிழை:
Error calculating prices,விலைகளைக் கணக்கிடுவதில் பிழை
Error fetching customer balance,வாடிக்கையாளர் இருப்பைப் பெறுவதில் பிழை
Error in change calculations!,மாற்றக் கணக்கீடுகளில் பிழை!
Error Loading Data,தரவை ஏற்றுவதில் பிழை
Error loading invoice details,விலைப்பட்டியல் விவரங்களை ஏற்றுவதில் பிழை
Error processing invoice,விலைப்பட்டியல் செயலாக்குவதில் பிழை
Error processing payment,பணம் செலுத்துவதில் பிழை
Error searching invoices,இன்வாய்ஸ்களைத் தேடுவதில் பிழை
Error submitting invoice:,விலைப்பட்டியல் சமர்ப்பிப்பதில் பிழை:
Error submitting invoice: {0},விலைப்பட்டியல் சமர்ப்பிப்பதில் பிழை: {0}
Error submitting invoice: No response from server,விலைப்பட்டியல் சமர்ப்பிப்பதில் பிழை: சேவையகத்திலிருந்து பதில் இல்லை
Error updating currency,நாணயத்தைப் புதுப்பிப்பதில் பிழை
Error updating item details,உருப்படி விவரங்களைப் புதுப்பிப்பதில் பிழை
Est. Purchase,Est. கொள்முதல்
Est. Value,Est. மதிப்பு
Event-loop lag measures how busy your browser is. Lower is better.,உங்கள் உலாவி எவ்வளவு பிஸியாக இருக்கிறது என்பதை நிகழ்வு-லூப் லேக் அளவிடும். தாழ்வானது சிறந்தது.
Every,ஒவ்வொரு
Exchange Rate,மாற்று விகிதம்
Expand item details,உருப்படி விவரங்களை விரிவாக்குங்கள்
Expected Amount (In Company Currency),எதிர்பார்க்கப்படும் தொகை (நிறுவனத்தின் நாணயத்தில்)
Expected Cash,எதிர்பார்த்த பணம்
Expected cash on hand grouped by currency,நாணயத்தின் அடிப்படையில் குழுவாக எதிர்பார்க்கப்படும் பணம்
Expected vs Actual,எதிர்பார்க்கப்படுகிறது vs உண்மையானது
Expense,செலவு
Expense Account (Optional Override),செலவு கணக்கு (விரும்பினால் மேலெழுதுதல்)
Expense account is required.,செலவு கணக்கு தேவை.
Expenses and deposits posted during this shift,இந்த மாற்றத்தின் போது வெளியிடப்பட்ட செலவுகள் மற்றும் வைப்புத்தொகைகள்
Expired,காலாவதியானது
Failed to auto reconcile payments.,கட்டணங்களை தானாக சரிசெய்ய முடியவில்லை.
Failed to cancel cash movement,பணப் பரிமாற்றத்தை ரத்து செய்ய முடியவில்லை
Failed to clear cache,தற்காலிக சேமிப்பை அழிக்க முடியவில்லை
Failed to create item,உருப்படியை உருவாக்க முடியவில்லை
Failed to create supplier,சப்ளையரை உருவாக்க முடியவில்லை
Failed to delete cash movement,பணப் பரிமாற்றத்தை நீக்க முடியவில்லை
Failed to generate scale barcode. Using item barcode only.,அளவு பார்கோடு உருவாக்க முடியவில்லை. உருப்படி பார்கோடு மட்டும் பயன்படுத்துகிறது.
Failed to load cash movement context.,பண நகர்வு சூழலை ஏற்றுவதில் தோல்வி.
Failed to load dashboard data.,டாஷ்போர்டு தரவை ஏற்றுவதில் தோல்வி.
Failed to reload invoice from server,சேவையகத்திலிருந்து இன்வாய்ஸை மீண்டும் ஏற்ற முடியவில்லை
Failed to submit cash movement,பண நகர்வைச் சமர்ப்பிக்க முடியவில்லை
Failed to sync offline cash movements,ஆஃப்லைன் பணப் பரிமாற்றங்களை ஒத்திசைக்க முடியவில்லை
Fast cashier actions for active shifts.,செயலில் உள்ள மாற்றங்களுக்கான விரைவான காசாளர் நடவடிக்கைகள்.
Fast Moving Items,வேகமாக நகரும் பொருட்கள்
Fees,கட்டணம்
Fetch the latest offline prerequisite updates,சமீபத்திய ஆஃப்லைன் முன்தேவையான புதுப்பிப்புகளைப் பெறவும்
Find a sales order quickly and load it into the current sale.,விற்பனை ஆர்டரை விரைவாகக் கண்டுபிடித்து தற்போதைய விற்பனையில் ஏற்றவும்.
Fixing payment amounts for return invoice...,ரிட்டர்ன் இன்வாய்ஸிற்கான கட்டணத் தொகையை சரிசெய்கிறது...
Flash Off,ஃபிளாஷ் ஆஃப்
Flash On,ஃபிளாஷ் ஆன்
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'தயாரிப்புத் தொகுப்பு' உருப்படிகளுக்கு, கிடங்கு, வரிசை எண் மற்றும் தொகுதி எண் ஆகியவை 'பேக்கிங் பட்டியல்' அட்டவணையில் இருந்து பரிசீலிக்கப்படும். எந்தவொரு 'தயாரிப்புத் தொகுப்பு' உருப்படிக்கான அனைத்து பேக்கிங் பொருட்களுக்கும் கிடங்கு மற்றும் தொகுதி எண் ஒரே மாதிரியாக இருந்தால், அந்த மதிப்புகளை முக்கிய உருப்படி அட்டவணையில் உள்ளிடலாம்; மதிப்புகள் 'பேக்கிங் பட்டியல்' அட்டவணைக்கு நகலெடுக்கப்படும்."
Free,இலவசம்
Free Qty,இலவச Qty
Frequency,அதிர்வெண்
from,இருந்து
From Date,தேதியிலிருந்து
Fulfillment Details,பூர்த்தி விவரங்கள்
Full Name,முழுப் பெயர்
Gain,ஆதாயம்
Generate a fresh prepaid card and start it with an opening balance.,"புதிய ப்ரீபெய்ட் கார்டை உருவாக்கி, தொடக்க இருப்புடன் தொடங்கவும்."
Generate and install the certificate to allow fully silent printing without trust prompts.,நம்பிக்கைத் தூண்டுதல்கள் இல்லாமல் முழுமையாக அமைதியாக அச்சிட அனுமதிக்க சான்றிதழை உருவாக்கி நிறுவவும்.
Generate Certificate,சான்றிதழை உருவாக்கவும்
Generated scale barcode: {0},உருவாக்கப்பட்ட அளவு பார்கோடு: {0}
Get Payments,கொடுப்பனவுகளைப் பெறுங்கள்
Gift Card,பரிசு அட்டை
Gift card amount must be greater than zero.,பரிசு அட்டைத் தொகை பூஜ்ஜியத்தை விட அதிகமாக இருக்க வேண்டும்.
Gift Card Code,பரிசு அட்டை குறியீடு
Gift card code is required for redemption,ரிடீம் செய்வதற்கு கிஃப்ட் கார்டு குறியீடு தேவை
Gift card code is required.,பரிசு அட்டை குறியீடு தேவை.
Gift card issued successfully.,பரிசு அட்டை வெற்றிகரமாக வழங்கப்பட்டது.
Gift card loaded successfully.,பரிசு அட்டை வெற்றிகரமாக ஏற்றப்பட்டது.
Gift Card Management,பரிசு அட்டை மேலாண்மை
Gift card payment,பரிசு அட்டை கட்டணம்
Gift card redemption requires an online connection,கிஃப்ட் கார்டைப் பெறுவதற்கு ஆன்லைன் இணைப்பு தேவை
Gift card topped up successfully.,பரிசு அட்டை வெற்றிகரமாக டாப் அப் செய்யப்பட்டது.
Gift Cards,பரிசு அட்டைகள்
Go to Frappe Desk,Frappe Desk க்குச் செல்லவும்
Grand Total,கிராண்ட் மொத்தம்
Gross Margin,மொத்த விளிம்பு
Gross Profit,மொத்த லாபம்
Gross Sales,மொத்த விற்பனை
Group not found,குழு காணப்படவில்லை
"Grouped controls for terminal, UI, and session settings.","முனையம், UI மற்றும் அமர்வு அமைப்புகளுக்கான குழுவாக்கப்பட்ட கட்டுப்பாடுகள்."
Grouped totals for each payment method and currency,ஒவ்வொரு கட்டண முறை மற்றும் நாணயத்திற்கான மொத்தத் தொகை
Hide,மறை
Hide Gift Card,பரிசு அட்டையை மறை
Hide Non Essential Fields,அத்தியாவசியமற்ற புலங்களை மறை
Hide quantity decimals,அளவு தசமங்களை மறை
Hide search tools,தேடல் கருவிகளை மறை
Hide zero rated items,பூஜ்யம் மதிப்பிடப்பட்ட உருப்படிகளை மறை
High,உயர்
History,வரலாறு
Hourly (Today),மணிநேரம் (இன்று)
How this section works,இந்த பகுதி எவ்வாறு செயல்படுகிறது
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","பழைய தரவு அப்படியே இருந்தால், அமைப்புகள் > ஆஃப்லைன் & ஒத்திசைவைத் திறந்து, ஆன்லைனில் இருக்கும்போது மீண்டும் ஆஃப்லைன் தரவை மீண்டும் உருவாக்கவும்."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","எச்சரிக்கை தொடர்ந்தால், அமைப்புகள் > ஆஃப்லைன் & ஒத்திசைவைத் திறந்து, ஆஃப்லைன் தரவைப் புதுப்பிக்கவும் அல்லது ஆஃப்லைன் தரவை மீண்டும் உருவாக்கவும்."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,QZ ட்ரேயில் சான்றிதழை இறக்குமதி செய்து ஒவ்வொரு POS இயந்திரத்திலும் QZ ட்ரேயை மறுதொடக்கம் செய்யவும்.
In,இல்
In stock: {0},கையிருப்பில்: {0}
Include Batch / Serial,தொகுதி / தொடர் அடங்கும்
Include Price,விலையைச் சேர்க்கவும்
Increase quantity,அளவை அதிகரிக்கவும்
IndexedDB,IndexedDB
Initial Amount,ஆரம்ப தொகை
Initialize your shift with opening balances,தொடக்க நிலுவைகளுடன் உங்கள் மாற்றத்தைத் தொடங்கவும்
Initializing application...,பயன்பாட்டைத் துவக்குகிறது...
"Inspect cache, sync, and prerequisite status","தற்காலிக சேமிப்பு, ஒத்திசைவு மற்றும் முன்நிபந்தனை நிலையை ஆய்வு செய்யவும்"
Installed Applications,நிறுவப்பட்ட பயன்பாடுகள்
Insufficient stock:\n{0},போதுமான இருப்பு இல்லை:\n{0}
Invalid rate,தவறான விகிதம்
Inventory Status Report,இருப்பு நிலை அறிக்கை
Invoice,விலைப்பட்டியல்
Invoice {0} is Submitted,இன்வாய்ஸ் {0} சமர்ப்பிக்கப்பட்டது
Invoice {0} processed successfully,இன்வாய்ஸ் {0} வெற்றிகரமாக செயலாக்கப்பட்டது
Invoice {0} submission failed,இன்வாய்ஸ் {0} சமர்ப்பிப்பு தோல்வியடைந்தது
Invoice {0} was already submitted,இன்வாய்ஸ் {0} ஏற்கனவே சமர்ப்பிக்கப்பட்டது
Invoice Adjustments,விலைப்பட்டியல் சரிசெய்தல்
Invoice Change,விலைப்பட்டியல் மாற்றம்
Invoice Details,விலைப்பட்டியல் விவரங்கள்
Invoice is still in draft after background submission.,பின்னணி சமர்ப்பித்த பிறகும் இன்வாய்ஸ் வரைவில் உள்ளது.
Invoice Items,விலைப்பட்டியல் பொருட்கள்
Invoice Management,விலைப்பட்டியல் மேலாண்மை
Invoice Mgmt,விலைப்பட்டியல் Mgmt
Invoice saved offline,இன்வாய்ஸ் ஆஃப்லைனில் சேமிக்கப்பட்டது
Invoice submission failed,விலைப்பட்டியல் சமர்ப்பிக்க முடியவில்லை
Invoice Submitted,விலைப்பட்டியல் சமர்ப்பிக்கப்பட்டது
"Invoice value settled by loyalty points, not cash collection","விலைப்பட்டியல் மதிப்பு லாயல்டி புள்ளிகளால் தீர்க்கப்பட்டது, பண சேகரிப்பு அல்ல"
Invoices,இன்வாய்ஸ்கள்
Invoices already past due date,இன்வாய்ஸ்கள் ஏற்கனவே நிலுவைத் தேதியை கடந்துவிட்டது
Invoices saved as POS Invoices,இன்வாய்ஸ்கள் பிஓஎஸ் இன்வாய்ஸ்களாக சேமிக்கப்பட்டன
Invoices still carrying balances,இன்வாய்ஸ்களில் இன்னும் இருப்பு உள்ளது
Issue Mode,வெளியீட்டு முறை
Issue New Card,புதிய அட்டை வழங்கவும்
Issue Workflow,பணிப்பாய்வு பிரச்சினை
"Issue, top up, and check","வழங்கவும், நிரப்பவும் மற்றும் சரிபார்க்கவும்"
Item,பொருள்
Item / Product Sales Report,பொருள் / தயாரிப்பு விற்பனை அறிக்கை
Item {0} added to invoice,பொருள் {0} இன்வாய்ஸில் சேர்க்கப்பட்டது
Item '{0}' has no barcode,'{0}' உருப்படிக்கு பார்கோடு இல்லை
Item Code,பொருள் குறியீடு
Item created successfully,உருப்படி வெற்றிகரமாக உருவாக்கப்பட்டது
Item is out of stock,பொருள் இருப்பில் இல்லை
Item Name,பொருளின் பெயர்
Item not found,பொருள் கிடைக்கவில்லை
Item order updated,பொருள் ஆர்டர் புதுப்பிக்கப்பட்டது
Item Selector Settings,பொருள் தேர்வி அமைப்புகள்
Items,பொருட்கள்
Items added in POS will appear here automatically.,POS இல் சேர்க்கப்பட்ட உருப்படிகள் தானாகவே இங்கே தோன்றும்.
Items added to invoice,விலைப்பட்டியலில் உருப்படிகள் சேர்க்கப்பட்டன
Items per page,ஒரு பக்கத்திற்கு உருப்படிகள்
Items Sold,விற்கப்பட்ட பொருட்கள்
Items/Invoice,பொருட்கள்/விலைப்பட்டியல்
Item-wise Profitability,பொருள் வாரியான லாபம்
Journal Entry,பத்திரிகை நுழைவு
json,json
Just now,இப்போதுதான்
Keep offline prerequisites healthy and recover stale data safely.,ஆஃப்லைன் முன்நிபந்தனைகளை ஆரோக்கியமாக வைத்திருங்கள் மற்றும் பழைய தரவை பாதுகாப்பாக மீட்டெடுக்கவும்.
Labels,லேபிள்கள்
"Language, theme, terminal tools, and session controls.","மொழி, தீம், டெர்மினல் கருவிகள் மற்றும் அமர்வு கட்டுப்பாடுகள்."
Last,கடைசியாக
Last 14 Days (Paid vs Pending),கடந்த 14 நாட்கள் (பணம் செலுத்தப்பட்டது மற்றும் நிலுவையில் உள்ளது)
Last 14 Days Activity,கடந்த 14 நாள் செயல்பாடு
Last 14 Days Gross Profit,கடந்த 14 நாட்களின் மொத்த லாபம்
Last 14 Days Purchases,கடந்த 14 நாட்கள் கொள்முதல்
Last 14 Days Tax/Charges,கடந்த 14 நாட்கள் வரி/கட்டணங்கள்
Last sync:,கடைசி ஒத்திசைவு:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},கடைசி ஒத்திசைவு: {0} | சரி: {1} | தோல்வி: {2} | தவிர்க்கப்பட்டது: {3}
Latest entries for current shift,தற்போதைய மாற்றத்திற்கான சமீபத்திய உள்ளீடுகள்
Lead Time,முன்னணி நேரம்
Limited,வரையறுக்கப்பட்டவை
lines,வரிகள்
List,பட்டியல்
Live Snapshot,நேரலை ஸ்னாப்ஷாட்
Load a POS profile and cashier first.,முதலில் POS சுயவிவரத்தையும் காசாளரையும் ஏற்றவும்.
Load More Invoices,மேலும் இன்வாய்ஸ்களை ஏற்றவும்
Load previously saved invoices,முன்பு சேமித்த இன்வாய்ஸ்களை ஏற்றவும்
Load Sale,சுமை விற்பனை
Load Sales Invoice,விற்பனை விலைப்பட்டியல் ஏற்றவும்
Loading app data...,பயன்பாட்டுத் தரவை ஏற்றுகிறது...
Loading customer database...,வாடிக்கையாளர் தரவுத்தளத்தை ஏற்றுகிறது...
Loading customers...,வாடிக்கையாளர்களை ஏற்றுகிறது...
Loading database stats...,தரவுத்தள புள்ளிவிவரங்களை ஏற்றுகிறது...
Loading details...,விவரங்களை ஏற்றுகிறது...
Loading invoice history...,இன்வாய்ஸ் வரலாற்றை ஏற்றுகிறது...
Loading items...,பொருட்களை ஏற்றுகிறது...
Loading product catalog...,தயாரிப்பு பட்டியலை ஏற்றுகிறது...
Loading return invoices...,ரிட்டர்ன் இன்வாய்ஸ்களை ஏற்றுகிறது...
Loading server CPU/memory usage...,சர்வர் CPU/மெமரி உபயோகத்தை ஏற்றுகிறது...
Loading suppliers...,சப்ளையர்களை ஏற்றுகிறது...
Loading unpaid invoices...,செலுத்தப்படாத இன்வாய்ஸ்களை ஏற்றுகிறது...
Loading view...,காட்சியை ஏற்றுகிறது...
Loading...,ஏற்றுகிறது...
Local storage is unavailable. Switching to online-only mode.,உள்ளூர் சேமிப்பிடம் இல்லை. ஆன்லைனில் மட்டும் பயன்முறைக்கு மாறுகிறது.
localStorage,உள்ளூர் சேமிப்பு
Location Performance,இருப்பிட செயல்திறன்
Locations,இடங்கள்
Lock Screen,பூட்டு திரை
Lookup Workflow,வேலைப்பாய்வுகளைத் தேடுங்கள்
Loss,இழப்பு
Low,குறைந்த
Low Stock,குறைந்த பங்கு
Low Stock Alerts,குறைந்த பங்கு எச்சரிக்கைகள்
Low Stock Items,குறைந்த ஸ்டாக் பொருட்கள்
Low Stock Threshold,குறைந்த பங்கு வரம்பு
Low Stock Total,குறைந்த பங்கு மொத்தம்
Lowest Margin,குறைந்த விளிம்பு
Low-frequency maintenance and system details.,குறைந்த அதிர்வெண் பராமரிப்பு மற்றும் கணினி விவரங்கள்.
Loyalty Redeemed,விசுவாசம் மீட்கப்பட்டது
Loyalty Redemption,விசுவாச மீட்பு
Make New Payment,புதிய பணம் செலுத்துங்கள்
Manage all,அனைத்தையும் நிர்வகிக்கவும்
Manage and synchronize your offline transactions,உங்கள் ஆஃப்லைன் பரிவர்த்தனைகளை நிர்வகிக்கவும் மற்றும் ஒத்திசைக்கவும்
Manage Cashier PIN,கேஷியர் பின்னை நிர்வகிக்கவும்
"Manage offline tools, terminal controls, and maintenance from one workspace.","ஒரு பணியிடத்திலிருந்து ஆஃப்லைன் கருவிகள், முனையக் கட்டுப்பாடுகள் மற்றும் பராமரிப்பு ஆகியவற்றை நிர்வகிக்கவும்."
manual,கையேடு
"Manual codes, barcode scans, and QR scans work in the same field","கைமுறை குறியீடுகள், பார்கோடு ஸ்கேன்கள் மற்றும் QR ஸ்கேன்கள் ஒரே துறையில் வேலை செய்கின்றன"
Manual offline mode is enabled,கைமுறை ஆஃப்லைன் பயன்முறை இயக்கப்பட்டது
Margin,விளிம்பு
Maximum available quantity is {0}. Quantity adjusted to match stock.,கிடைக்கும் அதிகபட்ச அளவு {0}. பங்குக்கு ஏற்ப அளவு சரிசெய்யப்பட்டது.
Maximum discount amount for this offer item is {0}.,இந்த ஆஃபர் உருப்படிக்கான அதிகபட்ச தள்ளுபடித் தொகை {0}.
Maximum discount percentage for this offer item is {0}%.,இந்த ஆஃபர் உருப்படிக்கான அதிகபட்ச தள்ளுபடி சதவீதம் {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,சலுகையின் அதிகபட்ச அளவு {0}. அனுமதிக்கப்பட்ட வரம்புக்கு ஏற்ப அளவு சரிசெய்யப்பட்டது.
Medium,நடுத்தர
Method-wise Collections,முறை வாரியான சேகரிப்புகள்
Minimum allowed rate for this offer item is {0}.,இந்தச் சலுகைக்கான குறைந்தபட்ச அனுமதிக்கப்பட்ட விலை {0}.
Minimum Qty,குறைந்தபட்ச அளவு
Mobile No,மொபைல் எண்
Mode,பயன்முறை
Mode of Payment,பணம் செலுத்தும் முறை
Month,மாதம்
Month ?,மாதம் ?
Monthly Profit,மாதாந்திர லாபம்
Monthly Sales,மாதாந்திர விற்பனை
Monthly Sales Summary,மாதாந்திர விற்பனை சுருக்கம்
Month-wise,மாத வாரியாக
Most Active Cashiers,மிகவும் செயலில் உள்ள காசாளர்கள்
Movement Type,இயக்கம் வகை
Movements,இயக்கங்கள்
Multi Currency,பல நாணயம்
N/A,N/A
Name,பெயர்
Negative Stock,எதிர்மறை பங்கு
Negative Stock Items,எதிர்மறை பங்கு பொருட்கள்
Negative values not allowed,எதிர்மறை மதிப்புகள் அனுமதிக்கப்படவில்லை
Net,நிகர
Net Qty,நிகர அளவு
Net Sales,நிகர விற்பனை
Net Value,நிகர மதிப்பு
Never,ஒருபோதும் இல்லை
New changes are ready to load,புதிய மாற்றங்கள் ஏற்றுவதற்கு தயாராக உள்ளன
New Item,புதிய பொருள்
New Offer Available,புதிய சலுகை கிடைக்கிறது
New PIN,புதிய பின்
New rate,புதிய விகிதம்
Next unit of measure,அடுத்த அளவீட்டு அலகு
No attribute data found.,பண்புக்கூறு தரவு இல்லை.
No Barcode,பார்கோடு இல்லை
No barcode found for UOM '{0}',UOM '{0}'க்கான பார்கோடு இல்லை
No branch/location data found.,கிளை/இருப்பிடம் தரவு எதுவும் இல்லை.
No brand data found.,பிராண்ட் தரவு இல்லை.
No cached gift card balance is available offline.,தற்காலிக சேமிப்பு கிஃப்ட் கார்டு இருப்பு எதுவும் ஆஃப்லைனில் இல்லை.
No camera found on this device. Please ensure your device has a working camera.,இந்தச் சாதனத்தில் கேமரா இல்லை. உங்கள் சாதனத்தில் இயங்கும் கேமரா இருப்பதை உறுதிசெய்யவும்.
No capability warnings recorded yet.,திறன் எச்சரிக்கைகள் எதுவும் இதுவரை பதிவு செய்யப்படவில்லை.
No cash expected for this shift.,இந்த ஷிப்டுக்கு பணம் எதிர்பார்க்கவில்லை.
No cash mode configured,பணப் பயன்முறை எதுவும் கட்டமைக்கப்படவில்லை
No cash movement type is allowed for this POS Profile.,இந்த பிஓஎஸ் சுயவிவரத்திற்கு எந்த விதமான பண நடமாட்டமும் அனுமதிக்கப்படவில்லை.
No cashier PIN is set yet. Create one now.,காசாளர் பின் எதுவும் இன்னும் அமைக்கப்படவில்லை. இப்போது ஒன்றை உருவாக்கவும்.
No cashier profiles are available for this POS profile yet.,இந்த POS சுயவிவரத்திற்கு இதுவரை காசாளர் சுயவிவரங்கள் எதுவும் கிடைக்கவில்லை.
No cashier-wise discount/void/return activity.,காசாளர் வாரியான தள்ளுபடி/செல்லாது/திரும்பச் செயல்பாடு இல்லை.
No category data found.,வகை தரவு எதுவும் இல்லை.
No category profitability data found.,வகை லாபத் தரவு எதுவும் இல்லை.
No change returned recorded for this shift.,இந்த மாற்றத்திற்கு எந்த மாற்றமும் பதிவு செய்யப்படவில்லை.
No change-allocation invoices match the current filters.,தற்போதைய வடிப்பான்களுடன் எந்த மாற்ற-ஒதுக்கீடு இன்வாய்ஸ்களும் பொருந்தவில்லை.
No charge head breakdown found.,சார்ஜ் தலை முறிவு இல்லை.
No Company Selected,எந்த நிறுவனமும் தேர்ந்தெடுக்கப்படவில்லை
No customer sales data found.,வாடிக்கையாளர் விற்பனைத் தரவு எதுவும் இல்லை.
No day-wise discount/void/return trend.,நாள் வாரியான தள்ளுபடி/செல்லாதது/திரும்பப் போக்கு இல்லை.
No day-wise payment data found.,நாள் வாரியான கட்டணத் தரவு எதுவும் இல்லை.
No day-wise profitability trend found.,நாள் வாரியான லாபப் போக்கு காணப்படவில்லை.
No day-wise purchase data found.,நாள் வாரியான கொள்முதல் தரவு இல்லை.
No day-wise sales trend found.,நாள் வாரியான விற்பனைப் போக்கு காணப்படவில்லை.
No day-wise tax/charges trend found.,நாள் வாரியான வரி/கட்டணப் போக்கு எதுவும் இல்லை.
No dead stock items.,டெட் ஸ்டாக் பொருட்கள் இல்லை.
No due date,நிலுவைத் தேதி இல்லை
No exact repair match found for this invoice,இந்த விலைப்பட்டியலுக்கான சரியான பழுதுபார்ப்பு பொருத்தம் எதுவும் இல்லை
No hourly sales trend found for today.,இன்றைய மணிநேர விற்பனைப் போக்கு இல்லை.
No invoice activity found.,இன்வாய்ஸ் செயல்பாடு எதுவும் இல்லை.
No invoices found,இன்வாய்ஸ் எதுவும் இல்லை
No invoices found. Try different search criteria.,இன்வாய்ஸ் எதுவும் இல்லை. வெவ்வேறு தேடல் அளவுகோல்களை முயற்சிக்கவும்.
No invoices recorded for this shift.,இந்த மாற்றத்திற்கான இன்வாய்ஸ்கள் எதுவும் பதிவு செய்யப்படவில்லை.
No item profitability data found.,பொருளின் லாபத் தரவு எதுவும் இல்லை.
No item sales data found for this period.,இந்தக் காலத்திற்கான பொருள் விற்பனைத் தரவு எதுவும் இல்லை.
No items found,பொருட்கள் எதுவும் கிடைக்கவில்லை
No items in cart,வண்டியில் பொருட்கள் இல்லை
No items with barcodes to print,அச்சிட பார்கோடுகளுடன் உருப்படிகள் இல்லை
No location-wise top item data found.,இடம் வாரியான மேல் உருப்படி தரவு எதுவும் இல்லை.
No low stock alerts right now.,தற்போது குறைந்த பங்கு எச்சரிக்கைகள் இல்லை.
No low stock items.,குறைந்த கையிருப்பு பொருட்கள் இல்லை.
No matching items in cart,வண்டியில் பொருந்தக்கூடிய பொருட்கள் இல்லை
No month-wise sales trend found.,மாத வாரியான விற்பனைப் போக்கு காணப்படவில்லை.
No negative stock items.,எதிர்மறை பங்கு பொருட்கள் இல்லை.
No notifications yet,இதுவரை எந்த அறிவிப்பும் இல்லை
No offline cash movement synced.,ஆஃப்லைன் பணப் பரிமாற்றம் ஒத்திசைக்கப்படவில்லை.
No offline invoices pending synchronization,ஒத்திசைவு நிலுவையில் உள்ள ஆஃப்லைன் இன்வாய்ஸ்கள் இல்லை
No offline sync issues recorded yet.,ஆஃப்லைன் ஒத்திசைவுச் சிக்கல்கள் எதுவும் இதுவரை பதிவு செய்யப்படவில்லை.
No out-of-stock items.,கையிருப்பில் இல்லாத பொருட்கள் இல்லை.
No outstanding credit invoices for this shift.,இந்த மாற்றத்திற்கான நிலுவையிலுள்ள கிரெடிட் இன்வாய்ஸ்கள் இல்லை.
No payment collection data found.,கட்டண சேகரிப்பு தரவு எதுவும் இல்லை.
No payment rows available on this invoice.,இந்த இன்வாய்ஸில் கட்டண வரிசைகள் எதுவும் இல்லை.
No payments registered for this shift.,இந்த ஷிப்டுக்கு பணம் எதுவும் பதிவு செய்யப்படவில்லை.
No pending balances in this period.,இந்த காலகட்டத்தில் நிலுவையில் உள்ள நிலுவைகள் இல்லை.
No pending offline invoices,நிலுவையில் உள்ள ஆஃப்லைன் இன்வாய்ஸ்கள் இல்லை
No Print Formats Found,அச்சு வடிவங்கள் எதுவும் இல்லை
No profiles found for selected scope. Falling back to current profile failed.,தேர்ந்தெடுக்கப்பட்ட நோக்கத்திற்கான சுயவிவரங்கள் எதுவும் இல்லை. தற்போதைய சுயவிவரத்திற்குத் திரும்புவது தோல்வியடைந்தது.
No recent customer activity found.,சமீபத்திய வாடிக்கையாளர் செயல்பாடு எதுவும் இல்லை.
No recent stock entries found.,சமீபத்திய பங்கு உள்ளீடுகள் எதுவும் இல்லை.
No records found,பதிவுகள் எதுவும் கிடைக்கவில்லை
No reorder suggestions right now.,தற்போது மறுவரிசை பரிந்துரைகள் எதுவும் இல்லை.
No repeat customers in this period.,இந்த காலகட்டத்தில் மீண்டும் வாடிக்கையாளர்கள் இல்லை.
No response from server,சேவையகத்திலிருந்து பதில் இல்லை
No return invoices found,திரும்பப் பெறும் விலைப்பட்டியல் எதுவும் இல்லை
No return item trend found.,திரும்பப் பெறும் உருப்படியின் போக்கு எதுவும் இல்லை.
No returnable items found for this invoice,இந்த விலைப்பட்டியல் திரும்பப்பெறக்கூடிய உருப்படிகள் எதுவும் இல்லை
No returns were processed in this shift.,இந்த மாற்றத்தில் எந்த வருமானமும் செயலாக்கப்படவில்லை.
No risk activity found.,ஆபத்து செயல்பாடு எதுவும் கண்டறியப்படவில்லை.
No sales activity found for this period.,இந்தக் காலக்கட்டத்தில் விற்பனை செயல்பாடு எதுவும் இல்லை.
No slow moving items.,மெதுவாக நகரும் பொருட்கள் இல்லை.
No staff sales activity found.,ஊழியர்களின் விற்பனை செயல்பாடு எதுவும் இல்லை.
No stock movement for this period.,இந்தக் காலக்கட்டத்தில் பங்குகளின் இயக்கம் இல்லை.
No submitted cash movements in this shift.,இந்த மாற்றத்தில் சமர்ப்பிக்கப்பட்ட பண நகர்வுகள் இல்லை.
No supplier purchases found in this month.,இந்த மாதத்தில் சப்ளையர் கொள்முதல் எதுவும் இல்லை.
No suppliers found for this period.,இந்தக் காலத்திற்கு வழங்குநர்கள் யாரும் இல்லை.
No sync trigger has run yet in this session.,இந்த அமர்வில் இதுவரை எந்த ஒத்திசைவு தூண்டுதலும் இயங்கவில்லை.
