POS Awesome,पीओएस बहुत बढ़िया
"Grouped controls for terminal, UI, and session settings.","टर्मिनल, यूआई और सत्र सेटिंग्स के लिए समूहीकृत नियंत्रण।"
Grouped totals for each payment method and currency,प्रत्येक भुगतान विधि और मुद्रा के लिए समूहीकृत योग
Hide,छिपाओ
Hide Gift Card,उपहार कार्ड छिपाएँ
Hide Non Essential Fields,गैर आवश्यक फ़ील्ड छिपाएँ
Hide quantity decimals,मात्रा दशमलव छिपाएँ
Hide search tools,खोज उपकरण छिपाएँ
Hide zero rated items,शून्य रेटेड आइटम छिपाएँ
High,ऊँचा
History,इतिहास
Hourly (Today),प्रति घंटा (आज)
How this section works,यह अनुभाग कैसे काम करता है
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","यदि पुराना डेटा रहता है, तो सेटिंग्स> ऑफ़लाइन और सिंक खोलें और ऑनलाइन रहते हुए ऑफ़लाइन डेटा को फिर से चलाएं।"
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","यदि चेतावनी बनी रहती है, तो सेटिंग > ऑफ़लाइन और सिंक खोलें, फिर ऑफ़लाइन डेटा रीफ़्रेश करें या ऑफ़लाइन डेटा पुनः बनाएँ चलाएँ।"
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,प्रमाणपत्र को QZ ट्रे में आयात करें और प्रत्येक POS मशीन पर QZ ट्रे को पुनरारंभ करें।
In,में
In stock: {0},स्टॉक में: {0}
Include Batch / Serial,बैच/सीरियल शामिल करें
Include Price,कीमत शामिल करें
Increase quantity,मात्रा बढ़ाएँ
IndexedDB,अनुक्रमितडीबी
Initial Amount,प्रारंभिक राशि
Initialize your shift with opening balances,आरंभिक शेष राशि के साथ अपनी पारी आरंभ करें
Initializing application...,एप्लिकेशन प्रारंभ किया जा रहा है...
"Inspect cache, sync, and prerequisite status","कैश, सिंक और पूर्व अपेक्षित स्थिति का निरीक्षण करें"
Installed Applications,इंस्टॉल किए गए एप्लिकेशन
Insufficient stock:\n{0},अपर्याप्त स्टॉक:\n{0}
Invalid rate,अमान्य दर
Inventory Status Report,इन्वेंटरी स्थिति रिपोर्ट
Invoice,चालान
Invoice {0} is Submitted,चालान {0} जमा कर दिया गया है
Invoice {0} processed successfully,चालान {0} सफलतापूर्वक संसाधित हुआ
Invoice {0} submission failed,चालान {0} जमा करना विफल रहा
Invoice {0} was already submitted,चालान {0} पहले ही जमा कर दिया गया था
Invoice Adjustments,चालान समायोजन
Invoice Change,चालान परिवर्तन
Invoice Details,चालान विवरण
Invoice is still in draft after background submission.,पृष्ठभूमि प्रस्तुत करने के बाद भी चालान ड्राफ्ट में है।
Invoice Items,चालान आइटम
Invoice Management,चालान प्रबंधन
Invoice Mgmt,चालान प्रबंधन
Invoice saved offline,चालान ऑफ़लाइन सहेजा गया
Invoice submission failed,चालान प्रस्तुत करना विफल रहा
Invoice Submitted,चालान प्रस्तुत किया गया
"Invoice value settled by loyalty points, not cash collection","चालान का मूल्य लॉयल्टी पॉइंट्स द्वारा तय किया जाता है, न कि नकद संग्रहण द्वारा"
Invoices,चालान
Invoices already past due date,चालान की नियत तिथि पहले ही बीत चुकी है
Invoices saved as POS Invoices,चालान पीओएस चालान के रूप में सहेजे गए
Invoices still carrying balances,चालान में अभी भी शेष राशि है
Issue Mode,जारी करने का तरीका
Issue New Card,नया कार्ड जारी करें
Issue Workflow,वर्कफ़्लो जारी करें
"Issue, top up, and check","जारी करें, टॉप अप करें और जांचें"
Item,वस्तु
Item / Product Sales Report,आइटम/उत्पाद बिक्री रिपोर्ट
Item {0} added to invoice,आइटम {0} इनवॉइस में जोड़ा गया
Item '{0}' has no barcode,आइटम '{0}' में कोई बारकोड नहीं है
Item Code,आइटम कोड
Item created successfully,आइटम सफलतापूर्वक बनाया गया
Item is out of stock,आइटम स्टॉक में नहीं है
Item Name,आइटम का नाम
Item not found,आइटम नहीं मिला
Item order updated,आइटम ऑर्डर अपडेट किया गया
Item Selector Settings,आइटम चयनकर्ता सेटिंग्स
Items,आइटम
Items added in POS will appear here automatically.,पीओएस में जोड़े गए आइटम स्वचालित रूप से यहां दिखाई देंगे।
Items added to invoice,चालान में आइटम जोड़े गए
Items per page,प्रति पृष्ठ आइटम
Items Sold,आइटम बेचे गए
Items/Invoice,आइटम/चालान
Item-wise Profitability,मदवार लाभप्रदता
Journal Entry,जर्नल प्रविष्टि
json,json
Just now,अभी अभी
Keep offline prerequisites healthy and recover stale data safely.,ऑफ़लाइन पूर्वापेक्षाओं को स्वस्थ रखें और पुराने डेटा को सुरक्षित रूप से पुनर्प्राप्त करें।
Labels,लेबल
"Language, theme, terminal tools, and session controls.","भाषा, विषय, टर्मिनल उपकरण और सत्र नियंत्रण।"
Last,अंतिम
Last 14 Days (Paid vs Pending),पिछले 14 दिन (भुगतान बनाम लंबित)
Last 14 Days Activity,पिछले 14 दिनों की गतिविधि
Last 14 Days Gross Profit,पिछले 14 दिनों का सकल लाभ
Last 14 Days Purchases,पिछले 14 दिनों की खरीदारी
Last 14 Days Tax/Charges,पिछले 14 दिनों का कर/प्रभार
Last sync:,अंतिम सिंक:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},अंतिम सिंक: {0} | ठीक है: {1} | विफल: {2} | छोड़ दिया गया: {3}
Latest entries for current shift,वर्तमान पारी के लिए नवीनतम प्रविष्टियाँ
Lead Time,नेतृत्व समय
Limited,सीमित
lines,पंक्तियाँ
List,सूची
Live Snapshot,लाइव स्नैपशॉट
Load a POS profile and cashier first.,सबसे पहले एक पीओएस प्रोफ़ाइल और कैशियर लोड करें।
Load More Invoices,अधिक चालान लोड करें
Load previously saved invoices,पहले से सहेजे गए चालान लोड करें
Load Sale,लोड बिक्री
Load Sales Invoice,बिक्री चालान लोड करें
Loading app data...,ऐप डेटा लोड हो रहा है...
Loading customer database...,ग्राहक डेटाबेस लोड हो रहा है...
Loading customers...,ग्राहक लोड हो रहे हैं...
Loading database stats...,डेटाबेस आँकड़े लोड हो रहे हैं...
Loading details...,विवरण लोड हो रहा है...
Loading invoice history...,चालान इतिहास लोड हो रहा है...
Loading items...,आइटम लोड हो रहा है...
Loading product catalog...,उत्पाद सूची लोड हो रही है...
Loading return invoices...,वापसी चालान लोड हो रहा है...
Loading server CPU/memory usage...,सर्वर सीपीयू/मेमोरी उपयोग लोड हो रहा है...
Loading suppliers...,आपूर्तिकर्ता लोड हो रहे हैं...
Loading unpaid invoices...,भुगतान न किए गए चालान लोड हो रहे हैं...
Loading view...,दृश्य लोड हो रहा है...
Loading...,लोड हो रहा है...
Local storage is unavailable. Switching to online-only mode.,स्थानीय भंडारण अनुपलब्ध है. केवल-ऑनलाइन मोड पर स्विच करना।
localStorage,लोकलस्टोरेज
Location Performance,स्थान प्रदर्शन
Locations,स्थान
Lock Screen,लॉक स्क्रीन
Lookup Workflow,लुकअप वर्कफ़्लो
Loss,हानि
Low,नीचा
Low Stock,कम स्टॉक
Low Stock Alerts,कम स्टॉक अलर्ट
Low Stock Items,कम स्टॉक वाले आइटम
Low Stock Threshold,कम स्टॉक सीमा
Low Stock Total,कम स्टॉक कुल
Lowest Margin,सबसे कम मार्जिन
Low-frequency maintenance and system details.,कम-आवृत्ति रखरखाव और सिस्टम विवरण।
Loyalty Redeemed,वफादारी छुड़ाई गई
Loyalty Redemption,वफादारी मोचन
Make New Payment,नया भुगतान करें
Manage all,सब मैनेज करो
Manage and synchronize your offline transactions,अपने ऑफ़लाइन लेनदेन को प्रबंधित और सिंक्रनाइज़ करें
Manage Cashier PIN,कैशियर पिन प्रबंधित करें
"Manage offline tools, terminal controls, and maintenance from one workspace.","एक ही कार्यस्थान से ऑफ़लाइन उपकरण, टर्मिनल नियंत्रण और रखरखाव प्रबंधित करें।"
manual,मैनुअल
"Manual codes, barcode scans, and QR scans work in the same field","मैनुअल कोड, बारकोड स्कैन और क्यूआर स्कैन एक ही क्षेत्र में काम करते हैं"
Manual offline mode is enabled,मैन्युअल ऑफ़लाइन मोड सक्षम है
Margin,मार्जिन
Maximum available quantity is {0}. Quantity adjusted to match stock.,अधिकतम उपलब्ध मात्रा {0} है. स्टॉक से मेल खाने के लिए मात्रा समायोजित की गई।
Maximum discount amount for this offer item is {0}.,इस ऑफ़र आइटम के लिए अधिकतम छूट राशि {0} है।
Maximum discount percentage for this offer item is {0}%.,इस ऑफ़र आइटम के लिए अधिकतम छूट प्रतिशत {0}% है।
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,अधिकतम ऑफ़र मात्रा {0} है. मात्रा को अनुमत सीमा तक समायोजित किया गया।
Medium,मध्यम
Method-wise Collections,विधि-वार संग्रह
Minimum allowed rate for this offer item is {0}.,इस ऑफ़र आइटम के लिए न्यूनतम अनुमत दर {0} है।
Minimum Qty,न्यूनतम मात्रा
Mobile No,मोबाइल नंबर
Mode,मोड
Mode of Payment,भुगतान का तरीका
Month,महीना
Month ?,महीना ?
Monthly Profit,मासिक लाभ
Monthly Sales,मासिक बिक्री
Monthly Sales Summary,मासिक बिक्री सारांश
Month-wise,माहवार
Most Active Cashiers,सर्वाधिक सक्रिय कैशियर
Movement Type,आंदोलन प्रकार
Movements,आंदोलन
Multi Currency,बहु मुद्रा
N/A,एन/ए
Name,नाम
Negative Stock,नकारात्मक स्टॉक
Negative Stock Items,नकारात्मक स्टॉक आइटम
Negative values not allowed,नकारात्मक मानों की अनुमति नहीं है
Net,नेट
Net Qty,शुद्ध मात्रा
Net Sales,शुद्ध बिक्री
Net Value,शुद्ध मूल्य
Never,कभी नहीं
New changes are ready to load,नए परिवर्तन लोड करने के लिए तैयार हैं
New Item,नया आइटम
New Offer Available,नया ऑफर उपलब्ध है
New PIN,नया पिन
New rate,नई दर
Next unit of measure,माप की अगली इकाई
No attribute data found.,कोई विशेषता डेटा नहीं मिला.
No Barcode,कोई बारकोड नहीं
No barcode found for UOM '{0}',UOM '{0}' के लिए कोई बारकोड नहीं मिला
No branch/location data found.,कोई शाखा/स्थान डेटा नहीं मिला.
No brand data found.,कोई ब्रांड डेटा नहीं मिला.
No cached gift card balance is available offline.,कोई कैश्ड उपहार कार्ड शेष ऑफ़लाइन उपलब्ध नहीं है।
No camera found on this device. Please ensure your device has a working camera.,इस डिवाइस पर कोई कैमरा नहीं मिला. कृपया सुनिश्चित करें कि आपके डिवाइस में एक कार्यशील कैमरा है।
No capability warnings recorded yet.,अभी तक कोई क्षमता चेतावनी दर्ज नहीं की गई है.
No cash expected for this shift.,इस बदलाव के लिए कोई नकदी की उम्मीद नहीं है.
No cash mode configured,कोई कैश मोड कॉन्फ़िगर नहीं किया गया
No cash movement type is allowed for this POS Profile.,इस पीओएस प्रोफ़ाइल के लिए किसी भी नकदी संचलन प्रकार की अनुमति नहीं है।
No cashier PIN is set yet. Create one now.,अभी तक कोई कैशियर पिन सेट नहीं है. अभी एक बनाएं.
No cashier profiles are available for this POS profile yet.,इस पीओएस प्रोफ़ाइल के लिए अभी तक कोई कैशियर प्रोफ़ाइल उपलब्ध नहीं है।
No cashier-wise discount/void/return activity.,कोई कैशियर-वार छूट/शून्य/वापसी गतिविधि नहीं।
No category data found.,कोई श्रेणी डेटा नहीं मिला.
No category profitability data found.,कोई श्रेणी लाभप्रदता डेटा नहीं मिला.
No change returned recorded for this shift.,इस बदलाव के लिए कोई परिवर्तन दर्ज नहीं किया गया।
No change-allocation invoices match the current filters.,कोई भी परिवर्तन-आवंटन चालान वर्तमान फ़िल्टर से मेल नहीं खाता।
No charge head breakdown found.,कोई चार्ज हेड ब्रेकडाउन नहीं मिला.
No Company Selected,कोई कंपनी चयनित नहीं
No customer sales data found.,कोई ग्राहक बिक्री डेटा नहीं मिला.
No day-wise discount/void/return trend.,कोई दिन-वार छूट/शून्य/वापसी की प्रवृत्ति नहीं।
No day-wise payment data found.,कोई दिन-वार भुगतान डेटा नहीं मिला.
No day-wise profitability trend found.,दिन-वार लाभप्रदता की कोई प्रवृत्ति नहीं मिली।
No day-wise purchase data found.,दिन-वार खरीदारी का कोई डेटा नहीं मिला.
No day-wise sales trend found.,दिनवार बिक्री का कोई रुझान नहीं मिला.
No day-wise tax/charges trend found.,कोई दिन-वार कर/प्रभार प्रवृत्ति नहीं मिली।
No dead stock items.,कोई डेड स्टॉक आइटम नहीं.
No due date,कोई नियत तिथि नहीं
No exact repair match found for this invoice,इस इनवॉइस के लिए कोई सटीक मरम्मत मिलान नहीं मिला
No hourly sales trend found for today.,आज के लिए कोई प्रति घंटा बिक्री रुझान नहीं मिला.
No invoice activity found.,कोई चालान गतिविधि नहीं मिली.
No invoices found,कोई चालान नहीं मिला
No invoices found. Try different search criteria.,कोई चालान नहीं मिला. विभिन्न खोज मानदंड आज़माएँ.
No invoices recorded for this shift.,इस शिफ्ट के लिए कोई चालान दर्ज नहीं किया गया।
No item profitability data found.,कोई आइटम लाभप्रदता डेटा नहीं मिला.
No item sales data found for this period.,इस अवधि के लिए कोई आइटम बिक्री डेटा नहीं मिला.
No items found,कोई आइटम नहीं मिला
No items in cart,कार्ट में कोई आइटम नहीं
No items with barcodes to print,मुद्रित करने के लिए बारकोड वाला कोई आइटम नहीं
No location-wise top item data found.,कोई स्थान-वार शीर्ष आइटम डेटा नहीं मिला।
No low stock alerts right now.,अभी कम स्टॉक की कोई चेतावनी नहीं है।
No low stock items.,कोई कम स्टॉक वाली वस्तु नहीं.
No matching items in cart,कार्ट में कोई मेल खाने वाला आइटम नहीं
No month-wise sales trend found.,कोई माहवार बिक्री रुझान नहीं मिला.
No negative stock items.,कोई नकारात्मक स्टॉक आइटम नहीं.
No notifications yet,अभी तक कोई सूचना नहीं
No offline cash movement synced.,कोई ऑफ़लाइन नकदी संचलन समन्वयित नहीं हुआ.
No offline invoices pending synchronization,कोई ऑफ़लाइन चालान सिंक्रनाइज़ेशन के लिए लंबित नहीं है
No offline sync issues recorded yet.,अभी तक कोई ऑफ़लाइन समन्वयन समस्या दर्ज नहीं की गई है.
No out-of-stock items.,कोई आउट-ऑफ-स्टॉक आइटम नहीं.
No outstanding credit invoices for this shift.,इस बदलाव के लिए कोई बकाया क्रेडिट चालान नहीं।
No payment collection data found.,कोई भुगतान संग्रहण डेटा नहीं मिला.
No payment rows available on this invoice.,इस चालान पर कोई भुगतान पंक्ति उपलब्ध नहीं है.
No payments registered for this shift.,इस बदलाव के लिए कोई भुगतान पंजीकृत नहीं है।
No pending balances in this period.,इस अवधि में कोई लंबित शेष नहीं है.
No pending offline invoices,कोई ऑफ़लाइन चालान लंबित नहीं है
No Print Formats Found,कोई प्रिंट प्रारूप नहीं मिला
No profiles found for selected scope. Falling back to current profile failed.,चयनित दायरे के लिए कोई प्रोफ़ाइल नहीं मिली. वर्तमान प्रोफ़ाइल पर वापस जाना विफल रहा.
No recent customer activity found.,हाल की कोई ग्राहक गतिविधि नहीं मिली.
No recent stock entries found.,कोई हालिया स्टॉक प्रविष्टियाँ नहीं मिलीं.
No records found,कोई रिकार्ड नहीं मिला
No reorder suggestions right now.,अभी कोई पुन: व्यवस्थित करने का सुझाव नहीं है.
No repeat customers in this period.,इस अवधि में कोई दोबारा ग्राहक नहीं।
No response from server,सर्वर से कोई प्रतिक्रिया नहीं
No return invoices found,कोई वापसी चालान नहीं मिला
No return item trend found.,कोई वापसी आइटम का रुझान नहीं मिला.
No returnable items found for this invoice,इस चालान के लिए कोई वापसी योग्य वस्तु नहीं मिली
No returns were processed in this shift.,इस शिफ्ट में कोई रिटर्न संसाधित नहीं किया गया।
No risk activity found.,कोई जोखिम गतिविधि नहीं मिली.
No sales activity found for this period.,इस अवधि के लिए कोई बिक्री गतिविधि नहीं मिली.
No slow moving items.,कोई धीमी गति से चलने वाली वस्तु नहीं.
No staff sales activity found.,कोई स्टाफ बिक्री गतिविधि नहीं मिली.
No stock movement for this period.,इस अवधि के लिए स्टॉक में कोई हलचल नहीं।
No submitted cash movements in this shift.,इस पाली में कोई नकदी संचलन प्रस्तुत नहीं किया गया।
No supplier purchases found in this month.,इस माह में कोई आपूर्तिकर्ता खरीदारी नहीं मिली.
No suppliers found for this period.,इस अवधि के लिए कोई आपूर्तिकर्ता नहीं मिला.
No sync trigger has run yet in this session.,इस सत्र में अभी तक कोई सिंक ट्रिगर नहीं चला है.
No tax head breakdown found.,कोई कर शीर्ष विवरण नहीं मिला.
No top items found for this location.,इस स्थान के लिए कोई शीर्ष आइटम नहीं मिला.
No unpaid invoices,कोई अवैतनिक चालान नहीं
No variant data found.,कोई भिन्न डेटा नहीं मिला.
No week-wise sales trend found.,कोई सप्ताहवार बिक्री रुझान नहीं मिला.
No.,नहीं.
Nobile Number,नोबेल नंबर
Not available,उपलब्ध नहीं है
Not checked,जाँच नहीं की गई
Not selected,चयनित नहीं
Not Set,सेट नहीं
Notifications,सूचनाएं
Offer,प्रस्ताव
Offer Applied,प्रस्ताव लागू
Offer criteria exceeded,ऑफ़र मानदंड पार हो गए
Offer Item,प्रस्ताव वस्तु
Offer item unavailable,ऑफ़र आइटम अनुपलब्ध है
Offer Removed,प्रस्ताव हटा दिया गया
Offer UOM cannot be changed,ऑफ़र यूओएम को बदला नहीं जा सकता
Offer?,प्रस्ताव?
Offers,ऑफर
Offline,ऑफ़लाइन
Offline & Sync,ऑफ़लाइन और सिंक
Offline Capabilities,ऑफ़लाइन क्षमताएँ
Offline data status refreshed,ऑफ़लाइन डेटा स्थिति ताज़ा की गई
Offline diagnostics,ऑफ़लाइन निदान
Offline Invoices,ऑफ़लाइन चालान
Offline invoices status,ऑफ़लाइन चालान स्थिति
Offline invoices synced,ऑफ़लाइन चालान समन्वयित किए गए
Offline Queue: {0},ऑफ़लाइन कतार: {0}
Offline rebuild guidance,ऑफ़लाइन पुनर्निर्माण मार्गदर्शन
Offline restore is unavailable for this session.,इस सत्र के लिए ऑफ़लाइन पुनर्स्थापना अनुपलब्ध है.
Offline selling is available with degraded capabilities.,ऑफ़लाइन बिक्री निम्न क्षमताओं के साथ उपलब्ध है।
Offline snapshot does not match the current POS state.,ऑफ़लाइन स्नैपशॉट वर्तमान POS स्थिति से मेल नहीं खाता.
Offline Status,ऑफ़लाइन स्थिति
"Offline, terminal, and system controls","ऑफ़लाइन, टर्मिनल और सिस्टम नियंत्रण"
OK,ठीक है
Online,ऑनलाइन
Open actions menu,क्रियाएँ मेनू खोलें
Open balance to collect,इकट्ठा करने के लिए खुला शेष
Open Customer Display,ग्राहक प्रदर्शन खोलें
Open drawer,दराज खोलें
Open invoices,चालान खोलें
Open Payments?,भुगतान खोलें?
Open POS home,पीओएस होम खोलें
Open this screen from POS Menu -> Open Customer Display.,इस स्क्रीन को पीओएस मेनू से खोलें -> ग्राहक डिस्प्ले खोलें।
OpenCV image processing enabled - Enhanced barcode detection,OpenCV छवि प्रसंस्करण सक्षम - उन्नत बारकोड पहचान
OpenCV image processing unavailable on this device,इस डिवाइस पर OpenCV इमेज प्रोसेसिंग उपलब्ध नहीं है
OpenCV Off,ओपनसीवी बंद
OpenCV On,ओपनसीवी चालू
OpenCV processing disabled,OpenCV प्रसंस्करण अक्षम किया गया
Opening Amount,उद्घाटन राशि
Opening Cash,नकदी खोलना
options,विकल्प
Order,आदेश
Original,मौलिक
Other,अन्य
Out,बाहर
Out of Stock,स्टॉक से बाहर
Out of Stock Items,स्टॉक में नहीं आइटम
Outstanding,उत्कृष्ट
Outstanding Credit by Currency,मुद्रा द्वारा बकाया क्रेडिट
Overdue,अतिदेय
Overpayment Change,अधिक भुगतान परिवर्तन
Overpayment change deducted: {0},अधिक भुगतान पर परिवर्तन काटा गया: {0}
Packing List,पैकिंग सूची
Page Format,पृष्ठ प्रारूप
Page unavailable offline,पृष्ठ ऑफ़लाइन अनुपलब्ध है
Paid,भुगतान किया गया
Paid (orig):,भुगतान किया गया (मूल):
Paid Amount,भुगतान की गई राशि
Paid change cannot be greater than total change!,भुगतान किया गया परिवर्तन कुल परिवर्तन से बड़ा नहीं हो सकता!
Paid:,भुगतान किया गया:
Parent Item,मूल वस्तु
Partial,आंशिक
Partly Paid,आंशिक भुगतान
Party Account,पार्टी खाता
Party Type,पार्टी का प्रकार
Pause terminal until next cashier,अगले कैशियर तक टर्मिनल रोकें
PAY,भुगतान करें
Payment,भुगतान
Payment Account,भुगतान खाता
Payment entries processed for Invoice {0},चालान {0} के लिए भुगतान प्रविष्टियाँ संसाधित की गईं
Payment Entry Type,भुगतान प्रविष्टि प्रकार
Payment History,भुगतान इतिहास
Payment ID,भुगतान आईडी
Payment Method Report,भुगतान विधि रिपोर्ट
Payment Methods,भुगतान के तरीके
Payment of {0} received successfully.,{0} का भुगतान सफलतापूर्वक प्राप्त हुआ.
Payment Progress,भुगतान की प्रगति
Payment Reconciliation,भुगतान समाधान
Payment request status could not be retrieved. Please try again,भुगतान अनुरोध स्थिति पुनर्प्राप्त नहीं की जा सकी. कृपया पुनः प्रयास करें
Payment Request took too long to respond. Please try requesting for payment again,भुगतान अनुरोध का जवाब देने में बहुत लंबा समय लगा। कृपया भुगतान के लिए पुनः अनुरोध करने का प्रयास करें
Payment saved offline,भुगतान ऑफ़लाइन सहेजा गया
Payment State,भुगतान स्थिति
Payment Status,भुगतान की स्थिति
Payment submitted but print function could not be executed. Payment name not found.,भुगतान जमा कर दिया गया लेकिन प्रिंट फ़ंक्शन निष्पादित नहीं किया जा सका। भुगतान का नाम नहीं मिला.
Payment submitted.,भुगतान जमा किया गया.
Payment Summary,भुगतान सारांश
Payments,भुगतान
Payments are not open. Do you want to open payments and submit?,भुगतान खुले नहीं हैं. क्या आप भुगतान खोलना और सबमिट करना चाहते हैं?
Payments by Mode of Payment,भुगतान के माध्यम से भुगतान
PDF,पीडीएफ
Peak Hour,पीक ऑवर
Peak Memory:,चरम स्मृति:
Peak Server:,पीक सर्वर:
Peak:,शिखर:
Pending,लंबित
Pending Amount,लंबित राशि
Pending count updated from {0} to {1},लंबित गिनती को {0} से {1} तक अपडेट किया गया
Pending Exposure,लंबित एक्सपोज़र
Pending Invoices,लंबित चालान
Pending Ratio,लंबित अनुपात
Pending Sales,लंबित बिक्री
Pending sales: {0} | Cache usage: {1}%,लंबित बिक्री: {0} | कैश उपयोग: {1}%
Pending Sync,लंबित समन्वयन
Pending: {0},लंबित: {0}
Pending: {0} | Synced: {1} | Draft: {2},लंबित: {0} | समन्वयित: {1} | ड्राफ्ट: {2}
Per Page,प्रति पेज
Personal,निजी
Personal preferences adjust the current cashier experience without changing the active POS route.,व्यक्तिगत प्राथमिकताएँ सक्रिय पीओएस रूट को बदले बिना वर्तमान कैशियर अनुभव को समायोजित करती हैं।
PIN confirmation does not match.,पिन पुष्टिकरण मेल नहीं खाता.
PIN must be 4 to 8 digits.,पिन 4 से 8 अंकों का होना चाहिए.
Please add at least one item.,कृपया कम से कम एक आइटम जोड़ें.
Please allow camera access to scan codes,कृपया स्कैन कोड तक कैमरे की पहुंच की अनुमति दें
Please enter payment amount,कृपया भुगतान राशि दर्ज करें
Please fill all required fields,कृपया सभी आवश्यक फ़ील्ड भरें
Please make a payment or select a payment,कृपया भुगतान करें या भुगतान चुनें
Please request phone payment or use another payment method,कृपया फ़ोन भुगतान का अनुरोध करें या किसी अन्य भुगतान विधि का उपयोग करें
Please select a customer first,कृपया पहले एक ग्राहक चुनें
Please select a party,कृपया एक पार्टी चुनें
Please select a party before reconciling.,कृपया सुलह करने से पहले एक पार्टी का चयन करें।
Please select a valid movement type.,कृपया एक वैध आंदोलन प्रकार का चयन करें।
Please select an invoice,कृपया एक चालान चुनें
Please select company before reconciling.,कृपया समाधान करने से पहले कंपनी का चयन करें।
Please set the customer's mobile number,कृपया ग्राहक का मोबाइल नंबर सेट करें
Please try again or enter the item manually.,कृपया पुनः प्रयास करें या आइटम को मैन्युअल रूप से दर्ज करें।
Please verify the barcode or check the item's availability.,कृपया बारकोड सत्यापित करें या आइटम की उपलब्धता जांचें।
Points,अंक
Popup blocked. Please allow popups.,पॉपअप अवरुद्ध. कृपया पॉपअप की अनुमति दें.
POS,पीओएस
POS controls and maintenance,पीओएस नियंत्रण और रखरखाव
POS Expense is disabled for this POS Profile.,इस पीओएस प्रोफ़ाइल के लिए पीओएस व्यय अक्षम है।
POS is running with limited offline prerequisites.,पीओएस सीमित ऑफ़लाइन शर्तों के साथ चल रहा है।
POS Profile,पीओएस प्रोफ़ाइल
Position the QR code or barcode within the scanning area,क्यूआर कोड या बारकोड को स्कैनिंग क्षेत्र के भीतर रखें
Posting,पोस्टिंग
Posting and Price List,पोस्टिंग और मूल्य सूची
Posting Date,पोस्टिंग तिथि
Preparing background sync,बैकग्राउंड सिंक तैयार किया जा रहा है
"Press OK to continue offline with a warning, or Cancel to retry.","चेतावनी के साथ ऑफ़लाइन जारी रखने के लिए ओके दबाएँ, या पुनः प्रयास करने के लिए रद्द करें दबाएँ।"
Previous unit of measure,माप की पिछली इकाई
Price List,मूल्य सूची
Price List Rate,मूल्य सूची दर
Price list rate updated locally only,मूल्य सूची दर केवल स्थानीय स्तर पर अपडेट की गई
Pricing & Discounts,मूल्य निर्धारण और छूट
Pricing Rule,मूल्य निर्धारण नियम
Print,प्रिंट करें
Print Draft,ड्राफ्ट प्रिंट करें
Print Format (Invoice),प्रिंट प्रारूप (चालान)
Print Format (Order),प्रिंट प्रारूप (आदेश)
Print invoice,चालान प्रिंट करें
Print Purchase Invoice instead of PO,पीओ के स्थान पर खरीद चालान प्रिंट करें
Printer,मुद्रक
Processed returns impacting the shift totals,संसाधित रिटर्न शिफ्ट योग को प्रभावित करते हैं
Processing Payment,भुगतान संसाधित किया जा रहा है
Processing payment entries for Invoice {0},चालान {0} के लिए भुगतान प्रविष्टियाँ संसाधित की जा रही हैं
Profile,प्रोफाइल
Profiles,प्रोफाइल
Profit,मुनाफ़ा
Profit: Invoice Item Estimate,लाभ: चालान मद अनुमान
Profit: Stock Ledger (COGS),लाभ: स्टॉक लेजर (सीओजीएस)
Profitability Report,लाभप्रदता रिपोर्ट
Prorated return discount,आनुपातिक वापसी छूट
Purchase Amount,खरीद राशि
Purchase Invoices,खरीद चालान
Purchase Order created,क्रय आदेश बनाया गया
Qty,मात्रा
Qualified,योग्य
Quantity,मात्रा
Quantity exceeds available stock,मात्रा उपलब्ध स्टॉक से अधिक है
Quick Actions,त्वरित कार्रवाई
Quotation {0} is Submitted,कोटेशन {0} सबमिट कर दिया गया है
Quotation submitted,कोटेशन प्रस्तुत किया गया
QZ Tray connected.,QZ ट्रे जुड़ा हुआ है।
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ट्रे मैन्युअल रूप से डिस्कनेक्ट हो गई है। इसे फिर से सक्षम करने के लिए कनेक्ट दबाएँ।
QZ Tray is not connected.,QZ ट्रे कनेक्ट नहीं है.
QZ Tray Setup,QZ ट्रे सेटअप
Rate,दर
Rate adjusted to maximum allowed discount,दर को अधिकतम अनुमत छूट के अनुसार समायोजित किया गया
Ready,तैयार
Ready to resume,फिर से शुरू करने के लिए तैयार
Ready!,तैयार!
Real-time POS insights for retail operations.,खुदरा परिचालन के लिए वास्तविक समय पीओएस अंतर्दृष्टि।
Rebuild Offline Data,ऑफ़लाइन डेटा का पुनर्निर्माण करें
Receive,प्राप्त करें
Receive now,अभी प्राप्त करें
Received,प्राप्त हुआ
Received:,प्राप्त:
Recent Movement Entries,हालिया आंदोलन प्रविष्टियाँ
Recent updates about your invoices,आपके चालान के बारे में नवीनतम अपडेट
Recently Active Customers,हाल ही में सक्रिय ग्राहक
Rechecking connection,कनेक्शन पुनः जाँच रहा है
Reconcile payment methods and close shift,भुगतान विधियों का मिलान करें और शिफ्ट बंद करें
Reconciling Payments,भुगतानों का मिलान करना
