POS Awesome,POS Mirinda
Item-wise Profitability,Item-saĝa Profito
Journal Entry,Ĵurnalo Eniro
json,json
Just now,Ĝuste nun
Keep offline prerequisites healthy and recover stale data safely.,Konservu eksterretajn antaŭkondiĉojn sanajn kaj sekure reakiru malnoviĝintajn datumojn.
Labels,Etikedoj
"Language, theme, terminal tools, and session controls.","Lingvo, temo, finaj iloj kaj sesiaj kontroloj."
Last,Laste
Last 14 Days (Paid vs Pending),Lastaj 14 Tagoj (Pagitaj vs Pritraktataj)
Last 14 Days Activity,Lasta 14 Taga Agado
Last 14 Days Gross Profit,Lastaj 14 Tagoj Malneta Profito
Last 14 Days Purchases,Lastaj 14 Tagoj Aĉetoj
Last 14 Days Tax/Charges,Lastaj 14 Tagoj Imposto/Kostoj
Last sync:,Lasta sinkronigo:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Lasta sinkronigo: {0} | bone: {1} | malsukcesis: {2} | preterpasis: {3}
Latest entries for current shift,Plej novaj enskriboj por nuna deĵoro
Lead Time,Plumbotempo
Limited,Limigita
lines,linioj
List,Listo
Live Snapshot,Viva Momentfoto
Load a POS profile and cashier first.,Ŝarĝu POS-profilon kaj kasiston unue.
Load More Invoices,Ŝarĝu Pli da Fakturoj
Load previously saved invoices,Ŝarĝu antaŭe konservitajn fakturojn
Load Sale,Ŝarĝo Vendo
Load Sales Invoice,Ŝarĝu Venda Fakturo
Loading app data...,Ŝarĝante aplikajn datumojn...
Loading customer database...,Ŝarĝante klientdatumbazon...
Loading customers...,Ŝarĝante klientojn...
Loading database stats...,Ŝarĝante datumbazan statistikon...
Loading details...,Ŝarĝante detalojn...
Loading invoice history...,Ŝarĝante fakturhistorion...
Loading items...,Ŝargante aĵojn...
Loading product catalog...,Ŝarĝante produktkatalogon...
Loading return invoices...,Ŝarĝante revenfakturojn...
Loading server CPU/memory usage...,Ŝargante uzon de CPU/memoro de la servilo...
Loading suppliers...,Ŝarĝante provizantojn...
Loading unpaid invoices...,Ŝargante nepagitajn fakturojn...
Loading view...,Ŝarĝante vido...
Loading...,Ŝargante...
Local storage is unavailable. Switching to online-only mode.,Loka stokado ne disponeblas. Ŝanĝante al interreta reĝimo.
localStorage,loka Stokado
Location Performance,Loka Rendimento
Locations,Lokoj
Lock Screen,Ŝlosu Ekranon
Lookup Workflow,Serĉu Laborfluon
Loss,Perdo
Low,Malalta
Low Stock,Malalta Stoko
Low Stock Alerts,Atentigoj de Malalta Akcio
Low Stock Items,Malalta Provizo-Eroj
Low Stock Threshold,Malalta Stock Sojlo
Low Stock Total,Malalta Stock Totalo
Lowest Margin,Plej Malalta Rando
Low-frequency maintenance and system details.,Malaltfrekvenca prizorgado kaj sistemaj detaloj.
Loyalty Redeemed,Lojaleco Elaĉetita
Loyalty Redemption,Lojaleco Elaĉeto
Make New Payment,Faru Novan Pagon
Manage all,Administri ĉion
Manage and synchronize your offline transactions,Administri kaj sinkronigi viajn eksterretajn transakciojn
Manage Cashier PIN,Administri Kasisto PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Administru eksterretajn ilojn, finajn kontrolojn kaj prizorgadon de unu laborspaco."
manual,manlibro
"Manual codes, barcode scans, and QR scans work in the same field","Manaj kodoj, strekkodaj skanadoj kaj QR-skanadoj funkcias en la sama kampo"
Manual offline mode is enabled,Manlibro eksterreta reĝimo estas ebligita
Margin,Marĝeno
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maksimuma disponebla kvanto estas {0}. Kvanto ĝustigita por kongrui kun stoko.
Maximum discount amount for this offer item is {0}.,Maksimuma rabatkvanto por ĉi tiu oferto estas {0}.
Maximum discount percentage for this offer item is {0}%.,Maksimuma rabata procento por ĉi tiu oferto estas {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimuma oferta kvanto estas {0}. Kvanto alĝustigita al permesita limo.
Medium,Meza
Method-wise Collections,Metodo-saĝaj Kolektoj
Minimum allowed rate for this offer item is {0}.,Minimuma permesita tarifo por ĉi tiu oferto estas {0}.
Minimum Qty,Minimuma Kvanto
Mobile No,Poŝtelefono Nr
Mode,Reĝimo
Mode of Payment,Reĝimo de Pago
Month,Monato
Month ?,Monato ?
Monthly Profit,Monata Profito
Monthly Sales,Monataj Vendoj
Monthly Sales Summary,Monata Venda Resumo
Month-wise,Monate
Most Active Cashiers,Plej Aktivaj Kasistoj
Movement Type,Movada Tipo
Movements,Movadoj
Multi Currency,Multa Monero
N/A,N/A
Name,Nomo
Negative Stock,Negativa Stoko
Negative Stock Items,Negativaj Provizaĵoj
Negative values not allowed,Negativaj valoroj ne permesitaj
Net,Reto
Net Qty,Neta Kvanto
Net Sales,Retaj Vendoj
Net Value,Neta Valoro
Never,Neniam
New changes are ready to load,Novaj ŝanĝoj estas pretaj por ŝargi
New Item,Nova Ero
New Offer Available,Nova Oferto Disponebla
New PIN,Nova PIN
New rate,Nova tarifo
Next unit of measure,Sekva mezurunuo
No attribute data found.,Neniu atributdatumo trovita.
No Barcode,Neniu Strekokodo
No barcode found for UOM '{0}',Neniu strekkodo trovita por UOM '{0}'
No branch/location data found.,Neniuj branĉoj/lokaj datumoj trovitaj.
No brand data found.,Neniuj markdatenoj trovitaj.
No cached gift card balance is available offline.,Neniu kaŝmemorigita saldo de donackartoj disponeblas eksterrete.
No camera found on this device. Please ensure your device has a working camera.,"Neniu fotilo trovita sur ĉi tiu aparato. Bonvolu certigi, ke via aparato havas funkciantan fotilon."
No capability warnings recorded yet.,Neniuj kapablecaj avertoj ankoraŭ registritaj.
No cash expected for this shift.,Neniu mono atendita por ĉi tiu deĵoro.
No cash mode configured,Neniu kontanta reĝimo agordita
No cash movement type is allowed for this POS Profile.,Neniu tipo de kontantmovado estas permesita por ĉi tiu POS-Profilo.
No cashier PIN is set yet. Create one now.,Neniu kasisto PIN estas ankoraŭ fiksita. Kreu unu nun.
No cashier profiles are available for this POS profile yet.,Neniuj kasistprofiloj ankoraŭ haveblas por ĉi tiu POS-profilo.
No cashier-wise discount/void/return activity.,Neniu kasisto-saĝa rabato/malplenigo/revena agado.
No category data found.,Neniuj kategoriodatenoj trovitaj.
No category profitability data found.,Neniuj kategorio-profitecaj datumoj trovitaj.
No change returned recorded for this shift.,Neniu ŝanĝo revenis registrita por ĉi tiu deĵoro.
No change-allocation invoices match the current filters.,Neniuj ŝanĝ-asignaj fakturoj kongruas kun la nunaj filtriloj.
No charge head breakdown found.,Neniu ŝarĝokapa paneo trovita.
No Company Selected,Neniu Kompanio Elektita
No customer sales data found.,Neniuj klientvendaj datumoj trovitaj.
No day-wise discount/void/return trend.,Neniu tago-saĝa rabato/malpleno/revena tendenco.
No day-wise payment data found.,Neniuj tagaj pagdatumoj trovitaj.
No day-wise profitability trend found.,Neniu tago-saĝa profita tendenco trovita.
No day-wise purchase data found.,Neniuj tagaj aĉetaj datumoj trovitaj.
No day-wise sales trend found.,Neniu tago-saĝa venda tendenco trovita.
No day-wise tax/charges trend found.,Neniu tago-saĝa imposto/kostoj tendenco trovita.
No dead stock items.,Neniuj mortaj stokaĵoj.
No due date,Neniu ligdato
No exact repair match found for this invoice,Neniu preciza ripara kongruo trovita por ĉi tiu fakturo
No hourly sales trend found for today.,Neniu hora venda tendenco trovita por hodiaŭ.
No invoice activity found.,Neniu faktura agado trovita.
No invoices found,Neniuj fakturoj trovitaj
No invoices found. Try different search criteria.,Neniuj fakturoj trovitaj. Provu malsamajn serĉkriteriojn.
No invoices recorded for this shift.,Neniuj fakturoj registritaj por ĉi tiu deĵoro.
No item profitability data found.,Neniuj eroj pri profitodatenoj trovitaj.
No item sales data found for this period.,Neniuj eroj-vendaj datumoj trovitaj por ĉi tiu periodo.
No items found,Neniuj eroj trovitaj
No items in cart,Neniuj aĵoj en ĉaro
No items with barcodes to print,Neniuj eroj kun strekkodoj por presi
No location-wise top item data found.,Neniuj datumoj de supraj objektoj laŭ loko trovitaj.
No low stock alerts right now.,Neniuj avertoj pri malalta stoko nun.
No low stock items.,Neniuj malaltaj stokaĵoj.
No matching items in cart,Neniuj kongruaj eroj en ĉaro
No month-wise sales trend found.,Neniu monata venda tendenco trovita.
No negative stock items.,Neniuj negativaj stokaĵoj.
No notifications yet,Ankoraŭ neniuj sciigoj
No offline cash movement synced.,Neniu eksterreta kontanta movado sinkronigita.
No offline invoices pending synchronization,Neniuj eksterrete fakturoj atendante sinkronigon
No offline sync issues recorded yet.,Ankoraŭ neniuj problemoj pri senkonekta sinkronigo registris.
No out-of-stock items.,Neniuj elĉerpitaj aĵoj.
No outstanding credit invoices for this shift.,Neniuj elstaraj kreditfakturoj por ĉi tiu deĵoro.
No payment collection data found.,Neniuj pagkolektaj datumoj trovitaj.
No payment rows available on this invoice.,Neniuj pagvicoj haveblaj sur ĉi tiu fakturo.
No payments registered for this shift.,Neniuj pagoj registritaj por ĉi tiu deĵoro.
No pending balances in this period.,Neniuj pritraktataj saldoj en ĉi tiu periodo.
No pending offline invoices,Neniuj pritraktataj eksterrete fakturoj
No Print Formats Found,Neniuj Presaj Formatoj Trovitaj
No profiles found for selected scope. Falling back to current profile failed.,Neniuj profiloj trovitaj por elektita amplekso. Refalo al nuna profilo malsukcesis.
No recent customer activity found.,Neniu lastatempa klienta agado trovita.
No recent stock entries found.,Neniuj lastatempaj akciaj enskriboj trovitaj.
No records found,Neniuj registroj trovitaj
No reorder suggestions right now.,Neniuj reordigaj sugestoj nun.
No repeat customers in this period.,Neniuj ripetaj klientoj en ĉi tiu periodo.
No response from server,Neniu respondo de servilo
No return invoices found,Neniuj revenfakturoj trovitaj
No return item trend found.,Neniu tendenco de reveno trovita.
No returnable items found for this invoice,Neniuj resendeblaj eroj trovitaj por ĉi tiu fakturo
No returns were processed in this shift.,Neniuj revenoj estis prilaboritaj en ĉi tiu deĵoro.
No risk activity found.,Neniu riska agado trovita.
No sales activity found for this period.,Neniu venda aktiveco trovita por ĉi tiu periodo.
No slow moving items.,Neniuj malrapide moviĝantaj eroj.
No staff sales activity found.,Neniu dungita venda agado trovita.
No stock movement for this period.,Neniu akcia movado por ĉi tiu periodo.
No submitted cash movements in this shift.,Neniuj senditaj monmovoj en ĉi tiu deĵoro.
No supplier purchases found in this month.,Neniuj provizantaj aĉetoj trovitaj en ĉi tiu monato.
No suppliers found for this period.,Neniuj provizantoj trovitaj por ĉi tiu periodo.
No sync trigger has run yet in this session.,Neniu sinkroniga ellasilo ankoraŭ funkciis en ĉi tiu sesio.
No tax head breakdown found.,Neniu impostkapa rompo trovita.
No top items found for this location.,Neniuj ĉefaj eroj trovitaj por ĉi tiu loko.
No unpaid invoices,Neniuj nepagitaj fakturoj
No variant data found.,Neniuj variantaj datumoj trovitaj.
No week-wise sales trend found.,Neniu semajna venda tendenco trovita.
No.,Ne.
Nobile Number,Nobela Numero
Not available,Ne disponebla
Not checked,Ne kontrolita
Not selected,Ne elektita
Not Set,Ne Agordita
Notifications,Sciigoj
Offer,Proponu
Offer Applied,Oferto Aplikata
Offer criteria exceeded,Ofertokriterioj superitaj
Offer Item,Oferto Ero
Offer item unavailable,Oferto objekto nedisponebla
Offer Removed,Oferto Forigita
Offer UOM cannot be changed,Oferto UOM ne povas esti ŝanĝita
Offer?,Proponon?
Offers,Ofertoj
Offline,Senrete
Offline & Sync,Senkonekta kaj Sinkronigi
Offline Capabilities,Eksterretaj Kapabloj
Offline data status refreshed,Senreta datuma stato refreŝigita
Offline diagnostics,Senkonekta diagnozo
Offline Invoices,Senkonektaj Fakturoj
Offline invoices status,Senreta fakturo stato
Offline invoices synced,Senretaj fakturoj sinkronigitaj
Offline Queue: {0},Senkonekta Vico: {0}
Offline rebuild guidance,Senkonekta rekonstrua gvido
Offline restore is unavailable for this session.,Senreta restarigo ne disponeblas por ĉi tiu sesio.
Offline selling is available with degraded capabilities.,Senreta vendado haveblas kun degraditaj kapabloj.
Offline snapshot does not match the current POS state.,Senreta momentfoto ne kongruas kun la nuna POS-stato.
Offline Status,Senreta Statuso
"Offline, terminal, and system controls","Senretaj, terminalaj kaj sistemaj kontroloj"
OK,Bone
Online,Rete
Open actions menu,Malfermu menuon de agoj
Open balance to collect,Malfermu bilancon por kolekti
Open Customer Display,Malfermu Klienta Ekrano
Open drawer,Malfermu tirkeston
Open invoices,Malfermu fakturojn
Open Payments?,Malfermaj Pagoj?
Open POS home,Malfermu POS hejme
Open this screen from POS Menu -> Open Customer Display.,Malfermu ĉi tiun ekranon de POS Menuo -> Malfermu Klienta Ekrano.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV-bildtraktado ebligita - Plibonigita strekkoda detekto
OpenCV image processing unavailable on this device,OpenCV-bildtraktado ne disponebla en ĉi tiu aparato
OpenCV Off,OpenCV Malŝaltita
OpenCV On,OpenCV ŝaltita
OpenCV processing disabled,OpenCV-pretigo malŝaltita
Opening Amount,Malferma Kvanto
Opening Cash,Malferma Kontantmono
options,opcioj
Order,Ordonu
Original,Originala
Other,Aliaj
Out,Ekstere
Out of Stock,Elĉerpita
Out of Stock Items,Elĉerpita Eroj
Outstanding,Elstara
Outstanding Credit by Currency,Elstara Kredito per Monero
Overdue,Malfrua
Overpayment Change,Tropago Ŝanĝo
Overpayment change deducted: {0},Tropago subtrahita: {0}
Packing List,Pakita Listo
Page Format,Paĝa Formato
Page unavailable offline,Paĝo nedisponebla eksterrete
Paid,Pagita
Paid (orig):,Pagita (orig):
Paid Amount,Pagita Kvanto
Paid change cannot be greater than total change!,Pagita ŝanĝo ne povas esti pli granda ol totala ŝanĝo!
Paid:,Pagita:
Parent Item,Gepatra Ero
Partial,Parta
Partly Paid,Parte Pagita
Party Account,Partia Konto
Party Type,Partia Tipo
Pause terminal until next cashier,Paŭzu terminalon ĝis venonta kasisto
PAY,PAGI
Payment,Pago
Payment Account,Paga Konto
Payment entries processed for Invoice {0},Pagaj enskriboj procesitaj por Fakturo {0}
Payment Entry Type,Paga Eniro Tipo
Payment History,Paghistorio
Payment ID,Paga ID
Payment Method Report,Raporto pri Paga Metodo
Payment Methods,Pag-Metodoj
Payment of {0} received successfully.,Pago de {0} sukcese ricevita.
Payment Progress,Paga Progreso
Payment Reconciliation,Paga Repaciĝo
Payment request status could not be retrieved. Please try again,La stato de pago-peto ne povis esti prenita. Bonvolu provi denove
Payment Request took too long to respond. Please try requesting for payment again,Paga Peto daŭris tro longe por respondi. Bonvolu provi peti pagon denove
Payment saved offline,Pago konservita eksterrete
Payment State,Paga Ŝtato
Payment Status,Paga Statuso
Payment submitted but print function could not be executed. Payment name not found.,Pago sendita sed presa funkcio ne eblis plenumi. Pagnomo ne trovita.
Payment submitted.,Pago sendita.
Payment Summary,Paga Resumo
Payments,Pagoj
Payments are not open. Do you want to open payments and submit?,Pagoj ne estas malfermitaj. Ĉu vi volas malfermi pagojn kaj sendi?
Payments by Mode of Payment,Pagoj laŭ Reĝimo de Pago
PDF,PDF
Peak Hour,Pinta Horo
Peak Memory:,Pinta Memoro:
Peak Server:,Pinta Servilo:
Peak:,Pinto:
Pending,Pritraktata
Pending Amount,Pritraktata Kvanto
Pending count updated from {0} to {1},Atenda kalkulo ĝisdatigita de {0} al {1}
Pending Exposure,Pritraktata Ekspozicio
Pending Invoices,Pritraktataj Fakturoj
Pending Ratio,Pritraktata Proporcio
Pending Sales,Pritraktataj Vendoj
Pending sales: {0} | Cache usage: {1}%,Atendantaj vendoj: {0} | Kaŝmemoruzo: {1}%
Pending Sync,Pritraktata Sinkronigo
Pending: {0},Pritraktata: {0}
Pending: {0} | Synced: {1} | Draft: {2},Pritraktata: {0} | Sinkronigita: {1} | Malneto: {2}
Per Page,Po Paĝo
Personal,Personaj
Personal preferences adjust the current cashier experience without changing the active POS route.,Personaj preferoj ĝustigas la nunan kasistan sperton sen ŝanĝi la aktivan POS-itineron.
PIN confirmation does not match.,PIN-konfirmo ne kongruas.
PIN must be 4 to 8 digits.,PIN devas esti 4 ĝis 8 ciferoj.
Please add at least one item.,Bonvolu aldoni almenaŭ unu eron.
Please allow camera access to scan codes,Bonvolu permesi fotilan aliron por skani kodojn
Please enter payment amount,Bonvolu enigi pagsumon
Please fill all required fields,Bonvolu plenigi ĉiujn postulatajn kampojn
Please make a payment or select a payment,Bonvolu fari pagon aŭ elekti pagon
Please request phone payment or use another payment method,Bonvolu peti telefonan pagon aŭ uzi alian pagmetodon
Please select a customer first,Bonvolu unue elekti klienton
Please select a party,Bonvolu elekti partion
Please select a party before reconciling.,Bonvolu elekti partion antaŭ akordigi.
Please select a valid movement type.,Bonvolu elekti validan movspecon.
Please select an invoice,Bonvolu elekti fakturon
Please select company before reconciling.,Bonvolu elekti firmaon antaŭ akordigi.
Please set the customer's mobile number,Bonvolu agordi la poŝtelefonan numeron de la kliento
Please try again or enter the item manually.,Bonvolu provi denove aŭ enigi la eron permane.
Please verify the barcode or check the item's availability.,Bonvolu kontroli la strekkodon aŭ kontroli la haveblecon de la objekto.
Points,Punktoj
Popup blocked. Please allow popups.,Ŝprucfenestro blokita. Bonvolu permesi ŝprucfenestrojn.
POS,POS
POS controls and maintenance,POS-kontroloj kaj bontenado
POS Expense is disabled for this POS Profile.,POS-Elspezo estas malŝaltita por ĉi tiu POS-Profilo.
POS is running with limited offline prerequisites.,POS funkcias kun limigitaj eksterretaj antaŭkondiĉoj.
POS Profile,POS Profilo
Position the QR code or barcode within the scanning area,Metu la QR-kodon aŭ strekkodon ene de la skana areo
Posting,Afiŝado
Posting and Price List,Afiŝado kaj Prezo Listo
Posting Date,Afiŝdato
Preparing background sync,Preparante fonan sinkronigon
"Press OK to continue offline with a warning, or Cancel to retry.","Premu OK por daŭrigi eksterrete kun averto, aŭ Nuligi por reprovi."
Previous unit of measure,Antaŭa mezurunuo
Price List,Prezo Listo
Price List Rate,Prezo Listo
Price list rate updated locally only,Prezlisto tarifo ĝisdatigita nur loke
Pricing & Discounts,Prezoj kaj Rabatoj
Pricing Rule,Regulo pri Prezoj
Print,Presi
Print Draft,Presi Malneton
Print Format (Invoice),Presa Formato (Fakturo)
Print Format (Order),Presa Formato (Mendo)
Print invoice,Presi fakturon
Print Purchase Invoice instead of PO,Presi Aĉetfakturon anstataŭ PO
Printer,Presilo
Processed returns impacting the shift totals,Prilaboritaj rendimentoj influantaj la deĵortotalojn
Processing Payment,Pretigo de Pago
Processing payment entries for Invoice {0},Prilaboranta pagonskribojn por Fakturo {0}
Profile,Profilo
Profiles,Profiloj
Profit,Profito
Profit: Invoice Item Estimate,Profito: Fakturo Item Taksado
Profit: Stock Ledger (COGS),Profito: Stock Ledger (COGS)
Profitability Report,Raporto pri Profiteco
Prorated return discount,Prorata rabato de reveno
Purchase Amount,Aĉeta Kvanto
Purchase Invoices,Aĉeto-Fakturoj
Purchase Order created,Aĉeto Mendo kreita
Qty,Kvanto
Qualified,Kvalifikita
Quantity,Kvanto
Quantity exceeds available stock,Kvanto superas disponeblan stokon
Quick Actions,Rapidaj Agoj
Quotation {0} is Submitted,Citaĵo {0} estas Sendita
Quotation submitted,Citaĵo sendita
QZ Tray connected.,QZ-Pleto konektita.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ-Pleto estas mane malkonektita. Premu Konekti por ebligi ĝin denove.
QZ Tray is not connected.,QZ-Pleto ne estas konektita.
QZ Tray Setup,Agordo de QZ-Pleto
Rate,Takso
Rate adjusted to maximum allowed discount,Tarifo ĝustigita al maksimuma permesita rabato
Ready,Preta
Ready to resume,Preta por rekomenci
Ready!,Preta!
Real-time POS insights for retail operations.,Realtempaj POS-komprenoj por podetalaj operacioj.
Rebuild Offline Data,Rekonstruu Senkonektajn Datumojn
Receive,Ricevu
Receive now,Ricevu nun
Received,Ricevita
Received:,Ricevite:
Recent Movement Entries,Lastatempaj Movadaj Enskriboj
Recent updates about your invoices,Lastatempaj ĝisdatigoj pri viaj fakturoj
Recently Active Customers,Lastatempe Aktivaj Klientoj
Rechecking connection,Rekontrolante konekton
Reconcile payment methods and close shift,Akordigu pagmetodojn kaj fermu deĵoron
Reconciling Payments,Repacigante Pagojn
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Rekonektu kaj malfermu ĉi tiun paĝon unufoje dum enrete, tiam eksterretaj refreŝigoj povos restarigi ĝin."
Reconnect online to refresh cached offline data from the server.,Rekonekti interrete por refreŝigi kaŝmemoritajn eksterretajn datumojn de la servilo.
Recreate local offline prerequisites from scratch,Rekreu lokajn eksterretajn antaŭkondiĉojn de nulo
Recv:,Recv:
Redeem,Elaĉeti
Redeem / Scan,Elaĉeti / Skani
Redeem Amount,Elaĉetu Sumon
Redeem Mode,Elaĉeti Reĝimon
Redeemed Amount,Elaĉetita Kvanto
Redeemed credit cannot be greater than its total.,Elaĉetita kredito ne povas esti pli granda ol ĝia totalo.
Redemption and Totals,Elaĉeto kaj Totaloj
Reference,Referenco
Refresh,Refreŝigi
Refresh Exchange Rate,Refreŝigi Interŝanĝan Kurzon
Refresh Offline Data,Refreŝigu Senkonektajn Datumojn
Refresh Printers,Refreŝigi Presilojn
Refund,Repago
Release Notes,Eldonaj Notoj
Reload,Reŝargi
Reload customers,Reŝargi klientojn
Reload Items,Reŝargi Erojn
Reload Now,Reŝargi Nun
Reload to apply the latest changes. Your current session will be refreshed.,Reŝargi por apliki la lastajn ŝanĝojn. Via nuna sesio estos refreŝigita.
Reload Workflow,Reŝargi Laborfluon
Remarks,Rimarkoj
Remarks are required.,Rimarkoj estas postulataj.
Remove,Forigi
Remove barcode item,Forigi strekkodan objekton
Remove cached data and reload the POS app,Forigu konservitajn datumojn kaj reŝargu la POS-apon
Remove item,Forigi objekton
Remove Offer,Forigi Oferton
Reorder / Purchase Suggestions,Reordigi / Aĉetaj Sugestoj
Repair Candidate,Ripara Kandidato
Repair Change Allocation,Ripara Ŝanĝo-Atribuo
Repair requires an online connection,Riparo postulas interretan konekton
Repaired,Riparita
Repairing change allocation,Riparante ŝanĝan atribuon
Repeat Customers,Ripetu Klientojn
Repeat Rate,Ripeta indico
Request,Peto
Request ID: {0},Peto ID: {0}
Request Payment,Petu Pagon
Requested route: {0},Petita itinero: {0}
Required columns cannot be hidden,Bezonataj kolumnoj ne povas esti kaŝitaj
Reset,Restarigi
Reset item name,Restarigi objektonomon
Reset to Default,Restarigi al Defaŭlta
Resource Health,Rimedo Sano
Restricted,Restriktita
Restricted operational controls for supervisors only.,Restriktitaj funkciaj kontroloj nur por kontrolistoj.
Retry,Reprovi
Retry route,Reprovi vojon
Return,Revenu
Return Amount,Revena Kvanto
Return Count,Revenkalkulo
Return items must have negative quantities,Revenaj eroj devas havi negativajn kvantojn
Return total must be negative,Revena totalo devas esti negativa
Return Valid Until,Reveno Valida Ĝis
Return window passed,Revenfenestro pasis
Return without Invoice,Reveno sen Fakturo
Returns,Revenoj
Returns / Voids / Discounts,Revenoj / Malplenigoj / Rabatoj
Returns by Currency,Revenoj per Monero
Revenue,Enspezo
Review shift totals before submitting the closing entry,Revizu ŝanĝajn totalojn antaŭ sendi la ferman enskribon
Round Off,Rondigi
Rows,Vicoj
Rows:,Vicoj:
Rule,Regulo
Sale,Vendo
Sales,Vendoj
Sales Order {0} is Submitted,Vendo Mendo {0} estas Sendita
Sales Person and Print,Vendisto kaj Presaĵo
Sales Person not found,Vendisto ne trovita
Sales processed,Vendoj procesitaj
Sales Return,Venda Reveno
Sales Trend Report,Raporto pri Venda Tendenco
Save,Konservu
Save & Clear,Konservi & Malplenigi
Save as POS Profile Default,Konservu kiel POS Profilo Defaŭlto
Save Settings,Konservu Agordojn
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Konservu la elektitan presilon kiel la defaŭltan POS-Profilo por ke ĝi montru aŭtomate en ĉi tiu agordo.
Saved as draft because: {0},Konservite kiel skizo ĉar: {0}
Saving...,Konservante...
Scale barcode detected. Quantity here is the number of labels to print.,Skala strekkodo detektita. Kvanto ĉi tie estas la nombro da etikedoj por presi.
Scale barcode settings are not configured. Using item barcode only.,Skalaj strekkodaj agordoj ne estas agorditaj. Uzante la strekkodon nur.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Skalŝablona strekkodo mankas por ĉi tiu ero/UOM. Uzante la strekkodon nur.
Scan an existing card and top it up without leaving the payment flow.,Skanu ekzistantan karton kaj plenigu ĝin sen forlasi la pagfluon.
Scan Error,Scan Eraro
Scan or enter a gift card code to check balance or redeem.,Skanu aŭ enigu donackartan kodon por kontroli saldon aŭ elaĉeti.
Scan or paste the card code below.,Skanu aŭ algluu la karton-kodon sube.
Scan QR Code/Barcode,Skanu QR-kodon/Strekkodon
Scan with camera,Skanu per fotilo
Scan-First Flow,Skanado-Unua Fluo
Scanned Code:,Skanita Kodo:
Scanning for: {0},Skanante por: {0}
Scanning items,Skanante erojn
Scan-Ready,Skanado-Preta
Scope,Amplekso
Scope: All Profiles,Amplekso: Ĉiuj Profiloj
Scope: Current Profile,Amplekso: Nuna Profilo
Scope: Specific Profile,Amplekso: Specifa Profilo
Search,Serĉu
Search Account,Serĉu Konton
Search an invoice and continue the return flow without extra steps.,Serĉu fakturon kaj daŭrigu la revenan fluon sen kromaj paŝoj.
Search customer,Serĉu klienton
Search invoices or customers,Serĉu fakturojn aŭ klientojn
Search item,Serĉu objekton
Search item / code,Serĉu objekton/kodon
Search items or barcode,Serĉu erojn aŭ strekkodon
Search Mpesa Payments,Serĉu Mpesa Pagojn
Search return invoices or customers,Serĉu revenfakturojn aŭ klientojn
Search supplier,Serĉu provizanton
Search unpaid invoices or customers,Serĉu nepagitajn fakturojn aŭ klientojn
Secure context (HTTPS or localhost) is required for camera access.,Sekura kunteksto (HTTPS aŭ loka gastiganto) estas postulata por fotila aliro.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Sekura kunteksto (HTTPS) necesa por fotila aliro. Bonvolu uzi HTTPS por aliri la fotilon.
Select,Elektu
Select a cashier first.,Elektu kasiston unue.
Select a customer,Elektu klienton
Select a customer to use coupon,Elektu klienton por uzi kuponon
Select a printer to use QZ silent printing.,Elektu presilon por uzi QZ silentan presadon.
Select Batch,Elektu Batch
Select Columns to Display,Elektu Kolumnojn por Montri
Select items to sell,Elektu erojn por vendi
Select Payment,Elektu Pagon
Select Payment Account,Elektu Pagan Konton
Select printer,Elektu presilon
Select Return Invoice,Elektu Revenan Fakturon
Select S.O,Elektu S.O
Select Sales Orders,Elektu Vendajn Mendojn
Select the cashier who is taking over this terminal.,"Elektu la kasiston, kiu transprenas ĉi tiun terminalon."
Selected,Elektita
Selected movement type is not allowed by POS Profile.,Elektita movspeco ne estas permesita de POS-Profilo.
Selected Payments,Elektitaj Pagoj
Sensitive actions kept away from quick taps.,Sentemaj agoj konservitaj for de rapidaj frapetoj.
Serial,Seria
Serial Numbers,Seriaj Nombroj
Server CPU Usage:,Uzo de CPU de Servilo:
Server Health,Servila Sano
Server Memory Usage:,Servila Memoruzo:
Server Metrics,Servila Metriko
Server Uptime:,Funkcia Tempo de Servilo:
Service Charges,Servaj Pagoj
Session,Sesio
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Agordu ĉiun kasiston PIN en la Uzanto-formularo kaj konservu terminalajn membrojn asignitajn en POS-Profilo-Uzanto.
Settings,Agordoj
Settings in this section update the POS workspace without changing the current route.,Agordoj en ĉi tiu sekcio ĝisdatigas la POS-laborspacon sen ŝanĝi la nunan itineron.
Setup complete!,Agordo finita!
Share,Kunhavigi
Shared terminal,Komuna terminalo
Shift Closed Snapshot,Shift Fermita Momentfoto
Shift Overview,Shift Superrigardo
Show,Montru
Show cart on customer-facing screen,Montru ĉaron sur ekrano kliento
Show last invoice rate,Montru lastan fakturan tarifon
Show rate info,Montri tarifajn informojn
Show Repair Candidates,Montru Riparajn Kandidatojn
Show search tools,Montru serĉajn ilojn
