POS Awesome,POS بہت اچھے
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.",'پروڈکٹ بنڈل' آئٹمز کے لیے 'پیکنگ لسٹ' ٹیبل سے گودام، سیریل نمبر اور بیچ نمبر پر غور کیا جائے گا۔ اگر کسی بھی 'پروڈکٹ بنڈل' آئٹم کے لیے تمام پیکنگ آئٹمز کے لیے گودام اور بیچ نمبر ایک جیسے ہیں، تو وہ قدریں مرکزی آئٹم ٹیبل میں درج کی جا سکتی ہیں۔ اقدار کو 'پیکنگ لسٹ' ٹیبل میں کاپی کیا جائے گا۔
Free,مفت
Free Qty,مفت مقدار
Frequency,تعدد
from,سے
From Date,تاریخ سے
Fulfillment Details,تکمیل کی تفصیلات
Full Name,پورا نام
Gain,حاصل کرنا
Generate a fresh prepaid card and start it with an opening balance.,ایک تازہ پری پیڈ کارڈ بنائیں اور اسے اوپننگ بیلنس کے ساتھ شروع کریں۔
Generate and install the certificate to allow fully silent printing without trust prompts.,ٹرسٹ پرامپٹس کے بغیر مکمل خاموش پرنٹنگ کی اجازت دینے کے لیے سرٹیفکیٹ بنائیں اور انسٹال کریں۔
Generate Certificate,سرٹیفکیٹ تیار کریں۔
Generated scale barcode: {0},تیار کردہ اسکیل بار کوڈ: {0}
Get Payments,ادائیگیاں حاصل کریں۔
Gift Card,گفٹ کارڈ
Gift card amount must be greater than zero.,گفٹ کارڈ کی رقم صفر سے زیادہ ہونی چاہیے۔
Gift Card Code,گفٹ کارڈ کوڈ
Gift card code is required for redemption,گفٹ کارڈ کوڈ چھڑانے کے لیے درکار ہے۔
Gift card code is required.,گفٹ کارڈ کوڈ درکار ہے۔
Gift card issued successfully.,گفٹ کارڈ کامیابی کے ساتھ جاری کیا گیا۔
Gift card loaded successfully.,گفٹ کارڈ کامیابی سے لوڈ ہو گیا۔
Gift Card Management,گفٹ کارڈ کا انتظام
Gift card payment,گفٹ کارڈ کی ادائیگی
Gift card redemption requires an online connection,گفٹ کارڈ کی تلافی کے لیے ایک آن لائن کنکشن درکار ہے۔
Gift card topped up successfully.,گفٹ کارڈ کامیابی کے ساتھ ٹاپ اپ ہو گیا۔
Gift Cards,گفٹ کارڈز
Go to Frappe Desk,فریپ ڈیسک پر جائیں۔
Grand Total,گرینڈ ٹوٹل
Gross Margin,مجموعی مارجن
Gross Profit,مجموعی منافع
Gross Sales,مجموعی فروخت
Group not found,گروپ نہیں ملا
"Grouped controls for terminal, UI, and session settings.",ٹرمینل، UI، اور سیشن کی ترتیبات کے لیے گروپ کردہ کنٹرولز۔
Grouped totals for each payment method and currency,ہر ادائیگی کے طریقے اور کرنسی کے لیے گروپ کردہ کل
Hide,چھپائیں
Hide Gift Card,گفٹ کارڈ چھپائیں۔
Hide Non Essential Fields,غیر ضروری فیلڈز چھپائیں۔
Hide quantity decimals,اعشاریہ مقدار چھپائیں۔
Hide search tools,تلاش کے اوزار چھپائیں۔
Hide zero rated items,صفر ریٹیڈ آئٹمز چھپائیں۔
High,اعلی
History,تاریخ
Hourly (Today),فی گھنٹہ (آج)
How this section works,یہ سیکشن کیسے کام کرتا ہے۔
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",اگر باسی ڈیٹا باقی ہے تو، ترتیبات > آف لائن اور مطابقت پذیری کھولیں اور آن لائن رہتے ہوئے دوبارہ آف لائن ڈیٹا کو دوبارہ بنائیں۔
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",اگر وارننگ برقرار رہتی ہے تو، ترتیبات > آف لائن اور مطابقت پذیری کھولیں، پھر ریفریش آف لائن ڈیٹا چلائیں یا آف لائن ڈیٹا کو دوبارہ بنائیں۔
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,سرٹیفکیٹ کو QZ ٹرے میں درآمد کریں اور QZ ٹرے کو ہر POS مشین پر دوبارہ شروع کریں۔
In,میں
In stock: {0},اسٹاک میں: {0}
Include Batch / Serial,بیچ / سیریل شامل کریں۔
Include Price,قیمت شامل کریں۔
Increase quantity,مقدار میں اضافہ کریں۔
IndexedDB,انڈیکسڈ ڈی بی
Initial Amount,ابتدائی رقم
Initialize your shift with opening balances,اوپننگ بیلنس کے ساتھ اپنی شفٹ شروع کریں۔
Initializing application...,درخواست شروع کی جا رہی ہے...
"Inspect cache, sync, and prerequisite status",کیشے، مطابقت پذیری، اور شرط کی حیثیت کا معائنہ کریں۔
Installed Applications,انسٹال کردہ ایپلی کیشنز
Insufficient stock:\n{0},ناکافی اسٹاک:\n{0}
Invalid rate,غلط شرح
Inventory Status Report,انوینٹری اسٹیٹس رپورٹ
Invoice,رسید
Invoice {0} is Submitted,رسید {0} جمع کر دی گئی ہے۔
Invoice {0} processed successfully,انوائس {0} پر کامیابی سے کارروائی ہوئی۔
Invoice {0} submission failed,انوائس {0} جمع کرانے میں ناکام
Invoice {0} was already submitted,انوائس {0} پہلے ہی جمع کر دی گئی تھی۔
Invoice Adjustments,انوائس ایڈجسٹمنٹس
Invoice Change,انوائس کی تبدیلی
Invoice Details,انوائس کی تفصیلات
Invoice is still in draft after background submission.,پس منظر جمع کرانے کے بعد بھی انوائس ڈرافٹ میں ہے۔
Invoice Items,انوائس آئٹمز
Invoice Management,انوائس مینجمنٹ
Invoice Mgmt,انوائس Mgmt
Invoice saved offline,انوائس آف لائن محفوظ ہو گئی۔
Invoice submission failed,انوائس جمع کرانے میں ناکام
Invoice Submitted,انوائس جمع کرائی گئی۔
"Invoice value settled by loyalty points, not cash collection",انوائس کی قیمت کو لائلٹی پوائنٹس کے ذریعے طے کیا جاتا ہے، نقد جمع کرنے سے نہیں۔
Invoices,رسیدیں
Invoices already past due date,رسیدیں پہلے ہی مقررہ تاریخ سے گزر چکی ہیں۔
Invoices saved as POS Invoices,انوائسز POS انوائسز کے بطور محفوظ کی گئیں۔
Invoices still carrying balances,رسیدیں اب بھی بیلنس لے رہی ہیں۔
Issue Mode,ایشو موڈ
Issue New Card,نیا کارڈ جاری کریں۔
Issue Workflow,ورک فلو جاری کریں۔
"Issue, top up, and check",جاری کریں، ٹاپ اپ کریں اور چیک کریں۔
Item,آئٹم
Item / Product Sales Report,آئٹم / پروڈکٹ سیلز رپورٹ
Item {0} added to invoice,آئٹم {0} انوائس میں شامل کیا گیا۔
Item '{0}' has no barcode,آئٹم '{0}' میں کوئی بارکوڈ نہیں ہے۔
Item Code,آئٹم کوڈ
Item created successfully,آئٹم کامیابی کے ساتھ بن گیا۔
Item is out of stock,آئٹم اسٹاک سے باہر ہے۔
Item Name,آئٹم کا نام
Item not found,آئٹم نہیں ملا
Item order updated,آئٹم آرڈر اپ ڈیٹ ہو گیا۔
Item Selector Settings,آئٹم سلیکٹر کی ترتیبات
Items,اشیاء
Items added in POS will appear here automatically.,POS میں شامل کردہ آئٹمز خود بخود یہاں ظاہر ہوں گے۔
Items added to invoice,انوائس میں شامل کردہ آئٹمز
Items per page,آئٹمز فی صفحہ
Items Sold,فروخت شدہ اشیاء
Items/Invoice,آئٹمز/انوائس
Item-wise Profitability,آئٹم کے لحاظ سے منافع بخش
Journal Entry,جرنل انٹری
json,json
Just now,ابھی ابھی
Keep offline prerequisites healthy and recover stale data safely.,آف لائن شرائط کو صحت مند رکھیں اور باسی ڈیٹا کو محفوظ طریقے سے بازیافت کریں۔
Labels,لیبلز
"Language, theme, terminal tools, and session controls.",زبان، تھیم، ٹرمینل ٹولز، اور سیشن کنٹرولز۔
Last,آخری
Last 14 Days (Paid vs Pending),آخری 14 دن (ادائیگی بمقابلہ زیر التواء)
Last 14 Days Activity,گزشتہ 14 دنوں کی سرگرمی
Last 14 Days Gross Profit,آخری 14 دنوں کا مجموعی منافع
Last 14 Days Purchases,آخری 14 دنوں کی خریداری
Last 14 Days Tax/Charges,آخری 14 دنوں کا ٹیکس/چارجز
Last sync:,آخری مطابقت پذیری:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},آخری مطابقت پذیری: {0} | ٹھیک ہے: {1} | ناکام: {2} | چھوڑ دیا گیا: {3}
Latest entries for current shift,موجودہ شفٹ کے لیے تازہ ترین اندراجات
Lead Time,لیڈ ٹائم
Limited,محدود
lines,لائنیں
List,فہرست
Live Snapshot,لائیو سنیپ شاٹ
Load a POS profile and cashier first.,پہلے ایک POS پروفائل اور کیشیئر لوڈ کریں۔
Load More Invoices,مزید رسیدیں لوڈ کریں۔
Load previously saved invoices,پہلے محفوظ کردہ رسیدیں لوڈ کریں۔
Load Sale,لوڈ سیل
Load Sales Invoice,سیلز انوائس لوڈ کریں۔
Loading app data...,ایپ ڈیٹا لوڈ ہو رہا ہے...
Loading customer database...,کسٹمر ڈیٹا بیس لوڈ ہو رہا ہے...
Loading customers...,گاہکوں کو لوڈ کیا جا رہا ہے...
Loading database stats...,ڈیٹا بیس کے اعدادوشمار لوڈ ہو رہے ہیں...
Loading details...,تفصیلات لوڈ ہو رہی ہیں...
Loading invoice history...,انوائس کی سرگزشت لوڈ ہو رہی ہے...
Loading items...,آئٹمز لوڈ ہو رہے ہیں...
Loading product catalog...,پروڈکٹ کیٹلاگ لوڈ ہو رہا ہے...
Loading return invoices...,واپسی رسیدیں لوڈ ہو رہی ہیں...
Loading server CPU/memory usage...,سرور CPU/میموری کا استعمال لوڈ ہو رہا ہے...
Loading suppliers...,سپلائرز لوڈ ہو رہے ہیں...
Loading unpaid invoices...,غیر ادا شدہ رسیدیں لوڈ ہو رہی ہیں...
Loading view...,منظر لوڈ ہو رہا ہے...
Loading...,لوڈ ہو رہا ہے...
Local storage is unavailable. Switching to online-only mode.,مقامی اسٹوریج دستیاب نہیں ہے۔ صرف آن لائن موڈ میں تبدیل ہو رہا ہے۔
localStorage,مقامی اسٹوریج
Location Performance,مقام کی کارکردگی
Locations,مقامات
Lock Screen,لاک اسکرین
Lookup Workflow,ورک فلو تلاش کریں۔
Loss,نقصان
Low,کم
Low Stock,کم اسٹاک
Low Stock Alerts,کم اسٹاک الرٹس
Low Stock Items,کم اسٹاک اشیاء
Low Stock Threshold,کم اسٹاک کی حد
Low Stock Total,کم اسٹاک ٹوٹل
Lowest Margin,کم ترین مارجن
Low-frequency maintenance and system details.,کم تعدد کی دیکھ بھال اور سسٹم کی تفصیلات۔
Loyalty Redeemed,وفاداری چھڑائی گئی۔
Loyalty Redemption,وفاداری سے نجات
Make New Payment,نئی ادائیگی کریں۔
Manage all,سب کا انتظام کریں۔
Manage and synchronize your offline transactions,اپنے آف لائن لین دین کا نظم اور ہم آہنگی کریں۔
Manage Cashier PIN,کیشئر پن کا نظم کریں۔
"Manage offline tools, terminal controls, and maintenance from one workspace.",ایک ورک اسپیس سے آف لائن ٹولز، ٹرمینل کنٹرولز اور دیکھ بھال کا نظم کریں۔
manual,دستی
"Manual codes, barcode scans, and QR scans work in the same field",دستی کوڈز، بارکوڈ اسکینز، اور کیو آر اسکینز ایک ہی فیلڈ میں کام کرتے ہیں۔
Manual offline mode is enabled,دستی آف لائن وضع فعال ہے۔
Margin,مارجن
Maximum available quantity is {0}. Quantity adjusted to match stock.,زیادہ سے زیادہ دستیاب مقدار {0} ہے۔ مقدار کو اسٹاک سے ملنے کے لیے ایڈجسٹ کیا گیا۔
Maximum discount amount for this offer item is {0}.,اس پیشکش آئٹم کے لیے زیادہ سے زیادہ رعایت کی رقم {0} ہے۔
Maximum discount percentage for this offer item is {0}%.,اس پیشکش آئٹم کے لیے زیادہ سے زیادہ رعایت کا فیصد {0}% ہے۔
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,پیشکش کی زیادہ سے زیادہ مقدار {0} ہے۔ مقدار کو اجازت شدہ حد میں ایڈجسٹ کیا گیا۔
Medium,درمیانہ
Method-wise Collections,طریقہ وار مجموعہ
Minimum allowed rate for this offer item is {0}.,اس پیشکش آئٹم کے لیے کم از کم اجازت شدہ شرح ہے {0}۔
Minimum Qty,کم از کم مقدار
Mobile No,موبائل نمبر
Mode,موڈ
Mode of Payment,ادائیگی کا طریقہ
Month,مہینہ
Month ?,مہینہ؟
Monthly Profit,ماہانہ منافع
Monthly Sales,ماہانہ فروخت
Monthly Sales Summary,ماہانہ فروخت کا خلاصہ
Month-wise,مہینہ وار
Most Active Cashiers,سب سے زیادہ فعال کیشئرز
Movement Type,حرکت کی قسم
Movements,حرکتیں
Multi Currency,ملٹی کرنسی
N/A,N/A
Name,نام
Negative Stock,منفی اسٹاک
Negative Stock Items,منفی اسٹاک اشیاء
Negative values not allowed,منفی اقدار کی اجازت نہیں ہے۔
Net,نیٹ
Net Qty,خالص مقدار
Net Sales,نیٹ سیلز
Net Value,نیٹ ویلیو
Never,کبھی نہیں۔
New changes are ready to load,نئی تبدیلیاں لوڈ ہونے کے لیے تیار ہیں۔
New Item,نیا آئٹم
New Offer Available,نئی پیشکش دستیاب ہے۔
New PIN,نیا پن
New rate,نیا ریٹ
Next unit of measure,پیمائش کی اگلی اکائی
No attribute data found.,کوئی انتساب ڈیٹا نہیں ملا۔
No Barcode,کوئی بارکوڈ نہیں۔
No barcode found for UOM '{0}',UOM '{0}' کے لیے کوئی بار کوڈ نہیں ملا
No branch/location data found.,کوئی برانچ/مقام کا ڈیٹا نہیں ملا۔
No brand data found.,کوئی برانڈ ڈیٹا نہیں ملا۔
No cached gift card balance is available offline.,کوئی کیشڈ گفٹ کارڈ بیلنس آف لائن دستیاب نہیں ہے۔
No camera found on this device. Please ensure your device has a working camera.,اس ڈیوائس پر کوئی کیمرہ نہیں ملا۔ براہ کرم یقینی بنائیں کہ آپ کے آلے میں کام کرنے والا کیمرہ ہے۔
No capability warnings recorded yet.,ابھی تک قابلیت کی کوئی وارننگ ریکارڈ نہیں ہوئی ہے۔
No cash expected for this shift.,اس شفٹ کے لیے نقد رقم کی توقع نہیں ہے۔
No cash mode configured,کوئی کیش موڈ کنفیگر نہیں ہے۔
No cash movement type is allowed for this POS Profile.,اس POS پروفائل کے لیے کسی قسم کی کیش موومنٹ کی اجازت نہیں ہے۔
No cashier PIN is set yet. Create one now.,ابھی تک کوئی کیشئر PIN سیٹ نہیں کیا گیا ہے۔ ابھی ایک بنائیں۔
No cashier profiles are available for this POS profile yet.,اس POS پروفائل کے لیے ابھی تک کوئی کیشیئر پروفائلز دستیاب نہیں ہیں۔
No cashier-wise discount/void/return activity.,کیشیئر کے لحاظ سے کوئی رعایت/باطل/واپسی کی سرگرمی نہیں۔
No category data found.,کوئی زمرہ کا ڈیٹا نہیں ملا۔
No category profitability data found.,کوئی زمرہ منافع بخش ڈیٹا نہیں ملا۔
No change returned recorded for this shift.,اس شفٹ کے لیے کوئی تبدیلی ریکارڈ نہیں کی گئی۔
No change-allocation invoices match the current filters.,کوئی تبدیلی-مختص رسید موجودہ فلٹرز سے مماثل نہیں ہے۔
No charge head breakdown found.,چارج ہیڈ بریک ڈاؤن نہیں ملا۔
No Company Selected,کوئی کمپنی منتخب نہیں ہوئی۔
No customer sales data found.,کوئی کسٹمر سیلز ڈیٹا نہیں ملا۔
No day-wise discount/void/return trend.,دن کے حساب سے کوئی رعایت/باطل/واپسی کا رجحان نہیں۔
No day-wise payment data found.,دن کے حساب سے ادائیگی کا کوئی ڈیٹا نہیں ملا۔
No day-wise profitability trend found.,دن کے حساب سے منافع کا کوئی رجحان نہیں ملا۔
No day-wise purchase data found.,دن کے حساب سے خریداری کا کوئی ڈیٹا نہیں ملا۔
No day-wise sales trend found.,دن کے حساب سے فروخت کا کوئی رجحان نہیں ملا۔
No day-wise tax/charges trend found.,دن کے حساب سے ٹیکس/چارجز کا کوئی رجحان نہیں ملا۔
No dead stock items.,کوئی ڈیڈ اسٹاک آئٹمز نہیں۔
No due date,کوئی مقررہ تاریخ نہیں۔
No exact repair match found for this invoice,اس انوائس کے لیے کوئی درست مرمت کا مماثل نہیں ملا
No hourly sales trend found for today.,آج کے لیے فی گھنٹہ فروخت کا کوئی رجحان نہیں ملا۔
No invoice activity found.,کوئی انوائس سرگرمی نہیں ملی۔
No invoices found,کوئی رسیدیں نہیں ملی
No invoices found. Try different search criteria.,کوئی رسیدیں نہیں ملی۔ تلاش کے مختلف معیارات آزمائیں۔
No invoices recorded for this shift.,اس شفٹ کے لیے کوئی رسیدیں ریکارڈ نہیں کی گئیں۔
No item profitability data found.,کوئی آئٹم منافع بخش ڈیٹا نہیں ملا۔
No item sales data found for this period.,اس مدت کے لیے آئٹم کی فروخت کا کوئی ڈیٹا نہیں ملا۔
No items found,کوئی آئٹمز نہیں ملے
No items in cart,ٹوکری میں کوئی آئٹم نہیں ہے۔
No items with barcodes to print,پرنٹ کرنے کے لیے بارکوڈ کے ساتھ کوئی آئٹم نہیں۔
No location-wise top item data found.,مقام کے لحاظ سے ٹاپ آئٹم کا کوئی ڈیٹا نہیں ملا۔
No low stock alerts right now.,ابھی کوئی کم اسٹاک الرٹ نہیں ہے۔
No low stock items.,کوئی کم اسٹاک اشیاء نہیں ہیں۔
No matching items in cart,کارٹ میں کوئی مماثل اشیاء نہیں ہیں۔
No month-wise sales trend found.,ماہانہ فروخت کا کوئی رجحان نہیں ملا۔
No negative stock items.,کوئی منفی اسٹاک آئٹمز نہیں۔
No notifications yet,ابھی تک کوئی اطلاع نہیں ہے۔
No offline cash movement synced.,کوئی آف لائن کیش موومنٹ مطابقت پذیر نہیں ہے۔
No offline invoices pending synchronization,کوئی آف لائن انوائس زیر التواء مطابقت پذیری نہیں ہے۔
No offline sync issues recorded yet.,ابھی تک کوئی آف لائن مطابقت پذیری کا مسئلہ ریکارڈ نہیں ہوا ہے۔
No out-of-stock items.,کوئی آئٹم آف اسٹاک نہیں ہے۔
No outstanding credit invoices for this shift.,اس شفٹ کے لیے کوئی بقایا کریڈٹ رسیدیں نہیں ہیں۔
No payment collection data found.,ادائیگی جمع کرنے کا کوئی ڈیٹا نہیں ملا۔
No payment rows available on this invoice.,اس انوائس پر ادائیگی کی کوئی قطار دستیاب نہیں ہے۔
No payments registered for this shift.,اس شفٹ کے لیے کوئی ادائیگیاں رجسٹرڈ نہیں ہیں۔
No pending balances in this period.,اس مدت میں کوئی زیر التواء بیلنس نہیں ہے۔
No pending offline invoices,کوئی آف لائن انوائس زیر التوا نہیں ہے۔
No Print Formats Found,کوئی پرنٹ فارمیٹس نہیں ملے
No profiles found for selected scope. Falling back to current profile failed.,منتخب دائرہ کار کے لیے کوئی پروفائلز نہیں ملے۔ موجودہ پروفائل پر واپس آنا ناکام ہوگیا۔
No recent customer activity found.,کسٹمر کی کوئی حالیہ سرگرمی نہیں ملی۔
No recent stock entries found.,کوئی حالیہ اسٹاک اندراجات نہیں ملے۔
No records found,کوئی ریکارڈ نہیں ملا
No reorder suggestions right now.,ابھی دوبارہ ترتیب دینے کی کوئی تجاویز نہیں ہیں۔
No repeat customers in this period.,اس مدت میں کوئی دہرانے والے گاہک نہیں ہیں۔
No response from server,سرور سے کوئی جواب نہیں۔
No return invoices found,کوئی واپسی رسیدیں نہیں ملی
No return item trend found.,کوئی واپسی آئٹم کا رجحان نہیں ملا۔
No returnable items found for this invoice,اس انوائس کے لیے کوئی قابل واپسی آئٹمز نہیں ملے
No returns were processed in this shift.,اس شفٹ میں کوئی واپسی پر کارروائی نہیں کی گئی۔
No risk activity found.,کوئی رسک سرگرمی نہیں ملی۔
No sales activity found for this period.,اس مدت کے لیے فروخت کی کوئی سرگرمی نہیں ملی۔
No slow moving items.,کوئی آہستہ حرکت پذیر اشیاء۔
No staff sales activity found.,عملے کی فروخت کی کوئی سرگرمی نہیں ملی۔
No stock movement for this period.,اس مدت کے لیے کوئی اسٹاک موومنٹ نہیں ہے۔
No submitted cash movements in this shift.,اس شفٹ میں کیش کی کوئی نقل و حرکت نہیں ہوئی۔
No supplier purchases found in this month.,اس مہینے میں کوئی سپلائر خریداری نہیں ملا۔
No suppliers found for this period.,اس مدت کے لیے کوئی سپلائر نہیں ملا۔
No sync trigger has run yet in this session.,اس سیشن میں ابھی تک کوئی مطابقت پذیری کا محرک نہیں چلا ہے۔
No tax head breakdown found.,کوئی ٹیکس ہیڈ بریک ڈاؤن نہیں ملا۔
No top items found for this location.,اس مقام کے لیے کوئی سرفہرست آئٹمز نہیں ملے۔
No unpaid invoices,بلا معاوضہ رسیدیں نہیں۔
No variant data found.,کوئی متغیر ڈیٹا نہیں ملا۔
No week-wise sales trend found.,ہفتہ وار فروخت کا کوئی رجحان نہیں ملا۔
No.,نہیں
Nobile Number,نوبل نمبر
Not available,دستیاب نہیں۔
Not checked,چیک نہیں کیا گیا۔
Not selected,منتخب نہیں کیا گیا۔
Not Set,سیٹ نہیں
Notifications,اطلاعات
Offer,پیشکش
Offer Applied,پیشکش لاگو
Offer criteria exceeded,پیشکش کے معیار سے تجاوز کر گیا۔
Offer Item,پیشکش آئٹم
Offer item unavailable,پیشکش آئٹم دستیاب نہیں ہے۔
Offer Removed,پیشکش ہٹا دی گئی۔
Offer UOM cannot be changed,پیشکش UOM کو تبدیل نہیں کیا جا سکتا
Offer?,پیشکش؟
Offers,پیشکش کرتا ہے۔
Offline,آف لائن
Offline & Sync,آف لائن اور مطابقت پذیری
Offline Capabilities,آف لائن صلاحیتیں۔
Offline data status refreshed,آف لائن ڈیٹا کی حیثیت کو تازہ کر دیا گیا۔
Offline diagnostics,آف لائن تشخیص
Offline Invoices,آف لائن رسیدیں
Offline invoices status,آف لائن رسیدوں کی حیثیت
Offline invoices synced,آف لائن رسیدیں مطابقت پذیر ہیں۔
Offline Queue: {0},آف لائن قطار: {0}
Offline rebuild guidance,آف لائن تعمیر نو کی رہنمائی
Offline restore is unavailable for this session.,اس سیشن کے لیے آف لائن بحالی دستیاب نہیں ہے۔
Offline selling is available with degraded capabilities.,آف لائن فروخت انحطاطی صلاحیتوں کے ساتھ دستیاب ہے۔
Offline snapshot does not match the current POS state.,آف لائن سنیپ شاٹ موجودہ POS حالت سے مماثل نہیں ہے۔
Offline Status,آف لائن اسٹیٹس
"Offline, terminal, and system controls",آف لائن، ٹرمینل، اور سسٹم کنٹرولز
OK,ٹھیک ہے
Online,آن لائن
Open actions menu,ایکشن مینو کھولیں۔
Open balance to collect,جمع کرنے کے لیے بیلنس کھولیں۔
Open Customer Display,کسٹمر ڈسپلے کھولیں۔
Open drawer,دراز کھولیں۔
Open invoices,رسیدیں کھولیں۔
Open Payments?,ادائیگیوں کو کھولیں؟
Open POS home,POS ہوم کھولیں۔
Open this screen from POS Menu -> Open Customer Display.,اس اسکرین کو POS مینو سے کھولیں -> کسٹمر ڈسپلے کھولیں۔
OpenCV image processing enabled - Enhanced barcode detection,OpenCV امیج پروسیسنگ فعال - بہتر بارکوڈ کا پتہ لگانا
OpenCV image processing unavailable on this device,OpenCV امیج پروسیسنگ اس ڈیوائس پر دستیاب نہیں ہے۔
OpenCV Off,اوپن سی وی آف
OpenCV On,اوپن سی وی آن
OpenCV processing disabled,OpenCV پروسیسنگ غیر فعال ہے۔
Opening Amount,کھلنے والی رقم
Opening Cash,کیش کھولنا
options,اختیارات
Order,آرڈر
Original,اصل
Other,دیگر
Out,باہر
Out of Stock,اسٹاک سے باہر
Out of Stock Items,آؤٹ آف اسٹاک آئٹمز
Outstanding,بقایا
Outstanding Credit by Currency,کرنسی کے لحاظ سے بقایا کریڈٹ
Overdue,زائد المیعاد
Overpayment Change,زائد ادائیگی کی تبدیلی
Overpayment change deducted: {0},زائد ادائیگی کی تبدیلی کٹوتی: {0}
Packing List,پیکنگ لسٹ
Page Format,صفحہ کی شکل
Page unavailable offline,صفحہ آف لائن دستیاب نہیں ہے۔
Paid,ادا کیا
Paid (orig):,ادا شدہ (اصل):
Paid Amount,ادا شدہ رقم
Paid change cannot be greater than total change!,ادا شدہ تبدیلی کل تبدیلی سے زیادہ نہیں ہو سکتی!
Paid:,ادا شدہ:
Parent Item,پیرنٹ آئٹم
Partial,جزوی
Partly Paid,جزوی طور پر ادا کیا گیا۔
Party Account,پارٹی اکاؤنٹ
Party Type,پارٹی کی قسم
Pause terminal until next cashier,اگلے کیشئیر تک ٹرمینل موقوف کریں۔
PAY,ادائیگی کریں۔
Payment,ادائیگی
Payment Account,ادائیگی اکاؤنٹ
Payment entries processed for Invoice {0},انوائس {0} کے لیے ادائیگی کے اندراجات پر کارروائی کی گئی
Payment Entry Type,ادائیگی کے اندراج کی قسم
Payment History,ادائیگی کی تاریخ
Payment ID,ادائیگی کی شناخت
Payment Method Report,ادائیگی کے طریقہ کار کی رپورٹ
Payment Methods,ادائیگی کے طریقے
Payment of {0} received successfully.,{0} کی ادائیگی کامیابی سے موصول ہو گئی۔
Payment Progress,ادائیگی کی پیشرفت
Payment Reconciliation,ادائیگی کی مفاہمت
Payment request status could not be retrieved. Please try again,ادائیگی کی درخواست کی صورتحال بازیافت نہیں ہو سکی۔ براہ کرم دوبارہ کوشش کریں۔
Payment Request took too long to respond. Please try requesting for payment again,ادائیگی کی درخواست کا جواب دینے میں کافی وقت لگا۔ براہ کرم دوبارہ ادائیگی کی درخواست کرنے کی کوشش کریں۔
Payment saved offline,ادائیگی آف لائن محفوظ ہو گئی۔
Payment State,ادائیگی کی حالت
Payment Status,ادائیگی کی حیثیت
Payment submitted but print function could not be executed. Payment name not found.,ادائیگی جمع کرائی گئی لیکن پرنٹ فنکشن کو عمل میں نہیں لایا جا سکا۔ ادائیگی کا نام نہیں ملا۔
Payment submitted.,ادائیگی جمع کرائی گئی۔
Payment Summary,ادائیگی کا خلاصہ
Payments,ادائیگیاں
Payments are not open. Do you want to open payments and submit?,ادائیگیاں کھلی نہیں ہیں۔ کیا آپ ادائیگی کھول کر جمع کروانا چاہتے ہیں؟
Payments by Mode of Payment,ادائیگی کے موڈ کی طرف سے ادائیگی
PDF,PDF
Peak Hour,چوٹی کا وقت
Peak Memory:,چوٹی کی یادداشت:
Peak Server:,چوٹی سرور:
Peak:,چوٹی:
Pending,زیر التواء
Pending Amount,زیر التواء رقم
Pending count updated from {0} to {1},زیر التواء شمار کو {0} سے {1} تک اپ ڈیٹ کیا گیا
Pending Exposure,زیر التواء نمائش
Pending Invoices,زیر التواء رسیدیں
Pending Ratio,زیر التواء تناسب
Pending Sales,زیر التواء فروخت
Pending sales: {0} | Cache usage: {1}%,زیر التواء فروخت: {0} | کیشے کا استعمال: {1}%
Pending Sync,زیر التواء مطابقت پذیری
Pending: {0},زیر التواء: {0}
Pending: {0} | Synced: {1} | Draft: {2},زیر التواء: {0} | مطابقت پذیر: {1} | مسودہ: {2}
Per Page,فی صفحہ
Personal,ذاتی
Personal preferences adjust the current cashier experience without changing the active POS route.,ذاتی ترجیحات فعال POS روٹ کو تبدیل کیے بغیر موجودہ کیشیئر کے تجربے کو ایڈجسٹ کرتی ہیں۔
PIN confirmation does not match.,PIN کی تصدیق مماثل نہیں ہے۔
PIN must be 4 to 8 digits.,PIN 4 سے 8 ہندسوں کا ہونا چاہیے۔
Please add at least one item.,براہ کرم کم از کم ایک آئٹم شامل کریں۔
Please allow camera access to scan codes,براہ کرم کیمرے کو اسکین کوڈز تک رسائی کی اجازت دیں۔
Please enter payment amount,براہ کرم ادائیگی کی رقم درج کریں۔
Please fill all required fields,براہ کرم تمام مطلوبہ فیلڈز کو پُر کریں۔
Please make a payment or select a payment,براہ کرم ادائیگی کریں یا ادائیگی کا انتخاب کریں۔
Please request phone payment or use another payment method,براہ کرم فون سے ادائیگی کی درخواست کریں یا ادائیگی کا دوسرا طریقہ استعمال کریں۔
Please select a customer first,براہ کرم پہلے ایک گاہک منتخب کریں۔
Please select a party,براہ کرم ایک پارٹی منتخب کریں۔
Please select a party before reconciling.,صلح کرنے سے پہلے براہ کرم ایک فریق کا انتخاب کریں۔
