POS Awesome,POS fantastisk
Loyalty Redeemed,Loyalitet indløst
Loyalty Redemption,Loyalitetsforløsning
Make New Payment,Foretag ny betaling
Manage all,Administrer alle
Manage and synchronize your offline transactions,Administrer og synkroniser dine offline transaktioner
Manage Cashier PIN,Administrer Cashier PIN
"Manage offline tools, terminal controls, and maintenance from one workspace.","Administrer offlineværktøjer, terminalstyringer og vedligeholdelse fra ét arbejdsområde."
manual,manual
"Manual codes, barcode scans, and QR scans work in the same field","Manuelle koder, stregkodescanninger og QR-scanninger fungerer i samme felt"
Manual offline mode is enabled,Manuel offline-tilstand er aktiveret
Margin,Margin
Maximum available quantity is {0}. Quantity adjusted to match stock.,Maksimalt tilgængeligt antal er {0}. Mængde tilpasset til lager.
Maximum discount amount for this offer item is {0}.,Det maksimale rabatbeløb for denne tilbudsvare er {0}.
Maximum discount percentage for this offer item is {0}%.,Den maksimale rabatprocent for denne tilbudsvare er {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,Maksimal tilbudsmængde er {0}. Mængde justeret til tilladt grænse.
Medium,Medium
Method-wise Collections,Metodemæssigt Samlinger
Minimum allowed rate for this offer item is {0}.,Minimum tilladte pris for denne tilbudsvare er {0}.
Minimum Qty,Minimum antal
Mobile No,Mobilnr
Mode,tilstand
Mode of Payment,Betalingsmåde
Month,Måned
Month ?,Måned?
Monthly Profit,Månedligt overskud
Monthly Sales,Månedligt salg
Monthly Sales Summary,Månedlig salgsoversigt
Month-wise,Månedsmæssigt
Most Active Cashiers,Mest aktive kasserere
Movement Type,Bevægelsestype
Movements,Bevægelser
Multi Currency,Multi valuta
N/A,N/A
Name,Navn
Negative Stock,Negativ aktie
Negative Stock Items,Negative lagervarer
Negative values not allowed,Negative værdier er ikke tilladt
Net,Netto
Net Qty,Netto Antal
Net Sales,Nettosalg
Net Value,Nettoværdi
Never,Aldrig
New changes are ready to load,Nye ændringer er klar til at blive indlæst
New Item,Ny vare
New Offer Available,Nyt tilbud tilgængeligt
New PIN,Ny pinkode
New rate,Ny takst
Next unit of measure,Næste måleenhed
No attribute data found.,Ingen attributdata fundet.
No Barcode,Ingen stregkode
No barcode found for UOM '{0}',Ingen stregkode fundet for UOM '{0}'
No branch/location data found.,Ingen filial-/placeringsdata fundet.
No brand data found.,Ingen mærkedata fundet.
No cached gift card balance is available offline.,Ingen cachelagret gavekortsaldo er tilgængelig offline.
No camera found on this device. Please ensure your device has a working camera.,"Der blev ikke fundet noget kamera på denne enhed. Sørg for, at din enhed har et fungerende kamera."
No capability warnings recorded yet.,Ingen kapacitetsadvarsler registreret endnu.
No cash expected for this shift.,Der forventes ingen kontanter til dette skift.
No cash mode configured,Ingen kontanttilstand konfigureret
No cash movement type is allowed for this POS Profile.,Ingen kontantbevægelsestype er tilladt for denne POS-profil.
No cashier PIN is set yet. Create one now.,Der er ikke angivet en pinkode til kassereren endnu. Opret en nu.
No cashier profiles are available for this POS profile yet.,Der er endnu ingen kasseprofiler tilgængelige for denne POS-profil.
No cashier-wise discount/void/return activity.,Ingen kassemæssig rabat/ugyldig/returaktivitet.
No category data found.,Ingen kategoridata fundet.
No category profitability data found.,Ingen kategoris rentabilitetsdata fundet.
No change returned recorded for this shift.,Ingen returnerede ændringer registreret for dette skift.
No change-allocation invoices match the current filters.,Ingen ændrings-allokeringsfakturaer matcher de aktuelle filtre.
No charge head breakdown found.,Der blev ikke fundet nogen opdeling af ladehoved.
No Company Selected,Intet firma valgt
No customer sales data found.,Ingen kundesalgsdata fundet.
No day-wise discount/void/return trend.,Ingen dagsvis rabat/ugyldig/returtrend.
No day-wise payment data found.,Der blev ikke fundet nogen dagsvise betalingsdata.
No day-wise profitability trend found.,Der blev ikke fundet nogen daglig rentabilitetstendens.
No day-wise purchase data found.,Der blev ikke fundet nogen dagsvise købsdata.
No day-wise sales trend found.,Der blev ikke fundet nogen daglig salgstendens.
No day-wise tax/charges trend found.,Der blev ikke fundet nogen trend for moms/afgifter i dag.
No dead stock items.,Ingen døde lagervarer.
No due date,Ingen forfaldsdato
No exact repair match found for this invoice,Der blev ikke fundet noget nøjagtigt reparationsmatch for denne faktura
No hourly sales trend found for today.,Der blev ikke fundet nogen timesalgstrend for i dag.
No invoice activity found.,Der blev ikke fundet nogen fakturaaktivitet.
No invoices found,Ingen fakturaer fundet
No invoices found. Try different search criteria.,Ingen fakturaer fundet. Prøv forskellige søgekriterier.
No invoices recorded for this shift.,Der er ikke registreret nogen fakturaer for dette skift.
No item profitability data found.,Ingen varens rentabilitetsdata fundet.
No item sales data found for this period.,Der blev ikke fundet nogen varesalgsdata for denne periode.
No items found,Ingen varer fundet
No items in cart,Ingen varer i indkøbskurven
No items with barcodes to print,Ingen varer med stregkoder at udskrive
No location-wise top item data found.,Der blev ikke fundet nogen placeringsmæssigt topvaredata.
No low stock alerts right now.,Ingen varsler om lavt lager lige nu.
No low stock items.,Ingen varer på lager.
No matching items in cart,Ingen matchende varer i indkøbskurven
No month-wise sales trend found.,Der blev ikke fundet nogen månedlig salgstendens.
No negative stock items.,Ingen negative lagervarer.
No notifications yet,Ingen notifikationer endnu
No offline cash movement synced.,Ingen offline kontantbevægelse synkroniseret.
No offline invoices pending synchronization,Ingen offline fakturaer afventer synkronisering
No offline sync issues recorded yet.,Der er endnu ikke registreret problemer med offlinesynkronisering.
No out-of-stock items.,Ingen udsolgte varer.
No outstanding credit invoices for this shift.,Ingen udestående kreditfakturaer for dette skift.
No payment collection data found.,Der blev ikke fundet nogen betalingsopkrævningsdata.
No payment rows available on this invoice.,Der er ingen tilgængelige betalingsrækker på denne faktura.
No payments registered for this shift.,Ingen betalinger registreret for dette skift.
No pending balances in this period.,Ingen udestående saldi i denne periode.
No pending offline invoices,Ingen afventende offline fakturaer
No Print Formats Found,Ingen udskriftsformater fundet
No profiles found for selected scope. Falling back to current profile failed.,Der blev ikke fundet nogen profiler for det valgte omfang. Faldet tilbage til den nuværende profil mislykkedes.
No recent customer activity found.,Ingen nylig kundeaktivitet fundet.
No recent stock entries found.,Der blev ikke fundet nogen nyere aktieposter.
No records found,Ingen registreringer fundet
No reorder suggestions right now.,Ingen genbestillingsforslag lige nu.
No repeat customers in this period.,Ingen tilbagevendende kunder i denne periode.
No response from server,Intet svar fra serveren
No return invoices found,Ingen returfakturaer fundet
No return item trend found.,Der blev ikke fundet nogen tendens til returvarer.
No returnable items found for this invoice,Der blev ikke fundet nogen returvarer til denne faktura
No returns were processed in this shift.,Ingen returneringer blev behandlet i dette skift.
No risk activity found.,Ingen risikoaktivitet fundet.
No sales activity found for this period.,Der blev ikke fundet nogen salgsaktivitet for denne periode.
No slow moving items.,"Ingen varer, der bevæger sig langsomt."
No staff sales activity found.,Der blev ikke fundet nogen salgsaktivitet for personale.
No stock movement for this period.,Ingen lagerbevægelser i denne periode.
No submitted cash movements in this shift.,Ingen indsendte kontantbevægelser i dette skift.
No supplier purchases found in this month.,Ingen leverandørkøb fundet i denne måned.
No suppliers found for this period.,Ingen leverandører fundet for denne periode.
No sync trigger has run yet in this session.,Der er endnu ikke kørt nogen synkroniseringsudløser i denne session.
No tax head breakdown found.,Der blev ikke fundet nogen skatteopdeling.
No top items found for this location.,Der blev ikke fundet nogen topelementer for denne placering.
No unpaid invoices,Ingen ubetalte fakturaer
No variant data found.,Ingen variantdata fundet.
No week-wise sales trend found.,Ingen ugevis salgstendens fundet.
No.,Nej.
Nobile Number,Adelsnummer
Not available,Ikke tilgængelig
Not checked,Ikke kontrolleret
Not selected,Ikke valgt
Not Set,Ikke indstillet
Notifications,Meddelelser
Offer,Tilbud
Offer Applied,Tilbud anvendt
Offer criteria exceeded,Tilbudskriterierne er overskredet
Offer Item,Tilbuds vare
Offer item unavailable,Tilbudsvaren er ikke tilgængelig
Offer Removed,Tilbud fjernet
Offer UOM cannot be changed,Tilbuds-UOM kan ikke ændres
Offer?,Tilbud?
Offers,Tilbud
Offline,Offline
Offline & Sync,Offline og synkronisering
Offline Capabilities,Offline muligheder
Offline data status refreshed,Offlinedatastatus er opdateret
Offline diagnostics,Offline diagnostik
Offline Invoices,Offline fakturaer
Offline invoices status,Offline fakturastatus
Offline invoices synced,Offline fakturaer synkroniseret
Offline Queue: {0},Offlinekø: {0}
Offline rebuild guidance,Offline genopbygningsvejledning
Offline restore is unavailable for this session.,Offlinegendannelse er ikke tilgængelig for denne session.
Offline selling is available with degraded capabilities.,Offlinesalg er tilgængeligt med forringede muligheder.
Offline snapshot does not match the current POS state.,Offline snapshot matcher ikke den aktuelle POS-tilstand.
Offline Status,Offline status
"Offline, terminal, and system controls","Offline-, terminal- og systemstyring"
OK,OK
Online,Online
Open actions menu,Åbn handlingsmenuen
Open balance to collect,Åben saldo at indsamle
Open Customer Display,Åbn kundedisplay
Open drawer,Åbn skuffen
Open invoices,Åbne fakturaer
Open Payments?,Åbne betalinger?
Open POS home,Åbn POS-hjem
Open this screen from POS Menu -> Open Customer Display.,Åbn denne skærm fra POS-menuen -> Åbn kundedisplay.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV billedbehandling aktiveret - Forbedret stregkodegenkendelse
OpenCV image processing unavailable on this device,OpenCV-billedbehandling er ikke tilgængelig på denne enhed
OpenCV Off,OpenCV Fra
OpenCV On,OpenCV til
OpenCV processing disabled,OpenCV-behandling deaktiveret
Opening Amount,Åbningsbeløb
Opening Cash,Åbning af kontanter
options,muligheder
Order,Bestil
Original,Original
Other,Andet
Out,Ud
Out of Stock,Udsolgt
Out of Stock Items,Udsolgte varer
Outstanding,Udestående
Outstanding Credit by Currency,Udestående kredit efter valuta
Overdue,Forfalden
Overpayment Change,Ændring af overbetaling
Overpayment change deducted: {0},Ændring af overbetaling fratrukket: {0}
Packing List,Pakkeliste
Page Format,Sideformat
Page unavailable offline,Siden er ikke tilgængelig offline
Paid,Betalt
Paid (orig):,Betalt (original):
Paid Amount,Betalt beløb
Paid change cannot be greater than total change!,Betalt ændring kan ikke være større end total ændring!
Paid:,Betalt:
Parent Item,Overordnet vare
Partial,Delvis
Partly Paid,Delvist betalt
Party Account,Partikonto
Party Type,Partitype
Pause terminal until next cashier,Pause terminal indtil næste kasserer
PAY,BETAL
Payment,Betaling
Payment Account,Betalingskonto
Payment entries processed for Invoice {0},Betalingsposter behandlet for faktura {0}
Payment Entry Type,Betalingsindtastningstype
Payment History,Betalingshistorik
Payment ID,Betalings-id
Payment Method Report,Rapport om betalingsmetode
Payment Methods,Betalingsmetoder
Payment of {0} received successfully.,Betaling på {0} er modtaget.
Payment Progress,Betalingsfremskridt
Payment Reconciliation,Betalingsafstemning
Payment request status could not be retrieved. Please try again,Betalingsanmodningsstatus kunne ikke hentes. Prøv venligst igen
Payment Request took too long to respond. Please try requesting for payment again,Betalingsanmodningen tog for lang tid at svare. Prøv at anmode om betaling igen
Payment saved offline,Betaling gemt offline
Payment State,Betalingsstat
Payment Status,Betalingsstatus
Payment submitted but print function could not be executed. Payment name not found.,"Betaling indsendt, men printfunktionen kunne ikke udføres. Betalingsnavn blev ikke fundet."
Payment submitted.,Betaling indsendt.
Payment Summary,Betalingsoversigt
Payments,Betalinger
Payments are not open. Do you want to open payments and submit?,Betalinger er ikke åbne. Vil du åbne betalinger og indsende?
Payments by Mode of Payment,Betalinger efter betalingsmåde
PDF,PDF
Peak Hour,Spidse time
Peak Memory:,Højeste hukommelse:
Peak Server:,Peak Server:
Peak:,Top:
Pending,Afventer
Pending Amount,Afventende beløb
Pending count updated from {0} to {1},Afventende antal opdateret fra {0} til {1}
Pending Exposure,Afventer eksponering
Pending Invoices,Afventende fakturaer
Pending Ratio,Afventende forhold
Pending Sales,Afventende salg
Pending sales: {0} | Cache usage: {1}%,Afventende salg: {0} | Cachebrug: {1}%
Pending Sync,Afventer synkronisering
Pending: {0},Afventer: {0}
Pending: {0} | Synced: {1} | Draft: {2},Afventer: {0} | Synkroniseret: {1} | Kladde: {2}
Per Page,pr side
Personal,Personligt
Personal preferences adjust the current cashier experience without changing the active POS route.,Personlige præferencer justerer den aktuelle kasseoplevelse uden at ændre den aktive POS-rute.
PIN confirmation does not match.,PIN-bekræftelsen stemmer ikke overens.
PIN must be 4 to 8 digits.,PIN-koden skal være på 4 til 8 cifre.
Please add at least one item.,Tilføj venligst mindst ét ​​element.
Please allow camera access to scan codes,Tillad venligst kameraadgang for at scanne koder
Please enter payment amount,Indtast venligst betalingsbeløb
Please fill all required fields,Udfyld venligst alle obligatoriske felter
Please make a payment or select a payment,Foretag en betaling eller vælg en betaling
Please request phone payment or use another payment method,Anmod om telefonbetaling eller brug en anden betalingsmetode
Please select a customer first,Vælg venligst en kunde først
Please select a party,Vælg venligst en part
Please select a party before reconciling.,Vælg venligst en part før afstemning.
Please select a valid movement type.,Vælg venligst en gyldig bevægelsestype.
Please select an invoice,Vælg venligst en faktura
Please select company before reconciling.,Vælg venligst virksomhed før afstemning.
Please set the customer's mobile number,Indstil venligst kundens mobilnummer
Please try again or enter the item manually.,"Prøv venligst igen, eller indtast elementet manuelt."
Please verify the barcode or check the item's availability.,Bekræft stregkoden eller tjek varens tilgængelighed.
Points,Points
Popup blocked. Please allow popups.,Popup blokeret. Tillad venligst pop op-vinduer.
POS,POS
POS controls and maintenance,POS kontrol og vedligeholdelse
POS Expense is disabled for this POS Profile.,POS-udgifter er deaktiveret for denne POS-profil.
POS is running with limited offline prerequisites.,POS kører med begrænsede offline-krav.
POS Profile,POS profil
Position the QR code or barcode within the scanning area,Placer QR-koden eller stregkoden inden for scanningsområdet
Posting,Udstationering
Posting and Price List,Bogføring og Prisliste
Posting Date,Udsendelsesdato
Preparing background sync,Forbereder baggrundssynkronisering
"Press OK to continue offline with a warning, or Cancel to retry.","Tryk på OK for at fortsætte offline med en advarsel, eller på Annuller for at prøve igen."
Previous unit of measure,Tidligere måleenhed
Price List,Prisliste
Price List Rate,Prisliste Pris
Price list rate updated locally only,Prislisteprisen opdateres kun lokalt
Pricing & Discounts,Priser & rabatter
Pricing Rule,Prisfastsættelsesregel
Print,Udskriv
Print Draft,Udskriv kladde
Print Format (Invoice),Udskriftsformat (faktura)
Print Format (Order),Udskriftsformat (bestilling)
Print invoice,Udskriv faktura
Print Purchase Invoice instead of PO,Udskriv købsfaktura i stedet for PO
Printer,Printer
Processed returns impacting the shift totals,"Behandlede afkast, der påvirker skifttotalen"
Processing Payment,Behandling af betaling
Processing payment entries for Invoice {0},Behandler betalingsposter for faktura {0}
Profile,Profil
Profiles,Profiler
Profit,Fortjeneste
Profit: Invoice Item Estimate,Fortjeneste: Overslag på fakturavare
Profit: Stock Ledger (COGS),Fortjeneste: Stock Ledger (COGS)
Profitability Report,Rentabilitetsrapport
Prorated return discount,Forholdsmæssig returrabat
Purchase Amount,Købsbeløb
Purchase Invoices,Købsfakturaer
Purchase Order created,Indkøbsordre oprettet
Qty,Antal
Qualified,Kvalificeret
Quantity,Mængde
Quantity exceeds available stock,Mængden overstiger tilgængeligt lager
Quick Actions,Hurtige handlinger
Quotation {0} is Submitted,Tilbud {0} er indsendt
Quotation submitted,Tilbud afgivet
QZ Tray connected.,QZ-bakke tilsluttet.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ-bakken afbrydes manuelt. Tryk på Tilslut for at aktivere det igen.
QZ Tray is not connected.,QZ-bakken er ikke tilsluttet.
QZ Tray Setup,QZ-bakkeopsætning
Rate,Bedøm
Rate adjusted to maximum allowed discount,Sats justeret til maksimal tilladt rabat
Ready,Klar
Ready to resume,Klar til at genoptage
Ready!,Klar!
Real-time POS insights for retail operations.,POS-indsigt i realtid til detaildrift.
Rebuild Offline Data,Genopbyg offlinedata
Receive,Modtag
Receive now,Modtag nu
Received,Modtaget
Received:,Modtaget:
Recent Movement Entries,Seneste bevægelsesindlæg
Recent updates about your invoices,Seneste opdateringer om dine fakturaer
Recently Active Customers,For nylig aktive kunder
Rechecking connection,Gentjekker forbindelsen
Reconcile payment methods and close shift,Afstem betalingsmetoder og luk skift
Reconciling Payments,Afstemning af betalinger
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Genopret forbindelse og åbn denne side én gang, mens du er online, hvorefter offline opdateringer vil være i stand til at gendanne den."
Reconnect online to refresh cached offline data from the server.,Genopret forbindelse online for at opdatere cachelagrede offlinedata fra serveren.
Recreate local offline prerequisites from scratch,Genskab lokale offline-forudsætninger fra bunden
Recv:,Recv:
Redeem,Indløs
Redeem / Scan,Indløs / Scan
Redeem Amount,Indløsningsbeløb
Redeem Mode,Indløs tilstand
Redeemed Amount,Indløst Beløb
Redeemed credit cannot be greater than its total.,Indløst kredit kan ikke være større end dets samlede beløb.
Redemption and Totals,Indløsning og Sum
Reference,Reference
Refresh,Opdater
Refresh Exchange Rate,Opdater valutakurs
Refresh Offline Data,Opdater offlinedata
Refresh Printers,Opdater printere
Refund,Tilbagebetaling
Release Notes,Release Notes
Reload,Genindlæs
Reload customers,Genindlæs kunder
Reload Items,Genindlæs elementer
Reload Now,Genindlæs nu
Reload to apply the latest changes. Your current session will be refreshed.,Genindlæs for at anvende de seneste ændringer. Din nuværende session vil blive opdateret.
Reload Workflow,Genindlæs arbejdsgang
Remarks,Bemærkninger
Remarks are required.,Bemærkninger er påkrævet.
Remove,Fjern
Remove barcode item,Fjern stregkodeelement
Remove cached data and reload the POS app,"Fjern cachelagrede data, og genindlæs POS-appen"
Remove item,Fjern element
Remove Offer,Fjern tilbud
Reorder / Purchase Suggestions,Genbestilling / købsforslag
Repair Candidate,Reparationskandidat
Repair Change Allocation,Reparation Ændring Allokering
Repair requires an online connection,Reparation kræver en onlineforbindelse
Repaired,Repareret
Repairing change allocation,Reparation af ændringstildeling
Repeat Customers,Gentagende kunder
Repeat Rate,Gentag hastighed
Request,Anmodning
Request ID: {0},Anmodnings-id: {0}
Request Payment,Anmod om betaling
Requested route: {0},Anmodet rute: {0}
Required columns cannot be hidden,Påkrævede kolonner kan ikke skjules
Reset,Nulstil
Reset item name,Nulstil elementnavn
Reset to Default,Nulstil til standard
Resource Health,Ressource Sundhed
Restricted,Begrænset
Restricted operational controls for supervisors only.,Begrænset driftskontrol kun for tilsynsførende.
Retry,Prøv igen
Retry route,Prøv ruten igen
Return,Retur
Return Amount,Returbeløb
Return Count,Returtælling
Return items must have negative quantities,Returvarer skal have negative mængder
Return total must be negative,Afkastsummen skal være negativ
Return Valid Until,Returnering Gælder til
Return window passed,Returvindue passeret
Return without Invoice,Returnering uden faktura
Returns,Returnerer
Returns / Voids / Discounts,Returneringer / Ugyldigheder / Rabatter
Returns by Currency,Returnering efter valuta
Revenue,Indtægter
Review shift totals before submitting the closing entry,"Gennemgå skifttotaler, før du indsender den afsluttende post"
Round Off,Afrund
Rows,Rækker
Rows:,Rækker:
Rule,Regel
Sale,Udsalg
Sales,Salg
Sales Order {0} is Submitted,Salgsordre {0} er indsendt
Sales Person and Print,Sælger og tryk
Sales Person not found,Sælger ikke fundet
Sales processed,Salg behandlet
Sales Return,Salgsretur
Sales Trend Report,Salgsudviklingsrapport
Save,Gem
Save & Clear,Gem & Ryd
Save as POS Profile Default,Gem som standard for POS-profil
Save Settings,Gem indstillinger
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Gem den valgte printer som standard POS-profil, så den vises automatisk på denne opsætning."
Saved as draft because: {0},Gemt som kladde fordi: {0}
Saving...,Gemmer...
Scale barcode detected. Quantity here is the number of labels to print.,"Skaleret stregkode fundet. Antal her er antallet af etiketter, der skal udskrives."
Scale barcode settings are not configured. Using item barcode only.,Indstillinger for skaleringsstregkode er ikke konfigureret. Bruger kun varens stregkode.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Skala skabelon stregkode mangler for denne vare/UOM. Bruger kun varens stregkode.
Scan an existing card and top it up without leaving the payment flow.,Scan et eksisterende kort og fyld det op uden at forlade betalingsstrømmen.
Scan Error,Scanningsfejl
Scan or enter a gift card code to check balance or redeem.,Scan eller indtast en gavekortkode for at tjekke saldo eller indløse.
Scan or paste the card code below.,Scan eller indsæt kortkoden nedenfor.
Scan QR Code/Barcode,Scan QR-kode/stregkode
Scan with camera,Scan med kamera
Scan-First Flow,Scan-første flow
Scanned Code:,Scannet kode:
Scanning for: {0},Scanner efter: {0}
Scanning items,Scanning af varer
Scan-Ready,Scan-klar
Scope,Omfang
Scope: All Profiles,Omfang: Alle profiler
Scope: Current Profile,Omfang: Nuværende profil
Scope: Specific Profile,Omfang: Specifik profil
Search,Søg
Search Account,Søg konto
Search an invoice and continue the return flow without extra steps.,Søg på en faktura og fortsæt returstrømmen uden ekstra trin.
Search customer,Søg kunde
Search invoices or customers,Søg efter fakturaer eller kunder
Search item,Søg emne
Search item / code,Søg emne / kode
Search items or barcode,Søg efter varer eller stregkode
Search Mpesa Payments,Søg i Mpesa Payments
Search return invoices or customers,Søg returfakturaer eller kunder
Search supplier,Søg efter leverandør
Search unpaid invoices or customers,Søg efter ubetalte fakturaer eller kunder
Secure context (HTTPS or localhost) is required for camera access.,Sikker kontekst (HTTPS eller localhost) er påkrævet for kameraadgang.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Sikker kontekst (HTTPS) kræves for kameraadgang. Brug venligst HTTPS for at få adgang til kameraet.
Select,Vælg
Select a cashier first.,Vælg først en kasserer.
Select a customer,Vælg en kunde
Select a customer to use coupon,Vælg en kunde for at bruge kupon
Select a printer to use QZ silent printing.,Vælg en printer for at bruge QZ lydløs udskrivning.
Select Batch,Vælg Batch
Select Columns to Display,"Vælg kolonner, der skal vises"
Select items to sell,"Vælg varer, du vil sælge"
Select Payment,Vælg Betaling
Select Payment Account,Vælg Betalingskonto
Select printer,Vælg printer
Select Return Invoice,Vælg Returfaktura
Select S.O,Vælg S.O
Select Sales Orders,Vælg Salgsordrer
Select the cashier who is taking over this terminal.,"Vælg den kasserer, der overtager denne terminal."
Selected,Valgt
Selected movement type is not allowed by POS Profile.,Den valgte bevægelsestype er ikke tilladt af POS-profilen.
Selected Payments,Udvalgte betalinger
Sensitive actions kept away from quick taps.,Følsomme handlinger holdt væk fra hurtige tryk.
Serial,Seriel
Serial Numbers,Serienumre
Server CPU Usage:,Server CPU-brug:
Server Health,Server sundhed
Server Memory Usage:,Brug af serverhukommelse:
Server Metrics,Server Metrics
Server Uptime:,Server oppetid:
Service Charges,Servicegebyrer
Session,Session
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Indstil hver kasse-pinkode i brugerformularen, og hold terminalmedlemmer tildelt i POS-profilbruger."
Settings,Indstillinger
Settings in this section update the POS workspace without changing the current route.,Indstillinger i dette afsnit opdaterer POS-arbejdsområdet uden at ændre den aktuelle rute.
Setup complete!,Opsætningen er fuldført!
Share,Del
Shared terminal,Delt terminal
Shift Closed Snapshot,Skift lukket snapshot
Shift Overview,Skift oversigt
Show,Vis
Show cart on customer-facing screen,Vis kurv på kundevendt skærm
Show last invoice rate,Vis sidste fakturasats
Show rate info,Vis prisoplysninger
Show Repair Candidates,Vis reparationskandidater
Show search tools,Vis søgeværktøjer
Show the active cart on a customer-facing screen,Vis den aktive vogn på en kundevendt skærm
Showing {0}-{1} of {2},Viser {0}-{1} af {2}
Showing 0 of 0,Viser 0 af 0
Shows the distribution of invoices per currency,Viser fordelingen af fakturaer pr. valuta
Sign out of the current POS session,Log ud af den aktuelle POS-session
Size:,Størrelse:
Skipped Payments,Oversprungne betalinger
Skipping items without barcodes,Springer varer over uden stregkoder
Slow Moving,Langsomt i bevægelse
Slow Moving Items,Langsomt bevægende genstande
Slow Queries:,Langsomme forespørgsler:
Sold,Solgt
Source,Kilde
Source Cash Account (Optional Override),Kildekontantkonto (valgfri tilsidesættelse)
Source Ex. Rate:,Kilde Eks. Pris:
Source Rate:,Kilderate:
Specific Profile,Specifik profil
Split Invoices,Opdelte fakturaer
Staff / Cashier Performance Report,Personale / Kasserer Performance Report
Status,Status
Stock,Lager
Stock Information,Aktieinformation
Stock is lower than requested,Lagerbeholdningen er lavere end ønsket
Stock is lower than requested:\n{0},Lagerbeholdningen er lavere end anmodet:\n{0}
Stock Movement Report,Aktiebevægelsesrapport
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Lageropdatering: {0} har {1} tilgængelig. Tilføjelse af {2} vil bringe aktien under nul.
Submit,Indsend
Submit & Print,Send og udskriv
Submit Deposit,Indsend depositum
Submit Expense,Indsend udgift
Submitted,Indsendt
Submitted Cash Movements,Indsendte kontantbevægelser
Submitted entries,Indsendte indlæg
Successfully scanned:,Scannet med succes:
Suggested,Foreslået
Suggested Qty,Foreslået antal
Supervisor Access,Supervisor Adgang
Supervisor permissions unlock issuance and reloads,Supervisor-tilladelser låser op for udstedelse og genindlæsninger
Supervisor Tools,Supervisor værktøjer
Supplier,Leverandør
Supplier and dates are required.,Leverandør og datoer er påkrævet.
Supplier Invoices,Leverandørfakturaer
Supplier is required.,Leverandør er påkrævet.
Supplier name is required,Leverandørnavn er påkrævet
Supplier Payments,Leverandørbetalinger
Supplier Purchase Summary,Leverandørkøbsoversigt
Suppliers,Leverandører
Suppliers not found,Leverandører ikke fundet
Switch Camera,Skift kamera
Switch Cashier,Skift kasserer
Switch the POS appearance theme,Skift POS udseende tema
Switched to:,Skiftet til:
Sync All Invoices,Synkroniser alle fakturaer
Sync Offline Cash Movements ({0}),Synkroniser offline kontantbevægelser ({0})
Sync Offline Sales,Synkroniser offlinesalg
Synced {0} offline cash movement(s).,Synkroniserede {0} offline kontantbevægelse(r).
Syncing items in background,Synkroniserer elementer i baggrunden
System / Diagnostics,System / Diagnostik
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Systemhandlinger er lavfrekvente vedligeholdelseskontroller såsom appinfo, supportdiagnostik og sessionskontroller."
System Information,Systemoplysninger
System Status,Systemstatus
Tables:,Tabeller:
Tap the button below to redeem a gift card during checkout.,Tryk på knappen nedenfor for at indløse et gavekort under kassen.
Target,Mål
Target Ex. Rate:,Mål Ex. Pris:
Target Rate:,Målrate:
Tax,Skat
Tax / Charges Report,Skat/afgiftsrapport
Tax Heads,Skattehoveder
Taxable Amount,Skattepligtigt beløb
Tendered,Udbudt
Terminal,Terminal
Terminal & Devices,Terminal og enheder
Terminal locked,Terminal låst
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminalværktøjer påvirker denne betalingsstation, kundevendte skærme og fremtidige printer-/enhedskontroller."
Territory not found,Område ikke fundet
The amount paid is not complete,Det indbetalte beløb er ikke fuldstændigt
The app stores data locally for offline use. This is called cache.,Appen gemmer data lokalt til offlinebrug. Dette kaldes cache.
The invoice stayed in draft. Please review and submit it manually.,Fakturaen forblev i kladde. Gennemgå og send den manuelt.
The maximum discount allowed is,Den maksimale tilladte rabat er
The quantity for {0} has been adjusted to the maximum available stock.,Mængden for {0} er blevet justeret til den maksimalt tilgængelige lagerbeholdning.
The system could not retrieve the item details. Please try again.,Systemet kunne ikke hente vareoplysningerne. Prøv venligst igen.
These invoices will be synced when connection is restored,"Disse fakturaer vil blive synkroniseret, når forbindelsen genoprettes"
This action now opens inside the settings workspace.,Denne handling åbner nu i indstillingsarbejdsområdet.
This coupon already used !,Denne kupon er allerede brugt!
This invoice does not need change-allocation repair,Denne faktura behøver ikke reparation af ændringsfordeling
This invoice is already repaired,Denne faktura er allerede repareret
This is an item template. Please choose a variant.,Dette er en vareskabelon. Vælg venligst en variant.
this item,denne vare
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Denne POS-side kunne ikke åbnes offline, fordi dens kode endnu ikke var cachelagret på denne terminal."
This Serial Number {0} has already been added!,Dette serienummer {0} er allerede blevet tilføjet!
Threshold,Tærskel
Time,Tid
Tip: Clear cache regularly to free up space and keep the app fast.,Tip: Ryd cache regelmæssigt for at frigøre plads og holde appen hurtig.
